1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 750.4276),(2 1164.7546),(3 1254.9148),(4 1277.4213),(5 1313.8468),(6 1364.4666),(7 1361.7631),(8 1391.2673),(9 1435.5048),(10 1429.0891),(11 1427.859),(12 1453.5586),(13 1465.1552),(14 1492.1075),(15 1501.0682),(16 1513.0367),(17 1526.8303),(18 1527.3516),(19 1547.7638),(20 1548.0707),(21 1538.6919),(22 1526.2902),(23 1533.2249),(24 1518.9183),(25 1512.1125),(26 1527.701),(27 1557.364),(28 1551.2948),(29 1558.0228),(30 1544.0503),(31 1556.0717),(32 1570.7894),(33 1570.5519),(34 1570.7004),(35 1560.227),(36 1563.7654),(37 1552.5807),(38 1551.0402),(39 1569.6407),(40 1574.7715),(41 1614.146),(42 1624.8066),(43 1607.7379),(44 1606.7759),(45 1632.0072),(46 1622.9589),(47 1596.0623),(48 1596.0836),(49 1609.4076),(50 1609.468),(51 1587.0027),(52 1583.5743),(53 1566.4469),(54 1545.8763),(55 1561.09),(56 1573.9193),(57 1582.778),(58 1568.2876),(59 1554.3754),(60 1536.6483),(61 1564.6898),(62 1574.8116),(63 1561.9642),(64 1581.0674),(65 1568.0358),(66 1556.457),(67 1550.0125),(68 1537.1188),(69 1518.0162),(70 1498.9253),(71 1520.2267),(72 1542.2185),(73 1539.4542),(74 1579.2811),(75 1571.8115),(76 1561.0233),(77 1557.6915),(78 1557.7445),(79 1546.9323),
(1 728.4299),(2 1116.1586),(3 1218.7693),(4 1232.6652),(5 1254.5408),(6 1311.0588),(7 1316.5645),(8 1330.1023),(9 1372.1017),(10 1381.0096),(11 1364.3734),(12 1370.6521),(13 1389.6888),(14 1406.8164),(15 1433.6455),(16 1444.3273),(17 1435.527),(18 1421.3414),(19 1471.602),(20 1472.7192),(21 1462.8774),(22 1453.2179),(23 1482.4492),(24 1459.3221),(25 1445.8656),(26 1457.9943),(27 1493.3367),(28 1504.2058),(29 1504.9479),(30 1495.5569),(31 1503.9474),(32 1516.1338),(33 1525.247),(34 1516.7985),(35 1510.3041),(36 1492.1401),(37 1489.334),(38 1507.8881),(39 1504.9019),(40 1518.61),(41 1553.9304),(42 1551.6936),(43 1526.8691),(44 1542.3846),(45 1566.1415),(46 1553.555),(47 1555.1996),(48 1536.3875),(49 1541.8685),(50 1535.4829),(51 1484.7079),(52 1483.9468),(53 1503.3325),(54 1482.2054),(55 1492.9053),(56 1501.4952),(57 1492.2566),(58 1465.6814),(59 1454.7059),(60 1469.9178),(61 1484.1132),(62 1502.4989),(63 1504.2955),(64 1488.8392),(65 1475.3291),(66 1474.2648),(67 1474.7045),(68 1488.3964),(69 1473.9214),(70 1473.2627),(71 1493.3147),(72 1510.8674),(73 1512.461),(74 1527.4309),(75 1540.8739),(76 1558.5225),(77 1552.4619),(78 1547.2396),(79 1540.6444),
(1 730.1178),(2 1109.9785),(3 1201.524),(4 1231.6178),(5 1251.9696),(6 1318.0126),(7 1331.2285),(8 1327.2379),(9 1333.6699),(10 1371.1794),(11 1371.484),(12 1383.4216),(13 1377.3833),(14 1386.8251),(15 1408.4038),(16 1422.2799),(17 1417.681),(18 1399.2338),(19 1466.9384),(20 1474.3932),(21 1460.2279),(22 1463.5052),(23 1481.6995),(24 1484.5013),(25 1466.8926),(26 1484.5896),(27 1492.6097),(28 1489.4366),(29 1484.7592),(30 1506.8727),(31 1506.3497),(32 1483.617),(33 1489.3601),(34 1507.5616),(35 1481.4968),(36 1445.7434),(37 1442.1815),(38 1456.5774),(39 1463.702),(40 1454.1401),(41 1491.7716),(42 1479.4885),(43 1452.2833),(44 1482.554),(45 1507.3173),(46 1500.5609),(47 1492.129),(48 1484.9645),(49 1498.9059),(50 1519.0366),(51 1499.299),(52 1479.426),(53 1457.325),(54 1446.3931),(55 1439.9012),(56 1446.3375),(57 1468.8662),(58 1486.3597),(59 1461.3987),(60 1458.2424),(61 1469.9806),(62 1467.2913),(63 1464.4082),(64 1473.491),(65 1472.9434),(66 1477.2444),(67 1486.46),(68 1500.5881),(69 1489.615),(70 1478.2784),(71 1478.3696),(72 1499.5695),(73 1509.7008),(74 1520.1298),(75 1496.707),(76 1527.7697),(77 1540.0862),(78 1560.8512),(79 1540.9324),
(1 706.93506),(2 1055.8256),(3 1159.862),(4 1175.5673),(5 1197.2272),(6 1271.1223),(7 1284.5924),(8 1271.8024),(9 1305.1931),(10 1338.3508),(11 1333.7545),(12 1347.3766),(13 1358.0663),(14 1375.5801),(15 1405.7705),(16 1390.3533),(17 1396.388),(18 1391.1171),(19 1395.3015),(20 1408.8433),(21 1409.3427),(22 1404.8595),(23 1407.0911),(24 1407.771),(25 1380.6688),(26 1418.2025),(27 1439.5172),(28 1437.2562),(29 1423.8531),(30 1450.9515),(31 1446.5808),(32 1439.764),(33 1428.2727),(34 1442.0869),(35 1442.8505),(36 1437.4355),(37 1426.4614),(38 1437.1648),(39 1457.2157),(40 1469.4701),(41 1502.2799),(42 1489.9756),(43 1474.6444),(44 1486.0891),(45 1495.4274),(46 1508.543),(47 1476.4181),(48 1456.761),(49 1468.3872),(50 1461.9172),(51 1458.7151),(52 1428.662),(53 1435.5657),(54 1438.4548),(55 1430.8068),(56 1428.0549),(57 1427.6516),(58 1422.2094),(59 1411.4192),(60 1396.5879),(61 1396.9567),(62 1396.5505),(63 1400.9823),(64 1406.2544),(65 1400.843),(66 1410.0729),(67 1414.0574),(68 1430.1384),(69 1412.6918),(70 1409.2612),(71 1428.6798),(72 1446.3411),(73 1438.36),(74 1433.4323),(75 1431.7826),(76 1447.7859),(77 1444.0935),(78 1439.4741),(79 1426.5549),
(1 693.5387),(2 1031.8722),(3 1108.7174),(4 1125.7751),(5 1135.5006),(6 1176.8401),(7 1206.7445),(8 1190.5686),(9 1199.684),(10 1246.6394),(11 1240.3658),(12 1233.3636),(13 1241.289),(14 1263.0833),(15 1294.1992),(16 1295.8384),(17 1314.1548),(18 1310.016),(19 1308.7505),(20 1316.4579),(21 1332.102),(22 1340.7203),(23 1328.1095),(24 1323.7219),(25 1323.1853),(26 1343.8887),(27 1339.8596),(28 1322.524),(29 1305.7556),(30 1336.3054),(31 1355.3365),(32 1340.9146),(33 1323.054),(34 1336.8958),(35 1338.3075),(36 1332.2404),(37 1331.4159),(38 1335.954),(39 1327.6675),(40 1330.4633),(41 1359.2327),(42 1350.9169),(43 1331.9318),(44 1347.9471),(45 1358.2649),(46 1351.057),(47 1370.2332),(48 1340.4406),(49 1319.7134),(50 1356.0243),(51 1355.7817),(52 1343.1705),(53 1334.6251),(54 1331.7169),(55 1331.4739),(56 1326.2281),(57 1306.7078),(58 1318.4935),(59 1314.2858),(60 1332.7681),(61 1351.6938),(62 1343.831),(63 1333.7736),(64 1338.8544),(65 1329.8241),(66 1341.5286),(67 1341.8915),(68 1343.8657),(69 1361.4155),(70 1373.6106),(71 1353.7158),(72 1375.7456),(73 1372.5555),(74 1380.9844),(75 1394.3685),(76 1398.7075),(77 1395.183),(78 1394.0963),(79 1381.7867),
(1 694.63165),(2 1043.441),(3 1119.9087),(4 1156.2601),(5 1183.2957),(6 1227.1418),(7 1252.8484),(8 1246.727),(9 1269.5886),(10 1279.7764),(11 1269.3528),(12 1270.465),(13 1282.4033),(14 1306.0704),(15 1337.3041),(16 1344.0033),(17 1368.2382),(18 1357.7966),(19 1338.3655),(20 1339.3607),(21 1360.3135),(22 1345.397),(23 1349.4369),(24 1371.8461),(25 1347.5323),(26 1358.2064),(27 1366.8926),(28 1372.3069),(29 1372.5903),(30 1393.3894),(31 1394.6066),(32 1389.469),(33 1387.3977),(34 1388.3016),(35 1385.3964),(36 1355.4954),(37 1361.7463),(38 1370.5276),(39 1362.3154),(40 1370.0706),(41 1392.2395),(42 1402.1018),(43 1394.6805),(44 1416.6929),(45 1392.126),(46 1399.4546),(47 1417.8632),(48 1397.7382),(49 1369.7632),(50 1373.4602),(51 1359.3356),(52 1362.7319),(53 1375.5813),(54 1373.0056),(55 1343.2546),(56 1349.863),(57 1356.6239),(58 1335.457),(59 1324.0032),(60 1332.2152),(61 1351.7522),(62 1359.7285),(63 1355.6252),(64 1341.5359),(65 1342.4324),(66 1349.8208),(67 1357.7052),(68 1355.6729),(69 1358.5967),(70 1329.8425),(71 1336.2715),(72 1371.6466),(73 1357.0027),(74 1364.1704),(75 1385.6096),(76 1386.9885),(77 1379.2351),(78 1381.2946),(79 1380.29),
(1 675.098),(2 1003.37085),(3 1052.3112),(4 1086.0021),(5 1115.3137),(6 1158.8821),(7 1168.7708),(8 1166.4688),(9 1195.7511),(10 1202.5109),(11 1218.434),(12 1213.2831),(13 1201.7472),(14 1239.9183),(15 1243.4523),(16 1250.6686),(17 1279.8212),(18 1283.6011),(19 1260.0586),(20 1260.991),(21 1261.3818),(22 1267.43),(23 1253.999),(24 1253.3673),(25 1254.5317),(26 1270.3885),(27 1284.6168),(28 1273.4747),(29 1260.5728),(30 1286.1453),(31 1299.7034),(32 1322.6997),(33 1338.451),(34 1348.7263),(35 1342.7017),(36 1306.0353),(37 1306.6593),(38 1305.4087),(39 1315.4633),(40 1339.6698),(41 1360.382),(42 1365.0835),(43 1345.879),(44 1340.7181),(45 1350.4149),(46 1348.2322),(47 1342.4182),(48 1337.1575),(49 1337.474),(50 1334.1893),(51 1329.2402),(52 1334.1664),(53 1335.4452),(54 1316.5111),(55 1306.3228),(56 1287.3787),(57 1289.0098),(58 1294.14),(59 1281.0465),(60 1263.0072),(61 1279.7032),(62 1290.3535),(63 1282.0166),(64 1277.3975),(65 1284.0858),(66 1286.2034),(67 1280.9473),(68 1266.3278),(69 1262.7095),(70 1257.1456),(71 1270.378),(72 1292.078),(73 1292.3069),(74 1307.4766),(75 1320.3711),(76 1312.8052),(77 1295.856),(78 1291.2902),(79 1298.8951),
(1 678.1487),(2 993.6846),(3 1055.9496),(4 1081.8694),(5 1100.514),(6 1144.0269),(7 1148.7056),(8 1161.7356),(9 1185.1877),(10 1189.9506),(11 1178.8932),(12 1186.9647),(13 1217.4597),(14 1228.7234),(15 1222.7126),(16 1219.7216),(17 1237.9398),(18 1234.6167),(19 1225.4183),(20 1246.847),(21 1275.2003),(22 1282.6871),(23 1274.3481),(24 1256.9381),(25 1255.5509),(26 1273.9685),(27 1287.5631),(28 1319.1293),(29 1320.8225),(30 1334.5504),(31 1336.7897),(32 1351.6201),(33 1356.2318),(34 1360.3447),(35 1367.2179),(36 1364.1677),(37 1359.305),(38 1340.8995),(39 1349.5209),(40 1362.7028),(41 1348.8767),(42 1357.8337),(43 1377.198),(44 1379.9033),(45 1373.1458),(46 1377.0062),(47 1359.2018),(48 1361.6925),(49 1370.5217),(50 1371.7512),(51 1361.2079),(52 1343.6055),(53 1321.7891),(54 1325.5096),(55 1320.0186),(56 1325.2473),(57 1318.6462),(58 1312.4324),(59 1300.6967),(60 1308.8955),(61 1320.9515),(62 1313.6722),(63 1302.3997),(64 1292.9445),(65 1305.0581),(66 1307.1042),(67 1296.1527),(68 1307.06),(69 1293.1292),(70 1279.6846),(71 1292.2654),(72 1316.8589),(73 1307.0565),(74 1338.5245),(75 1337.2222),(76 1324.8555),(77 1321.1823),(78 1313.3179),(79 1330.908),
(1 638.7875),(2 938.5881),(3 1008.0967),(4 1039.2145),(5 1067.5424),(6 1112.0454),(7 1104.2129),(8 1109.8815),(9 1133.0481),(10 1153.7426),(11 1150.6787),(12 1144.8983),(13 1169.9398),(14 1186.2196),(15 1190.2992),(16 1202.0105),(17 1232.2977),(18 1212.7859),(19 1196.8444),(20 1210.0674),(21 1218.3291),(22 1205.814),(23 1202.4813),(24 1225.1794),(25 1230.6456),(26 1240.545),(27 1238.6713),(28 1236.8691),(29 1240.6133),(30 1266.0032),(31 1280.1145),(32 1273.4142),(33 1281.9556),(34 1273.3268),(35 1266.7788),(36 1284.0116),(37 1282.2926),(38 1266.947),(39 1273.1418),(40 1298.6127),(41 1305.9484),(42 1307.047),(43 1313.983),(44 1322.6752),(45 1319.456),(46 1305.6372),(47 1308.5492),(48 1300.7408),(49 1308.4519),(50 1303.8344),(51 1324.793),(52 1301.8354),(53 1289.0408),(54 1286.9934),(55 1260.7496),(56 1262.2643),(57 1265.0101),(58 1265.0074),(59 1247.3259),(60 1250.173),(61 1258.4772),(62 1255.9386),(63 1256.0677),(64 1250.4227),(65 1249.029),(66 1227.4092),(67 1222.1858),(68 1211.5853),(69 1230.1536),(70 1206.3585),(71 1222.4634),(72 1242.189),(73 1230.9146),(74 1238.2037),(75 1251.8624),(76 1269.7567),(77 1254.6368),(78 1251.4681),(79 1245.602),
(1 621.7315),(2 907.64484),(3 977.81525),(4 997.6857),(5 1022.98157),(6 1063.7852),(7 1067.6023),(8 1071.6202),(9 1087.1439),(10 1119.2815),(11 1097.0627),(12 1084.6371),(13 1104.8949),(14 1142.7001),(15 1155.1515),(16 1152.094),(17 1146.7405),(18 1149.4143),(19 1149.2252),(20 1151.2477),(21 1162.9899),(22 1160.2108),(23 1156.6193),(24 1161.2368),(25 1162.8724),(26 1185.6155),(27 1197.4755),(28 1198.637),(29 1196.6255),(30 1217.6963),(31 1212.2196),(32 1194.0922),(33 1209.3231),(34 1202.3917),(35 1188.1906),(36 1190.7297),(37 1194.1941),(38 1195.3239),(39 1195.2312),(40 1199.0563),(41 1202.8937),(42 1195.9863),(43 1208.125),(44 1210.9583),(45 1207.6697),(46 1204.3031),(47 1196.8086),(48 1193.0668),(49 1198.2422),(50 1191.8402),(51 1191.7346),(52 1186.3223),(53 1182.1475),(54 1190.5792),(55 1164.6202),(56 1170.4032),(57 1174.1129),(58 1169.5143),(59 1158.6809),(60 1176.5673),(61 1161.676),(62 1144.3466),(63 1151.7854),(64 1148.5839),(65 1151.6091),(66 1146.9452),(67 1161.5908),(68 1151.5105),(69 1161.9037),(70 1161.1831),(71 1173.663),(72 1187.4363),(73 1200.8997),(74 1203.9015),(75 1222.5576),(76 1224.1421),(77 1204.3868),(78 1199.4924),(79 1187.4164),
(1 595.2405),(2 871.96344),(3 968.4354),(4 990.70337),(5 1019.32996),(6 1054.0759),(7 1050.7571),(8 1051.7104),(9 1071.4591),(10 1103.886),(11 1104.7357),(12 1106.1023),(13 1110.7583),(14 1134.7634),(15 1158.3639),(16 1157.7869),(17 1129.4816),(18 1147.4739),(19 1145.4685),(20 1160.712),(21 1177.9292),(22 1168.9382),(23 1162.7838),(24 1175.2996),(25 1183.281),(26 1204.4993),(27 1192.5922),(28 1205.8577),(29 1204.743),(30 1187.8462),(31 1180.6534),(32 1188.2661),(33 1196.9622),(34 1205.8807),(35 1191.997),(36 1187.074),(37 1215.6346),(38 1221.224),(39 1226.0447),(40 1219.1328),(41 1231.7635),(42 1244.2053),(43 1229.6123),(44 1210.1925),(45 1220.5898),(46 1228.4525),(47 1221.1698),(48 1201.4241),(49 1192.3302),(50 1200.8767),(51 1212.9733),(52 1204.8341),(53 1213.7695),(54 1213.5531),(55 1184.2847),(56 1188.6438),(57 1196.5895),(58 1196.3427),(59 1177.4397),(60 1181.4683),(61 1175.788),(62 1166.3927),(63 1174.7893),(64 1183.5588),(65 1189.049),(66 1171.0771),(67 1168.8748),(68 1166.043),(69 1159.8514),(70 1160.7847),(71 1149.801),(72 1140.481),(73 1155.2994),(74 1167.0717),(75 1186.1453),(76 1174.648),(77 1157.6505),(78 1159.969),(79 1160.4963),
(1 586.32666),(2 851.30536),(3 932.5357),(4 947.6517),(5 982.7235),(6 1014.4601),(7 1017.75354),(8 1024.7621),(9 1040.8955),(10 1054.0679),(11 1059.0953),(12 1075.8636),(13 1080.7363),(14 1082.216),(15 1088.7628),(16 1103.9099),(17 1094.0756),(18 1111.2971),(19 1128.3804),(20 1112.1307),(21 1111.0088),(22 1110.6792),(23 1107.7736),(24 1091.7189),(25 1091.2935),(26 1118.4669),(27 1114.5043),(28 1125.0621),(29 1136.8026),(30 1141.3446),(31 1138.7914),(32 1133.1366),(33 1164.827),(34 1153.064),(35 1156.1649),(36 1153.0405),(37 1172.3763),(38 1162.902),(39 1165.0948),(40 1175.6315),(41 1168.238),(42 1180.7395),(43 1185.6361),(44 1172.6564),(45 1184.0195),(46 1197.0043),(47 1197.7578),(48 1183.4025),(49 1180.4177),(50 1172.6779),(51 1161.4652),(52 1157.516),(53 1166.1122),(54 1161.5474),(55 1133.8773),(56 1140.4542),(57 1142.844),(58 1117.2856),(59 1111.936),(60 1122.736),(61 1109.155),(62 1095.0696),(63 1084.4191),(64 1097.2906),(65 1100.1373),(66 1091.4814),(67 1094.8695),(68 1090.1012),(69 1093.028),(70 1105.1932),(71 1101.0109),(72 1092.5609),(73 1087.074),(74 1102.3059),(75 1123.2828),(76 1140.7511),(77 1124.9697),(78 1121.3179),(79 1123.8737),
(1 581.3487),(2 837.5465),(3 916.3221),(4 956.27277),(5 989.08234),(6 1013.84753),(7 1022.09106),(8 1027.5355),(9 1038.4337),(10 1049.9182),(11 1051.9186),(12 1050.1881),(13 1051.1925),(14 1062.623),(15 1072.6488),(16 1099.8696),(17 1089.5742),(18 1088.4961),(19 1090.1326),(20 1097.888),(21 1099.6664),(22 1098.4348),(23 1095.829),(24 1079.9669),(25 1069.9434),(26 1090.6227),(27 1113.9786),(28 1107.129),(29 1104.791),(30 1125.7908),(31 1117.1417),(32 1107.0248),(33 1137.7156),(34 1125.4855),(35 1122.233),(36 1128.2156),(37 1142.951),(38 1135.2888),(39 1150.2561),(40 1154.6237),(41 1131.9581),(42 1141.2079),(43 1155.134),(44 1143.4166),(45 1170.698),(46 1163.9491),(47 1153.4607),(48 1149.8148),(49 1135.3068),(50 1147.3341),(51 1159.1033),(52 1147.771),(53 1131.4624),(54 1141.4205),(55 1128.223),(56 1126.5725),(57 1126.6731),(58 1108.8058),(59 1107.1283),(60 1110.2952),(61 1109.578),(62 1104.4193),(63 1104.6244),(64 1110.7219),(65 1120.8428),(66 1117.1273),(67 1115.0356),(68 1116.9977),(69 1111.4391),(70 1112.2037),(71 1088.2096),(72 1087.3999),(73 1085.8203),(74 1096.6656),(75 1075.8484),(76 1082.6201),(77 1089.0244),(78 1105.9412),(79 1118.6992),
(1 556.9457),(2 823.08374),(3 877.5416),(4 905.94293),(5 954.5607),(6 964.8182),(7 963.3206),(8 975.36145),(9 1002.94507),(10 1018.03516),(11 1028.3107),(12 1015.5457),(13 1034.3247),(14 1053.0028),(15 1069.3206),(16 1078.0967),(17 1076.059),(18 1072.3385),(19 1096.8865),(20 1077.7714),(21 1081.7695),(22 1069.5846),(23 1066.2573),(24 1062.4882),(25 1053.3958),(26 1078.006),(27 1095.7307),(28 1069.6449),(29 1071.2141),(30 1058.1544),(31 1044.4559),(32 1056.0458),(33 1058.0568),(34 1058.1761),(35 1067.4485),(36 1075.5605),(37 1076.9518),(38 1079.5414),(39 1064.5725),(40 1063.7548),(41 1079.0206),(42 1087.6355),(43 1083.9115),(44 1071.4904),(45 1080.539),(46 1071.9393),(47 1071.4166),(48 1072.615),(49 1071.063),(50 1069.1984),(51 1067.868),(52 1061.9467),(53 1065.717),(54 1068.2695),(55 1074.9298),(56 1078.063),(57 1079.8964),(58 1078.7507),(59 1048.7323),(60 1059.0144),(61 1051.3304),(62 1039.9938),(63 1044.5507),(64 1035.6307),(65 1041.2875),(66 1039.1813),(67 1051.812),(68 1062.5415),(69 1057.0544),(70 1041.5701),(71 1057.2153),(72 1047.2383),(73 1034.0992),(74 1045.5583),(75 1062.2334),(76 1060.7689),(77 1053.5632),(78 1048.3254),(79 1039.1058),
(1 549.51575),(2 806.58264),(3 856.7956),(4 887.7875),(5 925.3938),(6 941.305),(7 929.72504),(8 949.62463),(9 963.08093),(10 989.9341),(11 1002.5012),(12 1005.29517),(13 1023.54004),(14 1042.9897),(15 1055.4943),(16 1069.0546),(17 1070.64),(18 1049.2378),(19 1053.3514),(20 1062.4167),(21 1071.8978),(22 1064.4668),(23 1058.6962),(24 1054.5096),(25 1049.1135),(26 1062.3351),(27 1084.1831),(28 1067.2386),(29 1079.3754),(30 1080.058),(31 1055.3303),(32 1070.1078),(33 1070.8185),(34 1083.518),(35 1084.1062),(36 1098.9409),(37 1100.3514),(38 1095.327),(39 1083.6313),(40 1076.4211),(41 1093.9937),(42 1100.0236),(43 1086.754),(44 1084.8956),(45 1084.4218),(46 1075.1204),(47 1078.7015),(48 1088.3759),(49 1075.1115),(50 1076.3354),(51 1078.6914),(52 1078.2985),(53 1085.4414),(54 1077.1051),(55 1081.2267),(56 1074.1771),(57 1070.3524),(58 1062.5947),(59 1050.2705),(60 1054.1838),(61 1044.6499),(62 1051.4081),(63 1047.749),(64 1049.4429),(65 1042.064),(66 1039.7217),(67 1037.4991),(68 1045.3256),(69 1042.4014),(70 1048.0908),(71 1048.2277),(72 1053.2917),(73 1047.6218),(74 1037.403),(75 1059.795),(76 1056.866),(77 1070.343),(78 1055.1753),(79 1051.1239),
(1 540.846),(2 788.08575),(3 832.7901),(4 862.2388),(5 886.29224),(6 896.8401),(7 909.5283),(8 946.1573),(9 966.08545),(10 976.96783),(11 986.34814),(12 983.05994),(13 986.3621),(14 1001.9628),(15 1018.2686),(16 1032.8702),(17 1031.5073),(18 1021.36884),(19 1016.8977),(20 1023.2115),(21 1033.0729),(22 1039.2594),(23 1059.8995),(24 1047.5966),(25 1026.164),(26 1051.1865),(27 1063.8535),(28 1066.1783),(29 1060.6437),(30 1056.5508),(31 1042.8392),(32 1039.5055),(33 1042.854),(34 1045.4302),(35 1039.4313),(36 1048.4132),(37 1057.2272),(38 1075.3451),(39 1069.102),(40 1064.2393),(41 1082.2013),(42 1096.4366),(43 1083.4103),(44 1063.8232),(45 1082.3026),(46 1077.4646),(47 1083.859),(48 1074.6791),(49 1063.135),(50 1067.0142),(51 1064.4603),(52 1058.492),(53 1060.0013),(54 1055.6694),(55 1060.1188),(56 1052.9589),(57 1054.4313),(58 1055.045),(59 1035.9905),(60 1035.0175),(61 1024.2495),(62 1027.9037),(63 1042.2457),(64 1036.4058),(65 1023.0318),(66 1019.96075),(67 1026.31),(68 1035.5804),(69 1032.3756),(70 1034.2955),(71 1016.4995),(72 1012.77423),(73 1005.0526),(74 1009.12354),(75 1033.9324),(76 1028.2793),(77 1019.3656),(78 1020.48157),(79 1025.6243),
(1 514.8521),(2 748.1761),(3 799.53595),(4 830.5432),(5 859.0986),(6 879.18036),(7 880.333),(8 903.0521),(9 911.8648),(10 908.436),(11 936.77313),(12 950.15955),(13 929.39703),(14 947.2406),(15 961.3361),(16 967.62885),(17 949.52136),(18 947.4495),(19 970.2615),(20 966.18506),(21 971.6091),(22 964.0673),(23 961.724),(24 965.05005),(25 952.4663),(26 960.97235),(27 975.8496),(28 988.81616),(29 996.2063),(30 996.5618),(31 991.2175),(32 984.0162),(33 996.43005),(34 1006.65466),(35 991.4559),(36 993.7839),(37 1000.24475),(38 993.5082),(39 1013.8755),(40 1024.0082),(41 1022.2141),(42 1018.63055),(43 1023.6637),(44 1021.25464),(45 1025.0944),(46 1026.6477),(47 1025.9987),(48 1016.2302),(49 1001.2196),(50 1000.6828),(51 984.0422),(52 987.9127),(53 988.526),(54 981.37067),(55 991.6363),(56 980.9805),(57 995.3432),(58 998.7016),(59 986.3474),(60 966.57166),(61 960.9955),(62 979.75696),(63 990.71),(64 1002.2861),(65 988.3476),(66 981.1621),(67 981.31366),(68 977.8085),(69 964.66406),(70 962.84717),(71 964.0844),(72 967.09204),(73 972.5035),(74 966.24927),(75 975.2196),(76 978.0958),(77 977.0832),(78 992.86176),(79 991.96423),
