1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 391.9355),(2 453.21558),(3 516.85974),(4 539.66907),(5 557.98315),(6 577.2818),(7 597.59076),(8 610.0346),(9 628.24243),(10 642.16956),(11 649.99524),(12 663.53485),(13 676.35657),(14 684.14905),(15 683.9266),(16 703.9533),(17 700.78937),(18 710.3939),(19 705.21844),(20 698.79346),(21 701.703),(22 702.8528),(23 697.62665),(24 700.95),(25 699.6683),(26 697.7651),(27 700.9685),(28 703.4993),(29 702.33575),(30 697.3269),(31 690.7017),(32 686.88806),(33 693.8756),(34 692.5698),(35 686.60913),(36 703.1053),(37 703.73303),(38 702.887),(39 698.9746),(40 704.38635),(41 704.5659),(42 712.1808),(43 708.6698),(44 701.5847),(45 706.1827),(46 705.6191),(47 700.74097),(48 704.21204),(49 703.0698),(50 703.6204),(51 714.48785),(52 708.094),(53 710.2634),(54 710.8618),(55 709.50446),(56 709.446),(57 706.1459),(58 705.6883),(59 710.5908),(60 713.968),(61 716.02325),(62 720.5708),(63 729.60315),(64 726.1241),(65 733.0456),(66 732.94476),(67 737.0786),(68 741.158),(69 736.7891),(70 736.2256),(71 742.31366),(72 734.45654),(73 738.77075),(74 747.0826),(75 746.51294),(76 745.779),(77 740.39606),(78 734.74603),(79 733.47534),
(1 395.7436),(2 455.00415),(3 514.3383),(4 547.67773),(5 560.57275),(6 587.6964),(7 598.27704),(8 617.5665),(9 633.70605),(10 642.18317),(11 642.957),(12 654.7174),(13 659.6115),(14 667.51685),(15 677.3457),(16 680.07007),(17 693.9422),(18 697.98224),(19 700.69604),(20 692.6499),(21 693.9476),(22 693.36487),(23 691.7889),(24 693.2302),(25 685.97614),(26 688.39526),(27 688.0809),(28 690.15466),(29 679.22485),(30 679.30414),(31 670.0423),(32 663.53296),(33 671.67676),(34 668.2827),(35 673.217),(36 683.8292),(37 682.5898),(38 690.01776),(39 693.2652),(40 695.3587),(41 692.2378),(42 702.9476),(43 699.5067),(44 694.6344),(45 702.6654),(46 710.48956),(47 704.55304),(48 710.8066),(49 712.7507),(50 714.1647),(51 724.3948),(52 716.8555),(53 722.17883),(54 720.37616),(55 717.39294),(56 718.49255),(57 717.9139),(58 719.587),(59 719.1314),(60 716.02026),(61 716.95514),(62 717.7753),(63 724.81525),(64 727.9876),(65 735.8913),(66 727.1825),(67 732.3706),(68 723.0839),(69 720.5935),(70 720.95905),(71 720.5937),(72 723.0879),(73 717.1664),(74 724.71686),(75 729.155),(76 722.5375),(77 720.8491),(78 721.18054),(79 715.7109),
(1 385.75485),(2 443.7197),(3 504.1444),(4 525.57043),(5 546.4117),(6 561.1475),(7 588.3001),(8 604.7361),(9 622.8451),(10 625.0643),(11 631.8134),(12 640.1412),(13 643.0666),(14 652.3185),(15 657.5638),(16 673.8504),(17 670.85297),(18 675.62305),(19 680.5279),(20 673.9421),(21 678.2751),(22 673.46124),(23 666.02264),(24 668.1182),(25 667.2941),(26 662.0455),(27 663.91907),(28 662.805),(29 665.94073),(30 665.76733),(31 659.9712),(32 663.61194),(33 669.2273),(34 665.73566),(35 664.03894),(36 675.2498),(37 677.533),(38 678.8967),(39 684.1383),(40 681.13806),(41 684.7157),(42 689.7742),(43 701.9058),(44 694.62915),(45 709.08795),(46 698.4076),(47 704.2072),(48 699.32104),(49 697.75024),(50 701.03284),(51 703.4009),(52 697.92267),(53 697.5275),(54 702.69727),(55 703.4952),(56 702.69543),(57 705.3954),(58 700.55566),(59 702.4762),(60 688.29803),(61 699.517),(62 691.464),(63 698.9201),(64 706.4578),(65 707.9084),(66 710.0839),(67 711.6587),(68 714.6856),(69 710.47046),(70 710.3134),(71 706.3375),(72 709.2737),(73 713.1671),(74 712.35895),(75 716.5769),(76 715.983),(77 715.4925),(78 711.54065),(79 708.2671),
(1 374.55768),(2 436.59323),(3 491.31433),(4 519.8648),(5 539.4554),(6 564.9757),(7 581.6951),(8 599.65027),(9 616.1581),(10 626.3764),(11 633.2145),(12 647.92725),(13 657.5),(14 661.8853),(15 668.49554),(16 681.3723),(17 680.7011),(18 680.72205),(19 682.63727),(20 676.60297),(21 671.61035),(22 661.6417),(23 667.4955),(24 671.5159),(25 665.608),(26 668.70953),(27 666.48065),(28 663.0598),(29 650.99475),(30 657.2141),(31 648.36566),(32 647.35516),(33 647.97015),(34 647.8815),(35 654.27673),(36 655.4408),(37 659.8981),(38 658.39813),(39 669.0536),(40 674.28894),(41 673.8104),(42 675.1954),(43 675.63635),(44 681.36176),(45 688.3708),(46 688.1414),(47 689.72766),(48 693.9508),(49 681.21436),(50 690.5993),(51 691.47626),(52 684.2009),(53 687.5126),(54 691.2244),(55 694.9616),(56 693.7388),(57 697.4612),(58 694.1769),(59 699.5491),(60 689.9712),(61 691.42206),(62 682.67206),(63 688.55585),(64 694.7438),(65 700.4046),(66 697.95654),(67 702.8104),(68 698.8752),(69 689.86536),(70 692.31555),(71 684.84094),(72 685.0598),(73 690.8284),(74 689.0103),(75 688.57117),(76 683.489),(77 680.59235),(78 684.6175),(79 678.5734),
(1 375.54434),(2 427.42172),(3 481.86252),(4 506.72327),(5 524.59143),(6 546.087),(7 565.13837),(8 584.0086),(9 595.34125),(10 601.22577),(11 607.6984),(12 624.61774),(13 637.33704),(14 639.51794),(15 650.097),(16 655.3488),(17 660.6193),(18 671.1316),(19 664.0143),(20 662.61334),(21 657.3431),(22 657.64343),(23 660.046),(24 655.3575),(25 659.58594),(26 662.35394),(27 661.3039),(28 655.5696),(29 654.3128),(30 645.78674),(31 640.52167),(32 646.4788),(33 649.5505),(34 645.95593),(35 649.77515),(36 648.7419),(37 649.10583),(38 653.99286),(39 650.3896),(40 659.22864),(41 663.36316),(42 669.59033),(43 664.4866),(44 673.7635),(45 679.31885),(46 681.99805),(47 680.7547),(48 677.91235),(49 680.45807),(50 675.5478),(51 672.6455),(52 669.4882),(53 675.8934),(54 672.93414),(55 683.25165),(56 676.5962),(57 679.712),(58 673.6292),(59 676.0644),(60 663.63666),(61 664.70264),(62 670.0425),(63 685.3372),(64 685.3154),(65 685.61975),(66 681.59155),(67 688.23883),(68 679.7762),(69 675.45734),(70 686.20966),(71 684.2532),(72 678.7343),(73 679.6807),(74 675.22565),(75 666.6037),(76 662.8713),(77 661.4628),(78 659.35425),(79 652.24384),
(1 360.4359),(2 412.6212),(3 467.88132),(4 488.46844),(5 510.51993),(6 535.08527),(7 542.18646),(8 565.4535),(9 569.94617),(10 582.7462),(11 584.1896),(12 602.42413),(13 612.5814),(14 619.3549),(15 636.2582),(16 635.7207),(17 642.7842),(18 651.7865),(19 642.6093),(20 641.96045),(21 639.4972),(22 637.13025),(23 640.9896),(24 638.6761),(25 633.43896),(26 641.52454),(27 644.62164),(28 633.3009),(29 628.00574),(30 628.9712),(31 619.94855),(32 621.1791),(33 626.8244),(34 628.2164),(35 628.67633),(36 630.144),(37 632.6687),(38 639.38293),(39 642.04376),(40 640.0863),(41 636.4503),(42 639.5613),(43 632.45233),(44 639.7102),(45 646.1756),(46 642.3239),(47 647.4871),(48 649.5974),(49 638.8425),(50 641.87964),(51 638.43054),(52 636.059),(53 638.4827),(54 638.7184),(55 632.1687),(56 638.979),(57 638.19464),(58 639.0997),(59 641.41705),(60 643.2798),(61 635.8888),(62 640.6565),(63 647.62933),(64 653.69305),(65 653.80383),(66 661.6733),(67 662.4282),(68 665.24884),(69 660.1573),(70 660.2449),(71 660.0184),(72 657.3599),(73 661.26306),(74 656.4126),(75 659.1161),(76 663.57416),(77 655.33185),(78 651.27924),(79 645.40314),
(1 354.46762),(2 400.8653),(3 457.0598),(4 475.3074),(5 492.84857),(6 511.0514),(7 534.3214),(8 557.48004),(9 563.44476),(10 583.6338),(11 585.101),(12 601.8499),(13 604.32764),(14 610.1696),(15 614.5173),(16 612.1131),(17 623.2952),(18 633.7571),(19 626.50415),(20 628.30396),(21 628.0238),(22 630.0079),(23 625.61725),(24 629.79346),(25 626.07117),(26 637.4537),(27 643.18677),(28 626.13525),(29 620.1793),(30 613.8184),(31 609.5478),(32 613.53894),(33 614.66223),(34 621.0641),(35 617.99316),(36 621.9839),(37 623.08026),(38 615.9264),(39 625.23224),(40 625.00745),(41 625.9543),(42 629.96704),(43 634.11334),(44 627.7219),(45 638.0425),(46 639.5736),(47 640.1465),(48 636.3615),(49 643.23395),(50 642.15015),(51 640.14716),(52 639.31805),(53 644.8582),(54 642.0233),(55 646.1257),(56 649.4706),(57 648.1828),(58 647.64886),(59 650.38727),(60 645.2211),(61 651.6613),(62 652.06744),(63 660.98126),(64 656.38727),(65 652.5041),(66 659.03845),(67 662.83966),(68 663.9367),(69 658.5302),(70 653.8438),(71 653.1746),(72 652.2945),(73 654.82623),(74 655.8479),(75 650.0937),(76 651.57117),(77 653.75165),(78 648.62085),(79 650.1567),
(1 353.32947),(2 407.45673),(3 460.038),(4 480.26285),(5 496.2206),(6 512.31586),(7 528.3912),(8 549.1398),(9 559.61615),(10 573.2462),(11 585.68384),(12 597.9274),(13 595.883),(14 600.0261),(15 601.1554),(16 603.5003),(17 607.87506),(18 617.7065),(19 609.04297),(20 613.7295),(21 615.0675),(22 609.74146),(23 612.9771),(24 618.6511),(25 610.4816),(26 617.48724),(27 620.9523),(28 615.1873),(29 613.4197),(30 614.7529),(31 610.4085),(32 614.31696),(33 618.0901),(34 615.7876),(35 610.0688),(36 616.0415),(37 618.6402),(38 621.965),(39 631.0782),(40 626.955),(41 635.0908),(42 639.51117),(43 632.0016),(44 633.4864),(45 634.7065),(46 641.9328),(47 644.2651),(48 648.9316),(49 649.6842),(50 644.1549),(51 641.84265),(52 637.31433),(53 639.20294),(54 633.95514),(55 640.33057),(56 639.3815),(57 640.97644),(58 644.2685),(59 637.84235),(60 640.0929),(61 641.5448),(62 632.0069),(63 643.10596),(64 638.4088),(65 642.1615),(66 635.9812),(67 641.1949),(68 640.158),(69 641.03455),(70 639.102),(71 634.6109),(72 633.30676),(73 636.4329),(74 638.9918),(75 635.13367),(76 639.6572),(77 634.6886),(78 628.31),(79 625.7986),
(1 346.78766),(2 391.80347),(3 446.8776),(4 471.76224),(5 494.48657),(6 505.13422),(7 524.09015),(8 535.4473),(9 543.65594),(10 569.2703),(11 571.86426),(12 582.3735),(13 588.7481),(14 596.6206),(15 599.9094),(16 603.9257),(17 609.8443),(18 617.9492),(19 609.73157),(20 607.5748),(21 606.9767),(22 599.2622),(23 607.8075),(24 607.1981),(25 605.48676),(26 605.95996),(27 596.76886),(28 596.1663),(29 595.71295),(30 596.9044),(31 590.79663),(32 593.61536),(33 601.0493),(34 597.0056),(35 595.47034),(36 601.3049),(37 598.1315),(38 610.95496),(39 601.12335),(40 604.007),(41 607.02594),(42 608.0312),(43 606.317),(44 609.5359),(45 612.1138),(46 611.5314),(47 605.9988),(48 615.3837),(49 613.3861),(50 619.8578),(51 618.77576),(52 610.4987),(53 615.6936),(54 612.86774),(55 619.3302),(56 618.8701),(57 618.2515),(58 618.12177),(59 623.5969),(60 616.2858),(61 621.5837),(62 618.5126),(63 632.7963),(64 632.4318),(65 634.6702),(66 640.6427),(67 645.7945),(68 639.5556),(69 641.09143),(70 633.0627),(71 630.5901),(72 635.07825),(73 644.7927),(74 636.5726),(75 632.89075),(76 634.3956),(77 632.40173),(78 627.40533),(79 630.9026),
(1 338.49094),(2 385.46222),(3 438.34625),(4 456.08252),(5 472.25485),(6 493.93665),(7 507.56348),(8 526.0378),(9 531.79803),(10 548.3176),(11 556.7936),(12 565.6399),(13 572.6595),(14 584.8032),(15 582.79706),(16 590.3582),(17 590.9887),(18 606.3675),(19 598.6028),(20 597.54297),(21 602.9786),(22 598.2061),(23 603.2847),(24 601.9132),(25 602.74176),(26 604.27155),(27 600.3242),(28 599.89124),(29 605.2752),(30 597.1609),(31 597.1537),(32 601.42224),(33 609.415),(34 606.2858),(35 606.048),(36 609.9162),(37 609.5944),(38 600.9172),(39 605.9778),(40 616.06177),(41 614.9893),(42 618.4218),(43 624.7491),(44 629.3186),(45 627.6452),(46 626.1087),(47 629.50195),(48 632.7268),(49 628.69183),(50 633.8075),(51 633.425),(52 624.05536),(53 626.2748),(54 621.3364),(55 624.19165),(56 627.32666),(57 620.3855),(58 616.61523),(59 621.01764),(60 623.5585),(61 627.46606),(62 624.6417),(63 632.1768),(64 632.3192),(65 626.1516),(66 629.0242),(67 628.4235),(68 622.7813),(69 618.7636),(70 616.8903),(71 618.2515),(72 619.4102),(73 616.3316),(74 612.952),(75 615.67145),(76 611.22174),(77 611.00323),(78 607.9811),(79 610.3712),
(1 331.08286),(2 372.44058),(3 425.6932),(4 449.09113),(5 476.04303),(6 491.5878),(7 506.73486),(8 521.61365),(9 529.48816),(10 542.3858),(11 547.7001),(12 559.5009),(13 562.05164),(14 572.14685),(15 576.18713),(16 571.9093),(17 578.0928),(18 587.39526),(19 586.03076),(20 578.6293),(21 580.07385),(22 582.47217),(23 580.0955),(24 577.36096),(25 580.0468),(26 576.18005),(27 576.44226),(28 576.2437),(29 577.11584),(30 571.6278),(31 574.5135),(32 575.0802),(33 580.2035),(34 576.1796),(35 577.0903),(36 580.0087),(37 579.42444),(38 576.33636),(39 580.71014),(40 584.9812),(41 585.9234),(42 578.79755),(43 580.92017),(44 587.521),(45 590.7277),(46 585.14624),(47 585.711),(48 593.1319),(49 590.3348),(50 593.8384),(51 595.1937),(52 594.888),(53 593.99945),(54 598.85315),(55 595.3406),(56 597.01636),(57 596.1374),(58 597.4217),(59 599.6672),(60 596.5906),(61 602.27136),(62 600.98645),(63 600.17737),(64 595.6983),(65 600.1333),(66 601.2458),(67 598.62805),(68 599.60675),(69 600.9545),(70 603.6821),(71 603.4168),(72 600.6765),(73 604.1687),(74 602.5271),(75 607.3939),(76 606.74384),(77 602.03577),(78 594.85547),(79 594.41223),
(1 329.55814),(2 375.58392),(3 424.8815),(4 450.50177),(5 468.0082),(6 487.4317),(7 502.54416),(8 513.43414),(9 519.33923),(10 534.9619),(11 541.57574),(12 553.0606),(13 557.96497),(14 566.0679),(15 567.7725),(16 569.34515),(17 572.40436),(18 577.041),(19 572.125),(20 572.6126),(21 569.5306),(22 570.2759),(23 573.577),(24 571.36066),(25 573.6134),(26 577.01984),(27 576.28796),(28 574.0294),(29 573.97626),(30 575.85016),(31 580.29645),(32 573.37683),(33 575.02936),(34 576.95),(35 586.09265),(36 583.3176),(37 585.4412),(38 583.727),(39 584.0916),(40 587.6038),(41 580.9994),(42 583.5526),(43 587.4879),(44 593.3114),(45 602.9089),(46 608.0817),(47 605.7413),(48 611.8491),(49 613.60815),(50 616.9113),(51 622.5843),(52 618.0563),(53 615.10156),(54 618.3986),(55 617.4028),(56 609.4603),(57 609.3389),(58 605.8659),(59 605.9884),(60 610.0796),(61 611.85004),(62 610.6094),(63 611.4815),(64 610.6554),(65 615.16205),(66 618.07263),(67 616.39276),(68 621.48944),(69 617.692),(70 607.931),(71 612.046),(72 606.38855),(73 610.331),(74 609.37573),(75 608.7429),(76 605.38654),(77 606.98865),(78 604.6994),(79 606.9655),
(1 318.83197),(2 365.20453),(3 414.6881),(4 435.1522),(5 454.29483),(6 474.58926),(7 489.97903),(8 503.69772),(9 516.86005),(10 533.5352),(11 536.6563),(12 548.79834),(13 549.77716),(14 557.218),(15 564.2477),(16 562.9925),(17 568.0353),(18 571.9436),(19 570.71454),(20 565.72345),(21 563.62836),(22 560.0918),(23 563.52454),(24 557.07825),(25 556.2518),(26 559.18585),(27 560.2397),(28 553.46136),(29 560.3645),(30 558.1789),(31 566.3608),(32 563.8624),(33 563.8381),(34 567.93713),(35 568.05035),(36 564.46075),(37 565.5605),(38 563.1493),(39 565.9016),(40 568.9288),(41 570.2534),(42 574.97845),(43 573.3423),(44 580.38434),(45 575.3513),(46 575.0083),(47 576.05585),(48 579.1195),(49 580.2754),(50 582.93463),(51 577.7592),(52 578.42426),(53 576.7751),(54 582.3203),(55 579.32764),(56 571.6688),(57 577.3065),(58 577.92377),(59 579.0517),(60 580.4776),(61 575.08234),(62 577.37854),(63 589.37146),(64 581.7311),(65 584.3667),(66 582.51965),(67 584.9547),(68 582.7621),(69 581.8068),(70 576.81384),(71 577.17584),(72 578.89453),(73 578.5788),(74 578.0661),(75 582.3381),(76 578.70764),(77 574.51874),(78 573.3635),(79 569.8681),
(1 317.84167),(2 362.5668),(3 418.26575),(4 439.51318),(5 456.28696),(6 474.2654),(7 489.5616),(8 510.0919),(9 519.0832),(10 527.3436),(11 527.87915),(12 540.3788),(13 538.02905),(14 538.54706),(15 549.0918),(16 540.3013),(17 548.60187),(18 553.407),(19 550.70984),(20 556.19293),(21 551.8506),(22 554.2708),(23 553.6802),(24 554.2471),(25 556.9621),(26 558.7789),(27 563.0467),(28 563.949),(29 558.45087),(30 559.61017),(31 554.87244),(32 553.7873),(33 556.16113),(34 556.14996),(35 556.4278),(36 558.7779),(37 560.38574),(38 565.1517),(39 564.20245),(40 557.65186),(41 555.9357),(42 562.16486),(43 559.60834),(44 563.8816),(45 564.5492),(46 561.368),(47 560.8879),(48 570.3665),(49 570.09973),(50 579.19446),(51 579.2361),(52 578.43414),(53 574.96185),(54 583.0758),(55 576.3624),(56 572.39),(57 571.3938),(58 569.4151),(59 566.8463),(60 574.7911),(61 576.94995),(62 574.99536),(63 584.0365),(64 585.0016),(65 582.43146),(66 586.9041),(67 590.27704),(68 589.41455),(69 580.6713),(70 576.982),(71 584.53345),(72 576.72107),(73 576.3283),(74 575.2552),(75 573.619),(76 573.86145),(77 571.98376),(78 568.7998),(79 560.193),
(1 306.3675),(2 355.0985),(3 407.75153),(4 422.0748),(5 448.46466),(6 468.63428),(7 487.54205),(8 505.1592),(9 512.097),(10 523.3687),(11 531.7305),(12 539.6582),(13 538.2527),(14 544.0384),(15 550.57214),(16 547.48035),(17 555.40625),(18 558.255),(19 550.26855),(20 546.67053),(21 551.10895),(22 562.154),(23 562.57117),(24 560.1836),(25 561.11206),(26 563.0868),(27 563.95465),(28 563.90393),(29 563.24945),(30 565.8751),(31 562.6663),(32 558.8283),(33 566.60406),(34 562.10547),(35 560.12067),(36 556.8473),(37 561.2854),(38 562.46405),(39 561.351),(40 563.5753),(41 560.90344),(42 560.5771),(43 560.8816),(44 565.7275),(45 566.92847),(46 570.0627),(47 573.45746),(48 585.79553),(49 583.9347),(50 584.36926),(51 576.1742),(52 580.86365),(53 573.4729),(54 573.16895),(55 573.0823),(56 575.78864),(57 572.9883),(58 572.02124),(59 571.86115),(60 576.41144),(61 574.82513),(62 573.1884),(63 584.53015),(64 588.48254),(65 590.1092),(66 587.85187),(67 586.52637),(68 586.3637),(69 578.42786),(70 577.4366),(71 575.37067),(72 577.66077),(73 574.34863),(74 574.5857),(75 574.24713),(76 572.5264),(77 572.8355),(78 574.4406),(79 573.1052),
(1 299.4834),(2 353.14102),(3 401.25546),(4 422.0765),(5 442.44604),(6 465.12436),(7 477.13974),(8 489.35876),(9 497.6613),(10 506.35437),(11 513.7862),(12 519.62024),(13 522.9642),(14 532.302),(15 532.0393),(16 534.7993),(17 541.5886),(18 549.4649),(19 544.3267),(20 543.2243),(21 546.5311),(22 548.1298),(23 553.5887),(24 543.4985),(25 546.36926),(26 546.6512),(27 544.2201),(28 543.697),(29 539.6667),(30 540.7226),(31 539.3515),(32 534.3413),(33 543.58923),(34 542.20795),(35 543.1318),(36 543.4278),(37 544.0091),(38 547.77924),(39 550.1825),(40 553.27856),(41 547.55927),(42 548.0215),(43 544.8685),(44 551.649),(45 552.8751),(46 551.38586),(47 554.27594),(48 555.6505),(49 564.6599),(50 563.13983),(51 563.48676),(52 561.0832),(53 557.371),(54 564.41187),(55 560.8144),(56 559.48444),(57 565.0359),(58 565.6265),(59 570.0283),(60 574.81006),(61 573.3291),(62 569.46387),(63 574.7143),(64 579.3806),(65 582.32117),(66 581.0198),(67 579.9853),(68 578.53705),(69 580.8674),(70 580.98914),(71 583.90186),(72 576.8806),(73 575.51434),(74 579.0033),(75 584.4885),(76 578.3781),(77 580.8006),(78 585.45197),(79 582.8334),
(1 299.36032),(2 348.77127),(3 396.044),(4 415.24777),(5 433.43585),(6 459.55438),(7 476.05612),(8 492.77985),(9 507.06006),(10 518.0944),(11 525.5369),(12 529.5302),(13 540.2379),(14 551.34674),(15 547.8578),(16 552.9611),(17 552.56),(18 557.6593),(19 561.43585),(20 559.24023),(21 562.7833),(22 561.74774),(23 564.298),(24 557.19556),(25 555.3074),(26 562.5066),(27 557.9485),(28 557.1867),(29 553.32184),(30 556.3668),(31 554.85486),(32 549.9047),(33 551.83813),(34 553.20264),(35 551.7744),(36 549.21326),(37 546.9234),(38 549.12994),(39 553.04047),(40 552.3748),(41 550.71985),(42 554.7548),(43 553.94617),(44 555.8044),(45 558.696),(46 561.32886),(47 562.9131),(48 565.2342),(49 561.9613),(50 562.31854),(51 572.45166),(52 571.12354),(53 570.7053),(54 569.15967),(55 569.46643),(56 572.4094),(57 563.0779),(58 571.78735),(59 571.04553),(60 567.2998),(61 568.16516),(62 571.77527),(63 576.02954),(64 576.1201),(65 580.1007),(66 578.55725),(67 585.7022),(68 589.30634),(69 583.12134),(70 589.74304),(71 583.6505),(72 581.20264),(73 578.1356),(74 582.49646),(75 582.429),(76 582.94324),(77 582.6565),(78 580.6315),(79 575.75665),
(1 294.5403),(2 337.993),(3 376.62897),(4 396.14368),(5 411.1381),(6 436.33713),(7 447.05725),(8 461.25253),(9 460.4912),(10 477.55344),(11 488.87326),(12 498.36893),(13 502.82294),(14 510.79028),(15 519.38),(16 527.3383),(17 532.9477),(18 535.0364),(19 541.2266),(20 547.6055),(21 548.1416),(22 546.5986),(23 543.55066),(24 538.69214),(25 541.21094),(26 545.3753),(27 541.7661),(28 537.77057),(29 531.31195),(30 533.0863),(31 536.8683),(32 533.27826),(33 537.15936),(34 531.5116),(35 536.3178),(36 533.45496),(37 536.6836),(38 539.7765),(39 536.49554),(40 535.59595),(41 535.32104),(42 536.75824),(43 532.6671),(44 531.5689),(45 532.13086),(46 538.13745),(47 541.8808),(48 542.3155),(49 544.9216),(50 541.4097),(51 546.97876),(52 544.2151),(53 543.27545),(54 541.6928),(55 546.01154),(56 548.2069),(57 544.7377),(58 541.11456),(59 541.465),(60 541.56006),(61 544.8659),(62 546.80884),(63 555.794),(64 551.78864),(65 554.24524),(66 551.33264),(67 553.18964),(68 551.63684),(69 549.71484),(70 550.0505),(71 553.7911),(72 549.71106),(73 553.02246),(74 554.94),(75 551.5291),(76 552.1051),(77 550.0092),(78 552.13196),(79 545.598),
(1 292.95377),(2 334.21957),(3 378.85214),(4 400.6209),(5 408.98166),(6 433.48492),(7 449.55066),(8 465.53488),(9 467.88742),(10 481.4545),(11 489.98462),(12 496.07895),(13 498.5411),(14 501.07092),(15 513.83655),(16 518.3644),(17 524.56976),(18 529.3774),(19 532.85974),(20 536.0321),(21 537.87726),(22 533.91583),(23 539.2077),(24 533.3893),(25 538.1455),(26 541.14404),(27 541.3861),(28 536.8986),(29 536.4616),(30 526.175),(31 529.876),(32 530.4467),(33 530.1514),(34 532.59924),(35 528.2548),(36 528.1937),(37 536.7133),(38 538.98145),(39 536.96924),(40 544.39465),(41 543.7787),(42 549.20386),(43 546.19727),(44 548.22955),(45 548.8189),(46 548.0596),(47 550.30536),(48 550.2759),(49 551.1653),(50 552.0805),(51 552.77563),(52 551.114),(53 547.8391),(54 550.2645),(55 559.10175),(56 555.57324),(57 554.94775),(58 557.5567),(59 555.31384),(60 555.7491),(61 556.7247),(62 554.3785),(63 565.44025),(64 559.2347),(65 561.12195),(66 558.6186),(67 558.3878),(68 553.52686),(69 553.2831),(70 551.8743),(71 548.2436),(72 547.74286),(73 544.92096),(74 542.0761),(75 548.49866),(76 541.866),(77 537.9077),(78 532.63135),(79 531.31647),
