1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 18523.568),(2 42512.586),(3 62977.145),(4 106227.75),(5 136960.86),(6 168024.98),(7 196027.38),(8 221660.83),(9 251718.67),(10 283548.38),(11 311289.72),(12 334793.34),(13 369914.16),(14 399529.6),(15 428988.5),(16 456713.88),(17 490498.25),(18 520883.72),(19 556225.7),(20 588132.75),(21 624022.44),(22 677595.2),(23 727766.2),(24 768286.7),(25 857054.7),(26 916244),(27 969661.75),(28 1046093.3),(29 1120675.6),(30 1217008.5),(31 1335604),(32 1427992.9),(33 1500207.6),(34 1570289.6),(35 1624148),(36 1667196.1),(37 1711026.5),(38 1762098.6),(39 1803420.6),(40 1841187.5),(41 1841621.5),(42 1857196.4),(43 1861919.6),(44 1853774),(45 1844677.1),(46 1858994.5),(47 1854062),(48 1854667.9),(49 1861259.1),(50 1858583),(51 1839819),(52 1830258.1),(53 1796196),(54 1761803.1),(55 1726275.4),(56 1685652.4),(57 1650132),(58 1614926.5),(59 1578746),(60 1566241.5),(61 1559834.1),(62 1564459),(63 1549167.9),(64 1538498.9),(65 1532260.5),(66 1513203.4),(67 1519624.6),(68 1523360.9),(69 1605427.1),(70 1632149.1),(71 1667560.4),(72 1647562.1),(73 1669018.6),(74 1668677.9),(75 1675639),(76 1716176.6),(77 1743385.5),(78 1757084.6),(79 1824954.4),
(1 12476.242),(2 37727.38),(3 68215.1),(4 105276.39),(5 137841.78),(6 164788.89),(7 185407.13),(8 201318.1),(9 214645.56),(10 224465.97),(11 232104.61),(12 237806.48),(13 242639.55),(14 246852.1),(15 250308.9),(16 254097.88),(17 255261.47),(18 257284.98),(19 258264.03),(20 258705.92),(21 260486.81),(22 263161.78),(23 265576.03),(24 269552.6),(25 275741.53),(26 281447.2),(27 286215.4),(28 287973.84),(29 287984.34),(30 284996.34),(31 281883.4),(32 277977.47),(33 275184.06),(34 275129.16),(35 277451.44),(36 279321.25),(37 281535.8),(38 283883.94),(39 288217.56),(40 292532.56),(41 294033.25),(42 295957.88),(43 296685.75),(44 296297.47),(45 295535.3),(46 293686.28),(47 292891.5),(48 292553.75),(49 295228.8),(50 297137.28),(51 301488.13),(52 306671.8),(53 311608.13),(54 317239.94),(55 321353.1),(56 324433),(57 326919.1),(58 329265.4),(59 330019.66),(60 330593.47),(61 329340.75),(62 329099.75),(63 329148.38),(64 328670.34),(65 327954.88),(66 327663.3),(67 326707.4),(68 325675.9),(69 325268.97),(70 326770.9),(71 329333.03),(72 332070.56),(73 334557.4),(74 338179.7),(75 342420.06),(76 348592.88),(77 351632.6),(78 352920.97),(79 353537.63),
(1 13141.851),(2 39374.082),(3 70062.55),(4 106737.68),(5 137512.55),(6 161821.4),(7 180430.83),(8 194132.05),(9 203125.53),(10 208448),(11 213001.5),(12 217711.48),(13 223270.27),(14 228348.6),(15 233044.69),(16 237774.5),(17 241306.97),(18 245675.23),(19 250092.98),(20 252593.11),(21 256027.03),(22 259201.44),(23 262205.13),(24 265014.88),(25 269673.2),(26 273138.2),(27 276246.03),(28 276503.06),(29 276403.88),(30 275225.63),(31 274497.47),(32 272248.66),(33 270492.63),(34 269923.53),(35 269879.66),(36 270302.75),(37 271020.6),(38 272709.6),(39 274731.1),(40 277604.63),(41 282587.22),(42 285322.47),(43 288180.78),(44 291146.25),(45 295211.66),(46 299837.66),(47 305744.34),(48 309239.94),(49 310351.25),(50 312336.44),(51 314383.25),(52 317092.7),(53 320876.4),(54 325267.9),(55 329567.94),(56 332877.88),(57 334550.1),(58 332692.4),(59 326503.75),(60 320955.75),(61 316053.34),(62 312052.06),(63 310245.28),(64 308707.9),(65 306951.94),(66 304605.75),(67 303043.38),(68 301626.88),(69 303188.78),(70 304932.63),(71 308193.66),(72 311205.47),(73 312816.34),(74 315429.72),(75 318777.8),(76 324241.03),(77 327708.6),(78 332150.4),(79 335414.72),
(1 13032.675),(2 38537.063),(3 67979.92),(4 103952.64),(5 134489.95),(6 157735.1),(7 174652.98),(8 187349.98),(9 196694.88),(10 203005.23),(11 208710.48),(12 213493.23),(13 221470.19),(14 229333.77),(15 237335.27),(16 243693.84),(17 247460.69),(18 248383.61),(19 246310.8),(20 242078.72),(21 237977.77),(22 235774.34),(23 234842.06),(24 237705.5),(25 244365.98),(26 251458.89),(27 259367.13),(28 266106.56),(29 272132.72),(30 274759.8),(31 273253.53),(32 270644.13),(33 267517.47),(34 265312.56),(35 263990.1),(36 264146.56),(37 266155.88),(38 269539),(39 274915.25),(40 280637.22),(41 286362),(42 289512.66),(43 289789.56),(44 289010.3),(45 288581.13),(46 289244.44),(47 295049.13),(48 300786.47),(49 307235.25),(50 308862.47),(51 311507.56),(52 313580.78),(53 317161.53),(54 321314.94),(55 325322.03),(56 330288.25),(57 333468.72),(58 335204.75),(59 337777.84),(60 338766.56),(61 336939.25),(62 333628.47),(63 329325.56),(64 325136.56),(65 320960.84),(66 318258.3),(67 315939.78),(68 314131.22),(69 318195.63),(70 319020.3),(71 320600.1),(72 321578.13),(73 322460.7),(74 324724.56),(75 327469.28),(76 328016.75),(77 328410.53),(78 331406.22),(79 334342.22),
(1 13654.571),(2 41352.375),(3 74494.26),(4 113738.81),(5 147640.17),(6 172153.9),(7 187824.2),(8 198018.14),(9 205854.88),(10 213654.36),(11 221198.64),(12 229152.08),(13 237753.1),(14 245010.9),(15 250954.5),(16 254579.42),(17 255956.38),(18 256874.33),(19 256259.4),(20 256421.28),(21 257106.38),(22 260668.47),(23 264113.97),(24 266975.66),(25 271364.2),(26 273377.38),(27 274492.5),(28 273622.47),(29 273905.34),(30 273565.1),(31 270907.16),(32 269882.16),(33 268146.34),(34 269128.16),(35 271421.25),(36 276371.75),(37 281034.16),(38 284680.25),(39 287646.97),(40 290691.66),(41 293821.34),(42 296620.06),(43 299506.5),(44 302264.97),(45 304990),(46 307593.9),(47 312906.9),(48 316855.72),(49 317618.25),(50 317281.9),(51 317105.63),(52 316554.47),(53 317117.34),(54 321159.66),(55 326073.25),(56 331223.34),(57 333653.3),(58 333203.53),(59 331255.63),(60 327199),(61 321838.72),(62 316267.06),(63 311031.25),(64 307109.72),(65 306681.34),(66 309701.1),(67 314632.66),(68 315901.06),(69 314394.75),(70 316504.75),(71 318781.66),(72 319756.84),(73 322135.38),(74 324728.66),(75 327123.25),(76 328467.8),(77 331042.16),(78 335127.44),(79 337905.53),
(1 13260.688),(2 40114.582),(3 71514.11),(4 110784.58),(5 143020.13),(6 167441.16),(7 184716.73),(8 196346.56),(9 204542.86),(10 211548.86),(11 217277.92),(12 222608.27),(13 227795.19),(14 231237.45),(15 234931.27),(16 236826.67),(17 237653.86),(18 239206.27),(19 240438.17),(20 242440),(21 246128.73),(22 250069.7),(23 253875.75),(24 257591.86),(25 261068.2),(26 262379.25),(27 262479.44),(28 262280.28),(29 262168.6),(30 261726.69),(31 263550.25),(32 266554.8),(33 268796.25),(34 271674.06),(35 273902.06),(36 275823.28),(37 276647.75),(38 277696.34),(39 278443.56),(40 279649.25),(41 281756.1),(42 283243.25),(43 286161.78),(44 288913.25),(45 292602.16),(46 296713.28),(47 300652.34),(48 304985.8),(49 307365.34),(50 309766.53),(51 311703.75),(52 312483.13),(53 313468.16),(54 315246.53),(55 316056.53),(56 316585.6),(57 317176.75),(58 316154.5),(59 313418.72),(60 311750.4),(61 310982.9),(62 311846.94),(63 315087.56),(64 318435.94),(65 322519),(66 326172.6),(67 329917.44),(68 331456.78),(69 332991.72),(70 332004.88),(71 331344),(72 331903.84),(73 332886.9),(74 333657.63),(75 333498.06),(76 332594.3),(77 332465),(78 332937.63),(79 334264.88),
(1 13183.425),(2 39281.582),(3 69596.42),(4 104578.98),(5 134575.36),(6 156761.77),(7 173024.2),(8 184060.98),(9 192329.48),(10 200086.1),(11 208056.45),(12 214797.03),(13 222834.78),(14 227476.97),(15 231683.11),(16 235021.16),(17 236777.06),(18 237761.75),(19 237852.98),(20 238198.77),(21 239096.25),(22 239592.14),(23 241000.39),(24 240605.67),(25 240098.63),(26 239135.45),(27 237523.06),(28 237468.88),(29 237696.83),(30 238604.45),(31 240768.28),(32 244476.89),(33 248062.53),(34 251849.98),(35 256502.11),(36 261314.58),(37 265585.7),(38 268434.78),(39 271113.84),(40 274624.47),(41 279810.25),(42 283806.47),(43 286506.34),(44 287357.2),(45 287296.47),(46 286953.6),(47 286802.22),(48 287050.8),(49 286987.44),(50 286294.75),(51 285562.38),(52 284096.3),(53 280931),(54 279152.13),(55 278491.47),(56 277792.47),(57 276122.66),(58 275030.97),(59 274438.66),(60 272965.78),(61 271749.03),(62 271508.66),(63 272678.03),(64 275001.63),(65 277124),(66 279260.44),(67 279840.44),(68 279829.16),(69 280164.4),(70 280685.6),(71 281957.9),(72 284795.84),(73 288668.56),(74 292314.66),(75 294417.06),(76 294737.97),(77 295120.16),(78 296824.16),(79 298178.9),
(1 12414.564),(2 36427.973),(3 63759.44),(4 96761.375),(5 126803.87),(6 149901.19),(7 166363.48),(8 178561.17),(9 188892.98),(10 197195.42),(11 202621.42),(12 206399.1),(13 209813.47),(14 213506.63),(15 217351),(16 221094.63),(17 222460.33),(18 224870.58),(19 227586.42),(20 230005.4),(21 231971.17),(22 235153.86),(23 237758.72),(24 238848.19),(25 239537.08),(26 238576.55),(27 235541.88),(28 232552.88),(29 231064.6),(30 230127.81),(31 231168.69),(32 236083.63),(33 241369.73),(34 247116.22),(35 252226.45),(36 255498.38),(37 257733.42),(38 260178.6),(39 262495.75),(40 265247.1),(41 264958.03),(42 266294.72),(43 267598.6),(44 269595),(45 271422.75),(46 273881.47),(47 275032.16),(48 276602.84),(49 277587.4),(50 277095.25),(51 277255.28),(52 277228.8),(53 276546.3),(54 276008.63),(55 275046.75),(56 274539.38),(57 273280.66),(58 271497.66),(59 268562.88),(60 267822.44),(61 266969.28),(62 267911.25),(63 268064.84),(64 269451.53),(65 271041.72),(66 272536.28),(67 274223.8),(68 277589.38),(69 276967.53),(70 277505.03),(71 277889.2),(72 278117.22),(73 278830.38),(74 280586.06),(75 283085.06),(76 286885.94),(77 285166.6),(78 281384.16),(79 276866.72),
(1 12573.65),(2 37053.45),(3 64652.64),(4 98499.22),(5 127989.2),(6 148689.86),(7 163698.89),(8 173707.02),(9 181054.44),(10 186472.38),(11 190697.52),(12 193826.66),(13 195954.14),(14 196766.53),(15 197378.6),(16 198609.39),(17 200085.44),(18 202634.78),(19 205923.63),(20 209268.08),(21 211680.3),(22 216227.22),(23 219593.39),(24 221677.14),(25 223992.67),(26 224217.72),(27 224516.83),(28 225920.02),(29 228873.64),(30 231884.17),(31 235228.77),(32 239334.4),(33 243309.77),(34 247465.05),(35 250508.08),(36 253553.39),(37 255176.06),(38 256389.75),(39 257364.78),(40 259475.92),(41 258143.6),(42 257294.92),(43 255207.7),(44 253015.33),(45 251638.19),(46 251240.72),(47 251313.94),(48 252307.56),(49 255737.22),(50 256364.56),(51 257243.33),(52 257573.23),(53 256901.27),(54 255449.14),(55 254450.9),(56 254597.05),(57 254305.81),(58 253057.44),(59 250868.47),(60 250200.6),(61 251434.42),(62 255243.58),(63 259581.88),(64 262754.4),(65 264043.3),(66 264631.97),(67 264931.3),(68 264833.94),(69 266544.75),(70 267942.8),(71 270657.44),(72 274061.3),(73 276170.9),(74 277372.8),(75 278055.75),(76 277730.63),(77 277880.34),(78 280285.06),(79 282358.66),
(1 12601.938),(2 37411.33),(3 65963.28),(4 99621.38),(5 124808.34),(6 143104.7),(7 155118.11),(8 161872.63),(9 166671.38),(10 171066.56),(11 176435.06),(12 181343.75),(13 186323.16),(14 189322.81),(15 192085.77),(16 193514.23),(17 194585.17),(18 197795.38),(19 202982.53),(20 208259.61),(21 213748.92),(22 220763.56),(23 222343.2),(24 222320),(25 221463.75),(26 219784.16),(27 220004.48),(28 222112.5),(29 225537.94),(30 228634.23),(31 232654.58),(32 233805.03),(33 233750.05),(34 233639.61),(35 233484.77),(36 232749.8),(37 230929.47),(38 229842.02),(39 229212.92),(40 228125.38),(41 224389.28),(42 222646.67),(43 221325.95),(44 220753.28),(45 220480.63),(46 220127.84),(47 219150.53),(48 218646.19),(49 218871.9),(50 220754.94),(51 224489.33),(52 226271.03),(53 228188.89),(54 229694.44),(55 230323.67),(56 229869.38),(57 229313.17),(58 230365.61),(59 231481.6),(60 232234.11),(61 232845.2),(62 235065.22),(63 238748.44),(64 242739.84),(65 245459.52),(66 247028.88),(67 247354.84),(68 248052.55),(69 249952.8),(70 251540.83),(71 253683.28),(72 256550.02),(73 257772.1),(74 257231.27),(75 254565.9),(76 248932.98),(77 246178.78),(78 244841.7),(79 244598.34),
(1 12417.402),(2 36220.688),(3 62273.227),(4 91712.914),(5 113264.375),(6 129955.57),(7 142541.95),(8 151905.05),(9 159597.47),(10 165612.69),(11 170581.95),(12 174156.98),(13 178228.56),(14 182047.08),(15 186499.83),(16 191204.58),(17 195967.02),(18 201334.22),(19 207471.22),(20 213031.61),(21 217483.1),(22 222375.05),(23 225599.84),(24 229318.67),(25 232382.53),(26 235607.77),(27 238162.16),(28 240369.66),(29 241882.34),(30 241840.98),(31 242107.77),(32 241492),(33 241605.27),(34 243302.27),(35 243849.55),(36 244335.36),(37 244643.31),(38 244301.1),(39 243778.84),(40 243892.45),(41 244793.03),(42 245845.72),(43 247452.73),(44 249606.56),(45 252078.23),(46 254034.58),(47 254449.25),(48 255587.1),(49 259848.9),(50 262490.16),(51 264858.4),(52 264298.16),(53 262372.56),(54 259886.06),(55 256752.92),(56 253759.16),(57 252901.7),(58 253774.39),(59 256208.63),(60 258207.03),(61 259025.38),(62 259035.83),(63 259178.7),(64 259952.69),(65 261205.14),(66 262905.78),(67 265623.63),(68 267290.78),(69 261655.48),(70 258673.44),(71 256933.33),(72 255283.73),(73 253956.69),(74 252805.33),(75 250793.13),(76 250943.31),(77 253083.6),(78 256308.3),(79 258746.39),
(1 12522.163),(2 36824.54),(3 64151.164),(4 94236.7),(5 120123.78),(6 141295.1),(7 156434.4),(8 166976.55),(9 174982.4),(10 180529.48),(11 183542.88),(12 183398.8),(13 184163.7),(14 184656),(15 185980.39),(16 188355.78),(17 190919.63),(18 193553.78),(19 196401.16),(20 199183.06),(21 200979.6),(22 203029.44),(23 204312.16),(24 206353.7),(25 209861.55),(26 212182.39),(27 212913.77),(28 213359.11),(29 214335.1),(30 214559.17),(31 214378.16),(32 214686.48),(33 216321.48),(34 217713.06),(35 219275.67),(36 220603.23),(37 222012.63),(38 223915.5),(39 225637.05),(40 227666.2),(41 229560.38),(42 232097.55),(43 235447.5),(44 239567.6),(45 244760.39),(46 248645.77),(47 250485.67),(48 252871.55),(49 253529.17),(50 252788.38),(51 254256.34),(52 255316.16),(53 256512.1),(54 255619.98),(55 256081.66),(56 257723.22),(57 259535.16),(58 259500.98),(59 258354.67),(60 256481.4),(61 254913.2),(62 253716.89),(63 255558.52),(64 257872.38),(65 259253.66),(66 260460.28),(67 258130.44),(68 255840.78),(69 251139.17),(70 249268.05),(71 249069.66),(72 249352.06),(73 248103),(74 246556.39),(75 245492.67),(76 246606.78),(77 247516.48),(78 248008.13),(79 249168.6),
(1 13019.769),(2 38535.688),(3 67576.83),(4 100752.22),(5 127780.76),(6 147335.13),(7 161091.86),(8 169261.63),(9 175096.42),(10 178650.83),(11 181898.73),(12 182781.33),(13 182971.38),(14 183656.84),(15 185171.44),(16 187266.69),(17 189880.3),(18 193642.02),(19 196482.28),(20 198075.08),(21 197555.08),(22 196970.9),(23 196139.08),(24 195401.94),(25 194205.94),(26 195363.72),(27 197209.34),(28 199300.4),(29 203221.44),(30 206715.44),(31 209981.45),(32 211946.25),(33 213559.7),(34 214630.34),(35 214346.11),(36 213704.83),(37 212762.55),(38 214631.45),(39 216151.11),(40 219731.34),(41 221692.6),(42 224809.08),(43 228742.95),(44 231385.77),(45 233618.02),(46 235295.1),(47 235832.14),(48 237011.39),(49 238538.17),(50 239340.25),(51 240968.98),(52 242259.5),(53 244261.5),(54 245167.47),(55 244768.38),(56 242697.2),(57 241902.89),(58 240786.19),(59 239966.56),(60 238698.31),(61 236366.69),(62 234528.8),(63 233945.56),(64 233165.4),(65 233618.69),(66 233630.06),(67 232732.5),(68 231124.8),(69 231602.6),(70 231677.4),(71 232888.44),(72 234740.95),(73 236644.13),(74 237944.9),(75 238248.25),(76 235952.48),(77 233978.95),(78 233203.16),(79 232357.39),
(1 13064.639),(2 38613.7),(3 67588.82),(4 99472.914),(5 122249.52),(6 139451.58),(7 151877.89),(8 158853.72),(9 163363.98),(10 166132.58),(11 169099.45),(12 171200.31),(13 174936.69),(14 177792.44),(15 180993.88),(16 183947.2),(17 186766.17),(18 190351.23),(19 193772.55),(20 196318.53),(21 197033.11),(22 195290.89),(23 193476.84),(24 192556.73),(25 190895.61),(26 190964.73),(27 192088.06),(28 194442.25),(29 197410.42),(30 200237.06),(31 203827.72),(32 208904.02),(33 214532.45),(34 220080.08),(35 224287.45),(36 228029.06),(37 231546.94),(38 234160.5),(39 235709.13),(40 236468.55),(41 234346.3),(42 232046.3),(43 230065.31),(44 228672.58),(45 228030.66),(46 229126.94),(47 231037.84),(48 233967.56),(49 237485.7),(50 239124.88),(51 241722.77),(52 243484.89),(53 244231.66),(54 246674.16),(55 249437.4),(56 250311.66),(57 251178.61),(58 250210),(59 249487.48),(60 246847.78),(61 241232.58),(62 236393.98),(63 234038.44),(64 234770.72),(65 237130.98),(66 239374.38),(67 240444.05),(68 240811.55),(69 241924.1),(70 242130.73),(71 242148.72),(72 242410.45),(73 242202.73),(74 242480.44),(75 241423.64),(76 239381.75),(77 236913.55),(78 233651.47),(79 229397.06),
(1 12379.411),(2 35913.04),(3 62022.305),(4 92302.875),(5 115884.9),(6 133729.55),(7 147331.13),(8 156145.89),(9 163249.17),(10 167832.83),(11 171703.45),(12 175137.58),(13 181572.33),(14 185079.55),(15 188030.31),(16 191162.66),(17 194581.22),(18 198683.06),(19 202420.69),(20 204977.67),(21 206405.05),(22 205616.08),(23 201907.16),(24 198638.94),(25 194336.61),(26 192487.39),(27 192269.67),(28 192678.66),(29 194221.16),(30 195777.73),(31 200010.4),(32 203360.11),(33 205917.16),(34 207268.39),(35 209258.31),(36 212635.98),(37 217793.42),(38 223062.08),(39 228030.69),(40 231873.69),(41 233053.28),(42 234655.55),(43 235501.16),(44 235721.34),(45 237020.78),(46 239830.66),(47 243877.6),(48 248071.52),(49 247582.13),(50 245861.84),(51 245147.47),(52 244782.22),(53 244127.63),(54 246160.33),(55 248949.81),(56 251124.61),(57 252626.53),(58 251679.22),(59 248749.22),(60 247177.55),(61 245264.73),(62 244919.58),(63 244090.89),(64 243040.22),(65 242383.33),(66 240980.95),(67 239834.69),(68 239892.08),(69 241010.89),(70 241483.92),(71 241865.06),(72 241768.45),(73 239811.67),(74 238657.61),(75 237154.6),(76 236188.88),(77 235649.39),(78 233311.05),(79 230575.02),
(1 12502.348),(2 36310.758),(3 62097.832),(4 89361.07),(5 109030.68),(6 121252.42),(7 128690.95),(8 134242.13),(9 139104.03),(10 144254.81),(11 149046.92),(12 152374.47),(13 155694.83),(14 157811.25),(15 160055.36),(16 163140.4),(17 166129.23),(18 168707.78),(19 171728.16),(20 174237.7),(21 176455.7),(22 178825.38),(23 179013.81),(24 178700.36),(25 177922.89),(26 178311.58),(27 180371.17),(28 182479.8),(29 184189.61),(30 184671.39),(31 183302.27),(32 182142.81),(33 181207.47),(34 180070.36),(35 178620.98),(36 178262.4),(37 178922.47),(38 180812.9),(39 182833.05),(40 185147.73),(41 185539.27),(42 185208.78),(43 184563.61),(44 184492.02),(45 184638.92),(46 186009.36),(47 185465.9),(48 186347.31),(49 188164.55),(50 187615.95),(51 185926.53),(52 185368.2),(53 187198.64),(54 190685.38),(55 194611.7),(56 198382.48),(57 200909.45),(58 203284.28),(59 203597.19),(60 202618.63),(61 200673.44),(62 200038.78),(63 199702.81),(64 199254.2),(65 197750.73),(66 196994.44),(67 195660.75),(68 196229.08),(69 199502.77),(70 201551.94),(71 204435.95),(72 207215.02),(73 208508.55),(74 209129.38),(75 209209.6),(76 207638.58),(77 206800.63),(78 205974.39),(79 203907.61),
(1 11875.359),(2 34542.586),(3 59227.2),(4 84898.125),(5 104687.68),(6 118112.18),(7 127020.484),(8 132604.52),(9 137118.45),(10 142056.05),(11 147697.23),(12 152023.84),(13 156703.63),(14 160404.25),(15 164046.9),(16 167205.19),(17 169793.47),(18 171301.86),(19 171887.17),(20 170476.1),(21 168826.73),(22 167557.03),(23 165430.23),(24 163639.3),(25 162835.28),(26 161591.88),(27 162540.64),(28 163088.34),(29 163716.42),(30 163857.06),(31 162487.64),(32 162048.28),(33 162001.83),(34 163061.45),(35 163834.36),(36 164467.81),(37 166655.02),(38 169478.73),(39 171791.86),(40 173968.6),(41 174840.23),(42 176770.6),(43 178404.95),(44 179538.58),(45 181034.61),(46 183274.9),(47 187166.84),(48 189234.5),(49 188271.36),(50 188938.06),(51 190289.23),(52 191958.06),(53 194604.81),(54 197653.66),(55 200031.17),(56 201796.39),(57 202719.63),(58 201563.8),(59 200377.72),(60 201298),(61 201078.6),(62 201589.53),(63 201379.77),(64 199876.08),(65 198694.14),(66 198626.16),(67 198435.69),(68 198921.28),(69 202315.39),(70 203439.64),(71 203799.56),(72 205367.48),(73 206112),(74 206201.45),(75 205559.36),(76 204933.28),(77 204731.03),(78 204731.77),(79 204702.66),
(1 11746.851),(2 34015.363),(3 58844.883),(4 85855.13),(5 105994.63),(6 119587.18),(7 129015.08),(8 135917.77),(9 142207.42),(10 148480.58),(11 154599.66),(12 158926.56),(13 162568.47),(14 165006.11),(15 167278.78),(16 169749.63),(17 172458.73),(18 176524.19),(19 179421.2),(20 180129.44),(21 180947.1),(22 180535.8),(23 180216.3),(24 179248.25),(25 178295.16),(26 175709.81),(27 173483.17),(28 171820.63),(29 170079.1),(30 167814.13),(31 165606.53),(32 164760.98),(33 164632.16),(34 166245.98),(35 169056.2),(36 172512.97),(37 176380.78),(38 179573.11),(39 179994.48),(40 180063.8),(41 180980.81),(42 183011.56),(43 185824.36),(44 189332.1),(45 193187.81),(46 196647.83),(47 197996.06),(48 199168.13),(49 201012.16),(50 201019.61),(51 200779.39),(52 200823.83),(53 201586.78),(54 203802.55),(55 205736.28),(56 206855.66),(57 207255.13),(58 206464.1),(59 204716.16),(60 205062.22),(61 205246.88),(62 206060.61),(63 205799.25),(64 205959.16),(65 205633.81),(66 205691.94),(67 206126.39),(68 208089.64),(69 209870.78),(70 210287.53),(71 209995.55),(72 211227.56),(73 213038.45),(74 214130.06),(75 214205.06),(76 215831.8),(77 216550.48),(78 217208.88),(79 216591.8),
