1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 163047.39),(2 555505.6),(3 1111277.9),(4 1748039.9),(5 2431500.5),(6 3166634.8),(7 3928789.3),(8 4726218.5),(9 5546374.5),(10 6393225.5),(11 7255646.5),(12 8181403.5),(13 9107907),(14 10025417),(15 11172259),(16 12476199),(17 13755648),(18 15189288),(19 16725772),(20 18428184),(21 20318320),(22 22127586),(23 24090928),(24 26153878),(25 28431808),(26 30846136),(27 33408638),(28 36402900),(29 39372188),(30 42529364),(31 45761076),(32 49162676),(33 52531904),(34 56045716),(35 59867056),(36 63870740),(37 67910020),(38 71910590),(39 76319030),(40 80587670),(41 85200020),(42 90031300),(43 95601864),(44 100926920),(45 106806780),(46 112780220),(47 118880904),(48 125005976),(49 131383870),(50 137633340),(51 144101010),(52 150675000),(53 157329520),(54 163694530),(55 170493940),(56 176842080),(57 183512910),(58 190525250),(59 197107630),(60 203755780),(61 210825330),(62 217924880),(63 225567060),(64 232808450),(65 240057300),(66 246955260),(67 253804270),(68 260587570),(69 268043950),(70 274993630),(71 282658850),(72 290148450),(73 297964400),(74 305212000),(75 312771800),(76 320269920),(77 327937800),(78 335042720),(79 342379230),
(1 38479.836),(2 94643.27),(3 131845.89),(4 149620.52),(5 157526.66),(6 165776.53),(7 175966.13),(8 184678.34),(9 189692.69),(10 193214.78),(11 197452.9),(12 202161.19),(13 206769.22),(14 207566.84),(15 210149.69),(16 211825.1),(17 210537.94),(18 210750.08),(19 211010.27),(20 211500.47),(21 212579.47),(22 214029.7),(23 214216.95),(24 212495.8),(25 211284.13),(26 211899.06),(27 211828.27),(28 211701.98),(29 212408.67),(30 214954.81),(31 218412.53),(32 219729.92),(33 218700.86),(34 218509.94),(35 215243.53),(36 211832.66),(37 207455.92),(38 205715.31),(39 204409.16),(40 203791.53),(41 203353.06),(42 203181.22),(43 201230.9),(44 200424.73),(45 201440.16),(46 202434.45),(47 203932.34),(48 206020.11),(49 210173.48),(50 215231.33),(51 217622.7),(52 218430.28),(53 217432.11),(54 218056.81),(55 220361.55),(56 223401.67),(57 223906.31),(58 222593.56),(59 221177.45),(60 219050.81),(61 218602.9),(62 221129.56),(63 224101.25),(64 222542.05),(65 218221.53),(66 215254.47),(67 214163.08),(68 213642.64),(69 213918.75),(70 213966.34),(71 214832.7),(72 217052.95),(73 219147.84),(74 218890.22),(75 218915.92),(76 218429.64),(77 220305.14),(78 223875.2),(79 227385.63),
(1 38835.31),(2 95727.33),(3 132983.39),(4 147865.3),(5 153580.38),(6 160170.7),(7 167115.5),(8 174312.75),(9 181623.38),(10 191184.36),(11 200238.98),(12 206450.73),(13 208844.47),(14 209353.7),(15 211958.92),(16 217074.2),(17 218855.42),(18 220419.98),(19 221691.44),(20 224220.63),(21 226948.3),(22 229064.75),(23 230011.56),(24 230382.97),(25 230985.27),(26 228247.66),(27 223741.17),(28 220375.48),(29 220100.69),(30 219458.83),(31 219319.66),(32 219021.2),(33 218463.3),(34 220925.16),(35 223227.45),(36 222086.19),(37 218440.67),(38 217681.36),(39 219011.52),(40 219587.39),(41 220411.33),(42 220213.5),(43 219789.92),(44 219164.84),(45 217388.78),(46 215489.75),(47 210192.66),(48 205478.2),(49 202004.1),(50 201000.72),(51 201501.42),(52 202508.03),(53 204424.64),(54 207418.52),(55 208980.22),(56 209996.47),(57 212071.27),(58 211629.83),(59 209784.34),(60 209246.86),(61 209235.39),(62 212003.67),(63 214576.2),(64 216854.88),(65 218317.86),(66 220730.02),(67 223180.88),(68 221895.25),(69 218394.06),(70 216190.61),(71 216142.03),(72 216800.2),(73 217135.6),(74 216268.23),(75 212758.67),(76 208757.72),(77 205670.02),(78 203527.47),(79 202095.13),
(1 37914.51),(2 93385.82),(3 130548.1),(4 147037.08),(5 154123.64),(6 162161.84),(7 169469.02),(8 173465.17),(9 178352.47),(10 186472.55),(11 196377.64),(12 202607.06),(13 203000.98),(14 198662.27),(15 196048.94),(16 198174.36),(17 199608.36),(18 201958.28),(19 206664.52),(20 210996.14),(21 213498.27),(22 213449.78),(23 212665.77),(24 213042.8),(25 214727.33),(26 215053.86),(27 213182.55),(28 211497.84),(29 214758.7),(30 218934.64),(31 221003.28),(32 220930.83),(33 219954.11),(34 218446.36),(35 217080.16),(36 215713.4),(37 214845.47),(38 215428.67),(39 214446.94),(40 213182.9),(41 214117.84),(42 215557.9),(43 215420.53),(44 216517.8),(45 217353.7),(46 218521.05),(47 217074.56),(48 212610.97),(49 208143.92),(50 204736.94),(51 200715.08),(52 200493.14),(53 201394.78),(54 202568.8),(55 203045.58),(56 199276.83),(57 196096.53),(58 195371.83),(59 197918.67),(60 200753.69),(61 200712.5),(62 199176.77),(63 200459.03),(64 203133.5),(65 206724.67),(66 209762.77),(67 210494.1),(68 210062.2),(69 208390.83),(70 207136),(71 204732.36),(72 204047.55),(73 203670.34),(74 203724.31),(75 203600.3),(76 202781.05),(77 203910.89),(78 204062.61),(79 205093.1),
(1 37291.41),(2 90323.58),(3 126299.29),(4 145771.5),(5 155034.89),(6 162353.73),(7 167624.53),(8 170102.53),(9 172723.28),(10 176494.86),(11 182817.58),(12 187006.95),(13 185657.98),(14 182064.75),(15 181075.42),(16 183279.55),(17 186100.88),(18 185727.2),(19 184688.58),(20 185135.42),(21 186114.39),(22 187343.78),(23 187620.77),(24 189256.02),(25 191481.2),(26 192399.4),(27 192047.16),(28 191332.72),(29 191767.33),(30 193662.23),(31 194898.66),(32 194574.02),(33 195196.38),(34 198396.19),(35 200012.9),(36 199484.69),(37 200056.28),(38 199568.58),(39 197421.61),(40 196205.48),(41 196148.13),(42 196347.02),(43 193314.34),(44 189336.94),(45 185643.08),(46 182182.86),(47 179384.53),(48 178503.56),(49 180359.78),(50 181899.88),(51 182564.14),(52 181998.23),(53 182645.2),(54 185315.13),(55 189218.89),(56 192931.42),(57 195132.25),(58 195327.97),(59 195729.83),(60 193911.8),(61 191080.53),(62 188707.88),(63 188465.73),(64 190058.7),(65 192413.42),(66 191968.9),(67 190588.73),(68 189886.05),(69 192305.06),(70 194714.7),(71 194792.36),(72 193476.47),(73 191874.77),(74 190386.95),(75 187072.13),(76 183038.11),(77 180161.39),(78 178695.06),(79 179657.14),
(1 34483.98),(2 82425.53),(3 112388.97),(4 128542.7),(5 137298.03),(6 143638.23),(7 148921.94),(8 153704.53),(9 158990.75),(10 164855.8),(11 170996.45),(12 173708.17),(13 174860.73),(14 175902.2),(15 179349.56),(16 183109.34),(17 184519.23),(18 185007.88),(19 183433.77),(20 181288.14),(21 180615.89),(22 181929.95),(23 182266.69),(24 183591.75),(25 185468.28),(26 187467.33),(27 187759.75),(28 185125.64),(29 182723.36),(30 182519.58),(31 185480.86),(32 187346.2),(33 186097.75),(34 185188.16),(35 184182.56),(36 182765.86),(37 183039.81),(38 184809.61),(39 187300.58),(40 191226.05),(41 192578.14),(42 193208.55),(43 192474.27),(44 190466.75),(45 186894.23),(46 183620.48),(47 182055.16),(48 181025.48),(49 182057.6),(50 183755.27),(51 184189.55),(52 182995),(53 183018.16),(54 182769.6),(55 183444.55),(56 182656.06),(57 182441),(58 183712.27),(59 186161.45),(60 185665.16),(61 183111.83),(62 181338.7),(63 181797.73),(64 182960.28),(65 183455.19),(66 184293.73),(67 187044.42),(68 189423.48),(69 190961.86),(70 191113.11),(71 191317.06),(72 191755.84),(73 192101.1),(74 191963.52),(75 190445.53),(76 188231.72),(77 185960.66),(78 184902.69),(79 183710.47),
(1 34935.348),(2 84029.9),(3 114633.66),(4 129265.9),(5 135199.02),(6 138455.66),(7 141808.3),(8 146225.52),(9 149154.56),(10 151505.88),(11 154715.52),(12 156411.72),(13 156813.97),(14 158818.02),(15 162369.75),(16 165922.75),(17 167975.27),(18 168605.45),(19 171236.98),(20 173822.86),(21 177141.34),(22 178583.17),(23 177848.22),(24 176211.95),(25 174413.83),(26 173549.39),(27 173522.7),(28 173938.47),(29 174537.64),(30 175424.42),(31 176924.69),(32 178043.11),(33 178016.88),(34 176669.52),(35 175741.47),(36 175647.5),(37 176584.42),(38 179419.47),(39 182196.2),(40 183142.52),(41 184024.27),(42 184152.53),(43 184886.94),(44 183985.28),(45 183277.08),(46 182163.22),(47 181775.27),(48 181246.86),(49 181322.27),(50 181980.39),(51 183864.27),(52 185390.28),(53 186364.1),(54 186096.39),(55 184928.36),(56 183457.53),(57 184171),(58 185540.88),(59 184014.77),(60 179568.2),(61 174861.56),(62 172583.9),(63 171947.7),(64 170963.47),(65 169496.89),(66 169219.52),(67 170153.61),(68 170775.97),(69 171277.16),(70 171693.47),(71 172229.47),(72 171745.02),(73 171409.8),(74 173184.66),(75 175181.55),(76 175617.22),(77 175257.98),(78 174622.27),(79 172349.36),
(1 33021.637),(2 78200.19),(3 108486.266),(4 123188.25),(5 131169.55),(6 135497.89),(7 140285.6),(8 144322.84),(9 150626.88),(10 158596.7),(11 166493.95),(12 171000.33),(13 170751.11),(14 168825.13),(15 168993.92),(16 172133.6),(17 175796.7),(18 177653.72),(19 177071.2),(20 175061.47),(21 174879.66),(22 176106.14),(23 177934.03),(24 179243.5),(25 178661.97),(26 177890.94),(27 177916.47),(28 176412.77),(29 176628.86),(30 177757.86),(31 179121.6),(32 179200.45),(33 176515.47),(34 173460.5),(35 174365.67),(36 178247),(37 180908.36),(38 181710.38),(39 181774.03),(40 179190.84),(41 176692.36),(42 176859.47),(43 178305.86),(44 177682.39),(45 175750.16),(46 173123.67),(47 170360.33),(48 169495.95),(49 171878.73),(50 171722.39),(51 170130),(52 170821.88),(53 172649.3),(54 173998.02),(55 175912.88),(56 179382.88),(57 180713),(58 180199.4),(59 180424.61),(60 179601.66),(61 177295.11),(62 173489.7),(63 170126.14),(64 167613.55),(65 166661.7),(66 167235.34),(67 167473.11),(68 166767.03),(69 164169.3),(70 162385.44),(71 163474.69),(72 165539.28),(73 167456.9),(74 168520.72),(75 169438.84),(76 173053.2),(77 174633),(78 174653.33),(79 173849.64),
(1 33024.152),(2 79736.805),(3 110271.92),(4 124655.42),(5 132001.2),(6 136747.08),(7 141082.5),(8 147057.73),(9 154123.39),(10 159812.56),(11 163132.58),(12 163569.7),(13 161343.86),(14 161671.5),(15 163674.36),(16 167527.98),(17 173170.8),(18 175898.28),(19 175688.52),(20 176502.17),(21 178306.33),(22 178567.69),(23 179013.31),(24 179252.94),(25 178694.95),(26 178338.08),(27 178535.44),(28 179935.06),(29 179589.16),(30 176915.34),(31 175867.53),(32 175785.48),(33 176367.2),(34 175589.03),(35 172710.95),(36 169883.33),(37 169150.08),(38 170383.56),(39 174004.6),(40 175434.78),(41 176693.73),(42 179062.11),(43 180255.58),(44 177763.84),(45 173636.06),(46 170759.5),(47 169700.36),(48 170086.4),(49 171745.61),(50 173280.89),(51 172342.61),(52 171656.92),(53 170189.86),(54 169044.03),(55 168303.53),(56 166540.78),(57 166072.72),(58 166902.4),(59 168247.22),(60 170582.7),(61 171129.55),(62 169789.81),(63 166775.95),(64 164745.67),(65 166080.58),(66 168612.7),(67 169626.63),(68 167860.44),(69 164362.94),(70 160744.53),(71 159803.98),(72 161670.75),(73 163604.25),(74 165664.77),(75 166056.88),(76 166364.13),(77 168060.69),(78 170314.6),(79 173092.73),
(1 34523.914),(2 81581.38),(3 111628.93),(4 126118.41),(5 131801.4),(6 134893.4),(7 140167.83),(8 148259.08),(9 154789.67),(10 157153.1),(11 156748.61),(12 154986.8),(13 155310.61),(14 159248.47),(15 163427.67),(16 163864.3),(17 162268.5),(18 160848.31),(19 160703.72),(20 162003.83),(21 166131.94),(22 169507.36),(23 169547.97),(24 169426.03),(25 169135.83),(26 167618.47),(27 165802.73),(28 165904.33),(29 165859.8),(30 163846.95),(31 163554.52),(32 164382.02),(33 166910.02),(34 169264.28),(35 170632.45),(36 169849.52),(37 167850.84),(38 166326.89),(39 164821.88),(40 162608.33),(41 163164.13),(42 164102.33),(43 163974.42),(44 163616.14),(45 164272.92),(46 164185.53),(47 162092.73),(48 160096.17),(49 160234.72),(50 161620.42),(51 164040.36),(52 164943.47),(53 164435.84),(54 165225.92),(55 165515.61),(56 166186.86),(57 165668.45),(58 163220.81),(59 160766.8),(60 158162.06),(61 156736.05),(62 156182.61),(63 154812.47),(64 153825.8),(65 155131.05),(66 156951.81),(67 157048.08),(68 157144.48),(69 156070.02),(70 154102.3),(71 153459.67),(72 153443.4),(73 150577.63),(74 148084.8),(75 147358.42),(76 147432.61),(77 147056.84),(78 147371.47),(79 146396.53),
(1 33934.332),(2 78099.23),(3 103790.19),(4 114416.85),(5 117195.984),(6 120003.52),(7 125475.65),(8 132675.53),(9 140096.53),(10 144140.4),(11 144762.55),(12 142793.39),(13 143537),(14 146489.5),(15 149940.05),(16 152631.53),(17 153990.5),(18 154331.22),(19 153066.64),(20 152621.44),(21 155589.33),(22 160578.25),(23 163236.56),(24 162808.4),(25 160901.78),(26 160456.3),(27 160211.52),(28 160157.2),(29 161375.11),(30 164457.6),(31 166333.83),(32 166963.22),(33 167130.3),(34 167270.23),(35 165757.25),(36 163269.8),(37 161948.83),(38 162665.27),(39 162638.3),(40 162707.48),(41 163295.92),(42 163404.33),(43 161813.3),(44 160672.84),(45 160848.34),(46 161591.11),(47 160220.7),(48 158260.58),(49 157195.06),(50 155979.42),(51 155383.13),(52 153748.14),(53 151830.66),(54 151974.19),(55 154545.53),(56 158347.36),(57 158923.52),(58 156360.55),(59 153376.14),(60 151875.73),(61 152217.66),(62 150560),(63 149127.27),(64 147368.45),(65 146969.02),(66 146481.69),(67 147073.67),(68 147332.36),(69 147637.56),(70 148877.45),(71 151566.72),(72 154159.78),(73 155007.03),(74 154619.36),(75 153119.69),(76 150483.72),(77 148381.4),(78 147557.23),(79 146981.95),
(1 33264.32),(2 77750.48),(3 103563.41),(4 116484.5),(5 123675.86),(6 128944.58),(7 133862.13),(8 138090.67),(9 141736.92),(10 145453.9),(11 147943.72),(12 146368.23),(13 143625.52),(14 142710.47),(15 144161.47),(16 144502.1),(17 146719.39),(18 149799.39),(19 152831.42),(20 153500.61),(21 154209.4),(22 155640.03),(23 155474.22),(24 154695.73),(25 152688.08),(26 151435.56),(27 151840.75),(28 151485.92),(29 151090.64),(30 152217.23),(31 153470.52),(32 154447.75),(33 154873.19),(34 155739.5),(35 156982.42),(36 157537.33),(37 156924.25),(38 156394.47),(39 156042.75),(40 156942.16),(41 157258.42),(42 157854.48),(43 159014.08),(44 159157.9),(45 156525.42),(46 154880.88),(47 153330.48),(48 152555.81),(49 154208.8),(50 154253.83),(51 153346.75),(52 152305.81),(53 151861.6),(54 151484.42),(55 150832.86),(56 149947.36),(57 149844.16),(58 147999.67),(59 146072.14),(60 144768.66),(61 145298.53),(62 144859.58),(63 143688.06),(64 143837.55),(65 145399.78),(66 147276.81),(67 148567.86),(68 149161.38),(69 149949.66),(70 150226.52),(71 151163.36),(72 153151.69),(73 153848.97),(74 153577.6),(75 151871.89),(76 149706.44),(77 149924.58),(78 151322.55),(79 152816.11),
(1 30915.64),(2 71460.445),(3 94221.08),(4 104289.5),(5 110280.32),(6 113250.39),(7 115860.59),(8 118755.68),(9 123031.71),(10 126638.664),(11 128879.83),(12 129165.15),(13 129006.33),(14 129477.67),(15 130828.58),(16 132151.67),(17 132961.13),(18 133762.75),(19 135327.36),(20 136215.9),(21 137867.55),(22 139045.98),(23 139960.31),(24 140468.58),(25 139697.1),(26 140115.8),(27 141142.39),(28 141907.13),(29 142449.27),(30 142016.78),(31 143154.7),(32 145371.19),(33 145257.6),(34 144863.14),(35 144569.69),(36 145335.52),(37 144554.86),(38 143366.86),(39 142717.6),(40 143709.72),(41 144870.06),(42 145833.58),(43 146704.78),(44 147050.23),(45 147120.34),(46 147106.53),(47 148044.1),(48 149847.11),(49 150307.22),(50 147673.78),(51 146424.75),(52 145102.42),(53 143933.16),(54 144467.58),(55 144925.55),(56 145368.98),(57 145335.19),(58 143416),(59 140885.75),(60 139588.61),(61 140781.16),(62 142545.8),(63 142748.92),(64 143050.5),(65 143000.64),(66 142614.73),(67 142026.25),(68 141577.38),(69 140577.94),(70 138465.45),(71 136173.47),(72 136897),(73 139199.98),(74 142004.97),(75 144493.9),(76 145399.6),(77 145784.11),(78 146030.45),(79 144395.66),
(1 31103.693),(2 70820.66),(3 91611.914),(4 99839.61),(5 105562.984),(6 112055.625),(7 118509.586),(8 124756.16),(9 128755.82),(10 129208.195),(11 129066.06),(12 129709.08),(13 133328.72),(14 136727.58),(15 137013.58),(16 135230.98),(17 133008.97),(18 133834.66),(19 136786),(20 140285.05),(21 143727.8),(22 145149.67),(23 145409.9),(24 144881.2),(25 143908.53),(26 144647.94),(27 145902.4),(28 146689.75),(29 147534.98),(30 147398.83),(31 146196.23),(32 144001.97),(33 142712.25),(34 141905.25),(35 143416.75),(36 145899.06),(37 146841.19),(38 146523.19),(39 145462.5),(40 145199.45),(41 145880.2),(42 147255.58),(43 146738),(44 145386.86),(45 143836.44),(46 143468.8),(47 143555.17),(48 143132.45),(49 142584.05),(50 141902.33),(51 142425.08),(52 142893.17),(53 143574.89),(54 143336.58),(55 142089.28),(56 141990.28),(57 142681.16),(58 141830.47),(59 141565.14),(60 141987.19),(61 141446.66),(62 140250.69),(63 138740.39),(64 137524.4),(65 135625.8),(66 134962.64),(67 134604.08),(68 135154.27),(69 135991.89),(70 135672),(71 134115.77),(72 133949.52),(73 135340.17),(74 138211.27),(75 140045.94),(76 140432.03),(77 140050.81),(78 138063.05),(79 138395.14),
(1 30501.389),(2 68681.92),(3 89275.82),(4 97612.22),(5 103208.07),(6 108182.77),(7 114314.76),(8 121195.44),(9 125570.445),(10 128074.6),(11 129407.336),(12 130240.664),(13 131796.38),(14 132883.77),(15 133409.47),(16 133695.4),(17 133268.55),(18 132505.95),(19 132573.31),(20 133465.4),(21 134973.72),(22 134599),(23 132511.72),(24 130294.195),(25 130014.37),(26 131417.31),(27 131045.2),(28 129900.58),(29 130798.914),(30 132989.02),(31 134700.2),(32 135119.25),(33 136338.44),(34 138411.31),(35 139250.63),(36 139400.92),(37 139066.44),(38 137852.73),(39 137203.1),(40 136698.38),(41 137803.14),(42 138558.6),(43 138430.72),(44 138364.44),(45 138827.06),(46 139443.72),(47 139675.31),(48 140891.86),(49 140559.05),(50 139256.23),(51 138389.08),(52 139500.05),(53 141073.48),(54 142554.67),(55 142591.06),(56 140181.52),(57 137458.39),(58 135038.28),(59 134046.33),(60 134160.8),(61 134873.5),(62 135609.56),(63 136327.16),(64 137073.89),(65 135625.27),(66 135304.61),(67 134998.63),(68 134064.23),(69 132813.53),(70 132589.27),(71 132448.69),(72 133241),(73 135810.19),(74 137745.84),(75 138576.28),(76 137074.94),(77 134766.38),(78 133239.31),(79 134718.45),
(1 29244.482),(2 65890.29),(3 87613.37),(4 98318.13),(5 104419.734),(6 108898.055),(7 112251.24),(8 117345.43),(9 120904.73),(10 124479.7),(11 127032),(12 128783.34),(13 129772.38),(14 130638.484),(15 132016.84),(16 134209.77),(17 135774.22),(18 136536.34),(19 137419.17),(20 137316.84),(21 136903.5),(22 136438.34),(23 136614.95),(24 137463.17),(25 139553.27),(26 141793.16),(27 142545.31),(28 140427.45),(29 137937.55),(30 135486.9),(31 132524.34),(32 130233.586),(33 129668.625),(34 132467),(35 135876.92),(36 137248.36),(37 138063.36),(38 139342.1),(39 141871),(40 142408.58),(41 141235.02),(42 140655.58),(43 139421.22),(44 139148.98),(45 137650.84),(46 134602.69),(47 132155.05),(48 131560.5),(49 131139.77),(50 130119.41),(51 128552.33),(52 128916.734),(53 129214.52),(54 129327.55),(55 129398.38),(56 128755.42),(57 127310.91),(58 126056.47),(59 125504.96),(60 125666.71),(61 123625.67),(62 122990),(63 124949.08),(64 127357.22),(65 128324.87),(66 130334.95),(67 132045.27),(68 132042.42),(69 131376.28),(70 130273.18),(71 128871.875),(72 128050.38),(73 128934.1),(74 131620.89),(75 132779.84),(76 131964.81),(77 130932.5),(78 128591.53),(79 128387.74),
(1 29738.6),(2 66820.82),(3 86654.266),(4 96745.98),(5 102572.85),(6 106444.086),(7 109520.7),(8 114223.98),(9 120552.22),(10 124303.78),(11 125940.8),(12 128384.016),(13 130391.05),(14 131494.67),(15 132283.23),(16 133856.33),(17 134640.77),(18 134603.8),(19 134459.27),(20 134316.11),(21 134497.47),(22 133384.11),(23 133466.42),(24 134412.95),(25 135420.28),(26 134961.89),(27 133861.94),(28 134392.88),(29 136616.92),(30 137327.47),(31 135654),(32 135003.81),(33 135498.33),(34 135446.9),(35 134898.88),(36 133826.73),(37 132682.78),(38 133157.84),(39 134883.36),(40 134778.95),(41 133613.19),(42 133243.33),(43 133089.66),(44 133969.78),(45 133979.1),(46 134227.14),(47 135172.05),(48 135784.17),(49 135685.1),(50 136043.42),(51 135743.25),(52 135471.1),(53 135563.69),(54 135215.67),(55 135575.13),(56 133847.08),(57 132448.11),(58 131774.61),(59 130929.516),(60 129858.92),(61 129913.85),(62 130494.95),(63 131124.16),(64 130061.875),(65 129659.48),(66 129447.086),(67 128437.57),(68 128801.53),(69 129119.62),(70 128824.4),(71 129437.945),(72 129781.805),(73 128686.266),(74 128625.6),(75 128783.586),(76 128827.97),(77 129314.99),(78 129711.8),(79 130720.266),
(1 30283.219),(2 67087.42),(3 84650.86),(4 91278.53),(5 97464.734),(6 102361),(7 106432.86),(8 110718.29),(9 115874.69),(10 119194.25),(11 120694.09),(12 121373.42),(13 122341.016),(14 124011.27),(15 125750.695),(16 127917.27),(17 129388.29),(18 131355.67),(19 132547.4),(20 134088.61),(21 136790.95),(22 136448.8),(23 136385.03),(24 138922.5),(25 140319.13),(26 139010.73),(27 137786.14),(28 136857.17),(29 137256.72),(30 137482.52),(31 137146.98),(32 136537.75),(33 136071.2),(34 135814.47),(35 134264.63),(36 132763.3),(37 130957.66),(38 132775.83),(39 135909.19),(40 139117.17),(41 140167.39),(42 138959.64),(43 136571.78),(44 135959.38),(45 135922.14),(46 136509.69),(47 137121.63),(48 136610.31),(49 134932.83),(50 132446.5),(51 130138.52),(52 130349.805),(53 131672.83),(54 132186.14),(55 132743.77),(56 132380.44),(57 132233.86),(58 133120.1),(59 134494.27),(60 134817.72),(61 133638.55),(62 131244),(63 130420.45),(64 130368.45),(65 130594.38),(66 131398.36),(67 132046.23),(68 132793.1),(69 134859.7),(70 135992.16),(71 137256.88),(72 138688.92),(73 139591.88),(74 139351.72),(75 138556.34),(76 136639.77),(77 133876.19),(78 132201.38),(79 132532.39),
(1 30283.986),(2 66270.24),(3 82814.87),(4 89001.18),(5 95572.52),(6 102266.07),(7 107155.12),(8 109789.89),(9 112523.86),(10 114169.06),(11 116428.516),(12 117712.02),(13 120522.26),(14 123079.555),(15 123542.26),(16 122221.7),(17 121873.8),(18 123115.13),(19 126402.18),(20 127722.88),(21 128458.33),(22 128220.24),(23 127866.64),(24 128666.49),(25 128962.664),(26 129387.01),(27 130399.36),(28 130276.164),(29 130927.63),(30 130643.96),(31 130142.42),(32 130105.266),(33 131802.17),(34 132986.58),(35 133035.1),(36 131929.61),(37 129897.16),(38 127816.766),(39 126837.484),(40 127804.41),(41 129129.305),(42 129102.57),(43 128184.95),(44 128203.66),(45 127486.42),(46 127641.67),(47 127233.73),(48 126811.34),(49 126052.98),(50 126602.164),(51 129217.484),(52 131344.48),(53 131502.05),(54 130825.62),(55 129645.8),(56 126976.46),(57 124611.305),(58 124526.664),(59 126384.07),(60 127859.08),(61 129731.54),(62 130150.72),(63 128790.77),(64 126697.45),(65 127466.35),(66 128005.92),(67 127037.484),(68 126837.87),(69 127904.33),(70 130240.72),(71 131202.06),(72 131962.58),(73 130911.266),(74 128743.92),(75 128124.48),(76 127342.79),(77 126760.055),(78 126773.87),(79 127528.81),
