1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 392.19388),(2 483.4862),(3 535.4213),(4 554.88043),(5 578.318),(6 604.61237),(7 629.3755),(8 648.3404),(9 656.8246),(10 672.3261),(11 685.54675),(12 694.1436),(13 700.9949),(14 700.7798),(15 707.60004),(16 704.0514),(17 705.15533),(18 717.326),(19 737.12427),(20 727.093),(21 732.6771),(22 735.393),(23 742.01935),(24 733.4081),(25 739.92694),(26 748.8845),(27 751.54297),(28 747.6482),(29 753.67),(30 753.71234),(31 763.1662),(32 763.39215),(33 763.49176),(34 766.92),(35 774.14526),(36 773.44037),(37 771.0088),(38 759.8682),(39 756.4248),(40 750.4309),(41 750.84467),(42 761.72797),(43 753.99786),(44 751.0566),(45 751.0246),(46 754.80334),(47 756.6666),(48 748.64453),(49 752.3334),(50 747.8896),(51 767.5135),(52 748.63873),(53 745.22455),(54 747.0821),(55 751.6946),(56 754.16693),(57 752.08344),(58 758.4296),(59 759.3194),(60 752.9755),(61 754.0668),(62 746.9076),(63 757.556),(64 754.6899),(65 756.64984),(66 755.93317),(67 755.6932),(68 752.73926),(69 747.75464),(70 748.66315),(71 754.19354),(72 752.4437),(73 754.7488),(74 757.50757),(75 761.79865),(76 759.568),(77 758.992),(78 758.2135),(79 758.16504),
(1 381.65143),(2 472.45712),(3 532.9038),(4 543.9147),(5 558.4318),(6 585.68665),(7 606.9053),(8 625.0745),(9 640.3929),(10 654.5414),(11 670.0445),(12 674.4633),(13 692.11774),(14 684.52423),(15 690.02515),(16 686.2185),(17 682.6598),(18 689.06116),(19 703.9532),(20 698.01904),(21 696.5895),(22 699.76324),(23 704.71216),(24 698.67017),(25 707.5935),(26 700.70044),(27 706.86395),(28 701.92957),(29 701.5098),(30 711.16315),(31 713.6226),(32 717.2319),(33 707.5274),(34 722.98694),(35 730.48694),(36 724.5119),(37 727.01074),(38 716.3145),(39 719.42255),(40 714.0325),(41 711.5742),(42 712.6034),(43 714.2403),(44 713.2436),(45 708.3004),(46 702.156),(47 703.3972),(48 695.4037),(49 695.60223),(50 694.07404),(51 706.31104),(52 697.02985),(53 691.745),(54 694.89594),(55 699.88153),(56 700.54083),(57 695.1009),(58 688.2838),(59 694.8301),(60 693.3633),(61 692.5109),(62 689.697),(63 707.4322),(64 695.1275),(65 694.04834),(66 703.63916),(67 709.6169),(68 708.442),(69 701.62134),(70 715.71326),(71 728.3583),(72 721.4492),(73 730.33234),(74 724.0745),(75 729.91156),(76 723.67487),(77 718.47),(78 723.2974),(79 720.64105),
(1 378.46115),(2 472.4172),(3 527.58545),(4 540.4453),(5 558.06244),(6 588.0126),(7 618.81464),(8 621.0004),(9 633.22253),(10 648.9275),(11 664.4324),(12 673.00653),(13 682.5856),(14 667.2406),(15 674.39124),(16 679.6868),(17 684.7782),(18 682.7569),(19 694.1903),(20 697.2644),(21 692.4736),(22 695.29486),(23 703.5096),(24 692.37085),(25 700.4405),(26 698.9548),(27 713.5129),(28 710.913),(29 711.1968),(30 715.7157),(31 729.8076),(32 733.3638),(33 727.7111),(34 729.11847),(35 723.61017),(36 720.70245),(37 729.1475),(38 711.8954),(39 716.2668),(40 712.03925),(41 709.01416),(42 712.21277),(43 718.1336),(44 723.5396),(45 703.08124),(46 707.44446),(47 709.5778),(48 704.2827),(49 706.25183),(50 708.7015),(51 718.7761),(52 711.62305),(53 703.3856),(54 715.83704),(55 716.68353),(56 716.5219),(57 715.37244),(58 709.6354),(59 709.5777),(60 704.10895),(61 709.5682),(62 710.9842),(63 712.24976),(64 708.67163),(65 706.62164),(66 715.07434),(67 711.8672),(68 713.5606),(69 711.0464),(70 722.47504),(71 733.41724),(72 726.9739),(73 733.8588),(74 726.64667),(75 733.63745),(76 726.29315),(77 725.43744),(78 734.54553),(79 734.3996),
(1 366.6699),(2 446.6429),(3 500.86377),(4 516.9165),(5 534.2887),(6 563.3802),(7 586.4927),(8 610.95557),(9 619.7692),(10 624.6343),(11 637.76483),(12 645.3618),(13 651.05994),(14 648.0767),(15 653.3121),(16 653.7422),(17 655.4193),(18 658.60925),(19 678.353),(20 669.0005),(21 670.74817),(22 685.6334),(23 692.9283),(24 681.6615),(25 685.7418),(26 687.9643),(27 698.65814),(28 689.29944),(29 686.9579),(30 689.5349),(31 698.18884),(32 695.3288),(33 694.3834),(34 704.1242),(35 707.1364),(36 701.5569),(37 703.1004),(38 697.50366),(39 706.37085),(40 681.53455),(41 680.99396),(42 689.38385),(43 686.9171),(44 689.5829),(45 674.1642),(46 675.10913),(47 672.1664),(48 663.53656),(49 665.1553),(50 665.6978),(51 677.31836),(52 673.51855),(53 671.48737),(54 679.33344),(55 679.3348),(56 678.9452),(57 670.613),(58 676.6057),(59 677.3675),(60 671.79956),(61 676.82605),(62 668.5272),(63 676.7077),(64 673.1852),(65 668.6583),(66 673.9871),(67 673.64465),(68 672.28754),(69 670.77765),(70 673.47424),(71 675.8803),(72 675.3158),(73 681.92664),(74 676.71515),(75 681.9877),(76 673.2128),(77 676.1523),(78 686.9126),(79 686.0182),
(1 366.1109),(2 450.7095),(3 501.21484),(4 522.86725),(5 544.6774),(6 560.25214),(7 586.9627),(8 603.42725),(9 612.8308),(10 628.3981),(11 639.5113),(12 643.67786),(13 653.52795),(14 646.4588),(15 657.3301),(16 653.9072),(17 650.971),(18 656.8663),(19 665.2797),(20 664.6219),(21 657.59454),(22 664.65454),(23 668.88055),(24 663.0261),(25 665.674),(26 654.76086),(27 659.8845),(28 657.5574),(29 656.61816),(30 669.9557),(31 671.88025),(32 670.7239),(33 669.71265),(34 679.67),(35 679.72174),(36 671.7175),(37 678.8241),(38 674.3645),(39 671.4193),(40 665.99255),(41 669.0554),(42 673.0904),(43 679.7477),(44 679.961),(45 670.7112),(46 674.54846),(47 678.2473),(48 669.7322),(49 679.7509),(50 674.6549),(51 685.19904),(52 673.2622),(53 668.4635),(54 679.1291),(55 673.29297),(56 678.28613),(57 677.3124),(58 683.2426),(59 685.47284),(60 686.2056),(61 688.43555),(62 682.1846),(63 683.88654),(64 671.02795),(65 664.427),(66 673.94086),(67 667.31525),(68 673.7198),(69 665.94244),(70 672.919),(71 674.0645),(72 663.3531),(73 668.00464),(74 672.0988),(75 680.6942),(76 674.6093),(77 675.1099),(78 681.2339),(79 676.88434),
(1 347.95935),(2 437.82422),(3 483.40103),(4 501.92004),(5 523.02094),(6 536.7424),(7 556.0994),(8 578.21173),(9 578.2222),(10 594.0844),(11 609.7242),(12 614.8824),(13 627.4047),(14 619.9292),(15 626.42316),(16 627.55817),(17 625.06256),(18 636.4503),(19 645.7719),(20 648.0293),(21 639.69135),(22 646.90356),(23 653.70245),(24 644.40216),(25 653.98303),(26 652.3895),(27 663.61487),(28 656.6418),(29 652.30255),(30 666.5847),(31 665.30316),(32 664.1009),(33 661.7662),(34 662.13403),(35 660.95764),(36 661.1463),(37 664.1523),(38 656.67676),(39 661.6076),(40 646.07825),(41 647.7177),(42 652.39014),(43 651.78394),(44 647.1143),(45 655.3227),(46 652.2099),(47 649.51105),(48 643.47687),(49 644.0854),(50 642.7906),(51 648.9353),(52 645.0121),(53 652.6117),(54 654.80426),(55 658.17365),(56 657.52423),(57 649.53784),(58 654.95996),(59 657.6536),(60 659.4091),(61 660.4993),(62 654.27905),(63 663.4126),(64 658.4691),(65 658.0805),(66 656.5645),(67 655.5217),(68 651.8429),(69 654.97235),(70 659.45483),(71 661.1351),(72 651.79443),(73 661.91516),(74 662.69763),(75 662.0514),(76 661.20154),(77 661.7922),(78 663.4551),(79 664.5543),
(1 343.78186),(2 424.8735),(3 475.4116),(4 490.42398),(5 507.2054),(6 529.05566),(7 557.93097),(8 574.0681),(9 576.7817),(10 585.8139),(11 600.24023),(12 603.77454),(13 620.45337),(14 618.19),(15 627.7984),(16 624.6309),(17 625.9153),(18 631.0113),(19 644.60785),(20 644.77747),(21 635.93805),(22 637.03174),(23 636.6524),(24 633.796),(25 628.543),(26 630.18134),(27 643.56274),(28 634.1269),(29 632.44495),(30 640.502),(31 636.34357),(32 645.3659),(33 647.73254),(34 645.6739),(35 649.2393),(36 644.50494),(37 651.24164),(38 646.8688),(39 646.73663),(40 640.8254),(41 637.8339),(42 648.01434),(43 647.40625),(44 646.39435),(45 639.6521),(46 644.0397),(47 648.2518),(48 645.37384),(49 648.66907),(50 648.6967),(51 658.123),(52 656.5894),(53 653.82324),(54 661.00616),(55 652.9842),(56 649.7269),(57 647.5728),(58 643.62305),(59 645.1183),(60 644.29724),(61 652.58575),(62 640.8788),(63 653.0039),(64 637.4602),(65 633.07184),(66 639.54297),(67 641.26953),(68 644.8288),(69 636.6234),(70 649.0551),(71 647.45807),(72 641.57605),(73 644.0083),(74 645.3501),(75 656.69965),(76 655.6178),(77 655.8789),(78 650.49963),(79 646.963),
(1 335.6195),(2 422.33234),(3 466.47043),(4 484.26758),(5 499.8502),(6 519.16797),(7 544.1991),(8 560.0767),(9 577.08136),(10 589.82294),(11 603.0951),(12 615.06476),(13 620.39954),(14 610.13873),(15 620.842),(16 613.41376),(17 607.44385),(18 622.927),(19 632.083),(20 625.98047),(21 620.56146),(22 619.41156),(23 622.5262),(24 622.8526),(25 621.3268),(26 617.1981),(27 628.7816),(28 627.6389),(29 626.68713),(30 627.5999),(31 641.5711),(32 639.2129),(33 640.1601),(34 636.0998),(35 635.8714),(36 633.5092),(37 635.31116),(38 632.4125),(39 627.3115),(40 618.6505),(41 618.86304),(42 618.14526),(43 620.5009),(44 620.1972),(45 618.3783),(46 618.0549),(47 618.0552),(48 620.18866),(49 635.70416),(50 634.4021),(51 631.7235),(52 638.8314),(53 639.94574),(54 637.7214),(55 641.24554),(56 634.2596),(57 632.3666),(58 629.41724),(59 629.67474),(60 624.69763),(61 633.9702),(62 632.0364),(63 644.26984),(64 633.32166),(65 636.2863),(66 639.6596),(67 640.07117),(68 641.6662),(69 640.01447),(70 640.14484),(71 639.51404),(72 638.08887),(73 639.49365),(74 640.0641),(75 652.6302),(76 643.9612),(77 643.6417),(78 644.09015),(79 641.4638),
(1 320.9519),(2 399.6037),(3 447.13126),(4 458.65417),(5 469.85394),(6 495.6072),(7 519.14014),(8 535.2824),(9 543.4037),(10 551.6527),(11 572.618),(12 577.03455),(13 581.6616),(14 581.24084),(15 586.64844),(16 587.482),(17 587.3451),(18 599.8884),(19 604.09186),(20 599.02124),(21 598.0601),(22 602.339),(23 601.7165),(24 596.6092),(25 604.2652),(26 600.06384),(27 610.1634),(28 604.62854),(29 603.7592),(30 610.7888),(31 614.54333),(32 619.4036),(33 621.8384),(34 615.00696),(35 614.3291),(36 617.2626),(37 612.06464),(38 614.44196),(39 616.56995),(40 605.1043),(41 608.79407),(42 618.2157),(43 624.393),(44 623.64197),(45 618.6848),(46 614.7289),(47 620.67725),(48 612.8898),(49 622.5349),(50 622.239),(51 628.3322),(52 617.0082),(53 612.7798),(54 608.5836),(55 610.17114),(56 611.4578),(57 613.0072),(58 611.9728),(59 611.8977),(60 606.03674),(61 611.99036),(62 604.5726),(63 617.0652),(64 610.88434),(65 608.83856),(66 613.6487),(67 609.36),(68 611.5756),(69 613.9953),(70 616.6535),(71 618.50653),(72 613.69104),(73 610.3748),(74 611.09204),(75 619.3451),(76 621.6033),(77 622.7562),(78 627.2106),(79 626.67163),
(1 323.42767),(2 402.5496),(3 449.0123),(4 465.27893),(5 481.6355),(6 512.5719),(7 526.28735),(8 544.49414),(9 558.6664),(10 567.16254),(11 583.0172),(12 590.7904),(13 594.5151),(14 596.01685),(15 597.7668),(16 598.58594),(17 598.3213),(18 600.85504),(19 609.96063),(20 602.78186),(21 599.0087),(22 604.0932),(23 603.3989),(24 597.8587),(25 605.21405),(26 601.33307),(27 613.78204),(28 610.2351),(29 605.6823),(30 610.75995),(31 626.5866),(32 628.2797),(33 627.3205),(34 618.7505),(35 617.0545),(36 610.26935),(37 612.8998),(38 606.0406),(39 612.09973),(40 602.7035),(41 603.24567),(42 597.9681),(43 605.2026),(44 603.4647),(45 598.965),(46 595.7218),(47 600.26227),(48 595.84357),(49 600.48413),(50 602.5875),(51 614.1651),(52 608.31036),(53 609.97363),(54 612.9978),(55 615.74695),(56 616.6377),(57 619.80914),(58 617.7761),(59 621.4687),(60 614.22955),(61 618.586),(62 611.4353),(63 621.42456),(64 615.48444),(65 612.6171),(66 617.1502),(67 618.6586),(68 619.6629),(69 616.27264),(70 618.9555),(71 620.40497),(72 617.76074),(73 622.1732),(74 623.7044),(75 628.99713),(76 626.0364),(77 628.06445),(78 627.3463),(79 623.13727),
(1 320.2145),(2 397.59277),(3 438.36252),(4 456.27515),(5 472.5296),(6 502.07202),(7 512.39575),(8 528.3871),(9 543.1978),(10 552.0642),(11 570.4818),(12 574.8406),(13 576.6315),(14 573.85333),(15 577.9718),(16 579.1442),(17 579.10095),(18 590.76184),(19 598.12476),(20 591.3078),(21 594.7302),(22 594.6108),(23 597.12854),(24 594.1009),(25 603.61053),(26 599.2432),(27 603.2822),(28 599.5396),(29 595.4581),(30 602.6347),(31 606.8907),(32 603.21387),(33 603.997),(34 611.46234),(35 606.5574),(36 603.3043),(37 608.46954),(38 607.3918),(39 612.2764),(40 607.1105),(41 605.45215),(42 605.11774),(43 609.7346),(44 610.9887),(45 604.247),(46 600.9519),(47 601.9863),(48 601.53625),(49 607.1328),(50 606.0739),(51 612.04694),(52 606.63196),(53 604.64764),(54 612.8085),(55 609.2484),(56 603.234),(57 598.5218),(58 603.3681),(59 605.28076),(60 603.2423),(61 606.1563),(62 609.42993),(63 612.10986),(64 609.39905),(65 607.0442),(66 599.9351),(67 599.673),(68 603.175),(69 595.89813),(70 605.03827),(71 613.46124),(72 605.9317),(73 611.4791),(74 611.13617),(75 615.03955),(76 610.9523),(77 611.2603),(78 620.5265),(79 618.5176),
(1 305.77353),(2 387.77866),(3 430.22626),(4 448.3243),(5 462.30597),(6 483.788),(7 503.26935),(8 517.78174),(9 528.9118),(10 543.18744),(11 563.17444),(12 559.7257),(13 558.31396),(14 555.48944),(15 558.3803),(16 563.25183),(17 563.5266),(18 567.2736),(19 569.0966),(20 570.8529),(21 568.9454),(22 572.4653),(23 571.5231),(24 568.2054),(25 573.8543),(26 572.62537),(27 573.64856),(28 570.1259),(29 571.82904),(30 576.979),(31 581.5952),(32 579.7535),(33 578.2165),(34 581.6178),(35 584.00635),(36 581.64166),(37 589.91925),(38 580.7083),(39 580.9853),(40 572.85754),(41 574.75824),(42 574.07794),(43 581.5224),(44 583.0932),(45 580.591),(46 580.64526),(47 582.1967),(48 575.3472),(49 581.9238),(50 581.6913),(51 594.6502),(52 586.15076),(53 588.016),(54 583.8488),(55 588.41364),(56 587.56573),(57 584.2701),(58 588.7524),(59 586.86316),(60 583.5452),(61 588.3076),(62 582.20374),(63 582.4046),(64 578.1195),(65 576.2354),(66 581.1308),(67 585.11487),(68 589.1718),(69 586.4305),(70 594.97876),(71 603.2293),(72 598.0548),(73 607.25946),(74 602.49243),(75 605.6683),(76 601.54596),(77 603.5451),(78 598.9779),(79 597.8206),
(1 303.94095),(2 371.84418),(3 419.27094),(4 437.03268),(5 447.844),(6 466.57245),(7 490.0277),(8 505.17722),(9 522.9329),(10 534.57513),(11 551.3568),(12 552.44214),(13 556.9053),(14 552.69543),(15 559.82214),(16 558.0366),(17 555.80835),(18 565.271),(19 569.2706),(20 568.57184),(21 563.87604),(22 562.6105),(23 569.8725),(24 563.9923),(25 568.36304),(26 569.02783),(27 577.85834),(28 570.01776),(29 573.0697),(30 581.82495),(31 584.0368),(32 582.4631),(33 584.1441),(34 576.62976),(35 577.67523),(36 585.754),(37 584.1503),(38 579.1564),(39 579.22473),(40 571.2726),(41 573.5835),(42 566.79315),(43 564.15674),(44 565.71216),(45 562.9101),(46 568.75507),(47 568.7717),(48 567.2834),(49 566.81433),(50 570.31396),(51 578.63086),(52 573.87524),(53 572.37524),(54 573.3943),(55 574.2114),(56 579.7907),(57 577.5354),(58 575.5725),(59 578.06433),(60 568.9397),(61 576.4694),(62 576.19763),(63 578.1941),(64 569.2976),(65 571.58057),(66 574.27325),(67 579.8418),(68 578.2071),(69 577.69073),(70 585.42255),(71 592.774),(72 580.9664),(73 584.43365),(74 582.2981),(75 582.91504),(76 579.6561),(77 583.671),(78 586.0089),(79 580.9885),
(1 294.80844),(2 366.32465),(3 413.18967),(4 427.67093),(5 438.8628),(6 458.72272),(7 480.78897),(8 489.38013),(9 498.26886),(10 514.11926),(11 525.5902),(12 528.5373),(13 529.1586),(14 527.38916),(15 538.93866),(16 532.042),(17 531.2991),(18 534.8027),(19 545.2688),(20 538.2969),(21 536.6926),(22 535.6243),(23 540.80994),(24 536.3417),(25 539.3052),(26 543.47565),(27 550.3424),(28 547.7071),(29 546.4669),(30 555.41284),(31 555.9296),(32 556.9836),(33 560.0336),(34 558.75946),(35 563.757),(36 565.6843),(37 565.6526),(38 565.10925),(39 563.67395),(40 562.0073),(41 559.8994),(42 557.46936),(43 559.3674),(44 553.3089),(45 551.8683),(46 556.94305),(47 555.0388),(48 543.5668),(49 551.35944),(50 554.3104),(51 559.16547),(52 558.02844),(53 554.9403),(54 553.4046),(55 554.0692),(56 555.6509),(57 556.32104),(58 564.1899),(59 569.8495),(60 566.88586),(61 568.64777),(62 566.01483),(63 571.50604),(64 564.11554),(65 559.49457),(66 565.8872),(67 562.32196),(68 563.47144),(69 568.3262),(70 569.5981),(71 572.463),(72 567.83136),(73 571.5524),(74 572.2974),(75 579.385),(76 570.4998),(77 567.6339),(78 571.7133),(79 567.5634),
(1 294.46143),(2 367.2403),(3 408.08154),(4 427.01553),(5 438.56165),(6 457.6456),(7 484.44458),(8 501.97202),(9 511.9198),(10 521.37415),(11 538.74915),(12 545.451),(13 548.9193),(14 549.3265),(15 551.7943),(16 544.0952),(17 542.57306),(18 545.56415),(19 549.4934),(20 547.79706),(21 540.87573),(22 548.43494),(23 552.37225),(24 541.992),(25 549.3807),(26 554.40204),(27 558.73535),(28 559.19904),(29 556.11255),(30 562.8264),(31 560.47076),(32 568.879),(33 566.1749),(34 568.6897),(35 572.2777),(36 570.0091),(37 576.9177),(38 568.24927),(39 566.02747),(40 562.7362),(41 560.8719),(42 556.56744),(43 552.5566),(44 554.2162),(45 552.7903),(46 559.60474),(47 561.67194),(48 552.47723),(49 558.78986),(50 562.33527),(51 567.3415),(52 564.50037),(53 567.17633),(54 573.7633),(55 577.067),(56 570.57324),(57 569.84393),(58 569.2986),(59 570.3581),(60 564.0588),(61 567.06775),(62 562.17816),(63 575.0978),(64 569.1069),(65 568.04047),(66 576.8997),(67 571.79767),(68 571.7904),(69 574.9161),(70 582.4968),(71 586.85547),(72 580.3907),(73 585.03076),(74 581.0472),(75 577.71545),(76 577.27924),(77 575.8644),(78 582.5656),(79 579.18207),
(1 286.2887),(2 359.47897),(3 395.4914),(4 412.71347),(5 429.50278),(6 447.41013),(7 471.45923),(8 482.85526),(9 491.78445),(10 500.36615),(11 512.9669),(12 513.5661),(13 516.2458),(14 516.7692),(15 521.5587),(16 517.7979),(17 515.4087),(18 520.7872),(19 527.9124),(20 521.1517),(21 519.26154),(22 524.1434),(23 528.0803),(24 527.30286),(25 527.93665),(26 525.2979),(27 536.46625),(28 532.57983),(29 530.97015),(30 536.4623),(31 539.9938),(32 536.9888),(33 542.1705),(34 541.463),(35 546.231),(36 543.17346),(37 549.2248),(38 545.3706),(39 540.0605),(40 538.05676),(41 538.9053),(42 543.885),(43 544.8178),(44 544.27747),(45 542.0021),(46 543.3993),(47 542.62537),(48 542.24066),(49 549.59424),(50 552.00305),(51 548.04584),(52 546.87305),(53 542.53564),(54 534.2802),(55 541.4449),(56 542.16187),(57 544.7034),(58 551.60333),(59 553.4826),(60 548.33105),(61 549.3315),(62 549.5009),(63 549.7503),(64 544.5767),(65 543.6725),(66 550.135),(67 553.79565),(68 552.78345),(69 552.847),(70 554.63416),(71 554.5756),(72 550.9583),(73 548.56757),(74 548.64923),(75 548.8987),(76 549.01935),(77 545.36487),(78 548.56696),(79 543.79517),
(1 275.159),(2 346.0202),(3 381.3613),(4 397.61047),(5 409.20813),(6 418.4916),(7 439.0002),(8 457.4434),(9 464.98688),(10 479.09085),(11 489.85178),(12 492.44547),(13 502.13007),(14 494.16986),(15 503.58987),(16 497.16098),(17 493.1892),(18 498.96536),(19 505.41187),(20 496.10995),(21 498.43945),(22 498.33615),(23 502.86926),(24 498.48157),(25 498.04242),(26 500.19427),(27 513.9818),(28 508.58804),(29 510.33603),(30 513.87213),(31 521.61816),(32 518.29626),(33 514.61926),(34 517.71783),(35 521.0245),(36 519.0109),(37 521.24615),(38 518.20276),(39 517.0656),(40 512.0798),(41 510.64243),(42 509.86426),(43 513.33215),(44 508.58087),(45 509.1855),(46 512.8168),(47 512.18146),(48 508.7133),(49 512.9921),(50 514.7734),(51 523.6858),(52 514.5818),(53 515.93054),(54 513.6948),(55 522.2727),(56 515.8651),(57 518.0506),(58 523.23737),(59 525.993),(60 519.5385),(61 521.11926),(62 520.2861),(63 527.7681),(64 521.0089),(65 521.904),(66 523.28687),(67 522.71356),(68 526.83777),(69 528.37665),(70 532.66986),(71 534.1832),(72 525.45435),(73 527.0853),(74 527.90155),(75 530.5356),(76 529.3243),(77 532.53973),(78 532.0389),(79 524.46094),
(1 276.18066),(2 346.0961),(3 384.41013),(4 398.42145),(5 410.42877),(6 424.1505),(7 442.64432),(8 459.99915),(9 465.97522),(10 471.8603),(11 486.92422),(12 489.55478),(13 497.45355),(14 492.88843),(15 495.6457),(16 494.30905),(17 492.5205),(18 498.34393),(19 499.11008),(20 508.43658),(21 498.08026),(22 497.43045),(23 503.61658),(24 506.0952),(25 508.54178),(26 503.89435),(27 515.0749),(28 511.98138),(29 510.59744),(30 514.6142),(31 522.2521),(32 525.9461),(33 525.8336),(34 529.45825),(35 531.403),(36 530.2405),(37 527.8479),(38 530.0525),(39 533.1453),(40 528.54425),(41 529.33936),(42 526.7516),(43 525.9361),(44 523.69366),(45 521.8088),(46 523.8018),(47 525.4351),(48 523.8121),(49 526.6723),(50 524.6906),(51 525.7463),(52 527.1544),(53 523.62396),(54 532.8598),(55 531.403),(56 525.40875),(57 521.7391),(58 526.5239),(59 529.112),(60 531.4706),(61 533.7988),(62 528.846),(63 538.2761),(64 529.4713),(65 528.92474),(66 530.64795),(67 534.80493),(68 539.7236),(69 539.5365),(70 541.47144),(71 542.2544),(72 537.32),(73 543.3305),(74 541.58203),(75 544.16724),(76 540.5403),(77 537.18933),(78 536.47095),(79 538.76807),
(1 263.52805),(2 335.60504),(3 369.10553),(4 382.95096),(5 394.76367),(6 409.22964),(7 432.06946),(8 442.97845),(9 450.2004),(10 455.45074),(11 471.49896),(12 471.5365),(13 480.55087),(14 475.4904),(15 484.3083),(16 480.02795),(17 480.6435),(18 482.68878),(19 485.73203),(20 486.03964),(21 482.34735),(22 488.25375),(23 490.37515),(24 487.5199),(25 491.86172),(26 490.63235),(27 493.96738),(28 490.2525),(29 490.41177),(30 498.23035),(31 502.39926),(32 498.07465),(33 495.92554),(34 498.65213),(35 497.00397),(36 499.12317),(37 500.8309),(38 499.67102),(39 501.36377),(40 496.84085),(41 498.43216),(42 496.5605),(43 494.67236),(44 492.6806),(45 492.147),(46 490.15024),(47 486.5088),(48 485.43298),(49 489.20096),(50 488.91916),(51 493.578),(52 483.47635),(53 482.9081),(54 482.70877),(55 486.3337),(56 490.53665),(57 487.47116),(58 485.13577),(59 485.5933),(60 482.1356),(61 481.64447),(62 481.11813),(63 492.70264),(64 491.22867),(65 490.0344),(66 491.7242),(67 493.5851),(68 495.9516),(69 496.32776),(70 494.95392),(71 496.27527),(72 496.9416),(73 495.29562),(74 499.4761),(75 499.48798),(76 493.74283),(77 491.33337),(78 500.639),(79 489.28424),
