1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 89102.02),(2 315194.3),(3 630956.3),(4 1013582.94),(5 1410893.5),(6 1867401.6),(7 2329679.3),(8 2733127.8),(9 3032591.3),(10 3299556),(11 3554622.8),(12 3904032),(13 4355074),(14 4886665.5),(15 5415057.5),(16 5942387.5),(17 6533862),(18 7052522.5),(19 7569811.5),(20 7933914.5),(21 8210248),(22 8295641.5),(23 8373144.5),(24 8425420),(25 8671425),(26 9001905),(27 9367571),(28 9795100),(29 10239081),(30 10726045),(31 11139531),(32 11492772),(33 11671289),(34 11740455),(35 11759780),(36 11748467),(37 11734640),(38 11763309),(39 11804053),(40 11775856),(41 11733080),(42 11698437),(43 11708125),(44 11580997),(45 11463127),(46 11261837),(47 11012031),(48 10745560),(49 10442671),(50 10186489),(51 10030701),(52 10042473),(53 10083641),(54 10151999),(55 10202923),(56 10291908),(57 10392111),(58 10464894),(59 10588323),(60 10854931),(61 11194533),(62 11699445),(63 12333359),(64 13092972),(65 13917280),(66 14869723),(67 15941175),(68 17060192),(69 18213422),(70 19503474),(71 20799556),(72 22044158),(73 23198752),(74 24428878),(75 25589358),(76 26824768),(77 28131718),(78 29575726),(79 31069320),
(1 5926.8223),(2 8399.118),(3 9208.913),(4 9486.235),(5 9780.818),(6 10034.657),(7 10349.763),(8 10618.228),(9 10907.853),(10 11220.3),(11 11594.226),(12 11721.307),(13 11773.964),(14 12251.225),(15 12540.897),(16 12583.585),(17 12716.102),(18 12916.512),(19 12983.356),(20 13277.162),(21 13617.636),(22 13713.818),(23 13449.042),(24 13703.773),(25 14080.444),(26 14146.362),(27 14329.329),(28 14318.511),(29 14524.632),(30 14565.455),(31 14636.633),(32 14545.538),(33 14553.802),(34 14398.211),(35 14176.154),(36 14045.038),(37 14050.748),(38 14030.206),(39 13973.806),(40 13896.869),(41 14017.683),(42 13905.829),(43 13665.149),(44 13762.79),(45 13706.836),(46 13544.3955),(47 13646.34),(48 13855.52),(49 13728.626),(50 13781.556),(51 13695.913),(52 13740.279),(53 13494.5),(54 13574.518),(55 13398.425),(56 13401.445),(57 13485.866),(58 13451.625),(59 13515.427),(60 13217.361),(61 13081.96),(62 13099.623),(63 13016.055),(64 13147.882),(65 13109.737),(66 13237.465),(67 13222.6875),(68 13123.927),(69 13089.311),(70 12957.52),(71 13010.945),(72 13229.14),(73 13106.075),(74 12848.631),(75 13227.417),(76 13278.7705),(77 13264.801),(78 13563.07),(79 13590.711),
(1 5780.7925),(2 8209.188),(3 8978.024),(4 9181.219),(5 9352.142),(6 9541.354),(7 10004.0205),(8 10355.597),(9 10358.296),(10 10665.386),(11 11006.294),(12 11213.067),(13 11216.549),(14 11525.57),(15 11987.962),(16 11860.527),(17 11977.446),(18 12199.261),(19 12450.327),(20 12685.387),(21 12776.017),(22 12873.238),(23 12909.284),(24 12998.955),(25 13107.999),(26 13374.277),(27 13669.254),(28 13567.748),(29 13683.997),(30 13810.948),(31 13792.316),(32 13689.904),(33 13584.331),(34 13545.504),(35 13591.862),(36 13628),(37 13525.969),(38 13636.342),(39 13798.696),(40 13691.533),(41 13597.009),(42 13482.331),(43 13374.953),(44 13312.899),(45 13325.83),(46 13135.229),(47 13275.507),(48 13370.963),(49 13280.165),(50 13210.187),(51 13065.043),(52 12965.821),(53 13133.555),(54 13302.405),(55 13154.905),(56 13087.065),(57 13191.916),(58 13073.599),(59 12942.753),(60 12669.154),(61 12560.489),(62 12492.013),(63 12564.359),(64 12503.608),(65 12577.918),(66 12796.344),(67 12876.215),(68 12657.905),(69 12481.714),(70 12482.4375),(71 12525.222),(72 12340.595),(73 12333.696),(74 12409.944),(75 12676.462),(76 12569.096),(77 12671.891),(78 12777.472),(79 12982.378),
(1 5641.5386),(2 8001.487),(3 8860.815),(4 9169),(5 9193.037),(6 9457.829),(7 9892.465),(8 10117.538),(9 10269.161),(10 10820.047),(11 11086.536),(12 11385.811),(13 11416.2295),(14 11697.207),(15 11985.79),(16 12040.054),(17 12389.951),(18 12735.472),(19 12859.349),(20 13020.91),(21 12974.604),(22 13036.616),(23 13292.342),(24 13300.187),(25 13555.245),(26 13706.151),(27 13693.254),(28 13782.329),(29 13825.306),(30 13832.356),(31 13864.323),(32 13752.701),(33 13780.972),(34 13705.008),(35 13761.015),(36 13727.205),(37 13621.589),(38 13532.344),(39 13406.356),(40 13264.856),(41 13361.6875),(42 13476.493),(43 13440.514),(44 13307.102),(45 13292.006),(46 13116.134),(47 13210.07),(48 13190.39),(49 13075.039),(50 13042.452),(51 12919.605),(52 12884.447),(53 12783.178),(54 12755.295),(55 12724.369),(56 12755.693),(57 12925.664),(58 12615.658),(59 12547.906),(60 12364.689),(61 12346.002),(62 12221.605),(63 12562.519),(64 12341.678),(65 12304.189),(66 12404.935),(67 12401.364),(68 12222.701),(69 12392.29),(70 12327.772),(71 12311.631),(72 12241.593),(73 12201.604),(74 12239.496),(75 12246.82),(76 12406.155),(77 12657.995),(78 12645.299),(79 12770.968),
(1 5411.6284),(2 7648.9106),(3 8354.17),(4 8733.106),(5 8919.897),(6 9090.089),(7 9463.072),(8 9723.349),(9 10038.075),(10 10514.511),(11 10627.193),(12 10658.391),(13 10890.535),(14 10929.636),(15 10938.0625),(16 11111.7),(17 11477.581),(18 11722.372),(19 11544.022),(20 11638.456),(21 11893.265),(22 11994.403),(23 12025.088),(24 11983.74),(25 12190.718),(26 12311.033),(27 12559.685),(28 12602.5205),(29 12472.135),(30 12397.943),(31 12368.854),(32 12287.578),(33 12518.912),(34 12377.088),(35 12421.38),(36 12333.344),(37 12315.327),(38 12371.852),(39 12345.955),(40 12436.161),(41 12423.552),(42 12405.058),(43 12426.901),(44 12434.3955),(45 12524.24),(46 12414.388),(47 12308.897),(48 12255.441),(49 12251.33),(50 12281.129),(51 12266.899),(52 12006.212),(53 12302.735),(54 12117.286),(55 11982.585),(56 11880.183),(57 11829.324),(58 11748.259),(59 11874.457),(60 11844.441),(61 11876.574),(62 11643.999),(63 11556.304),(64 11586.86),(65 11779.415),(66 11708.777),(67 11811.247),(68 11597.467),(69 11663.46),(70 11706.809),(71 11710.373),(72 11646.743),(73 11658.701),(74 11660.337),(75 11689.3),(76 11663.821),(77 11892.242),(78 11797.174),(79 11881.386),
(1 5298.064),(2 7502.453),(3 8353.443),(4 8547.495),(5 8628.576),(6 8838.541),(7 9095.557),(8 9283.61),(9 9611.199),(10 9839.176),(11 9948.545),(12 10166.728),(13 10526.313),(14 10414.652),(15 10526.81),(16 10802.907),(17 11059.689),(18 11157.161),(19 11140.686),(20 11192.215),(21 11338.905),(22 11680.198),(23 11731.15),(24 11665.798),(25 11842.47),(26 12047.806),(27 12194.993),(28 12146.269),(29 11829.818),(30 12044.409),(31 12238.433),(32 12222.335),(33 12311.193),(34 12189.593),(35 12027.344),(36 12013.926),(37 11924.689),(38 12041.478),(39 12036.434),(40 12113.959),(41 12200.458),(42 12200.349),(43 12155.217),(44 12172.895),(45 12073.711),(46 11893.523),(47 11916.741),(48 12070.816),(49 12140.988),(50 12043.11),(51 11913.367),(52 11693.343),(53 11749.378),(54 11662.56),(55 11627.114),(56 11630.657),(57 11765.803),(58 11581.555),(59 11626.927),(60 11650.892),(61 11403.249),(62 11436.943),(63 11462.03),(64 11390.592),(65 11489.521),(66 11368.376),(67 11441.923),(68 11205.519),(69 11146.59),(70 11381.364),(71 11283.982),(72 11182.934),(73 11286.009),(74 11288.682),(75 11272.266),(76 11119.519),(77 11357.626),(78 11286.909),(79 11496.192),
(1 4951.159),(2 6990.003),(3 7813.5527),(4 8022.5737),(5 8155.213),(6 8371.495),(7 8671.201),(8 8928.41),(9 9170.295),(10 9338.835),(11 9515.181),(12 9784.688),(13 9887.383),(14 10000.09),(15 10156.271),(16 10380.873),(17 10745.554),(18 10936.863),(19 11021.991),(20 11012.8545),(21 11043.999),(22 11313),(23 11410.475),(24 11520.103),(25 11618.636),(26 11751.499),(27 11843.222),(28 11894.159),(29 11773.749),(30 11889.088),(31 11945.267),(32 11932.823),(33 11952.061),(34 11890.058),(35 11813.316),(36 11704.167),(37 11765.832),(38 11796.619),(39 11798.294),(40 11771.998),(41 11688.185),(42 11723.109),(43 11803.052),(44 11843.957),(45 11733.58),(46 11578.528),(47 11543.745),(48 11604.977),(49 11585.812),(50 11577.458),(51 11461.422),(52 11299.6),(53 11285.124),(54 11224.694),(55 11045.889),(56 11135.141),(57 11177.511),(58 11093.114),(59 11082.614),(60 10965.632),(61 10969.624),(62 10918.293),(63 10778.395),(64 10838.557),(65 10933.109),(66 10653.858),(67 10694.435),(68 10696.945),(69 10696.278),(70 10474.966),(71 10609.503),(72 10677.707),(73 10635.492),(74 10723.21),(75 10832.575),(76 10807.673),(77 10861.39),(78 10727.691),(79 10966.804),
(1 4844.1987),(2 6783.0317),(3 7603.542),(4 7818.4473),(5 7881.482),(6 8076.616),(7 8338.209),(8 8620.531),(9 8934.887),(10 9137.78),(11 9246.123),(12 9458.462),(13 9519.036),(14 9627.991),(15 9866.263),(16 10074.662),(17 10404.931),(18 10492.167),(19 10526.475),(20 10480.45),(21 10595.369),(22 10800.458),(23 10885.271),(24 10890.677),(25 11060.372),(26 10983.943),(27 11208.3125),(28 11354.885),(29 11427.419),(30 11393.264),(31 11411.263),(32 11405.976),(33 11203.344),(34 11219.614),(35 11145.023),(36 10931.57),(37 11172.667),(38 11056.627),(39 11023),(40 11059.973),(41 11079.668),(42 11271.964),(43 11277.37),(44 11239.637),(45 11223.009),(46 11109.701),(47 10890.36),(48 10986.841),(49 11042.127),(50 11056.394),(51 10978.8),(52 11060.357),(53 11102.978),(54 10763.987),(55 10777.167),(56 10827.64),(57 10749.025),(58 10783.348),(59 10827.72),(60 10787.202),(61 10810.163),(62 10765.79),(63 10559.6045),(64 10798.026),(65 10734.202),(66 10754.645),(67 10718.236),(68 10793.245),(69 10566.815),(70 10481.488),(71 10391.142),(72 10473.544),(73 10577.206),(74 10743.005),(75 10727.595),(76 10792.308),(77 10837.946),(78 10785.548),(79 11122.124),
(1 4669.071),(2 6635.9116),(3 7390.2817),(4 7722.714),(5 7839.7363),(6 7909.7446),(7 8102.1367),(8 8377.905),(9 8654.042),(10 8880.25),(11 8834.386),(12 8955.032),(13 9126.271),(14 9271.269),(15 9352.83),(16 9495.552),(17 9663.318),(18 9726.292),(19 9835.554),(20 9783.987),(21 9913.879),(22 10182.619),(23 10122.667),(24 10187.961),(25 10352.215),(26 10297.622),(27 10464.783),(28 10540.163),(29 10574.246),(30 10573.098),(31 10653.843),(32 10578.91),(33 10427.047),(34 10458.547),(35 10370.797),(36 10342.044),(37 10450.063),(38 10561.16),(39 10560.059),(40 10597.569),(41 10573.488),(42 10600.953),(43 10556.937),(44 10455.608),(45 10557.23),(46 10544.127),(47 10462.879),(48 10351.864),(49 10471.079),(50 10303.9795),(51 10390.368),(52 10471.89),(53 10527.563),(54 10288.088),(55 10211.511),(56 10507.358),(57 10271.652),(58 10169.584),(59 10147.3545),(60 10169.487),(61 10257.375),(62 10186.181),(63 9920.622),(64 9959.323),(65 9988.056),(66 10080.199),(67 9946.092),(68 10045.223),(69 9917.669),(70 9897.501),(71 9697.099),(72 9803.342),(73 9845.269),(74 10039.852),(75 10030.387),(76 10127.418),(77 10178.314),(78 10101.331),(79 10367.956),
(1 4391.707),(2 6119.7607),(3 6742.5054),(4 7072.784),(5 7273.4053),(6 7215.33),(7 7467.479),(8 7768.8184),(9 8076.6187),(10 8347.493),(11 8460.354),(12 8558.261),(13 8751.725),(14 8969.167),(15 9015.772),(16 9214.13),(17 9486.391),(18 9623.741),(19 9554.686),(20 9535.592),(21 9597.656),(22 9866.031),(23 9743.552),(24 9875.671),(25 9889.2705),(26 10007.471),(27 10288.684),(28 10287.224),(29 10279.57),(30 10414.191),(31 10309.264),(32 10315.79),(33 10167.299),(34 10094.104),(35 10147.958),(36 10247.456),(37 10002.446),(38 10087.984),(39 10148.963),(40 10085.596),(41 10038.066),(42 10199.228),(43 10145.38),(44 9943.27),(45 9859.37),(46 9970.288),(47 9973.797),(48 9946.363),(49 10022.673),(50 9977.9),(51 10006.592),(52 9909.197),(53 9938.182),(54 9723.03),(55 9624.037),(56 9788.406),(57 9720.082),(58 9688.443),(59 9526.089),(60 9646.417),(61 9661.214),(62 9569.778),(63 9535.341),(64 9425.169),(65 9508.983),(66 9430.402),(67 9367.111),(68 9434.061),(69 9257.21),(70 9340.329),(71 9205.702),(72 9201.526),(73 9164.317),(74 9170.186),(75 9268.204),(76 9438.353),(77 9586.229),(78 9423.603),(79 9541.683),
(1 4334.8276),(2 6027.512),(3 6647.438),(4 7034.7944),(5 7220.718),(6 7309.9634),(7 7515.638),(8 7796.322),(9 8036.098),(10 8172.2134),(11 8361.041),(12 8621.383),(13 8712.345),(14 8887.976),(15 8963.881),(16 9056.344),(17 9257.643),(18 9233.057),(19 9133.506),(20 9282.396),(21 9317.629),(22 9490.739),(23 9428.492),(24 9472.329),(25 9396.097),(26 9460.327),(27 9652.714),(28 9603.051),(29 9658.717),(30 9797.06),(31 9780.743),(32 9633.654),(33 9584.916),(34 9732.43),(35 9602.303),(36 9591.308),(37 9461.177),(38 9465.186),(39 9509.111),(40 9582.419),(41 9688.422),(42 9811.232),(43 9733.719),(44 9732.019),(45 9752.787),(46 9842.17),(47 9882.435),(48 9907.668),(49 9901.167),(50 9822.293),(51 9660.019),(52 9692.218),(53 9772.367),(54 9754.445),(55 9549.399),(56 9573.138),(57 9381.471),(58 9334.213),(59 9411.477),(60 9483.9),(61 9471.874),(62 9427.831),(63 9344.402),(64 9335.896),(65 9353.271),(66 9208.376),(67 9332.53),(68 9294.588),(69 9224.253),(70 9179.257),(71 9094.381),(72 9103.928),(73 9229.34),(74 9192.636),(75 9175.618),(76 9273.062),(77 9307.016),(78 9170.423),(79 9242.602),
(1 4133.463),(2 5659.757),(3 6192.4478),(4 6450.353),(5 6564.8857),(6 6720.005),(7 7013.9204),(8 7297.4814),(9 7361.076),(10 7515.2417),(11 7735.0156),(12 7993.4185),(13 7950.235),(14 8098.285),(15 8412.566),(16 8434.492),(17 8663.538),(18 8671.485),(19 8662.843),(20 8694.03),(21 8859.569),(22 8925.977),(23 8958.554),(24 9032.872),(25 9093.177),(26 9076.987),(27 9176.349),(28 9215.705),(29 9301.533),(30 9059.631),(31 9090.769),(32 9070.716),(33 9088.566),(34 9134.87),(35 8937.906),(36 8848.781),(37 8954.015),(38 8945.0205),(39 8864.447),(40 8855.448),(41 8956.229),(42 8977.678),(43 9102.306),(44 9102.084),(45 9167.584),(46 9128.269),(47 9143.484),(48 9055.499),(49 9004.8125),(50 8916.068),(51 8956.207),(52 9081.622),(53 9034.435),(54 9118.453),(55 9028.768),(56 9059.94),(57 8805.779),(58 8709.797),(59 8752.477),(60 8813.682),(61 8748.065),(62 8712.828),(63 8801.201),(64 8743.181),(65 8704.533),(66 8481.659),(67 8586.831),(68 8541.607),(69 8601.968),(70 8433.275),(71 8448.884),(72 8555.854),(73 8693.583),(74 8726.387),(75 8606.694),(76 8653.94),(77 8755.483),(78 8648.076),(79 8861.298),
(1 3979.951),(2 5347.7026),(3 5747.6475),(4 6013.2495),(5 6248.789),(6 6417.2793),(7 6600.114),(8 6919.6265),(9 7000.5806),(10 7193.398),(11 7515.813),(12 7832.1846),(13 7737.8154),(14 8009.5933),(15 8249.547),(16 8345.91),(17 8481.193),(18 8439.837),(19 8479.156),(20 8450.455),(21 8522.143),(22 8557.814),(23 8620.662),(24 8711.88),(25 8761.441),(26 8873.564),(27 8912.07),(28 8862.13),(29 9048.77),(30 8882.697),(31 8947.954),(32 8940.945),(33 8958.027),(34 8919.45),(35 8823.062),(36 8722.675),(37 8771.237),(38 8775.998),(39 8839.852),(40 8981.698),(41 8946.206),(42 9059.801),(43 9068.851),(44 9209.238),(45 9059.166),(46 9152.121),(47 9052.769),(48 9119.459),(49 9006.228),(50 8899.395),(51 8937.392),(52 8957.044),(53 8937.37),(54 8932.649),(55 8900.384),(56 8893.889),(57 8801.871),(58 8702.685),(59 8763.716),(60 8693.763),(61 8699.027),(62 8688.018),(63 8693.926),(64 8626.253),(65 8547.642),(66 8453.812),(67 8497.357),(68 8660.265),(69 8580.339),(70 8496.644),(71 8582.318),(72 8573.75),(73 8552.756),(74 8583.944),(75 8546.7705),(76 8669.781),(77 8624.28),(78 8505.386),(79 8776.594),
(1 3895.598),(2 5152.3394),(3 5604.003),(4 5952.759),(5 6166.8833),(6 6294.46),(7 6390.8745),(8 6795.816),(9 6969.125),(10 7189.9404),(11 7434.142),(12 7684.569),(13 7750.878),(14 7891.287),(15 8130.8247),(16 8219.864),(17 8361.938),(18 8352.184),(19 8490.248),(20 8645.766),(21 8744.193),(22 8840.286),(23 8956.154),(24 9125.112),(25 9195.107),(26 9278.916),(27 9389.479),(28 9219.159),(29 9260.728),(30 9350.643),(31 9392.041),(32 9431.664),(33 9411.009),(34 9405.234),(35 9229.13),(36 9167.302),(37 9227.413),(38 9268.629),(39 9316.326),(40 9287.379),(41 9259.841),(42 9213.667),(43 9180.612),(44 9314.657),(45 9185.523),(46 9172.894),(47 9210.904),(48 9208.776),(49 9041.794),(50 8976.457),(51 9013.5205),(52 9077.465),(53 8948.843),(54 8994.354),(55 8853.534),(56 8915.088),(57 8937.04),(58 8825.207),(59 8771.4375),(60 8707.662),(61 8690.761),(62 8749.747),(63 8743.538),(64 8618.527),(65 8648.666),(66 8530.853),(67 8586.72),(68 8682.055),(69 8702.034),(70 8782.668),(71 8622.611),(72 8523.023),(73 8549.9795),(74 8533.537),(75 8734.995),(76 8674.138),(77 8714.22),(78 8730.177),(79 8711.842),
(1 3778.0405),(2 5066.9736),(3 5546.925),(4 5779.2754),(5 5947.3857),(6 6215.187),(7 6408.337),(8 6694.2637),(9 6899.883),(10 7024.1914),(11 7186.9966),(12 7393.0776),(13 7589.9224),(14 7727.4067),(15 7886.3857),(16 7854.755),(17 7942.386),(18 7911.223),(19 7988.291),(20 8180.303),(21 8125.8555),(22 8208.435),(23 8327.485),(24 8356.27),(25 8491.501),(26 8572.996),(27 8670.772),(28 8523.043),(29 8642.716),(30 8742.936),(31 8742.094),(32 8539.752),(33 8542.884),(34 8539.296),(35 8502.167),(36 8453.032),(37 8421.698),(38 8464.9795),(39 8591.774),(40 8495.293),(41 8528.718),(42 8558.354),(43 8464.718),(44 8494.324),(45 8422.969),(46 8422.177),(47 8277.021),(48 8325.2295),(49 8299.142),(50 8275.423),(51 8243.979),(52 8216.508),(53 8061.158),(54 8168.1787),(55 8177.139),(56 8221.123),(57 8165.9644),(58 8163.707),(59 8059.9253),(60 8144.862),(61 8117.596),(62 8153.54),(63 8110.898),(64 7995.9243),(65 8107.2686),(66 7987.222),(67 8045.7974),(68 8017.977),(69 8015.6855),(70 8025),(71 8042.877),(72 7919.016),(73 7983.5186),(74 8038.6743),(75 8088.1987),(76 8018.4326),(77 8142.0313),(78 8180.4683),(79 8192.33),
(1 3713.8381),(2 5069.703),(3 5503.555),(4 5727.2705),(5 5875.7593),(6 6133.403),(7 6405.235),(8 6668.8516),(9 6769.6963),(10 6894.998),(11 7114.405),(12 7234.022),(13 7509.579),(14 7657.4644),(15 7777.986),(16 7947.3447),(17 8111.3867),(18 8159.8867),(19 8155.7764),(20 8322.528),(21 8321),(22 8442.013),(23 8603.379),(24 8643.368),(25 8625.592),(26 8689.357),(27 8753.912),(28 8735.642),(29 8788.974),(30 8715.353),(31 8715.924),(32 8610.5205),(33 8541.065),(34 8553.281),(35 8475.08),(36 8448.308),(37 8342.472),(38 8506.547),(39 8599.508),(40 8407.882),(41 8405.178),(42 8428.359),(43 8339.0205),(44 8376.276),(45 8416.807),(46 8388.876),(47 8253.519),(48 8355.341),(49 8219.354),(50 8191.7783),(51 8242.069),(52 8153.7104),(53 8086.2734),(54 8053.018),(55 8044.1196),(56 8050.5884),(57 8104.466),(58 8048.9536),(59 7906.7856),(60 8055.2915),(61 8020.75),(62 8013.9946),(63 8068.4023),(64 8036.599),(65 7933.7383),(66 7967.437),(67 7969.083),(68 8024.3096),(69 8028.3906),(70 8004.315),(71 7918.348),(72 7879.5146),(73 7823.8306),(74 8027.586),(75 8041.2876),(76 8103.6357),(77 7997.5894),(78 7970.486),(79 8050.738),
(1 3460.4475),(2 4672.055),(3 5163.8223),(4 5432.0103),(5 5637.455),(6 5832.7075),(7 5982.422),(8 6250.912),(9 6320.6235),(10 6469.1025),(11 6646.669),(12 6728.1924),(13 6855.877),(14 6896.716),(15 6974.6997),(16 7072.527),(17 7175.1836),(18 7228.721),(19 7333.8594),(20 7327.2036),(21 7493.908),(22 7556.981),(23 7775.19),(24 7851.819),(25 7830.451),(26 7999.069),(27 8032.886),(28 7971.9507),(29 8019.5664),(30 8093.284),(31 8165.8726),(32 8175.2383),(33 8165.144),(34 8083.2285),(35 8020.6094),(36 8126.916),(37 8071.256),(38 7998.653),(39 8006.813),(40 7997.308),(41 7947.533),(42 7942.027),(43 7848.704),(44 7723.0063),(45 7761.0947),(46 7859.725),(47 7879.4307),(48 7957.413),(49 7871.5825),(50 7670.132),(51 7638.5225),(52 7590.749),(53 7510.777),(54 7492.4604),(55 7532.1235),(56 7549.367),(57 7601.0317),(58 7596.383),(59 7505.9214),(60 7776.1953),(61 7739.282),(62 7697.509),(63 7779.1597),(64 7715.6567),(65 7675.0195),(66 7633.9287),(67 7517.7983),(68 7487.484),(69 7506.2036),(70 7425.3193),(71 7411.5444),(72 7360.208),(73 7365.6367),(74 7535.4946),(75 7537.68),(76 7529.363),(77 7419.317),(78 7453.3506),(79 7578.0386),
(1 3249.0886),(2 4383.191),(3 4857.0176),(4 5104.2925),(5 5373.499),(6 5555.56),(7 5767.031),(8 5951.901),(9 6075.4478),(10 6258.36),(11 6455.8237),(12 6506.711),(13 6670.439),(14 6745.56),(15 6842.4927),(16 6892.9233),(17 7006.311),(18 7079.2017),(19 7226.1704),(20 7198.588),(21 7303.1465),(22 7342.2017),(23 7422.4673),(24 7374.7905),(25 7382.8965),(26 7372.406),(27 7450.374),(28 7400.375),(29 7368.67),(30 7529.414),(31 7526.1694),(32 7578.8574),(33 7534.731),(34 7565.716),(35 7473.14),(36 7487.5225),(37 7458.42),(38 7501.9463),(39 7552.768),(40 7483.3057),(41 7412.2246),(42 7390.5396),(43 7371.1846),(44 7307.3423),(45 7422.038),(46 7490.701),(47 7471.388),(48 7462.7554),(49 7394.2627),(50 7411.573),(51 7366.0137),(52 7391.2227),(53 7244.552),(54 7343.309),(55 7354.1553),(56 7309.8867),(57 7197.325),(58 7241.197),(59 7212.019),(60 7360.935),(61 7300.4883),(62 7206.908),(63 7288.152),(64 7169.61),(65 7094.787),(66 7172.2153),(67 7058.589),(68 7039.4453),(69 7049.904),(70 7072.7437),(71 6987.66),(72 6946.842),(73 7018.7676),(74 7090.9795),(75 7161.6216),(76 7130.9995),(77 7097.026),(78 7073.863),(79 7226.6934),
