(1 5.193713),(2 12.922171),(3 14.930606),(4 14.916553),(5 16.011997),(6 16.698816),(7 18.407799),(8 18.401142),(9 18.289003),(10 18.782133),(11 20.312323),(12 20.337736),(13 20.799246),(14 21.472776),(15 23.54645),(16 23.553482),(17 22.460663),(18 22.665028),(19 24.334152),(20 24.400385),(21 24.403324),(22 25.860224),(23 27.647135),(24 27.694817),(25 27.658129),(26 26.368826),(27 26.42248),(28 26.45798),(29 29.124384),(30 26.693085),(31 28.418694),(32 28.387306),(33 30.17236),(34 31.867657),(35 31.185757),(36 31.183489),(37 29.137499),(38 31.544773),(39 31.708467),(40 31.702541),(41 29.792025),(42 28.789946),(43 27.774372),(44 27.74284),(45 28.495771),(46 26.717339),(47 26.97562),(48 26.893738),(49 26.453655),(50 26.491821),
(1 5.451816),(2 12.887432),(3 16.138723),(4 16.168322),(5 17.245626),(6 17.867718),(7 17.476002),(8 17.490408),(9 18.2),(10 19.837612),(11 20.660795),(12 20.651865),(13 21.416782),(14 22.850983),(15 24.718294),(16 24.816525),(17 24.623383),(18 23.84241),(19 25.890926),(20 25.88475),(21 24.818851),(22 25.854507),(23 25.282944),(24 25.332977),(25 27.464207),(26 26.60601),(27 28.090221),(28 28.055859),(29 28.65491),(30 29.3611),(31 29.923376),(32 29.93265),(33 30.182837),(34 28.406221),(35 29.42027),(36 29.384153),(37 27.905067),(38 29.687124),(39 30.768797),(40 30.781328),(41 31.371328),(42 30.188597),(43 29.389896),(44 29.405188),(45 31.212677),(46 29.810183),(47 30.801851),(48 30.807718),(49 30.80009),(50 30.739265),
(1 5.7975445),(2 13.195455),(3 16.432768),(4 16.424656),(5 17.596523),(6 18.27046),(7 17.318048),(8 17.346775),(9 18.468838),(10 20.98113),(11 22.522572),(12 22.522854),(13 21.966242),(14 23.377476),(15 23.655445),(16 23.663528),(17 24.501968),(18 24.97578),(19 26.58393),(20 26.649529),(21 27.55619),(22 27.400442),(23 29.438358),(24 29.435827),(25 27.891987),(26 28.396284),(27 28.49094),(28 28.495596),(29 28.872225),(30 29.273335),(31 32.231285),(32 32.24526),(33 30.051197),(34 29.083393),(35 30.955503),(36 30.929861),(37 29.794455),(38 29.689583),(39 30.773592),(40 30.764935),(41 31.398369),(42 30.269468),(43 30.575712),(44 30.58595),(45 30.588509),(46 29.750168),(47 30.849768),(48 30.847656),(49 31.424915),(50 31.39738),
(1 5.4402747),(2 11.362234),(3 12.1065235),(4 12.120218),(5 14.326077),(6 15.757639),(7 16.597008),(8 16.634588),(9 16.829973),(10 17.60249),(11 19.087498),(12 19.092869),(13 20.17911),(14 20.59757),(15 21.951408),(16 21.967522),(17 21.238214),(18 23.323633),(19 23.334335),(20 23.330175),(21 23.555285),(22 25.141867),(23 25.727802),(24 25.730728),(25 25.852564),(26 26.58986),(27 26.529663),(28 26.539629),(29 27.074923),(30 28.082754),(31 28.988237),(32 28.982977),(33 28.03789),(34 26.39859),(35 26.959108),(36 26.9144),(37 27.172676),(38 25.703691),(39 26.21505),(40 26.232079),(41 28.031715),(42 25.93637),(43 28.797201),(44 28.73606),(45 28.07517),(46 30.305483),(47 28.837095),(48 28.820276),(49 28.58047),(50 28.584692),
(1 4.5523157),(2 10.814642),(3 13.033743),(4 13.041456),(5 14.010502),(6 13.920844),(7 14.582609),(8 14.604811),(9 16.17255),(10 14.911148),(11 15.777915),(12 15.810281),(13 16.610907),(14 18.617893),(15 20.151258),(16 20.142479),(17 20.04247),(18 19.789934),(19 20.072664),(20 20.060091),(21 20.18758),(22 20.205572),(23 20.906584),(24 20.87876),(25 21.627619),(26 21.503366),(27 23.6369),(28 23.689857),(29 22.767372),(30 23.299047),(31 24.599411),(32 24.635727),(33 24.5171),(34 25.149923),(35 25.027624),(36 25.068474),(37 24.305792),(38 24.239),(39 25.462038),(40 25.463373),(41 26.18371),(42 25.210077),(43 25.106627),(44 25.042795),(45 24.11422),(46 21.52358),(47 22.403198),(48 22.39823),(49 23.10622),(50 23.164621),
(1 4.229739),(2 10.437693),(3 12.76956),(4 12.761841),(5 12.903375),(6 12.843499),(7 13.201956),(8 13.179201),(9 14.185708),(10 14.311448),(11 15.605054),(12 15.628893),(13 15.637778),(14 16.851347),(15 17.980988),(16 18.012218),(17 18.366179),(18 18.94778),(19 20.14533),(20 20.138914),(21 19.417511),(22 20.836716),(23 21.19263),(24 21.143911),(25 20.115946),(26 20.680954),(27 20.380323),(28 20.400759),(29 20.836182),(30 20.200977),(31 21.753443),(32 21.744482),(33 21.76301),(34 21.716087),(35 22.7069),(36 22.68604),(37 21.968758),(38 23.615416),(39 23.686188),(40 23.684557),(41 23.850754),(42 21.8254),(43 22.144907),(44 22.152077),(45 21.026894),(46 21.079851),(47 21.888863),(48 21.877068),(49 22.238646),(50 22.280672),
(1 4.026177),(2 10.349388),(3 11.905982),(4 11.893124),(5 13.025495),(6 13.228185),(7 14.444531),(8 14.412616),(9 14.333819),(10 16.110914),(11 17.370388),(12 17.389227),(13 16.917542),(14 17.38296),(15 17.3601),(16 17.345638),(17 17.782774),(18 18.31349),(19 20.15283),(20 20.121723),(21 19.05819),(22 19.535807),(23 20.483269),(24 20.466532),(25 20.086468),(26 21.681309),(27 20.935867),(28 20.935905),(29 21.723537),(30 22.575586),(31 22.84418),(32 22.829756),(33 22.200027),(34 22.24726),(35 22.238771),(36 22.257648),(37 22.227076),(38 21.431278),(39 21.388067),(40 21.351994),(41 22.615171),(42 22.58579),(43 21.424742),(44 21.456047),(45 21.428894),(46 20.581337),(47 22.457947),(48 22.42447),(49 20.60939),(50 20.62096),
(1 4.496688),(2 9.975409),(3 12.414243),(4 12.416499),(5 12.056617),(6 13.541371),(7 14.516315),(8 14.521157),(9 14.016403),(10 15.093176),(11 16.133663),(12 16.165026),(13 17.263184),(14 18.857119),(15 20.20963),(16 20.213163),(17 19.245897),(18 18.689432),(19 19.311823),(20 19.383442),(21 19.831867),(22 19.5829),(23 21.124767),(24 21.1328),(25 20.64476),(26 22.321148),(27 22.515741),(28 22.554102),(29 21.884565),(30 21.664661),(31 21.753368),(32 21.740713),(33 20.953976),(34 22.275505),(35 22.34844),(36 22.320723),(37 21.65652),(38 23.299078),(39 22.394915),(40 22.365269),(41 23.176836),(42 21.866669),(43 22.952015),(44 22.952549),(45 22.883867),(46 21.439674),(47 22.218771),(48 22.201077),(49 22.436277),(50 22.391197),
(1 3.917927),(2 9.471984),(3 11.32883),(4 11.319166),(5 10.982707),(6 10.879765),(7 11.242808),(8 11.257214),(9 11.600114),(10 14.788187),(11 16.699804),(12 16.72829),(13 16.398066),(14 16.106771),(15 15.895679),(16 15.902667),(17 16.03514),(18 15.3294325),(19 16.201899),(20 16.237665),(21 16.1458),(22 18.068224),(23 19.993149),(24 20.000336),(25 19.641397),(26 20.298328),(27 20.329525),(28 20.3406),(29 19.693266),(30 17.741585),(31 18.937103),(32 18.924059),(33 18.427338),(34 20.06414),(35 20.775978),(36 20.76281),(37 20.92703),(38 22.051199),(39 23.206263),(40 23.174477),(41 22.786663),(42 20.526485),(43 21.571207),(44 21.554533),(45 20.049934),(46 20.088827),(47 19.992739),(48 19.93667),(49 19.911314),(50 19.920992),
(1 4.3795233),(2 9.565971),(3 11.019056),(4 11.027902),(5 10.934283),(6 10.645503),(7 11.474271),(8 11.468722),(9 12.689057),(10 14.23599),(11 15.742918),(12 15.7725725),(13 15.605409),(14 14.943482),(15 16.365114),(16 16.367676),(17 16.353434),(18 16.368114),(19 18.210903),(20 18.225151),(21 19.258974),(22 19.277294),(23 19.631245),(24 19.62285),(25 18.941692),(26 19.564365),(27 20.309534),(28 20.329327),(29 19.35374),(30 19.123093),(31 18.380407),(32 18.409456),(33 19.462505),(34 19.70641),(35 20.176317),(36 20.13379),(37 18.697346),(38 19.346926),(39 20.04155),(40 20.03933),(41 19.572691),(42 20.122986),(43 20.702927),(44 20.693209),(45 20.425222),(46 17.798044),(47 19.02515),(48 19.025745),(49 18.080353),(50 18.069878),
(1 3.7439458),(2 9.100204),(3 10.963873),(4 10.966881),(5 10.949276),(6 9.7891865),(7 10.167172),(8 10.165628),(9 10.638676),(10 12.732198),(11 14.183167),(12 14.17559),(13 14.283573),(14 13.299543),(15 14.093162),(16 14.097053),(17 14.044083),(18 15.40984),(19 16.327942),(20 16.31639),(21 16.878218),(22 18.385813),(23 18.524132),(24 18.560217),(25 17.677998),(26 16.920788),(27 16.672821),(28 16.652086),(29 16.781153),(30 16.632732),(31 18.397406),(32 18.397793),(33 16.997364),(34 16.380959),(35 16.692286),(36 16.699232),(37 16.550724),(38 16.005375),(39 16.638672),(40 16.649979),(41 16.714626),(42 17.18608),(43 18.293287),(44 18.281673),(45 17.639328),(46 17.542896),(47 18.231697),(48 18.211151),(49 17.605173),(50 17.588625),
