1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 88896.16),(2 292732.03),(3 605527.2),(4 1032595.3),(5 1577867.9),(6 2204158.3),(7 2875019),(8 3644136.3),(9 4354212.5),(10 5140851.5),(11 5923248),(12 6705922),(13 7493973.5),(14 8239054.5),(15 9029049),(16 9845652),(17 10626463),(18 11414989),(19 12241317),(20 13118216),(21 14051335),(22 15007809),(23 16154381),(24 17121662),(25 18122216),(26 19102728),(27 20072338),(28 21051182),(29 21912782),(30 22822352),(31 23800886),(32 24830634),(33 25976182),(34 27082838),(35 28224746),(36 29338746),(37 30452674),(38 31636922),(39 32601824),(40 33753052),(41 34804092),(42 35923470),(43 37176890),(44 38355380),(45 39758156),(46 41228876),(47 42693130),(48 44232308),(49 45892340),(50 47813108),(51 49792964),(52 51737236),(53 53492252),(54 55328828),(55 57305090),(56 59264910),(57 61153044),(58 62896428),(59 64603036),(60 66287680),(61 67899384),(62 69517620),(63 71029416),(64 72342000),(65 73501490),(66 74538860),(67 75464020),(68 76247080),(69 76915210),(70 77618250),(71 77901950),(72 77729160),(73 77341070),(74 77092040),(75 76657410),(76 76096730),(77 75356160),(78 74515704),(79 73829976),
(1 17531.178),(2 31870.088),(3 35752.188),(4 37055.883),(5 39756.24),(6 42334.87),(7 42619.055),(8 41876.344),(9 42310.293),(10 42210.68),(11 41139.258),(12 40282.27),(13 41163.707),(14 41458.01),(15 41801.8),(16 44010.81),(17 45369.363),(18 45340.71),(19 44827.21),(20 44623.48),(21 45816.258),(22 46396.79),(23 46392.8),(24 47786.96),(25 49112.88),(26 49439.813),(27 49898),(28 50981.742),(29 52198.742),(30 53872.23),(31 53347.645),(32 52527.813),(33 53856.938),(34 55312.92),(35 56471.402),(36 57091.777),(37 57208.21),(38 58376.973),(39 60000.055),(40 59603.69),(41 60803.55),(42 60806.684),(43 62824.973),(44 64797.45),(45 65305.918),(46 66282.27),(47 66079.89),(48 66299.914),(49 65716.35),(50 66258.26),(51 67626.31),(52 68978.5),(53 69328.42),(54 69981.38),(55 71165.06),(56 71118.37),(57 70400.59),(58 71042.59),(59 72488.01),(60 73521.65),(61 74250.93),(62 74211.55),(63 75000.875),(64 74524.445),(65 74885.86),(66 75804.73),(67 76222.37),(68 76136.53),(69 75793.086),(70 74253.62),(71 73984.14),(72 74578),(73 75648.59),(74 76127.12),(75 76741.61),(76 76408.05),(77 75760.65),(78 74514.08),(79 73703.64),
(1 17079.07),(2 30855.832),(3 34074.09),(4 35326.387),(5 37646.32),(6 40065.6),(7 40383.527),(8 40226.883),(9 40527.207),(10 40839.875),(11 40782.297),(12 40955.08),(13 40928.203),(14 41681.63),(15 42201.633),(16 42427.684),(17 43301.695),(18 44425.45),(19 43379.023),(20 43513.516),(21 44777.676),(22 44872.445),(23 44792.566),(24 45438.055),(25 46438.73),(26 46557.816),(27 47166.96),(28 48294.742),(29 49011.59),(30 49781.91),(31 49967.664),(32 49750.254),(33 50738.742),(34 51913.613),(35 52394.645),(36 53433.703),(37 53852.586),(38 54178.58),(39 55812.926),(40 56388.152),(41 57208.094),(42 56984.836),(43 57661.41),(44 58348.09),(45 59488.59),(46 60794.035),(47 60036.727),(48 59851.285),(49 61084.156),(50 62606.137),(51 63766.01),(52 64016.105),(53 63630.91),(54 64784.58),(55 65494.895),(56 65901.9),(57 67106.53),(58 68017.85),(59 67774.61),(60 67930.69),(61 68828.38),(62 69396.98),(63 69972.71),(64 69946.23),(65 69530.17),(66 69253.93),(67 68879.45),(68 68589.33),(69 69220.69),(70 68814.586),(71 69425.79),(72 69992.75),(73 69976.22),(74 69925.64),(75 69829.44),(76 68887.734),(77 68629.19),(78 68591.67),(79 69078.75),
(1 17040.895),(2 29958.234),(3 33109.016),(4 34645.598),(5 37474.563),(6 39308.285),(7 39809.426),(8 40063.133),(9 39987.863),(10 39253.79),(11 39721.438),(12 39883.418),(13 39539.496),(14 39330.516),(15 40803.996),(16 42690.5),(17 43606.254),(18 43835.004),(19 43333.98),(20 43050.53),(21 43422.516),(22 44063.69),(23 45895.21),(24 46660.418),(25 46499.9),(26 46553.137),(27 47343.26),(28 47627.34),(29 47130.586),(30 47195.883),(31 49187.055),(32 49401.805),(33 49686.01),(34 51109.14),(35 51079.73),(36 50885.234),(37 51925.29),(38 52557.465),(39 53410.234),(40 53829.977),(41 54656.6),(42 55627.465),(43 55966.168),(44 55749.523),(45 57107.363),(46 58187.438),(47 57516.22),(48 58032.043),(49 58853.547),(50 59178.027),(51 59290.92),(52 59382.78),(53 59621.19),(54 61010.184),(55 61596.297),(56 61913.742),(57 63063.207),(58 64116.145),(59 63589.598),(60 63996.43),(61 65264.555),(62 66346.336),(63 66319.38),(64 65647.99),(65 65109.3),(66 64871.184),(67 65033.777),(68 65094.652),(69 65594.836),(70 65349.33),(71 65583.86),(72 66310.47),(73 66169.52),(74 66046.57),(75 65661.23),(76 65254.438),(77 64970.84),(78 65108.05),(79 65402.36),
(1 17657.021),(2 30971.754),(3 34846.555),(4 35610.063),(5 37090.98),(6 39519.58),(7 40038.508),(8 39824.758),(9 40393.977),(10 40548.023),(11 40900.746),(12 40068.996),(13 39707.727),(14 40048.84),(15 41357.52),(16 42762.14),(17 43874.563),(18 44360.02),(19 43619.387),(20 43188.09),(21 44008.387),(22 44816.49),(23 46182.332),(24 47560.594),(25 47344.504),(26 47248.19),(27 47489.105),(28 48180.805),(29 49524.906),(30 50347.895),(31 51655.914),(32 51974.625),(33 51618.234),(34 51785.09),(35 52328.086),(36 52684.07),(37 54410.594),(38 56075.906),(39 57525.73),(40 57530.027),(41 58188.78),(42 58761.48),(43 59998.99),(44 60922.332),(45 61739.414),(46 61562.39),(47 61393.27),(48 62425.906),(49 62700.004),(50 62141.76),(51 63334.684),(52 65114.836),(53 65944.38),(54 66338.6),(55 66111.2),(56 66786.086),(57 67555.37),(58 68304.35),(59 67936.05),(60 68693.79),(61 69703.71),(62 69485.56),(63 69253.48),(64 69036.37),(65 68801.99),(66 69317.75),(67 70305.05),(68 70839.87),(69 70821.06),(70 70759.45),(71 70511.6),(72 69942.83),(73 69540.8),(74 69892.62),(75 69512.04),(76 68932.75),(77 68633.85),(78 68852.5),(79 69233.15),
(1 16713.428),(2 29055.98),(3 31845.68),(4 32861.703),(5 34273.395),(6 35532.79),(7 35579.523),(8 35583.516),(9 37271.543),(10 38398.88),(11 38520.918),(12 37543.56),(13 37277.633),(14 37624.395),(15 38628.51),(16 39073.06),(17 40027.227),(18 40627.715),(19 41007.758),(20 41379.867),(21 41515.367),(22 42414.027),(23 43353.973),(24 44345.195),(25 45331.85),(26 45521.027),(27 45118.406),(28 46329.74),(29 48439.11),(30 49030.246),(31 49783.395),(32 50443.12),(33 50985.67),(34 52227.27),(35 53325.16),(36 54066.813),(37 55316.684),(38 56880.11),(39 57947.105),(40 58643.285),(41 59657.3),(42 59421.043),(43 60983.44),(44 61872.36),(45 62385.977),(46 63254.92),(47 63944.45),(48 65018.234),(49 64823.75),(50 64651.813),(51 65538.76),(52 66912.83),(53 68694.305),(54 67959.7),(55 67442.41),(56 67809.5),(57 68103.09),(58 69044.72),(59 70132.37),(60 70977.836),(61 70491.805),(62 70175.766),(63 70519.414),(64 70014.83),(65 69654.664),(66 70339.88),(67 70776.98),(68 70794.83),(69 70496.72),(70 70038.805),(71 70350.41),(72 70720.27),(73 70886.875),(74 70501.16),(75 70654.78),(76 70387.23),(77 69892.24),(78 69323.33),(79 69383.98),
(1 16588.383),(2 29289.453),(3 32298.29),(4 33861.82),(5 35589.207),(6 36790.21),(7 37313.902),(8 36402.906),(9 36924.3),(10 37650.06),(11 37636.402),(12 36906.9),(13 36606.12),(14 37446.375),(15 38771.617),(16 39300.88),(17 39760.7),(18 39718.11),(19 40006.734),(20 40838.38),(21 41699.96),(22 42328.336),(23 43479.273),(24 44423.36),(25 45369.05),(26 46317.793),(27 46507.883),(28 47445.313),(29 48530.18),(30 49799.152),(31 50391),(32 50941.395),(33 51249.137),(34 52149.39),(35 53068.62),(36 54627.906),(37 56039.098),(38 56038.57),(39 56355.09),(40 57564.246),(41 59649.254),(42 59214.43),(43 59842.145),(44 60166.676),(45 60946.234),(46 62118.28),(47 62124.16),(48 63234.813),(49 62773.207),(50 62792.258),(51 62896.23),(52 63227.16),(53 64241.81),(54 63853.727),(55 63907.254),(56 64646.42),(57 65038.703),(58 65699.4),(59 66580.34),(60 67188.82),(61 67873.58),(62 67754.625),(63 67090.82),(64 66779.27),(65 67024.88),(66 67773.28),(67 67641.85),(68 67754.01),(69 67302.914),(70 67691.25),(71 68324.93),(72 68677.49),(73 68339.86),(74 67720.49),(75 67951.57),(76 67820.59),(77 67576.59),(78 66943.29),(79 67139.75),
(1 16500.861),(2 28176.957),(3 31825.98),(4 33882.887),(5 36211.145),(6 36690.883),(7 36653.707),(8 36235.082),(9 36930.047),(10 37011.188),(11 36933.13),(12 37261.67),(13 38616.33),(14 38882.707),(15 38841.188),(16 39684.4),(17 40463.86),(18 40191.547),(19 40753.777),(20 41473.637),(21 42599.637),(22 43249.688),(23 44995.383),(24 45184.934),(25 45898.45),(26 46146.117),(27 46347.27),(28 46719.113),(29 47237.04),(30 48327.547),(31 48744.21),(32 48569.277),(33 49516.523),(34 50429.082),(35 49870.395),(36 50890.266),(37 52126.535),(38 51309.434),(39 52363.52),(40 53536.31),(41 54988.934),(42 55189.742),(43 55778.855),(44 56187.69),(45 56580.34),(46 57423.4),(47 57341.86),(48 57451.96),(49 57488.156),(50 58063.887),(51 58309.7),(52 58197.97),(53 59337.793),(54 59384.406),(55 58644.42),(56 59229.24),(57 59682.45),(58 60686.027),(59 61240.293),(60 61258.41),(61 61304.96),(62 60378.27),(63 60306.426),(64 59870.637),(65 60132.426),(66 60920.832),(67 60350.152),(68 60124.863),(69 61185.137),(70 61449.2),(71 61444.633),(72 60921.06),(73 59974.953),(74 59789.46),(75 59504.75),(76 59235.164),(77 59188.703),(78 59296.87),(79 59393.21),
(1 16201.511),(2 27436.824),(3 30314.125),(4 31706.262),(5 33455.85),(6 34461.39),(7 34119.844),(8 33986.14),(9 35514.566),(10 35661.465),(11 35511.66),(12 35328.457),(13 35948.72),(14 36816.24),(15 37599.477),(16 38066.51),(17 39341.91),(18 39148.6),(19 38706.223),(20 39386.094),(21 40701.074),(22 41210.598),(23 41689.105),(24 42271.242),(25 42801.91),(26 43410.98),(27 42825.957),(28 43622.727),(29 44295.395),(30 44256.918),(31 44766.65),(32 45192.633),(33 46092.418),(34 47417.895),(35 47211.445),(36 47550.56),(37 48307.758),(38 48053.98),(39 49658.195),(40 50741.703),(41 52161.22),(42 52408.996),(43 52668.168),(44 52922.902),(45 53277.38),(46 54007.164),(47 54690.543),(48 54947.688),(49 54760.55),(50 55791.137),(51 56512.258),(52 57480.44),(53 57702.49),(54 57813.508),(55 58289.063),(56 58688.35),(57 59418.918),(58 59991.867),(59 60032.766),(60 60232.902),(61 60328.152),(62 59743.895),(63 60236.18),(64 60885.52),(65 61283.355),(66 61435.49),(67 61615.703),(68 60776.027),(69 59928.51),(70 59926.59),(71 60538.895),(72 60386.35),(73 59697.727),(74 59171.277),(75 59992.367),(76 60269.766),(77 60155.29),(78 60164.83),(79 59475.52),
(1 15268.706),(2 26578.725),(3 29700.104),(4 31258.94),(5 32914.09),(6 34385.207),(7 34289.84),(8 33921.207),(9 35092.613),(10 35514.61),(11 35588.62),(12 34607.066),(13 34287.48),(14 35146.902),(15 35606.125),(16 35524.215),(17 36436.016),(18 37497.613),(19 38006.52),(20 37551.223),(21 38269.8),(22 39208.793),(23 40536.453),(24 41473.188),(25 41773.91),(26 41818.24),(27 41989.293),(28 42612.2),(29 42772.324),(30 42670.816),(31 43361.367),(32 45289.625),(33 46554.645),(34 46725.984),(35 46291.99),(36 46999.926),(37 48309.38),(38 49252.152),(39 50956.188),(40 51816.594),(41 51699.516),(42 52311.473),(43 53351.5),(44 53105.406),(45 53348.27),(46 54352.785),(47 55074.535),(48 55468.895),(49 55039.063),(50 56439.473),(51 56809.49),(52 57237.996),(53 58430.313),(54 58178.793),(55 58062.51),(56 58338.574),(57 58039.707),(58 58745.645),(59 59927.27),(60 60829.33),(61 60631.99),(62 60594.176),(63 60614.49),(64 60705.105),(65 60457.363),(66 60078.74),(67 60569.75),(68 60548.582),(69 60201.254),(70 60684.797),(71 61639.176),(72 61452.19),(73 60870.688),(74 60349.95),(75 60354.47),(76 60333.797),(77 60131.7),(78 60470.363),(79 60834.7),
(1 14802.862),(2 25536.33),(3 28401.95),(4 29140.826),(5 30627.773),(6 31988.662),(7 32037.545),(8 31564.904),(9 32985.6),(10 34089.1),(11 34401.457),(12 33735.855),(13 33158.418),(14 33738.93),(15 34216.594),(16 34369.094),(17 34652.254),(18 34806.6),(19 36295.445),(20 37086.863),(21 38043.063),(22 38820.977),(23 40029.395),(24 40074.223),(25 40367.625),(26 40531.832),(27 40033.277),(28 40017.27),(29 40717.258),(30 40762.652),(31 40905.33),(32 42033.97),(33 42610.37),(34 42817.004),(35 43292.273),(36 44041.313),(37 44528.973),(38 45390.465),(39 47000.152),(40 47710.52),(41 48459.24),(42 49417.273),(43 49608.047),(44 49199.07),(45 49619.355),(46 50080.313),(47 50935),(48 51902.54),(49 51961.848),(50 53007.98),(51 53915.03),(52 53901.375),(53 54391.29),(54 54448.355),(55 55549.87),(56 56027.945),(57 54538.832),(58 55252.92),(59 56523.617),(60 56841.523),(61 55760.477),(62 55475.227),(63 56126.055),(64 55990.406),(65 55544.19),(66 55361.652),(67 56286.773),(68 55905.08),(69 55510.406),(70 55970.582),(71 56149.832),(72 55660.883),(73 54802.63),(74 54546.434),(75 54750.965),(76 55382.176),(77 55350.566),(78 55022.676),(79 54744.555),
(1 15073.102),(2 25604.664),(3 28723.266),(4 30599.717),(5 31789.508),(6 32104.701),(7 32607.283),(8 32201.252),(9 33005.848),(10 33877.46),(11 33629.063),(12 33236.656),(13 33794.453),(14 34103.625),(15 34376.31),(16 34790.52),(17 35432.64),(18 35710.22),(19 36046.1),(20 36445.105),(21 36964.37),(22 37670.49),(23 38588.047),(24 38638.438),(25 38565.406),(26 39183.53),(27 39117.35),(28 38795.223),(29 39337.395),(30 39948.918),(31 40440.47),(32 41238.7),(33 41635.453),(34 41718.555),(35 42017.49),(36 43163.637),(37 43653.25),(38 44342.99),(39 45370.81),(40 46224.71),(41 47354.867),(42 48252.62),(43 48663.063),(44 48051.41),(45 48617.598),(46 48804.367),(47 48920.54),(48 49504.883),(49 49658.492),(50 50211.938),(51 50664.17),(52 51139.668),(53 50988.785),(54 51078.223),(55 52207.027),(56 53251.113),(57 52550.02),(58 53238.117),(59 54011),(60 53965.465),(61 54311.04),(62 54796.49),(63 55949.85),(64 56059.316),(65 55956.938),(66 55876.46),(67 55695.445),(68 55362.97),(69 55508.58),(70 55330.113),(71 54941.06),(72 55067.027),(73 54692.844),(74 54281.055),(75 54480.715),(76 55268.164),(77 55847.81),(78 55834.38),(79 55395.223),
(1 14885.328),(2 24749.703),(3 27072.52),(4 28340.816),(5 29598.773),(6 29982.752),(7 30073.56),(8 29964.732),(9 31095.697),(10 31937.258),(11 32212.656),(12 32162.69),(13 33117.01),(14 33939.93),(15 33560.164),(16 33681.6),(17 34640.08),(18 34819.703),(19 34632.93),(20 35466.387),(21 36280.184),(22 36286.04),(23 37460.582),(24 38379.695),(25 37850.063),(26 38414.746),(27 38734.957),(28 39008.88),(29 39877.023),(30 40019.152),(31 40539.91),(32 41174.465),(33 41734.723),(34 41768.906),(35 42352.527),(36 42743.508),(37 43087.777),(38 43864.816),(39 44235.51),(40 44999.71),(41 46361.45),(42 46753.05),(43 46504.5),(44 46068.45),(45 47055.664),(46 47548.99),(47 47602.51),(48 47468.734),(49 47687.766),(50 48434.113),(51 48321.77),(52 48839.406),(53 49101.85),(54 49623.38),(55 49434.418),(56 49153.402),(57 49448.53),(58 50378.77),(59 50462.95),(60 50052.535),(61 50296.297),(62 51538.547),(63 52244.664),(64 52293.434),(65 51879.813),(66 51846.063),(67 51873.27),(68 51531.45),(69 51851.938),(70 52050.246),(71 52125.902),(72 52644.395),(73 52252.1),(74 51838.85),(75 51838.668),(76 51941.445),(77 52116.535),(78 51584.883),(79 51190.152),
(1 14059.126),(2 23847.324),(3 26533.49),(4 27655.273),(5 28706.252),(6 28867.996),(7 29043.969),(8 29553.428),(9 31227.32),(10 30998.621),(11 30761.41),(12 30975.729),(13 31326.959),(14 32049.309),(15 31736.145),(16 32238.916),(17 32983.875),(18 33564.793),(19 33561.89),(20 34114.676),(21 35523.586),(22 35816.234),(23 37171.656),(24 38092.19),(25 37305.42),(26 38419.402),(27 38680.766),(28 39669.01),(29 40161.89),(30 40644.742),(31 41728.016),(32 42002.87),(33 41737.75),(34 42609.957),(35 42618.516),(36 42639.223),(37 43787.42),(38 44295.246),(39 45266.246),(40 45852.125),(41 47799.945),(42 48074.156),(43 47695.633),(44 47891.547),(45 48889.555),(46 49288.184),(47 49654.043),(48 50276.04),(49 49938.19),(50 50589.367),(51 51382.086),(52 52438.22),(53 52109.754),(54 51810),(55 51814.313),(56 51174.242),(57 52149.168),(58 53791.27),(59 53290.58),(60 53310.773),(61 53072.65),(62 53196.676),(63 53006.547),(64 53179.652),(65 53154.63),(66 53218.895),(67 54041),(68 53674.7),(69 53313.098),(70 53535.594),(71 53379.16),(72 53210.73),(73 53003.453),(74 52617.34),(75 51779.973),(76 51555.535),(77 51944.92),(78 52057.367),(79 52166.547),
(1 13713.508),(2 23108.842),(3 25511.795),(4 27706.49),(5 28988.006),(6 28809.092),(7 28581.287),(8 28711.867),(9 30205.195),(10 30638.104),(11 30735.295),(12 30452.584),(13 30300.395),(14 31082.32),(15 30616.287),(16 31174.322),(17 32325.285),(18 33227.883),(19 33782.703),(20 34076.9),(21 34859.184),(22 35891.734),(23 37210.367),(24 37562.438),(25 37475.26),(26 38401.535),(27 38177.63),(28 39226.055),(29 39911.426),(30 41141.61),(31 42307.324),(32 42252.766),(33 41272.6),(34 42589.703),(35 43264.383),(36 43236.48),(37 44557.086),(38 45756.027),(39 46662.266),(40 47331.36),(41 49077.805),(42 49071.246),(43 48658.164),(44 49313.574),(45 50167.2),(46 51251.383),(47 51140.523),(48 51580.82),(49 52086.297),(50 52598.063),(51 52599.78),(52 52792.094),(53 52916.23),(54 52783.832),(55 53257.16),(56 53306.207),(57 54437.934),(58 55124.164),(59 53898.258),(60 54205.61),(61 54431.414),(62 54031.574),(63 53843.395),(64 54145.652),(65 53862.574),(66 53372.863),(67 53447.766),(68 53670),(69 53597.36),(70 53288.145),(71 53435.92),(72 53506.113),(73 53359.676),(74 53207.477),(75 52765.9),(76 52715.703),(77 52413.848),(78 52104.93),(79 52117.637),
(1 13600.146),(2 23271.258),(3 26059.02),(4 27612.545),(5 28449.338),(6 28426.158),(7 28435.773),(8 29275.98),(9 30578.918),(10 31013.572),(11 31165.838),(12 30769.18),(13 30769.432),(14 31242.566),(15 31233.377),(16 32190.62),(17 33526.543),(18 33570.57),(19 34128.703),(20 35240.7),(21 35337.41),(22 35272.902),(23 36599.902),(24 37059.402),(25 37374.023),(26 37971.805),(27 38176.43),(28 38925.117),(29 38983.168),(30 39746.08),(31 40457.383),(32 40794.137),(33 40630.695),(34 41805.03),(35 42098.223),(36 42237.082),(37 43044.402),(38 44328.246),(39 44896.383),(40 45687.81),(41 46318.71),(42 46391.586),(43 46898.395),(44 47003.266),(45 47877.08),(46 48499.98),(47 48201.4),(48 49144.01),(49 50225.188),(50 50889.96),(51 50608.063),(52 50667.715),(53 50969.566),(54 50638.24),(55 50621.684),(56 50734.098),(57 51116.516),(58 51019.113),(59 50730.99),(60 50905.684),(61 50589.742),(62 50353.32),(63 50581.285),(64 50263.926),(65 50034.23),(66 49719.51),(67 50067.07),(68 50020.797),(69 49791.246),(70 49256.1),(71 48412.684),(72 48373.55),(73 48801.715),(74 48609.87),(75 48960.453),(76 49063.906),(77 48890.543),(78 48500.277),(79 48116.1),
(1 13949.311),(2 23355.506),(3 25657.066),(4 26540.986),(5 27934.63),(6 28346.752),(7 27111.68),(8 27378.484),(9 28753.1),(10 29305.979),(11 29955.422),(12 30308.492),(13 29882.646),(14 29739.82),(15 29957.816),(16 30836.78),(17 31491.396),(18 31419.023),(19 32166.523),(20 32959.535),(21 33572.8),(22 34222.08),(23 35757.344),(24 36196.527),(25 35826.867),(26 35952.094),(27 35953.848),(28 36473.996),(29 37931.902),(30 39298.836),(31 40280.77),(32 41153.23),(33 41529.363),(34 43198.363),(35 43521.414),(36 44608.2),(37 45192.793),(38 45600.004),(39 47123.664),(40 47148.965),(41 47704.24),(42 47809.742),(43 49392.77),(44 49882.633),(45 50204.2),(46 50306.844),(47 50709.39),(48 51912.785),(49 52353.914),(50 52370.547),(51 52315.59),(52 52531.605),(53 52013.56),(54 51853.4),(55 52053.9),(56 52325.547),(57 52597.348),(58 52745.777),(59 52530.848),(60 52140.59),(61 52515.875),(62 52609.74),(63 52081.727),(64 51859.76),(65 52345.293),(66 52444.285),(67 52603.42),(68 52541.594),(69 52135.617),(70 51019.03),(71 50711.652),(72 50806.02),(73 50931.773),(74 50831.99),(75 50364.55),(76 49699.82),(77 49873.805),(78 49981.03),(79 49908.043),
(1 13637.029),(2 23016.625),(3 24656.291),(4 25003.06),(5 26210.627),(6 27102.258),(7 27127.492),(8 27077.215),(9 28255.479),(10 28465.43),(11 28786.629),(12 28338.559),(13 28240.186),(14 28700.785),(15 28920.395),(16 29500.729),(17 29874.871),(18 30018.295),(19 30150.041),(20 30459.625),(21 31417.275),(22 31840.96),(23 32955.51),(24 33062.145),(25 32933.43),(26 33454.746),(27 33658.332),(28 34730.797),(29 35815.195),(30 36950.023),(31 37923.414),(32 38002.227),(33 38415.72),(34 39752.08),(35 39553.69),(36 40953.918),(37 41949.69),(38 41744.527),(39 42723.645),(40 42939.004),(41 43824.28),(42 44390.527),(43 46788.723),(44 46918.117),(45 46488.887),(46 46896.31),(47 47133.375),(48 47897.69),(49 48306.7),(50 49462.996),(51 50006.906),(52 50215.066),(53 49029.387),(54 49538.27),(55 50837.62),(56 50550.594),(57 51080.137),(58 51683.668),(59 51600.78),(60 51178.84),(61 50638.883),(62 50798.504),(63 51043.973),(64 50273.29),(65 50327.535),(66 50302.06),(67 50775.016),(68 51391.113),(69 51268.88),(70 50448.016),(71 49557.63),(72 49147.96),(73 49271.785),(74 48798.605),(75 48951.82),(76 48899.55),(77 48377.477),(78 48570.67),(79 48712.81),
(1 12819.021),(2 20966.66),(3 23297.49),(4 24178.102),(5 25719.57),(6 26604.146),(7 26534.248),(8 26211.121),(9 26752.59),(10 26760.4),(11 27233.793),(12 27116.89),(13 27256.295),(14 27930.088),(15 28041.02),(16 28519.691),(17 29178.611),(18 29143.256),(19 29159.277),(20 29502.773),(21 30896.596),(22 31564.307),(23 32063.328),(24 32048.252),(25 32275.955),(26 32826.633),(27 32854.2),(28 34229.12),(29 35184.1),(30 36254.566),(31 37091.36),(32 37836.55),(33 38082.727),(34 38917.047),(35 39112.56),(36 39830.742),(37 40425.008),(38 40353.668),(39 41446.816),(40 41776.676),(41 42478.492),(42 43265.37),(43 44830.688),(44 45074.57),(45 44807.47),(46 44942.82),(47 45130.516),(48 45931.363),(49 46266.074),(50 46882.88),(51 47319.7),(52 47106.023),(53 46284.918),(54 46859.816),(55 47927.637),(56 47749.613),(57 47342.25),(58 47852.727),(59 48443.043),(60 48269.71),(61 47700.965),(62 48669.246),(63 49045.367),(64 48600.586),(65 48601.613),(66 48621.24),(67 48796.973),(68 48357.543),(69 48131.605),(70 47829.8),(71 47301.43),(72 46971.516),(73 46816.656),(74 46325.023),(75 46528.28),(76 46802.637),(77 46609.914),(78 46687.652),(79 46359.51),
