1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 881.5754),(2 1044.664),(3 1145.1024),(4 1207.3385),(5 1238.6882),(6 1256.0896),(7 1292.2607),(8 1316.4718),(9 1329.2169),(10 1350.998),(11 1344.0898),(12 1360.1215),(13 1388.4215),(14 1383.3567),(15 1408.4192),(16 1400.9209),(17 1386.3278),(18 1398.0881),(19 1418.624),(20 1402.9971),(21 1399.0325),(22 1406.4971),(23 1412.7546),(24 1422.1669),(25 1421.2751),(26 1412.3422),(27 1446.3275),(28 1446.4485),(29 1445.604),(30 1480.9756),(31 1458.7397),(32 1454.7338),(33 1488.7332),(34 1461.5459),(35 1483.7405),(36 1501.8998),(37 1477.9063),(38 1477.4541),(39 1496.2692),(40 1491.5308),(41 1491.4578),(42 1512.6104),(43 1491.699),(44 1490.6848),(45 1463.4575),(46 1454.603),(47 1445.7507),(48 1416.4896),(49 1403.7189),(50 1421.6542),(51 1420.5231),(52 1420.572),(53 1443.991),(54 1416.6348),(55 1407.8359),(56 1433.0557),(57 1449.1088),(58 1449.9896),(59 1481.6927),(60 1472.4836),(61 1469.3176),(62 1489.322),(63 1469.9723),(64 1473.3907),(65 1500.1199),(66 1481.5874),(67 1484.0325),(68 1473.5787),(69 1473.1532),(70 1478.4252),(71 1480.5814),(72 1457.9528),(73 1458.9927),(74 1451.7546),(75 1442.5372),(76 1448.2433),(77 1447.0646),(78 1435.1533),(79 1446.1276),
(1 877.68634),(2 1032.428),(3 1130.1693),(4 1172.152),(5 1211.5396),(6 1237.0624),(7 1266.02),(8 1292.4104),(9 1305.8374),(10 1328.5205),(11 1322.7966),(12 1341.1863),(13 1368.3082),(14 1367.442),(15 1380.2477),(16 1368.9918),(17 1361.809),(18 1365.3364),(19 1384.9755),(20 1367.8906),(21 1371.8159),(22 1375.673),(23 1372.4629),(24 1382.0212),(25 1372.8241),(26 1371.6294),(27 1414.5332),(28 1416.2871),(29 1431.9618),(30 1452.1586),(31 1452.9172),(32 1469.9575),(33 1487.1577),(34 1470.7935),(35 1485.7162),(36 1502.4844),(37 1490.8077),(38 1466.6974),(39 1494.7186),(40 1474.4596),(41 1473.7537),(42 1483.187),(43 1461.8298),(44 1464.2903),(45 1419.9974),(46 1415.3286),(47 1406.8644),(48 1392.387),(49 1394.9854),(50 1397.3939),(51 1388.2852),(52 1396.5187),(53 1404.7288),(54 1391.9763),(55 1394.3684),(56 1424.1724),(57 1432.5958),(58 1421.1699),(59 1456.906),(60 1434.88),(61 1428.0168),(62 1452.4719),(63 1439.5944),(64 1440.0496),(65 1463.4663),(66 1436.4034),(67 1444.777),(68 1451.7767),(69 1449.5513),(70 1440.6508),(71 1425.3427),(72 1427.8711),(73 1435.8219),(74 1437.9912),(75 1432.8807),(76 1425.7),(77 1429.3162),(78 1429.6001),(79 1424.7922),
(1 862.7762),(2 1014.15265),(3 1101.3237),(4 1150.7306),(5 1201.1975),(6 1225.3103),(7 1240.5853),(8 1250.3972),(9 1261.8402),(10 1294.2848),(11 1292.2289),(12 1299.8259),(13 1306.6826),(14 1291.8937),(15 1325.3243),(16 1336.8796),(17 1336.6913),(18 1337.3875),(19 1364.05),(20 1349.8445),(21 1359.6117),(22 1358.2314),(23 1354.6102),(24 1366.071),(25 1354.9883),(26 1366.23),(27 1384.499),(28 1373.5591),(29 1391.845),(30 1413.1313),(31 1395.6703),(32 1403.3766),(33 1435.6268),(34 1393.9963),(35 1425.8734),(36 1435.3102),(37 1429.1549),(38 1425.5504),(39 1440.6283),(40 1417.3066),(41 1418.5831),(42 1424.7781),(43 1397.5548),(44 1382.4634),(45 1353.7329),(46 1342.4407),(47 1353.7844),(48 1338.8319),(49 1350.7438),(50 1357.2731),(51 1358.5953),(52 1350.0662),(53 1378.7628),(54 1378.8696),(55 1363.0615),(56 1396.6761),(57 1400.792),(58 1408.6431),(59 1425.4576),(60 1405.5382),(61 1419.1221),(62 1458.2499),(63 1432.5421),(64 1432.9238),(65 1435.4642),(66 1412.3334),(67 1408.877),(68 1423.272),(69 1425.6914),(70 1414.3868),(71 1412.1011),(72 1393.4221),(73 1386.5269),(74 1381.7253),(75 1383.6163),(76 1371.6223),(77 1380.4551),(78 1393.1862),(79 1388.7051),
(1 876.92725),(2 1035.0426),(3 1135.8075),(4 1194.3689),(5 1222.5825),(6 1251.882),(7 1296.1849),(8 1301.0966),(9 1326.4451),(10 1336.2247),(11 1335.9741),(12 1335.9313),(13 1378.9691),(14 1361.1547),(15 1372.3264),(16 1390.1454),(17 1386.2849),(18 1395.9203),(19 1431.9784),(20 1412.2328),(21 1400.8779),(22 1398.578),(23 1420.2467),(24 1421.8246),(25 1422.1797),(26 1427.6229),(27 1452.7926),(28 1444.2003),(29 1455.7555),(30 1483.871),(31 1485.025),(32 1466.5205),(33 1487.45),(34 1463.7999),(35 1486.1892),(36 1497.0178),(37 1487.7289),(38 1474.144),(39 1490.03),(40 1472.348),(41 1450.9008),(42 1475.6809),(43 1439.3158),(44 1438.1055),(45 1411.5549),(46 1396.317),(47 1393.6708),(48 1383.601),(49 1380.6118),(50 1396.1066),(51 1407.8447),(52 1396.4713),(53 1423.6432),(54 1408.0314),(55 1392.275),(56 1399.5126),(57 1415.345),(58 1426.8132),(59 1441.0524),(60 1420.4083),(61 1426.589),(62 1457.7334),(63 1444.5496),(64 1443.3418),(65 1460.5929),(66 1453.6187),(67 1455.81),(68 1457.773),(69 1463.2133),(70 1473.9557),(71 1460.1578),(72 1445.0076),(73 1442.5895),(74 1437.9097),(75 1416.3763),(76 1425.2512),(77 1428.8008),(78 1426.9385),(79 1416.6534),
(1 863.31464),(2 1016.76056),(3 1086.3352),(4 1146.2477),(5 1180.3333),(6 1198.901),(7 1242.97),(8 1230.391),(9 1244.3811),(10 1266.1597),(11 1263.3534),(12 1285.9482),(13 1314.5709),(14 1305.6173),(15 1327.1746),(16 1333.6449),(17 1319.7108),(18 1330.0717),(19 1336.9686),(20 1320.4515),(21 1316.2278),(22 1329.6974),(23 1335.0034),(24 1354.9447),(25 1337.0248),(26 1342.6798),(27 1386.1466),(28 1399.0205),(29 1406.3473),(30 1421.7661),(31 1429.6498),(32 1437.5245),(33 1456.2527),(34 1438.5186),(35 1455.2107),(36 1460.8541),(37 1437.97),(38 1427.3643),(39 1437.2665),(40 1408.507),(41 1394.2852),(42 1419.0513),(43 1392.9589),(44 1412.9093),(45 1398.8353),(46 1383.0208),(47 1377.3077),(48 1399.6042),(49 1373.6809),(50 1387.6754),(51 1373.9053),(52 1368.8738),(53 1389.0686),(54 1369.3407),(55 1377.4664),(56 1395.2467),(57 1391.5511),(58 1395.4403),(59 1419.184),(60 1389.614),(61 1398.2731),(62 1419.5371),(63 1401.2439),(64 1414.1963),(65 1428.411),(66 1412.8718),(67 1400.3828),(68 1400.6493),(69 1403.4768),(70 1412.3405),(71 1412.7338),(72 1386.1187),(73 1372.082),(74 1386.5249),(75 1356.1002),(76 1364.1714),(77 1364.6067),(78 1354.495),(79 1361.5243),
(1 854.7837),(2 994.19507),(3 1072.7251),(4 1119.0994),(5 1152.598),(6 1171.6716),(7 1205.5541),(8 1210.5282),(9 1208.2645),(10 1226.969),(11 1220.774),(12 1233.5265),(13 1272.3948),(14 1252.9617),(15 1277.2335),(16 1283.757),(17 1271.1453),(18 1288.5707),(19 1305.1871),(20 1313.1083),(21 1326.9697),(22 1333.4805),(23 1332.788),(24 1339.1794),(25 1338.0953),(26 1332.7826),(27 1354.4409),(28 1359.3323),(29 1362.5092),(30 1398.4679),(31 1393.45),(32 1407.9182),(33 1405.8475),(34 1403.6561),(35 1418.7719),(36 1421.2703),(37 1405.5973),(38 1394.7019),(39 1410.6129),(40 1378.3478),(41 1357.9008),(42 1366.9545),(43 1340.9645),(44 1352.8414),(45 1333.4215),(46 1334.4435),(47 1341.962),(48 1328.9482),(49 1308.9938),(50 1341.0952),(51 1318.2145),(52 1326.9551),(53 1320.356),(54 1313.3071),(55 1326.7107),(56 1354.7161),(57 1334.8809),(58 1331.1296),(59 1376.0349),(60 1354.1725),(61 1359.0789),(62 1372.8414),(63 1357.8082),(64 1354.6318),(65 1377.8861),(66 1361.6241),(67 1344.7172),(68 1353.3604),(69 1356.4374),(70 1364.6082),(71 1344.3915),(72 1324.254),(73 1331.9594),(74 1332.1168),(75 1309.013),(76 1315.2958),(77 1317.5767),(78 1305.0702),(79 1313.878),
(1 852.7464),(2 981.38116),(3 1062.8097),(4 1118.9316),(5 1169.5497),(6 1180.9938),(7 1214.3873),(8 1208.1451),(9 1215.4684),(10 1240.6177),(11 1233.824),(12 1242.3174),(13 1272.7576),(14 1252.6659),(15 1268.3943),(16 1275.8462),(17 1287.6959),(18 1299.3009),(19 1296.9894),(20 1322.2838),(21 1319.3994),(22 1330.2727),(23 1303.5842),(24 1327.7986),(25 1315.1024),(26 1334.2197),(27 1365.6943),(28 1351.2324),(29 1363.0054),(30 1398.4064),(31 1392.7493),(32 1395.148),(33 1422.1785),(34 1397.4059),(35 1395.058),(36 1418.8715),(37 1400.1836),(38 1381.905),(39 1403.8218),(40 1383.7006),(41 1380.5479),(42 1394.8276),(43 1362.3602),(44 1388.0404),(45 1363.4038),(46 1337.543),(47 1363.5583),(48 1344.0734),(49 1339.2417),(50 1355.5769),(51 1353.482),(52 1362.1558),(53 1374.0453),(54 1366.8156),(55 1375.2487),(56 1397.9486),(57 1394.2509),(58 1403.3386),(59 1422.5508),(60 1396.0382),(61 1400.023),(62 1411.6523),(63 1389.533),(64 1398.2461),(65 1407.7156),(66 1379.2047),(67 1389.62),(68 1394.1782),(69 1396.6178),(70 1395.2456),(71 1383.7947),(72 1355.1317),(73 1355.261),(74 1352.718),(75 1340.2539),(76 1355.9857),(77 1348.2932),(78 1343.2794),(79 1335.207),
(1 810.22107),(2 930.2645),(3 1001.12354),(4 1052.4418),(5 1084.9513),(6 1114.2739),(7 1127.966),(8 1132.8088),(9 1162.1545),(10 1192.6768),(11 1182.9507),(12 1189.521),(13 1219.2611),(14 1205.2179),(15 1222.7456),(16 1221.3882),(17 1219.8083),(18 1216.8802),(19 1228.5784),(20 1221.4749),(21 1233.8236),(22 1250.8389),(23 1239.3215),(24 1237.2666),(25 1227.238),(26 1242.225),(27 1283.0715),(28 1265.7838),(29 1280.0817),(30 1295.1603),(31 1295.6364),(32 1305.8086),(33 1350.7115),(34 1347.5184),(35 1332.5781),(36 1345.5221),(37 1333.5105),(38 1333.1245),(39 1348.003),(40 1317.4625),(41 1331.5643),(42 1352.3894),(43 1314.4587),(44 1337.2924),(45 1320.2838),(46 1301.6115),(47 1310.5371),(48 1295.4772),(49 1286.0721),(50 1306.6906),(51 1286.0204),(52 1302.1902),(53 1321.9178),(54 1301.1102),(55 1295.0526),(56 1312.784),(57 1308.8315),(58 1307.5046),(59 1340.6396),(60 1322.869),(61 1327.209),(62 1346.3302),(63 1336.6473),(64 1340.0386),(65 1342.3987),(66 1334.5623),(67 1328.904),(68 1330.3369),(69 1330.6821),(70 1332.1738),(71 1326.2284),(72 1294.3513),(73 1292.8999),(74 1277.5709),(75 1270.2249),(76 1281.2612),(77 1289.8041),(78 1271.2617),(79 1265.6912),
(1 832.7885),(2 952.16943),(3 1040.1172),(4 1082.8982),(5 1101.9557),(6 1136.3691),(7 1155.5503),(8 1157.0084),(9 1182.9336),(10 1205.4938),(11 1199.3663),(12 1207.447),(13 1241.2955),(14 1233.7738),(15 1259.1782),(16 1267.0538),(17 1272.9318),(18 1272.4059),(19 1282.9202),(20 1279.0392),(21 1281.0831),(22 1311.3654),(23 1300.2693),(24 1319.1547),(25 1308.1573),(26 1310.4629),(27 1350.017),(28 1353.8568),(29 1381.4995),(30 1391.6179),(31 1368.2931),(32 1369.1271),(33 1388.9266),(34 1383.1869),(35 1373.6887),(36 1392.0697),(37 1389.7959),(38 1378.3589),(39 1386.6954),(40 1350.4116),(41 1362.8087),(42 1383.5261),(43 1356.1747),(44 1363.1788),(45 1353.5613),(46 1308.5762),(47 1329.9829),(48 1320.5405),(49 1314.5155),(50 1320.7628),(51 1307.1478),(52 1311.7585),(53 1323.9373),(54 1314.4546),(55 1316.9358),(56 1338.093),(57 1351.3046),(58 1354.3546),(59 1383.1376),(60 1362.2639),(61 1361.8907),(62 1376.0184),(63 1358.0358),(64 1363.8912),(65 1371.9636),(66 1361.8451),(67 1350.6857),(68 1356.1967),(69 1341.2755),(70 1355.4878),(71 1339.8239),(72 1313.5814),(73 1308.9467),(74 1301.6888),(75 1287.5236),(76 1309.8583),(77 1305.3087),(78 1296.8097),(79 1290.0427),
(1 788.0322),(2 902.705),(3 975.49994),(4 1038.3402),(5 1051.4395),(6 1078.85),(7 1122.1184),(8 1129.1185),(9 1140.3113),(10 1154.4889),(11 1154.0582),(12 1171.7058),(13 1184.722),(14 1169.2078),(15 1196.155),(16 1190.8561),(17 1182.4714),(18 1194.212),(19 1221.2012),(20 1215.084),(21 1206.1327),(22 1235.8909),(23 1228.1511),(24 1221.6512),(25 1236.3379),(26 1236.7661),(27 1270.2448),(28 1280.1573),(29 1281.045),(30 1311.9884),(31 1304.007),(32 1305.6927),(33 1333.279),(34 1314.623),(35 1320.1504),(36 1334.9025),(37 1336.9954),(38 1327.6212),(39 1349.7246),(40 1319.4434),(41 1308.9276),(42 1320.9904),(43 1291.5455),(44 1303.8232),(45 1265.9066),(46 1257.6586),(47 1277.2474),(48 1248.7891),(49 1235.7406),(50 1247.8275),(51 1232.6338),(52 1231.0358),(53 1235.9343),(54 1235.5461),(55 1249.1293),(56 1257.7942),(57 1258.9662),(58 1273.5187),(59 1296.1367),(60 1276.9591),(61 1280.4674),(62 1295.2212),(63 1278.2024),(64 1270.6241),(65 1274.7146),(66 1267.0143),(67 1253.1631),(68 1263.4573),(69 1243.9392),(70 1247.3234),(71 1262.8901),(72 1244.7793),(73 1248.7955),(74 1239.6223),(75 1216.3405),(76 1222.1068),(77 1227.486),(78 1217.269),(79 1205.6157),
(1 810.8641),(2 932.12775),(3 1006.07275),(4 1055.8956),(5 1080.7891),(6 1113.652),(7 1140.2255),(8 1134.094),(9 1142.6466),(10 1174.9338),(11 1183.1262),(12 1188.9807),(13 1192.5507),(14 1180.9998),(15 1195.7932),(16 1202.3643),(17 1199.9277),(18 1197.3933),(19 1211.6879),(20 1216.1635),(21 1237.0685),(22 1248.3524),(23 1239.388),(24 1239.9966),(25 1244.0333),(26 1254.2124),(27 1275.3483),(28 1270.623),(29 1299.9021),(30 1308.9828),(31 1310.43),(32 1314.218),(33 1345.0536),(34 1324.6857),(35 1326.6357),(36 1332.2058),(37 1312.6849),(38 1315.1407),(39 1332.8943),(40 1302.1621),(41 1300.0361),(42 1312.5919),(43 1271.0186),(44 1282.4838),(45 1259.0846),(46 1249.2426),(47 1255.4432),(48 1238.3613),(49 1239.417),(50 1259.7141),(51 1243.7347),(52 1234.5979),(53 1256.0298),(54 1262.0371),(55 1262.2267),(56 1262.2954),(57 1263.1857),(58 1285.27),(59 1296.5254),(60 1273.9923),(61 1274.4695),(62 1291.9917),(63 1276.4663),(64 1292.6075),(65 1307.0056),(66 1285.4001),(67 1275.3446),(68 1267.1631),(69 1252.3226),(70 1262.2845),(71 1263.9755),(72 1240.7002),(73 1239.8295),(74 1255.9628),(75 1236.5951),(76 1241.581),(77 1244.3633),(78 1248.9696),(79 1239.5236),
(1 802.93274),(2 929.6313),(3 1003.9353),(4 1052.1332),(5 1074.9695),(6 1098.408),(7 1120.1508),(8 1126.4851),(9 1129.9246),(10 1162.2275),(11 1160.9033),(12 1154.6543),(13 1165.0653),(14 1170.8212),(15 1189.5392),(16 1189.4169),(17 1185.5481),(18 1189.0034),(19 1199.2695),(20 1185.7069),(21 1198.9126),(22 1221.5936),(23 1219.3718),(24 1228.7428),(25 1229.5005),(26 1242.4382),(27 1276.5193),(28 1251.0874),(29 1269.7345),(30 1302.4065),(31 1290.4943),(32 1293.1586),(33 1301.238),(34 1296.4136),(35 1302.4624),(36 1323.0078),(37 1302.914),(38 1301.7444),(39 1324.004),(40 1287.7168),(41 1286.5171),(42 1289.1384),(43 1245.937),(44 1257.8911),(45 1248.9415),(46 1245.8865),(47 1254.4171),(48 1223.8899),(49 1224.2262),(50 1227.7286),(51 1216.4448),(52 1219.3666),(53 1242.7642),(54 1215.8046),(55 1228.3969),(56 1238.7052),(57 1247.8058),(58 1255.8732),(59 1291.6262),(60 1271.2904),(61 1271.6636),(62 1269.3726),(63 1275.3787),(64 1288.7709),(65 1282.1345),(66 1261.5065),(67 1282.7534),(68 1270.7479),(69 1243.5863),(70 1265.4923),(71 1264.9949),(72 1238.3503),(73 1236.9956),(74 1233.1451),(75 1218.8297),(76 1222.7203),(77 1213.2253),(78 1205.3043),(79 1212.7632),
(1 784.36414),(2 886.961),(3 954.68207),(4 1013.49927),(5 1028.8223),(6 1048.5769),(7 1082.5941),(8 1090.5201),(9 1099.3438),(10 1129.831),(11 1125.847),(12 1138.7688),(13 1154.2823),(14 1141.9988),(15 1155.432),(16 1159.1184),(17 1158.7383),(18 1169.6295),(19 1182.1647),(20 1171.3347),(21 1182.4735),(22 1198.689),(23 1204.2855),(24 1211.839),(25 1203.0391),(26 1211.3042),(27 1255.6218),(28 1245.7964),(29 1252.6158),(30 1281.7355),(31 1263.5247),(32 1271.923),(33 1280.2777),(34 1273.7668),(35 1281.6127),(36 1299.4224),(37 1283.474),(38 1272.6702),(39 1283.8),(40 1254.682),(41 1257.0674),(42 1273.0554),(43 1248.5883),(44 1237.5057),(45 1229.0946),(46 1213.263),(47 1225.3029),(48 1214.8588),(49 1193.0693),(50 1204.4199),(51 1174.4967),(52 1199.6742),(53 1212.0339),(54 1201.3362),(55 1189.5844),(56 1210.3212),(57 1203.9974),(58 1222.6267),(59 1264.1494),(60 1235.1202),(61 1227.0791),(62 1242.9788),(63 1235.439),(64 1258.2607),(65 1260.8984),(66 1247.6256),(67 1241.9878),(68 1237.5508),(69 1224.032),(70 1243.433),(71 1239.3999),(72 1215.3684),(73 1204.7566),(74 1197.0696),(75 1202.2179),(76 1193.9825),(77 1199.4176),(78 1190.0382),(79 1180.6024),
(1 811.8148),(2 930.2739),(3 1002.71643),(4 1062.755),(5 1066.8053),(6 1091.9066),(7 1137.9911),(8 1136.0624),(9 1149.5837),(10 1174.6077),(11 1163.1163),(12 1166.8352),(13 1175.973),(14 1169.8121),(15 1181.5428),(16 1182.5355),(17 1167.994),(18 1186.8416),(19 1206.0181),(20 1183.9794),(21 1204.4932),(22 1211.6603),(23 1207.1328),(24 1223.3184),(25 1194.9652),(26 1222.2214),(27 1265.7683),(28 1266.0834),(29 1287.4939),(30 1311.9325),(31 1283.6897),(32 1312.1024),(33 1313.6163),(34 1292.1313),(35 1291.5205),(36 1301.5856),(37 1290.7196),(38 1298.4662),(39 1292.8223),(40 1247.1685),(41 1244.2338),(42 1274.8354),(43 1242.5204),(44 1242.3038),(45 1223.2289),(46 1218.8209),(47 1209.5924),(48 1193.188),(49 1189.3302),(50 1212.752),(51 1196.9785),(52 1214.8821),(53 1231.0043),(54 1209.3049),(55 1220.805),(56 1242.8444),(57 1234.5001),(58 1236.9384),(59 1270.2919),(60 1258.3716),(61 1254.121),(62 1265.1482),(63 1265.3889),(64 1273.4265),(65 1292.1445),(66 1277.5619),(67 1275.3464),(68 1269.5739),(69 1266.0707),(70 1277.9675),(71 1269.2579),(72 1251.2968),(73 1247.6957),(74 1244.9355),(75 1254.878),(76 1239.2852),(77 1232.988),(78 1227.634),(79 1218.6519),
(1 793.097),(2 883.4601),(3 961.9537),(4 1007.6428),(5 1025.2814),(6 1044.5802),(7 1077.7942),(8 1087.6859),(9 1098.1935),(10 1128.3922),(11 1122.9861),(12 1129.8058),(13 1153.662),(14 1154.7793),(15 1152.9419),(16 1148.024),(17 1135.6824),(18 1134.0013),(19 1162.8428),(20 1150.3516),(21 1168.3907),(22 1184.7219),(23 1153.3368),(24 1174.5082),(25 1144.318),(26 1172.2096),(27 1212.8356),(28 1194.9874),(29 1217.546),(30 1243.2539),(31 1221.4344),(32 1228.1937),(33 1243.8671),(34 1225.0142),(35 1219.4568),(36 1227.2662),(37 1220.34),(38 1217.3514),(39 1231.9442),(40 1196.8395),(41 1218.7817),(42 1216.2567),(43 1186.3881),(44 1211.8954),(45 1188.5961),(46 1188.5465),(47 1172.7416),(48 1154.174),(49 1147.6885),(50 1171.3679),(51 1164.6837),(52 1182.1643),(53 1205.1945),(54 1183.9935),(55 1205.0284),(56 1219.3762),(57 1211.2362),(58 1211.707),(59 1234.6305),(60 1222.0768),(61 1221.5634),(62 1251.8374),(63 1231.9103),(64 1235.9264),(65 1255.3624),(66 1224.018),(67 1223.4747),(68 1220.6653),(69 1211.673),(70 1227.7124),(71 1243.8843),(72 1222.8171),(73 1220.3096),(74 1220.032),(75 1212.7178),(76 1199.6814),(77 1196.4402),(78 1192.3796),(79 1191.5354),
(1 804.1152),(2 904.49316),(3 979.58856),(4 1050.1688),(5 1058.6389),(6 1089.1024),(7 1135.2026),(8 1123.8395),(9 1132.1643),(10 1166.9174),(11 1153.0608),(12 1159.0916),(13 1177.593),(14 1161.2169),(15 1176.072),(16 1198.7516),(17 1174.7504),(18 1187.1726),(19 1183.3049),(20 1186.3754),(21 1191.9338),(22 1205.7688),(23 1191.9054),(24 1217.2668),(25 1194.7161),(26 1214.7744),(27 1245.5374),(28 1227.5149),(29 1231.2445),(30 1255.0476),(31 1228.998),(32 1245.7966),(33 1263.4276),(34 1272.0104),(35 1270.084),(36 1274.5931),(37 1255.6923),(38 1249.2062),(39 1249.2024),(40 1236.251),(41 1251.5001),(42 1250.9935),(43 1228.8009),(44 1222.0046),(45 1212.1666),(46 1205.6124),(47 1190.2408),(48 1165.3783),(49 1168.59),(50 1178.2969),(51 1149.6609),(52 1177.7819),(53 1186.4221),(54 1181.7979),(55 1195.4448),(56 1188.0693),(57 1186.5386),(58 1192.4763),(59 1220.9238),(60 1214.4022),(61 1198.9591),(62 1211.8666),(63 1208.2797),(64 1220.553),(65 1219.8516),(66 1213.4597),(67 1217.5394),(68 1209.464),(69 1207.0148),(70 1220.81),(71 1223.6525),(72 1200.319),(73 1212.3601),(74 1204.2668),(75 1198.3923),(76 1189.226),(77 1184.4937),(78 1192.3784),(79 1192.9697),
(1 796.1727),(2 887.96844),(3 956.0445),(4 1021.93726),(5 1046.4897),(6 1061.1497),(7 1088.9783),(8 1082.9092),(9 1098.2833),(10 1123.9413),(11 1123.9962),(12 1129.4902),(13 1152.4565),(14 1144.2692),(15 1155.7019),(16 1152.7169),(17 1144.6915),(18 1132.8298),(19 1156.4694),(20 1142.555),(21 1139.1166),(22 1135.8562),(23 1156.9984),(24 1173.7177),(25 1155.9385),(26 1181.4829),(27 1195.3505),(28 1191.9548),(29 1192.0077),(30 1215.165),(31 1215.7402),(32 1230.6707),(33 1258.2412),(34 1242.2249),(35 1234.849),(36 1251.7041),(37 1240.0386),(38 1232.049),(39 1262.2545),(40 1242.2891),(41 1238.7006),(42 1254.2915),(43 1211.0854),(44 1208.2809),(45 1196.651),(46 1179.723),(47 1167.2913),(48 1165.0677),(49 1136.0455),(50 1150.3668),(51 1145.1061),(52 1164.2716),(53 1162.6965),(54 1160.7412),(55 1181.069),(56 1196.031),(57 1189.5743),(58 1181.6753),(59 1208.0292),(60 1199.4689),(61 1197.0306),(62 1212.0159),(63 1197.9415),(64 1209.2294),(65 1213.7975),(66 1195.5188),(67 1200.6282),(68 1207.5869),(69 1203.4036),(70 1220.496),(71 1211.2504),(72 1190.6638),(73 1193.6995),(74 1192.6243),(75 1200.3057),(76 1174.797),(77 1185.6265),(78 1183.2418),(79 1181.7046),
