1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 241143.3),(2 797311.7),(3 1565499.1),(4 2482456.8),(5 3547232.8),(6 4565589),(7 5519220.5),(8 6338905.5),(9 6974606.5),(10 7430843.5),(11 7863196.5),(12 8208728),(13 8455673),(14 8348529.5),(15 8032759.5),(16 7968920),(17 8159429.5),(18 7907617.5),(19 7399996.5),(20 7130688.5),(21 7088966.5),(22 7278935.5),(23 7601120),(24 7868096),(25 8400692),(26 8808971),(27 9072301),(28 9424925),(29 9639621),(30 9632455),(31 9598157),(32 9536704),(33 9465681),(34 9526344),(35 9575504),(36 9346929),(37 9292525),(38 9462811),(39 9719731),(40 9719693),(41 9844804),(42 10212411),(43 10596291),(44 11027269),(45 11429881),(46 11672509),(47 11851204),(48 11941477),(49 12036479),(50 12051923),(51 11844893),(52 11444304),(53 10948449),(54 10431696),(55 9846453),(56 9166908),(57 8584295),(58 8101682.5),(59 7953189.5),(60 7922650.5),(61 8033942.5),(62 8117508),(63 7989794.5),(64 8001716),(65 8309319.5),(66 8610626),(67 8825893),(68 8861380),(69 9035886),(70 9073899),(71 8958543),(72 8989535),(73 9206873),(74 9506874),(75 9657632),(76 9600233),(77 9480003),(78 9260565),(79 9158085),
(1 589.4657),(2 798.78156),(3 836.1127),(4 857.5733),(5 897.5319),(6 892.8027),(7 910.5929),(8 926.03015),(9 947.5907),(10 952.1252),(11 948.9585),(12 941.335),(13 931.7197),(14 921.2312),(15 932.75793),(16 927.0344),(17 940.77716),(18 944.55597),(19 960.86475),(20 939.3804),(21 944.7165),(22 933.1099),(23 956.25714),(24 935.1658),(25 944.2049),(26 936.61194),(27 945.9505),(28 927.041),(29 949.2203),(30 955.9535),(31 946.3897),(32 935.2887),(33 951.3998),(34 951.22906),(35 972.6388),(36 950.3876),(37 948.03204),(38 945.19934),(39 981.4373),(40 955.7684),(41 956.99054),(42 966.65564),(43 987.9433),(44 982.7868),(45 998.85034),(46 981.9085),(47 995.70874),(48 986.339),(49 984.38995),(50 980.4889),(51 995.05835),(52 979.55493),(53 980.45795),(54 962.6134),(55 966.50433),(56 979.1509),(57 991.2624),(58 978.09106),(59 978.36145),(60 970.1161),(61 973.67993),(62 976.36005),(63 1013.6298),(64 977.91736),(65 958.75653),(66 947.1489),(67 956.9234),(68 951.13306),(69 935.40356),(70 931.43866),(71 967.65735),(72 951.5059),(73 961.1843),(74 946.4986),(75 979.5103),(76 962.7388),(77 990.67303),(78 967.9093),(79 990.59436),
(1 593.122),(2 789.69135),(3 853.0898),(4 842.5525),(5 876.87555),(6 874.47864),(7 914.1393),(8 911.9041),(9 925.5902),(10 924.8219),(11 917.9648),(12 910.1407),(13 929.1239),(14 920.78455),(15 931.37744),(16 915.44934),(17 922.3095),(18 916.2694),(19 941.8922),(20 929.98254),(21 932.7888),(22 935.9832),(23 944.39496),(24 934.4597),(25 943.1767),(26 942.5542),(27 940),(28 914.1528),(29 953.64343),(30 931.4541),(31 948.93536),(32 942.5466),(33 956.49146),(34 956.8419),(35 965.67303),(36 943.19885),(37 940.2709),(38 934.58765),(39 966.4614),(40 945.1111),(41 954.1278),(42 946.3102),(43 971.82605),(44 961.6654),(45 966.7709),(46 964.9648),(47 982.4289),(48 972.3279),(49 971.03503),(50 966.7967),(51 969.5069),(52 962.13257),(53 964.0791),(54 948.8229),(55 955.51184),(56 954.184),(57 970.3156),(58 952.58954),(59 955.2047),(60 949.5628),(61 956.31006),(62 946.87744),(63 976.62384),(64 963.08453),(65 946.4991),(66 941.7602),(67 944.71313),(68 931.26776),(69 942.2347),(70 937.29114),(71 947.0409),(72 920.38617),(73 935.9143),(74 926.32074),(75 956.75903),(76 949.9621),(77 975.0194),(78 941.8823),(79 955.49786),
(1 569.33527),(2 743.3469),(3 821.5273),(4 805.9426),(5 830.2737),(6 835.00116),(7 874.74365),(8 862.54285),(9 873.38135),(10 857.2337),(11 874.258),(12 865.38776),(13 873.83966),(14 870.65894),(15 897.495),(16 893.5643),(17 907.37305),(18 911.148),(19 913.6018),(20 905.4238),(21 923.45856),(22 901.7028),(23 903.77484),(24 894.07806),(25 909.38837),(26 895.2396),(27 905.0531),(28 883.5046),(29 895.1436),(30 899.20154),(31 910.08057),(32 909.4715),(33 901.5243),(34 884.0059),(35 894.1645),(36 871.6968),(37 864.59186),(38 864.393),(39 881.43097),(40 888.7145),(41 893.7516),(42 885.32556),(43 897.7119),(44 909.26935),(45 907.095),(46 911.522),(47 924.5782),(48 923.85236),(49 926.3521),(50 923.3562),(51 924.89465),(52 908.07086),(53 909.05457),(54 897.83453),(55 895.7317),(56 896.5347),(57 910.62604),(58 893.0744),(59 905.86365),(60 886.70154),(61 897.54346),(62 882.3032),(63 918.42554),(64 902.7095),(65 910.2452),(66 890.7313),(67 890.7055),(68 880.0883),(69 889.4942),(70 883.421),(71 907.0314),(72 883.7231),(73 899.0041),(74 884.8439),(75 910.57043),(76 909.05676),(77 934.2827),(78 906.6925),(79 897.7464),
(1 556.08075),(2 727.5066),(3 793.5133),(4 792.84186),(5 815.4327),(6 824.3615),(7 856.0242),(8 833.5616),(9 848.2338),(10 845.05414),(11 868.5076),(12 869.043),(13 858.03424),(14 845.0511),(15 883.25165),(16 868.37915),(17 868.8513),(18 866.6703),(19 877.6134),(20 870.9068),(21 880.24274),(22 856.9569),(23 877.0131),(24 871.65967),(25 870.4961),(26 861.35944),(27 869.83344),(28 869.2463),(29 882.5755),(30 864.752),(31 876.3685),(32 866.3652),(33 874.95306),(34 881.3783),(35 894.9888),(36 871.60724),(37 873.57074),(38 866.32495),(39 888.65955),(40 887.1964),(41 882.6217),(42 891.6782),(43 898.2643),(44 906.2734),(45 914.58636),(46 905.0621),(47 914.51245),(48 914.2466),(49 931.9878),(50 909.74194),(51 923.6233),(52 910.49384),(53 927.6391),(54 922.9815),(55 915.5622),(56 906.49396),(57 916.79236),(58 898.49146),(59 918.12775),(60 914.455),(61 918.5377),(62 915.69324),(63 941.48816),(64 920.6536),(65 921.326),(66 912.1389),(67 899.93005),(68 896.642),(69 894.11993),(70 884.8629),(71 895.8765),(72 888.42035),(73 892.8478),(74 896.546),(75 913.6505),(76 914.37604),(77 928.23334),(78 926.38196),(79 918.665),
(1 544.2801),(2 693.6465),(3 770.5766),(4 767.9701),(5 785.9375),(6 786.5252),(7 821.1262),(8 817.10394),(9 818.7506),(10 820.5295),(11 837.12366),(12 829.76154),(13 828.1677),(14 832.6079),(15 849.13934),(16 847.1971),(17 854.5866),(18 860.24097),(19 876.61584),(20 847.2212),(21 866.70526),(22 840.1413),(23 845.7131),(24 848.0431),(25 845.63934),(26 834.19025),(27 858.82385),(28 840.0559),(29 854.6619),(30 850.0362),(31 868.64124),(32 861.5696),(33 866.6238),(34 856.5367),(35 878.5174),(36 866.4157),(37 858.7012),(38 862.82184),(39 894.50604),(40 869.8228),(41 875.6649),(42 876.3371),(43 883.42615),(44 884.23395),(45 906.0557),(46 874.69604),(47 884.9131),(48 890.75745),(49 894.0338),(50 867.33527),(51 888.3433),(52 884.1849),(53 906.2409),(54 897.24615),(55 893.2153),(56 875.4434),(57 885.48676),(58 871.7615),(59 876.32855),(60 873.0973),(61 883.07043),(62 879.50507),(63 905.42993),(64 886.16406),(65 881.23413),(66 865.56464),(67 857.94995),(68 857.8506),(69 863.06396),(70 858.2901),(71 871.6631),(72 862.07587),(73 867.61224),(74 853.2588),(75 871.06464),(76 858.83466),(77 882.07),(78 863.0554),(79 878.55396),
(1 515.78094),(2 669.13824),(3 729.899),(4 739.5329),(5 759.2169),(6 767.7921),(7 784.58636),(8 783.9668),(9 767.4242),(10 767.1551),(11 794.0188),(12 782.1888),(13 791.1582),(14 792.0896),(15 808.99805),(16 794.66705),(17 800.7313),(18 790.5782),(19 809.8749),(20 794.26965),(21 788.4671),(22 775.4267),(23 791.33276),(24 795.64734),(25 792.6944),(26 784.07355),(27 817.55615),(28 800.1301),(29 802.999),(30 801.81537),(31 818.4744),(32 814.3187),(33 817.17706),(34 808.36145),(35 823.92365),(36 802.1097),(37 815.57776),(38 801.50116),(39 817.59656),(40 804.3228),(41 814.941),(42 819.2379),(43 835.0558),(44 847.20337),(45 847.9621),(46 824.4983),(47 835.19763),(48 840.8646),(49 842.89014),(50 832.2933),(51 845.74677),(52 840.998),(53 853.5528),(54 856.3484),(55 857.1983),(56 837.9171),(57 850.3525),(58 849.6868),(59 841.9657),(60 825.9569),(61 829.9589),(62 829.25183),(63 874.09796),(64 862.35376),(65 854.39307),(66 849.4013),(67 835.01),(68 831.53577),(69 818.84454),(70 822.8714),(71 848.29175),(72 830.996),(73 820.5568),(74 812.8305),(75 844.9395),(76 836.85895),(77 855.4308),(78 850.52435),(79 851.61816),
(1 520.7593),(2 653.4746),(3 729.1821),(4 737.6237),(5 761.8995),(6 763.47736),(7 782.6124),(8 770.2532),(9 773.9902),(10 776.21173),(11 770.8589),(12 773.99664),(13 776.2716),(14 771.6323),(15 791.87),(16 778.2337),(17 787.4106),(18 774.22375),(19 783.54126),(20 779.1146),(21 779.20935),(22 768.8693),(23 776.43695),(24 781.6769),(25 788.4048),(26 780.8006),(27 786.8456),(28 792.6165),(29 800.7737),(30 796.0365),(31 804.2836),(32 790.61523),(33 791.6619),(34 794.54974),(35 794.98474),(36 773.1358),(37 775.1511),(38 766.5217),(39 787.23206),(40 773.08984),(41 791.82166),(42 794.04285),(43 818.4921),(44 820.93335),(45 812.86743),(46 787.70264),(47 815.8689),(48 825.9448),(49 823.06494),(50 808.7837),(51 818.8753),(52 816.132),(53 823.21466),(54 825.8827),(55 826.68994),(56 815.8544),(57 832.6816),(58 829.54266),(59 824.2509),(60 817.08246),(61 824.64484),(62 814.827),(63 861.65393),(64 825.2635),(65 834.22906),(66 817.062),(67 813.0158),(68 805.3386),(69 823.15686),(70 802.9038),(71 824.7432),(72 813.37115),(73 812.4398),(74 804.9363),(75 838.3283),(76 811.87775),(77 845.3365),(78 826.7178),(79 841.5235),
(1 506.2527),(2 641.3766),(3 709.4653),(4 711.4019),(5 719.51373),(6 727.4648),(7 742.3218),(8 725.8221),(9 749.47076),(10 748.9027),(11 762.8855),(12 754.5697),(13 750.0976),(14 748.336),(15 761.5386),(16 756.0661),(17 759.6431),(18 757.2834),(19 762.2416),(20 762.44025),(21 770.41956),(22 748.13544),(23 751.5453),(24 744.7848),(25 753.5796),(26 740.7023),(27 748.4077),(28 747.82324),(29 755.5301),(30 740.19403),(31 752.4724),(32 757.2966),(33 764.6468),(34 760.4869),(35 772.8122),(36 760.48047),(37 755.9518),(38 748.3981),(39 770.16064),(40 767.4924),(41 777.5334),(42 777.482),(43 777.41986),(44 771.24884),(45 777.8622),(46 774.26654),(47 787.2341),(48 777.2119),(49 789.92633),(50 779.6482),(51 797.07983),(52 787.3998),(53 786.8729),(54 793.6362),(55 795.6285),(56 796.7806),(57 814.3046),(58 793.88116),(59 799.2699),(60 796.3993),(61 790.04083),(62 787.96234),(63 815.82825),(64 798.46063),(65 812.8557),(66 806.9539),(67 803.0698),(68 792.0494),(69 785.50256),(70 788.0105),(71 786.9518),(72 778.22766),(73 789.71265),(74 775.555),(75 806.6103),(76 786.2898),(77 811.7754),(78 802.49274),(79 803.78674),
(1 496.7994),(2 621.1018),(3 675.7816),(4 675.12915),(5 697.0126),(6 711.4015),(7 728.00323),(8 711.259),(9 722.7748),(10 712.7684),(11 751.02356),(12 732.4325),(13 743.8893),(14 729.2716),(15 757.4278),(16 739.32416),(17 741.74036),(18 738.6488),(19 752.643),(20 747.39703),(21 750.767),(22 733.866),(23 736.5402),(24 728.64996),(25 739.4569),(26 727.29047),(27 743.3091),(28 746.7985),(29 738.3742),(30 729.9819),(31 737.25995),(32 736.3505),(33 743.0954),(34 745.48004),(35 743.73364),(36 730.57697),(37 740.0749),(38 734.61285),(39 748.81226),(40 739.0766),(41 747.8057),(42 738.548),(43 751.5868),(44 757.4037),(45 755.9336),(46 754.4958),(47 770.94183),(48 778.436),(49 787.5881),(50 775.64886),(51 778.9093),(52 776.2674),(53 762.62775),(54 762.61633),(55 775.4839),(56 771.40283),(57 789.51166),(58 765.7628),(59 768.66437),(60 764.09515),(61 770.47906),(62 766.3022),(63 791.2959),(64 783.0163),(65 786.0579),(66 784.3304),(67 784.4877),(68 771.22687),(69 774.9957),(70 765.843),(71 760.1134),(72 763.47626),(73 766.76666),(74 761.35114),(75 779.6108),(76 764.23334),(77 767.2675),(78 748.2694),(79 778.0356),
(1 485.2768),(2 615.63184),(3 671.28015),(4 682.19244),(5 705.0916),(6 721.3326),(7 733.2128),(8 723.48004),(9 728.1008),(10 720.7877),(11 746.30597),(12 729.58716),(13 742.98785),(14 735.17236),(15 757.53784),(16 732.20746),(17 743.7115),(18 735.75446),(19 733.28125),(20 732.1295),(21 744.9661),(22 732.60547),(23 740.5443),(24 715.12415),(25 735.49493),(26 728.8429),(27 736.5431),(28 736.8188),(29 737.8516),(30 723.8918),(31 741.42413),(32 744.5918),(33 739.8929),(34 738.9836),(35 742.0923),(36 728.97034),(37 740.51654),(38 727.40265),(39 739.8455),(40 734.1557),(41 738.0083),(42 742.4156),(43 754.71313),(44 757.0218),(45 763.54297),(46 757.76495),(47 777.05096),(48 770.6548),(49 778.29395),(50 766.1327),(51 764.80493),(52 765.31976),(53 763.7368),(54 756.9973),(55 761.7838),(56 753.0285),(57 771.41736),(58 768.5141),(59 778.0064),(60 782.8119),(61 777.04565),(62 769.9331),(63 773.51776),(64 770.1464),(65 775.823),(66 774.23694),(67 781.21405),(68 758.62585),(69 768.4295),(70 770.93994),(71 771.06396),(72 759.9838),(73 760.67065),(74 752.9713),(75 776.8971),(76 762.6456),(77 767.354),(78 764.2744),(79 773.91864),
(1 482.59134),(2 593.20844),(3 640.9377),(4 647.8423),(5 674.9034),(6 683.3718),(7 695.5695),(8 691.3173),(9 701.8433),(10 694.6689),(11 701.64404),(12 703.56915),(13 699.9282),(14 716.44635),(15 732.5889),(16 708.7562),(17 718.90546),(18 706.5342),(19 717.904),(20 711.57855),(21 712.2581),(22 712.068),(23 703.01294),(24 699.5919),(25 707.107),(26 702.3632),(27 710.13763),(28 704.1729),(29 712.082),(30 704.7606),(31 711.2376),(32 712.0158),(33 725.88654),(34 713.6523),(35 725.6946),(36 714.2506),(37 723.2277),(38 714.5266),(39 728.10767),(40 730.8541),(41 720.4721),(42 731.56915),(43 733.50836),(44 740.09204),(45 744.6533),(46 727.49365),(47 739.62067),(48 719.2426),(49 732.05133),(50 723.5619),(51 733.501),(52 727.56775),(53 728.06104),(54 717.03235),(55 720.41614),(56 713.3206),(57 728.98724),(58 713.0816),(59 724.8936),(60 719.19354),(61 715.4831),(62 722.3666),(63 742.83624),(64 733.2122),(65 747.117),(66 726.8095),(67 737.63904),(68 734.2023),(69 744.0482),(70 735.69507),(71 746.38074),(72 738.553),(73 732.9503),(74 729.7509),(75 762.9315),(76 749.2267),(77 751.29596),(78 744.55176),(79 750.48004),
(1 476.90906),(2 579.5068),(3 616.5162),(4 624.3375),(5 644.247),(6 654.7652),(7 669.7203),(8 662.34174),(9 660.22473),(10 661.0242),(11 666.2614),(12 667.69305),(13 688.46484),(14 678.19604),(15 681.1434),(16 681.3362),(17 691.27844),(18 675.51483),(19 677.45905),(20 670.85547),(21 677.3069),(22 666.4841),(23 686.32495),(24 682.56),(25 689.1468),(26 675.0622),(27 695.45935),(28 678.16907),(29 688.5464),(30 686.07043),(31 692.43115),(32 679.0544),(33 690.1079),(34 690.33624),(35 704.2504),(36 688.2055),(37 689.89154),(38 688.4387),(39 709.8349),(40 710.27203),(41 712.94885),(42 708.3612),(43 710.6496),(44 713.2818),(45 711.47534),(46 702.4996),(47 717.3325),(48 700.2876),(49 714.9372),(50 704.61255),(51 715.99036),(52 709.6253),(53 708.0934),(54 699.60016),(55 716.85065),(56 704.7009),(57 705.8093),(58 692.1817),(59 695.0247),(60 685.2492),(61 690.4505),(62 694.2091),(63 718.2474),(64 701.78827),(65 714.82886),(66 695.85114),(67 705.0732),(68 699.39185),(69 709.2353),(70 691.3074),(71 712.7398),(72 708.9799),(73 710.41205),(74 701.98083),(75 716.77765),(76 702.01526),(77 708.4398),(78 712.59515),(79 729.1801),
(1 453.77927),(2 563.50867),(3 605.5689),(4 621.23083),(5 633.7398),(6 635.1505),(7 652.4519),(8 643.18756),(9 647.69653),(10 636.1449),(11 645.91766),(12 655.6702),(13 667.9378),(14 651.2113),(15 668.30634),(16 657.4528),(17 663.0988),(18 653.3853),(19 655.5252),(20 650.3909),(21 661.9665),(22 660.83356),(23 674.18536),(24 653.9946),(25 669.84503),(26 664.027),(27 686.94885),(28 666.09644),(29 681.4309),(30 669.87866),(31 662.1921),(32 655.52057),(33 663.96185),(34 667.926),(35 676.23553),(36 649.2462),(37 667.43207),(38 667.4596),(39 677.64026),(40 671.43536),(41 661.34937),(42 660.92255),(43 674.33276),(44 675.285),(45 667.8011),(46 667.10693),(47 680.5746),(48 675.8433),(49 674.03784),(50 668.1317),(51 690.29047),(52 678.984),(53 679.1987),(54 665.8164),(55 671.6254),(56 677.66833),(57 688.86414),(58 689.0218),(59 690.6745),(60 682.0616),(61 693.5615),(62 684.53656),(63 704.31537),(64 688.94434),(65 697.84076),(66 677.35394),(67 687.0693),(68 675.63116),(69 673.3218),(70 666.90906),(71 679.74),(72 656.99146),(73 674.527),(74 675.8333),(75 686.133),(76 679.6437),(77 692.2664),(78 691.41583),(79 693.44464),
(1 461.62793),(2 571.8459),(3 609.1844),(4 621.2251),(5 633.7829),(6 638.2482),(7 660.544),(8 657.13055),(9 666.00995),(10 653.1434),(11 644.7973),(12 656.2856),(13 671.55536),(14 651.8004),(15 673.7168),(16 666.7328),(17 671.6085),(18 673.0585),(19 680.5154),(20 661.1528),(21 663.2035),(22 652.065),(23 658.7883),(24 650.1487),(25 664.4754),(26 662.76526),(27 669.6528),(28 669.07056),(29 673.04156),(30 657.4086),(31 675.3114),(32 668.442),(33 679.24384),(34 669.2943),(35 680.669),(36 673.86206),(37 677.9315),(38 669.6332),(39 689.5177),(40 682.6366),(41 682.9654),(42 676.88416),(43 677.88135),(44 681.4131),(45 687.55786),(46 690.43475),(47 700.1515),(48 697.3302),(49 704.12445),(50 696.4183),(51 709.6016),(52 690.86255),(53 689.5243),(54 689.7091),(55 691.1434),(56 691.7028),(57 703.3665),(58 694.63214),(59 687.21906),(60 683.2503),(61 695.77594),(62 690.6799),(63 704.22784),(64 700.2052),(65 705.7185),(66 700.9079),(67 699.24567),(68 692.90234),(69 695.15594),(70 690.28766),(71 696.86975),(72 675.8467),(73 691.30164),(74 685.0589),(75 701.5842),(76 699.2311),(77 709.9356),(78 703.0566),(79 692.7928),
(1 436.86624),(2 538.1523),(3 589.01245),(4 597.9619),(5 603.98517),(6 605.6784),(7 614.62726),(8 624.7993),(9 636.5758),(10 632.4724),(11 632.09595),(12 627.24384),(13 640.666),(14 632.0866),(15 659.82654),(16 646.48206),(17 646.9114),(18 640.248),(19 645.7425),(20 637.7029),(21 640.56),(22 636.49817),(23 641.8152),(24 631.67),(25 646.927),(26 640.7939),(27 655.0491),(28 655.49554),(29 659.5234),(30 653.038),(31 660.10065),(32 659.8984),(33 666.91595),(34 653.74646),(35 670.863),(36 669.49756),(37 667.25323),(38 654.32654),(39 674.39374),(40 662.327),(41 660.1524),(42 662.7063),(43 664.05634),(44 665.78723),(45 671.5835),(46 671.51013),(47 683.4392),(48 678.55383),(49 685.5784),(50 677.30365),(51 694.86835),(52 668.08844),(53 670.20386),(54 681.4914),(55 676.8316),(56 678.36755),(57 683.6775),(58 667.6958),(59 675.6321),(60 679.9641),(61 674.5929),(62 667.44086),(63 677.896),(64 669.93134),(65 673.4743),(66 659.6841),(67 669.7695),(68 671.85693),(69 670.93646),(70 661.6033),(71 675.0474),(72 660.35425),(73 665.06824),(74 670.58875),(75 704.87994),(76 690.87775),(77 704.13605),(78 687.6189),(79 677.65186),
(1 416.56183),(2 509.09552),(3 566.09595),(4 567.39484),(5 584.71704),(6 588.95734),(7 602.0469),(8 602.3939),(9 614.8534),(10 607.54913),(11 619.32477),(12 596.06274),(13 616.14813),(14 607.4042),(15 636.20105),(16 623.0411),(17 628.45874),(18 613.96375),(19 618.98206),(20 592.78467),(21 594.9759),(22 598.45374),(23 610.7264),(24 598.58484),(25 609.8605),(26 599.5687),(27 620.07214),(28 618.1761),(29 619.3981),(30 608.88055),(31 628.2921),(32 614.1327),(33 622.2822),(34 612.9963),(35 630.6927),(36 621.9496),(37 620.7967),(38 608.1568),(39 623.99945),(40 619.61456),(41 638.5668),(42 635.5903),(43 640.1975),(44 645.11993),(45 655.26294),(46 647.2284),(47 652.5162),(48 650.5845),(49 650.5091),(50 641.7948),(51 650.05536),(52 636.61444),(53 639.45917),(54 637.04315),(55 636.42645),(56 642.6448),(57 643.389),(58 625.2353),(59 633.20984),(60 625.6736),(61 625.1244),(62 618.87195),(63 648.4678),(64 630.4775),(65 635.2784),(66 626.8005),(67 624.3283),(68 627.7996),(69 631.1535),(70 614.3152),(71 624.13727),(72 618.85095),(73 616.9617),(74 623.7748),(75 646.9369),(76 651.5331),(77 664.23444),(78 650.0401),(79 647.76526),
(1 422.65204),(2 524.43787),(3 571.0649),(4 577.6479),(5 582.463),(6 593.18353),(7 595.2475),(8 600.44604),(9 615.1779),(10 609.31995),(11 618.6484),(12 611.58276),(13 616.742),(14 602.8812),(15 617.01196),(16 626.0863),(17 633.2838),(18 617.108),(19 630.10895),(20 616.79663),(21 621.5079),(22 609.29694),(23 629.37),(24 614.24524),(25 625.75775),(26 618.91675),(27 626.56256),(28 625.0469),(29 623.93787),(30 621.828),(31 629.3066),(32 625.614),(33 626.48315),(34 623.7964),(35 636.9309),(36 638.55774),(37 637.32855),(38 628.4801),(39 642.1528),(40 629.3991),(41 645.0364),(42 638.8884),(43 649.7699),(44 642.59406),(45 641.8491),(46 628.7694),(47 646.50507),(48 655.6314),(49 663.0003),(50 647.1454),(51 643.28827),(52 648.63885),(53 645.53577),(54 653.40674),(55 651.7064),(56 662.875),(57 668.04364),(58 659.7463),(59 660.52673),(60 641.60474),(61 645.42706),(62 642.7593),(63 656.1514),(64 642.70984),(65 641.334),(66 642.8417),(67 643.9793),(68 646.5867),(69 645.6568),(70 641.6304),(71 653.3094),(72 649.1738),(73 651.4995),(74 644.3013),(75 661.5669),(76 657.10236),(77 670.4583),(78 659.9944),(79 664.38855),
(1 410.30502),(2 497.96906),(3 552.4872),(4 547.1864),(5 563.0855),(6 557.4694),(7 569.94763),(8 569.5513),(9 572.9284),(10 569.4951),(11 584.16705),(12 575.0619),(13 575.82184),(14 570.66156),(15 587.2047),(16 594.44415),(17 601.28687),(18 585.15594),(19 594.74445),(20 586.35034),(21 584.5393),(22 582.0217),(23 587.3233),(24 581.5168),(25 582.6056),(26 587.7663),(27 596.5575),(28 586.43115),(29 598.1233),(30 599.8992),(31 603.3542),(32 598.696),(33 595.6376),(34 600.3355),(35 604.0533),(36 595.8676),(37 599.13403),(38 590.3629),(39 619.4889),(40 605.05),(41 609.9785),(42 605.55505),(43 624.0381),(44 613.16046),(45 610.7609),(46 606.26654),(47 615.4015),(48 619.9155),(49 637.56586),(50 620.93463),(51 629.6778),(52 623.3881),(53 627.7859),(54 619.8764),(55 624.41156),(56 625.36707),(57 635.16235),(58 632.37897),(59 633.2157),(60 617.3349),(61 616.83246),(62 614.62164),(63 625.50446),(64 617.84973),(65 610.23364),(66 609.6385),(67 621.2745),(68 611.85486),(69 611.95526),(70 602.3053),(71 609.50757),(72 607.14526),(73 608.8069),(74 604.5603),(75 624.3849),(76 624.07306),(77 624.9013),(78 615.4807),(79 614.83795),
