1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 12271.816),(2 39055.855),(3 83020.586),(4 139796.11),(5 203716.58),(6 261375.33),(7 325685.97),(8 404015.34),(9 474964.63),(10 550506.44),(11 633567.56),(12 739941.44),(13 852312.75),(14 986349),(15 1151457.4),(16 1324302.5),(17 1502736.1),(18 1688173.4),(19 1904986.6),(20 2134763),(21 2352161.3),(22 2584254.8),(23 2808211.3),(24 3057122.8),(25 3312610.8),(26 3599530.8),(27 3975324),(28 4358986.5),(29 4740877),(30 5218119.5),(31 5658296.5),(32 6129092),(33 6561521.5),(34 6991064),(35 7414197.5),(36 7833580),(37 8244606.5),(38 8672944),(39 9130784),(40 9625225),(41 10093247),(42 10614895),(43 11158509),(44 11746789),(45 12311741),(46 12912591),(47 13522744),(48 14081125),(49 14619725),(50 15144451),(51 15666651),(52 16199063),(53 16730783),(54 17278808),(55 17860766),(56 18465258),(57 19057558),(58 19565448),(59 20105330),(60 20671052),(61 21229990),(62 21774966),(63 22338758),(64 22912498),(65 23428762),(66 23957478),(67 24483190),(68 24963554),(69 25535390),(70 26092608),(71 26690170),(72 27251594),(73 27821310),(74 28352438),(75 28885934),(76 29394880),(77 29925494),(78 30441018),(79 31039186),
(1 8961.064),(2 26058.316),(3 40463.34),(4 48118.945),(5 49519.22),(6 47712.42),(7 46498.344),(8 46140.316),(9 46087.71),(10 46931.664),(11 49013),(12 50831.06),(13 51165.207),(14 50342.445),(15 49371.14),(16 48985.164),(17 49563.72),(18 50118.66),(19 50821.1),(20 51865.863),(21 53020.184),(22 53860.137),(23 54526.39),(24 54585.164),(25 54043.89),(26 53349.965),(27 52641.484),(28 52571.984),(29 53121.035),(30 53858.53),(31 53603.992),(32 52400.508),(33 50628.85),(34 49243.98),(35 49493.98),(36 50598.73),(37 52601.39),(38 54711.47),(39 55108.945),(40 54201.62),(41 52789.69),(42 51992.992),(43 50617.76),(44 49766.234),(45 50173.703),(46 50881.61),(47 51980.887),(48 52625.023),(49 52479.684),(50 52097.26),(51 51835.164),(52 52111.12),(53 52620.113),(54 52826.02),(55 53380.273),(56 53269.785),(57 53250.61),(58 53948.344),(59 54263.195),(60 54163.844),(61 54056.227),(62 53804.043),(63 53401.11),(64 52934.31),(65 52468.88),(66 51776.22),(67 50748.582),(68 50728.625),(69 51794.19),(70 53080.047),(71 54066.94),(72 54503.13),(73 53806.965),(74 53110.625),(75 52838.457),(76 52316.36),(77 52244.81),(78 53127.938),(79 54395.95),
(1 8660.947),(2 24764.762),(3 37808.65),(4 44317.56),(5 45567.293),(6 44795.734),(7 43691.094),(8 43387.445),(9 43505.293),(10 43851.117),(11 44586.637),(12 45083.023),(13 45557.203),(14 46024.465),(15 46342.69),(16 46829.504),(17 46493.707),(18 46647.01),(19 47837.87),(20 48399.95),(21 48583.586),(22 49242.797),(23 50638.85),(24 52102.03),(25 52120.703),(26 51330.836),(27 50017.926),(28 49544.61),(29 49737.98),(30 49864.457),(31 49627.277),(32 49244.72),(33 49476.91),(34 49344.72),(35 49240.145),(36 49988.137),(37 50666.69),(38 51479.875),(39 51583.227),(40 50951.98),(41 50712.97),(42 50922.926),(43 50730.11),(44 50866.098),(45 52077.793),(46 53232.605),(47 53835.137),(48 53996.316),(49 54232.688),(50 54581.277),(51 55306.223),(52 55602.223),(53 55527.99),(54 55000.05),(55 54282.56),(56 53399.92),(57 52915.273),(58 53472.31),(59 54122.82),(60 54375.29),(61 54301.113),(62 53804.426),(63 53041.89),(64 52266.09),(65 51730.504),(66 51150.457),(67 50989.3),(68 50298.67),(69 49862.164),(70 49899.777),(71 49932.367),(72 50049.703),(73 50809.72),(74 51359.89),(75 51882.754),(76 51383.727),(77 50889.637),(78 51163.664),(79 51394.832),
(1 8742.695),(2 25436.715),(3 39330.48),(4 46537.863),(5 48529.047),(6 47780.785),(7 45771.164),(8 43911.348),(9 42705.688),(10 42552.063),(11 43801.613),(12 45537.11),(13 47610.63),(14 48142.516),(15 47743.133),(16 47405.91),(17 47358.184),(18 47240.633),(19 47345.543),(20 47270.332),(21 47839.332),(22 49628.305),(23 51626.445),(24 52299.945),(25 51675.543),(26 50203.11),(27 48865.813),(28 48716.293),(29 50048.387),(30 51322.21),(31 51210.742),(32 49320.184),(33 47845.93),(34 47796.035),(35 49511.918),(36 51383.24),(37 52058.004),(38 51800.043),(39 51059.836),(40 50055.38),(41 50465.42),(42 51580.36),(43 52438.78),(44 52395.37),(45 52085.23),(46 51178.887),(47 50834.79),(48 51157.027),(49 51777.97),(50 51726.973),(51 51484.867),(52 50938.41),(53 50648.027),(54 50154.133),(55 50088.895),(56 50248.316),(57 50620.78),(58 51088.516),(59 51466.55),(60 50960.836),(61 51111.137),(62 51777.324),(63 52072.867),(64 51817.605),(65 51310.188),(66 50204.945),(67 49161.086),(68 48537.35),(69 48147.176),(70 47869.254),(71 47529.926),(72 47895.85),(73 48888.16),(74 50133.543),(75 51036.91),(76 51778.23),(77 52250.824),(78 52287.543),(79 52496.58),
(1 8286.504),(2 23621.98),(3 35290.773),(4 41037.36),(5 41943.29),(6 40542.684),(7 39672.4),(8 39950.613),(9 40708.57),(10 41826.56),(11 42755.797),(12 43431.938),(13 43931.92),(14 44037.566),(15 44291.316),(16 44346.85),(17 44035.87),(18 42937.598),(19 42553.285),(20 42729.957),(21 43423.9),(22 44589.38),(23 45880.324),(24 46859.645),(25 46364.28),(26 44527.1),(27 43311.11),(28 43724.7),(29 45178.55),(30 45995.203),(31 45868.395),(32 45937.887),(33 46383.176),(34 47074.684),(35 47605.74),(36 47517.313),(37 47489.35),(38 47265.39),(39 47475.19),(40 47757.457),(41 47976.35),(42 47901.508),(43 48050.535),(44 48763.902),(45 50246.22),(46 50886.75),(47 50813.92),(48 50258.64),(49 49133.266),(50 48000.15),(51 47119.285),(52 46793.13),(53 46921.297),(54 47212.69),(55 47046.465),(56 46606.37),(57 46421.844),(58 46572.38),(59 47126.016),(60 47454.996),(61 47125.938),(62 46230.08),(63 45491.613),(64 45180.42),(65 45269.168),(66 44331.72),(67 43924.94),(68 44445.363),(69 45206.703),(70 45310.645),(71 44424.426),(72 43840.07),(73 44182.105),(74 45048.027),(75 46446.2),(76 47571.367),(77 48151.664),(78 48195.414),(79 47315.902),
(1 8468.555),(2 23796.701),(3 36412.17),(4 42452.926),(5 43468.152),(6 42297.09),(7 40620.234),(8 39389.09),(9 38868.953),(10 39595.81),(11 40964.87),(12 41983.754),(13 42938.55),(14 43395.043),(15 43032.934),(16 42344.992),(17 41569.254),(18 40674.98),(19 40422.855),(20 40652.496),(21 41488.188),(22 42714.98),(23 43939.984),(24 43583.406),(25 43286.055),(26 43160.887),(27 42703.086),(28 42609.313),(29 42838.74),(30 43111.07),(31 42710.47),(32 41887.758),(33 40950.02),(34 41092.27),(35 42162.977),(36 43312.61),(37 43821.402),(38 43366.07),(39 43061.207),(40 42889.906),(41 42683.473),(42 42181.223),(43 42188.8),(44 42832.508),(45 44086.84),(46 44750.617),(47 45092.58),(48 45097.438),(49 44870.316),(50 44677.434),(51 45121.355),(52 45380.87),(53 45047.63),(54 45723.887),(55 46553.73),(56 46479.29),(57 46111.305),(58 46472.84),(59 46915.027),(60 46972.21),(61 46943.563),(62 46743.254),(63 46336.3),(64 45769.2),(65 44669.93),(66 43875.117),(67 43531.81),(68 43573.742),(69 43942.55),(70 44240.074),(71 44110.58),(72 43967.59),(73 44100.1),(74 44286.254),(75 44577.71),(76 44734.984),(77 44981.336),(78 45289.12),(79 45347.734),
(1 8148.4126),(2 23272.863),(3 34807.813),(4 39741.46),(5 40217.805),(6 39276.69),(7 39087.406),(8 39031.594),(9 39169.547),(10 39472.695),(11 39706.992),(12 39934.895),(13 41098.465),(14 42609.93),(15 43932.18),(16 44459),(17 44015.754),(18 42945.44),(19 41817.707),(20 41144.465),(21 41048.12),(22 41608.41),(23 42144.426),(24 42338.39),(25 42398.47),(26 42821.152),(27 42905.37),(28 43030.68),(29 42729.91),(30 41791.895),(31 40864.6),(32 39948.09),(33 39862.33),(34 40636.875),(35 41826.813),(36 42116.406),(37 41952.895),(38 41668.06),(39 41924.594),(40 42602.52),(41 43758.473),(42 44648.38),(43 45469.54),(44 45569.996),(45 45471.14),(46 44797.055),(47 44598.56),(48 44586.16),(49 44841.223),(50 44915.926),(51 44659.863),(52 44151.26),(53 43602.188),(54 43303.26),(55 42677.293),(56 42486.44),(57 42303.223),(58 42357.09),(59 42244.652),(60 42154.69),(61 41974.867),(62 41373.3),(63 40920.547),(64 40590.797),(65 40288.273),(66 40184.957),(67 40182.992),(68 40318.61),(69 40173.34),(70 40537.7),(71 40963.38),(72 41351.844),(73 42293.742),(74 43240.293),(75 43562.297),(76 43341.113),(77 43146.76),(78 42762.28),(79 42495.086),
(1 8107.699),(2 23005.137),(3 34860.65),(4 39614.047),(5 39448.227),(6 38251.246),(7 37783.996),(8 38101.316),(9 39313.453),(10 40813.098),(11 41460.594),(12 41184.848),(13 41098.574),(14 40977.02),(15 40969.13),(16 40275.5),(17 39681.4),(18 40071.473),(19 40250.59),(20 40559.52),(21 40150.496),(22 39634.45),(23 39312.223),(24 38982.402),(25 39389.1),(26 40244.215),(27 40851.547),(28 41328.1),(29 40931.402),(30 40222.64),(31 39037.582),(32 37270.543),(33 37066.434),(34 38610.434),(35 39899.23),(36 40018.824),(37 39593.047),(38 39276.516),(39 39523.508),(40 40055.63),(41 40893.22),(42 41636.56),(43 42293.473),(44 42351.203),(45 41530.297),(46 40133.62),(47 39687.39),(48 40051.926),(49 40909.902),(50 41579.98),(51 42603.035),(52 42946.133),(53 42971.22),(54 42698.6),(55 41805.53),(56 41538.203),(57 41976.547),(58 42176.48),(59 42296.37),(60 42502.098),(61 42930.844),(62 42829.066),(63 42110.47),(64 41540.992),(65 41530.34),(66 41672.92),(67 41555.203),(68 41365.355),(69 40516.805),(70 39967.543),(71 39909.5),(72 40550.93),(73 41624.676),(74 42812.324),(75 43356.723),(76 43150.668),(77 42651.77),(78 42422.684),(79 42727.543),
(1 7669.207),(2 21215.68),(3 31525.746),(4 35993.67),(5 35855.363),(6 34586.652),(7 34134.008),(8 34311.938),(9 35559.383),(10 36693.797),(11 38219.11),(12 39327.152),(13 39491.24),(14 38864.598),(15 38867.707),(16 39474.176),(17 39607.402),(18 39333.344),(19 39243.5),(20 39082.348),(21 38788.97),(22 38182.93),(23 37549.74),(24 37414.52),(25 38449.387),(26 39958.46),(27 40987.39),(28 41108.87),(29 40019.246),(30 38988.152),(31 38540.2),(32 38673.69),(33 39195.74),(34 39704.51),(35 40112.508),(36 40201.734),(37 40274.996),(38 40089.266),(39 40389.926),(40 40519.613),(41 40145.645),(42 40429.152),(43 40684.547),(44 40859.68),(45 40383.914),(46 39701.18),(47 39049.008),(48 38528.605),(49 38296.035),(50 38629.566),(51 39103.79),(52 39141.734),(53 38514.508),(54 38408.234),(55 38954.164),(56 40450.348),(57 41303.766),(58 41504.773),(59 41249.81),(60 40875.414),(61 40462.133),(62 39661.54),(63 38519.734),(64 37909.016),(65 38278.31),(66 38681.402),(67 38752.477),(68 38636.813),(69 38600.684),(70 38671.156),(71 38674.73),(72 38884.86),(73 39132.156),(74 39243.73),(75 39033.168),(76 38654.375),(77 37742.246),(78 37518.703),(79 37894.563),
(1 7404.542),(2 20825.639),(3 30696.604),(4 34895.547),(5 35311.727),(6 34310.656),(7 33236.547),(8 33301.54),(9 34281.586),(10 35328.21),(11 36433.895),(12 36684.242),(13 36657.13),(14 35988.453),(15 35656.316),(16 35558.69),(17 35032.613),(18 35036.355),(19 34927.207),(20 35016.316),(21 35061.242),(22 35233.613),(23 35954.285),(24 35932.402),(25 35761.58),(26 35816.844),(27 36149.996),(28 36746.023),(29 36564.08),(30 35931.883),(31 35323.855),(32 35467.16),(33 36249.47),(34 37054.9),(35 37669.95),(36 37669.77),(37 37629.8),(38 37779.535),(39 38859.184),(40 39672.766),(41 39892.047),(42 39269.855),(43 38261.105),(44 37352.81),(45 36572.97),(46 35837.656),(47 35946.945),(48 36303.99),(49 37124.293),(50 37791.9),(51 38091.34),(52 38066),(53 38093.848),(54 38144.48),(55 38617.496),(56 39393.086),(57 39661.61),(58 39316.332),(59 38468.117),(60 37521.945),(61 36925.113),(62 36307.133),(63 36365.176),(64 36409.914),(65 36704.797),(66 36728.97),(67 36628.066),(68 36549.547),(69 36542.54),(70 36754.26),(71 37187.08),(72 37844.363),(73 38143.348),(74 37728.77),(75 36993.066),(76 36349.73),(77 36280.555),(78 36357.938),(79 36227.125),
(1 7178.1836),(2 19390.703),(3 28289.844),(4 31577.719),(5 31132.275),(6 29574.082),(7 28944.262),(8 29080.908),(9 29786.07),(10 30909.613),(11 31971.203),(12 32822.355),(13 32945.03),(14 32159.203),(15 31888.322),(16 31900.523),(17 31952.62),(18 31644.086),(19 31791.713),(20 32158.074),(21 32823.73),(22 33357.473),(23 33343.125),(24 32813.55),(25 32275.012),(26 32201.236),(27 32561.025),(28 32916.703),(29 33471.797),(30 33491.086),(31 33220.492),(32 33000.242),(33 33060.24),(34 33655.004),(35 34267.715),(36 34196.875),(37 34015.117),(38 34519.527),(39 35629.926),(40 36447.28),(41 36702.836),(42 35782.402),(43 34705.547),(44 34367.902),(45 34759.43),(46 35464.414),(47 35707.07),(48 35180.082),(49 35087.43),(50 35574.473),(51 36037.184),(52 36293.207),(53 36397.24),(54 36730.87),(55 37020.414),(56 36939.063),(57 36632.934),(58 35886.098),(59 35380.688),(60 34806.434),(61 34514.305),(62 34246.414),(63 34319.613),(64 34603.684),(65 34714.4),(66 34685.73),(67 34411.645),(68 34110.87),(69 34333.047),(70 34771.664),(71 35019.93),(72 35030.12),(73 34828.29),(74 34451.438),(75 34462.418),(76 34942.203),(77 35556.305),(78 35682.78),(79 35394.08),
(1 7067.8125),(2 19386.166),(3 27970.52),(4 31361.74),(5 31432.684),(6 30241.783),(7 29538.902),(8 29518.324),(9 30296.959),(10 31199.09),(11 31838.8),(12 32027.904),(13 31866.977),(14 31385.62),(15 30766.178),(16 30808.014),(17 31520.6),(18 32343.68),(19 33269.24),(20 33946.082),(21 33834.496),(22 33604.41),(23 33413.418),(24 33073.715),(25 33099.645),(26 33037.625),(27 32965.44),(28 32824.92),(29 32296.033),(30 31658.055),(31 31513.662),(32 32511.08),(33 33736.965),(34 34892.555),(35 35137.598),(36 35178.19),(37 34820.81),(38 34398.375),(39 34206.25),(40 34562.234),(41 34796.508),(42 34728.195),(43 34440.793),(44 34149.46),(45 34290.934),(46 34017.01),(47 33264.453),(48 32980.8),(49 33245.855),(50 33744.023),(51 34357.56),(52 35337.21),(53 35038.605),(54 34579.625),(55 34315.23),(56 33984.957),(57 33371.945),(58 33202.56),(59 33283.637),(60 32940.65),(61 32674.58),(62 32494.482),(63 32259.607),(64 32197.07),(65 32583.584),(66 33451.81),(67 34400.902),(68 34566.527),(69 33996.637),(70 33060.047),(71 32490.479),(72 32473.928),(73 32668.404),(74 32422.06),(75 32009.67),(76 31864.412),(77 31627.027),(78 31120.982),(79 30989.332),
(1 6729.6655),(2 17843.832),(3 25020.887),(4 27376.016),(5 26942.734),(6 25997.941),(7 26186.078),(8 27226.988),(9 28266.256),(10 29156.9),(11 29998.596),(12 30615.564),(13 31143.313),(14 31358.498),(15 31998.117),(16 31855.797),(17 31178.822),(18 31304.338),(19 31621.912),(20 32564.117),(21 32988.832),(22 32437.537),(23 31630.516),(24 31317.393),(25 31420.145),(26 31434.246),(27 31344.273),(28 31585.35),(29 31729.328),(30 31936.096),(31 32196.338),(32 32956.67),(33 33199.758),(34 32804.793),(35 32840.473),(36 32711.43),(37 33304.953),(38 34380.03),(39 35142.484),(40 35300.547),(41 34878.492),(42 33685.73),(43 32506.64),(44 32391.7),(45 33027.33),(46 33281.21),(47 33005.13),(48 32430.596),(49 32054.578),(50 31991.123),(51 32100.52),(52 32298.291),(53 32244.402),(54 32313.77),(55 32279.932),(56 31944.6),(57 31789.752),(58 31523.041),(59 31458.021),(60 31073.668),(61 30957.367),(62 31385.996),(63 31701.945),(64 31731.24),(65 31843.207),(66 32153.541),(67 32585.01),(68 32840.723),(69 33144.746),(70 32927.9),(71 32699.408),(72 32179.418),(73 31569.807),(74 30860.895),(75 30425.297),(76 30516.207),(77 30548.348),(78 30352.662),(79 30177.764),
(1 6573.457),(2 17475.22),(3 24861.605),(4 26843.697),(5 25771.523),(6 24349.074),(7 24217.502),(8 25064.12),(9 26243.082),(10 27405.865),(11 28192.373),(12 28400.271),(13 28364.547),(14 28423.834),(15 29090.646),(16 29484.6),(17 29079.467),(18 28483.06),(19 28710.984),(20 29534.33),(21 30214.764),(22 30477.348),(23 30836.158),(24 31189.22),(25 31667.078),(26 31592.637),(27 30753.398),(28 30191.594),(29 30010.209),(30 30718.082),(31 31551.043),(32 32504.379),(33 32417.613),(34 31732.791),(35 31437.627),(36 31450.092),(37 31932.85),(38 32038.252),(39 32128.834),(40 32346.367),(41 32325.307),(42 31988.543),(43 31681.74),(44 31495.318),(45 31187.969),(46 31166.121),(47 31333.26),(48 31506.771),(49 31467.016),(50 31363.805),(51 31297.006),(52 31440.668),(53 31172.69),(54 31211.455),(55 31462.516),(56 31095.328),(57 30680.81),(58 29965.473),(59 29397.084),(60 29487.047),(61 30252.309),(62 30385.229),(63 30192.709),(64 29906.023),(65 29987.873),(66 30282.598),(67 30816.328),(68 31213.445),(69 31592.182),(70 31202.576),(71 30295.924),(72 29668.713),(73 29316.883),(74 28994.297),(75 28820.283),(76 28933.828),(77 29385.238),(78 30081.488),(79 30667.54),
(1 6623.9263),(2 17554.754),(3 24578.623),(4 26583.7),(5 25660.545),(6 24426.29),(7 24286.549),(8 24862.213),(9 26084.934),(10 27633.47),(11 28594.65),(12 28500.809),(13 28296.17),(14 28518.75),(15 28858.68),(16 28153.404),(17 27815.363),(18 28484.094),(19 29713.207),(20 30622.97),(21 30912.844),(22 30478.65),(23 29864.584),(24 29764.396),(25 30147.918),(26 30194.816),(27 30259.324),(28 30015.396),(29 29733.377),(30 30474.092),(31 31125.371),(32 31616.309),(33 31897.354),(34 31814.846),(35 31600.988),(36 31129.979),(37 30784.088),(38 30755.434),(39 31138.834),(40 30922.816),(41 30557.027),(42 29813.963),(43 29716.084),(44 29803.018),(45 29752.129),(46 30021.432),(47 30832.115),(48 31431.309),(49 31593.771),(50 31368.443),(51 30925.518),(52 30400.283),(53 30161.16),(54 30451.063),(55 30130.7),(56 29516.713),(57 29303.584),(58 29128.96),(59 28696.021),(60 28320.563),(61 28950.99),(62 29896.613),(63 30551.066),(64 31114.684),(65 31059.857),(66 31019.8),(67 30980.182),(68 31005.7),(69 31170.055),(70 30736.871),(71 30138.592),(72 29837.816),(73 30095.42),(74 30575.992),(75 30815.727),(76 30890.951),(77 31077.758),(78 31192.787),(79 31176.191),
(1 6209.368),(2 16475.146),(3 23380.652),(4 25308.236),(5 24761.14),(6 23959.596),(7 23431.883),(8 23402.402),(9 23862.59),(10 24804.893),(11 25925.2),(12 26765.086),(13 27351.96),(14 27256.047),(15 26842.443),(16 26101.318),(17 25697.973),(18 25871.082),(19 26875.09),(20 28243.258),(21 29440.063),(22 29884.21),(23 29487.422),(24 28866.998),(25 28855.613),(26 28615.459),(27 28036.037),(28 27920.432),(29 27799.162),(30 27995.95),(31 28119.086),(32 28225.508),(33 28591.438),(34 28651.303),(35 28723.143),(36 28737.86),(37 28462.438),(38 28307.795),(39 28907.059),(40 28905.133),(41 28486.186),(42 28150.484),(43 27890.432),(44 27408.127),(45 27220.736),(46 27164.16),(47 28058.26),(48 28684.814),(49 29166.934),(50 29269.059),(51 29317.086),(52 29215.758),(53 29362.072),(54 29585.97),(55 29119.143),(56 28470.496),(57 27569.783),(58 27131.9),(59 27237.725),(60 27018.598),(61 26670.05),(62 26562.803),(63 26561.346),(64 26616.807),(65 27369.957),(66 27765.791),(67 27662.951),(68 27341.373),(69 27377.04),(70 27187.33),(71 26794.934),(72 26300.363),(73 26240.117),(74 26453.365),(75 26766.074),(76 27005.379),(77 27074.023),(78 27121.35),(79 26978.627),
(1 6576.932),(2 17570.771),(3 24170.158),(4 25810.861),(5 25176.977),(6 24281.896),(7 24102.441),(8 24436.209),(9 25461.229),(10 26413.676),(11 26940.4),(12 27370.504),(13 27295.06),(14 27344.352),(15 27202.54),(16 26688.588),(17 25920.9),(18 25656.707),(19 26257.229),(20 27605.291),(21 28444.842),(22 28298.768),(23 27874.252),(24 27811.447),(25 28048.012),(26 27996.904),(27 27956.209),(28 28018.443),(29 28512.258),(30 29051.34),(31 29115.709),(32 28883.156),(33 28255.117),(34 28317.283),(35 28866.537),(36 29063.83),(37 28964.752),(38 28782.473),(39 28781.348),(40 28671.03),(41 28364.096),(42 28170.834),(43 28361.518),(44 28776.145),(45 29262.611),(46 29681.04),(47 29924.98),(48 29352.105),(49 28709.48),(50 28511.162),(51 28912.55),(52 29022.303),(53 28805.15),(54 28413.738),(55 28036.637),(56 27777.299),(57 27664.139),(58 27962.42),(59 28235.695),(60 28435.514),(61 28051.813),(62 27765.531),(63 27755.758),(64 28007.969),(65 28366.72),(66 28060.725),(67 27737.672),(68 27500.148),(69 27830.967),(70 27811.56),(71 27266.826),(72 26765.164),(73 26254.125),(74 26180.572),(75 26649.293),(76 27158.328),(77 27158.596),(78 27008.537),(79 26969.563),
(1 6334.9844),(2 16705.055),(3 23179.666),(4 24736.445),(5 23646.83),(6 22950.898),(7 23123.158),(8 23587.05),(9 24098.01),(10 24773.814),(11 25817.564),(12 26422.934),(13 26265.96),(14 25802.451),(15 25299.16),(16 24749.107),(17 24786.693),(18 25215.705),(19 25828.521),(20 26205.508),(21 26496.479),(22 26350.94),(23 25964.936),(24 26116.127),(25 26499.729),(26 26335.365),(27 25941.498),(28 25769.975),(29 26064.844),(30 26648.346),(31 26951.502),(32 26766.156),(33 26582.096),(34 26681.191),(35 26965.006),(36 27374.545),(37 27736.916),(38 27475.545),(39 27216.184),(40 26847.58),(41 26843.246),(42 27331.992),(43 27775.375),(44 27591.51),(45 27475.97),(46 27289.473),(47 27535.273),(48 27760.88),(49 28077.4),(50 28177.56),(51 27903.035),(52 27569.396),(53 27392.846),(54 27297.611),(55 26649.791),(56 26326.531),(57 26587.893),(58 26589.875),(59 26419.023),(60 26501.342),(61 27280.885),(62 27769.19),(63 27962.47),(64 27330.85),(65 26570.7),(66 25931.275),(67 25767.79),(68 25856.807),(69 25907.426),(70 25757.03),(71 25719.484),(72 26144.293),(73 26537.355),(74 26816.635),(75 26987.328),(76 27024.387),(77 27036.9),(78 27086.518),(79 27180.492),
(1 6137.5522),(2 16138.903),(3 22072.686),(4 23192.049),(5 22090.25),(6 21625.797),(7 22121.242),(8 22694.71),(9 23166.652),(10 23790.074),(11 24776.707),(12 25206.107),(13 24846.1),(14 24335.16),(15 23779.268),(16 23735.545),(17 23673.092),(18 23753.842),(19 24601.084),(20 25588.143),(21 26102.674),(22 26072.13),(23 25902.414),(24 25801.848),(25 25890.05),(26 25892.543),(27 25711.81),(28 25617.787),(29 25832.703),(30 26714.916),(31 26654.695),(32 26066.107),(33 25875.898),(34 25794.016),(35 26309.014),(36 26731.9),(37 26345.463),(38 25743.533),(39 25933.22),(40 26468.08),(41 26845.795),(42 27083.602),(43 26807.303),(44 26371.111),(45 26209.576),(46 26270.945),(47 26445.803),(48 26779.473),(49 27500.072),(50 27963.38),(51 27706.93),(52 27137.129),(53 26755.707),(54 26281.938),(55 26026.6),(56 25953.752),(57 26227.69),(58 26004.404),(59 25600.723),(60 25254.836),(61 25119.494),(62 25047.844),(63 24987.762),(64 24820.318),(65 24823.518),(66 24805.484),(67 24549.34),(68 24070.027),(69 23369.982),(70 22946.094),(71 22921.686),(72 23137.107),(73 23519.748),(74 23952.045),(75 24313.504),(76 24629.053),(77 24991.62),(78 25071.166),(79 24839.29),
