(1 394369.84),(2 393657.88),(3 1195074.5),(4 2203633.3),(5 2624976.5),(6 2629261.8),(7 2822755.3),(8 3390209.8),(9 3422408.3),(10 3425713.3),(11 3627943.8),(12 3838294.5),(13 3856530.8),(14 3853971.8),(15 4166242.3),(16 4497496),(17 4432695),(18 4432236),(19 4599545.5),(20 5040893.5),(21 5383641),(22 5383856.5),(23 5979476),(24 5872692),(25 5434906.5),(26 5434021),(27 5411190.5),(28 5737086.5),(29 5736118),(30 5733193),(31 5480527.5),(32 5989750),(33 6042898.5),(34 6046680.5),(35 5978188.5),(36 5313377),(37 5593410),(38 5595283),(39 5732146.5),(40 5889401),(41 5705105.5),(42 5699783.5),(43 5639209.5),(44 5639203.5),(45 5642387),
(1 428002.25),(2 427420.8),(3 967844),(4 2083521.8),(5 2563506.3),(6 2564025.5),(7 3019301.3),(8 3023015.8),(9 3196898),(10 3196620.5),(11 3385875.3),(12 4132569.3),(13 4226108),(14 4226093),(15 4405522),(16 4183568.5),(17 4509337),(18 4509646.5),(19 4115095),(20 4058762.8),(21 4340229.5),(22 4337774),(23 4701606),(24 5204032.5),(25 5247376),(26 5250558),(27 4796930),(28 4721181),(29 4846874),(30 4851829),(31 5146059.5),(32 5795166),(33 6054644.5),(34 6050832),(35 6368057),(36 6889753),(37 6723524),(38 6721236),(39 6538260.5),(40 6561870),(41 6260142),(42 6258025.5),(43 6379801.5),(44 6377346),(45 6377946.5),
(1 346395.7),(2 346795.72),(3 1059607.9),(4 2003619.1),(5 1979049.5),(6 1977193.5),(7 2458546),(8 2661638.8),(9 2908622),(10 2910525),(11 3135583.3),(12 3371165),(13 3765205.5),(14 3764901.3),(15 3996200.3),(16 3962223),(17 4517129),(18 4518558),(19 4607859.5),(20 3954109.8),(21 4200731),(22 4198085),(23 4317652),(24 4157098.8),(25 4019833.3),(26 4019846),(27 4019727.3),(28 3464627),(29 4081201),(30 4077207.8),(31 4253273.5),(32 4841774),(33 4591448),(34 4594336.5),(35 4329167.5),(36 4526847.5),(37 4966580),(38 4968880.5),(39 4528258),(40 4227116),(41 4601343.5),(42 4599683),(43 4602556.5),(44 4605502),(45 4603927.5),
(1 310839.88),(2 310499.03),(3 929221.94),(4 1776024.4),(5 1733048.5),(6 1737483),(7 2058598.8),(8 2094048.5),(9 2207657.5),(10 2207620.5),(11 2931534),(12 2855561.3),(13 3029845.3),(14 3030252),(15 3049589.3),(16 3651131),(17 3785500.8),(18 3789782),(19 3511449.5),(20 3893044.3),(21 3773188),(22 3773051.8),(23 3552321.5),(24 3450988),(25 3389396.5),(26 3388061.8),(27 3592507),(28 3445979.5),(29 3906383),(30 3903911.5),(31 4138145.5),(32 4596656),(33 4483659),(34 4484406),(35 4457988.5),(36 4973711.5),(37 4608470.5),(38 4606703),(39 4753307.5),(40 4489060),(41 4771682),(42 4770829.5),(43 5153013.5),(44 5161536),(45 5160724.5),
(1 293234.25),(2 292961.56),(3 847960.4),(4 1581287.1),(5 1858542.9),(6 1858552.8),(7 1953892.6),(8 2318404.3),(9 2270752.5),(10 2270064.3),(11 2515601.5),(12 2468487.8),(13 2634032),(14 2635651.3),(15 2598515.5),(16 3017780.5),(17 3161248.8),(18 3159473),(19 3347653),(20 3457078.8),(21 3469191),(22 3468233.5),(23 3142060.8),(24 3220714.8),(25 2978340),(26 2978323),(27 3345572),(28 3223802),(29 3298684.8),(30 3302070),(31 3466310),(32 3721680.8),(33 3599325.3),(34 3594621.8),(35 3553923.5),(36 3615929.5),(37 3473567),(38 3478554.3),(39 3654449),(40 3902444.5),(41 3862805.3),(42 3859110.5),(43 3967421.3),(44 3963054.5),(45 3960856.3),
(1 305408.34),(2 305002.13),(3 878097.06),(4 1238426.6),(5 1526332),(6 1529028.6),(7 1636885.5),(8 2101835),(9 2155062.8),(10 2157317.5),(11 2346776.8),(12 2722415.3),(13 2682471.5),(14 2683629.5),(15 2659467),(16 2729799),(17 2700779),(18 2704454),(19 3207492.3),(20 3184728.3),(21 3492728.8),(22 3491764.5),(23 3501904),(24 3266977.5),(25 3001404.8),(26 2998666),(27 3346393.3),(28 3342986),(29 3135101),(30 3130648),(31 3266320),(32 3635900.5),(33 3204647.3),(34 3207696.5),(35 2805471.5),(36 3025316.5),(37 3348816.5),(38 3345715),(39 3428477),(40 3316312.8),(41 3430392.5),(42 3427808.5),(43 2973939.8),(44 2974858.3),(45 2977025.5),
(1 248309.6),(2 247917.28),(3 792045.94),(4 1446448.8),(5 1694367.3),(6 1697289.3),(7 1862315.9),(8 2474380),(9 2475538.8),(10 2478350.3),(11 2544057),(12 2767474.3),(13 3024121.5),(14 3021078),(15 3268341),(16 2742493.8),(17 3032921.3),(18 3034156.8),(19 3693999),(20 3283070.3),(21 2979780.5),(22 2979983.3),(23 3000085.3),(24 3126119),(25 3431367.8),(26 3431340.5),(27 3528724),(28 3252302.5),(29 3372196.5),(30 3371047),(31 3416785),(32 3525572.3),(33 3371924.3),(34 3372362.8),(35 3324953),(36 3371339.5),(37 3286215.5),(38 3287815),(39 3465584.3),(40 3131791),(41 3091984.3),(42 3092497),(43 3288238.5),(44 3279369.3),(45 3280320.3),
(1 227023.8),(2 226583.17),(3 602417.44),(4 1031752.4),(5 1308867.5),(6 1308726.8),(7 1599909.6),(8 1858817),(9 1937281.9),(10 1937251.6),(11 1899465),(12 2072835.5),(13 2304108.5),(14 2302548.8),(15 2729977),(16 2806438.5),(17 2808222.8),(18 2805282),(19 2809472.8),(20 2497201),(21 2656701.5),(22 2657041.3),(23 2627273.5),(24 3307156.8),(25 3252379.5),(26 3252287.8),(27 3301508.8),(28 3069224.3),(29 2818077.5),(30 2815851.5),(31 2893821.5),(32 3278993.5),(33 3396327.8),(34 3394770.5),(35 3357313),(36 2984636.3),(37 3238751.3),(38 3236189.3),(39 3353094.3),(40 3604310.5),(41 3746152.8),(42 3743064.5),(43 3593360),(44 3596066.8),(45 3594477.3),
(1 253881.95),(2 253582.77),(3 583458.2),(4 881357.44),(5 1148024.1),(6 1147093.6),(7 1397643.9),(8 1423183),(9 1489476.6),(10 1488326.4),(11 1623813.4),(12 2006606.6),(13 2019806),(14 2019787.6),(15 2319847.3),(16 2049889),(17 2029183.6),(18 2029591.4),(19 2309182.3),(20 2146957),(21 2265089.3),(22 2262043.8),(23 2238875.3),(24 2545820),(25 2610366),(26 2613034.5),(27 2652182.8),(28 2771156.5),(29 2630041.3),(30 2631091.8),(31 2700548.3),(32 2607612.3),(33 2735472.8),(34 2734255.3),(35 2874948.8),(36 3416901.8),(37 3136290.3),(38 3134905.3),(39 2918243.3),(40 3052379.3),(41 3195036.3),(42 3195824.8),(43 3174172.8),(44 3177726.8),(45 3177096.8),
(1 199467.98),(2 197850.22),(3 563778.9),(4 1054444.3),(5 1244004.6),(6 1247066),(7 1298141.4),(8 1511208.5),(9 1639317),(10 1639391),(11 1529968.8),(12 1971037.3),(13 1888035.1),(14 1889887),(15 2010755.9),(16 2092858.6),(17 1981886.3),(18 1983025.5),(19 2017708.6),(20 2247397.8),(21 2382130),(22 2381937.3),(23 2450383.5),(24 2622435.5),(25 2460670.5),(26 2460017.8),(27 2474728.5),(28 2526847.5),(29 2352201.8),(30 2349753.8),(31 2444130.8),(32 2793528.5),(33 2773028.3),(34 2774383.5),(35 2663982.3),(36 2537549.5),(37 2224264.5),(38 2227552),(39 2318041.8),(40 2462109),(41 2803725),(42 2802301.3),(43 2790891.8),(44 2789439.5),(45 2788131),
(1 194972.23),(2 195838.3),(3 511674.03),(4 735461.1),(5 994343.4),(6 993422.25),(7 1121538.1),(8 1384514.5),(9 1307262.3),(10 1307082.6),(11 1394358.9),(12 1380429.6),(13 1426648.5),(14 1424591.5),(15 1522468.3),(16 1348858.6),(17 1602332.8),(18 1603585.6),(19 1675552.8),(20 1905198.8),(21 1946394.3),(22 1945659.3),(23 1830608.4),(24 2129281.5),(25 2121342.8),(26 2120065),(27 2167699.5),(28 2182735.3),(29 2109348.5),(30 2107556.8),(31 2136471),(32 2146449.3),(33 2346315.5),(34 2345072.3),(35 2289084.3),(36 2403567.8),(37 2173574),(38 2175289),(39 2218569.5),(40 2628037.5),(41 2600375.3),(42 2599790.3),(43 2702651.3),(44 2701597.5),(45 2703379.3),
(1 166222.34),(2 166234.03),(3 405907.78),(4 762925.44),(5 841364.94),(6 842765.2),(7 938042.5),(8 1159216.6),(9 1150611.9),(10 1151545.4),(11 1387826.5),(12 1699503.9),(13 1741308.5),(14 1741751.3),(15 1833600.6),(16 2060495),(17 2155850),(18 2158079.5),(19 1892595.3),(20 1765703.1),(21 1751233.9),(22 1751690.5),(23 1841581),(24 1799748.6),(25 2033988.6),(26 2032946.6),(27 2034551.8),(28 1900748.6),(29 1714825.3),(30 1715255.9),(31 1834721.5),(32 2082934.3),(33 2237294.8),(34 2237747.5),(35 2320143.8),(36 2374356.3),(37 2071684.5),(38 2066562.6),(39 2282006.8),(40 2299318.5),(41 2429116.8),(42 2429752.3),(43 2483861.3),(44 2484906),(45 2482572),
