1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 445.20517),(2 573.44995),(3 641.38837),(4 669.28107),(5 698.2809),(6 691.81903),(7 699.61884),(8 721.35944),(9 718.6393),(10 714.43933),(11 727.55853),(12 725.7171),(13 740.09766),(14 732.82385),(15 736.1259),(16 751.9354),(17 744.36926),(18 747.8511),(19 758.379),(20 743.2797),(21 752.3119),(22 769.14453),(23 758.75055),(24 760.8413),(25 771.1562),(26 756.50543),(27 781.7652),(28 789.443),(29 771.76337),(30 777.3134),(31 788.08765),(32 783.9069),(33 803.8049),(34 793.01636),(35 795.90295),(36 804.392),(37 797.4738),(38 800.5596),(39 819.2876),(40 788.5767),(41 788.0099),(42 795.70215),(43 783.15466),(44 778.28845),(45 798.04254),(46 793.3183),(47 805.674),(48 819.2745),(49 791.9411),(50 814.32245),(51 814.4123),(52 807.8933),(53 806.99457),(54 801.2475),(55 806.66187),(56 803.6714),(57 792.57587),(58 805.0791),(59 797.5966),(60 792.2702),(61 814.8721),(62 812.3822),(63 816.261),(64 832.1735),(65 815.3795),(66 824.8336),(67 819.9536),(68 819.56274),(69 810.34705),(70 804.0763),(71 799.0342),(72 812.1949),(73 800.84845),(74 801.6475),(75 826.701),(76 796.57544),(77 798.2793),(78 801.1346),(79 780.84906),
(1 452.72714),(2 586.45),(3 640.442),(4 670.922),(5 704.1134),(6 711.15796),(7 713.14056),(8 736.1582),(9 731.67004),(10 741.1283),(11 742.7877),(12 749.7182),(13 761.867),(14 756.95526),(15 756.25806),(16 767.125),(17 759.9211),(18 758.5524),(19 760.8025),(20 754.2228),(21 764.44714),(22 777.0622),(23 771.10236),(24 776.79047),(25 802.1926),(26 789.5366),(27 807.3237),(28 807.4845),(29 792.8124),(30 794.1684),(31 800.0652),(32 782.00226),(33 787.5893),(34 783.7154),(35 788.7387),(36 792.1429),(37 782.0051),(38 782.51013),(39 807.055),(40 782.0382),(41 774.11444),(42 777.62476),(43 769.9178),(44 769.27466),(45 785.4555),(46 783.143),(47 796.20447),(48 806.52313),(49 793.0012),(50 811.2829),(51 799.70087),(52 798.3502),(53 801.51807),(54 792.4203),(55 805.9728),(56 798.3873),(57 796.93195),(58 811.69403),(59 813.93805),(60 796.41693),(61 821.1509),(62 817.5885),(63 818.09314),(64 825.0761),(65 813.14874),(66 821.48126),(67 796.0178),(68 795.82324),(69 802.72345),(70 793.68036),(71 784.6572),(72 805.65515),(73 800.3819),(74 799.71497),(75 816.8002),(76 796.80273),(77 801.4093),(78 798.59076),(79 782.58923),
(1 448.64395),(2 578.245),(3 631.1357),(4 654.2054),(5 686.92084),(6 691.8967),(7 702.4252),(8 722.46857),(9 715.2022),(10 718.2101),(11 731.1155),(12 728.2058),(13 739.8696),(14 731.7009),(15 733.25134),(16 744.19696),(17 738.5682),(18 737.83954),(19 743.5574),(20 738.6936),(21 753.76526),(22 758.4587),(23 753.6384),(24 754.9001),(25 766.79205),(26 753.09784),(27 763.5661),(28 768.0571),(29 758.3059),(30 759.0453),(31 770.7082),(32 762.9265),(33 770.83624),(34 764.506),(35 764.78235),(36 782.7524),(37 764.9113),(38 764.8164),(39 777.7903),(40 749.3317),(41 739.9144),(42 751.4932),(43 750.6669),(44 744.8302),(45 750.2388),(46 751.1045),(47 756.4775),(48 771.97955),(49 753.8699),(50 777.9049),(51 777.2579),(52 764.37756),(53 777.1388),(54 779.1876),(55 779.1671),(56 772.38074),(57 771.6678),(58 779.0319),(59 777.07776),(60 769.434),(61 782.43555),(62 777.7737),(63 782.58856),(64 787.97675),(65 778.1292),(66 800.1368),(67 791.06555),(68 786.5356),(69 796.5653),(70 783.1858),(71 780.2475),(72 793.99896),(73 796.0939),(74 796.56537),(75 809.36646),(76 792.58276),(77 790.00757),(78 778.86597),(79 762.64606),
(1 438.35858),(2 577.6038),(3 625.9707),(4 651.74036),(5 680.09045),(6 681.5648),(7 692.5099),(8 706.6944),(9 705.6383),(10 721.1097),(11 730.0844),(12 728.95135),(13 744.918),(14 730.75824),(15 723.5433),(16 732.9338),(17 727.1665),(18 725.17804),(19 737.9349),(20 734.2346),(21 747.6646),(22 740.2124),(23 733.9512),(24 743.47156),(25 758.17633),(26 743.2035),(27 763.01666),(28 773.6426),(29 757.6089),(30 751.57556),(31 758.3058),(32 758.06146),(33 764.0075),(34 755.7299),(35 755.62946),(36 767.59937),(37 753.45746),(38 748.3878),(39 764.4591),(40 748.8196),(41 750.48047),(42 757.65845),(43 746.2464),(44 741.5943),(45 760.1602),(46 749.5279),(47 753.0182),(48 775.31934),(49 757.2407),(50 769.2319),(51 770.99133),(52 763.61456),(53 774.2288),(54 770.06036),(55 778.8437),(56 770.5423),(57 759.74646),(58 779.16504),(59 782.8616),(60 773.5513),(61 787.5902),(62 772.0081),(63 776.84863),(64 781.37897),(65 766.7605),(66 776.464),(67 768.0841),(68 775.0332),(69 778.9501),(70 765.62836),(71 766.33154),(72 783.34094),(73 779.7804),(74 776.5887),(75 800.4362),(76 777.31165),(77 780.132),(78 779.5179),(79 777.4729),
(1 438.50668),(2 569.0399),(3 617.7847),(4 655.41986),(5 681.41895),(6 683.1617),(7 693.8235),(8 714.4997),(9 705.112),(10 701.9517),(11 722.02515),(12 716.18805),(13 722.3554),(14 719.37415),(15 718.9088),(16 736.07886),(17 728.2072),(18 731.4746),(19 733.7947),(20 732.42206),(21 744.6382),(22 743.59985),(23 744.08026),(24 747.1868),(25 757.8091),(26 755.5841),(27 778.31134),(28 784.30457),(29 763.4611),(30 760.7303),(31 766.98346),(32 758.4343),(33 772.1076),(34 761.6597),(35 756.0561),(36 769.9958),(37 750.2518),(38 751.2336),(39 766.3448),(40 744.37665),(41 746.1318),(42 746.8243),(43 742.767),(44 742.3921),(45 754.61816),(46 751.98865),(47 751.5272),(48 777.67816),(49 759.9094),(50 770.60034),(51 768.2887),(52 758.9685),(53 779.9765),(54 776.08685),(55 765.22125),(56 773.2776),(57 774.9176),(58 788.7345),(59 780.5708),(60 782.9512),(61 800.5784),(62 784.62384),(63 784.82874),(64 801.3203),(65 792.1191),(66 804.2581),(67 792.0202),(68 803.6877),(69 807.03906),(70 797.888),(71 797.7094),(72 816.93),(73 808.6185),(74 797.77814),(75 824.31),(76 792.4038),(77 791.84),(78 784.0945),(79 770.2482),
(1 437.6699),(2 566.55133),(3 627.3839),(4 664.26825),(5 675.06226),(6 682.8642),(7 691.9617),(8 718.19385),(9 711.20874),(10 707.2089),(11 728.69495),(12 727.1158),(13 742.51227),(14 733.41565),(15 722.5863),(16 742.08655),(17 731.00146),(18 728.5829),(19 730.9769),(20 722.80725),(21 740.6527),(22 746.8898),(23 724.9515),(24 729.94965),(25 745.7492),(26 739.4835),(27 752.2483),(28 763.17773),(29 753.46857),(30 752.9474),(31 768.05475),(32 758.3616),(33 767.3866),(34 759.46857),(35 759.2668),(36 781.60504),(37 764.5506),(38 761.64923),(39 776.95715),(40 754.60284),(41 747.597),(42 749.3215),(43 754.4002),(44 751.7368),(45 765.8375),(46 759.02954),(47 759.0568),(48 771.9205),(49 767.5139),(50 772.4792),(51 762.43634),(52 765.31976),(53 774.96277),(54 773.4177),(55 770.31824),(56 770.6517),(57 767.9661),(58 787.42456),(59 774.3902),(60 773.2359),(61 785.642),(62 768.6896),(63 771.743),(64 791.78174),(65 775.83704),(66 787.6595),(67 782.5738),(68 786.13947),(69 799.5251),(70 782.5955),(71 788.7451),(72 797.6431),(73 791.5355),(74 779.2063),(75 788.2966),(76 776.2378),(77 782.27716),(78 773.61487),(79 758.4485),
(1 431.92767),(2 555.3505),(3 608.9614),(4 650.1219),(5 666.04205),(6 671.149),(7 678.2253),(8 696.74493),(9 693.8041),(10 699.7083),(11 726.1734),(12 721.0812),(13 735.33527),(14 726.7125),(15 720.8306),(16 725.2841),(17 720.534),(18 716.179),(19 724.20667),(20 723.8104),(21 725.03937),(22 733.06287),(23 717.50134),(24 722.2279),(25 737.58325),(26 737.3952),(27 744.478),(28 757.21014),(29 745.8796),(30 749.95605),(31 755.8584),(32 746.94183),(33 752.9636),(34 745.7976),(35 750.61383),(36 774.62366),(37 755.37463),(38 749.5901),(39 765.4249),(40 739.86),(41 735.6174),(42 745.43756),(43 725.6435),(44 733.095),(45 739.00824),(46 741.0193),(47 746.5533),(48 753.5571),(49 747.2784),(50 756.81323),(51 747.7178),(52 739.1933),(53 745.8659),(54 741.2454),(55 746.76495),(56 750.3403),(57 745.1858),(58 754.027),(59 752.96674),(60 753.4222),(61 762.1397),(62 746.7196),(63 750.21515),(64 769.80994),(65 763.50793),(66 779.4975),(67 769.59625),(68 760.43896),(69 770.77167),(70 760.73364),(71 769.76965),(72 785.2902),(73 779.7117),(74 773.6239),(75 784.89935),(76 760.13947),(77 762.3614),(78 753.484),(79 738.4824),
(1 424.26074),(2 541.2396),(3 586.5733),(4 623.7724),(5 649.7376),(6 654.51556),(7 662.2471),(8 680.52423),(9 671.8727),(10 674.6995),(11 690.1762),(12 683.6152),(13 691.31635),(14 677.3843),(15 675.7875),(16 692.1496),(17 691.3107),(18 691.8951),(19 698.1196),(20 690.93665),(21 699.88605),(22 713.10864),(23 698.50073),(24 704.5688),(25 718.03046),(26 710.51917),(27 728.4009),(28 733.522),(29 727.9402),(30 722.8122),(31 730.0361),(32 717.66473),(33 725.4264),(34 722.56433),(35 728.00916),(36 743.26117),(37 728.2274),(38 726.2106),(39 742.47504),(40 716.27795),(41 720.3623),(42 729.1952),(43 716.64514),(44 719.8452),(45 726.7331),(46 716.58044),(47 726.4654),(48 727.25665),(49 718.3682),(50 725.2357),(51 711.9068),(52 712.1353),(53 719.84784),(54 712.9073),(55 719.0861),(56 711.32086),(57 717.8353),(58 725.3658),(59 722.4735),(60 717.4153),(61 733.6633),(62 724.84467),(63 720.38635),(64 734.31866),(65 725.4422),(66 739.5803),(67 732.4698),(68 729.4943),(69 730.0684),(70 726.974),(71 726.18414),(72 740.26245),(73 737.179),(74 735.8083),(75 746.46265),(76 730.0453),(77 735.9523),(78 724.1475),(79 719.1876),
(1 435.12756),(2 550.83374),(3 601.87836),(4 636.1378),(5 661.2562),(6 666.582),(7 673.76764),(8 692.3674),(9 685.08185),(10 686.44836),(11 687.56006),(12 683.6787),(13 692.2334),(14 677.78217),(15 676.16315),(16 689.29785),(17 691.05133),(18 695.5806),(19 708.3609),(20 695.06555),(21 701.43274),(22 722.17523),(23 715.2033),(24 704.0571),(25 716.98364),(26 721.48474),(27 735.9301),(28 747.30396),(29 735.14044),(30 724.9192),(31 739.54333),(32 730.25525),(33 740.1015),(34 734.03925),(35 729.54736),(36 754.7573),(37 749.3686),(38 751.9338),(39 753.37506),(40 741.37476),(41 740.7517),(42 747.68933),(43 736.7636),(44 733.9472),(45 745.1834),(46 736.3355),(47 743.34894),(48 753.7175),(49 742.0536),(50 753.5204),(51 744.1133),(52 738.93726),(53 744.016),(54 750.39557),(55 753.5238),(56 752.51166),(57 749.9091),(58 762.83575),(59 755.3627),(60 748.8543),(61 763.3574),(62 747.039),(63 739.72394),(64 757.0656),(65 743.3129),(66 752.6241),(67 746.17975),(68 748.1118),(69 755.61414),(70 749.593),(71 743.9935),(72 758.15497),(73 754.10144),(74 743.4437),(75 756.7915),(76 745.22614),(77 751.3278),(78 746.53625),(79 737.05005),
(1 426.57245),(2 536.43317),(3 587.56445),(4 626.3542),(5 646.3862),(6 652.9526),(7 657.64343),(8 674.5027),(9 669.08026),(10 672.32996),(11 680.6263),(12 672.67145),(13 677.2568),(14 668.3478),(15 669.72424),(16 688.65607),(17 679.1477),(18 681.99945),(19 696.5985),(20 693.3698),(21 700.19073),(22 712.98083),(23 703.9131),(24 704.7265),(25 724.70074),(26 720.9887),(27 731.7091),(28 743.0791),(29 719.7578),(30 720.44745),(31 738.83826),(32 715.3432),(33 727.1922),(34 717.29315),(35 717.4769),(36 730.67535),(37 724.2261),(38 720.4902),(39 739.9903),(40 721.60565),(41 719.7288),(42 727.6345),(43 720.31384),(44 708.8411),(45 731.9211),(46 711.30066),(47 722.3531),(48 727.52734),(49 719.8409),(50 725.5804),(51 722.24725),(52 720.9896),(53 723.78937),(54 727.99493),(55 731.4724),(56 738.58685),(57 731.8383),(58 753.7289),(59 758.6675),(60 741.9621),(61 762.8068),(62 754.56775),(63 740.8492),(64 757.59753),(65 741.0298),(66 750.29034),(67 740.62787),(68 744.9552),(69 757.8516),(70 747.48865),(71 748.179),(72 750.1541),(73 748.73926),(74 741.7091),(75 751.83435),(76 733.97656),(77 740.001),(78 737.31775),(79 736.0912),
(1 425.2956),(2 537.8141),(3 581.0758),(4 613.37134),(5 632.50006),(6 635.3695),(7 640.53534),(8 653.70807),(9 645.6349),(10 649.2147),(11 661.09393),(12 666.59845),(13 669.7276),(14 663.8817),(15 661.2718),(16 673.3279),(17 661.463),(18 668.3414),(19 683.867),(20 678.3315),(21 681.3163),(22 700.4071),(23 694.6674),(24 690.7202),(25 702.65173),(26 696.18353),(27 718.3566),(28 726.539),(29 700.6222),(30 700.3821),(31 721.411),(32 708.16724),(33 720.4289),(34 717.4011),(35 706.6205),(36 713.9276),(37 709.42725),(38 712.734),(39 724.59247),(40 708.3777),(41 700.9478),(42 716.9438),(43 702.68774),(44 700.932),(45 712.55994),(46 693.9767),(47 703.4936),(48 713.82263),(49 707.40216),(50 716.1691),(51 722.1542),(52 715.23303),(53 726.27924),(54 720.2663),(55 720.7388),(56 725.29016),(57 724.9779),(58 738.3228),(59 741.6448),(60 734.79974),(61 739.9887),(62 733.39044),(63 728.0344),(64 734.8736),(65 722.5908),(66 738.85614),(67 725.22516),(68 734.74304),(69 742.5885),(70 732.44),(71 724.1962),(72 732.73444),(73 719.11554),(74 716.4493),(75 734.87866),(76 714.78204),(77 720.59247),(78 716.75305),(79 708.3146),
(1 426.1501),(2 540.28326),(3 587.5775),(4 617.6691),(5 633.3974),(6 638.4324),(7 648.81824),(8 664.2462),(9 657.27057),(10 657.28345),(11 671.5756),(12 677.258),(13 681.58057),(14 674.56744),(15 679.67267),(16 685.96936),(17 679.0882),(18 672.5316),(19 674.11285),(20 674.68256),(21 675.1293),(22 697.6231),(23 690.59076),(24 690.22314),(25 698.5236),(26 689.9086),(27 708.3007),(28 717.0811),(29 695.4643),(30 703.6482),(31 715.4151),(32 691.5548),(33 709.12177),(34 705.24347),(35 700.30554),(36 708.14453),(37 705.62537),(38 709.04645),(39 717.57715),(40 703.678),(41 693.75464),(42 711.54),(43 693.17535),(44 699.1279),(45 712.7947),(46 703.9079),(47 710.67975),(48 713.7679),(49 708.4554),(50 727.1423),(51 719.9277),(52 717.7781),(53 728.6647),(54 735.4437),(55 735.8375),(56 740.21936),(57 731.02826),(58 743.12933),(59 741.26385),(60 743.7015),(61 754.9707),(62 736.16656),(63 731.5528),(64 742.2961),(65 733.667),(66 745.9109),(67 733.25256),(68 741.91614),(69 752.15454),(70 739.7004),(71 737.578),(72 749.6727),(73 739.41486),(74 733.44666),(75 744.7616),(76 730.60834),(77 735.2207),(78 735.92346),(79 728.65814),
(1 425.9923),(2 549.2157),(3 596.9553),(4 629.31415),(5 642.0473),(6 643.70337),(7 656.37805),(8 674.8699),(9 662.1867),(10 669.1127),(11 679.316),(12 681.73035),(13 687.51166),(14 681.6061),(15 691.6016),(16 702.3903),(17 686.1183),(18 682.09314),(19 685.77057),(20 683.23016),(21 680.331),(22 694.96643),(23 689.43054),(24 687.1796),(25 700.513),(26 691.94495),(27 702.80566),(28 728.29565),(29 708.30457),(30 702.53674),(31 710.4726),(32 706.0039),(33 719.8474),(34 711.37665),(35 704.7092),(36 710.31104),(37 707.3734),(38 697.2488),(39 719.73505),(40 703.22754),(41 700.399),(42 714.4925),(43 704.76996),(44 706.2621),(45 722.3659),(46 706.34924),(47 701.112),(48 711.5961),(49 698.64056),(50 720.3058),(51 724.62415),(52 713.5509),(53 727.0331),(54 724.47144),(55 734.43304),(56 727.2084),(57 718.83185),(58 724.89105),(59 723.5929),(60 715.98425),(61 734.2035),(62 729.4695),(63 718.74567),(64 720.9979),(65 718.8556),(66 722.8873),(67 710.14813),(68 715.55945),(69 728.92206),(70 722.44977),(71 720.344),(72 727.0913),(73 724.5584),(74 726.34814),(75 730.62695),(76 715.35913),(77 717.3788),(78 705.83154),(79 708.5409),
(1 421.8272),(2 536.4582),(3 580.3217),(4 613.5361),(5 631.9083),(6 634.98236),(7 638.2345),(8 650.5591),(9 644.3606),(10 650.8334),(11 660.14886),(12 659.23346),(13 666.2519),(14 659.04144),(15 666.0653),(16 682.5006),(17 677.7846),(18 669.4155),(19 687.8905),(20 678.29254),(21 672.3665),(22 674.42346),(23 672.20013),(24 668.7094),(25 678.4002),(26 674.7042),(27 696.0452),(28 721.6757),(29 704.64746),(30 698.0926),(31 706.4176),(32 698.30884),(33 707.8256),(34 699.64044),(35 698.86725),(36 710.0536),(37 700.6655),(38 689.64514),(39 702.7075),(40 689.7053),(41 692.2685),(42 712.7577),(43 692.682),(44 693.4161),(45 709.5242),(46 694.2279),(47 694.25146),(48 700.31586),(49 690.5015),(50 708.23346),(51 700.1379),(52 699.9863),(53 719.42096),(54 718.3711),(55 714.4497),(56 713.53546),(57 705.93823),(58 711.1328),(59 713.982),(60 710.31903),(61 716.34424),(62 708.52576),(63 703.9806),(64 704.122),(65 698.2249),(66 714.7079),(67 710.50995),(68 711.0257),(69 716.0091),(70 711.8463),(71 704.8209),(72 711.2673),(73 718.4768),(74 711.48413),(75 722.94604),(76 704.78326),(77 707.58606),(78 698.9487),(79 689.0554),
(1 416.34778),(2 531.02704),(3 576.1694),(4 604.7882),(5 634.88477),(6 629.7718),(7 641.60614),(8 654.2955),(9 642.1707),(10 651.89685),(11 656.45703),(12 658.20355),(13 656.9351),(14 647.3309),(15 642.38245),(16 664.41504),(17 662.0581),(18 664.47687),(19 677.01245),(20 669.8213),(21 672.9011),(22 683.02155),(23 675.6238),(24 670.4389),(25 676.7175),(26 675.19836),(27 688.3478),(28 704.744),(29 687.59247),(30 679.94574),(31 693.5581),(32 694.23584),(33 709.2962),(34 696.98975),(35 699.0551),(36 710.5377),(37 705.75775),(38 701.1554),(39 711.8996),(40 703.9519),(41 695.02136),(42 709.8763),(43 702.0281),(44 702.00684),(45 709.5711),(46 694.19745),(47 698.9527),(48 702.04706),(49 693.5964),(50 716.5737),(51 718.59094),(52 706.34326),(53 711.6407),(54 709.6391),(55 706.7152),(56 712.35925),(57 705.1869),(58 722.6371),(59 717.8197),(60 712.9598),(61 722.43695),(62 712.80035),(63 718.58044),(64 728.2904),(65 721.3507),(66 724.813),(67 727.9109),(68 716.4671),(69 722.7216),(70 712.54),(71 713.9871),(72 718.5801),(73 716.46606),(74 707.88245),(75 724.09515),(76 708.6895),(77 712.7704),(78 698.5962),(79 693.639),
(1 414.04105),(2 529.04395),(3 571.218),(4 605.9199),(5 629.74615),(6 624.1019),(7 626.2675),(8 649.8075),(9 640.82965),(10 653.40894),(11 658.56104),(12 644.25336),(13 646.2828),(14 637.8803),(15 637.5537),(16 653.51495),(17 645.72876),(18 646.05817),(19 668.03217),(20 656.07135),(21 664.0861),(22 671.29486),(23 662.2598),(24 659.614),(25 666.4816),(26 666.2882),(27 681.5946),(28 698.473),(29 684.7467),(30 677.1834),(31 679.17236),(32 684.61255),(33 695.4339),(34 691.72705),(35 690.094),(36 704.1707),(37 692.9356),(38 682.7862),(39 693.9097),(40 680.30273),(41 676.4817),(42 690.37744),(43 670.8595),(44 675.8415),(45 688.8937),(46 674.05347),(47 673.3902),(48 683.81055),(49 667.4428),(50 690.15265),(51 697.7836),(52 691.92413),(53 706.2436),(54 696.25574),(55 699.13586),(56 694.9332),(57 693.2059),(58 707.5418),(59 696.22205),(60 697.2728),(61 708.6662),(62 698.2884),(63 701.0486),(64 720.3478),(65 712.08276),(66 715.8279),(67 709.0034),(68 703.5541),(69 714.57056),(70 710.0233),(71 709.23816),(72 714.0342),(73 720.31195),(74 707.55115),(75 732.86304),(76 706.05835),(77 709.0386),(78 696.74304),(79 693.8907),
(1 413.26578),(2 522.4618),(3 565.75275),(4 601.8922),(5 618.62006),(6 608.07526),(7 610.5254),(8 629.98157),(9 624.2255),(10 639.3482),(11 642.4207),(12 636.5996),(13 635.70325),(14 625.50464),(15 626.8609),(16 647.0212),(17 633.50555),(18 641.45734),(19 659.93964),(20 651.45557),(21 658.50275),(22 660.9068),(23 656.877),(24 654.7993),(25 657.1286),(26 652.38794),(27 670.4713),(28 682.0611),(29 671.9143),(30 659.20807),(31 663.7093),(32 662.0041),(33 676.31934),(34 671.2762),(35 675.7528),(36 693.4346),(37 680.7352),(38 675.4895),(39 680.298),(40 669.29425),(41 665.7853),(42 686.5327),(43 675.86804),(44 673.462),(45 684.7131),(46 669.9363),(47 677.7277),(48 688.62787),(49 679.01385),(50 696.23535),(51 704.6523),(52 708.261),(53 721.96857),(54 707.90796),(55 702.42224),(56 696.262),(57 701.89716),(58 718.0684),(59 703.31836),(60 699.0196),(61 705.0639),(62 699.2653),(63 699.10803),(64 712.1981),(65 709.82074),(66 708.91547),(67 702.2749),(68 701.9153),(69 707.1779),(70 706.5776),(71 706.87195),(72 709.8924),(73 701.5418),(74 691.91766),(75 712.8928),(76 691.5981),(77 691.87286),(78 677.69745),(79 675.16724),
(1 410.02365),(2 526.81335),(3 559.16724),(4 596.50415),(5 618.9002),(6 621.7328),(7 617.5679),(8 625.9414),(9 623.3664),(10 635.89374),(11 637.86273),(12 633.7093),(13 642.29346),(14 632.2848),(15 632.5666),(16 645.10114),(17 638.7246),(18 638.91315),(19 654.40924),(20 637.93677),(21 656.22614),(22 660.0008),(23 647.41315),(24 641.9662),(25 664.2922),(26 656.4301),(27 672.4014),(28 687.9031),(29 669.0151),(30 662.9276),(31 675.15607),(32 667.215),(33 680.8897),(34 676.7557),(35 672.63586),(36 693.032),(37 678.53217),(38 675.90784),(39 686.95667),(40 668.13184),(41 665.42267),(42 682.80023),(43 669.4325),(44 668.7967),(45 667.248),(46 660.7921),(47 663.52496),(48 677.00574),(49 671.07513),(50 685.72925),(51 689.45807),(52 686.1917),(53 698.0487),(54 693.0745),(55 695.95276),(56 689.0335),(57 695.5322),(58 702.74744),(59 687.6809),(60 691.97095),(61 700.4881),(62 694.5648),(63 688.2608),(64 704.6967),(65 698.28284),(66 700.30804),(67 689.08435),(68 685.11),(69 700.6632),(70 700.1226),(71 700.8215),(72 710.7394),(73 700.889),(74 682.177),(75 703.8289),(76 686.2973),(77 683.3476),(78 678.3036),(79 667.4202),
(1 406.3352),(2 520.8857),(3 559.0194),(4 591.00183),(5 617.8329),(6 611.19336),(7 620.1247),(8 628.5999),(9 625.80524),(10 642.07465),(11 643.9486),(12 640.8168),(13 642.6678),(14 627.68964),(15 630.6099),(16 644.80255),(17 639.6011),(18 639.05426),(19 651.38965),(20 634.2953),(21 638.2567),(22 644.0672),(23 645.7552),(24 647.5885),(25 661.75507),(26 654.34045),(27 670.42706),(28 686.04675),(29 671.215),(30 666.4395),(31 675.81726),(32 671.23895),(33 683.2274),(34 680.8485),(35 684.6525),(36 694.92566),(37 685.27136),(38 675.37085),(39 689.9825),(40 668.35785),(41 668.1316),(42 685.5445),(43 673.017),(44 677.37573),(45 677.8146),(46 673.4683),(47 663.30853),(48 671.40814),(49 669.63025),(50 684.5737),(51 684.8217),(52 682.4433),(53 692.00165),(54 687.5349),(55 696.56213),(56 694.72516),(57 696.8184),(58 703.398),(59 696.86334),(60 697.9494),(61 707.0269),(62 697.09735),(63 700.0753),(64 720.1486),(65 703.4242),(66 712.24164),(67 701.6384),(68 704.79504),(69 713.8919),(70 703.10706),(71 703.0048),(72 715.08105),(73 702.9739),(74 698.3857),(75 718.5237),(76 690.4207),(77 694.8026),(78 679.4414),(79 674.4301),
