1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 52914.11),(2 162064.8),(3 291417.5),(4 437319.9),(5 581726.7),(6 744296.5),(7 886697.8),(8 1023094.94),(9 1148563.5),(10 1248484.6),(11 1340092.6),(12 1426317.4),(13 1540060),(14 1684680.4),(15 1821752.4),(16 1965965.4),(17 2122831.8),(18 2250421.3),(19 2354403.3),(20 2403085.3),(21 2431438),(22 2442068.3),(23 2434105.8),(24 2423256),(25 2410689),(26 2431707),(27 2477258.3),(28 2529107.8),(29 2614715.5),(30 2710544.3),(31 2774201),(32 2819536),(33 2893143.8),(34 2917842),(35 2953782.8),(36 2991723.3),(37 3009402),(38 3066218.8),(39 3112338.8),(40 3166067.3),(41 3258550),(42 3376950.8),(43 3503230),(44 3641734),(45 3731980),(46 3764671.3),(47 3773460.8),(48 3765257.3),(49 3744215.3),(50 3669106.8),(51 3587520.8),(52 3525502.3),(53 3490424.8),(54 3465317.3),(55 3443119.3),(56 3450115.3),(57 3453036),(58 3456209.3),(59 3485122),(60 3503202.3),(61 3527066.8),(62 3592733.8),(63 3620244.8),(64 3658682.8),(65 3750343.3),(66 3826976.8),(67 3940305.8),(68 4067504),(69 4213712.5),(70 4385745.5),(71 4574145.5),(72 4729052.5),(73 4932953.5),(74 5117874),(75 5301267),(76 5499442),(77 5696279.5),(78 5901048.5),(79 6116144.5),
(1 3766.369),(2 9194.69),(3 13581.872),(4 17279.256),(5 19958.479),(6 22098.17),(7 23600.53),(8 24618.646),(9 25308.803),(10 25737.941),(11 26077.676),(12 26453.395),(13 26812.428),(14 27486.537),(15 27917.742),(16 28205.85),(17 28431.84),(18 28587.986),(19 28818.37),(20 28996.363),(21 29216.063),(22 29424.729),(23 29652.06),(24 29974.766),(25 30226.82),(26 30631.838),(27 30855.488),(28 30954.643),(29 31108.305),(30 31333.166),(31 31790.043),(32 31921.596),(33 32128.613),(34 32358.775),(35 32340.604),(36 32019.37),(37 31725.564),(38 31727.477),(39 31585.248),(40 31543.203),(41 31675.97),(42 31788.252),(43 31978.48),(44 32242.398),(45 32526.71),(46 32724.732),(47 32827.13),(48 32823.66),(49 32813.258),(50 32965.973),(51 32948.293),(52 32743.553),(53 32657.297),(54 32549.314),(55 32538.68),(56 32448.367),(57 32373.834),(58 32307.018),(59 32342.215),(60 32380.703),(61 32370.441),(62 32695.455),(63 32836.27),(64 32911.28),(65 33136.22),(66 33191.8),(67 33446.793),(68 33618.26),(69 33725.84),(70 33791.332),(71 33696.188),(72 33725.367),(73 33668.363),(74 34257.633),(75 34370.902),(76 34429.31),(77 34407.75),(78 34442.156),(79 34359.008),
(1 3680.8381),(2 9066.889),(3 13225.538),(4 16678.66),(5 19074.043),(6 20903.813),(7 22083.418),(8 22876.36),(9 23635.986),(10 24157.936),(11 24577.137),(12 25132.531),(13 25531.246),(14 26308.5),(15 26885.68),(16 27257.248),(17 27455.76),(18 27745.893),(19 27905.78),(20 27987.121),(21 28133.715),(22 28345.9),(23 28457.818),(24 28560.773),(25 28659.295),(26 29343.313),(27 29653.035),(28 29784.979),(29 30072.5),(30 30465.639),(31 30623.541),(32 30701.637),(33 30915.69),(34 30988.605),(35 31038.074),(36 31072.863),(37 31066.17),(38 31522.232),(39 31429.5),(40 31492.887),(41 31405.092),(42 31270.793),(43 31080),(44 30945.623),(45 30792.39),(46 30605.813),(47 30632.492),(48 30681.83),(49 30838.533),(50 31380.434),(51 31526.861),(52 31602.29),(53 31542.605),(54 31579.088),(55 31859.174),(56 32086.826),(57 32282.588),(58 32426.479),(59 32247.855),(60 32085.686),(61 31993.104),(62 32450.81),(63 32502.197),(64 32574.467),(65 32573.28),(66 32761.287),(67 32889.645),(68 32743.248),(69 32723.438),(70 32533.92),(71 32240.014),(72 32196.846),(73 32405.598),(74 32623.04),(75 32776.902),(76 32658.174),(77 32624.951),(78 32555.691),(79 32546.123),
(1 3522.0173),(2 8540.395),(3 12342.763),(4 15619.057),(5 18025.764),(6 19778.299),(7 21149.408),(8 22167.393),(9 22968.463),(10 23638.803),(11 24131.045),(12 24643.988),(13 24967.31),(14 25346.557),(15 25746.438),(16 25965.51),(17 26248.332),(18 26550.025),(19 26650.781),(20 26844.451),(21 27139.22),(22 27517.799),(23 27843.414),(24 28014.281),(25 28121.678),(26 28474.361),(27 28676.205),(28 28718.18),(29 28694.36),(30 28797.959),(31 28800.299),(32 28846.83),(33 28857.209),(34 28808.744),(35 28719.16),(36 28589.775),(37 28548.697),(38 29119.672),(39 29216.152),(40 29210.016),(41 29346.87),(42 29523.195),(43 29672.418),(44 29536.309),(45 29492.115),(46 29621.557),(47 29537.973),(48 29430.916),(49 29430.2),(50 29727.283),(51 29767.965),(52 29769.83),(53 29701.21),(54 29813.338),(55 29885.67),(56 30021.395),(57 30149.238),(58 30166.367),(59 30200.582),(60 30293.063),(61 30409.178),(62 30826.887),(63 30993.584),(64 31189.96),(65 31223.254),(66 31418.387),(67 31396.729),(68 31372.123),(69 31256.828),(70 31079.846),(71 30680.879),(72 30608.924),(73 30537.426),(74 30723.607),(75 30618.537),(76 30800.889),(77 30848.22),(78 30862.64),(79 31001.238),
(1 3506.0703),(2 8479.298),(3 12340.029),(4 15782.128),(5 17959.84),(6 19472.168),(7 20764.373),(8 21738.99),(9 22497.707),(10 23165.537),(11 23822.658),(12 24380.137),(13 24697.965),(14 25249.293),(15 25602.229),(16 25824.605),(17 26164.336),(18 26452.195),(19 26672.682),(20 26693.637),(21 27102.547),(22 27536.41),(23 27827.426),(24 28014.963),(25 28254.854),(26 28666.555),(27 28983.752),(28 29132.018),(29 29091.34),(30 28989.947),(31 28701.465),(32 28460.076),(33 28230.703),(34 28153.805),(35 27927.707),(36 27691.146),(37 27577.703),(38 27877.525),(39 27849.818),(40 27776.426),(41 27827.508),(42 28139.225),(43 28385.584),(44 28600.96),(45 28946.725),(46 29033.88),(47 29017),(48 28961.393),(49 28870.023),(50 29173.957),(51 29089.873),(52 29135.568),(53 29025.123),(54 28894.34),(55 28919.574),(56 28947.95),(57 28999.252),(58 29032.62),(59 29128.99),(60 29154.41),(61 29157.22),(62 29453.994),(63 29501.969),(64 29328.773),(65 29248.018),(66 29251.824),(67 29207.78),(68 29542.164),(69 29598.94),(70 29796.621),(71 29995.43),(72 30001.695),(73 29908.518),(74 30364.756),(75 30577.002),(76 30608.586),(77 30640.074),(78 30706.885),(79 30872.127),
(1 3370.597),(2 8037.8115),(3 11761.592),(4 14872.671),(5 16990.082),(6 18502.967),(7 19712.693),(8 20602.39),(9 21497.242),(10 22239.102),(11 22822.3),(12 23286.596),(13 23614.91),(14 24384.195),(15 24940.154),(16 25402.924),(17 25652.553),(18 25694.127),(19 25825.512),(20 26121.33),(21 26454.62),(22 26886.467),(23 27066.477),(24 27331.18),(25 27427.008),(26 27621.207),(27 27776.49),(28 27697),(29 27540.408),(30 27372.059),(31 27241.018),(32 27057.967),(33 27051.674),(34 27102.111),(35 27189.17),(36 27196.56),(37 27240.273),(38 27747.018),(39 27898.95),(40 28087.137),(41 28372.021),(42 28565.479),(43 28332.215),(44 28140.44),(45 28142.87),(46 28386.355),(47 28500.086),(48 28500.668),(49 28493.588),(50 28737.81),(51 28814.834),(52 28673.44),(53 28650.254),(54 28542.195),(55 28446.697),(56 28228.625),(57 28145.234),(58 27995.738),(59 27880.256),(60 27847.105),(61 27883.703),(62 28262.068),(63 28448.217),(64 28486.605),(65 28815.922),(66 28991.45),(67 29128.938),(68 29375.07),(69 29451.977),(70 29783.383),(71 30046.322),(72 30031.563),(73 30123.768),(74 30867.629),(75 31000.771),(76 30969.225),(77 31053.418),(78 31072.59),(79 31388.34),
(1 3372.9182),(2 8084.9873),(3 11688.726),(4 14652.157),(5 16734.15),(6 18186.832),(7 19148.773),(8 19887.596),(9 20509.385),(10 20940.521),(11 21133.666),(12 21444.088),(13 21765.334),(14 22368.68),(15 22762.021),(16 23175.564),(17 23345.809),(18 23590.488),(19 23792.227),(20 24206.502),(21 24472.621),(22 24727.273),(23 24804.205),(24 25116.908),(25 25255.488),(26 25751.656),(27 25961.553),(28 25934.584),(29 25849.375),(30 25837.53),(31 25744.242),(32 25766.428),(33 25822.727),(34 25803.613),(35 25906.436),(36 26149.229),(37 26144.014),(38 26589.375),(39 26748.45),(40 26782.365),(41 26802.447),(42 26960.846),(43 27051.541),(44 27075.174),(45 27159.348),(46 27233.969),(47 27220.123),(48 27136.51),(49 27184.285),(50 27463.297),(51 27384.092),(52 27103.646),(53 26933.496),(54 26572.559),(55 26515.033),(56 26318.488),(57 26459.15),(58 26405.56),(59 26279.85),(60 26237.531),(61 26492.854),(62 27016.6),(63 27041.15),(64 27039.932),(65 27129.725),(66 27035.78),(67 27225.78),(68 27333.818),(69 27333.344),(70 27439.865),(71 27322.787),(72 27315.031),(73 27419.135),(74 28018.193),(75 28219.688),(76 28273.18),(77 28302.354),(78 28298.555),(79 28372.936),
(1 3235.6758),(2 7685.1855),(3 11070.16),(4 13705.597),(5 15474.075),(6 16728.102),(7 17710.746),(8 18426.793),(9 19007.455),(10 19311.742),(11 19601.746),(12 19844.64),(13 20030.988),(14 20539.457),(15 20948.557),(16 21166.254),(17 21368.803),(18 21568.807),(19 21742.174),(20 21871.174),(21 22030.477),(22 22286.313),(23 22664.334),(24 23128.803),(25 23364.58),(26 23814.428),(27 23934.352),(28 23971.033),(29 23993.88),(30 24168.889),(31 24289.137),(32 24463.947),(33 24714.924),(34 24848.053),(35 24850.299),(36 24769.799),(37 24785.107),(38 25515.879),(39 25835.193),(40 25987.639),(41 26241.092),(42 26430.533),(43 26458.309),(44 26391.02),(45 26346.621),(46 26317.477),(47 26059.85),(48 25975.111),(49 25895.027),(50 26078.17),(51 26039.252),(52 25855.043),(53 25836.906),(54 25864.15),(55 25983.49),(56 26226.03),(57 26434.842),(58 26476.291),(59 26160.81),(60 25865.33),(61 25811.488),(62 25918.412),(63 25831.652),(64 25723.434),(65 25813.979),(66 25899.46),(67 25804.262),(68 25716.02),(69 25477.898),(70 25283.352),(71 24988.19),(72 24893.129),(73 24999.46),(74 25126.63),(75 25185.582),(76 25381.72),(77 25473.732),(78 25451.438),(79 25333.57),
(1 3150.9211),(2 7481.209),(3 10838.383),(4 13602.213),(5 15662.188),(6 17071.26),(7 17855.29),(8 18495.563),(9 18964.14),(10 19311.488),(11 19616.748),(12 19878.42),(13 20081.414),(14 20537.69),(15 20790.2),(16 20986.1),(17 21317.719),(18 21471.531),(19 21748.99),(20 22001.264),(21 22154.063),(22 22210.693),(23 22273.58),(24 22405.193),(25 22370.68),(26 22447.676),(27 22383.68),(28 22316.09),(29 22399.648),(30 22331.77),(31 22326.256),(32 22287.303),(33 22481.068),(34 22741.69),(35 22940.22),(36 23078.676),(37 23279.338),(38 23893.39),(39 24211.51),(40 24070.285),(41 24025.209),(42 24026.309),(43 24223.578),(44 24259.654),(45 24242.633),(46 24364.035),(47 24318.404),(48 24414.443),(49 24547.049),(50 24757.686),(51 24806.424),(52 24938.188),(53 25023.355),(54 25054.28),(55 25152.832),(56 25131.955),(57 25159.273),(58 25046.557),(59 24806.666),(60 24591.307),(61 24322.008),(62 24743.408),(63 24803.945),(64 24797.256),(65 24871.164),(66 25059.559),(67 25137.5),(68 25305.342),(69 25332.555),(70 25348.178),(71 25219.996),(72 25229.9),(73 25433.242),(74 25634.848),(75 25759.89),(76 25785.941),(77 25924.396),(78 26027.99),(79 26116.838),
(1 3130.0305),(2 7318.334),(3 10634.255),(4 13415.117),(5 15314.031),(6 16662.236),(7 17599.955),(8 18263.266),(9 18657.465),(10 19038.127),(11 19344.932),(12 19620.537),(13 19818.998),(14 20405.988),(15 20763.19),(16 20989.375),(17 21254.686),(18 21515.03),(19 21655.256),(20 21714.494),(21 21783.719),(22 21891.01),(23 21781.484),(24 21844.775),(25 21907.436),(26 22309.02),(27 22340.3),(28 22355.83),(29 22525.918),(30 22809.271),(31 22965.705),(32 22952.63),(33 22956.645),(34 22931.96),(35 23032.443),(36 23162.564),(37 23183.639),(38 23698.03),(39 23834.16),(40 23862.594),(41 23675.121),(42 23615.922),(43 23558.18),(44 23524.309),(45 23531.912),(46 23581.365),(47 23612.535),(48 23608.771),(49 23723.465),(50 23685.842),(51 23754.846),(52 23737.916),(53 23768.521),(54 23970.676),(55 24027.69),(56 24094.273),(57 24213.346),(58 24264.775),(59 24252.305),(60 24116.605),(61 23951.729),(62 23956.691),(63 24050.955),(64 24277.898),(65 24427.719),(66 24514.283),(67 24649.186),(68 24779.158),(69 24660.34),(70 24824.361),(71 24748.12),(72 24678.795),(73 24751.371),(74 25091.002),(75 25223.908),(76 25230.045),(77 25397.227),(78 25511.578),(79 25687.576),
(1 2979.1572),(2 6804.3066),(3 9891.34),(4 12434.321),(5 14131.31),(6 15244.05),(7 16014.541),(8 16531.791),(9 16990.912),(10 17409.395),(11 17651.143),(12 17884.805),(13 18174.047),(14 18855.201),(15 19260.67),(16 19696.115),(17 19924.896),(18 20169.078),(19 20327.281),(20 20509.37),(21 20640.092),(22 20773.85),(23 20812.164),(24 20896.87),(25 20920.836),(26 21087.871),(27 21124.982),(28 21194.125),(29 21304.355),(30 21537.861),(31 21635.03),(32 21658.373),(33 21577.912),(34 21598.082),(35 21376.434),(36 21182.063),(37 20967.521),(38 21269.453),(39 21154.348),(40 21067.227),(41 21082.568),(42 21178.127),(43 21144.525),(44 21173.768),(45 21241.348),(46 21277.848),(47 21245.111),(48 21236.234),(49 21280.105),(50 21493.104),(51 21604.957),(52 21614.793),(53 21590.088),(54 21603.443),(55 21718.684),(56 21680.975),(57 21603.742),(58 21503.662),(59 21418.732),(60 21370.574),(61 21518.496),(62 21856.385),(63 22062.887),(64 22342.15),(65 22510.332),(66 22649.055),(67 22822.813),(68 22837.297),(69 22900.082),(70 22839.018),(71 22719.105),(72 22637.951),(73 22725.602),(74 23013.785),(75 23038.959),(76 23055.805),(77 22981.156),(78 23010.803),(79 23058.242),
(1 2899.7727),(2 6743.3525),(3 9766.848),(4 12206.574),(5 13921.422),(6 15207.842),(7 16040.382),(8 16584.072),(9 17045.117),(10 17431.89),(11 17705.156),(12 17896.984),(13 18087.666),(14 18627.016),(15 18955.635),(16 19182.531),(17 19362.125),(18 19624.76),(19 19933.133),(20 20002.348),(21 20110.783),(22 20175.299),(23 20176.605),(24 20133.398),(25 20223.15),(26 20468.473),(27 20636.273),(28 20537.01),(29 20611.873),(30 20718.396),(31 20821.162),(32 20781.975),(33 20902.25),(34 21121.248),(35 21071.969),(36 20925.205),(37 20942.39),(38 21218.885),(39 21286.012),(40 21357.174),(41 21366.723),(42 21288.809),(43 21230.916),(44 21208.984),(45 21105.092),(46 20995.162),(47 20905.34),(48 20762.57),(49 20852.734),(50 21307.713),(51 21576.523),(52 21769.453),(53 21782.111),(54 21800.629),(55 21799.146),(56 21685.236),(57 21773.52),(58 21723.535),(59 21636.49),(60 21545.525),(61 21508.32),(62 21768.604),(63 21698.387),(64 21695.566),(65 21748.992),(66 21745.174),(67 21798.947),(68 21783.072),(69 21855.723),(70 21791.314),(71 21666.016),(72 21489.055),(73 21421.088),(74 21543.736),(75 21556.416),(76 21460.629),(77 21333.193),(78 21253.984),(79 21420.555),
(1 2800.7322),(2 6607.134),(3 9558.338),(4 11959.485),(5 13850.589),(6 15125.61),(7 16027.27),(8 16614.818),(9 17031.803),(10 17395.36),(11 17660.275),(12 17747.691),(13 17994.031),(14 18375.705),(15 18603.537),(16 18748.248),(17 18936.264),(18 19147.701),(19 19373.008),(20 19530.908),(21 19692.852),(22 19824.521),(23 19847.893),(24 19918.438),(25 19891.78),(26 20039.848),(27 20184.896),(28 20352.768),(29 20426.209),(30 20653.668),(31 20693.654),(32 20642.695),(33 20692.059),(34 20806.111),(35 20763.645),(36 20694.842),(37 20818.932),(38 21364.652),(39 21607.994),(40 21686.709),(41 21711.375),(42 21757.006),(43 21794.547),(44 21684.064),(45 21527.563),(46 21476.828),(47 21234.604),(48 21114.355),(49 20930.97),(50 20994.12),(51 21020.578),(52 20965.22),(53 20996.975),(54 20918.145),(55 21001.578),(56 20946.916),(57 20972.125),(58 21036.299),(59 20940.012),(60 20903.535),(61 21009.596),(62 21412.738),(63 21443.113),(64 21247.443),(65 21042.107),(66 20949.355),(67 20828.428),(68 20695.898),(69 20713.936),(70 20780.857),(71 20755.615),(72 20797.332),(73 20938.355),(74 21111.33),(75 21095.266),(76 21166.455),(77 21336.275),(78 21337.611),(79 21303.803),
(1 2743.0317),(2 6354.1245),(3 9091.559),(4 11347.566),(5 13023.053),(6 14287.768),(7 15310.816),(8 16122.34),(9 16672.123),(10 17113.313),(11 17412.754),(12 17601.783),(13 17760.06),(14 18149.426),(15 18427.082),(16 18593.479),(17 18786.283),(18 18916.21),(19 19210.979),(20 19360.586),(21 19516.668),(22 19579.727),(23 19592.459),(24 19653.035),(25 19761.59),(26 20125.293),(27 20326.107),(28 20407.729),(29 20441.666),(30 20521.76),(31 20638.527),(32 20725.547),(33 20606.555),(34 20580.135),(35 20516.578),(36 20421.945),(37 20474.139),(38 21052.998),(39 21267.578),(40 21297.605),(41 21148.484),(42 21198.012),(43 21267.918),(44 21285.049),(45 21161.54),(46 20987.002),(47 20808.521),(48 20664.363),(49 20518.688),(50 20683.63),(51 20657.68),(52 20677.412),(53 20720.363),(54 20793.773),(55 20979.09),(56 20867.875),(57 20882.908),(58 20860.393),(59 20692.44),(60 20588.969),(61 20657.398),(62 21019.564),(63 21111),(64 21140.188),(65 21095.771),(66 21176.623),(67 21377.254),(68 21505.43),(69 21560.893),(70 21708.625),(71 21728.854),(72 21884.982),(73 22048.125),(74 22412.924),(75 22398.57),(76 22449.49),(77 22576.473),(78 22645.678),(79 22590.572),
(1 2634.7395),(2 6211.749),(3 8892.37),(4 11086.88),(5 12718.821),(6 13952.571),(7 14901.142),(8 15513.856),(9 15941.469),(10 16151.569),(11 16307.426),(12 16491.307),(13 16628.541),(14 16909.46),(15 17163.502),(16 17350.047),(17 17616.43),(18 17775.705),(19 17857.79),(20 18013.377),(21 18137.418),(22 18263.834),(23 18443.133),(24 18556.809),(25 18871.592),(26 19374.738),(27 19561.9),(28 19659.402),(29 19750.684),(30 19887.404),(31 20060.89),(32 20006.229),(33 19949.752),(34 20005.266),(35 20114.76),(36 20249.766),(37 20310.838),(38 20860.965),(39 20998.436),(40 20950.574),(41 20756.705),(42 20754.033),(43 20787.783),(44 20842.299),(45 20883.78),(46 20857.498),(47 20760.248),(48 20754.455),(49 20650.34),(50 20820.152),(51 20769.238),(52 20730.672),(53 20731.342),(54 20753.525),(55 20758.092),(56 20752.2),(57 20655.523),(58 20636.885),(59 20481.488),(60 20346.941),(61 20412.738),(62 20822.367),(63 20968.047),(64 21042.125),(65 20972.15),(66 20964.813),(67 20939.096),(68 21019.672),(69 21037.441),(70 21136.412),(71 21157.45),(72 21141.254),(73 21288.55),(74 21627.746),(75 21792.393),(76 21898.22),(77 21975.465),(78 22028.828),(79 21924.113),
(1 2548.681),(2 5901.798),(3 8492.593),(4 10573.193),(5 11988.676),(6 13076.093),(7 13831.82),(8 14246.951),(9 14686.86),(10 15015.6875),(11 15144.088),(12 15255.41),(13 15279.426),(14 15641.594),(15 15836.549),(16 16084.029),(17 16318.119),(18 16538.002),(19 16745.1),(20 16873.477),(21 16935.355),(22 16996.531),(23 17139.121),(24 17273.125),(25 17414.979),(26 17754.174),(27 17923.963),(28 18162.893),(29 18333.88),(30 18490.904),(31 18654.941),(32 18734.54),(33 18851.6),(34 18810.797),(35 18871.652),(36 18875.943),(37 18842.45),(38 19209.555),(39 19280.105),(40 19272.271),(41 19107.299),(42 19149.813),(43 19156.654),(44 19102.434),(45 19099.713),(46 19150.248),(47 19148.729),(48 19181.861),(49 19058.383),(50 19147.865),(51 19197.553),(52 19268.457),(53 19335.676),(54 19361.734),(55 19355.404),(56 19248.662),(57 19266.666),(58 19301.959),(59 19193.342),(60 19206.975),(61 19291.268),(62 19568.518),(63 19556.207),(64 19544.246),(65 19675.496),(66 19708.008),(67 19724.336),(68 19761.664),(69 19865.521),(70 19880.73),(71 19794.2),(72 19715.758),(73 19824.387),(74 19985.1),(75 19973.232),(76 19860.797),(77 19864.47),(78 19868.803),(79 19813.916),
(1 2546.6506),(2 5893.414),(3 8405.245),(4 10454.566),(5 11872.423),(6 13028.947),(7 13811.098),(8 14429.648),(9 14909.346),(10 15137.454),(11 15149.053),(12 15167.719),(13 15219.091),(14 15614.7),(15 15838.816),(16 16211.651),(17 16454.78),(18 16626.053),(19 16719),(20 16882.746),(21 16904.023),(22 16856.639),(23 16734.012),(24 16685.807),(25 16744.365),(26 16927.969),(27 16996.771),(28 17042.463),(29 17108.371),(30 17098.273),(31 17159.738),(32 17279.822),(33 17349.637),(34 17389.854),(35 17407.553),(36 17374.87),(37 17400.271),(38 17847.217),(39 18010.465),(40 18129.252),(41 18156.56),(42 18321.293),(43 18412.848),(44 18499.107),(45 18521.527),(46 18518.822),(47 18511.896),(48 18493.248),(49 18404.285),(50 18558.773),(51 18555.395),(52 18533.623),(53 18491.309),(54 18477.254),(55 18490.195),(56 18465.033),(57 18477.563),(58 18587.76),(59 18498.371),(60 18471.006),(61 18492.197),(62 18763.127),(63 18740.268),(64 18567.379),(65 18537.258),(66 18442.752),(67 18542.154),(68 18664.55),(69 18674.994),(70 18738.684),(71 18737.97),(72 18798.488),(73 18884.254),(74 19229.668),(75 19209.047),(76 19191.08),(77 19200.738),(78 19240.902),(79 19113.842),
(1 2466.783),(2 5646.0737),(3 8166.4688),(4 10158.481),(5 11563.313),(6 12637.059),(7 13349.196),(8 13769.21),(9 14079.694),(10 14306.668),(11 14525.741),(12 14627.243),(13 14716.66),(14 15170.489),(15 15441.325),(16 15675.973),(17 15995.837),(18 16212.082),(19 16475.928),(20 16675.291),(21 16831.262),(22 16990.637),(23 17113.416),(24 17115.64),(25 17258.135),(26 17562.791),(27 17560.67),(28 17492.814),(29 17421.9),(30 17486.52),(31 17558.71),(32 17640.396),(33 17795.201),(34 17927.549),(35 17942.357),(36 17925.73),(37 17785.953),(38 17892.625),(39 17772.068),(40 17650.11),(41 17517.904),(42 17429.322),(43 17435.65),(44 17404.436),(45 17376.635),(46 17471.023),(47 17531.316),(48 17615.07),(49 17620.045),(50 17737.459),(51 17776.967),(52 17883.236),(53 18099.203),(54 18179.986),(55 18212.922),(56 18207.916),(57 18172.168),(58 18348.525),(59 18349.627),(60 18370.576),(61 18235.2),(62 18405.672),(63 18556.979),(64 18586.086),(65 18627.984),(66 18512.186),(67 18581.96),(68 18730.934),(69 18906.945),(70 19103.56),(71 19172.434),(72 19388.678),(73 19420.71),(74 19452.55),(75 19470.328),(76 19407.615),(77 19267.9),(78 19248.455),(79 19233.557),
