1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 341.09976),(2 457.0327),(3 509.3072),(4 545.0203),(5 567.2968),(6 591.57184),(7 615.57355),(8 634.4048),(9 634.6133),(10 643.5926),(11 674.5112),(12 688.8153),(13 695.90344),(14 708.53656),(15 719.64825),(16 722.24976),(17 724.1142),(18 727.854),(19 732.97864),(20 732.81085),(21 742.54156),(22 738.1856),(23 739.69104),(24 736.05634),(25 740.7196),(26 747.6023),(27 762.3521),(28 755.99347),(29 758.5539),(30 764.3595),(31 764.495),(32 766.7249),(33 775.5856),(34 778.14166),(35 782.6266),(36 783.03394),(37 790.67194),(38 787.8763),(39 790.9898),(40 781.2371),(41 772.99634),(42 776.247),(43 786.92584),(44 795.9932),(45 797.54846),(46 796.41846),(47 791.94366),(48 790.5848),(49 786.5539),(50 792.0435),(51 796.3965),(52 795.3176),(53 791.0536),(54 780.3538),(55 785.8143),(56 771.4741),(57 775.6087),(58 778.1239),(59 780.9365),(60 775.5079),(61 775.46405),(62 773.67346),(63 769.38153),(64 772.3316),(65 769.5923),(66 766.63403),(67 761.73676),(68 760.80914),(69 767.95624),(70 762.9869),(71 767.68964),(72 759.109),(73 762.5475),(74 762.48895),(75 776.0349),(76 768.826),(77 764.58356),(78 770.0028),(79 778.5792),
(1 333.88837),(2 445.80313),(3 501.4199),(4 540.43866),(5 561.8838),(6 591.0272),(7 613.30383),(8 632.36755),(9 643.24316),(10 651.537),(11 670.8634),(12 684.9175),(13 692.0757),(14 702.84393),(15 707.0622),(16 706.5359),(17 720.0187),(18 724.1164),(19 719.50824),(20 723.87317),(21 728.02637),(22 719.0682),(23 717.17303),(24 712.30426),(25 722.0245),(26 719.7558),(27 728.4636),(28 735.3034),(29 734.45184),(30 728.05786),(31 733.61835),(32 740.1079),(33 744.2145),(34 748.19495),(35 755.323),(36 756.7274),(37 766.93274),(38 772.902),(39 777.90594),(40 772.2982),(41 774.9847),(42 774.1484),(43 782.5764),(44 778.4743),(45 781.6865),(46 786.7338),(47 783.09326),(48 788.3758),(49 795.7023),(50 789.38916),(51 787.8077),(52 787.7594),(53 782.53436),(54 775.28815),(55 777.96405),(56 761.6418),(57 764.32874),(58 763.4998),(59 773.0595),(60 770.22015),(61 769.3803),(62 769.1476),(63 760.6676),(64 756.342),(65 756.17194),(66 753.5374),(67 748.3918),(68 751.9552),(69 763.1531),(70 761.35144),(71 762.46344),(72 763.2438),(73 754.04205),(74 755.6561),(75 763.822),(76 764.5075),(77 763.58203),(78 770.3155),(79 772.5625),
(1 328.2938),(2 431.56503),(3 490.913),(4 523.51605),(5 550.8379),(6 580.4522),(7 605.4999),(8 622.9426),(9 635.71014),(10 642.01685),(11 654.6266),(12 672.68146),(13 683.5246),(14 695.9213),(15 704.22906),(16 700.14813),(17 713.9558),(18 714.8962),(19 720.2221),(20 715.75653),(21 718.72955),(22 721.95276),(23 714.3471),(24 706.82825),(25 716.62366),(26 712.24176),(27 727.7414),(28 726.081),(29 720.39844),(30 724.4192),(31 727.3636),(32 723.8149),(33 733.4516),(34 737.3025),(35 734.9176),(36 735.4709),(37 739.4024),(38 739.77094),(39 747.5763),(40 750.37164),(41 747.18243),(42 747.178),(43 751.49255),(44 759.74194),(45 770.47076),(46 770.1762),(47 776.50793),(48 781.1128),(49 793.19586),(50 792.4199),(51 787.3739),(52 791.5691),(53 785.4602),(54 783.62555),(55 786.0416),(56 769.2144),(57 770.78394),(58 774.5347),(59 768.6241),(60 761.89575),(61 764.4831),(62 756.31464),(63 752.9012),(64 745.20294),(65 743.16187),(66 736.49475),(67 729.49646),(68 734.1685),(69 739.8964),(70 733.60706),(71 730.7002),(72 734.59406),(73 729.49713),(74 744.665),(75 736.2866),(76 742.425),(77 731.89984),(78 736.29803),(79 732.10754),
(1 330.22418),(2 440.15045),(3 499.18976),(4 536.6633),(5 558.6462),(6 587.73517),(7 612.40234),(8 638.1833),(9 643.5404),(10 652.063),(11 672.97253),(12 690.82007),(13 697.88135),(14 708.7882),(15 711.9769),(16 711.97485),(17 724.2044),(18 720.797),(19 725.489),(20 727.3497),(21 717.0021),(22 724.05084),(23 719.6893),(24 712.3836),(25 725.655),(26 721.6105),(27 728.8247),(28 732.7939),(29 727.94885),(30 735.88824),(31 738.93915),(32 740.9035),(33 744.50757),(34 746.6802),(35 755.8513),(36 750.5228),(37 752.84265),(38 753.10425),(39 764.5389),(40 772.7104),(41 763.27386),(42 763.9267),(43 770.92377),(44 779.53613),(45 792.42944),(46 790.10284),(47 796.9001),(48 801.27167),(49 803.8261),(50 806.686),(51 798.23785),(52 804.23083),(53 799.46765),(54 792.91693),(55 790.0883),(56 785.9143),(57 782.25037),(58 775.23083),(59 769.17944),(60 765.99915),(61 764.5237),(62 756.482),(63 759.754),(64 745.49097),(65 746.5406),(66 741.72424),(67 737.23334),(68 738.24994),(69 729.29626),(70 721.5229),(71 721.4613),(72 731.93097),(73 728.24445),(74 728.8058),(75 729.4896),(76 732.8358),(77 740.19836),(78 736.85333),(79 737.32635),
(1 320.0439),(2 422.95547),(3 471.66455),(4 503.74576),(5 525.4684),(6 549.1193),(7 564.36194),(8 590.20465),(9 603.25134),(10 611.3797),(11 625.1592),(12 646.6087),(13 657.0462),(14 658.06213),(15 658.5596),(16 663.15393),(17 674.9633),(18 677.32684),(19 683.37396),(20 683.819),(21 671.59454),(22 678.4142),(23 679.8176),(24 677.6054),(25 682.2233),(26 687.2062),(27 693.8536),(28 698.0952),(29 693.31775),(30 688.1908),(31 695.82794),(32 702.22906),(33 708.1689),(34 724.69073),(35 724.94135),(36 722.375),(37 727.13934),(38 729.34436),(39 740.2696),(40 740.63025),(41 743.86475),(42 754.1968),(43 756.65857),(44 758.80383),(45 762.7424),(46 761.1105),(47 759.66235),(48 756.61224),(49 763.8872),(50 758.8966),(51 764.8265),(52 764.04974),(53 754.8508),(54 752.8377),(55 746.8363),(56 742.00134),(57 736.15045),(58 722.6697),(59 727.2612),(60 726.1577),(61 722.93427),(62 714.1709),(63 721.85016),(64 716.4267),(65 708.84894),(66 709.17316),(67 705.3788),(68 708.8127),(69 698.5076),(70 698.59216),(71 696.3483),(72 697.79065),(73 696.1887),(74 692.13416),(75 689.8269),(76 692.77106),(77 696.7202),(78 701.8926),(79 706.9759),
(1 314.62592),(2 421.3239),(3 471.0038),(4 497.68243),(5 523.2485),(6 551.58704),(7 564.0392),(8 583.76306),(9 603.16907),(10 599.83044),(11 604.46655),(12 618.61755),(13 628.6832),(14 641.36475),(15 645.64417),(16 654.6373),(17 658.6279),(18 665.7908),(19 670.4082),(20 672.5874),(21 673.79236),(22 672.91376),(23 680.9309),(24 668.43353),(25 672.5352),(26 675.00616),(27 687.1607),(28 687.778),(29 684.36176),(30 680.21545),(31 693.46893),(32 695.149),(33 703.8204),(34 713.8585),(35 718.90515),(36 727.7065),(37 734.2694),(38 728.64355),(39 735.0959),(40 734.3097),(41 736.7751),(42 733.5043),(43 736.17285),(44 733.7053),(45 747.56305),(46 749.32306),(47 746.3212),(48 743.2648),(49 751.7498),(50 754.7022),(51 750.8753),(52 749.61536),(53 749.104),(54 739.3539),(55 731.784),(56 738.57764),(57 734.367),(58 726.924),(59 732.5458),(60 730.5492),(61 731.8194),(62 723.75635),(63 730.9593),(64 721.3777),(65 716.0434),(66 711.07135),(67 711.864),(68 707.9299),(69 705.48944),(70 699.3493),(71 701.221),(72 703.8924),(73 701.577),(74 699.0328),(75 703.9099),(76 719.54456),(77 705.1414),(78 711.2998),(79 707.60065),
(1 309.67166),(2 416.1349),(3 471.18466),(4 495.53455),(5 523.3121),(6 545.25635),(7 553.9755),(8 575.2384),(9 590.7809),(10 601.9549),(11 618.8924),(12 634.5567),(13 646.8515),(14 651.7254),(15 647.7791),(16 651.89966),(17 661.4058),(18 674.1458),(19 671.5518),(20 664.1208),(21 676.1057),(22 673.95294),(23 680.7604),(24 672.00037),(25 674.8441),(26 674.8868),(27 684.9443),(28 687.21),(29 691.918),(30 694.317),(31 694.2877),(32 699.15784),(33 709.3646),(34 706.1133),(35 702.0365),(36 704.31256),(37 710.9914),(38 715.72974),(39 716.8204),(40 717.80286),(41 718.3623),(42 711.57684),(43 711.59125),(44 723.765),(45 726.1052),(46 716.5154),(47 730.17194),(48 736.21594),(49 737.29095),(50 735.7956),(51 741.4426),(52 745.57556),(53 740.4449),(54 735.4649),(55 729.1332),(56 726.384),(57 732.0993),(58 732.6059),(59 740.9626),(60 733.75195),(61 732.83026),(62 722.72266),(63 727.739),(64 724.7585),(65 718.20233),(66 712.1),(67 718.8254),(68 718.054),(69 709.4141),(70 712.46454),(71 710.70325),(72 707.4334),(73 712.29285),(74 707.681),(75 710.0995),(76 706.51996),(77 700.41516),(78 718.6854),(79 711.2352),
(1 307.23215),(2 405.52066),(3 459.03757),(4 485.47504),(5 510.2924),(6 532.64484),(7 545.1891),(8 565.2863),(9 580.93207),(10 594.74316),(11 614.5778),(12 627.1613),(13 630.8682),(14 643.47034),(15 636.3025),(16 646.55096),(17 649.18854),(18 656.30945),(19 656.5546),(20 656.11993),(21 659.8309),(22 661.73517),(23 665.6682),(24 658.3913),(25 659.589),(26 657.51843),(27 662.12726),(28 657.6597),(29 668.4139),(30 676.33),(31 672.5705),(32 686.1187),(33 692.82196),(34 694.4859),(35 702.2702),(36 702.93384),(37 694.01556),(38 701.13525),(39 705.85486),(40 707.7168),(41 709.06665),(42 701.04254),(43 712.82025),(44 712.096),(45 716.63605),(46 716.3692),(47 727.8799),(48 727.4856),(49 733.30524),(50 724.1495),(51 734.9005),(52 732.5372),(53 732.89087),(54 722.95),(55 719.2104),(56 710.22595),(57 709.9196),(58 715.7452),(59 713.4192),(60 707.739),(61 704.4504),(62 699.4666),(63 705.3479),(64 694.11523),(65 683.22546),(66 683.5752),(67 689.6679),(68 690.185),(69 684.9455),(70 688.84955),(71 684.57666),(72 678.3792),(73 678.87756),(74 682.70807),(75 678.627),(76 687.4767),(77 686.06616),(78 686.46313),(79 687.3498),
(1 294.9248),(2 398.53995),(3 465.05386),(4 496.31995),(5 521.14594),(6 538.8068),(7 551.8862),(8 573.95325),(9 589.68),(10 597.5979),(11 609.0028),(12 626.7928),(13 632.82074),(14 650.0107),(15 652.24713),(16 661.32416),(17 657.01),(18 652.2591),(19 658.98206),(20 658.5548),(21 659.8972),(22 666.25775),(23 663.07275),(24 654.2161),(25 648.6227),(26 646.67615),(27 655.21375),(28 661.58026),(29 662.6478),(30 670.30225),(31 675.85925),(32 685.10986),(33 690.83734),(34 695.18414),(35 698.2623),(36 688.9891),(37 683.1999),(38 689.7421),(39 691.1081),(40 697.4197),(41 698.22235),(42 699.15564),(43 705.2597),(44 706.2688),(45 712.75653),(46 721.052),(47 717.06793),(48 714.90125),(49 720.23395),(50 722.20624),(51 732.65814),(52 729.30334),(53 727.4601),(54 722.0703),(55 716.7739),(56 716.33704),(57 713.3615),(58 725.1226),(59 726.30975),(60 721.77246),(61 723.3906),(62 719.4055),(63 721.9804),(64 717.794),(65 712.0955),(66 704.17664),(67 707.3575),(68 707.97894),(69 696.8428),(70 699.32465),(71 696.4024),(72 696.9668),(73 689.72754),(74 692.13684),(75 699.62415),(76 711.283),(77 702.5518),(78 702.43195),(79 707.1419),
(1 288.18948),(2 392.71228),(3 447.7544),(4 474.143),(5 493.86697),(6 508.61478),(7 525.11865),(8 544.4296),(9 558.3641),(10 574.85364),(11 598.9532),(12 603.16327),(13 606.0631),(14 619.555),(15 617.50146),(16 612.64923),(17 621.1952),(18 620.33124),(19 625.38873),(20 623.4216),(21 628.4513),(22 629.73236),(23 634.82666),(24 623.3034),(25 622.2709),(26 625.4136),(27 616.9527),(28 624.9632),(29 625.962),(30 635.0404),(31 637.96594),(32 632.84344),(33 632.77185),(34 629.9168),(35 635.27435),(36 632.2033),(37 636.08795),(38 636.85706),(39 633.96594),(40 646.561),(41 649.022),(42 655.75604),(43 673.4494),(44 673.2351),(45 677.66016),(46 689.84155),(47 690.57697),(48 696.7754),(49 687.52295),(50 687.93567),(51 688.96313),(52 684.9233),(53 686.8748),(54 683.90875),(55 683.1403),(56 683.44147),(57 681.7399),(58 680.73474),(59 683.54675),(60 682.61444),(61 690.3417),(62 691.72784),(63 688.09717),(64 676.9147),(65 675.97015),(66 676.8463),(67 671.6182),(68 664.6868),(69 658.2204),(70 660.01245),(71 653.17285),(72 647.7544),(73 649.4269),(74 653.17065),(75 659.40155),(76 661.7791),(77 653.41895),(78 667.31165),(79 667.6235),
(1 290.21313),(2 388.98743),(3 445.3563),(4 474.2889),(5 500.9714),(6 524.4436),(7 538.7689),(8 560.55896),(9 571),(10 586.6379),(11 597.819),(12 603.5059),(13 611.05347),(14 628.73517),(15 634.3169),(16 637.1434),(17 638.33636),(18 635.3235),(19 643.84265),(20 641.8924),(21 640.5008),(22 646.40564),(23 644.3011),(24 643.5698),(25 647.22345),(26 653.5541),(27 651.1979),(28 653.4302),(29 652.5445),(30 650.24805),(31 646.44666),(32 644.42316),(33 654.34247),(34 654.8116),(35 654.1072),(36 655.59186),(37 657.47906),(38 668.4536),(39 675.31976),(40 677.75714),(41 684.66486),(42 679.73444),(43 685.3663),(44 688.9462),(45 687.6587),(46 693.80566),(47 694.09796),(48 700.1399),(49 696.55664),(50 694.2907),(51 699.8197),(52 701.81256),(53 699.07947),(54 697.017),(55 688.4297),(56 688.36383),(57 685.1325),(58 677.7722),(59 675.23285),(60 675.56604),(61 672.8084),(62 671.2758),(63 670.03485),(64 659.8266),(65 664.88635),(66 668.3223),(67 660.26294),(68 654.13135),(69 656.58344),(70 657.54425),(71 660.48193),(72 642.6097),(73 651.07153),(74 648.09326),(75 665.11993),(76 666.6559),(77 668.11816),(78 678.3398),(79 678.4156),
(1 284.052),(2 378.31116),(3 434.48788),(4 473.2263),(5 504.15082),(6 516.98566),(7 530.0239),(8 561.7063),(9 569.25934),(10 578.08826),(11 595.5107),(12 600.58624),(13 609.9967),(14 620.33685),(15 628.54156),(16 636.08606),(17 632.83936),(18 631.28394),(19 634.98517),(20 635.7743),(21 634.3956),(22 648.0797),(23 646.7166),(24 636.2249),(25 641.6067),(26 645.71893),(27 650.0712),(28 656.6557),(29 654.19495),(30 653.35736),(31 655.78894),(32 654.393),(33 657.0378),(34 650.7602),(35 649.4967),(36 655.51636),(37 661.8483),(38 661.4221),(39 670.6729),(40 678.2381),(41 681.42755),(42 683.2076),(43 687.0476),(44 684.9086),(45 690.8697),(46 690.06586),(47 688.8949),(48 690.22235),(49 684.93805),(50 694.12805),(51 693.8654),(52 695.5968),(53 686.8232),(54 684.8624),(55 686.07715),(56 681.934),(57 676.36584),(58 668.78503),(59 675.9048),(60 672.7991),(61 675.19916),(62 671.6604),(63 666.2355),(64 663.19147),(65 664.28766),(66 656.67737),(67 659.107),(68 653.09015),(69 653.0912),(70 647.6938),(71 650.20123),(72 643.3925),(73 640.0654),(74 646.5622),(75 649.8218),(76 647.9478),(77 652.7869),(78 659.06726),(79 664.39417),
(1 281.84955),(2 377.48697),(3 428.25275),(4 460.13248),(5 478.34766),(6 497.24033),(7 522.169),(8 543.02057),(9 546.26996),(10 558.0961),(11 572.2754),(12 578.37494),(13 585.55334),(14 595.41284),(15 602.4448),(16 603.9367),(17 600.88043),(18 604.531),(19 606.814),(20 603.9548),(21 607.055),(22 616.6922),(23 622.7665),(24 617.7612),(25 626.1834),(26 620.39154),(27 627.90906),(28 628.3575),(29 622.38416),(30 628.7257),(31 636.43506),(32 636.3251),(33 633.25916),(34 638.6636),(35 638.94415),(36 634.21027),(37 638.9642),(38 637.60187),(39 641.4465),(40 643.9188),(41 649.7606),(42 656.48596),(43 667.3809),(44 659.54553),(45 670.28015),(46 675.41644),(47 676.0935),(48 677.0617),(49 674.19073),(50 670.53735),(51 667.19006),(52 671.7914),(53 668.813),(54 661.19574),(55 669.25085),(56 667.69586),(57 665.9148),(58 657.3208),(59 664.22186),(60 658.0306),(61 652.4956),(62 651.09485),(63 652.3741),(64 655.45526),(65 650.0802),(66 647.872),(67 645.27155),(68 637.4673),(69 644.02075),(70 639.9067),(71 649.2235),(72 646.96375),(73 648.12427),(74 648.82574),(75 646.9291),(76 652.0259),(77 655.25226),(78 660.4299),(79 666.6422),
(1 272.6621),(2 364.24298),(3 415.62628),(4 436.91562),(5 459.36597),(6 480.0985),(7 502.66086),(8 524.3062),(9 534.0765),(10 539.69385),(11 551.5975),(12 560.17413),(13 564.8497),(14 574.8892),(15 581.53955),(16 587.9521),(17 585.27637),(18 585.5113),(19 592.74927),(20 594.9324),(21 587.87494),(22 595.2431),(23 599.84625),(24 597.05444),(25 602.68933),(26 602.505),(27 604.7771),(28 603.4068),(29 600.49677),(30 607.9806),(31 614.7426),(32 620.20715),(33 627.03174),(34 637.2178),(35 638.6626),(36 642.462),(37 644.6011),(38 647.3142),(39 654.07965),(40 660.3625),(41 663.07184),(42 668.04614),(43 668.68744),(44 669.5173),(45 675.21405),(46 677.0318),(47 681.1182),(48 683.96387),(49 685.267),(50 682.76587),(51 683.57764),(52 684.87494),(53 678.942),(54 676.1761),(55 670.06177),(56 669.92694),(57 670.6454),(58 664.0004),(59 661.8819),(60 658.21674),(61 655.97253),(62 652.133),(63 642.9586),(64 644.34644),(65 641.1614),(66 644.04803),(67 636.69025),(68 634.12103),(69 641.1413),(70 643.3261),(71 645.4708),(72 637.35626),(73 640.3434),(74 634.1412),(75 636.14154),(76 636.6731),(77 636.1583),(78 643.22406),(79 647.47473),
(1 268.65796),(2 355.42303),(3 400.25702),(4 426.54926),(5 445.52536),(6 459.16367),(7 470.12283),(8 490.13776),(9 498.63638),(10 504.5464),(11 517.87146),(12 527.0093),(13 534.7044),(14 541.213),(15 543.77026),(16 551.0463),(17 559.64545),(18 560.5615),(19 566.80615),(20 569.0363),(21 566.10767),(22 567.73694),(23 572.1467),(24 574.35754),(25 578.81934),(26 578.6091),(27 583.8135),(28 584.64575),(29 581.341),(30 588.11816),(31 595.65643),(32 602.3137),(33 608.9683),(34 612.4568),(35 610.8743),(36 607.6891),(37 613.7611),(38 612.8978),(39 611.7173),(40 609.2436),(41 611.8995),(42 614.27277),(43 618.54047),(44 619.7982),(45 622.7077),(46 628.79065),(47 628.3181),(48 632.1547),(49 626.79065),(50 638.7049),(51 640.1937),(52 639.31213),(53 626.43317),(54 624.8406),(55 623.66583),(56 625.4727),(57 629.66034),(58 622.0243),(59 621.79236),(60 620.42413),(61 627.7248),(62 610.0777),(63 612.14526),(64 601.86444),(65 599.3219),(66 600.7829),(67 597.71594),(68 596.28937),(69 601.79266),(70 600.8236),(71 603.4491),(72 602.53235),(73 598.9088),(74 591.9445),(75 590.76917),(76 594.9164),(77 594.7375),(78 607.74567),(79 601.99854),
(1 268.86832),(2 355.82156),(3 395.50253),(4 430.98553),(5 457.93893),(6 473.21472),(7 485.33823),(8 503.98288),(9 515.9666),(10 527.324),(11 546.62274),(12 555.0135),(13 556.8376),(14 565.4443),(15 570.61975),(16 573.12195),(17 582.4704),(18 587.70123),(19 581.6929),(20 582.3434),(21 583.453),(22 592.8612),(23 590.22736),(24 589.54865),(25 591.0471),(26 587.367),(27 595.74786),(28 591.8343),(29 594.6485),(30 602.25366),(31 601.0509),(32 602.69165),(33 603.4537),(34 601.3751),(35 605.965),(36 607.4776),(37 598.2051),(38 602.1681),(39 606.6338),(40 609.5984),(41 613.07025),(42 619.62146),(43 620.23206),(44 618.17957),(45 619.1744),(46 620.6104),(47 617.54364),(48 619.5458),(49 619.9172),(50 622.81915),(51 631.4465),(52 628.08844),(53 624.2564),(54 626.5029),(55 619.0492),(56 617.0043),(57 615.5981),(58 614.7006),(59 613.9455),(60 616.8312),(61 620.7987),(62 615.3336),(63 618.15784),(64 616.50665),(65 611.3101),(66 609.23193),(67 613.76746),(68 605.04144),(69 603.7685),(70 603.50195),(71 600.4988),(72 603.06177),(73 602.6721),(74 599.8874),(75 604.33514),(76 607.46625),(77 605.89905),(78 617.00134),(79 610.8656),
(1 266.86053),(2 350.684),(3 404.38193),(4 434.87503),(5 457.86),(6 469.46286),(7 481.35706),(8 498.38138),(9 513.5828),(10 523.9009),(11 536.93616),(12 548.4891),(13 559.40686),(14 567.81525),(15 578.8716),(16 582.2514),(17 581.6463),(18 585.5439),(19 584.4169),(20 581.54236),(21 586.33716),(22 591.18756),(23 593.7843),(24 592.0952),(25 589.8851),(26 590.49994),(27 592.303),(28 589.5249),(29 594.1533),(30 604.32404),(31 598.9638),(32 599.71063),(33 602.50024),(34 598.1185),(35 603.20544),(36 609.94415),(37 606.5611),(38 614.651),(39 619.83234),(40 628.49585),(41 628.67444),(42 630.6787),(43 637.1916),(44 636.0573),(45 631.9921),(46 631.3145),(47 629.3824),(48 628.2382),(49 634.0605),(50 627.4633),(51 623.7956),(52 626.556),(53 630.13153),(54 631.9338),(55 626.1744),(56 624.11957),(57 617.2156),(58 614.4541),(59 613.9151),(60 617.44366),(61 607.29663),(62 602.5543),(63 608.75635),(64 606.4928),(65 601.4471),(66 600.964),(67 602.16113),(68 592.0629),(69 591.05396),(70 588.70404),(71 581.58716),(72 587.19244),(73 591.0477),(74 587.69995),(75 592.85767),(76 598.10675),(77 599.5948),(78 600.78436),(79 596.9779),
(1 259.26645),(2 347.25388),(3 398.0965),(4 429.5073),(5 457.2284),(6 471.82175),(7 485.21344),(8 494.65442),(9 509.16037),(10 516.8462),(11 528.37695),(12 539.3649),(13 551.12195),(14 556.3448),(15 556.5469),(16 557.37714),(17 557.6753),(18 559.2961),(19 569.6682),(20 563.2745),(21 562.80194),(22 563.605),(23 570.24347),(24 573.26196),(25 579.0111),(26 581.6852),(27 584.4567),(28 577.3831),(29 574.6633),(30 579.67975),(31 581.4878),(32 583.53235),(33 589.7879),(34 582.90576),(35 593.1611),(36 596.8963),(37 604.17957),(38 601.77594),(39 612.45636),(40 616.01794),(41 618.03827),(42 612.9915),(43 617.8144),(44 617.7738),(45 622.90204),(46 625.5263),(47 623.8248),(48 620.6125),(49 617.18536),(50 620.10004),(51 622.5138),(52 623.8016),(53 627.3795),(54 618.27765),(55 623.2372),(56 614.5031),(57 611.6078),(58 612.70386),(59 609.8728),(60 609.4454),(61 601.0512),(62 601.07794),(63 604.74634),(64 607.2667),(65 606.7582),(66 610.7144),(67 601.564),(68 591.4196),(69 588.6804),(70 588.67566),(71 590.3303),(72 591.9494),(73 600.87555),(74 594.7824),(75 600.69324),(76 590.57385),(77 585.8186),(78 592.7456),(79 591.75397),
(1 256.72516),(2 341.3464),(3 388.8331),(4 419.99405),(5 446.6515),(6 459.09848),(7 476.8272),(8 496.08444),(9 503.68936),(10 509.381),(11 511.3394),(12 517.8144),(13 527.3705),(14 530.6365),(15 533.50256),(16 532.7036),(17 531.01306),(18 531.67206),(19 527.68),(20 535.4539),(21 534.87866),(22 543.2142),(23 547.42615),(24 545.98315),(25 552.61755),(26 556.4458),(27 551.8618),(28 551.8603),(29 552.1218),(30 557.0726),(31 565.8092),(32 566.7129),(33 570.92365),(34 573.3092),(35 576.0708),(36 578.122),(37 582.31805),(38 587.5011),(39 592.6208),(40 594.07465),(41 596.671),(42 594.30084),(43 599.05096),(44 606.31775),(45 604.4489),(46 604.9382),(47 605.64307),(48 609.3029),(49 606.82623),(50 615.5285),(51 611.39874),(52 607.08344),(53 606.8734),(54 608.075),(55 602.937),(56 595.9373),(57 593.2526),(58 591.0528),(59 592.1321),(60 591.4276),(61 590.0079),(62 584.833),(63 588.8829),(64 592.4489),(65 589.1518),(66 587.52295),(67 578.49304),(68 575.6311),(69 568.22754),(70 576.84076),(71 573.63055),(72 575.25555),(73 578.49146),(74 572.1056),(75 570.08264),(76 569.43774),(77 570.892),(78 570.21124),(79 574.2588),
