1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 71872.94),(2 201894.63),(3 399591.5),(4 617583.3),(5 865222.25),(6 1125526.1),(7 1405236.5),(8 1699198.6),(9 2018341.4),(10 2353807.3),(11 2715349.3),(12 3092166),(13 3477120),(14 3829288.8),(15 4127780),(16 4435180.5),(17 4705360.5),(18 4999050.5),(19 5306492.5),(20 5633370.5),(21 5940004.5),(22 6252483.5),(23 6567780.5),(24 6853701.5),(25 7168338.5),(26 7446158.5),(27 7793746),(28 8104359.5),(29 8430867),(30 8687978),(31 8959927),(32 9185623),(33 9409381),(34 9615467),(35 9829779),(36 10093895),(37 10441825),(38 10792473),(39 11172001),(40 11460640),(41 11734992),(42 11990625),(43 12176603),(44 12351679),(45 12521741),(46 12723756),(47 12916164),(48 13068796),(49 13267841),(50 13406455),(51 13633309),(52 13829569),(53 14136412),(54 14461705),(55 14750312),(56 14990591),(57 15183360),(58 15333957),(59 15516117),(60 15642045),(61 15651056),(62 15624676),(63 15594133),(64 15509131),(65 15463392),(66 15518143),(67 15495068),(68 15468277),(69 15526235),(70 15581939),(71 15644776),(72 15636963),(73 15588997),(74 15457444),(75 15275781),(76 15184432),(77 15020369),(78 14913921),(79 14900805),
(1 3907.0676),(2 5652.166),(3 6651.427),(4 7197.363),(5 7528.4063),(6 7558.951),(7 7625.092),(8 7552.935),(9 7723.469),(10 7704.7393),(11 7900.6055),(12 7798.4263),(13 7851.2554),(14 7812.327),(15 8072.7373),(16 7996.961),(17 8075.15),(18 7968.1006),(19 8042.698),(20 7954.341),(21 8026.7827),(22 7950.9355),(23 7983.946),(24 7953.0596),(25 7699.827),(26 7681.8135),(27 7885.675),(28 8016.7773),(29 7989.9927),(30 8057.748),(31 7901.9893),(32 7959.605),(33 7873.1914),(34 7847.2427),(35 7762.952),(36 7669.6),(37 7624.73),(38 7699.09),(39 7844.003),(40 8038.518),(41 8107.2104),(42 8181.841),(43 8086.718),(44 8013.7764),(45 7981.626),(46 8087.15),(47 8133.404),(48 8195.984),(49 8268.62),(50 8159.5474),(51 8246.583),(52 8133.2207),(53 8215.6455),(54 8135.2603),(55 7953.951),(56 7855.29),(57 7951.788),(58 7923.763),(59 7993.823),(60 7975.482),(61 7995.0234),(62 7993.0884),(63 8120.435),(64 8042.7837),(65 8182.838),(66 7870.6265),(67 7927.098),(68 8043.1157),(69 8137.4775),(70 8110.054),(71 8221.513),(72 8135.9917),(73 8073.0127),(74 7938.007),(75 7867.695),(76 7928.1724),(77 7982.4634),(78 7987.993),(79 7949.093),
(1 3745.0808),(2 5425.371),(3 6417.3174),(4 6899.2),(5 7123.5347),(6 7277.8325),(7 7331.3745),(8 7396.526),(9 7438.9546),(10 7498.89),(11 7643.06),(12 7507.0835),(13 7562.0107),(14 7480.1475),(15 7723.829),(16 7718.0845),(17 7766.861),(18 7720.0635),(19 7741.016),(20 7630.076),(21 7494.426),(22 7378.96),(23 7508.112),(24 7505.195),(25 7388.4683),(26 7416.939),(27 7552.711),(28 7569.3555),(29 7618.745),(30 7539.6753),(31 7497.831),(32 7635.7246),(33 7422.9023),(34 7441.958),(35 7427.141),(36 7421.737),(37 7335.213),(38 7416.9155),(39 7425.3945),(40 7499.21),(41 7452.997),(42 7656.378),(43 7706.166),(44 7625.994),(45 7532.348),(46 7622.041),(47 7555.2354),(48 7600.4214),(49 7635.4414),(50 7597.0415),(51 7700.8936),(52 7555.9204),(53 7528.6987),(54 7586.2163),(55 7517.408),(56 7606.647),(57 7675.827),(58 7588.5356),(59 7643.4946),(60 7589.542),(61 7650.0464),(62 7530.4756),(63 7565.818),(64 7519.719),(65 7569.1147),(66 7442.1924),(67 7687.9805),(68 7727.198),(69 7841.0156),(70 7666.2935),(71 7692.713),(72 7633.4727),(73 7583.881),(74 7696.5747),(75 7693.921),(76 7776.2974),(77 7824.5747),(78 7961.871),(79 7884.5786),
(1 3628.5557),(2 5106.374),(3 5952.926),(4 6341.8647),(5 6618.0645),(6 6628.338),(7 6744.241),(8 6783.125),(9 6873.4424),(10 6846.726),(11 7022.684),(12 6958.2983),(13 7078.104),(14 7162.7886),(15 7162.3022),(16 7092.8027),(17 7215.1636),(18 7117.7305),(19 7325.928),(20 7166.6377),(21 7062.4214),(22 7027.425),(23 7101.769),(24 7143.885),(25 7196.631),(26 7341.1133),(27 7350.3516),(28 7389.7373),(29 7342.7095),(30 7114.7456),(31 7041.5127),(32 7153.025),(33 7126.253),(34 7216.992),(35 7144.1255),(36 7096.273),(37 7151.75),(38 7346.33),(39 7388.0796),(40 7400.697),(41 7386.482),(42 7602.9937),(43 7443.7373),(44 7420.8867),(45 7429.8877),(46 7375.186),(47 7355.327),(48 7429.724),(49 7478.1753),(50 7522.4556),(51 7529.5215),(52 7516.0537),(53 7612.536),(54 7335.407),(55 7309.7383),(56 7417.812),(57 7352.3667),(58 7392.2373),(59 7394.899),(60 7291.3667),(61 7140.4385),(62 7054.292),(63 7160.9185),(64 7086.3228),(65 7157.194),(66 7060.1543),(67 7041.8438),(68 7072.2896),(69 7147.543),(70 7099.6133),(71 7126.144),(72 7094.7017),(73 6968.8315),(74 6959.4746),(75 7108.4326),(76 7276.2246),(77 7260.9956),(78 7180.5044),(79 7042.245),
(1 3400.498),(2 4744.3535),(3 5608.726),(4 5917.6855),(5 6224.001),(6 6309.431),(7 6447.4653),(8 6598.4385),(9 6624.782),(10 6681.336),(11 6784.712),(12 6712.059),(13 6725.1313),(14 6749.8403),(15 6884.4214),(16 6855.7256),(17 6881.519),(18 6806.224),(19 6817.3594),(20 6838.8096),(21 6800.1597),(22 6717.4834),(23 6759.114),(24 6676.285),(25 6616.1157),(26 6761.002),(27 6815.097),(28 6923.7607),(29 6837.105),(30 6833.592),(31 6655.441),(32 6744.779),(33 6584.915),(34 6712.1807),(35 6697.789),(36 6748.0557),(37 6665.419),(38 6693.1904),(39 6664.8184),(40 6781.8022),(41 6845.8965),(42 6869.0615),(43 6822.798),(44 6889.496),(45 6758.258),(46 6745.443),(47 6736.221),(48 6722.097),(49 6876.84),(50 6775.054),(51 6756.607),(52 6680.755),(53 6730.482),(54 6555.632),(55 6504.7847),(56 6497.0815),(57 6509.6553),(58 6569.515),(59 6629.3447),(60 6630.6045),(61 6672.5),(62 6593.2607),(63 6724.1104),(64 6620.7295),(65 6622.751),(66 6628.057),(67 6672.994),(68 6544.2686),(69 6620.383),(70 6561.7593),(71 6607.712),(72 6579.504),(73 6582.366),(74 6717.5864),(75 6682.534),(76 6752.3384),(77 6792.5957),(78 6729.088),(79 6589.3804),
(1 3267.1846),(2 4631.9883),(3 5485.7085),(4 5865.74),(5 6161.513),(6 6237.93),(7 6347.5015),(8 6362.49),(9 6548.3765),(10 6520.3247),(11 6516.8745),(12 6438.7744),(13 6497.189),(14 6446.784),(15 6562.334),(16 6655.053),(17 6642.8145),(18 6595.718),(19 6568.753),(20 6412.7344),(21 6582.6465),(22 6485.8823),(23 6489.919),(24 6524.5933),(25 6445.3604),(26 6519.2056),(27 6535.9175),(28 6614.224),(29 6535.309),(30 6437.0415),(31 6355.0244),(32 6444.642),(33 6471.558),(34 6543.371),(35 6413.392),(36 6417.345),(37 6350.919),(38 6354.3164),(39 6379.3643),(40 6355.301),(41 6339.6113),(42 6351.5386),(43 6297.8965),(44 6357.591),(45 6246.786),(46 6435.738),(47 6522.6675),(48 6511.567),(49 6624.0693),(50 6601.9033),(51 6612.1616),(52 6437.9),(53 6443.425),(54 6284.4595),(55 6163.2305),(56 6178.177),(57 6373.5576),(58 6421.2583),(59 6372.4106),(60 6349.9727),(61 6346.581),(62 6314.9087),(63 6467.802),(64 6391.499),(65 6384.364),(66 6361.1016),(67 6459.0747),(68 6461.08),(69 6511.2056),(70 6431.4575),(71 6498.326),(72 6485.447),(73 6533.4614),(74 6656.749),(75 6601.318),(76 6746.9937),(77 6678.558),(78 6529.591),(79 6498.198),
(1 3181.059),(2 4485.1255),(3 5338.166),(4 5663.8516),(5 5919.6826),(6 6055.114),(7 6117.397),(8 6149.6104),(9 6332.33),(10 6425.6826),(11 6264.2217),(12 6181.642),(13 6236.701),(14 6285.233),(15 6357.9106),(16 6374.3203),(17 6405.0415),(18 6396.9463),(19 6365.0776),(20 6230.0386),(21 6159.9272),(22 6265.8833),(23 6217.468),(24 6150.5103),(25 6040.3613),(26 6086.2896),(27 6149.8945),(28 6256.5063),(29 6291.7827),(30 6264.905),(31 6175.828),(32 6162.9155),(33 6197.3896),(34 6253.7144),(35 6324.688),(36 6409.856),(37 6286.9844),(38 6159.4424),(39 6177.093),(40 6228.2036),(41 6214.488),(42 6249.437),(43 6262.578),(44 6393.627),(45 6353.517),(46 6510.2705),(47 6427.958),(48 6420.529),(49 6474.9165),(50 6361.963),(51 6452.616),(52 6290.849),(53 6247.505),(54 6188.247),(55 6134.317),(56 6025.226),(57 6026.784),(58 6074.065),(59 6013.5894),(60 5963.307),(61 5979.989),(62 6040.9814),(63 6137.8716),(64 6066.949),(65 6109.501),(66 6092.585),(67 6137.718),(68 6085.2954),(69 6099.9937),(70 6069.505),(71 6131.178),(72 6117.7324),(73 6169.8247),(74 6199.3135),(75 6210.8086),(76 6231.9644),(77 6208.0786),(78 6169.822),(79 6184.861),
(1 3132.3403),(2 4387.6973),(3 5171.463),(4 5546.388),(5 5763.8774),(6 5943.851),(7 6013),(8 6152.854),(9 6126.7754),(10 6162.5684),(11 5956.172),(12 5869.6646),(13 6001.508),(14 6068.4487),(15 6189.2983),(16 6228.114),(17 6295.701),(18 6148.8545),(19 6222.253),(20 5994.983),(21 5873.001),(22 5829.8267),(23 6043.056),(24 5990.9854),(25 5880.819),(26 6064.241),(27 6068.379),(28 6124.8354),(29 5968.813),(30 5981.5557),(31 5904.971),(32 5944.6484),(33 6039.6953),(34 6087.149),(35 6012.7554),(36 6029.334),(37 5994.161),(38 5972.0327),(39 6005.1113),(40 5975.18),(41 5964.2124),(42 5994.461),(43 6044.352),(44 6100.654),(45 6138.1797),(46 6217.416),(47 6138.0493),(48 6125.751),(49 6179.3945),(50 6186.3774),(51 6252.7295),(52 6139.089),(53 6170.1),(54 6099.5957),(55 5961.328),(56 5898.97),(57 5938.7827),(58 5891.4624),(59 5901.936),(60 5917.772),(61 5970.781),(62 5869.9907),(63 5917.915),(64 5898.4463),(65 5932.4634),(66 6056.0923),(67 6107.6616),(68 6036.5186),(69 5988.1763),(70 5953.2495),(71 5936.3145),(72 5954.2856),(73 6049.9434),(74 6122.1484),(75 6024.8203),(76 6066.9434),(77 6165.253),(78 6106.121),(79 6088.2876),
(1 2878.0046),(2 4002.542),(3 4782.248),(4 5176.2163),(5 5537.334),(6 5570.8413),(7 5705.642),(8 5755.389),(9 5742.747),(10 5803.772),(11 5805.828),(12 5766.206),(13 5813.354),(14 5700.538),(15 5755.6763),(16 5762.3364),(17 5789.936),(18 5709.3164),(19 5753.3237),(20 5543.7163),(21 5628.1787),(22 5675.235),(23 5797.627),(24 5782.3354),(25 5749.6646),(26 5807.173),(27 5699.6646),(28 5751.69),(29 5736.0005),(30 5754.857),(31 5724.759),(32 5680.769),(33 5715.2515),(34 5775.999),(35 5709.5796),(36 5717.949),(37 5679.444),(38 5753.415),(39 5763.945),(40 5706.122),(41 5708.3535),(42 5639.847),(43 5732.792),(44 5732.1245),(45 5771.892),(46 5880.607),(47 5848.2295),(48 5870.093),(49 5934.0347),(50 5931.2944),(51 5924.857),(52 5833.8545),(53 5827.442),(54 5841.512),(55 5782.201),(56 5762.4897),(57 5812.745),(58 5848.843),(59 5900.789),(60 5882.2495),(61 5848.6016),(62 5726.163),(63 5727.4336),(64 5648.4453),(65 5640.9844),(66 5559.7295),(67 5612.671),(68 5567.614),(69 5592.5405),(70 5574.525),(71 5600.1787),(72 5593.6455),(73 5650.694),(74 5714.7715),(75 5687.6357),(76 5784.2383),(77 5857.7964),(78 5818.2397),(79 5739.6016),
(1 2735.998),(2 3659.858),(3 4369.4116),(4 4747.575),(5 4991.8257),(6 5028.346),(7 5084.353),(8 5160.9634),(9 5249.481),(10 5226.5776),(11 5393.2095),(12 5334.9546),(13 5343.089),(14 5326.3555),(15 5377.496),(16 5352.5303),(17 5406.518),(18 5384.5376),(19 5243.4004),(20 5184.3394),(21 5259.3833),(22 5269.116),(23 5446.631),(24 5395.528),(25 5341.569),(26 5417.552),(27 5402.5015),(28 5446.9814),(29 5409.912),(30 5471.3257),(31 5456.717),(32 5484.4795),(33 5486.2246),(34 5454.499),(35 5436.642),(36 5411.6304),(37 5355.2227),(38 5322.787),(39 5246.7456),(40 5217.739),(41 5197.801),(42 5306.7764),(43 5309.1396),(44 5233.4946),(45 5242.784),(46 5341.9146),(47 5348.7905),(48 5321.134),(49 5310.181),(50 5300.4775),(51 5313.715),(52 5311.4546),(53 5324.718),(54 5326.3066),(55 5236.099),(56 5277.34),(57 5303.1714),(58 5268.902),(59 5178.457),(60 5167.5483),(61 5154.737),(62 5140.9604),(63 5116.8096),(64 5125.737),(65 5186.647),(66 5146.733),(67 5192.8633),(68 5131.216),(69 5196.778),(70 5150.7188),(71 5183.1987),(72 5155.4155),(73 5163.3643),(74 5283.503),(75 5290.1855),(76 5378.3965),(77 5356.3),(78 5407.845),(79 5281.4575),
(1 2688.523),(2 3741.207),(3 4518.938),(4 4840.9287),(5 4982.352),(6 5132.5693),(7 5189.1245),(8 5189.956),(9 5207.253),(10 5170.537),(11 5298.6),(12 5225.2617),(13 5258.637),(14 5380.5107),(15 5419.576),(16 5363.8613),(17 5304.36),(18 5243.415),(19 5224.3584),(20 5152.747),(21 5182.106),(22 5175.3584),(23 5164.291),(24 5215.7803),(25 5248.386),(26 5399.3984),(27 5426.053),(28 5391.71),(29 5293.905),(30 5405.436),(31 5348.457),(32 5298.831),(33 5344.553),(34 5384.581),(35 5311.0796),(36 5350.62),(37 5272.7476),(38 5209.209),(39 5194.063),(40 5131.781),(41 5085.2705),(42 5183.9746),(43 5207.41),(44 5259.7485),(45 5307.66),(46 5296.3257),(47 5176.3687),(48 5130.4),(49 5189.4204),(50 5171.0566),(51 5230.6914),(52 5112.602),(53 5093.4175),(54 5054.9004),(55 5070.202),(56 5073.9507),(57 5132.7095),(58 5170.3447),(59 5192.1685),(60 5225.539),(61 5198.2593),(62 5124.7666),(63 5207.1206),(64 5183.0625),(65 5264.245),(66 5329.136),(67 5365.0737),(68 5274.376),(69 5297.4043),(70 5239.2124),(71 5189.4033),(72 5124.7344),(73 5096.211),(74 5205.388),(75 5202.7764),(76 5258.03),(77 5181.7593),(78 5233.2544),(79 5221.918),
(1 2506.73),(2 3517.3315),(3 4101.537),(4 4340.778),(5 4610.9014),(6 4660.3433),(7 4687.882),(8 4821.1436),(9 4835.649),(10 4836.176),(11 4937.763),(12 4749.4717),(13 4874.4497),(14 4947.0474),(15 5007.5684),(16 4995.977),(17 5004.7256),(18 4960.581),(19 4914.837),(20 4840.1006),(21 4950.155),(22 4992.8994),(23 4988.4277),(24 4903.7046),(25 4841.612),(26 4876.71),(27 4958.9243),(28 4990.1997),(29 5049.7856),(30 5074.787),(31 5036.1567),(32 5040.4214),(33 4990.474),(34 4921.8384),(35 4891.712),(36 4912.6357),(37 4855.754),(38 4907.264),(39 4880.9443),(40 4968.709),(41 4920.0396),(42 4880.0283),(43 4894.8413),(44 4990.483),(45 4896.3916),(46 4974.156),(47 4861.178),(48 4880.4673),(49 4894.511),(50 4886.122),(51 4978.988),(52 4915.1685),(53 4928.766),(54 4868.572),(55 4858.7427),(56 4809.477),(57 4868.3496),(58 4913.658),(59 4914.906),(60 4853.2417),(61 4923.3677),(62 4895.79),(63 4987.133),(64 4880.657),(65 4936.9917),(66 4930.0957),(67 4846.7954),(68 4792.0493),(69 4911.0137),(70 4892.508),(71 4892.072),(72 4905.747),(73 4885.548),(74 5017.2744),(75 4993.639),(76 5020.3467),(77 4972.13),(78 5011.916),(79 4957.9214),
(1 2437.7751),(2 3396.0798),(3 3960.3948),(4 4203.1753),(5 4369.605),(6 4458.989),(7 4561.089),(8 4574.861),(9 4544.9575),(10 4521.1245),(11 4600.4395),(12 4491.2505),(13 4638.8765),(14 4691.344),(15 4860.9336),(16 4808.7407),(17 4834.696),(18 4809.3),(19 4753.3975),(20 4680.2075),(21 4765.923),(22 4810.7573),(23 4904.8984),(24 4924.417),(25 4902.0923),(26 4906.0493),(27 4918.896),(28 4992.32),(29 4875.2427),(30 4862.541),(31 4849.8335),(32 4854.8906),(33 4823.9146),(34 4819.705),(35 4672.4307),(36 4611.4897),(37 4557.8037),(38 4601.331),(39 4606.3403),(40 4671.7886),(41 4670.6143),(42 4691.295),(43 4714.0225),(44 4758.619),(45 4725.5254),(46 4742.8467),(47 4764.183),(48 4770.182),(49 4806.8975),(50 4798.513),(51 4828.3965),(52 4685.762),(53 4736.5234),(54 4692.4805),(55 4699.4326),(56 4627.3535),(57 4755.0986),(58 4701.5596),(59 4720.9253),(60 4690.6636),(61 4669.5347),(62 4668.111),(63 4674.411),(64 4604.7046),(65 4686.0444),(66 4717.866),(67 4645.769),(68 4648.567),(69 4729.39),(70 4669.545),(71 4695.8975),(72 4758.9673),(73 4711.0093),(74 4800.936),(75 4836.5747),(76 4836.322),(77 4779.972),(78 4752.252),(79 4728.8906),
(1 2365.1084),(2 3282.55),(3 3818.057),(4 4023.0115),(5 4213.565),(6 4213.1064),(7 4297.1733),(8 4372.3564),(9 4526.7363),(10 4472.389),(11 4474.0776),(12 4349.051),(13 4495.7974),(14 4506.285),(15 4645.5215),(16 4621.7915),(17 4605.5386),(18 4575.406),(19 4509.0483),(20 4424.8325),(21 4484.6494),(22 4456.5747),(23 4543.2),(24 4563.2017),(25 4565.476),(26 4603.996),(27 4596.6953),(28 4576.1772),(29 4524.981),(30 4524.934),(31 4397.0215),(32 4449.332),(33 4464.5024),(34 4470.0835),(35 4429.4463),(36 4370.2627),(37 4409.797),(38 4457.697),(39 4400.0103),(40 4398.504),(41 4378.8867),(42 4464.673),(43 4376.432),(44 4466.753),(45 4455.639),(46 4528.366),(47 4530.541),(48 4550.694),(49 4518.4355),(50 4503.9604),(51 4505.908),(52 4453.6743),(53 4483.3086),(54 4467.4697),(55 4479.8345),(56 4511.31),(57 4570.0513),(58 4513.339),(59 4499.9683),(60 4450.8696),(61 4470.6016),(62 4398.122),(63 4510.7036),(64 4420.403),(65 4514.1284),(66 4455.853),(67 4491.647),(68 4535.9814),(69 4487.717),(70 4476.3276),(71 4556.4985),(72 4588.8),(73 4593.503),(74 4534.7974),(75 4567.6763),(76 4625.362),(77 4542.718),(78 4539.088),(79 4468.936),
(1 2244.3706),(2 3132.2952),(3 3618.8628),(4 3852.3271),(5 4054.6306),(6 4103.242),(7 4102.748),(8 4210.4956),(9 4304.343),(10 4264.5176),(11 4227.3306),(12 4218.5693),(13 4238.799),(14 4235.3247),(15 4268.1436),(16 4312.1416),(17 4330.3535),(18 4272.02),(19 4224.3906),(20 4196.343),(21 4270.115),(22 4190.9214),(23 4185.1426),(24 4171.323),(25 4230.0967),(26 4207.3716),(27 4231.783),(28 4250.683),(29 4189.8096),(30 4217.467),(31 4142.4326),(32 4282.7163),(33 4236.788),(34 4358.1475),(35 4261.8003),(36 4303.937),(37 4249.6255),(38 4258.149),(39 4258.1943),(40 4269.001),(41 4202.43),(42 4227.752),(43 4301.404),(44 4339.2544),(45 4302.1533),(46 4395.729),(47 4301.2915),(48 4347.543),(49 4277.0684),(50 4207.626),(51 4292.1113),(52 4267.632),(53 4298.0967),(54 4250.006),(55 4295.3657),(56 4279.5605),(57 4381.6855),(58 4350.325),(59 4409.945),(60 4320.382),(61 4332.2417),(62 4295.371),(63 4348.592),(64 4245.9414),(65 4293.5454),(66 4189.5386),(67 4287.2793),(68 4242.031),(69 4284.045),(70 4327.3364),(71 4373.318),(72 4385.773),(73 4347.284),(74 4343.111),(75 4294.629),(76 4343.9814),(77 4317.5938),(78 4298.5767),(79 4258.08),
(1 2183.4692),(2 2997.6426),(3 3512.0862),(4 3767.1875),(5 3963.1975),(6 3973.3384),(7 4003.7346),(8 4055.4155),(9 4138.329),(10 4100.2803),(11 4164.4443),(12 4094.316),(13 4039.4253),(14 4046.47),(15 4178.0835),(16 4149.103),(17 4096.114),(18 4079.7227),(19 4112.156),(20 3987.5537),(21 4038.7542),(22 3952.4985),(23 4031.0593),(24 4054.6797),(25 4071.6125),(26 4129.194),(27 4111.292),(28 4205.8496),(29 4156.211),(30 4207.724),(31 4130.5317),(32 4111.212),(33 4162.4487),(34 4222.119),(35 4188.299),(36 4155.8423),(37 4088.2266),(38 4119.532),(39 4171.3965),(40 4125.618),(41 4054.1191),(42 4083.9846),(43 4154.4785),(44 4214.791),(45 4243.97),(46 4315.819),(47 4285.076),(48 4306.093),(49 4335.188),(50 4252.02),(51 4225.859),(52 4203.23),(53 4244.7017),(54 4230.321),(55 4227.322),(56 4165.974),(57 4190.5313),(58 4196.6904),(59 4255.5146),(60 4220.8755),(61 4239.8555),(62 4249.2495),(63 4267.3203),(64 4144.1216),(65 4180.0576),(66 4179.6104),(67 4286.0557),(68 4305.29),(69 4259.1616),(70 4184.6104),(71 4230.3584),(72 4240.763),(73 4202.4175),(74 4235.405),(75 4184.713),(76 4226.308),(77 4279.8447),(78 4287.765),(79 4228.5234),
(1 2077.6704),(2 2847.9211),(3 3354.5476),(4 3516.3716),(5 3674.9255),(6 3666.7124),(7 3734.6692),(8 3771.4712),(9 3862.6086),(10 3847.0713),(11 3878.6055),(12 3895.804),(13 3939.1963),(14 3842.1682),(15 3850.811),(16 3774.441),(17 3748.422),(18 3750.9644),(19 3733.8462),(20 3711.3367),(21 3819.6338),(22 3784.5247),(23 3779.4949),(24 3805.887),(25 3772.5242),(26 3854.1768),(27 3873.5137),(28 3928.3364),(29 3927.1345),(30 3932.651),(31 3895.8994),(32 3897.0137),(33 3880.599),(34 3931.095),(35 3930.6162),(36 3953.692),(37 3937.377),(38 3946.2932),(39 3877.2834),(40 3870.5017),(41 3874.4817),(42 3905.0952),(43 3862.9495),(44 3959.95),(45 3949.6096),(46 3993.856),(47 3980.9553),(48 3982.278),(49 3989.248),(50 3871.2153),(51 3934.9758),(52 3888.5583),(53 3957.364),(54 3972.1333),(55 3938.1035),(56 3855.3418),(57 3918.2073),(58 3927.8015),(59 3952.9155),(60 3884.8997),(61 3876.1575),(62 3914.5576),(63 3933.6362),(64 3858.1973),(65 3893.0698),(66 3879.971),(67 3893.693),(68 3834.257),(69 3845.1245),(70 3810.378),(71 3842.8743),(72 3813.249),(73 3822.3276),(74 3861.623),(75 3842.527),(76 3892.8997),(77 3878.9275),(78 3919.75),(79 3846.4692),
