1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 466.9905),(2 619.80505),(3 693.19696),(4 732.94),(5 759.3012),(6 776.24585),(7 789.08356),(8 821.26764),(9 812.63135),(10 824.83984),(11 851.0831),(12 849.7036),(13 875.2619),(14 875.519),(15 885.30304),(16 887.482),(17 871.1732),(18 873.248),(19 892.60455),(20 896.3998),(21 907.02155),(22 911.9775),(23 906.4544),(24 910.6383),(25 893.1586),(26 893.1479),(27 919.62427),(28 903.97253),(29 909.15265),(30 893.5131),(31 895.4521),(32 909.2439),(33 893.267),(34 883.0777),(35 903.7411),(36 886.77563),(37 896.6134),(38 874.88806),(39 869.51),(40 885.5198),(41 868.4754),(42 881.1795),(43 883.75745),(44 874.6112),(45 889.4203),(46 891.8447),(47 903.87537),(48 906.7709),(49 910.93524),(50 915.5429),(51 912.2814),(52 917.94666),(53 932.97076),(54 930.37213),(55 921.05426),(56 924.2258),(57 911.2187),(58 893.91095),(59 932.9406),(60 926.69885),(61 930.1191),(62 939.44965),(63 930.4166),(64 935.8788),(65 926.69617),(66 916.1622),(67 932.8695),(68 933.6387),(69 947.5981),(70 957.85645),(71 941.973),(72 931.66815),(73 932.6911),(74 910.18866),(75 920.0331),(76 940.43866),(77 924.89105),(78 924.2973),(79 941.002),
(1 461.9858),(2 632.40405),(3 695.3534),(4 726.7302),(5 764.46497),(6 781.26294),(7 795.7809),(8 821.5178),(9 813.0269),(10 828.042),(11 862.9139),(12 851.1277),(13 876.8848),(14 871.955),(15 881.8248),(16 892.64044),(17 876.6664),(18 872.98914),(19 895.4033),(20 901.0897),(21 920.9562),(22 920.2187),(23 917.98895),(24 922.21124),(25 907.51056),(26 903.02203),(27 929.0529),(28 917.2498),(29 929.3573),(30 909.9132),(31 903.6234),(32 917.81744),(33 900.76483),(34 889.4833),(35 898.34204),(36 881.08276),(37 900.1535),(38 885.10333),(39 880.68445),(40 895.3563),(41 878.615),(42 873.53796),(43 868.67706),(44 878.26587),(45 893.58453),(46 888.4755),(47 905.49414),(48 911.3221),(49 902.1204),(50 900.745),(51 912.4551),(52 916.6433),(53 923.3047),(54 924.3237),(55 915.13525),(56 927.73596),(57 908.6302),(58 901.24316),(59 930.0461),(60 923.64496),(61 928.65045),(62 952.14044),(63 928.86273),(64 935.4742),(65 939.29535),(66 929.01135),(67 944.5803),(68 936.21655),(69 936.63403),(70 953.1981),(71 940.87445),(72 930.7254),(73 932.4936),(74 911.15344),(75 918.13025),(76 932.8154),(77 907.7205),(78 914.4252),(79 937.80634),
(1 458.57663),(2 621.2708),(3 683.9328),(4 714.10706),(5 745.3243),(6 766.5664),(7 780.9666),(8 801.1796),(9 809.16705),(10 818.41156),(11 841.08685),(12 840.28815),(13 859.1473),(14 851.8146),(15 869.2992),(16 878.09503),(17 876.1975),(18 865.89),(19 882.0526),(20 882.9416),(21 891.7353),(22 904.77234),(23 893.4914),(24 893.80414),(25 879.41736),(26 867.7759),(27 885.4037),(28 872.58844),(29 880.14307),(30 861.54486),(31 859.8801),(32 857.62354),(33 848.77875),(34 837.9302),(35 845.81506),(36 831.8414),(37 847.9683),(38 842.7921),(39 842.9937),(40 855.1211),(41 835.87146),(42 839.6276),(43 840.20654),(44 847.169),(45 868.5503),(46 869.1324),(47 887.3527),(48 877.7931),(49 879.8519),(50 875.3088),(51 887.3822),(52 900.68164),(53 907.71295),(54 906.7012),(55 902.39465),(56 908.60126),(57 897.9598),(58 904.3078),(59 926.5245),(60 906.65656),(61 908.23553),(62 918.8245),(63 901.19684),(64 905.989),(65 894.419),(66 891.55286),(67 908.7716),(68 890.03357),(69 891.18164),(70 906.24225),(71 898.0942),(72 904.87695),(73 897.84076),(74 873.74384),(75 885.63806),(76 900.957),(77 881.6435),(78 884.8218),(79 906.6875),
(1 453.45874),(2 613.35046),(3 678.75214),(4 712.60754),(5 741.1547),(6 760.2124),(7 775.898),(8 794.98425),(9 793.9893),(10 802.6157),(11 829.01117),(12 817.28796),(13 838.5544),(14 828.3002),(15 843.62354),(16 857.805),(17 859.1013),(18 861.63257),(19 873.7609),(20 875.29565),(21 885.59827),(22 897.6315),(23 888.6214),(24 887.1749),(25 884.6423),(26 879.29913),(27 892.1825),(28 882.1066),(29 893.03906),(30 876.4249),(31 876.6074),(32 868.1732),(33 856.97473),(34 849.37274),(35 857.9305),(36 842.652),(37 857.0795),(38 850.554),(39 843.355),(40 855.9371),(41 843.2543),(42 842.8534),(43 846.23),(44 854.635),(45 864.5381),(46 863.83875),(47 885.11505),(48 884.3776),(49 877.8499),(50 877.147),(51 880.4037),(52 897.5496),(53 916.88574),(54 909.72723),(55 900.2819),(56 908.89777),(57 891.36365),(58 887.50543),(59 916.8265),(60 905.9257),(61 908.2683),(62 920.7353),(63 907.8282),(64 910.7291),(65 900.78705),(66 907.15265),(67 928.9548),(68 911.88116),(69 911.8501),(70 925.1913),(71 921.9963),(72 913.3195),(73 926.4604),(74 897.59686),(75 894.2132),(76 904.8859),(77 891.2471),(78 893.5065),(79 906.8329),
(1 452.97714),(2 610.5376),(3 674.6995),(4 709.4645),(5 742.0699),(6 754.249),(7 774.51886),(8 793.46484),(9 808.6943),(10 808.3476),(11 819.44),(12 805.30676),(13 837.2017),(14 834.75714),(15 851.9405),(16 870.08124),(17 866.38477),(18 866.6496),(19 881.92725),(20 872.76465),(21 887.342),(22 894.492),(23 884.3227),(24 883.63635),(25 878.6584),(26 870.066),(27 890.3714),(28 879.60425),(29 891.68146),(30 871.1984),(31 868.1034),(32 874.15173),(33 866.5934),(34 856.3621),(35 859.91626),(36 842.4354),(37 864.6161),(38 855.8868),(39 845.81586),(40 863.4937),(41 859.70264),(42 855.75574),(43 866.554),(44 872.02106),(45 887.6013),(46 887.01184),(47 904.8001),(48 891.8618),(49 900.24475),(50 906.1423),(51 906.79266),(52 919.83636),(53 932.22217),(54 923.5597),(55 911.5206),(56 919.8883),(57 908.7391),(58 909.2456),(59 921.81366),(60 912.6258),(61 918.6566),(62 941.97815),(63 921.89777),(64 915.98944),(65 913.242),(66 900.2026),(67 929.461),(68 908.66327),(69 918.29596),(70 937.34766),(71 918.6019),(72 923.2329),(73 928.38477),(74 906.9208),(75 907.5057),(76 925.2994),(77 912.24475),(78 903.8318),(79 920.1047),
(1 437.547),(2 576.58844),(3 642.1019),(4 675.69025),(5 700.12427),(6 718.7003),(7 734.85736),(8 764.10736),(9 765.58374),(10 768.47375),(11 782.908),(12 780.2867),(13 801.0017),(14 803.4035),(15 807.6432),(16 826.77856),(17 819.72784),(18 814.29834),(19 830.98975),(20 832.87286),(21 853.3541),(22 858.59686),(23 854.0037),(24 858.8522),(25 849.66046),(26 840.6793),(27 867.9776),(28 844.8978),(29 852.2953),(30 836.9283),(31 843.1867),(32 848.5718),(33 838.9934),(34 832.04755),(35 849.1499),(36 833.2157),(37 841.24756),(38 829.13617),(39 828.92224),(40 839.66724),(41 826.6541),(42 824.532),(43 827.70245),(44 834.16583),(45 834.97736),(46 845.17065),(47 861.122),(48 865.6736),(49 858.3255),(50 859.9505),(51 852.15875),(52 857.7373),(53 861.15216),(54 860.2173),(55 856.7094),(56 867.4817),(57 860.3612),(58 852.4138),(59 877.4574),(60 871.8339),(61 878.37195),(62 885.5326),(63 874.2081),(64 881.32306),(65 867.98834),(66 858.42346),(67 877.7835),(68 859.40186),(69 864.479),(70 870.43915),(71 856.4284),(72 865.5853),(73 879.5241),(74 850.69617),(75 856.6288),(76 888.57544),(77 879.2954),(78 875.70404),(79 886.7599),
(1 447.32874),(2 599.2361),(3 667.9754),(4 705.71356),(5 734.6155),(6 757.43726),(7 765.6231),(8 792.136),(9 797.34094),(10 801.1702),(11 817.59454),(12 809.4783),(13 830.5626),(14 837.26996),(15 835.9183),(16 854.6538),(17 844.2149),(18 844.2451),(19 858.9304),(20 855.23035),(21 871.11725),(22 875.0793),(23 874.89056),(24 871.57697),(25 859.35284),(26 853.5894),(27 876.21216),(28 859.826),(29 860.2749),(30 848.92755),(31 848.75635),(32 856.73895),(33 837.63776),(34 833.30426),(35 857.5326),(36 838.15027),(37 846.3951),(38 836.4547),(39 841.7713),(40 845.02325),(41 835.67084),(42 844.60095),(43 844.66266),(44 854.68115),(45 864.0029),(46 858.6594),(47 878.5483),(48 872.7451),(49 871.62634),(50 879.7322),(51 863.59265),(52 869.71954),(53 897.98315),(54 886.6143),(55 891.6973),(56 894.95496),(57 889.7578),(58 896.5673),(59 920.4556),(60 906.8981),(61 898.1649),(62 901.8805),(63 890.3388),(64 904.23517),(65 895.9538),(66 876.8011),(67 892.3178),(68 883.28656),(69 886.60724),(70 890.2666),(71 883.42926),(72 883.2543),(73 894.64764),(74 873.5088),(75 865.519),(76 885.7333),(77 868.9606),(78 871.2447),(79 880.7328),
(1 432.2983),(2 573.67944),(3 641.8935),(4 676.32904),(5 705.9022),(6 714.76013),(7 735.8551),(8 752.8577),(9 745.453),(10 755.0801),(11 781.5122),(12 775.7117),(13 796.42267),(14 794.26447),(15 795.26526),(16 821.69836),(17 813.3625),(18 817.5902),(19 826.1533),(20 835.94336),(21 848.67535),(22 855.34735),(23 856.091),(24 854.6897),(25 839.9457),(26 826.09314),(27 849.9699),(28 833.7139),(29 839.8456),(30 825.07086),(31 826.8317),(32 827.91833),(33 804.9205),(34 802.0968),(35 817.0944),(36 813.86237),(37 821.8059),(38 805.7524),(39 819.15314),(40 827.9796),(41 813.50116),(42 811.7904),(43 808.0681),(44 810.66156),(45 821.96655),(46 809.8918),(47 841.2294),(48 831.48663),(49 835.656),(50 855.19745),(51 841.8176),(52 849.1251),(53 865.4306),(54 859.1899),(55 866.6209),(56 874.7097),(57 871.4805),(58 866.9508),(59 886.5438),(60 876.5492),(61 861.5135),(62 872.4794),(63 859.96735),(64 880.69135),(65 874.3382),(66 873.3038),(67 872.66284),(68 850.10034),(69 852.6465),(70 867.8144),(71 864.28265),(72 852.23914),(73 866.18207),(74 848.7491),(75 846.2817),(76 851.937),(77 829.4833),(78 833.7154),(79 854.6552),
(1 434.00183),(2 574.0227),(3 643.074),(4 669.9038),(5 697.54926),(6 706.5492),(7 718.28754),(8 737.76404),(9 742.05054),(10 758.60974),(11 785.0132),(12 780.2974),(13 790.6739),(14 790.64374),(15 790.24255),(16 806.21063),(17 805.00653),(18 810.1461),(19 819.42786),(20 820.3593),(21 834.09155),(22 827.27),(23 836.19104),(24 836.92804),(25 826.2699),(26 821.5112),(27 846.33765),(28 829.9747),(29 839.57794),(30 825.0463),(31 823.40674),(32 828.81445),(33 807.6318),(34 810.20276),(35 817.5782),(36 800.70276),(37 808.9133),(38 796.7729),(39 804.11804),(40 812.10596),(41 800.80347),(42 797.9364),(43 795.0142),(44 794.4865),(45 797.6935),(46 805.4451),(47 820.3521),(48 808.75244),(49 813.7889),(50 826.9513),(51 826.4398),(52 843.98206),(53 858.56964),(54 846.92865),(55 842.83673),(56 852.45544),(57 850.208),(58 850.4006),(59 881.8025),(60 863.5468),(61 869.99976),(62 888.22943),(63 875.815),(64 878.6492),(65 873.65247),(66 856.0643),(67 873.85284),(68 866.7053),(69 864.92175),(70 873.0524),(71 868.0149),(72 852.7571),(73 858.0773),(74 838.0205),(75 841.40436),(76 850.4793),(77 840.39496),(78 847.6906),(79 863.0677),
(1 420.8062),(2 561.2721),(3 634.2795),(4 656.64484),(5 690.27185),(6 693.3954),(7 715.406),(8 739.29834),(9 729.3409),(10 748.81757),(11 763.7036),(12 768.8803),(13 779.3052),(14 779.4417),(15 788.55853),(16 794.6768),(17 787.35657),(18 791.72504),(19 805.2693),(20 803.3877),(21 811.38605),(22 804.5949),(23 815.81903),(24 817.4284),(25 810.7154),(26 804.4708),(27 819.1994),(28 813.41846),(29 815.34143),(30 800.01056),(31 795.88666),(32 809.7965),(33 790.9523),(34 790.9008),(35 809.4372),(36 784.5404),(37 794.4344),(38 784.3813),(39 784.039),(40 786.2553),(41 768.89813),(42 762.6316),(43 763.95197),(44 772.1721),(45 791.2485),(46 798.9989),(47 811.12506),(48 800.5658),(49 804.93146),(50 817.6554),(51 811.48193),(52 831.2002),(53 845.9078),(54 836.1484),(55 842.23553),(56 852.208),(57 844.78754),(58 831.01624),(59 868.83044),(60 850.3328),(61 852.4993),(62 861.53314),(63 856.56024),(64 864.1484),(65 857.7042),(66 849.55554),(67 865.1173),(68 853.76263),(69 854.88525),(70 873.66895),(71 857.0089),(72 844.86005),(73 855.7626),(74 827.3424),(75 829.2833),(76 836.20526),(77 820.9596),(78 820.88654),(79 842.81616),
(1 411.74576),(2 546.8547),(3 609.5116),(4 642.45074),(5 667.9803),(6 684.327),(7 706.91455),(8 720.781),(9 711.31824),(10 724.51447),(11 756.9618),(12 744.88007),(13 749.80927),(14 752.8425),(15 753.70844),(16 776.29285),(17 772.44904),(18 771.9127),(19 787.7532),(20 783.02686),(21 793.019),(22 794.4873),(23 799.9323),(24 798.28906),(25 791.5253),(26 776.1591),(27 797.39026),(28 777.81287),(29 791.62866),(30 776.12994),(31 781.80005),(32 784.16486),(33 771.8684),(34 772.27295),(35 789.67334),(36 775.0548),(37 782.4719),(38 775.70105),(39 780.9125),(40 779.3061),(41 768.9136),(42 765.73425),(43 762.12836),(44 770.72595),(45 787.5964),(46 789.0157),(47 808.55334),(48 791.6566),(49 796.77264),(50 813.48834),(51 799.94934),(52 817.05554),(53 830.0279),(54 817.8435),(55 824.9861),(56 841.815),(57 833.5523),(58 824.86053),(59 843.07916),(60 827.8248),(61 826.1561),(62 844.9677),(63 830.0328),(64 852.5087),(65 844.073),(66 831.05835),(67 845.316),(68 836.43414),(69 845.5641),(70 856.4886),(71 840.4417),(72 831.8404),(73 838.2883),(74 817.8081),(75 821.88293),(76 836.3793),(77 823.00165),(78 817.91095),(79 840.7176),
(1 414.71463),(2 555.42303),(3 611.93),(4 647.3975),(5 675.4068),(6 692.096),(7 707.21936),(8 720.9063),(9 719.92896),(10 723.2094),(11 748.3768),(12 750.9044),(13 764.33344),(14 764.28503),(15 760.2342),(16 785.0147),(17 780.99207),(18 784.865),(19 799.8587),(20 795.23914),(21 800.3372),(22 795.95905),(23 793.7681),(24 790.9817),(25 789.9689),(26 778.9375),(27 792.2961),(28 784.78754),(29 779.6917),(30 769.6849),(31 770.1132),(32 770.98724),(33 754.2163),(34 756.4745),(35 780.3411),(36 763.209),(37 774.1677),(38 761.30316),(39 761.4728),(40 766.8334),(41 758.0222),(42 758.3292),(43 764.91986),(44 774.91254),(45 789.1283),(46 783.9945),(47 800.7763),(48 786.7937),(49 802.6139),(50 812.28754),(51 804.82666),(52 819.26654),(53 836.5984),(54 824.9152),(55 824.4774),(56 839.5292),(57 827.2574),(58 820.5733),(59 840.30725),(60 815.7761),(61 816.03906),(62 837.81915),(63 830.9797),(64 846.73553),(65 834.9498),(66 825.00555),(67 833.4337),(68 826.08936),(69 823.9358),(70 841.2182),(71 828.0148),(72 811.21136),(73 818.74115),(74 802.1983),(75 809.47534),(76 826.6613),(77 799.5369),(78 797.6305),(79 820.7556),
(1 406.0685),(2 539.8326),(3 598.3507),(4 627.4957),(5 659.9783),(6 663.1934),(7 682.7986),(8 699.0007),(9 699.3085),(10 713.9688),(11 730.3816),(12 723.0395),(13 745.4307),(14 743.1802),(15 740.3943),(16 755.9966),(17 756.125),(18 766.6329),(19 785.54517),(20 775.7821),(21 790.8372),(22 775.3901),(23 774.7323),(24 772.4447),(25 775.76996),(26 762.7815),(27 787.28253),(28 766.5995),(29 771.7078),(30 761.8996),(31 754.6817),(32 755.5817),(33 744.0257),(34 745.5514),(35 753.9088),(36 745.5281),(37 751.89923),(38 746.6886),(39 742.2311),(40 758.7843),(41 746.9783),(42 751.26953),(43 745.43787),(44 752.55164),(45 765.1488),(46 763.1546),(47 776.07495),(48 776.39026),(49 773.95215),(50 790.4199),(51 790.71454),(52 805.8306),(53 822.90125),(54 812.42316),(55 805.43854),(56 838.54333),(57 818.2946),(58 822.45825),(59 833.7733),(60 818.19214),(61 818.2257),(62 831.25),(63 825.2734),(64 838.2523),(65 817.16846),(66 809.80035),(67 821.0365),(68 803.31396),(69 808.05554),(70 823.9051),(71 808.32245),(72 795.35364),(73 798.65735),(74 792.12634),(75 793.08124),(76 795.9205),(77 777.0544),(78 781.28754),(79 804.6981),
(1 409.2343),(2 539.24854),(3 589.34955),(4 621.5138),(5 654.2574),(6 660.7308),(7 678.9666),(8 697.035),(9 695.13873),(10 713.923),(11 739.4926),(12 727.0763),(13 741.69385),(14 742.5656),(15 750.88464),(16 776.3508),(17 765.2491),(18 765.24536),(19 782.9281),(20 767.8063),(21 782.26196),(22 773.6874),(23 768.53754),(24 779.5968),(25 783.4239),(26 768.5904),(27 780.3722),(28 767.971),(29 780.2063),(30 776.75806),(31 767.47565),(32 768.9057),(33 753.8975),(34 746.79425),(35 762.2826),(36 745.20715),(37 753.1366),(38 737.34064),(39 738.1722),(40 749.7654),(41 740.6871),(42 750.2712),(43 750.8295),(44 763.09247),(45 764.6102),(46 762.36926),(47 774.83234),(48 771.7888),(49 784.37646),(50 784.7284),(51 784.47394),(52 794.5089),(53 800.854),(54 792.42676),(55 797.8142),(56 825.63824),(57 812.73987),(58 818.88837),(59 835.4641),(60 819.9657),(61 808.2384),(62 811.9905),(63 800.0738),(64 811.9486),(65 802.87366),(66 791.87976),(67 796.01404),(68 789.3579),(69 781.7027),(70 796.01587),(71 784.2372),(72 781.02057),(73 786.61127),(74 766.66626),(75 771.89),(76 777.03766),(77 768.2429),(78 769.95734),(79 788.29626),
(1 400.92413),(2 542.3789),(3 591.9754),(4 629.56244),(5 661.2842),(6 668.3366),(7 684.45575),(8 702.80865),(9 701.3472),(10 720.50275),(11 734.21497),(12 722.4158),(13 735.9561),(14 732.0557),(15 747.069),(16 772.2549),(17 765.7692),(18 761.6218),(19 775.211),(20 759.5844),(21 777.05414),(22 767.4287),(23 765.30707),(24 776.654),(25 768.7734),(26 760.7788),(27 778.9297),(28 764.30865),(29 764.5638),(30 755.09283),(31 751.5132),(32 753.6565),(33 744.13513),(34 733.931),(35 747.5723),(36 738.6059),(37 747.392),(38 735.09283),(39 736.50696),(40 756.2013),(41 741.76666),(42 748.41516),(43 746.6723),(44 759.61),(45 767.7466),(46 763.53094),(47 768.5606),(48 762.8859),(49 770.68286),(50 777.374),(51 777.7993),(52 789.6553),(53 804.00586),(54 787.1625),(55 796.6181),(56 825.1212),(57 808.01855),(58 802.23865),(59 820.96204),(60 801.6089),(61 794.603),(62 800.32),(63 796.98224),(64 799.99695),(65 793.65515),(66 781.84784),(67 796.0275),(68 780.46735),(69 779.0505),(70 797.4442),(71 783.68634),(72 773.022),(73 782.95966),(74 758.90546),(75 762.0441),(76 779.6874),(77 763.94714),(78 777.9145),(79 794.8713),
(1 396.96234),(2 524.75),(3 571.3836),(4 609.98126),(5 638.8775),(6 646.52734),(7 665.4774),(8 675.72516),(9 667.7386),(10 681.7776),(11 703.1733),(12 695.49316),(13 712.9016),(14 712.2278),(15 722.53186),(16 735.4547),(17 739.2296),(18 735.7374),(19 757.1604),(20 739.8753),(21 765.4726),(22 757.5373),(23 762.7469),(24 769.50995),(25 763.5993),(26 751.09033),(27 762.02264),(28 752.4375),(29 760.1005),(30 742.71216),(31 738.42413),(32 748.1692),(33 742.24365),(34 734.316),(35 747.1727),(36 730.0505),(37 743.9897),(38 736.7533),(39 731.3962),(40 743.78424),(41 733.35724),(42 739.7724),(43 734.59576),(44 739.6939),(45 751.8037),(46 739.0403),(47 750.0855),(48 742.24115),(49 741.1607),(50 755.9202),(51 751.91376),(52 762.50146),(53 785.20984),(54 759.08716),(55 754.9337),(56 773.9848),(57 766.3726),(58 763.0385),(59 784.5816),(60 774.46515),(61 765.06134),(62 784.1062),(63 769.8322),(64 780.8543),(65 765.9292),(66 764.89734),(67 771.4331),(68 766.10504),(69 762.73706),(70 779.7932),(71 768.6956),(72 751.86926),(73 758.2429),(74 744.8728),(75 747.0376),(76 762.5334),(77 757.2451),(78 751.113),(79 765.4548),
(1 395.5414),(2 530.11707),(3 582.3631),(4 612.3516),(5 646.3024),(6 652.9702),(7 676.9483),(8 681.6203),(9 682.5647),(10 690.2457),(11 708.659),(12 708.6065),(13 722.12274),(14 724.213),(15 731.91296),(16 761.10724),(17 754.25934),(18 745.7774),(19 762.57184),(20 757.1375),(21 770.12335),(22 763.70636),(23 760.20337),(24 761.8549),(25 756.1117),(26 740.13715),(27 761.39087),(28 750.7337),(29 751.42487),(30 739.9805),(31 737.6647),(32 741.29114),(33 727.8887),(34 718.13916),(35 741.1369),(36 725.85236),(37 734.6031),(38 717.62915),(39 719.7924),(40 733.81616),(41 727.0321),(42 729.7849),(43 723.97925),(44 727.4309),(45 733.97235),(46 728.44934),(47 747.52966),(48 744.20526),(49 754.06006),(50 762.9736),(51 763.1395),(52 771.7336),(53 783.2866),(54 771.94525),(55 771.2716),(56 782.56116),(57 777.4479),(58 770.77295),(59 787.1405),(60 777.68304),(61 780.63947),(62 795.90753),(63 795.47034),(64 807.3474),(65 803.10004),(66 796.469),(67 799.9726),(68 783.9089),(69 789.70496),(70 808.86914),(71 793.2879),(72 782.2407),(73 783.8365),(74 758.1296),(75 762.58124),(76 780.7434),(77 770.02997),(78 770.14856),(79 782.10254),
(1 389.62125),(2 524.3462),(3 571.86676),(4 605.6615),(5 633.0453),(6 635.4878),(7 651.9951),(8 658.8858),(9 658.013),(10 671.18054),(11 692.7148),(12 681.46686),(13 704.1543),(14 696.74384),(15 701.4264),(16 727.01227),(17 721.75885),(18 717.20374),(19 727.21655),(20 721.9706),(21 735.8623),(22 732.84406),(23 720.0615),(24 737.53723),(25 740.22754),(26 726.6765),(27 742.59796),(28 728.7456),(29 737.48346),(30 719.4482),(31 714.53204),(32 716.20935),(33 703.12317),(34 699.2357),(35 716.76935),(36 709.131),(37 713.6667),(38 706.0047),(39 701.11957),(40 708.5712),(41 705.4963),(42 705.70685),(43 691.8479),(44 694.9616),(45 704.22516),(46 703.0257),(47 720.1177),(48 714.16895),(49 715.152),(50 717.25854),(51 717.015),(52 731.9731),(53 751.4686),(54 734.184),(55 734.5046),(56 746.4238),(57 736.6487),(58 741.4557),(59 762.0625),(60 757.27814),(61 747.4995),(62 764.07635),(63 760.04504),(64 764.7539),(65 761.0763),(66 757.41376),(67 762.84906),(68 741.87305),(69 748.07764),(70 756.8981),(71 753.3768),(72 743.2036),(73 755.3991),(74 734.71124),(75 737.6978),(76 751.94727),(77 738.2889),(78 737.0365),(79 754.4152),
(1 390.59787),(2 524.2176),(3 570.7306),(4 604.86975),(5 636.3055),(6 634.3697),(7 650.1732),(8 667.3617),(9 673.06384),(10 680.33826),(11 701.4354),(12 688.9119),(13 700.2123),(14 703.40594),(15 703.29956),(16 714.3172),(17 709.5556),(18 719.09796),(19 723.5208),(20 718.3994),(21 728.921),(22 719.913),(23 706.43536),(24 719.3448),(25 715.9345),(26 703.7871),(27 714.0206),(28 705.94574),(29 716.5467),(30 709.4574),(31 706.6725),(32 706.07684),(33 689.52997),(34 686.43634),(35 703.7386),(36 693.3459),(37 706.47986),(38 694.61554),(39 691.21564),(40 702.6166),(41 703.49255),(42 701.488),(43 700.07556),(44 701.56866),(45 717.3015),(46 715.8367),(47 728.1091),(48 728.3508),(49 728.0839),(50 745.8434),(51 743.14874),(52 745.1991),(53 767.42224),(54 760.87305),(55 747.0166),(56 766.09894),(57 758.3936),(58 755.08044),(59 767.5009),(60 766.1003),(61 758.45294),(62 763.1052),(63 765.71295),(64 775.0628),(65 765.7225),(66 762.73517),(67 765.1335),(68 753.3723),(69 743.2614),(70 753.0127),(71 738.75415),(72 739.1308),(73 746.0009),(74 727.42706),(75 727.09344),(76 746.9143),(77 732.4832),(78 742.2483),(79 764.48126),
