1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 67437.26),(2 209642.8),(3 424239.66),(4 702046.5),(5 1018878.75),(6 1345658.9),(7 1655068.5),(8 1936773),(9 2252697.8),(10 2579778.8),(11 2899857.8),(12 3244435.3),(13 3654992),(14 4031615.3),(15 4369553.5),(16 4691650),(17 4956998),(18 5137656),(19 5286408),(20 5385737.5),(21 5441016.5),(22 5552704),(23 5665009.5),(24 5785449.5),(25 5932352.5),(26 6070136),(27 6225373.5),(28 6344564.5),(29 6456438.5),(30 6596846.5),(31 6715220.5),(32 6795341.5),(33 6895221.5),(34 6954262.5),(35 6918770.5),(36 6866672),(37 6816141.5),(38 6746829.5),(39 6725237.5),(40 6716457.5),(41 6688101.5),(42 6719789.5),(43 6769732),(44 6801220.5),(45 6993732),(46 7136812),(47 7313086),(48 7540572.5),(49 7756948),(50 7978847.5),(51 8205066.5),(52 8393614),(53 8622157),(54 8831288),(55 9045401),(56 9267077),(57 9416182),(58 9603682),(59 9720984),(60 9834207),(61 9924183),(62 9961799),(63 9982047),(64 10037744),(65 10033980),(66 10010247),(67 9980744),(68 9948543),(69 9903100),(70 10012008),(71 10055556),(72 10158575),(73 10288086),(74 10332837),(75 10449142),(76 10588087),(77 10733473),(78 11210264),(79 11464859),
(1 7017.0903),(2 13111.318),(3 17607.395),(4 21412.447),(5 23969.078),(6 26782.922),(7 29307.055),(8 30463.662),(9 31776.227),(10 33140.49),(11 34080.902),(12 35488.395),(13 36171.813),(14 36655.996),(15 37671.242),(16 38274.383),(17 38619.773),(18 38960.246),(19 39457.324),(20 39818.68),(21 39881.992),(22 39340.29),(23 39274.082),(24 39492.395),(25 39249.25),(26 39576.816),(27 39993.15),(28 40063.004),(29 40875.527),(30 41251.703),(31 41565.14),(32 42036.668),(33 41849.266),(34 42226.594),(35 42407.668),(36 42932.258),(37 43093.004),(38 43092.11),(39 43337.582),(40 43471.117),(41 43225.137),(42 43324.707),(43 43576.934),(44 43675.766),(45 44277.36),(46 43968.586),(47 43797.07),(48 43778.62),(49 43491.066),(50 43479.62),(51 43022.547),(52 43138.37),(53 42882.594),(54 43249.24),(55 43571.9),(56 43653.613),(57 43534.414),(58 43911.344),(59 43760.6),(60 43475.05),(61 43667.1),(62 43452.63),(63 43491.977),(64 43897.734),(65 43670.156),(66 43445.313),(67 44018.746),(68 43622.918),(69 43732.566),(70 44327.414),(71 43749.94),(72 43687.31),(73 43562.004),(74 42471.785),(75 42015.977),(76 41855.098),(77 41999.65),(78 41922.35),(79 41551.453),
(1 6882.4707),(2 12702.482),(3 16896.613),(4 20288.094),(5 22435.223),(6 24852.438),(7 27159.783),(8 28395.863),(9 29989.828),(10 31358.66),(11 32315.502),(12 32889.31),(13 33243.92),(14 33470.664),(15 33694.25),(16 34029.023),(17 34398.94),(18 34871.89),(19 35776.18),(20 36727.92),(21 37147.105),(22 36857.824),(23 36923.777),(24 37601.598),(25 37551.344),(26 38214.633),(27 38926.47),(28 38913.547),(29 38976.85),(30 39126.207),(31 38605.19),(32 38555.15),(33 38144.88),(34 38697.727),(35 39108.41),(36 39294.086),(37 39650.97),(38 39938.08),(39 40503.848),(40 41182.824),(41 40796.51),(42 41182.09),(43 41628.72),(44 41220.586),(45 41241.383),(46 40967.906),(47 40601.844),(48 40424.277),(49 39718.813),(50 39405.844),(51 39052.598),(52 39384.055),(53 39227.355),(54 39734.414),(55 39973.887),(56 39882.516),(57 40144.67),(58 40803.703),(59 41224.75),(60 41548.645),(61 41777.273),(62 41480.72),(63 41140.766),(64 41549.13),(65 41382.61),(66 41063.063),(67 41136.59),(68 40648.445),(69 40244.582),(70 41366.117),(71 41134.227),(72 41550.15),(73 42003.285),(74 41612.395),(75 41827.645),(76 41753.25),(77 41989.56),(78 42337.11),(79 41928.984),
(1 6653.101),(2 12437.967),(3 16214.432),(4 19262.645),(5 20726.889),(6 22586.988),(7 24594.654),(8 25535.078),(9 26795.973),(10 27829.168),(11 28711.893),(12 29471.807),(13 29892.125),(14 30829.822),(15 31406.818),(16 31749.172),(17 31666.197),(18 31618.361),(19 32255.465),(20 33678.79),(21 34766.242),(22 34721.527),(23 35096.68),(24 35821.23),(25 35501.43),(26 35597.063),(27 36046.793),(28 35572.355),(29 35485.727),(30 35492.164),(31 35258.96),(32 35462.695),(33 35359.727),(34 35933.586),(35 36212.25),(36 36757.836),(37 37347.445),(38 37795.934),(39 37735.945),(40 38313.613),(41 38365.586),(42 38775.523),(43 39157.637),(44 38716.703),(45 38901.695),(46 38668.586),(47 38744.156),(48 39033.75),(49 38737.406),(50 38735.387),(51 39068.563),(52 39577.402),(53 38981.676),(54 38942.902),(55 39157.676),(56 39034.914),(57 39254.254),(58 39294.797),(59 39226.71),(60 39245.805),(61 39707.813),(62 39293.387),(63 38969.133),(64 38917.004),(65 38525.492),(66 38213.29),(67 38045.656),(68 37495.625),(69 36851.875),(70 37863.82),(71 37764.215),(72 38281.652),(73 39155.227),(74 38796.477),(75 39420.85),(76 39332.164),(77 40141.05),(78 40489.277),(79 40167.54),
(1 6611.328),(2 12416.137),(3 16843.893),(4 19966.328),(5 21950.09),(6 23491.793),(7 25211.176),(8 26020.285),(9 26801.191),(10 28424.375),(11 28913.055),(12 29313.398),(13 29895.703),(14 30653.238),(15 31331.016),(16 32128.17),(17 32580.64),(18 32806.72),(19 33161.39),(20 33822.176),(21 34468.816),(22 34502.04),(23 35251.008),(24 35620.05),(25 35354.37),(26 35683.45),(27 35705.418),(28 35429.445),(29 35555.574),(30 35346.074),(31 34855.203),(32 34904.707),(33 34747.19),(34 35161.793),(35 35053.563),(36 34804.742),(37 35042.41),(38 34872.727),(39 34812.63),(40 35138.22),(41 35432.13),(42 35754.973),(43 36177.72),(44 35993.06),(45 36686.137),(46 36718.598),(47 36938.977),(48 37552.754),(49 37634.598),(50 38110.734),(51 38214.48),(52 38386.473),(53 38015.58),(54 38012.03),(55 37942.715),(56 37582.176),(57 37632.746),(58 37667.066),(59 37626.95),(60 37655.793),(61 37319.727),(62 37002.45),(63 36974.28),(64 37028.742),(65 36903.164),(66 36917.336),(67 36562.05),(68 36149.97),(69 35850.406),(70 36104.215),(71 36240.68),(72 36800.848),(73 37126.023),(74 36816.992),(75 36802.496),(76 36193.227),(77 36459.152),(78 36758.984),(79 36726.97),
(1 6228.6973),(2 11520.959),(3 16036.728),(4 19173.883),(5 21133.285),(6 22986.283),(7 24362.775),(8 24976.16),(9 25502.984),(10 26806.475),(11 27314.488),(12 28447.898),(13 29174.28),(14 29455.14),(15 29372.385),(16 29963.143),(17 30236.686),(18 30383.059),(19 30924.156),(20 31207.822),(21 32085.127),(22 32247.445),(23 32739.295),(24 32997.39),(25 32448.244),(26 32473.23),(27 32680.88),(28 32711.637),(29 32942.406),(30 33249.508),(31 33134.605),(32 33425.67),(33 33237.043),(34 33530.336),(35 33376.582),(36 33581.63),(37 33533.297),(38 33311.87),(39 33271.004),(40 33421.02),(41 33178.746),(42 33222.3),(43 33696.492),(44 33719.19),(45 34651.33),(46 34659.26),(47 34673.24),(48 35121.863),(49 35350.4),(50 35373.793),(51 35168.875),(52 35568.742),(53 35409.457),(54 35788.992),(55 36176.383),(56 36220.15),(57 36419.254),(58 36772.293),(59 36534.6),(60 36439.383),(61 36227.59),(62 36424.004),(63 36455.504),(64 36469.74),(65 36262.594),(66 36205.61),(67 36043.516),(68 35794.38),(69 35362.496),(70 36317.137),(71 36292.137),(72 36447.89),(73 36773.79),(74 36167.81),(75 35971.902),(76 35339.11),(77 35158.313),(78 35501.723),(79 35311.668),
(1 6216.587),(2 11614),(3 15821.994),(4 18773.393),(5 21024.885),(6 23074.223),(7 24735.398),(8 25485.852),(9 26289.852),(10 27506.387),(11 28209.424),(12 29176.88),(13 29773.236),(14 29722.42),(15 30080.348),(16 30247.889),(17 30276.021),(18 30475.482),(19 31371.188),(20 31663.498),(21 32050.658),(22 31782.797),(23 31789.648),(24 32120.488),(25 32062.723),(26 32426.146),(27 33000.293),(28 33171.914),(29 33603.246),(30 33876.55),(31 33630.965),(32 33983.152),(33 33870.406),(34 34086.98),(35 34251.227),(36 34217.344),(37 34311.004),(38 33980.414),(39 34167.88),(40 34378.387),(41 33755.188),(42 33368.44),(43 33524.453),(44 33377.875),(45 34483.438),(46 34427.68),(47 34438.332),(48 34843.918),(49 34769.445),(50 35165.56),(51 35119.777),(52 35626.914),(53 35482.906),(54 35254.363),(55 35708.69),(56 36021.41),(57 36467.254),(58 37319.496),(59 37510.934),(60 37615.88),(61 37850.883),(62 37518.977),(63 37783.43),(64 38308.664),(65 37661.547),(66 37261.543),(67 37449.418),(68 37056.844),(69 36891.13),(70 37826.715),(71 37493.824),(72 37735.418),(73 37900.824),(74 37285.97),(75 37210.85),(76 36784.754),(77 36867.145),(78 36924.695),(79 36216.695),
(1 5863.7593),(2 10931.778),(3 14763.824),(4 17804.566),(5 19358.207),(6 21314.336),(7 22884.535),(8 23545.307),(9 24440.44),(10 25490.092),(11 26071.59),(12 26904.58),(13 27027.688),(14 27210.941),(15 27874.762),(16 28554.74),(17 28737.986),(18 28838.932),(19 29791.023),(20 30806.787),(21 31162.947),(22 31096.291),(23 31343.324),(24 31605.203),(25 31785.656),(26 32343.598),(27 32647.45),(28 32475.568),(29 32741.64),(30 32518.334),(31 32236.732),(32 32384.162),(33 32439.908),(34 33096.836),(35 33292.23),(36 33726.973),(37 33544.777),(38 33269.78),(39 33765.26),(40 34118.086),(41 33527.92),(42 33167.742),(43 33177.855),(44 32611.521),(45 32835.395),(46 32725.486),(47 32866.836),(48 33178.67),(49 33046.824),(50 33559.54),(51 33326.645),(52 33768.066),(53 33664.273),(54 33779.305),(55 34096.57),(56 33959.887),(57 33834.813),(58 33943.92),(59 34164.18),(60 34378.746),(61 34340.676),(62 34032.008),(63 34015.31),(64 34078.703),(65 33612.93),(66 33438.95),(67 33895.676),(68 34014.62),(69 34092.938),(70 34569.902),(71 34418.645),(72 34579.973),(73 34848.785),(74 34392.973),(75 34490.234),(76 34231.46),(77 34292.242),(78 34508.195),(79 34379.938),
(1 6062.1104),(2 10825.325),(3 14439.333),(4 17612.197),(5 19246.658),(6 21044.309),(7 22526.89),(8 23058.883),(9 24090.105),(10 25076.658),(11 25756.072),(12 26349.24),(13 27057.262),(14 27446.506),(15 28067.057),(16 28466.992),(17 28689.73),(18 28790.518),(19 29301.826),(20 30250.303),(21 30984.107),(22 30890.441),(23 31172.404),(24 31720.828),(25 31684.043),(26 31931.441),(27 32288.355),(28 32082.668),(29 32129.387),(30 32033.785),(31 31344.004),(32 31467.842),(33 31340.03),(34 31462.084),(35 31139.684),(36 31332.06),(37 31726.586),(38 31697.273),(39 31890.123),(40 32034.094),(41 31770.635),(42 31477.164),(43 31283.086),(44 30887.318),(45 31625.71),(46 31662.918),(47 32006.627),(48 32321.389),(49 32240.564),(50 32532.258),(51 32563.809),(52 33143.734),(53 33447.2),(54 33990.742),(55 34607.457),(56 34747.363),(57 35101.094),(58 35117.684),(59 34872.113),(60 34556.59),(61 34351.047),(62 34277.004),(63 34370.316),(64 34563.535),(65 33985.637),(66 33688.79),(67 33738.74),(68 33350.805),(69 33017.17),(70 33660.176),(71 33042.492),(72 33108.33),(73 33158.48),(74 32924.652),(75 32954.6),(76 32877.42),(77 33278.844),(78 33594.656),(79 33536.363),
(1 5832.0415),(2 10753.438),(3 14459.07),(4 17095.16),(5 18756.365),(6 20358.414),(7 21588.016),(8 22200.467),(9 23066.53),(10 24128.15),(11 24819.615),(12 25502.383),(13 26214.326),(14 26472.78),(15 26596.691),(16 27295.162),(17 27478.201),(18 28144.383),(19 28669.89),(20 29575.76),(21 29806.553),(22 29876.025),(23 30122.943),(24 30481.54),(25 30355.203),(26 30507.463),(27 30663.969),(28 30279.592),(29 30160.775),(30 29878.443),(31 29451.762),(32 29806.164),(33 29672.957),(34 29725.809),(35 29706.281),(36 29945.45),(37 30125.535),(38 29930.982),(39 30130.531),(40 30328.818),(41 30125.445),(42 29811.535),(43 29479.91),(44 29554.697),(45 29645.314),(46 29333.908),(47 29510.135),(48 29601.104),(49 29484.73),(50 29938.697),(51 30421.822),(52 31288.836),(53 31090.85),(54 31286.414),(55 31805.307),(56 31681.957),(57 31858.213),(58 32638.7),(59 32924.766),(60 33599.477),(61 33756.926),(62 33729.918),(63 33836.02),(64 34462.18),(65 34446.836),(66 34284.164),(67 34211.22),(68 33634.195),(69 33312.87),(70 33315.977),(71 32844.117),(72 33014.414),(73 33224.74),(74 32649.809),(75 32560.094),(76 32272.209),(77 32615.963),(78 32683.605),(79 32743.316),
(1 5754.4346),(2 10484.692),(3 14010.856),(4 16591.457),(5 18205.078),(6 19973.148),(7 21283.293),(8 21709.309),(9 22657.654),(10 23575.139),(11 24391.486),(12 25177.19),(13 26062.436),(14 26402.473),(15 26678.828),(16 27264.707),(17 27525.738),(18 28225.791),(19 28876.104),(20 30137.783),(21 30716.03),(22 30714.227),(23 30932.553),(24 31505.016),(25 31557.867),(26 31889.598),(27 32379.63),(28 32166.656),(29 32050.271),(30 31993.39),(31 31576.643),(32 31791.256),(33 31797.873),(34 31628.951),(35 31303.453),(36 31173.85),(37 31300.576),(38 31203.203),(39 31652.7),(40 32006.6),(41 31693.732),(42 31605.455),(43 31958.799),(44 32191.736),(45 32635.627),(46 32353.357),(47 32434.127),(48 32518.072),(49 32223.896),(50 32234.006),(51 32074.62),(52 32396.768),(53 32450.934),(54 32747.45),(55 33176.953),(56 32787.203),(57 32828.645),(58 33588.598),(59 33496.387),(60 33743.324),(61 33950.926),(62 34231.594),(63 34244.266),(64 34804.063),(65 34184.953),(66 33699.008),(67 33515.75),(68 33137.926),(69 33018.188),(70 33503.332),(71 33145.402),(72 33265.76),(73 33568.773),(74 33208.445),(75 33601.33),(76 32945.07),(77 33272.926),(78 33840.695),(79 33547.965),
(1 5587.2886),(2 10329.575),(3 13923.241),(4 16423.178),(5 17893.717),(6 19311.129),(7 20707.332),(8 21092.496),(9 21573.459),(10 22529.04),(11 23159.393),(12 23786.418),(13 24429.014),(14 24465.768),(15 24567.76),(16 24658.568),(17 25032.54),(18 25304.783),(19 25948.07),(20 27003.545),(21 27342.516),(22 27526.348),(23 27741),(24 28291.732),(25 28244.158),(26 28466.428),(27 28907.49),(28 28761.947),(29 28577.89),(30 28804.74),(31 28346.969),(32 28504.918),(33 28251.32),(34 28488.418),(35 28428.74),(36 28547.307),(37 29082.871),(38 29158.146),(39 29526.88),(40 29740.498),(41 29845.65),(42 29771.08),(43 30224.582),(44 30303.984),(45 31237.572),(46 31264.9),(47 31003.72),(48 31169.895),(49 30761.883),(50 30842.48),(51 30515.787),(52 30890.002),(53 30462.129),(54 30539.736),(55 30856.902),(56 30618.572),(57 30449.83),(58 30796.297),(59 30867.6),(60 31127.81),(61 30945.652),(62 31039.627),(63 31226.023),(64 31530.67),(65 31648.89),(66 31877.537),(67 32226.117),(68 32106.57),(69 32049.924),(70 32414.213),(71 32176.19),(72 32350.52),(73 32505.229),(74 32293.76),(75 32303.287),(76 31663.652),(77 31761.91),(78 32445.281),(79 32370.328),
(1 5496.3486),(2 9791.548),(3 13249.45),(4 15843.211),(5 17457.582),(6 19116.004),(7 20456.563),(8 21260.984),(9 21846.574),(10 22970.822),(11 22963.795),(12 23357.04),(13 23833.281),(14 24159.387),(15 24340.025),(16 24647.852),(17 24575.414),(18 24743.979),(19 25187.855),(20 26042.676),(21 26346.59),(22 26427.795),(23 26661.77),(24 26959.729),(25 26931.451),(26 27017.502),(27 27359.506),(28 27176.082),(29 27350.832),(30 27525.643),(31 27243.832),(32 27719.582),(33 27450.518),(34 27568.945),(35 27486.045),(36 27984.83),(37 28667.441),(38 28919.37),(39 29425.277),(40 30206.096),(41 29856.035),(42 29520.285),(43 29462.576),(44 29061.773),(45 29422.393),(46 29240.992),(47 29237.824),(48 29576.28),(49 29435.738),(50 29995.273),(51 30002.387),(52 30307.08),(53 30012.422),(54 29724.406),(55 29581.697),(56 29341.371),(57 29674.75),(58 29935.855),(59 29827.95),(60 29973.887),(61 29945.14),(62 30204.66),(63 30427.791),(64 30645.594),(65 30508.447),(66 30294.45),(67 30405.504),(68 30180.443),(69 29953.479),(70 30318.293),(71 29920.941),(72 29809.625),(73 29788.955),(74 29508.186),(75 29844.15),(76 29627.209),(77 29822.506),(78 30334.02),(79 30236.848),
(1 5648.897),(2 9901.014),(3 13241.847),(4 15765.706),(5 17681.518),(6 19786.852),(7 21387.736),(8 22421.875),(9 23217.42),(10 24435.992),(11 24700.563),(12 25122.03),(13 25503.756),(14 25443.93),(15 26073.33),(16 26332.299),(17 26414.844),(18 26693.486),(19 26863.977),(20 27423.004),(21 27943.762),(22 27889.777),(23 28104.932),(24 28449.104),(25 27996.793),(26 27933.39),(27 28053.967),(28 27632.428),(29 27408.455),(30 27349.045),(31 27236.137),(32 27534.975),(33 27313.08),(34 27177.053),(35 27507.377),(36 28048.412),(37 28709.049),(38 29027.959),(39 29429.49),(40 29723.64),(41 29410.5),(42 29222.424),(43 29593.61),(44 29188.791),(45 29638.514),(46 29469.27),(47 29252.494),(48 29294.357),(49 28955.469),(50 29582.422),(51 29521.764),(52 29823.387),(53 29841.453),(54 30056.785),(55 30118.09),(56 30106.754),(57 30350.361),(58 30769.41),(59 30954.604),(60 30916.186),(61 31273.918),(62 30869.643),(63 30539.88),(64 30263),(65 30027.564),(66 29906.887),(67 29953.758),(68 29493.354),(69 28952.063),(70 29428.451),(71 29373.828),(72 29599.803),(73 29840.324),(74 29718.791),(75 30050.223),(76 30033.105),(77 30797.361),(78 31827.982),(79 31462.89),
(1 5498.96),(2 9696.05),(3 12941.593),(4 15530.374),(5 17207.87),(6 18909.049),(7 20301.346),(8 21165.836),(9 22068.303),(10 23494.06),(11 23887.908),(12 24348.59),(13 24747.764),(14 24642.918),(15 24911.041),(16 25356.795),(17 25423.654),(18 25690.518),(19 26323.613),(20 26796.61),(21 27341.85),(22 26793.799),(23 27015.621),(24 27228.486),(25 26986.7),(26 26727.223),(27 27059.104),(28 26902.164),(29 27157.332),(30 27607.02),(31 27109.244),(32 27252.965),(33 27326.21),(34 27609.664),(35 27840.844),(36 28149.285),(37 28383.557),(38 28525.87),(39 28610.934),(40 28526.395),(41 28379.973),(42 28406.4),(43 28587.363),(44 28172.688),(45 28431.81),(46 28075.023),(47 27849.994),(48 28011.49),(49 27637.602),(50 28013.068),(51 28128.309),(52 28649.572),(53 28645.38),(54 28725.21),(55 29063.969),(56 29074.662),(57 29249.781),(58 29696.268),(59 29891.947),(60 30141.574),(61 30414.602),(62 29951.74),(63 29571.81),(64 29583.209),(65 29196.664),(66 28931.482),(67 28905.467),(68 28762.129),(69 28388.81),(70 29237.355),(71 29325.744),(72 29650.736),(73 30019.395),(74 29925.355),(75 30770.29),(76 30882.102),(77 31383.568),(78 32056.436),(79 31822.332),
(1 5260.882),(2 9349.183),(3 12599.239),(4 15141.919),(5 16597.074),(6 18304.691),(7 19724.287),(8 20469.33),(9 21302.797),(10 22369.4),(11 22840.531),(12 23507.764),(13 23861.594),(14 24082.26),(15 24288.555),(16 24723.318),(17 24759.826),(18 24928.402),(19 25396.514),(20 25708.473),(21 26327.842),(22 26136.63),(23 26373.896),(24 26633.707),(25 26354.723),(26 26435.34),(27 26831.576),(28 26513.35),(29 26696.121),(30 26981.572),(31 26741.518),(32 27164.592),(33 27350.479),(34 27605.871),(35 28065.941),(36 28323.77),(37 28940.396),(38 29084.21),(39 29456.695),(40 29711.463),(41 29298.383),(42 29233.666),(43 29289.451),(44 29100.846),(45 29064.387),(46 28942.738),(47 28861.104),(48 28994.574),(49 28786),(50 29197.355),(51 28850.992),(52 29305.418),(53 29218.121),(54 29309.3),(55 29631.934),(56 29204.25),(57 29406.127),(58 29582.389),(59 29679.908),(60 29650.912),(61 29754.207),(62 29306.453),(63 29101.334),(64 29316.248),(65 29123.615),(66 29287.084),(67 29639.215),(68 29501.656),(69 29399.809),(70 29965.492),(71 29901.785),(72 30138.287),(73 30145.754),(74 30015.023),(75 30307.104),(76 30206.682),(77 30766.803),(78 31079.17),(79 30396.219),
(1 4913.382),(2 9045.777),(3 12234.147),(4 14542.19),(5 15912.225),(6 17288.754),(7 18497.178),(8 19079.744),(9 19799.629),(10 20825.66),(11 21391.576),(12 21757.797),(13 21923.072),(14 22015.445),(15 22193.412),(16 22822.398),(17 23041.35),(18 23340.055),(19 23921.576),(20 24392.35),(21 24590.785),(22 24267.988),(23 24385.4),(24 24573.832),(25 24764.893),(26 24809.865),(27 25254.389),(28 25095.25),(29 25298.818),(30 25638.77),(31 25407.883),(32 25721.885),(33 25484.305),(34 25538.668),(35 25426.215),(36 25443.957),(37 25710.074),(38 25877.488),(39 25914.43),(40 26105.34),(41 25727.76),(42 25838.922),(43 25982.66),(44 25941.416),(45 26173.725),(46 26024.691),(47 25935.004),(48 25980.984),(49 25829.395),(50 26455.41),(51 26353.744),(52 26898.809),(53 26947.627),(54 26957.879),(55 27183.988),(56 27235.045),(57 27400.527),(58 27789.893),(59 27796.732),(60 27968.482),(61 27909.695),(62 27778.086),(63 27905.498),(64 28256.578),(65 28398.135),(66 28630.844),(67 28852.172),(68 28570.213),(69 28219.182),(70 28710.258),(71 28424.475),(72 28385.982),(73 28486.906),(74 28462.383),(75 28764.104),(76 28721.707),(77 29071.592),(78 29253.46),(79 29106.195),
(1 5041.489),(2 9072.79),(3 12172.249),(4 14572.747),(5 16134.755),(6 17601.467),(7 18769.49),(8 19448.877),(9 20176.61),(10 20915.666),(11 21581.758),(12 22379.84),(13 22807.88),(14 22881.36),(15 22987.475),(16 23429.771),(17 23583.514),(18 23952.102),(19 24328.525),(20 24804.816),(21 25045.408),(22 24767.97),(23 24763.604),(24 24877.666),(25 24732.121),(26 24914.799),(27 25230.26),(28 25106.361),(29 25050.568),(30 24869.053),(31 24599.773),(32 24611.404),(33 24252.506),(34 24507.514),(35 24126.393),(36 24325.16),(37 24784.047),(38 24518.113),(39 24603.732),(40 24400.047),(41 24119.295),(42 24330.129),(43 24534.322),(44 24468.725),(45 24766.205),(46 24422.008),(47 24443.02),(48 24426.771),(49 24425.182),(50 24958.58),(51 24847.6),(52 25420.79),(53 25411.822),(54 25754.79),(55 26241.027),(56 26430.314),(57 26542.3),(58 26584.236),(59 26443.275),(60 26736.912),(61 27031.994),(62 26839.133),(63 27096.938),(64 27380.744),(65 27696.334),(66 27970.62),(67 28309.693),(68 28259.777),(69 28072.654),(70 28363.836),(71 27745.352),(72 27158.588),(73 27026.047),(74 26991.674),(75 27296.79),(76 27367.678),(77 27474.764),(78 27482.145),(79 27211.55),
