1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 1252.2664),(2 2415.208),(3 3349.2388),(4 4038.4895),(5 4570.078),(6 5086.2275),(7 5504.403),(8 5872.867),(9 6262.864),(10 6634.406),(11 6933.506),(12 7233.6406),(13 7537.94),(14 7732.1304),(15 7988.7363),(16 8159.787),(17 8349.742),(18 8526.175),(19 8665.868),(20 8752.903),(21 8834.729),(22 8891.116),(23 8997.2),(24 9174.347),(25 9224.78),(26 9342.759),(27 9400.837),(28 9495.124),(29 9523.639),(30 9551.17),(31 9544.281),(32 9591.466),(33 9623.318),(34 9675.749),(35 9746.341),(36 9746.71),(37 9730.133),(38 9825.208),(39 9877.659),(40 9863.811),(41 9920.877),(42 9980.693),(43 10042.512),(44 10122.531),(45 10178.798),(46 10251.3955),(47 10344.614),(48 10470.324),(49 10439.215),(50 10482.341),(51 10511.222),(52 10558.262),(53 10650.03),(54 10654.402),(55 10693.847),(56 10759.775),(57 10776.63),(58 10846.303),(59 10901.86),(60 10959.808),(61 11039.653),(62 11061.751),(63 11179.777),(64 11202.025),(65 11204.216),(66 11213.222),(67 11220.887),(68 11244.638),(69 11297.038),(70 11317.375),(71 11319.855),(72 11280.242),(73 11310.583),(74 11281.4375),(75 11302.556),(76 11282.192),(77 11321.761),(78 11325.624),(79 11384.13),
(1 1253.7906),(2 2426.8464),(3 3408.5303),(4 4157.726),(5 4793.6997),(6 5381.161),(7 5910.326),(8 6345.449),(9 6713.65),(10 7079.209),(11 7395.7524),(12 7695.883),(13 8009.9907),(14 8190.8037),(15 8373.206),(16 8510.949),(17 8604.204),(18 8775.562),(19 8892.348),(20 8968.737),(21 9046.693),(22 9127.4375),(23 9273.635),(24 9422.057),(25 9556.626),(26 9692.28),(27 9818.051),(28 9864.235),(29 9877.837),(30 9945.594),(31 10035.978),(32 10056.487),(33 10079.296),(34 10047.627),(35 10033.154),(36 10031.999),(37 10041.773),(38 10144.87),(39 10193.59),(40 10123.687),(41 10121.28),(42 10180.848),(43 10150.027),(44 10160.64),(45 10234.514),(46 10339.318),(47 10447.575),(48 10498.266),(49 10492.348),(50 10516.546),(51 10619.475),(52 10653.047),(53 10748.091),(54 10816.348),(55 10959.045),(56 11033.652),(57 11073.893),(58 11137.505),(59 11210.146),(60 11215.666),(61 11279.084),(62 11353.058),(63 11323.845),(64 11306.981),(65 11335.66),(66 11352.602),(67 11376.022),(68 11380.906),(69 11456.082),(70 11511.225),(71 11550.977),(72 11589.807),(73 11570.317),(74 11508.608),(75 11582.131),(76 11629.621),(77 11700.174),(78 11695.741),(79 11713.809),
(1 1232.957),(2 2372.1394),(3 3335.899),(4 4036.608),(5 4602.862),(6 5099.055),(7 5550.3228),(8 5971.244),(9 6330.356),(10 6675.182),(11 6934.515),(12 7220.7925),(13 7528.239),(14 7712.99),(15 7876.0605),(16 8048.26),(17 8183.549),(18 8330.569),(19 8449.411),(20 8563.036),(21 8634.688),(22 8724.368),(23 8840.6455),(24 9015.396),(25 9101.4),(26 9222.557),(27 9369.595),(28 9364.46),(29 9389.234),(30 9378.046),(31 9420.059),(32 9463.579),(33 9565.338),(34 9630.789),(35 9730.296),(36 9792.516),(37 9798.954),(38 9900.3955),(39 9995.903),(40 10005.519),(41 10068.839),(42 10119.296),(43 10208.602),(44 10266.457),(45 10315.692),(46 10405.069),(47 10492.468),(48 10501.069),(49 10510.268),(50 10506.241),(51 10594.438),(52 10611.9375),(53 10651.069),(54 10687.808),(55 10711.282),(56 10716.799),(57 10726.659),(58 10821.906),(59 10896.568),(60 10950.234),(61 11038.909),(62 11093.138),(63 11128.917),(64 11197.8),(65 11298.326),(66 11331.75),(67 11367.464),(68 11424.145),(69 11444.372),(70 11491.344),(71 11517.614),(72 11494.053),(73 11473.27),(74 11419.901),(75 11480.065),(76 11556.306),(77 11580.132),(78 11613.794),(79 11639.052),
(1 1223.362),(2 2324.9363),(3 3210.7495),(4 3862.1765),(5 4389.621),(6 4853.2935),(7 5245.457),(8 5604.432),(9 5997.5986),(10 6315.7925),(11 6579.2485),(12 6890.129),(13 7164.76),(14 7383.547),(15 7633.0234),(16 7798.9336),(17 7976.7803),(18 8150.1787),(19 8297.951),(20 8375.098),(21 8405.317),(22 8496.469),(23 8670.48),(24 8785.317),(25 8870.244),(26 8990.517),(27 9075.629),(28 9050.963),(29 9054.517),(30 9073.903),(31 9144.582),(32 9249.568),(33 9343.639),(34 9460.213),(35 9593.704),(36 9680.985),(37 9729.628),(38 9816.735),(39 9905.407),(40 9847.222),(41 9837.329),(42 9870.779),(43 9905.233),(44 9940.213),(45 9977.267),(46 10011.492),(47 10081.593),(48 10188.836),(49 10183.063),(50 10202.2705),(51 10294.029),(52 10338.63),(53 10382.369),(54 10335.714),(55 10384.623),(56 10423.408),(57 10440.547),(58 10479.124),(59 10486.311),(60 10488.342),(61 10490.87),(62 10549.406),(63 10589.821),(64 10527.425),(65 10485.258),(66 10537.577),(67 10584.889),(68 10642.575),(69 10667.081),(70 10692.974),(71 10716.433),(72 10684.456),(73 10632.12),(74 10583.226),(75 10641.122),(76 10664.65),(77 10729.451),(78 10822.266),(79 10909.431),
(1 1226.4037),(2 2324.93),(3 3201.0918),(4 3838.6096),(5 4439.582),(6 4937.9263),(7 5389.3223),(8 5813.521),(9 6170.2017),(10 6487.342),(11 6778.102),(12 7003.3726),(13 7276.829),(14 7471.3237),(15 7738.23),(16 7904.5522),(17 8037.7637),(18 8179.924),(19 8312.319),(20 8383.941),(21 8440.518),(22 8533.641),(23 8632.183),(24 8725.632),(25 8793.349),(26 8825.59),(27 8923.161),(28 8943.198),(29 8998.692),(30 9049.511),(31 9154.249),(32 9171.925),(33 9267.466),(34 9312.74),(35 9353.722),(36 9356.473),(37 9391.324),(38 9383.111),(39 9453.476),(40 9478.346),(41 9540.869),(42 9617.522),(43 9664.072),(44 9728.944),(45 9815.268),(46 9870.743),(47 9958.854),(48 10006.085),(49 10060.542),(50 10114.927),(51 10179.375),(52 10183.031),(53 10231.849),(54 10210.654),(55 10261.031),(56 10293.179),(57 10291.335),(58 10283.806),(59 10315.359),(60 10352.674),(61 10407.891),(62 10402.632),(63 10476.454),(64 10536.856),(65 10571.763),(66 10575.315),(67 10592.069),(68 10618.697),(69 10674.257),(70 10601.718),(71 10631.107),(72 10628.044),(73 10649.533),(74 10661.758),(75 10756.303),(76 10741.692),(77 10744.932),(78 10776.475),(79 10816.484),
(1 1204.1931),(2 2289.158),(3 3147.04),(4 3802.8376),(5 4393.6836),(6 4901.8535),(7 5334.339),(8 5716.1724),(9 6037.2104),(10 6328.8154),(11 6559.816),(12 6827.5596),(13 7184.9014),(14 7438.733),(15 7690.23),(16 7883.674),(17 8067.9146),(18 8216.851),(19 8410.529),(20 8590.46),(21 8670.816),(22 8816.371),(23 8880.966),(24 8945.992),(25 8948.126),(26 8983.489),(27 9066.887),(28 9207.125),(29 9282.75),(30 9393.871),(31 9446.946),(32 9491.604),(33 9507.784),(34 9591.395),(35 9683.063),(36 9665.289),(37 9638.716),(38 9654.2295),(39 9754.6455),(40 9795.552),(41 9806.836),(42 9865.98),(43 9791.48),(44 9737.594),(45 9735.452),(46 9718.407),(47 9721.094),(48 9702.043),(49 9731.905),(50 9772.442),(51 9832.814),(52 9829.528),(53 9794.189),(54 9758.036),(55 9822.187),(56 9849.965),(57 9920.06),(58 9964.035),(59 9997.937),(60 10054.366),(61 10105.795),(62 10191.611),(63 10264.027),(64 10276.799),(65 10325.828),(66 10329.331),(67 10411.686),(68 10525.347),(69 10665.401),(70 10671.332),(71 10757.412),(72 10763.723),(73 10761.039),(74 10818.94),(75 10884.785),(76 10838.625),(77 10803.287),(78 10818.589),(79 10899.159),
(1 1208.627),(2 2291.4297),(3 3116.3953),(4 3737.227),(5 4288.254),(6 4784.103),(7 5218.438),(8 5579.405),(9 5913.6357),(10 6207.416),(11 6485.338),(12 6717.6274),(13 7057.449),(14 7318.273),(15 7511.093),(16 7711.113),(17 7888.323),(18 8055.1484),(19 8183.3525),(20 8393.356),(21 8456.861),(22 8523.146),(23 8572.911),(24 8620.75),(25 8626.724),(26 8632.267),(27 8754.872),(28 8836.395),(29 8881.649),(30 8977.877),(31 9019.89),(32 9112.387),(33 9213.549),(34 9259.069),(35 9347.059),(36 9351.076),(37 9368.092),(38 9375.777),(39 9428.137),(40 9448.792),(41 9408.094),(42 9408.667),(43 9433.691),(44 9458.402),(45 9444.35),(46 9480.707),(47 9502.089),(48 9491.658),(49 9488.544),(50 9541.155),(51 9581.778),(52 9580.194),(53 9603.078),(54 9612.278),(55 9668.148),(56 9733.23),(57 9793.2295),(58 9850.688),(59 9931.026),(60 10009.2295),(61 10051.878),(62 10128.074),(63 10182.766),(64 10246.161),(65 10313.282),(66 10347.667),(67 10417.216),(68 10535.067),(69 10582.717),(70 10724.364),(71 10816.001),(72 10848.067),(73 10807.193),(74 10774.229),(75 10760.693),(76 10751.051),(77 10735.833),(78 10711.792),(79 10686.619),
(1 1182.4961),(2 2253.6611),(3 3091.7034),(4 3724.3848),(5 4249.4595),(6 4722.553),(7 5115.068),(8 5465.995),(9 5774.5923),(10 6080.0093),(11 6273.879),(12 6468.7183),(13 6776.751),(14 6938.0957),(15 7106.9155),(16 7310.8267),(17 7475.8345),(18 7600.2837),(19 7705.299),(20 7879.951),(21 7915.5664),(22 7987.0615),(23 8095.428),(24 8180.635),(25 8213.223),(26 8269.272),(27 8375.864),(28 8406.656),(29 8420.762),(30 8511.868),(31 8577.448),(32 8696.342),(33 8813.702),(34 8864.513),(35 8968.918),(36 8986.675),(37 9032.071),(38 9063.798),(39 9140.044),(40 9245.287),(41 9250.166),(42 9281.08),(43 9395.515),(44 9476.995),(45 9601.003),(46 9690.096),(47 9719.363),(48 9754.573),(49 9780.16),(50 9878.532),(51 9944.228),(52 9980.512),(53 9989.175),(54 10024.857),(55 10100.702),(56 10161.56),(57 10129.989),(58 10117.606),(59 10116.576),(60 10168.463),(61 10209.861),(62 10252.268),(63 10297.259),(64 10321.649),(65 10400.476),(66 10448.999),(67 10474.575),(68 10536.462),(69 10611),(70 10604.413),(71 10695.916),(72 10764.199),(73 10825.374),(74 10810.892),(75 10822.413),(76 10767.763),(77 10730.208),(78 10704.973),(79 10736.544),
(1 1166.2133),(2 2249.1064),(3 3108.2214),(4 3729),(5 4240.5425),(6 4734.899),(7 5107.749),(8 5456.197),(9 5766.9565),(10 6062.7466),(11 6310.2075),(12 6518.0073),(13 6828.844),(14 7044.1025),(15 7275.4272),(16 7407.464),(17 7563.4897),(18 7655.098),(19 7806.1147),(20 7943.992),(21 7985.368),(22 8092.294),(23 8195.812),(24 8310.897),(25 8325.112),(26 8344.196),(27 8334.584),(28 8329.261),(29 8339.365),(30 8393.724),(31 8426.686),(32 8507.068),(33 8537.196),(34 8622.9795),(35 8774.313),(36 8821.727),(37 8921.495),(38 8958.858),(39 9010.645),(40 9024.165),(41 9039.074),(42 9072.034),(43 9122.878),(44 9223.692),(45 9308.088),(46 9362.575),(47 9424.122),(48 9449.63),(49 9477.285),(50 9557.483),(51 9591.226),(52 9622.348),(53 9671.084),(54 9684.402),(55 9736.527),(56 9800.052),(57 9794.348),(58 9795.046),(59 9810.263),(60 9848.437),(61 9944.438),(62 9919.145),(63 10013.705),(64 10064.293),(65 10110.853),(66 10142.901),(67 10122.802),(68 10097.257),(69 10067.979),(70 10024.294),(71 9979.437),(72 9958.2295),(73 9977.499),(74 9934.322),(75 9984.3545),(76 10032.518),(77 10054.124),(78 10091.408),(79 10127.773),
(1 1153.0428),(2 2180.571),(3 3017.0955),(4 3651.3044),(5 4158.1943),(6 4594.5737),(7 4999.3916),(8 5347.165),(9 5685.123),(10 5967.2144),(11 6202.542),(12 6418.483),(13 6714.244),(14 6933.2456),(15 7184.2505),(16 7328.68),(17 7438.7456),(18 7502.0376),(19 7598.8228),(20 7682.149),(21 7726.843),(22 7798.6943),(23 7856.5034),(24 7924.245),(25 7979.1655),(26 8035.8833),(27 8114.4263),(28 8116.1904),(29 8143.132),(30 8167.513),(31 8150.0225),(32 8207.269),(33 8239.429),(34 8350.033),(35 8453.347),(36 8546.656),(37 8609.249),(38 8714.125),(39 8854.106),(40 8930.157),(41 8998.372),(42 9034.76),(43 9134.619),(44 9198.639),(45 9273.409),(46 9255.922),(47 9236.715),(48 9305.332),(49 9261.925),(50 9304.708),(51 9379.302),(52 9431.827),(53 9478.344),(54 9462.191),(55 9463.455),(56 9479.323),(57 9511.645),(58 9518.639),(59 9526.753),(60 9532.188),(61 9576.375),(62 9557.831),(63 9563.837),(64 9578.366),(65 9605.345),(66 9522.196),(67 9574.251),(68 9573.399),(69 9533.609),(70 9442.686),(71 9429.03),(72 9416.721),(73 9434.803),(74 9357.494),(75 9387.472),(76 9433.242),(77 9453.182),(78 9499.115),(79 9538.639),
(1 1166.1289),(2 2193.3457),(3 3006.1272),(4 3682.5266),(5 4215.1953),(6 4671.7354),(7 5049.5864),(8 5391.8384),(9 5645.7695),(10 5902.308),(11 6113.2676),(12 6338.7827),(13 6654.756),(14 6881.649),(15 7098.1074),(16 7254.803),(17 7428.0825),(18 7558.9043),(19 7686.7734),(20 7833.7305),(21 7943.8086),(22 8067.6265),(23 8155.369),(24 8232.224),(25 8330.966),(26 8367.631),(27 8428.176),(28 8450.766),(29 8443.897),(30 8493.18),(31 8511.141),(32 8531.704),(33 8544.669),(34 8592.775),(35 8599.766),(36 8644.455),(37 8677.579),(38 8760.471),(39 8879.737),(40 8889.807),(41 8887.375),(42 8897.612),(43 8948.753),(44 9006.956),(45 9065.203),(46 9119.517),(47 9073.079),(48 9096.938),(49 9097.823),(50 9102.354),(51 9124.269),(52 9139.262),(53 9208.229),(54 9242.011),(55 9309.702),(56 9362.872),(57 9384.502),(58 9402.625),(59 9385.224),(60 9329.396),(61 9310.863),(62 9299.629),(63 9305.182),(64 9256.817),(65 9222.888),(66 9187.513),(67 9170.458),(68 9177.017),(69 9180.496),(70 9241.243),(71 9277.189),(72 9268.342),(73 9343.77),(74 9277.247),(75 9386.235),(76 9362.72),(77 9394.041),(78 9429.598),(79 9506.274),
(1 1141.5035),(2 2148.9736),(3 2979.2915),(4 3632.8997),(5 4147.4976),(6 4589.357),(7 5004.7495),(8 5366.9067),(9 5681.209),(10 5962.5044),(11 6216.419),(12 6416.7695),(13 6633.393),(14 6844.144),(15 7068.04),(16 7243.6846),(17 7417.215),(18 7574.9697),(19 7707.9077),(20 7858.256),(21 7928.076),(22 8058.098),(23 8151.31),(24 8230.417),(25 8284.106),(26 8344.093),(27 8445.309),(28 8489.063),(29 8552.785),(30 8574.351),(31 8513.676),(32 8531.372),(33 8563.277),(34 8607.258),(35 8548.92),(36 8581.367),(37 8572.999),(38 8627.552),(39 8716.007),(40 8697.195),(41 8631.515),(42 8654.47),(43 8620.43),(44 8613.211),(45 8643.907),(46 8682.935),(47 8699.379),(48 8741.928),(49 8793.111),(50 8841.43),(51 8883.1045),(52 8922.128),(53 8937.487),(54 8997.99),(55 9072.128),(56 9168.07),(57 9271.616),(58 9353.814),(59 9404.994),(60 9427.168),(61 9486.856),(62 9550.545),(63 9650.435),(64 9687.675),(65 9665.356),(66 9695.623),(67 9710.375),(68 9718.526),(69 9718.921),(70 9703.192),(71 9666.657),(72 9617.572),(73 9571.84),(74 9512.369),(75 9495.144),(76 9458.001),(77 9488.83),(78 9547.89),(79 9540.014),
(1 1137.5405),(2 2126.9885),(3 2933.407),(4 3538.4617),(5 4053.4666),(6 4503.655),(7 4852.697),(8 5192.8257),(9 5465.803),(10 5700.6465),(11 5919.0864),(12 6085.2886),(13 6375.7944),(14 6562.9336),(15 6788.696),(16 6935.783),(17 7105.1973),(18 7264.951),(19 7396.036),(20 7508.3276),(21 7631.5903),(22 7743.876),(23 7810.032),(24 7891.0522),(25 7987.3203),(26 8053.9175),(27 8128.836),(28 8180.451),(29 8235.1),(30 8265.813),(31 8308.941),(32 8381.665),(33 8404.229),(34 8513.842),(35 8526.315),(36 8578.8125),(37 8684.438),(38 8760.744),(39 8877.425),(40 8923.525),(41 8994.272),(42 9011.563),(43 9035.161),(44 9061.268),(45 9034.471),(46 9039.558),(47 9031.435),(48 9034.501),(49 9029.434),(50 9032.018),(51 9076.46),(52 9115.535),(53 9101.557),(54 9140.908),(55 9235.99),(56 9329.575),(57 9409.499),(58 9533.713),(59 9588.696),(60 9613.813),(61 9619.938),(62 9600.241),(63 9587.739),(64 9612.292),(65 9619.963),(66 9653.569),(67 9650.182),(68 9718.985),(69 9707.388),(70 9712.989),(71 9734.835),(72 9739.528),(73 9731.188),(74 9736.229),(75 9768.606),(76 9778.443),(77 9747.3955),(78 9802.91),(79 9819.046),
(1 1142.0508),(2 2132.0432),(3 2922.5928),(4 3496.9016),(5 3966.8494),(6 4428.0747),(7 4790.174),(8 5094.0317),(9 5349.3667),(10 5585.5317),(11 5773.9307),(12 5969.1235),(13 6276.0903),(14 6438.05),(15 6628.1567),(16 6744.6685),(17 6870.367),(18 7022.4956),(19 7096.0825),(20 7182.975),(21 7218.549),(22 7312.295),(23 7402.723),(24 7506.216),(25 7487.9644),(26 7562.5215),(27 7644.903),(28 7672.594),(29 7682.6816),(30 7728.2017),(31 7782.437),(32 7850.286),(33 7894.3564),(34 7933.169),(35 7944.0073),(36 8031.969),(37 8070.398),(38 8165.4917),(39 8220.665),(40 8249.918),(41 8270.219),(42 8294.438),(43 8324.369),(44 8376.596),(45 8397.707),(46 8432.762),(47 8504.328),(48 8509.617),(49 8594.822),(50 8639.874),(51 8757.345),(52 8822.726),(53 8857.662),(54 8926.516),(55 8977.116),(56 9009.918),(57 9047.821),(58 9078.599),(59 9076.524),(60 9090.999),(61 9123.634),(62 9164.132),(63 9123.946),(64 9150.072),(65 9122.725),(66 9150.84),(67 9138.621),(68 9144.386),(69 9128.201),(70 9144.707),(71 9146.791),(72 9167.344),(73 9150.093),(74 9090.986),(75 9056.766),(76 9041.257),(77 9008.616),(78 9046.177),(79 9079.73),
(1 1124.6764),(2 2081.7944),(3 2857.4265),(4 3431.808),(5 3895.4236),(6 4349.6187),(7 4735.5044),(8 5061.532),(9 5346.9697),(10 5545.9277),(11 5754.8564),(12 5955.919),(13 6230.2466),(14 6402.8853),(15 6585.395),(16 6729.1567),(17 6842.215),(18 7011.305),(19 7121.493),(20 7217.7505),(21 7320.9805),(22 7420.898),(23 7507.1973),(24 7651.919),(25 7667.979),(26 7720.413),(27 7823.2983),(28 7872.773),(29 7897.968),(30 7926.729),(31 7978.1),(32 8024.3496),(33 8064.216),(34 8099.8066),(35 8158.4053),(36 8206.589),(37 8253.624),(38 8337.514),(39 8347.155),(40 8327.87),(41 8341.063),(42 8355.475),(43 8390.546),(44 8424.786),(45 8440.075),(46 8461.103),(47 8486.803),(48 8501.45),(49 8531.679),(50 8578.565),(51 8669.202),(52 8657.777),(53 8732.928),(54 8761.156),(55 8784.343),(56 8777.143),(57 8831.798),(58 8834.269),(59 8872.835),(60 8923.61),(61 8976.387),(62 8978.682),(63 8991.063),(64 9020.579),(65 9017.41),(66 8978.803),(67 9015.016),(68 9049.088),(69 9030.304),(70 8993.1),(71 9037.005),(72 9033.004),(73 9034.943),(74 9032.9795),(75 9040.865),(76 9011.537),(77 8990.877),(78 9003.892),(79 9092.019),
(1 1121.5132),(2 2052.1746),(3 2852.7783),(4 3428.0532),(5 3911.319),(6 4350.642),(7 4719.2505),(8 5045.6074),(9 5285.374),(10 5492.7583),(11 5701.6245),(12 5925.6274),(13 6193.779),(14 6392.6914),(15 6599.2407),(16 6761.0854),(17 6919.7803),(18 7079.2065),(19 7187.608),(20 7255.707),(21 7285.491),(22 7361.889),(23 7414.9414),(24 7424.7144),(25 7395.4683),(26 7391.0376),(27 7479.9194),(28 7543.162),(29 7558.3306),(30 7588.093),(31 7613.0864),(32 7636.3574),(33 7685.1934),(34 7735.455),(35 7753.332),(36 7782.7813),(37 7782.377),(38 7819.0303),(39 7871.861),(40 7928.4204),(41 7973.021),(42 8010.966),(43 8032.668),(44 8040.8726),(45 8082.012),(46 8055.8125),(47 8094.148),(48 8110.922),(49 8184.5806),(50 8217.634),(51 8262.73),(52 8275.052),(53 8318.237),(54 8332.617),(55 8329.777),(56 8337.895),(57 8364.633),(58 8443.456),(59 8496.659),(60 8509.737),(61 8523.843),(62 8566.836),(63 8617.668),(64 8620.333),(65 8586.423),(66 8514.975),(67 8531.172),(68 8540.914),(69 8534.183),(70 8482.028),(71 8495.299),(72 8477.21),(73 8460.796),(74 8444.775),(75 8462.066),(76 8482.737),(77 8389.277),(78 8363.977),(79 8390.307),
(1 1106.0386),(2 2041.1573),(3 2824.8577),(4 3395.9807),(5 3873.8928),(6 4306.8384),(7 4649.775),(8 4960.539),(9 5192.4575),(10 5388.9443),(11 5548.6),(12 5701.4634),(13 5955.567),(14 6147.7925),(15 6400.0273),(16 6552.0923),(17 6701.698),(18 6895.8823),(19 7013.909),(20 7115.9463),(21 7208.566),(22 7304.0586),(23 7424.027),(24 7492.9385),(25 7520.6914),(26 7553.8223),(27 7566.4634),(28 7567.0786),(29 7545.4155),(30 7564.15),(31 7586.0903),(32 7599.143),(33 7614.823),(34 7683.5034),(35 7760.978),(36 7815.3345),(37 7811.9243),(38 7832.6807),(39 7825.2046),(40 7821.336),(41 7815.962),(42 7793.2363),(43 7839.772),(44 7917.4746),(45 7972.2964),(46 8023.455),(47 8054.829),(48 8083.9395),(49 8095.349),(50 8160.122),(51 8214.608),(52 8237.637),(53 8305.735),(54 8313.382),(55 8352.134),(56 8361.9795),(57 8403.905),(58 8437.947),(59 8471.807),(60 8454.563),(61 8471.525),(62 8487.768),(63 8558.961),(64 8621.918),(65 8670.705),(66 8683.266),(67 8736.4),(68 8777.344),(69 8795.366),(70 8803.575),(71 8803.562),(72 8848.671),(73 8873.382),(74 8808.595),(75 8845.98),(76 8841.413),(77 8825.482),(78 8843.139),(79 8884.866),
(1 1090.0121),(2 2013.9491),(3 2759.6829),(4 3347.7112),(5 3827.9678),(6 4262.91),(7 4631.395),(8 4951.2715),(9 5205.766),(10 5466.6206),(11 5645.153),(12 5801.7627),(13 6025.2544),(14 6209.225),(15 6412.502),(16 6511.527),(17 6610.5327),(18 6736.131),(19 6835.095),(20 6911.131),(21 6954.68),(22 6991.95),(23 7096.5156),(24 7198.2173),(25 7231.4966),(26 7307.7344),(27 7393.45),(28 7476.291),(29 7480.7),(30 7555.3936),(31 7646.7456),(32 7704.916),(33 7683.766),(34 7741.2017),(35 7839.762),(36 7858.5845),(37 7853.135),(38 7889.089),(39 7886.3154),(40 7872.2466),(41 7860.4175),(42 7835.0938),(43 7891.169),(44 7910.195),(45 7954.8906),(46 8016.681),(47 8059.0625),(48 8103.342),(49 8117.635),(50 8140.231),(51 8220.079),(52 8260.249),(53 8288.978),(54 8315.149),(55 8351.364),(56 8357.682),(57 8324.897),(58 8326.458),(59 8398.534),(60 8384.004),(61 8415.839),(62 8421.864),(63 8490.246),(64 8501.845),(65 8502.574),(66 8524.928),(67 8565.84),(68 8599.68),(69 8605.54),(70 8603.658),(71 8585.168),(72 8531.902),(73 8534.999),(74 8532.356),(75 8488.528),(76 8457.755),(77 8428.905),(78 8461.657),(79 8460.849),
