1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 28992.244),(2 99550.23),(3 202556.11),(4 315444.5),(5 417992.84),(6 497675.5),(7 559421.5),(8 601872.2),(9 622622.3),(10 618840.94),(11 610797.44),(12 616394),(13 653801.7),(14 744408.7),(15 868172.3),(16 1003415.94),(17 1147013.8),(18 1263995.9),(19 1363948.1),(20 1443458.4),(21 1494618.6),(22 1535605.9),(23 1573642.4),(24 1612056),(25 1670819),(26 1753821.4),(27 1844442),(28 1928975.4),(29 1978983.6),(30 2035083.9),(31 2083774.1),(32 2128334.8),(33 2166946.8),(34 2214987.5),(35 2249413),(36 2301752.8),(37 2354993.8),(38 2412942.3),(39 2487248.3),(40 2565558.5),(41 2653820.8),(42 2756855.8),(43 2868878.8),(44 2980652.3),(45 3096197.3),(46 3202014.8),(47 3313913),(48 3404006.3),(49 3493942.3),(50 3587363.3),(51 3687546.3),(52 3810916),(53 3945667.3),(54 4073625.3),(55 4220116.5),(56 4368391.5),(57 4519060),(58 4648440),(59 4739646.5),(60 4802733),(61 4857974),(62 4891879.5),(63 4935823),(64 4994372),(65 5084330.5),(66 5187082),(67 5297220.5),(68 5398966.5),(69 5536088.5),(70 5702169.5),(71 5873599.5),(72 6025160),(73 6203137.5),(74 6361962.5),(75 6592976),(76 6857152),(77 7123122),(78 7332974.5),(79 7554365.5),
(1 42356.72),(2 136475.89),(3 254099.94),(4 368926.88),(5 469392.8),(6 548035),(7 614788.56),(8 669897.1),(9 726809.4),(10 785802.9),(11 839784.25),(12 889455.44),(13 935706),(14 973715.56),(15 1002409.5),(16 1019865.5),(17 1026282.2),(18 1032087.2),(19 1040286.9),(20 1050702.4),(21 1063974.8),(22 1078397.9),(23 1091000.4),(24 1102704.9),(25 1109204.4),(26 1116496.3),(27 1121912.4),(28 1126082.5),(29 1133412),(30 1143862.8),(31 1155486.8),(32 1165076.4),(33 1175811.3),(34 1181668.4),(35 1184782.8),(36 1190509.4),(37 1194610.8),(38 1198862.5),(39 1200690.3),(40 1201576.1),(41 1197440.1),(42 1191624.6),(43 1183954.3),(44 1178234.4),(45 1173287.1),(46 1172178.3),(47 1170031),(48 1174082),(49 1179182.3),(50 1183831),(51 1185831.5),(52 1187422.4),(53 1189681.9),(54 1190899.1),(55 1192861.1),(56 1201146.5),(57 1213437.6),(58 1230722.5),(59 1248381.8),(60 1262231.5),(61 1273388.9),(62 1283083.1),(63 1289744.9),(64 1291616.1),(65 1293738),(66 1297623.9),(67 1305347.5),(68 1312017.1),(69 1319480.1),(70 1323594.8),(71 1322028.8),(72 1318675.1),(73 1316553.1),(74 1315348.8),(75 1315661.6),(76 1312970.3),(77 1306680.5),(78 1305242),(79 1302107.5),
(1 38888.375),(2 123834.8),(3 226547.19),(4 327403.25),(5 417414.16),(6 495112.94),(7 565006.56),(8 626632.3),(9 690978.2),(10 756461.1),(11 821239.44),(12 882375.3),(13 937500.5),(14 977300.5),(15 1004282.9),(16 1021103.44),(17 1034442.5),(18 1047281.6),(19 1062949.6),(20 1079989.6),(21 1099042.9),(22 1115473.6),(23 1124616.1),(24 1130465.8),(25 1131367.5),(26 1130567.8),(27 1129275),(28 1129502.3),(29 1131348.6),(30 1134380.8),(31 1138332),(32 1138239.1),(33 1135078),(34 1132031.8),(35 1130952.9),(36 1129536.9),(37 1128154.3),(38 1126972.5),(39 1125195),(40 1125860.5),(41 1127878.5),(42 1132043.8),(43 1132112.6),(44 1131297.8),(45 1129789.9),(46 1127571.8),(47 1125813.4),(48 1123028.1),(49 1119385),(50 1118223.3),(51 1117622.1),(52 1117131),(53 1120348),(54 1125752.3),(55 1126542.3),(56 1122782),(57 1116800),(58 1114429),(59 1115216.3),(60 1117583.1),(61 1114783.4),(62 1111460.4),(63 1106858.5),(64 1100463.9),(65 1097202.8),(66 1098481),(67 1102753),(68 1108389.8),(69 1113669.8),(70 1118802.8),(71 1120787.3),(72 1122904.1),(73 1124181.4),(74 1121576.9),(75 1117479.8),(76 1113630.5),(77 1109373),(78 1107160),(79 1102255.4),
(1 39209.85),(2 124511.75),(3 228297.16),(4 327181.8),(5 412670.8),(6 481315.06),(7 538823.7),(8 587970.7),(9 640233.06),(10 699304.5),(11 756646.56),(12 801879.25),(13 841451.44),(14 869155.4),(15 886680.9),(16 900147.56),(17 913073.7),(18 932575.2),(19 953191.5),(20 973798.7),(21 991758.1),(22 1005086),(23 1013623.6),(24 1021313.2),(25 1026960.56),(26 1033706.4),(27 1042396.25),(28 1051320.3),(29 1058128),(30 1058443.5),(31 1055209.1),(32 1048351.6),(33 1038432.56),(34 1023421.25),(35 1007180.8),(36 996225.7),(37 992634.5),(38 994599.44),(39 1001345.9),(40 1007854.44),(41 1012600.7),(42 1018925.75),(43 1024041.7),(44 1026694.25),(45 1027109.6),(46 1028603.56),(47 1032244.8),(48 1035354.75),(49 1040637.75),(50 1047930.75),(51 1054099.5),(52 1060051.1),(53 1066431.4),(54 1069331.6),(55 1067848.1),(56 1066890.8),(57 1063718),(58 1066541.5),(59 1075413.9),(60 1085988.5),(61 1093888.8),(62 1097739.9),(63 1096299.4),(64 1093581.8),(65 1089149.4),(66 1087465.8),(67 1085657.9),(68 1084126.6),(69 1082163),(70 1080993.9),(71 1080749),(72 1079979),(73 1072635.9),(74 1061085.6),(75 1049731.9),(76 1037467.25),(77 1027381.5),(78 1020659.4),(79 1013160.5),
(1 39609.984),(2 125497.4),(3 229702.88),(4 330381.28),(5 417373.34),(6 485382.44),(7 542649.6),(8 588303.56),(9 635735.9),(10 689112.8),(11 742054.94),(12 784375.6),(13 821479.56),(14 844852.94),(15 859772.44),(16 867555.3),(17 874436.25),(18 886141.8),(19 900889.56),(20 918612.1),(21 935991.4),(22 949387.2),(23 961561),(24 973134.25),(25 986781.1),(26 1001839.6),(27 1020670.5),(28 1040922.3),(29 1057703.8),(30 1068912.4),(31 1074763),(32 1079063.5),(33 1079529.8),(34 1078012),(35 1076088.3),(36 1076366.8),(37 1078950.8),(38 1087363.1),(39 1099088.5),(40 1112092.8),(41 1123479.1),(42 1132229.8),(43 1140975.5),(44 1147063.8),(45 1148904.6),(46 1150460.9),(47 1144987.4),(48 1136382.5),(49 1127503.1),(50 1120704.5),(51 1115026.4),(52 1114224),(53 1111661.8),(54 1106773.4),(55 1102945.1),(56 1102322.5),(57 1098234.3),(58 1093465.9),(59 1087828.1),(60 1081236.6),(61 1075246.4),(62 1068205.6),(63 1059118),(64 1052622.6),(65 1044962.75),(66 1034769.1),(67 1028984.06),(68 1024304),(69 1023174.4),(70 1024604.25),(71 1030245.6),(72 1038137.4),(73 1044566.7),(74 1048316.1),(75 1048516.5),(76 1045801.2),(77 1041987.2),(78 1039290.3),(79 1039926.44),
(1 37602.72),(2 120469.82),(3 221717.58),(4 319889.38),(5 404548.2),(6 468467.38),(7 521053.25),(8 569097.25),(9 620379.5),(10 670427.44),(11 714839.9),(12 752258.7),(13 784787.6),(14 809808.94),(15 827114.7),(16 835599.1),(17 840045.06),(18 848526.56),(19 859447.06),(20 871881.7),(21 883124),(22 893803.25),(23 900287.8),(24 906324.94),(25 913180.7),(26 924291.5),(27 940125.9),(28 956231.8),(29 969329.9),(30 980428.1),(31 989403.25),(32 997366.5),(33 1007078.75),(34 1014204.75),(35 1020132.3),(36 1023380.94),(37 1030248.5),(38 1037605.1),(39 1044372.94),(40 1050865.3),(41 1054382),(42 1053155.6),(43 1050228.3),(44 1046899.44),(45 1044419.6),(46 1045459.25),(47 1047410.7),(48 1049602.9),(49 1053575.4),(50 1059138.5),(51 1066842.9),(52 1078188.4),(53 1089786.5),(54 1099949.3),(55 1103136.6),(56 1104246.9),(57 1107781.5),(58 1107027.3),(59 1104095),(60 1099350.6),(61 1092167.8),(62 1084045.3),(63 1077924.6),(64 1076155),(65 1075245.4),(66 1072781.4),(67 1067353.1),(68 1060031.5),(69 1055198.9),(70 1054651.5),(71 1061923.6),(72 1073090.4),(73 1086253.8),(74 1099283.4),(75 1108924.3),(76 1112981.4),(77 1115679.6),(78 1112809),(79 1107165.4),
(1 35914.918),(2 113335.54),(3 209574.23),(4 301797.84),(5 383215.06),(6 450350.06),(7 505739.03),(8 554755.44),(9 605732.1),(10 656718),(11 702184.44),(12 740676.94),(13 773170.94),(14 796161.25),(15 812917.06),(16 824680.2),(17 834755.3),(18 844489.94),(19 853667.8),(20 862119.2),(21 868503.75),(22 873539.44),(23 878236.2),(24 880675.7),(25 880599.56),(26 881106.25),(27 884137.6),(28 891081.94),(29 897027.06),(30 900395.44),(31 903539.2),(32 909510.75),(33 917259.1),(34 924336.94),(35 931755.44),(36 936331.4),(37 942029.5),(38 947689.6),(39 951482),(40 954752.44),(41 958793.1),(42 959061.4),(43 955104.75),(44 947477.8),(45 937798),(46 929066.6),(47 922001.4),(48 919675.4),(49 922260.7),(50 927736.94),(51 935219.6),(52 940337.9),(53 943694.06),(54 944253.56),(55 943399.06),(56 943961.9),(57 950833.94),(58 959611.2),(59 968923.8),(60 973226.94),(61 973126),(62 966106.25),(63 957244.1),(64 947321.44),(65 938727.94),(66 931603.94),(67 924343.56),(68 916939.44),(69 911328.8),(70 906328.56),(71 904014.25),(72 900849.44),(73 897710.75),(74 896897.6),(75 893073.94),(76 886221.6),(77 878873.75),(78 871990.06),(79 866759.3),
(1 35805.668),(2 113101.25),(3 209035.7),(4 298824.38),(5 375389.1),(6 438967.78),(7 495726.47),(8 546851.2),(9 600445.5),(10 655564.3),(11 702903.94),(12 738149.5),(13 763465.3),(14 777561),(15 784605.6),(16 788948.7),(17 793930),(18 800316.7),(19 806003.4),(20 815477.8),(21 823186.5),(22 827194.4),(23 825891.7),(24 821481.5),(25 819351.2),(26 823752.94),(27 830824.94),(28 841026.5),(29 850561.8),(30 857622.44),(31 863008.75),(32 868696.44),(33 873249.8),(34 877675.9),(35 880197.6),(36 880174.2),(37 884440.6),(38 892286.9),(39 903955.1),(40 917393.4),(41 926329.2),(42 934233.56),(43 935890),(44 937325.1),(45 936724.94),(46 935234.56),(47 933798.44),(48 932731.75),(49 935654.06),(50 939767.6),(51 942393.2),(52 942112.2),(53 942245.06),(54 941826.94),(55 939454.6),(56 934455.44),(57 929938),(58 927393.6),(59 925663.6),(60 921947.75),(61 916405.44),(62 914579.1),(63 912282.56),(64 908541.7),(65 903210.1),(66 898552.94),(67 892854.9),(68 888612.25),(69 887714.7),(70 884995.2),(71 880808.06),(72 874037.6),(73 868275.7),(74 861824.56),(75 856661.9),(76 855171.4),(77 853538.94),(78 850774.5),(79 850476.1),
(1 36451.965),(2 115163.375),(3 209082.02),(4 294851.2),(5 365146.66),(6 416884.1),(7 460392.13),(8 496072.22),(9 534600.4),(10 572828.1),(11 609385.1),(12 641461.7),(13 666040.9),(14 680018.3),(15 684686.25),(16 686023.06),(17 688233.6),(18 689732.56),(19 687132.44),(20 687747.8),(21 691745.75),(22 697607.5),(23 701841.06),(24 704403.9),(25 701371.06),(26 697264.6),(27 696420.06),(28 700285.8),(29 708896.2),(30 716386.4),(31 723247.1),(32 729022.44),(33 734767.75),(34 736723.2),(35 739178.5),(36 740751.06),(37 741176.4),(38 742878.6),(39 748016.75),(40 755546),(41 763929.44),(42 770151.8),(43 773239.8),(44 776771.4),(45 778963.9),(46 779914.1),(47 782836.4),(48 787368.44),(49 789577.4),(50 791003.4),(51 790038.2),(52 786389.2),(53 780964.56),(54 776045.9),(55 771767.6),(56 771384.06),(57 773822.9),(58 779781.3),(59 789928.2),(60 802759.1),(61 814624.4),(62 824309.9),(63 828579.4),(64 831526.44),(65 832127.94),(66 831950.9),(67 834137.9),(68 840697.75),(69 850526.6),(70 859731.94),(71 864186.56),(72 865993.06),(73 867053.44),(74 866294.44),(75 869466.1),(76 873500.6),(77 873719.6),(78 871533.7),(79 867549.94),
(1 36869.848),(2 117931),(3 216006.38),(4 308138.1),(5 385058.34),(6 444942.9),(7 492406.97),(8 529722.94),(9 569420.7),(10 610799.5),(11 652755.2),(12 694049.6),(13 731520.5),(14 757669.56),(15 771108.2),(16 773051.4),(17 771503.8),(18 767982.6),(19 764600.6),(20 766567.75),(21 776262.94),(22 787320.44),(23 793674.2),(24 793245.2),(25 789110.2),(26 782489.06),(27 774533.8),(28 769653.94),(29 765257.5),(30 762928.5),(31 762436.6),(32 759778.25),(33 755292.06),(34 750991.8),(35 746264.25),(36 745798.25),(37 747138.9),(38 752208),(39 757986),(40 768690.25),(41 781429.1),(42 796972),(43 811668.5),(44 826930.5),(45 842381.94),(46 852020.5),(47 859067.1),(48 865071.2),(49 869929.4),(50 873790.9),(51 874588.94),(52 870288.44),(53 862261.8),(54 853003.1),(55 847747.1),(56 846839.06),(57 845793.1),(58 845478),(59 843527.56),(60 843222.9),(61 845767.3),(62 847286.9),(63 848223.6),(64 851358.6),(65 855177.1),(66 858511.06),(67 860153.4),(68 863096.94),(69 865008.06),(70 867118.4),(71 867260.4),(72 864997.2),(73 860398.25),(74 855486.9),(75 851749.1),(76 854476.7),(77 858096),(78 860677.56),(79 860809.56),
(1 35408.625),(2 112965.586),(3 207046.42),(4 296055.25),(5 369159.13),(6 426646.47),(7 472902.8),(8 509990.66),(9 551273.75),(10 594783.94),(11 636585.75),(12 671398.1),(13 698936.3),(14 712296.44),(15 715723.06),(16 714539.2),(17 715741.6),(18 718252.6),(19 721617.7),(20 732335.44),(21 743746.1),(22 751998.6),(23 754178.25),(24 747238.6),(25 738192.5),(26 728117.06),(27 719906.6),(28 711308.6),(29 706791.5),(30 707623.56),(31 710051.4),(32 711731.3),(33 713180.94),(34 714414.5),(35 715634.6),(36 719807),(37 728694),(38 738438.3),(39 745813.75),(40 751848.44),(41 755016.8),(42 758718.3),(43 758476.9),(44 757952.5),(45 758778.9),(46 761586.7),(47 769264.2),(48 778357.3),(49 785704.75),(50 789708.06),(51 790848.44),(52 788815.94),(53 785712),(54 779918.8),(55 773051.3),(56 770931.3),(57 771732.4),(58 775162.9),(59 777466.6),(60 780084.1),(61 786784.5),(62 792625.2),(63 793612.4),(64 790409.75),(65 786520.8),(66 787537.7),(67 791084.94),(68 797129.6),(69 802421.1),(70 804807.56),(71 801964.6),(72 795026.5),(73 786826.7),(74 776485.5),(75 770448.3),(76 770466.5),(77 775357.06),(78 781120.06),(79 788144.2),
(1 33743.07),(2 105691.14),(3 190502.31),(4 268114.56),(5 334015.72),(6 386143.3),(7 430559.38),(8 469523.28),(9 506678.9),(10 545695.2),(11 582533.9),(12 612567.75),(13 636160.5),(14 649873.8),(15 658421.56),(16 668412.8),(17 680309.9),(18 696529.56),(19 716911.2),(20 741349.94),(21 763031.1),(22 779721.8),(23 791112.8),(24 797438.9),(25 799120.8),(26 799210.1),(27 800614.8),(28 806290.6),(29 815320.56),(30 827723.6),(31 837310.25),(32 842079.75),(33 839853.06),(34 830839.44),(35 822060.06),(36 815348.1),(37 812814.6),(38 815117),(39 818317),(40 823443),(41 825531.94),(42 824533.44),(43 818811.25),(44 815303.6),(45 816842.3),(46 823848.9),(47 835412.8),(48 847400.25),(49 856526.75),(50 859187.9),(51 857957.4),(52 852019.94),(53 842192.7),(54 833081.7),(55 824202.94),(56 819812.94),(57 818244.94),(58 821457.9),(59 826303.2),(60 831343.5),(61 833399.1),(62 833161.2),(63 829829),(64 821913.25),(65 812135.2),(66 804410.56),(67 799604.25),(68 797311.8),(69 793969.9),(70 791338.1),(71 790013.8),(72 784154),(73 776438.9),(74 769080.5),(75 766860.94),(76 769166.56),(77 774925.6),(78 782383.06),(79 789405.6),
(1 34236.52),(2 106085.7),(3 188842.53),(4 265463.5),(5 329436.88),(6 377017.2),(7 414134.7),(8 446126.03),(9 480593.75),(10 512370.22),(11 545796.75),(12 575479),(13 598014.3),(14 612122.56),(15 619592.6),(16 628115.75),(17 637389.56),(18 649577.75),(19 660701.5),(20 671304.4),(21 680826.6),(22 687717.7),(23 692406.2),(24 693532.8),(25 691228.3),(26 689210.4),(27 691760),(28 700079.56),(29 708863.8),(30 718232.75),(31 728152.56),(32 737976.5),(33 746707.25),(34 753017.5),(35 761208.8),(36 768276.75),(37 774516.25),(38 780037.5),(39 784560.06),(40 793260),(41 803194.9),(42 813054.2),(43 818574.7),(44 821371.56),(45 824456.5),(46 827289.1),(47 831760),(48 835591.7),(49 838456.6),(50 840490.4),(51 840757.8),(52 837398.9),(53 830811.2),(54 823652.25),(55 820523.1),(56 818549.7),(57 819244.2),(58 817022.5),(59 813467.56),(60 806963.7),(61 798019.5),(62 790650.6),(63 783724.44),(64 776211.8),(65 772673.4),(66 772933.25),(67 776229.1),(68 781010.94),(69 786558.5),(70 793982.75),(71 802217.94),(72 806403.4),(73 807374.5),(74 802238.3),(75 795380.25),(76 784816.44),(77 774351.94),(78 767850.9),(79 767744.9),
(1 32264.36),(2 99415.21),(3 176783.36),(4 249372.47),(5 309227.9),(6 355740.2),(7 394009.7),(8 427873.47),(9 465623.03),(10 500897.1),(11 532918.44),(12 564010.56),(13 589369.2),(14 605773.4),(15 612580.94),(16 612894.25),(17 611244.3),(18 611585.9),(19 613605.2),(20 615504.06),(21 618118.5),(22 619218.3),(23 619403.44),(24 618039.3),(25 615437.2),(26 612135.4),(27 613436.94),(28 619232.25),(29 627527.4),(30 636062.94),(31 641535.6),(32 647911.4),(33 655511.94),(34 664256.06),(35 671316.75),(36 678860.94),(37 687585.1),(38 697308.06),(39 705516.5),(40 714306.44),(41 722520.25),(42 731746.3),(43 739674.56),(44 749363.9),(45 756389.25),(46 766219.94),(47 776692.7),(48 788791.6),(49 796558.56),(50 799755),(51 801088.8),(52 801643.4),(53 802248.2),(54 801023.6),(55 798058.5),(56 793651.9),(57 788768.25),(58 782973.8),(59 776544.5),(60 775059.6),(61 775342.56),(62 777156.44),(63 778642.75),(64 779777.6),(65 783719.75),(66 788427.25),(67 795088.2),(68 799780.7),(69 801233.94),(70 800684.94),(71 799941.9),(72 798610.7),(73 792007.94),(74 783258.44),(75 774054.7),(76 766099.25),(77 760377.1),(78 756194),(79 753007.1),
(1 32701.17),(2 99902.4),(3 179846.02),(4 252074.75),(5 307437.75),(6 345634.7),(7 375113.53),(8 400214.72),(9 430022.34),(10 459055.53),(11 489153.1),(12 516008.56),(13 539209.4),(14 552307.06),(15 558863.7),(16 562179.56),(17 564282.9),(18 566825.56),(19 570692.5),(20 575101.94),(21 582766.1),(22 591316),(23 599475.8),(24 605026.7),(25 605266.8),(26 601346.5),(27 598370.7),(28 600083.4),(29 607142.44),(30 617245.9),(31 624388.25),(32 632065.7),(33 642461.25),(34 652069.7),(35 661680.5),(36 665609),(37 666496.2),(38 667410.9),(39 669587),(40 673471.1),(41 677765.7),(42 683566.8),(43 691700.25),(44 700254.1),(45 708082.44),(46 710516.7),(47 712687.6),(48 717786.06),(49 723428.1),(50 730196.75),(51 733309.44),(52 735953.1),(53 738368.7),(54 738927.8),(55 738539.2),(56 734896.3),(57 731061.94),(58 726805.4),(59 719685.4),(60 713754),(61 711717.7),(62 713310.25),(63 714757.6),(64 712868.44),(65 710388.4),(66 709628.5),(67 708843.06),(68 709517.25),(69 710135.6),(70 710420.25),(71 707834.9),(72 703940.2),(73 697438.2),(74 687849.5),(75 672659.8),(76 657546.2),(77 647308.7),(78 642838.2),(79 641625.6),
(1 32764.186),(2 102044.19),(3 185578.3),(4 261193.78),(5 321818.4),(6 366787.6),(7 403232.78),(8 435088.9),(9 465598.72),(10 494667.7),(11 519346.25),(12 536102.25),(13 548624),(14 555334.9),(15 558001.44),(16 561308.94),(17 564595),(18 571706.75),(19 578458.5),(20 584269.4),(21 592258.9),(22 602777.3),(23 615528.25),(24 624643.56),(25 629616.56),(26 631744.3),(27 634608.1),(28 637544.9),(29 644687.2),(30 652081.8),(31 659424.75),(32 665990.56),(33 668464.7),(34 669655.4),(35 669543.25),(36 672929.06),(37 679114.6),(38 683759.3),(39 684360.8),(40 682723.1),(41 679622.56),(42 676977.75),(43 676096.9),(44 676465.7),(45 677564.06),(46 674942.56),(47 671076.5),(48 667125.75),(49 665754.5),(50 665717.1),(51 665397.9),(52 663178.9),(53 660349.9),(54 658326.25),(55 658947.6),(56 662155.2),(57 667256.3),(58 670813),(59 671282.44),(60 670691.25),(61 671243.94),(62 668755.2),(63 663955.1),(64 657941.06),(65 652137),(66 649643.2),(67 649955.7),(68 651569.06),(69 655535.5),(70 660678.94),(71 663821.94),(72 665078.5),(73 663447.6),(74 660255.2),(75 658843),(76 657461.1),(77 655284.75),(78 650940.44),(79 646204.6),
(1 30632.799),(2 94088.484),(3 168004.9),(4 236514.14),(5 292279.56),(6 333639.53),(7 367592.97),(8 398093.72),(9 424579.88),(10 453151.88),(11 479187.34),(12 496144.22),(13 507145.03),(14 514477.44),(15 523227.28),(16 533689.94),(17 541804.5),(18 550660.5),(19 555704.5),(20 562648.7),(21 569728.56),(22 577301.9),(23 583874.25),(24 590107.7),(25 595076.7),(26 598725),(27 600976.9),(28 604201.94),(29 609843.44),(30 615807.9),(31 621699.06),(32 628477.9),(33 635394.7),(34 639105),(35 641935.5),(36 643940.06),(37 646208.5),(38 649006.7),(39 650627.75),(40 653822.9),(41 658307.3),(42 662930.94),(43 662449.6),(44 659053.9),(45 653808.25),(46 646461.1),(47 636632.3),(48 628736),(49 624493.75),(50 622391.5),(51 623594.44),(52 627025.4),(53 627583.56),(54 627192.4),(55 626396.7),(56 626636.25),(57 627487.06),(58 629194.4),(59 631241.56),(60 633019.06),(61 634079.3),(62 631784.8),(63 626722.44),(64 621651.9),(65 616388.5),(66 613631.56),(67 613721.8),(68 615115.44),(69 619512.06),(70 621199.1),(71 625112),(72 628887.94),(73 630532.3),(74 630914.2),(75 629376.25),(76 628965.56),(77 628551.75),(78 631458.06),(79 633796.9),
(1 31838.277),(2 97810.18),(3 175012.97),(4 246533.9),(5 304169.16),(6 345574.94),(7 379950.1),(8 409279.75),(9 437366.7),(10 467606.7),(11 493254.1),(12 515923.72),(13 531743.44),(14 541887),(15 548804.7),(16 555029.1),(17 559216.4),(18 563386.6),(19 567528.5),(20 571762.6),(21 576507.75),(22 579493.2),(23 577053.1),(24 573661.7),(25 570420.94),(26 569925.56),(27 573219.4),(28 579661.94),(29 587133),(30 595903.44),(31 602798.1),(32 606353.7),(33 608222.9),(34 609411.56),(35 610708.3),(36 613408.56),(37 620125.7),(38 629612.6),(39 635597.7),(40 637738.6),(41 635572.4),(42 632389.3),(43 629589.1),(44 628928.3),(45 628986.9),(46 631223.5),(47 632310.6),(48 632782.56),(49 633518.44),(50 634403.2),(51 635217.06),(52 635566.6),(53 638533),(54 642877.5),(55 646380.25),(56 650915.4),(57 654329.56),(58 657082.94),(59 656156.75),(60 652455.44),(61 646455.94),(62 637679.6),(63 628029.8),(64 620556.94),(65 614618.94),(66 611181.4),(67 609738.56),(68 607830.1),(69 606933.8),(70 605485.25),(71 604061.44),(72 604249.4),(73 603521.44),(74 600675.1),(75 596629.7),(76 596761),(77 598958.94),(78 605268.44),(79 609325.1),
