1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 272171.8),(2 851994.7),(3 1557656.6),(4 2310562.8),(5 3142947.3),(6 4133245),(7 5272732),(8 6655798.5),(9 8190741.5),(10 9782965),(11 11278277),(12 12800632),(13 14424717),(14 16117165),(15 17801178),(16 19631762),(17 21568712),(18 24320394),(19 26561064),(20 28983006),(21 31435438),(22 34082300),(23 36754900),(24 40375508),(25 43316628),(26 46425084),(27 49546830),(28 52832364),(29 57241310),(30 60970820),(31 64535250),(32 68239290),(33 73276320),(34 77103510),(35 81068220),(36 86176200),(37 90574150),(38 95273704),(39 100202824),(40 105487770),(41 111621030),(42 119632090),(43 126290090),(44 132729064),(45 138350960),(46 144084530),(47 149616560),(48 155753230),(49 161901810),(50 168783490),(51 176843900),(52 185165380),(53 191039660),(54 196270060),(55 201069390),(56 205293890),(57 208645820),(58 211752830),(59 213984210),(60 216682690),(61 218104140),(62 218561280),(63 217904140),(64 215659730),(65 212466800),(66 208504880),(67 203946610),(68 199087170),(69 193330350),(70 187435400),(71 180742260),(72 173784300),(73 166369600),(74 159371140),(75 153049280),(76 147437870),(77 142499920),(78 137392060),(79 132574210),
(1 11149.567),(2 21799.781),(3 29383.545),(4 33687.844),(5 34915.875),(6 35794.35),(7 36502.613),(8 37476.496),(9 38335.645),(10 39058.383),(11 39219.484),(12 39507.38),(13 40246.598),(14 40471.305),(15 40726.82),(16 40136.457),(17 40248.32),(18 40701.31),(19 40936.832),(20 41016.59),(21 41349.67),(22 41132.953),(23 40958.832),(24 40957.508),(25 41279.195),(26 41721.652),(27 42601.79),(28 42874.05),(29 44452.867),(30 45386.23),(31 45914.457),(32 46123.445),(33 46678.613),(34 46422.39),(35 47061.688),(36 47331.83),(37 48231.844),(38 48856.484),(39 49225.223),(40 48404.32),(41 47466.99),(42 47120.844),(43 47439.12),(44 47731.867),(45 48388.08),(46 48134.05),(47 48434.69),(48 48463.39),(49 48769.438),(50 49227.21),(51 49608.465),(52 50232.918),(53 49618.496),(54 49830.484),(55 49709.586),(56 50397.715),(57 50351.754),(58 50668.848),(59 50583.652),(60 51926.32),(61 51716.016),(62 52005.71),(63 51147.766),(64 50992.09),(65 51603.414),(66 51459.582),(67 50365.523),(68 51109.516),(69 50936.926),(70 50934.984),(71 51005.613),(72 50283.21),(73 50250.492),(74 51780.676),(75 51255.8),(76 50314.75),(77 50502.582),(78 50737.867),(79 51398.793),
(1 10639.139),(2 20665.305),(3 27548.256),(4 31225.336),(5 32064.35),(6 32881.355),(7 33194.715),(8 33943.73),(9 34462.36),(10 35029.664),(11 35451.926),(12 35607.117),(13 36515.758),(14 37423.27),(15 37817.61),(16 37796.816),(17 37861.2),(18 38332.297),(19 38133.496),(20 37973.438),(21 38757.547),(22 39062.883),(23 39056.26),(24 39309.656),(25 39543.355),(26 40609.55),(27 41224.273),(28 41569.16),(29 42563.926),(30 42837.137),(31 43020.637),(32 43343.58),(33 43130.39),(34 42910.406),(35 43455.727),(36 44000.914),(37 45408.92),(38 45040.676),(39 45667.324),(40 45302.668),(41 45069.906),(42 45378.473),(43 45662.055),(44 45592.477),(45 46654.06),(46 46386.73),(47 46869.8),(48 46509.598),(49 46905.8),(50 47542.027),(51 47810),(52 47418.496),(53 47179.938),(54 47179.184),(55 47164.375),(56 47196.613),(57 47562.855),(58 47594.504),(59 47870.805),(60 48591.207),(61 49074.746),(62 48558.477),(63 47510.684),(64 48055.48),(65 48159.984),(66 48129.16),(67 46958.6),(68 47574.137),(69 47483.48),(70 47811.85),(71 47852.273),(72 47254.64),(73 47778.207),(74 48902.168),(75 48758.996),(76 48112.984),(77 48535.195),(78 48509.16),(79 48719.715),
(1 10652.322),(2 20686.293),(3 27291.863),(4 30746.676),(5 31403.434),(6 32227.656),(7 32748.115),(8 33754.242),(9 34298.617),(10 35075.11),(11 35608.64),(12 36069.56),(13 36476.65),(14 36990.813),(15 37232.47),(16 37531.813),(17 38088.504),(18 38689.926),(19 38509.418),(20 38388.152),(21 38055.367),(22 38156.668),(23 38387.77),(24 38398.695),(25 38886.297),(26 39736.277),(27 40187.85),(28 41015.64),(29 40969.84),(30 41013.33),(31 41281.797),(32 41729.47),(33 41888.05),(34 42613.484),(35 42914.3),(36 44100.77),(37 44217.613),(38 44609.387),(39 44497.332),(40 44354.035),(41 43949.99),(42 44858.297),(43 45231.797),(44 46104.754),(45 45794.258),(46 45850.594),(47 45879.81),(48 45830.31),(49 46111.676),(50 46594.52),(51 46904.813),(52 46740.46),(53 46217.277),(54 46002.316),(55 45457.836),(56 45380.8),(57 45674.55),(58 46055.414),(59 46946.566),(60 47256.41),(61 47817.797),(62 47402.863),(63 46498.813),(64 46908.566),(65 46689.88),(66 46561.215),(67 46325.727),(68 46753.867),(69 46376.95),(70 45979.797),(71 46600.344),(72 46835.65),(73 47223.645),(74 48675.07),(75 48439.18),(76 46858.94),(77 46890.04),(78 46565.438),(79 47151.797),
(1 10426.41),(2 20177.217),(3 26507.465),(4 29860.494),(5 30690.102),(6 31727.184),(7 32163.965),(8 33239.598),(9 33584.824),(10 34564.47),(11 35019.227),(12 35161.82),(13 35284.652),(14 36104.504),(15 36266.84),(16 36252.844),(17 37217.707),(18 37393.18),(19 36785.58),(20 36729.72),(21 36195.9),(22 36904.8),(23 37096.14),(24 36236.43),(25 36565.31),(26 37664.516),(27 38803.32),(28 39490.273),(29 39792.367),(30 40349.355),(31 39928.594),(32 40367.438),(33 40841.055),(34 41070.273),(35 41238.563),(36 41358.89),(37 42240.94),(38 42862.984),(39 43093.195),(40 42411.563),(41 42585.74),(42 42858.004),(43 43806.42),(44 44473.695),(45 44344.97),(46 44837.22),(47 44804.1),(48 44548.57),(49 45275.91),(50 45447.035),(51 45380.707),(52 45516.805),(53 45346.13),(54 45447.875),(55 45168.523),(56 44977.84),(57 44936.3),(58 45266.195),(59 45573.754),(60 46535.18),(61 46054.277),(62 45787.867),(63 45926.137),(64 46298.324),(65 46765.383),(66 46697.773),(67 46151.09),(68 46179.84),(69 46112.73),(70 45661.26),(71 46222.17),(72 46606.582),(73 46276.117),(74 47992.055),(75 48012.35),(76 47042.5),(77 47697.918),(78 47977.11),(79 48382.46),
(1 9989.506),(2 19391.209),(3 25151.676),(4 28040.135),(5 28505.584),(6 29344.14),(7 30053.838),(8 31230.506),(9 31896.852),(10 32657),(11 33352.77),(12 33237.11),(13 33429.37),(14 34073.977),(15 34040.41),(16 34318.688),(17 35550.434),(18 36167.664),(19 35515.605),(20 34896.523),(21 34728.9),(22 36079.71),(23 36563.043),(24 35824.887),(25 35573.137),(26 36888.832),(27 38062.18),(28 38417.63),(29 39528.4),(30 39605.46),(31 39273.582),(32 39333.383),(33 39587.965),(34 39950.047),(35 40257.14),(36 40307),(37 41123.17),(38 41443.707),(39 42297.9),(40 41398.184),(41 41614.168),(42 41974.75),(43 42497.227),(44 42568.777),(45 43249.09),(46 42665.47),(47 42860.74),(48 42702.766),(49 42929.816),(50 42333.332),(51 42217.03),(52 42027.066),(53 42135.477),(54 42351.926),(55 42002.777),(56 41577.785),(57 41817.12),(58 43003.207),(59 42960.93),(60 43435.25),(61 43637.215),(62 43621.918),(63 43176.086),(64 42959.06),(65 43567.4),(66 43730.13),(67 43622.098),(68 44093.977),(69 43711.04),(70 44162.867),(71 44817.348),(72 45128.258),(73 44383.348),(74 46196.44),(75 46511.52),(76 45564.33),(77 45982.254),(78 46184.9),(79 46484.902),
(1 9557.085),(2 18536.84),(3 23774.238),(4 26148.477),(5 26622.344),(6 27667.164),(7 28721.64),(8 29881.752),(9 30470.068),(10 31141.125),(11 31647.623),(12 31185.8),(13 31561.021),(14 31744.207),(15 31626.387),(16 32067.146),(17 33353.65),(18 33919.047),(19 33426.867),(20 32988.984),(21 33580.45),(22 34145.59),(23 34657.848),(24 34246.703),(25 34379.86),(26 35720.336),(27 36392.29),(28 36910.996),(29 37828.066),(30 37455.188),(31 37290.324),(32 37026.996),(33 37282.91),(34 37542.66),(35 37574.9),(36 38283.28),(37 38709.367),(38 40249.81),(39 39027.645),(40 39954.816),(41 39211.242),(42 40147.402),(43 40354.8),(44 40400.066),(45 40741.887),(46 40731.668),(47 40149.758),(48 40136.867),(49 41043.418),(50 40176.156),(51 40201.047),(52 40070.156),(53 40211.223),(54 41125.594),(55 41332.51),(56 40693.074),(57 40828.027),(58 40985.582),(59 41306.082),(60 41450.25),(61 41584.934),(62 42171.492),(63 41947.305),(64 41927.676),(65 41728.08),(66 41911.22),(67 42001.59),(68 43046.098),(69 42838.066),(70 42708.18),(71 43974.44),(72 43787.758),(73 42955.66),(74 44119.996),(75 43883.082),(76 42898.83),(77 44017.723),(78 44502.31),(79 44731.46),
(1 9440.829),(2 18297.236),(3 23278.828),(4 25326.406),(5 25852.795),(6 27183.803),(7 28525.53),(8 29552.07),(9 29854.154),(10 30424.305),(11 30692.742),(12 30477.078),(13 30946.38),(14 31341.576),(15 31401.594),(16 32329.672),(17 33564.934),(18 33937.047),(19 33402.492),(20 33046.79),(21 33330.715),(22 34528.3),(23 34474.617),(24 33463.777),(25 34283.016),(26 34974.313),(27 35303.2),(28 35980.81),(29 36349.035),(30 36255.652),(31 36268.676),(32 36124.4),(33 36778.3),(34 37363.586),(35 37285.832),(36 37886.723),(37 38113.453),(38 39172.363),(39 38664.473),(40 39214.316),(41 38827.96),(42 39396.49),(43 39881.023),(44 40851.082),(45 40582.27),(46 40859.66),(47 41048.71),(48 40634.75),(49 40826.973),(50 40283.82),(51 40346.434),(52 39458.58),(53 39480.402),(54 39599.31),(55 39232.58),(56 38922.355),(57 39555.5),(58 39239.395),(59 39116.188),(60 39187.82),(61 39347.566),(62 39338.74),(63 38968.45),(64 39973.266),(65 40429.19),(66 40817.254),(67 41165.63),(68 41641.473),(69 41678.92),(70 41930.793),(71 43150.926),(72 43598.086),(73 43007.746),(74 43682.49),(75 43684.36),(76 43417.137),(77 44388.676),(78 44353.418),(79 43711.61),
(1 9282.682),(2 17905.342),(3 22637.096),(4 24302.777),(5 24689.299),(6 26081.746),(7 27537.178),(8 28271.605),(9 28553.725),(10 29281.17),(11 29388.91),(12 28868.15),(13 29227.773),(14 29737.098),(15 30305.857),(16 31092.47),(17 32140.86),(18 32634.916),(19 32191.94),(20 32205.162),(21 32337.412),(22 33594.56),(23 33407.453),(24 33012.094),(25 33597.9),(26 34186.78),(27 34974.316),(28 35632.01),(29 36124.625),(30 36329.45),(31 36424.195),(32 36095.992),(33 36550.035),(34 36219.75),(35 36508.395),(36 36191.523),(37 37323.453),(38 36981.688),(39 37973.117),(40 37683.754),(41 37814.81),(42 38055.324),(43 37856.203),(44 38321.08),(45 38845.31),(46 38470.07),(47 38896.75),(48 39355.035),(49 39419.273),(50 39294.234),(51 38185.703),(52 37855.34),(53 37980.25),(54 38548.24),(55 38414.668),(56 38075.035),(57 38654.41),(58 38898.715),(59 38562.613),(60 38816.34),(61 39267.13),(62 38949.797),(63 39169.84),(64 39534.504),(65 39949.875),(66 39703.16),(67 39686.082),(68 39676.234),(69 39679.184),(70 40282.832),(71 41212.81),(72 41543.87),(73 41378.805),(74 41504.746),(75 41030.07),(76 40940.69),(77 41770.465),(78 41968.555),(79 41229.926),
(1 9207.993),(2 17770.773),(3 21812.336),(4 22846.21),(5 23392.813),(6 24876.348),(7 26577.426),(8 27527.008),(9 28182.766),(10 28085.94),(11 28183.1),(12 28136.074),(13 28568.832),(14 29404.979),(15 30083),(16 30800.285),(17 31743.76),(18 31820.266),(19 31833.762),(20 32241.078),(21 32608.49),(22 33180.047),(23 32964.582),(24 32700.121),(25 32963.805),(26 33784.04),(27 34240.656),(28 34547.81),(29 35372.61),(30 35765.996),(31 35139.914),(32 35159.617),(33 35495.02),(34 35031.047),(35 35841.777),(36 35556.19),(37 36169.516),(38 36572.547),(39 37222.62),(40 37917.664),(41 37332.953),(42 38450.465),(43 38166.44),(44 38357.49),(45 38783.64),(46 38845.17),(47 39116.09),(48 39240.098),(49 39653.133),(50 39728.785),(51 39157.99),(52 39276.387),(53 39177.063),(54 38484.93),(55 38986.848),(56 38703.66),(57 38684.64),(58 39079.336),(59 39179.918),(60 39355.51),(61 39686.91),(62 39503.32),(63 39939.49),(64 40141.77),(65 40791.098),(66 41147.89),(67 40794.605),(68 40870.85),(69 41598.887),(70 41675.766),(71 42764.83),(72 43262.066),(73 43088.563),(74 43615.688),(75 43090.324),(76 42602.266),(77 43623),(78 42820.65),(79 42310.22),
(1 9089.674),(2 17697.197),(3 21767.4),(4 23142.723),(5 23897.648),(6 25162.572),(7 27106.266),(8 27922.4),(9 28225.984),(10 27644.86),(11 27723.648),(12 27760.111),(13 28014.145),(14 29047.625),(15 29640.152),(16 30218.465),(17 30799.836),(18 30367.832),(19 30925.676),(20 31230.219),(21 31706.592),(22 31988.4),(23 32280.973),(24 32214.623),(25 32340.494),(26 33326.08),(27 32936.32),(28 33221.777),(29 33616.402),(30 34011.72),(31 33956.805),(32 34256.105),(33 34340.203),(34 34556.28),(35 34932.516),(36 35088.293),(37 35467.43),(38 36176.52),(39 36321.633),(40 36701.402),(41 36684.316),(42 37087.668),(43 36827.793),(44 37485.297),(45 37596.63),(46 37970.695),(47 37861.164),(48 38004.066),(49 38167.22),(50 37905.156),(51 37840.117),(52 38283.21),(53 38061.523),(54 37619.28),(55 37248.46),(56 37160.848),(57 36642.223),(58 37479.33),(59 37912.063),(60 37819.1),(61 38563.004),(62 38156.85),(63 38077.117),(64 38417.97),(65 38391.35),(66 38873.695),(67 38703.504),(68 39271.395),(69 39613.98),(70 39189.688),(71 40314.85),(72 41491.9),(73 41698.004),(74 41930.996),(75 41182.66),(76 41143.06),(77 41654.887),(78 40857.605),(79 40597.49),
(1 8725.051),(2 16874.627),(3 20631.182),(4 21923.56),(5 22414.334),(6 23941.625),(7 25904.701),(8 26762.223),(9 26592.375),(10 25826.246),(11 25710.64),(12 25692.186),(13 26616.273),(14 27853.441),(15 27949.207),(16 28670.602),(17 29014.652),(18 29053.41),(19 29819.39),(20 30102.174),(21 30332.727),(22 30517.447),(23 30613.492),(24 30366.754),(25 30603.963),(26 30989.01),(27 30873.492),(28 31503.088),(29 32201.313),(30 32422.404),(31 32617.133),(32 32740.268),(33 32639.682),(34 32976.203),(35 33242.117),(36 33599.33),(37 33915.105),(38 34076.098),(39 34784.76),(40 34681.7),(41 35203.633),(42 35431.516),(43 35436.453),(44 35861.727),(45 36132.47),(46 36700.49),(47 36295.09),(48 36300.28),(49 36466.74),(50 36690.97),(51 36416.64),(52 35891.848),(53 35725.53),(54 35905.543),(55 35255.61),(56 34896.645),(57 35173.547),(58 35340.27),(59 36079.875),(60 36420.965),(61 37155.035),(62 37313.027),(63 36838.81),(64 37270.273),(65 37239.79),(66 37917.652),(67 37710.79),(68 37877.96),(69 37547.227),(70 37856.164),(71 38398.457),(72 38912.293),(73 38744.51),(74 39754.316),(75 39845.813),(76 39641.875),(77 39783.72),(78 39269.56),(79 39304.953),
(1 8700.518),(2 16697.904),(3 20816.727),(4 22434.523),(5 22836.13),(6 24445.813),(7 26273.32),(8 27316.707),(9 26757.293),(10 26116.459),(11 25878.623),(12 26093.713),(13 27579.297),(14 28732.836),(15 29102.207),(16 29212.352),(17 28971.023),(18 29134.895),(19 29747.268),(20 30413.412),(21 30624.645),(22 30719.363),(23 30459.498),(24 30304.986),(25 30955.445),(26 31075.49),(27 31129.473),(28 31668.24),(29 31578.867),(30 31859.615),(31 32135.14),(32 31838.826),(33 31658.86),(34 32068.158),(35 32177.45),(36 32520.861),(37 33109.137),(38 33047.19),(39 33695.71),(40 34613.93),(41 34746.79),(42 34932.22),(43 34991.742),(44 35512.93),(45 36048.62),(46 36468.348),(47 36285.05),(48 36546.227),(49 36346.438),(50 36356.29),(51 36303.695),(52 35772.17),(53 35315.215),(54 35546.48),(55 35290.91),(56 35252.813),(57 35041.48),(58 35808.832),(59 36286.695),(60 36231.832),(61 37346.402),(62 36723.33),(63 36249.54),(64 36675.176),(65 36837.16),(66 37034.59),(67 36805.758),(68 36551.773),(69 36887.367),(70 37415.2),(71 37751.324),(72 37924.594),(73 38374.22),(74 39258.383),(75 38948.65),(76 38473.22),(77 38750.664),(78 39406.23),(79 38616.383),
(1 8485.558),(2 16197.5625),(3 20449.447),(4 21725.594),(5 22297.012),(6 23849.645),(7 25421.566),(8 26184.896),(9 25896.902),(10 25289.055),(11 25191.008),(12 25560.945),(13 26354.902),(14 27020.81),(15 28133.441),(16 28376.096),(17 27836.582),(18 27827.31),(19 28589.97),(20 29228.648),(21 29140.984),(22 29060.715),(23 28873.578),(24 29068.52),(25 29657.473),(26 29793.191),(27 29979.404),(28 30232.36),(29 30134.322),(30 31057.764),(31 30902.154),(32 30727.092),(33 30486.313),(34 30468.37),(35 30861.828),(36 30984.01),(37 31452.445),(38 32254.076),(39 33046.156),(40 33759.89),(41 33502.67),(42 33417.637),(43 33959.53),(44 34262.08),(45 34296.93),(46 34710.035),(47 34323.81),(48 34395.81),(49 34502.625),(50 34638.383),(51 34268.04),(52 34629.785),(53 34797.86),(54 34359.52),(55 34179.996),(56 34768.29),(57 34624.066),(58 35073.953),(59 35251.85),(60 35157.406),(61 35579.78),(62 35347.242),(63 35590.453),(64 36128.51),(65 36093.387),(66 36390.297),(67 36268.895),(68 35675.57),(69 35765.676),(70 35805.625),(71 35891.336),(72 36497.777),(73 37241.773),(74 37963.03),(75 37336.723),(76 36889.527),(77 37376.37),(78 38073.652),(79 37401.223),
(1 8670.378),(2 16543.166),(3 21247.797),(4 22636.002),(5 23279.227),(6 24815.191),(7 26579.416),(8 27223.84),(9 27402.941),(10 26395.592),(11 26182.566),(12 26813.963),(13 27551.797),(14 28435.805),(15 29278.38),(16 29584.623),(17 29255.236),(18 29288.318),(19 30268.492),(20 30887.893),(21 30723.281),(22 30328.652),(23 30272.947),(24 30332.945),(25 30388.479),(26 30480.998),(27 30172.494),(28 29915.002),(29 30244.215),(30 30882.76),(31 30587.184),(32 30747.531),(33 30627.605),(34 30221.021),(35 30735.377),(36 30828.078),(37 31457.2),(38 31493.486),(39 32916.527),(40 32735.836),(41 33562.09),(42 33541.7),(43 33342.926),(44 34896.31),(45 34301.24),(46 34682.086),(47 34610.5),(48 35258.18),(49 35247.336),(50 35865.926),(51 35784.598),(52 35772.582),(53 35891.027),(54 35701.7),(55 35357.715),(56 35764.23),(57 35701.426),(58 36486.914),(59 36458.703),(60 36156.887),(61 36228.93),(62 35738.563),(63 35847.664),(64 35987.477),(65 35611.363),(66 37029.55),(67 36632.234),(68 35958.145),(69 35839.47),(70 36123.61),(71 36191.72),(72 36788.137),(73 37248.582),(74 37531.508),(75 37282.984),(76 36599.41),(77 37524.004),(78 38228.168),(79 36765.848),
(1 8127.723),(2 15469.248),(3 19651.418),(4 20976.45),(5 21590.668),(6 22668.43),(7 24406.229),(8 25345.715),(9 25664.998),(10 24689.617),(11 24520.078),(12 24997.063),(13 25248.178),(14 26291.586),(15 26839.049),(16 26662.197),(17 26579.443),(18 26984.42),(19 27796.469),(20 28434.076),(21 28584.96),(22 28345.557),(23 28403.746),(24 28585.008),(25 28865.254),(26 28967.076),(27 28965.496),(28 28748.148),(29 29099.15),(30 29153.99),(31 29726.645),(32 29530.01),(33 29357.467),(34 29464.053),(35 29739.854),(36 29905.248),(37 30563.361),(38 30830.69),(39 31723.855),(40 31405.14),(41 31531.658),(42 32728.693),(43 32595.088),(44 33453.977),(45 33740.215),(46 33376.848),(47 33255.38),(48 32982.316),(49 33283.184),(50 33338.863),(51 33299.855),(52 33425.844),(53 33190.496),(54 33035.56),(55 33570.125),(56 33408.5),(57 33240.566),(58 33729.6),(59 34135.04),(60 33735.156),(61 34032.434),(62 34151.594),(63 33890.28),(64 33586.918),(65 33314.336),(66 33823.824),(67 33536.617),(68 32716.96),(69 32499.648),(70 32982.18),(71 33416.875),(72 33932.28),(73 33671.145),(74 34433.113),(75 34624.33),(76 34302.35),(77 35417.684),(78 35508.543),(79 35319.113),
(1 7821.051),(2 14876.146),(3 18953.04),(4 20220.824),(5 20611.426),(6 21838.275),(7 23545.133),(8 24512.285),(9 24615.629),(10 23732.588),(11 23673.441),(12 24320.262),(13 24784.404),(14 25886.6),(15 26301.336),(16 26211.686),(17 25793.264),(18 25931.693),(19 26264.674),(20 26984.51),(21 27467.854),(22 27319.813),(23 27311.09),(24 27617.146),(25 28001.063),(26 28014.98),(27 27688.58),(28 27599.32),(29 27769.441),(30 28176.879),(31 28403.225),(32 28497.197),(33 28035.736),(34 27910.809),(35 28005.988),(36 28803.662),(37 29173.738),(38 30372.293),(39 30427.611),(40 30933.979),(41 31106.572),(42 31234.488),(43 32013.488),(44 31941.01),(45 32156.799),(46 31978.299),(47 31874.898),(48 31718.014),(49 31605.824),(50 31860.803),(51 32200.338),(52 32429.611),(53 32425.303),(54 31973.12),(55 32668.354),(56 32453.12),(57 32084.816),(58 32170.367),(59 32030.951),(60 31651.67),(61 31641.611),(62 31633.588),(63 31811.115),(64 31591.049),(65 31388.229),(66 32168.758),(67 32118.225),(68 31918.938),(69 31861.164),(70 32259.152),(71 32794.21),(72 33042.74),(73 32999.867),(74 33734.06),(75 33573.566),(76 33485.58),(77 34293.332),(78 34549.74),(79 34458.023),
(1 7816.051),(2 14891.916),(3 19111.598),(4 20438.287),(5 20740.668),(6 22267.19),(7 23721.533),(8 25040.25),(9 25359.7),(10 24551.254),(11 24484.438),(12 24723.922),(13 25337.133),(14 26081.6),(15 26357.973),(16 26177.098),(17 26366.816),(18 26227.996),(19 26300.902),(20 27059.693),(21 27537.97),(22 27330.373),(23 27190.54),(24 27209.184),(25 27605.621),(26 27300.947),(27 26892.16),(28 27123.473),(29 26795.428),(30 27970.047),(31 28047.518),(32 28952.242),(33 28219.6),(34 28285.434),(35 28338.133),(36 28944.521),(37 29899.947),(38 30341.518),(39 30698.592),(40 30695.742),(41 31454.352),(42 30965.943),(43 31900.75),(44 31362.416),(45 30987.543),(46 31120.396),(47 31023.637),(48 30938.613),(49 31015.521),(50 31225.732),(51 31519.89),(52 31501.273),(53 31056.75),(54 31250.521),(55 30895.162),(56 30962.81),(57 30457.27),(58 30815.299),(59 30940.67),(60 30845.662),(61 31037.021),(62 30602.768),(63 30417.104),(64 30475.76),(65 30553.783),(66 30947.84),(67 31188.08),(68 31101.309),(69 30736.213),(70 30822.299),(71 31638.156),(72 31750.004),(73 31930.072),(74 32583.531),(75 32970.152),(76 33003.215),(77 33606.93),(78 33865.65),(79 34073.453),
(1 7680.9897),(2 14540.0625),(3 18624.918),(4 19718.295),(5 20032.596),(6 21491.23),(7 22745.426),(8 23703.43),(9 24267.332),(10 23951.354),(11 24005.27),(12 24295.645),(13 24868.922),(14 25146.598),(15 25358.057),(16 25466.959),(17 25740.443),(18 25392.563),(19 25515.963),(20 26279.365),(21 26424),(22 26100.898),(23 26373.367),(24 26416.664),(25 26857.457),(26 26745.91),(27 26902.467),(28 26687.955),(29 26331.887),(30 27010.74),(31 27231.057),(32 27850.703),(33 27204.803),(34 27157.197),(35 27901.693),(36 27897.832),(37 29207.469),(38 28804.074),(39 29260),(40 29160.068),(41 29262.748),(42 30052.467),(43 30185.992),(44 30720.318),(45 30043.436),(46 30479.242),(47 30450.807),(48 30367.857),(49 30271.887),(50 30850.176),(51 30744.182),(52 30656.137),(53 30181.178),(54 30510.555),(55 29966.97),(56 30124.592),(57 29963.068),(58 29734.49),(59 30058.99),(60 30107.182),(61 30253.256),(62 29574.86),(63 29590.121),(64 29664.852),(65 29727.736),(66 30383.865),(67 30141.21),(68 29911.033),(69 29982.135),(70 30402.951),(71 31293.041),(72 31864.098),(73 31796.3),(74 32283.576),(75 32666.648),(76 32772.125),(77 33484.42),(78 33937.902),(79 34622.81),
