1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 54196.965),(2 157343.8),(3 303951.1),(4 492627.6),(5 697852.94),(6 906946.8),(7 1141037.9),(8 1349556),(9 1551763),(10 1750384.4),(11 1909052.5),(12 2068275.1),(13 2246448.3),(14 2387252.3),(15 2533609.3),(16 2696354.3),(17 2818623),(18 2999584.3),(19 3204618.8),(20 3392768.8),(21 3515801),(22 3606772),(23 3681909.8),(24 3719721.8),(25 3699996),(26 3713090.8),(27 3691073.3),(28 3652727.8),(29 3644524.8),(30 3630405.3),(31 3618267.3),(32 3621522),(33 3627405.3),(34 3626695.3),(35 3618822),(36 3609028.8),(37 3586093.8),(38 3567894),(39 3545140),(40 3502683.3),(41 3444696.8),(42 3398844.3),(43 3318706.3),(44 3253592.8),(45 3183947),(46 3139679.3),(47 3084348),(48 3043382.8),(49 2999911.8),(50 2922485.3),(51 2898896.3),(52 2867408.8),(53 2847498),(54 2883663.3),(55 2928961.8),(56 3000356.8),(57 3102067.3),(58 3210114),(59 3345710),(60 3507604),(61 3662434.8),(62 3804084.8),(63 3963698.8),(64 4103974),(65 4202071),(66 4246330),(67 4235193),(68 4220296.5),(69 4172332.8),(70 4128712.8),(71 4081712.8),(72 4026084.3),(73 3989617),(74 3988456.3),(75 3988975.3),(76 3989088),(77 3977605),(78 4003217),(79 4031923.3),
(1 22947.35),(2 65844.414),(3 115251.86),(4 161307.81),(5 203159.86),(6 239466),(7 270834.47),(8 296733.22),(9 317674.25),(10 335728.78),(11 350257.88),(12 361814.03),(13 374007.13),(14 387354.22),(15 400866.56),(16 411859.8),(17 421775.2),(18 431389.2),(19 440374.3),(20 445839.6),(21 451211.72),(22 456036.7),(23 458979.3),(24 461918.8),(25 461060.2),(26 461007.72),(27 459228.66),(28 455064.75),(29 452805.88),(30 450206.72),(31 446859.25),(32 446818.22),(33 449767.1),(34 450931.6),(35 449641),(36 446061.88),(37 445564.22),(38 448589.06),(39 452873.94),(40 454160.03),(41 451927.1),(42 454406.53),(43 456220.22),(44 453349.16),(45 445583.4),(46 436420.8),(47 432327.2),(48 433816.1),(49 435619.22),(50 437140.4),(51 436745.44),(52 439053.16),(53 445665.38),(54 454316.38),(55 462529.56),(56 471097.75),(57 478503.9),(58 483451.25),(59 487495.72),(60 492208.28),(61 491229.78),(62 487748.2),(63 483478.84),(64 483176.03),(65 481592.38),(66 482543.9),(67 483741.88),(68 485198.8),(69 483960.1),(70 478989.34),(71 477450.03),(72 475422.66),(73 476773.6),(74 476330.47),(75 473822.47),(76 473325.66),(77 473594.13),(78 473570.94),(79 474684.88),
(1 23802.607),(2 69165.086),(3 119767.266),(4 164971.58),(5 202995.64),(6 232879.31),(7 259752.08),(8 284564.44),(9 305309.25),(10 324900),(11 342282.38),(12 359798.28),(13 379357.75),(14 397800.47),(15 413224.06),(16 423875.9),(17 427730.47),(18 431827.25),(19 435640.53),(20 439971.44),(21 443971.06),(22 447611.1),(23 450335.72),(24 453464.53),(25 451896.47),(26 448604.72),(27 446189.1),(28 444455.47),(29 441152.63),(30 438328.25),(31 436701.75),(32 437499.8),(33 442300.9),(34 445329.9),(35 447312.9),(36 447527.84),(37 445759.84),(38 447666.34),(39 450051.84),(40 450889.8),(41 449242.1),(42 450810.47),(43 451220.8),(44 453476.56),(45 453533.44),(46 454400.47),(47 453343.2),(48 453371.28),(49 452642.1),(50 451521.63),(51 453470.94),(52 457642.47),(53 459670.28),(54 461735.34),(55 465199.8),(56 468761.25),(57 471513.2),(58 476382.84),(59 486105.9),(60 490913.44),(61 488859.06),(62 482852.47),(63 478658.53),(64 474278.1),(65 469182.56),(66 463223.1),(67 455978.84),(68 455240),(69 458870),(70 458684.56),(71 461216.25),(72 463323.16),(73 462926.75),(74 460944.94),(75 457284.16),(76 452265.84),(77 449143.44),(78 447075.28),(79 446401.44),
(1 23240.281),(2 66441.16),(3 115200.234),(4 160469.08),(5 200505.47),(6 233480.63),(7 259583.11),(8 283950.4),(9 304744.47),(10 325415.88),(11 341171.78),(12 355773.7),(13 367021.44),(14 375183),(15 383457.3),(16 388675.53),(17 393851.88),(18 398196.88),(19 402646.03),(20 405222.22),(21 408591.6),(22 410445.44),(23 415986.78),(24 422879.6),(25 428822.94),(26 434449.78),(27 439091.9),(28 441540.38),(29 441706.16),(30 442243.97),(31 442788.28),(32 443846.47),(33 446073.78),(34 445571.78),(35 444743.16),(36 442902.78),(37 440129.47),(38 436820.4),(39 432568.63),(40 427902.8),(41 422389.8),(42 420662.53),(43 416242.1),(44 413246.06),(45 414006.88),(46 418338.03),(47 428588.56),(48 435219.13),(49 435845.9),(50 432328.63),(51 430150.34),(52 429343.72),(53 427543.06),(54 427213.9),(55 425771.06),(56 423193.1),(57 419026.78),(58 415518.22),(59 417286.4),(60 423528.5),(61 431516.56),(62 439074.56),(63 442222.22),(64 442791.5),(65 444733.34),(66 445591.25),(67 444592.56),(68 442035.13),(69 439057.94),(70 434189.44),(71 434822.7),(72 434201.66),(73 433546.7),(74 429421.78),(75 427141.25),(76 429542.75),(77 433117.06),(78 434745.34),(79 436319),
(1 25186.336),(2 72758.13),(3 125747.97),(4 174147.61),(5 216449.52),(6 251652.97),(7 282134),(8 306872.4),(9 329524.3),(10 349784.97),(11 367050.7),(12 384330.44),(13 399716.03),(14 409121.78),(15 415817.66),(16 418810.66),(17 424561.66),(18 426707.03),(19 425301.78),(20 422058.34),(21 419958.3),(22 419705.38),(23 422789.88),(24 428933.06),(25 432394.47),(26 433664),(27 435319.25),(28 437153.16),(29 436232.7),(30 433942.94),(31 433355.8),(32 435014.06),(33 437835.44),(34 441712.88),(35 444854.56),(36 448925.25),(37 452304.38),(38 450837.66),(39 446361.6),(40 439274.03),(41 431634.16),(42 425588.03),(43 420605.84),(44 416912.6),(45 420255.25),(46 418287.1),(47 415769.94),(48 410766.16),(49 405039.2),(50 401329.97),(51 399770.53),(52 400208.97),(53 403074.22),(54 407801.56),(55 410681.47),(56 414441.78),(57 413014.56),(58 414266.03),(59 420878.72),(60 425776.7),(61 431265.47),(62 432838.03),(63 434911.53),(64 437756.8),(65 442547.72),(66 448132.88),(67 453796.22),(68 459369.53),(69 466618.3),(70 474588.28),(71 479818.84),(72 483107.7),(73 487103.2),(74 487373.38),(75 487313.44),(76 488459.9),(77 485378.94),(78 482169.44),(79 479244.03),
(1 23930.416),(2 69250.11),(3 118122.234),(4 162944.47),(5 200953.72),(6 232453.08),(7 259620.9),(8 281648.03),(9 301653.97),(10 320598.2),(11 339424.78),(12 356631.7),(13 372657),(14 384160.38),(15 393891.97),(16 400244.3),(17 406164.72),(18 411758.16),(19 413550.6),(20 410809),(21 411559.88),(22 409259.4),(23 408231.13),(24 409155.97),(25 410497.13),(26 412121.6),(27 416966.16),(28 419638.44),(29 417947.2),(30 419804),(31 421433.63),(32 424151.22),(33 427030.2),(34 424718.06),(35 420899.9),(36 419707.75),(37 418313.94),(38 420606.06),(39 420248.44),(40 416156.7),(41 414420.44),(42 414939.8),(43 411321),(44 406428.66),(45 402767.4),(46 403758.06),(47 410899.1),(48 416575.3),(49 417847.34),(50 420954.63),(51 427914.84),(52 434498.63),(53 440807.44),(54 447909.97),(55 448570.38),(56 453276.03),(57 455087.8),(58 456338.6),(59 458589.94),(60 465072),(61 471440.7),(62 474978.16),(63 478257.13),(64 483497.56),(65 486977.28),(66 484855.56),(67 479698.25),(68 474295.8),(69 473165),(70 475150.2),(71 478317.4),(72 479688.56),(73 480438.84),(74 482805.28),(75 482553.06),(76 484145.97),(77 483837.72),(78 480634.38),(79 478114.3),
(1 23705.408),(2 68922.57),(3 117183.87),(4 160882.56),(5 197030.05),(6 226132.39),(7 248700.78),(8 268027),(9 286047.3),(10 307337.4),(11 327487.1),(12 343017.88),(13 355917.13),(14 367465.1),(15 374533.88),(16 381028.6),(17 383573.66),(18 386811.53),(19 384266.53),(20 379745.2),(21 377801.03),(22 376695.13),(23 379301),(24 385542),(25 388863.3),(26 390642.2),(27 389219.8),(28 389077.9),(29 387223.53),(30 386878.7),(31 385934.53),(32 385212),(33 386078.4),(34 387510.03),(35 389843.8),(36 392330.6),(37 394187.78),(38 397832.22),(39 400150.25),(40 399895.9),(41 399471.47),(42 395920.3),(43 393225.8),(44 394629.53),(45 399653.78),(46 405798.47),(47 410923.22),(48 413002.75),(49 411164.75),(50 410607.97),(51 416911.13),(52 418411.75),(53 417223.6),(54 418142.25),(55 417402.88),(56 415439.8),(57 419027.3),(58 422033.6),(59 422342.78),(60 424130.4),(61 421787.8),(62 419759.4),(63 422071.47),(64 426462.44),(65 429394.78),(66 426158.78),(67 419028.88),(68 410953.2),(69 408018.4),(70 408399.75),(71 407723),(72 405383.66),(73 404255),(74 407021.25),(75 412654.88),(76 415354.6),(77 419851.97),(78 420866.22),(79 421469.9),
(1 22443.725),(2 63937.496),(3 106819.64),(4 144505.56),(5 173318.14),(6 195013.39),(7 214225.89),(8 233914.36),(9 253610.31),(10 270114.9),(11 284366.1),(12 297956),(13 312845.6),(14 324723.6),(15 331552.97),(16 334758.4),(17 337040.8),(18 340519.63),(19 341099.3),(20 343198.16),(21 343123.13),(22 342916.22),(23 343611.75),(24 345928.75),(25 345714.66),(26 345176.1),(27 344186.78),(28 343984.16),(29 344356.66),(30 346744.4),(31 349238.13),(32 352982.8),(33 357761.84),(34 360832.6),(35 362245.6),(36 362875.9),(37 362942.28),(38 363563.2),(39 364748.5),(40 367122.88),(41 369535.13),(42 372397.8),(43 374707.88),(44 374535.75),(45 372887.75),(46 376262.66),(47 380580.22),(48 382987.28),(49 382464.63),(50 381361.53),(51 381285.9),(52 382207.88),(53 386197.06),(54 390027.6),(55 391851.5),(56 390808.4),(57 389288.03),(58 387620.94),(59 387025.84),(60 387279.3),(61 382143.5),(62 381380.94),(63 380345.3),(64 383977.7),(65 387078.34),(66 388393.66),(67 391031.03),(68 395171.63),(69 399281),(70 399603.78),(71 399017.6),(72 396384.94),(73 395542.16),(74 395719.2),(75 396323.97),(76 392559.03),(77 384853.3),(78 376857.84),(79 372668.13),
(1 23470.445),(2 67775),(3 116016.78),(4 162575.55),(5 202080.6),(6 233602.17),(7 260693.02),(8 281812.5),(9 297320.4),(10 308498.7),(11 318853.06),(12 330059.34),(13 340515.1),(14 344508),(15 344227.97),(16 342132.84),(17 341323.5),(18 342655.44),(19 345503.06),(20 348330.78),(21 351153.97),(22 356395.13),(23 363068.03),(24 369264.7),(25 369657.75),(26 369091.38),(27 366031.8),(28 362149.06),(29 357300.47),(30 355752.7),(31 356643.66),(32 360508.13),(33 367774.78),(34 371685.94),(35 374272.1),(36 378385.66),(37 381888.75),(38 383778.53),(39 386232.7),(40 388650.7),(41 389987.06),(42 392147.38),(43 390317.47),(44 390595.72),(45 388164.13),(46 384346.06),(47 378128.34),(48 373106.53),(49 370062.94),(50 369272.3),(51 369202.53),(52 370530.06),(53 375567.84),(54 382774.13),(55 389893.66),(56 393421.53),(57 397426.03),(58 397195.6),(59 397185.9),(60 397996),(61 399207.53),(62 403480.56),(63 407936),(64 408086.66),(65 404656.94),(66 401486.94),(67 399770.5),(68 401844.72),(69 400053.97),(70 396572.72),(71 392805.22),(72 390967.22),(73 392909.3),(74 398447.72),(75 402928.3),(76 406682.34),(77 408860.2),(78 408372.25),(79 411923.88),
(1 22427.906),(2 63584.363),(3 109175.59),(4 152703.11),(5 190902.38),(6 221060.58),(7 246586.4),(8 265020.25),(9 281177.72),(10 295369.7),(11 306830.3),(12 320009.78),(13 330816.13),(14 337145.38),(15 342222.94),(16 345131.78),(17 344855.84),(18 347062.75),(19 349889.3),(20 349545.88),(21 350058.1),(22 350267.2),(23 352707.9),(24 355365.6),(25 356069.16),(26 357884.8),(27 359743.97),(28 360852.63),(29 361964.97),(30 359325.3),(31 356709.25),(32 354889.7),(33 353475.1),(34 351845.88),(35 354864.1),(36 358433.9),(37 361697.03),(38 365888.53),(39 370746.63),(40 370185.2),(41 368388.3),(42 367406.84),(43 366919.22),(44 364152.9),(45 361206.66),(46 360899.44),(47 362316.78),(48 360215.63),(49 358876.25),(50 360994),(51 366137.84),(52 369330.4),(53 375174.9),(54 384799.75),(55 391886.63),(56 394082.28),(57 391997.78),(58 386185.22),(59 380645.88),(60 378528.4),(61 378364.7),(62 380474.53),(63 386115.75),(64 390899.78),(65 391102.94),(66 392641.88),(67 391457.16),(68 386691.06),(69 381893.88),(70 375862.13),(71 373704.03),(72 371915.88),(73 374291.34),(74 380425.9),(75 386728),(76 389859.34),(77 392183.75),(78 392840.84),(79 394865.25),
(1 21072.629),(2 58943.98),(3 98902.02),(4 134745.05),(5 164674.4),(6 189457.05),(7 209927.7),(8 227068.08),(9 239455.7),(10 251187.86),(11 260452.44),(12 270356.5),(13 280663.88),(14 285168),(15 289598.47),(16 296185.9),(17 304514.4),(18 312889.63),(19 317251.75),(20 317091.88),(21 316704.16),(22 318227.6),(23 321269.53),(24 322109.9),(25 321740.34),(26 323739.34),(27 327901.97),(28 334116.28),(29 339721.34),(30 342949.8),(31 344694.03),(32 345384.44),(33 346996.44),(34 345249.4),(35 344462.22),(36 346572.13),(37 351765.53),(38 356921.53),(39 358394.16),(40 356330.63),(41 353412.44),(42 352838.75),(43 354004.6),(44 354338.5),(45 354204.6),(46 352920.84),(47 352507.22),(48 354514.34),(49 354204.3),(50 355234.03),(51 357871.6),(52 359906.25),(53 362712.28),(54 368246.53),(55 369144.03),(56 365369.22),(57 361509.63),(58 355279.34),(59 350818.6),(60 349181.22),(61 346071.9),(62 346642.9),(63 344823.56),(64 348490.5),(65 353974.2),(66 359776.16),(67 362247.9),(68 361268.6),(69 360390.44),(70 357383.7),(71 355469.97),(72 352830.03),(73 350111.72),(74 347519.9),(75 344778.84),(76 341646.6),(77 341001.4),(78 339452.13),(79 339779.22),
(1 21797.89),(2 59865.137),(3 97912.234),(4 131764.53),(5 157384.33),(6 178575.25),(7 198668.36),(8 215979.1),(9 231731.61),(10 245794.89),(11 257934.53),(12 269234.9),(13 277758.25),(14 283314.97),(15 287238.97),(16 292421),(17 298048.56),(18 303410.9),(19 305570.4),(20 304991.56),(21 305149.16),(22 307229.2),(23 312597.97),(24 316481.6),(25 315275.28),(26 315370.25),(27 313987.34),(28 313534.56),(29 313372.1),(30 313198.56),(31 310990.2),(32 311335.38),(33 314725.53),(34 319878.72),(35 326559.97),(36 333043.25),(37 336668.6),(38 340171.9),(39 342013.88),(40 343814.78),(41 344171.1),(42 346773),(43 351456.16),(44 354779.25),(45 354877.22),(46 354906.25),(47 354387.1),(48 354835.97),(49 356194.63),(50 358463.53),(51 360189.53),(52 357801.7),(53 358502.22),(54 360612.13),(55 360823.06),(56 362652.28),(57 364255.72),(58 361413.47),(59 358756.34),(60 358256.28),(61 359839.8),(62 361808.9),(63 361849.2),(64 362024),(65 362647.66),(66 365155.16),(67 368738.47),(68 373274.38),(69 374521.66),(70 367721.34),(71 364280.72),(72 357156.75),(73 355020.44),(74 352486.66),(75 347750.06),(76 346571.06),(77 347319.4),(78 346573.5),(79 346318.97),
(1 21845.26),(2 59920.54),(3 97600.234),(4 130806.79),(5 157819.27),(6 179529.9),(7 198971.9),(8 214481.1),(9 227854.48),(10 236363.02),(11 244769.44),(12 253046.55),(13 260529.03),(14 267540.84),(15 276033.2),(16 283890.7),(17 289481.66),(18 294344.2),(19 297559.56),(20 298764.88),(21 299678.44),(22 301422.78),(23 304028.94),(24 303966.6),(25 300362.56),(26 297542.6),(27 297079.2),(28 295435.88),(29 296543.9),(30 296728.75),(31 297134.5),(32 299040.75),(33 303965.25),(34 310734.28),(35 316380.7),(36 320975.88),(37 318704.34),(38 316727.13),(39 315560.9),(40 314513.16),(41 311958.28),(42 311051.4),(43 311377.13),(44 312748.22),(45 314144.56),(46 315579.03),(47 318649.6),(48 321573.8),(49 327097.84),(50 334464.7),(51 341869.25),(52 343494.13),(53 339432.5),(54 334330.13),(55 329006.84),(56 327836.25),(57 328084.6),(58 327206.38),(59 326525.56),(60 325607.25),(61 324498),(62 325202.9),(63 327382.7),(64 326597.84),(65 325927.4),(66 326871.75),(67 330558.22),(68 334001.84),(69 336761.16),(70 331114.4),(71 325806.94),(72 319310.66),(73 314047.34),(74 312075.1),(75 310738.94),(76 310399),(77 310767.16),(78 311224.44),(79 315051.47),
(1 22150.873),(2 61218.06),(3 100337.586),(4 132165.34),(5 159287.27),(6 182914.64),(7 206470.73),(8 223680.52),(9 237242.83),(10 246551.72),(11 254832.08),(12 265371.13),(13 275621.66),(14 282657.66),(15 288056.97),(16 292124.72),(17 294108.28),(18 295608.53),(19 294788.16),(20 295402.8),(21 295436.72),(22 295823.78),(23 298199.72),(24 301388.9),(25 298481.47),(26 295632.06),(27 298089.78),(28 302684.06),(29 304903.72),(30 306311.4),(31 308371.72),(32 310776.2),(33 315153.22),(34 316274.13),(35 313855.16),(36 311478.28),(37 309303.97),(38 307996.2),(39 309001.06),(40 305948.78),(41 301568.88),(42 300416.06),(43 302770.6),(44 305711.84),(45 310322.75),(46 310109.47),(47 309596.2),(48 312420.88),(49 313446.3),(50 312003.34),(51 310776.6),(52 308791.72),(53 306895.66),(54 305061.63),(55 302578.6),(56 303747.56),(57 303917.5),(58 302291.13),(59 304178.88),(60 305520.7),(61 307649.13),(62 308406.72),(63 311745.25),(64 312667.3),(65 315742.78),(66 321437.88),(67 327135.63),(68 328924.25),(69 330594.7),(70 329306.47),(71 328268.5),(72 323577.97),(73 318517.63),(74 316934.66),(75 318737.56),(76 323688.4),(77 330227.56),(78 333204.72),(79 334710.97),
(1 21003.043),(2 57641.094),(3 94833.62),(4 124504.4),(5 146241.27),(6 164089.31),(7 180571.17),(8 196279.36),(9 210757.33),(10 223947.8),(11 237486.67),(12 251345.36),(13 263361.9),(14 271512.1),(15 275346.63),(16 274963.28),(17 273003.6),(18 271823.47),(19 271961.63),(20 274561.06),(21 277641.9),(22 279902.63),(23 281817.2),(24 281209.3),(25 280376.34),(26 279792.63),(27 283766.97),(28 289713.4),(29 294956.06),(30 297919.6),(31 297909.22),(32 299911.97),(33 302531.56),(34 303861.75),(35 308233.44),(36 312703.38),(37 315025.63),(38 315669.34),(39 315142.2),(40 316163.44),(41 320771.75),(42 323684.25),(43 325927.38),(44 326402.6),(45 328517.16),(46 328582.1),(47 328642.03),(48 329963.8),(49 329239.56),(50 327515.8),(51 327536.78),(52 327849.8),(53 327926.16),(54 325352.13),(55 321102.22),(56 318936.25),(57 318406.9),(58 316204.3),(59 315832.66),(60 314766.56),(61 314672.78),(62 314212.2),(63 314537),(64 314669.6),(65 317828.53),(66 321146.03),(67 322897.63),(68 324378.25),(69 325093.3),(70 327222.56),(71 325777.4),(72 320745.47),(73 318986.94),(74 320062.84),(75 322826.06),(76 329024.9),(77 335111.44),(78 337616.1),(79 337428.28),
(1 19154.813),(2 51808.168),(3 84863.94),(4 112455.58),(5 136885.97),(6 158945.83),(7 181086.02),(8 199716.55),(9 216510.23),(10 232750.92),(11 245186.25),(12 257703.23),(13 268111.03),(14 275219.56),(15 281706.13),(16 285839.28),(17 289040.7),(18 292650.5),(19 295918.06),(20 300567.75),(21 304702.53),(22 309075.44),(23 313600.63),(24 315795.66),(25 316650.56),(26 318626.7),(27 322741.94),(28 323202.28),(29 322613.75),(30 322053.56),(31 317926.3),(32 314452.63),(33 311697.7),(34 309271.84),(35 305139.94),(36 300717.5),(37 297631.63),(38 297035.75),(39 299035.78),(40 301878.25),(41 305978.6),(42 310125.88),(43 314582.5),(44 316304.28),(45 322273.28),(46 325070.8),(47 326020.03),(48 328110.97),(49 332039.63),(50 336056.88),(51 338921.03),(52 338683.53),(53 339101.4),(54 342170.06),(55 346334.34),(56 351819.28),(57 355821.94),(58 354502.2),(59 355803.16),(60 359794.66),(61 360780.63),(62 358099.75),(63 356090.94),(64 354996.97),(65 356232.78),(66 357658.06),(67 356963.8),(68 357588.7),(69 355569.25),(70 351804.38),(71 348717.44),(72 342076.66),(73 336389.88),(74 334112.9),(75 333601.47),(76 333950.25),(77 334311.16),(78 332830.13),(79 332845.8),
(1 20581.822),(2 56733.258),(3 92849.93),(4 122683.59),(5 146542.38),(6 167146.67),(7 186661.14),(8 202962.63),(9 215732.05),(10 227276.61),(11 238285.1),(12 247770.6),(13 255890.44),(14 263986.5),(15 270840.1),(16 275936.56),(17 281360.5),(18 284392.88),(19 285833.97),(20 284770.78),(21 285279.4),(22 284960.25),(23 283814.3),(24 283356.1),(25 282083.38),(26 283095.4),(27 285804.38),(28 288401.38),(29 290554.6),(30 291922.63),(31 292395.78),(32 294943.66),(33 298076.06),(34 302056.1),(35 304508.34),(36 305228.94),(37 305454.66),(38 304203.97),(39 302056.78),(40 298388.63),(41 295592),(42 296463.6),(43 301376.13),(44 306655.5),(45 310427.3),(46 311060.28),(47 315466.1),(48 322248.13),(49 328193.9),(50 330780.22),(51 328991.22),(52 324666.3),(53 323064.9),(54 326063.97),(55 330549.3),(56 332958.5),(57 335212.88),(58 336019.2),(59 337517.16),(60 335661.22),(61 334395.06),(62 334746.84),(63 334527.66),(64 332644.56),(65 331619.5),(66 329491.06),(67 329244.53),(68 327971.47),(69 325266.75),(70 319147.3),(71 314417.66),(72 310536.8),(73 308576.22),(74 309255.72),(75 307608.06),(76 305777.03),(77 305438.78),(78 303602.28),(79 300954.28),
(1 20326.793),(2 55519.887),(3 92675.1),(4 125032.61),(5 152642.17),(6 175828.83),(7 195040.25),(8 208698.83),(9 218496.47),(10 225858.48),(11 235094.44),(12 243906.98),(13 252049.89),(14 258848.2),(15 261925.83),(16 264403.28),(17 268695.13),(18 273070.78),(19 276613.97),(20 278929),(21 280970.88),(22 280351.78),(23 279226.03),(24 278697.5),(25 278492.5),(26 277181.16),(27 276837.2),(28 278680.8),(29 278188.88),(30 277197.2),(31 276790.8),(32 279660.78),(33 281910.84),(34 282332.94),(35 282217.16),(36 281641.28),(37 283792.2),(38 286552.2),(39 288964.06),(40 287427.03),(41 286989),(42 286150.8),(43 286840.06),(44 287801.75),(45 287965.3),(46 286566.1),(47 284838.9),(48 287106.22),(49 290421),(50 288454.38),(51 283997.6),(52 282153.56),(53 285167.34),(54 289251.06),(55 290319.1),(56 290394.63),(57 290651.56),(58 291121.3),(59 294673.88),(60 297316.53),(61 297189.7),(62 295348.3),(63 298445.38),(64 302293.6),(65 308050.72),(66 311914.47),(67 312338.4),(68 313775.22),(69 315308.88),(70 310840.63),(71 308176.38),(72 304262.78),(73 297800.63),(74 291793.4),(75 287909.78),(76 289409),(77 292303.13),(78 294703.1),(79 296685.1),
(1 20163),(2 54456.04),(3 89369.27),(4 118121.31),(5 141104.77),(6 159365.48),(7 175136.95),(8 187297.73),(9 195502.34),(10 199469.81),(11 205909.13),(12 215707.81),(13 226614.72),(14 235773.66),(15 241830.9),(16 247056.36),(17 251031.69),(18 254080.88),(19 256926.22),(20 261144.05),(21 265852.1),(22 269219.3),(23 273421.34),(24 275726.5),(25 276209.34),(26 278762.38),(27 279970.13),(28 280414.78),(29 279219.16),(30 277866.8),(31 276133.1),(32 278414.72),(33 282171.22),(34 284360.88),(35 283906.13),(36 283940.13),(37 284426.88),(38 286622.03),(39 289688.38),(40 288410.3),(41 288218.47),(42 288622.97),(43 290051.56),(44 293366.34),(45 297949.75),(46 300546.3),(47 300703.75),(48 299209.53),(49 297134.25),(50 295247.9),(51 292786.66),(52 289874.88),(53 287974.22),(54 286400.06),(55 284373.03),(56 285925.44),(57 288317.34),(58 289974.2),(59 290409.6),(60 291557.84),(61 291353.25),(62 289952.88),(63 290368.88),(64 289534.22),(65 289210.47),(66 288786.38),(67 288018.84),(68 288818.06),(69 290361.06),(70 289412.44),(71 289801.38),(72 288553.3),(73 287875.88),(74 289123.03),(75 289338.78),(76 292910.56),(77 298392.72),(78 299520.2),(79 300273.53),
