1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 673.6566),(2 897.67847),(3 961.8438),(4 1026.6726),(5 1047.7045),(6 1087.2422),(7 1076.7887),(8 1106.6564),(9 1102.09),(10 1142.1532),(11 1133.553),(12 1161.7251),(13 1133.9176),(14 1173.1113),(15 1153.2487),(16 1197.3206),(17 1186.3918),(18 1197.1654),(19 1178.44),(20 1213.4236),(21 1191.6094),(22 1211.8794),(23 1194.352),(24 1222.4803),(25 1221.7201),(26 1226.3229),(27 1209.2726),(28 1228.356),(29 1217.0437),(30 1238.7374),(31 1219.0688),(32 1234.3544),(33 1224.0438),(34 1239.3439),(35 1221.4592),(36 1244.5963),(37 1216.9106),(38 1241.7715),(39 1221.1438),(40 1235.9624),(41 1209.5487),(42 1245.7417),(43 1211.7402),(44 1232.7655),(45 1212.4918),(46 1239.8562),(47 1214.466),(48 1251.9268),(49 1216.5762),(50 1250.2151),(51 1218.6525),(52 1243.2031),(53 1228.8013),(54 1250.0966),(55 1231.3276),(56 1255.495),(57 1240.7988),(58 1266.5627),(59 1245.5826),(60 1269.8158),(61 1245.4202),(62 1293.5366),(63 1268.551),(64 1293.38),(65 1273.0131),(66 1303.4684),(67 1288.4703),(68 1314.8352),(69 1279.9229),(70 1320.1694),(71 1291.1456),(72 1315.1549),(73 1286.1359),(74 1318.7225),(75 1297.7916),(76 1306.8518),(77 1296.4795),(78 1315.781),(79 1299.7533),
(1 668.9501),(2 882.54364),(3 958.2556),(4 1027.0177),(5 1031.428),(6 1061.2987),(7 1057.097),(8 1085.9478),(9 1078.6732),(10 1104.7634),(11 1101.4001),(12 1153.27),(13 1122.2606),(14 1151.3561),(15 1132.8544),(16 1150.9211),(17 1151.1989),(18 1189.8704),(19 1170.8395),(20 1202.2528),(21 1172.6573),(22 1193.516),(23 1179.8516),(24 1194.8302),(25 1206.7477),(26 1221.907),(27 1195.1127),(28 1234.308),(29 1207.5454),(30 1215.9849),(31 1189.5693),(32 1217.9729),(33 1208.5542),(34 1234.9858),(35 1220.4408),(36 1242.4849),(37 1213.1664),(38 1231.1538),(39 1178.2251),(40 1200.3862),(41 1181.5508),(42 1220.37),(43 1204.0983),(44 1237.7378),(45 1224.9213),(46 1247.4283),(47 1221.3192),(48 1251.4318),(49 1210.9768),(50 1238.9944),(51 1214.526),(52 1227.9618),(53 1209.445),(54 1238.3837),(55 1220.9547),(56 1237.1902),(57 1218.3408),(58 1226.5793),(59 1192.4242),(60 1226.6487),(61 1231.6323),(62 1260.6761),(63 1243.7605),(64 1282.8699),(65 1258.3005),(66 1296.4103),(67 1258.432),(68 1286.657),(69 1273.6187),(70 1290.8798),(71 1265.6637),(72 1294.1615),(73 1269.8228),(74 1297.9186),(75 1284.6631),(76 1312.6893),(77 1280.7311),(78 1296.2823),(79 1271.2992),
(1 664.9631),(2 875.49866),(3 947.15906),(4 1002.26324),(5 1011.53754),(6 1045.2911),(7 1057.8662),(8 1083.4033),(9 1075.3479),(10 1112.6732),(11 1110.0968),(12 1161.8262),(13 1130.6179),(14 1139.1434),(15 1123.5493),(16 1144.7587),(17 1154.1631),(18 1184.5577),(19 1155.1624),(20 1192.6342),(21 1160.66),(22 1186.9545),(23 1176.3058),(24 1198.5847),(25 1181.3379),(26 1196.0891),(27 1175.7034),(28 1196.7523),(29 1182.2361),(30 1191.8257),(31 1167.3413),(32 1185.4124),(33 1156.3788),(34 1185.8313),(35 1173.1115),(36 1198.0453),(37 1182.0653),(38 1191.4664),(39 1164.5419),(40 1178.0216),(41 1161.2678),(42 1193.1245),(43 1182.554),(44 1210.4095),(45 1202.2439),(46 1230.0967),(47 1214.8885),(48 1240.1089),(49 1195.5157),(50 1223.716),(51 1199.9662),(52 1206.4479),(53 1192.6571),(54 1237.7643),(55 1220.549),(56 1224.1854),(57 1189.2579),(58 1200.6616),(59 1197.4935),(60 1203.7848),(61 1219.6815),(62 1247.2854),(63 1240.3029),(64 1253.3611),(65 1223.1796),(66 1253.7854),(67 1245.3527),(68 1270.1132),(69 1253.3909),(70 1276.9691),(71 1249.8773),(72 1284.9364),(73 1263.0323),(74 1298.2502),(75 1279.5137),(76 1296.6785),(77 1274.7737),(78 1290.0674),(79 1278.1237),
(1 646.45404),(2 847.8342),(3 920.9241),(4 963.3039),(5 985.0256),(6 1006.8336),(7 1019.6152),(8 1053.8787),(9 1038.2479),(10 1077.2548),(11 1063.5063),(12 1099.2303),(13 1082.1648),(14 1121.2393),(15 1094.6985),(16 1116.1697),(17 1085.7349),(18 1109.4731),(19 1105.5076),(20 1144.2485),(21 1111.0299),(22 1141.9237),(23 1130.5676),(24 1156.4415),(25 1154.3031),(26 1171.288),(27 1156.7985),(28 1174.509),(29 1160.4806),(30 1181.6624),(31 1166.1229),(32 1185.6525),(33 1162.158),(34 1173.3108),(35 1145.7089),(36 1175.3091),(37 1161.6198),(38 1167.0834),(39 1157.0034),(40 1164.1257),(41 1155.4424),(42 1179.2667),(43 1165.854),(44 1192.7922),(45 1178.5261),(46 1184.3636),(47 1180.7721),(48 1219.0963),(49 1182.1212),(50 1196.0737),(51 1167.6111),(52 1187.2089),(53 1177.1825),(54 1203.7494),(55 1169.3468),(56 1179.6265),(57 1146.1285),(58 1169.4769),(59 1157.2194),(60 1189.7676),(61 1180.8331),(62 1191.7296),(63 1180.98),(64 1202.5228),(65 1165.3794),(66 1197.1923),(67 1185.3153),(68 1220.7037),(69 1188.7961),(70 1208.9126),(71 1185.6964),(72 1195.238),(73 1179.6533),(74 1215.014),(75 1205.7103),(76 1226.6182),(77 1181.9852),(78 1204.9952),(79 1191.9552),
(1 646.9264),(2 840.36194),(3 913.0144),(4 973.3241),(5 998.0227),(6 1026.0911),(7 1019.58636),(8 1051.928),(9 1043.4933),(10 1095.544),(11 1096.4843),(12 1109.3567),(13 1087.8689),(14 1132.7645),(15 1113.1268),(16 1149.4551),(17 1125.4846),(18 1154.2578),(19 1148.044),(20 1200.325),(21 1158.6769),(22 1182.9257),(23 1162.3374),(24 1191.3262),(25 1181.3813),(26 1200.2473),(27 1180.5676),(28 1213.8162),(29 1189.131),(30 1214.3822),(31 1188.2366),(32 1191.3866),(33 1175.9253),(34 1186.3335),(35 1168.7878),(36 1188.8536),(37 1172.6749),(38 1187.669),(39 1160.5605),(40 1180.3862),(41 1149.598),(42 1185.718),(43 1153.9598),(44 1185.0587),(45 1166.2053),(46 1183.7251),(47 1169.7975),(48 1184.5023),(49 1151.3309),(50 1180.0328),(51 1156.3673),(52 1170.5662),(53 1154.289),(54 1173.7458),(55 1160.8849),(56 1187.2277),(57 1160.1664),(58 1175.3958),(59 1154.9023),(60 1190.2996),(61 1181.6735),(62 1212.5189),(63 1188.4829),(64 1215.1194),(65 1204.2728),(66 1224.8444),(67 1215.3398),(68 1242.1372),(69 1215.3962),(70 1229.8009),(71 1206.6556),(72 1216.08),(73 1185.3817),(74 1221.7241),(75 1207.9658),(76 1236.4125),(77 1195.741),(78 1205.4926),(79 1184.5457),
(1 642.6191),(2 834.43823),(3 911.8813),(4 964.435),(5 982.5467),(6 1013.3741),(7 1009.13153),(8 1039.964),(9 1025.1211),(10 1063.2109),(11 1057.0176),(12 1091.2399),(13 1075.648),(14 1106.1714),(15 1085.3263),(16 1113.9797),(17 1097.3344),(18 1110.524),(19 1093.8732),(20 1124.8269),(21 1101.2407),(22 1131.1156),(23 1104.0912),(24 1130.7115),(25 1109.6716),(26 1130.9244),(27 1113.0045),(28 1121.4275),(29 1109.294),(30 1135.9631),(31 1110.2905),(32 1121.241),(33 1088.9242),(34 1114.9769),(35 1102.0165),(36 1121.2506),(37 1115.1472),(38 1116.8866),(39 1107.6261),(40 1138.112),(41 1115.3094),(42 1146.6615),(43 1106.8071),(44 1133.4912),(45 1126.1367),(46 1155.296),(47 1129.8007),(48 1167.5138),(49 1150.5966),(50 1156.4171),(51 1135.0298),(52 1159.36),(53 1132.7279),(54 1147.6931),(55 1131.4628),(56 1158.151),(57 1131.2587),(58 1145.0692),(59 1137.8582),(60 1152.3937),(61 1145.5862),(62 1171.4432),(63 1149.2719),(64 1169.7567),(65 1151.2874),(66 1173.5067),(67 1171.8699),(68 1206.4698),(69 1184.5272),(70 1195.9595),(71 1173.5447),(72 1188.066),(73 1168.1987),(74 1189.1824),(75 1186.7134),(76 1215.0555),(77 1180.9323),(78 1196.4465),(79 1169.7284),
(1 643.1908),(2 829.4206),(3 924.5096),(4 991.1605),(5 1004.8528),(6 1025.3246),(7 1012.184),(8 1042.4695),(9 1045.4526),(10 1086.1802),(11 1080.9001),(12 1101.9193),(13 1089.914),(14 1122.2384),(15 1095.9545),(16 1111.2808),(17 1089.074),(18 1094.8927),(19 1091.2842),(20 1130.2977),(21 1090.5304),(22 1098.7595),(23 1084.4216),(24 1111.1874),(25 1101.1111),(26 1115.1434),(27 1095.1559),(28 1129.4791),(29 1099.9478),(30 1114.0151),(31 1091.1731),(32 1110.097),(33 1085.7455),(34 1111.7041),(35 1107.4421),(36 1127.9321),(37 1120.3818),(38 1119.072),(39 1097.962),(40 1123.7382),(41 1103.5782),(42 1134.814),(43 1119.4606),(44 1145.1473),(45 1122.9702),(46 1162.2982),(47 1150.7365),(48 1178.6973),(49 1143.377),(50 1166.3077),(51 1142.2052),(52 1166.0957),(53 1140.7882),(54 1161.5107),(55 1143.4048),(56 1151.6146),(57 1125.6302),(58 1136.1328),(59 1127.986),(60 1144.3214),(61 1132.8724),(62 1164.4729),(63 1138.9238),(64 1167.7891),(65 1138.9259),(66 1178.9246),(67 1142.6293),(68 1171.4647),(69 1158.0884),(70 1178.337),(71 1158.9972),(72 1177.3295),(73 1140.2661),(74 1170.4067),(75 1157.6063),(76 1189.7865),(77 1180.7943),(78 1200.9873),(79 1176.6207),
(1 620.54626),(2 817.4257),(3 889.5331),(4 939.124),(5 952.2856),(6 972.5642),(7 975.12823),(8 986.18726),(9 1003.8988),(10 1048.6272),(11 1038.8575),(12 1070.1718),(13 1028.0258),(14 1045.1414),(15 1037.7513),(16 1066.19),(17 1055.8792),(18 1081.4214),(19 1071.0737),(20 1099.0737),(21 1080.01),(22 1097.2186),(23 1084.0554),(24 1100.0587),(25 1083.2754),(26 1104.4143),(27 1088.2963),(28 1122.5638),(29 1093.2732),(30 1111.5812),(31 1085.4697),(32 1106.5354),(33 1080.952),(34 1107.3958),(35 1088.1617),(36 1102.0125),(37 1080.6116),(38 1096.8179),(39 1075.3268),(40 1103.5143),(41 1079.7301),(42 1119.0703),(43 1121.42),(44 1139.6456),(45 1114.8955),(46 1149.5513),(47 1134.6902),(48 1147.4741),(49 1121.9731),(50 1151.5281),(51 1131.015),(52 1144.6917),(53 1125.646),(54 1132.6326),(55 1115.0554),(56 1120.0002),(57 1099.8903),(58 1116.2644),(59 1096.5149),(60 1125.7969),(61 1130.7399),(62 1147.885),(63 1114.0908),(64 1130.5685),(65 1110.7527),(66 1151.3917),(67 1118.8344),(68 1153.3678),(69 1137.3134),(70 1167.9987),(71 1140.4336),(72 1146.4939),(73 1124.1417),(74 1149.427),(75 1138.8164),(76 1161.5826),(77 1143.0522),(78 1161.7406),(79 1140.4192),
(1 617.2193),(2 793.09204),(3 862.94025),(4 922.90924),(5 913.58954),(6 948.59766),(7 956.173),(8 979.6175),(9 988.73584),(10 1013.9697),(11 1002.4478),(12 1024.304),(13 1010.39606),(14 1042.4146),(15 1023.6149),(16 1042.989),(17 1025.4951),(18 1053.2754),(19 1037.1313),(20 1052.0831),(21 1043.3679),(22 1075.0161),(23 1059.7839),(24 1088.3079),(25 1076.751),(26 1092.4213),(27 1069.3007),(28 1083.443),(29 1067.7289),(30 1074.7076),(31 1058.6985),(32 1057.6234),(33 1035.9752),(34 1061.0632),(35 1057.23),(36 1082.3397),(37 1059.5024),(38 1059.9967),(39 1059.9745),(40 1073.1205),(41 1058.7474),(42 1086.5725),(43 1080.6342),(44 1098.674),(45 1089.8491),(46 1128.9236),(47 1113.7511),(48 1136.9893),(49 1111.7468),(50 1137.4396),(51 1118.8501),(52 1141.075),(53 1124.6819),(54 1127.6569),(55 1108.0875),(56 1121.1798),(57 1108.6471),(58 1123.5015),(59 1110.9648),(60 1127.9104),(61 1112.6731),(62 1131.2688),(63 1106.8502),(64 1135.6123),(65 1124.883),(66 1154.0165),(67 1141.4684),(68 1169.6453),(69 1144.7158),(70 1166.4073),(71 1147.0165),(72 1171.6659),(73 1151.2115),(74 1172.4806),(75 1160.5834),(76 1195.3315),(77 1177.6973),(78 1189.3589),(79 1169.2358),
(1 609.60394),(2 804.86255),(3 869.64874),(4 944.33777),(5 943.6006),(6 971.82513),(7 981.9882),(8 998.4483),(9 979.8472),(10 1003.37006),(11 995.0158),(12 1027.7583),(13 1005.66724),(14 1032.5111),(15 1015.05),(16 1046.2751),(17 1049.1726),(18 1054.958),(19 1035.1034),(20 1054.3625),(21 1051.256),(22 1073.4288),(23 1063.1064),(24 1086.5104),(25 1080.7637),(26 1092.0046),(27 1074.2865),(28 1083.3717),(29 1063.0844),(30 1083.4271),(31 1070.7866),(32 1101.2494),(33 1082.7325),(34 1097.511),(35 1072.5099),(36 1077.5431),(37 1057.9863),(38 1086.0902),(39 1065.5741),(40 1079.5613),(41 1075.6628),(42 1104.4683),(43 1088.697),(44 1098.2306),(45 1076.3425),(46 1101.7487),(47 1074.7734),(48 1095.4175),(49 1073.9495),(50 1113.3726),(51 1088.1199),(52 1109.9259),(53 1074.7043),(54 1079.3131),(55 1078.5591),(56 1095.4695),(57 1081.6427),(58 1095.9149),(59 1080.3934),(60 1111.061),(61 1092.8713),(62 1126.1389),(63 1108.4812),(64 1129.9259),(65 1117.0402),(66 1145.1703),(67 1122.8964),(68 1159.2888),(69 1144.9917),(70 1179.5323),(71 1161.552),(72 1176.8464),(73 1153.7656),(74 1177.179),(75 1157.1318),(76 1175.1536),(77 1159.1665),(78 1179.2761),(79 1172.0631),
(1 598.3251),(2 793.09784),(3 862.16656),(4 922.34534),(5 922.41425),(6 951.58514),(7 958.3029),(8 966.9742),(9 957.2977),(10 995.45306),(11 985.7988),(12 1005.9185),(13 983.2777),(14 1013.45166),(15 1005.2016),(16 1024.8638),(17 1017.1839),(18 1030.5138),(19 1012.78046),(20 1033.0862),(21 1024.7244),(22 1053.1266),(23 1039.1133),(24 1054.1415),(25 1042.4436),(26 1051.655),(27 1026.197),(28 1038.2017),(29 1020.26227),(30 1037.5095),(31 1014.879),(32 1039.562),(33 1019.60956),(34 1045.7429),(35 1029.0754),(36 1046.7012),(37 1006.6077),(38 1019.56226),(39 1016.9871),(40 1048.7689),(41 1026.9772),(42 1059.7352),(43 1056.5111),(44 1077.2996),(45 1060.0563),(46 1080.7142),(47 1066.8936),(48 1092.0134),(49 1068.5127),(50 1090.9502),(51 1070.6656),(52 1096.4327),(53 1067.4169),(54 1080.1722),(55 1062.0697),(56 1081.644),(57 1067.7009),(58 1067.1399),(59 1061.7588),(60 1074.0109),(61 1063.9369),(62 1088.4637),(63 1062.3425),(64 1097.8927),(65 1083.582),(66 1114.4811),(67 1103.8396),(68 1127.7308),(69 1095.5503),(70 1135.434),(71 1117.981),(72 1126.6044),(73 1111.1786),(74 1128.5039),(75 1114.5347),(76 1140.1394),(77 1135.7396),(78 1152.0817),(79 1135.1155),
(1 595.52136),(2 772.9388),(3 833.54016),(4 881.36395),(5 898.44006),(6 923.3202),(7 919.22955),(8 935.6037),(9 920.4631),(10 954.83344),(11 942.95197),(12 983.64905),(13 961.9868),(14 996.88983),(15 971.4295),(16 996.8299),(17 976.93585),(18 994.885),(19 985.24243),(20 1006.3849),(21 1001.39777),(22 1023.2002),(23 1013.7472),(24 1047.0602),(25 1028.4512),(26 1035.7311),(27 1023.50977),(28 1039.4142),(29 1017.7052),(30 1025.6833),(31 1013.2074),(32 1034.5352),(33 1025.7999),(34 1057.2899),(35 1030.7047),(36 1044.6936),(37 1018.2135),(38 1026.0333),(39 1011.08307),(40 1033.9507),(41 1022.1872),(42 1052.6244),(43 1040.2816),(44 1065.8883),(45 1048.9019),(46 1078.2183),(47 1050.6011),(48 1071.6818),(49 1048.2977),(50 1063.2535),(51 1053.1047),(52 1074.2462),(53 1059.169),(54 1061.4291),(55 1046.4983),(56 1077.151),(57 1052.9509),(58 1075.8851),(59 1063.121),(60 1073.0586),(61 1053.0792),(62 1088.007),(63 1073.9785),(64 1093.8433),(65 1086.2173),(66 1124.4725),(67 1101.8337),(68 1117.329),(69 1105.3641),(70 1131.0518),(71 1111.0753),(72 1130.173),(73 1103.0706),(74 1136.6758),(75 1122.9153),(76 1134.9949),(77 1118.8727),(78 1132.0103),(79 1101.9084),
(1 579.2846),(2 767.9359),(3 845.62537),(4 895.02765),(5 908.35077),(6 920.1659),(7 912.6362),(8 951.72156),(9 948.8182),(10 968.796),(11 948.882),(12 988.71625),(13 971.80035),(14 996.62744),(15 992.69086),(16 1008.525),(17 993.6685),(18 1015.3842),(19 1000.5821),(20 1013.3775),(21 1016.0141),(22 1044.5287),(23 1026.5787),(24 1051.0511),(25 1033.5762),(26 1056.4521),(27 1030.8104),(28 1047.926),(29 1014.87714),(30 1015.5307),(31 1009.63196),(32 1037.0219),(33 1029.6414),(34 1058.9556),(35 1044.8647),(36 1060.4648),(37 1043.9473),(38 1053.9941),(39 1031.0819),(40 1056.8282),(41 1042.1445),(42 1052.6644),(43 1031.3215),(44 1067.3712),(45 1053.2717),(46 1092.7787),(47 1069.6833),(48 1093.4275),(49 1064.444),(50 1071.8412),(51 1059.3549),(52 1077.4926),(53 1054.1514),(54 1063.1327),(55 1042.189),(56 1056.5137),(57 1054.8369),(58 1086.0594),(59 1045.6217),(60 1062.2815),(61 1035.8484),(62 1057.4803),(63 1053.8126),(64 1075.3418),(65 1072.4546),(66 1097.8453),(67 1083.9872),(68 1107.9783),(69 1081.7197),(70 1110.818),(71 1089.604),(72 1113.0685),(73 1098.7085),(74 1109.2886),(75 1100.6731),(76 1121.4727),(77 1098.0201),(78 1101.646),(79 1065.9519),
(1 583.3282),(2 767.6915),(3 838.2035),(4 891.25146),(5 912.6347),(6 920.8057),(7 906.59644),(8 939.60046),(9 935.9953),(10 955.84033),(11 936.5896),(12 959.8076),(13 953.5202),(14 978.3402),(15 975.37317),(16 1002.81213),(17 990.7695),(18 1011.1749),(19 986.7126),(20 1010.77875),(21 1012.0328),(22 1037.6722),(23 1018.30475),(24 1051.7102),(25 1033.1919),(26 1047.4104),(27 1031.8656),(28 1066.2808),(29 1024.1106),(30 1033.2946),(31 1005.46356),(32 1031.647),(33 1029.3864),(34 1059.7694),(35 1032.5774),(36 1045.5226),(37 1026.6908),(38 1030.0942),(39 1009.50323),(40 1030.2875),(41 1016.7433),(42 1040.0262),(43 1024.4103),(44 1060.1125),(45 1025.7831),(46 1055.4407),(47 1030.2),(48 1045.2587),(49 1018.34814),(50 1036.2853),(51 1034.5365),(52 1058.0087),(53 1036.4475),(54 1043.6494),(55 1027.0829),(56 1048.7871),(57 1033.1018),(58 1050.208),(59 1026.8319),(60 1038.0446),(61 1025.8243),(62 1041.8411),(63 1040.0933),(64 1059.4767),(65 1052.5812),(66 1098.5044),(67 1068.7449),(68 1100.09),(69 1084.0553),(70 1114.4977),(71 1075.6421),(72 1092.3076),(73 1069.0725),(74 1083.061),(75 1091.9824),(76 1123.1626),(77 1098.2603),(78 1119.3927),(79 1083.1442),
(1 585.418),(2 764.7871),(3 850.3646),(4 909.26733),(5 919.3489),(6 936.07367),(7 926.1382),(8 962.57837),(9 956.6017),(10 989.91986),(11 975.4345),(12 994.8198),(13 974.2975),(14 992.3301),(15 980.126),(16 995.98486),(17 988.08575),(18 1004.0879),(19 1002.6108),(20 1020.3353),(21 1022.8402),(22 1039.0062),(23 1024.0638),(24 1051.5203),(25 1029.7712),(26 1056.4677),(27 1039.6411),(28 1050.8986),(29 1016.36786),(30 1025.3177),(31 999.83374),(32 1034.6816),(33 1012.36804),(34 1041.7117),(35 1022.0745),(36 1035.7004),(37 1027.582),(38 1048.2615),(39 1025.9347),(40 1045.5618),(41 1038.2795),(42 1058.9564),(43 1062.6611),(44 1081.2246),(45 1044.8242),(46 1066.4054),(47 1054.242),(48 1071.8936),(49 1055.2279),(50 1087.9528),(51 1055.0856),(52 1066.9885),(53 1047.6664),(54 1060.2216),(55 1052.3969),(56 1077.7368),(57 1085.0145),(58 1086.5999),(59 1064.3969),(60 1094.6982),(61 1070.8693),(62 1078.1086),(63 1069.8354),(64 1105.7991),(65 1097.4222),(66 1133.439),(67 1113.2655),(68 1157.6276),(69 1125.1493),(70 1143.649),(71 1116.7952),(72 1122.1366),(73 1095.3285),(74 1120.6622),(75 1104.8895),(76 1132.2253),(77 1105.6873),(78 1130.3833),(79 1108.9176),
(1 564.7403),(2 748.7073),(3 825.4401),(4 869.4649),(5 884.1888),(6 903.2432),(7 896.8034),(8 910.5184),(9 902.2807),(10 936.3214),(11 936.0364),(12 955.6056),(13 936.24384),(14 955.2005),(15 945.29047),(16 964.1554),(17 965.6774),(18 984.9159),(19 976.1266),(20 1008.678),(21 990.95135),(22 1015.40015),(23 1004.7412),(24 1024.8035),(25 1011.0993),(26 1025.5342),(27 1011.7389),(28 1029.6696),(29 1001.02374),(30 1015.8109),(31 987.7679),(32 1017.31085),(33 1009.3592),(34 1028.8894),(35 1018.05273),(36 1036.5645),(37 1027.6172),(38 1038.3232),(39 1016.7859),(40 1048.9115),(41 1035.3718),(42 1057.0247),(43 1052.3765),(44 1084.6809),(45 1058.617),(46 1067.9218),(47 1060.0558),(48 1070.3865),(49 1059.7849),(50 1076.8926),(51 1051.3284),(52 1068.5978),(53 1049.3293),(54 1059.3817),(55 1033.3142),(56 1060.7861),(57 1057.4847),(58 1061.2732),(59 1038.4316),(60 1054.0367),(61 1043.5764),(62 1057.2174),(63 1047.604),(64 1076.0463),(65 1057.7949),(66 1106.1398),(67 1073.7667),(68 1093.7848),(69 1093.542),(70 1122.1296),(71 1100.6787),(72 1105.6176),(73 1077.7255),(74 1093.6436),(75 1082.0902),(76 1106.4501),(77 1089.7377),(78 1109.2446),(79 1086.0751),
(1 550.058),(2 726.8262),(3 799.42),(4 857.2609),(5 873.58356),(6 901.6065),(7 893.51556),(8 923.38513),(9 910.1068),(10 928.8054),(11 917.99384),(12 940.0289),(13 937.21106),(14 945.9575),(15 939.09064),(16 952.0233),(17 941.7319),(18 954.7502),(19 942.4577),(20 961.1755),(21 957.44727),(22 971.14935),(23 965.05396),(24 985.3894),(25 968.9457),(26 994.78033),(27 971.13477),(28 986.37006),(29 970.4182),(30 985.8749),(31 976.63055),(32 998.0693),(33 968.67914),(34 1002.5003),(35 968.94727),(36 969.9744),(37 950.48395),(38 970.8966),(39 950.5422),(40 953.05646),(41 946.0304),(42 982.2955),(43 975.6486),(44 995.2817),(45 974.964),(46 1000.33264),(47 979.8792),(48 997.2738),(49 972.1348),(50 992.3779),(51 976.2543),(52 988.54974),(53 970.7386),(54 978.09955),(55 964.14124),(56 985.7628),(57 992.2497),(58 999.1599),(59 981.854),(60 996.91345),(61 990.2139),(62 1005.24384),(63 997.62866),(64 1010.833),(65 1013.986),(66 1036.6012),(67 1016.5978),(68 1039.502),(69 1016.73004),(70 1043.2395),(71 1033.0942),(72 1049.8049),(73 1036.8634),(74 1049.9792),(75 1039.7104),(76 1056.2831),(77 1046.2285),(78 1067.2906),(79 1037.8105),
