1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 575.8594),(2 769.8757),(3 863.0818),(4 899.2788),(5 932.31433),(6 982.6895),(7 983.12115),(8 978.90027),(9 979.3037),(10 978.7201),(11 1007.8143),(12 1011.8585),(13 1036.1251),(14 1034.137),(15 1045.4001),(16 1058.223),(17 1060.4487),(18 1047.1505),(19 1035.05),(20 1056.7834),(21 1071.4194),(22 1079.1118),(23 1064.6543),(24 1055.0713),(25 1060.0647),(26 1056.5326),(27 1064.9912),(28 1094.9227),(29 1107.8182),(30 1098.4227),(31 1089.2911),(32 1083.6863),(33 1079.0104),(34 1075.2468),(35 1078.4268),(36 1081.9573),(37 1083.6003),(38 1070.8158),(39 1089.7588),(40 1070.6978),(41 1071.7943),(42 1076.9961),(43 1061.5837),(44 1056.926),(45 1077.3771),(46 1082.959),(47 1075.4532),(48 1078.3374),(49 1063.0444),(50 1077.7235),(51 1080.1099),(52 1091.1296),(53 1093.1832),(54 1086.3076),(55 1109.7169),(56 1109.068),(57 1113.4563),(58 1109.0222),(59 1117.6332),(60 1113.9004),(61 1120.2288),(62 1107.7854),(63 1101.9542),(64 1114.8949),(65 1108.8754),(66 1093.7598),(67 1107.0083),(68 1094.0762),(69 1090.1527),(70 1120.8208),(71 1103.0259),(72 1065.5887),(73 1089.5558),(74 1073.6981),(75 1061.1389),(76 1068.0027),(77 1071.0359),(78 1083.6112),(79 1101.3934),
(1 592.54004),(2 773.44806),(3 871.0084),(4 911.5279),(5 951.5303),(6 993.75446),(7 989.4468),(8 997.8999),(9 1011.4295),(10 1008.03754),(11 1025.9258),(12 1013.7087),(13 1030.7603),(14 1045.6724),(15 1036.9113),(16 1045.1929),(17 1057.7661),(18 1031.0122),(19 1027.7499),(20 1042.3002),(21 1053.2251),(22 1071.7094),(23 1068.491),(24 1067.3105),(25 1078.8259),(26 1073.3728),(27 1065.2008),(28 1095.7405),(29 1112.958),(30 1094.1133),(31 1084.0664),(32 1071.2495),(33 1090.1698),(34 1079.1173),(35 1075.166),(36 1081.0402),(37 1085.4473),(38 1077.0895),(39 1102.4489),(40 1082.9604),(41 1104.064),(42 1121.372),(43 1103.1163),(44 1090.5701),(45 1093.084),(46 1095.1516),(47 1080.0178),(48 1084.2045),(49 1090.502),(50 1106.136),(51 1108.5725),(52 1121.3866),(53 1125.6766),(54 1133.1743),(55 1149.9811),(56 1164.8701),(57 1157.9943),(58 1161.6477),(59 1160.4868),(60 1156.9385),(61 1169.9299),(62 1155.6041),(63 1152.8461),(64 1157.8094),(65 1149.4624),(66 1151.8553),(67 1169.7743),(68 1135.7026),(69 1120.312),(70 1134.3881),(71 1130.8884),(72 1094.2257),(73 1102.6414),(74 1077.5662),(75 1069.7958),(76 1081.2452),(77 1084.0426),(78 1089.9401),(79 1091.0035),
(1 568.8487),(2 752.7219),(3 849.87006),(4 878.5146),(5 921.24286),(6 956.3935),(7 970.8802),(8 989.28467),(9 986.78815),(10 982.45856),(11 997.3675),(12 1007.12506),(13 1021.7859),(14 1042.2789),(15 1030.2762),(16 1010.7882),(17 1025.2775),(18 1008.65045),(19 991.38904),(20 1014.51874),(21 1014.8803),(22 1036.139),(23 1023.1599),(24 1021.50604),(25 1042.3652),(26 1039.548),(27 1020.94965),(28 1049.093),(29 1072.9197),(30 1063.2827),(31 1061.6177),(32 1049.2028),(33 1045.9381),(34 1040.4797),(35 1046.5183),(36 1050.876),(37 1060.912),(38 1059.3026),(39 1083.8798),(40 1061.236),(41 1062.0717),(42 1081.85),(43 1065.5348),(44 1069.997),(45 1071.0553),(46 1049.3646),(47 1049.8319),(48 1058.3649),(49 1054.0542),(50 1091.2865),(51 1073.2284),(52 1098.5349),(53 1098.617),(54 1101.9406),(55 1131.1223),(56 1128.9832),(57 1139.584),(58 1143.9897),(59 1145.2194),(60 1149.185),(61 1164.5851),(62 1137.6995),(63 1130.1884),(64 1136.9376),(65 1114.5343),(66 1124.2354),(67 1136.552),(68 1113.0878),(69 1092.089),(70 1106.96),(71 1098.6075),(72 1068.8635),(73 1076.7886),(74 1047.5066),(75 1039.025),(76 1055.5804),(77 1061.9275),(78 1062.6165),(79 1074.7115),
(1 580.7974),(2 743.8051),(3 837.46643),(4 869.1304),(5 897.59393),(6 940.4982),(7 939.73785),(8 960.267),(9 963.9871),(10 965.3128),(11 979.9163),(12 975.3124),(13 995.16034),(14 1006.62823),(15 1006.6247),(16 1008.6493),(17 1021.7282),(18 1018.4648),(19 1019.4096),(20 1023.6167),(21 1026.019),(22 1041.9618),(23 1020.0551),(24 1014.23615),(25 1035.386),(26 1026.4357),(27 1009.8099),(28 1042.8152),(29 1060.1033),(30 1053.5095),(31 1047.9999),(32 1041.7648),(33 1037.8153),(34 1029.4127),(35 1012.0908),(36 1022.2385),(37 1023.2701),(38 1028.8169),(39 1038.8762),(40 1032.019),(41 1035.9131),(42 1059.2347),(43 1029.1119),(44 1029.6426),(45 1039.4391),(46 1012.36334),(47 1008.98834),(48 1021.3924),(49 1006.98065),(50 1034.6841),(51 1025.4468),(52 1041.126),(53 1058.7632),(54 1071.7283),(55 1098.2941),(56 1092.5723),(57 1094.8556),(58 1113.6215),(59 1107.7961),(60 1096.9016),(61 1099.3319),(62 1091.3477),(63 1075.0764),(64 1074.7527),(65 1066.635),(66 1082.3007),(67 1090.1431),(68 1067.2322),(69 1053.5903),(70 1066.9155),(71 1046.7),(72 1030.1843),(73 1052.1274),(74 1024.6067),(75 1010.5491),(76 1020.23425),(77 1013.00415),(78 1025.0331),(79 1036.7714),
(1 561.7547),(2 717.9677),(3 815.1432),(4 851.034),(5 879.95),(6 917.1598),(7 920.3778),(8 937.726),(9 932.5765),(10 939.2888),(11 954.9242),(12 949.8233),(13 957.30066),(14 988.4177),(15 982.11255),(16 981.19867),(17 987.23425),(18 978.1135),(19 976.59357),(20 989.87036),(21 982.2164),(22 994.6254),(23 999.41516),(24 1001.8881),(25 1017.67175),(26 1023.07745),(27 1015.17206),(28 1026.0243),(29 1048.9122),(30 1060.6395),(31 1044.9855),(32 1046.016),(33 1055.301),(34 1039.7655),(35 1021.47253),(36 1034.3589),(37 1020.39),(38 1017.2325),(39 1027.0043),(40 1008.0072),(41 1015.0116),(42 1037.577),(43 1005.8363),(44 1009.5334),(45 1024.1237),(46 1013.4837),(47 1003.8849),(48 1003.893),(49 997.7857),(50 1014.6647),(51 1018.221),(52 1038.712),(53 1046.082),(54 1058.6997),(55 1078.3433),(56 1075.7941),(57 1079.2145),(58 1089.5742),(59 1072.1118),(60 1077.5592),(61 1082.4462),(62 1081.1526),(63 1072.4539),(64 1072.1842),(65 1067.8345),(66 1058.9448),(67 1072.8839),(68 1042.4049),(69 1035.3253),(70 1054.1802),(71 1031.239),(72 1017.9664),(73 1028.2428),(74 1000.75635),(75 1000.2282),(76 1010.3822),(77 980.3337),(78 999.93396),(79 1002.3081),
(1 550.8092),(2 702.904),(3 800.5817),(4 829.6103),(5 861.4556),(6 902.419),(7 909.2248),(8 925.62024),(9 922.0343),(10 927.4791),(11 961.8065),(12 953.89105),(13 960.06506),(14 984.42615),(15 979.9593),(16 972.9271),(17 963.0473),(18 952.73364),(19 961.5927),(20 966.4753),(21 967.2793),(22 979.15564),(23 982.3772),(24 981.1845),(25 1002.1567),(26 997.2611),(27 983.6241),(28 998.90875),(29 1015.77026),(30 1016.4252),(31 1003.8501),(32 993.7027),(33 1013.9594),(34 1002.9809),(35 1003.4387),(36 1006.5153),(37 985.8832),(38 990.5742),(39 999.09357),(40 982.3067),(41 969.48315),(42 999.75146),(43 980.283),(44 983.53424),(45 992.878),(46 983.2271),(47 970.55176),(48 972.08905),(49 965.62024),(50 975.9982),(51 987.54706),(52 1008.6245),(53 1014.04297),(54 1019.5333),(55 1044.3384),(56 1048.6091),(57 1064.5896),(58 1075.3593),(59 1059.6864),(60 1058.9868),(61 1069.7096),(62 1064.0013),(63 1051.9128),(64 1067.0127),(65 1065.9358),(66 1060.3535),(67 1072.9934),(68 1049.3619),(69 1051.3977),(70 1077.84),(71 1057.3811),(72 1040.1715),(73 1041.5878),(74 1005.8876),(75 1001.46246),(76 1012.17487),(77 977.4993),(78 974.0695),(79 994.4584),
(1 552.3414),(2 722.2701),(3 826.1379),(4 857.3372),(5 882.2123),(6 922.0731),(7 924.07336),(8 949.55786),(9 950.2868),(10 953.9973),(11 987.59845),(12 995.9461),(13 1006.1902),(14 1001.79486),(15 997.7074),(16 981.99036),(17 998.82367),(18 980.7978),(19 982.13),(20 990.57275),(21 990.6034),(22 1009.87366),(23 994.0941),(24 999.7855),(25 1014.8813),(26 1011.2779),(27 1014.3448),(28 1024.3359),(29 1031.519),(30 1040.9406),(31 1027.6515),(32 1031.4619),(33 1039.714),(34 1019.09424),(35 1013.3189),(36 1010.2376),(37 999.39),(38 1005.37317),(39 1008.547),(40 1001.3515),(41 996.8285),(42 1022.1269),(43 996.97644),(44 1003.7878),(45 1018.17096),(46 996.2714),(47 992.4088),(48 1001.33655),(49 984.8334),(50 1003.0568),(51 1009.1742),(52 1021.4842),(53 1031.6359),(54 1035.1681),(55 1058.5568),(56 1063.4015),(57 1076.8708),(58 1083.5062),(59 1079.4974),(60 1073.9641),(61 1094.2421),(62 1084.1049),(63 1083.2837),(64 1096.9384),(65 1096.0956),(66 1103.469),(67 1095.9467),(68 1072.1628),(69 1071.5338),(70 1082.612),(71 1060.7085),(72 1038.3601),(73 1053.3041),(74 1036.9451),(75 1019.4761),(76 1036.3448),(77 1008.9295),(78 1006.3467),(79 1016.2693),
(1 539.2341),(2 699.14905),(3 809.758),(4 835.2842),(5 852.38354),(6 896.2622),(7 911.2132),(8 928.7951),(9 919.3063),(10 942.0236),(11 957.8485),(12 961.83356),(13 965.47925),(14 973.1957),(15 973.24506),(16 970.06366),(17 969.9115),(18 957.3437),(19 959.15674),(20 967.5679),(21 954.4807),(22 963.53064),(23 942.3501),(24 944.12463),(25 964.4978),(26 979.73303),(27 970.8315),(28 983.21234),(29 983.5731),(30 980.78784),(31 976.57166),(32 973.3022),(33 987.3858),(34 962.5571),(35 967.71655),(36 968.8312),(37 950.9501),(38 954.1988),(39 956.3038),(40 960.4729),(41 949.2142),(42 978.43097),(43 965.2658),(44 975.704),(45 975.92126),(46 957.90845),(47 962.2984),(48 971.6797),(49 957.5623),(50 980.11395),(51 984.49164),(52 996.72797),(53 991.04974),(54 1002.56805),(55 1008.28986),(56 1024.4828),(57 1038.9889),(58 1050.348),(59 1041.994),(60 1038.5945),(61 1057.669),(62 1049.2728),(63 1040.5813),(64 1049.4318),(65 1042.764),(66 1040.7446),(67 1046.4707),(68 1039.4423),(69 1018.48596),(70 1031.5785),(71 1007.95013),(72 988.28784),(73 992.45),(74 996.3486),(75 970.1865),(76 987.61664),(77 971.2469),(78 968.20593),(79 1000.0353),
(1 540.65643),(2 702.2558),(3 808.1784),(4 828.00116),(5 860.04254),(6 901.27106),(7 911.7979),(8 926.8991),(9 910.7561),(10 916.7394),(11 935.7296),(12 927.68695),(13 936.8738),(14 948.2535),(15 940.0854),(16 939.10913),(17 963.1035),(18 955.2597),(19 952.7057),(20 949.74316),(21 953.51544),(22 970.2427),(23 951.03033),(24 945.85266),(25 972.561),(26 959.33276),(27 975.472),(28 990.45966),(29 991.75916),(30 993.3966),(31 975.68414),(32 962.6772),(33 970.34607),(34 954.6194),(35 953.0018),(36 965.39734),(37 951.1471),(38 946.4955),(39 953.577),(40 951.268),(41 934.8894),(42 954.08276),(43 945.7828),(44 950.67566),(45 969.61993),(46 949.7751),(47 928.7382),(48 949.59143),(49 929.29584),(50 951.3914),(51 969.29535),(52 977.85284),(53 988.5928),(54 989.22504),(55 1011.1387),(56 1017.6842),(57 1024.3798),(58 1031.0056),(59 1038.6107),(60 1037.6173),(61 1043.2225),(62 1040.1508),(63 1038.2662),(64 1052.8025),(65 1026.282),(66 1031.515),(67 1039.6157),(68 1032.327),(69 1012.3191),(70 1011.49457),(71 987.31866),(72 971.9073),(73 985.4573),(74 966.6634),(75 955.44116),(76 974.3956),(77 960.3925),(78 961.2876),(79 969.638),
(1 531.9376),(2 692.57434),(3 807.37933),(4 824.8223),(5 850.89886),(6 882.29987),(7 881.8533),(8 907.1822),(9 907.1771),(10 912.5033),(11 933.15405),(12 924.8712),(13 939.0259),(14 938.21735),(15 929.31934),(16 925.5228),(17 947.5636),(18 938.63086),(19 940.2008),(20 952.2452),(21 939.20013),(22 959.08276),(23 943.2223),(24 952.781),(25 973.5349),(26 975.90094),(27 984.9999),(28 995.05304),(29 989.16327),(30 969.67664),(31 962.66113),(32 969.8217),(33 971.7709),(34 964.3458),(35 960.5826),(36 961.63214),(37 953.84515),(38 946.364),(39 948.6819),(40 931.9893),(41 936.1826),(42 951.93304),(43 931.88336),(44 932.0376),(45 949.65784),(46 935.48755),(47 926.7485),(48 929.6871),(49 921.28125),(50 948.81195),(51 947.9854),(52 957.7102),(53 971.16),(54 972.69415),(55 986.6655),(56 1009.94916),(57 1017.96027),(58 1034.5922),(59 1010.08295),(60 1006.1794),(61 1021.8783),(62 1022.1743),(63 1033.8533),(64 1043.4747),(65 1030.8429),(66 1038.3403),(67 1040.4211),(68 1040.1252),(69 1018.48895),(70 1022.0135),(71 991.1828),(72 981.77075),(73 982.7373),(74 977.73956),(75 951.08496),(76 963.741),(77 962.43036),(78 962.3673),(79 982.0078),
(1 522.70166),(2 685.05707),(3 776.74225),(4 800.5243),(5 819.0788),(6 851.2899),(7 869.4378),(8 907.46674),(9 908.4663),(10 910.98846),(11 916.3518),(12 913.8798),(13 924.8734),(14 940.63934),(15 924.9354),(16 915.13873),(17 933.81445),(18 914.0551),(19 910.3504),(20 930.4958),(21 932.5544),(22 955.01605),(23 942.1896),(24 938.89844),(25 951.8088),(26 947.66235),(27 960.78827),(28 960.4418),(29 965.06635),(30 957.866),(31 951.43805),(32 964.82404),(33 957.01324),(34 950.06665),(35 932.21686),(36 943.1414),(37 938.72394),(38 932.9899),(39 930.7673),(40 914.83093),(41 916.9693),(42 933.67633),(43 925.5677),(44 917.20355),(45 925.9623),(46 923.11554),(47 916.3128),(48 924.2438),(49 910.04987),(50 929.5697),(51 932.75946),(52 937.1825),(53 946.2348),(54 954.0829),(55 972.54333),(56 980.095),(57 995.4212),(58 995.4276),(59 986.36334),(60 991.79504),(61 996.3751),(62 992.4901),(63 989.417),(64 1000.5029),(65 993.2081),(66 981.8315),(67 988.8911),(68 978.1417),(69 970.00116),(70 1004.0992),(71 977.5435),(72 950.8944),(73 955.6111),(74 936.25385),(75 927.8471),(76 944.04614),(77 930.41815),(78 933.35),(79 945.9534),
(1 522.0217),(2 682.3153),(3 774.91016),(4 793.75226),(5 825.7249),(6 858.40216),(7 871.7219),(8 905.8931),(9 895.09985),(10 901.4577),(11 914.7298),(12 901.1246),(13 914.46594),(14 913.9415),(15 914.8438),(16 911.06885),(17 920.12634),(18 908.42175),(19 906.6154),(20 919.90454),(21 912.80164),(22 927.4015),(23 933.5849),(24 931.69116),(25 956.0772),(26 948.96936),(27 950.90564),(28 970.4369),(29 963.94794),(30 951.5294),(31 949.7103),(32 950.0452),(33 962.84357),(34 955.95825),(35 951.49115),(36 953.6951),(37 932.0308),(38 940.54504),(39 941.07794),(40 930.7613),(41 922.5346),(42 935.8988),(43 928.3141),(44 918.95825),(45 921.83356),(46 913.48694),(47 910.8344),(48 918.7644),(49 914.0176),(50 938.06903),(51 939.27997),(52 938.60925),(53 942.1962),(54 939.04474),(55 966.29443),(56 978.21704),(57 982.18445),(58 992.3942),(59 994.2183),(60 991.463),(61 997.31604),(62 982.53107),(63 994.86304),(64 992.79816),(65 997.3034),(66 1005.21967),(67 993.9745),(68 972.0255),(69 961.5214),(70 990.0039),(71 970.3725),(72 961.73505),(73 974.6392),(74 950.3536),(75 933.31433),(76 960.721),(77 943.72345),(78 949.67725),(79 970.19946),
(1 505.4317),(2 671.83203),(3 758.4812),(4 773.333),(5 793.1401),(6 826.58307),(7 838.3137),(8 857.83936),(9 862.4478),(10 865.4865),(11 883.4218),(12 873.3918),(13 889.2575),(14 904.5659),(15 903.0782),(16 899.38385),(17 913.4983),(18 890.55225),(19 890.9863),(20 899.19305),(21 891.8655),(22 902.1991),(23 904.1693),(24 904.1676),(25 911.44696),(26 924.5504),(27 924.7856),(28 937.8494),(29 939.9042),(30 930.31616),(31 933.79364),(32 934.4546),(33 940.22675),(34 920.63617),(35 909.0462),(36 918.1626),(37 912.7847),(38 904.9293),(39 915.1225),(40 907.6989),(41 899.8076),(42 901.5095),(43 893.25104),(44 885.85925),(45 900.40533),(46 897.8256),(47 897.2252),(48 900.46094),(49 898.1152),(50 916.57166),(51 921.5116),(52 925.02936),(53 941.404),(54 932.73004),(55 933.5744),(56 950.43353),(57 964.2898),(58 967.1628),(59 962.81305),(60 962.42804),(61 960.7006),(62 942.5141),(63 945.72784),(64 947.30176),(65 940.91095),(66 961.29047),(67 962.52344),(68 939.5672),(69 930.0252),(70 949.64246),(71 928.1108),(72 928.04987),(73 936.91235),(74 915.2016),(75 903.5625),(76 916.1757),(77 898.73804),(78 896.8166),(79 914.13446),
(1 508.81833),(2 672.49225),(3 757.6527),(4 787.72705),(5 807.58496),(6 835.55743),(7 847.99207),(8 876.2668),(9 879.56836),(10 888.2346),(11 902.4255),(12 886.5985),(13 905.9231),(14 910.89905),(15 911.2532),(16 904.14764),(17 904.1659),(18 882.275),(19 877.9732),(20 885.85077),(21 891.57104),(22 917.8725),(23 912.74945),(24 917.938),(25 918.55164),(26 917.69),(27 926.236),(28 943.27606),(29 950.0558),(30 942.7524),(31 937.5771),(32 931.8288),(33 936.3358),(34 908.56415),(35 902.39197),(36 926.1865),(37 928.6402),(38 936.0812),(39 933.1474),(40 923.6571),(41 920.8195),(42 915.63696),(43 907.61127),(44 899.52716),(45 909.7705),(46 890.8992),(47 892.04456),(48 909.4799),(49 910.2428),(50 934.2484),(51 932.2639),(52 934.0798),(53 942.5841),(54 939.6017),(55 948.5226),(56 956.37744),(57 960.1951),(58 982.20416),(59 974.74445),(60 971.91095),(61 984.3629),(62 962.96515),(63 960.3625),(64 975.217),(65 961.9734),(66 967.6034),(67 982.98773),(68 961.2735),(69 942.0091),(70 952.1216),(71 922.2352),(72 921.7579),(73 929.0217),(74 919.45984),(75 910.16113),(76 933.7646),(77 910.533),(78 923.84814),(79 931.5576),
(1 502.47137),(2 669.6993),(3 752.5879),(4 777.8418),(5 792.2652),(6 819.3357),(7 824.2441),(8 863.23096),(9 860.1145),(10 865.6372),(11 872.1624),(12 877.4565),(13 886.688),(14 900.3843),(15 890.4494),(16 893.74756),(17 899.60144),(18 880.0509),(19 883.5226),(20 891.94025),(21 888.4032),(22 910.24414),(23 905.7196),(24 910.1347),(25 913.9898),(26 901.70337),(27 896.3941),(28 923.24744),(29 924.90967),(30 914.4303),(31 904.6863),(32 896.7525),(33 912.3555),(34 885.17523),(35 872.1041),(36 887.1214),(37 883.66974),(38 883.2261),(39 902.7488),(40 890.07),(41 884.8471),(42 896.12317),(43 886.6459),(44 876.17523),(45 888.7681),(46 879.7911),(47 864.01575),(48 881.5207),(49 893.05786),(50 917.86884),(51 937.6811),(52 938.17944),(53 929.25635),(54 934.7464),(55 939.7219),(56 956.12946),(57 956.3677),(58 975.31476),(59 959.33716),(60 960.2792),(61 968.7061),(62 961.49054),(63 963.5205),(64 973.54767),(65 972.3569),(66 968.6478),(67 985.83954),(68 959.6225),(69 939.8395),(70 936.80597),(71 917.8991),(72 917.1321),(73 925.7228),(74 912.7104),(75 904.3808),(76 938.17633),(77 914.875),(78 919.76654),(79 927.73926),
(1 503.7163),(2 665.6269),(3 753.7578),(4 776.46173),(5 794.57794),(6 822.5356),(7 838.51276),(8 869.1507),(9 866.8592),(10 870.60956),(11 883.1726),(12 875.87665),(13 887.70337),(14 893.7708),(15 893.8442),(16 885.9527),(17 890.53406),(18 869.2515),(19 864.8609),(20 873.3805),(21 864.6099),(22 886.2446),(23 878.2218),(24 882.89526),(25 905.7694),(26 890.13983),(27 885.68176),(28 902.18756),(29 910.7377),(30 892.49854),(31 886.407),(32 889.9329),(33 895.8869),(34 894.44275),(35 878.1979),(36 894.8486),(37 880.5918),(38 887.1291),(39 894.4473),(40 884.94727),(41 882.4587),(42 884.91815),(43 887.98206),(44 876.14996),(45 888.89795),(46 883.19025),(47 869.07776),(48 875.7662),(49 883.02155),(50 900.97644),(51 909.59155),(52 921.3916),(53 902.77716),(54 915.7303),(55 923.36707),(56 933.9001),(57 934.72107),(58 953.3327),(59 947.45404),(60 946.73096),(61 947.9237),(62 945.32574),(63 938.4309),(64 949.7284),(65 949.0791),(66 945.0528),(67 969.238),(68 954.26483),(69 938.1212),(70 950.0411),(71 944.3954),(72 920.3523),(73 926.94714),(74 915.34827),(75 909.4749),(76 920.60474),(77 905.0886),(78 902.8806),(79 926.3654),
(1 497.98413),(2 657.24475),(3 747.2383),(4 765.724),(5 786.8809),(6 816.21124),(7 829.4925),(8 863.8725),(9 857.03394),(10 867.9802),(11 874.7244),(12 867.5905),(13 878.6457),(14 878.6782),(15 870.4551),(16 868.0168),(17 868.6866),(18 842.44086),(19 844.5628),(20 847.0414),(21 845.4629),(22 860.15735),(23 859.09106),(24 859.8014),(25 874.2653),(26 871.5835),(27 871.72656),(28 900.8335),(29 914.31506),(30 889.93976),(31 882.9699),(32 875.3572),(33 882.56067),(34 870.26434),(35 870.2865),(36 877.04816),(37 866.8967),(38 870.069),(39 876.4903),(40 864.7803),(41 855.34686),(42 859.5674),(43 854.4942),(44 860.6861),(45 893.47595),(46 871.0167),(47 859.04004),(48 856.70197),(49 854.7865),(50 877.9496),(51 877.74396),(52 889.91016),(53 885.1517),(54 885.4625),(55 893.6054),(56 912.97626),(57 911.1973),(58 914.093),(59 909.86456),(60 909.3799),(61 919.42804),(62 924.9327),(63 923.0735),(64 937.6455),(65 918.8523),(66 915.87573),(67 927.5713),(68 921.69226),(69 913.9805),(70 919.2653),(71 912.7529),(72 898.12787),(73 912.00323),(74 894.49493),(75 893.94794),(76 907.3445),(77 885.0058),(78 887.99884),(79 904.9913),
(1 484.85544),(2 636.7119),(3 725.93976),(4 741.0211),(5 765.9083),(6 793.61615),(7 803.1963),(8 821.2814),(9 817.02704),(10 831.99976),(11 842.58734),(12 832.49884),(13 838.7283),(14 834.44684),(15 836.16876),(16 830.415),(17 838.4821),(18 822.7116),(19 825.85486),(20 835.5111),(21 819.1827),(22 823.4979),(23 824.22314),(24 840.8409),(25 861.9665),(26 851.6316),(27 847.1187),(28 868.75323),(29 886.10333),(30 861.0998),(31 853.08746),(32 854.37555),(33 868.5546),(34 850.43756),(35 847.36566),(36 860.318),(37 844.72064),(38 846.5052),(39 857.7628),(40 846.02466),(41 837.9973),(42 848.2386),(43 824.0997),(44 827.0279),(45 840.4639),(46 842.30176),(47 832.01764),(48 830.659),(49 832.5864),(50 866.9394),(51 873.8293),(52 882.8948),(53 880.0046),(54 875.6996),(55 889.5721),(56 895.1735),(57 900.39044),(58 903.6213),(59 893.1243),(60 899.0465),(61 895.66833),(62 889.5856),(63 898.52496),(64 915.48083),(65 893.9409),(66 904.7435),(67 904.5061),(68 885.43677),(69 875.3969),(70 889.7582),(71 875.2822),(72 871.07086),(73 878.9276),(74 857.5256),(75 841.29395),(76 856.04584),(77 845.88617),(78 850.3205),(79 859.3309),
