1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 69360.586),(2 183050.13),(3 336733.1),(4 568450.1),(5 776164.56),(6 973994.75),(7 1218872),(8 1433168.1),(9 1656191),(10 1944122.1),(11 2246288),(12 2522368),(13 2880055),(14 3240451),(15 3591594.8),(16 4011318.8),(17 4463330),(18 4918512),(19 5461522.5),(20 6052061.5),(21 6587930),(22 7166138.5),(23 7777201.5),(24 8342812.5),(25 8941915),(26 9578561),(27 10152395),(28 10998541),(29 11889043),(30 12665373),(31 13547091),(32 14424483),(33 15212440),(34 16050939),(35 16938930),(36 17839150),(37 18800458),(38 19872738),(39 20917418),(40 22074658),(41 23370066),(42 24595534),(43 25954824),(44 27271248),(45 28529976),(46 29987974),(47 31701688),(48 33368594),(49 35082124),(50 36885596),(51 38636196),(52 40444668),(53 42468292),(54 44388220),(55 46441820),(56 48790452),(57 51012336),(58 53306656),(59 55515884),(60 57597696),(61 59575810),(62 61499932),(63 63055628),(64 64721828),(65 66414332),(66 67814500),(67 69262550),(68 70720260),(69 71845840),(70 72942330),(71 74090296),(72 74931910),(73 75912930),(74 76810296),(75 77452370),(76 78176610),(77 78968260),(78 79519230),(79 80195610),
(1 6568.8154),(2 11240.246),(3 12868.396),(4 13663.093),(5 13525.6),(6 13812.064),(7 14580.165),(8 14684.273),(9 14698.73),(10 14917.144),(11 15184.1),(12 15122.91),(13 15159.922),(14 15478.982),(15 15565.88),(16 15913.383),(17 16315.811),(18 16770.105),(19 17075.066),(20 17282.521),(21 17431.564),(22 17515.436),(23 17737.873),(24 17796.625),(25 17738.813),(26 17823.76),(27 18007.902),(28 18079.041),(29 17973.49),(30 18154.701),(31 18581.115),(32 18690.945),(33 18928.877),(34 18893.69),(35 19097.596),(36 19758.602),(37 19971.656),(38 20069.371),(39 19874.479),(40 19726.809),(41 19412.002),(42 19282.596),(43 19449.086),(44 19458.963),(45 19594.367),(46 19624.408),(47 19812.553),(48 19870.686),(49 19804.71),(50 19926.281),(51 19951.209),(52 19775.77),(53 19916.889),(54 20099.787),(55 20525.959),(56 20508.14),(57 20198.938),(58 20237.922),(59 20168.707),(60 20153.215),(61 20054.889),(62 20176.563),(63 20311.354),(64 20252.547),(65 20363.074),(66 20306.162),(67 20285.23),(68 20132.967),(69 20117.102),(70 20168.078),(71 20463.303),(72 20348.195),(73 20379.652),(74 20601.688),(75 21022.973),(76 21117.244),(77 21253.395),(78 21473.727),(79 21916.748),
(1 6676.754),(2 11019.558),(3 12631.421),(4 13537.463),(5 13549.506),(6 13714.634),(7 14339.695),(8 14504.836),(9 14934.647),(10 15476.695),(11 15573.579),(12 15474.664),(13 15236.262),(14 15450.361),(15 15682.845),(16 16254.554),(17 16778.96),(18 17141.643),(19 17425.541),(20 17544.996),(21 17702.707),(22 17864.564),(23 17902.404),(24 17981.215),(25 18009.502),(26 17847.523),(27 18092.057),(28 18577.408),(29 18803.334),(30 18986.17),(31 19047.229),(32 18845.168),(33 19038.213),(34 19075.002),(35 19545.09),(36 19574.578),(37 19927.201),(38 20027.414),(39 19926.475),(40 19959.502),(41 20012.23),(42 20121.023),(43 20248.674),(44 20357.494),(45 20580.434),(46 20687.91),(47 20768.576),(48 20618.846),(49 20255.404),(50 20007.46),(51 20079.88),(52 20033.309),(53 19916.467),(54 19867.943),(55 19914.693),(56 19837.303),(57 19786.79),(58 19620.834),(59 19504.918),(60 19504.871),(61 19575.81),(62 20024.945),(63 20353.506),(64 20524.254),(65 20665.354),(66 20824.543),(67 20827.021),(68 20870.006),(69 20590.988),(70 20528.195),(71 20853.191),(72 20994.936),(73 21082.996),(74 21312.73),(75 21395.732),(76 21122.559),(77 21245.045),(78 21397.854),(79 21559.225),
(1 6437.802),(2 10827.071),(3 12471.647),(4 13436.677),(5 13704.12),(6 13620.733),(7 13962.022),(8 14400.13),(9 14582.813),(10 15155.045),(11 15124.046),(12 15079.878),(13 15117.355),(14 15227.25),(15 15416.172),(16 15527.794),(17 15992.502),(18 16340.506),(19 16486.424),(20 16879.418),(21 16982.31),(22 17100.646),(23 17031.379),(24 17103.08),(25 17338.969),(26 17512.805),(27 17724.262),(28 17844.219),(29 17706.012),(30 18090.932),(31 18204.107),(32 18247.994),(33 18309.076),(34 17901.492),(35 18027.47),(36 18250.117),(37 18655.76),(38 19066.03),(39 19200.742),(40 19112.734),(41 18975.727),(42 19012.693),(43 18830.398),(44 18951.373),(45 19192.914),(46 18893.143),(47 18944.525),(48 19138.67),(49 19318.215),(50 19428.604),(51 19177.203),(52 19050.799),(53 19158.492),(54 19451.396),(55 19192.166),(56 19306.371),(57 19334.053),(58 19421.676),(59 19028.47),(60 19216.621),(61 19153.482),(62 19081.049),(63 19155.4),(64 19477.621),(65 19578.617),(66 19786.543),(67 19902.018),(68 19958.861),(69 19833.096),(70 19841.059),(71 19838.14),(72 19957.72),(73 19874.121),(74 20010.607),(75 19916.758),(76 19553.434),(77 19513.633),(78 19853.443),(79 20025.81),
(1 6580.859),(2 11115.044),(3 13059.892),(4 13757.642),(5 13659.849),(6 14183.456),(7 14674.556),(8 14701.887),(9 14983.874),(10 15231.027),(11 15170.881),(12 15456.023),(13 15423.514),(14 15533.47),(15 15852.413),(16 16358.458),(17 16661.672),(18 16873.947),(19 17159.049),(20 17369.664),(21 17510.328),(22 17391.285),(23 17160.459),(24 17523.041),(25 17483.303),(26 17984.29),(27 18355.498),(28 18327.04),(29 18656.248),(30 18469.557),(31 18773.688),(32 18781.346),(33 18991.928),(34 18945.967),(35 19224.023),(36 19194.506),(37 18772.932),(38 19022.787),(39 19324.184),(40 19227.846),(41 18977.969),(42 19077.984),(43 19318.186),(44 19381.068),(45 19358.152),(46 19427.012),(47 19383.92),(48 19300.32),(49 19063.143),(50 18780.844),(51 18857.531),(52 18924.879),(53 18627.744),(54 18669.186),(55 18777.008),(56 18763.424),(57 18797.836),(58 18540.182),(59 18493.723),(60 18571.412),(61 18575.46),(62 18645.133),(63 18752.473),(64 18808.066),(65 18661.84),(66 18973.277),(67 19206.857),(68 19108.486),(69 19254.621),(70 19359.184),(71 19257.768),(72 19175.982),(73 19299.281),(74 19706.889),(75 19813.164),(76 20181.086),(77 20364.463),(78 20234.008),(79 20425.934),
(1 6195.0596),(2 10185.155),(3 11401.293),(4 11958.376),(5 12137.403),(6 12758.968),(7 12964.051),(8 13061.608),(9 13409.202),(10 13584.358),(11 13677.266),(12 13696.3),(13 14003.055),(14 14086.37),(15 14394.432),(16 14873.751),(17 15425.409),(18 15516.583),(19 15689.065),(20 15615.051),(21 15884.009),(22 16107.57),(23 16094.122),(24 16185.73),(25 16305.745),(26 16352.949),(27 16612.764),(28 16437.953),(29 16442.346),(30 16626.863),(31 17005.156),(32 17282.932),(33 17261.826),(34 17407.457),(35 17743.688),(36 17737.992),(37 17850.453),(38 17950.143),(39 17886.19),(40 17883.271),(41 17886.502),(42 17754.11),(43 17898.736),(44 18120.205),(45 17803.574),(46 17924.766),(47 18218.404),(48 18212.81),(49 18189.74),(50 17885.951),(51 17887.594),(52 17869.838),(53 17609.66),(54 17687.313),(55 17753.596),(56 17647.113),(57 17668.94),(58 17530.816),(59 17432.549),(60 17250.09),(61 17106.008),(62 17021.855),(63 17187.008),(64 17662.96),(65 17680.748),(66 17762.797),(67 18052.895),(68 18129.445),(69 18186.318),(70 18436.371),(71 18790.396),(72 18869.834),(73 18688.482),(74 19024.764),(75 19039.5),(76 19064.979),(77 19395.656),(78 19385.873),(79 19273.906),
(1 6175.5874),(2 10154.412),(3 12020.638),(4 12770.533),(5 12658.212),(6 12684.627),(7 12928.603),(8 12902.512),(9 13295.874),(10 13565.083),(11 13856.692),(12 14067.314),(13 14458.879),(14 14402.778),(15 14599.339),(16 14799.653),(17 15061.944),(18 15364.24),(19 15733.429),(20 15849.935),(21 16211.926),(22 16378.962),(23 16333.464),(24 16583.666),(25 16609.629),(26 16473.035),(27 16640.271),(28 16685.203),(29 16709.646),(30 16914.668),(31 17138.193),(32 17203.992),(33 17306.578),(34 17388.096),(35 17874.63),(36 17919.777),(37 18367.928),(38 18551.725),(39 18658.77),(40 18394.838),(41 18362.434),(42 18561.328),(43 18632.576),(44 18381.223),(45 18170.395),(46 18187.201),(47 18570.979),(48 18431.535),(49 18313.809),(50 18172.545),(51 18015.412),(52 18221.76),(53 18454.043),(54 18340.682),(55 18523.045),(56 18386.346),(57 18239.408),(58 18125.81),(59 18137.803),(60 17915.98),(61 17718.467),(62 17553.24),(63 17510.225),(64 17399.887),(65 17449.582),(66 17582.564),(67 17477.205),(68 17734.67),(69 17920.232),(70 17927.322),(71 17968.254),(72 17960.113),(73 17929.537),(74 18023.885),(75 18245.727),(76 18149.322),(77 18314.523),(78 18524.889),(79 18592.756),
(1 5930.622),(2 9767.005),(3 11276.279),(4 11699.515),(5 11657.793),(6 12160.046),(7 12486.25),(8 12800.411),(9 13252.866),(10 13544.882),(11 13724.549),(12 13892.234),(13 13926.71),(14 14049.149),(15 14551.112),(16 14835.104),(17 15004.514),(18 14839.245),(19 15022.494),(20 15282.868),(21 15681.571),(22 15798.891),(23 15995.941),(24 16529.023),(25 16639.805),(26 16553.117),(27 16492.293),(28 16581.96),(29 16876.42),(30 17262.418),(31 17691.943),(32 17724.178),(33 17448.89),(34 17683.85),(35 18067.46),(36 18117.945),(37 18060.87),(38 18281.295),(39 18111.777),(40 18108.707),(41 17915.7),(42 17832.86),(43 17853.037),(44 17793.623),(45 17816.205),(46 17851.709),(47 17957.004),(48 17957.156),(49 17952.19),(50 17868.715),(51 18141.51),(52 18133.488),(53 18171.174),(54 18080.18),(55 17861.299),(56 17998.758),(57 18197.844),(58 18061.959),(59 17745.094),(60 17569.686),(61 17565.838),(62 17517.639),(63 17440.723),(64 17429.723),(65 17380.676),(66 17758.373),(67 17838.857),(68 18077.191),(69 18069.89),(70 18428.217),(71 18676.842),(72 18758.44),(73 18503.053),(74 18403.688),(75 18593.432),(76 18685.488),(77 19089.82),(78 19144.314),(79 19192.781),
(1 5839.9463),(2 9256.138),(3 10786.245),(4 11268.528),(5 11370.289),(6 11933.382),(7 12019.506),(8 12079.731),(9 12426.054),(10 12734.845),(11 13243.187),(12 13371.635),(13 13757.651),(14 13860.747),(15 14159.905),(16 14474.635),(17 14629.733),(18 14617.578),(19 15078.561),(20 15112.906),(21 15368.769),(22 15664.06),(23 15775.838),(24 15856.034),(25 15786.787),(26 15787.926),(27 15952.907),(28 15993.522),(29 15984.089),(30 16472.363),(31 16747.291),(32 16601.914),(33 16508.713),(34 16799.133),(35 16657.76),(36 16627.924),(37 16665.863),(38 16580.975),(39 16619.313),(40 16603.176),(41 16789.107),(42 16989.031),(43 17066.57),(44 16977.168),(45 16715.473),(46 16852.508),(47 16749.94),(48 16584.61),(49 16578.104),(50 16638.057),(51 16728.176),(52 16664.387),(53 16454.08),(54 16444.996),(55 16360.353),(56 16439.746),(57 16322.8),(58 16410.834),(59 16343.852),(60 16282.428),(61 16436.287),(62 16212.596),(63 16114.67),(64 16121.627),(65 16284.262),(66 16579.645),(67 16442.607),(68 16489.84),(69 16534.639),(70 16343.076),(71 16282.169),(72 16242.037),(73 16251.172),(74 16580.969),(75 16787.348),(76 16815.867),(77 16713.244),(78 16887.797),(79 17125.945),
(1 5779.4297),(2 9124.194),(3 10570.724),(4 11335.531),(5 11291.006),(6 11645.744),(7 11822.549),(8 11959.374),(9 12319.011),(10 12901.668),(11 12980.385),(12 13168.823),(13 13449.768),(14 13676.517),(15 14000.888),(16 14367.341),(17 14415.024),(18 14310.537),(19 14745.82),(20 14860.405),(21 15034.316),(22 15381.595),(23 15718.502),(24 15865.801),(25 16106.595),(26 16215.109),(27 16142.086),(28 16156.682),(29 16021.8),(30 16256.996),(31 16413.809),(32 16431.324),(33 16237.362),(34 16335.294),(35 16572.938),(36 16639.186),(37 16470.48),(38 16245.27),(39 15884.367),(40 16050.211),(41 16086.128),(42 16383.845),(43 16570.908),(44 16387.893),(45 16405.396),(46 16290.14),(47 16285.609),(48 16200.403),(49 16209.349),(50 16317.6455),(51 16286.218),(52 15970.415),(53 15970.206),(54 15814.245),(55 16042.979),(56 16035.679),(57 16453.883),(58 16415.586),(59 16321.231),(60 16236.784),(61 16307.996),(62 16291.556),(63 16512.58),(64 16511.156),(65 16487.855),(66 16709.02),(67 17046.133),(68 17321.094),(69 17449.594),(70 17238.955),(71 17109.988),(72 17135.89),(73 17089.842),(74 17264.242),(75 17644.088),(76 17591.176),(77 17405.777),(78 17314.596),(79 17324.107),
(1 5677.908),(2 8772.559),(3 10130.017),(4 10556.501),(5 10610.406),(6 10755.543),(7 11144.005),(8 11199.827),(9 11662.608),(10 12177.285),(11 12281.186),(12 12598.294),(13 12783.949),(14 12784.787),(15 13004.594),(16 13350.302),(17 13531.669),(18 13806.308),(19 14066.24),(20 14351.93),(21 14442.465),(22 14225.116),(23 14570.42),(24 14746.901),(25 14949.165),(26 15369.369),(27 15666.76),(28 15633.801),(29 15655.674),(30 15687.062),(31 15921.58),(32 15817.033),(33 15666.277),(34 15630.086),(35 15892.828),(36 15846.162),(37 15657.85),(38 15567.816),(39 15544.967),(40 15603.168),(41 15749.619),(42 15935.779),(43 15993.746),(44 16155.211),(45 16073.35),(46 16336.205),(47 16397.121),(48 16032.082),(49 16241.989),(50 16066.98),(51 15961.719),(52 15699.821),(53 15647.298),(54 15763.037),(55 15975.109),(56 15752.971),(57 15647.668),(58 15744.523),(59 16011.947),(60 15890.007),(61 15918.881),(62 15970.833),(63 15997.398),(64 16028.944),(65 16077.592),(66 16420.924),(67 16505.61),(68 16560.441),(69 16689.35),(70 16753.36),(71 16761.88),(72 16812.74),(73 16837.145),(74 16890.418),(75 16897.395),(76 16860.398),(77 16886.133),(78 17150.393),(79 17330.605),
(1 5569.6123),(2 8805.453),(3 10182.27),(4 10667.748),(5 10646.976),(6 11150.615),(7 11453.383),(8 11731.551),(9 11948.303),(10 12312.635),(11 12407.225),(12 12793.807),(13 12968.302),(14 12932.262),(15 13143.231),(16 13423.832),(17 13597.734),(18 13637.322),(19 13736.089),(20 13922.759),(21 14104.229),(22 14422.129),(23 14839.525),(24 15056.366),(25 15108.463),(26 15076.256),(27 15172.259),(28 15248.823),(29 15247.741),(30 15442.804),(31 15735.364),(32 15911.653),(33 15717.189),(34 15697.218),(35 15609.426),(36 15660.387),(37 15374.177),(38 15505.695),(39 15422.362),(40 15662.967),(41 15649.086),(42 15458.675),(43 15315.597),(44 15453.275),(45 15697.806),(46 15733.256),(47 15795.603),(48 15821.013),(49 16137.216),(50 15871.953),(51 15647.009),(52 15553.442),(53 15616.576),(54 15799.22),(55 15945.693),(56 15936.974),(57 15986.976),(58 16065.407),(59 16174.33),(60 16207.8955),(61 16172.318),(62 16232.961),(63 16217.801),(64 16361.44),(65 16381.874),(66 16358.823),(67 16432.496),(68 16633.246),(69 16681.53),(70 16704.707),(71 16670.334),(72 16672.012),(73 16667.092),(74 16716.14),(75 17063.443),(76 17079.525),(77 17293.762),(78 17514.271),(79 17865.834),
(1 5466.7627),(2 8762.395),(3 10222.911),(4 10987.942),(5 10919.509),(6 11147.0205),(7 11376.483),(8 11693.268),(9 11882.847),(10 12178.417),(11 12032.69),(12 12153.843),(13 12370.886),(14 12484.712),(15 12674.749),(16 12660.867),(17 12968.455),(18 13387.22),(19 13758.787),(20 13722.423),(21 13670.808),(22 13544.554),(23 13847.624),(24 14116),(25 14212.543),(26 13909.283),(27 14154.29),(28 14409.96),(29 14542.029),(30 14688.037),(31 14892.72),(32 14821.328),(33 14836.361),(34 15159.767),(35 15232.325),(36 15340.401),(37 15100.658),(38 15078.052),(39 15254.705),(40 15327.25),(41 15493.471),(42 15307.414),(43 15026.645),(44 15115.811),(45 15147.49),(46 15100.17),(47 15204.504),(48 15270.703),(49 15378.235),(50 15503.8955),(51 15654.135),(52 15662.997),(53 15542.679),(54 15418.333),(55 15425.357),(56 15602.973),(57 15654.363),(58 15740.79),(59 16112.012),(60 15901.047),(61 15834.79),(62 15941.462),(63 16149.868),(64 16525.38),(65 16326.027),(66 16416.17),(67 16553.504),(68 16624.598),(69 16607.525),(70 16652.004),(71 16764.635),(72 16503.762),(73 16654.271),(74 16784.197),(75 16682.955),(76 16661.986),(77 16480.256),(78 16986.715),(79 17210.686),
(1 5345.2056),(2 8474.297),(3 9887.075),(4 10383.412),(5 10517.746),(6 10728.395),(7 11076.956),(8 11164.562),(9 11544.035),(10 11550.456),(11 11521.385),(12 11709.937),(13 12020.324),(14 12356.891),(15 12413.678),(16 12642.95),(17 12879.212),(18 13433.6),(19 13597.247),(20 13748.494),(21 13799.893),(22 13774.9375),(23 13843.869),(24 14084.775),(25 14322.841),(26 14639.762),(27 14895.94),(28 15012.773),(29 15066.389),(30 15030.462),(31 15109.971),(32 15070.485),(33 14866.464),(34 14885.567),(35 14990.555),(36 15223.884),(37 15165.0205),(38 14927.059),(39 14938.258),(40 14913.3125),(41 15065.246),(42 14973.146),(43 14662.159),(44 14582.915),(45 14954.244),(46 15301.03),(47 15483.704),(48 15430.639),(49 15545.243),(50 15501.3),(51 15357.81),(52 15045.725),(53 14924.183),(54 15134.958),(55 15231.892),(56 15465.189),(57 15410.692),(58 15352.247),(59 15350.693),(60 15417.211),(61 15404.898),(62 15521.772),(63 15527.183),(64 15507.49),(65 15584.18),(66 15892.021),(67 16067.246),(68 16162.19),(69 16131.038),(70 16139.068),(71 16244.734),(72 16139.396),(73 16250.027),(74 16288.409),(75 16417.396),(76 16324.326),(77 16454.025),(78 16444.729),(79 16596.645),
(1 5217.9883),(2 8192.262),(3 9709.84),(4 10308.261),(5 10237.442),(6 10563.726),(7 10733.755),(8 10997.142),(9 11020.192),(10 11421.441),(11 11315.577),(12 11527.317),(13 11598.208),(14 11710.971),(15 11991.851),(16 11987.097),(17 12487.536),(18 12924.273),(19 12972.403),(20 13119.986),(21 13053.541),(22 12962.342),(23 12966.9375),(24 13382.46),(25 13645.829),(26 13655.731),(27 14117.565),(28 14043.85),(29 14113.981),(30 14053.54),(31 14254.738),(32 14247.164),(33 14262.402),(34 14225.292),(35 14228.37),(36 14330.232),(37 14284.6045),(38 14054.572),(39 14295.856),(40 14304.014),(41 14560.304),(42 14602.19),(43 14373.154),(44 14393.732),(45 14693.536),(46 14851.01),(47 14784.511),(48 14716.343),(49 14821.563),(50 14996.166),(51 15167.128),(52 15009.746),(53 14801.78),(54 14849.783),(55 14846.721),(56 14835.976),(57 14697.638),(58 14487.1),(59 14368.549),(60 14406.6455),(61 14648.819),(62 14690.809),(63 14659.1),(64 14503.757),(65 14358.563),(66 14508.317),(67 14375.417),(68 14380.806),(69 14314.741),(70 14378.853),(71 14618.85),(72 14830.67),(73 14775.466),(74 14881.632),(75 14789.745),(76 14904.181),(77 15024.918),(78 15272.122),(79 15672.953),
(1 5292.0005),(2 8158.5347),(3 9567.188),(4 10165.808),(5 10349.081),(6 10543.557),(7 10602.737),(8 10773.275),(9 11094.243),(10 11298.544),(11 11430.318),(12 11465.412),(13 11442.925),(14 11408.418),(15 11752.373),(16 11806.539),(17 12241.626),(18 12704.943),(19 12911.622),(20 12939.274),(21 12999.245),(22 12971.626),(23 12974.889),(24 13000.185),(25 13119.708),(26 13326.95),(27 13552.855),(28 13567.855),(29 13609.734),(30 13506.858),(31 13461.449),(32 13242.653),(33 13349.257),(34 13339.875),(35 13566.697),(36 13532.428),(37 13511.591),(38 13541.137),(39 13647.097),(40 13678.376),(41 13911.918),(42 13819.086),(43 13727.173),(44 13901.396),(45 13992.383),(46 14288.702),(47 14398.374),(48 14313.192),(49 14316.512),(50 14300.353),(51 14522.136),(52 14548.9375),(53 14567.846),(54 14397.507),(55 14230.999),(56 14338.49),(57 14502.457),(58 14370.066),(59 14339.564),(60 14361.619),(61 14314.347),(62 14204.041),(63 14196.492),(64 14099.356),(65 13955.712),(66 14124.796),(67 14133.6875),(68 14187.968),(69 14480.239),(70 14379.89),(71 14262.625),(72 14311.745),(73 14443.14),(74 14451.722),(75 14614.1455),(76 14320.686),(77 14528.11),(78 14812.021),(79 15183.931),
(1 5299.0444),(2 8313.865),(3 9539.966),(4 9832.138),(5 9643.411),(6 9830.852),(7 10110.259),(8 10394.979),(9 10625.473),(10 10996.622),(11 11140.933),(12 11296.653),(13 11467.45),(14 11761.533),(15 11948.782),(16 12258.655),(17 12596.179),(18 12776.151),(19 12931.813),(20 13201.812),(21 13171.082),(22 13107.025),(23 13275.152),(24 13379.686),(25 13701.652),(26 13771.873),(27 13862.815),(28 13679.533),(29 13753.422),(30 14032.871),(31 13811.567),(32 13763.427),(33 13609.291),(34 13604.117),(35 13584.144),(36 13605.976),(37 13639.711),(38 13719.135),(39 13940.599),(40 13952.017),(41 13884.159),(42 13757.227),(43 13754.345),(44 13635.536),(45 13865.434),(46 14058.477),(47 14116.113),(48 13974.606),(49 13885.699),(50 13948.85),(51 14016.224),(52 14087.601),(53 13975.296),(54 13843.919),(55 13853.902),(56 13890.377),(57 13916.223),(58 13786.835),(59 13856.664),(60 13769.401),(61 13745.951),(62 13670.817),(63 13893.398),(64 13888.468),(65 13803.627),(66 13898.145),(67 14005.687),(68 14232.947),(69 14444.739),(70 14502.003),(71 14457.842),(72 14326.587),(73 14379.419),(74 14382.214),(75 14455.364),(76 14391.568),(77 14502.188),(78 14633.535),(79 14632.218),
(1 5041.658),(2 7755.981),(3 9063.536),(4 9196.03),(5 9367.717),(6 9702.427),(7 9733.008),(8 10096.384),(9 10490.018),(10 10635.631),(11 10701.384),(12 11003.504),(13 11390.852),(14 11283.435),(15 11624.881),(16 11906.26),(17 12308.981),(18 12689.174),(19 12740.934),(20 12741.616),(21 12573.577),(22 12664.733),(23 12766.299),(24 12911.803),(25 12877.878),(26 12960.016),(27 13283.129),(28 13437.349),(29 13632.259),(30 13754.379),(31 13670.315),(32 13756.288),(33 13707.776),(34 13776.527),(35 13702.573),(36 13790.474),(37 13706.389),(38 13760.79),(39 13812.004),(40 13809.726),(41 13846.964),(42 13583.259),(43 13772.075),(44 13990.472),(45 14046.181),(46 13955.822),(47 13952.879),(48 14078.146),(49 14100.409),(50 14037.018),(51 13797.275),(52 13764.097),(53 13693.022),(54 13686.403),(55 13756.0205),(56 13843.481),(57 13877.377),(58 13883.562),(59 13983.089),(60 14168.859),(61 14180.432),(62 14012.229),(63 13932.858),(64 14042.147),(65 14156.238),(66 14109.774),(67 14125.888),(68 14069.137),(69 14088.022),(70 14136.869),(71 14075.956),(72 14285.275),(73 14480.587),(74 14600.405),(75 14640.126),(76 14399.586),(77 14646.932),(78 14815.1875),(79 14783.883),
(1 4881.744),(2 7480.4473),(3 8594.35),(4 8937.293),(5 9050.61),(6 9458.42),(7 10031.535),(8 10246.897),(9 10446.743),(10 10590.052),(11 10775.917),(12 10979.307),(13 11173.619),(14 11419.748),(15 11652.291),(16 11857.95),(17 12069.73),(18 12301.98),(19 12320.673),(20 12593.694),(21 12700.586),(22 12887.052),(23 12873.094),(24 13008.236),(25 13056.515),(26 13209.22),(27 13586.846),(28 13398.69),(29 13157.042),(30 13375.024),(31 13412.407),(32 13486.604),(33 13493.128),(34 13476.97),(35 13422.871),(36 13623.846),(37 13544.807),(38 13549.778),(39 13638.719),(40 13687.435),(41 13726.866),(42 13610.8125),(43 13388.634),(44 13542.572),(45 13804.973),(46 13735.265),(47 13753.441),(48 13617.083),(49 13495.661),(50 13552.506),(51 13500.228),(52 13510.452),(53 13335.832),(54 13280.787),(55 13380.212),(56 13379.303),(57 13400.114),(58 13583.577),(59 13341.691),(60 13452.866),(61 13474.16),(62 13498.269),(63 13362.594),(64 13365.43),(65 13478.636),(66 13383.44),(67 13342.389),(68 13226.069),(69 13257.795),(70 13282.772),(71 13369.1875),(72 13625.746),(73 13764.007),(74 13542.464),(75 13600.422),(76 13694.508),(77 13873.999),(78 14097.884),(79 14158.526),
