1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 254936.38),(2 550396.06),(3 815331.5),(4 1280892.6),(5 1691340),(6 2086037.9),(7 2592260),(8 3079869.3),(9 3596206.8),(10 4163355),(11 4622374),(12 5071284.5),(13 5843417.5),(14 6491488),(15 7106705.5),(16 7980332),(17 8638934),(18 9232326),(19 10138385),(20 10843842),(21 11458765),(22 12096271),(23 12539795),(24 13024437),(25 13557877),(26 14149283),(27 14659564),(28 14959829),(29 15268008),(30 15649663),(31 16108261),(32 16721744),(33 17209806),(34 17732684),(35 18318342),(36 18848568),(37 19311378),(38 19860826),(39 20322674),(40 20692502),(41 21773526),(42 22280630),(43 22655810),(44 23279504),(45 23687622),(46 24070000),(47 24290054),(48 24465042),(49 24662226),(50 24921318),(51 25368166),(52 25738486),(53 26327846),(54 27062422),(55 27630728),(56 28471480),(57 29481958),(58 30265014),(59 31355234),(60 32592874),(61 33505758),(62 34524684),(63 36535950),(64 37890452),(65 39079092),(66 40202852),(67 41253588),(68 42266028),(69 42950140),(70 43790820),(71 44642052),(72 44801876),(73 45368068),(74 45859796),(75 46230028),(76 46576276),(77 46869732),(78 46702944),(79 46561936),
(1 30834.576),(2 64736.137),(3 96435.19),(4 128036.91),(5 150082.5),(6 169996.4),(7 194318.45),(8 213139.6),(9 229398.63),(10 247660.25),(11 259822.83),(12 271912.88),(13 287806.2),(14 298563.3),(15 308106.75),(16 319391.1),(17 327293.25),(18 333797.47),(19 339072.84),(20 344519.7),(21 350321.44),(22 350219.22),(23 351082.6),(24 353097.6),(25 349761.3),(26 350830.6),(27 352225.75),(28 352682.75),(29 360572.34),(30 365036.22),(31 367170.3),(32 372814.84),(33 374143.16),(34 370586.22),(35 371800.88),(36 371221.38),(37 369810.75),(38 363141.16),(39 359784.6),(40 357419.8),(41 358929.25),(42 358677),(43 358732.1),(44 363295.66),(45 366101.84),(46 370405.56),(47 372647),(48 375280.56),(49 378240.13),(50 379767.28),(51 386283.44),(52 389369.88),(53 387632.75),(54 387593.88),(55 389163.13),(56 385598.84),(57 386302.2),(58 386604.8),(59 385103.2),(60 391751.13),(61 395537.4),(62 397657.03),(63 396376.56),(64 396065.3),(65 396764.34),(66 397777.28),(67 397433.47),(68 396596.9),(69 393216.75),(70 392333.66),(71 392095),(72 390291.94),(73 388902.63),(74 389356),(75 381420.9),(76 378705.7),(77 375649.13),(78 368322.63),(79 370342.1),
(1 27795.664),(2 59113.902),(3 89183),(4 120507.47),(5 142886.3),(6 163310.1),(7 184826.45),(8 199555.69),(9 212263.73),(10 228773.42),(11 242447.36),(12 255108.39),(13 269653.13),(14 280202.97),(15 289072.34),(16 301747.03),(17 307817.06),(18 312305.38),(19 317762.84),(20 322202.7),(21 327430.53),(22 333979.88),(23 338679.94),(24 344290.72),(25 346108.63),(26 348937.5),(27 352254.34),(28 354024.78),(29 357891.2),(30 360984.06),(31 362435.94),(32 370224),(33 374634.63),(34 376441.88),(35 381131.34),(36 382700.6),(37 382728.47),(38 382799.97),(39 383670.38),(40 384447.56),(41 381413.22),(42 381350.72),(43 380367.78),(44 382221.88),(45 385919.56),(46 390531.94),(47 393966.13),(48 398864.88),(49 404029.97),(50 406511.16),(51 411056.38),(52 414957.66),(53 415165.8),(54 417973.94),(55 420777.88),(56 419360.06),(57 422919.78),(58 423626.63),(59 421891.47),(60 424905.34),(61 425717.53),(62 428603.8),(63 429326.8),(64 429450.72),(65 428458.34),(66 428616.94),(67 431976.38),(68 435794.28),(69 437869.06),(70 440580.47),(71 443336.6),(72 442275.03),(73 442017.8),(74 442881.5),(75 438748),(76 438480.75),(77 436821.28),(78 429919.3),(79 431268.16),
(1 27140.008),(2 58081.918),(3 87909.65),(4 119707.78),(5 142287.88),(6 161746.02),(7 184539.72),(8 200902.7),(9 215417.89),(10 231606.33),(11 244111.1),(12 256381.77),(13 267219.47),(14 276002.38),(15 282104.22),(16 289591.66),(17 293648.63),(18 296123.06),(19 295384.28),(20 298623.9),(21 302923.63),(22 309095.8),(23 310301.9),(24 311536.2),(25 310496.75),(26 311324.8),(27 311590.3),(28 309530.25),(29 311588.16),(30 313253.44),(31 313904.13),(32 319625.56),(33 322916.97),(34 320390.44),(35 321115.22),(36 323023.78),(37 323624.2),(38 328582.78),(39 331449.5),(40 335689.1),(41 339202.47),(42 344392.25),(43 348285.44),(44 350989.8),(45 353288.7),(46 355976.34),(47 356911.44),(48 356776.13),(49 356677.66),(50 352546.3),(51 353004),(52 353140.13),(53 352165.7),(54 356845.06),(55 360011.22),(56 360481.66),(57 364181.75),(58 366763.8),(59 369208.1),(60 377637.84),(61 382388.75),(62 386719.7),(63 392512.8),(64 395445.6),(65 398803),(66 397727.66),(67 400339.94),(68 402640.13),(69 401488.5),(70 402281.44),(71 404276.6),(72 402099.8),(73 401197.47),(74 400433.8),(75 394297.56),(76 393754),(77 392411.53),(78 386580.8),(79 387242.56),
(1 24398.232),(2 52055.926),(3 78188.21),(4 104348.336),(5 121995.13),(6 136802.88),(7 153919.58),(8 166107.19),(9 178286.22),(10 193895.86),(11 204311.23),(12 213016.05),(13 219746.31),(14 226745.97),(15 232408.61),(16 239214.6),(17 244195.47),(18 248564.42),(19 255436.42),(20 260461.6),(21 265784.8),(22 273062.3),(23 275811.9),(24 279735.25),(25 282125.16),(26 285652.53),(27 288147.34),(28 286801.16),(29 288304.28),(30 290629.44),(31 291520.8),(32 297678.4),(33 300430.03),(34 301077.9),(35 305529.44),(36 306560.38),(37 308583.84),(38 309813.56),(39 311879.1),(40 314515.03),(41 314896.47),(42 316665.75),(43 315907.44),(44 312165.28),(45 311562.38),(46 312198.9),(47 313356.7),(48 313604.94),(49 314852.56),(50 312985.88),(51 315516.16),(52 316304.22),(53 314889.2),(54 318551.16),(55 321845.38),(56 321777.22),(57 324360.28),(58 325852.9),(59 325752.16),(60 330587.03),(61 332565.7),(62 334264.8),(63 336811.9),(64 338131.78),(65 340828.88),(66 347864.5),(67 353066.7),(68 358178.16),(69 356351.7),(70 359690.94),(71 364220.44),(72 366527.72),(73 369576.94),(74 372544.1),(75 370169.5),(76 371281.22),(77 370819.34),(78 365668.16),(79 365897.9),
(1 23876.559),(2 50842.992),(3 76544.17),(4 104150.664),(5 123871.13),(6 141469.83),(7 160868.47),(8 173676.4),(9 183849.08),(10 196276.03),(11 204340.45),(12 212913.38),(13 224555.27),(14 232616.03),(15 239452.7),(16 244601.75),(17 249230.16),(18 254250.55),(19 261664.22),(20 265265.7),(21 268929.9),(22 270046.7),(23 272609.63),(24 275815.25),(25 275272.5),(26 279234.75),(27 283383.72),(28 285036.47),(29 288769.44),(30 292331.38),(31 296452.66),(32 304414.8),(33 309639.72),(34 312311.4),(35 320431.8),(36 325029.66),(37 330112.38),(38 331900.1),(39 334924.88),(40 337472.38),(41 337470.5),(42 337993.84),(43 338059.22),(44 338044.78),(45 336842.3),(46 336715.25),(47 335271.47),(48 335962.97),(49 337389.3),(50 333173.16),(51 331545.6),(52 330314.88),(53 327205.94),(54 329456.53),(55 331551.4),(56 331661.44),(57 335612.7),(58 335750.44),(59 334346.06),(60 337702.7),(61 338055.6),(62 338877.78),(63 338593.47),(64 341033.84),(65 344386.4),(66 350816.06),(67 355332.1),(68 359722.1),(69 363589.25),(70 365760.34),(71 369077.97),(72 373883.4),(73 380931.72),(74 388013.94),(75 388701),(76 393189.9),(77 396157.66),(78 392158.5),(79 393045.66),
(1 22476.033),(2 47470.96),(3 71479.13),(4 96191.45),(5 113680.77),(6 129366.61),(7 146278.3),(8 159161.64),(9 169179.77),(10 180071.23),(11 186400.64),(12 192259.45),(13 203206.97),(14 210476.47),(15 218027.3),(16 226946.2),(17 234194.83),(18 240968.58),(19 249588.86),(20 254956.44),(21 260442.5),(22 262314.5),(23 264773.94),(24 268383.8),(25 271442.47),(26 276691.38),(27 281111.16),(28 280887.22),(29 283122.2),(30 286733.5),(31 290022.66),(32 297195.06),(33 301299.6),(34 301308.5),(35 305670.47),(36 308768.63),(37 311718.34),(38 318511),(39 323141.63),(40 326287.97),(41 327592.4),(42 329072.7),(43 330877.25),(44 331578.3),(45 333976.44),(46 336248.2),(47 335119.53),(48 336481.28),(49 338565.16),(50 338416.47),(51 341410.3),(52 343620.66),(53 341722.34),(54 340148.9),(55 339174.66),(56 333127.44),(57 329175),(58 325602.4),(59 319879.8),(60 319753.97),(61 317960.8),(62 315784.88),(63 316228.9),(64 315713.06),(65 316734.06),(66 318875.97),(67 318961.5),(68 319472.22),(69 320778.22),(70 321138.8),(71 322149.7),(72 318413.53),(73 319213.72),(74 321259.66),(75 320431.53),(76 322920.1),(77 324999.4),(78 321038.03),(79 322517.25),
(1 22454.305),(2 47366.992),(3 70948.59),(4 92693.336),(5 107910.234),(6 121025.57),(7 135389.73),(8 144999.3),(9 153979.83),(10 163693.52),(11 168149.66),(12 173724.72),(13 181045.1),(14 188205.77),(15 193250.66),(16 196552.53),(17 199905.7),(18 202881.73),(19 206978.97),(20 210504.42),(21 214474.5),(22 215592.84),(23 216679.16),(24 218390.08),(25 218717.44),(26 221135.86),(27 223680.97),(28 224675.63),(29 228425.31),(30 230793.78),(31 230449.66),(32 234224.38),(33 236905.03),(34 238000.73),(35 243226.97),(36 244900.42),(37 246844.42),(38 245852.6),(39 246324.86),(40 246065.33),(41 245182.42),(42 246327.4),(43 247430.67),(44 246659.88),(45 246708.84),(46 247472.1),(47 251080.13),(48 253299.83),(49 256592.13),(50 255756.77),(51 257343.14),(52 259038.77),(53 255699.45),(54 256827.06),(55 258644.9),(56 257387.58),(57 258613.53),(58 258692.84),(59 259448.17),(60 264892.7),(61 267665.16),(62 268998.28),(63 269456.13),(64 270084.44),(65 270611.16),(66 272606.3),(67 273902.06),(68 273783.72),(69 272035.8),(70 271552.75),(71 272527.75),(72 268834.44),(73 267937.16),(74 268738.84),(75 266830.94),(76 267346.4),(77 266512.8),(78 262786.4),(79 264855.3),
(1 20729.047),(2 43609.492),(3 64592.855),(4 86015.58),(5 100877.71),(6 113977.93),(7 128488.7),(8 138645.34),(9 148156.11),(10 159258.94),(11 165443.11),(12 171663.66),(13 177522.67),(14 183256.67),(15 187675.02),(16 194032.84),(17 198264.97),(18 201873.94),(19 205726.39),(20 209724.6),(21 213550.11),(22 214915.89),(23 215362.89),(24 217012.14),(25 217322.25),(26 218996.89),(27 220938.48),(28 220107.08),(29 221844.1),(30 223169.84),(31 222766.67),(32 226098.64),(33 227667.61),(34 227577.66),(35 230197.98),(36 230491.95),(37 231079.77),(38 231433.67),(39 231742.11),(40 232358.69),(41 235551.67),(42 237096.8),(43 238566.33),(44 237933.06),(45 239484.25),(46 241755.45),(47 246765.63),(48 248976.44),(49 251421.9),(50 251699.61),(51 256273.8),(52 260038.38),(53 259248.77),(54 260993.02),(55 263336.22),(56 263190.9),(57 266742.75),(58 268091.44),(59 265334.63),(60 266238.4),(61 267370.13),(62 268812.13),(63 271013.75),(64 272065.8),(65 273532.25),(66 274647.25),(67 276240.9),(68 276680.4),(69 275339.3),(70 275237.56),(71 276268.8),(72 277144.7),(73 279307.94),(74 282362.66),(75 281313.25),(76 283023.25),(77 283232.06),(78 280080.4),(79 282079.2),
(1 20985.146),(2 44115.48),(3 65977.805),(4 87862.39),(5 102543.2),(6 114868.16),(7 128527.516),(8 137629.78),(9 146060.28),(10 155811.92),(11 161281.16),(12 167450.7),(13 175539.1),(14 180728.56),(15 186051.56),(16 190853.63),(17 194765.92),(18 196953.94),(19 196928.23),(20 198134.63),(21 199734.4),(22 201609.73),(23 202743.9),(24 205170.36),(25 205941.83),(26 208661.22),(27 211377.86),(28 211597.38),(29 215149.83),(30 217641.83),(31 218329.67),(32 222653.86),(33 224215.86),(34 222908.97),(35 225437.6),(36 226556.45),(37 227860.69),(38 233228.22),(39 235384.73),(40 239541.42),(41 242635.5),(42 245671.31),(43 247271.78),(44 250313.9),(45 253511.42),(46 257116.08),(47 260551.55),(48 263255.84),(49 266554.75),(50 266810.75),(51 268812.5),(52 271441.94),(53 269844.84),(54 269993.44),(55 270386.9),(56 267717.9),(57 268349.44),(58 268296),(59 264899.8),(60 265012.28),(61 264849.84),(62 264603.88),(63 265175.4),(64 265771.94),(65 266432.53),(66 272544.75),(67 275604.4),(68 277744.16),(69 277789.66),(70 277099.25),(71 277746.1),(72 280039.88),(73 281231.88),(74 283100.75),(75 277338.1),(76 274126.66),(77 272075.72),(78 267761),(79 270786.44),
(1 19139.879),(2 40333.8),(3 60429.48),(4 80376.664),(5 93834.984),(6 105269.04),(7 120075.73),(8 130513.45),(9 139644.13),(10 150928.22),(11 157819.67),(12 164571.38),(13 171699.6),(14 178846.77),(15 185155.44),(16 190004.05),(17 193613.84),(18 195757.63),(19 199133.5),(20 201110.05),(21 203770.39),(22 207524.84),(23 210291.67),(24 213934.44),(25 215710.9),(26 219140.86),(27 221758.05),(28 222460.86),(29 224554.9),(30 225431.63),(31 223653.02),(32 225978.64),(33 226918.05),(34 225519.45),(35 226830.3),(36 226933.83),(37 226545.03),(38 232653.63),(39 234993.58),(40 237210.72),(41 238072.5),(42 239534.63),(43 240648.25),(44 242471.02),(45 244947.31),(46 248588.22),(47 254377.63),(48 257630.42),(49 260888.94),(50 262385.94),(51 265189.7),(52 268452.44),(53 270145.1),(54 274852.4),(55 279381.13),(56 278762.4),(57 278260.88),(58 278619.66),(59 275411.84),(60 275596.94),(61 274095.84),(62 273742.88),(63 272692.56),(64 272822.44),(65 273186.72),(66 277785.66),(67 280738.47),(68 282313.47),(69 279669.34),(70 278172.2),(71 277323.28),(72 278388.06),(73 277929.97),(74 277767.3),(75 270065.66),(76 265212.63),(77 262746.38),(78 258913.97),(79 262242.97),
(1 19037.748),(2 40292.996),(3 60713.55),(4 80943.055),(5 94380.12),(6 106040.92),(7 118746.266),(8 127086.14),(9 133879.44),(10 141915.11),(11 146624.28),(12 151034.23),(13 156690.8),(14 162953.38),(15 167229.86),(16 171845.1),(17 174035.31),(18 176916.98),(19 177455.89),(20 179515.78),(21 181431.55),(22 182400.84),(23 183698.53),(24 185512.17),(25 186976.16),(26 191262.05),(27 194391.63),(28 196045.36),(29 199652.19),(30 202630.64),(31 203763.22),(32 208985.8),(33 211818.16),(34 211511.06),(35 213959.84),(36 215497.81),(37 216996.48),(38 221116.67),(39 223361.8),(40 225850.83),(41 228696.6),(42 230831.86),(43 233450.3),(44 235765.38),(45 237514.83),(46 239609.02),(47 239905.72),(48 241497.75),(49 242807.86),(50 240279.33),(51 240920),(52 242324.64),(53 242455.86),(54 244995.81),(55 247023.36),(56 247056.83),(57 248511.6),(58 249747.45),(59 247712.78),(60 248169.89),(61 246653.98),(62 245349.08),(63 244785.38),(64 243790.67),(65 243572.39),(66 246401.17),(67 247235.67),(68 249036.02),(69 246948.48),(70 245318.67),(71 244729.52),(72 246542.11),(73 247828.83),(74 249385.94),(75 248037.8),(76 249464.84),(77 250119.4),(78 246936.1),(79 250440.63),
(1 17936.889),(2 38013.68),(3 56192.895),(4 73144.37),(5 84357.49),(6 94445.76),(7 106427.88),(8 114836.164),(9 121025.88),(10 129087.016),(11 134972.81),(12 140071.4),(13 145541.36),(14 149707.5),(15 154542.27),(16 158333.17),(17 161068.33),(18 163239.02),(19 167954.23),(20 170423.42),(21 172994.14),(22 173505.86),(23 176093.31),(24 179521.13),(25 180580.9),(26 183964.28),(27 187422.83),(28 188917.88),(29 191735.34),(30 194102.17),(31 194482.13),(32 197235.92),(33 198175.5),(34 197325.97),(35 199659.88),(36 200888.33),(37 201678),(38 205963.19),(39 209417.5),(40 212591.9),(41 212229.03),(42 213060.55),(43 214798.23),(44 217173.9),(45 219234.19),(46 221142.72),(47 223178.86),(48 223674.31),(49 224418),(50 221951.77),(51 222823.88),(52 224750.92),(53 226321.67),(54 231254.19),(55 235132.28),(56 235660.38),(57 236194.88),(58 236726.23),(59 234921.86),(60 237145.86),(61 237130.28),(62 237964.33),(63 239258.78),(64 240445),(65 241054.81),(66 244545.72),(67 247575.55),(68 250018.9),(69 248872.27),(70 248142.73),(71 248465.77),(72 248913.33),(73 249563.33),(74 250014.9),(75 245400.88),(76 243533.73),(77 241776.47),(78 238176.17),(79 241329.78),
(1 17036.688),(2 35912.56),(3 52963.926),(4 69147.62),(5 80069.64),(6 89819.51),(7 101472.66),(8 109020.336),(9 114924.18),(10 123703.33),(11 130194.234),(12 136446.78),(13 143271.94),(14 147897.55),(15 151301.6),(16 154639.17),(17 157837.94),(18 159903.23),(19 160247.53),(20 160482.16),(21 161672.89),(22 161868.88),(23 163148.61),(24 165582.86),(25 165884.5),(26 168102.8),(27 170299.72),(28 171061.39),(29 173581.98),(30 175145.53),(31 174360.61),(32 176582.03),(33 176703.52),(34 175905.88),(35 178620.17),(36 179194.23),(37 180789.08),(38 184449.39),(39 187139.38),(40 190514.06),(41 191556.2),(42 192055.08),(43 192620.6),(44 193406.5),(45 193809.81),(46 194501.56),(47 195999.66),(48 197880.25),(49 200002.25),(50 198321.45),(51 199158.69),(52 200664.73),(53 199925.72),(54 201385.98),(55 202563.7),(56 202466.5),(57 204807.56),(58 206638.56),(59 206014.89),(60 208184.25),(61 208366),(62 209571.23),(63 209287.75),(64 211490.38),(65 213908.5),(66 217305.63),(67 220264.84),(68 222473.23),(69 219268.92),(70 217956.53),(71 217521.39),(72 216515.58),(73 216641.31),(74 217005.64),(75 213984.8),(76 214414.4),(77 214495.75),(78 213193.86),(79 216810.66),
(1 16371.396),(2 34395.418),(3 50690.4),(4 65001.586),(5 75140.35),(6 84490.96),(7 95480.47),(8 104007.38),(9 112343.22),(10 122116.336),(11 128690.77),(12 134219.44),(13 139626.98),(14 143129.25),(15 145572.16),(16 146618.66),(17 147121.67),(18 148036.25),(19 148151.33),(20 148631.78),(21 149238.47),(22 150465.05),(23 150687),(24 152257.89),(25 151791.75),(26 153534.98),(27 155314.98),(28 155758.23),(29 158256.48),(30 160031.56),(31 160880.17),(32 164938.66),(33 167165.97),(34 167828.55),(35 169854.67),(36 170542.44),(37 171642.97),(38 175943.89),(39 178018),(40 179920.16),(41 180552.45),(42 181151.77),(43 181736.66),(44 181348.6),(45 181089.63),(46 181236.86),(47 182357.9),(48 182597.3),(49 183088.16),(50 182004.22),(51 184713.6),(52 186832.95),(53 185794.4),(54 187188.19),(55 189741.08),(56 190093.47),(57 190653.8),(58 190535.2),(59 189060.38),(60 191473.5),(61 192010.98),(62 192984.72),(63 192841.47),(64 194175.23),(65 195684.33),(66 196554.3),(67 198231.28),(68 198910.63),(69 197660.39),(70 198996.3),(71 200685.84),(72 198629.5),(73 198258.14),(74 198160.3),(75 196351.33),(76 196552.6),(77 195171.77),(78 192699.2),(79 194914.28),
(1 16793.963),(2 35500.176),(3 52813.37),(4 67213.82),(5 76872.51),(6 85541.12),(7 95637.234),(8 102833.63),(9 108496.914),(10 115609.57),(11 119757.82),(12 123315.8),(13 127705.78),(14 131641.44),(15 135022.11),(16 138825.31),(17 141554.81),(18 143962.81),(19 145477.9),(20 146923.97),(21 148889.63),(22 150187.73),(23 150991.16),(24 152540.67),(25 152709.7),(26 154868.56),(27 156488.02),(28 156382.08),(29 158181.7),(30 159686.53),(31 159659.86),(32 161296.8),(33 162105.64),(34 161095.33),(35 163076.48),(36 163978.16),(37 164589.56),(38 168387.02),(39 170346.88),(40 172854),(41 173624.66),(42 175732.9),(43 177503.84),(44 178429.66),(45 179321),(46 180307.27),(47 182729.98),(48 183656.27),(49 185017.13),(50 183968.61),(51 185512.75),(52 186599.05),(53 186376.81),(54 188716.67),(55 191451.44),(56 191669.47),(57 193967.14),(58 194861.03),(59 193173.22),(60 195461.84),(61 195953.25),(62 196346.47),(63 196032.22),(64 195979.25),(65 196038.53),(66 197251.89),(67 198718.19),(68 200982.4),(69 198050.5),(70 197726.97),(71 197968.34),(72 195469.55),(73 194786.97),(74 194251.67),(75 192140.44),(76 193007.27),(77 192376.47),(78 189436.61),(79 192366.17),
(1 16705.59),(2 35569.027),(3 52508.555),(4 67152.42),(5 76854.4),(6 85289.39),(7 94146.77),(8 99303.72),(9 102668.69),(10 107969.52),(11 111624.94),(12 115792.5),(13 125099.74),(14 131746.8),(15 137835.16),(16 141525.11),(17 144964.94),(18 148019),(19 150079.06),(20 150925.48),(21 151687.83),(22 150636.64),(23 150386.55),(24 150849.73),(25 149715.78),(26 149652.88),(27 149461.4),(28 147154.52),(29 146781.66),(30 146996.4),(31 146589.4),(32 148590.16),(33 149025.95),(34 147037.9),(35 147756.56),(36 147210.7),(37 147415.63),(38 151532.7),(39 153798.42),(40 156247.11),(41 157254.14),(42 159110.45),(43 161070.11),(44 161775.77),(45 163046.22),(46 164635.48),(47 166630.45),(48 168958.52),(49 171239.38),(50 171221.88),(51 173220.27),(52 174120.78),(53 174874.34),(54 178793.1),(55 181390.22),(56 181671.28),(57 182947.33),(58 183575.88),(59 182669.63),(60 186042.7),(61 187884.55),(62 189976.34),(63 189373.61),(64 190436.3),(65 191501.6),(66 195138.63),(67 198186.27),(68 200177.11),(69 197925.84),(70 197796.13),(71 198214.95),(72 197786.05),(73 197901.9),(74 198604.7),(75 196397.16),(76 196153.13),(77 195242.52),(78 191550),(79 191547.1),
(1 16032.596),(2 33611.55),(3 49284.42),(4 62585.105),(5 70887.96),(6 77617.98),(7 85721.164),(8 91678.12),(9 96501.69),(10 103036.516),(11 106594.125),(12 109685.125),(13 115723.86),(14 120016.04),(15 124309.98),(16 126514.445),(17 129361.945),(18 132046.36),(19 134129.08),(20 135829.39),(21 137408.33),(22 138111.72),(23 138259.02),(24 139175.66),(25 139019.55),(26 140605.97),(27 142011.72),(28 141179.16),(29 141737.64),(30 143146.11),(31 142800.63),(32 144202.56),(33 145123.52),(34 143055.81),(35 143432.4),(36 142520.03),(37 141516.08),(38 144589.64),(39 146518.11),(40 148727.27),(41 151258.77),(42 153529.11),(43 155958.2),(44 155190),(45 154982.56),(46 155360.77),(47 156899.98),(48 157768.5),(49 158848.66),(50 156920.44),(51 156555.61),(52 156614.92),(53 155570.98),(54 156843.11),(55 158585.33),(56 159450.92),(57 161418.03),(58 162424.52),(59 162028.02),(60 164107.14),(61 164607.56),(62 165374.66),(63 165238.48),(64 164729.75),(65 165209.05),(66 167751.31),(67 169882.98),(68 171884.23),(69 170066.05),(70 170724.73),(71 171870.77),(72 171991.67),(73 172900.28),(74 174346.56),(75 173939.02),(76 175629.7),(77 175830.36),(78 173435.38),(79 175629.19),
(1 14424.888),(2 30518.777),(3 44905.336),(4 57437.145),(5 65774.87),(6 72276.18),(7 80803.23),(8 86615.22),(9 91176.48),(10 97268.52),(11 100274.375),(12 103573.83),(13 107261.336),(14 110716.36),(15 113735.51),(16 114371.086),(17 115883.195),(18 116904.305),(19 118587.78),(20 119947.19),(21 121313.77),(22 122479.68),(23 122848.77),(24 123865.03),(25 124046.58),(26 125251.484),(27 126563.266),(28 126091.9),(29 126907.33),(30 127915.195),(31 127749.75),(32 129532.12),(33 130129.15),(34 129393.73),(35 131222.45),(36 132107.97),(37 132963.83),(38 135511.02),(39 137046.39),(40 138731.55),(41 139260.64),(42 141256.17),(43 143156.5),(44 143540.98),(45 144424.48),(46 145401.13),(47 148301.36),(48 149654.22),(49 151270.64),(50 150817.25),(51 152283.44),(52 153688.28),(53 154525.22),(54 157416.2),(55 159255.75),(56 158998.36),(57 160091.3),(58 160339.4),(59 159323.58),(60 160919.45),(61 161694.69),(62 163386.17),(63 166801.36),(64 169764.47),(65 172421.16),(66 173684),(67 176048.98),(68 177623.47),(69 175899.95),(70 176093.13),(71 176722.17),(72 177581.36),(73 177477.94),(74 177476.47),(75 175542.02),(76 176165.27),(77 176293.95),(78 174463.05),(79 177043.77),
