1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 937675.8),(2 2782657.8),(3 5281310.5),(4 8314009.5),(5 11209989),(6 13452648),(7 15529197),(8 17336552),(9 18786194),(10 19604090),(11 20062642),(12 20240030),(13 19904744),(14 19270646),(15 18455626),(16 17578426),(17 16651984),(18 15647480),(19 14804035),(20 14093137),(21 13873875),(22 13670284),(23 13961765),(24 14354680),(25 14380597),(26 14530096),(27 14719739),(28 15214777),(29 15606221),(30 15954779),(31 15941252),(32 15646732),(33 15199203),(34 14241017),(35 13102152),(36 12066355),(37 11371581),(38 10718094),(39 10282987),(40 9787121),(41 9275332),(42 8819897),(43 8602854),(44 8687049),(45 8926673),(46 9256353),(47 9771103),(48 10314099),(49 10818155),(50 11138837),(51 11224732),(52 11084370),(53 10758219),(54 10188361),(55 9565688),(56 9010492),(57 8599124),(58 8181196),(59 7814014),(60 7516042.5),(61 7297064),(62 7156885.5),(63 7203082.5),(64 7376068),(65 7649284),(66 7816595.5),(67 7898716),(68 7821515.5),(69 7735976),(70 7686212),(71 7713862.5),(72 7790782.5),(73 7881603.5),(74 7997510),(75 8119367.5),(76 8230346.5),(77 8238157.5),(78 8328942.5),(79 8423533),
(1 12921.911),(2 20958.705),(3 26496.543),(4 30955.723),(5 33046.215),(6 33919.477),(7 35198.035),(8 35423.688),(9 35542.824),(10 35332.145),(11 35875.355),(12 35523.973),(13 35631.273),(14 35029.492),(15 35566.523),(16 36066.09),(17 36571.375),(18 36074.773),(19 36484.254),(20 37017.35),(21 37297.97),(22 36767.53),(23 37082.76),(24 37142.855),(25 37454.902),(26 37447.188),(27 38617.832),(28 39800.33),(29 40580.98),(30 41059.977),(31 41391.824),(32 41262.535),(33 41791.16),(34 41662.363),(35 41803.164),(36 41627.12),(37 40177.063),(38 38683.574),(39 38542.605),(40 38875.86),(41 38177.844),(42 37378.945),(43 37723.74),(44 38295.19),(45 38264.82),(46 38155.9),(47 38945.813),(48 39873.555),(49 40765.598),(50 40760.785),(51 41306.465),(52 42103.25),(53 43284.08),(54 42548.707),(55 42160.324),(56 42063.066),(57 41997.574),(58 41470.664),(59 41122.953),(60 40966.836),(61 41074.504),(62 41169.83),(63 41464.03),(64 41650.547),(65 42071.563),(66 42248.66),(67 42705.16),(68 42862.145),(69 42668.56),(70 42692.07),(71 43108.02),(72 43436.23),(73 43567.996),(74 42958.86),(75 42886.824),(76 43257.594),(77 44000.28),(78 44320.395),(79 45091.367),
(1 12923.859),(2 20662.95),(3 25698.746),(4 29182.91),(5 31921.14),(6 33161.617),(7 34491.457),(8 34031.945),(9 33656.305),(10 32839.234),(11 33099.254),(12 32662.436),(13 32869.78),(14 32691.191),(15 33604.98),(16 34656.14),(17 35493.207),(18 35500.637),(19 35977.734),(20 36084.07),(21 35834.06),(22 35279.094),(23 35525.242),(24 35617.57),(25 35582.473),(26 35136.84),(27 35842.152),(28 36616.344),(29 37615.29),(30 37969.527),(31 38235.766),(32 37949.07),(33 38436.22),(34 38148.35),(35 38239.996),(36 38307.55),(37 37443.65),(38 36410.855),(39 36400.633),(40 36908.07),(41 37159.297),(42 36473.688),(43 36714.89),(44 37592.48),(45 38396.414),(46 38140.367),(47 38588.46),(48 39222.484),(49 40174.457),(50 40101.625),(51 40268.87),(52 40266.832),(53 40737.17),(54 39799.566),(55 39210.21),(56 38787.32),(57 39022.777),(58 38485.23),(59 38081.285),(60 37890.75),(61 38016.727),(62 37869.004),(63 38278.375),(64 38629.434),(65 38435.945),(66 37781.504),(67 37514.73),(68 37494.047),(69 37370.598),(70 37460.25),(71 38051.97),(72 38399.195),(73 38958.82),(74 38731.234),(75 38741.77),(76 38747.68),(77 38866.88),(78 38889.563),(79 39423.207),
(1 11897.668),(2 19186.715),(3 23915.855),(4 27041.932),(5 29710.234),(6 30665.35),(7 31825.111),(8 31860.49),(9 32104.889),(10 31414.475),(11 31644.36),(12 31547.174),(13 32257.213),(14 32447.674),(15 33494.195),(16 34601.336),(17 35407.992),(18 35590.1),(19 35943.996),(20 36074.363),(21 35876.91),(22 34804.953),(23 34516.332),(24 34545.668),(25 34166.39),(26 33998.105),(27 34921.883),(28 35935.113),(29 37055.15),(30 37218.35),(31 37800.324),(32 38194.88),(33 38660.703),(34 38417.277),(35 38467.46),(36 38108.453),(37 37002.59),(38 35782.742),(39 35773.082),(40 35878.035),(41 35694.477),(42 35165.555),(43 35475.324),(44 36262.2),(45 37400.813),(46 37223.13),(47 37775.12),(48 38154.254),(49 39021.625),(50 38293.57),(51 38121.848),(52 38349.48),(53 39318.34),(54 39143.71),(55 39008.15),(56 38846.02),(57 38548.35),(58 38083.97),(59 38101.145),(60 38079.746),(61 38556.88),(62 38233.867),(63 38317.254),(64 38499.15),(65 38423.44),(66 37902.16),(67 37812.844),(68 37635.684),(69 37220.883),(70 37061.44),(71 37378.36),(72 37456.29),(73 37692.66),(74 37092.465),(75 37102.426),(76 37231.215),(77 37451.57),(78 37659.633),(79 38457.97),
(1 11689.215),(2 18612.834),(3 22917.895),(4 26205.281),(5 28293.94),(6 28929.361),(7 30220.535),(8 30706.473),(9 31207.736),(10 30994.443),(11 31510.293),(12 31878.148),(13 32144.469),(14 31742.402),(15 32248.645),(16 32476.629),(17 33134.645),(18 33372.766),(19 34052.055),(20 34712.527),(21 34596.03),(22 33788.22),(23 33554.996),(24 33582.11),(25 33262.023),(26 32723.836),(27 33219.902),(28 33958.47),(29 34866.15),(30 34741.047),(31 35059.57),(32 35170.07),(33 35318.24),(34 35017.03),(35 35447.008),(36 35647.97),(37 34890.215),(38 33966.22),(39 34407.563),(40 34934.31),(41 35280.156),(42 35043.785),(43 35716.438),(44 36488.445),(45 36944.88),(46 37115.176),(47 37900.273),(48 38652.734),(49 39048.6),(50 38399.234),(51 38535.72),(52 39019.555),(53 39590.96),(54 39491.965),(55 39758.996),(56 40048.105),(57 39879.96),(58 39732.664),(59 39721.395),(60 39273.832),(61 39278.88),(62 39019.184),(63 39476.754),(64 39792.46),(65 39554.64),(66 39041.766),(67 38803.633),(68 38474.12),(69 38057.008),(70 37871.316),(71 38219.832),(72 38327.63),(73 38603.055),(74 37940.49),(75 37835.17),(76 37939.734),(77 38214.04),(78 38293.234),(79 39131.926),
(1 11568.475),(2 18620.416),(3 23203.604),(4 25902.8),(5 27802.465),(6 28656.258),(7 30241.805),(8 30341.092),(9 31109.295),(10 31131.225),(11 32087.096),(12 32602.506),(13 32932.332),(14 32951.07),(15 33880.5),(16 34496.24),(17 35152.38),(18 35497.31),(19 36161.09),(20 36564.395),(21 36731.08),(22 36280.527),(23 36552.37),(24 37036.797),(25 37400.566),(26 37052.293),(27 37429.258),(28 37814.19),(29 38502.223),(30 38315.97),(31 38720.64),(32 39065.31),(33 39098.332),(34 38690.133),(35 38706.086),(36 38543.17),(37 38024.875),(38 36900.875),(39 36841.68),(40 37135.01),(41 37133.17),(42 36693.76),(43 37020.344),(44 37674.055),(45 38048.29),(46 38525.844),(47 39625.88),(48 40663.344),(49 41614.54),(50 41083.555),(51 41197.13),(52 41169.508),(53 41219.22),(54 40616.28),(55 40764.242),(56 41079.13),(57 40752.08),(58 40252.613),(59 39980.816),(60 39548.008),(61 39590.395),(62 39303.83),(63 39618.05),(64 39791.71),(65 39759.95),(66 39448.902),(67 39516.4),(68 39404.95),(69 39306.13),(70 39150.242),(71 39525.07),(72 39850.465),(73 40211.77),(74 39937.8),(75 40005.797),(76 40161.58),(77 40400.3),(78 40302.797),(79 41030.016),
(1 10613.054),(2 17449.744),(3 21816.834),(4 24462.693),(5 25992.855),(6 26594.01),(7 27991.844),(8 28256.795),(9 29008.713),(10 29273.41),(11 30414.463),(12 30687.205),(13 31159.006),(14 31392.97),(15 32561.488),(16 33128.355),(17 33872.504),(18 33987.73),(19 34529.75),(20 34740.266),(21 34917.35),(22 34620.797),(23 35183.17),(24 35708.53),(25 36196.375),(26 36263.887),(27 36763.418),(28 37084.918),(29 37597.78),(30 37597.555),(31 37916.652),(32 37772.285),(33 37957.53),(34 37775.23),(35 37626.24),(36 37103.727),(37 36211.715),(38 34937.19),(39 34804.41),(40 34571.57),(41 34389.387),(42 33979.86),(43 34293.39),(44 35095.81),(45 35973.367),(46 36529.047),(47 37741.508),(48 38892.99),(49 39845.336),(50 39691.063),(51 40229.953),(52 40697.27),(53 41466.53),(54 40979.58),(55 40671.51),(56 40434.293),(57 39780.418),(58 39392.49),(59 39540.887),(60 39588.098),(61 40094.266),(62 39729.2),(63 39906.582),(64 40283),(65 40289.414),(66 40259.848),(67 40539.66),(68 40595.887),(69 40586.773),(70 40513.086),(71 40782.574),(72 40841.594),(73 40927.082),(74 40482.156),(75 40641.97),(76 40805.008),(77 40954.734),(78 41141.996),(79 41832.03),
(1 10856.351),(2 17529.158),(3 21884.338),(4 24516.672),(5 26132.162),(6 26249.664),(7 27128.217),(8 27810.465),(9 28600.316),(10 28914.484),(11 29681.236),(12 30054.62),(13 30848.535),(14 30851.648),(15 32042.717),(16 32951.06),(17 33621.05),(18 33650.78),(19 34212.715),(20 34797.324),(21 35064.57),(22 34788.645),(23 35095.164),(24 35501.824),(25 36111.85),(26 36259.324),(27 36670.766),(28 36841.676),(29 37582.43),(30 37777.723),(31 38114.035),(32 37693.824),(33 38049.26),(34 37848.78),(35 38127.906),(36 37752.42),(37 36813.547),(38 35643.652),(39 35295.32),(40 34953.23),(41 34825.137),(42 34102.77),(43 33933.703),(44 34443.54),(45 35605.24),(46 36330.36),(47 37305.934),(48 37851.23),(49 37860.973),(50 37885.145),(51 38637.066),(52 39517.504),(53 40599.93),(54 40183.51),(55 39912.547),(56 39474.53),(57 38913.008),(58 38421.14),(59 38368.074),(60 38234.016),(61 38453.035),(62 37986.98),(63 38023.43),(64 38421.082),(65 38232.465),(66 37811.1),(67 37664.01),(68 37755.566),(69 37907.17),(70 37882.273),(71 38190.547),(72 38184.52),(73 38532.305),(74 38540.957),(75 39188.95),(76 39757.734),(77 40421.926),(78 40748.48),(79 41708.586),
(1 10507.733),(2 17178.05),(3 21433.484),(4 23938.484),(5 25403.88),(6 25916.287),(7 26974.51),(8 27505.61),(9 28466.35),(10 28981.81),(11 30104.588),(12 30716.367),(13 31008.19),(14 30782.107),(15 31400.906),(16 32047.89),(17 32281.453),(18 31932.713),(19 32288.947),(20 32619.006),(21 32767.764),(22 31963.125),(23 31807.82),(24 32065.541),(25 32089.97),(26 31997.145),(27 32442.139),(28 32834.25),(29 33666.9),(30 34020.72),(31 34280.188),(32 33925.676),(33 34361.7),(34 34317.563),(35 34597.93),(36 34267.984),(37 33898.734),(38 33231.61),(39 33288.418),(40 33638.26),(41 33856.727),(42 33132.992),(43 33008.074),(44 33153.9),(45 33683.207),(46 33834.715),(47 34675.8),(48 35661.88),(49 36331.39),(50 36258.855),(51 36664.605),(52 37147.83),(53 37581.03),(54 37581.883),(55 37984.695),(56 38265.043),(57 37848.895),(58 37112.297),(59 36898.164),(60 36770.227),(61 36460.996),(62 35593.63),(63 35314.453),(64 35269.906),(65 35042.188),(66 34725.676),(67 34771.176),(68 34576.043),(69 34157.242),(70 33917.93),(71 34227.86),(72 34481.434),(73 34667.484),(74 34701.453),(75 35342.28),(76 35891.402),(77 36249.59),(78 36233.95),(79 36759.234),
(1 10050.133),(2 16271.207),(3 20338.639),(4 22675.654),(5 23741.426),(6 24030.512),(7 24994.629),(8 25609.377),(9 26050.531),(10 26098.158),(11 26912.982),(12 27519.105),(13 28342),(14 27712.068),(15 27886.371),(16 28583.426),(17 29203.484),(18 29271.367),(19 29816.818),(20 30275.42),(21 30133.268),(22 29269.225),(23 28906.6),(24 28742.85),(25 28806.064),(26 29045.467),(27 29704.861),(28 30004.518),(29 30780.607),(30 30730.645),(31 30929.697),(32 30772.629),(33 31351.99),(34 31339.074),(35 31538.83),(36 31142.969),(37 31032.738),(38 30629.395),(39 31120.432),(40 31966.4),(41 32480.158),(42 31823.967),(43 31710.4),(44 31922.078),(45 32367.563),(46 32418.512),(47 33494.895),(48 34303.41),(49 34846.742),(50 34269.99),(51 34006.51),(52 33888.996),(53 34047.445),(54 33563.332),(55 33509.6),(56 33482.227),(57 33374.19),(58 32897.816),(59 32794.918),(60 32723.186),(61 32896.473),(62 32491.809),(63 32661.41),(64 32941.17),(65 33038.285),(66 32577.746),(67 32438.09),(68 32263.043),(69 32128.41),(70 31724.305),(71 32007.234),(72 32573.34),(73 32887.074),(74 32749.32),(75 33203.14),(76 33645.04),(77 34129.996),(78 34344.93),(79 34875.13),
(1 9582.637),(2 15677.252),(3 19809.715),(4 21935.086),(5 22852.047),(6 23128.842),(7 23878.002),(8 24154.854),(9 24970.607),(10 25086.277),(11 25866.764),(12 26784.984),(13 27212.432),(14 26616.98),(15 26626.459),(16 27076.664),(17 27819.35),(18 28131.654),(19 28928.86),(20 29713.012),(21 30222.521),(22 29696.682),(23 29551.697),(24 29495.83),(25 29820.361),(26 30172.666),(27 30771.852),(28 31145.113),(29 31309.934),(30 30972.836),(31 30995.568),(32 30674.02),(33 30950.44),(34 30463.277),(35 30176.416),(36 29707.762),(37 29354.908),(38 28905.607),(39 29136.795),(40 29567.88),(41 29717.17),(42 28795.674),(43 28546.027),(44 28792.324),(45 29103.836),(46 29497.34),(47 30813.28),(48 31674.076),(49 31905.496),(50 31660.459),(51 31846.563),(52 31997.947),(53 32005.809),(54 31299.006),(55 30988.95),(56 31164.955),(57 31360.35),(58 31141.45),(59 31242.416),(60 31162.27),(61 31261.398),(62 31007.227),(63 31095.861),(64 31236.396),(65 31285.088),(66 30904.176),(67 30722.95),(68 30415.383),(69 29808.84),(70 29283.035),(71 29343.361),(72 29762.852),(73 30250.465),(74 29970.541),(75 30079.547),(76 30240.191),(77 30619.14),(78 30490.584),(79 30640.572),
(1 9218.045),(2 15020.097),(3 19204.63),(4 21583.445),(5 22614.178),(6 23327.512),(7 24552.766),(8 25165.502),(9 25918.578),(10 25900.652),(11 26785.52),(12 27450.963),(13 27949.57),(14 27807.93),(15 28246.188),(16 28508.031),(17 28769.83),(18 28904.889),(19 29560.072),(20 30109.734),(21 30424.625),(22 29944.584),(23 29895.24),(24 29951.03),(25 30584.107),(26 31156.834),(27 31957.652),(28 32707.246),(29 33021.297),(30 32791.297),(31 32792.797),(32 32240.094),(33 32386.863),(34 31939.994),(35 31517.8),(36 30760.389),(37 30193.936),(38 29390.988),(39 29171.547),(40 29226.094),(41 29130.852),(42 28321.799),(43 28132.223),(44 28265.701),(45 28764.486),(46 29170.346),(47 30162.623),(48 30968.13),(49 31711.518),(50 31731.846),(51 32040.346),(52 32395.084),(53 32662.27),(54 32254.941),(55 31979.451),(56 31943.088),(57 32450.508),(58 32221.736),(59 32175.023),(60 32079.182),(61 32166.588),(62 31520.082),(63 31406.81),(64 31346.723),(65 31576.654),(66 31432.918),(67 31674.64),(68 31819.229),(69 31692.998),(70 31598.154),(71 32070.48),(72 32686.982),(73 33205.824),(74 33421.19),(75 33863.69),(76 34410.895),(77 34857.21),(78 35143.527),(79 35707.438),
(1 8912.891),(2 14786.337),(3 18856.2),(4 21600.77),(5 23061.346),(6 23937.121),(7 25323.104),(8 25515.168),(9 26205.594),(10 26047.549),(11 26624.088),(12 26956.129),(13 27603.094),(14 27442.695),(15 28124.62),(16 28757.303),(17 29179.402),(18 29225.137),(19 29636.809),(20 30075.936),(21 30402.875),(22 29935.504),(23 29864.488),(24 30136.049),(25 30928.293),(26 31213.893),(27 32050.088),(28 32740.418),(29 33211.313),(30 32981.883),(31 32814.254),(32 32418.006),(33 33046.3),(34 32610.46),(35 32491.082),(36 31986.74),(37 31510.697),(38 30497.86),(39 30107.143),(40 30046.262),(41 30043.787),(42 29513.38),(43 29431.826),(44 29729.473),(45 30343.496),(46 30532.268),(47 31299.94),(48 31945.768),(49 32613.205),(50 32676.441),(51 33043.367),(52 33246.77),(53 33671.28),(54 33363.316),(55 33292.004),(56 33349.68),(57 33708.32),(58 33645.965),(59 33688.906),(60 33525.547),(61 33276.508),(62 32685.701),(63 32744.512),(64 32710.158),(65 32659.719),(66 32322.463),(67 32338.115),(68 32322.559),(69 32493.25),(70 32395.963),(71 32687.016),(72 33041.66),(73 33475.34),(74 33682.137),(75 34284.67),(76 34854.688),(77 35377.316),(78 35613.38),(79 36303.637),
(1 8654.644),(2 14572.321),(3 18304.81),(4 20690.176),(5 21938.87),(6 22362.402),(7 23320.043),(8 23581.61),(9 24014.55),(10 24129.309),(11 24948.346),(12 25069.994),(13 25563.072),(14 25141.025),(15 25598.834),(16 26130.143),(17 27110.348),(18 27243.635),(19 27511.549),(20 28022.703),(21 28553.727),(22 28376.598),(23 28614.223),(24 29080.594),(25 29658.252),(26 29969.72),(27 30701.951),(28 31387.322),(29 31848.557),(30 31377.686),(31 31121.938),(32 30606.514),(33 31376.746),(34 30657.018),(35 30084.432),(36 29517.348),(37 29103.545),(38 28146.186),(39 28038.424),(40 28000.217),(41 27652.129),(42 26785.031),(43 26484.834),(44 26897.629),(45 27678.283),(46 27875.498),(47 28576.8),(48 29097.066),(49 29488.537),(50 29494.408),(51 29974.957),(52 30306.383),(53 30940.68),(54 30544.934),(55 30461.4),(56 30515.002),(57 30761.191),(58 30822.143),(59 31041.234),(60 31166.055),(61 31173.066),(62 31150.352),(63 31606.383),(64 31687.18),(65 31705.846),(66 31313.715),(67 31263.13),(68 31086.303),(69 30994.7),(70 30765.38),(71 31022.908),(72 31418.746),(73 31875.193),(74 31797.252),(75 32117.844),(76 32534.463),(77 32855.867),(78 32949.62),(79 33447.527),
(1 8544.348),(2 14163.235),(3 17785.93),(4 20070.914),(5 21399.943),(6 22274.549),(7 23583.662),(8 24195.133),(9 24948.615),(10 24974.35),(11 25849.574),(12 26058.32),(13 26677.656),(14 26026.541),(15 26356.426),(16 26931.197),(17 27897.92),(18 27898.93),(19 28143.018),(20 28457.219),(21 28776.32),(22 28628.656),(23 28838.506),(24 29136.55),(25 30137.557),(26 30540.795),(27 31203.674),(28 31983.88),(29 32738.088),(30 32307.418),(31 32165.92),(32 32081.465),(33 32560.648),(34 32006.639),(35 31626.938),(36 31067.51),(37 30406.85),(38 29409.23),(39 29160.242),(40 29009.254),(41 28802.758),(42 27864.967),(43 27427.357),(44 27684.018),(45 28621.283),(46 28972.436),(47 29872.46),(48 30241.799),(49 29958.645),(50 29792.432),(51 30426.941),(52 30975.396),(53 31821.352),(54 31651.654),(55 31725.283),(56 31787.398),(57 32144.264),(58 32109.236),(59 32363.148),(60 32472.967),(61 32521.613),(62 32262.57),(63 32539.926),(64 32751.71),(65 32836.313),(66 32519.473),(67 32394.586),(68 32145.156),(69 31977.633),(70 31682.432),(71 31798.906),(72 32043.357),(73 32359.586),(74 32189.12),(75 32362.758),(76 32618.006),(77 32738.855),(78 32562.582),(79 32782.52),
(1 8026.9165),(2 13304.793),(3 16755.326),(4 18880.436),(5 20291.678),(6 21080.82),(7 22208.504),(8 22451.977),(9 23167.393),(10 23459.219),(11 24623.846),(12 25094.432),(13 25561.607),(14 25343.678),(15 26034.012),(16 26599.43),(17 27672.984),(18 27811.271),(19 28267.697),(20 28683.39),(21 29043.857),(22 28853.299),(23 29088.5),(24 29548.43),(25 30280.771),(26 30711.156),(27 31173.443),(28 31874.828),(29 32799.02),(30 32560.31),(31 32422.39),(32 32085.535),(33 32079.563),(34 31646.293),(35 31625.746),(36 31387.559),(37 31713.748),(38 31098.113),(39 30768.705),(40 30497.828),(41 30096.027),(42 29359.074),(43 29150.277),(44 29303.885),(45 30076.38),(46 30296.271),(47 30843.746),(48 31515.488),(49 31962.379),(50 32086.535),(51 32723.686),(52 33205.516),(53 33824.688),(54 33617.13),(55 33658.395),(56 33524.71),(57 33678.445),(58 33643.13),(59 33884.188),(60 34028.4),(61 34102.887),(62 33704.973),(63 33590.508),(64 33597.72),(65 33672.992),(66 33760.52),(67 33989.813),(68 33910.867),(69 34092.895),(70 33768.64),(71 33743.36),(72 33937.48),(73 34062.62),(74 34132.047),(75 34532.82),(76 34900.684),(77 35584.258),(78 35835.18),(79 36406.08),
(1 7811.283),(2 13113.424),(3 16575.154),(4 18343.89),(5 19822.91),(6 20216.758),(7 21089.18),(8 20979.127),(9 21206.701),(10 21178.36),(11 22214.063),(12 22298.793),(13 22479.275),(14 22336.02),(15 23046.775),(16 23811.547),(17 24551.084),(18 24634.371),(19 24775.672),(20 24781.592),(21 25296.883),(22 25235.385),(23 25633.744),(24 26118.824),(25 26499.02),(26 26600.5),(27 27097.645),(28 27768.443),(29 28392.396),(30 28084.95),(31 27783.896),(32 27430.273),(33 27383.275),(34 27039.904),(35 27136.688),(36 26851.69),(37 26578.512),(38 26309.037),(39 26357.203),(40 26270.756),(41 26240.742),(42 25815.383),(43 25932.693),(44 26332.27),(45 26736.361),(46 26945.166),(47 27779.457),(48 28660.014),(49 29025.488),(50 28983.738),(51 29372.684),(52 29771.658),(53 30317.465),(54 29806.146),(55 29476.611),(56 29290.55),(57 29650),(58 29931.865),(59 30283.195),(60 30289.27),(61 29895.64),(62 29414.953),(63 29386.172),(64 29347.377),(65 29244.414),(66 29103.541),(67 29266.676),(68 29363.707),(69 29387.822),(70 29101.566),(71 29198.313),(72 29355.318),(73 29712.867),(74 29729.063),(75 30066.5),(76 30281.41),(77 30845.58),(78 30919.713),(79 31306.605),
(1 7893.8813),(2 13160.762),(3 16787.742),(4 18797.215),(5 20549.926),(6 21451.059),(7 22736.057),(8 22869.906),(9 23381.752),(10 23583.074),(11 24487.049),(12 24530.598),(13 24891.37),(14 24439.518),(15 25001.822),(16 25810.809),(17 26442.184),(18 26339.123),(19 26537.992),(20 26797.354),(21 26931.2),(22 27089.104),(23 27739.625),(24 28363.807),(25 28940.266),(26 29310.78),(27 30082.771),(28 30946.889),(29 30967.576),(30 30496.727),(31 30224.2),(32 29794.502),(33 29474.963),(34 28637.045),(35 28223.326),(36 27794.406),(37 27564.465),(38 27067.729),(39 27092.844),(40 26883.582),(41 26687.125),(42 26122.111),(43 26403.5),(44 26870.332),(45 27373.7),(46 27681.385),(47 28785.924),(48 29952.068),(49 30501.938),(50 30520.072),(51 30819.469),(52 31157.049),(53 31675.79),(54 31102.184),(55 30638.2),(56 30344.2),(57 30400.846),(58 30425.955),(59 30652.68),(60 30457.258),(61 30412.111),(62 29932.406),(63 29849.809),(64 29729.27),(65 29530.125),(66 29457.13),(67 29757.957),(68 29894.438),(69 30152.049),(70 30170.063),(71 30422.068),(72 30724.69),(73 30968.943),(74 30853.19),(75 31165.588),(76 31387.12),(77 31815.94),(78 32068.428),(79 32649.76),
(1 7944.7817),(2 12758.81),(3 15458.782),(4 17316.959),(5 19060.988),(6 19525.672),(7 20485.428),(8 20566.371),(9 21239.95),(10 21248.299),(11 21910.248),(12 22371.605),(13 22788.258),(14 22759.918),(15 23603.822),(16 24374.578),(17 25196.012),(18 25142.014),(19 25379.088),(20 25445.672),(21 25531.791),(22 25294.393),(23 25498.74),(24 25814.934),(25 26537.908),(26 26919.373),(27 27746.807),(28 28422.818),(29 28604.313),(30 28365.715),(31 28258.219),(32 27781.314),(33 27583.734),(34 26949.102),(35 26555.762),(36 26151.775),(37 26128.5),(38 25905.621),(39 26173.594),(40 26277.666),(41 26192.652),(42 25441.281),(43 25356.701),(44 25684.467),(45 26307),(46 26410.873),(47 26886.389),(48 27282.36),(49 27655.16),(50 27916.48),(51 28348.041),(52 28627.254),(53 28991.355),(54 28943.742),(55 28849.035),(56 28590.248),(57 28588.008),(58 28246.74),(59 28028.318),(60 27845.791),(61 27849.479),(62 27380.066),(63 27184.867),(64 27157.734),(65 27241.148),(66 27190.414),(67 27313.309),(68 27737.188),(69 28009.32),(70 28083.625),(71 28298.988),(72 28519.762),(73 28838.752),(74 28716.373),(75 28829.727),(76 28812.398),(77 29181.205),(78 29122.662),(79 29564.88),
