1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 43960.406),(2 147698.27),(3 307294.25),(4 513295.34),(5 781255.94),(6 1073925.1),(7 1401190.4),(8 1746136.6),(9 2104424.5),(10 2481033.8),(11 2856814),(12 3234835.3),(13 3645865.3),(14 4042797.3),(15 4463060.5),(16 4933485.5),(17 5417556),(18 5941976.5),(19 6420008),(20 6882434),(21 7330041.5),(22 7748696.5),(23 8123807.5),(24 8489161),(25 8805596),(26 9111160),(27 9414029),(28 9773456),(29 10067293),(30 10327469),(31 10534648),(32 10771159),(33 11012182),(34 11251568),(35 11475928),(36 11682355),(37 11830997),(38 11974717),(39 12042859),(40 12107512),(41 12138832),(42 12153423),(43 12164784),(44 12197544),(45 12210357),(46 12266967),(47 12343195),(48 12409912),(49 12420079),(50 12432768),(51 12452983),(52 12502283),(53 12605827),(54 12705152),(55 12833888),(56 13014443),(57 13185093),(58 13359380),(59 13487765),(60 13621772),(61 13760073),(62 13938573),(63 14098136),(64 14365925),(65 14657963),(66 14976672),(67 15291265),(68 15604963),(69 15868496),(70 16145351),(71 16469981),(72 16765531),(73 17074580),(74 17389830),(75 17705114),(76 18040552),(77 18434122),(78 18822322),(79 19280582),
(1 39230.027),(2 148662.95),(3 325354.44),(4 559833.94),(5 858956.9),(6 1210707.3),(7 1616661.4),(8 2077847.6),(9 2585581.8),(10 3127691.3),(11 3704039.3),(12 4300153.5),(13 4917136),(14 5545600.5),(15 6171781.5),(16 6790663),(17 7375194.5),(18 7917997),(19 8408888),(20 8863347),(21 9281953),(22 9677756),(23 10043441),(24 10410147),(25 10755951),(26 11085054),(27 11361574),(28 11615523),(29 11833764),(30 12038778),(31 12223961),(32 12368466),(33 12481791),(34 12577158),(35 12646735),(36 12698438),(37 12704985),(38 12673217),(39 12607347),(40 12533133),(41 12451733),(42 12333508),(43 12190603),(44 12038893),(45 11866957),(46 11696341),(47 11515271),(48 11321821),(49 11132145),(50 10929991),(51 10697950),(52 10466049),(53 10228232),(54 10003766),(55 9799754),(56 9602691),(57 9426664),(58 9261791),(59 9119094),(60 8992192),(61 8880981),(62 8769175),(63 8682310),(64 8617549),(65 8557465),(66 8524575),(67 8494695),(68 8485397),(69 8497510),(70 8525961),(71 8580170),(72 8648100),(73 8733951),(74 8834818),(75 8947937),(76 9051763),(77 9156136),(78 9242952),(79 9326010),
(1 35999.59),(2 134484.72),(3 289109.47),(4 490167.25),(5 738639.8),(6 1021857.5),(7 1344298),(8 1696222.9),(9 2071712.4),(10 2460734.3),(11 2867330.3),(12 3287941.3),(13 3711395),(14 4135865.8),(15 4560783.5),(16 4984404.5),(17 5393200.5),(18 5788344.5),(19 6147493.5),(20 6481030.5),(21 6791797.5),(22 7070645.5),(23 7325110.5),(24 7565706),(25 7780072),(26 7971382),(27 8128496),(28 8264596),(29 8360584),(30 8446439),(31 8506330),(32 8543549),(33 8546879),(34 8536249),(35 8511232),(36 8473389),(37 8399857),(38 8307322.5),(39 8209834.5),(40 8104512),(41 7995388),(42 7881691.5),(43 7772394.5),(44 7667305.5),(45 7569359.5),(46 7483045.5),(47 7414544),(48 7358590.5),(49 7315392),(50 7277380.5),(51 7230452.5),(52 7191638.5),(53 7161740.5),(54 7152342.5),(55 7158764),(56 7186145.5),(57 7225932.5),(58 7272922.5),(59 7314619.5),(60 7353134),(61 7384624.5),(62 7421265.5),(63 7459288.5),(64 7491060.5),(65 7506489.5),(66 7517657.5),(67 7531369.5),(68 7537489.5),(69 7532458.5),(70 7513436),(71 7505044),(72 7496954.5),(73 7503848),(74 7515854.5),(75 7525224),(76 7540604.5),(77 7553516),(78 7565702.5),(79 7578324),
(1 46768.98),(2 177161.36),(3 382920.97),(4 653289.1),(5 986631.8),(6 1370127.9),(7 1789333.1),(8 2242352),(9 2711651.8),(10 3197291),(11 3695698.5),(12 4203143.5),(13 4731380.5),(14 5255575.5),(15 5784906),(16 6312093.5),(17 6821819),(18 7310702),(19 7785833),(20 8246585.5),(21 8683264),(22 9097888),(23 9465784),(24 9810774),(25 10108719),(26 10348653),(27 10542912),(28 10704627),(29 10847114),(30 10973012),(31 11069693),(32 11138725),(33 11179588),(34 11209452),(35 11239107),(36 11266122),(37 11254072),(38 11225948),(39 11193923),(40 11149253),(41 11102838),(42 11032517),(43 10967206),(44 10897207),(45 10832259),(46 10782888),(47 10733607),(48 10692940),(49 10656272),(50 10611876),(51 10552879),(52 10488042),(53 10412716),(54 10334580),(55 10251510),(56 10156115),(57 10053376),(58 9941565),(59 9823834),(60 9706756),(61 9588659),(62 9457790),(63 9313289),(64 9173419),(65 9040144),(66 8905261),(67 8791103),(68 8703350),(69 8623683),(70 8553689),(71 8505748),(72 8490182),(73 8484083),(74 8495823),(75 8530827),(76 8579788),(77 8651101),(78 8721076),(79 8805349),
(1 48093),(2 183415.23),(3 397742.16),(4 675018),(5 1010902.94),(6 1394193.3),(7 1814461.5),(8 2253154.5),(9 2699904),(10 3151047.3),(11 3607400.3),(12 4057464.3),(13 4508198.5),(14 4944865),(15 5369926.5),(16 5784446.5),(17 6170063.5),(18 6530642.5),(19 6862987.5),(20 7167647.5),(21 7448877),(22 7717610),(23 7954740),(24 8154589),(25 8326819),(26 8461723),(27 8557843),(28 8639050),(29 8713731),(30 8794396),(31 8869140),(32 8929866),(33 8971760),(34 8998665),(35 9006042),(36 9000294),(37 8955382),(38 8890333),(39 8812916),(40 8725743),(41 8641532),(42 8547943),(43 8463121),(44 8376523.5),(45 8286638),(46 8203199.5),(47 8123800.5),(48 8051419.5),(49 7991962),(50 7949446.5),(51 7933501),(52 7933325.5),(53 7962384.5),(54 8013657),(55 8069798.5),(56 8130309),(57 8184571.5),(58 8248947),(59 8307480.5),(60 8349728),(61 8400852),(62 8431014),(63 8450106),(64 8466977),(65 8465816),(66 8464183),(67 8463778),(68 8465738),(69 8472509),(70 8474327),(71 8482397),(72 8510112),(73 8528795),(74 8537770),(75 8543142),(76 8552565),(77 8585668),(78 8599917),(79 8611820),
(1 36385.957),(2 137360.64),(3 295630.38),(4 500235.94),(5 748394.25),(6 1034436.4),(7 1349909.5),(8 1680557.6),(9 2026717.9),(10 2382662.8),(11 2746246.5),(12 3112503),(13 3482546.3),(14 3848396.3),(15 4223405.5),(16 4607043.5),(17 4974670),(18 5327557.5),(19 5651484.5),(20 5959463),(21 6241847),(22 6499123),(23 6723287),(24 6932316),(25 7110256.5),(26 7251891.5),(27 7363998),(28 7441316.5),(29 7506902),(30 7546717.5),(31 7551011.5),(32 7538839.5),(33 7508283.5),(34 7470746),(35 7427714),(36 7362749.5),(37 7273306),(38 7160585.5),(39 7031990.5),(40 6888944.5),(41 6738706),(42 6582122.5),(43 6426777.5),(44 6274103),(45 6124360.5),(46 5988260.5),(47 5864165.5),(48 5753318.5),(49 5664445),(50 5598544),(51 5569276),(52 5570755.5),(53 5614259),(54 5680546.5),(55 5765814),(56 5882903),(57 6011621.5),(58 6144438),(59 6288946),(60 6437610),(61 6595455.5),(62 6727199.5),(63 6859687),(64 6999517),(65 7147975),(66 7286230),(67 7412284),(68 7535194.5),(69 7642695.5),(70 7753657),(71 7848687),(72 7931553),(73 7997543),(74 8043255),(75 8072932.5),(76 8072604),(77 8065239),(78 8019686),(79 7976811.5),
(1 35977.824),(2 136189.73),(3 292747.28),(4 498171.53),(5 750099.75),(6 1043343.9),(7 1377088.1),(8 1737021.1),(9 2109467),(10 2485635.3),(11 2868970.5),(12 3252454.5),(13 3634899.8),(14 4009879.8),(15 4375575.5),(16 4739081.5),(17 5079611),(18 5400203),(19 5677874),(20 5926695.5),(21 6142626),(22 6322034),(23 6461775.5),(24 6567230),(25 6647867),(26 6713867),(27 6769409),(28 6803564.5),(29 6835734),(30 6869455.5),(31 6893321.5),(32 6902148.5),(33 6899435.5),(34 6895129.5),(35 6878279.5),(36 6854294),(37 6799086),(38 6750353),(39 6693469),(40 6619930.5),(41 6553501.5),(42 6487473),(43 6418184.5),(44 6357170.5),(45 6298431),(46 6237227),(47 6162749),(48 6086747.5),(49 5998590),(50 5918729.5),(51 5837079),(52 5762822.5),(53 5701800.5),(54 5649690),(55 5612070.5),(56 5581460.5),(57 5570239.5),(58 5559904),(59 5563122),(60 5579197.5),(61 5606194),(62 5623787.5),(63 5646966),(64 5681021),(65 5721748.5),(66 5762921),(67 5807761),(68 5861169),(69 5913415.5),(70 5971949.5),(71 6020661.5),(72 6077102.5),(73 6119173.5),(74 6159093.5),(75 6171402),(76 6161449.5),(77 6140546),(78 6101658),(79 6067786.5),
(1 41676.234),(2 157540.53),(3 344071.1),(4 593367.6),(5 901794.2),(6 1268608.9),(7 1684834.4),(8 2127059.8),(9 2592335.5),(10 3072182),(11 3547699),(12 4021078),(13 4469241),(14 4885701),(15 5268389),(16 5606222.5),(17 5906016.5),(18 6149476),(19 6347475),(20 6501653),(21 6610571.5),(22 6668315),(23 6679075),(24 6639635.5),(25 6563898),(26 6461974.5),(27 6339285),(28 6190857.5),(29 6030120.5),(30 5858536.5),(31 5677165),(32 5497103.5),(33 5320091),(34 5163020.5),(35 5019578),(36 4891705),(37 4784433.5),(38 4708596),(39 4659757),(40 4635603.5),(41 4647675),(42 4684572.5),(43 4743900),(44 4811956.5),(45 4887261),(46 4963922),(47 5034935.5),(48 5104126),(49 5157091),(50 5202415),(51 5235751),(52 5258917),(53 5280119.5),(54 5286998.5),(55 5286636.5),(56 5280660),(57 5272606.5),(58 5254315.5),(59 5248382),(60 5253681.5),(61 5254683),(62 5260133),(63 5256316.5),(64 5252447.5),(65 5248072.5),(66 5235229.5),(67 5228226.5),(68 5218613),(69 5207457.5),(70 5197011.5),(71 5182455.5),(72 5159258.5),(73 5137051),(74 5125878.5),(75 5115103.5),(76 5104267.5),(77 5108981.5),(78 5122607.5),(79 5148325.5),
(1 37783.97),(2 142214.75),(3 305109.47),(4 517881.63),(5 775852.25),(6 1071692.8),(7 1408371.9),(8 1765279.5),(9 2134031),(10 2512389.5),(11 2888091.8),(12 3262639.5),(13 3622613),(14 3950673),(15 4246999.5),(16 4512546.5),(17 4730416.5),(18 4902299),(19 5014514),(20 5082307),(21 5103527),(22 5085130.5),(23 5031051),(24 4946059),(25 4846136),(26 4738889.5),(27 4638448.5),(28 4544068),(29 4452456.5),(30 4361960.5),(31 4286174),(32 4228586),(33 4196569.5),(34 4178589),(35 4169763),(36 4179431.8),(37 4203459.5),(38 4251425.5),(39 4318306.5),(40 4403726.5),(41 4506101.5),(42 4614676),(43 4709418.5),(44 4811755),(45 4903766),(46 4991375.5),(47 5067411.5),(48 5132906),(49 5177581),(50 5214033.5),(51 5236458),(52 5248094),(53 5245491.5),(54 5235555),(55 5216276),(56 5199123.5),(57 5181485),(58 5164379),(59 5144523.5),(60 5117483.5),(61 5074938),(62 5033342),(63 4983035),(64 4939737),(65 4897083),(66 4861718.5),(67 4820578),(68 4781666.5),(69 4742899.5),(70 4697131.5),(71 4647862),(72 4590778),(73 4529612.5),(74 4463739.5),(75 4397933.5),(76 4337805.5),(77 4293159),(78 4249754),(79 4212363.5),
(1 38463.44),(2 142231.03),(3 302894.63),(4 516256.63),(5 781366.75),(6 1091821.4),(7 1440807.4),(8 1822541.8),(9 2227555.3),(10 2636438),(11 3037528.5),(12 3444548),(13 3837922),(14 4206309),(15 4547270),(16 4859815),(17 5126233),(18 5360006),(19 5532370.5),(20 5654158.5),(21 5727125),(22 5755804),(23 5733080.5),(24 5676687),(25 5605664),(26 5518723),(27 5417232),(28 5307147),(29 5189851),(30 5061985),(31 4930142),(32 4802512.5),(33 4686551.5),(34 4578953.5),(35 4484216),(36 4401985),(37 4333909),(38 4293197.5),(39 4261606.5),(40 4245523.5),(41 4241077.5),(42 4233818),(43 4223983),(44 4228646),(45 4233206),(46 4232317.5),(47 4233971),(48 4238465),(49 4237329),(50 4234615),(51 4227731),(52 4211426),(53 4198276.5),(54 4188904),(55 4179263),(56 4178571),(57 4172302),(58 4176049.5),(59 4189659.5),(60 4203925),(61 4213843.5),(62 4240396),(63 4266992),(64 4298481),(65 4334859),(66 4390349),(67 4457651),(68 4543928),(69 4647286),(70 4754895.5),(71 4883358),(72 5019636),(73 5168505),(74 5312471),(75 5453404.5),(76 5592177),(77 5733611),(78 5860708.5),(79 5976928),
(1 38161.293),(2 144343.97),(3 314317.94),(4 541801.6),(5 821434.4),(6 1134824.3),(7 1477671.6),(8 1827955),(9 2179708.3),(10 2525631),(11 2855006.3),(12 3165953.3),(13 3448292),(14 3707798.5),(15 3939220.8),(16 4134346),(17 4297403),(18 4415491.5),(19 4494850.5),(20 4558668.5),(21 4607233.5),(22 4641782),(23 4659476.5),(24 4669590.5),(25 4684464.5),(26 4697950),(27 4717912),(28 4729525),(29 4742929),(30 4768092),(31 4778541.5),(32 4772739.5),(33 4777776),(34 4780368.5),(35 4780440),(36 4775986),(37 4763954),(38 4751766.5),(39 4736034),(40 4718683),(41 4693022.5),(42 4649987),(43 4585211.5),(44 4514655),(45 4444085),(46 4370146),(47 4295272.5),(48 4220573.5),(49 4147391.3),(50 4069601.8),(51 3991452),(52 3918852.3),(53 3853529.5),(54 3796607.5),(55 3739826.3),(56 3690452.8),(57 3649800.8),(58 3615021.5),(59 3589549.8),(60 3576823),(61 3567216.5),(62 3568147),(63 3575508.3),(64 3591098),(65 3616286.8),(66 3654807.8),(67 3695440.5),(68 3731905.8),(69 3774386.3),(70 3811141.3),(71 3850713),(72 3900372.8),(73 3951507),(74 4012047.3),(75 4091166.3),(76 4175280),(77 4275578),(78 4372933),(79 4479808),
(1 40365.934),(2 153653.97),(3 332984.56),(4 571264),(5 858578.4),(6 1186489.9),(7 1538028.8),(8 1901480.4),(9 2268819.8),(10 2625880.3),(11 2951884.5),(12 3237576.3),(13 3478917),(14 3666105.5),(15 3810418.3),(16 3901700.5),(17 3941776.5),(18 3939356.3),(19 3895860.5),(20 3825946),(21 3730821),(22 3620554.8),(23 3508443),(24 3397055.5),(25 3299224.8),(26 3228000),(27 3184371.3),(28 3155359.3),(29 3135948),(30 3143076.3),(31 3157981.5),(32 3196467.8),(33 3264026.5),(34 3349704.8),(35 3449729.8),(36 3546411.3),(37 3648872.8),(38 3755454.3),(39 3858801.3),(40 3947661.8),(41 4020303.5),(42 4076800),(43 4117671.3),(44 4147679),(45 4168128),(46 4181695.5),(47 4191649.8),(48 4210382),(49 4223625.5),(50 4244282),(51 4268416),(52 4296589.5),(53 4319831),(54 4338519.5),(55 4347245.5),(56 4342422),(57 4330338.5),(58 4299299),(59 4263272.5),(60 4217024.5),(61 4172556),(62 4129558),(63 4081046),(64 4029911.3),(65 3971584),(66 3924596),(67 3891291),(68 3861200.5),(69 3835324.8),(70 3805560.8),(71 3782284.5),(72 3761405.3),(73 3749425.8),(74 3744808.5),(75 3751446),(76 3771221.3),(77 3810311.3),(78 3870158.8),(79 3934383.5),
(1 39626.32),(2 151459.4),(3 327976.66),(4 561680.25),(5 846408.2),(6 1167183.3),(7 1518339.3),(8 1871248.3),(9 2216573.5),(10 2559331.3),(11 2879473.8),(12 3163978),(13 3409850.8),(14 3607633),(15 3763798.8),(16 3872759.5),(17 3934784.5),(18 3958543),(19 3950114.3),(20 3919527.5),(21 3869081.3),(22 3805087),(23 3738152),(24 3665223.5),(25 3589855.3),(26 3523753.3),(27 3469077),(28 3414764.5),(29 3366110.3),(30 3322611.8),(31 3291945.8),(32 3266452.3),(33 3267055),(34 3280137),(35 3302775),(36 3330266.5),(37 3364832),(38 3406860.8),(39 3460509.8),(40 3515900.3),(41 3568159.3),(42 3609119.5),(43 3649423),(44 3675363),(45 3692504.8),(46 3714295),(47 3737776.5),(48 3766654.8),(49 3793979.5),(50 3813276),(51 3830363),(52 3858593.3),(53 3884780),(54 3910393.8),(55 3935365),(56 3955970.3),(57 3980622.8),(58 3997653),(59 4015179.5),(60 4031682.8),(61 4053945.8),(62 4076631),(63 4096093),(64 4113667.5),(65 4127595.5),(66 4148724.5),(67 4164714.8),(68 4162214.8),(69 4153202.8),(70 4127553.8),(71 4100371),(72 4077537.8),(73 4056975),(74 4044429.3),(75 4045251.5),(76 4064688.5),(77 4102581),(78 4146663),(79 4194098.3),
(1 32436.893),(2 123181.234),(3 265287.22),(4 446246.28),(5 657677.5),(6 891011.6),(7 1141321),(8 1395171.6),(9 1644976),(10 1886325.3),(11 2117631),(12 2331470.3),(13 2508803.3),(14 2650398.3),(15 2762023.8),(16 2843868.3),(17 2895870.5),(18 2932927),(19 2952741.8),(20 2961799),(21 2957945.3),(22 2947566.3),(23 2934193.8),(24 2926624.8),(25 2927015.5),(26 2927821),(27 2937679.5),(28 2950050.5),(29 2970715.3),(30 2988351.5),(31 3005825.5),(32 3024713),(33 3050066.8),(34 3077369.8),(35 3109494.8),(36 3141420.8),(37 3171485.5),(38 3198360.5),(39 3223115.3),(40 3233124.8),(41 3235397.3),(42 3224284.3),(43 3205575.5),(44 3179105.5),(45 3151994.5),(46 3124164.5),(47 3099432.3),(48 3075760.5),(49 3061880),(50 3053853.5),(51 3049935.8),(52 3063834.5),(53 3081972.3),(54 3107939.8),(55 3127801.8),(56 3143927.5),(57 3155831),(58 3162495.3),(59 3165943),(60 3166884),(61 3169850),(62 3163003.3),(63 3152745.3),(64 3138346),(65 3127309.5),(66 3123250.3),(67 3120945),(68 3117775.5),(69 3116780.8),(70 3109422.8),(71 3100441.5),(72 3092294.8),(73 3083131.3),(74 3074949.3),(75 3069943),(76 3073015),(77 3080454.5),(78 3098351),(79 3120138.5),
(1 29732.783),(2 110871.24),(3 236413.36),(4 394296.5),(5 576243.1),(6 781139.44),(7 995939.6),(8 1212665.1),(9 1425568.9),(10 1629151.3),(11 1819017.8),(12 1989594.5),(13 2139658.3),(14 2263475.8),(15 2368629),(16 2451387.5),(17 2509038.5),(18 2549319.3),(19 2566367.3),(20 2560354),(21 2546055.5),(22 2525581.8),(23 2500022.3),(24 2475858),(25 2449540),(26 2420745.5),(27 2399224.3),(28 2376390.3),(29 2358294),(30 2342973.3),(31 2339648),(32 2346249),(33 2364707.3),(34 2393161.3),(35 2436417),(36 2479436.3),(37 2516023.5),(38 2557740.3),(39 2599466.5),(40 2627818.8),(41 2652277.3),(42 2679144.8),(43 2706592.3),(44 2735589.3),(45 2779945.3),(46 2829762),(47 2886218.8),(48 2947973.8),(49 3013825),(50 3073969.5),(51 3135366),(52 3192303),(53 3243447.8),(54 3293677.5),(55 3337137.5),(56 3374452.3),(57 3397999.8),(58 3402184.3),(59 3399687.8),(60 3387914),(61 3361228),(62 3321877.8),(63 3275574),(64 3229707),(65 3186487.8),(66 3141048.5),(67 3090515.3),(68 3038575.3),(69 2987234.3),(70 2928830.5),(71 2872523.8),(72 2810760.3),(73 2745628.8),(74 2686284),(75 2633238.5),(76 2586997.3),(77 2555870.5),(78 2541982.5),(79 2536368.8),
(1 31922.705),(2 119039.766),(3 252586.6),(4 422629.6),(5 621029.2),(6 843123.6),(7 1081011),(8 1324698.3),(9 1564295.6),(10 1789716.6),(11 2000054.6),(12 2177921.8),(13 2315644),(14 2419276.5),(15 2488786.5),(16 2522433.8),(17 2522472.3),(18 2496274.5),(19 2451682.3),(20 2393319),(21 2329697.8),(22 2268470.8),(23 2211468.5),(24 2162149.5),(25 2120136.5),(26 2084745.6),(27 2060965.1),(28 2046932.1),(29 2043969.1),(30 2044184.4),(31 2043989.1),(32 2045368),(33 2050764.8),(34 2061353.3),(35 2081801.6),(36 2108891.3),(37 2132042.3),(38 2163720.8),(39 2198104.3),(40 2220502.5),(41 2238392.8),(42 2256999.5),(43 2268620.3),(44 2289817),(45 2316210.5),(46 2348830.3),(47 2391159.3),(48 2440961.8),(49 2491954),(50 2542869),(51 2590432.5),(52 2638868),(53 2680966.5),(54 2718494.3),(55 2753045.5),(56 2784671),(57 2811441),(58 2827003.8),(59 2823621.3),(60 2803687.3),(61 2763109),(62 2711900),(63 2659394.8),(64 2606251.5),(65 2551616.8),(66 2501725.8),(67 2465164.5),(68 2439038),(69 2421346.5),(70 2412632.5),(71 2416152.3),(72 2421241.5),(73 2426925.5),(74 2441676.8),(75 2464638.5),(76 2499580),(77 2541322.3),(78 2586935),(79 2623135),
(1 34542.813),(2 131424.45),(3 280756.38),(4 471542.84),(5 693172.3),(6 937525.25),(7 1195946.6),(8 1461828.3),(9 1721220.6),(10 1958333),(11 2165860.3),(12 2336723.8),(13 2467226.3),(14 2550057.3),(15 2594835.8),(16 2605504),(17 2585830),(18 2545225.3),(19 2491118),(20 2422972.3),(21 2352294.8),(22 2287114.3),(23 2230599.3),(24 2177668.3),(25 2134021),(26 2097179.8),(27 2075118.1),(28 2067638.6),(29 2074993.1),(30 2098396.5),(31 2130748.5),(32 2164724.3),(33 2195748.5),(34 2225570),(35 2249385.3),(36 2264830.5),(37 2272407.5),(38 2274071.5),(39 2266966.3),(40 2248292.3),(41 2231089.5),(42 2216316.3),(43 2205273.3),(44 2200754.8),(45 2201649.3),(46 2215191.8),(47 2239646.5),(48 2273642.8),(49 2312282.3),(50 2351938),(51 2388915.8),(52 2422684.8),(53 2450348.3),(54 2470911.5),(55 2476100.3),(56 2468547.5),(57 2448976.8),(58 2418863.5),(59 2379686.3),(60 2335398.5),(61 2286218.3),(62 2235179.5),(63 2192963.5),(64 2149379.8),(65 2109678),(66 2083500.3),(67 2069112.8),(68 2070361.1),(69 2084878.9),(70 2109489),(71 2151784.8),(72 2201207.3),(73 2261316.3),(74 2335193.5),(75 2415681.5),(76 2491854.8),(77 2570486.8),(78 2640924.3),(79 2701483.3),
(1 34984),(2 131916.97),(3 282288),(4 475702.75),(5 704084.9),(6 952635.2),(7 1216250),(8 1481251.6),(9 1750841.6),(10 2001382),(11 2227759),(12 2410312.3),(13 2542645.8),(14 2613600.8),(15 2632563.5),(16 2607095),(17 2545829.8),(18 2464525.8),(19 2365892.8),(20 2259998),(21 2169324.3),(22 2100860.8),(23 2053176.5),(24 2035562.3),(25 2039882.6),(26 2065103.1),(27 2120372.5),(28 2194867),(29 2285081.5),(30 2384804.5),(31 2478615.8),(32 2559278.5),(33 2623212),(34 2665573.8),(35 2694881.5),(36 2716558.5),(37 2718122),(38 2706323.5),(39 2686599.5),(40 2659156),(41 2620369),(42 2583057),(43 2549139.3),(44 2522768.3),(45 2493453.8),(46 2470329.5),(47 2454171.8),(48 2444501.3),(49 2441263),(50 2443303.8),(51 2444836),(52 2453385.3),(53 2465521.3),(54 2478344.3),(55 2485114.8),(56 2488668.8),(57 2478953.3),(58 2454280.3),(59 2419327.3),(60 2378522),(61 2331927),(62 2286339.3),(63 2246115.5),(64 2204625.8),(65 2164250.8),(66 2141615.5),(67 2133859.8),(68 2144923.5),(69 2168403.5),(70 2208027.8),(71 2256119),(72 2311654.5),(73 2369389.8),(74 2433272.5),(75 2493384.8),(76 2550685.3),(77 2606023.8),(78 2646967),(79 2676294),
