1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 449.56406),(2 600.7957),(3 677.29065),(4 722.56915),(5 769.9899),(6 810.3537),(7 840.9589),(8 863.13086),(9 889.4712),(10 922.5212),(11 960.61835),(12 970.15027),(13 986.9325),(14 1001.46387),(15 1033.9076),(16 1057.0873),(17 1084.7732),(18 1107.8291),(19 1121.1559),(20 1125.4331),(21 1133.0597),(22 1143.7725),(23 1157.0186),(24 1167.781),(25 1172.9155),(26 1190.0948),(27 1211.475),(28 1211.4014),(29 1222.1357),(30 1223.7365),(31 1227.6034),(32 1239.7625),(33 1248.5052),(34 1261.9961),(35 1280.8962),(36 1289.3373),(37 1301.3568),(38 1300.3961),(39 1315.952),(40 1306.8971),(41 1313.6514),(42 1322.29),(43 1324.9854),(44 1323.3639),(45 1342.8457),(46 1349.7906),(47 1357.6315),(48 1347.9358),(49 1381.3522),(50 1373.3108),(51 1383.7948),(52 1392.1125),(53 1397.0548),(54 1398.2511),(55 1395.4211),(56 1390.486),(57 1388.5997),(58 1381.5436),(59 1383.018),(60 1366.1068),(61 1363.2974),(62 1355.0093),(63 1352.2529),(64 1347.3743),(65 1358.9817),(66 1356.4187),(67 1343.7836),(68 1343.1938),(69 1347.3547),(70 1347.5203),(71 1322.1514),(72 1330.1819),(73 1334.7736),(74 1330.7789),(75 1339.72),(76 1334.2369),(77 1345.5062),(78 1350.4714),(79 1356.5372),
(1 450.0845),(2 598.3781),(3 675.80927),(4 727.65717),(5 776.36176),(6 799.7069),(7 820.7186),(8 850.4294),(9 871.86395),(10 891.6654),(11 921.2667),(12 943.1285),(13 959.7599),(14 972.8734),(15 1002.05206),(16 1014.94775),(17 1030.0067),(18 1044.773),(19 1062.4391),(20 1088.1232),(21 1099.565),(22 1095.9135),(23 1099.2178),(24 1103.1279),(25 1107.1011),(26 1119.8866),(27 1135.3235),(28 1142.6327),(29 1146.0093),(30 1146.9064),(31 1154.1216),(32 1180.9266),(33 1181.8881),(34 1182.2),(35 1197.7322),(36 1207.2255),(37 1210.431),(38 1217.6466),(39 1236.2092),(40 1239.9264),(41 1258.0388),(42 1264.7998),(43 1276.8619),(44 1285.4725),(45 1289.0085),(46 1297.3),(47 1325.5365),(48 1328.8688),(49 1333.6874),(50 1336.7755),(51 1333.1426),(52 1342.5394),(53 1334.8724),(54 1341.4711),(55 1342.904),(56 1346.5361),(57 1341.8632),(58 1347.5508),(59 1343.5425),(60 1328.2574),(61 1328.5945),(62 1320.242),(63 1317.8685),(64 1308.0902),(65 1302.96),(66 1306.6116),(67 1315.8572),(68 1307.199),(69 1304.113),(70 1301.7123),(71 1289.5573),(72 1296.431),(73 1304.9762),(74 1303.822),(75 1318.4785),(76 1321.0125),(77 1322.1272),(78 1323.2556),(79 1321.681),
(1 448.37927),(2 591.6269),(3 670.917),(4 717.40125),(5 766.3173),(6 793.9388),(7 817.6851),(8 852.77014),(9 881.369),(10 903.9402),(11 923.7563),(12 943.57904),(13 957.8154),(14 978.9754),(15 992.21625),(16 1008.88696),(17 1022.41565),(18 1043.8473),(19 1064.3424),(20 1077.8575),(21 1089.1344),(22 1095.2935),(23 1112.0776),(24 1124.1929),(25 1139.7163),(26 1151.3071),(27 1163.94),(28 1178.5443),(29 1181.4808),(30 1186.4581),(31 1192.6919),(32 1199.2637),(33 1209.7357),(34 1226.4015),(35 1229.8524),(36 1244.7903),(37 1247.2677),(38 1261.5365),(39 1265.5438),(40 1256.901),(41 1284.4667),(42 1292.5098),(43 1296.3035),(44 1310.2699),(45 1312.8553),(46 1308.8938),(47 1320.739),(48 1315.338),(49 1322.5388),(50 1314.0016),(51 1328.2399),(52 1325.8674),(53 1315.847),(54 1316.6912),(55 1329.7809),(56 1340.2361),(57 1344.5245),(58 1336.8826),(59 1326.1008),(60 1323.8768),(61 1328.5753),(62 1327.7084),(63 1320.3075),(64 1313.7115),(65 1318.1483),(66 1311.0458),(67 1304.8599),(68 1298.4882),(69 1296.6023),(70 1296.538),(71 1278.2637),(72 1282.8851),(73 1294.5067),(74 1295.9907),(75 1295.3839),(76 1294.62),(77 1306.886),(78 1304.688),(79 1306.616),
(1 439.37366),(2 584.08826),(3 662.73456),(4 696.185),(5 738.53845),(6 769.46857),(7 788.3311),(8 835.3618),(9 857.2482),(10 880.1435),(11 908.2505),(12 927.5007),(13 946.6007),(14 957.8969),(15 972.7499),(16 998.25226),(17 1000.3673),(18 1014.38513),(19 1034.1023),(20 1037.7478),(21 1056.6239),(22 1071.068),(23 1080.8446),(24 1083.1823),(25 1097.8158),(26 1111.4849),(27 1123.408),(28 1135.3468),(29 1142.8928),(30 1143.9817),(31 1159.4),(32 1179.5001),(33 1182.9894),(34 1205.2112),(35 1210.0869),(36 1221.3501),(37 1221.9609),(38 1233.1335),(39 1248.8718),(40 1242.7389),(41 1254.6511),(42 1267.6238),(43 1269.0562),(44 1266.5049),(45 1263.9518),(46 1260.2126),(47 1267.563),(48 1270.1151),(49 1276.0901),(50 1280.6001),(51 1280.4988),(52 1278.1582),(53 1277.9613),(54 1281.2675),(55 1290.066),(56 1298.4388),(57 1290.8632),(58 1286.7953),(59 1292.7522),(60 1286.0925),(61 1283.0984),(62 1279.1442),(63 1274.5576),(64 1269.1682),(65 1269.9542),(66 1260.0094),(67 1257.8953),(68 1251.2434),(69 1254.2467),(70 1256.9562),(71 1238.4967),(72 1250.2963),(73 1260.5496),(74 1253.1307),(75 1259.8475),(76 1266.3151),(77 1280.1982),(78 1282.0311),(79 1281.4104),
(1 424.2439),(2 560.23737),(3 644.1035),(4 687.42114),(5 730.836),(6 759.243),(7 784.7911),(8 809.3153),(9 829.21576),(10 851.2764),(11 879.39355),(12 908.2516),(13 923.99536),(14 940.94995),(15 969.87),(16 982.6856),(17 997.8872),(18 1008.0711),(19 1014.8898),(20 1032.7302),(21 1046.4038),(22 1052.5216),(23 1060.6781),(24 1073.218),(25 1090.3414),(26 1103.7067),(27 1117.042),(28 1116.5079),(29 1118.0228),(30 1130.814),(31 1139.9539),(32 1156.3267),(33 1165.5675),(34 1171.404),(35 1183.513),(36 1200.865),(37 1207.4496),(38 1209.9365),(39 1215.9988),(40 1213.2974),(41 1221.4474),(42 1222.4963),(43 1225.0507),(44 1231.3718),(45 1229.4087),(46 1225.9537),(47 1227.7402),(48 1235.3629),(49 1247.003),(50 1236.6536),(51 1241.084),(52 1240.6627),(53 1242.0328),(54 1228.6559),(55 1234.7723),(56 1234.1018),(57 1228.9166),(58 1223.1709),(59 1225.1582),(60 1220.8193),(61 1228.0991),(62 1225.029),(63 1222.7721),(64 1222.9172),(65 1218.4799),(66 1205.0977),(67 1199.6943),(68 1198.7704),(69 1196.5116),(70 1193.7693),(71 1180.3275),(72 1186.0629),(73 1186.4977),(74 1188.519),(75 1193.6465),(76 1199.1974),(77 1210.3634),(78 1215.516),(79 1216.5128),
(1 424.14603),(2 560.90204),(3 633.62683),(4 678.5874),(5 734.2512),(6 764.1034),(7 798.03595),(8 820.2983),(9 845.5604),(10 855.1815),(11 881.2538),(12 907.6534),(13 934.7347),(14 941.4855),(15 975.2857),(16 985.6059),(17 996.26355),(18 1016.4309),(19 1032.6956),(20 1040.1962),(21 1051.749),(22 1058.6095),(23 1062.4648),(24 1072.8766),(25 1081.0248),(26 1096.667),(27 1094.2762),(28 1093.3826),(29 1095.2314),(30 1098.0332),(31 1108.8427),(32 1116.574),(33 1133.8538),(34 1143.0076),(35 1147.9227),(36 1169.5922),(37 1158.1312),(38 1169.3367),(39 1168.3483),(40 1170.0757),(41 1181.9977),(42 1178.8036),(43 1179.5475),(44 1184.6927),(45 1177.5813),(46 1186.0284),(47 1189.9258),(48 1194.0471),(49 1203.0746),(50 1194.3694),(51 1202.6149),(52 1196.1661),(53 1195.3766),(54 1187.234),(55 1187.018),(56 1188),(57 1199.2789),(58 1191.7601),(59 1185.9424),(60 1178.6338),(61 1184.9203),(62 1189.496),(63 1184.9629),(64 1195.1904),(65 1193.9792),(66 1186.4287),(67 1182.1924),(68 1165.7124),(69 1171.5673),(70 1165.9747),(71 1152.528),(72 1159.0042),(73 1157.5623),(74 1152.3068),(75 1175.3923),(76 1170.8394),(77 1176.9329),(78 1176.4883),(79 1181.8418),
(1 423.99536),(2 552.4952),(3 630.8421),(4 670.0205),(5 714.48737),(6 748.21936),(7 770.8016),(8 797.59753),(9 818.547),(10 844.263),(11 869.6408),(12 889.36523),(13 912.12244),(14 927.1111),(15 955.40326),(16 969.3612),(17 978.21564),(18 992.2436),(19 1011.4367),(20 1030.3104),(21 1045.9518),(22 1058.9954),(23 1074.3973),(24 1084.3644),(25 1087.3246),(26 1106.6017),(27 1114.3682),(28 1124.7174),(29 1125.4327),(30 1138.9448),(31 1148.8785),(32 1157.5369),(33 1174.8761),(34 1177.6072),(35 1185.883),(36 1192.2411),(37 1185.9307),(38 1186.8558),(39 1194.4783),(40 1191.2539),(41 1201.2689),(42 1201.4504),(43 1204.372),(44 1216.7649),(45 1215.123),(46 1208.804),(47 1198.3198),(48 1199.8417),(49 1214.125),(50 1211.9281),(51 1223.0396),(52 1216.4218),(53 1215.6383),(54 1211.2021),(55 1208.2673),(56 1210.0222),(57 1222.9169),(58 1208.866),(59 1203.3472),(60 1203.3267),(61 1200.6555),(62 1202.8103),(63 1206.019),(64 1199.1772),(65 1195.8748),(66 1197.0233),(67 1191.6058),(68 1180.8834),(69 1194.0636),(70 1189.3254),(71 1187.098),(72 1192.4103),(73 1189.2319),(74 1196.6324),(75 1222.035),(76 1214.3135),(77 1215.5486),(78 1217.5013),(79 1211.6388),
(1 408.2171),(2 536.2107),(3 612.3329),(4 655.5531),(5 699.2734),(6 724.6865),(7 756.8358),(8 791.3546),(9 812.04114),(10 828.8979),(11 852.6708),(12 868.6628),(13 888.9682),(14 914.1549),(15 936.5733),(16 948.6047),(17 960.6532),(18 974.66675),(19 987.72034),(20 1003.8914),(21 1017.6619),(22 1020.2166),(23 1046.5734),(24 1053.8531),(25 1066.7832),(26 1090.6959),(27 1094.9696),(28 1089.6844),(29 1092.0176),(30 1102.8258),(31 1111.8109),(32 1116.0387),(33 1111.6074),(34 1123.1224),(35 1134.8755),(36 1128.9402),(37 1132.1865),(38 1125.5444),(39 1131.5803),(40 1137.7369),(41 1145.3282),(42 1143.7073),(43 1154.8823),(44 1159.5004),(45 1168.7224),(46 1163.5416),(47 1171.6068),(48 1174.8931),(49 1178.3917),(50 1175.3353),(51 1180.2051),(52 1178.3553),(53 1172.1986),(54 1177.3785),(55 1167.2543),(56 1167.0681),(57 1184.4885),(58 1175.2081),(59 1172.3667),(60 1169.9219),(61 1178.6604),(62 1182.7335),(63 1182.333),(64 1171.7003),(65 1166.3406),(66 1167.4236),(67 1168.3876),(68 1164.5488),(69 1167.5477),(70 1170.5803),(71 1165.908),(72 1165.7655),(73 1178.3042),(74 1181.038),(75 1199.638),(76 1190.8373),(77 1203.147),(78 1187.9933),(79 1189.8491),
(1 408.55127),(2 534.6427),(3 613.7864),(4 660.69684),(5 700.9572),(6 733.08673),(7 763.62897),(8 794.8318),(9 810.8253),(10 833.2524),(11 852.90533),(12 868.22107),(13 883.4816),(14 900.06714),(15 922.60504),(16 934.42523),(17 942.0708),(18 951.1143),(19 958.72253),(20 970.9827),(21 989.64197),(22 996.1212),(23 1003.42456),(24 1006.0487),(25 1014.102),(26 1033.5779),(27 1039.9272),(28 1035.3127),(29 1049.3079),(30 1049.4781),(31 1053.5575),(32 1054.8624),(33 1056.6908),(34 1065.9099),(35 1064.0183),(36 1067.743),(37 1064.9578),(38 1072.5382),(39 1084.0367),(40 1084.0736),(41 1095.5494),(42 1105.2843),(43 1119.3112),(44 1121.9647),(45 1133.18),(46 1138.8282),(47 1138.2677),(48 1137.6978),(49 1144.1),(50 1140.3657),(51 1136.3569),(52 1133.9747),(53 1140.8281),(54 1139.943),(55 1135.7991),(56 1141.8099),(57 1143.5253),(58 1143.1552),(59 1151.8267),(60 1142.838),(61 1145.2144),(62 1142.609),(63 1146.1132),(64 1133.6095),(65 1135.5828),(66 1130.6732),(67 1133.3649),(68 1132.2498),(69 1126.2041),(70 1127.9305),(71 1122.5178),(72 1122.1388),(73 1125.8043),(74 1131.4993),(75 1130.8494),(76 1128.8182),(77 1128.7917),(78 1137.8829),(79 1135.6243),
(1 390.30612),(2 523.16125),(3 598.6459),(4 649.65936),(5 688.3801),(6 719.91266),(7 744.652),(8 780.1394),(9 802.51685),(10 826.22766),(11 845.8926),(12 859.0889),(13 873.8473),(14 881.9136),(15 904.5663),(16 920.9237),(17 926.1679),(18 940.0721),(19 958.9373),(20 969.2527),(21 981.27765),(22 1000.3517),(23 1007.0562),(24 1008.6295),(25 1026.3364),(26 1037.3015),(27 1056.098),(28 1056.879),(29 1071.0173),(30 1078.4333),(31 1083.3683),(32 1088.3778),(33 1085.0583),(34 1107.2151),(35 1109.0454),(36 1107.1642),(37 1097.9191),(38 1104.5676),(39 1109.7014),(40 1107.0419),(41 1114.4941),(42 1109.8304),(43 1114.8342),(44 1121.3143),(45 1119.2864),(46 1117.5354),(47 1126.8243),(48 1130.1881),(49 1143.0043),(50 1142.1702),(51 1139.9369),(52 1141.8223),(53 1146.9863),(54 1151.2563),(55 1137.799),(56 1138.9419),(57 1146.47),(58 1139.4346),(59 1136.7667),(60 1136.2568),(61 1141.7688),(62 1129.3649),(63 1123.4662),(64 1109.9503),(65 1113.7233),(66 1107.3269),(67 1115.4176),(68 1115.7792),(69 1117.3843),(70 1117.0836),(71 1102.5306),(72 1101.9243),(73 1103.3627),(74 1104.0203),(75 1108.0903),(76 1115.9264),(77 1117.0245),(78 1118.1633),(79 1121.1407),
(1 392.10754),(2 518.9385),(3 601.91376),(4 649.4284),(5 692.80664),(6 711.7554),(7 726.5111),(8 756.67316),(9 777.62213),(10 803.85864),(11 828.22034),(12 844.53546),(13 859.66425),(14 872.1776),(15 889.8238),(16 896.94006),(17 911.03876),(18 923.1452),(19 921.443),(20 928.60443),(21 941.22424),(22 949.9921),(23 947.3161),(24 962.48676),(25 968.8664),(26 981.2818),(27 1003.7936),(28 1004.8873),(29 1019.28143),(30 1026.866),(31 1027.8013),(32 1028.202),(33 1043.9061),(34 1054.4606),(35 1066.9358),(36 1079.3751),(37 1072.1702),(38 1090.2711),(39 1096.4631),(40 1097.3627),(41 1110.3077),(42 1117.0922),(43 1128.462),(44 1139.9291),(45 1134.9554),(46 1150.2213),(47 1163.5623),(48 1168.8357),(49 1171.538),(50 1170.2218),(51 1157.5933),(52 1153.2701),(53 1157.8834),(54 1154.5367),(55 1154.6921),(56 1152.3378),(57 1152.2844),(58 1140.2616),(59 1143.497),(60 1132.8177),(61 1136.6628),(62 1141.7291),(63 1134.0372),(64 1124.3663),(65 1124.1898),(66 1118.7592),(67 1117.9227),(68 1108.7712),(69 1103.4083),(70 1103.3599),(71 1103.3348),(72 1101.5267),(73 1110.1622),(74 1117.2043),(75 1129.7073),(76 1126.9503),(77 1123.0411),(78 1127.5853),(79 1134.3651),
(1 375.87085),(2 498.3334),(3 574.1462),(4 620.0085),(5 662.4988),(6 693.96625),(7 716.3143),(8 749.4617),(9 765.7966),(10 783.6211),(11 806.9758),(12 829.00977),(13 849.617),(14 863.5324),(15 880.0057),(16 895.07544),(17 908.109),(18 921.60516),(19 934.6607),(20 950.2403),(21 958.222),(22 970.0768),(23 972.6955),(24 977.17096),(25 987.4743),(26 996.4632),(27 1007.1208),(28 1019.9506),(29 1019.0784),(30 1018.3277),(31 1017.60376),(32 1028.3204),(33 1036.7286),(34 1040.958),(35 1043.2504),(36 1060.4761),(37 1055.335),(38 1070.4514),(39 1082.3264),(40 1076.5048),(41 1087.331),(42 1087.1547),(43 1092.6566),(44 1106.2129),(45 1103.0085),(46 1101.3673),(47 1117.1311),(48 1115.8556),(49 1119.5775),(50 1116.3217),(51 1119.3789),(52 1128.1995),(53 1130.0665),(54 1131.9391),(55 1129.1578),(56 1131.755),(57 1129.7634),(58 1119.3856),(59 1125.5078),(60 1116.6837),(61 1114.5867),(62 1107.4934),(63 1116.5741),(64 1108.8381),(65 1101.131),(66 1103.8638),(67 1107.5201),(68 1110.2397),(69 1098.761),(70 1105.7242),(71 1094.9952),(72 1099.3358),(73 1088.8091),(74 1081.1156),(75 1089.9602),(76 1089.7496),(77 1093.0475),(78 1099.3368),(79 1101.0111),
(1 372.12592),(2 487.3477),(3 561.3859),(4 600.22455),(5 640.8358),(6 668.75226),(7 692.3708),(8 719.50525),(9 733.8865),(10 746.5442),(11 764.8547),(12 781.5285),(13 802.5501),(14 818.20636),(15 836.75),(16 848.7629),(17 866.8416),(18 878.76624),(19 896.33673),(20 898.2572),(21 905.83246),(22 912.63116),(23 928.77466),(24 924.3735),(25 928.31366),(26 937.73254),(27 943.58075),(28 948.09515),(29 957.66583),(30 952.62195),(31 956.31067),(32 956.8193),(33 960.9964),(34 967.8802),(35 969.4557),(36 972.14246),(37 986.4438),(38 990.63855),(39 1000.5219),(40 1011.4537),(41 1015.5046),(42 1022.4261),(43 1025.9532),(44 1034.0875),(45 1027.6505),(46 1026.729),(47 1032.7295),(48 1025.1263),(49 1026.5206),(50 1024.195),(51 1020.4007),(52 1019.3279),(53 1028.6622),(54 1020.30383),(55 1020.6661),(56 1007.66724),(57 1011.3853),(58 1014.95435),(59 1018.9888),(60 1011.545),(61 1012.0854),(62 1023.31744),(63 1022.0055),(64 1012.07117),(65 1004.5358),(66 1004.97906),(67 1004.1088),(68 995.48773),(69 993.8102),(70 1004.0294),(71 998.2208),(72 1004.21576),(73 1007.1315),(74 1005.9627),(75 1019.7143),(76 1019.47565),(77 1018.00525),(78 1024.4507),(79 1028.5883),
(1 369.15903),(2 486.14243),(3 558.2104),(4 595.99945),(5 635.5992),(6 663.5238),(7 693.79895),(8 717.5159),(9 735.68054),(10 761.72217),(11 790.96436),(12 812.57635),(13 827.5743),(14 841.30304),(15 856.0866),(16 863.1468),(17 876.50336),(18 880.13696),(19 891.59906),(20 900.0493),(21 911.0744),(22 920.59467),(23 932.88),(24 932.43054),(25 931.63074),(26 929.2827),(27 934.33417),(28 937.6953),(29 941.0235),(30 949.4321),(31 955.04486),(32 958.6598),(33 958.20953),(34 971.2893),(35 979.65674),(36 974.5232),(37 976.141),(38 972.8472),(39 990.8931),(40 1001.2397),(41 1004.5242),(42 1004.5785),(43 1004.7875),(44 1005.2641),(45 998.36316),(46 990.94183),(47 995.82855),(48 996.06287),(49 1001.522),(50 995.19073),(51 995.1699),(52 1009.41846),(53 1012.40045),(54 1013.2605),(55 1015.4373),(56 1012.90027),(57 1012.3925),(58 1007.2688),(59 1006.01184),(60 1005.722),(61 1004.0214),(62 1004.61523),(63 1007.1149),(64 1006.384),(65 1000.5956),(66 999.76556),(67 1002.102),(68 1000.0157),(69 995.4035),(70 993.1769),(71 984.75745),(72 994.06573),(73 985.87885),(74 987.9967),(75 992.94104),(76 987.7371),(77 992.37866),(78 989.6598),(79 985.90765),
(1 362.75696),(2 475.55447),(3 546.8368),(4 587.797),(5 626.01416),(6 658.56525),(7 679.2645),(8 699.14233),(9 719.1145),(10 737.2029),(11 754.72107),(12 769.44904),(13 786.1996),(14 805.3953),(15 819.8759),(16 826.3956),(17 844.89136),(18 849.3918),(19 857.5735),(20 868.30786),(21 882.426),(22 891.822),(23 900.1634),(24 905.31726),(25 913.1898),(26 915.8088),(27 921.5641),(28 922.6824),(29 928.7687),(30 935.8547),(31 949.14575),(32 954.4784),(33 964.1199),(34 981.9511),(35 981.6591),(36 982.303),(37 983.00635),(38 985.3802),(39 990.1398),(40 993.54755),(41 1008.1369),(42 1019.0128),(43 1022.71063),(44 1024.0287),(45 1015.3541),(46 1019.8082),(47 1020.7709),(48 1025.9587),(49 1035.0513),(50 1032.9149),(51 1033.3802),(52 1039.9521),(53 1045.8014),(54 1037.3444),(55 1034.0277),(56 1035.2499),(57 1034.9316),(58 1030.3755),(59 1033.5568),(60 1023.29877),(61 1020.9651),(62 1029.0739),(63 1026.9088),(64 1016.67255),(65 1012.281),(66 1010.9137),(67 1008.5264),(68 1002.1405),(69 1001.12866),(70 997.1124),(71 997.85333),(72 999.0413),(73 997.09576),(74 997.4194),(75 1010.1611),(76 1009.52997),(77 1018.1047),(78 1015.0028),(79 1020.3584),
(1 356.32617),(2 470.82022),(3 543.9192),(4 588.3708),(5 629.2374),(6 656.2507),(7 678.4583),(8 703.74634),(9 738.66406),(10 753.8895),(11 767.2149),(12 790.207),(13 803.08704),(14 820.65936),(15 833.73193),(16 836.871),(17 853.2165),(18 859.15967),(19 875.4501),(20 882.31793),(21 896.3795),(22 906.6223),(23 922.0585),(24 914.72186),(25 917.83185),(26 923.67096),(27 935.2093),(28 934.4863),(29 953.3534),(30 970.42487),(31 974.7533),(32 980.8671),(33 990.5524),(34 1001.1675),(35 1004.3155),(36 1017.2449),(37 1016.5949),(38 1023.0101),(39 1024.9596),(40 1021.502),(41 1022.9884),(42 1030.0769),(43 1033.3625),(44 1038.4591),(45 1036.1864),(46 1034.8741),(47 1040.4204),(48 1044.3748),(49 1051.4033),(50 1054.7797),(51 1060.1339),(52 1063.3954),(53 1064.675),(54 1057.5461),(55 1055.6848),(56 1053.6967),(57 1047.6046),(58 1049.9038),(59 1047.86),(60 1044.5858),(61 1036.6414),(62 1036.5973),(63 1038.8147),(64 1023.6687),(65 1023.5237),(66 1010.7089),(67 1009.6858),(68 1005.70856),(69 1003.9718),(70 1002.62354),(71 1002.3417),(72 998.4108),(73 997.09174),(74 1003.69086),(75 998.53467),(76 1003.01575),(77 1000.165),(78 1002.3277),(79 1002.7097),
(1 348.25064),(2 458.01825),(3 527.2466),(4 561.6295),(5 602.093),(6 623.604),(7 647.74646),(8 672.986),(9 700.9557),(10 715.2008),(11 732.1075),(12 747.6707),(13 766.8585),(14 773.2833),(15 784.1003),(16 793.45355),(17 816.68304),(18 836.4777),(19 852.3872),(20 863.271),(21 875.3297),(22 877.08105),(23 886.2523),(24 887.7872),(25 893.2262),(26 908.86273),(27 915.5408),(28 920.1082),(29 936.65125),(30 933.5086),(31 936.01587),(32 936.81885),(33 942.24164),(34 944.1539),(35 943.2775),(36 951.77625),(37 957.8527),(38 960.7012),(39 954.58795),(40 948.6576),(41 951.23206),(42 960.1465),(43 956.0812),(44 961.42017),(45 960.90985),(46 957.9097),(47 966.96576),(48 968.95825),(49 969.34546),(50 965.70703),(51 962.4054),(52 966.2532),(53 967.1843),(54 956.6699),(55 956.85175),(56 964.8126),(57 966.03217),(58 969.6525),(59 966.88617),(60 963.251),(61 959.07434),(62 954.9853),(63 961.59186),(64 963.4587),(65 962.1432),(66 952.1675),(67 951.5947),(68 948.75183),(69 955.2559),(70 949.36316),(71 952.2127),(72 946.9649),(73 950.0894),(74 951.07404),(75 950.338),(76 950.8378),(77 940.59534),(78 937.148),(79 944.12854),
