1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 741.71063),(2 1165.7354),(3 1266.4392),(4 1317.9756),(5 1450.5527),(6 1512.8605),(7 1563.3287),(8 1582.7375),(9 1612.5778),(10 1657.0521),(11 1703.48),(12 1729.8262),(13 1745.8138),(14 1763.4817),(15 1752.1268),(16 1749.7697),(17 1798.4766),(18 1802.4976),(19 1790.5793),(20 1793.7678),(21 1826.1608),(22 1822.5508),(23 1855.521),(24 1863.2979),(25 1865.0724),(26 1878.0881),(27 1898.5707),(28 1883.554),(29 1900.5476),(30 1873.35),(31 1892.4426),(32 1877.0559),(33 1861.4432),(34 1863.2617),(35 1842.5206),(36 1848.226),(37 1856.5342),(38 1858.9022),(39 1845.7103),(40 1851.973),(41 1857.6482),(42 1860.1786),(43 1868.6357),(44 1858.3594),(45 1859.1313),(46 1863.8096),(47 1860.4956),(48 1851.7417),(49 1860.0038),(50 1865.347),(51 1872.0298),(52 1880.9637),(53 1896.5304),(54 1889.9609),(55 1903.7972),(56 1895.3064),(57 1919.6123),(58 1938.3334),(59 1926.6359),(60 1952.4089),(61 1957.9111),(62 1943.8395),(63 1949.6415),(64 1962.0583),(65 1969.6694),(66 1969.869),(67 1960.4934),(68 1919.3468),(69 1943.3649),(70 1965.8566),(71 1968.4006),(72 1961.4395),(73 1968.3607),(74 1994.3467),(75 1987.3741),(76 1959.1783),(77 1958.7107),(78 1965.246),(79 1996.9166),
(1 721.0826),(2 1135.0651),(3 1246.118),(4 1320.6886),(5 1456.316),(6 1486.2197),(7 1528.2009),(8 1574.4121),(9 1596.3447),(10 1635.7742),(11 1648.4637),(12 1670.7435),(13 1666.3102),(14 1701.6866),(15 1710.0836),(16 1710.6381),(17 1731.2302),(18 1719.6982),(19 1729.4366),(20 1738.0216),(21 1749.7028),(22 1753.0552),(23 1775.3375),(24 1816.2382),(25 1832.6482),(26 1826.0457),(27 1844.5826),(28 1850.8942),(29 1849.8402),(30 1837.6177),(31 1859.874),(32 1858.1528),(33 1866.7997),(34 1867.7695),(35 1860.1018),(36 1871.7062),(37 1861.1445),(38 1866.308),(39 1903.8881),(40 1896.5894),(41 1911.0515),(42 1896.8068),(43 1883.3588),(44 1892.7559),(45 1913.8748),(46 1914.1327),(47 1912.5662),(48 1920.1871),(49 1940.3978),(50 1942.9813),(51 1950.4506),(52 1948.5786),(53 1944.7509),(54 1934.2914),(55 1937.8783),(56 1929.6555),(57 1942.7747),(58 1949.4451),(59 1956.6399),(60 1950.5098),(61 1940.6234),(62 1943.5961),(63 1943.5684),(64 1921.5552),(65 1927.5702),(66 1928.0714),(67 1930.5568),(68 1913.3318),(69 1917.1555),(70 1941.2228),(71 1957.493),(72 1943.7809),(73 1939.4738),(74 1950.876),(75 1946.444),(76 1962.2999),(77 1979.9984),(78 1957.0739),(79 1960.7272),
(1 706.8464),(2 1120.9922),(3 1228.7786),(4 1303.5938),(5 1417.8805),(6 1453.4557),(7 1480.6414),(8 1521.5342),(9 1540.3915),(10 1599.843),(11 1637.5331),(12 1660.9723),(13 1668.0999),(14 1683.2867),(15 1694.2148),(16 1688.7656),(17 1716.2848),(18 1687.5685),(19 1687.0623),(20 1692.3016),(21 1715.7257),(22 1728.9713),(23 1735.4331),(24 1771.0363),(25 1801.5769),(26 1813.6215),(27 1847.9155),(28 1851.749),(29 1860.4197),(30 1844.9998),(31 1858.64),(32 1834.5048),(33 1836.532),(34 1827.7468),(35 1831.1887),(36 1835.4917),(37 1828.5035),(38 1830.914),(39 1857.5522),(40 1837.0924),(41 1841.2437),(42 1814.7721),(43 1836.5363),(44 1845.0675),(45 1866.5991),(46 1866.8138),(47 1848.3335),(48 1845.0979),(49 1837.2137),(50 1828.6622),(51 1827.3212),(52 1837.6345),(53 1832.3291),(54 1837.7401),(55 1865.6116),(56 1855.2545),(57 1834.3518),(58 1843.9971),(59 1891.2506),(60 1887.2446),(61 1880.2086),(62 1889.5602),(63 1908.9802),(64 1924.648),(65 1911.3518),(66 1898.4177),(67 1906.3048),(68 1890.1017),(69 1885.7404),(70 1912.8674),(71 1921.6543),(72 1908.8269),(73 1906.3989),(74 1918.5823),(75 1934.3674),(76 1946.6187),(77 1937.001),(78 1915.1298),(79 1932.2383),
(1 683.3609),(2 1091.4917),(3 1206.8005),(4 1287.3047),(5 1392.1761),(6 1420.1472),(7 1446.1416),(8 1475.0936),(9 1495.3479),(10 1542.8011),(11 1539.2256),(12 1550.9237),(13 1576.8235),(14 1603.9574),(15 1603.3298),(16 1592.6279),(17 1613.928),(18 1608.5236),(19 1620.5311),(20 1638.2312),(21 1659.0096),(22 1626.1394),(23 1653.9923),(24 1683.2947),(25 1671.0519),(26 1682.7396),(27 1730.9811),(28 1736.4149),(29 1734.8125),(30 1728.6631),(31 1748.3693),(32 1737.4642),(33 1755.7393),(34 1751.9315),(35 1761.1711),(36 1772.6849),(37 1786.5035),(38 1788.3289),(39 1829.4858),(40 1837.2789),(41 1843.4641),(42 1814.6208),(43 1835.4878),(44 1829.528),(45 1820.1593),(46 1816.984),(47 1800.1329),(48 1799.1803),(49 1774.0396),(50 1768.6769),(51 1807.6648),(52 1823.2695),(53 1834.1697),(54 1814.5948),(55 1824.0808),(56 1797.3706),(57 1806.4241),(58 1807.1915),(59 1809.5864),(60 1811.9548),(61 1817.104),(62 1818.1132),(63 1858.1392),(64 1831.401),(65 1827.7452),(66 1831.6482),(67 1845.27),(68 1818.6646),(69 1827.5679),(70 1837.6768),(71 1868.7047),(72 1853.2324),(73 1837.7086),(74 1860.6951),(75 1862.289),(76 1854.9109),(77 1866.9984),(78 1866.6384),(79 1882.0248),
(1 681.6148),(2 1053.215),(3 1163.2931),(4 1221.1029),(5 1330.1735),(6 1363.024),(7 1394.1696),(8 1439.1517),(9 1469.1472),(10 1514.3488),(11 1527.8536),(12 1555.7008),(13 1577.9698),(14 1584.4982),(15 1584.034),(16 1579.1741),(17 1605.3239),(18 1603.1727),(19 1601.7673),(20 1623.8867),(21 1650.3109),(22 1638.1724),(23 1674.3774),(24 1702.3499),(25 1697.6641),(26 1715.3071),(27 1743.123),(28 1761.5598),(29 1737.8114),(30 1752.3242),(31 1757.405),(32 1743.7085),(33 1743.9164),(34 1737.3281),(35 1737.5638),(36 1728.6918),(37 1717.7327),(38 1725.393),(39 1734.0875),(40 1734.0173),(41 1737.615),(42 1707.3914),(43 1731.6162),(44 1713.1748),(45 1733.2075),(46 1730.0668),(47 1720.0792),(48 1729.505),(49 1722.0428),(50 1727.7233),(51 1731.9772),(52 1721.0361),(53 1714.1448),(54 1714.5831),(55 1731.878),(56 1710.8425),(57 1714.4362),(58 1703.781),(59 1729.0625),(60 1727.3723),(61 1726.6003),(62 1743.3956),(63 1775.4188),(64 1770.1431),(65 1746.7981),(66 1740.534),(67 1737.6254),(68 1716.7704),(69 1735.0839),(70 1764.6823),(71 1767.3466),(72 1732.725),(73 1738.473),(74 1753.865),(75 1743.101),(76 1744.7798),(77 1770.5167),(78 1765.7018),(79 1790.384),
(1 662.61786),(2 1027.1888),(3 1151.7247),(4 1229.0219),(5 1338.865),(6 1378.0175),(7 1409.4822),(8 1448.135),(9 1496.9703),(10 1551.9207),(11 1559.1123),(12 1556.4769),(13 1560.5784),(14 1560.7877),(15 1588.6802),(16 1569.6757),(17 1591.7367),(18 1557.3525),(19 1526.8225),(20 1555.0116),(21 1567.7435),(22 1531.3634),(23 1563.6146),(24 1588.933),(25 1576.7384),(26 1567.8954),(27 1618.0396),(28 1612.6276),(29 1604.909),(30 1639.6519),(31 1657.781),(32 1625.2366),(33 1652.5559),(34 1680.7828),(35 1700.3425),(36 1687.0728),(37 1694.0403),(38 1713.2496),(39 1694.1547),(40 1678.6711),(41 1689.6206),(42 1702.5553),(43 1728.6426),(44 1726.6859),(45 1748.1935),(46 1745.601),(47 1756.2452),(48 1764.5637),(49 1746.741),(50 1749.845),(51 1784.0609),(52 1781.6154),(53 1765.901),(54 1761.2072),(55 1775.3419),(56 1747.7391),(57 1763.1025),(58 1771.122),(59 1775.7341),(60 1770.8772),(61 1779.5115),(62 1779.7748),(63 1769.9763),(64 1778.1112),(65 1753.3982),(66 1762.8193),(67 1787.9343),(68 1730.6526),(69 1734.9384),(70 1761.9657),(71 1753.2374),(72 1763.3604),(73 1771.5873),(74 1768.1597),(75 1789.4619),(76 1774.3088),(77 1786.635),(78 1788.262),(79 1797.6837),
(1 648.4402),(2 987.6238),(3 1079.3444),(4 1171.881),(5 1278.9746),(6 1312.6538),(7 1316.8605),(8 1341.7744),(9 1401.0317),(10 1448.584),(11 1445.2623),(12 1472.4658),(13 1484.7339),(14 1462.1187),(15 1465.1659),(16 1482.6926),(17 1489.1573),(18 1479.4928),(19 1460.6276),(20 1464.5663),(21 1480.4962),(22 1472.6993),(23 1512.3073),(24 1550.341),(25 1540.06),(26 1551.2695),(27 1578.871),(28 1593.4083),(29 1604.9352),(30 1615.6213),(31 1642.1687),(32 1618.0802),(33 1635.2295),(34 1629.7826),(35 1644.0493),(36 1653.9733),(37 1633.6375),(38 1625.946),(39 1633.5017),(40 1649),(41 1645.9731),(42 1633.2208),(43 1637.2009),(44 1615.1039),(45 1647.7588),(46 1655.3605),(47 1650.0505),(48 1657.9489),(49 1672.7804),(50 1677.9159),(51 1695.3564),(52 1698.8512),(53 1688.2104),(54 1676.6329),(55 1678.533),(56 1684.1042),(57 1678.224),(58 1649.8811),(59 1644.9181),(60 1640.5803),(61 1627.259),(62 1620.3137),(63 1619.856),(64 1616.1055),(65 1634.5591),(66 1647.5677),(67 1647.5549),(68 1632.0452),(69 1656.2168),(70 1657.5363),(71 1672.5388),(72 1669.1371),(73 1693.3156),(74 1694.8129),(75 1699.8616),(76 1676.8862),(77 1690.232),(78 1706.7035),(79 1710.457),
(1 624.9556),(2 957.87415),(3 1058.375),(4 1151.461),(5 1259.3838),(6 1306.6444),(7 1333.1692),(8 1381.2002),(9 1422.5536),(10 1465.8763),(11 1471.105),(12 1478.4202),(13 1492.9607),(14 1480.3645),(15 1504.0397),(16 1515.9298),(17 1526.8888),(18 1510.2379),(19 1501.1161),(20 1530.183),(21 1544.7556),(22 1535.9512),(23 1566.1493),(24 1569.3302),(25 1546.732),(26 1527.2445),(27 1570.8756),(28 1582.0416),(29 1592.4076),(30 1613.4707),(31 1626.1978),(32 1604.3982),(33 1609.143),(34 1627.9872),(35 1647.8209),(36 1631.9869),(37 1619.1797),(38 1627.1367),(39 1618.4194),(40 1624.7898),(41 1646.8016),(42 1636.5262),(43 1628.6705),(44 1594.9847),(45 1594.4371),(46 1601.8475),(47 1615.9227),(48 1625.7959),(49 1633.0808),(50 1611.0995),(51 1596.6035),(52 1574.8235),(53 1587.7104),(54 1589.05),(55 1595.3435),(56 1588.5444),(57 1610.9175),(58 1608.8892),(59 1604.7593),(60 1605.9573),(61 1575.4824),(62 1585.108),(63 1590.3875),(64 1581.6055),(65 1587.1871),(66 1581.2308),(67 1585.7108),(68 1570.5664),(69 1574.7563),(70 1582.3181),(71 1582.7048),(72 1591.3711),(73 1607.7094),(74 1606.7277),(75 1601.2083),(76 1593.8938),(77 1606.031),(78 1621.7186),(79 1630.8394),
(1 611.5559),(2 935.09564),(3 1053.5768),(4 1126.919),(5 1234.1846),(6 1269.9584),(7 1313.9424),(8 1320.6471),(9 1364.6848),(10 1391.1061),(11 1394.7244),(12 1393.5735),(13 1408.2627),(14 1385.3998),(15 1408.7029),(16 1411.7217),(17 1412.7523),(18 1398.8248),(19 1408.8512),(20 1434.0288),(21 1443.4109),(22 1432.5659),(23 1448.0835),(24 1459.4749),(25 1448.1417),(26 1445.4885),(27 1487.175),(28 1511.8383),(29 1507.685),(30 1526.9554),(31 1539.7743),(32 1509.2681),(33 1524.063),(34 1533.9512),(35 1536.3),(36 1527.3381),(37 1518.0482),(38 1515.5688),(39 1524.5718),(40 1524.588),(41 1527.241),(42 1540.2837),(43 1531.3514),(44 1523.0935),(45 1537.9208),(46 1536.4971),(47 1544.1643),(48 1546.5668),(49 1557.4926),(50 1583.2819),(51 1609.6306),(52 1625.1093),(53 1651.2244),(54 1632.211),(55 1648.8055),(56 1644.3438),(57 1664.0886),(58 1679.6646),(59 1679.8583),(60 1667.6051),(61 1668.9327),(62 1678.1136),(63 1682.3502),(64 1667.9789),(65 1670.2297),(66 1672.7318),(67 1665.761),(68 1632.4498),(69 1668.0326),(70 1678.9385),(71 1664.0343),(72 1650.0746),(73 1647.3135),(74 1635.589),(75 1654.0708),(76 1650.9452),(77 1642.1942),(78 1664.4722),(79 1672.9288),
(1 621.4107),(2 954.02673),(3 1049.1846),(4 1128.391),(5 1233.4031),(6 1249.1404),(7 1266.6536),(8 1278.8246),(9 1334.9202),(10 1381.0112),(11 1364.1854),(12 1369.8267),(13 1396.0654),(14 1384.1416),(15 1388.7196),(16 1389.3102),(17 1404.4598),(18 1396.8942),(19 1413.1875),(20 1414.6957),(21 1415.7948),(22 1386.0183),(23 1419.542),(24 1445.0981),(25 1446.5676),(26 1458.6703),(27 1502.3207),(28 1506.1061),(29 1487.5483),(30 1510.6724),(31 1522.3705),(32 1494.692),(33 1511.1761),(34 1528.4178),(35 1555.9384),(36 1550.4946),(37 1544.1129),(38 1537.7781),(39 1532.3882),(40 1511.6309),(41 1525.7208),(42 1531.6367),(43 1515.8938),(44 1490.3529),(45 1519.7424),(46 1526.6669),(47 1531.9994),(48 1548.6931),(49 1529.3413),(50 1521.5793),(51 1552.2031),(52 1543.1587),(53 1557.1865),(54 1545.7548),(55 1552.4982),(56 1535.8564),(57 1540.3916),(58 1559.2715),(59 1569.3048),(60 1556.9762),(61 1544.7028),(62 1554.6586),(63 1552.3324),(64 1525.0902),(65 1541.3118),(66 1549.3915),(67 1550.1703),(68 1523.1484),(69 1549.4194),(70 1560.0846),(71 1553.0348),(72 1551.1165),(73 1553.9038),(74 1554.6897),(75 1573.4048),(76 1580.8104),(77 1593.4941),(78 1585.3463),(79 1574.8071),
(1 607.7772),(2 934.85626),(3 1025.8837),(4 1111.4277),(5 1219.1682),(6 1246.0182),(7 1275.6146),(8 1298.466),(9 1360.0442),(10 1386.5602),(11 1370.3022),(12 1377.0757),(13 1410.5872),(14 1403.3251),(15 1423.7775),(16 1440.0548),(17 1443.6177),(18 1440.8105),(19 1424.6393),(20 1418.4729),(21 1424.7368),(22 1428.1245),(23 1450.5432),(24 1449.8235),(25 1441.1484),(26 1433.7532),(27 1463.0046),(28 1471.8682),(29 1481.5443),(30 1496.2147),(31 1525.8243),(32 1517.3318),(33 1529.9972),(34 1543.2462),(35 1542.7057),(36 1525.8779),(37 1520.1887),(38 1509.6475),(39 1511.2657),(40 1491.2579),(41 1497.3452),(42 1519.0391),(43 1533.1129),(44 1540.8094),(45 1560.9905),(46 1581.194),(47 1584.9434),(48 1592.491),(49 1585.1349),(50 1596.2756),(51 1609.7013),(52 1610.4618),(53 1615.0394),(54 1622.0983),(55 1636.3837),(56 1630.1246),(57 1647.5408),(58 1653.7778),(59 1652.7876),(60 1634.4487),(61 1611.6155),(62 1613.6338),(63 1621.8445),(64 1605.056),(65 1605.2701),(66 1605.8655),(67 1596.0869),(68 1564.6221),(69 1582.8743),(70 1567.54),(71 1583.593),(72 1577.8041),(73 1574.1976),(74 1577.3564),(75 1574.9967),(76 1571.024),(77 1593.2908),(78 1576.6329),(79 1562.3759),
(1 592.3034),(2 906.3276),(3 974.6253),(4 1069.4056),(5 1168.7272),(6 1180.8196),(7 1209.7197),(8 1234.3431),(9 1294.3928),(10 1329.0806),(11 1298.955),(12 1312.2831),(13 1329.6304),(14 1306.4966),(15 1318.0775),(16 1346.1544),(17 1355.961),(18 1343.3204),(19 1353.2883),(20 1341.8915),(21 1360.6295),(22 1348.4647),(23 1351.3192),(24 1370.0074),(25 1375.5426),(26 1392.2334),(27 1438.0745),(28 1426.2927),(29 1434.9395),(30 1455.986),(31 1447.9891),(32 1466.8135),(33 1486.564),(34 1490.5719),(35 1479.6749),(36 1498.3158),(37 1490.5796),(38 1478.81),(39 1468.0918),(40 1477.3846),(41 1480.8314),(42 1474.5342),(43 1471.4819),(44 1454.0447),(45 1460.789),(46 1483.003),(47 1493.8403),(48 1474.915),(49 1489.4731),(50 1508.8688),(51 1516.944),(52 1513.186),(53 1528.329),(54 1544.4672),(55 1550.087),(56 1520.2605),(57 1541.0178),(58 1550.4238),(59 1563.629),(60 1560.4083),(61 1559.1505),(62 1567.3909),(63 1568.1349),(64 1550.711),(65 1560.16),(66 1552.994),(67 1535.2306),(68 1536.0109),(69 1545.1475),(70 1549.8237),(71 1548.3102),(72 1543.0225),(73 1555.0708),(74 1554.6975),(75 1568.154),(76 1571.6206),(77 1590.814),(78 1573.3473),(79 1581.9985),
(1 587.997),(2 893.137),(3 965.9805),(4 1044.7712),(5 1136.8412),(6 1165.6437),(7 1192.4772),(8 1194.569),(9 1275.7086),(10 1315.5028),(11 1315.2805),(12 1328.6725),(13 1337.3809),(14 1308.1385),(15 1324.538),(16 1359.1335),(17 1357.8689),(18 1360.7542),(19 1358.9324),(20 1372.709),(21 1386.3643),(22 1370.4352),(23 1367.0817),(24 1367.4146),(25 1357.1979),(26 1356.4856),(27 1385.3533),(28 1376.8157),(29 1382.4504),(30 1395.56),(31 1414.9308),(32 1400.6058),(33 1433.9473),(34 1458.5261),(35 1455.949),(36 1458.0969),(37 1457.2614),(38 1467.0914),(39 1476.6005),(40 1471.1694),(41 1469.9004),(42 1457.5249),(43 1445.9243),(44 1441.8853),(45 1456.5469),(46 1451.9445),(47 1462.6117),(48 1444.4802),(49 1440.1854),(50 1446.7717),(51 1457.6313),(52 1447.9712),(53 1444.1857),(54 1446.9916),(55 1447.865),(56 1423.6688),(57 1444.9576),(58 1427.5707),(59 1428.2428),(60 1437.7568),(61 1453.8528),(62 1447.6202),(63 1456.7019),(64 1455.8474),(65 1452.1914),(66 1428.3989),(67 1406.0892),(68 1412.5552),(69 1424.0593),(70 1407.4973),(71 1407.3402),(72 1410.2212),(73 1408.7086),(74 1413.4795),(75 1427.6926),(76 1435.6677),(77 1453.8389),(78 1455.2361),(79 1477.8152),
(1 568.73303),(2 859.313),(3 930.26746),(4 1007.8581),(5 1104.6792),(6 1124.0085),(7 1164.6187),(8 1184.1671),(9 1235.0161),(10 1280.2284),(11 1282.2389),(12 1294.0177),(13 1322.5037),(14 1300.808),(15 1316.1837),(16 1348.9937),(17 1346.0753),(18 1347.4321),(19 1357.4219),(20 1357.2869),(21 1372.0524),(22 1377.0887),(23 1380.0302),(24 1394.3787),(25 1392.3176),(26 1391.9917),(27 1422.5369),(28 1411.2151),(29 1427.2435),(30 1431.7202),(31 1428.6458),(32 1428.0588),(33 1451.7538),(34 1459.0605),(35 1479.0734),(36 1445.2708),(37 1456.1924),(38 1471.2733),(39 1470.5718),(40 1452.1488),(41 1457.4764),(42 1438.7219),(43 1429.2434),(44 1432.2056),(45 1436.878),(46 1436.0294),(47 1429.025),(48 1425.3898),(49 1430.8059),(50 1427.8152),(51 1418.8132),(52 1412.32),(53 1418.745),(54 1422.4386),(55 1407.8268),(56 1406.7815),(57 1427.4584),(58 1420.2562),(59 1418.3414),(60 1405.8254),(61 1407.9874),(62 1414.4388),(63 1412.0298),(64 1407.295),(65 1412.0171),(66 1395.1158),(67 1400.0244),(68 1399.3461),(69 1406.0011),(70 1413.3687),(71 1437.8828),(72 1447.4095),(73 1469.841),(74 1480.9894),(75 1498.317),(76 1513.6141),(77 1528.2678),(78 1547.8802),(79 1564.6599),
(1 560.6971),(2 831.55194),(3 908.0357),(4 977.66986),(5 1067.5961),(6 1086.5364),(7 1144.3771),(8 1153.3693),(9 1175.0742),(10 1221.7267),(11 1230.7485),(12 1247.3127),(13 1275.9768),(14 1275.8134),(15 1289.4995),(16 1299.1394),(17 1287.6998),(18 1276.0813),(19 1290.6179),(20 1283.1403),(21 1314.2302),(22 1301.1017),(23 1302.5452),(24 1301.7272),(25 1305.7471),(26 1303.4104),(27 1326.02),(28 1322.208),(29 1326.9908),(30 1321.9569),(31 1327.2238),(32 1339.3495),(33 1364.8533),(34 1374.0759),(35 1379.7878),(36 1379.4167),(37 1378.8192),(38 1388.1906),(39 1398.8658),(40 1389.1637),(41 1413.5339),(42 1388.7361),(43 1400.3624),(44 1377.9657),(45 1402.8505),(46 1404.2874),(47 1406.1422),(48 1395.8414),(49 1398.0001),(50 1402.933),(51 1421.8811),(52 1423.6863),(53 1426.2653),(54 1428.5824),(55 1430.7059),(56 1419.038),(57 1424.5096),(58 1418.588),(59 1406.8275),(60 1401.8882),(61 1417.3892),(62 1426.0739),(63 1427.426),(64 1421.3765),(65 1417.5432),(66 1399.1708),(67 1398.9779),(68 1397.1687),(69 1389.2585),(70 1398.767),(71 1401.6506),(72 1405.0966),(73 1404.7173),(74 1416.4056),(75 1431.6196),(76 1427.6292),(77 1437.6119),(78 1430.6968),(79 1442.3258),
(1 561.17566),(2 836.2079),(3 884.3234),(4 971.9924),(5 1053.629),(6 1056.8738),(7 1101.5736),(8 1123.4155),(9 1177.1489),(10 1214.4392),(11 1215.7728),(12 1227.3945),(13 1272.3158),(14 1262.5132),(15 1265.0359),(16 1299.7323),(17 1273.8821),(18 1267.5073),(19 1282.6484),(20 1284.7452),(21 1291.3009),(22 1297.6755),(23 1291.3339),(24 1292.7245),(25 1297.1965),(26 1295.7518),(27 1313.0607),(28 1323.358),(29 1325.0713),(30 1310.9008),(31 1318.634),(32 1307.2684),(33 1327.6064),(34 1321.5404),(35 1318.7167),(36 1298.577),(37 1312.5487),(38 1323.6028),(39 1320.5758),(40 1326.472),(41 1354.9962),(42 1355.8186),(43 1364.9774),(44 1360.6384),(45 1393.1996),(46 1389.6388),(47 1383.0021),(48 1381.9545),(49 1363.3862),(50 1358.4182),(51 1381.3818),(52 1389.1536),(53 1384.6699),(54 1386.0944),(55 1387.2874),(56 1377.1349),(57 1382.0936),(58 1388.3778),(59 1404.2875),(60 1390.0923),(61 1383.9395),(62 1405.6741),(63 1405.089),(64 1376.3041),(65 1381.8263),(66 1394.191),(67 1406.6182),(68 1415.5299),(69 1407.583),(70 1419.3114),(71 1420.8335),(72 1411.5667),(73 1393.2034),(74 1395.3579),(75 1421.1744),(76 1425.6177),(77 1421.2479),(78 1408.8518),(79 1420.6506),
(1 535.22675),(2 827.92303),(3 888.475),(4 964.28687),(5 1042.6217),(6 1052.3829),(7 1069.036),(8 1088.9191),(9 1110.0447),(10 1130.2334),(11 1152.3145),(12 1182.0483),(13 1196.6743),(14 1182.0111),(15 1187.7086),(16 1207.3147),(17 1208.7079),(18 1207.5618),(19 1232.061),(20 1229.6796),(21 1233.0638),(22 1236.2971),(23 1228.3247),(24 1209.2634),(25 1220.1786),(26 1230.4662),(27 1240.561),(28 1258.6576),(29 1260.569),(30 1261.3542),(31 1273.413),(32 1271.7842),(33 1290.9856),(34 1287.1722),(35 1288.9294),(36 1294.3846),(37 1313.221),(38 1337.3677),(39 1336.6498),(40 1329.6475),(41 1358.0796),(42 1358.4008),(43 1345.3728),(44 1354.258),(45 1384.4518),(46 1379.98),(47 1394.1177),(48 1390.0394),(49 1392.7225),(50 1404.4386),(51 1397.3007),(52 1383.7988),(53 1390.4025),(54 1391.9319),(55 1395.5278),(56 1411.2992),(57 1416.9895),(58 1395.5433),(59 1374.932),(60 1357.4808),(61 1363.8599),(62 1374.3235),(63 1371.2952),(64 1373.6973),(65 1379.7137),(66 1375.1334),(67 1370.9613),(68 1346.992),(69 1343.8584),(70 1358.1316),(71 1377.1383),(72 1386.7762),(73 1400.8739),(74 1409.429),(75 1414.3505),(76 1393.8435),(77 1412.3318),(78 1408.5271),(79 1397.124),
