1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 31953.453),(2 102855.34),(3 208263.19),(4 328566.13),(5 469344.22),(6 621635.44),(7 790957),(8 965834.3),(9 1150776.1),(10 1337827.8),(11 1511710.5),(12 1680640.6),(13 1865098.4),(14 2049223.1),(15 2260381.3),(16 2492136),(17 2730095.8),(18 2945745),(19 3153133),(20 3350129),(21 3544934.8),(22 3705802),(23 3828374),(24 3945928.3),(25 4091364),(26 4253865.5),(27 4420960),(28 4596637.5),(29 4750578.5),(30 4906320),(31 5034238.5),(32 5164523.5),(33 5308460),(34 5444452.5),(35 5579169.5),(36 5728724),(37 5836862.5),(38 5936958),(39 6026192),(40 6143760.5),(41 6273521.5),(42 6415392.5),(43 6546214),(44 6692840.5),(45 6789134),(46 6873361.5),(47 6916250),(48 6931606),(49 6869204),(50 6812175.5),(51 6734166.5),(52 6708788),(53 6691794),(54 6719032.5),(55 6753809.5),(56 6829940),(57 6887100),(58 6892906.5),(59 6842451.5),(60 6803296.5),(61 6743338.5),(62 6695242),(63 6627546.5),(64 6563672.5),(65 6496250.5),(66 6476334.5),(67 6462021.5),(68 6476278),(69 6493182.5),(70 6531430.5),(71 6526490.5),(72 6534678.5),(73 6522173.5),(74 6513948),(75 6468324.5),(76 6405111.5),(77 6338746),(78 6326030.5),(79 6338556),
(1 5649.325),(2 10586.7705),(3 14337.669),(4 15616.993),(5 17265.963),(6 17614.506),(7 18701.352),(8 18500.34),(9 19360.535),(10 19332.559),(11 20244.88),(12 19871.998),(13 20737.602),(14 20846.064),(15 21789.018),(16 21325.3),(17 21985.709),(18 22024.371),(19 23363.377),(20 22617.002),(21 23346.793),(22 22961.031),(23 23613.488),(24 22737.432),(25 23424.334),(26 23614.791),(27 24943.69),(28 23983.55),(29 24783.992),(30 24539.81),(31 24968.871),(32 23763.89),(33 24591.734),(34 24095.758),(35 24707.908),(36 24413.36),(37 25295.26),(38 25401.58),(39 26464.248),(40 25480.48),(41 25800.623),(42 25245.012),(43 25694.52),(44 25159.2),(45 25733.012),(46 25478.715),(47 25947.518),(48 25265.182),(49 25423.838),(50 24609.143),(51 24762.363),(52 23807.037),(53 24570.865),(54 24486.896),(55 24835.04),(56 24052.598),(57 24627.453),(58 24223.623),(59 24295.824),(60 23317.58),(61 23709.527),(62 23628.98),(63 24549.701),(64 23820.375),(65 24252.32),(66 23828.307),(67 24279.889),(68 23280.809),(69 23246.791),(70 22887.262),(71 23731.162),(72 23352.72),(73 24217.564),(74 24185.06),(75 25046.6),(76 24246.223),(77 24610.215),(78 24180.93),(79 24841.797),
(1 5625.7295),(2 10621.238),(3 14694.753),(4 15960.571),(5 17673.582),(6 18085.924),(7 19356.195),(8 19321.377),(9 20348.414),(10 20485.465),(11 21412.236),(12 21196.822),(13 21986.748),(14 21898.992),(15 22859.043),(16 22261.932),(17 22682.99),(18 22304.105),(19 23367.582),(20 22562.785),(21 23316.926),(22 22840.32),(23 23353.285),(24 23127.896),(25 24014.865),(26 24016.822),(27 25088.357),(28 24388.01),(29 25199.566),(30 25180.113),(31 25694.188),(32 24734.098),(33 25349.15),(34 24854.402),(35 25273.834),(36 24452.998),(37 25378.61),(38 25412.596),(39 26256.016),(40 25648.94),(41 26080.752),(42 25636.363),(43 26213.846),(44 25883.994),(45 26270.979),(46 25619.45),(47 25946.408),(48 25236.4),(49 25668.506),(50 25272.088),(51 25364.65),(52 24287.494),(53 25143.986),(54 24746.875),(55 25333.977),(56 24790.158),(57 25306.254),(58 24812.44),(59 25166.402),(60 24327.992),(61 24978.379),(62 24708.709),(63 25188.12),(64 24441.588),(65 24573.508),(66 24107.104),(67 24438.68),(68 23499.158),(69 24054.945),(70 23695.508),(71 24249.99),(72 23611.621),(73 24206.006),(74 23864.195),(75 24535.977),(76 23641.133),(77 23924.365),(78 23720.656),(79 24323.752),
(1 5313.5894),(2 9936.925),(3 13693.157),(4 14723.349),(5 16269.903),(6 16841.512),(7 17883.252),(8 18072.35),(9 18807.781),(10 18573.389),(11 19455.572),(12 19267.691),(13 19811.111),(14 19808.975),(15 20602.904),(16 19994.104),(17 20438.566),(18 20283.826),(19 21220.244),(20 20647),(21 21619.756),(22 21438.525),(23 22272.396),(24 21876.324),(25 22712.111),(26 22671.717),(27 23494.096),(28 23063.7),(29 23639.066),(30 23392.57),(31 23948.266),(32 23082.03),(33 23549.596),(34 23394.342),(35 24029.125),(36 23647.566),(37 24257.459),(38 24408.227),(39 25224.344),(40 24513.926),(41 24914.705),(42 24627.166),(43 25042.316),(44 24791.594),(45 25250.396),(46 25173.256),(47 25066.121),(48 24642.89),(49 24965.508),(50 24195.748),(51 24299.967),(52 23370.193),(53 23816.74),(54 23761.24),(55 24333.268),(56 24041.8),(57 24599.42),(58 24103.094),(59 24041.527),(60 23355.533),(61 23538.07),(62 23104.803),(63 23547.57),(64 22733.865),(65 23126.986),(66 23159.465),(67 23822.563),(68 23023.89),(69 23661.58),(70 23499.293),(71 24033.686),(72 23512.28),(73 24210.648),(74 24080.123),(75 24685.752),(76 23671.594),(77 23842.32),(78 23409.365),(79 23941.748),
(1 5546.134),(2 9920.558),(3 13721.46),(4 14872.168),(5 16705.926),(6 17091.518),(7 18246.615),(8 18255.107),(9 19106.225),(10 18875.576),(11 19752.701),(12 19481.314),(13 20262.797),(14 20020.514),(15 21004.664),(16 20488.549),(17 20980.363),(18 20840.584),(19 22104.951),(20 21440.291),(21 22191.559),(22 21771.703),(23 22200.932),(24 21662.031),(25 22485.113),(26 22540.715),(27 23645.887),(28 23012.674),(29 23994.736),(30 23638.648),(31 23887.506),(32 23062.955),(33 24151.912),(34 23824.17),(35 24309.934),(36 23877.979),(37 24342.115),(38 24172.582),(39 24988.75),(40 24131.133),(41 24531.75),(42 24287.094),(43 25040.455),(44 24605.84),(45 24976.146),(46 24584.318),(47 25081.678),(48 24225.285),(49 24612.896),(50 23970.676),(51 23881.541),(52 23424.346),(53 24196.668),(54 24010.885),(55 24608.15),(56 24124.223),(57 24664.992),(58 24010.502),(59 24360.547),(60 23638.797),(61 24193.371),(62 23718.635),(63 23980.404),(64 23576.867),(65 24224.25),(66 23695.805),(67 24232.33),(68 23515.918),(69 24058.602),(70 23707.84),(71 24114.014),(72 23806.146),(73 24620.453),(74 24655.113),(75 25211.156),(76 24031.291),(77 24253.434),(78 23867.844),(79 24485.885),
(1 5217.243),(2 9459.023),(3 13155.996),(4 14312.754),(5 16206.221),(6 16697.678),(7 18029.799),(8 18105.436),(9 18830.861),(10 18817.375),(11 19540.088),(12 18926.07),(13 19476.18),(14 19597.314),(15 20521.771),(16 19986.822),(17 20650.8),(18 20358.941),(19 21458.932),(20 20985.451),(21 21519.063),(22 21348.057),(23 21960.994),(24 21521.799),(25 22250.201),(26 22057.484),(27 22836.03),(28 21954.803),(29 22500.35),(30 22133.1),(31 22477.512),(32 21920.148),(33 22888.984),(34 22909.945),(35 23546.45),(36 23301.078),(37 23757.627),(38 23864.092),(39 24583.826),(40 23613.822),(41 24287.945),(42 24224.047),(43 24485.28),(44 23919.639),(45 24485.6),(46 24232.646),(47 24723.814),(48 24139.219),(49 24713.098),(50 24485),(51 24870.111),(52 24259.91),(53 24772.977),(54 24788.256),(55 25145.064),(56 24536.314),(57 24684.148),(58 24478.951),(59 25001.29),(60 24390.668),(61 24981.713),(62 24776.33),(63 25104.826),(64 24195.148),(65 24590.514),(66 24345.867),(67 24913.8),(68 24083.76),(69 24131.523),(70 23754.443),(71 24174.691),(72 23713.713),(73 24426.064),(74 24479.605),(75 25048.309),(76 23840.547),(77 24079.22),(78 23941.627),(79 24403.176),
(1 5446.29),(2 9803.133),(3 13494.319),(4 14382.751),(5 16157.357),(6 16388.625),(7 17589.668),(8 17446.137),(9 18127.264),(10 17925.443),(11 18862.184),(12 18392.64),(13 19364.525),(14 19250.105),(15 20048.672),(16 19481.732),(17 20116.068),(18 20019.336),(19 21177.422),(20 20601.127),(21 21199.852),(22 21012.74),(23 21967.584),(24 21428.248),(25 22307.656),(26 22318.594),(27 23081.959),(28 22260.262),(29 22803.8),(30 22334.455),(31 22873.18),(32 21778.723),(33 22823.633),(34 22344.367),(35 22797.877),(36 22249.605),(37 22963.652),(38 22860.844),(39 23697.1),(40 22887.477),(41 23174.262),(42 22707.18),(43 23300.176),(44 22891.83),(45 23726.123),(46 23485.8),(47 23694.563),(48 23116.998),(49 23882.783),(50 23644.652),(51 24352.156),(52 23245.832),(53 23536.984),(54 23091.545),(55 23462.078),(56 22775.016),(57 23481.193),(58 23405.5),(59 23690.908),(60 22783.283),(61 23111.557),(62 23060.125),(63 23677.53),(64 22853.482),(65 23483.434),(66 23273.709),(67 23962.414),(68 23062.309),(69 23192.854),(70 22611.22),(71 22966.068),(72 22647.46),(73 24002.576),(74 23793.328),(75 24231.754),(76 22938.39),(77 23346.744),(78 23021.637),(79 23510.602),
(1 5357.1533),(2 9587.877),(3 13364.454),(4 14332.974),(5 15897.864),(6 16056.556),(7 16984.338),(8 16448.291),(9 17192.037),(10 17207.025),(11 18177.346),(12 17609.977),(13 18496.342),(14 18467.525),(15 19327.031),(16 18955.244),(17 19597.22),(18 19298.408),(19 20380.592),(20 19731.049),(21 20510.352),(22 20604.365),(23 21286.707),(24 20552.14),(25 20971.873),(26 20690.053),(27 21648.545),(28 21073.096),(29 21852.666),(30 21551.924),(31 22005.686),(32 21276.557),(33 22380.115),(34 22062.83),(35 22537.732),(36 22202.213),(37 22829.922),(38 22707.186),(39 23335.555),(40 22360.002),(41 22764.686),(42 22484.643),(43 23079.197),(44 22573.318),(45 23241.084),(46 22985.76),(47 23592.342),(48 23090.625),(49 23725.166),(50 23079.182),(51 23540.047),(52 22858.025),(53 23700.057),(54 23412.166),(55 23817.139),(56 23353.99),(57 24077.537),(58 23467.018),(59 23614.744),(60 22690.916),(61 23189.467),(62 22774.174),(63 23248.314),(64 22752.12),(65 23350.217),(66 22925.35),(67 23267.06),(68 22586.025),(69 22807.123),(70 22467.86),(71 23029.393),(72 22441.17),(73 23024.24),(74 22498.533),(75 23075.408),(76 22129.156),(77 22692.553),(78 22438.79),(79 22894.523),
(1 5292.085),(2 9482.432),(3 13461.139),(4 14487.311),(5 15912.88),(6 15815.078),(7 16999.73),(8 16689.695),(9 17584.99),(10 17547.762),(11 18330.889),(12 17812.027),(13 18848.059),(14 18771.578),(15 19942.705),(16 19117.809),(17 19449.797),(18 19242.186),(19 20603.264),(20 19751.826),(21 20646.377),(22 20463.895),(23 21161.844),(24 20410.77),(25 21053.64),(26 20831.037),(27 21822.314),(28 21085.36),(29 21962.379),(30 21748.936),(31 22429.338),(32 21704.994),(33 22632.658),(34 22271.21),(35 22957.043),(36 22224.32),(37 22905.717),(38 23160.846),(39 24263.066),(40 22887.434),(41 22792.86),(42 22306.982),(43 22879.895),(44 22077.936),(45 22515.344),(46 22488.871),(47 23348.15),(48 23092.209),(49 23374.389),(50 22715.932),(51 22929.555),(52 22312.232),(53 23125.797),(54 22911.334),(55 23380.678),(56 22563.365),(57 23120.818),(58 22826.225),(59 23153.65),(60 21987.434),(61 22647.447),(62 22141.076),(63 22809.072),(64 21839.268),(65 22637.35),(66 22371.096),(67 22712.709),(68 21705.244),(69 22080.742),(70 21550.127),(71 22298.453),(72 21617.873),(73 22498.813),(74 22389.299),(75 23066.992),(76 21884.686),(77 22312.088),(78 22146.873),(79 22848.873),
(1 5337.1123),(2 9449.718),(3 12973.438),(4 13938.203),(5 15750.326),(6 15966.6455),(7 16949.227),(8 16446.473),(9 16792.676),(10 16750.146),(11 17865.691),(12 17380.332),(13 18529.223),(14 18570.313),(15 19391.549),(16 18571.879),(17 19294.832),(18 18945.629),(19 20131.604),(20 19670.633),(21 20377.049),(22 20136.805),(23 20666.377),(24 19740.576),(25 20320.617),(26 20093.514),(27 21159.361),(28 20343.648),(29 21025.129),(30 20961.225),(31 21468.574),(32 20471.615),(33 21574.31),(34 21247.648),(35 22006.4),(36 21637.16),(37 22466.318),(38 22125.5),(39 22804.807),(40 21884.996),(41 22212.46),(42 21766.918),(43 22644.848),(44 22088.586),(45 22581.201),(46 22300.248),(47 22993.744),(48 22129.537),(49 22651.383),(50 22323.594),(51 22656.963),(52 21895.209),(53 22575.762),(54 22306.322),(55 22919.117),(56 22062.305),(57 22417.604),(58 22065.438),(59 22257.453),(60 21602.092),(61 22041.49),(62 21844.473),(63 22120.14),(64 21141.422),(65 22081.521),(66 21841.746),(67 21950.668),(68 20818.195),(69 20978.037),(70 20838.826),(71 21530.744),(72 20919.396),(73 21492.566),(74 21332.291),(75 21862.469),(76 20772.45),(77 21026.65),(78 20866.516),(79 21471.387),
(1 5153.5107),(2 9095.7),(3 12632.946),(4 13570.187),(5 15354.409),(6 15503.93),(7 16588.418),(8 16177.714),(9 16946.014),(10 17125.26),(11 18144.863),(12 17835.588),(13 18685.164),(14 18402.941),(15 19041.014),(16 18381.025),(17 19370.607),(18 19144.252),(19 20238.238),(20 19543.56),(21 20455.701),(22 20089.402),(23 20829.953),(24 20286.146),(25 20951.164),(26 20682.848),(27 21667.814),(28 20849.63),(29 21566.498),(30 21229.922),(31 21761.127),(32 20631),(33 21306.91),(34 20857.24),(35 21504.682),(36 21318.334),(37 22093.432),(38 21778.69),(39 22391.057),(40 21199.932),(41 21045.393),(42 20879.967),(43 21449.541),(44 21050.11),(45 21447.691),(46 21141.457),(47 21518.459),(48 20702.252),(49 21461.59),(50 20988.15),(51 21516.947),(52 20721.682),(53 21248.58),(54 20893.021),(55 21487.543),(56 21014.69),(57 21682.432),(58 21352.408),(59 21571.482),(60 20916.115),(61 21279.143),(62 21149.895),(63 21810.514),(64 20990.885),(65 21569.494),(66 21210.123),(67 21890.477),(68 21133.36),(69 21298.045),(70 20933.998),(71 21517.258),(72 20942.654),(73 21624.723),(74 21361.8),(75 21820.893),(76 20470.14),(77 20762.094),(78 20249.912),(79 20892.86),
(1 5144.155),(2 9007.701),(3 12253.091),(4 13049.314),(5 14579.045),(6 14716.394),(7 15603.989),(8 15081.476),(9 16106.585),(10 16183.127),(11 16997.172),(12 16459.336),(13 17625.266),(14 17625.66),(15 18444.766),(16 17750.215),(17 18516.707),(18 18327.639),(19 19496.492),(20 18644.402),(21 19295.256),(22 19041.557),(23 19912.03),(24 19468.348),(25 20258.879),(26 19894.473),(27 21017.72),(28 20430.502),(29 21017.834),(30 20656.844),(31 21278.797),(32 19948.377),(33 20801.701),(34 20474.133),(35 21030.037),(36 20610.56),(37 21069.912),(38 20535.879),(39 21275.79),(40 20558.918),(41 20993.137),(42 20562.469),(43 20880.375),(44 20362.941),(45 20873.479),(46 20399.44),(47 20912.096),(48 20163.537),(49 20794.912),(50 20345.014),(51 20765.695),(52 19917.08),(53 20217.896),(54 19781.992),(55 20415.428),(56 19704.635),(57 20263.885),(58 19598.568),(59 19838.748),(60 18854.627),(61 19513.762),(62 19206.742),(63 19997.861),(64 19451.686),(65 20319.773),(66 19948.793),(67 20480.389),(68 19722.516),(69 20241.938),(70 20196.406),(71 20970.508),(72 20609.041),(73 21498.54),(74 21026.242),(75 21639.316),(76 20223.156),(77 20412.799),(78 19780.703),(79 20294.871),
(1 5037.772),(2 9044.826),(3 12247.059),(4 13230.585),(5 14634.296),(6 14838.718),(7 15747.479),(8 15243.041),(9 15850.2),(10 15773.136),(11 16660.938),(12 16470.768),(13 17432.564),(14 17303.014),(15 18189.318),(16 17626.621),(17 18215.922),(18 18210.633),(19 19418.412),(20 18825.283),(21 19357.727),(22 19028.043),(23 19810.074),(24 19221.707),(25 19717.498),(26 19314.133),(27 20478.828),(28 19996.39),(29 20542.182),(30 20119.076),(31 20702.389),(32 20023.488),(33 20718.168),(34 20428.965),(35 21023.98),(36 20472.918),(37 21201.129),(38 20869.092),(39 21256.273),(40 20298.293),(41 20598.414),(42 20209.494),(43 20598.508),(44 20105.215),(45 20575.05),(46 20429.797),(47 20839.688),(48 20223.188),(49 20771.45),(50 20451.117),(51 20707.9),(52 19628.795),(53 20063.752),(54 19726.826),(55 20139.674),(56 19537.621),(57 20102.262),(58 19787.84),(59 20091.586),(60 19624.896),(61 20236.814),(62 20132.965),(63 20588.256),(64 19844.592),(65 20548.912),(66 20419.438),(67 20870.746),(68 19792.236),(69 20376.041),(70 20305.1),(71 20955.986),(72 20505.08),(73 21330.459),(74 21346.605),(75 21932.582),(76 21126.686),(77 21401.799),(78 20933.326),(79 21282.957),
(1 4866.9297),(2 8698.343),(3 11781.327),(4 12428.891),(5 13594),(6 13614.94),(7 14395.099),(8 14003.796),(9 14850.355),(10 14735.956),(11 15633.992),(12 15298.685),(13 16212.523),(14 16246.645),(15 17068.664),(16 16491.178),(17 16874.797),(18 16575.549),(19 17669.377),(20 17200.756),(21 18261.844),(22 18028.77),(23 18418.697),(24 17615.896),(25 18218.564),(26 18014.285),(27 19070.404),(28 18445.836),(29 18948.53),(30 18586.313),(31 19060.615),(32 18339.502),(33 19167.885),(34 19002.68),(35 19735.521),(36 19216.799),(37 19680.326),(38 19116.453),(39 19384.855),(40 18473.814),(41 18693.445),(42 18477.13),(43 19158.006),(44 18723.742),(45 19335.064),(46 19139.744),(47 19618.078),(48 19208.734),(49 19847.625),(50 19394.494),(51 19704.582),(52 19174.871),(53 19611.283),(54 19241.78),(55 19717.004),(56 19056.734),(57 19581.541),(58 19045.918),(59 19483.676),(60 18854.184),(61 19270.68),(62 19158.64),(63 19593.398),(64 18860.8),(65 19343.488),(66 18954.926),(67 19408.191),(68 18476.21),(69 18818.395),(70 18457.72),(71 19046.072),(72 18553.22),(73 19202.535),(74 19071.31),(75 19637.688),(76 18744.049),(77 19219.707),(78 18715.45),(79 19314.502),
(1 4872.217),(2 8540.021),(3 11402.523),(4 11887.198),(5 13109.981),(6 13217.73),(7 14134.912),(8 13766.357),(9 14591.393),(10 14498.545),(11 15607.105),(12 15547.633),(13 16574.66),(14 16448.328),(15 17124.592),(16 16287.384),(17 16918.049),(18 16739.176),(19 17920.877),(20 17299.54),(21 18259.662),(22 18155.016),(23 18927.154),(24 18083.555),(25 18518.225),(26 18210.203),(27 19344.098),(28 18761.371),(29 19242.756),(30 18654.96),(31 19401.05),(32 18575.604),(33 19343.787),(34 18881.285),(35 19592.275),(36 19053.225),(37 19542.453),(38 19320.445),(39 19874.31),(40 18966.676),(41 19267.309),(42 18755.04),(43 19456.994),(44 18908.559),(45 19643.732),(46 19207.781),(47 19898.355),(48 19230.451),(49 19513.78),(50 18994.447),(51 19550.346),(52 18642.846),(53 19368.951),(54 19074.123),(55 19641.979),(56 18982.023),(57 19277.744),(58 18857.787),(59 19196.035),(60 18402.299),(61 18901.742),(62 18536.87),(63 19254.21),(64 18465.006),(65 19195.898),(66 18778.324),(67 19106.688),(68 18286.455),(69 18921.365),(70 18761.818),(71 19358.502),(72 18835.7),(73 19451.4),(74 19409.568),(75 20285.4),(76 19118.525),(77 19322.873),(78 18887.72),(79 19415.146),
(1 4742.48),(2 8162.13),(3 10845.152),(4 11604.369),(5 12896.506),(6 13166.937),(7 14056.041),(8 13706.643),(9 14383.26),(10 14093.656),(11 14913.141),(12 14546.538),(13 15482.108),(14 15550.891),(15 16268.403),(16 15721.144),(17 16146.661),(18 15912.866),(19 16830.787),(20 16503.951),(21 17273.537),(22 17383.225),(23 18023.063),(24 17315.945),(25 17844.023),(26 17759.97),(27 18873.871),(28 18037.53),(29 18595.479),(30 18356.967),(31 19082.39),(32 18511.01),(33 19114.664),(34 18905.35),(35 19597.46),(36 19048.385),(37 19369.797),(38 19066.533),(39 19848.459),(40 19167.297),(41 19631.88),(42 18968.922),(43 19257.268),(44 18940.465),(45 19505.58),(46 19008.992),(47 19619.785),(48 18982.352),(49 19370.64),(50 18654.129),(51 18980.531),(52 18105.996),(53 18468.31),(54 18355.908),(55 18892.23),(56 18332.344),(57 18785.959),(58 18361.672),(59 18703.686),(60 18152.398),(61 18727.023),(62 18387.746),(63 18668.533),(64 18106.84),(65 18701.283),(66 18235.576),(67 18564.684),(68 17545.56),(69 17845.996),(70 17699.6),(71 18261.492),(72 17753.605),(73 18299.41),(74 18147.875),(75 18951.6),(76 18342.7),(77 18686.309),(78 18207.748),(79 18638.56),
(1 4647.749),(2 8050.7163),(3 10757.148),(4 11410.505),(5 12426.578),(6 12450.879),(7 13252.881),(8 12822.654),(9 13410.567),(10 13335.705),(11 14294.163),(12 14190.594),(13 15008.449),(14 14854.238),(15 15613.985),(16 15217.585),(17 15650.347),(18 15415.568),(19 16319.847),(20 15909.349),(21 16787.564),(22 16694.951),(23 17127.361),(24 16506.56),(25 17009.041),(26 16770.172),(27 17973.008),(28 17137.654),(29 17669.688),(30 17210.049),(31 17755.715),(32 17303.594),(33 17936.531),(34 17639.834),(35 18531.469),(36 18129.205),(37 18881.588),(38 18713.527),(39 19229.004),(40 18594.537),(41 18800.297),(42 18311.129),(43 18814.043),(44 18328.512),(45 18848.082),(46 18550.672),(47 18933.451),(48 18155.979),(49 18381.145),(50 17878.844),(51 18295.43),(52 17555.695),(53 18241.805),(54 18146.205),(55 18453.154),(56 17796.334),(57 18346.205),(58 17996.207),(59 18378.604),(60 17761.234),(61 18420.486),(62 18170.111),(63 18952.09),(64 18113.322),(65 18466.078),(66 18042.332),(67 18376.248),(68 17471.594),(69 17845.904),(70 17931.229),(71 18600.295),(72 17931.957),(73 18247.635),(74 17980.37),(75 18643.877),(76 17639.56),(77 17852.766),(78 17688.352),(79 18022.363),
(1 4539.0576),(2 7919.0493),(3 10585.876),(4 11004.458),(5 12264.545),(6 12412.641),(7 13207.71),(8 12814.909),(9 13361.615),(10 13257.387),(11 14056.709),(12 13806.454),(13 14473.649),(14 14110.549),(15 15005.484),(16 14686.824),(17 15448.909),(18 15239.337),(19 16190.776),(20 15549.919),(21 16170.531),(22 16120.641),(23 16823.36),(24 16110.267),(25 16737.049),(26 16851.867),(27 18032.75),(28 17521.838),(29 18052.57),(30 17603.197),(31 18039.02),(32 17494.95),(33 18260.451),(34 17960.049),(35 18512.053),(36 18112.357),(37 18692.238),(38 18456.123),(39 19045.238),(40 18369.36),(41 18823.576),(42 18580.43),(43 19300.475),(44 19026.816),(45 19484.223),(46 19305.563),(47 20029.572),(48 19304.688),(49 19437.227),(50 18680.299),(51 18909.67),(52 18340.764),(53 18775.793),(54 18451.137),(55 18676.05),(56 18293.242),(57 18851.188),(58 18304.451),(59 18521.049),(60 18094.484),(61 18628.924),(62 18441.602),(63 18890.357),(64 17989.264),(65 18568.346),(66 18111.674),(67 18035.428),(68 17208.352),(69 17675.99),(70 17612.994),(71 18391.967),(72 17876.982),(73 18227.945),(74 17900.98),(75 18812.322),(76 17970.1),(77 18201.762),(78 18020.139),(79 18438.898),
