1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 537.2382),(2 675.43164),(3 724.1173),(4 771.08936),(5 792.04193),(6 825.0159),(7 843.4014),(8 879.42053),(9 894.4005),(10 937.64246),(11 936.7143),(12 961.8514),(13 959.50854),(14 976.50464),(15 962.27545),(16 987.0294),(17 958.06415),(18 971.64526),(19 945.0298),(20 973.69464),(21 965.17645),(22 987.4733),(23 979.6214),(24 984.0886),(25 974.7257),(26 990.7947),(27 968.18604),(28 1001.48126),(29 973.7592),(30 988.61664),(31 972.9839),(32 1000.7728),(33 979.56964),(34 999.5401),(35 982.6459),(36 1010.1348),(37 991.20245),(38 1004.6043),(39 990.97235),(40 1003.39923),(41 988.63727),(42 1000.0722),(43 997.7928),(44 1010.90686),(45 1008.0839),(46 1047.4934),(47 1032.1771),(48 1019.7583),(49 1021.8525),(50 1000.33685),(51 1010.8337),(52 976.2361),(53 977.72845),(54 968.5637),(55 979.33746),(56 961.64136),(57 967.4204),(58 963.5119),(59 993.15814),(60 979.53723),(61 1006.7138),(62 1004.6919),(63 1031.1467),(64 1038.1572),(65 1065.644),(66 1037.9463),(67 1063.2333),(68 1039.6812),(69 1047.3315),(70 1027.1456),(71 1030.6548),(72 1018.3035),(73 1032.7822),(74 1006.08624),(75 1017.0737),(76 996.9376),(77 1033.2538),(78 1008.67523),(79 1023.17865),
(1 539.6521),(2 675.6155),(3 721.32477),(4 772.8042),(5 788.42224),(6 840.73816),(7 840.49994),(8 871.7487),(9 908.2415),(10 958.80817),(11 949.408),(12 980.5514),(13 956.1003),(14 982.8114),(15 957.36414),(16 979.6782),(17 952.71173),(18 975.9708),(19 963.9586),(20 985.5993),(21 962.17163),(22 979.3625),(23 962.3398),(24 981.41113),(25 953.9005),(26 975.54083),(27 945.96155),(28 973.5806),(29 960.222),(30 984.05475),(31 965.4069),(32 987.1904),(33 968.2785),(34 995.3648),(35 977.6181),(36 1002.4636),(37 972.4549),(38 995.63885),(39 968.58276),(40 989.57465),(41 971.52747),(42 996.40735),(43 996.0736),(44 1011.1713),(45 1000.48956),(46 1023.838),(47 1010.9565),(48 994.68976),(49 1006.74854),(50 985.64453),(51 974.9754),(52 962.38306),(53 968.658),(54 944.5584),(55 948.1101),(56 934.4588),(57 949.8194),(58 944.79987),(59 950.2518),(60 950.6714),(61 976.723),(62 985.8544),(63 1010.46216),(64 1015.701),(65 1053.1036),(66 1047.8174),(67 1077.1161),(68 1038.43),(69 1051.1852),(70 1021.76135),(71 1032.4835),(72 1008.71075),(73 1021.6657),(74 999.8278),(75 1016.75385),(76 998.1816),(77 1023.6335),(78 999.6555),(79 1012.8054),
(1 526.59796),(2 648.0331),(3 697.854),(4 751.77405),(5 768.0679),(6 796.686),(7 802.81354),(8 851.12396),(9 868.9136),(10 898.22644),(11 887.46326),(12 928.64404),(13 919.1544),(14 946.86975),(15 912.9077),(16 937.6267),(17 911.4634),(18 930.9543),(19 913.07635),(20 932.4146),(21 917.7497),(22 938.6335),(23 915.606),(24 927.7477),(25 907.8921),(26 941.95905),(27 906.0295),(28 931.867),(29 911.397),(30 947.0795),(31 938.9992),(32 975.85034),(33 958.3758),(34 973.7623),(35 957.4705),(36 975.9296),(37 949.3873),(38 961.24603),(39 925.39777),(40 951.70825),(41 951.1622),(42 964.3934),(43 949.2902),(44 978.74066),(45 966.7787),(46 991.2621),(47 971.76544),(48 959.6023),(49 974.1196),(50 949.1599),(51 952.7627),(52 931.9851),(53 925.0596),(54 910.9432),(55 903.6568),(56 892.60583),(57 917.2436),(58 905.9064),(59 918.8675),(60 919.6973),(61 933.3221),(62 946.0066),(63 975.10425),(64 972.5148),(65 1025.8937),(66 1015.40674),(67 1045.6183),(68 1013.0503),(69 1016.8353),(70 991.2603),(71 990.9337),(72 980.9365),(73 995.21014),(74 964.8203),(75 974.4948),(76 963.26807),(77 987.0431),(78 960.99316),(79 986.709),
(1 509.6425),(2 645.23206),(3 688.66705),(4 735.62463),(5 744.68994),(6 789.7426),(7 795.48206),(8 844.44257),(9 862.29297),(10 899.66003),(11 888.04065),(12 926.36755),(13 919.2265),(14 933.75934),(15 904.76953),(16 916.4551),(17 893.8739),(18 927.43024),(19 918.3538),(20 940.889),(21 929.24274),(22 951.7267),(23 945.0458),(24 959.70825),(25 935.30756),(26 956.8868),(27 927.14886),(28 949.0839),(29 936.922),(30 948.3121),(31 934.329),(32 951.55774),(33 944.08606),(34 968.0808),(35 945.8595),(36 974.07886),(37 948.4062),(38 954.94324),(39 937.61163),(40 958.16077),(41 958.30945),(42 983.4814),(43 975.4053),(44 991.27386),(45 980.62036),(46 1018.56256),(47 977.7543),(48 983.08026),(49 995.28436),(50 979.67816),(51 980.50757),(52 960.5202),(53 970.8982),(54 956.55695),(55 944.1588),(56 936.898),(57 951.9941),(58 945.1643),(59 956.35333),(60 973.4236),(61 987.6926),(62 978.1091),(63 1011.6025),(64 1008.46716),(65 1044.6807),(66 1033.6938),(67 1064.4237),(68 1019.31555),(69 1019.5474),(70 1002.60925),(71 1012.89453),(72 1002.3988),(73 1006.83636),(74 980.84576),(75 991.2945),(76 969.59973),(77 984.7512),(78 962.11926),(79 1001.2677),
(1 506.746),(2 622.97974),(3 670.52106),(4 720.3902),(5 738.5825),(6 765.1439),(7 780.5451),(8 824.1292),(9 835.3278),(10 885.6131),(11 884.99963),(12 906.0724),(13 907.6662),(14 924.0135),(15 905.7805),(16 917.24817),(17 895.5575),(18 911.6054),(19 901.531),(20 919.771),(21 906.97675),(22 929.6239),(23 924.90857),(24 940.0059),(25 910.28534),(26 934.8609),(27 919.5829),(28 938.3675),(29 909.6509),(30 938.97577),(31 910.35706),(32 938.8639),(33 913.5802),(34 929.33545),(35 914.15125),(36 935.3872),(37 918.8869),(38 918.14923),(39 908.17993),(40 924.4674),(41 918.70245),(42 925.39606),(43 927.91724),(44 950.88007),(45 935.6686),(46 943.98413),(47 929.75305),(48 932.2741),(49 942.2386),(50 925.8545),(51 928.6106),(52 906.37),(53 902.5962),(54 900.7941),(55 908.2634),(56 900.46924),(57 914.6612),(58 909.2836),(59 934.7818),(60 932.1381),(61 960.78687),(62 950.5752),(63 982.89105),(64 984.6197),(65 1012.15533),(66 998.4375),(67 1025.2197),(68 980.35565),(69 988.87604),(70 969.5983),(71 975.1629),(72 960.6258),(73 971.4821),(74 947.1292),(75 969.53107),(76 953.82526),(77 969.60767),(78 943.44135),(79 966.4295),
(1 502.96735),(2 616.4049),(3 662.62665),(4 710.0413),(5 727.27295),(6 752.10803),(7 757.4784),(8 801.2056),(9 815.10864),(10 870.9631),(11 858.3463),(12 893.49536),(13 883.74084),(14 910.3375),(15 888.60455),(16 889.79504),(17 869.07196),(18 910.2448),(19 893.231),(20 910.89215),(21 898.15295),(22 916.7701),(23 902.19086),(24 919.619),(25 899.9625),(26 913.8917),(27 895.74786),(28 912.6968),(29 893.2211),(30 917.99347),(31 881.5549),(32 911.4836),(33 904.6468),(34 910.237),(35 882.3922),(36 898.5014),(37 890.95044),(38 906.3277),(39 903.89685),(40 932.1545),(41 909.5334),(42 933.3201),(43 918.27814),(44 926.2985),(45 916.6748),(46 943.8024),(47 910.38965),(48 923.18964),(49 913.8313),(50 895.24585),(51 901.7554),(52 877.93463),(53 883.3895),(54 870.8185),(55 876.7167),(56 866.20825),(57 879.0647),(58 869.0182),(59 887.06195),(60 892.6472),(61 924.44867),(62 912.1763),(63 944.43536),(64 947.873),(65 979.53),(66 975.15955),(67 1008.2933),(68 976.5681),(69 980.6695),(70 972.87103),(71 971.91034),(72 949.2826),(73 964.8436),(74 939.18933),(75 951.80945),(76 935.2064),(77 954.398),(78 920.52625),(79 951.87335),
(1 503.42593),(2 614.2695),(3 666.6399),(4 718.2628),(5 732.3273),(6 765.99506),(7 778.9548),(8 827.35425),(9 828.4714),(10 882.2685),(11 878.9401),(12 904.0157),(13 886.8965),(14 906.2194),(15 881.6384),(16 890.8056),(17 874.88574),(18 894.4544),(19 881.24524),(20 899.88007),(21 889.1339),(22 913.7105),(23 896.52856),(24 922.2895),(25 893.11847),(26 912.32587),(27 893.7931),(28 929.6867),(29 901.18353),(30 919.36285),(31 888.75635),(32 908.81757),(33 898.4351),(34 923.2667),(35 891.5431),(36 924.96924),(37 908.34314),(38 928.24243),(39 905.0149),(40 938.1459),(41 915.73926),(42 927.3734),(43 918.3379),(44 924.337),(45 914.213),(46 935.6756),(47 923.0424),(48 921.9774),(49 926.3646),(50 907.04974),(51 903.1924),(52 878.2315),(53 880.7155),(54 877.612),(55 891.5113),(56 879.0512),(57 894.5414),(58 890.3832),(59 911.11334),(60 902.25134),(61 932.5474),(62 920.2892),(63 955.40326),(64 946.70386),(65 980.06433),(66 971.8711),(67 987.64636),(68 955.849),(69 965.7971),(70 945.1867),(71 958.5886),(72 930.8889),(73 941.2214),(74 921.76135),(75 938.37006),(76 919.5794),(77 934.79224),(78 915.5846),(79 934.88043),
(1 485.29834),(2 603.73615),(3 638.4683),(4 686.01337),(5 709.8446),(6 733.07837),(7 744.90155),(8 805.525),(9 804.1728),(10 845.18884),(11 832.28357),(12 865.60736),(13 863.9241),(14 869.5996),(15 857.17096),(16 875.34717),(17 859.5934),(18 883.5546),(19 853.0206),(20 877.1625),(21 873.69495),(22 896.3661),(23 882.4223),(24 894.66113),(25 866.6088),(26 885.72925),(27 864.08093),(28 885.1917),(29 876.2374),(30 894.7706),(31 866.9388),(32 894.4862),(33 871.50635),(34 889.2707),(35 870.57556),(36 900.9934),(37 890.3839),(38 904.23334),(39 890.73346),(40 903.49615),(41 884.0399),(42 897.04803),(43 901.5466),(44 920.80273),(45 910.9474),(46 940.0026),(47 924.1329),(48 920.544),(49 920.50714),(50 900.9642),(51 898.595),(52 874.8587),(53 880.16595),(54 865.92114),(55 860.93604),(56 856.38055),(57 865.9826),(58 860.8373),(59 875.56854),(60 872.4491),(61 899.2405),(62 889.40424),(63 925.2806),(64 918.99713),(65 949.2097),(66 930.3472),(67 942.28534),(68 913.3287),(69 931.0282),(70 907.6215),(71 910.4893),(72 907.82965),(73 921.8944),(74 901.50916),(75 909.5686),(76 891.8857),(77 912.8696),(78 885.3965),(79 908.0346),
(1 501.22168),(2 626.44086),(3 663.0634),(4 713.0336),(5 737.4861),(6 765.6554),(7 770.5936),(8 821.07794),(9 834.6689),(10 870.27295),(11 871.63074),(12 905.9865),(13 899.02484),(14 911.1418),(15 880.76416),(16 898.46106),(17 879.2039),(18 901.27545),(19 879.82623),(20 900.68066),(21 896.3939),(22 920.69293),(23 901.8854),(24 920.68195),(25 907.4028),(26 932.0536),(27 900.25256),(28 915.0438),(29 905.6755),(30 927.23926),(31 902.4235),(32 923.21063),(33 904.87866),(34 919.24347),(35 892.4114),(36 929.4759),(37 910.06274),(38 925.7607),(39 911.982),(40 918.58136),(41 906.5487),(42 930.3624),(43 929.46924),(44 947.6745),(45 939.33026),(46 961.50726),(47 948.86224),(48 944.50555),(49 943.6816),(50 931.64764),(51 925.84235),(52 911.5558),(53 912.8337),(54 905.24146),(55 909.0079),(56 896.6986),(57 900.25977),(58 905.00635),(59 932.16675),(60 924.4666),(61 947.47577),(62 947.02576),(63 970.374),(64 964.51086),(65 998.3408),(66 984.80237),(67 1009.50024),(68 994.8465),(69 986.1643),(70 959.9931),(71 973.3296),(72 954.02454),(73 969.5312),(74 950.83704),(75 952.86847),(76 946.60095),(77 961.6172),(78 942.28076),(79 967.48956),
(1 487.0844),(2 609.0744),(3 643.87744),(4 695.43365),(5 709.60706),(6 733.0998),(7 745.2513),(8 777.10754),(9 799.58746),(10 823.0908),(11 812.96875),(12 843.977),(13 847.21436),(14 863.6829),(15 843.78326),(16 863.84375),(17 841.2306),(18 863.75464),(19 843.41846),(20 863.9687),(21 856.0043),(22 876.4224),(23 863.38184),(24 891.77216),(25 869.14435),(26 882.03925),(27 869.57477),(28 881.0814),(29 887.05566),(30 911.7306),(31 880.09235),(32 895.8288),(33 880.6174),(34 888.178),(35 859.7959),(36 875.2942),(37 877.4041),(38 886.8797),(39 881.5011),(40 904.3078),(41 884.2337),(42 900.9755),(43 896.2588),(44 915.36926),(45 895.82935),(46 926.3231),(47 914.8411),(48 907.55524),(49 894.75183),(50 882.7912),(51 860.72394),(52 856.3092),(53 852.1214),(54 841.99744),(55 847.966),(56 846.26385),(57 856.947),(58 862.76117),(59 877.689),(60 869.3864),(61 885.06134),(62 868.8187),(63 901.52625),(64 907.1151),(65 930.02795),(66 913.0031),(67 939.6343),(68 921.06757),(69 930.95337),(70 914.01324),(71 934.44586),(72 918.7217),(73 931.59265),(74 913.588),(75 918.70294),(76 903.92523),(77 918.5314),(78 889.48846),(79 914.42584),
(1 494.40637),(2 614.9729),(3 648.3174),(4 693.812),(5 709.3628),(6 733.97974),(7 752.6583),(8 809.11945),(9 820.8376),(10 855.29285),(11 848.4195),(12 873.7801),(13 874.7697),(14 887.38086),(15 875.24915),(16 888.6214),(17 878.5039),(18 886.74603),(19 872.15656),(20 891.0596),(21 873.5325),(22 902.95056),(23 883.89594),(24 897.1269),(25 884.60266),(26 901.3327),(27 881.9772),(28 885.8744),(29 884.48535),(30 894.4152),(31 880.81366),(32 907.2151),(33 885.3755),(34 893.6145),(35 870.592),(36 894.86334),(37 871.6018),(38 884.8515),(39 877.77496),(40 908.0252),(41 895.2003),(42 909.28345),(43 901.1189),(44 918.31885),(45 888.2172),(46 915.46423),(47 900.85333),(48 905.4363),(49 900.02094),(50 882.309),(51 882.06476),(52 868.7712),(53 867.49835),(54 860.67694),(55 864.0343),(56 858.3428),(57 875.62006),(58 868.4896),(59 885.20416),(60 877.2396),(61 897.6433),(62 887.5862),(63 914.3243),(64 919.4306),(65 945.28284),(66 930.9051),(67 955.51306),(68 902.8642),(69 904.25006),(70 887.63806),(71 906.30457),(72 882.4691),(73 901.88416),(74 880.8024),(75 892.21295),(76 883.85016),(77 901.81213),(78 870.141),(79 919.89484),
(1 486.36685),(2 597.3826),(3 634.21533),(4 675.2795),(5 687.5966),(6 721.5822),(7 729.48883),(8 772.43085),(9 781.77783),(10 811.061),(11 804.0701),(12 843.2387),(13 850.95624),(14 874.0282),(15 848.78766),(16 873.1705),(17 843.14526),(18 868.3055),(19 862.67285),(20 884.76904),(21 874.09375),(22 878.18176),(23 870.0747),(24 897.17706),(25 874.4096),(26 881.455),(27 872.3758),(28 886.7716),(29 877.5866),(30 900.66943),(31 877.24615),(32 907.65845),(33 891.5125),(34 904.39844),(35 883.8671),(36 905.79596),(37 898.4057),(38 897.0087),(39 880.7325),(40 906.22266),(41 894.71716),(42 913.7678),(43 901.84265),(44 922.34735),(45 906.9813),(46 923.83093),(47 920.073),(48 916.17004),(49 905.9055),(50 887.42377),(51 887.18036),(52 869.3067),(53 862.92),(54 838.01245),(55 848.5721),(56 845.5519),(57 856.1226),(58 848.6899),(59 873.8649),(60 868.4876),(61 880.0792),(62 866.64276),(63 898.32837),(64 904.7393),(65 935.6653),(66 927.5168),(67 961.52734),(68 926.87634),(69 943.0962),(70 930.56116),(71 935.14343),(72 917.0586),(73 926.2407),(74 897.00604),(75 918.9748),(76 901.52216),(77 919.2097),(78 899.5369),(79 925.3691),
(1 480.1912),(2 589.9312),(3 635.98865),(4 677.3769),(5 693.7828),(6 725.1903),(7 738.16846),(8 775.9783),(9 785.4243),(10 813.5238),(11 805.658),(12 831.2437),(13 836.27234),(14 858.08545),(15 835.89746),(16 853.2059),(17 831.0156),(18 846.2744),(19 838.77966),(20 855.763),(21 845.1906),(22 871.8086),(23 857.17035),(24 886.7811),(25 859.01917),(26 884.74176),(27 873.083),(28 881.67456),(29 857.583),(30 892.4621),(31 860.4295),(32 881.78485),(33 857.2765),(34 866.999),(35 851.37286),(36 870.5678),(37 856.01575),(38 862.50836),(39 861.23047),(40 886.36945),(41 875.448),(42 893.42896),(43 880.7084),(44 905.1459),(45 900.9243),(46 925.4587),(47 908.5941),(48 904.92444),(49 908.46295),(50 895.0401),(51 886.8481),(52 862.4264),(53 871.2844),(54 853.18146),(55 869.8462),(56 860.8506),(57 864.1141),(58 859.7006),(59 875.2251),(60 878.21875),(61 897.67334),(62 892.0778),(63 934.2706),(64 933.6803),(65 960.8341),(66 950.1234),(67 970.9506),(68 938.67395),(69 944.16675),(70 921.98206),(71 920.74677),(72 905.849),(73 915.5229),(74 894.9471),(75 902.42285),(76 886.40283),(77 906.3731),(78 889.94684),(79 910.4645),
(1 480.63632),(2 597.5488),(3 634.72986),(4 666.8538),(5 690.7615),(6 719.59894),(7 728.6994),(8 765.41315),(9 775.9322),(10 819.0592),(11 822.727),(12 851.49414),(13 835.7354),(14 848.4959),(15 827.95245),(16 847.0115),(17 826.2758),(18 826.9922),(19 817.9399),(20 845.9883),(21 838.0536),(22 853.02356),(23 834.4008),(24 843.5674),(25 836.0344),(26 850.0325),(27 840.13257),(28 854.06134),(29 839.1497),(30 857.19293),(31 836.37805),(32 861.0552),(33 837.70166),(34 850.35504),(35 832.4661),(36 848.8809),(37 840.2284),(38 861.0452),(39 849.25995),(40 868.5793),(41 858.8067),(42 872.8006),(43 866.7407),(44 890.83923),(45 885.62396),(46 902.3231),(47 884.3211),(48 877.4879),(49 880.9375),(50 866.05237),(51 858.81384),(52 846.86456),(53 846.8914),(54 841.2132),(55 848.68646),(56 836.3937),(57 836.0458),(58 834.9781),(59 849.32886),(60 844.3951),(61 855.6435),(62 846.0272),(63 865.7915),(64 871.6689),(65 906.4766),(66 898.5051),(67 919.99554),(68 880.9061),(69 883.6828),(70 868.6183),(71 871.5904),(72 848.35297),(73 853.0889),(74 839.7985),(75 850.7609),(76 842.6823),(77 848.077),(78 835.4339),(79 847.9271),
(1 470.64377),(2 576.0121),(3 613.9172),(4 640.3486),(5 657.7043),(6 695.69434),(7 700.73456),(8 734.4737),(9 752.08765),(10 784.33923),(11 776.72296),(12 806.01587),(13 818.0948),(14 827.02844),(15 795.58514),(16 819.7205),(17 794.82043),(18 805.83527),(19 795.9095),(20 807.4977),(21 799.89044),(22 811.06445),(23 812.27795),(24 824.7592),(25 811.21313),(26 846.52423),(27 820.7301),(28 834.50244),(29 814.86115),(30 836.0294),(31 823.63184),(32 837.23444),(33 823.8398),(34 834.6717),(35 806.7494),(36 826.03064),(37 825.46313),(38 848.4243),(39 829.0562),(40 848.49097),(41 832.4974),(42 847.7975),(43 841.7803),(44 863.9086),(45 833.71423),(46 862.4575),(47 830.49),(48 836.0131),(49 845.48157),(50 826.4602),(51 830.43585),(52 805.3448),(53 800.1557),(54 795.6492),(55 801.0765),(56 784.83594),(57 798.5177),(58 799.39014),(59 798.4094),(60 802.5735),(61 822.5726),(62 821.1151),(63 851.6097),(64 859.009),(65 880.1975),(66 873.17303),(67 895.20764),(68 861.7861),(69 875.5622),(70 862.5004),(71 870.3274),(72 846.1338),(73 867.1698),(74 841.53784),(75 856.26447),(76 836.18524),(77 851.5803),(78 824.6518),(79 856.90326),
(1 472.0781),(2 579.02924),(3 623.35864),(4 656.66296),(5 670.3616),(6 700.68994),(7 710.1873),(8 752.17706),(9 766.69617),(10 797.0111),(11 789.9817),(12 821.8336),(13 823.63855),(14 830.5041),(15 817.55914),(16 832.33215),(17 803.0587),(18 808.698),(19 803.15845),(20 822.0187),(21 807.93726),(22 826.3335),(23 808.75305),(24 827.86),(25 806.3307),(26 821.0747),(27 802.3399),(28 821.8981),(29 797.1117),(30 815.76447),(31 802.9177),(32 820.72845),(33 804.3207),(34 820.50745),(35 808.0277),(36 827.7647),(37 813.50287),(38 838.34393),(39 818.7903),(40 837.0415),(41 822.2989),(42 839.25726),(43 839.54126),(44 854.6555),(45 836.373),(46 864.27747),(47 841.193),(48 830.56934),(49 837.25433),(50 826.3732),(51 824.5876),(52 817.6219),(53 818.819),(54 804.5366),(55 810.63104),(56 798.56396),(57 813.1068),(58 795.4306),(59 804.1904),(60 796.2039),(61 818.76056),(62 816.7998),(63 845.8035),(64 857.10614),(65 881.83514),(66 869.5221),(67 918.11536),(68 881.07623),(69 889.1646),(70 860.9506),(71 867.45734),(72 848.5055),(73 868.3691),(74 842.23645),(75 843.78796),(76 823.00854),(77 845.949),(78 824.91943),(79 852.7467),
(1 458.0049),(2 568.2665),(3 615.27325),(4 655.0697),(5 669.1097),(6 701.75183),(7 706.5772),(8 743.3865),(9 763.90283),(10 806.752),(11 800.295),(12 818.32794),(13 821.93024),(14 843.7466),(15 821.9656),(16 841.0739),(17 813.6326),(18 831.2868),(19 823.4118),(20 849.3811),(21 831.25946),(22 847.49713),(23 842.8383),(24 857.0989),(25 840.1194),(26 848.1073),(27 824.3611),(28 832.5989),(29 821.7972),(30 841.3694),(31 821.735),(32 846.1098),(33 828.1724),(34 833.34924),(35 818.5575),(36 837.3286),(37 822.495),(38 834.5099),(39 813.8832),(40 836.4377),(41 828.44165),(42 840.5147),(43 843.3539),(44 856.8011),(45 830.60223),(46 867.3869),(47 855.8227),(48 850.7733),(49 852.0978),(50 840.14667),(51 831.0007),(52 814.0989),(53 805.96857),(54 802.7298),(55 802.45953),(56 800.6879),(57 816.294),(58 805.5079),(59 831.3932),(60 822.7911),(61 840.8599),(62 839.1786),(63 871.2596),(64 866.99994),(65 884.84735),(66 879.8278),(67 912.2686),(68 881.9459),(69 890.12366),(70 878.65393),(71 879.4392),(72 860.6066),(73 869.491),(74 858.293),(75 869.26025),(76 842.3668),(77 850.45557),(78 836.7016),(79 865.3686),
(1 456.16928),(2 568.4783),(3 611.9171),(4 646.137),(5 664.17096),(6 689.9305),(7 701.93353),(8 729.198),(9 743.66583),(10 797.4662),(11 789.9315),(12 824.7977),(13 833.9422),(14 850.6685),(15 836.00244),(16 856.0327),(17 832.45557),(18 857.3822),(19 834.2358),(20 847.10876),(21 830.9346),(22 842.74426),(23 827.82983),(24 839.4439),(25 817.1591),(26 853.77277),(27 823.0235),(28 843.8545),(29 822.8995),(30 850.35455),(31 830.3528),(32 846.663),(33 817.9249),(34 838.0055),(35 817.6708),(36 831.1343),(37 822.5925),(38 825.0878),(39 812.0473),(40 827.0833),(41 820.5475),(42 836.059),(43 843.7215),(44 867.4793),(45 855.89386),(46 878.54706),(47 854.9773),(48 844.29034),(49 857.88684),(50 841.34344),(51 842.71875),(52 815.7906),(53 818.9965),(54 811.0609),(55 811.992),(56 803.2666),(57 809.44275),(58 795.50854),(59 820.1883),(60 817.052),(61 837.4695),(62 826.3503),(63 855.97174),(64 863.9524),(65 895.2958),(66 873.73474),(67 903.074),(68 873.1002),(69 892.7062),(70 874.77783),(71 881.0064),(72 860.24225),(73 873.8387),(74 863.36127),(75 867.5046),(76 853.05853),(77 864.1196),(78 841.9408),(79 855.5013),
