1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 877.677),(2 652.7785),(3 1144.9211),(4 809.1644),(5 1246.1613),(6 872.3843),(7 1306.2435),(8 932.1958),(9 1366.7549),(10 985.91003),(11 1400.1311),(12 1012.2522),(13 1423.4816),(14 1057.8087),(15 1501.9507),(16 1138.6157),(17 1563.3644),(18 1211.5725),(19 1657.187),(20 1308.0533),(21 1758.3103),(22 1388.3008),(23 1836.9763),(24 1459.5621),(25 1900.5933),(26 1544.2029),(27 1997.8092),(28 1625.5276),(29 2054.2058),(30 1701.7429),(31 2154.2751),(32 1800.8333),(33 2244.5068),(34 1905.8246),(35 2332.0525),(36 1982.8822),(37 2417.32),(38 2076.2031),(39 2503.4893),(40 2137.1204),(41 2562.4636),(42 2199.7463),(43 2615.0771),(44 2247.9248),(45 2673.2312),(46 2305.6802),(47 2703.59),(48 2296.251),(49 2685.476),(50 2262.284),(51 2636.8696),(52 2226.6023),(53 2600.5962),(54 2207.6597),(55 2555.4634),(56 2125.3833),(57 2493.3796),(58 2101.563),(59 2464.4487),(60 2039.698),(61 2422.0042),(62 2015.9211),(63 2397.1663),(64 1985.8147),(65 2368.3748),(66 1989.1989),(67 2374.2502),(68 1996.2803),(69 2379.5618),(70 1999.869),(71 2395.0461),(72 2008.8206),(73 2413.3894),(74 2034.6963),(75 2439.145),(76 2062.226),(77 2443.3982),(78 2062.0454),(79 2454.185),
(1 899.0951),(2 649.12573),(3 1164.9991),(4 817.0041),(5 1258.8058),(6 881.4641),(7 1326.9115),(8 946.41974),(9 1387.3928),(10 983.75507),(11 1419.5199),(12 1018.4518),(13 1445.4261),(14 1055.2504),(15 1519.8867),(16 1148.3729),(17 1575.0544),(18 1210.4349),(19 1643.2811),(20 1277.9963),(21 1723.018),(22 1356.3308),(23 1805.4187),(24 1438.5471),(25 1891.3822),(26 1511.9496),(27 1970.3318),(28 1582.9803),(29 2032.3916),(30 1673.5522),(31 2127.4773),(32 1773.72),(33 2228.042),(34 1856.3767),(35 2317.647),(36 1963.5443),(37 2400.8086),(38 2033.58),(39 2485.365),(40 2117.2793),(41 2572.3818),(42 2202.0166),(43 2643.325),(44 2273.258),(45 2695.1157),(46 2295.9736),(47 2713.8523),(48 2320.0688),(49 2721.611),(50 2295.5261),(51 2683.5393),(52 2249.559),(53 2618.2158),(54 2198.3098),(55 2590.3772),(56 2149.892),(57 2539.4856),(58 2114.763),(59 2479.3416),(60 2053.028),(61 2458.0525),(62 2027.0269),(63 2423.8157),(64 2002.0254),(65 2404.5425),(66 1996.1584),(67 2392.6555),(68 1988.9603),(69 2408.1755),(70 1998.773),(71 2387.771),(72 1996.4099),(73 2403.6392),(74 2021.6372),(75 2425.4128),(76 2035.5431),(77 2438.3616),(78 2068.4126),(79 2471.684),
(1 865.24994),(2 638.93506),(3 1107.4075),(4 782.7632),(5 1219.3556),(6 853.5797),(7 1271.5725),(8 900.4453),(9 1314.9197),(10 945.92334),(11 1350.1958),(12 985.77),(13 1395.584),(14 1035.0139),(15 1466.3451),(16 1098.0518),(17 1516.4318),(18 1170.1561),(19 1595.8754),(20 1254.3108),(21 1680.8732),(22 1334.1926),(23 1742.3628),(24 1414.242),(25 1836.5042),(26 1491.3918),(27 1922.807),(28 1581.1188),(29 2010.6401),(30 1679.906),(31 2111.2058),(32 1803.1193),(33 2235.6118),(34 1887.6808),(35 2331.9568),(36 2000.6575),(37 2442.0928),(38 2104.28),(39 2534.207),(40 2167.304),(41 2584.9006),(42 2260.6902),(43 2675.574),(44 2324.2075),(45 2718.7537),(46 2372.2964),(47 2763.3198),(48 2378.398),(49 2742.9963),(50 2344.1387),(51 2702.3809),(52 2300.7185),(53 2645.4111),(54 2243.3586),(55 2589.929),(56 2189.792),(57 2551.0398),(58 2128.975),(59 2477.2178),(60 2068.5015),(61 2438.4805),(62 2028.7828),(63 2380.8025),(64 1980.8395),(65 2352.5674),(66 1966.6047),(67 2336.213),(68 1927.5326),(69 2305.267),(70 1937.528),(71 2319.0642),(72 1936.6874),(73 2328.0166),(74 1963.9047),(75 2366.1458),(76 1993.921),(77 2366.142),(78 1992.7236),(79 2367.913),
(1 862.14685),(2 632.2998),(3 1106.2153),(4 766.7066),(5 1202.464),(6 835.52423),(7 1262.8898),(8 878.93945),(9 1299.3662),(10 924.2715),(11 1343.4646),(12 960.5972),(13 1373.4725),(14 1006.4761),(15 1453.3892),(16 1069.0084),(17 1492.3802),(18 1137.7948),(19 1577.5103),(20 1224.5898),(21 1655.3885),(22 1299.3795),(23 1727.8256),(24 1378.5039),(25 1817.4586),(26 1473.2969),(27 1899.6361),(28 1535.6315),(29 1975.0819),(30 1616.949),(31 2048.9153),(32 1714.1395),(33 2143.1099),(34 1798.3428),(35 2231.9802),(36 1877.9794),(37 2312.7793),(38 1984.7008),(39 2396.9216),(40 2018.2699),(41 2458.404),(42 2107.2288),(43 2530.6475),(44 2161.567),(45 2580.9832),(46 2201.4087),(47 2604.294),(48 2203.6074),(49 2587.2952),(50 2170.2136),(51 2560.9546),(52 2125.9185),(53 2494.1506),(54 2084.4011),(55 2441.2654),(56 2022.6575),(57 2398.9846),(58 1965.2375),(59 2322.7966),(60 1906.5388),(61 2289.8445),(62 1874.3353),(63 2274.5605),(64 1863.841),(65 2242.5195),(66 1841.9756),(67 2235.6187),(68 1848.543),(69 2252.2056),(70 1847.0782),(71 2252.24),(72 1881.7968),(73 2295.0159),(74 1919.734),(75 2313.1),(76 1923.3651),(77 2323.404),(78 1928.3641),(79 2304.9546),
(1 849.26324),(2 619.539),(3 1094.3794),(4 747.6515),(5 1176.772),(6 809.1435),(7 1243.3702),(8 880.8808),(9 1291.8696),(10 920.3045),(11 1329.2749),(12 962.7506),(13 1386.2568),(14 1005.58276),(15 1434.2734),(16 1057.4069),(17 1477.5115),(18 1123.0105),(19 1557.8483),(20 1204.2844),(21 1647.9171),(22 1273.5521),(23 1706.5571),(24 1353.4839),(25 1792.4357),(26 1418.7882),(27 1849.9506),(28 1483.3363),(29 1922.7151),(30 1551.5635),(31 2003.3683),(32 1647.1487),(33 2095.8455),(34 1743.4657),(35 2190.8848),(36 1841.2367),(37 2273.3108),(38 1932.551),(39 2355.6045),(40 1994.9088),(41 2423.1882),(42 2072.5635),(43 2500.7302),(44 2121.9854),(45 2537.3398),(46 2157.3591),(47 2568.5513),(48 2168.9028),(49 2557.7334),(50 2159.3743),(51 2537.5261),(52 2107.7925),(53 2475.566),(54 2059.7979),(55 2416.133),(56 1985.3878),(57 2376.3894),(58 1949.2339),(59 2308.4482),(60 1877.729),(61 2287.4146),(62 1853.8696),(63 2248.0056),(64 1833.5908),(65 2220.9639),(66 1817.473),(67 2202.8435),(68 1824.5626),(69 2209.3164),(70 1813.3649),(71 2207.6162),(72 1834.5151),(73 2244.134),(74 1872.1216),(75 2264.7332),(76 1886.3854),(77 2275.8657),(78 1898.6188),(79 2283.7148),
(1 825.1594),(2 591.74066),(3 1056.652),(4 712.64417),(5 1137.0686),(6 791.4684),(7 1200.0673),(8 835.1047),(9 1235.604),(10 878.46265),(11 1272.1044),(12 916.17255),(13 1320.2139),(14 954.2237),(15 1375.0035),(16 1020.9649),(17 1415.0896),(18 1070.9974),(19 1485.6713),(20 1153.0947),(21 1565.5131),(22 1218.5889),(23 1632.1296),(24 1276.5044),(25 1694.2922),(26 1337.0283),(27 1766.439),(28 1403.5221),(29 1831.2639),(30 1487.3462),(31 1923.2456),(32 1596.4141),(33 2014.4175),(34 1681.2515),(35 2114.7188),(36 1771.8857),(37 2198.7673),(38 1889.9698),(39 2290.694),(40 1951.6533),(41 2368.137),(42 2028.6173),(43 2434.4873),(44 2068.3938),(45 2460.292),(46 2093.9058),(47 2484.997),(48 2099.659),(49 2475.841),(50 2080.3442),(51 2436.41),(52 2039.4159),(53 2380.503),(54 1968.8256),(55 2318.9102),(56 1922.6434),(57 2281.3293),(58 1861.4071),(59 2190.478),(60 1781.9177),(61 2145.9143),(62 1739.7422),(63 2084.9353),(64 1685.4386),(65 2034.6674),(66 1661.77),(67 2024.8668),(68 1667.5782),(69 2036.364),(70 1646.8074),(71 2019.313),(72 1659.0529),(73 2038.9312),(74 1686.6837),(75 2075.6777),(76 1718.3503),(77 2098.353),(78 1720.7834),(79 2092.908),
(1 827.3585),(2 602.0885),(3 1067.2505),(4 736.3052),(5 1151.3613),(6 785.5528),(7 1202.4696),(8 838.0604),(9 1249.8512),(10 877.30695),(11 1275.3243),(12 904.6426),(13 1309.2274),(14 931.5497),(15 1349.2649),(16 982.01404),(17 1392.1719),(18 1041.8076),(19 1464.0444),(20 1125.0115),(21 1557.4419),(22 1195.2294),(23 1605.2758),(24 1252.7147),(25 1677.4279),(26 1331.7325),(27 1768.7423),(28 1429.468),(29 1863.9244),(30 1540.0353),(31 1970.5942),(32 1635.5881),(33 2071.46),(34 1716.8767),(35 2139.3574),(36 1789.4117),(37 2235.0322),(38 1892.2416),(39 2293.9238),(40 1955.2611),(41 2360.667),(42 2025.538),(43 2443.813),(44 2086.487),(45 2479.464),(46 2108.1182),(47 2499.952),(48 2107.0146),(49 2470.045),(50 2063.4287),(51 2419.5105),(52 2024.6947),(53 2370.0942),(54 1963.9208),(55 2309.2734),(56 1919.3292),(57 2278.5996),(58 1876.6373),(59 2222.533),(60 1829.2856),(61 2189.2832),(62 1789.455),(63 2143.837),(64 1756.1992),(65 2118.1563),(66 1718.9648),(67 2094.9421),(68 1727.8326),(69 2102.2253),(70 1722.5061),(71 2096.5405),(72 1736.7374),(73 2113.4268),(74 1758.3629),(75 2140.5593),(76 1800.5161),(77 2181.4695),(78 1808.9708),(79 2183.2195),
(1 829.04803),(2 597.5143),(3 1063.9802),(4 728.1677),(5 1145.6211),(6 795.71735),(7 1212.3901),(8 849.9462),(9 1264.0216),(10 902.4748),(11 1297.9973),(12 934.51935),(13 1345.9075),(14 962.60876),(15 1394.7802),(16 1018.56824),(17 1436.9102),(18 1085.4283),(19 1512.1525),(20 1168.0132),(21 1600.488),(22 1244.4208),(23 1667.9169),(24 1309.5313),(25 1718.5188),(26 1371.0065),(27 1797.819),(28 1449.6722),(29 1889.4324),(30 1552.8774),(31 1972.7356),(32 1635.2045),(33 2082.1729),(34 1731.3834),(35 2143.374),(36 1790.0004),(37 2229.5862),(38 1893.5402),(39 2318.1812),(40 1969.1777),(41 2395.9534),(42 2059.4863),(43 2469.3684),(44 2095.1729),(45 2502.0317),(46 2135.0168),(47 2535.6792),(48 2129.227),(49 2512.4912),(50 2110.0657),(51 2467.3037),(52 2059.935),(53 2429.0662),(54 2021.8671),(55 2378.742),(56 1977.7938),(57 2344.8953),(58 1958.9272),(59 2302.669),(60 1894.583),(61 2261.3438),(62 1859.9249),(63 2216.5576),(64 1818.0245),(65 2175.278),(66 1789.2189),(67 2161.896),(68 1762.3597),(69 2154.2214),(70 1778.4626),(71 2156.0278),(72 1789.8903),(73 2180.5388),(74 1820.8098),(75 2196.3694),(76 1853.9235),(77 2252.2607),(78 1874.366),(79 2232.4058),
(1 822.1031),(2 588.26154),(3 1037.8026),(4 704.6026),(5 1122.5692),(6 764.27124),(7 1176.2861),(8 819.92267),(9 1229.3751),(10 866.83075),(11 1267.2972),(12 904.16595),(13 1310.876),(14 938.58606),(15 1362.9503),(16 985.33344),(17 1403.9353),(18 1046.574),(19 1459.4537),(20 1109.7925),(21 1529.0547),(22 1176.3865),(23 1595.0768),(24 1244.5422),(25 1668.9977),(26 1319.8644),(27 1748.0333),(28 1402.6494),(29 1836.3588),(30 1521.5223),(31 1944.848),(32 1603.8313),(33 2033.4646),(34 1679.7539),(35 2113.4353),(36 1777.697),(37 2223.0073),(38 1889.1604),(39 2313.2385),(40 1970.3865),(41 2402.3545),(42 2052.314),(43 2470.8232),(44 2091.6213),(45 2499.4146),(46 2123.6711),(47 2502.108),(48 2107.0764),(49 2477.0325),(50 2079.179),(51 2434.1624),(52 2012.6589),(53 2361.4338),(54 1945.1477),(55 2289.5283),(56 1874.4318),(57 2230.7004),(58 1817.1326),(59 2161.987),(60 1751.5752),(61 2126.6409),(62 1713.7063),(63 2081.3508),(64 1693.8469),(65 2063.378),(66 1674.2749),(67 2055.6206),(68 1666.6771),(69 2061.1577),(70 1682.5311),(71 2062.4238),(72 1703.926),(73 2102.3013),(74 1737.6056),(75 2127.6191),(76 1764.499),(77 2160.116),(78 1803.4548),(79 2188.943),
(1 796.05426),(2 571.18),(3 1020.0874),(4 694.36816),(5 1094.6678),(6 760.1274),(7 1150.631),(8 809.5457),(9 1206.8795),(10 860.3035),(11 1236.4937),(12 886.17413),(13 1276.9696),(14 907.83356),(15 1314.9652),(16 954.01935),(17 1341.3097),(18 1011.1188),(19 1400.1519),(20 1076.1469),(21 1471.8053),(22 1132.6409),(23 1538.4027),(24 1197.7072),(25 1592.2249),(26 1257.8807),(27 1654.7252),(28 1315.5096),(29 1723.4609),(30 1400.652),(31 1804.5978),(32 1467.7864),(33 1881.9742),(34 1548.9954),(35 1960.9271),(36 1631.5364),(37 2060.3457),(38 1734.1093),(39 2138.5837),(40 1799.4374),(41 2207.7852),(42 1877.2014),(43 2273.6528),(44 1934.8887),(45 2312.7627),(46 1956.5205),(47 2332.217),(48 1956.7285),(49 2306.668),(50 1935.8972),(51 2281.8198),(52 1895.0939),(53 2237.9338),(54 1848.1167),(55 2169.9404),(56 1771.9465),(57 2111.916),(58 1725.4368),(59 2062.343),(60 1673.1428),(61 2010.8269),(62 1622.523),(63 1958.8724),(64 1587.8058),(65 1931.0919),(66 1564.191),(67 1927.6677),(68 1559.1792),(69 1917.1427),(70 1560.2439),(71 1927.5968),(72 1578.3485),(73 1937.2651),(74 1595.6072),(75 1980.4514),(76 1649.207),(77 2031.0642),(78 1688.9098),(79 2055.6687),
(1 796.9022),(2 567.7531),(3 999.9726),(4 676.6336),(5 1079.2817),(6 738.38324),(7 1138.1606),(8 781.354),(9 1188.3914),(10 827.1547),(11 1200.3423),(12 844.98035),(13 1230.606),(14 870.67645),(15 1265.7736),(16 906.6752),(17 1306.6248),(18 976.53546),(19 1361.0868),(20 1024.2448),(21 1421.4248),(22 1078.5212),(23 1479.763),(24 1137.7479),(25 1542.6445),(26 1206.7173),(27 1622.0812),(28 1267.7104),(29 1666.6168),(30 1333.8126),(31 1730.9099),(32 1390.4867),(33 1802.06),(34 1468.9814),(35 1865.1316),(36 1528.4896),(37 1946.5837),(38 1623.1768),(39 2020.6844),(40 1673.2755),(41 2085.5535),(42 1763.2367),(43 2144.3345),(44 1807.468),(45 2197.8003),(46 1838.6346),(47 2217.5613),(48 1845.8884),(49 2213.8228),(50 1855.8276),(51 2209.952),(52 1830.2996),(53 2176.904),(54 1787.2891),(55 2120.8694),(56 1728.8776),(57 2067.9724),(58 1680.3263),(59 2016.8124),(60 1624.4254),(61 1966.3535),(62 1581.7278),(63 1925.5968),(64 1553.3871),(65 1893.1344),(66 1503.5856),(67 1865.4048),(68 1507.5554),(69 1865.6531),(70 1509.8091),(71 1861.7385),(72 1521.3481),(73 1875.7354),(74 1546.0057),(75 1922.2755),(76 1581.3583),(77 1959.2103),(78 1614.4772),(79 1980.7444),
(1 782.6383),(2 549.3462),(3 995.0684),(4 663.73706),(5 1067.1802),(6 728.1611),(7 1120.3293),(8 772.9333),(9 1167.7345),(10 815.4059),(11 1190.0378),(12 832.72986),(13 1225.7686),(14 865.7042),(15 1265.0929),(16 898.4295),(17 1301.0397),(18 958.1636),(19 1354.8403),(20 1024.9862),(21 1430.7488),(22 1079.4762),(23 1469.4008),(24 1121.5424),(25 1534.305),(26 1192.9758),(27 1591.6672),(28 1258.0051),(29 1665.698),(30 1343.2292),(31 1753.4957),(32 1428.464),(33 1825.8711),(34 1498.6687),(35 1901.9729),(36 1583.7748),(37 1993.0055),(38 1664.9834),(39 2047.5393),(40 1718.4052),(41 2116.8584),(42 1807.7767),(43 2189.0598),(44 1851.6312),(45 2241.5457),(46 1890.2336),(47 2263.255),(48 1894.3745),(49 2255.154),(50 1872.7662),(51 2217.364),(52 1815.1261),(53 2155.6597),(54 1759.8136),(55 2090.2634),(56 1694.5094),(57 2033.1521),(58 1631.3402),(59 1963.2129),(60 1565.1968),(61 1924.0574),(62 1534.1282),(63 1874.2249),(64 1488.8787),(65 1834.0612),(66 1461.4617),(67 1824.1433),(68 1451.1047),(69 1811.7738),(70 1458.041),(71 1820.1729),(72 1463.1615),(73 1833.9227),(74 1480.9701),(75 1866.7262),(76 1518.3838),(77 1900.4832),(78 1545.3169),(79 1914.1788),
(1 793.3243),(2 558.20703),(3 1000.4898),(4 667.3333),(5 1068.3717),(6 727.6184),(7 1135.1512),(8 780.4379),(9 1165.9299),(10 812.8942),(11 1195.4932),(12 839.3969),(13 1229.9469),(14 885.1142),(15 1283.8408),(16 927.0448),(17 1309.011),(18 978.31714),(19 1384.172),(20 1048.3422),(21 1458.7426),(22 1103.7428),(23 1493.4778),(24 1141.6196),(25 1537.6089),(26 1194.0734),(27 1607.7035),(28 1257.5569),(29 1661.5221),(30 1323.6628),(31 1740.7401),(32 1414.8062),(33 1825.232),(34 1491.4889),(35 1912.099),(36 1586.846),(37 1996.1567),(38 1666.2166),(39 2069.1042),(40 1732.1975),(41 2140.145),(42 1815.4275),(43 2211.8804),(44 1865.2393),(45 2236.6567),(46 1890.1259),(47 2262.0808),(48 1886.3069),(49 2246.7622),(50 1857.7866),(51 2207.0967),(52 1812.1226),(53 2152.6543),(54 1747.7319),(55 2091.277),(56 1692.417),(57 2037.8928),(58 1626.9958),(59 1975.716),(60 1583.0859),(61 1942.7278),(62 1534.115),(63 1879.2975),(64 1488.5577),(65 1855.7307),(66 1486.016),(67 1844.0599),(68 1486.9661),(69 1862.8682),(70 1491.9178),(71 1861.0874),(72 1507.5854),(73 1876.4214),(74 1528.1642),(75 1904.2539),(76 1563.1797),(77 1933.2118),(78 1589.2189),(79 1953.6155),
(1 780.5085),(2 550.4564),(3 996.3915),(4 670.31525),(5 1069.0945),(6 723.4444),(7 1113.086),(8 762.8656),(9 1145.7179),(10 788.19904),(11 1163.268),(12 814.5918),(13 1196.0115),(14 840.5094),(15 1223.2057),(16 869.6381),(17 1247.2589),(18 919.7074),(19 1311.7084),(20 988.93225),(21 1391.645),(22 1042.3582),(23 1439.6267),(24 1106.2808),(25 1507.5421),(26 1171.3533),(27 1567.983),(28 1233.6477),(29 1637.0088),(30 1325.0658),(31 1737.0337),(32 1422.4092),(33 1814.8156),(34 1484.712),(35 1891.1738),(36 1564.8956),(37 1965.3032),(38 1644.4457),(39 2047.178),(40 1699.9762),(41 2097.6165),(42 1765.9454),(43 2162.771),(44 1811.8688),(45 2187.9573),(46 1852.0223),(47 2216.1467),(48 1827.406),(49 2184.0278),(50 1815.8289),(51 2147.7307),(52 1762.2062),(53 2090.2134),(54 1699.4824),(55 2041.782),(56 1660.804),(57 1999.5162),(58 1624.8208),(59 1950.4221),(60 1572.8765),(61 1923.3859),(62 1546.1606),(63 1872.9712),(64 1502.4149),(65 1863.9469),(66 1506.6793),(67 1859.8469),(68 1510.8802),(69 1871.0957),(70 1506.3364),(71 1854.718),(72 1510.0627),(73 1870.9788),(74 1529.8527),(75 1921.8596),(76 1576.0605),(77 1937.9113),(78 1593.6405),(79 1940.3337),
(1 758.2396),(2 524.17035),(3 954.1721),(4 635.11176),(5 1019.6807),(6 690.00006),(7 1073.1404),(8 734.19965),(9 1118.6558),(10 771.6729),(11 1144.2902),(12 798.8784),(13 1178.5851),(14 831.76263),(15 1231.7527),(16 875.4411),(17 1248.2357),(18 922.2936),(19 1311.1624),(20 980.1318),(21 1368.3467),(22 1026.5111),(23 1416.5608),(24 1083.7955),(25 1472.248),(26 1142.5314),(27 1533.0516),(28 1197.0898),(29 1584.6184),(30 1261.5723),(31 1648.9336),(32 1339.0814),(33 1717.2183),(34 1386.8474),(35 1771.6874),(36 1449.5618),(37 1841.1111),(38 1527.14),(39 1913.3922),(40 1569.2014),(41 1968.8557),(42 1635.3314),(43 2006.108),(44 1675.8297),(45 2035.1873),(46 1675.8081),(47 2038.4615),(48 1666.8574),(49 2032.1484),(50 1646.7869),(51 1995.4208),(52 1614.8401),(53 1948.081),(54 1550.3235),(55 1893.7919),(56 1517.2306),(57 1849.9364),(58 1479.427),(59 1823.0638),(60 1455.3857),(61 1798.79),(62 1423.7217),(63 1766.5709),(64 1406.3375),(65 1751.5245),(66 1400.1611),(67 1752.3944),(68 1395.1903),(69 1753.9304),(70 1393.6375),(71 1754.3674),(72 1411.3767),(73 1778.5687),(74 1441.5275),(75 1807.5908),(76 1459.8062),(77 1821.5636),(78 1465.5482),(79 1808.0792),
(1 759.85156),(2 533.7957),(3 955.9536),(4 636.52747),(5 1031.3547),(6 686.51184),(7 1061.8958),(8 720.3703),(9 1104.0846),(10 752.98346),(11 1126.1908),(12 781.736),(13 1154.7717),(14 809.44904),(15 1193.9761),(16 852.3366),(17 1237.0717),(18 903.68317),(19 1297.3748),(20 966.4616),(21 1357.1843),(22 1016.0175),(23 1382.8086),(24 1050.4182),(25 1437.7252),(26 1095.9359),(27 1492.3126),(28 1157.649),(29 1550.9348),(30 1235.2806),(31 1624.8092),(32 1295.5317),(33 1681.5559),(34 1353.9812),(35 1746.7229),(36 1413.6575),(37 1814.9198),(38 1482.5122),(39 1870.4263),(40 1523.8197),(41 1907.9052),(42 1573.5787),(43 1943.1508),(44 1604.9187),(45 1971.467),(46 1616.6779),(47 1977.314),(48 1606.1433),(49 1956.2104),(50 1578.2871),(51 1910.145),(52 1538.519),(53 1871.4535),(54 1494.6157),(55 1833.016),(56 1461.5028),(57 1812.4609),(58 1442.3374),(59 1777.6748),(60 1425.6566),(61 1782.3165),(62 1425.3889),(63 1775.1195),(64 1417.8176),(65 1762.4966),(66 1420.2269),(67 1770.4518),(68 1420.4126),(69 1772.8208),(70 1406.9053),(71 1767.2819),(72 1426.3158),(73 1769.7567),(74 1440.8613),(75 1812.3782),(76 1480.3003),(77 1844.6543),(78 1492.0808),(79 1846.865),
(1 740.6668),(2 511.53467),(3 936.0011),(4 600.77856),(5 995.93555),(6 652.9977),(7 1020.6386),(8 677.9719),(9 1056.2769),(10 713.92725),(11 1080.6766),(12 738.0006),(13 1110.1189),(14 769.2613),(15 1158.1748),(16 817.91705),(17 1189.6776),(18 863.1581),(19 1244.6777),(20 921.98376),(21 1303.2549),(22 969.0698),(23 1349.7766),(24 1009.6097),(25 1400.4807),(26 1052.3214),(27 1443.2865),(28 1093.6921),(29 1472.8634),(30 1155.3951),(31 1544.4417),(32 1226.5365),(33 1608.115),(34 1284.8074),(35 1667.5654),(36 1339.3737),(37 1729.8792),(38 1400.3269),(39 1786.356),(40 1441.8157),(41 1823.0507),(42 1496.2828),(43 1868.3618),(44 1520.098),(45 1890.1925),(46 1539.5416),(47 1904.1451),(48 1535.4456),(49 1881.259),(50 1520.7819),(51 1855.6041),(52 1485.0927),(53 1815.3339),(54 1442.8862),(55 1769.2689),(56 1405.4904),(57 1748.4512),(58 1375.3175),(59 1703.4229),(60 1347.9213),(61 1697.2198),(62 1336.0815),(63 1686.4595),(64 1331.5126),(65 1675.1324),(66 1320.5262),(67 1670.2476),(68 1327.6567),(69 1665.7784),(70 1320.6006),(71 1673.0208),(72 1330.426),(73 1665.9236),(74 1339.9387),(75 1689.2738),(76 1364.4946),(77 1710.786),(78 1362.9083),(79 1709.083),
