1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 49284.375),(2 96458.09),(3 132861.31),(4 227479.48),(5 309642.72),(6 377947.75),(7 518514.66),(8 634658.44),(9 740504.3),(10 916718.75),(11 1077618.6),(12 1240973.4),(13 1476701.6),(14 1686267),(15 1898103.4),(16 2183160.8),(17 2438757),(18 2681936.3),(19 3010952),(20 3309466.8),(21 3612522),(22 4013639.3),(23 4394207.5),(24 4772670.5),(25 5224009),(26 5650327.5),(27 6083523.5),(28 6580456),(29 7037840),(30 7476033.5),(31 7971717.5),(32 8436084),(33 8886724),(34 9418528),(35 9931347),(36 10414029),(37 10998777),(38 11540769),(39 12068421),(40 12650871),(41 13201667),(42 13691785),(43 14218903),(44 14689253),(45 15110588),(46 15751609),(47 16438333),(48 16916222),(49 17529914),(50 18037394),(51 18437626),(52 18942094),(53 19417150),(54 19759846),(55 20191452),(56 20575248),(57 20833854),(58 21150550),(59 21478314),(60 21682490),(61 22000558),(62 22289290),(63 22411046),(64 22662104),(65 22884266),(66 22993544),(67 23191722),(68 23357574),(69 23438896),(70 23538610),(71 23694266),(72 23763792),(73 23940630),(74 24166198),(75 24318738),(76 24584320),(77 24890186),(78 25021002),(79 25287542),
(1 13380.241),(2 46041.95),(3 89202.28),(4 134412.3),(5 175228.66),(6 208812.55),(7 234737.53),(8 254040.22),(9 264900.1),(10 269918.3),(11 272122.2),(12 273009.2),(13 272714.78),(14 274496.97),(15 276286.34),(16 277315.06),(17 277928),(18 275934.25),(19 272928.16),(20 269312.22),(21 266399.6),(22 264905.75),(23 266259.66),(24 272385.22),(25 281923.9),(26 293022.7),(27 305522.22),(28 317221.13),(29 329062.56),(30 340016.28),(31 349318.47),(32 357306.63),(33 363442.3),(34 367515.66),(35 368797.25),(36 367338.47),(37 361659.38),(38 350570.34),(39 335550.56),(40 319211.22),(41 304816.88),(42 294482.34),(43 289376.1),(44 288216.28),(45 291177.53),(46 297852.88),(47 307578.03),(48 316711.5),(49 323860.84),(50 330232.44),(51 335185.5),(52 338385.16),(53 339461.22),(54 339630.03),(55 339284.34),(56 338854.1),(57 339082.1),(58 338899.03),(59 338362.13),(60 337048.63),(61 334356.66),(62 330842.84),(63 327305),(64 323846.72),(65 322473.53),(66 323625.97),(67 327442.8),(68 331429.3),(69 335942.03),(70 341275.7),(71 346595.06),(72 350621.22),(73 353596.5),(74 356504.94),(75 360326.25),(76 363623.44),(77 366258.4),(78 368679.72),(79 370343.13),
(1 12078.145),(2 41032.99),(3 78682.57),(4 118289.5),(5 154893.89),(6 185747.11),(7 208572.69),(8 223808.6),(9 231551.77),(10 235037.72),(11 238841.78),(12 243971.17),(13 250421.78),(14 257400.17),(15 263563.88),(16 267222.94),(17 269545.6),(18 269822.16),(19 268637.1),(20 264781.78),(21 262375.88),(22 261977.17),(23 262175.16),(24 263991.5),(25 267440.06),(26 270733.1),(27 272807.6),(28 274471.28),(29 277763.06),(30 282416.38),(31 286673.78),(32 291969.16),(33 295850.56),(34 297442.28),(35 296478),(36 292691.06),(37 286672.88),(38 278595.13),(39 268425.34),(40 258180),(41 251270.83),(42 247119.47),(43 245573.14),(44 247063.83),(45 249756.69),(46 254375.94),(47 259548.61),(48 263190.63),(49 266491.25),(50 269346.88),(51 272584.72),(52 275853.38),(53 281755.06),(54 288291.38),(55 295832.5),(56 301933.16),(57 305970.7),(58 307141.28),(59 306191.13),(60 304044.16),(61 302409.28),(62 299686.72),(63 296395.16),(64 295387.53),(65 297681.03),(66 302440.94),(67 309885.4),(68 316622.63),(69 321989),(70 328117.66),(71 334378.8),(72 338972.63),(73 341246.28),(74 341135.25),(75 341543.88),(76 342786.38),(77 343877.06),(78 346093.5),(79 348728.44),
(1 11831.195),(2 39455.29),(3 75099.07),(4 111922.97),(5 145061.25),(6 172370.92),(7 191278.22),(8 200595.95),(9 204114.9),(10 205036.48),(11 206997.78),(12 211725.5),(13 217695.83),(14 226013.38),(15 233764.48),(16 237985.67),(17 239116.2),(18 236874.08),(19 233677.25),(20 230447.36),(21 229938.3),(22 233136.5),(23 237848.17),(24 242250.17),(25 247454.03),(26 253222.64),(27 257544.1),(28 260162.55),(29 262589.44),(30 265421.38),(31 268527.63),(32 271371.25),(33 272766.22),(34 271987.06),(35 270735.94),(36 268235.53),(37 263953.7),(38 259184),(39 255994.31),(40 252719.08),(41 250480.47),(42 247714.81),(43 245986.1),(44 244702.58),(45 244215.86),(46 244721.89),(47 246329.48),(48 249099.3),(49 253438.31),(50 259627.05),(51 268272.03),(52 276449.03),(53 284314.8),(54 289520.66),(55 294519.97),(56 295848.2),(57 294858.53),(58 292017.5),(59 288970.2),(60 286326.1),(61 285900.94),(62 285682.9),(63 287972.8),(64 291330.38),(65 296102.13),(66 300593.2),(67 305038.9),(68 307041.63),(69 307617.53),(70 309979.4),(71 312795.25),(72 314650.97),(73 314754.25),(74 313235.66),(75 313045.25),(76 312073.7),(77 309857.2),(78 305668.75),(79 300534.7),
(1 11512.754),(2 38593.598),(3 72774.13),(4 106987.38),(5 136462.45),(6 159237.92),(7 174675),(8 182782.64),(9 187229.45),(10 189325.77),(11 192749.31),(12 197847.25),(13 202713.86),(14 209276.23),(15 216428.86),(16 222219.66),(17 226581.28),(18 227667.06),(19 228992.16),(20 231182.83),(21 234386.67),(22 239873.31),(23 247406.61),(24 253815.7),(25 258615.2),(26 260965.92),(27 260778.45),(28 258858.86),(29 257031.95),(30 254800.8),(31 252798.6),(32 252174.77),(33 251014.72),(34 249853.28),(35 249126.95),(36 248086.6),(37 243790.61),(38 238238.53),(39 234142.94),(40 230422.83),(41 228378.88),(42 226883.33),(43 225105.44),(44 223402.23),(45 223477.44),(46 223152.38),(47 224641.28),(48 226243.63),(49 227604.23),(50 230305.13),(51 233954.83),(52 237958.75),(53 242406.56),(54 246001.13),(55 251050.19),(56 253775.73),(57 253717.6),(58 253406.4),(59 252972.9),(60 253115.95),(61 253610.11),(62 254598.3),(63 255934.9),(64 257366.19),(65 260182.77),(66 263573.22),(67 267517.56),(68 270661.72),(69 271914.53),(70 272848.6),(71 273078.5),(72 272368.22),(73 271346.1),(74 270842.1),(75 272552.16),(76 274143.94),(77 275087.22),(78 276330.3),(79 279248.9),
(1 11433.475),(2 37967.758),(3 71019.33),(4 103360.28),(5 130578.63),(6 150434.73),(7 162474.38),(8 168345.55),(9 171787.14),(10 173863.86),(11 176345.42),(12 179275.9),(13 183216.25),(14 188223.6),(15 193756.66),(16 197732.92),(17 199295.75),(18 198915.14),(19 198991.44),(20 198469.89),(21 198576.34),(22 201275.83),(23 206937.92),(24 213739.16),(25 219966.27),(26 225076.33),(27 227597.81),(28 227634.25),(29 227117.6),(30 227955.67),(31 230138.25),(32 231898.16),(33 232124.7),(34 231347.95),(35 230098.86),(36 228354.66),(37 226874.97),(38 225936.58),(39 226374.25),(40 227055.63),(41 229951.4),(42 233857.45),(43 236154.86),(44 236245.67),(45 235725.95),(46 234536.22),(47 232153.84),(48 230705.3),(49 231622.81),(50 234010.11),(51 236989.25),(52 240983.27),(53 246139.97),(54 249939.25),(55 253766.3),(56 255497.27),(57 255389.73),(58 255271.7),(59 255668.84),(60 257878.66),(61 260021.34),(62 261959.55),(63 263677.84),(64 265062.1),(65 266675.22),(66 268135.22),(67 268347.1),(68 268821.25),(69 269083),(70 268522.5),(71 267476.53),(72 265790.28),(73 265537.9),(74 266883.1),(75 269222.8),(76 271104.1),(77 273752.72),(78 277012.13),(79 281508.1),
(1 11286.955),(2 37700.1),(3 70839.22),(4 104052.95),(5 132559.72),(6 154584.55),(7 169392.89),(8 176569.02),(9 179384.05),(10 179886.9),(11 179756.83),(12 180212.4),(13 181259.4),(14 184022.77),(15 187781.3),(16 190438.88),(17 191031.1),(18 190119.72),(19 189735.94),(20 190620.83),(21 193791.97),(22 198735.08),(23 204068.55),(24 209832.97),(25 216418.66),(26 222679.1),(27 226810.66),(28 228561.52),(29 229938.7),(30 233034.58),(31 236808.78),(32 238116.94),(33 236808.64),(34 235752.13),(35 232821.84),(36 228591.67),(37 223778.16),(38 218910.25),(39 216590.17),(40 215454),(41 216946.73),(42 221524.66),(43 226319.02),(44 230863.23),(45 234326.48),(46 235889.22),(47 235222.23),(48 232912.98),(49 231421.52),(50 232531.3),(51 234178.81),(52 236006.69),(53 239185.88),(54 241769.97),(55 243935.22),(56 243227.19),(57 240831.6),(58 238421.63),(59 237520.08),(60 238167.84),(61 238966.23),(62 239586.2),(63 240698.83),(64 241545.64),(65 242714.45),(66 244410.77),(67 245146.78),(68 245188.89),(69 244990.89),(70 246880.89),(71 249331.56),(72 250898.66),(73 253488.53),(74 256024.05),(75 258235.02),(76 258662.94),(77 257640.61),(78 256818.73),(79 258046.16),
(1 10682.312),(2 35665.89),(3 66913.51),(4 98312.04),(5 126132.984),(6 147594.42),(7 161087.86),(8 167689.45),(9 171935.83),(10 173604.45),(11 176346.86),(12 180133.77),(13 183310.7),(14 187346.22),(15 189259.73),(16 188724.1),(17 187510.97),(18 186606.36),(19 188764.06),(20 192937),(21 197647.06),(22 203343.97),(23 207269.73),(24 209663.14),(25 212130.9),(26 214335.31),(27 214817.9),(28 214698.3),(29 215054.56),(30 217243.19),(31 220030.86),(32 220873.9),(33 221800.27),(34 222176.5),(35 221515.5),(36 221539.66),(37 222793.61),(38 225396.77),(39 227555.66),(40 228130.63),(41 229140.94),(42 229554.52),(43 227278.8),(44 224111.88),(45 222350.55),(46 220290.27),(47 220763.33),(48 222814),(49 226071.36),(50 229567.2),(51 231706.69),(52 232928.8),(53 233437.03),(54 232406.97),(55 233464.2),(56 232731.38),(57 232895.73),(58 234419.16),(59 237460.22),(60 240590.63),(61 243272.39),(62 246172.94),(63 249393.53),(64 251057.92),(65 252671.56),(66 253825.44),(67 254923.33),(68 254856.03),(69 255262.86),(70 257810.5),(71 261920.64),(72 266124.94),(73 270815.3),(74 274019.72),(75 276892.66),(76 276967),(77 276474.1),(78 274382.13),(79 274991.9),
(1 11594.85),(2 38920.3),(3 72465.33),(4 105273.05),(5 132036.77),(6 151351.42),(7 161947.61),(8 163619.13),(9 162179.5),(10 159831.34),(11 159848.02),(12 162410.89),(13 165618.03),(14 171206.36),(15 175375.2),(16 175611.86),(17 174362.9),(18 172713.45),(19 173761.81),(20 175747.8),(21 178675.36),(22 181834.72),(23 184398.67),(24 185905.22),(25 186869.33),(26 188173.61),(27 188609.08),(28 188964.92),(29 191169.06),(30 196277.06),(31 201153.02),(32 203083.81),(33 203988.6),(34 204545.86),(35 203633.9),(36 201937.33),(37 199299.02),(38 196581.11),(39 194142.02),(40 191895.77),(41 191868.78),(42 192926.64),(43 192772.84),(44 193664.48),(45 196968.97),(46 201033.84),(47 205986.4),(48 210569.42),(49 214484.78),(50 218834.89),(51 222374.98),(52 224574.34),(53 226435.02),(54 227622.6),(55 229626.02),(56 229583.02),(57 230161.13),(58 231710.72),(59 232849.8),(60 233484.92),(61 232841.56),(62 231858.48),(63 231246.84),(64 230985.22),(65 232189.13),(66 234245.33),(67 236582.19),(68 239169.52),(69 243081.31),(70 247131.47),(71 250713.66),(72 252349.75),(73 253132.38),(74 253338.44),(75 254143.55),(76 252664),(77 251246.39),(78 249237.56),(79 248365.13),
(1 10893.705),(2 36706.816),(3 67059.91),(4 95148.07),(5 118619.516),(6 136740.38),(7 147523.44),(8 152734.84),(9 155226.78),(10 156102.3),(11 157255.03),(12 158528.06),(13 160341.73),(14 164626.34),(15 169557.2),(16 173578.86),(17 176172.36),(18 176542.72),(19 177182.81),(20 176440.53),(21 174619.1),(22 173592.77),(23 171823.83),(24 169644.19),(25 169993.3),(26 173055.9),(27 175794.23),(28 178074.17),(29 180022.4),(30 181076.11),(31 180994.22),(32 178873.33),(33 176587.39),(34 174369.47),(35 172768.73),(36 172728.92),(37 172780.02),(38 172817.95),(39 173456.17),(40 173821.55),(41 174686.44),(42 175462.78),(43 175190.83),(44 174918.53),(45 175487.53),(46 175239.84),(47 176265.94),(48 179850.08),(49 184100.63),(50 189053.58),(51 192378.97),(52 195756.1),(53 199308.84),(54 202200.67),(55 206359),(56 207132.17),(57 205717.23),(58 202978.23),(59 199534.28),(60 195240.47),(61 190957.28),(62 189875.14),(63 191222.3),(64 193410.97),(65 197406.58),(66 202345.42),(67 206447.19),(68 209344.1),(69 211201.78),(70 212289.05),(71 213394.36),(72 214021.23),(73 213739.81),(74 213531.36),(75 214998.33),(76 215311.27),(77 215063.5),(78 215120.58),(79 217914.81),
(1 10650.468),(2 35372.934),(3 65412.246),(4 93961.06),(5 117901.13),(6 135507.89),(7 144739.1),(8 148804.56),(9 151011.27),(10 152106.64),(11 154091.8),(12 155214.03),(13 155114.34),(14 156099.02),(15 156615.86),(16 154917.66),(17 153676.2),(18 152256.56),(19 152267.06),(20 153981.53),(21 156467.89),(22 159656.52),(23 162575.3),(24 165113.92),(25 166717.22),(26 168120.72),(27 170271.92),(28 173496.73),(29 177635.27),(30 182835.23),(31 187371.44),(32 189369.23),(33 190563.78),(34 190962.72),(35 190768.38),(36 191362.64),(37 191287.61),(38 191072.36),(39 191672.23),(40 191558.14),(41 192938.67),(42 195202.8),(43 197015.7),(44 197262.39),(45 196980.61),(46 196689.5),(47 195970.5),(48 192837.7),(49 187615.86),(50 184692.08),(51 182564.33),(52 180705.17),(53 180107.28),(54 180280.86),(55 181245.8),(56 181231.58),(57 181983.67),(58 183563.14),(59 184506.84),(60 184082.73),(61 183062.17),(62 183552.11),(63 186176.23),(64 189064.31),(65 193032.55),(66 197249.58),(67 199063.48),(68 199520.86),(69 201458.69),(70 205749.28),(71 210311.95),(72 213723.56),(73 217420.44),(74 220619.86),(75 223051.06),(76 224327.86),(77 226793.44),(78 231012),(79 234778.52),
(1 10535.325),(2 34476.984),(3 62188.39),(4 87205.42),(5 106837.69),(6 119517.95),(7 125309.01),(8 127970.37),(9 129489.98),(10 130576.92),(11 132492.33),(12 134878.28),(13 136457),(14 139336.81),(15 141068.7),(16 142797.45),(17 145120.4),(18 147308.08),(19 149942.48),(20 151191.63),(21 150759.7),(22 150373.47),(23 150117.3),(24 150702.11),(25 151880.92),(26 152284.3),(27 152308.16),(28 152844.53),(29 153426.1),(30 154202.16),(31 153697.94),(32 152529.84),(33 151979.47),(34 151636.98),(35 151316.58),(36 151402.73),(37 150566.4),(38 149013.42),(39 147722.63),(40 146902),(41 147861.4),(42 150529.44),(43 152128.3),(44 152028.33),(45 151364.6),(46 150632.16),(47 150364.39),(48 151826.86),(49 154350.64),(50 156240.5),(51 157931.84),(52 160092.42),(53 163697.44),(54 167396.31),(55 170886.25),(56 172549.95),(57 172015.6),(58 169280.89),(59 166633.75),(60 166474.86),(61 167234.22),(62 167366.05),(63 167134.05),(64 167746.92),(65 168995.61),(66 170572.11),(67 172634.16),(68 176648.6),(69 181448.17),(70 185883.77),(71 188499.98),(72 188890.89),(73 190143.9),(74 192089.86),(75 194201.98),(76 195515.98),(77 196394.16),(78 197315.75),(79 198557.81),
(1 10389.569),(2 33709.113),(3 60934.383),(4 85166.766),(5 104144.02),(6 117457.94),(7 125030.664),(8 129701.93),(9 133128.5),(10 134674.69),(11 137187.47),(12 141360.22),(13 146154.52),(14 152976.92),(15 159938.78),(16 166239.78),(17 171339.73),(18 174933.86),(19 178145.6),(20 179484.81),(21 177033.69),(22 174634.69),(23 173975.58),(24 174099.86),(25 175895.16),(26 178658.95),(27 182056.88),(28 185662.89),(29 187613.05),(30 187221.13),(31 184674.83),(32 182905.08),(33 182151.38),(34 181588.81),(35 180993.4),(36 180541.23),(37 178192.88),(38 173406.77),(39 167817.36),(40 162831.58),(41 158854.31),(42 157059.83),(43 156778.6),(44 158317.22),(45 161303.28),(46 163927.58),(47 166066.42),(48 166977.4),(49 165951.17),(50 165290.75),(51 164471.84),(52 164942.17),(53 166953.73),(54 169058.95),(55 172256.06),(56 174942.97),(57 176952.1),(58 177868.03),(59 178180.64),(60 178713.88),(61 180297.88),(62 181484.88),(63 183379.58),(64 185466.33),(65 187985.11),(66 190802.5),(67 194832.33),(68 200188.81),(69 204480.08),(70 209010.97),(71 213597.45),(72 218206.33),(73 222206.28),(74 223933.1),(75 223594.05),(76 221922.19),(77 221024.58),(78 222031.67),(79 224305.86),
(1 11012.054),(2 35931.605),(3 64642.844),(4 89840.67),(5 108277.7),(6 120122.305),(7 125913.43),(8 129721.69),(9 132973.5),(10 135269.27),(11 138756.92),(12 143163.44),(13 146314.78),(14 148903.31),(15 149587.94),(16 150484.58),(17 153367.89),(18 155404.45),(19 157571.63),(20 159200.9),(21 159162.83),(22 159951.89),(23 163390.97),(24 166521.03),(25 169670.34),(26 172627.89),(27 174372.9),(28 176555.34),(29 179052.77),(30 181792.89),(31 184195.92),(32 186009.77),(33 187524),(34 188289.08),(35 188754.86),(36 189636.86),(37 188556.2),(38 185783.64),(39 183693.33),(40 182056.19),(41 182666.84),(42 183482.98),(43 183651.03),(44 183225.02),(45 182662.69),(46 180992.05),(47 180432.53),(48 180997.17),(49 183525.44),(50 186578.73),(51 187801.31),(52 187937.44),(53 187790.17),(54 185854.73),(55 184800.6),(56 183636.05),(57 182937.52),(58 183645.44),(59 184371.16),(60 184744.63),(61 185049.28),(62 185834.3),(63 186848.72),(64 187768.5),(65 189780.11),(66 193115.7),(67 197431.63),(68 201982.4),(69 205079.33),(70 208289.64),(71 211771.98),(72 214807.02),(73 216307.95),(74 215391.45),(75 214203.77),(76 212119.53),(77 209703.88),(78 208920.97),(79 211091.72),
(1 10660.519),(2 34687.395),(3 62314.563),(4 87474.984),(5 105827.81),(6 116445.95),(7 120523.8),(8 121930.56),(9 122666.6),(10 122993.3),(11 124552.125),(12 126957.49),(13 127377.62),(14 128486.39),(15 130544.516),(16 133388.98),(17 136842.5),(18 141020.16),(19 146202.25),(20 149953.36),(21 151801.72),(22 153236.1),(23 154081.58),(24 155169.83),(25 156434.25),(26 157693.4),(27 158490.56),(28 160506.84),(29 163131.89),(30 165497.95),(31 167235.23),(32 168708.16),(33 171904.25),(34 174505.17),(35 175096.52),(36 175089.38),(37 172602.77),(38 168833.73),(39 164366.83),(40 160420.42),(41 160004.14),(42 161836.61),(43 164291.25),(44 166783.36),(45 170192.47),(46 171690.3),(47 171998.03),(48 171589.52),(49 171531.63),(50 173540.16),(51 175052.36),(52 175387.8),(53 176611.48),(54 177399.56),(55 178135.5),(56 177862.42),(57 177626.9),(58 177917.53),(59 178459.78),(60 179927.48),(61 180876.95),(62 179961.02),(63 178888.48),(64 178753.98),(65 178476.03),(66 178156.53),(67 178406.67),(68 179036.5),(69 180095.08),(70 182123.55),(71 182809.45),(72 181854.05),(73 180407.61),(74 178789.63),(75 178472.88),(76 179220.58),(77 180533.33),(78 182861.63),(79 187821.61),
(1 11002.569),(2 35562.445),(3 63727.24),(4 89752.04),(5 108988.375),(6 120056.695),(7 124989.94),(8 126612.48),(9 127468.766),(10 128185.086),(11 129478.51),(12 131480.06),(13 132270.36),(14 133381.22),(15 134755.39),(16 136087.53),(17 138332.02),(18 141094.16),(19 145441.28),(20 149378.02),(21 151970.78),(22 153628.81),(23 154304.78),(24 153752.39),(25 152925.16),(26 151679.86),(27 150220.23),(28 150338.53),(29 152145.98),(30 155061.39),(31 157659.53),(32 159991),(33 162813.36),(34 164211.36),(35 162878.45),(36 159954.98),(37 156160.78),(38 152617.72),(39 151170.61),(40 151413.14),(41 155582.06),(42 161208.64),(43 165577.39),(44 169152.06),(45 172516.56),(46 173203.1),(47 173146.73),(48 173507.9),(49 173569.2),(50 175271.88),(51 177302.16),(52 178074.16),(53 179681.44),(54 178689.38),(55 177981.94),(56 177215.22),(57 176135.31),(58 175428.88),(59 176573.56),(60 178854.42),(61 181256.95),(62 182711.2),(63 183138.63),(64 184225.84),(65 185310.63),(66 188243.1),(67 191363.84),(68 193956.44),(69 194995.55),(70 195485.08),(71 194568.39),(72 193482.58),(73 194287.48),(74 196773.27),(75 201750.64),(76 206148.64),(77 208355.13),(78 208331.89),(79 208782.78),
(1 9539.006),(2 30436.238),(3 53339.727),(4 73593.69),(5 88934.44),(6 99083.945),(7 105677.74),(8 109609.73),(9 111635.62),(10 112975.39),(11 113674.15),(12 114307.19),(13 113741.14),(14 114343.17),(15 116551.05),(16 119500.62),(17 123946.914),(18 127312.914),(19 129887.11),(20 131576.58),(21 132604.1),(22 134388.52),(23 137079.25),(24 139531.08),(25 141325.02),(26 142578.95),(27 142922.5),(28 143203.83),(29 144049.72),(30 145687.1),(31 147192.05),(32 149214.4),(33 151688.27),(34 153947.33),(35 155627.52),(36 156777.67),(37 155828.44),(38 153777.34),(39 152374.38),(40 150436.66),(41 149605.66),(42 149784.4),(43 149341.75),(44 148951.69),(45 149234.13),(46 148747.9),(47 148585.55),(48 148452.13),(49 149779.81),(50 151702.27),(51 151458.33),(52 150356.95),(53 149953.56),(54 148382.9),(55 148403.75),(56 149609.11),(57 151826.19),(58 154652.67),(59 157389.95),(60 160729.5),(61 163624.94),(62 166670.4),(63 170251.55),(64 174794.81),(65 178477.2),(66 180242.13),(67 180320.77),(68 179127.4),(69 176545.9),(70 173239.23),(71 170548.3),(72 169888.22),(73 171414.19),(74 174111.44),(75 178216.27),(76 181426.92),(77 183152.1),(78 183426.27),(79 184671.11),
(1 10070.042),(2 32067.729),(3 56172.406),(4 77796.43),(5 95361.82),(6 108326.445),(7 117036.01),(8 122180.586),(9 125042.94),(10 126307.43),(11 125625.67),(12 123643.03),(13 120159.17),(14 117410.52),(15 115568.82),(16 115181.85),(17 116394.86),(18 118860.21),(19 122720.63),(20 126435.45),(21 129478.1),(22 132694.89),(23 135944.64),(24 139711.6),(25 143304.11),(26 146474.6),(27 149146.05),(28 150898.56),(29 151827.47),(30 152712.69),(31 152735.5),(32 152028.28),(33 152613.69),(34 152433.95),(35 151624.23),(36 152053.89),(37 151626.86),(38 151231.58),(39 151591.84),(40 150936.69),(41 150558.83),(42 148751.53),(43 146132.28),(44 144160.92),(45 143596.23),(46 142721.72),(47 142563.5),(48 143222.97),(49 144659.13),(50 145433.58),(51 145680.16),(52 146834.03),(53 149831.77),(54 151352.63),(55 153930.47),(56 155694.73),(57 156810.66),(58 158550.6),(59 160101.17),(60 161654.97),(61 163928.19),(62 167212.5),(63 171154.95),(64 176072.52),(65 179522.34),(66 179442.17),(67 176585.11),(68 172355.23),(69 167369.77),(70 163091.2),(71 161095.05),(72 161366.86),(73 162500.56),(74 163400.92),(75 165481.1),(76 167612.6),(77 169178.05),(78 169940.63),(79 170852.77),
(1 10888.505),(2 34608.875),(3 61138.813),(4 84088.586),(5 100805.37),(6 110634.625),(7 115098.97),(8 115054.97),(9 113411.18),(10 112429.25),(11 111760.516),(12 109620.15),(13 107302.68),(14 106952.45),(15 107308.6),(16 107983),(17 109542.49),(18 110041.23),(19 111309.44),(20 113012.22),(21 114623.52),(22 118609.89),(23 122823.77),(24 126906.63),(25 130064.14),(26 131917.55),(27 133091.48),(28 134378.52),(29 136218.5),(30 137987.17),(31 140171.98),(32 142592.44),(33 145877.84),(34 147943.39),(35 147851.7),(36 147691.23),(37 146598.1),(38 145232.98),(39 143901.23),(40 142104.08),(41 140886.66),(42 139452.38),(43 137510.14),(44 135707.48),(45 134921.5),(46 134919.47),(47 137595.42),(48 141624.58),(49 146344.95),(50 150536.03),(51 153303.39),(52 154586.08),(53 153863.64),(54 151973.27),(55 149042.88),(56 146729.1),(57 145000.98),(58 143078.55),(59 140781.44),(60 139720.64),(61 140205.9),(62 142029.16),(63 144335.56),(64 145954.3),(65 145473.28),(66 144812.94),(67 143906.48),(68 142543.19),(69 142242.17),(70 142340.8),(71 142996.22),(72 143316.8),(73 142839.05),(74 142649.72),(75 143998.25),(76 146727.75),(77 148991.48),(78 151638.13),(79 154974.47),
