1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 121.872116),(2 172.89601),(3 205.3154),(4 229.47473),(5 245.37985),(6 257.5321),(7 267.26205),(8 270.81448),(9 274.65567),(10 281.75656),(11 285.54086),(12 290.4363),(13 290.8769),(14 293.76404),(15 295.01566),(16 298.2337),(17 301.45938),(18 303.97983),(19 304.0975),(20 302.1774),(21 303.64014),(22 308.47693),(23 308.9788),(24 310.58588),(25 310.65094),(26 311.0746),(27 307.85718),(28 306.65567),(29 307.03876),(30 307.34),(31 306.18668),(32 307.8524),(33 308.46063),(34 310.0726),(35 313.1388),(36 317.4525),(37 321.04645),(38 323.09906),(39 323.26877),(40 322.5251),(41 323.52963),(42 324.74796),(43 322.7577),(44 321.12473),(45 318.73727),(46 320.35452),(47 322.37692),(48 324.42725),(49 325.59988),(50 329.50485),(51 327.1492),(52 327.32013),(53 327.08664),(54 327.3483),(55 327.1956),(56 324.7383),(57 323.7406),(58 326.22354),(59 326.4217),(60 322.51077),(61 322.95337),(62 322.56494),(63 323.9961),(64 324.34024),(65 326.3851),(66 324.09454),(67 323.36554),(68 322.83694),(69 322.51187),(70 326.9262),(71 327.71613),(72 328.99188),(73 327.03763),(74 325.2065),(75 321.69864),(76 322.29),(77 320.4243),(78 319.9391),(79 321.51035),
(1 124.63347),(2 175.14532),(3 210.74542),(4 233.60292),(5 251.61993),(6 261.92517),(7 268.3281),(8 273.48618),(9 277.84656),(10 285.952),(11 290.82065),(12 294.9753),(13 299.6569),(14 303.4521),(15 305.52423),(16 306.63623),(17 307.06335),(18 306.66415),(19 305.04938),(20 306.2187),(21 308.25616),(22 310.97034),(23 310.71136),(24 312.59106),(25 312.47528),(26 317.4151),(27 315.85236),(28 316.35794),(29 319.27612),(30 323.16156),(31 322.76196),(32 321.41113),(33 323.7217),(34 327.29013),(35 331.13446),(36 333.3027),(37 333.07852),(38 337.78085),(39 339.12466),(40 339.97314),(41 340.7882),(42 341.2271),(43 337.0165),(44 333.02652),(45 332.56107),(46 336.53146),(47 332.44986),(48 334.67505),(49 336.92578),(50 335.84937),(51 333.73267),(52 333.4906),(53 333.74594),(54 332.97424),(55 332.69427),(56 330.33936),(57 330.72482),(58 330.36255),(59 329.12466),(60 330.3454),(61 330.5193),(62 331.4184),(63 330.15598),(64 328.52008),(65 329.4982),(66 330.95096),(67 331.90826),(68 332.9125),(69 334.18005),(70 332.19534),(71 330.1),(72 330.59497),(73 330.07614),(74 330.0755),(75 325.7789),(76 328.14572),(77 328.88162),(78 328.1858),(79 329.60187),
(1 123.52946),(2 172.49675),(3 205.74638),(4 230.14482),(5 249.4597),(6 262.02664),(7 265.7373),(8 270.06863),(9 271.57788),(10 277.7391),(11 282.72507),(12 284.86093),(13 291.37103),(14 295.0467),(15 293.46265),(16 292.34744),(17 294.18137),(18 296.70547),(19 294.79776),(20 295.8619),(21 297.88068),(22 308.63696),(23 310.75757),(24 311.89023),(25 312.51657),(26 315.27563),(27 312.45877),(28 313.39304),(29 314.53702),(30 315.261),(31 317.27066),(32 316.61548),(33 316.65686),(34 319.16165),(35 319.84116),(36 323.2783),(37 327.7389),(38 331.9374),(39 330.43265),(40 330.12994),(41 329.8585),(42 333.18878),(43 331.18732),(44 328.6512),(45 328.78992),(46 332.32312),(47 332.33118),(48 332.2665),(49 331.56134),(50 327.545),(51 325.4792),(52 325.49313),(53 324.3818),(54 324.81906),(55 325.0372),(56 325.53015),(57 327.9971),(58 334.3333),(59 335.63367),(60 334.44183),(61 336.37875),(62 338.83835),(63 333.78506),(64 332.28537),(65 330.23108),(66 330.39618),(67 326.8338),(68 326.1461),(69 325.36566),(70 325.4139),(71 326.46594),(72 323.74738),(73 324.61484),(74 325.14282),(75 322.55927),(76 324.33447),(77 325.05475),(78 323.73245),(79 323.86755),
(1 119.39011),(2 167.2429),(3 198.49855),(4 220.2303),(5 234.79637),(6 245.21812),(7 250.8635),(8 256.61172),(9 261.2187),(10 266.55933),(11 272.45142),(12 275.96176),(13 280.692),(14 282.1772),(15 284.66602),(16 286.6106),(17 290.0756),(18 292.10947),(19 295.02826),(20 295.5216),(21 293.73093),(22 300.47974),(23 300.59476),(24 303.49722),(25 305.88544),(26 305.0369),(27 305.5635),(28 309.15735),(29 313.22748),(30 313.8063),(31 313.42764),(32 312.41583),(33 311.9605),(34 311.66666),(35 310.30084),(36 309.98267),(37 312.44638),(38 317.07388),(39 317.83646),(40 316.8896),(41 316.14438),(42 317.07568),(43 317.72723),(44 315.39673),(45 314.5737),(46 315.9149),(47 318.07297),(48 319.70807),(49 317.19147),(50 316.09296),(51 314.89417),(52 313.17703),(53 318.0467),(54 320.45206),(55 318.5544),(56 318.00787),(57 320.56168),(58 321.86615),(59 323.17117),(60 321.19238),(61 318.97687),(62 319.20303),(63 320.25443),(64 317.74173),(65 319.0017),(66 317.65305),(67 317.91513),(68 316.99402),(69 318.00452),(70 321.94562),(71 323.5494),(72 321.61487),(73 320.76816),(74 321.06482),(75 317.33752),(76 317.96597),(77 316.2005),(78 315.35648),(79 314.71658),
(1 117.033264),(2 166.35757),(3 197.8176),(4 218.47348),(5 233.19975),(6 244.07556),(7 250.78468),(8 256.24667),(9 261.32648),(10 272.29257),(11 276.16434),(12 280.65613),(13 283.80112),(14 287.05432),(15 288.6174),(16 290.09775),(17 292.9362),(18 292.12003),(19 292.2355),(20 292.68777),(21 293.73993),(22 299.37952),(23 300.60394),(24 301.23727),(25 302.7173),(26 305.98505),(27 304.88974),(28 304.98245),(29 309.99817),(30 308.74124),(31 308.2384),(32 309.5682),(33 309.62613),(34 312.5944),(35 312.9762),(36 313.18542),(37 316.22623),(38 318.5873),(39 317.21286),(40 315.28256),(41 315.96835),(42 317.83118),(43 316.3458),(44 314.14554),(45 311.99274),(46 315.7781),(47 315.01227),(48 313.87372),(49 315.64868),(50 312.74606),(51 313.27554),(52 313.93814),(53 314.27103),(54 314.65045),(55 311.82556),(56 311.9475),(57 315.298),(58 320.1284),(59 321.67404),(60 320.52646),(61 319.7207),(62 320.47397),(63 316.21924),(64 318.51685),(65 317.08527),(66 317.63852),(67 316.33017),(68 314.28903),(69 315.87112),(70 318.68835),(71 319.65576),(72 322.47733),(73 323.8771),(74 323.29974),(75 321.31866),(76 320.12704),(77 317.25598),(78 317.74112),(79 316.16217),
(1 116.25168),(2 164.76367),(3 196.44142),(4 218.9075),(5 230.68518),(6 242.01646),(7 247.19011),(8 251.81348),(9 258.28903),(10 267.54074),(11 272.4414),(12 278.38943),(13 279.40176),(14 283.63092),(15 283.8201),(16 283.0599),(17 284.56674),(18 287.4155),(19 288.26404),(20 290.39706),(21 289.81583),(22 291.38892),(23 291.6623),(24 291.76227),(25 293.52945),(26 295.26953),(27 293.28168),(28 295.25262),(29 297.04498),(30 299.88672),(31 298.06442),(32 299.74948),(33 300.38416),(34 304.854),(35 304.1718),(36 305.10138),(37 306.25815),(38 309.68793),(39 306.2635),(40 307.6432),(41 306.5626),(42 309.41193),(43 308.215),(44 308.95102),(45 306.97687),(46 310.32367),(47 309.9484),(48 309.88828),(49 307.15674),(50 304.71185),(51 304.37253),(52 304.5414),(53 306.64496),(54 304.2664),(55 302.61334),(56 301.1103),(57 302.42242),(58 307.31094),(59 306.52472),(60 306.32816),(61 308.09116),(62 310.69595),(63 305.60666),(64 305.5149),(65 305.69574),(66 307.25497),(67 305.14343),(68 303.1091),(69 301.70157),(70 305.49402),(71 304.9989),(72 306.2927),(73 306.75186),(74 307.82123),(75 305.5846),(76 306.24786),(77 306.73233),(78 304.2416),(79 304.1974),
(1 115.91059),(2 161.61385),(3 194.61479),(4 214.19191),(5 230.13585),(6 240.46935),(7 246.93335),(8 252.18935),(9 257.15024),(10 265.49158),(11 270.52457),(12 274.8913),(13 278.05313),(14 279.1769),(15 278.2841),(16 280.9224),(17 282.50504),(18 284.25497),(19 284.68167),(20 287.69003),(21 285.2341),(22 289.59885),(23 290.68213),(24 291.80167),(25 293.51514),(26 293.36664),(27 293.84943),(28 294.0732),(29 295.1817),(30 296.60782),(31 296.1649),(32 298.43954),(33 299.67886),(34 302.69516),(35 302.79996),(36 302.53842),(37 302.48248),(38 305.2292),(39 305.6564),(40 307.3617),(41 306.1499),(42 309.56897),(43 306.85648),(44 307.5374),(45 305.93433),(46 312.9797),(47 311.67996),(48 313.4014),(49 313.05588),(50 312.71948),(51 313.6328),(52 313.27548),(53 314.91544),(54 314.7192),(55 314.36584),(56 308.85446),(57 308.79944),(58 313.15717),(59 311.92163),(60 308.74313),(61 308.2569),(62 307.007),(63 304.82288),(64 306.50165),(65 307.9146),(66 310.9042),(67 311.60342),(68 313.5461),(69 312.31735),(70 312.26883),(71 309.6815),(72 311.71164),(73 310.37762),(74 309.66882),(75 308.3953),(76 306.5171),(77 307.29968),(78 308.00635),(79 307.7911),
(1 113.24902),(2 160.71167),(3 192.63),(4 213.9635),(5 229.70572),(6 241.4869),(7 247.90091),(8 253.30194),(9 259.0441),(10 266.71042),(11 269.888),(12 273.42096),(13 275.8403),(14 280.45877),(15 280.66104),(16 280.7708),(17 283.78757),(18 282.47412),(19 280.79492),(20 277.8641),(21 276.62357),(22 285.97845),(23 286.49905),(24 288.00275),(25 288.41473),(26 291.07608),(27 290.8964),(28 291.47763),(29 292.10114),(30 293.8588),(31 294.22443),(32 297.08484),(33 299.03528),(34 303.14212),(35 302.22507),(36 302.4225),(37 301.74402),(38 304.8713),(39 304.15714),(40 304.32388),(41 303.45282),(42 304.73868),(43 304.75958),(44 304.37247),(45 303.77332),(46 307.50757),(47 307.65338),(48 309.96762),(49 311.47885),(50 310.45023),(51 313.19174),(52 309.98502),(53 311.37),(54 310.4091),(55 310.9324),(56 312.81967),(57 314.2046),(58 315.43555),(59 313.92035),(60 309.53494),(61 310.7256),(62 309.51443),(63 306.57916),(64 306.61392),(65 305.79144),(66 306.5131),(67 305.61423),(68 307.8733),(69 307.0513),(70 307.9362),(71 305.97586),(72 305.96527),(73 306.38632),(74 306.52805),(75 306.43784),(76 307.34348),(77 307.7069),(78 307.62054),(79 305.43213),
(1 111.9138),(2 159.1757),(3 188.3457),(4 208.28897),(5 222.90215),(6 236.36353),(7 243.2403),(8 248.86795),(9 252.61371),(10 259.58154),(11 262.5803),(12 266.10504),(13 266.56802),(14 268.01968),(15 269.42355),(16 272.8629),(17 274.1337),(18 274.73834),(19 273.70157),(20 273.11072),(21 272.1832),(22 280.44434),(23 278.65576),(24 279.34073),(25 280.98535),(26 282.65073),(27 283.7031),(28 285.83585),(29 285.0157),(30 284.91855),(31 285.48145),(32 285.27878),(33 282.173),(34 286.3906),(35 289.13998),(36 291.59897),(37 295.2847),(38 297.29),(39 296.77667),(40 298.25443),(41 297.69733),(42 295.33432),(43 294.93463),(44 295.13568),(45 294.56076),(46 295.4214),(47 295.09433),(48 297.04056),(49 297.8798),(50 297.7865),(51 298.8826),(52 298.12643),(53 300.2934),(54 297.94046),(55 294.06213),(56 292.90662),(57 293.7249),(58 294.6084),(59 293.2762),(60 294.3947),(61 293.92606),(62 291.49164),(63 288.43054),(64 288.6022),(65 288.06345),(66 288.8272),(67 288.34448),(68 290.3348),(69 288.3891),(70 287.8665),(71 286.99432),(72 288.31027),(73 288.695),(74 287.7162),(75 285.70645),(76 285.48288),(77 284.1388),(78 285.07635),(79 285.51965),
(1 113.325264),(2 159.31262),(3 190.43823),(4 211.59642),(5 226.68832),(6 238.68448),(7 246.65314),(8 251.92299),(9 255.37164),(10 260.4732),(11 263.90097),(12 267.0323),(13 268.95233),(14 271.68295),(15 272.8737),(16 273.99347),(17 275.48383),(18 276.81845),(19 273.8604),(20 277.2367),(21 277.4236),(22 285.23663),(23 283.32596),(24 283.75525),(25 284.59225),(26 288.489),(27 290.13876),(28 289.00595),(29 288.2741),(30 290.42517),(31 289.86127),(32 291.13638),(33 290.3506),(34 294.40347),(35 293.9904),(36 294.913),(37 298.6962),(38 298.79785),(39 300.17114),(40 303.04053),(41 302.829),(42 304.5218),(43 303.31073),(44 303.16068),(45 301.8897),(46 307.70172),(47 308.0144),(48 307.7987),(49 309.15106),(50 308.17972),(51 307.56317),(52 305.80676),(53 307.9812),(54 308.47052),(55 308.20334),(56 310.01077),(57 309.90262),(58 308.01202),(59 308.30508),(60 307.95963),(61 308.36035),(62 308.33875),(63 308.8531),(64 307.3057),(65 309.29248),(66 309.10202),(67 303.9563),(68 307.26572),(69 307.0899),(70 306.98297),(71 306.8235),(72 306.1734),(73 306.89078),(74 306.979),(75 305.01157),(76 304.5747),(77 305.96805),(78 305.5746),(79 305.51364),
(1 108.31067),(2 152.08969),(3 182.83371),(4 199.33105),(5 216.32903),(6 224.8307),(7 231.35649),(8 236.35912),(9 240.37686),(10 248.08864),(11 253.5973),(12 257.17712),(13 260.78873),(14 265.0732),(15 264.72714),(16 266.88837),(17 269.30087),(18 269.0593),(19 269.60147),(20 271.12537),(21 273.35263),(22 274.8831),(23 275.21896),(24 275.8791),(25 278.99857),(26 280.765),(27 278.44342),(28 277.2588),(29 276.54965),(30 278.35004),(31 279.66428),(32 280.22443),(33 278.01883),(34 285.62457),(35 284.129),(36 288.73663),(37 289.07547),(38 290.27737),(39 290.60474),(40 291.94025),(41 293.30823),(42 293.2665),(43 291.4948),(44 289.14148),(45 290.593),(46 291.38477),(47 287.4877),(48 289.5372),(49 288.06448),(50 288.46353),(51 290.44122),(52 291.34207),(53 293.09482),(54 293.9195),(55 295.48593),(56 293.83392),(57 292.59122),(58 296.7223),(59 297.10773),(60 296.03232),(61 296.53793),(62 295.84436),(63 289.97665),(64 288.54453),(65 288.1621),(66 288.8147),(67 288.10626),(68 287.674),(69 288.20618),(70 288.01773),(71 287.2989),(72 285.513),(73 285.5948),(74 285.67816),(75 284.88495),(76 284.42026),(77 287.0582),(78 287.43286),(79 284.61267),
(1 107.47689),(2 151.34775),(3 181.92448),(4 203.86116),(5 218.55905),(6 227.73363),(7 233.44615),(8 236.50471),(9 240.84306),(10 248.05537),(11 250.11252),(12 255.9733),(13 259.34955),(14 259.96637),(15 260.5447),(16 263.8286),(17 265.81702),(18 267.81967),(19 268.00067),(20 270.584),(21 270.68503),(22 273.59393),(23 274.1359),(24 275.51926),(25 277.5428),(26 278.91745),(27 279.27246),(28 277.66245),(29 279.2546),(30 282.02783),(31 283.1744),(32 283.06656),(33 282.93057),(34 287.02466),(35 286.6391),(36 287.51563),(37 289.4712),(38 291.48804),(39 292.82022),(40 292.72247),(41 296.68036),(42 295.5937),(43 292.69296),(44 291.1695),(45 288.75418),(46 292.02805),(47 290.32114),(48 292.53232),(49 295.23715),(50 295.40292),(51 292.8944),(52 293.0088),(53 296.7091),(54 298.38406),(55 297.75772),(56 296.2785),(57 292.4477),(58 293.2234),(59 291.26822),(60 289.16968),(61 289.4619),(62 290.37878),(63 290.8366),(64 289.46506),(65 290.94717),(66 290.93097),(67 291.9397),(68 289.7712),(69 289.85022),(70 290.71753),(71 291.2128),(72 290.2988),(73 288.29965),(74 289.65686),(75 287.04865),(76 286.5872),(77 287.55878),(78 288.38864),(79 289.47232),
(1 106.87008),(2 149.60698),(3 177.72777),(4 196.30661),(5 209.56714),(6 219.55402),(7 224.65645),(8 229.85278),(9 232.45926),(10 240.29832),(11 242.46065),(12 246.81409),(13 249.5561),(14 253.66599),(15 257.30743),(16 258.76013),(17 259.50067),(18 263.0886),(19 262.21793),(20 263.1521),(21 262.2306),(22 266.19202),(23 269.10974),(24 268.58337),(25 269.38556),(26 270.3256),(27 268.98013),(28 268.44467),(29 270.68576),(30 271.30936),(31 271.16907),(32 271.818),(33 273.98706),(34 276.97287),(35 277.52557),(36 278.5278),(37 280.87112),(38 283.02975),(39 284.62445),(40 284.92255),(41 285.2546),(42 285.8847),(43 287.0122),(44 286.62277),(45 286.66843),(46 289.0229),(47 285.976),(48 286.60507),(49 286.82462),(50 286.437),(51 286.4008),(52 287.52847),(53 288.55942),(54 288.9464),(55 288.51743),(56 286.85403),(57 284.03015),(58 288.68753),(59 286.17892),(60 286.20776),(61 286.16757),(62 283.9659),(63 284.68375),(64 282.598),(65 284.5942),(66 283.24396),(67 282.35806),(68 282.01453),(69 278.72388),(70 280.93466),(71 279.80005),(72 281.13684),(73 283.10138),(74 285.91235),(75 284.47064),(76 284.77417),(77 285.45108),(78 288.11176),(79 286.81223),
(1 105.22468),(2 146.6286),(3 174.33337),(4 192.01321),(5 205.27159),(6 216.91258),(7 223.04338),(8 225.96713),(9 229.56804),(10 235.2479),(11 240.03201),(12 243.08875),(13 246.65584),(14 253.05011),(15 253.0823),(16 257.66696),(17 259.79605),(18 262.84424),(19 260.37228),(20 258.81088),(21 259.2329),(22 264.83383),(23 269.1704),(24 269.97348),(25 270.5178),(26 274.04285),(27 273.02222),(28 272.66162),(29 271.87277),(30 273.91177),(31 273.6534),(32 273.73358),(33 275.36438),(34 275.3271),(35 273.61865),(36 275.83698),(37 275.89252),(38 277.22302),(39 275.4362),(40 276.45248),(41 278.302),(42 278.08603),(43 277.11972),(44 277.74683),(45 277.05243),(46 279.376),(47 278.12817),(48 273.9862),(49 276.04446),(50 276.05756),(51 273.73618),(52 274.54715),(53 277.494),(54 274.37796),(55 275.21378),(56 274.3959),(57 274.6611),(58 278.1359),(59 278.10797),(60 276.49774),(61 276.2713),(62 273.29715),(63 271.2187),(64 271.07916),(65 271.55322),(66 269.76593),(67 270.2656),(68 268.62643),(69 271.46826),(70 271.94043),(71 270.91492),(72 273.08142),(73 277.08585),(74 275.2562),(75 273.87418),(76 275.77313),(77 276.4744),(78 276.00705),(79 275.0708),
(1 104.686844),(2 145.16212),(3 172.43906),(4 190.5842),(5 205.09904),(6 215.12305),(7 220.89386),(8 224.62958),(9 228.47589),(10 232.82883),(11 235.85583),(12 240.027),(13 245.68207),(14 250.46172),(15 250.81186),(16 251.24156),(17 254.09021),(18 254.48206),(19 255.27936),(20 255.55202),(21 256.73907),(22 262.7205),(23 261.62527),(24 262.31882),(25 263.52975),(26 264.87607),(27 266.56824),(28 266.75937),(29 269.3021),(30 272.95782),(31 274.22348),(32 271.9551),(33 272.04617),(34 274.94482),(35 275.30627),(36 276.821),(37 279.37402),(38 281.28827),(39 281.01965),(40 280.7895),(41 277.84982),(42 279.58887),(43 274.0507),(44 274.28308),(45 274.78036),(46 280.21786),(47 281.58026),(48 282.4122),(49 286.1076),(50 286.6096),(51 286.04904),(52 282.97946),(53 285.004),(54 283.16306),(55 278.55005),(56 280.83334),(57 280.91833),(58 282.6966),(59 281.88632),(60 283.45996),(61 280.83612),(62 280.2085),(63 278.47852),(64 276.6696),(65 275.13266),(66 275.4548),(67 273.2311),(68 272.71997),(69 273.35538),(70 274.77826),(71 274.01248),(72 276.53726),(73 280.26544),(74 281.133),(75 279.00714),(76 278.2428),(77 277.97784),(78 278.3572),(79 274.7553),
(1 102.06205),(2 142.15244),(3 169.52719),(4 186.50948),(5 200.04758),(6 209.73042),(7 212.51845),(8 214.72487),(9 219.49507),(10 225.3447),(11 226.72641),(12 230.47383),(13 234.68404),(14 236.32712),(15 238.62216),(16 240.3734),(17 243.3833),(18 242.26523),(19 241.82924),(20 243.15419),(21 246.60434),(22 252.5628),(23 253.84792),(24 255.29726),(25 257.98892),(26 258.26938),(27 257.41043),(28 257.7065),(29 257.52814),(30 258.7258),(31 259.15646),(32 258.50226),(33 260.18396),(34 260.29642),(35 259.09485),(36 259.2092),(37 260.38647),(38 262.83368),(39 263.8419),(40 264.4157),(41 264.3772),(42 264.02737),(43 262.56342),(44 263.28635),(45 262.38638),(46 265.37872),(47 264.95618),(48 265.0163),(49 266.85138),(50 265.92365),(51 267.04004),(52 267.90115),(53 267.39764),(54 265.7775),(55 265.12656),(56 265.02847),(57 263.9204),(58 265.3879),(59 262.71246),(60 261.39523),(61 261.90918),(62 264.07037),(63 263.12408),(64 262.0024),(65 261.65405),(66 263.16946),(67 264.2325),(68 264.81595),(69 263.88882),(70 265.2873),(71 263.91458),(72 264.6026),(73 264.6224),(74 263.90543),(75 261.0914),(76 261.5002),(77 260.7009),(78 261.52228),(79 259.54178),
(1 103.07092),(2 144.22617),(3 169.67169),(4 185.52208),(5 197.35544),(6 206.7209),(7 211.69478),(8 214.09705),(9 218.88573),(10 225.95584),(11 231.19157),(12 234.71918),(13 239.24643),(14 241.2948),(15 242.29478),(16 243.86775),(17 246.47922),(18 247.18217),(19 246.09027),(20 250.6352),(21 251.06),(22 258.28418),(23 261.83295),(24 261.29166),(25 262.43832),(26 260.99997),(27 258.9965),(28 260.42133),(29 260.93906),(30 264.78586),(31 264.25793),(32 264.18344),(33 266.2993),(34 265.9622),(35 266.79257),(36 269.67572),(37 271.48236),(38 272.5719),(39 273.2179),(40 274.04395),(41 274.67847),(42 275.47937),(43 272.17038),(44 270.83575),(45 272.20325),(46 273.0211),(47 272.66605),(48 276.5476),(49 276.5024),(50 276.10565),(51 275.46686),(52 274.87912),(53 274.728),(54 273.83243),(55 270.53995),(56 268.58597),(57 270.78018),(58 273.2418),(59 272.57925),(60 272.21835),(61 271.4209),(62 272.72867),(63 273.66742),(64 273.74905),(65 273.54892),(66 273.93097),(67 269.8864),(68 271.33215),(69 269.35416),(70 271.07095),(71 271.0867),(72 270.9465),(73 273.3013),(74 273.64273),(75 272.03363),(76 271.23978),(77 269.95773),(78 270.76),(79 268.29935),
(1 101.35039),(2 140.62363),(3 167.78902),(4 186.17252),(5 200.10251),(6 209.10623),(7 215.00877),(8 218.65843),(9 221.70831),(10 226.30273),(11 230.46812),(12 234.88934),(13 237.65154),(14 240.10675),(15 242.30214),(16 243.4175),(17 245.57152),(18 248.0456),(19 248.31104),(20 247.5499),(21 247.95715),(22 252.0415),(23 251.75775),(24 253.02936),(25 252.9043),(26 254.3152),(27 252.98532),(28 253.64442),(29 253.36838),(30 253.868),(31 252.50842),(32 253.68556),(33 253.54257),(34 255.83716),(35 255.77786),(36 256.27325),(37 258.1977),(38 260.29996),(39 258.00235),(40 259.78345),(41 261.55298),(42 263.8595),(43 262.3615),(44 261.062),(45 260.94946),(46 264.89114),(47 262.06082),(48 260.89368),(49 260.71732),(50 260.64478),(51 263.846),(52 263.4875),(53 262.11484),(54 264.72192),(55 263.63992),(56 263.94962),(57 263.16632),(58 265.68195),(59 268.728),(60 269.89294),(61 270.61157),(62 271.24356),(63 269.92865),(64 267.37442),(65 269.17358),(66 269.8135),(67 266.76828),(68 266.4105),(69 266.2933),(70 266.04608),(71 265.70923),(72 267.24924),(73 268.93924),(74 267.88754),(75 267.8079),(76 268.31946),(77 268.84006),(78 267.52518),(79 265.63773),
(1 101.77897),(2 140.91699),(3 165.75429),(4 182.73978),(5 195.96208),(6 204.3752),(7 210.6726),(8 217.8326),(9 222.50171),(10 228.80537),(11 232.49411),(12 237.14761),(13 241.9742),(14 245.5611),(15 246.24352),(16 247.03358),(17 249.90791),(18 251.72514),(19 249.34055),(20 250.42169),(21 251.8005),(22 253.21637),(23 254.02928),(24 255.04019),(25 255.84279),(26 256.52145),(27 255.82262),(28 256.71887),(29 256.37338),(30 257.78403),(31 255.85193),(32 255.21371),(33 255.80664),(34 258.8138),(35 258.88043),(36 262.38644),(37 263.85065),(38 265.69965),(39 266.45688),(40 267.76932),(41 267.9253),(42 270.27844),(43 269.1884),(44 271.91476),(45 271.1919),(46 272.51407),(47 271.10928),(48 269.03445),(49 268.56332),(50 270.30304),(51 268.26953),(52 266.64386),(53 266.90283),(54 266.20755),(55 265.58234),(56 265.3132),(57 264.16367),(58 265.5817),(59 265.95782),(60 266.19568),(61 267.9269),(62 266.2994),(63 263.51285),(64 262.5866),(65 262.3167),(66 261.2472),(67 263.07837),(68 262.66473),(69 261.4701),(70 261.34024),(71 261.34506),(72 263.23944),(73 265.29367),(74 265.57764),(75 264.44232),(76 265.6382),(77 267.69263),(78 267.98322),(79 265.8641),
