1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 577.7089),(2 781.15436),(3 876.71265),(4 946.7431),(5 971.57385),(6 993.45386),(7 1018.5242),(8 1017.2295),(9 1001.9985),(10 998.56995),(11 1009.6767),(12 1018.7302),(13 1010.8268),(14 1020.0184),(15 1032.3315),(16 1007.75287),(17 1014.89886),(18 1040.9159),(19 1028.1602),(20 1035.2836),(21 1035.942),(22 1036.4158),(23 1036.6791),(24 1050.695),(25 1050.3807),(26 1051.984),(27 1061.618),(28 1075.1681),(29 1072.5028),(30 1069.6232),(31 1086.793),(32 1086.538),(33 1091.4374),(34 1081.678),(35 1080.2651),(36 1064.689),(37 1079.6207),(38 1100.2612),(39 1123.3826),(40 1126.7222),(41 1119.2046),(42 1121.2914),(43 1112.3911),(44 1112.8525),(45 1124.5748),(46 1103.1598),(47 1122.7189),(48 1129.7424),(49 1110.8385),(50 1102.1638),(51 1116.3265),(52 1110.0587),(53 1102.6222),(54 1102.9269),(55 1099.9585),(56 1101.7399),(57 1107.7314),(58 1104.2273),(59 1105.7498),(60 1099.3859),(61 1110.4584),(62 1115.1855),(63 1110.6698),(64 1121.8055),(65 1128.7622),(66 1127.9648),(67 1131.459),(68 1125.2198),(69 1118.5831),(70 1107.1844),(71 1115.0073),(72 1119.6272),(73 1134.5023),(74 1120.572),(75 1139.1405),(76 1136.8223),(77 1140.9045),(78 1158.9679),(79 1150.401),
(1 575.5782),(2 771.744),(3 860.79535),(4 909.3344),(5 935.83105),(6 965.2552),(7 995.8076),(8 1014.96094),(9 1023.0352),(10 1012.84705),(11 1011.13837),(12 1009.50903),(13 1010.3418),(14 1016.3843),(15 1008.65295),(16 1004.15485),(17 1023.16144),(18 1046.0012),(19 1030.3538),(20 1027.1622),(21 1036.6769),(22 1034.1777),(23 1024.4283),(24 1025.2639),(25 1031.0471),(26 1046.5914),(27 1058.0524),(28 1070.1512),(29 1065.7535),(30 1070.6821),(31 1093.8279),(32 1077.4335),(33 1077.9855),(34 1087.8969),(35 1081.4463),(36 1086.3015),(37 1103.4095),(38 1115.7313),(39 1114.7411),(40 1113.1085),(41 1123.9353),(42 1113.5157),(43 1105.3939),(44 1106.1917),(45 1112.9076),(46 1087.8381),(47 1108.3427),(48 1121.2249),(49 1110.112),(50 1082.5027),(51 1105.246),(52 1085.0537),(53 1087.467),(54 1085.5137),(55 1089.4636),(56 1069.2986),(57 1068.8136),(58 1068.5706),(59 1079.129),(60 1082.3658),(61 1095.2069),(62 1091.987),(63 1093.4573),(64 1080.3553),(65 1090.1493),(66 1092.498),(67 1118.7701),(68 1096.2838),(69 1092.1324),(70 1098.3706),(71 1094.2043),(72 1111.2908),(73 1122.2842),(74 1106.3623),(75 1114.9646),(76 1118.6128),(77 1116.7416),(78 1145.7355),(79 1146.0856),
(1 560.67236),(2 760.3233),(3 847.78345),(4 894.1012),(5 914.1609),(6 945.99536),(7 972.69495),(8 975.17084),(9 961.88226),(10 954.13495),(11 956.63434),(12 963.2614),(13 962.93695),(14 974.9901),(15 985.60913),(16 976.07086),(17 986.3552),(18 1006.881),(19 1005.30225),(20 1008.27344),(21 1010.784),(22 1009.6431),(23 990.4827),(24 1008.0933),(25 1006.1892),(26 1019.7459),(27 1022.1832),(28 1021.9641),(29 1010.5982),(30 1022.7792),(31 1042.083),(32 1036.99),(33 1045.8003),(34 1055.3632),(35 1063.4614),(36 1064.4712),(37 1075.6481),(38 1076.469),(39 1072.806),(40 1066.4191),(41 1066.6644),(42 1075.072),(43 1057.3721),(44 1067.4498),(45 1060.9423),(46 1053.6456),(47 1053.5164),(48 1070.456),(49 1054.0581),(50 1044.6565),(51 1070.797),(52 1055.9338),(53 1047.615),(54 1040.9875),(55 1016.89075),(56 1006.4035),(57 1009.9518),(58 1016.0213),(59 1031.8783),(60 1032.9348),(61 1032.4366),(62 1032.7867),(63 1033.9576),(64 1034.8738),(65 1039.226),(66 1062.7532),(67 1084.6443),(68 1062.9893),(69 1052.3348),(70 1041.0905),(71 1048.6572),(72 1061.6938),(73 1061.8008),(74 1074.4155),(75 1088.5109),(76 1086.399),(77 1082.7761),(78 1102.129),(79 1097.5237),
(1 547.10236),(2 724.0948),(3 797.26514),(4 854.8992),(5 889.2553),(6 910.21576),(7 923.21857),(8 936.4618),(9 935.2572),(10 930.6947),(11 933.71545),(12 947.8991),(13 923.9846),(14 921.2961),(15 936.4253),(16 935.0404),(17 944.6281),(18 959.7598),(19 958.3626),(20 979.5996),(21 971.56036),(22 973.38324),(23 956.71893),(24 958.20013),(25 963.65955),(26 977.80426),(27 987.6093),(28 1008.46564),(29 970.19904),(30 971.1831),(31 975.05646),(32 989.142),(33 989.0266),(34 991.0947),(35 1004.0816),(36 1000.3912),(37 1026.1295),(38 1024.8442),(39 1017.91595),(40 1017.1789),(41 1019.41425),(42 1025.0983),(43 1001.6615),(44 1011.621),(45 1013.1284),(46 1001.812),(47 993.32556),(48 1017.6442),(49 997.24084),(50 984.88135),(51 1003.1998),(52 992.4172),(53 999.2753),(54 995.5988),(55 996.2514),(56 989.3957),(57 989.34357),(58 986.6145),(59 982.4725),(60 987.004),(61 980.8045),(62 993.37695),(63 1011.6529),(64 1000.3917),(65 1000.33765),(66 1023.7879),(67 1026.8466),(68 1011.5799),(69 1007.66846),(70 1013.397),(71 1009.87946),(72 1005.2544),(73 996.3069),(74 1009.22925),(75 1023.24036),(76 1024.7919),(77 1025.3772),(78 1048.3615),(79 1034.8068),
(1 530.1877),(2 704.1479),(3 792.0279),(4 827.87115),(5 867.6651),(6 894.6021),(7 922.05365),(8 927.6072),(9 921.1202),(10 915.9941),(11 916.66077),(12 938.17523),(13 931.3719),(14 938.88025),(15 940.6797),(16 949.44763),(17 953.8276),(18 965.8975),(19 949.8356),(20 952.57416),(21 966.00543),(22 956.6218),(23 945.7564),(24 951.2215),(25 958.6219),(26 954.39),(27 966.3369),(28 974.3828),(29 960.0955),(30 950.42737),(31 970.5518),(32 983.3725),(33 1010.24225),(34 1006.9563),(35 1015.9),(36 1026.7238),(37 1047.6173),(38 1046.129),(39 1044.4711),(40 1039.3242),(41 1029.997),(42 1022.5186),(43 1008.89154),(44 1019.8062),(45 1011.9457),(46 1016.4695),(47 1033.6718),(48 1044.5743),(49 1025.1678),(50 1026.4105),(51 1036.603),(52 1028.1008),(53 1026.0028),(54 1023.27905),(55 1010.5891),(56 990.192),(57 1009.9529),(58 1008.70337),(59 1007.42487),(60 1010.37476),(61 1019.26294),(62 1020.0889),(63 1031.758),(64 1031.2949),(65 1018.7822),(66 1033.0845),(67 1053.9398),(68 1038.0851),(69 1037.4166),(70 1054.7455),(71 1044.5927),(72 1029.5271),(73 1053.1271),(74 1044.2494),(75 1052.2006),(76 1051.4106),(77 1047.2798),(78 1073.5157),(79 1056.9562),
(1 517.97266),(2 687.3586),(3 766.93243),(4 797.50134),(5 823.2911),(6 836.19055),(7 864.73413),(8 854.50256),(9 856.9413),(10 846.0336),(11 844.1208),(12 859.71533),(13 865.53455),(14 869.97314),(15 868.147),(16 867.6292),(17 872.5087),(18 878.6721),(19 879.80237),(20 884.7724),(21 895.8055),(22 905.5322),(23 893.09155),(24 884.68976),(25 897.7879),(26 901.5992),(27 911.82776),(28 912.2428),(29 900.38794),(30 915.3685),(31 921.84644),(32 932.1608),(33 940.97546),(34 927.4806),(35 927.6282),(36 931.78986),(37 946.9022),(38 948.928),(39 969.1319),(40 960.9601),(41 960.6637),(42 963.91425),(43 964.7057),(44 973.49945),(45 983.15125),(46 969.7577),(47 975.9629),(48 982.4561),(49 963.92316),(50 955.31213),(51 960.66095),(52 952.19775),(53 957.60724),(54 953.79974),(55 940.0216),(56 924.3821),(57 933.99915),(58 930.8674),(59 925.8202),(60 933.2014),(61 931.3791),(62 941.1516),(63 950.75055),(64 960.38403),(65 955.2388),(66 966.2159),(67 971.8036),(68 958.1458),(69 966.6953),(70 970.2161),(71 968.63306),(72 964.8222),(73 975.702),(74 966.80383),(75 967.28204),(76 963.40485),(77 976.4066),(78 986.76245),(79 973.78345),
(1 499.41162),(2 669.0261),(3 740.7556),(4 765.2662),(5 802.6069),(6 831.3061),(7 849.18274),(8 859.4057),(9 851.8039),(10 842.2884),(11 848.7512),(12 849.865),(13 846.83673),(14 851.4044),(15 846.7982),(16 833.9412),(17 850.42004),(18 872.8631),(19 862.31226),(20 876.40045),(21 870.758),(22 868.28326),(23 869.6801),(24 873.0122),(25 864.6234),(26 870.3896),(27 876.54895),(28 885.28503),(29 874.4777),(30 881.7783),(31 886.2544),(32 893.2808),(33 929.3631),(34 917.1891),(35 917.1478),(36 917.0826),(37 938.84894),(38 936.84454),(39 949.00336),(40 948.4516),(41 944.42957),(42 946.1539),(43 939.501),(44 934.9134),(45 942.70917),(46 918.82245),(47 926.0426),(48 933.0228),(49 919.67957),(50 910.72485),(51 931.7331),(52 918.61566),(53 913.75104),(54 914.79443),(55 914.1104),(56 905.93115),(57 914.3897),(58 923.0294),(59 909.9847),(60 908.37445),(61 916.89484),(62 927.70386),(63 937.50574),(64 933.84216),(65 930.6461),(66 929.5477),(67 942.7046),(68 925.9546),(69 925.21655),(70 932.87463),(71 930.8368),(72 929.9612),(73 941.8408),(74 949.1317),(75 937.9052),(76 929.8282),(77 932.3157),(78 952.1035),(79 945.0596),
(1 490.38718),(2 645.4765),(3 721.08777),(4 755.47455),(5 782.7592),(6 798.18774),(7 810.03595),(8 820.19666),(9 818.8123),(10 812.6992),(11 817.8778),(12 834.2556),(13 826.8318),(14 824.2783),(15 819.80005),(16 819.64636),(17 840.5533),(18 842.66345),(19 833.8207),(20 847.1228),(21 846.8767),(22 855.6096),(23 849.9407),(24 846.1363),(25 853.4687),(26 871.22406),(27 881.5116),(28 890.7857),(29 873.5426),(30 873.92554),(31 898.38544),(32 896.06415),(33 912.4711),(34 899.921),(35 887.63275),(36 891.24554),(37 903.8498),(38 904.58624),(39 908.7597),(40 903.83826),(41 905.79266),(42 900.8148),(43 898.2799),(44 895.0924),(45 901.04626),(46 887.1875),(47 889.6835),(48 889.44824),(49 889.1169),(50 891.0923),(51 895.2476),(52 887.7495),(53 884.4998),(54 872.5629),(55 874.7744),(56 876.09607),(57 879.33453),(58 876.701),(59 882.3898),(60 885.50464),(61 898.3108),(62 898.7526),(63 892.9717),(64 901.8108),(65 896.5988),(66 893.19666),(67 910.93964),(68 896.67834),(69 892.45294),(70 898.5817),(71 905.0642),(72 908.0195),(73 904.6201),(74 902.2255),(75 918.39014),(76 924.83203),(77 935.44995),(78 947.7378),(79 926.61237),
(1 474.84637),(2 615.7574),(3 698.15063),(4 729.4805),(5 750.1136),(6 761.22284),(7 780.1342),(8 781.91785),(9 782.9688),(10 775.8104),(11 787.26855),(12 809.17957),(13 808.1782),(14 806.37244),(15 805.78815),(16 796.08026),(17 804.4901),(18 818.8473),(19 809.6527),(20 814.5018),(21 833.484),(22 825.98773),(23 823.26733),(24 817.1807),(25 820.8487),(26 826.82794),(27 821.8838),(28 825.8344),(29 818.24286),(30 824.97266),(31 832.83),(32 821.6881),(33 841.5847),(34 824.04535),(35 830.93665),(36 839.8651),(37 854.525),(38 865.02875),(39 873.8095),(40 860.50415),(41 864.25586),(42 863.03467),(43 860.9664),(44 865.2377),(45 862.60016),(46 843.3889),(47 846.606),(48 867.2423),(49 864.8896),(50 851.6917),(51 862.18835),(52 847.6252),(53 844.68524),(54 837.9783),(55 838.045),(56 849.3836),(57 854.40216),(58 838.48315),(59 847.24915),(60 856.13873),(61 854.33545),(62 865.99005),(63 861.22015),(64 857.2049),(65 865.4033),(66 875.107),(67 876.8132),(68 855.1854),(69 854.07825),(70 852.35626),(71 854.29047),(72 863.5503),(73 871.51996),(74 872.6326),(75 878.0818),(76 884.1877),(77 881.196),(78 888.97955),(79 882.753),
(1 462.94324),(2 609.48755),(3 687.04395),(4 727.8514),(5 754.20636),(6 779.1205),(7 797.7046),(8 807.6642),(9 802.7236),(10 807.9336),(11 799.3765),(12 820.81323),(13 805.63916),(14 805.1534),(15 804.36816),(16 801.3899),(17 809.07007),(18 820.2583),(19 807.2261),(20 807.3967),(21 815.6328),(22 813.1467),(23 821.9075),(24 823.4815),(25 836.18744),(26 839.08405),(27 841.23334),(28 847.558),(29 834.2329),(30 833.25714),(31 840.14386),(32 852.80804),(33 865.414),(34 860.74304),(35 870.1188),(36 872.5604),(37 889.2886),(38 878.27936),(39 880.57355),(40 866.4487),(41 868.7422),(42 887.5557),(43 875.12854),(44 880.6739),(45 873.50116),(46 856.6778),(47 860.3433),(48 861.1504),(49 858.5662),(50 856.88605),(51 868.909),(52 852.8996),(53 863.17645),(54 844.6186),(55 854.3096),(56 839.16034),(57 839.2178),(58 828.44714),(59 841.4307),(60 851.0957),(61 862.21063),(62 860.06793),(63 887.4432),(64 896.03046),(65 891.8393),(66 894.172),(67 890.1004),(68 874.03613),(69 872.0782),(70 869.2715),(71 868.9212),(72 873.724),(73 875.9982),(74 869.28845),(75 885.0637),(76 881.491),(77 887.09595),(78 891.33405),(79 907.9415),
(1 448.17307),(2 584.9706),(3 656.66),(4 695.0287),(5 720.7968),(6 749.57745),(7 771.0661),(8 774.0465),(9 773.26044),(10 780.5315),(11 781.98047),(12 789.07355),(13 779.3247),(14 786.0049),(15 790.3597),(16 778.8318),(17 769.7712),(18 780.9688),(19 778.8226),(20 775.6495),(21 782.154),(22 774.893),(23 774.51105),(24 780.4542),(25 781.7825),(26 791.2213),(27 777.957),(28 786.08264),(29 783.5923),(30 789.5613),(31 797.45435),(32 804.6255),(33 804.7487),(34 805.71295),(35 820.65137),(36 815.7184),(37 819.2698),(38 826.806),(39 829.9034),(40 831.07526),(41 830.67554),(42 841.4958),(43 828.1622),(44 834.5006),(45 838.8232),(46 825.26556),(47 824.11115),(48 832.23236),(49 831.45746),(50 834.00757),(51 838.1912),(52 811.15564),(53 814.03424),(54 810.59686),(55 807.41614),(56 799.76465),(57 807.48126),(58 806.272),(59 817.3222),(60 822.0154),(61 816.05334),(62 827.2229),(63 834.6752),(64 842.4189),(65 843.8311),(66 839.8213),(67 852.33936),(68 837.00195),(69 843.37854),(70 832.4053),(71 836.5563),(72 836.6683),(73 837.02167),(74 848.32153),(75 847.63763),(76 849.6384),(77 853.7724),(78 872.22797),(79 871.7278),
(1 438.97595),(2 567.5316),(3 627.40186),(4 654.536),(5 682.8417),(6 697.1086),(7 702.8541),(8 712.45636),(9 720.2431),(10 710.0322),(11 709.54865),(12 711.6322),(13 719.75385),(14 733.3209),(15 738.7036),(16 735.0094),(17 742.89624),(18 755.99536),(19 739.1516),(20 733.9906),(21 741.92975),(22 741.6805),(23 741.6971),(24 741.51953),(25 751.07385),(26 757.74866),(27 764.2624),(28 768.4202),(29 748.54987),(30 747.2693),(31 749.8146),(32 746.9708),(33 763.2125),(34 766.64087),(35 772.4632),(36 773.059),(37 781.4569),(38 785.03217),(39 784.8378),(40 772.46344),(41 789.03894),(42 792.4579),(43 783.615),(44 783.5252),(45 786.4075),(46 768.3118),(47 775.3433),(48 787.69824),(49 780.6648),(50 769.0773),(51 781.0549),(52 780.6156),(53 777.6321),(54 771.868),(55 777.198),(56 769.3408),(57 767.22675),(58 769.2335),(59 778.3511),(60 772.80023),(61 774.2556),(62 783.32434),(63 788.75726),(64 801.3832),(65 801.1633),(66 810.8387),(67 810.72284),(68 789.4387),(69 806.1047),(70 797.78784),(71 799.9814),(72 812.3896),(73 817.98865),(74 814.6536),(75 825.6823),(76 822.63336),(77 813.64923),(78 821.4846),(79 808.80756),
(1 435.17883),(2 558.8374),(3 623.82227),(4 658.14667),(5 678.71265),(6 687.73944),(7 704.57007),(8 712.6592),(9 713.4005),(10 713.9463),(11 723.9199),(12 733.30585),(13 729.0069),(14 721.99426),(15 719.6737),(16 713.2593),(17 717.6277),(18 728.13745),(19 726.0411),(20 729.67865),(21 726.9073),(22 728.0347),(23 717.61414),(24 716.55237),(25 711.5702),(26 720.3249),(27 732.449),(28 727.7615),(29 726.6121),(30 727.801),(31 739.3768),(32 751.7425),(33 761.23254),(34 757.6726),(35 756.62006),(36 759.0671),(37 773.1195),(38 774.24615),(39 776.3459),(40 776.15344),(41 777.90894),(42 780.52795),(43 765.39124),(44 774.12744),(45 776.1499),(46 759.81555),(47 763.35236),(48 775.36163),(49 766.7582),(50 759.19977),(51 770.36066),(52 753.6629),(53 754.21124),(54 755.025),(55 756.9925),(56 755.8912),(57 764.781),(58 763.2953),(59 765.4738),(60 775.12836),(61 776.89435),(62 783.24023),(63 780.74),(64 788.67114),(65 778.7156),(66 802.0384),(67 805.482),(68 784.58813),(69 788.65247),(70 796.5725),(71 801.6272),(72 794.98),(73 799.12213),(74 797.5274),(75 810.0654),(76 806.23267),(77 800.98987),(78 818.95996),(79 813.1208),
(1 423.8061),(2 541.6539),(3 601.954),(4 631.2768),(5 641.58185),(6 669.44714),(7 675.1427),(8 678.455),(9 680.5234),(10 674.41516),(11 683.01044),(12 687.6803),(13 695.90784),(14 695.09296),(15 699.1012),(16 691.2782),(17 702.6087),(18 706.5945),(19 701.8077),(20 699.0388),(21 705.0491),(22 707.2042),(23 708.4065),(24 709.9497),(25 718.20734),(26 722.59564),(27 714.9937),(28 723.03406),(29 704.05554),(30 715.46704),(31 721.99615),(32 722.9482),(33 734.01105),(34 731.31134),(35 728.6538),(36 720.8887),(37 734.16437),(38 743.7514),(39 752.6555),(40 757.49603),(41 758.30963),(42 758.5444),(43 746.7283),(44 752.6898),(45 760.7557),(46 754.7061),(47 759.9008),(48 754.9652),(49 749.71405),(50 729.1904),(51 747.3481),(52 739.9096),(53 749.3814),(54 749.88947),(55 749.24603),(56 741.93567),(57 750.3988),(58 740.2163),(59 745.57043),(60 745.57184),(61 749.0382),(62 751.77124),(63 755.74243),(64 752.94293),(65 762.0407),(66 762.2903),(67 770.8091),(68 751.40967),(69 756.76056),(70 763.48505),(71 770.2733),(72 770.0212),(73 783.44965),(74 774.67816),(75 772.4652),(76 773.37573),(77 786.2805),(78 786.7237),(79 779.8627),
(1 413.41705),(2 537.3794),(3 602.7717),(4 621.1361),(5 643.4487),(6 661.0215),(7 671.0833),(8 667.59357),(9 671.8279),(10 673.5642),(11 669.916),(12 672.76166),(13 681.00684),(14 679.4093),(15 681.57965),(16 679.25464),(17 677.4764),(18 685.67),(19 676.04706),(20 674.832),(21 689.4657),(22 699.80035),(23 697.6495),(24 693.234),(25 684.7515),(26 704.397),(27 705.577),(28 709.561),(29 703.84216),(30 710.765),(31 716.53577),(32 713.7087),(33 714.00806),(34 721.7987),(35 727.79974),(36 721.5608),(37 743.47815),(38 737.9382),(39 742.35236),(40 737.00934),(41 744.6567),(42 750.07806),(43 732.42285),(44 734.48236),(45 741.572),(46 729.7163),(47 741.43933),(48 739.5791),(49 735.51086),(50 733.7091),(51 729.0852),(52 720.0896),(53 721.82684),(54 726.79236),(55 727.26),(56 714.99805),(57 717.0586),(58 731.8619),(59 724.9141),(60 733.1457),(61 738.80396),(62 735.21515),(63 739.23706),(64 740.28046),(65 752.581),(66 744.7536),(67 745.4698),(68 727.11707),(69 733.94275),(70 744.29584),(71 742.39124),(72 740.38916),(73 753.8034),(74 765.8282),(75 768.9869),(76 762.15234),(77 764.2754),(78 770.6858),(79 771.85535),
(1 408.32602),(2 521.99),(3 584.04987),(4 609.88983),(5 624.1688),(6 640.3896),(7 648.0424),(8 651.9201),(9 654.8703),(10 659.4993),(11 656.75745),(12 657.9642),(13 655.04004),(14 649.92114),(15 651.58905),(16 651.36554),(17 659.9626),(18 660.9339),(19 661.02496),(20 668.5003),(21 671.25415),(22 677.9555),(23 661.44965),(24 661.7219),(25 670.12085),(26 679.4685),(27 677.763),(28 685.28925),(29 676.62714),(30 680.0415),(31 686.2676),(32 684.55383),(33 692.81384),(34 702.88574),(35 708.22186),(36 715.92413),(37 727.31464),(38 723.026),(39 727.51465),(40 718.0878),(41 727.2907),(42 715.72235),(43 707.28076),(44 709.72565),(45 719.4925),(46 705.8399),(47 702.42126),(48 708.0301),(49 693.08765),(50 694.63086),(51 702.3529),(52 695.7504),(53 698.74347),(54 694.3019),(55 695.27014),(56 686.35046),(57 695.8623),(58 687.2798),(59 684.8309),(60 694.32654),(61 690.9936),(62 686.7642),(63 686.4863),(64 704.2496),(65 696.85016),(66 703.75824),(67 717.2908),(68 696.8135),(69 703.95215),(70 701.6854),(71 709.2281),(72 709.8495),(73 707.78235),(74 705.94684),(75 712.6586),(76 708.79004),(77 714.9709),(78 713.61945),(79 725.32654),
(1 389.81387),(2 498.2014),(3 547.6239),(4 580.6179),(5 582.529),(6 600.40955),(7 605.50024),(8 608.70166),(9 610.9411),(10 613.6312),(11 628.3523),(12 626.32855),(13 623.51654),(14 619.00366),(15 624.3132),(16 622.32294),(17 620.7886),(18 632.3866),(19 631.5841),(20 633.5653),(21 640.05707),(22 639.7416),(23 627.41046),(24 629.5806),(25 627.3046),(26 636.23615),(27 647.2203),(28 659.2396),(29 649.0362),(30 657.99493),(31 660.58154),(32 665.1522),(33 666.844),(34 664.8282),(35 669.7708),(36 665.9255),(37 667.77673),(38 668.1952),(39 674.6062),(40 682.2427),(41 683.162),(42 687.6831),(43 682.90125),(44 681.82355),(45 692.633),(46 677.98724),(47 678.0471),(48 683.9104),(49 669.64276),(50 674.47125),(51 678.22156),(52 668.86957),(53 663.72314),(54 661.1867),(55 678.9789),(56 663.3353),(57 669.8905),(58 664.6826),(59 664.15924),(60 671.10944),(61 670.8449),(62 658.06195),(63 658.8447),(64 672.05273),(65 669.30524),(66 663.6675),(67 669.3748),(68 665.9681),(69 661.8037),(70 670.15607),(71 664.57996),(72 670.5471),(73 671.42523),(74 672.15936),(75 670.0541),(76 677.4206),(77 674.727),(78 686.61163),(79 676.0405),
(1 383.2989),(2 491.8225),(3 547.4168),(4 572.3439),(5 589.4452),(6 606.93164),(7 617.9668),(8 629.08167),(9 621.0449),(10 625.43964),(11 631.89935),(12 633.9403),(13 632.25104),(14 631.2752),(15 640.17487),(16 640.7771),(17 642.0707),(18 649.4882),(19 644.07526),(20 645.9143),(21 645.1693),(22 637.53406),(23 632.07135),(24 630.1173),(25 632.86),(26 637.46),(27 638.8092),(28 646.0046),(29 644.19543),(30 653.70416),(31 652.05835),(32 654.5468),(33 654.3143),(34 662.9157),(35 661.02563),(36 661.6126),(37 676.799),(38 677.87164),(39 686.9375),(40 691.199),(41 683.17084),(42 687.12933),(43 689.0079),(44 680.18176),(45 678.7537),(46 685.07153),(47 689.94763),(48 687.982),(49 670.2941),(50 672.98376),(51 678.07794),(52 674.20044),(53 663.5293),(54 672.6886),(55 668.5661),(56 662.0307),(57 658.1427),(58 652.7184),(59 653.9244),(60 656.65717),(61 656.4026),(62 649.5313),(63 656.9858),(64 666.42847),(65 672.3418),(66 672.4348),(67 676.1379),(68 658.73193),(69 665.1397),(70 660.5483),(71 672.7888),(72 678.5317),(73 675.74426),(74 675.75665),(75 683.4543),(76 676.9927),(77 685.888),(78 699.3691),(79 685.3619),
