1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 82649.24),(2 217438.45),(3 414566.97),(4 658597),(5 919216),(6 1235043.1),(7 1568107),(8 1942279.6),(9 2306588.3),(10 2729059.5),(11 3177543.3),(12 3598033.3),(13 4030856),(14 4481666.5),(15 4904938.5),(16 5439227.5),(17 5913138.5),(18 6262142.5),(19 6604022.5),(20 6933324),(21 7284068),(22 7588126.5),(23 7926356),(24 8261698.5),(25 8680589),(26 9094823),(27 9515477),(28 10008599),(29 10446179),(30 10750583),(31 11079071),(32 11338939),(33 11642493),(34 11828435),(35 12031045),(36 12197372),(37 12225755),(38 12203403),(39 12354047),(40 12621241),(41 13352583),(42 13660092),(43 14052967),(44 14511772),(45 14865297),(46 15055067),(47 15319240),(48 15686967),(49 16035197),(50 16223779),(51 16446475),(52 16709245),(53 16963154),(54 17138210),(55 17294354),(56 17378186),(57 17460790),(58 17489574),(59 17622202),(60 17792452),(61 17905192),(62 17834394),(63 17743826),(64 17847642),(65 17886946),(66 18558910),(67 18981766),(68 19486526),(69 20002590),(70 20468882),(71 21002988),(72 21573718),(73 22195330),(74 22817656),(75 23484298),(76 24245042),(77 25072906),(78 25979382),(79 26944720),
(1 6414.924),(2 12752.547),(3 16794.89),(4 19077.28),(5 21001.963),(6 22042.48),(7 23308),(8 23380.002),(9 23860.29),(10 23730.441),(11 24039.89),(12 23918.098),(13 24170.297),(14 24471.19),(15 25367.367),(16 25873.246),(17 26173.197),(18 26170.752),(19 26396.934),(20 25953.83),(21 25973.193),(22 25612.652),(23 25937.965),(24 25936.99),(25 26274.93),(26 25959.098),(27 25860.867),(28 25705.951),(29 26048.633),(30 25672.553),(31 25470.412),(32 25027.793),(33 25010.03),(34 24693.658),(35 25000.623),(36 24623.941),(37 25043.494),(38 24901.994),(39 25307.736),(40 25038.03),(41 25777.564),(42 26061.04),(43 26495.018),(44 26804.877),(45 26414.934),(46 26401.643),(47 26626.041),(48 26431.72),(49 26629.967),(50 26392.996),(51 26657.424),(52 26319.441),(53 26303.793),(54 26038.547),(55 26032.676),(56 25928.38),(57 26465.76),(58 26544.803),(59 27244.375),(60 27132.447),(61 27618.498),(62 27180.795),(63 27452.344),(64 27316.797),(65 27444.766),(66 27158.102),(67 27050.598),(68 26700.447),(69 27015.799),(70 26790.414),(71 27075.041),(72 26667.828),(73 26913.982),(74 26665.52),(75 27166.79),(76 27077.277),(77 27372.37),(78 26884.271),(79 27038.066),
(1 6415.2256),(2 12445.019),(3 16298.96),(4 18231.695),(5 19953.396),(6 21118.117),(7 22365.297),(8 22715.623),(9 23252.795),(10 23533.76),(11 24039.088),(12 23921.557),(13 24581),(14 24634.54),(15 25121.686),(16 25474.79),(17 25913.684),(18 25536.783),(19 25635.818),(20 25388.064),(21 25494.201),(22 25216.266),(23 25530.04),(24 25784.154),(25 26226.697),(26 26188),(27 26526.639),(28 26353.82),(29 26363.32),(30 25882.871),(31 25754.783),(32 25399.1),(33 25579.146),(34 25115.316),(35 25501.516),(36 25454.482),(37 25691.482),(38 25518.744),(39 25790.3),(40 25718.135),(41 26555.195),(42 26693.445),(43 26830.773),(44 27096.92),(45 26920.65),(46 26836.46),(47 26720.334),(48 26434.924),(49 26521.518),(50 26118.027),(51 26501.361),(52 26294.637),(53 26659.457),(54 26776.014),(55 27232.701),(56 27460.934),(57 27710.66),(58 27588.86),(59 28279.287),(60 28296.748),(61 28498.531),(62 28038.973),(63 27971.822),(64 27749.404),(65 27916.818),(66 27882.94),(67 27992.72),(68 27511.664),(69 27829.664),(70 27612.01),(71 27660.336),(72 27317.066),(73 27609.164),(74 27529.115),(75 27911.752),(76 27804.514),(77 28025.693),(78 27838.713),(79 28097.14),
(1 6280.6523),(2 12074.039),(3 15670.491),(4 17562.607),(5 18997.2),(6 19704.31),(7 20761.523),(8 21138.313),(9 21705.887),(10 21794.652),(11 22202.467),(12 22109.82),(13 22564.256),(14 22413.988),(15 22414.773),(16 22817.902),(17 23560.299),(18 23726.5),(19 24245.953),(20 24095.14),(21 24308.41),(22 24358.799),(23 24744.426),(24 24559.455),(25 24885.299),(26 24906.79),(27 25431.176),(28 25077.287),(29 25436.527),(30 25387.393),(31 25322.527),(32 25030.6),(33 25231.625),(34 24924.992),(35 25261.105),(36 25323.064),(37 25502.762),(38 25320.072),(39 25443.219),(40 25442.576),(41 26237.248),(42 26242.063),(43 26146.021),(44 26255.148),(45 25986.01),(46 25879.182),(47 25967.998),(48 25622.512),(49 25845.627),(50 25393.203),(51 25436.156),(52 25385.783),(53 25809.465),(54 25777.766),(55 26034.047),(56 26244.512),(57 26777.814),(58 26763.932),(59 27278.354),(60 27218.29),(61 27496.027),(62 27293.117),(63 27152.047),(64 26903.797),(65 26936.05),(66 26878.475),(67 27053.557),(68 26712.406),(69 26974.58),(70 26489.676),(71 26553.371),(72 26171.992),(73 26486.287),(74 26628.156),(75 27309.574),(76 27013.979),(77 26966.498),(78 26800.107),(79 27124.715),
(1 6265.8613),(2 11921.785),(3 15361.534),(4 17163.955),(5 18559.414),(6 19110.904),(7 20026.633),(8 20596.947),(9 21216.406),(10 21029.389),(11 21343.395),(12 21288.863),(13 21624.777),(14 21371.678),(15 21531.51),(16 21645.959),(17 21867.252),(18 21647.596),(19 22071.68),(20 21687.938),(21 22022.988),(22 21934.928),(23 22158.598),(24 22112.484),(25 22709.094),(26 22708.93),(27 23218.072),(28 22947.953),(29 23113.418),(30 22789.709),(31 22918.398),(32 22858.693),(33 23097.129),(34 22711.639),(35 22986.586),(36 22853.268),(37 23218.945),(38 23097.938),(39 23472.14),(40 23291.447),(41 23839.135),(42 23616.465),(43 23653.203),(44 23624.203),(45 23497.098),(46 23599.473),(47 24053.078),(48 23705.836),(49 23800.178),(50 23532.219),(51 23541.916),(52 23267.166),(53 23707.59),(54 23614.953),(55 24040.707),(56 23768.176),(57 24177.24),(58 24188.67),(59 24719.44),(60 24668.729),(61 25277.734),(62 25302.096),(63 25745.352),(64 25225.361),(65 24980.44),(66 24973.342),(67 25241.248),(68 25004.736),(69 25580.688),(70 25272.35),(71 25554.012),(72 25649.238),(73 25946.64),(74 25762.727),(75 26095.268),(76 25881.684),(77 26136.82),(78 25982.455),(79 26004.338),
(1 6045.5566),(2 11453.638),(3 15035.979),(4 16991.771),(5 18749.809),(6 19650.424),(7 20583.875),(8 21073.709),(9 21833.822),(10 21906.164),(11 22185.201),(12 21903.553),(13 21900.193),(14 21531.54),(15 21969.926),(16 22280.04),(17 22700.441),(18 22381.393),(19 22533.854),(20 22290.926),(21 22353.271),(22 22106.9),(23 22291.324),(24 22020.564),(25 22301.357),(26 22291.156),(27 22562.145),(28 21943.875),(29 21914.914),(30 21371.238),(31 21437.396),(32 21445.52),(33 21782.887),(34 21487.867),(35 21655.582),(36 21519.217),(37 22024.662),(38 22284.639),(39 22821.023),(40 22951.713),(41 23613.068),(42 23497.729),(43 23589.875),(44 23759.725),(45 23489.514),(46 23366.273),(47 23588.982),(48 23318.94),(49 23545.613),(50 23312.586),(51 23395.4),(52 23413.805),(53 23988.645),(54 23811.406),(55 23912.867),(56 23928.273),(57 24440.54),(58 24374.84),(59 25009.184),(60 25218.326),(61 25642.53),(62 25508.521),(63 25635.453),(64 25404.434),(65 25374.443),(66 25297.18),(67 25424.467),(68 25247.78),(69 25690.889),(70 25404.566),(71 25539.44),(72 25447.41),(73 25649.748),(74 25657.592),(75 26025.533),(76 25599.246),(77 25513.107),(78 24971.668),(79 24801.693),
(1 5764.5996),(2 11069.002),(3 14412.301),(4 16095.023),(5 17566.256),(6 18492.04),(7 19353.334),(8 19590.635),(9 20024.875),(10 20311.549),(11 20725.488),(12 20423.506),(13 20568.676),(14 20499.451),(15 21023.277),(16 21284.285),(17 21714.996),(18 21886.781),(19 22407.678),(20 22357.36),(21 22676.857),(22 22530.643),(23 22484.545),(24 22282.666),(25 22473.133),(26 22146.314),(27 22308.707),(28 22111.484),(29 22424.172),(30 22283.426),(31 22531.828),(32 22370.857),(33 22425.111),(34 21898.701),(35 22035.889),(36 21951.76),(37 22393.943),(38 22386.277),(39 22970.717),(40 23116.1),(41 23671.273),(42 23713.232),(43 23691.682),(44 23733.78),(45 23435.098),(46 23255.3),(47 23566.164),(48 23271.479),(49 23566.252),(50 23272.135),(51 23547.004),(52 23279.826),(53 23354.16),(54 23129.86),(55 23122.66),(56 22868.639),(57 23355.484),(58 23620.98),(59 24201.229),(60 24114.223),(61 24206.707),(62 23963.584),(63 23994.463),(64 23949.066),(65 24149.775),(66 24050.766),(67 24318.861),(68 24082.283),(69 24376.992),(70 24198.771),(71 24482.178),(72 24272.473),(73 24566.328),(74 24290.406),(75 24560.906),(76 24344.129),(77 24548.547),(78 24331.057),(79 24469.121),
(1 5568.1694),(2 10610.543),(3 13859.905),(4 15609.195),(5 17232.568),(6 17945.215),(7 18836.984),(8 19090.62),(9 19403.947),(10 19469.377),(11 19854.738),(12 19553.256),(13 19787.709),(14 19671.344),(15 20122.785),(16 20707.334),(17 21251.078),(18 21422.58),(19 21813.37),(20 21637.248),(21 21870.922),(22 21456.793),(23 21621.549),(24 21627.094),(25 21861.094),(26 21568.855),(27 21900.43),(28 21637.344),(29 21679.182),(30 21170.527),(31 21211.27),(32 20887.61),(33 21160.455),(34 21000.5),(35 21415.354),(36 21386.352),(37 21649.8),(38 21561.664),(39 21867.033),(40 21767.408),(41 22473.988),(42 22379.46),(43 22620.959),(44 22884.602),(45 22591.6),(46 22483.63),(47 22666.377),(48 22605.938),(49 22961.715),(50 22595.432),(51 22854.225),(52 22696.775),(53 22916.83),(54 22834.623),(55 23012.299),(56 22565.188),(57 22692.795),(58 22765.807),(59 23064.7),(60 22871.469),(61 22864.11),(62 22355.914),(63 22143.895),(64 21869.6),(65 21762.22),(66 21792.18),(67 22043.861),(68 21705.436),(69 21956.086),(70 21693.76),(71 21967.541),(72 22169.46),(73 22482.693),(74 22309.99),(75 22532.393),(76 22371.736),(77 22522.887),(78 22228.11),(79 22344.68),
(1 5482.316),(2 10353.996),(3 13501.067),(4 15152.202),(5 16521.225),(6 16938.395),(7 17588.082),(8 18008.44),(9 18434.768),(10 18227.57),(11 18372.09),(12 18109.887),(13 18348.906),(14 18371.77),(15 18604.506),(16 18939.531),(17 19431.453),(18 19571.543),(19 20052.666),(20 20080.813),(21 20375.428),(22 20214.008),(23 20607.67),(24 20770.164),(25 21171.826),(26 20886.64),(27 20932.36),(28 20514.158),(29 20718.463),(30 20789.22),(31 20928.7),(32 20572.824),(33 20762.08),(34 20634.064),(35 20745.094),(36 20543.61),(37 20876.748),(38 20716.963),(39 21052.64),(40 20991.79),(41 21673.035),(42 21613.932),(43 22035.943),(44 22266.338),(45 22196.809),(46 22105.838),(47 22164.354),(48 21692.424),(49 21821.078),(50 21710.9),(51 22033.002),(52 21693.752),(53 21867.43),(54 21634.865),(55 21728.887),(56 21652.863),(57 22160.596),(58 22070.287),(59 22307.553),(60 22346.576),(61 22620.115),(62 22409.309),(63 22591.984),(64 22194.22),(65 22006.592),(66 21913.623),(67 21986.303),(68 21548.03),(69 21975.355),(70 21950.236),(71 22101.928),(72 21915.834),(73 22025.813),(74 21861.879),(75 22175.428),(76 22134.033),(77 22301.621),(78 21981.066),(79 22178.908),
(1 5362.1685),(2 10249.987),(3 13445.031),(4 15109.498),(5 16066.886),(6 16305.107),(7 17121.057),(8 17715.328),(9 18461.094),(10 18492.59),(11 18749.336),(12 18542.766),(13 18827.63),(14 18883.13),(15 19321.836),(16 19651.97),(17 19916.088),(18 19656.145),(19 19798.295),(20 19697.932),(21 19964.867),(22 19827.66),(23 20076.523),(24 20036.406),(25 20270.623),(26 19982.146),(27 20086.441),(28 19750.588),(29 19989.646),(30 19820.24),(31 19821.701),(32 19429.492),(33 19681.258),(34 19704.453),(35 19934.3),(36 19779.143),(37 20111.178),(38 20006),(39 20174.918),(40 19885.344),(41 20213.908),(42 20287.146),(43 20676.305),(44 20774.86),(45 20569.777),(46 20518.455),(47 20555.352),(48 20295.748),(49 20474.008),(50 20341.74),(51 20624.146),(52 20505.232),(53 21040.34),(54 20959.404),(55 21302.773),(56 21252.656),(57 21546.275),(58 21712.621),(59 21922.69),(60 21641.367),(61 22016.877),(62 22108.633),(63 22299.771),(64 22003.408),(65 22016.969),(66 22119.844),(67 22187.166),(68 21842.81),(69 21898.627),(70 21589.525),(71 21759.357),(72 21766.963),(73 22012.744),(74 21888.285),(75 22180.744),(76 22157.797),(77 22243.445),(78 21796.617),(79 21790.883),
(1 5374.5005),(2 9967.174),(3 12964.948),(4 14531.717),(5 15889.729),(6 16425.023),(7 17131.701),(8 17419.455),(9 17949.578),(10 18137.404),(11 18715.041),(12 18690.238),(13 18858.258),(14 18727.543),(15 19072.775),(16 19406.674),(17 19622.709),(18 19441.816),(19 19732.365),(20 19595.14),(21 19830.006),(22 19592.62),(23 19794.637),(24 19648.744),(25 19926.506),(26 19658.035),(27 19985.219),(28 19759.271),(29 19925.236),(30 19656.904),(31 19749.023),(32 19374.727),(33 19643.68),(34 19294.537),(35 19371),(36 19397.627),(37 19748.1),(38 19705.504),(39 20040.121),(40 19820.78),(41 20434.154),(42 20523.871),(43 20643.447),(44 20602.76),(45 20384.629),(46 20356.195),(47 20413.545),(48 20146.436),(49 20131.42),(50 19894.354),(51 20297.336),(52 20308.275),(53 20737.287),(54 20516.236),(55 20588.342),(56 20516.555),(57 20708.018),(58 20753.422),(59 21015.666),(60 20760.824),(61 21042.771),(62 21003.273),(63 21347.6),(64 21142.791),(65 21219.074),(66 21109.615),(67 21303.627),(68 21087.865),(69 21340.594),(70 21154.861),(71 21402.764),(72 21356.857),(73 21838.38),(74 21731.813),(75 21944.078),(76 21753.277),(77 22023.568),(78 21787.855),(79 21707.592),
(1 5089.908),(2 9365.927),(3 12157.751),(4 13708.524),(5 14885.711),(6 15503.836),(7 16434.729),(8 16788.799),(9 17178.207),(10 17082.771),(11 17180.324),(12 16909.451),(13 17058.072),(14 16987.89),(15 17299.822),(16 17515.846),(17 17813.096),(18 17700.441),(19 17787.313),(20 17713.44),(21 18175.404),(22 18124.22),(23 18476.107),(24 18233.633),(25 18322.928),(26 18236.328),(27 18572.049),(28 18246.625),(29 18265.78),(30 18059.756),(31 18306.172),(32 18222.79),(33 18483.205),(34 18297.166),(35 18495.574),(36 18604.992),(37 18907.076),(38 18672.19),(39 18930.037),(40 18717.166),(41 19047.018),(42 19063.693),(43 19101.266),(44 18960.04),(45 18882.793),(46 18861.41),(47 19090.22),(48 18684.625),(49 18670.422),(50 18346.828),(51 18428.33),(52 18333.186),(53 18643.365),(54 18530.148),(55 18725.854),(56 18781.059),(57 19080.93),(58 18886.688),(59 18913.729),(60 18551.191),(61 18677.45),(62 18567.158),(63 18815.424),(64 18490.336),(65 18449.543),(66 18577.666),(67 18855.209),(68 18843.934),(69 19234.664),(70 19154.078),(71 19431.33),(72 19118.277),(73 19499.11),(74 19242.959),(75 19611.826),(76 19501.428),(77 19696.53),(78 19416.959),(79 19578.438),
(1 5063.21),(2 9245.899),(3 12051.548),(4 13610.164),(5 14991.317),(6 15602),(7 16527.582),(8 16886.51),(9 17447.838),(10 17531.48),(11 17782.492),(12 17530.303),(13 17785.379),(14 17774.508),(15 18153.797),(16 18150.984),(17 18228.17),(18 17984.746),(19 17822.639),(20 17613.703),(21 17964.54),(22 18156.727),(23 18669.664),(24 18679.11),(25 18766.512),(26 18558.467),(27 18828.14),(28 18653.766),(29 18682.836),(30 18371.256),(31 18525.418),(32 18307.953),(33 18609.195),(34 18298.088),(35 18350.47),(36 18316.568),(37 18666.943),(38 18379.1),(39 18578.678),(40 18285.29),(41 18421.105),(42 18295.035),(43 18500.412),(44 18737.71),(45 18409.295),(46 18321.344),(47 18740.998),(48 18513.668),(49 18579.957),(50 18247.996),(51 18283.455),(52 18085.861),(53 18355.03),(54 18326.553),(55 18683.338),(56 18714.828),(57 18869.686),(58 18708.182),(59 18868.215),(60 18793.771),(61 18839.068),(62 18647.14),(63 18993.2),(64 18988.975),(65 19153.615),(66 19371.477),(67 19552.469),(68 19094.137),(69 18903.549),(70 18603.727),(71 18759.723),(72 18826.879),(73 19093.379),(74 18800.105),(75 19074.271),(76 18904.424),(77 19321.174),(78 19019.91),(79 19176.33),
(1 4875.345),(2 8994.607),(3 11701.7),(4 13217.122),(5 14539.525),(6 15106.758),(7 16086.915),(8 16457.984),(9 16924.018),(10 16892.59),(11 17111.863),(12 16870.7),(13 17022.414),(14 17083.305),(15 17421.11),(16 17621.424),(17 17604.527),(18 17288.854),(19 17441.146),(20 17224.92),(21 17242.166),(22 16997.105),(23 17272.049),(24 17364.701),(25 17641.967),(26 17462.713),(27 17728.96),(28 17535.281),(29 17491.008),(30 17153.861),(31 17364.93),(32 17239.178),(33 17539.596),(34 17500.555),(35 17849.82),(36 17726.59),(37 17976.574),(38 17594.148),(39 17948.572),(40 17904.787),(41 18422.664),(42 18452.957),(43 18397.756),(44 18479.463),(45 18370.646),(46 18331.088),(47 18441.22),(48 18082.799),(49 18232.512),(50 18193.32),(51 18378.385),(52 18274.484),(53 18656.762),(54 18562.352),(55 18766.541),(56 18617.37),(57 18766.496),(58 18546.182),(59 18734.428),(60 18655.625),(61 18885.965),(62 18752.549),(63 18628.012),(64 18490.52),(65 18610.285),(66 18803.045),(67 18838.057),(68 18351.713),(69 18451.762),(70 18027.148),(71 18106.475),(72 17953.1),(73 18186.99),(74 18093.578),(75 18598.996),(76 18550.623),(77 19161.771),(78 19317.877),(79 19676.445),
(1 4838.2803),(2 8899.939),(3 11557.131),(4 12896.21),(5 14153.449),(6 14847.891),(7 15808.877),(8 16223.78),(9 16680.662),(10 16758.521),(11 16967.203),(12 16938.71),(13 17179.031),(14 17210.092),(15 17507.19),(16 17349.656),(17 17453.807),(18 17272.201),(19 17482),(20 17277.805),(21 17555.451),(22 17847.406),(23 18293.613),(24 18152.947),(25 18370.396),(26 18237.758),(27 18548.879),(28 18563.748),(29 18774.473),(30 18684.594),(31 18811.809),(32 18601.465),(33 18889.625),(34 18779.781),(35 19063.469),(36 19010.2),(37 19251.047),(38 18993.32),(39 19254.03),(40 19153.447),(41 19512.318),(42 19479.53),(43 19562.336),(44 19703.393),(45 19408),(46 19052.252),(47 19237.063),(48 19043.61),(49 19304.08),(50 19125.184),(51 19335.379),(52 19388.852),(53 19661.111),(54 19471.342),(55 19866.691),(56 20081.389),(57 20403.854),(58 20195.227),(59 20483.799),(60 20322.078),(61 20623.938),(62 20458.95),(63 20363.283),(64 20100.371),(65 20131.156),(66 20023.264),(67 20160.879),(68 19748.064),(69 19686.129),(70 19328.8),(71 19371.63),(72 19082.969),(73 19278.057),(74 18958.848),(75 19332.527),(76 19136.912),(77 19238.934),(78 18954.959),(79 19039.322),
(1 4749.77),(2 8608.895),(3 11127.338),(4 12261.167),(5 13371.564),(6 13920.656),(7 14771.326),(8 15090.104),(9 15387.762),(10 15379.674),(11 15748.802),(12 15819.212),(13 16167.981),(14 16131.72),(15 16331.502),(16 16436.58),(17 16718.281),(18 16414.7),(19 16672.848),(20 16481.963),(21 16691.234),(22 16844.941),(23 17229.803),(24 17315.945),(25 17660.016),(26 17483.326),(27 17661.951),(28 17479.008),(29 17606.717),(30 17468.904),(31 17646.807),(32 17334.38),(33 17650.16),(34 17535.299),(35 17963.137),(36 17947.293),(37 18178.764),(38 18159.992),(39 18482.988),(40 18328.506),(41 18678.08),(42 18647.033),(43 18697.82),(44 18887.72),(45 18657.273),(46 18449.846),(47 18724.52),(48 18711.688),(49 18830.412),(50 18810.697),(51 19015.215),(52 18743.547),(53 18899.182),(54 18859.404),(55 19395.613),(56 19318.04),(57 19611.402),(58 19552.809),(59 19639.324),(60 19512.291),(61 19770.01),(62 19689.563),(63 19646.275),(64 19575.49),(65 19686.123),(66 19493.203),(67 19453.004),(68 19041.502),(69 19131.457),(70 18938.607),(71 18885.725),(72 18650.111),(73 18728.81),(74 18525.824),(75 18651.535),(76 18244.107),(77 18304.646),(78 18001.28),(79 18129.438),
(1 4642.4756),(2 8470.965),(3 11020.906),(4 12214.401),(5 13250.853),(6 13678.958),(7 14257.344),(8 14434.908),(9 14789.872),(10 14702.959),(11 14986.16),(12 15003.456),(13 15385.249),(14 15429.404),(15 15607.953),(16 15568.764),(17 15744.168),(18 15379.168),(19 15658.596),(20 15541.042),(21 15618.352),(22 15681.001),(23 16075.998),(24 16020.56),(25 16235.316),(26 16242.9375),(27 16468.16),(28 16189.452),(29 16160.75),(30 15982.293),(31 16307.941),(32 16240.215),(33 16461.387),(34 16253.693),(35 16396.428),(36 16234.468),(37 16573.21),(38 16549.64),(39 16969.975),(40 16934.457),(41 17380.293),(42 17130.832),(43 17158.096),(44 17274.734),(45 16936.19),(46 16859.656),(47 17094.61),(48 16993.242),(49 17289),(50 17069.367),(51 17154.389),(52 16901.316),(53 17052.848),(54 17090.547),(55 17510.605),(56 17374.209),(57 17508.68),(58 17423.092),(59 17668.793),(60 17657.822),(61 18141.43),(62 18196.941),(63 18334.512),(64 18124.527),(65 18313.969),(66 18128.35),(67 18228.865),(68 18045.24),(69 18052.027),(70 17757.195),(71 17918.178),(72 17855.496),(73 18181.396),(74 18181.678),(75 18299.11),(76 18115.46),(77 18463.633),(78 18467.15),(79 18596.361),
(1 4666.9478),(2 8382.937),(3 10871.517),(4 12040.86),(5 13017.833),(6 13535.574),(7 14232.537),(8 14605.326),(9 15085.191),(10 15036.416),(11 15169.745),(12 15157.695),(13 15514.593),(14 15665.866),(15 15881.3125),(16 16055.846),(17 16275.085),(18 15912.634),(19 15923.657),(20 15788.483),(21 15872.796),(22 15804.493),(23 16080.871),(24 16013.017),(25 16145.281),(26 15946.199),(27 16241.961),(28 16109.61),(29 16121.393),(30 15898.563),(31 16083.469),(32 15993.77),(33 16375.811),(34 16293.511),(35 16473.658),(36 16369.711),(37 16435.102),(38 16206.084),(39 16395.672),(40 16246.586),(41 16589.004),(42 16609.473),(43 16739.943),(44 16960.088),(45 16739.613),(46 16614.766),(47 16678.232),(48 16627.354),(49 16810.781),(50 16397.275),(51 16369.283),(52 16158.1875),(53 16354.682),(54 16297.457),(55 16626.684),(56 16482.188),(57 16685.271),(58 16789.91),(59 17122.895),(60 16979.412),(61 17480.012),(62 17548.49),(63 17882.738),(64 17818.682),(65 17814.547),(66 17804.24),(67 18072.357),(68 17987.766),(69 18113.549),(70 17838.922),(71 17971.518),(72 17812.045),(73 17764.164),(74 17612.664),(75 17890.89),(76 17837.074),(77 18087.332),(78 17962.623),(79 18045.727),
(1 4446.6157),(2 7909.4326),(3 10185.421),(4 11291.002),(5 12160.979),(6 12459.38),(7 13048.413),(8 13316.517),(9 13619.362),(10 13819.998),(11 14225.498),(12 14128.892),(13 14411.034),(14 14548.147),(15 14779.655),(16 14748.857),(17 14944.108),(18 14767.74),(19 14939.222),(20 14497.902),(21 14408.203),(22 14254.767),(23 14539.217),(24 14515.577),(25 14584.926),(26 14564.135),(27 15031.069),(28 14962.94),(29 15032.482),(30 14919.784),(31 15006.633),(32 14874.657),(33 15083.143),(34 15013.17),(35 15328.34),(36 14996.417),(37 15109.348),(38 14896.233),(39 15009.55),(40 14794.761),(41 15141.679),(42 14984.182),(43 15172.61),(44 15480.179),(45 15447.885),(46 15333.039),(47 15387.062),(48 15180.674),(49 15316.305),(50 15090.421),(51 15341.214),(52 15240.288),(53 15561.72),(54 15540.494),(55 15719.821),(56 15637.927),(57 15965.615),(58 15927.867),(59 16181.535),(60 16230.784),(61 16503.594),(62 16170.568),(63 16299.525),(64 16243.158),(65 16263.919),(66 16071.363),(67 16215.274),(68 15926.327),(69 15935.902),(70 15726.111),(71 15883.1),(72 15644.296),(73 15843.594),(74 15850.075),(75 16205.207),(76 15933.418),(77 16152.456),(78 15906.733),(79 16128.396),
