1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 71594.78),(2 40934.355),(3 140994.7),(4 141372.56),(5 256068.42),(6 279510.63),(7 402792),(8 441328.9),(9 569454.56),(10 611762.94),(11 730566),(12 789171.44),(13 919992.25),(14 1007657.56),(15 1153830.4),(16 1242296.1),(17 1382829.9),(18 1501805.4),(19 1647988.6),(20 1780417.6),(21 1939015.4),(22 2084525.6),(23 2271491.8),(24 2462088),(25 2640706.8),(26 2823773),(27 3010556),(28 3191819),(29 3372359.8),(30 3559849.8),(31 3739355.8),(32 3917014),(33 4061020),(34 4219557.5),(35 4346692),(36 4477516),(37 4572984),(38 4707827.5),(39 4812760),(40 4927113.5),(41 5011307),(42 5117719.5),(43 5205448.5),(44 5311354.5),(45 5386933.5),(46 5482771.5),(47 5542512),(48 5633202),(49 5703438),(50 5806716.5),(51 5905575.5),(52 6024752),(53 6112028.5),(54 6248392.5),(55 6367188),(56 6516908.5),(57 6667272),(58 6840994),(59 6976473.5),(60 7144160),(61 7309197.5),(62 7511088),(63 7656377.5),(64 7837212.5),(65 7967093.5),(66 8136696.5),(67 8296175.5),(68 8527196),(69 8709227),(70 8910682),(71 9099831),(72 9333117),(73 9518133),(74 9745633),(75 9942991),(76 10187829),(77 10383409),(78 10628769),(79 10836895),
(1 10875.393),(2 24111.018),(3 35591.758),(4 40128.453),(5 45815.02),(6 48789.79),(7 55294.914),(8 57618.605),(9 63236.496),(10 66984.086),(11 71891.484),(12 73387.63),(13 80496.78),(14 84653.3),(15 93004.68),(16 97763.02),(17 104207.07),(18 107786.91),(19 113481.21),(20 115814.77),(21 121231.11),(22 123515.43),(23 128683.734),(24 131797.53),(25 136710.94),(26 138587.14),(27 143979.92),(28 145548.97),(29 149166.81),(30 149539.94),(31 151520.28),(32 149899.61),(33 150327.44),(34 147190.89),(35 147452.67),(36 145353.31),(37 145856.92),(38 144325.5),(39 146660.39),(40 145781.33),(41 147439.8),(42 146613.38),(43 148352.14),(44 147550.27),(45 150219.55),(46 149705.44),(47 151934.22),(48 151345.36),(49 153183.69),(50 151448.8),(51 152004.97),(52 149703.05),(53 150635.94),(54 149567.52),(55 151573.14),(56 150576.94),(57 151705.13),(58 150020.81),(59 152526.52),(60 152447.16),(61 154716.1),(62 153653.64),(63 155386.73),(64 154336.16),(65 156080.83),(66 155068.58),(67 156064.08),(68 153242.38),(69 153347.77),(70 150102.97),(71 148361.86),(72 143891.63),(73 142621.92),(74 138443.61),(75 136561.61),(76 131290.11),(77 129395.96),(78 124811.336),(79 122977.32),
(1 10620.69),(2 23426.027),(3 34874.043),(4 39592.613),(5 45346.496),(6 48305.645),(7 54868.883),(8 57018.586),(9 63014.344),(10 65770.3),(11 70158.29),(12 70481.11),(13 77154.055),(14 80360.66),(15 86129.46),(16 88886.65),(17 94861.68),(18 97977.2),(19 103849.05),(20 106872.42),(21 114370.125),(22 118910.484),(23 126674.38),(24 131819.1),(25 138741.13),(26 142218.56),(27 148595.9),(28 150928.72),(29 155832.03),(30 156514.17),(31 159539.02),(32 158883.8),(33 159750.4),(34 155511.67),(35 154762.39),(36 151634.73),(37 151888.4),(38 148985.98),(39 150146.27),(40 148116.64),(41 149287.95),(42 147592.48),(43 148571.86),(44 146829.83),(45 148443.55),(46 147554.05),(47 148862.34),(48 147030.2),(49 148211.14),(50 145538.3),(51 146594.56),(52 144790.56),(53 146243.86),(54 145302.11),(55 147086.64),(56 145661.02),(57 147248.88),(58 146442.66),(59 148483.8),(60 147434.11),(61 149498.67),(62 149176.14),(63 151315.89),(64 150278.78),(65 151635.55),(66 150656.77),(67 151523.17),(68 148459.23),(69 148903.14),(70 146810.8),(71 146277.22),(72 143413.11),(73 143641.13),(74 140613.03),(75 139683.25),(76 135596.14),(77 133803.73),(78 129667.5),(79 128712.375),
(1 10254.8125),(2 22798.156),(3 33869.324),(4 38166.793),(5 43934.633),(6 46732.023),(7 52902),(8 54856.117),(9 60175.863),(10 62755),(11 66909.36),(12 67620.914),(13 73612.51),(14 77534.02),(15 84545.586),(16 88279.72),(17 94721.53),(18 97138.2),(19 101723.82),(20 104359.18),(21 110391.44),(22 113527.195),(23 120987.14),(24 125705.78),(25 131662.23),(26 134065.61),(27 139668.05),(28 141070.73),(29 144739.89),(30 144454.84),(31 146317.1),(32 144582.64),(33 145468.9),(34 142278.23),(35 142403.38),(36 139096.84),(37 139559.28),(38 137154.58),(39 137590.81),(40 134957.45),(41 136414.6),(42 134360.1),(43 135312.13),(44 133762.6),(45 135788.64),(46 134696.06),(47 136292.77),(48 134378.28),(49 136052.42),(50 134618.89),(51 136588.44),(52 135541.89),(53 137795.38),(54 137299.4),(55 139481.61),(56 137904.5),(57 139866.94),(58 139475.28),(59 141786.28),(60 140540.34),(61 142440.95),(62 141031.42),(63 142444.33),(64 141266.53),(65 142819.31),(66 141634.17),(67 142439.34),(68 139609.9),(69 139630.55),(70 136689.22),(71 134917.25),(72 130672.03),(73 129542.03),(74 125973.2),(75 124946.82),(76 121257.71),(77 120028.22),(78 116102.086),(79 114607.99),
(1 9935.096),(2 22057.354),(3 32824.99),(4 37374.36),(5 43077.766),(6 46098.094),(7 52022.977),(8 54504.082),(9 60053.293),(10 62711.88),(11 66651.37),(12 68452.02),(13 75818.266),(14 80647.234),(15 87942.12),(16 91486.84),(17 97746.19),(18 101124.02),(19 106171.34),(20 108388.914),(21 114076.44),(22 117446.98),(23 124323.375),(24 127959.19),(25 133051.73),(26 134720.36),(27 138434.61),(28 138848.4),(29 141661.53),(30 140648.31),(31 141679.86),(32 138991.47),(33 138552.56),(34 134862.58),(35 134682.38),(36 132540.95),(37 133525.58),(38 131723.66),(39 132991.98),(40 132009.66),(41 133621.48),(42 131883.55),(43 132736.06),(44 131115),(45 133332.28),(46 132358.06),(47 134447.75),(48 133503.1),(49 134901),(50 133747.53),(51 135128.8),(52 133291.92),(53 134538.38),(54 133370.69),(55 135705.14),(56 135595.14),(57 137912.55),(58 137471.48),(59 140319.86),(60 139810.22),(61 141740.27),(62 141711.31),(63 144062.02),(64 143330.25),(65 145172.27),(66 144565.36),(67 145359.16),(68 143043.8),(69 143212.22),(70 139978.05),(71 138141.5),(72 133904.69),(73 132896.11),(74 128866.55),(75 127125.47),(76 122012.18),(77 120011.02),(78 115339.34),(79 113689.19),
(1 9352.222),(2 20206.307),(3 30117.773),(4 34258.203),(5 39765.844),(6 42758.1),(7 48655.88),(8 51433.27),(9 56572.676),(10 58511.395),(11 62581.93),(12 63611.547),(13 69162.09),(14 73953.734),(15 80659.34),(16 83568.65),(17 89393.89),(18 92810.516),(19 97571.18),(20 99957.64),(21 106048.625),(22 109965.91),(23 116798.65),(24 121017.625),(25 126436.54),(26 128979.586),(27 133300.05),(28 134562.69),(29 137902.86),(30 138415.73),(31 140887.78),(32 139820.78),(33 139262.95),(34 135949.94),(35 135491.4),(36 132808.45),(37 132554.23),(38 130254.06),(39 130384.016),(40 128898.79),(41 130374.87),(42 129407.15),(43 130209.31),(44 129154.69),(45 130798.85),(46 130519.21),(47 132500.45),(48 131217.86),(49 132428.95),(50 131308.13),(51 132432.19),(52 131127.16),(53 131857.7),(54 131018.35),(55 132591.69),(56 130975.98),(57 131679.92),(58 130721.84),(59 132290.61),(60 131999.08),(61 133832.7),(62 133228.64),(63 134931.69),(64 134336.6),(65 135991.97),(66 135173.8),(67 135871.38),(68 133447.64),(69 133387.27),(70 131064.31),(71 130336.13),(72 127486.945),(73 126386.414),(74 122927.92),(75 121600.58),(76 117864.234),(77 116485.484),(78 112910.914),(79 111134.89),
(1 9557.585),(2 20342.674),(3 30322.041),(4 34714.43),(5 40324.086),(6 43006.598),(7 48539.75),(8 50415.117),(9 54594.227),(10 55611.41),(11 59469.07),(12 60923.492),(13 67368.78),(14 71716.08),(15 78585.195),(16 80883.22),(17 86775.14),(18 89742.56),(19 95249.6),(20 97921.57),(21 103926.31),(22 107191.04),(23 113522.93),(24 115403.96),(25 119528.15),(26 121248.14),(27 125547.78),(28 126650.44),(29 129892.195),(30 129730.86),(31 131681.67),(32 129600.96),(33 129287.26),(34 125026.22),(35 124283.8),(36 121641.195),(37 122084.42),(38 119562.305),(39 120289.18),(40 118117.67),(41 119067.805),(42 117634.22),(43 119250.53),(44 118225.86),(45 120447.56),(46 119842.82),(47 121561.22),(48 120248.74),(49 122107.86),(50 121273.64),(51 123136.56),(52 121866.27),(53 123940.09),(54 122819.52),(55 124558.055),(56 124196.37),(57 126200.49),(58 124831.42),(59 126916.74),(60 126250.086),(61 128120),(62 126823.75),(63 128539.74),(64 127084.71),(65 128128.586),(66 126440.55),(67 127654.66),(68 124907.96),(69 124976.38),(70 122375.37),(71 122147.85),(72 119196.15),(73 118946.82),(74 115806.15),(75 115064.53),(76 111236.586),(77 110002.09),(78 106340.25),(79 105985.05),
(1 9218.423),(2 19597.635),(3 28790.855),(4 32427.275),(5 38035.613),(6 40855.23),(7 46676.23),(8 48557.66),(9 53215.35),(10 54496.863),(11 58718.254),(12 60684.594),(13 68369.98),(14 73805.516),(15 81375.41),(16 83929.46),(17 89063.5),(18 90621.805),(19 94483.016),(20 95459.98),(21 99803.875),(22 101554.14),(23 106178.42),(24 107859.46),(25 113036.66),(26 115196.98),(27 119467.74),(28 119945.82),(29 122706.42),(30 121668.85),(31 123306.35),(32 121101.4),(33 120761.44),(34 116726.29),(35 115638.06),(36 111991.06),(37 111585.59),(38 108179.17),(39 108182.516),(40 105235.52),(41 105705.15),(42 103908.1),(43 105153.51),(44 104347.42),(45 106654),(46 105851.01),(47 108363.29),(48 107546.92),(49 110064.41),(50 109826.21),(51 112382.31),(52 111590.76),(53 113685.26),(54 112686.16),(55 114927.22),(56 114218.86),(57 115991.7),(58 115027.32),(59 116656),(60 115572.7),(61 117754.72),(62 117294.68),(63 119864.34),(64 119402.016),(65 121187.555),(66 120137.88),(67 121042.836),(68 118296.25),(69 118354.33),(70 115334.875),(71 114974.22),(72 111549.36),(73 110910.12),(74 107697.74),(75 107015.484),(76 103250.54),(77 101734.23),(78 98114.98),(79 96981.34),
(1 9119.68),(2 19940.63),(3 29499.443),(4 33127.79),(5 38296.938),(6 41344.477),(7 47401.03),(8 50555.605),(9 55671.453),(10 57060.402),(11 60434.484),(12 61626.91),(13 67797.375),(14 72331.44),(15 79071.21),(16 81589.89),(17 86481.14),(18 88205.05),(19 92018.46),(20 93674.09),(21 99061.69),(22 102314.58),(23 107597.305),(24 109749.61),(25 114843.92),(26 116750.11),(27 121055.195),(28 122358.48),(29 125369.12),(30 124715.984),(31 125751.42),(32 122825.63),(33 121652),(34 117883.59),(35 116648.93),(36 113101.664),(37 112931.016),(38 111024.66),(39 111949.12),(40 109451.79),(41 109682.1),(42 107531.586),(43 108231.96),(44 106584.66),(45 107939.4),(46 106908.68),(47 108084.74),(48 106865.34),(49 108551.26),(50 108299.914),(51 110042.15),(52 108798.63),(53 110902.37),(54 110350.086),(55 112106.88),(56 111716.59),(57 113518.18),(58 113417.69),(59 115627.73),(60 114969.71),(61 116742.7),(62 116617.22),(63 118400.93),(64 117530.555),(65 119351.82),(66 118698.06),(67 119437.37),(68 116808.59),(69 116410.73),(70 113153.85),(71 112087.15),(72 108595.836),(73 107630.45),(74 104017.24),(75 102316.85),(76 97976.73),(77 96237.99),(78 92334.71),(79 91320.03),
(1 9318.421),(2 20070.852),(3 29274.656),(4 32483.947),(5 37486.93),(6 40416.41),(7 45916.516),(8 47808.83),(9 52696.1),(10 54422.973),(11 58111.156),(12 59655.844),(13 65936.78),(14 70489.94),(15 77205.07),(16 79244.26),(17 83131.64),(18 85038.7),(19 88935.664),(20 89683.375),(21 93917.1),(22 96566.86),(23 101640.164),(24 103086.29),(25 107613.3),(26 108624.6),(27 111862.94),(28 111842.914),(29 113696.17),(30 112424.17),(31 113362.914),(32 110813.82),(33 110395.34),(34 107052.51),(35 106645.9),(36 104026.27),(37 104169.54),(38 101515.375),(39 101595.35),(40 99199.516),(41 99835.92),(42 98386.85),(43 100066.46),(44 99608.484),(45 101583.164),(46 100410.42),(47 101718.695),(48 100694.73),(49 102705.734),(50 102109.734),(51 104339.336),(52 104225.66),(53 105691.12),(54 104483.58),(55 105811.05),(56 104853.26),(57 106112.695),(58 105201.05),(59 107122.08),(60 106560.1),(61 108403.92),(62 107055.74),(63 108112.04),(64 106989.305),(65 107994.42),(66 106095.42),(67 106510.86),(68 103802.52),(69 103404.19),(70 100226.85),(71 99638.46),(72 96991.96),(73 96632.18),(74 93665.945),(75 92970.2),(76 89652.82),(77 89054.9),(78 85880.87),(79 85515.04),
(1 9268.406),(2 19929.736),(3 28968.7),(4 32615.672),(5 37920.18),(6 40596.25),(7 45348.11),(8 47385.348),(9 52124.78),(10 53484.492),(11 56879.746),(12 57960.47),(13 64876.31),(14 69767.91),(15 76165.64),(16 79445.625),(17 85037.805),(18 87335.04),(19 92283.91),(20 95071.31),(21 100679.734),(22 104243.51),(23 109544.18),(24 111799.83),(25 116433.95),(26 117477.35),(27 120105.484),(28 119205.73),(29 120179.54),(30 118150.11),(31 117934.35),(32 114281.51),(33 112430.23),(34 107886.62),(35 106732.88),(36 103220.75),(37 103033.51),(38 100783.72),(39 101439.49),(40 99229.77),(41 99276.125),(42 97521.66),(43 98813.94),(44 97694.54),(45 98824.65),(46 98072.12),(47 99551.33),(48 98869.51),(49 100717.7),(50 99938.95),(51 101720.96),(52 100494.62),(53 101524.51),(54 100091.23),(55 101295.664),(56 100553.664),(57 102551.87),(58 102248.016),(59 104505.23),(60 104077.375),(61 106348.016),(62 105189.94),(63 106452.84),(64 105423.46),(65 106997.11),(66 106045.07),(67 107021.88),(68 104540.13),(69 104533.56),(70 101353.41),(71 100710.62),(72 97843.25),(73 97440.44),(74 94321.17),(75 93730.39),(76 90786.336),(77 90623.27),(78 87911.88),(79 87338.766),
(1 9276.345),(2 19885.31),(3 29014.742),(4 32149.326),(5 37480.633),(6 40404.387),(7 46115.32),(8 48709.31),(9 53707.465),(10 54986.36),(11 58659.656),(12 59418.645),(13 66106.47),(14 69851.79),(15 75866.43),(16 78935.23),(17 85165.42),(18 87661.5),(19 93432.69),(20 96625.695),(21 102345.41),(22 105120.055),(23 110255.17),(24 111958.39),(25 116724.3),(26 118135.2),(27 121782.58),(28 120532.984),(29 121629.72),(30 119550.13),(31 119590.734),(32 116097.125),(33 115286.44),(34 111140.75),(35 110064.414),(36 106577.31),(37 107133.836),(38 104949.984),(39 106154.734),(40 104476.875),(41 105267.85),(42 103234.35),(43 103789.85),(44 102694.12),(45 104992.61),(46 104148.11),(47 105560.67),(48 104660.67),(49 106723.164),(50 106044.2),(51 108150.72),(52 107039.57),(53 108793.35),(54 106977.05),(55 108597.96),(56 108092.76),(57 109802.4),(58 109084.164),(59 110677.11),(60 109257.57),(61 110205.29),(62 108988.89),(63 110062.06),(64 108800.46),(65 109941.6),(66 108307.305),(67 108537.96),(68 105416.695),(69 104761.03),(70 101044.32),(71 99338.914),(72 95645.31),(73 94739.78),(74 91002.92),(75 89936.016),(76 86417.25),(77 84924.44),(78 81063.805),(79 80262.03),
(1 8972.27),(2 19198.191),(3 27812.006),(4 30703.87),(5 35385.637),(6 37799.582),(7 42599.035),(8 44887.87),(9 49885.977),(10 51908.29),(11 55569.75),(12 56518.14),(13 61976.41),(14 65467.734),(15 70473.086),(16 73144),(17 78073.87),(18 79471.43),(19 83075.41),(20 85542.79),(21 90722.164),(22 93292.99),(23 97526.04),(24 99004.25),(25 103103.516),(26 104474.23),(27 107815.445),(28 107618.695),(29 108366.67),(30 106031.67),(31 106004.984),(32 103345.17),(33 102558.484),(34 99307.74),(35 99013.06),(36 96778.414),(37 97311.28),(38 95494.875),(39 96858.945),(40 95505.61),(41 96383.63),(42 94871.74),(43 95869.65),(44 95543.664),(45 97815.64),(46 97289.07),(47 98443.766),(48 97323.77),(49 99225.29),(50 98636.06),(51 100434.67),(52 99574.37),(53 100835.22),(54 99597.56),(55 100528),(56 99192.26),(57 100659.695),(58 99836.2),(59 101521.81),(60 100372.234),(61 101195.055),(62 99462.82),(63 100492.09),(64 99010.39),(65 99819.63),(66 98086.22),(67 98048.89),(68 95346.74),(69 95350.9),(70 92285.266),(71 91071.336),(72 87912.61),(73 87474.16),(74 84961.44),(75 84713.59),(76 81887.664),(77 81472.016),(78 78724.12),(79 79050.27),
(1 8888.82),(2 18670.498),(3 26719.93),(4 29476.963),(5 33900.26),(6 35489.887),(7 39747.113),(8 41454.668),(9 46266.965),(10 48098.87),(11 51603.348),(12 52212.8),(13 57087.71),(14 60351.594),(15 65082.105),(16 66927.51),(17 71161.195),(18 72120.59),(19 75991.51),(20 78146.48),(21 82831.445),(22 85139.25),(23 88562.97),(24 89310.984),(25 92808.79),(26 93865.37),(27 97210.29),(28 97059.87),(29 98668.94),(30 97196.08),(31 97666.81),(32 95384.76),(33 95333.75),(34 92488.164),(35 92214.07),(36 89435.87),(37 89468.18),(38 87269.55),(39 87484.336),(40 85388.49),(41 85791.34),(42 84565.336),(43 85765.71),(44 84803.06),(45 86751.15),(46 85542.1),(47 86812.05),(48 85724.7),(49 87362.47),(50 86393.59),(51 87733.64),(52 87038.53),(53 88937.6),(54 88483.13),(55 89817.836),(56 88623.16),(57 89751.516),(58 88762.305),(59 90516.76),(60 89782.39),(61 91267.39),(62 90171.984),(63 91333.66),(64 90027.14),(65 91153.45),(66 89404.3),(67 90346.59),(68 88255.89),(69 88707.66),(70 86355.98),(71 86121.51),(72 83515.52),(73 83480.11),(74 80692.22),(75 80247.57),(76 77314.9),(77 76963.28),(78 74335.07),(79 74481.664),
(1 9121.659),(2 19203.258),(3 27138.799),(4 29179.809),(5 33143.28),(6 34990.492),(7 39573.734),(8 41523.297),(9 46282.613),(10 47924.75),(11 51527.555),(12 51945.277),(13 56833.348),(14 61009.63),(15 66041.68),(16 67863.234),(17 72353.61),(18 73949.31),(19 77996.805),(20 79971.99),(21 84470.29),(22 86500.41),(23 90050.805),(24 91583.27),(25 94848.336),(26 95564.58),(27 98853.47),(28 99252.555),(29 101393.88),(30 100136.55),(31 100269.11),(32 97698.73),(33 96759.5),(34 93116.21),(35 92632.91),(36 90659.92),(37 91066.95),(38 88723.64),(39 88743.695),(40 86924.21),(41 88219.16),(42 87289.23),(43 88560.02),(44 87862.85),(45 89302.73),(46 88338.77),(47 89171.53),(48 87846.22),(49 88026.78),(50 86293.77),(51 87070.37),(52 85897.66),(53 86919.43),(54 86351.08),(55 87603.77),(56 86871.664),(57 87828.54),(58 86869.734),(59 89147.445),(60 88576.62),(61 90328.82),(62 90083.79),(63 92204.94),(64 91503.61),(65 93008.664),(66 91512.195),(67 92415.59),(68 90450.46),(69 90763.38),(70 88637.47),(71 88502.46),(72 85733.24),(73 85345.32),(74 82763.4),(75 82575.914),(76 79919.43),(77 79886.15),(78 77891.47),(79 78149.15),
(1 8474.343),(2 17701.768),(3 25316.047),(4 28320.389),(5 33260.55),(6 35829.363),(7 40217.074),(8 42202.05),(9 46644.67),(10 48032.43),(11 51227.656),(12 52003.332),(13 57320.13),(14 60154.41),(15 65010.844),(16 66897.49),(17 71091.35),(18 72535.266),(19 76610.914),(20 78756.57),(21 83917.47),(22 86241.195),(23 90857.695),(24 93059.555),(25 97008.96),(26 98167.52),(27 101038.84),(28 100892.14),(29 102339.125),(30 100649.27),(31 101284.07),(32 98502.33),(33 97607.83),(34 94148.39),(35 93702.055),(36 91499.664),(37 91862.21),(38 89686.22),(39 90592.6),(40 89160.266),(41 90098.945),(42 88685.055),(43 89292.734),(44 87712.92),(45 89209.65),(46 88551.2),(47 90379.31),(48 89803.05),(49 91396.336),(50 90600.81),(51 92341.92),(52 91248.53),(53 93070.48),(54 92404.77),(55 94079.25),(56 93463.11),(57 94826.07),(58 93680.51),(59 94968.984),(60 94023.93),(61 95330.61),(62 94107.08),(63 95229.12),(64 94129.086),(65 94854.96),(66 93365.74),(67 93410.836),(68 91357.625),(69 91246.47),(70 89168.25),(71 88882.99),(72 86439.87),(73 85910.15),(74 83595.73),(75 82890.45),(76 80551.195),(77 80066.28),(78 78048.19),(79 77950.414),
(1 8457.457),(2 17190.457),(3 24562.287),(4 26915.96),(5 31525.822),(6 34069.902),(7 38868.613),(8 40626.113),(9 45512.53),(10 47199.004),(11 51016.43),(12 51801.11),(13 57525.62),(14 60613.445),(15 65561.336),(16 66892.875),(17 71013.78),(18 72031.96),(19 75984.87),(20 76688.625),(21 81043.414),(22 82184.83),(23 86278.945),(24 87514.91),(25 91383.29),(26 91870.08),(27 95402.07),(28 95427.56),(29 97617.87),(30 95770.484),(31 96801.06),(32 94381.984),(33 94531.44),(34 90815.19),(35 90591.76),(36 87599.65),(37 88616.02),(38 86261.3),(39 87015.81),(40 85128.32),(41 86271.375),(42 84871.734),(43 86407.43),(44 84995.21),(45 87275.734),(46 86396.07),(47 88608.56),(48 87177.35),(49 89481.99),(50 88265.4),(51 90286.77),(52 88977.234),(53 90436.5),(54 89198.78),(55 91080.75),(56 89783),(57 91238.24),(58 89858.07),(59 91630.984),(60 90292.28),(61 91552.86),(62 90335.984),(63 91323.47),(64 89716.91),(65 90091.47),(66 88187.14),(67 88367.586),(68 85733.96),(69 85552.66),(70 82667.4),(71 81678.46),(72 78636.66),(73 78350.04),(74 75919.77),(75 75173.516),(76 71640.22),(77 71353.305),(78 69182.734),(79 69622.33),
(1 8135.082),(2 16333.956),(3 23066.674),(4 24884.965),(5 29362.148),(6 32387.197),(7 37223.984),(8 39305.07),(9 43592.844),(10 44785.234),(11 48023.77),(12 48998.914),(13 54904.56),(14 58221.926),(15 63268.94),(16 65313.6),(17 69373.445),(18 70303.664),(19 73585.12),(20 75380.71),(21 80581.89),(22 82198.29),(23 86006.984),(24 87247.71),(25 90814.17),(26 91549.15),(27 94466.26),(28 94084.766),(29 95724.805),(30 94115.57),(31 94595.984),(32 91736.93),(33 91328.89),(34 87539.266),(35 86940.305),(36 84458.7),(37 84331.68),(38 82097.18),(39 82685.52),(40 80756.41),(41 81584.82),(42 79969.91),(43 80973.91),(44 79455.43),(45 81287.67),(46 80354.12),(47 81598.35),(48 80031.5),(49 81237.43),(50 80379.04),(51 82204.36),(52 81364.7),(53 82844.945),(54 81938.57),(55 83625.08),(56 83096.82),(57 83668.586),(58 82494.99),(59 84022.19),(60 83464.31),(61 85225.54),(62 84587.84),(63 85762.95),(64 83889.18),(65 84977.5),(66 83724.56),(67 84263.18),(68 82081.484),(69 82105.98),(70 79504.96),(71 78972.8),(72 75779.086),(73 75557.63),(74 72730.03),(75 71908.24),(76 68617.17),(77 68103.26),(78 65546.24),(79 65822.2),
