1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 203919.42),(2 562485.2),(3 882198.8),(4 1200133.1),(5 1582555),(6 1952062.1),(7 2259436.8),(8 2516771.8),(9 2739225.8),(10 3129988.8),(11 3495771),(12 3884250),(13 4244400.5),(14 4551337.5),(15 4840519.5),(16 5000094.5),(17 5108614.5),(18 5212156),(19 5323537.5),(20 5541835.5),(21 5705391.5),(22 5794377.5),(23 5936660.5),(24 6139368),(25 6366262.5),(26 6696866),(27 6971364.5),(28 7044243.5),(29 7078231.5),(30 6967235.5),(31 6751065.5),(32 6557044.5),(33 6369568.5),(34 6162994.5),(35 5896548),(36 5642412.5),(37 5586348.5),(38 5685145.5),(39 5605832),(40 5358024.5),(41 5190711),(42 5127028),(43 5095940.5),(44 5081890),(45 5224718.5),(46 5390680),(47 5469081.5),(48 5541716),(49 5728868.5),(50 5949642.5),(51 6123184.5),(52 6283025.5),(53 6391623.5),(54 6351994.5),(55 6389570.5),(56 6444578),(57 6553547.5),(58 6465238),(59 6408038.5),(60 6366084),(61 6554661.5),(62 6735674.5),(63 7012985.5),(64 7314306),(65 7440557.5),(66 7337004),(67 7294863.5),(68 7454207.5),(69 7659403.5),(70 7814478),(71 8050631.5),(72 8170805.5),(73 8279106),(74 8325474.5),(75 8217368),(76 8148937.5),(77 8345715.5),(78 8669792),(79 9033312),
(1 330534.3),(2 867504.4),(3 1162742.4),(4 1268907.1),(5 1287427.3),(6 1306835.6),(7 1346585),(8 1362130.8),(9 1401400.6),(10 1532395.5),(11 1566913.4),(12 1518888),(13 1491886.3),(14 1454557.6),(15 1421033),(16 1485993.6),(17 1611403.1),(18 1658833),(19 1698674.1),(20 1672738.8),(21 1593388.4),(22 1500090.4),(23 1452012),(24 1376089.6),(25 1419984.4),(26 1462745.8),(27 1464646.4),(28 1472307.5),(29 1483477),(30 1474733.3),(31 1449061.6),(32 1428495.3),(33 1471994.4),(34 1464623.1),(35 1492990.1),(36 1584433.8),(37 1633580.9),(38 1606015.3),(39 1635226.1),(40 1638918.1),(41 1598032.8),(42 1550282.4),(43 1546250.3),(44 1565164.1),(45 1646436.9),(46 1651312.5),(47 1595510.1),(48 1482760.9),(49 1385697.9),(50 1398131.6),(51 1500278.8),(52 1618357.6),(53 1718242.1),(54 1679005.3),(55 1585567.3),(56 1522638.6),(57 1511553.4),(58 1533400.1),(59 1616259.9),(60 1699436.4),(61 1732007.6),(62 1713667.1),(63 1717766.6),(64 1688893.4),(65 1709237.9),(66 1761158.3),(67 1723519.5),(68 1611522.3),(69 1467248.8),(70 1356689.9),(71 1380420.9),(72 1486106.1),(73 1580185.4),(74 1684630.6),(75 1782951),(76 1793247.6),(77 1827252.9),(78 1874167),(79 1892576),
(1 346059.34),(2 871471.2),(3 1101198.4),(4 1187330.9),(5 1123967.5),(6 1009505.06),(7 1034617.7),(8 1051613.4),(9 1033031.7),(10 1116075.9),(11 1153548.1),(12 1143503.1),(13 1190209.1),(14 1214042.5),(15 1211380.6),(16 1310328.5),(17 1392167.1),(18 1337697.6),(19 1298463.4),(20 1303526.6),(21 1307559.6),(22 1264489.5),(23 1247973.1),(24 1192489.4),(25 1171995.6),(26 1213093.4),(27 1251831.1),(28 1243115.3),(29 1292421.4),(30 1306929),(31 1288143.1),(32 1319135.6),(33 1378052.5),(34 1329835.3),(35 1279403.4),(36 1305566.6),(37 1416796.9),(38 1501156.6),(39 1537480),(40 1526583.6),(41 1527588.1),(42 1515284),(43 1490328.4),(44 1476195.1),(45 1493155.6),(46 1480764),(47 1418643),(48 1293111.4),(49 1227094.1),(50 1290299.9),(51 1405546),(52 1453882.1),(53 1497736.6),(54 1454119.6),(55 1343461.4),(56 1273860.5),(57 1275968.6),(58 1268295.9),(59 1335046.1),(60 1390836),(61 1377870.1),(62 1355447.6),(63 1357262),(64 1327614),(65 1362276.8),(66 1448827),(67 1402502.6),(68 1320823.1),(69 1299890.4),(70 1243959.1),(71 1260189.9),(72 1336559.4),(73 1352622.9),(74 1412250.5),(75 1470878),(76 1409677.1),(77 1412126),(78 1447983.6),(79 1433552.4),
(1 313080.7),(2 775460.2),(3 998039.2),(4 1081773.5),(5 999043.4),(6 821100.3),(7 799669.1),(8 847224.5),(9 888874.2),(10 1011425.94),(11 1069565.6),(12 975775.2),(13 946485.94),(14 980200),(15 1030774.9),(16 1119400.6),(17 1176013.9),(18 1112178.1),(19 1081075.6),(20 1100210.5),(21 1135284.1),(22 1151076.3),(23 1127791.5),(24 1050699.9),(25 998895.75),(26 1025928.94),(27 1095360),(28 1108725.1),(29 1153235.6),(30 1183299.9),(31 1139178.9),(32 1119597.6),(33 1180349.9),(34 1152969),(35 1059266.5),(36 992549.06),(37 1014739.06),(38 1120389.6),(39 1232613.8),(40 1231566.9),(41 1179208.5),(42 1132511.5),(43 1113873.6),(44 1138930.1),(45 1219621.4),(46 1263586.8),(47 1263458.6),(48 1211711.3),(49 1159824.6),(50 1171250.3),(51 1201171.9),(52 1167964),(53 1162169.3),(54 1121820.6),(55 1031498),(56 1002693.2),(57 1040000.6),(58 1038161.25),(59 1117956.8),(60 1204680.1),(61 1181418.8),(62 1107830.3),(63 1104517.6),(64 1084331.3),(65 1086557.5),(66 1171088.4),(67 1203325.4),(68 1149312),(69 1115069.3),(70 1042000.8),(71 1006571.6),(72 1037711.5),(73 1044485.75),(74 1103790.4),(75 1208928.8),(76 1193906.8),(77 1168493),(78 1184090.1),(79 1148317.1),
(1 286542.84),(2 733756.06),(3 970680.6),(4 1042668.3),(5 975356.56),(6 848585.94),(7 845607.2),(8 867455.5),(9 927864),(10 997886.25),(11 1055680.1),(12 977345.5),(13 921858.4),(14 961185.75),(15 1074266.3),(16 1136594.1),(17 1107480.8),(18 1038463.1),(19 1028168.2),(20 1042133.5),(21 1082049.6),(22 1139325),(23 1119736.6),(24 1015738.8),(25 933826.3),(26 946869.1),(27 1032395.94),(28 1069418.8),(29 1074083.6),(30 1064518.4),(31 1041571.25),(32 1038253.1),(33 1079861.1),(34 1070009.6),(35 1011848.56),(36 938218.9),(37 968643.7),(38 1053511.9),(39 1140199.5),(40 1166054.1),(41 1159403.3),(42 1104343.3),(43 1051918.6),(44 1052533.8),(45 1121930.1),(46 1142631.3),(47 1097411.6),(48 1018720.94),(49 960253.2),(50 1011996.2),(51 1098724.4),(52 1101609),(53 1035979.4),(54 964713.75),(55 934512.8),(56 948268.6),(57 1017360),(58 1060080.8),(59 1103075.4),(60 1141257.1),(61 1111772.6),(62 1020290.3),(63 996290.94),(64 976080.3),(65 938899.75),(66 942352.75),(67 994534.06),(68 1007990),(69 1015888.9),(70 986482.5),(71 979868.8),(72 988312.75),(73 1001138.8),(74 1054228.5),(75 1134525.3),(76 1103634.1),(77 1065279.9),(78 1093107),(79 1091946.3),
(1 246430.92),(2 662568.25),(3 875752.3),(4 903900.75),(5 835952.44),(6 763010.5),(7 771979.7),(8 784413.5),(9 807932.5),(10 828470),(11 873673.3),(12 886716.94),(13 845087.94),(14 853703.06),(15 938488),(16 984596.3),(17 941501.2),(18 890025.94),(19 928998.06),(20 981234.8),(21 1032039.56),(22 1104461.4),(23 1085377.9),(24 976139.25),(25 910912.8),(26 943616.94),(27 1010498.5),(28 1022373.6),(29 980660),(30 954735.25),(31 932616.44),(32 953985.3),(33 1019345.6),(34 1024338.4),(35 935289.6),(36 850083.1),(37 868358.94),(38 978090.56),(39 1072698.8),(40 1077696.1),(41 1051273),(42 1005911.44),(43 952010.5),(44 939843.44),(45 1003288.8),(46 1016098.3),(47 980433.06),(48 933015.1),(49 907307.94),(50 959657.1),(51 978135.6),(52 977542.56),(53 953626.8),(54 906492.44),(55 920551.5),(56 960837.94),(57 1016873.75),(58 1069654.9),(59 1074689.1),(60 1045178.7),(61 993122.8),(62 931556.25),(63 911036.06),(64 886213.2),(65 889793.06),(66 937388.06),(67 993673.06),(68 973301.6),(69 937468.44),(70 881052.7),(71 841868.25),(72 833305.2),(73 861145.7),(74 893626.25),(75 909639.94),(76 872334.5),(77 890172.75),(78 969108.25),(79 1005510.44),
(1 213777.3),(2 541933),(3 704120.3),(4 717014.9),(5 696931.56),(6 666529.06),(7 651088.7),(8 655763.7),(9 691899.44),(10 697781),(11 694899.3),(12 720325.06),(13 733721.8),(14 757893.6),(15 828673.56),(16 861322.7),(17 829451.6),(18 772201.6),(19 786284),(20 820312.9),(21 852620.8),(22 902087.2),(23 892246.2),(24 836174.94),(25 816557.75),(26 852096.9),(27 880520),(28 872322.06),(29 840554.7),(30 831752.4),(31 824702.44),(32 830600.94),(33 850566.25),(34 838605.2),(35 823409.75),(36 819166.4),(37 854815.1),(38 893886.44),(39 945206.56),(40 937017.4),(41 887756.9),(42 837804.1),(43 819457.44),(44 828318.9),(45 866909.1),(46 872442.7),(47 870922.2),(48 875560.4),(49 886657.25),(50 908750),(51 888320.1),(52 867766.94),(53 841444.25),(54 800782),(55 811801.3),(56 854779.06),(57 895577.3),(58 919049),(59 948026.2),(60 922844.8),(61 870549.44),(62 786852.56),(63 768264.2),(64 781697.75),(65 787653.4),(66 801577.3),(67 833963.25),(68 839207.06),(69 813303.7),(70 760256.75),(71 731420.2),(72 723787.7),(73 744758.56),(74 744237.9),(75 727403.3),(76 721976.94),(77 758262.56),(78 797912.4),(79 827144.44),
(1 178302.94),(2 434460.06),(3 537699.9),(4 547333.1),(5 556154.7),(6 581651.75),(7 596036.4),(8 593479.6),(9 601152.1),(10 600989.8),(11 607411.9),(12 610093.94),(13 609492.1),(14 646891.25),(15 703332.7),(16 720752.25),(17 698264.6),(18 661830.1),(19 666501.06),(20 691626.8),(21 721496.2),(22 752337.1),(23 739106.56),(24 663116.4),(25 639714.5),(26 691699.6),(27 739893.8),(28 744425.2),(29 722844.1),(30 692837.8),(31 706557.75),(32 720461.2),(33 717345.9),(34 684235.06),(35 675632.5),(36 670657.3),(37 688270.06),(38 713952.1),(39 733916.25),(40 714312.44),(41 698661.6),(42 678435.5),(43 657791.2),(44 642505.56),(45 657092),(46 664532.9),(47 675575.2),(48 705000.9),(49 743990.56),(50 776638.56),(51 764143.5),(52 699217.56),(53 669964.44),(54 684432.25),(55 716671.1),(56 737778.94),(57 760119.9),(58 760414.06),(59 766517.94),(60 771948.75),(61 777132.56),(62 748247.1),(63 726192.9),(64 738053.94),(65 761458.8),(66 780003.5),(67 787396.4),(68 793216.25),(69 766960.9),(70 741807.25),(71 727691.9),(72 736441.44),(73 763657.56),(74 750911.3),(75 716895.5),(76 702889.7),(77 736404.56),(78 770029.06),(79 778952.25),
(1 165245.03),(2 404944.5),(3 518990.6),(4 535283),(5 561763.6),(6 591693),(7 592384.75),(8 562358.25),(9 553876.3),(10 568467.7),(11 583468.8),(12 585163.7),(13 596416.1),(14 614398.3),(15 627255.3),(16 635219.5),(17 624656),(18 594293.8),(19 609886.06),(20 644338.56),(21 671819.7),(22 678320.56),(23 659691.1),(24 615998.2),(25 584880.75),(26 601926.25),(27 646078.1),(28 671375.1),(29 667167.44),(30 641018.3),(31 641048.75),(32 656631.9),(33 633948.9),(34 594582),(35 591845.2),(36 602264.4),(37 623883.7),(38 630302.9),(39 632806.06),(40 610511.4),(41 577782.44),(42 553766.7),(43 544893),(44 551693.25),(45 570589.4),(46 579287.9),(47 578677.56),(48 603730.44),(49 658246.44),(50 673660.5),(51 648142.6),(52 628536.75),(53 634020),(54 658185.94),(55 672937),(56 676571.1),(57 681963.9),(58 669310.7),(59 665768),(60 668897.75),(61 678659.75),(62 670121),(63 643195.4),(64 612662.94),(65 603638.2),(66 609979.9),(67 640367.1),(68 654354.56),(69 637637.56),(70 607098.7),(71 601501.3),(72 635555.3),(73 683215),(74 680676.6),(75 652295.25),(76 638200.6),(77 660555.9),(78 674202.9),(79 670042.75),
(1 152311.14),(2 360725.5),(3 446887.25),(4 471262.9),(5 494106.25),(6 528588.4),(7 537831.6),(8 511994.13),(9 503302.34),(10 524625.94),(11 536414.5),(12 529404.9),(13 527314.94),(14 532218.3),(15 551833.75),(16 573212.6),(17 573867.9),(18 558409.5),(19 553680.56),(20 569759.06),(21 593969.94),(22 617522.6),(23 618332.6),(24 589673.1),(25 571517.2),(26 577031.25),(27 589602.7),(28 586041.7),(29 577078.9),(30 589332.9),(31 611797.1),(32 628078.2),(33 626206.25),(34 599521.9),(35 585588.2),(36 576998.4),(37 573710.56),(38 554584.9),(39 546735.25),(40 549140.8),(41 537631.06),(42 512849.06),(43 515448.8),(44 528699.1),(45 534225.1),(46 529754.6),(47 542488.2),(48 564643.44),(49 611819.5),(50 634468.4),(51 623400.3),(52 619066.25),(53 624751.9),(54 632302.6),(55 639718.25),(56 640702.1),(57 642179.75),(58 627524.1),(59 630379.1),(60 630353),(61 632079.4),(62 627250.4),(63 607205.6),(64 578028.9),(65 559051.06),(66 552622.75),(67 573530.6),(68 588260.56),(69 579724.4),(70 551533.44),(71 538015.44),(72 568365.1),(73 601123.4),(74 595542.44),(75 577048.1),(76 564754.6),(77 570530.5),(78 568280.75),(79 563604.25),
(1 140636.34),(2 332448),(3 403607.22),(4 420239.44),(5 438084.78),(6 444109.3),(7 439538),(8 411278.2),(9 400097.56),(10 413942.16),(11 426460.9),(12 430605.06),(13 450991.47),(14 459432.97),(15 469957.4),(16 480715.03),(17 479363.72),(18 471504.5),(19 475957.1),(20 485165.3),(21 504046.7),(22 542022),(23 547908.25),(24 498964.53),(25 469162.1),(26 480358.38),(27 501105.7),(28 483778.16),(29 470791.94),(30 483822.8),(31 496561.63),(32 495613.72),(33 491400.75),(34 485216.44),(35 485966.7),(36 470447.72),(37 470888.28),(38 464378.3),(39 460367.13),(40 458735.63),(41 468970.6),(42 469741.5),(43 459063.7),(44 464611.2),(45 481159.56),(46 486947.7),(47 496588.97),(48 507057.56),(49 524949.06),(50 526314.2),(51 496287.03),(52 467858.8),(53 469966.75),(54 481319.2),(55 485753.84),(56 472852.66),(57 484366.7),(58 496841.13),(59 506726.28),(60 509131.9),(61 510821.63),(62 515521.5),(63 521918.06),(64 519123.25),(65 514834.97),(66 520655.84),(67 525330.5),(68 509623.4),(69 491888.38),(70 469564),(71 458748.44),(72 475349.34),(73 495046.6),(74 505287.5),(75 511525.5),(76 502830.88),(77 499836.38),(78 510925.3),(79 526311.6),
(1 132981.34),(2 313856.06),(3 371849.66),(4 374558.84),(5 395143.84),(6 417140.63),(7 423876.1),(8 417362.72),(9 418879.22),(10 431953.88),(11 438810.28),(12 427030.84),(13 434290.56),(14 448218.2),(15 457094.28),(16 460639.13),(17 466736.22),(18 468728.34),(19 474097.53),(20 475857.1),(21 485939.53),(22 498464.9),(23 497746.63),(24 454034.63),(25 422110.16),(26 430017.16),(27 455260.97),(28 440820.1),(29 414488.8),(30 418442.56),(31 450869.53),(32 471645.3),(33 475041.38),(34 460021.88),(35 450175.63),(36 447299.6),(37 449291.75),(38 444265.5),(39 447548.16),(40 469420.7),(41 482010.97),(42 458343.78),(43 430963.9),(44 430535.1),(45 454995.6),(46 470926.34),(47 461009.03),(48 459863.2),(49 481692.9),(50 491510.4),(51 470371.16),(52 444065.53),(53 455015.72),(54 471779.94),(55 466902.4),(56 442138.84),(57 441084.4),(58 453670.3),(59 474295.13),(60 480177.94),(61 461640.06),(62 440111.78),(63 445412.34),(64 456605.7),(65 460179.78),(66 471745.25),(67 481386.06),(68 477740.03),(69 473240.5),(70 449277.03),(71 434763.47),(72 453775.53),(73 486270.63),(74 507940.97),(75 491866.16),(76 483550.56),(77 497041.03),(78 504439.1),(79 503137.88),
(1 129075.945),(2 300645.72),(3 343812.03),(4 336087.94),(5 348422.2),(6 375424.72),(7 386024.38),(8 382565.1),(9 379755.94),(10 376508.88),(11 382135.88),(12 388956.06),(13 397726.1),(14 392659.25),(15 394614.88),(16 400847.63),(17 410812.84),(18 416504.6),(19 419716.56),(20 415118.72),(21 436205.3),(22 459582.5),(23 455304.1),(24 414647.66),(25 392740.38),(26 404971.13),(27 415731.78),(28 412214.22),(29 416404.66),(30 417953.6),(31 429821.63),(32 457675.1),(33 481927.5),(34 468031.94),(35 432080.84),(36 413132.56),(37 427416.47),(38 431179.88),(39 414060.25),(40 407465.4),(41 437749.16),(42 452553.34),(43 446236.03),(44 428406.28),(45 438518.97),(46 447953.8),(47 449309.7),(48 452739.22),(49 474829.34),(50 483264.84),(51 462028.03),(52 432444.88),(53 430427.56),(54 436431.38),(55 439456.56),(56 431885.9),(57 432082.88),(58 440834.1),(59 454728.88),(60 461060.06),(61 437486.44),(62 410326.34),(63 415662.13),(64 439104.94),(65 461864.44),(66 461266.78),(67 452808.25),(68 451164.6),(69 448973.16),(70 428452.88),(71 425485.6),(72 448641.56),(73 475854.38),(74 483751.34),(75 478023.44),(76 475699),(77 483942.28),(78 473407.16),(79 459617.8),
(1 122546.81),(2 278550.3),(3 303291.75),(4 275613.03),(5 287571.7),(6 315431.56),(7 331194.44),(8 332128.7),(9 332536.5),(10 324195.5),(11 311234.47),(12 323352.84),(13 348205.47),(14 350021.3),(15 338609.13),(16 344975.63),(17 363938.66),(18 366426.75),(19 361375.2),(20 361068.3),(21 375838.6),(22 388817.75),(23 385274.88),(24 353683.97),(25 347545.6),(26 356332.38),(27 349079.78),(28 339672.88),(29 355906.78),(30 360820.9),(31 361375.38),(32 375919.94),(33 398806.56),(34 380901.13),(35 347808.84),(36 343614.97),(37 372955.63),(38 388115.75),(39 374099.5),(40 349413.78),(41 365485.3),(42 404105.7),(43 405913.22),(44 374489.44),(45 385115.84),(46 405350.94),(47 412629.72),(48 395388.38),(49 395065.97),(50 402538.13),(51 398856.47),(52 382623.97),(53 369762.97),(54 363976.72),(55 355999.1),(56 359308.6),(57 369994.4),(58 366935.63),(59 376789.78),(60 386029.3),(61 372673.7),(62 345495.28),(63 347387.88),(64 365813.06),(65 380403.25),(66 377169.72),(67 359112.5),(68 349269.2),(69 358007.97),(70 352164.94),(71 343969.25),(72 358555.5),(73 386800.28),(74 392993.7),(75 368603.7),(76 353278.22),(77 371661.97),(78 380090.5),(79 373119.9),
(1 112462.36),(2 253548.86),(3 272004.34),(4 257684.89),(5 277058),(6 292947.34),(7 301967.72),(8 303413.72),(9 313284.63),(10 302839.16),(11 292551.78),(12 291181.66),(13 307068),(14 310890.44),(15 301171),(16 303338.88),(17 324999.44),(18 339779.56),(19 343694.94),(20 340925.56),(21 350387.6),(22 362613.34),(23 365302.56),(24 343270.03),(25 344373.16),(26 352403.66),(27 337816.75),(28 316289.9),(29 322443.75),(30 337348.88),(31 342601.9),(32 341028.94),(33 348252.66),(34 342819.03),(35 323600.34),(36 309596.1),(37 330644.4),(38 347422.94),(39 333243.03),(40 300802.06),(41 303396.25),(42 329914.28),(43 337027),(44 318939.97),(45 323500.34),(46 334885.56),(47 339582.88),(48 339279.56),(49 352749.44),(50 373318.72),(51 383227.2),(52 366917.56),(53 353116.16),(54 341860.84),(55 344567.72),(56 340675.8),(57 333982.2),(58 324048.75),(59 333917.06),(60 343081.22),(61 335309.28),(62 322158.63),(63 328965.03),(64 339694.03),(65 350179.34),(66 348114.72),(67 335730.22),(68 332454.94),(69 338503.44),(70 320989.6),(71 306006.56),(72 311708.47),(73 334673.9),(74 344038.22),(75 331749.47),(76 318947.97),(77 334900.75),(78 332421.28),(79 331119.56),
(1 98826.1),(2 219863.02),(3 233263.36),(4 225480.05),(5 248961.14),(6 267933.84),(7 278739.5),(8 284464.03),(9 296704.28),(10 293398.72),(11 277610.94),(12 271312.47),(13 277609.6),(14 282102.4),(15 280813.75),(16 285783.34),(17 294949.47),(18 295007.66),(19 289297.28),(20 289058.88),(21 304078.97),(22 314817.56),(23 311924.38),(24 288841.28),(25 283787.28),(26 300365.5),(27 299024.75),(28 280632.94),(29 274698.72),(30 285286.78),(31 299660.53),(32 302970.7),(33 313884.28),(34 308988.72),(35 296457.4),(36 287583.6),(37 296666.88),(38 300244.34),(39 288163.28),(40 273569.5),(41 271703.8),(42 271056.3),(43 268962.53),(44 263123.47),(45 270810.8),(46 287292.5),(47 295726.13),(48 286874.97),(49 290781.2),(50 313711.88),(51 323189.97),(52 306857.3),(53 298966.97),(54 290567.72),(55 282099.1),(56 279149.03),(57 289362.34),(58 298075.5),(59 308987.66),(60 311576.88),(61 299230.63),(62 290597.34),(63 303715.97),(64 308404.44),(65 303111.44),(66 299193),(67 289918.56),(68 286921.13),(69 295783.56),(70 296519.6),(71 283705.88),(72 275426.56),(73 292508.72),(74 297445.22),(75 287988.03),(76 283210.75),(77 300808.38),(78 306252.72),(79 297822.28),
(1 89072.66),(2 198446.23),(3 221372.23),(4 223490.05),(5 238661.31),(6 248936.17),(7 257880.27),(8 264812),(9 273207.84),(10 280220.97),(11 274698.34),(12 262653.88),(13 257395.45),(14 268112.63),(15 276588.44),(16 271114.72),(17 275512.38),(18 283640.25),(19 281126.6),(20 289190.1),(21 309819.2),(22 308511.84),(23 294126.94),(24 276302.66),(25 276550.53),(26 288510.6),(27 292751.16),(28 283836.84),(29 281229.8),(30 285965.4),(31 289622.28),(32 289268.63),(33 303876.75),(34 314341.5),(35 300448.22),(36 277503.56),(37 283801.88),(38 288766.94),(39 279603.9),(40 275277.16),(41 274921.16),(42 271160.4),(43 264404.38),(44 258085.95),(45 267632.66),(46 283383.72),(47 296727.8),(48 282932),(49 278744.9),(50 294839.63),(51 304171.8),(52 294144.16),(53 279445.88),(54 270595.1),(55 264867.4),(56 262888.16),(57 275964.2),(58 284356.25),(59 281196.25),(60 277992.97),(61 274551.56),(62 271941.94),(63 285869.2),(64 284665.25),(65 276165.2),(66 276058.06),(67 271378.9),(68 264395.16),(69 271320.8),(70 272986.53),(71 266939.16),(72 266147.25),(73 272488.13),(74 273799.75),(75 269538.84),(76 275301.94),(77 289649.75),(78 283205.56),(79 273943.88),
(1 84694.43),(2 192734.72),(3 207590.58),(4 195054.64),(5 205668.36),(6 219875.75),(7 231760.67),(8 236547.1),(9 242661.06),(10 249940.05),(11 252511.58),(12 247250.33),(13 238318.89),(14 241734.4),(15 257806.05),(16 265207.5),(17 263498.66),(18 254220.38),(19 250631.64),(20 258527.16),(21 277216.8),(22 280574.88),(23 262168.66),(24 243096.48),(25 243153.72),(26 248273.1),(27 252730.14),(28 257063.2),(29 267387.28),(30 278195.34),(31 279876.56),(32 270568.5),(33 275060.28),(34 272929.06),(35 256749.4),(36 245026.4),(37 256484.38),(38 255843.67),(39 243946.4),(40 239190.73),(41 241776.9),(42 247090.95),(43 247954.58),(44 243655.63),(45 250101.02),(46 260569.75),(47 273374.44),(48 265786.13),(49 269104.38),(50 285133.44),(51 296568.66),(52 291244.34),(53 285110.44),(54 282112.8),(55 275467.25),(56 265988.75),(57 265325.72),(58 269501.72),(59 268716.97),(60 267609.8),(61 268956.53),(62 266785.28),(63 274880.63),(64 279170.56),(65 280602.1),(66 284871.66),(67 277772.56),(68 261453.84),(69 259170.72),(70 252648.4),(71 241867.06),(72 234735.1),(73 245863.05),(74 251046.89),(75 246471.42),(76 252270.58),(77 270194.63),(78 263788.56),(79 253082.48),
