1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 309.75198),(2 402.18942),(3 416.88174),(4 427.53738),(5 451.08377),(6 466.16742),(7 469.96875),(8 476.50723),(9 480.38318),(10 475.48434),(11 481.61322),(12 484.09982),(13 479.18417),(14 488.90555),(15 486.62958),(16 497.14758),(17 494.56067),(18 500.1657),(19 492.0995),(20 505.9635),(21 505.92926),(22 498.79855),(23 505.6387),(24 506.1213),(25 504.81378),(26 507.9543),(27 514.28143),(28 519.293),(29 519.23065),(30 516.91956),(31 509.59293),(32 515.9223),(33 514.3764),(34 523.9125),(35 513.08844),(36 511.9364),(37 514.3973),(38 512.00885),(39 518.1239),(40 528.5155),(41 519.62274),(42 516.2781),(43 518.4183),(44 511.52347),(45 514.1196),(46 510.7398),(47 515.6157),(48 515.38525),(49 516.23627),(50 522.8694),(51 530.0855),(52 536.7085),(53 535.3812),(54 536.0678),(55 536.2267),(56 540.12585),(57 537.701),(58 533.9291),(59 531.8965),(60 533.73956),(61 534.87494),(62 532.70636),(63 546.78406),(64 541.62164),(65 556.03625),(66 547.65454),(67 544.09375),(68 542.34875),(69 540.85315),(70 542.5638),(71 544.01086),(72 540.21234),(73 534.1547),(74 535.2155),(75 542.95825),(76 544.7335),(77 539.9264),(78 542.3469),(79 539.5449),
(1 303.88818),(2 379.8126),(3 400.62085),(4 425.59326),(5 435.80804),(6 450.0942),(7 452.58054),(8 453.3643),(9 460.60947),(10 455.42978),(11 456.4996),(12 456.48984),(13 459.57767),(14 464.56137),(15 472.24054),(16 474.99356),(17 481.09512),(18 476.67743),(19 467.686),(20 480.67303),(21 484.09094),(22 475.1157),(23 483.53113),(24 483.38596),(25 484.5367),(26 485.4115),(27 492.25266),(28 491.43408),(29 491.94785),(30 492.3385),(31 488.2795),(32 492.40634),(33 495.27606),(34 489.52292),(35 486.3845),(36 483.79865),(37 490.9288),(38 487.905),(39 490.00894),(40 499.73703),(41 488.5646),(42 488.5624),(43 492.66486),(44 487.2693),(45 495.06998),(46 494.98938),(47 496.94705),(48 497.34552),(49 503.49484),(50 510.22412),(51 512.6966),(52 509.49976),(53 513.5007),(54 511.5662),(55 508.54663),(56 516.2044),(57 508.97922),(58 510.7552),(59 506.17255),(60 513.8947),(61 521.13055),(62 507.81506),(63 517.23706),(64 516.3385),(65 523.387),(66 517.32886),(67 512.8811),(68 524.0602),(69 521.81396),(70 521.1035),(71 522.2192),(72 526.7503),(73 520.1323),(74 518.85266),(75 524.6205),(76 529.8813),(77 518.70496),(78 522.0468),(79 523.4673),
(1 288.87924),(2 364.08636),(3 389.60583),(4 405.40396),(5 414.60648),(6 432.92422),(7 437.0137),(8 440.5409),(9 445.98273),(10 447.8105),(11 454.3297),(12 459.19467),(13 458.82693),(14 462.5252),(15 470.96198),(16 473.9788),(17 467.84235),(18 469.67474),(19 467.58612),(20 468.60867),(21 479.5073),(22 472.09564),(23 474.47296),(24 471.18552),(25 471.20364),(26 473.8102),(27 478.4238),(28 475.6973),(29 488.57303),(30 484.58923),(31 485.40958),(32 480.97253),(33 480.91965),(34 478.21436),(35 480.46927),(36 482.87897),(37 486.83157),(38 492.27563),(39 493.77646),(40 498.74286),(41 487.40485),(42 485.0447),(43 493.51205),(44 489.56345),(45 484.60056),(46 485.7277),(47 496.55582),(48 496.77747),(49 493.52756),(50 503.08865),(51 505.61478),(52 508.8756),(53 504.68002),(54 504.78864),(55 505.66104),(56 513.3371),(57 509.59183),(58 512.12354),(59 505.24008),(60 513.859),(61 513.1698),(62 507.60187),(63 515.9662),(64 514.57904),(65 519.82684),(66 520.7437),(67 515.2477),(68 524.98157),(69 519.5086),(70 516.08167),(71 515.5417),(72 519.85223),(73 522.46014),(74 519.6201),(75 522.2071),(76 520.34973),(77 513.8237),(78 512.8622),(79 506.4431),
(1 290.16467),(2 360.0733),(3 386.29037),(4 399.28207),(5 417.9823),(6 423.55252),(7 429.25247),(8 434.65375),(9 442.38937),(10 445.4826),(11 450.18335),(12 456.27246),(13 460.34558),(14 456.3715),(15 466.64188),(16 471.6836),(17 465.15048),(18 457.58987),(19 460.36),(20 465.34555),(21 464.83817),(22 476.96),(23 479.10718),(24 477.15805),(25 478.0678),(26 477.401),(27 481.1528),(28 475.88403),(29 473.09683),(30 479.19125),(31 471.57285),(32 463.24976),(33 466.50052),(34 473.19714),(35 487.49185),(36 483.94315),(37 486.05957),(38 481.94397),(39 484.7363),(40 482.26123),(41 478.2741),(42 477.14874),(43 475.86703),(44 472.4078),(45 469.21875),(46 473.66464),(47 477.74832),(48 482.63168),(49 478.48383),(50 481.63168),(51 489.8635),(52 494.23126),(53 489.7824),(54 490.0338),(55 494.7516),(56 502.94055),(57 497.19754),(58 496.87375),(59 495.3789),(60 498.26627),(61 497.17694),(62 497.87143),(63 504.90472),(64 508.9016),(65 499.88428),(66 503.1509),(67 504.2034),(68 510.4135),(69 502.44452),(70 504.67575),(71 507.53128),(72 510.30167),(73 510.5786),(74 506.8574),(75 510.86755),(76 509.6081),(77 496.8146),(78 500.80872),(79 498.95935),
(1 285.16565),(2 347.69708),(3 378.70944),(4 389.37756),(5 406.86383),(6 410.7691),(7 412.88306),(8 422.3797),(9 424.53818),(10 424.86325),(11 430.87088),(12 433.13748),(13 440.7725),(14 446.21298),(15 454.94174),(16 457.00784),(17 459.1838),(18 456.8102),(19 455.14978),(20 460.37488),(21 461.24866),(22 467.70328),(23 475.26758),(24 477.87994),(25 478.66232),(26 478.6388),(27 480.61298),(28 484.7906),(29 483.4085),(30 479.8371),(31 480.87274),(32 482.07065),(33 482.6704),(34 482.6353),(35 491.4026),(36 486.16888),(37 482.2736),(38 489.88943),(39 494.07028),(40 486.77203),(41 478.63348),(42 487.68127),(43 485.9979),(44 480.5708),(45 476.66498),(46 481.36853),(47 480.88318),(48 484.59006),(49 483.57642),(50 482.6703),(51 492.37524),(52 491.21277),(53 491.61417),(54 491.2101),(55 497.29242),(56 492.13922),(57 492.74365),(58 491.72894),(59 494.64386),(60 491.78696),(61 493.3755),(62 487.55765),(63 499.5447),(64 499.92178),(65 494.10843),(66 500.42007),(67 499.65866),(68 505.11807),(69 501.0163),(70 506.1535),(71 500.61404),(72 489.16913),(73 501.06384),(74 496.5487),(75 499.35907),(76 500.61285),(77 489.996),(78 498.39377),(79 499.25015),
(1 276.8019),(2 339.72495),(3 364.96295),(4 373.28583),(5 384.36978),(6 400.52234),(7 399.16052),(8 403.57257),(9 411.1498),(10 412.82825),(11 420.6177),(12 420.95834),(13 418.60428),(14 425.35712),(15 425.30148),(16 432.41504),(17 437.08347),(18 441.5086),(19 438.43634),(20 454.02673),(21 445.50583),(22 447.09866),(23 453.4693),(24 446.08923),(25 444.81113),(26 448.5601),(27 448.67798),(28 450.25253),(29 459.08835),(30 454.99973),(31 458.3128),(32 459.08652),(33 462.26788),(34 460.44354),(35 459.69522),(36 459.20947),(37 459.43054),(38 461.43634),(39 458.66537),(40 459.76605),(41 452.36975),(42 452.7799),(43 455.21652),(44 451.80392),(45 456.3508),(46 450.9671),(47 454.61902),(48 458.84344),(49 457.00668),(50 455.3004),(51 466.31177),(52 461.56934),(53 465.13144),(54 466.8113),(55 458.95923),(56 457.2235),(57 454.66922),(58 452.5204),(59 459.78336),(60 457.41315),(61 454.26587),(62 463.9512),(63 471.47058),(64 468.51736),(65 469.02222),(66 476.02966),(67 470.95874),(68 467.1809),(69 473.47214),(70 468.3126),(71 467.11774),(72 468.71677),(73 463.29617),(74 469.62247),(75 472.6973),(76 479.32813),(77 475.1173),(78 473.2155),(79 472.48218),
(1 265.6136),(2 332.38696),(3 365.0221),(4 373.76892),(5 387.2205),(6 402.5114),(7 407.2047),(8 413.36484),(9 409.48422),(10 414.72464),(11 417.9271),(12 414.6988),(13 416.7567),(14 424.4271),(15 432.4456),(16 438.44604),(17 439.6194),(18 433.1675),(19 432.4844),(20 438.55347),(21 433.00946),(22 435.85278),(23 447.476),(24 438.0799),(25 436.51636),(26 446.31696),(27 443.4975),(28 443.7987),(29 448.40576),(30 445.45572),(31 447.82166),(32 451.82687),(33 451.41675),(34 454.66534),(35 445.4591),(36 451.76553),(37 448.72778),(38 448.51764),(39 447.8951),(40 461.56866),(41 457.17972),(42 463.08737),(43 463.66403),(44 461.45337),(45 458.66034),(46 454.57748),(47 456.47186),(48 452.13492),(49 458.67383),(50 453.18674),(51 462.3664),(52 469.09174),(53 466.25217),(54 469.75546),(55 471.1347),(56 466.46103),(57 466.10733),(58 461.11716),(59 460.2604),(60 457.95416),(61 456.97824),(62 459.75677),(63 461.6348),(64 463.23416),(65 469.20447),(66 466.33536),(67 466.6908),(68 471.0194),(69 475.59964),(70 473.5674),(71 467.6611),(72 466.18402),(73 464.69962),(74 465.4554),(75 468.88638),(76 463.90964),(77 461.7711),(78 467.1988),(79 461.15366),
(1 260.80737),(2 323.3602),(3 342.7994),(4 362.98288),(5 374.29013),(6 384.441),(7 387.38992),(8 393.27036),(9 400.14233),(10 398.64447),(11 397.93594),(12 393.0631),(13 396.46173),(14 400.84314),(15 404.549),(16 406.58463),(17 410.87314),(18 412.89267),(19 415.90634),(20 422.87744),(21 422.4818),(22 423.59906),(23 426.77893),(24 425.73557),(25 424.04483),(26 425.1024),(27 425.8651),(28 432.1481),(29 432.33627),(30 431.426),(31 425.55063),(32 430.80927),(33 430.1541),(34 433.90424),(35 437.0463),(36 434.42197),(37 439.76788),(38 433.6079),(39 430.69995),(40 436.43262),(41 434.701),(42 435.51492),(43 438.9587),(44 439.51196),(45 435.5744),(46 442.98587),(47 443.86636),(48 447.35428),(49 447.2229),(50 446.88568),(51 443.89417),(52 450.52774),(53 447.11484),(54 446.53296),(55 449.51086),(56 447.59015),(57 448.0062),(58 455.72928),(59 454.04285),(60 454.72375),(61 450.12393),(62 448.64096),(63 444.79874),(64 450.97723),(65 458.63107),(66 458.2969),(67 459.691),(68 459.96768),(69 458.9171),(70 460.47662),(71 461.00995),(72 459.32742),(73 458.21426),(74 457.70822),(75 465.08112),(76 464.54083),(77 465.51526),(78 463.5137),(79 459.5901),
(1 257.26166),(2 315.01532),(3 330.1068),(4 347.28232),(5 362.42108),(6 371.34665),(7 375.20782),(8 387.60236),(9 387.21216),(10 392.18115),(11 388.1619),(12 382.65936),(13 387.30313),(14 387.1752),(15 395.32712),(16 397.34335),(17 398.24356),(18 401.68875),(19 407.49744),(20 414.2033),(21 410.07535),(22 409.27985),(23 420.86456),(24 412.3051),(25 410.02917),(26 412.41354),(27 419.2818),(28 416.38763),(29 414.12967),(30 418.17776),(31 412.74136),(32 419.83063),(33 418.23193),(34 420.6856),(35 423.40677),(36 416.70392),(37 420.54367),(38 422.86563),(39 422.292),(40 429.4271),(41 421.89832),(42 427.92432),(43 428.90393),(44 423.50592),(45 417.82605),(46 423.10226),(47 428.40366),(48 426.03424),(49 427.1598),(50 434.34525),(51 431.422),(52 428.81113),(53 428.95093),(54 430.1153),(55 432.81375),(56 423.96365),(57 421.77325),(58 427.46692),(59 420.58624),(60 416.3786),(61 425.41678),(62 425.7274),(63 428.28687),(64 432.85773),(65 433.94516),(66 437.6198),(67 436.63086),(68 439.46408),(69 443.0648),(70 440.31155),(71 439.37845),(72 437.22336),(73 437.9692),(74 432.30734),(75 442.1258),(76 442.46317),(77 445.46466),(78 455.35953),(79 444.26633),
(1 250.81728),(2 311.2689),(3 329.76614),(4 354.04184),(5 366.71155),(6 374.0779),(7 379.45682),(8 388.14935),(9 385.681),(10 391.0079),(11 391.18488),(12 386.55795),(13 392.27008),(14 396.26553),(15 409.5378),(16 405.27863),(17 408.07898),(18 411.27716),(19 410.0719),(20 415.47867),(21 409.8754),(22 409.06082),(23 410.6554),(24 410.5941),(25 412.7018),(26 418.20364),(27 421.29022),(28 420.11374),(29 416.35342),(30 417.6951),(31 415.9977),(32 421.88443),(33 421.033),(34 427.44363),(35 426.87436),(36 422.46875),(37 425.8918),(38 424.8939),(39 423.7721),(40 429.42297),(41 427.4737),(42 430.22815),(43 429.1856),(44 423.21014),(45 417.6127),(46 419.77527),(47 415.3275),(48 421.91116),(49 418.7612),(50 418.84286),(51 420.06454),(52 420.2586),(53 422.9369),(54 436.54703),(55 435.40143),(56 433.30124),(57 440.42596),(58 437.03833),(59 433.9408),(60 432.62936),(61 436.5039),(62 431.03796),(63 430.90112),(64 440.27277),(65 435.08893),(66 431.9322),(67 436.22336),(68 442.09512),(69 435.5399),(70 436.78583),(71 436.68265),(72 437.3893),(73 437.03006),(74 440.07956),(75 440.5883),(76 443.24503),(77 442.46173),(78 439.27527),(79 436.7533),
(1 250.3981),(2 308.5196),(3 328.20425),(4 348.01813),(5 360.85782),(6 356.79282),(7 363.6097),(8 370.86478),(9 375.60995),(10 376.8607),(11 375.27225),(12 371.11652),(13 371.21338),(14 370.7117),(15 387.0424),(16 384.82898),(17 394.18283),(18 392.2646),(19 388.74792),(20 401.30206),(21 400.5432),(22 398.7093),(23 397.79697),(24 393.75977),(25 396.58923),(26 406.7023),(27 408.5955),(28 409.76178),(29 412.60855),(30 407.9319),(31 408.2037),(32 410.0504),(33 407.74814),(34 409.1081),(35 410.27222),(36 406.86755),(37 405.07114),(38 408.0179),(39 412.27084),(40 412.77127),(41 405.83997),(42 412.89908),(43 413.42838),(44 413.33267),(45 410.5419),(46 416.14728),(47 411.2293),(48 408.97928),(49 415.06802),(50 414.1353),(51 412.53937),(52 415.00375),(53 412.7445),(54 420.4627),(55 413.42868),(56 416.91003),(57 422.57056),(58 419.9046),(59 422.5655),(60 422.23987),(61 417.59787),(62 419.0336),(63 415.00436),(64 429.10782),(65 423.18903),(66 419.1813),(67 422.83997),(68 426.43463),(69 417.15903),(70 418.3903),(71 424.0791),(72 422.01236),(73 422.26746),(74 422.86615),(75 418.84708),(76 420.92154),(77 416.3477),(78 425.78503),(79 424.167),
(1 244.89809),(2 301.68143),(3 323.6766),(4 340.5695),(5 353.56747),(6 362.80356),(7 363.03555),(8 364.52908),(9 366.23734),(10 369.40762),(11 371.0251),(12 371.6699),(13 375.2431),(14 377.3628),(15 382.392),(16 380.14725),(17 390.56546),(18 388.35794),(19 385.9925),(20 389.7883),(21 395.9841),(22 401.25323),(23 403.28223),(24 401.95593),(25 396.85873),(26 396.94293),(27 398.1879),(28 402.8222),(29 408.8042),(30 410.05945),(31 413.03354),(32 419.1056),(33 411.0655),(34 412.10913),(35 420.7884),(36 413.6911),(37 410.96457),(38 412.05737),(39 409.29675),(40 407.85077),(41 403.8181),(42 407.46417),(43 403.5569),(44 404.46674),(45 404.68323),(46 404.9768),(47 408.14987),(48 414.3582),(49 411.97318),(50 414.77866),(51 411.4554),(52 404.3491),(53 405.99084),(54 414.08823),(55 408.2901),(56 412.5082),(57 417.8972),(58 416.6354),(59 417.85992),(60 417.40396),(61 420.69763),(62 418.30405),(63 420.10437),(64 425.01633),(65 424.9814),(66 424.93173),(67 423.80106),(68 427.29025),(69 418.8568),(70 419.54767),(71 420.2878),(72 422.91165),(73 415.24207),(74 425.39035),(75 424.21313),(76 419.43454),(77 416.62872),(78 421.1167),(79 417.7896),
(1 239.2747),(2 299.45044),(3 312.8839),(4 328.77173),(5 341.74838),(6 352.06046),(7 350.75262),(8 360.6713),(9 363.5169),(10 361.22403),(11 366.77325),(12 367.78894),(13 370.82483),(14 369.94705),(15 371.92673),(16 374.96497),(17 374.25626),(18 378.8689),(19 378.12387),(20 380.58157),(21 386.06955),(22 384.83563),(23 383.29187),(24 386.58218),(25 385.11575),(26 385.69217),(27 390.26227),(28 386.8413),(29 390.78336),(30 397.2521),(31 392.90958),(32 400.5758),(33 395.6626),(34 397.24017),(35 397.89185),(36 396.42422),(37 392.94107),(38 393.23138),(39 400.59177),(40 401.56342),(41 400.1838),(42 405.00888),(43 394.20496),(44 394.29358),(45 393.59113),(46 393.40845),(47 395.88388),(48 396.80417),(49 392.63666),(50 389.31903),(51 391.92047),(52 392.4707),(53 393.99722),(54 399.51962),(55 400.14682),(56 403.04868),(57 401.06787),(58 401.23883),(59 402.08533),(60 404.44955),(61 405.56717),(62 404.25357),(63 399.98227),(64 402.90027),(65 400.75232),(66 402.53235),(67 404.29193),(68 403.79968),(69 403.67032),(70 405.8189),(71 408.5643),(72 413.3541),(73 410.64404),(74 412.12384),(75 409.46722),(76 404.64676),(77 398.5795),(78 403.24905),(79 399.6771),
(1 232.05681),(2 285.77386),(3 308.0652),(4 324.78064),(5 334.48132),(6 343.59058),(7 350.54306),(8 358.53888),(9 359.66586),(10 355.08362),(11 361.4484),(12 357.85736),(13 362.7686),(14 365.3752),(15 363.4227),(16 370.79306),(17 373.55536),(18 377.83823),(19 379.30685),(20 380.7117),(21 377.17264),(22 375.93958),(23 384.32907),(24 391.10086),(25 388.7159),(26 389.30447),(27 388.1652),(28 377.949),(29 374.4123),(30 384.20544),(31 387.23734),(32 388.72122),(33 382.24017),(34 390.5431),(35 398.35004),(36 394.87564),(37 390.35776),(38 392.49106),(39 391.6286),(40 396.41986),(41 388.29498),(42 389.5363),(43 381.52768),(44 383.20233),(45 380.2318),(46 383.37857),(47 386.06375),(48 389.74667),(49 388.68982),(50 390.80994),(51 396.9858),(52 390.24475),(53 387.97125),(54 392.3016),(55 392.20615),(56 396.60953),(57 395.36255),(58 400.05856),(59 398.27042),(60 395.10687),(61 391.58133),(62 394.81454),(63 400.55432),(64 400.39944),(65 399.21506),(66 398.33466),(67 401.15802),(68 406.0101),(69 403.44415),(70 404.95428),(71 401.05115),(72 399.30875),(73 398.71387),(74 398.55865),(75 402.17926),(76 398.97998),(77 396.0367),(78 404.70245),(79 400.55402),
(1 228.80865),(2 277.30765),(3 299.94846),(4 321.17273),(5 330.98364),(6 336.0121),(7 339.9485),(8 347.9845),(9 348.74387),(10 352.21936),(11 357.93457),(12 359.68332),(13 357.62094),(14 358.3315),(15 363.856),(16 360.81158),(17 371.68558),(18 370.50473),(19 372.66132),(20 378.23737),(21 372.5927),(22 380.40585),(23 379.97147),(24 379.7758),(25 380.51068),(26 382.62534),(27 378.90488),(28 374.25912),(29 373.52518),(30 380.2881),(31 377.99698),(32 381.7198),(33 377.5979),(34 382.8476),(35 387.61264),(36 386.2321),(37 385.89014),(38 390.1411),(39 386.02243),(40 384.25146),(41 380.51462),(42 379.3786),(43 372.98755),(44 377.4132),(45 371.98114),(46 373.562),(47 375.2287),(48 378.01187),(49 381.28217),(50 384.0824),(51 387.98642),(52 392.0673),(53 388.89108),(54 392.3228),(55 389.6288),(56 392.58423),(57 391.44955),(58 394.38513),(59 393.16434),(60 391.1242),(61 395.3516),(62 397.3463),(63 403.74707),(64 397.52155),(65 397.6445),(66 399.29257),(67 395.3836),(68 394.10507),(69 394.26193),(70 395.80804),(71 393.52783),(72 391.74393),(73 388.47168),(74 384.2472),(75 386.25266),(76 388.5845),(77 386.90762),(78 387.74316),(79 387.15103),
(1 222.17366),(2 275.7369),(3 288.77112),(4 307.18805),(5 320.90622),(6 325.71497),(7 331.8068),(8 340.22183),(9 346.02902),(10 352.15393),(11 349.72885),(12 351.58255),(13 352.6517),(14 352.28662),(15 350.84235),(16 352.6742),(17 354.21518),(18 357.64545),(19 363.51566),(20 366.34677),(21 364.4478),(22 368.35687),(23 364.46503),(24 363.26935),(25 363.953),(26 366.49442),(27 369.19266),(28 372.39224),(29 373.61887),(30 373.9538),(31 375.7052),(32 379.2314),(33 374.99814),(34 378.44925),(35 378.06418),(36 380.81888),(37 383.57645),(38 382.76462),(39 385.56042),(40 379.45523),(41 378.3226),(42 380.02094),(43 375.01462),(44 377.0088),(45 374.2256),(46 373.80057),(47 375.55524),(48 374.19022),(49 373.92667),(50 377.91827),(51 384.3083),(52 382.62753),(53 383.68155),(54 388.198),(55 385.62625),(56 389.0634),(57 383.5608),(58 385.6989),(59 391.49136),(60 386.11462),(61 387.5936),(62 386.88126),(63 388.27814),(64 387.8753),(65 385.17413),(66 386.60303),(67 385.67444),(68 390.45374),(69 386.96436),(70 389.57126),(71 385.8564),(72 384.08002),(73 382.64398),(74 385.21448),(75 383.76862),(76 381.15665),(77 384.74432),(78 382.8813),(79 380.43106),
(1 221.30388),(2 272.25342),(3 293.2853),(4 308.7068),(5 314.9468),(6 323.58902),(7 324.8373),(8 328.20392),(9 333.7519),(10 335.3681),(11 338.9148),(12 338.52588),(13 344.99335),(14 341.1275),(15 350.78702),(16 344.53964),(17 345.6033),(18 349.91132),(19 351.08408),(20 355.27396),(21 355.45724),(22 362.3948),(23 360.80545),(24 361.74106),(25 360.2418),(26 361.8504),(27 361.99368),(28 363.30536),(29 366.0928),(30 368.53302),(31 370.8009),(32 370.39563),(33 368.96182),(34 371.49472),(35 375.8702),(36 371.0856),(37 367.77188),(38 368.54254),(39 372.5615),(40 371.68738),(41 369.15137),(42 372.30505),(43 363.2743),(44 364.94543),(45 363.8052),(46 360.6484),(47 359.19403),(48 364.73895),(49 364.27625),(50 372.9339),(51 376.1767),(52 377.78348),(53 376.3332),(54 372.6462),(55 371.19437),(56 374.61407),(57 372.78485),(58 372.58853),(59 374.41937),(60 368.30405),(61 369.84247),(62 369.4559),(63 371.318),(64 372.1246),(65 374.73944),(66 374.09097),(67 375.73053),(68 379.77185),(69 377.39438),(70 377.06805),(71 377.066),(72 378.5379),(73 374.5209),(74 379.4024),(75 375.65967),(76 379.08948),(77 383.41943),(78 381.36258),(79 383.93185),
(1 214.37598),(2 262.19095),(3 278.98355),(4 294.06268),(5 305.43167),(6 307.87103),(7 310.8182),(8 317.99387),(9 322.2428),(10 325.62445),(11 325.89453),(12 324.43564),(13 331.74957),(14 330.29913),(15 331.6994),(16 338.15918),(17 331.31894),(18 328.63324),(19 332.003),(20 343.89914),(21 344.49792),(22 344.07578),(23 348.96548),(24 343.5934),(25 345.24084),(26 343.91104),(27 344.85303),(28 348.11212),(29 344.6767),(30 340.47452),(31 348.91055),(32 346.45856),(33 351.64856),(34 351.06265),(35 348.0951),(36 349.8512),(37 351.5815),(38 349.75702),(39 352.7444),(40 355.95087),(41 351.94687),(42 351.19507),(43 350.9791),(44 347.79196),(45 350.74905),(46 346.2314),(47 346.18976),(48 352.08783),(49 353.77536),(50 349.6694),(51 354.3239),(52 363.83078),(53 361.314),(54 358.7898),(55 362.28406),(56 362.345),(57 358.64822),(58 357.06024),(59 365.68008),(60 362.79144),(61 362.58337),(62 364.14197),(63 368.2466),(64 372.2211),(65 367.3689),(66 361.35754),(67 360.34683),(68 365.82166),(69 368.46075),(70 365.62808),(71 368.629),(72 370.96518),(73 371.52823),(74 371.83353),(75 368.9104),(76 366.3558),(77 369.1396),(78 365.0798),(79 365.2985),
(1 211.26317),(2 259.10535),(3 274.24332),(4 291.48444),(5 307.83786),(6 309.48682),(7 317.96204),(8 327.2002),(9 328.12973),(10 328.66913),(11 328.53656),(12 327.3377),(13 330.77936),(14 323.8811),(15 329.3701),(16 333.6433),(17 333.02975),(18 330.47803),(19 333.70306),(20 337.66476),(21 342.32187),(22 348.1156),(23 349.894),(24 348.0642),(25 346.2173),(26 348.73868),(27 347.95187),(28 345.06213),(29 340.95395),(30 339.28888),(31 347.31937),(32 345.43588),(33 351.99246),(34 354.28925),(35 356.90262),(36 356.4574),(37 356.29343),(38 354.10886),(39 353.22324),(40 351.37057),(41 351.26843),(42 344.54578),(43 345.41058),(44 345.9934),(45 342.78235),(46 339.11307),(47 342.0387),(48 347.17108),(49 350.6321),(50 352.96762),(51 354.35205),(52 355.94928),(53 354.86676),(54 350.33688),(55 352.51624),(56 354.3401),(57 353.4309),(58 350.27905),(59 357.15637),(60 351.77295),(61 352.18436),(62 352.34174),(63 352.00412),(64 350.27963),(65 350.99713),(66 353.79358),(67 349.58463),(68 350.7009),(69 354.5649),(70 354.4567),(71 353.2801),(72 356.18497),(73 358.85687),(74 357.923),(75 358.12854),(76 361.79596),(77 367.31378),(78 361.42935),(79 360.87543),
