1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 70844.61),(2 162054.28),(3 277417.1),(4 365316.88),(5 506717.4),(6 630118.8),(7 770338.75),(8 897883.94),(9 1042010.8),(10 1226214),(11 1619748.1),(12 2166967.3),(13 2880644.3),(14 3241064.8),(15 3342146.3),(16 3389381.3),(17 3504013.3),(18 3653076),(19 3743155.3),(20 3805227),(21 3741816),(22 3727893.3),(23 3701142.8),(24 3698795.3),(25 3751939),(26 3774891.3),(27 3947707),(28 4215258.5),(29 5016751.5),(30 5472783),(31 5672371.5),(32 5692918.5),(33 5592956),(34 5408903.5),(35 5248433.5),(36 5188249),(37 5153971.5),(38 5175515.5),(39 5163307.5),(40 5116119.5),(41 4971104.5),(42 5031174.5),(43 5210888.5),(44 5413320.5),(45 5495091.5),(46 5582024),(47 5661881.5),(48 5734578),(49 5792885.5),(50 5599458),(51 5525354),(52 5505954.5),(53 5816139.5),(54 5989736),(55 6015360),(56 5959666.5),(57 5881992),(58 5909652),(59 5942688),(60 5929099.5),(61 5927437.5),(62 6001776.5),(63 6065490.5),(64 6112788),(65 6029014),(66 6025088),(67 5950928.5),(68 5906706),(69 5757286.5),(70 5646186),(71 5551559.5),(72 5438785.5),(73 5298648.5),(74 5091188.5),(75 4912126.5),(76 4798702),(77 4666890),(78 4571579.5),(79 4576932),
(1 5195.252),(2 10053.423),(3 13789.698),(4 16402.7),(5 18624.543),(6 19632.736),(7 20787.05),(8 21696.842),(9 21884.402),(10 22195.795),(11 22983.44),(12 23878.332),(13 24842.684),(14 24246.97),(15 23969.83),(16 23965.688),(17 24440.879),(18 24452.332),(19 24952.734),(20 25455.47),(21 26476.488),(22 26585.258),(23 27351.08),(24 28099.48),(25 29138.11),(26 29278.66),(27 29920.287),(28 30732.396),(29 31305.748),(30 32011.201),(31 33638.074),(32 35079.05),(33 35861.113),(34 35769.973),(35 36138.24),(36 36587.805),(37 37015.16),(38 37391.613),(39 38455.234),(40 39037.832),(41 39618.113),(42 40004.008),(43 41521.12),(44 43172.727),(45 43984.71),(46 43933.836),(47 44548.38),(48 45559.45),(49 46441.87),(50 46700.055),(51 47429.273),(52 48547.203),(53 49591.47),(54 49632.15),(55 50113.156),(56 50648.04),(57 51118.703),(58 51123.695),(59 51754.438),(60 52296.387),(61 52691.992),(62 52055.113),(63 51744.953),(64 51484.113),(65 50762.71),(66 49178.293),(67 48804.984),(68 49072.93),(69 49195.992),(70 48191.883),(71 48642.664),(72 49251.02),(73 48863.25),(74 47802.195),(75 47825.02),(76 47902.09),(77 49025.895),(78 48828.78),(79 49784.63),
(1 4836.499),(2 9188.256),(3 12415.897),(4 14733.298),(5 16724.412),(6 17724.578),(7 18931.508),(8 19941.672),(9 20697.92),(10 21151.799),(11 22166.012),(12 23337.871),(13 24266.791),(14 23847.508),(15 23655.975),(16 23716.225),(17 24140.912),(18 24008.836),(19 24548.486),(20 25199.172),(21 25972.797),(22 26055.352),(23 26879.807),(24 27938.262),(25 29064.229),(26 29936.234),(27 31286.248),(28 32437.219),(29 33436.02),(30 34181.05),(31 35643.727),(32 36991.254),(33 37480.914),(34 37293.46),(35 37653.777),(36 38191.566),(37 39230.24),(38 39940.918),(39 41499.03),(40 42456.758),(41 42417.363),(42 42383.797),(43 43557.953),(44 44820.207),(45 45825.582),(46 45861.61),(47 46620.984),(48 47749.68),(49 48558.344),(50 48821.61),(51 49670.34),(52 50769.71),(53 51829.75),(54 51773.797),(55 52060.13),(56 52314.434),(57 53046.855),(58 52956.957),(59 53391.27),(60 53817.215),(61 53938.91),(62 53141.15),(63 52955.203),(64 52948.13),(65 52709.754),(66 51493.434),(67 51059.11),(68 50887.79),(69 51075.29),(70 50234.945),(71 49990.652),(72 49889.754),(73 49320.277),(74 48298.492),(75 48169.56),(76 48149.113),(77 48797.113),(78 48407.3),(79 49502.96),
(1 4670.3174),(2 8974.674),(3 12222.943),(4 14375.172),(5 15736.056),(6 16407.754),(7 17406.48),(8 18197.9),(9 19193.588),(10 19417.947),(11 20414.049),(12 21601.203),(13 22231.396),(14 21789.56),(15 21734.6),(16 21690.98),(17 22082.402),(18 22085.186),(19 23004.742),(20 23894.77),(21 24764.93),(22 25263.639),(23 26466.328),(24 27537.543),(25 28295.93),(26 29071.428),(27 30683.447),(28 32339.896),(29 33548.047),(30 34133.36),(31 35392.066),(32 36764.797),(33 37615.645),(34 37678.64),(35 38103.844),(36 38762.105),(37 39992.684),(38 40960.297),(39 42373.74),(40 43498.977),(41 44016.42),(42 44496.242),(43 45795.88),(44 46869.035),(45 47765.008),(46 48102.688),(47 48793.664),(48 49806.38),(49 50862.973),(50 51234.55),(51 52322.566),(52 53663.633),(53 54777.156),(54 54496.957),(55 54461.516),(56 54690.047),(57 55017.4),(58 54571.098),(59 54448.773),(60 54068.113),(61 54020.785),(62 53025.43),(63 52489.156),(64 52338.355),(65 52075.99),(66 50900.844),(67 50427.105),(68 50220.145),(69 49894.625),(70 49412.07),(71 49912.566),(72 50465.348),(73 50498.33),(74 49893.81),(75 50089.164),(76 50327.98),(77 51045.855),(78 50518.973),(79 51082.957),
(1 4788.8853),(2 9111.81),(3 12571.214),(4 14990.832),(5 16419.654),(6 17114.24),(7 18122.836),(8 18791.18),(9 19283.035),(10 19509.752),(11 20341.252),(12 21089.213),(13 21818.275),(14 21336.195),(15 21411.379),(16 21672.086),(17 22337.39),(18 22498.016),(19 23370.654),(20 24288.08),(21 25234.754),(22 25610.633),(23 26723.725),(24 27972.457),(25 29177.883),(26 29888.87),(27 31136.428),(28 32456.451),(29 33441.598),(30 34088.6),(31 35592.45),(32 36945.15),(33 38210.293),(34 38549.21),(35 39108.965),(36 39534.098),(37 40363.098),(38 40815.93),(39 41582.55),(40 42442.246),(41 43018.23),(42 43327.35),(43 44103.184),(44 44958.23),(45 45414.906),(46 45477.188),(47 45983.543),(48 46714.008),(49 48038.543),(50 48063.1),(51 48732.27),(52 49734.863),(53 50978.37),(54 50956.55),(55 50849.38),(56 50618.94),(57 50655.47),(58 50052.57),(59 50155.582),(60 50390.535),(61 50003.402),(62 49145.766),(63 49055.54),(64 48833.37),(65 48826.605),(66 47774.918),(67 47551.816),(68 47579.88),(69 47095.254),(70 46172.31),(71 46477.41),(72 47214.293),(73 46951.4),(74 46233.44),(75 46285.8),(76 46838.16),(77 47907.67),(78 47498.582),(79 48304.47),
(1 4588.0713),(2 8824.225),(3 12169),(4 14559.577),(5 16509.277),(6 17469.727),(7 18566.254),(8 19538.72),(9 20302.035),(10 20556.732),(11 21424.521),(12 22132.06),(13 22552.014),(14 22152.715),(15 22252.342),(16 22579.309),(17 23096.105),(18 23657.473),(19 24862.357),(20 25880.094),(21 27011.213),(22 27434.346),(23 28574.348),(24 30092.57),(25 32139.727),(26 32966.29),(27 34213.75),(28 35682.94),(29 36719.69),(30 37990.04),(31 39838.254),(32 41289.94),(33 42005.28),(34 42408.9),(35 43160.418),(36 43770.52),(37 44735.25),(38 45614.69),(39 46875.023),(40 47819.152),(41 48438.504),(42 48985.758),(43 50265.35),(44 51229.613),(45 51939.21),(46 52050.813),(47 52960.777),(48 53908.75),(49 55267.113),(50 55807.68),(51 56647.14),(52 57903.266),(53 59591.816),(54 59580.67),(55 59379.215),(56 59168.31),(57 60092.71),(58 59504.992),(59 59452.152),(60 59152.25),(61 58755.637),(62 57551.78),(63 57070.93),(64 56891.805),(65 56234.25),(66 54765.223),(67 54375.9),(68 54483.02),(69 54169.56),(70 53483.17),(71 53848.18),(72 54111.418),(73 54392.918),(74 53711.72),(75 54125.086),(76 55157.895),(77 56295.813),(78 55518.063),(79 56020.984),
(1 4506.608),(2 8762.993),(3 12105.54),(4 14406.007),(5 15947.104),(6 16731.896),(7 17602.846),(8 18242.463),(9 19146.428),(10 19491.992),(11 20212.04),(12 20892.043),(13 21266.646),(14 20961.344),(15 21125.316),(16 21562.947),(17 22099.67),(18 22347.621),(19 23364.271),(20 24119.742),(21 25329.496),(22 25683.787),(23 26715.57),(24 27983.416),(25 29144.184),(26 29924.365),(27 30718.58),(28 31660.586),(29 33088.367),(30 34060.793),(31 35667.863),(32 37071.137),(33 37395.285),(34 37661.95),(35 38139.855),(36 38556.61),(37 39109.82),(38 39386.492),(39 40183.57),(40 40791.43),(41 41754.16),(42 42455.594),(43 43948.68),(44 45278.445),(45 46067.043),(46 46459.336),(47 47385.945),(48 48136.516),(49 48928.105),(50 48983.195),(51 49579.938),(52 50707.18),(53 52214.22),(54 52667.5),(55 53042.926),(56 52976.734),(57 53111.75),(58 52779.117),(59 52998.336),(60 52795.957),(61 52565.957),(62 51253.074),(63 50719.17),(64 50626.223),(65 50265.203),(66 49012.695),(67 48945.965),(68 49446.746),(69 49287.367),(70 48361.066),(71 48826.414),(72 49804.84),(73 49967.824),(74 48681.89),(75 48583.613),(76 49502.23),(77 50845.676),(78 50767.574),(79 51775.117),
(1 4424.348),(2 8483.485),(3 11827.04),(4 14149.591),(5 15659.404),(6 16377.493),(7 17351.982),(8 17995.941),(9 18759.64),(10 19178.25),(11 19934.926),(12 20758.205),(13 21391.4),(14 21133.32),(15 21417.396),(16 21937.477),(17 22373.78),(18 22470.303),(19 23258.602),(20 24010.479),(21 24989.857),(22 25507.438),(23 26723.92),(24 27912.41),(25 28978.945),(26 29283.441),(27 30127.814),(28 31340.504),(29 32803),(30 33783.754),(31 35481.625),(32 37069.992),(33 38177.918),(34 38851.6),(35 39537.293),(36 40134.316),(37 40866.977),(38 41276.71),(39 42083.707),(40 42754.43),(41 43782.96),(42 44413.305),(43 46038.195),(44 47713.645),(45 49110.887),(46 49877.785),(47 51071.15),(48 52029.62),(49 53542.227),(50 54246.598),(51 55542.52),(52 57257.535),(53 59158.164),(54 59581.52),(55 59944.082),(56 60253.28),(57 59981.746),(58 59622.047),(59 59573.18),(60 59449.555),(61 59416.07),(62 57928.965),(63 57098.86),(64 56491.918),(65 55687.504),(66 54026.3),(67 53272.625),(68 53135.86),(69 52902.793),(70 51709.832),(71 51590.87),(72 51615.207),(73 51067.66),(74 49860.152),(75 49780.39),(76 50364.965),(77 51213.945),(78 51153.32),(79 52216.26),
(1 4352.939),(2 8307.764),(3 11488.103),(4 13755.352),(5 15133.787),(6 15621.0205),(7 16341.161),(8 17106.85),(9 17997.47),(10 18360.428),(11 19172.045),(12 19977.623),(13 20448.217),(14 20370.266),(15 20779.139),(16 21173.373),(17 21693.535),(18 21323.875),(19 21501.69),(20 21685.262),(21 22382.51),(22 22354.625),(23 22789.875),(24 23442.23),(25 24205.072),(26 24522.783),(27 25504.158),(28 26643.877),(29 27633.297),(30 28291.861),(31 29597.45),(32 30884.918),(33 31876.125),(34 32220.445),(35 32795.938),(36 33259.87),(37 33815.316),(38 33955.598),(39 34424.734),(40 34821.055),(41 35120.15),(42 35294.77),(43 36191.32),(44 36899.95),(45 38322.113),(46 38614.77),(47 39044.836),(48 39153.17),(49 39899.883),(50 39974.58),(51 40528.613),(52 41270.965),(53 42528.13),(54 42452.46),(55 42727.203),(56 42820.35),(57 42697.414),(58 42304.348),(59 42786.027),(60 43324.645),(61 43538.535),(62 42780.855),(63 42762.453),(64 43224.875),(65 43246.02),(66 41929.047),(67 41671.77),(68 42252.395),(69 42841.12),(70 42131.668),(71 42367.45),(72 43281.37),(73 44014.08),(74 43531.176),(75 44000.492),(76 44806.05),(77 45456.637),(78 45125.703),(79 45898.086),
(1 4253.3555),(2 7945.631),(3 10709.868),(4 12565.067),(5 13582.7295),(6 14023.655),(7 14990.8955),(8 16028.968),(9 17079.354),(10 17519.768),(11 18290.19),(12 18889.186),(13 19083.713),(14 18921.752),(15 19162.959),(16 19458.486),(17 19860.027),(18 19612.865),(19 20042.922),(20 20572.69),(21 21157.072),(22 21184.844),(23 21668.06),(24 22354.23),(25 22954.674),(26 23216.219),(27 24074.56),(28 24980.707),(29 26184.426),(30 26850.871),(31 28001.93),(32 28988.955),(33 29451.11),(34 29641.416),(35 30101.996),(36 30478.541),(37 30946.555),(38 31120.06),(39 31800.82),(40 32371.258),(41 32651.248),(42 32906.44),(43 33853.27),(44 34745.78),(45 35850.75),(46 36196.61),(47 36942.008),(48 37570.59),(49 39088.176),(50 39458.805),(51 40221.836),(52 41377.844),(53 43036.527),(54 43335.2),(55 43481.305),(56 43577.06),(57 44002.36),(58 43876.73),(59 44092.87),(60 44304.375),(61 44655.977),(62 43841.836),(63 43520.195),(64 43604.242),(65 43455.137),(66 42101.16),(67 41669.566),(68 41869.15),(69 41882.57),(70 41348.1),(71 41914.29),(72 42529.848),(73 42102.547),(74 41553.29),(75 42257.863),(76 42954.86),(77 43571.09),(78 43444.266),(79 44413.93),
(1 4162.248),(2 7929.183),(3 10615.755),(4 12491.329),(5 13555.466),(6 14033.306),(7 14974.902),(8 15741.685),(9 16574.104),(10 16879.693),(11 17489.402),(12 18040.428),(13 18586.88),(14 18653.633),(15 19015.297),(16 19356.113),(17 19773.95),(18 19472.377),(19 19826.285),(20 20276.773),(21 21052.98),(22 21247.541),(23 21786.857),(24 22395.992),(25 23153.125),(26 23328.104),(27 23751.217),(28 24201.355),(29 25438.287),(30 25857.367),(31 26723.465),(32 27606.535),(33 27749.117),(34 27818.693),(35 28228.309),(36 28428.705),(37 29327.828),(38 29421.11),(39 29923.445),(40 30513.928),(41 31316.719),(42 31807.592),(43 32935.44),(44 34086.824),(45 35126.285),(46 35651.348),(47 36607.32),(48 37477.953),(49 38930.55),(50 39112.188),(51 39730.766),(52 40879.594),(53 42480.813),(54 42761.566),(55 43126.203),(56 43582.984),(57 43560.64),(58 43586.188),(59 44212.53),(60 44434.035),(61 43951.28),(62 43156.676),(63 42846.74),(64 42556.91),(65 42178.043),(66 40974.918),(67 40824.9),(68 41342.07),(69 41385.984),(70 40769.426),(71 41140.574),(72 41896.65),(73 41766.465),(74 41132.313),(75 41552.16),(76 42235.13),(77 42623.117),(78 42413.55),(79 43248.582),
(1 4140.401),(2 7872.2197),(3 10440.558),(4 11977.367),(5 12726.949),(6 12971.072),(7 13683.695),(8 14561.976),(9 15544.107),(10 15952.313),(11 16515.305),(12 16955.008),(13 17237.736),(14 17159.676),(15 17585.016),(16 17909.334),(17 18243.29),(18 17946.016),(19 18256.203),(20 18798.467),(21 19626.285),(22 19806.09),(23 20371.154),(24 21127.105),(25 21889.357),(26 22314.865),(27 23092.195),(28 24024.611),(29 25439.057),(30 25952.6),(31 26839.86),(32 27633.938),(33 28076.125),(34 28271.97),(35 28758.504),(36 29089.17),(37 29850.586),(38 30034.564),(39 30543.756),(40 31134.266),(41 31732.229),(42 32134.176),(43 33189.05),(44 34068.316),(45 34765.125),(46 35098.39),(47 35858.266),(48 36824.758),(49 38161.79),(50 38031.53),(51 38594.66),(52 39524.867),(53 40799.82),(54 40769.938),(55 40983.94),(56 41190.793),(57 41580.27),(58 41503.14),(59 41814.883),(60 42152.523),(61 42175.383),(62 41376.203),(63 40858.67),(64 40553.76),(65 39902.598),(66 39089.59),(67 39004.527),(68 39064.777),(69 39406.086),(70 38636.76),(71 38707.71),(72 39130.29),(73 39048.387),(74 38289.832),(75 38872.78),(76 39828.06),(77 40185.492),(78 40161.418),(79 41004.92),
(1 4074.9854),(2 7739.0513),(3 10359.417),(4 11943.167),(5 12855.62),(6 13410.894),(7 14483.832),(8 15583.495),(9 16562.172),(10 16908.576),(11 17379.734),(12 17848.105),(13 18378.969),(14 18487.734),(15 19008.205),(16 19254.912),(17 19508.563),(18 19453.344),(19 20008.145),(20 20786.951),(21 21712.52),(22 21838.482),(23 22486.012),(24 23477.535),(25 24692.854),(26 25437.127),(27 26491.723),(28 27562.62),(29 28786.135),(30 29597.252),(31 31046.494),(32 32130.912),(33 32803.332),(34 33153.1),(35 33671.9),(36 34213.906),(37 34873.23),(38 35184.96),(39 35835.582),(40 36562.535),(41 36968.703),(42 37529.035),(43 38914.848),(44 40053.605),(45 40605.074),(46 40831.508),(47 41505.11),(48 42567.676),(49 44318.42),(50 44380.72),(51 44873.652),(52 45834.25),(53 47459.805),(54 47729.39),(55 47818.12),(56 47602.66),(57 47704.664),(58 47455.547),(59 47529.098),(60 47898.395),(61 47762.04),(62 46898.453),(63 46296.926),(64 45805.38),(65 44768.387),(66 43467.555),(67 42795.027),(68 42371.574),(69 42108.992),(70 41086.563),(71 41351.055),(72 41954.598),(73 41806.17),(74 40724.535),(75 40779.96),(76 41455.83),(77 41976.508),(78 41908.94),(79 42729.57),
(1 4024.341),(2 7516.399),(3 10037.945),(4 11609.16),(5 12732.889),(6 13312.735),(7 14463.762),(8 15633.309),(9 16321.394),(10 16728.373),(11 17292.426),(12 18037.498),(13 18690.207),(14 18949.496),(15 19644.037),(16 20077.607),(17 20326.037),(18 20082.68),(19 20582.455),(20 21272.027),(21 22418.223),(22 22898.795),(23 23974.693),(24 25339.129),(25 26683.135),(26 27279.42),(27 28431.137),(28 29918.898),(29 31752.598),(30 33288.508),(31 35302.223),(32 36798.57),(33 37430.344),(34 37792.984),(35 38165.94),(36 38598.523),(37 39545.266),(38 39993.793),(39 41003.875),(40 41713.516),(41 42265.36),(42 42801.35),(43 44173.8),(44 45169.457),(45 45924.75),(46 46134.83),(47 47183.344),(48 48505.105),(49 50050.473),(50 50521.785),(51 51434.887),(52 52283.508),(53 53763.36),(54 53936.137),(55 53895.555),(56 54014.39),(57 54398.953),(58 54262.188),(59 54348.082),(60 54439.633),(61 54109.95),(62 52985.63),(63 52009.793),(64 51163.17),(65 49867.543),(66 48513.28),(67 48148.55),(68 47697.496),(69 47253.484),(70 45892.883),(71 45165.625),(72 44710.99),(73 45036.01),(74 43236.7),(75 43189.5),(76 43990.605),(77 44063.113),(78 43923.016),(79 44983.438),
(1 3896.178),(2 7154.2666),(3 9341.019),(4 10691.093),(5 11589.732),(6 12161.242),(7 13236.978),(8 14291.864),(9 15009.706),(10 15263.066),(11 15691.087),(12 16336.842),(13 17153.129),(14 17193.307),(15 17543.629),(16 17899.15),(17 18190.938),(18 18143.914),(19 18799.125),(20 19536.326),(21 20785.057),(22 21292.014),(23 22362.236),(24 23774.354),(25 25030.826),(26 25685.674),(27 26665.012),(28 27929.201),(29 30053.068),(30 31080.15),(31 32583.506),(32 33797.15),(33 34378.758),(34 34793.03),(35 35205.71),(36 35497.4),(37 36275.703),(38 36819.65),(39 37966.566),(40 38876.414),(41 39637.938),(42 40271.613),(43 41631.09),(44 42945.37),(45 44401.89),(46 44710.82),(47 45483.477),(48 46615.78),(49 47852.04),(50 48340.637),(51 49215.965),(52 50092.3),(53 51646.547),(54 51934.29),(55 52020.465),(56 51879.78),(57 52216.38),(58 51917.3),(59 51701.664),(60 51515.44),(61 50770.453),(62 49670.242),(63 48934.176),(64 48153.047),(65 46911.266),(66 45500.48),(67 44857.582),(68 44537.12),(69 44531.535),(70 43765.33),(71 43878.926),(72 44091.742),(73 44083.27),(74 43123.883),(75 43339.426),(76 44221.426),(77 44481.8),(78 44575.445),(79 45869.465),
(1 3628.769),(2 6588.675),(3 8680.085),(4 10006.891),(5 10936.426),(6 11401.671),(7 12415.25),(8 13372.961),(9 14028.174),(10 14325.901),(11 14787.386),(12 15448.275),(13 16303.275),(14 16388.025),(15 16619.7),(16 16853.475),(17 17436.1),(18 17738.006),(19 18653.24),(20 19428.555),(21 20269.262),(22 20716.297),(23 21693.313),(24 22890.797),(25 24016.563),(26 24638.553),(27 25712.44),(28 26762.516),(29 28232.932),(30 29349.8),(31 30820.313),(32 31716.504),(33 32067.326),(34 32481.672),(35 33259.094),(36 34004.332),(37 34802.8),(38 35264.23),(39 36080.934),(40 36738.14),(41 37168.387),(42 37525.52),(43 38658.918),(44 39777.418),(45 40799.637),(46 41194.297),(47 41915.902),(48 42839.227),(49 44209.27),(50 44813.805),(51 45653.215),(52 46759.72),(53 48318.715),(54 48396.2),(55 48368.543),(56 48192.887),(57 48470.066),(58 47893.195),(59 47642.406),(60 47501.89),(61 47438.348),(62 46493.457),(63 45845.137),(64 45360.934),(65 44606.824),(66 43541.344),(67 43195.035),(68 43155.563),(69 43239.375),(70 42542.38),(71 42421.465),(72 42302.676),(73 42333.242),(74 41181.934),(75 41397.03),(76 42436.293),(77 42975.953),(78 42646.95),(79 43525.1),
(1 3628.015),(2 6641.559),(3 8702.772),(4 9948.23),(5 10920.741),(6 11400.77),(7 12260.169),(8 13006.281),(9 13622.989),(10 13911.929),(11 14421.06),(12 15013.446),(13 15667.624),(14 15578.081),(15 15711.995),(16 15898.642),(17 16391.479),(18 16569.719),(19 17525.71),(20 18369.031),(21 19292.68),(22 19845.135),(23 20726.148),(24 21851.549),(25 23128.09),(26 23858.36),(27 24776.955),(28 25785.47),(29 26715.447),(30 27621.613),(31 28907.92),(32 29691.217),(33 30196.219),(34 30688.195),(35 31622.607),(36 32510.01),(37 33097.7),(38 33462.105),(39 34304.37),(40 35014.15),(41 35279.086),(42 35573.266),(43 36430.65),(44 37131.137),(45 37667.98),(46 37899.87),(47 38589.63),(48 39144.508),(49 39886.06),(50 40057.496),(51 40707.5),(52 41458.797),(53 42410.313),(54 42565.074),(55 42678.266),(56 42447.664),(57 42123.805),(58 41689.813),(59 41687.492),(60 41400.395),(61 41401.547),(62 40583.734),(63 40076.25),(64 39563.707),(65 38966.637),(66 37866.305),(67 37265.215),(68 37054.313),(69 37405.84),(70 36921.727),(71 37143.316),(72 37296.76),(73 37149.336),(74 36621.15),(75 37110.637),(76 38215.65),(77 38542.875),(78 38435.88),(79 39461.984),
(1 3469.3147),(2 6169.118),(3 8132.2344),(4 9371.575),(5 10232.681),(6 10834.568),(7 11851.548),(8 12698.477),(9 13203.031),(10 13525.954),(11 14222.825),(12 14965.969),(13 15839.452),(14 15936.348),(15 16075.652),(16 16278.8),(17 16738.592),(18 16691.941),(19 17364.455),(20 18017.74),(21 18953.766),(22 19427.61),(23 20162.607),(24 20993.871),(25 22175.93),(26 22795.512),(27 23864.637),(28 24784.516),(29 25598.496),(30 26493.979),(31 27677.926),(32 28271.4),(33 28404.16),(34 28462.324),(35 28923.527),(36 29343.42),(37 29792.504),(38 30064.234),(39 30858.68),(40 31470.74),(41 32300.49),(42 32569.438),(43 33149.94),(44 33665.69),(45 34158.703),(46 34359.723),(47 35362.61),(48 36554.305),(49 37767.375),(50 38627.75),(51 39819.543),(52 41050.242),(53 41327.992),(54 41165.598),(55 41502.45),(56 41836.43),(57 42283.254),(58 42014.656),(59 42101.26),(60 42293.684),(61 42293.094),(62 41485.645),(63 40956.285),(64 40532.445),(65 40421.246),(66 39710.418),(67 39501.406),(68 39263.3),(69 39502.164),(70 38756.418),(71 38612.61),(72 38413.137),(73 37777.76),(74 37240.65),(75 37941.88),(76 38780.434),(77 39669.234),(78 39007.37),(79 39225.195),
