1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 45726.27),(2 135942.45),(3 258888.23),(4 407366.5),(5 600252.25),(6 765100.2),(7 946877.7),(8 1130965.6),(9 1273089.6),(10 1405858.1),(11 1567144.6),(12 1746885),(13 1938910.1),(14 2198214.3),(15 2504383),(16 2820315.3),(17 3192859.8),(18 3551575),(19 3877143),(20 4144952.8),(21 4356299.5),(22 4595898.5),(23 4809096.5),(24 4972842.5),(25 5195239.5),(26 5380355.5),(27 5633170.5),(28 5875914.5),(29 6147686.5),(30 6411164.5),(31 6720426),(32 7010872.5),(33 7297138),(34 7563198),(35 7756004.5),(36 7884450.5),(37 8031124),(38 8128672),(39 8239418.5),(40 8324598.5),(41 8423866),(42 8576216),(43 8797202),(44 9036441),(45 9264934),(46 9488081),(47 9712707),(48 9847859),(49 10015985),(50 10143629),(51 10256552),(52 10400626),(53 10524238),(54 10677619),(55 10813109),(56 11001782),(57 11148151),(58 11324088),(59 11590047),(60 11822203),(61 12107088),(62 12432847),(63 12792619),(64 13108101),(65 13504044),(66 13819999),(67 14363885),(68 14822828),(69 15353576),(70 16078535),(71 16725891),(72 17377608),(73 17976994),(74 18510036),(75 19077506),(76 19660040),(77 20214978),(78 20752692),(79 21412128),
(1 23205.594),(2 63786.098),(3 104229.43),(4 136058.17),(5 159247.72),(6 176295.47),(7 186522.69),(8 195707.86),(9 201142.61),(10 204062.23),(11 206488.78),(12 207689.83),(13 208331.78),(14 208879.1),(15 211388.44),(16 214597.36),(17 216478.45),(18 219240.31),(19 221337.2),(20 224290.53),(21 228537.05),(22 231345.45),(23 232706.23),(24 231462.63),(25 228713.1),(26 227039.75),(27 227361.31),(28 228577.86),(29 229146.19),(30 226062.73),(31 223473.28),(32 221855.75),(33 221954.19),(34 224385.78),(35 226257.2),(36 227838.38),(37 229112.88),(38 229227.56),(39 230167.19),(40 226726.38),(41 220265.86),(42 213739.34),(43 209058.64),(44 206464.25),(45 209404.38),(46 212086.02),(47 217981.98),(48 222589.44),(49 223040.55),(50 223627.17),(51 225271.8),(52 224496),(53 223574.2),(54 224810.98),(55 225238.45),(56 227372.1),(57 228582.13),(58 229303.53),(59 230365.19),(60 230753.66),(61 231011.94),(62 231901.58),(63 235624.28),(64 238478.23),(65 243152.42),(66 247551.94),(67 249681.33),(68 252497.52),(69 255546.16),(70 259059.13),(71 261825.7),(72 261394.17),(73 261936.89),(74 261916.8),(75 258490.11),(76 256410.1),(77 256053.53),(78 255423.4),(79 254744.39),
(1 22879.285),(2 62591.883),(3 100460.55),(4 128205.42),(5 147892.23),(6 162756.2),(7 177010.83),(8 189213.1),(9 199393),(10 206984.36),(11 210559.73),(12 211662.7),(13 211381.86),(14 211898.72),(15 213174.56),(16 213684.3),(17 215416.89),(18 218237.28),(19 224271.77),(20 231020.8),(21 236087.14),(22 237161.56),(23 237477.39),(24 237622.23),(25 236591.17),(26 236582.8),(27 234979.45),(28 232226.53),(29 232063.94),(30 231924.1),(31 231225.45),(32 232866.36),(33 236258.73),(34 238162.33),(35 238692.53),(36 241008.4),(37 241711.86),(38 240081.4),(39 239130.16),(40 235837.78),(41 233531.16),(42 231354.77),(43 230247.47),(44 230100.03),(45 235448.94),(46 238338.1),(47 239051.86),(48 238955.5),(49 235981.11),(50 232883.2),(51 230480.45),(52 229529.47),(53 230691.84),(54 232893.72),(55 236390.73),(56 238764.97),(57 238648.48),(58 235684.81),(59 232466.67),(60 229547.86),(61 227667.86),(62 225603.95),(63 225280.64),(64 226655.17),(65 229919.55),(66 234385.56),(67 236282.64),(68 238732.97),(69 240658.92),(70 241063.14),(71 240518.4),(72 236888.23),(73 233012.02),(74 231645.92),(75 228771.56),(76 228844.23),(77 231283.61),(78 233270.4),(79 234174.81),
(1 22691.184),(2 63124.11),(3 101484.805),(4 128895.81),(5 146303.55),(6 158451.61),(7 168611.2),(8 176323.28),(9 182510.1),(10 187109.64),(11 191619.63),(12 195227.38),(13 198642),(14 201171.28),(15 205054.95),(16 209664.88),(17 213487.83),(18 215198.63),(19 217123.13),(20 221773.97),(21 226975.6),(22 230646.16),(23 231829.58),(24 229706.61),(25 225790.27),(26 223177.61),(27 219960.16),(28 217073.4),(29 216286.08),(30 217808.27),(31 220960.53),(32 225471.16),(33 228599.94),(34 230213.69),(35 230856.88),(36 229637.42),(37 224464.06),(38 220281.39),(39 218419.4),(40 217007.81),(41 216193.7),(42 214933.03),(43 214392.69),(44 215863.02),(45 219096.89),(46 220500.17),(47 220690.66),(48 221978.17),(49 220715.8),(50 220649.31),(51 221523.5),(52 221795.92),(53 225105.83),(54 229004.73),(55 230600.28),(56 229206.23),(57 226910.11),(58 225712.03),(59 224976.72),(60 223471.02),(61 223023.78),(62 222115.55),(63 222870.47),(64 223819.27),(65 225779.75),(66 226550.22),(67 225184.25),(68 224246.03),(69 223127.72),(70 222020.94),(71 221710.03),(72 220932.69),(73 220405.36),(74 219406.05),(75 218513.92),(76 218929.84),(77 219147.34),(78 219739.13),(79 220635.84),
(1 21480.469),(2 58401.02),(3 90421.375),(4 112773.22),(5 126679.484),(6 136566.72),(7 144473.97),(8 150142),(9 158113.05),(10 167961.19),(11 175695.69),(12 180257.92),(13 185887.88),(14 192087.39),(15 198587.75),(16 203529.48),(17 206044.22),(18 206396.97),(19 209163.92),(20 212582.4),(21 216684.75),(22 215710.81),(23 214847.64),(24 214944.53),(25 215171.45),(26 217879.58),(27 220268.39),(28 220937.45),(29 220904.64),(30 220947.75),(31 217659.4),(32 215065.28),(33 214866.19),(34 214311.88),(35 212648.42),(36 210969.31),(37 208107.97),(38 208407.84),(39 212539.72),(40 214030.6),(41 215242.06),(42 214188.8),(43 210726.81),(44 208823.42),(45 209984.28),(46 211189.98),(47 210743.69),(48 210356.45),(49 208057.08),(50 206690.78),(51 207784.42),(52 208701.98),(53 210925.97),(54 212120.61),(55 213612.36),(56 215400.7),(57 218179.67),(58 219559.47),(59 221293.22),(60 222675.7),(61 223383.58),(62 223182.56),(63 221645.06),(64 219828.06),(65 217496.69),(66 214573.53),(67 211781.55),(68 212082.53),(69 213959.95),(70 217832.95),(71 221301.94),(72 222790.44),(73 225047.88),(74 228777.5),(75 232372.39),(76 236123.67),(77 239315.14),(78 239193),(79 237289.53),
(1 21982),(2 58174.918),(3 91630.8),(4 116732.82),(5 132830.11),(6 143333.61),(7 150906.83),(8 157623.34),(9 165464.31),(10 172896.47),(11 177473.55),(12 182214.17),(13 186726.14),(14 190729.73),(15 195431.63),(16 198118.83),(17 199106.61),(18 201102.78),(19 204627.78),(20 210439.6),(21 213751.36),(22 212854.61),(23 210995.69),(24 211834.56),(25 211678.19),(26 213714.94),(27 216586.73),(28 218925.7),(29 222443.36),(30 224266.83),(31 222683.42),(32 220640.98),(33 221496.94),(34 221931.34),(35 221285.13),(36 219162.2),(37 217782.73),(38 219128.56),(39 220768.55),(40 221481.86),(41 221351.16),(42 220659.3),(43 217426.86),(44 214445.52),(45 214137.6),(46 214833.31),(47 216387.83),(48 216697.45),(49 215422.14),(50 214486.1),(51 215131.16),(52 215297.73),(53 215683.53),(54 215751.89),(55 214374.28),(56 214361),(57 214503.34),(58 214371.11),(59 213566.31),(60 213092.95),(61 213007.66),(62 211882.03),(63 210143.14),(64 207183.47),(65 206512.77),(66 207509.69),(67 209858.55),(68 213555.64),(69 216727.64),(70 218859.06),(71 221613.27),(72 224505.39),(73 227497.61),(74 231009.9),(75 233687.03),(76 237439.97),(77 242288.1),(78 244061.81),(79 246217.64),
(1 20639.514),(2 55185.945),(3 86619.14),(4 108319.85),(5 122384.54),(6 133348.83),(7 142884.1),(8 149996.39),(9 157076.27),(10 162855.67),(11 167222.53),(12 173164.3),(13 179412.77),(14 184335.3),(15 188682.81),(16 192441.94),(17 193848.72),(18 194517.36),(19 194485.89),(20 196911.31),(21 199061.73),(22 198855.61),(23 199048.77),(24 200743.38),(25 203198.42),(26 205059.16),(27 206442.11),(28 204166.81),(29 202490.19),(30 200164.72),(31 199533.5),(32 199209.05),(33 199770.05),(34 200590.11),(35 200808.14),(36 201792.03),(37 202723.86),(38 204976.13),(39 207945.25),(40 208908.92),(41 207716.08),(42 205693.83),(43 203265.39),(44 202186.39),(45 203602.06),(46 203654.67),(47 202382.16),(48 203151.28),(49 205706.67),(50 209083.9),(51 212002.84),(52 214450.7),(53 216316.6),(54 217478.5),(55 215525.81),(56 212561.64),(57 208460.77),(58 205495.14),(59 204916.63),(60 206255.45),(61 209280.63),(62 210439.78),(63 210297.53),(64 209224.42),(65 208791.5),(66 206663.34),(67 205002.52),(68 204227.11),(69 204935.83),(70 206015.17),(71 208602.84),(72 210536.63),(73 213320.08),(74 217264.11),(75 221658.61),(76 227529.44),(77 232439.89),(78 233987.42),(79 234323.22),
(1 22178.783),(2 59886.504),(3 95007.125),(4 120039.57),(5 136448.58),(6 147831.94),(7 158035.9),(8 166935.44),(9 175402.73),(10 181354.81),(11 184381.73),(12 187542.34),(13 191297.77),(14 198170.92),(15 203572.25),(16 205877.5),(17 205940.81),(18 203997.25),(19 201674.48),(20 202700.81),(21 201527.47),(22 196776.72),(23 196301.34),(24 198636.2),(25 201670.23),(26 206119.77),(27 207130.05),(28 202877.7),(29 197909.02),(30 194105.08),(31 194166.06),(32 196490.81),(33 201054.3),(34 206711.77),(35 212916.47),(36 217409.27),(37 219737.64),(38 221486.64),(39 225518.64),(40 225265.98),(41 224279.22),(42 223459.22),(43 220622.58),(44 217355.47),(45 216066.4),(46 213680.52),(47 211259.88),(48 211130.31),(49 214727.66),(50 219397.64),(51 221530.33),(52 220344.19),(53 221918.69),(54 226688.45),(55 230194.86),(56 232543.13),(57 232217.6),(58 230303.44),(59 228603.1),(60 228301.89),(61 228016.83),(62 229340.27),(63 229353.94),(64 228712.81),(65 227524.28),(66 227225.23),(67 227370.64),(68 227864.72),(69 227582.66),(70 223589.05),(71 223629.61),(72 224558.94),(73 226943.78),(74 226824.31),(75 225547.81),(76 225853.89),(77 227793.14),(78 228926.69),(79 229604.06),
(1 21321.441),(2 57166.13),(3 90445.2),(4 113962.99),(5 129374.46),(6 140443.94),(7 147941.42),(8 152376.89),(9 156045.3),(10 157738.84),(11 159153.19),(12 161373.13),(13 164717.84),(14 167301.31),(15 170380.55),(16 172692.13),(17 173020.33),(18 173287.66),(19 174639.89),(20 176496.84),(21 178530.27),(22 179694.16),(23 181683.2),(24 183786.6),(25 186455.58),(26 189149.63),(27 190531.67),(28 190923.89),(29 191109.9),(30 191812.66),(31 191260.98),(32 190421.14),(33 189413.22),(34 188941.64),(35 190049.31),(36 193178.4),(37 195995.83),(38 198090.98),(39 200162.77),(40 201060.95),(41 204391.48),(42 206799.05),(43 206295.08),(44 204726.78),(45 202899.16),(46 201993.63),(47 200568.55),(48 199966.58),(49 196508.16),(50 196020.17),(51 197562.6),(52 197137.98),(53 197229.45),(54 197825.27),(55 197677.34),(56 196597.77),(57 196812.86),(58 196921.45),(59 198029.67),(60 197748.69),(61 194687.14),(62 193910.47),(63 194381.16),(64 195409.27),(65 196157.34),(66 197988.08),(67 197929.13),(68 198325.28),(69 199909.88),(70 202647.83),(71 205782.19),(72 206367.13),(73 206049.95),(74 205984.16),(75 204967.39),(76 204624.75),(77 205370.13),(78 205179.02),(79 204768.86),
(1 22041.059),(2 57477.008),(3 89736.02),(4 112069.19),(5 125365.055),(6 135598.92),(7 142622.17),(8 146371.89),(9 149284.84),(10 151447.02),(11 152688.78),(12 155933.19),(13 160506.1),(14 165873.4),(15 168917.6),(16 170248.78),(17 169908.58),(18 173114.84),(19 177344.06),(20 181062.58),(21 183570.3),(22 183629.28),(23 184228),(24 187325.4),(25 189850.03),(26 192473.94),(27 194958.08),(28 196811.9),(29 200273.84),(30 203900.61),(31 205660.27),(32 206299.89),(33 207283.66),(34 206314.14),(35 204944.7),(36 203943.11),(37 203793.9),(38 204954.84),(39 206892.34),(40 205107.8),(41 204272.5),(42 204194.44),(43 201728.92),(44 199261.8),(45 194851.9),(46 190821.81),(47 188827.31),(48 187389.7),(49 186492.58),(50 187422.95),(51 190300.03),(52 193446.45),(53 197735.83),(54 200714.16),(55 203755.4),(56 204159.98),(57 205843.39),(58 205877.9),(59 207353.45),(60 207270.3),(61 205895.23),(62 205510.94),(63 204589.25),(64 202805.9),(65 200927.5),(66 200202.88),(67 200980.69),(68 201873.97),(69 202165.05),(70 201735.61),(71 201618.81),(72 201990.92),(73 203376.03),(74 205507.13),(75 207800.34),(76 209081.1),(77 211534.27),(78 211224.19),(79 211167.23),
(1 19913.768),(2 52087.18),(3 79631.18),(4 98092.19),(5 109363.08),(6 119544.53),(7 128076.445),(8 136433.95),(9 142411.22),(10 145721.2),(11 147137.47),(12 149998.64),(13 153817.03),(14 156176.06),(15 157653.19),(16 157376.92),(17 156524.53),(18 157724.53),(19 161493.38),(20 165634.64),(21 168452.81),(22 170294.08),(23 171196.73),(24 173142.94),(25 173102.88),(26 172849.83),(27 173263.1),(28 175467.89),(29 180573.58),(30 186376.8),(31 188365.17),(32 188811.52),(33 188600.81),(34 187107.22),(35 188577.2),(36 189203.92),(37 188057.17),(38 191197.05),(39 194807.16),(40 194776.25),(41 193684.66),(42 191526.97),(43 187692.31),(44 183589.88),(45 182815.81),(46 181957.13),(47 181200.45),(48 182301.95),(49 180956),(50 181363.72),(51 182860.66),(52 183579.6),(53 184246.39),(54 184419.63),(55 184152.44),(56 186154.48),(57 188645),(58 189267.53),(59 189824.61),(60 189882.47),(61 191562.48),(62 194318.64),(63 196526.3),(64 195630.9),(65 195647.77),(66 196009.95),(67 196666.53),(68 196501.5),(69 196727.33),(70 197708.72),(71 196419.2),(72 195610.83),(73 195453.28),(74 197216.38),(75 198326.56),(76 199970.53),(77 200575.83),(78 199481.78),(79 200742.45),
(1 19955.102),(2 52313.535),(3 79857.63),(4 97717.64),(5 107916.55),(6 114817.88),(7 122507.125),(8 130003.3),(9 137036.39),(10 141864.31),(11 144699.13),(12 148206.58),(13 151125.89),(14 152267.1),(15 152568.7),(16 153049.98),(17 153816.77),(18 157316.78),(19 162336.08),(20 169867.03),(21 173208.89),(22 173536.94),(23 175324.03),(24 178904.42),(25 180133.36),(26 180292.44),(27 180175.34),(28 179641.61),(29 179909.75),(30 180785.64),(31 179432.03),(32 177135),(33 175334.2),(34 173776.11),(35 176520.81),(36 180844.14),(37 183815.13),(38 187668.64),(39 191291.86),(40 190759.98),(41 188782.06),(42 188456.92),(43 186097),(44 183634.58),(45 183927.56),(46 182803),(47 182047.27),(48 181205.17),(49 179959.45),(50 180463.05),(51 182472.6),(52 182746.19),(53 183903.73),(54 185242.39),(55 186911.13),(56 189807.92),(57 190274.52),(58 188171.56),(59 186501.33),(60 185466.83),(61 185949.75),(62 187890.72),(63 187450.48),(64 185352.36),(65 185037.67),(66 186384.8),(67 188359.81),(68 190114.81),(69 190700.13),(70 190645.1),(71 189451.77),(72 187622.69),(73 187295.03),(74 188056.69),(75 187758.56),(76 188463.08),(77 188606.81),(78 187733.19),(79 187941.92),
(1 20046.434),(2 51889.316),(3 80560.48),(4 99778.51),(5 111638.266),(6 119713.64),(7 127586.375),(8 133444.8),(9 137299.45),(10 139709.77),(11 141232.6),(12 144486.58),(13 149424.61),(14 153628.16),(15 156808.16),(16 158515.58),(17 159310.9),(18 161503.73),(19 164424.27),(20 169007.19),(21 171182.97),(22 170265.84),(23 170664.39),(24 173494.95),(25 174427.42),(26 175582.66),(27 177662.38),(28 177533.17),(29 177240),(30 178106.83),(31 179088.45),(32 178314.39),(33 176905.8),(34 174930.98),(35 175395.86),(36 177021.25),(37 180034.34),(38 184772.22),(39 187132.33),(40 186282.69),(41 184655.1),(42 184858.28),(43 183385),(44 182998.6),(45 182084.5),(46 180041.17),(47 179124.5),(48 178794.34),(49 176466.19),(50 177945.7),(51 182162.27),(52 184582.31),(53 186753.17),(54 187987.7),(55 187404.92),(56 188170.17),(57 189515.63),(58 191698.86),(59 188768.25),(60 186061.9),(61 185032.81),(62 186333.7),(63 187952.63),(64 189316.94),(65 190896.52),(66 191950.36),(67 192682),(68 193507.19),(69 195580.39),(70 199062.83),(71 200012.02),(72 200028.58),(73 200610.08),(74 201829.42),(75 201677.67),(76 202578.83),(77 203329.52),(78 202988.22),(79 202628.92),
(1 20532.424),(2 51781.523),(3 78922.82),(4 96995.38),(5 109024.62),(6 117016.586),(7 123127.945),(8 128831.22),(9 135497.81),(10 140933.8),(11 145683.52),(12 150295.64),(13 155308.2),(14 158682.44),(15 158870.9),(16 157887.88),(17 157167.02),(18 158537.73),(19 161117.73),(20 165120.8),(21 166724.19),(22 165783.7),(23 165383.9),(24 167329.73),(25 168942.39),(26 171649.56),(27 174845.39),(28 176358.16),(29 177144.2),(30 176747.36),(31 174221.63),(32 172288.38),(33 172514.44),(34 173987.95),(35 176690.94),(36 179230.53),(37 178884.94),(38 178843.39),(39 178643.23),(40 175808.44),(41 173101.4),(42 172339),(43 172178.55),(44 172337.31),(45 174160.25),(46 172900.52),(47 170302.66),(48 169503.95),(49 168329.72),(50 169749.89),(51 172062.77),(52 172870.97),(53 172481.88),(54 172439.36),(55 172795),(56 175162.03),(57 177376.27),(58 178413.08),(59 177760.53),(60 177507.39),(61 178524.52),(62 181104.52),(63 182651.8),(64 183479.06),(65 184967.42),(66 185028.83),(67 183166.39),(68 182884.02),(69 183216.39),(70 184228.9),(71 185579.2),(72 185340.9),(73 185612.11),(74 183672.97),(75 178834.6),(76 177679.23),(77 178721.55),(78 179490.84),(79 180616.1),
(1 19706.809),(2 50879.516),(3 78203.09),(4 98175.734),(5 111800.664),(6 121687.27),(7 128983.81),(8 135155.1),(9 140965),(10 145494.77),(11 148751.2),(12 152209.77),(13 155611.31),(14 159632.39),(15 161626.23),(16 162034.22),(17 161184.47),(18 160491.72),(19 160785.19),(20 162184.03),(21 163679.28),(22 165050.4),(23 169039.14),(24 174365.13),(25 176674.63),(26 178325.23),(27 179488.22),(28 179092.23),(29 177850.72),(30 178099.47),(31 177270.47),(32 177053.56),(33 177946.16),(34 179266.19),(35 179991.81),(36 179805.36),(37 177313.98),(38 174382.5),(39 172328.11),(40 170185.84),(41 169171),(42 168405.16),(43 167767.86),(44 167144.2),(45 167855.86),(46 168186.75),(47 170579.42),(48 170980.16),(49 167559.83),(50 165808.44),(51 165509.77),(52 165360.11),(53 167597.31),(54 170649.61),(55 171468.39),(56 172000.84),(57 172476.7),(58 171603.27),(59 172186.98),(60 172655.13),(61 171140.05),(62 170102.22),(63 169829.77),(64 170010.75),(65 173176.02),(66 175197.77),(67 175574.06),(68 176544.73),(69 178289.47),(70 180950.67),(71 182350.67),(72 181605.78),(73 181036.16),(74 181298.23),(75 181101.84),(76 183337.11),(77 182988.84),(78 181186.23),(79 181331.47),
(1 19856.914),(2 52314.65),(3 81997.27),(4 100883.9),(5 110089.99),(6 114811.65),(7 119727.445),(8 124458.38),(9 129346.85),(10 134815.97),(11 139199.06),(12 142924.66),(13 146993.06),(14 149567.97),(15 150856.34),(16 149236.77),(17 147874.2),(18 148847.45),(19 150614.61),(20 153261.22),(21 154791.61),(22 154458.63),(23 156775.61),(24 159477.73),(25 159798.05),(26 161433.55),(27 162341.22),(28 162350.14),(29 162648.22),(30 163953.19),(31 163527.83),(32 163826.4),(33 165181.64),(34 165006.48),(35 165082.36),(36 165449.98),(37 164524.42),(38 165510.27),(39 168051.94),(40 169287.45),(41 169484.14),(42 170649.78),(43 170692.81),(44 169299.14),(45 169597.13),(46 169361.34),(47 169657.25),(48 168965.63),(49 166239.92),(50 163372.69),(51 163930.3),(52 163887.66),(53 164560.2),(54 166293.39),(55 169195.69),(56 173694.83),(57 178932.6),(58 180620.47),(59 180954.05),(60 179513.61),(61 178805.08),(62 177876.31),(63 177512.75),(64 178043.83),(65 179580.72),(66 180062.06),(67 179948.78),(68 180039.2),(69 179306.97),(70 178302.63),(71 177938.84),(72 177813.77),(73 179588.67),(74 181858.28),(75 183015.88),(76 183716.38),(77 184449.6),(78 184482.75),(79 184987.38),
(1 18922.232),(2 48842.68),(3 74279.04),(4 91007.18),(5 99755.805),(6 105242.74),(7 111017.875),(8 115099.875),(9 118017.96),(10 122039.31),(11 126505.766),(12 130428.34),(13 134272.08),(14 134305.83),(15 134143.64),(16 133729.55),(17 133945.11),(18 134197.8),(19 134728.58),(20 137675.06),(21 141321.55),(22 143236.83),(23 145623.14),(24 147834.03),(25 148760.44),(26 150579.22),(27 152905.5),(28 153115.92),(29 153289.28),(30 154320.38),(31 153592.5),(32 153647.63),(33 154003.5),(34 154309.6),(35 156079.95),(36 158642.1),(37 158874.67),(38 159318.56),(39 158559.4),(40 156931.28),(41 153432.67),(42 152545.61),(43 152593.17),(44 150809.42),(45 151289.31),(46 152439.92),(47 154767.33),(48 157086.44),(49 157764.45),(50 159269.11),(51 158963.28),(52 158157.58),(53 157392.52),(54 157317.92),(55 158602.03),(56 162334.7),(57 167521.78),(58 171578.73),(59 174070.55),(60 173073.61),(61 168974.73),(62 166187.52),(63 164449.13),(64 164082.9),(65 166366.97),(66 170257.17),(67 172828.36),(68 174762.73),(69 176425.27),(70 174709.48),(71 173214.16),(72 171525.55),(73 170349.17),(74 169425.69),(75 168511.64),(76 170127.03),(77 172561.16),(78 173891.42),(79 173532.94),
(1 18338.146),(2 45905.793),(3 67980.86),(4 83202.8),(5 91574.68),(6 97646.87),(7 104569.164),(8 110502.35),(9 114440.016),(10 119866.44),(11 124271.1),(12 128590.42),(13 132406.89),(14 134439),(15 134731.45),(16 133399.19),(17 135211.11),(18 137985.58),(19 140629.1),(20 142382.23),(21 144108.81),(22 145276.47),(23 148533.48),(24 151454.1),(25 151210.55),(26 150497.63),(27 151498.98),(28 152356.69),(29 154711.53),(30 159065.95),(31 159951.92),(32 162524.44),(33 164513.52),(34 165656.86),(35 166074.97),(36 165499.08),(37 161524.22),(38 159076.9),(39 158938.66),(40 158470.31),(41 158945),(42 161558.02),(43 162331.86),(44 164058.84),(45 166794.61),(46 166924.66),(47 167989.78),(48 168644.38),(49 166333.02),(50 165243.38),(51 165146.27),(52 164880.38),(53 166254.78),(54 166211.77),(55 168075.27),(56 170973.55),(57 173942.13),(58 175371.55),(59 174501.69),(60 175075.95),(61 174192.27),(62 174369.34),(63 174897.95),(64 173043.52),(65 172053.2),(66 172526.4),(67 172433.14),(68 172134.44),(69 171388.25),(70 170018.1),(71 170789.22),(72 171145.11),(73 172341.11),(74 173446.27),(75 171711.13),(76 172478.02),(77 174685.3),(78 175334.36),(79 174030.47),
(1 17727.893),(2 43990.84),(3 66392.44),(4 79820.65),(5 86670.67),(6 91449.3),(7 96596.7),(8 101073.9),(9 105016.79),(10 109260.555),(11 111871.445),(12 115491.484),(13 119097.07),(14 120146.2),(15 120756.16),(16 121306.89),(17 122643.72),(18 125199.164),(19 127586.26),(20 131194.1),(21 133866.14),(22 134563.81),(23 136417.44),(24 138086.97),(25 137945.52),(26 138543.6),(27 140631.05),(28 142538.84),(29 145117.75),(30 147041.08),(31 148815.38),(32 150312.39),(33 151671.53),(34 151170.4),(35 151463.77),(36 150519.08),(37 150080.92),(38 150125.94),(39 150726.77),(40 151337.58),(41 153331.17),(42 155655.19),(43 155267.22),(44 155014.13),(45 157627.34),(46 158700),(47 158849.6),(48 158116.36),(49 155383.4),(50 154739.38),(51 155547.83),(52 156467.17),(53 157650.48),(54 158607.73),(55 159218.77),(56 159890.83),(57 160663.77),(58 160442.42),(59 160460),(60 160799.88),(61 160915.25),(62 161590.64),(63 163975.36),(64 164678.55),(65 165758.48),(66 166954.2),(67 165242.22),(68 164085.63),(69 163849.5),(70 164118.7),(71 165211.2),(72 165728.56),(73 167920.78),(74 170798.33),(75 171831.67),(76 171606.78),(77 172014.19),(78 170266.33),(79 170031.36),
