1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,500.5,501.5,502.5,503.5,504.5,505.5,506.5,507.5,508.5,509.5,510.5,511.5,512.5,513.5,514.5,515.5,516.5,517.5,518.5,519.5,520.5,521.5,522.5,523.5,524.5,525.5,526.5,527.5,528.5,529.5,530.5,531.5,532.5,533.5,534.5,535.5,536.5,537.5,538.5,539.5,540.5,541.5,542.5,543.5,544.5,545.5,546.5,547.5,548.5,549.5,550.5,551.5,552.5,553.5,554.5,555.5,556.5,557.5,558.5,559.5,560.5,561.5,562.5,563.5,564.5,565.5,566.5,567.5,568.5,569.5,570.5,571.5,572.5,573.5,574.5,575.5,576.5,577.5,578.5,579.5,580.5,581.5,582.5,583.5,584.5,585.5,586.5,587.5,588.5,589.5,590.5,591.5,592.5,593.5,594.5,595.5,596.5,597.5,598.5,599.5,600.5,601.5,602.5,603.5,604.5,605.5,606.5,607.5,608.5,609.5,610.5,611.5,612.5,613.5,614.5,615.5,616.5,617.5,618.5,619.5,620.5,621.5,622.5,623.5,624.5,625.5,626.5,627.5,628.5,629.5,630.5,631.5,632.5,633.5,634.5,635.5,636.5,637.5,638.5,639.5,640.5,641.5,642.5,643.5,644.5,645.5,646.5,647.5,648.5,649.5,650.5,651.5,652.5,653.5,654.5,655.5,656.5,657.5,658.5,659.5,660.5,661.5,662.5,663.5,664.5,665.5,666.5,667.5,668.5,669.5,670.5,671.5,672.5,673.5,674.5,675.5,676.5,677.5,678.5,679.5,680.5,681.5,682.5,683.5,684.5,685.5,686.5,687.5,688.5,689.5,690.5,691.5,692.5,693.5,694.5,695.5,696.5,697.5,698.5,699.5,700.5,701.5,702.5,703.5,704.5,705.5,706.5,707.5,708.5,709.5,710.5,711.5,712.5,713.5,714.5,715.5,716.5,717.5,718.5,719.5,720.5,721.5,722.5,723.5,724.5,725.5,726.5,727.5,728.5,729.5,730.5,731.5,732.5,733.5,734.5,735.5,736.5,737.5,738.5,739.5,740.5,741.5,742.5,743.5,744.5,745.5,746.5,747.5,748.5,749.5,750.5,751.5,752.5,753.5,754.5,755.5,756.5,757.5,758.5,759.5,760.5,761.5,762.5,763.5,764.5,765.5,766.5,767.5,768.5,769.5,770.5,771.5,772.5,773.5,774.5,775.5,776.5,777.5,778.5,779.5,780.5,781.5,782.5,783.5,784.5,785.5,786.5,787.5,788.5,789.5,790.5,791.5,792.5,793.5,794.5,795.5,796.5,797.5,798.5,799.5,800.5,801.5,802.5,803.5,804.5,805.5,806.5,807.5,808.5,809.5,810.5,811.5,812.5,813.5,814.5,815.5,816.5,817.5,818.5,819.5,820.5,821.5,822.5,823.5,824.5,825.5,826.5,827.5,828.5,829.5,830.5,831.5,832.5,833.5,834.5,835.5,836.5,837.5,838.5,839.5,840.5,841.5,842.5,843.5,844.5,845.5,846.5,847.5,848.5,849.5,850.5,851.5,852.5,853.5,854.5,855.5,856.5,857.5,858.5,859.5,860.5,861.5,862.5,863.5,864.5,865.5,866.5,867.5,868.5,869.5,870.5,871.5,872.5,873.5,874.5,875.5,876.5,877.5,878.5,879.5,880.5,881.5,882.5,883.5,884.5,885.5,886.5,887.5,888.5,889.5,890.5,891.5,892.5,893.5,894.5,895.5,896.5,897.5,898.5,899.5,900.5,901.5,902.5,903.5,904.5,905.5,906.5,907.5,908.5,909.5,910.5,911.5,912.5,913.5,914.5,915.5,916.5,917.5,918.5,919.5,920.5,921.5,922.5,923.5,924.5,925.5,926.5,927.5,928.5,929.5,930.5,931.5,932.5,933.5,934.5,935.5,936.5,937.5,938.5,939.5,940.5,941.5,942.5,943.5,944.5,945.5,946.5,947.5,948.5,949.5,950.5,951.5,952.5,953.5,954.5,955.5,956.5,957.5,958.5,959.5,
(1 37253.65),(2 17830.682),(3 39736.66),(4 10354.927),(5 42773.895),(6 20982.12),(7 44237.863),(8 15836.078),(9 45609),(10 19722.295),(11 45911.74),(12 16155.825),(13 44820.55),(14 22705.967),(15 45393.168),(16 13794.438),(17 44908.83),(18 24416.672),(19 44798.76),(20 9492.944),(21 45075.285),(22 24680.553),(23 45202.605),(24 14633.003),(25 46421.39),(26 23961.227),(27 46749.26),(28 17865.273),(29 46841.24),(30 21515.186),(31 48767.76),(32 19467.494),(33 47550.84),(34 24905.104),(35 48191.066),(36 16794.895),(37 46973.043),(38 25635.584),(39 47085.566),(40 12157.629),(41 47206.156),(42 26261.04),(43 48134.656),(44 18363.787),(45 49223.27),(46 26012.99),(47 50533.12),(48 22658.361),(49 50492.24),(50 23837.766),(51 51460.88),(52 23007.078),(53 50161.3),(54 26714.479),(55 50808.543),(56 20735.768),(57 50093.254),(58 28327.541),(59 50975.047),(60 16779.29),(61 50934.098),(62 29170.693),(63 51563.004),(64 22490.479),(65 52476.5),(66 28362.615),(67 53473.035),(68 26421.99),(69 54180.668),(70 26623.146),(71 55574.605),(72 28073.805),(73 54847.656),(74 31179.338),(75 56062.324),(76 26770.229),(77 55943.906),(78 33856.8),(79 55757.754),
(1 62.480675),(2 85.3434),(3 103.02764),(4 115.87301),(5 121.73948),(6 127.91007),(7 130.08041),(8 132.37866),(9 139.2865),(10 123.77258),(11 143.33218),(12 140.5676),(13 142.23323),(14 144.92441),(15 144.5954),(16 146.78792),(17 145.31822),(18 145.13666),(19 148.73643),(20 131.31198),(21 150.00815),(22 147.67197),(23 149.50285),(24 151.90392),(25 150.80179),(26 152.06546),(27 150.19728),(28 149.58125),(29 153.20853),(30 136.642),(31 154.25728),(32 151.55492),(33 153.10905),(34 155.44896),(35 154.59526),(36 155.72452),(37 154.09752),(38 153.84828),(39 156.54836),(40 140.5351),(41 156.99734),(42 154.3919),(43 155.32324),(44 157.16515),(45 156.31989),(46 157.11311),(47 154.88577),(48 154.37022),(49 156.84615),(50 141.60487),(51 156.99397),(52 154.1788),(53 155.31187),(54 157.30075),(55 156.7607),(56 157.83653),(57 156.17604),(58 156.18597),(59 159.04572),(60 145.01474),(61 159.51038),(62 157.03062),(63 157.73239),(64 159.05759),(65 157.9319),(66 158.62425),(67 156.28456),(68 155.78343),(69 157.91492),(70 144.49165),(71 158.40471),(72 156.22182),(73 157.172),(74 158.77002),(75 158.22108),(76 158.93472),(77 157.01503),(78 157.23883),(79 159.73938),
(1 62.758213),(2 85.17384),(3 102.87481),(4 115.34515),(5 121.32605),(6 127.436264),(7 129.91493),(8 132.32881),(9 139.97522),(10 124.324905),(11 144.31781),(12 141.31425),(13 143.0992),(14 145.37949),(15 144.93396),(16 146.94646),(17 145.93039),(18 145.53894),(19 149.45923),(20 131.30902),(21 150.10065),(22 147.25752),(23 148.9162),(24 150.90936),(25 149.92107),(26 151.40009),(27 149.9766),(28 149.27898),(29 153.26555),(30 136.15172),(31 154.0328),(32 151.25864),(33 152.94998),(34 155.0505),(35 154.0465),(36 155.23907),(37 153.83955),(38 153.21466),(39 156.28629),(40 140.11066),(41 156.83978),(42 154.06723),(43 154.84166),(44 156.43654),(45 155.61447),(46 156.60594),(47 154.85947),(48 154.09283),(49 156.84425),(50 141.18141),(51 157.01443),(52 154.02855),(53 155.36253),(54 157.17993),(55 156.61241),(56 157.76712),(57 156.41304),(58 156.17986),(59 159.17865),(60 144.47092),(61 158.99425),(62 156.34439),(63 157.03143),(64 158.29503),(65 157.47902),(66 158.35909),(67 156.5635),(68 156.07944),(69 158.42316),(70 144.6929),(71 158.57599),(72 156.0005),(73 156.81836),(74 158.44547),(75 157.71541),(76 158.36823),(77 157.1142),(78 157.1956),(79 160.03781),
(1 62.79978),(2 85.15672),(3 102.92679),(4 115.679924),(5 121.2731),(6 127.746765),(7 130.02791),(8 132.10349),(9 139.74413),(10 123.70372),(11 143.7649),(12 140.67934),(13 142.65588),(14 145.45009),(15 144.87242),(16 147.22958),(17 146.28928),(18 145.43895),(19 149.24922),(20 131.20996),(21 150.27934),(22 147.22981),(23 148.82634),(24 150.99619),(25 149.57983),(26 151.16736),(27 149.36919),(28 148.49341),(29 152.37616),(30 135.37654),(31 153.621),(32 150.92766),(33 152.86781),(34 155.22308),(35 154.17908),(36 155.48828),(37 153.85147),(38 153.10638),(39 156.27095),(40 139.77138),(41 156.49803),(42 153.7865),(43 155.08383),(44 156.58598),(45 155.19456),(46 156.27885),(47 154.24277),(48 153.21312),(49 156.01027),(50 140.14558),(51 156.01764),(52 153.1017),(53 154.38498),(54 156.43709),(55 155.68599),(56 157.0482),(57 155.66533),(58 155.12659),(59 158.26329),(60 143.40584),(61 158.35263),(62 155.78436),(63 156.64056),(64 158.22247),(65 157.32794),(66 158.26508),(67 156.26959),(68 155.44609),(69 157.864),(70 143.69653),(71 157.74382),(72 155.22119),(73 156.29985),(74 157.9019),(75 157.29585),(76 158.23094),(77 156.58261),(78 156.24805),(79 159.13866),
(1 62.49568),(2 84.65495),(3 102.03867),(4 114.64877),(5 120.36383),(6 126.93916),(7 129.45769),(8 131.74255),(9 138.85918),(10 122.85549),(11 142.77036),(12 139.95218),(13 141.75647),(14 144.31998),(15 143.91801),(16 146.45244),(17 145.27322),(18 144.64673),(19 148.33559),(20 130.20775),(21 149.26582),(22 146.3144),(23 148.06657),(24 150.49927),(25 149.2603),(26 150.65398),(27 149.19327),(28 148.5565),(29 152.31969),(30 135.27792),(31 153.37361),(32 150.74054),(33 152.25832),(34 154.4854),(35 153.28154),(36 154.53319),(37 153.08762),(38 152.74832),(39 155.79855),(40 139.51418),(41 156.22125),(42 153.3633),(43 154.28278),(44 155.966),(45 154.93909),(46 155.98878),(47 153.74019),(48 152.86246),(49 155.55356),(50 139.65248),(51 155.72578),(52 153.05699),(53 154.22134),(54 156.24585),(55 155.45935),(56 156.52455),(57 155.12872),(58 155.06625),(59 158.1963),(60 143.08202),(61 158.17296),(62 155.56334),(63 156.06975),(64 157.75279),(65 156.67528),(66 157.63612),(67 155.90695),(68 155.18561),(69 157.68184),(70 143.50854),(71 157.57973),(72 155.1393),(73 155.87505),(74 157.78658),(75 157.09248),(76 157.79178),(77 156.25424),(78 156.02557),(79 158.79256),
(1 62.70716),(2 84.66867),(3 102.428635),(4 115.20051),(5 121.09158),(6 127.70479),(7 130.15886),(8 132.17583),(9 139.72646),(10 123.55478),(11 143.84163),(12 140.74916),(13 142.484),(14 144.94868),(15 144.47183),(16 146.75116),(17 145.6831),(18 144.9673),(19 149.06096),(20 130.55675),(21 150.02477),(22 146.81226),(23 148.63956),(24 150.8077),(25 149.80884),(26 151.41599),(27 149.94594),(28 149.16324),(29 153.24377),(30 135.52747),(31 153.70409),(32 150.68541),(33 152.32254),(34 154.57005),(35 153.64983),(36 155.28671),(37 153.83589),(38 153.42978),(39 156.67758),(40 139.78638),(41 157.0823),(42 153.85135),(43 154.74089),(44 156.57515),(45 155.56938),(46 156.72171),(47 154.91739),(48 153.85445),(49 156.62967),(50 140.36224),(51 156.71027),(52 153.8444),(53 155.30403),(54 157.30647),(55 156.50499),(56 157.86217),(57 156.429),(58 155.84378),(59 159.19069),(60 143.79034),(61 159.15813),(62 156.53325),(63 157.25768),(64 158.65247),(65 157.58948),(66 158.61249),(67 157.03203),(68 156.29652),(69 158.99286),(70 144.3231),(71 158.822),(72 156.06885),(73 156.70297),(74 158.3771),(75 157.58522),(76 158.29802),(77 156.58224),(78 156.37396),(79 159.6761),
(1 62.63069),(2 84.808205),(3 102.34715),(4 115.16721),(5 120.86439),(6 127.58742),(7 130.20158),(8 132.66165),(9 140.1573),(10 123.72193),(11 144.04642),(12 141.09512),(13 142.60507),(14 145.11656),(15 144.58054),(16 147.00887),(17 145.75775),(18 145.14287),(19 149.197),(20 130.57971),(21 150.12575),(22 147.09106),(23 148.72388),(24 151.07101),(25 150.01605),(26 151.8046),(27 150.25282),(28 149.47168),(29 153.43666),(30 135.92705),(31 154.20619),(32 151.17705),(33 152.82571),(34 155.28032),(35 154.40956),(36 155.8966),(37 154.2144),(38 153.64116),(39 156.7543),(40 139.87238),(41 157.02826),(42 153.86597),(43 154.65367),(44 156.60646),(45 155.42317),(46 156.46495),(47 154.57811),(48 153.76332),(49 156.44415),(50 140.07385),(51 156.53824),(52 153.81372),(53 155.00504),(54 157.10469),(55 156.42079),(56 157.91182),(57 156.47444),(58 155.91167),(59 159.14252),(60 143.7343),(61 159.20613),(62 156.56573),(63 157.10396),(64 158.34544),(65 157.24738),(66 158.46916),(67 156.6428),(68 156.14975),(69 158.88696),(70 144.30927),(71 158.85648),(72 156.06631),(73 156.79958),(74 158.57042),(75 157.9694),(76 159.01117),(77 157.46617),(78 157.33582),(79 160.23915),
(1 62.75057),(2 84.484314),(3 102.09273),(4 115.02483),(5 120.67921),(6 127.49245),(7 130.0184),(8 132.21898),(9 140.10739),(10 123.6509),(11 144.39302),(12 141.10152),(13 142.93124),(14 145.51694),(15 144.8305),(16 147.17412),(17 146.02809),(18 145.23763),(19 149.42892),(20 130.48831),(21 150.41461),(22 147.21367),(23 148.91858),(24 151.19453),(25 149.87135),(26 151.5092),(27 149.81422),(28 148.93176),(29 153.01704),(30 135.17673),(31 154.26355),(32 151.16678),(33 152.53523),(34 154.78662),(35 153.6752),(36 155.22055),(37 153.58305),(38 153.14491),(39 156.72955),(40 139.61005),(41 157.28217),(42 153.90701),(43 154.80951),(44 156.76),(45 155.56313),(46 156.9089),(47 155.0771),(48 154.24763),(49 157.43437),(50 140.58495),(51 157.33272),(52 154.21486),(53 155.18993),(54 157.24652),(55 156.45525),(56 157.99261),(57 156.436),(58 155.87848),(59 159.25792),(60 143.43),(61 159.14413),(62 156.07945),(63 156.73001),(64 158.52531),(65 157.33255),(66 158.64279),(67 156.73305),(68 155.89813),(69 158.65102),(70 143.5993),(71 158.7473),(72 156.14702),(73 156.86429),(74 158.78036),(75 158.02101),(76 159.32184),(77 157.76909),(78 157.58919),(79 160.60393),
(1 62.30733),(2 84.48605),(3 101.84804),(4 114.87292),(5 120.310036),(6 127.3622),(7 129.98875),(8 132.25209),(9 139.86545),(10 123.444565),(11 143.98302),(12 141.07487),(13 142.96715),(14 145.6192),(15 144.7307),(16 147.232),(17 146.08797),(18 145.50975),(19 149.26639),(20 130.5986),(21 150.10876),(22 147.48781),(23 149.08832),(24 151.3111),(25 149.91595),(26 151.65631),(27 149.73866),(28 148.95041),(29 152.63954),(30 134.59013),(31 153.23938),(32 150.63998),(33 151.98613),(34 154.52145),(35 153.18626),(36 155.08943),(37 153.59047),(38 153.18715),(39 156.55406),(40 139.528),(41 157.04874),(42 154.04749),(43 154.90375),(44 156.91243),(45 155.46504),(46 156.7253),(47 154.7062),(48 153.78725),(49 156.439),(50 139.73994),(51 156.44733),(52 153.89102),(53 154.95135),(54 157.13777),(55 156.27495),(56 158.00272),(57 156.36594),(58 155.86154),(59 159.12798),(60 143.59705),(61 159.3964),(62 156.68715),(63 157.02832),(64 158.66),(65 157.31587),(66 158.42958),(67 156.3401),(68 155.40343),(69 157.70567),(70 142.71725),(71 157.50377),(72 155.19376),(73 156.03735),(74 158.04926),(75 157.34477),(76 158.65976),(77 156.78996),(78 156.47461),(79 159.13815),
(1 62.592636),(2 84.549774),(3 101.93403),(4 114.7044),(5 120.05373),(6 127.289955),(7 129.98915),(8 132.18411),(9 139.78966),(10 123.077774),(11 143.78923),(12 140.7611),(13 142.67204),(14 145.42908),(15 144.42766),(16 147.21106),(17 146.05067),(18 145.33473),(19 149.32147),(20 130.44026),(21 150.0952),(22 147.06657),(23 148.5386),(24 150.6987),(25 149.01323),(26 151.23894),(27 149.66116),(28 148.69368),(29 152.71098),(30 134.70624),(31 153.63318),(32 150.89029),(33 152.38464),(34 154.81456),(35 153.27083),(36 154.96767),(37 153.33519),(38 152.66032),(39 156.20903),(40 138.99153),(41 156.53888),(42 153.67882),(43 154.65742),(44 156.45631),(45 155.21753),(46 156.84564),(47 154.7978),(48 153.57245),(49 156.39543),(50 139.59491),(51 156.33163),(52 153.66132),(53 154.7785),(54 157.0692),(55 156.02293),(56 157.74007),(57 156.23984),(58 155.56966),(59 158.81094),(60 142.96245),(61 158.84387),(62 156.35327),(63 157.16501),(64 158.81865),(65 157.561),(66 158.96628),(67 157.03903),(68 155.81691),(69 158.49908),(70 143.33894),(71 158.48036),(72 156.15863),(73 156.81737),(74 158.61845),(75 157.4759),(76 158.77661),(77 157.07526),(78 156.72356),(79 159.695),
(1 62.41275),(2 84.11612),(3 101.65713),(4 114.43164),(5 119.93595),(6 126.583084),(7 129.31378),(8 131.01537),(9 138.72955),(10 122.09899),(11 143.10364),(12 140.24254),(13 142.22737),(14 144.7554),(15 143.81348),(16 146.03323),(17 144.87712),(18 143.89363),(19 147.76732),(20 128.8023),(21 148.7164),(22 145.91478),(23 147.83388),(24 150.07367),(25 148.93414),(26 150.6533),(27 148.93509),(28 147.56279),(29 151.42513),(30 133.30444),(31 152.33284),(32 149.65475),(33 151.2462),(34 153.52379),(35 152.29074),(36 154.04195),(37 152.82324),(38 151.99594),(39 155.39651),(40 137.95436),(41 155.76428),(42 153.04247),(43 153.96437),(44 155.74475),(45 154.68501),(46 155.97993),(47 154.04582),(48 152.94983),(49 156.09619),(50 139.28566),(51 156.12265),(52 153.38576),(53 154.26988),(54 156.27032),(55 155.19339),(56 156.76186),(57 155.22255),(58 154.4267),(59 157.73373),(60 141.64084),(61 157.63199),(62 155.08968),(63 155.40913),(64 156.78867),(65 155.35326),(66 156.61786),(67 154.74062),(68 153.85265),(69 156.8614),(70 141.75282),(71 156.86298),(72 154.40599),(73 155.12149),(74 156.62672),(75 155.66449),(76 156.8894),(77 155.14735),(78 154.57048),(79 157.33635),
(1 62.588684),(2 84.27238),(3 101.45739),(4 114.211525),(5 119.4186),(6 126.178055),(7 128.68802),(8 130.7659),(9 138.22084),(10 121.65008),(11 142.78537),(12 140.08488),(13 142.33212),(14 145.05708),(15 144.23668),(16 146.6736),(17 145.65077),(18 144.80782),(19 148.5485),(20 129.24039),(21 149.41179),(22 146.3096),(23 148.0254),(24 150.09642),(25 148.84515),(26 150.60341),(27 148.99843),(28 147.81723),(29 151.77655),(30 133.73775),(31 152.84973),(32 150.1965),(33 151.8351),(34 154.32478),(35 153.2467),(36 155.09781),(37 153.52771),(38 152.62433),(39 155.75687),(40 138.07483),(41 156.0811),(42 153.31175),(43 154.3815),(44 156.10191),(45 154.87029),(46 156.48547),(47 154.55003),(48 153.34465),(49 156.18172),(50 139.47699),(51 156.5612),(52 153.86537),(53 155.07785),(54 157.04236),(55 156.01414),(56 157.80994),(57 156.34734),(58 155.68369),(59 158.62544),(60 142.56657),(61 158.5769),(62 156.0034),(63 156.61288),(64 158.0229),(65 156.96457),(66 158.57465),(67 156.75687),(68 155.73537),(69 158.38872),(70 143.33298),(71 158.74478),(72 156.23361),(73 157.20474),(74 158.67474),(75 157.79906),(76 159.20567),(77 157.4304),(78 156.91782),(79 159.46944),
(1 62.731018),(2 84.44593),(3 102.01198),(4 114.85601),(5 120.34005),(6 127.41451),(7 130.26749),(8 132.3147),(9 140.15015),(10 123.45199),(11 144.87488),(12 142.0003),(13 143.81758),(14 146.41687),(15 145.3461),(16 147.89374),(17 146.97707),(18 145.63872),(19 149.60977),(20 130.20847),(21 150.44502),(22 147.48273),(23 149.0172),(24 150.91777),(25 149.46136),(26 151.3905),(27 150.16986),(28 149.08809),(29 153.27365),(30 134.9444),(31 154.26157),(32 151.42848),(33 153.14851),(34 155.60043),(35 154.41138),(36 156.15907),(37 154.94519),(38 154.01834),(39 157.39696),(40 139.7948),(41 158.00256),(42 155.17908),(43 156.01093),(44 157.6497),(45 156.21715),(46 157.59427),(47 155.78673),(48 154.43243),(49 157.31303),(50 140.38261),(51 157.6529),(52 154.90471),(53 156.31071),(54 158.16841),(55 156.83315),(56 158.5635),(57 157.18282),(58 156.2258),(59 159.1848),(60 142.8385),(61 158.90984),(62 156.08604),(63 156.97292),(64 158.73805),(65 157.76225),(66 159.4489),(67 157.66188),(68 156.27838),(69 158.93005),(70 143.77245),(71 159.36072),(72 156.98082),(73 157.64955),(74 159.15222),(75 157.8605),(76 159.1959),(77 157.48022),(78 156.66653),(79 159.35875),
(1 62.4572),(2 84.08572),(3 101.509834),(4 114.015366),(5 119.5404),(6 126.03839),(7 129.0384),(8 130.95009),(9 138.52597),(10 121.5542),(11 143.05594),(12 140.33359),(13 142.73607),(14 145.14388),(15 144.58131),(16 147.00612),(17 146.27037),(18 144.83685),(19 148.68808),(20 129.33984),(21 149.41565),(22 146.71904),(23 148.92703),(24 150.76857),(25 149.60432),(26 151.25316),(27 150.09557),(28 148.83461),(29 152.77042),(30 134.432),(31 153.60939),(32 151.06433),(33 152.92194),(34 155.12906),(35 154.05807),(36 155.6074),(37 154.5324),(38 153.36226),(39 156.48465),(40 138.8403),(41 156.83011),(42 154.00696),(43 155.07875),(44 156.3178),(45 155.04738),(46 156.26709),(47 154.60904),(48 152.892),(49 155.88684),(50 138.88853),(51 156.02016),(52 153.40059),(53 155.03723),(54 156.58777),(55 155.5228),(56 157.16838),(57 155.87573),(58 154.6236),(59 157.74762),(60 141.86887),(61 158.14871),(62 155.66208),(63 156.7382),(64 157.98988),(65 157.1081),(66 158.69011),(67 156.99263),(68 155.52742),(69 158.24309),(70 143.07948),(71 158.43727),(72 155.94687),(73 156.90596),(74 158.17378),(75 157.1671),(76 158.43044),(77 156.96198),(78 156.17123),(79 158.76694),
(1 62.188744),(2 83.725876),(3 101.07684),(4 113.53304),(5 119.12387),(6 125.674164),(7 128.57066),(8 130.61595),(9 138.12802),(10 121.356865),(11 142.61824),(12 139.85558),(13 141.94621),(14 144.28915),(15 143.59589),(16 145.94226),(17 145.27324),(18 144.27878),(19 148.13177),(20 129.3539),(21 149.32542),(22 146.8446),(23 148.52898),(24 150.09132),(25 149.15955),(26 150.83334),(27 149.52414),(28 148.20096),(29 151.60004),(30 133.37503),(31 152.34724),(32 149.75316),(33 151.31235),(34 153.48369),(35 152.35918),(36 153.98409),(37 152.75989),(38 151.74016),(39 154.98003),(40 137.79297),(41 155.7229),(42 153.22685),(43 154.10522),(44 155.3779),(45 154.45512),(46 155.89496),(47 154.36708),(48 153.07039),(49 155.90279),(50 139.29884),(51 155.96173),(52 153.15736),(53 154.45013),(54 155.9763),(55 155.00388),(56 156.47476),(57 155.18425),(58 154.22762),(59 156.98872),(60 141.30351),(61 157.20723),(62 154.64487),(63 155.25626),(64 156.26413),(65 155.27158),(66 156.62169),(67 154.88725),(68 153.71799),(69 156.57275),(70 141.96117),(71 157.0879),(72 154.59358),(73 155.38335),(74 156.95468),(75 156.18115),(76 157.39795),(77 155.68576),(78 154.91924),(79 157.47821),
(1 62.807617),(2 84.32273),(3 102.087105),(4 114.17174),(5 119.536),(6 126.013336),(7 129.38235),(8 131.16023),(9 138.94814),(10 121.68168),(11 143.585),(12 140.7027),(13 143.0344),(14 145.039),(15 144.34647),(16 146.39723),(17 146.02942),(18 144.5152),(19 148.56923),(20 129.20773),(21 149.8842),(22 147.02342),(23 149.09224),(24 150.53728),(25 149.54314),(26 151.29437),(27 150.2858),(28 148.76598),(29 152.53595),(30 133.80014),(31 153.32184),(32 150.41397),(33 152.31215),(34 154.239),(35 153.25713),(36 155.00865),(37 154.01747),(38 152.50423),(39 155.93953),(40 138.06198),(41 156.56386),(42 153.74355),(43 155.13483),(44 156.36278),(45 155.42516),(46 156.85806),(47 155.4684),(48 153.64369),(49 156.77),(50 139.75362),(51 157.36667),(52 154.63947),(53 155.92184),(54 157.05525),(55 156.0865),(56 157.50633),(57 156.19037),(58 155.02634),(59 158.05635),(60 141.92767),(61 158.5363),(62 156.16335),(63 157.11186),(64 158.04736),(65 157.22684),(66 158.73743),(67 157.22435),(68 155.70284),(69 158.73889),(70 143.76881),(71 159.27292),(72 156.56775),(73 157.32106),(74 158.38551),(75 157.69238),(76 158.84837),(77 157.27376),(78 156.08504),(79 158.79755),
