1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 24021.025),(2 67406.37),(3 146665.05),(4 222403.92),(5 311220.47),(6 389519.78),(7 482678.34),(8 583445.25),(9 656940.56),(10 742884.06),(11 818898),(12 878947.3),(13 963662),(14 1060095),(15 1153870.4),(16 1273446.6),(17 1403069.5),(18 1513924.6),(19 1637721),(20 1774973.9),(21 1899290.9),(22 2051377.9),(23 2217912.3),(24 2413265.3),(25 2685420.8),(26 3033677.3),(27 3593776.8),(28 4760955),(29 5391640.5),(30 6098771.5),(31 6887438),(32 7622006),(33 8366656.5),(34 9209178),(35 9874670),(36 10643764),(37 11467804),(38 12109420),(39 12845360),(40 13610468),(41 14175700),(42 14850892),(43 15571951),(44 16124779),(45 16777836),(46 17455864),(47 17906236),(48 18375192),(49 18574680),(50 18695702),(51 18874566),(52 19057706),(53 19417862),(54 19659914),(55 19905542),(56 20078674),(57 20218790),(58 20448298),(59 20531666),(60 20744710),(61 21020446),(62 21169770),(63 21428590),(64 21742352),(65 21910856),(66 22214262),(67 22582446),(68 22801486),(69 23098686),(70 23439606),(71 23574208),(72 23818838),(73 24032202),(74 24043154),(75 24184274),(76 24324322),(77 24399046),(78 24791616),(79 24891982),
(1 11803.891),(2 34963.164),(3 64116.836),(4 89471.06),(5 110194.195),(6 128381.97),(7 144173.58),(8 157460.06),(9 168067.06),(10 175117.45),(11 179981.36),(12 181808.2),(13 183111.56),(14 184272.06),(15 186129.47),(16 187901.95),(17 190506.58),(18 192970.39),(19 196335.58),(20 200245.02),(21 204868),(22 210626.64),(23 215775.03),(24 220505.61),(25 224358.94),(26 228965.92),(27 231705.19),(28 233807.31),(29 234697.83),(30 235337.4),(31 235207.36),(32 234531.4),(33 234024.08),(34 234395.98),(35 234578.73),(36 235603.86),(37 238229.53),(38 239936.2),(39 241929.45),(40 243653.42),(41 243692.61),(42 244333.75),(43 246031.92),(44 246958.47),(45 247291.33),(46 247803.72),(47 247320.14),(48 246665.11),(49 245297.1),(50 245893.31),(51 247660.84),(52 250661.75),(53 254880.39),(54 258030.08),(55 261630.81),(56 264176.16),(57 265457.8),(58 265831.44),(59 265587.44),(60 266181.66),(61 267454.84),(62 267551.44),(63 268869.66),(64 269784.25),(65 269157.16),(66 268777.7),(67 269876.66),(68 270965.75),(69 271815),(70 272547.6),(71 271845.44),(72 271033.72),(73 269644.25),(74 267819.97),(75 266872.1),(76 266306.7),(77 265973.38),(78 267383.66),(79 268768.25),
(1 11271.672),(2 33519.797),(3 62285.996),(4 86845.08),(5 107455.96),(6 125766.984),(7 141852.34),(8 155844.11),(9 168986.17),(10 180664.81),(11 191355.52),(12 197753.27),(13 201966.06),(14 204410.53),(15 206646.83),(16 209287.61),(17 212300.78),(18 214782.56),(19 217980.34),(20 222504.36),(21 227657.22),(22 232800.36),(23 236975.58),(24 240286.75),(25 243311.78),(26 245168.66),(27 246047.19),(28 246568.39),(29 247509.64),(30 247673.84),(31 247339.03),(32 245253.56),(33 243443.45),(34 240998.39),(35 238571.44),(36 238058.19),(37 238372.33),(38 237860.45),(39 238062.19),(40 239887.36),(41 241132.02),(42 242776.8),(43 244805.13),(44 246095.56),(45 248041.45),(46 249860.25),(47 250900.98),(48 252790.72),(49 254054.55),(50 255112.03),(51 255279.78),(52 255016.88),(53 253437.7),(54 253685.44),(55 255017.02),(56 257575.73),(57 261570.3),(58 266499.84),(59 272148.28),(60 278639.38),(61 283822.25),(62 285421.13),(63 285384.4),(64 282685.5),(65 277277.78),(66 271840.97),(67 268714.78),(68 266473.9),(69 265430.5),(70 264642.1),(71 263720.28),(72 263353.63),(73 263029.84),(74 261944.8),(75 261824.13),(76 260618.72),(77 258348.89),(78 256834.34),(79 255050.81),
(1 11505.259),(2 34034.453),(3 62140.797),(4 85918.85),(5 105534.91),(6 122014.69),(7 136487.83),(8 149566.3),(9 161105.48),(10 170334.75),(11 177510.95),(12 182711.9),(13 188110.28),(14 193256.4),(15 197563.28),(16 201888.11),(17 205183.64),(18 208508.7),(19 212096.94),(20 217368.28),(21 222419.72),(22 227276.77),(23 231314.22),(24 233569.23),(25 234861.9),(26 235449.33),(27 236211.1),(28 236917.9),(29 237590.19),(30 238587.86),(31 239600.03),(32 239207.77),(33 237510.31),(34 235650.5),(35 232371.92),(36 232017.66),(37 232154.03),(38 232038.5),(39 233121.22),(40 233811.6),(41 232352.11),(42 229847.94),(43 228438.72),(44 226719.14),(45 225014.28),(46 224984.25),(47 225540.31),(48 228153.44),(49 231505.23),(50 233661.67),(51 235469.78),(52 237061.83),(53 239084.55),(54 239949.55),(55 239122.75),(56 239427.97),(57 240401.67),(58 241190.7),(59 242746.13),(60 245472.92),(61 246939.23),(62 246176.92),(63 245125.97),(64 242511.98),(65 239568.31),(66 238772.36),(67 240219.14),(68 242429.05),(69 245812.1),(70 248686.4),(71 250076.67),(72 249939.22),(73 249079.27),(74 248102.28),(75 247420.22),(76 246804.86),(77 246524.6),(78 247640.2),(79 249243.8),
(1 11890.771),(2 35695.93),(3 65064),(4 90418.58),(5 112045.9),(6 129020.414),(7 142797.2),(8 154672.81),(9 163451.77),(10 170332.45),(11 176351.02),(12 181290.89),(13 186545.36),(14 191739.66),(15 196570.64),(16 203127.64),(17 210340.55),(18 216341.28),(19 221449.56),(20 224722.89),(21 227033.06),(22 228035.17),(23 227802.14),(24 225997.88),(25 224883.17),(26 223003.92),(27 221005.23),(28 220793.48),(29 221178.25),(30 222043.23),(31 222870.08),(32 222035.78),(33 221355.13),(34 221557.84),(35 221023.78),(36 221400.23),(37 221879.4),(38 221148.13),(39 220096.84),(40 219590.16),(41 218199.2),(42 218675.13),(43 219619.78),(44 220603.1),(45 221715.1),(46 223689.98),(47 225126.08),(48 228157.98),(49 231315.88),(50 234348.97),(51 237529.45),(52 239818.47),(53 240495.1),(54 240964.55),(55 239620.17),(56 238358.52),(57 238227.48),(58 238999.66),(59 240642.73),(60 242568.6),(61 243096.08),(62 241175.45),(63 238064.55),(64 234548.06),(65 230996.88),(66 229236.22),(67 229806.94),(68 231323.2),(69 233044.52),(70 233738.25),(71 234467.28),(72 235537.78),(73 236837.84),(74 237067.36),(75 237190.89),(76 237149.19),(77 237319.88),(78 238206.84),(79 238650.53),
(1 11618.954),(2 34345.23),(3 62887.62),(4 86707.84),(5 106939.734),(6 123263.17),(7 136976.92),(8 148546.81),(9 157580.19),(10 164607.28),(11 171291.89),(12 176697.3),(13 182276.72),(14 188612.48),(15 193708.3),(16 198554.94),(17 203124.14),(18 206958.78),(19 211211.9),(20 214064.77),(21 216116.95),(22 216355.02),(23 214895.7),(24 212218.36),(25 209916.56),(26 207756.7),(27 206982.83),(28 207171.52),(29 207032.4),(30 206647.92),(31 206158.73),(32 204088.52),(33 202014.08),(34 200347.67),(35 199070.44),(36 197854.45),(37 197120.39),(38 195461.45),(39 194546.39),(40 194376.14),(41 193291.52),(42 192576.6),(43 192122.42),(44 191791.4),(45 192226.25),(46 193558.53),(47 196600.61),(48 200098.42),(49 203078.66),(50 204272.52),(51 205155.7),(52 204861.03),(53 203615.56),(54 202282.77),(55 201437.36),(56 201138.53),(57 201322.9),(58 203908.56),(59 206079.89),(60 208012.03),(61 207755.19),(62 206620.31),(63 205982.33),(64 205301.88),(65 204117.47),(66 204563.22),(67 206384.31),(68 208613.92),(69 211057.52),(70 213203.44),(71 214593.77),(72 215872.25),(73 218136.95),(74 220760.25),(75 223243.9),(76 225442.39),(77 227506.56),(78 230444),(79 232146.67),
(1 11513.565),(2 33944.207),(3 62361.39),(4 86669.1),(5 106730.23),(6 123551.72),(7 137909.95),(8 150007.75),(9 159123.88),(10 166012.47),(11 171711.25),(12 176226.23),(13 181060.03),(14 186941.52),(15 192038.94),(16 197179.88),(17 201538.81),(18 205766.45),(19 209336.9),(20 212131.69),(21 213784.98),(22 215459.75),(23 215773.33),(24 216534.4),(25 217419.69),(26 218493.16),(27 220056.52),(28 222241.61),(29 222974.69),(30 221150.95),(31 218701.94),(32 215269.47),(33 212832.77),(34 211870.52),(35 212027.16),(36 213758.69),(37 215630.14),(38 217691.13),(39 218583.38),(40 218534.38),(41 216457.67),(42 214485.83),(43 213391.88),(44 212218.33),(45 211663.7),(46 212352.45),(47 213458.63),(48 214403.83),(49 214323.44),(50 212907.6),(51 211980.94),(52 210921.45),(53 207947.56),(54 205985.52),(55 204056.33),(56 202124.63),(57 200868.8),(58 202048.52),(59 204588.16),(60 207700.84),(61 209814.52),(62 211077.19),(63 212309.9),(64 211705.23),(65 209824),(66 208372.2),(67 207692.86),(68 208093.89),(69 208335.31),(70 209977.03),(71 211243.89),(72 212721.02),(73 213833.17),(74 216187.47),(75 219505.97),(76 223718),(77 228398.33),(78 234861.94),(79 238562.73),
(1 11346.576),(2 32947.945),(3 59005.73),(4 80209.28),(5 97152.87),(6 111337.6),(7 124110.875),(8 135260.67),(9 144494.61),(10 151200.33),(11 155373.9),(12 159142.2),(13 163457.61),(14 168978.36),(15 174133.88),(16 179052.66),(17 183930.13),(18 187807.4),(19 190706.38),(20 193068.27),(21 194519.3),(22 196449.08),(23 197780.31),(24 198765.3),(25 199997.83),(26 201515.88),(27 202913.25),(28 204089.63),(29 205408.67),(30 204610.11),(31 202848.2),(32 199005.02),(33 196035.9),(34 194582.5),(35 194690.31),(36 196176.97),(37 199172.86),(38 201773.23),(39 203667.14),(40 205273.9),(41 204204.94),(42 203776.78),(43 203614.34),(44 203385.14),(45 203716.11),(46 205434.58),(47 206923.53),(48 208105.22),(49 208616.77),(50 207451.78),(51 206225.2),(52 203701.34),(53 199521.05),(54 197577.73),(55 196793.44),(56 196500.55),(57 196192.38),(58 195954.06),(59 195381.63),(60 194738.48),(61 194232.22),(62 193382.31),(63 192195.52),(64 191939.48),(65 191012.03),(66 190508.92),(67 190885.16),(68 190776.02),(69 191173.02),(70 192897.56),(71 195270.27),(72 198932.69),(73 202927.75),(74 206529.25),(75 209989.97),(76 212687.5),(77 214242.92),(78 215854.19),(79 216719.56),
(1 10848.887),(2 31915.563),(3 58077.246),(4 79182.04),(5 96427.945),(6 111720.94),(7 125055.29),(8 137384.55),(9 147738.75),(10 155659.03),(11 161051.88),(12 165942.45),(13 170934.44),(14 176034.48),(15 181472.56),(16 186478.56),(17 192573.17),(18 197424.53),(19 201405.44),(20 204002.38),(21 204451.61),(22 203854.11),(23 203044.98),(24 201854.66),(25 201061.06),(26 200288.81),(27 199367.78),(28 197938.7),(29 196068.22),(30 194528.61),(31 192504.5),(32 190398.08),(33 189477.63),(34 190622.05),(35 193351.61),(36 197043.83),(37 200192.36),(38 202307.78),(39 204860.17),(40 207065.5),(41 207523.02),(42 209511.45),(43 211933.56),(44 212698.5),(45 214528.31),(46 215745.13),(47 216200.7),(48 216465.55),(49 216084.03),(50 215463.02),(51 215700.97),(52 216762.13),(53 216706.02),(54 216109.33),(55 215998.69),(56 214622.45),(57 212551.77),(58 210214.16),(59 208097.9),(60 207809.97),(61 207871.6),(62 208501.17),(63 209609.84),(64 210397.73),(65 209866.13),(66 209904.45),(67 210500.95),(68 209732.48),(69 210203.58),(70 211958.45),(71 212876.7),(72 214713.72),(73 216174.13),(74 218189.58),(75 221512.95),(76 224929.72),(77 227069.5),(78 227999.17),(79 227672.83),
(1 10335.083),(2 29859.004),(3 54319.273),(4 73706.87),(5 90122.06),(6 104398.37),(7 117283.805),(8 128665.5),(9 137661.84),(10 144031.08),(11 148545.86),(12 151909.44),(13 155884.33),(14 160554.39),(15 165982.44),(16 170804.86),(17 175936.53),(18 179535.39),(19 182552.53),(20 184325.52),(21 185482.42),(22 185682.33),(23 186450.38),(24 186666.14),(25 187408.39),(26 188835.56),(27 191281.81),(28 193509.14),(29 194852.2),(30 194764.06),(31 193795.6),(32 192880.73),(33 192531),(34 194011.14),(35 194773.3),(36 197063),(37 198709.3),(38 199362.52),(39 200668.5),(40 202150.92),(41 203184.6),(42 205282.6),(43 207484.88),(44 208485.44),(45 209790.89),(46 210673.48),(47 211178.73),(48 212147.52),(49 211516.86),(50 209719.63),(51 208876.22),(52 207599.67),(53 205364.02),(54 204345.08),(55 204480),(56 205160.27),(57 206020.4),(58 206958.03),(59 207602.08),(60 207502.2),(61 207475.4),(62 206981.97),(63 206617.89),(64 206932.98),(65 206628.73),(66 207497),(67 209690.86),(68 211443.69),(69 212088.5),(70 213297.89),(71 213558.89),(72 214642.38),(73 216692.72),(74 218137.86),(75 220983.58),(76 223974.11),(77 226719.4),(78 228458.52),(79 228861.06),
(1 10578.999),(2 30397.746),(3 54246.438),(4 72962.54),(5 88790.99),(6 103089.52),(7 116368.52),(8 127959.68),(9 136889.08),(10 143151.95),(11 147450.61),(12 151378.84),(13 155678.72),(14 160623.89),(15 166360.17),(16 172448.92),(17 178516.28),(18 181695.17),(19 183757.14),(20 183993.33),(21 183378.53),(22 182549.52),(23 182429.63),(24 182777.17),(25 182957.45),(26 184497.52),(27 184979.58),(28 185555.58),(29 185676.06),(30 184771.31),(31 183435.03),(32 182163.11),(33 182968.44),(34 185884.05),(35 188319.16),(36 191284.53),(37 192465.11),(38 192229.06),(39 192891.45),(40 194414.81),(41 194738.17),(42 195582.7),(43 196468.5),(44 196805.53),(45 197495.95),(46 198856.63),(47 199464.27),(48 200630.73),(49 200304.1),(50 200231.45),(51 200744.38),(52 199917.02),(53 198500.97),(54 197769.89),(55 197671.75),(56 196871.36),(57 196130.56),(58 196478.7),(59 196703.73),(60 197843.77),(61 197406.02),(62 196110.88),(63 194927.17),(64 193783.39),(65 192698.36),(66 192972.7),(67 193715.7),(68 193050.73),(69 192364.92),(70 192818.98),(71 193422.16),(72 193916.36),(73 195419.19),(74 196610.89),(75 197762.75),(76 199375.27),(77 200016.75),(78 200649.36),(79 199756.05),
(1 10692.483),(2 31027.178),(3 55840.39),(4 75119.83),(5 91207.26),(6 104642.42),(7 116386.15),(8 126461.59),(9 134234),(10 140626.73),(11 145540.25),(12 149925.47),(13 153783.72),(14 157473.31),(15 161050.4),(16 164611.58),(17 167698.95),(18 168984.48),(19 169175.1),(20 169059.4),(21 168672.64),(22 168806.17),(23 168596.05),(24 168503.08),(25 168408.86),(26 168856.42),(27 169931.56),(28 171574.72),(29 172101.02),(30 170934.53),(31 169326.17),(32 168882.48),(33 170248.53),(34 173545.06),(35 176501.45),(36 179792.61),(37 182025.52),(38 182618.14),(39 183551.66),(40 184907.39),(41 185729.97),(42 187067.5),(43 188943.78),(44 189542.3),(45 191113.69),(46 192382.4),(47 192736.97),(48 192893.98),(49 192629.97),(50 192246.81),(51 191852.53),(52 190278.84),(53 187351.66),(54 185913.38),(55 185425.83),(56 185746.69),(57 186807.28),(58 188770.42),(59 189523.5),(60 190704.1),(61 190639.03),(62 188955.86),(63 187650.8),(64 185656.16),(65 185198.53),(66 184513.69),(67 184182.16),(68 183322.63),(69 182893.86),(70 183751.52),(71 184478.13),(72 185108.73),(73 185725.88),(74 185738.88),(75 185855.17),(76 185294.08),(77 184718.23),(78 185037.88),(79 185715.81),
(1 10473.1045),(2 30339.383),(3 54587.62),(4 73923.19),(5 89975.125),(6 103459.52),(7 115341.47),(8 125933.94),(9 134352.08),(10 141154.19),(11 146051.77),(12 150363.97),(13 154915.34),(14 159394.56),(15 163311.53),(16 166368.33),(17 169337.38),(18 172143.69),(19 173281.47),(20 174191.66),(21 174447.83),(22 174348),(23 173703.27),(24 172571.73),(25 171361.47),(26 170520.19),(27 169501.27),(28 169234.9),(29 168517.94),(30 167473.73),(31 166815.97),(32 168064.34),(33 170933.38),(34 174039.9),(35 175660.63),(36 177350.34),(37 178033.8),(38 177831.47),(39 178206.56),(40 179348.13),(41 180182.11),(42 182264.19),(43 184751.9),(44 186266.11),(45 187032.56),(46 187283.23),(47 186881.44),(48 187451.1),(49 187762.88),(50 186993.61),(51 186172.56),(52 185021.16),(53 182754.97),(54 181767.88),(55 181480.16),(56 181136.81),(57 180968.36),(58 181693.42),(59 181667.16),(60 182386.7),(61 182395.23),(62 181780.83),(63 181782.33),(64 182021.13),(65 182823.16),(66 183556.22),(67 184330.02),(68 184750.19),(69 184923.31),(70 185462.7),(71 185444.44),(72 186774.31),(73 187735.17),(74 188847.14),(75 191192.89),(76 192426.69),(77 193283.23),(78 195439.69),(79 196939.19),
(1 9974.285),(2 28428.021),(3 50606.563),(4 67503.555),(5 81437.64),(6 92998.5),(7 103247.75),(8 112667.75),(9 119689.055),(10 123957.89),(11 126608.82),(12 129675.35),(13 134011.05),(14 138435.4),(15 143316.7),(16 147829.36),(17 151829.39),(18 154563.53),(19 156585.17),(20 158687.94),(21 160846.92),(22 163407.19),(23 165646.23),(24 166891.39),(25 166838.97),(26 167372.4),(27 167966.58),(28 169358.25),(29 169050.14),(30 166294.81),(31 164913.73),(32 164787.83),(33 166613.08),(34 168747.16),(35 170096.02),(36 171991.02),(37 173410.31),(38 173434.33),(39 173473.6),(40 174050.89),(41 172425.2),(42 170706.19),(43 170759.5),(44 172046.52),(45 175409.52),(46 179647.03),(47 182383.73),(48 184226.02),(49 185384.9),(50 185651.48),(51 185754.81),(52 186075.11),(53 184909.19),(54 185171.78),(55 186271.19),(56 187485.03),(57 189081.42),(58 191468.58),(59 192833.81),(60 193992.69),(61 193800.72),(62 193217.83),(63 193162.98),(64 193930.23),(65 195350.83),(66 196391.14),(67 196256),(68 194936.75),(69 195296.72),(70 196039.56),(71 197361.28),(72 199760.28),(73 200903.3),(74 200589.52),(75 199965.97),(76 199012.25),(77 197875.89),(78 198454.17),(79 198212.83),
(1 9778.38),(2 26905.873),(3 46722.402),(4 61192.383),(5 72914.12),(6 83152.18),(7 92223.02),(8 100969.195),(9 107528.45),(10 113285.24),(11 118184.38),(12 122057.4),(13 127105.25),(14 132546.22),(15 137195.08),(16 141325.6),(17 144968.7),(18 147884.25),(19 150737.48),(20 153424.3),(21 155884.33),(22 158530.83),(23 161395.34),(24 163769.33),(25 164884.25),(26 165852.06),(27 165695.8),(28 166242.86),(29 166179.97),(30 165376.55),(31 165998.55),(32 166621.31),(33 168788.13),(34 171348.7),(35 173229.38),(36 175381.45),(37 176678.6),(38 175245.83),(39 174110.39),(40 174000.08),(41 173750.75),(42 175026.05),(43 177632.11),(44 180222.06),(45 182079.8),(46 184172.17),(47 184995.72),(48 186272.5),(49 187909.67),(50 187775.05),(51 187557.36),(52 186204.08),(53 183563.08),(54 181826.69),(55 180721.22),(56 180072.56),(57 180069.95),(58 180103.73),(59 178591.9),(60 176974.89),(61 176427.5),(62 174824.16),(63 174455.61),(64 175455.53),(65 176583.77),(66 177301.27),(67 177926.44),(68 178199.38),(69 179682.81),(70 181196.17),(71 183219.75),(72 184725.03),(73 186039.23),(74 187918.27),(75 189527.53),(76 191328.64),(77 192495.05),(78 194434.75),(79 195399.95),
(1 9548.607),(2 26654.459),(3 46706.133),(4 62374.94),(5 75528.36),(6 86846.48),(7 96593.93),(8 105941.445),(9 113132.125),(10 118378.69),(11 122370.95),(12 124967.09),(13 127938.04),(14 130564.305),(15 132953.05),(16 134719.38),(17 135761.08),(18 136012.97),(19 136911.42),(20 138241.92),(21 139742.17),(22 141227.25),(23 142496.55),(24 142787.34),(25 143241.05),(26 143272.94),(27 142418.77),(28 142082.03),(29 141747.8),(30 141395.23),(31 142557.88),(32 143744.02),(33 146870.7),(34 150810.08),(35 153653.86),(36 155946.72),(37 158770.89),(38 160143.73),(39 161639.19),(40 164052.13),(41 165841.06),(42 167351.34),(43 170467.28),(44 172962.16),(45 174329.55),(46 175347.53),(47 175463.22),(48 174669.58),(49 174576.02),(50 173390.11),(51 172877.6),(52 172889.77),(53 172905.3),(54 172854.3),(55 172709.67),(56 172675.19),(57 172824.52),(58 173501.66),(59 173233.67),(60 172402.3),(61 172360.31),(62 173067.9),(63 175110.56),(64 176942.23),(65 177285.39),(66 177328.83),(67 178035.17),(68 179040.27),(69 180722.44),(70 182659.52),(71 184729.34),(72 186661.89),(73 188811.98),(74 190026.39),(75 190711.9),(76 191874.73),(77 192849.03),(78 194073.89),(79 193568.45),
(1 9965.248),(2 28009.646),(3 48991.516),(4 64611.355),(5 77613.83),(6 89150.24),(7 98871.8),(8 106818.03),(9 111728.15),(10 115601.48),(11 119164.7),(12 123255.01),(13 127158.836),(14 130713.086),(15 132951.19),(16 134308.42),(17 134540.95),(18 133835.66),(19 133814.77),(20 134177.27),(21 135708.34),(22 138313.52),(23 141042.5),(24 142348.67),(25 143993.34),(26 144258.6),(27 143485.44),(28 142296.03),(29 142942.95),(30 142987.3),(31 144375.53),(32 146297.17),(33 148652.9),(34 152053.9),(35 155012.19),(36 158111.06),(37 161232.55),(38 162845.66),(39 164869.44),(40 167590.67),(41 169375.69),(42 172334.53),(43 175258.53),(44 175988.72),(45 177014.4),(46 177035.36),(47 177091.05),(48 176864.28),(49 176482.3),(50 174664.06),(51 173187.73),(52 171861.94),(53 170618.11),(54 171165.83),(55 173085),(56 174757.53),(57 175995.52),(58 176066.5),(59 174707.6),(60 174545.77),(61 174416.27),(62 175217.72),(63 176457.61),(64 177493.86),(65 178820.19),(66 179114.97),(67 179488.3),(68 179310.3),(69 180538.36),(70 182386.53),(71 183624.36),(72 185131.42),(73 186678.5),(74 187861.44),(75 187412.94),(76 187099.2),(77 186647.77),(78 186522.08),(79 184800.1),
(1 9943.118),(2 28057.264),(3 48980.8),(4 64424.625),(5 77458.92),(6 88967.445),(7 98672.36),(8 106423.61),(9 112745.59),(10 117838.39),(11 121655.06),(12 124779.66),(13 129021.625),(14 132626.73),(15 135891.92),(16 138800.48),(17 139835.48),(18 140192.63),(19 140401.52),(20 140824.52),(21 141703.75),(22 142911.1),(23 144009.52),(24 143803.95),(25 143982.34),(26 144717.25),(27 145213.75),(28 146391.16),(29 146562.17),(30 146375.16),(31 147492.72),(32 148195.66),(33 149762.27),(34 151050.03),(35 151820.36),(36 152877.67),(37 153843.6),(38 153730),(39 154921.64),(40 156345.55),(41 156794.33),(42 156746.2),(43 157335.58),(44 156788.45),(45 157150.03),(46 157592.19),(47 157998.67),(48 158921.05),(49 158959.72),(50 158729.67),(51 159827.61),(52 161402.7),(53 164094.58),(54 166818.92),(55 169456.66),(56 170520.5),(57 169615.17),(58 168553.89),(59 168100.31),(60 169537.77),(61 172461.72),(62 175143.86),(63 178542.64),(64 182065.17),(65 184715.13),(66 186566.03),(67 188520.53),(68 189328.11),(69 189524.83),(70 189196.84),(71 188155.56),(72 187920.7),(73 188119.81),(74 188543.36),(75 189110.36),(76 189401.86),(77 188899.28),(78 188221.14),(79 187676.84),
(1 9827.398),(2 27379.578),(3 48023.19),(4 63134.527),(5 75712.67),(6 86538.86),(7 95122.94),(8 102523.49),(9 108872.28),(10 114157.93),(11 118334.87),(12 121633.125),(13 125561.76),(14 129140.414),(15 132609.55),(16 135097.72),(17 136203.48),(18 136307.72),(19 137052.66),(20 137948.53),(21 138366.94),(22 138721.53),(23 139630.06),(24 140288.84),(25 140765.88),(26 140804.72),(27 140208.67),(28 139600.3),(29 139791.38),(30 140969),(31 143078.16),(32 144920.11),(33 147165.22),(34 150628.4),(35 152674.81),(36 154283.08),(37 155717.94),(38 154859.53),(39 154973.84),(40 155020.67),(41 154595.86),(42 154736.58),(43 155330.3),(44 154915.4),(45 154675.25),(46 154601.66),(47 154688.19),(48 155032.52),(49 155996.02),(50 156490.45),(51 156953.98),(52 158461.9),(53 158957.33),(54 160274.44),(55 160732.13),(56 160254.5),(57 158974.75),(58 158804.78),(59 159259.89),(60 159603.75),(61 161406.03),(62 162775.92),(63 164532.1),(64 166273.84),(65 166216.8),(66 165485.86),(67 164934.53),(68 164226.89),(69 163539.03),(70 162669.97),(71 161559.83),(72 160984.7),(73 160899.14),(74 161019.42),(75 161658.56),(76 161725.1),(77 161965.81),(78 162484.22),(79 162274.39),
