1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 44288.105),(2 132221.86),(3 284231.8),(4 462744.9),(5 706774.94),(6 969348.3),(7 1250088.9),(8 1582796),(9 1942954.4),(10 2317056.3),(11 2722240.5),(12 3126749),(13 3542946.8),(14 3969752.3),(15 4380518.5),(16 4777756.5),(17 5169369),(18 5533517.5),(19 5901289.5),(20 6252510.5),(21 6613226.5),(22 6979372),(23 7328504.5),(24 7706405.5),(25 8065768.5),(26 8444395),(27 8764037),(28 9142031),(29 9467165),(30 9787065),(31 10040340),(32 10295897),(33 10585079),(34 10844175),(35 11120457),(36 11395849),(37 11674629),(38 11904313),(39 12199817),(40 12492064),(41 12836164),(42 13158985),(43 13517621),(44 13877404),(45 14276773),(46 14667215),(47 15123969),(48 15556657),(49 16009611),(50 16418384),(51 16892448),(52 17374362),(53 17957716),(54 18409274),(55 18992806),(56 19543054),(57 20105410),(58 20729236),(59 21419008),(60 22089636),(61 22784318),(62 23432920),(63 24118790),(64 24860014),(65 25596970),(66 26333926),(67 27130856),(68 27908784),(69 28638386),(70 29408986),(71 30188552),(72 30926768),(73 31629846),(74 32193960),(75 32713568),(76 33170102),(77 33630132),(78 34049100),(79 34481610),
(1 4324.729),(2 11315.197),(3 16379.548),(4 19708.02),(5 22277.342),(6 24321.242),(7 25762.225),(8 27183.035),(9 28797.156),(10 30291.338),(11 31826.299),(12 32857.79),(13 33370.117),(14 33873.42),(15 34792.598),(16 35634.21),(17 36623.836),(18 37256.508),(19 37633.07),(20 37660.918),(21 37763.55),(22 38095.383),(23 38530.92),(24 38889.684),(25 39344.55),(26 39842.21),(27 40295.62),(28 40203.56),(29 40063.85),(30 39917.883),(31 39923.82),(32 40001.164),(33 40387.44),(34 41342.74),(35 41843.07),(36 42176.68),(37 42031.453),(38 41742.016),(39 41816.504),(40 42223.93),(41 42361.78),(42 42267.313),(43 42272.605),(44 42540.29),(45 42637.887),(46 42669.137),(47 42525.01),(48 42497.605),(49 42570.504),(50 42855.316),(51 43270.64),(52 43829.527),(53 43871.28),(54 44055.33),(55 43992.63),(56 44055.477),(57 44420.97),(58 44577.355),(59 44822.58),(60 44788.266),(61 44421.105),(62 44033.117),(63 43936.293),(64 43673.89),(65 43984.813),(66 44023.215),(67 44028.824),(68 44033.527),(69 44135.484),(70 44235.063),(71 44327.836),(72 44314.043),(73 44743.758),(74 44943.145),(75 45376.043),(76 45453.7),(77 45571.117),(78 45707.285),(79 45708.504),
(1 4145.3335),(2 10799.007),(3 15674.438),(4 18746.508),(5 20904.742),(6 22592.656),(7 23749.691),(8 24944.469),(9 26358.447),(10 27635.74),(11 28453.844),(12 29507.936),(13 30759.084),(14 31579.543),(15 32093.627),(16 32686.783),(17 33462.363),(18 33805.777),(19 34060.797),(20 34376.64),(21 34806.43),(22 35560.395),(23 35980.402),(24 36024.402),(25 36359.984),(26 36840.348),(27 37548.61),(28 37981.164),(29 38316.688),(30 38485.137),(31 38610.547),(32 38891.273),(33 38821.4),(34 38835.168),(35 38951.918),(36 39538.01),(37 39764.902),(38 39844.29),(39 39961.527),(40 39967.336),(41 39988.09),(42 40083.496),(43 39985.555),(44 40314.65),(45 40485.84),(46 40598.023),(47 40359.25),(48 40251.465),(49 40128.152),(50 40359.918),(51 40562.28),(52 40586.348),(53 40602.15),(54 40522.39),(55 40487.957),(56 40393.81),(57 40651.402),(58 40893.89),(59 40760.055),(60 39839.51),(61 39412.184),(62 39381.543),(63 39920.195),(64 40316.824),(65 40729.906),(66 40779.418),(67 40529.543),(68 40515.195),(69 40706.742),(70 40587.367),(71 40330.83),(72 40485.45),(73 40835.15),(74 40997.63),(75 41312.215),(76 41355.777),(77 41513.656),(78 41577.89),(79 41542.28),
(1 4151.699),(2 10980.319),(3 15599.317),(4 18794.36),(5 21517.74),(6 23700.115),(7 25220.637),(8 26602.68),(9 27906.664),(10 29338.668),(11 30668.93),(12 31948.852),(13 32996.938),(14 33846.5),(15 34999.16),(16 35806.906),(17 36546.188),(18 37239.09),(19 37859.56),(20 37928.023),(21 38007.344),(22 38455.113),(23 38935.523),(24 39380.2),(25 40235.195),(26 40573.49),(27 40845.727),(28 40989.85),(29 41508.582),(30 41641.125),(31 41964.145),(32 42211.91),(33 42336.285),(34 42265.402),(35 42029.383),(36 41819.727),(37 41319.598),(38 40875.11),(39 40662.45),(40 40466.62),(41 39905.773),(42 39713.688),(43 39669.22),(44 39772.414),(45 39960.86),(46 40119.785),(47 39844.906),(48 39391.26),(49 38985.836),(50 39079.457),(51 39307.313),(52 39699.33),(53 39845.484),(54 39681.707),(55 39463.38),(56 39443.133),(57 39627.492),(58 39703.52),(59 39641.113),(60 39547.215),(61 39707.164),(62 39575.395),(63 39815.074),(64 39802.63),(65 39796.47),(66 39600.44),(67 39505.56),(68 39018.355),(69 38828.363),(70 39019.844),(71 39379.805),(72 39267.91),(73 39292.656),(74 39403.34),(75 39730.848),(76 39986.85),(77 40375.113),(78 40712.28),(79 40855.824),
(1 4186.078),(2 10704.096),(3 15077.132),(4 17888.838),(5 20219.38),(6 21779.244),(7 22814.836),(8 24021.904),(9 25651.422),(10 27155.855),(11 28497.14),(12 29556.813),(13 30410.434),(14 31059.002),(15 31653.912),(16 32132.38),(17 32677.588),(18 33005.598),(19 33542.9),(20 34045.46),(21 34853.906),(22 35341.676),(23 35886.78),(24 36140.855),(25 36689.477),(26 37148.695),(27 37820.99),(28 37926.145),(29 37908.723),(30 38040.305),(31 38291.316),(32 38554.246),(33 38485.47),(34 38422.504),(35 38215.777),(36 37942.527),(37 37764.53),(38 37752.56),(39 37553.316),(40 37438.484),(41 37355.93),(42 37282.113),(43 37279.777),(44 37810.82),(45 38528.906),(46 38856.242),(47 38795.08),(48 39001.137),(49 39106.41),(50 39191.105),(51 39170.43),(52 39308.816),(53 39499.52),(54 39561.22),(55 39800.914),(56 39740.797),(57 39830.54),(58 39920.945),(59 40333.684),(60 40530.805),(61 40950.65),(62 40851.984),(63 40829.254),(64 40662.574),(65 40415.527),(66 40029.73),(67 39846.516),(68 39675.734),(69 39594.07),(70 39843.137),(71 40335.75),(72 40508.063),(73 40316.625),(74 39924.695),(75 39671.586),(76 39447.535),(77 39429.02),(78 39348.945),(79 39294.49),
(1 4252.217),(2 10777.774),(3 15080.703),(4 17748.924),(5 20044.365),(6 21694.232),(7 22998.572),(8 24495.47),(9 26057.996),(10 27127.977),(11 28194.555),(12 29168.88),(13 30094.602),(14 30852.432),(15 31557.506),(16 32065.79),(17 32857.23),(18 33202.563),(19 33487.258),(20 33586.074),(21 34173.69),(22 34815.688),(23 35366.34),(24 35413.855),(25 35727.207),(26 36271.953),(27 36898.96),(28 36906.82),(29 36959.43),(30 36750.49),(31 36717.043),(32 36831.434),(33 36817.457),(34 36751.625),(35 36731.97),(36 36862.26),(37 36819.58),(38 37082.074),(39 37629.688),(40 37582.406),(41 37367.176),(42 37538.793),(43 37704.85),(44 37801.316),(45 37872.223),(46 38276.31),(47 38614.71),(48 38883.008),(49 39036.984),(50 38970.15),(51 38732.906),(52 38777.53),(53 38895.766),(54 38912.31),(55 38817.69),(56 38564.84),(57 38464.21),(58 38269.227),(59 38219.79),(60 38159.625),(61 38133.85),(62 38020.12),(63 38187.61),(64 38276.676),(65 38397.098),(66 38440.664),(67 38656.965),(68 38562.76),(69 38213.816),(70 37686.227),(71 37737.168),(72 37999.016),(73 38072.508),(74 37895.266),(75 37870.895),(76 37842.324),(77 38468.094),(78 38909.797),(79 39058.098),
(1 4214.306),(2 10543.067),(3 14834.21),(4 17637.043),(5 19879.318),(6 21607.914),(7 22856.145),(8 24018.883),(9 25304.533),(10 26460.908),(11 27180.447),(12 27975.945),(13 28891.22),(14 29609.62),(15 30492.748),(16 31286.602),(17 32035.281),(18 32529.135),(19 33132.305),(20 33514.895),(21 33859.17),(22 34056.25),(23 34329.586),(24 34464.035),(25 34804.17),(26 34889.438),(27 35336.387),(28 35607.734),(29 35658.117),(30 35538.94),(31 35487.414),(32 35569.355),(33 35848.414),(34 36081.01),(35 36051.32),(36 35731.65),(37 35137.984),(38 34868.727),(39 35108.637),(40 35226.33),(41 34657.777),(42 34606.918),(43 34901.492),(44 35238.85),(45 35471.805),(46 35708.33),(47 35441.902),(48 35334.023),(49 35319.24),(50 35383.887),(51 35258.57),(52 35334.086),(53 35305.195),(54 35423.266),(55 35544.914),(56 35734.57),(57 36098.016),(58 36227.223),(59 36330.832),(60 36583.746),(61 36707.496),(62 36912.44),(63 37172.086),(64 36662.08),(65 36212.855),(66 36144.887),(67 36241.535),(68 36688.094),(69 36926.207),(70 36818.805),(71 36987.906),(72 37194.676),(73 37339.04),(74 37551.87),(75 37995.145),(76 37744.277),(77 37694.29),(78 37849.95),(79 37959.47),
(1 4189.9385),(2 10529.012),(3 14577.198),(4 17055.879),(5 18847.662),(6 20358.834),(7 21705.453),(8 23112.326),(9 24383.871),(10 25569.248),(11 26099.291),(12 26484.602),(13 27264.865),(14 28003.225),(15 28605.582),(16 29078.479),(17 29815.775),(18 29983.143),(19 30138.348),(20 30476.19),(21 30976.672),(22 31399.525),(23 31717.09),(24 32027.57),(25 32493.814),(26 32904.453),(27 33421.22),(28 33501.023),(29 33822.715),(30 34097.05),(31 34333.676),(32 34743.027),(33 34773.32),(34 34839.164),(35 34921.246),(36 34872.82),(37 34619.734),(38 34433.047),(39 34642.105),(40 35012.49),(41 35051.88),(42 35036.86),(43 35243.23),(44 35705.02),(45 35658.895),(46 35521.17),(47 35172.645),(48 35109.367),(49 35273.375),(50 35583.637),(51 35862.754),(52 36050.56),(53 36073.813),(54 36326.27),(55 36305.758),(56 36174.03),(57 36268.813),(58 36318.64),(59 36403.6),(60 36045.914),(61 35869.973),(62 35837.695),(63 35828.13),(64 36094.51),(65 36342.367),(66 36366.47),(67 36266.35),(68 36083.563),(69 35991.42),(70 36051.855),(71 36049.074),(72 36069.176),(73 36262.26),(74 36367.164),(75 37004.324),(76 37135.844),(77 37090.445),(78 37271.305),(79 37181.32),
(1 4086.6702),(2 10174.374),(3 13862.579),(4 16325.798),(5 18652.734),(6 20700.826),(7 21907.994),(8 23005.656),(9 23932.992),(10 24639.193),(11 25287.916),(12 25881.229),(13 26828.61),(14 27646.396),(15 28325.385),(16 28557.938),(17 28754.504),(18 28906.29),(19 29081.018),(20 29153.967),(21 29499.697),(22 30116.09),(23 30676.953),(24 30719.39),(25 31072.54),(26 31438.525),(27 31824.795),(28 31679.1),(29 31763.14),(30 31885.734),(31 31890.47),(32 31644.523),(33 31387.156),(34 31789.482),(35 32255.043),(36 32371.781),(37 32016.44),(38 31971.803),(39 32214.127),(40 32593.832),(41 32816.76),(42 32947.117),(43 32837.594),(44 33079.535),(45 33480.473),(46 33903.137),(47 34035.043),(48 34079.81),(49 34324.81),(50 34594.88),(51 34630.547),(52 34988.03),(53 34986.25),(54 35087.82),(55 35113.98),(56 35424.625),(57 35787.344),(58 35655.188),(59 35487.1),(60 35490.754),(61 35195.11),(62 34998.125),(63 35074.715),(64 34917.81),(65 34609.688),(66 34505.465),(67 34482.477),(68 34510.664),(69 34971.24),(70 35371.79),(71 35311.023),(72 34865.4),(73 35120.254),(74 35312.47),(75 35510.9),(76 35609.55),(77 35697.21),(78 35512.566),(79 35494.52),
(1 4148.584),(2 10091.965),(3 13599.4375),(4 16272.271),(5 18816.389),(6 20624.992),(7 21705.24),(8 22780.545),(9 23869.34),(10 24672.475),(11 25325.777),(12 26211.533),(13 27024.855),(14 27604.639),(15 28147.408),(16 28494.893),(17 28804.553),(18 29179.611),(19 29792.887),(20 30122.693),(21 30600.164),(22 30883.045),(23 31103.934),(24 31162.926),(25 31240.041),(26 31358.158),(27 31570.105),(28 31709.87),(29 32133.988),(30 32603.252),(31 32749.068),(32 32774.277),(33 32631.854),(34 32784.395),(35 32812.9),(36 33106.957),(37 32971.727),(38 32971.29),(39 33192.375),(40 33630.504),(41 33709.824),(42 33823.258),(43 33520.32),(44 33440.46),(45 33644.305),(46 34094.586),(47 34098.266),(48 34111.242),(49 34349.707),(50 34593.668),(51 34598.695),(52 34527.867),(53 34569.637),(54 34461.25),(55 34706.17),(56 34791.23),(57 34777.44),(58 34299.45),(59 34092.176),(60 34018.4),(61 33701.77),(62 33213.754),(63 32934.55),(64 32572.982),(65 32815.4),(66 32957.094),(67 32933.305),(68 32986.043),(69 33174.844),(70 33655.535),(71 34000.105),(72 33937.656),(73 33973.35),(74 34100.934),(75 34232.72),(76 33935.72),(77 34034.074),(78 34148.703),(79 34395.125),
(1 3964.7317),(2 9766.631),(3 13388.455),(4 15929.675),(5 18054.86),(6 19271.379),(7 20120.955),(8 20968.146),(9 22220.063),(10 23356.58),(11 24207.395),(12 25094.77),(13 26196.307),(14 26782.262),(15 27318.652),(16 27983.885),(17 28609.965),(18 28741.3),(19 29112.514),(20 29927.033),(21 30540.523),(22 30941.166),(23 31317.889),(24 31442.299),(25 31580.203),(26 31645.734),(27 31558.346),(28 31135.309),(29 31025.066),(30 30972.012),(31 30982.457),(32 30826.81),(33 30820.508),(34 31283.867),(35 31385.584),(36 31764.346),(37 32146.01),(38 32404.465),(39 32421.426),(40 32330.424),(41 32059.262),(42 31868.545),(43 31687.457),(44 31658.758),(45 31680.791),(46 31887.54),(47 31855.484),(48 31812.555),(49 31938.92),(50 32068.422),(51 32044.873),(52 32048.732),(53 32011.63),(54 31904.19),(55 31890.172),(56 32018.025),(57 32013.36),(58 31900.082),(59 32020.14),(60 32482.924),(61 32777.566),(62 32997.168),(63 33330.1),(64 33175.406),(65 33290.336),(66 33267.6),(67 33330.184),(68 33294.645),(69 33291.332),(70 33242.613),(71 33412.945),(72 33321.297),(73 33282.66),(74 33435.523),(75 33295.637),(76 32946.402),(77 32902.996),(78 32985.816),(79 33205.426),
(1 3861.0298),(2 9323.096),(3 12678.768),(4 14967.849),(5 16947.537),(6 18154.645),(7 18872.17),(8 19890.225),(9 21125.205),(10 22210.328),(11 23278.303),(12 24189.205),(13 24883.445),(14 25439.037),(15 26207.012),(16 26523.947),(17 27039.98),(18 27257.764),(19 27554.264),(20 27947.557),(21 28561.295),(22 29015.121),(23 29364.814),(24 29499.521),(25 29540.896),(26 29756.65),(27 30346.129),(28 30513.412),(29 30563.895),(30 30633.246),(31 30884.82),(32 30921.086),(33 30943.79),(34 31189.723),(35 31604.053),(36 31679.514),(37 31614.502),(38 31856.395),(39 31914.756),(40 31915.752),(41 31888.14),(42 31975.922),(43 31900.188),(44 32113.762),(45 32435.49),(46 32839.38),(47 32877.973),(48 32791.938),(49 32931.06),(50 33263.594),(51 33128.41),(52 32950.03),(53 32948.453),(54 33045.08),(55 33036.203),(56 32962.55),(57 32996.543),(58 33079.504),(59 33012.746),(60 32966.957),(61 33136.9),(62 33392.07),(63 33776.83),(64 33887.703),(65 33917.473),(66 34082.594),(67 34384.246),(68 34843.883),(69 34914.203),(70 34927.926),(71 34951.297),(72 35130.293),(73 35281.902),(74 35163.234),(75 35390.094),(76 35272.934),(77 35248.89),(78 35309.15),(79 35588.56),
(1 3658.0674),(2 9018.004),(3 12568.724),(4 15034.854),(5 17074.432),(6 18199.328),(7 19024.947),(8 20123.193),(9 21261.004),(10 22230.092),(11 23208.18),(12 23809.2),(13 24407.701),(14 24920.424),(15 25503.953),(16 25810),(17 26298.143),(18 26685.215),(19 26940.645),(20 27005.34),(21 27285.025),(22 27235.516),(23 27327.764),(24 27245.258),(25 27433.871),(26 27430.05),(27 27796.07),(28 27822.43),(29 27810.082),(30 28015.104),(31 28370.877),(32 28910.95),(33 28934.39),(34 29161.875),(35 29670.078),(36 30344.744),(37 30626.572),(38 30903.773),(39 31291.04),(40 31861.549),(41 32121.375),(42 32121.422),(43 32175.748),(44 32221.016),(45 32415.14),(46 32666.25),(47 32528.516),(48 32292.611),(49 32126.988),(50 32327.16),(51 32339.48),(52 32148.813),(53 31996.318),(54 32144.32),(55 32229.406),(56 31851.57),(57 31389.525),(58 31276.928),(59 31389.992),(60 31509.984),(61 31485.291),(62 31425.736),(63 31776.258),(64 31978.002),(65 32384.49),(66 32690.941),(67 32730.145),(68 32727.035),(69 32936.914),(70 33175.33),(71 33185.47),(72 32821.4),(73 32450.926),(74 32341.504),(75 32557.854),(76 32554.664),(77 32547.848),(78 32234.73),(79 31770.898),
(1 3737.6023),(2 9066.813),(3 12475.522),(4 15020.611),(5 16964.996),(6 18384.557),(7 19515.477),(8 20612.717),(9 21447.46),(10 22178.906),(11 22930.625),(12 23478.918),(13 24076.146),(14 24709.46),(15 25079.395),(16 25448.041),(17 26057.367),(18 26741.582),(19 27448.557),(20 27748.979),(21 27933.832),(22 28224.205),(23 28555.45),(24 28905.033),(25 29480.46),(26 29720.965),(27 30044.016),(28 30034.807),(29 30283.936),(30 30549.432),(31 30717.72),(32 30829.354),(33 30862.45),(34 31269.063),(35 31357.236),(36 31347.387),(37 31060.736),(38 31075.146),(39 31055.45),(40 31286.379),(41 31290.043),(42 31268.982),(43 31281.564),(44 31506.139),(45 31468.213),(46 31536.027),(47 31631.588),(48 31512.256),(49 31314.387),(50 31650.03),(51 31769.633),(52 31645.918),(53 31440.557),(54 31617.934),(55 31817.945),(56 31849.455),(57 32029.072),(58 32414.156),(59 32607.393),(60 32248.77),(61 31937.521),(62 31511.246),(63 31373.49),(64 31525.713),(65 31639.523),(66 31518.84),(67 31596.738),(68 31854.057),(69 32138.42),(70 31964.072),(71 32183.588),(72 32435.88),(73 32297.025),(74 32148.264),(75 32143.828),(76 32204.223),(77 32565.963),(78 32879.914),(79 32815.355),
(1 3704.736),(2 8867.456),(3 12087.575),(4 14613.097),(5 16560.7),(6 17649.158),(7 18578.498),(8 19714.56),(9 20691.35),(10 21623.71),(11 22665.7),(12 23778.352),(13 24842.186),(14 25113.436),(15 25331.607),(16 25660.592),(17 26315.13),(18 26857.107),(19 27734.217),(20 28470.451),(21 28723.459),(22 28680.3),(23 28974.098),(24 29295.76),(25 29547.742),(26 29701.285),(27 29734.621),(28 29315.07),(29 29597.625),(30 29919.791),(31 30085.447),(32 30152.47),(33 29980.66),(34 30175.275),(35 30243.254),(36 30232.482),(37 30050.309),(38 30255.844),(39 30363.44),(40 30183.604),(41 30077.602),(42 30141.113),(43 30288.957),(44 30607.498),(45 30283.018),(46 29831.783),(47 29607.246),(48 29570.873),(49 29567.035),(50 29537.45),(51 29435.95),(52 29667.846),(53 29609.377),(54 29654.12),(55 29814.652),(56 29826.148),(57 29892.586),(58 30191.03),(59 30580.236),(60 30599.383),(61 30758.383),(62 30906.9),(63 31102.752),(64 31254.043),(65 31279.799),(66 31105.965),(67 31216.123),(68 31193.531),(69 31060.875),(70 30663.309),(71 30641.12),(72 30390.754),(73 30128.533),(74 30315.025),(75 30672.12),(76 30873.465),(77 31206.297),(78 31352.516),(79 31220.201),
(1 3805.2183),(2 9190.832),(3 11869.986),(4 14101.433),(5 15967.218),(6 16981.602),(7 17820.637),(8 18949.678),(9 19953.02),(10 20862.035),(11 21925.316),(12 22845.127),(13 23869.076),(14 24790.8),(15 25581.652),(16 25635.4),(17 25836.639),(18 26301.98),(19 26954.684),(20 27371.453),(21 27894.441),(22 28101.523),(23 28281.807),(24 28217.023),(25 28416.06),(26 28517.953),(27 28650.535),(28 28611.178),(29 28632.879),(30 28747.719),(31 28889.24),(32 29207.615),(33 29407.494),(34 29835.162),(35 29826.408),(36 29726.885),(37 29417.803),(38 29718.736),(39 29687.553),(40 29656.33),(41 29870.633),(42 29869.62),(43 29627.686),(44 29488.764),(45 29324.53),(46 29051.014),(47 28926.781),(48 29238.207),(49 29429.92),(50 29558.709),(51 29884.074),(52 30206.219),(53 29946.473),(54 29689.107),(55 29584.104),(56 29462.264),(57 29214.045),(58 29215.354),(59 29363.777),(60 29658.5),(61 30001.346),(62 29997.877),(63 30167.854),(64 30192.793),(65 30250.762),(66 30573.086),(67 30596.184),(68 30541.484),(69 30687.191),(70 30584.76),(71 30880.195),(72 30944.549),(73 31099.941),(74 31279.15),(75 31347.568),(76 31243.465),(77 31231.428),(78 31092.115),(79 31153.02),
(1 3496.4688),(2 8383.353),(3 11100.111),(4 13096.736),(5 14800.599),(6 16182.555),(7 17076.62),(8 17890.58),(9 18733.1),(10 19787.62),(11 20499.926),(12 20973.984),(13 21633.566),(14 22411.082),(15 23064.275),(16 23366.37),(17 23550.021),(18 23579.02),(19 23890.695),(20 24416.371),(21 24714.697),(22 24878.67),(23 25261.994),(24 25407.664),(25 25639.633),(26 25922.693),(27 26305.441),(28 26582.492),(29 27166.033),(30 27416.89),(31 27565.473),(32 27304.291),(33 27206.668),(34 27436.227),(35 27402.174),(36 27419.32),(37 27381.74),(38 27325.793),(39 27148.623),(40 27039.281),(41 27040.275),(42 27021.78),(43 27058.914),(44 27270.88),(45 27391.545),(46 27610.705),(47 27710.928),(48 27820.684),(49 27652.932),(50 27317.127),(51 27246.318),(52 27365.057),(53 27244.445),(54 27293.584),(55 27378.639),(56 27371.014),(57 27329.37),(58 27230.988),(59 27281.797),(60 27359.854),(61 27469.617),(62 27576.625),(63 27903.23),(64 27890.908),(65 27962.05),(66 27946.871),(67 28045.512),(68 27976.84),(69 28072.668),(70 28012.115),(71 28023.736),(72 28160.563),(73 28196.045),(74 27845.244),(75 27771.951),(76 27591.814),(77 27707.652),(78 27731.072),(79 27683.201),
(1 3439.9949),(2 8174.8413),(3 10944.557),(4 13072.657),(5 14876.47),(6 15928.754),(7 16621.984),(8 17606.168),(9 18864.557),(10 20133.408),(11 21099.027),(12 21728.002),(13 22536.686),(14 23304.098),(15 23927.459),(16 24227.834),(17 24698.387),(18 24720.197),(19 24774.328),(20 24840.393),(21 25240.162),(22 25260.43),(23 25120.877),(24 25231.75),(25 25578.182),(26 25867.367),(27 26529.57),(28 26598.746),(29 26702.828),(30 26792.258),(31 26872.773),(32 26924.525),(33 27026.555),(34 27175.428),(35 27288.951),(36 27618.488),(37 28034.814),(38 28240.184),(39 28186.482),(40 28166.541),(41 27804.014),(42 27822.883),(43 28038.287),(44 27897.93),(45 27622.893),(46 27693.16),(47 27305.145),(48 27015.73),(49 26947.188),(50 27010.002),(51 27248.271),(52 27556.86),(53 27594.078),(54 27716.29),(55 27801.082),(56 27856.9),(57 27895.156),(58 28001.873),(59 28187.25),(60 28025.361),(61 27919.19),(62 27812.764),(63 28029.232),(64 28323.604),(65 28561.59),(66 28579.242),(67 28633.69),(68 28509.002),(69 28448.494),(70 28494.451),(71 28604.697),(72 28602.59),(73 28685.271),(74 28761.953),(75 28787.47),(76 28521.97),(77 28495.531),(78 28417.467),(79 28197.42),
(1 3622.5762),(2 8711.945),(3 11759.134),(4 13743.02),(5 15497.938),(6 16698.38),(7 17592.816),(8 18587.303),(9 19411.04),(10 20061.965),(11 20996.178),(12 21824.96),(13 22651.832),(14 23083.555),(15 23552.58),(16 23967.723),(17 24212.748),(18 24240.506),(19 24168.736),(20 24639.67),(21 25505.973),(22 25453.906),(23 25465.912),(24 25439.13),(25 25644.795),(26 25872.55),(27 26417.076),(28 26909.238),(29 27248.87),(30 27265.023),(31 27211.98),(32 27062.883),(33 27104.318),(34 27333.213),(35 27342.746),(36 27717.404),(37 27865.926),(38 27941.625),(39 28107.31),(40 28160.713),(41 28008.77),(42 28044.281),(43 28227.21),(44 28371.924),(45 28375.049),(46 28663.059),(47 28735.686),(48 28772.06),(49 28512.95),(50 28546.543),(51 28436.041),(52 28377.879),(53 28194.074),(54 28318.594),(55 28392.822),(56 28255.082),(57 28296.107),(58 28207.32),(59 28138.512),(60 28037.996),(61 27915.871),(62 27611.943),(63 27711.555),(64 27652.934),(65 27514.207),(66 27565.78),(67 27509.445),(68 27435.42),(69 27707.422),(70 27755.15),(71 27688.33),(72 27618.22),(73 27782.074),(74 27952.451),(75 27940.797),(76 28095.98),(77 28522.168),(78 28550.06),(79 28682.09),
