1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 38613.293),(2 107911.94),(3 187468.89),(4 308395.53),(5 498339.16),(6 711900.06),(7 972297.2),(8 1258811.5),(9 1576523.9),(10 1900964.6),(11 2222478.3),(12 2544568.8),(13 2866854),(14 3209624.3),(15 3582225),(16 3946896),(17 4333499.5),(18 4723541.5),(19 5118916),(20 5506495.5),(21 5906118),(22 6295874),(23 6771116.5),(24 7212258.5),(25 7863526),(26 8280273.5),(27 8683020),(28 9072229),(29 9461903),(30 9886278),(31 10442229),(32 11377747),(33 12093589),(34 12851437),(35 13569571),(36 14283823),(37 15026911),(38 15809365),(39 16542428),(40 17159686),(41 17807274),(42 18462422),(43 19050938),(44 19673074),(45 20274168),(46 20718394),(47 21589174),(48 22227806),(49 22849634),(50 23530536),(51 24179906),(52 24697562),(53 25050738),(54 25413918),(55 25699570),(56 25978094),(57 26198576),(58 26529146),(59 26856986),(60 27065280),(61 27290040),(62 27595690),(63 27859830),(64 28203458),(65 28531962),(66 28817304),(67 29133286),(68 29403974),(69 29958464),(70 30359192),(71 30774182),(72 31209280),(73 31587632),(74 32036070),(75 32509416),(76 33044102),(77 33689950),(78 34408124),(79 35121532),
(1 30667.803),(2 85160.13),(3 130456.05),(4 162724.98),(5 175477.02),(6 178904.5),(7 183587.78),(8 189706.6),(9 198181.66),(10 209466.63),(11 220669.95),(12 227431.16),(13 230261.5),(14 234484.3),(15 240180.72),(16 245937.73),(17 251289.1),(18 254090.08),(19 254905.44),(20 252633.03),(21 249416.6),(22 249579.19),(23 255135.23),(24 260994.42),(25 267801.6),(26 273239),(27 276364.44),(28 275740),(29 272531.8),(30 269423.06),(31 267671.6),(32 268794.75),(33 272708.6),(34 275642.53),(35 276133.34),(36 274867.8),(37 273475.9),(38 273340.78),(39 272922.84),(40 273500.38),(41 272625),(42 270849.9),(43 269291.8),(44 269578.3),(45 270818.38),(46 274022.2),(47 275133.13),(48 274863.7),(49 272747.22),(50 271335.16),(51 271076.94),(52 273773.88),(53 278121.53),(54 279924.06),(55 280111.47),(56 278761.8),(57 278812.66),(58 279626.9),(59 276394.22),(60 271748.6),(61 267697.03),(62 268075),(63 272086.3),(64 275723.34),(65 278934.28),(66 279678.03),(67 279741.94),(68 279833.63),(69 274484.97),(70 271692.28),(71 271807.3),(72 276312.47),(73 278906.75),(74 280436.5),(75 280089.94),(76 279175.4),(77 281898.03),(78 284349.44),(79 282020.88),
(1 30113.012),(2 82340.24),(3 125600.25),(4 156521.92),(5 170740.69),(6 173993.03),(7 174830.92),(8 177324.84),(9 184096.83),(10 194739.9),(11 205170.02),(12 210971.08),(13 214872.73),(14 218572.77),(15 222319.52),(16 226613.11),(17 230352.05),(18 235090.11),(19 237837.56),(20 238717.81),(21 239843.61),(22 244828.73),(23 252534.92),(24 257362.63),(25 261857.33),(26 268318.44),(27 271379.63),(28 269569.28),(29 263728.66),(30 256966.25),(31 252730.83),(32 250437.31),(33 250307.75),(34 252238.98),(35 255819.9),(36 257162.11),(37 256828.1),(38 257891.52),(39 258742.78),(40 258939.56),(41 259263.36),(42 259052.5),(43 259869.11),(44 259321.86),(45 256760.69),(46 255204.73),(47 253735.45),(48 252044.45),(49 250156.94),(50 249750.73),(51 252748.6),(52 255303.56),(53 256923.45),(54 258592.77),(55 258176.94),(56 254621.13),(57 250130.2),(58 245797.03),(59 242039.8),(60 239546.77),(61 237679.95),(62 238639.72),(63 242142.94),(64 247208.78),(65 251642.11),(66 251880.33),(67 249284.8),(68 244941.03),(69 242609.28),(70 244380.94),(71 246869.27),(72 250553.23),(73 252696.92),(74 253079.02),(75 250110.63),(76 246195.38),(77 244889.2),(78 245250.45),(79 248311.55),
(1 29341.063),(2 80386.99),(3 123468.59),(4 152947.08),(5 167056.69),(6 171796.53),(7 177098.36),(8 183122.13),(9 191697.08),(10 204360.03),(11 214253.53),(12 217376.42),(13 219389.14),(14 219841.08),(15 219076.05),(16 220601.97),(17 223578.05),(18 228087.17),(19 233418.92),(20 236448.17),(21 240408.1),(22 243942.13),(23 247479.22),(24 248616.1),(25 253688.28),(26 259879.27),(27 262844.5),(28 261254.83),(29 254830.14),(30 246334.33),(31 239624.55),(32 238564.42),(33 241597.28),(34 247730.86),(35 251544.83),(36 252042.17),(37 250557.67),(38 249410.72),(39 248407.77),(40 249206.03),(41 250923.58),(42 250462.88),(43 248104.5),(44 245454.86),(45 242979.42),(46 241625.9),(47 241929.14),(48 242307.58),(49 243254),(50 243468.14),(51 244045.27),(52 245802.08),(53 247983.78),(54 246783.63),(55 247074.5),(56 246299.28),(57 244238.22),(58 242961.14),(59 241983.47),(60 242200.63),(61 245535.1),(62 250098.27),(63 253998.53),(64 257936.22),(65 259269.77),(66 255717.23),(67 252096.1),(68 251221.45),(69 247040.23),(70 247892.97),(71 248186.53),(72 247440.08),(73 246955.63),(74 247944.14),(75 246636.28),(76 245005.31),(77 246344.28),(78 248859.31),(79 252777.19),
(1 30024.59),(2 81485.75),(3 122568.12),(4 150759.42),(5 162238.11),(6 168884.25),(7 176607.4),(8 184210.56),(9 193746.02),(10 203651.94),(11 209124.13),(12 210878.36),(13 210266.23),(14 211527.16),(15 213393.1),(16 215672.2),(17 218772.61),(18 222951.11),(19 227990.86),(20 233680.98),(21 239570.13),(22 244082.38),(23 244422.63),(24 242930.95),(25 245593.1),(26 249092.89),(27 252357.94),(28 254439.17),(29 253754.38),(30 250871.8),(31 247097.17),(32 244541.64),(33 243494.92),(34 246526.3),(35 248062.56),(36 247539.89),(37 245159.03),(38 241869.28),(39 240077.03),(40 242452.47),(41 246543.45),(42 250197.44),(43 247192.06),(44 241152.77),(45 238571.28),(46 238682.55),(47 236968.42),(48 236201.34),(49 235788.34),(50 235827.16),(51 235530.72),(52 235178.4),(53 234314.53),(54 231929.17),(55 228653.72),(56 226189.31),(57 225206.28),(58 225963.58),(59 231906.05),(60 235881.05),(61 236628.48),(62 235588.48),(63 233652.25),(64 233487.02),(65 233151.28),(66 230678.17),(67 228726.17),(68 229955.23),(69 233125.39),(70 239053.14),(71 243927.28),(72 247242.66),(73 249623.38),(74 249624.69),(75 247436.98),(76 246567.17),(77 247738.69),(78 246439.45),(79 245619.64),
(1 29873.895),(2 80508.414),(3 119585.39),(4 143642.88),(5 146878.6),(6 146900.84),(7 151490.39),(8 162178.78),(9 174785.83),(10 183331.55),(11 184709.81),(12 183291.72),(13 181621.16),(14 183243.45),(15 187929.23),(16 194032.94),(17 197504.64),(18 198927.28),(19 200488),(20 202596.06),(21 207902.58),(22 214823.55),(23 220688.98),(24 223471.13),(25 225280.64),(26 225119.56),(27 223296.33),(28 220174.5),(29 217908.83),(30 218189.13),(31 218612.45),(32 215716.1),(33 212458.19),(34 212597.52),(35 215471.52),(36 218105.77),(37 218131.63),(38 217421.45),(39 218314.8),(40 220558.23),(41 225149.72),(42 229088.45),(43 230400.77),(44 230209.61),(45 228826),(46 227472.44),(47 226999.13),(48 225538.98),(49 223767.55),(50 223955.72),(51 225743.94),(52 228234.39),(53 229114.11),(54 227074.4),(55 225569.16),(56 225268.02),(57 225074.02),(58 225194.97),(59 222292.73),(60 218138.64),(61 213342.39),(62 209889.89),(63 207933.8),(64 207583.5),(65 208388.78),(66 209853.5),(67 211364.97),(68 211426.23),(69 219049.86),(70 224939.7),(71 231654.05),(72 236738.64),(73 237628.02),(74 238007.36),(75 240708.25),(76 243062.16),(77 243724.78),(78 246536.88),(79 246845.08),
(1 29311.256),(2 79828.54),(3 117897.94),(4 138417.25),(5 141575.6),(6 141960.13),(7 145663.58),(8 155082.3),(9 166296.39),(10 175526.84),(11 180341.84),(12 184563.47),(13 188463.77),(14 191193.31),(15 193311.36),(16 196575.25),(17 199649.55),(18 202408.11),(19 204501.83),(20 206070.3),(21 209003.9),(22 212819.98),(23 216260.39),(24 216822.27),(25 218871.64),(26 215220.92),(27 208871.31),(28 204236.44),(29 202188.58),(30 203186.75),(31 205801.72),(32 205073.67),(33 202035.67),(34 197510.3),(35 194985.88),(36 195719.47),(37 198076.45),(38 198921.83),(39 199859.05),(40 202512.56),(41 200701.14),(42 198751.94),(43 199051.33),(44 201754.53),(45 203288.52),(46 201661.44),(47 202710.1),(48 204307.47),(49 204730.5),(50 205678.27),(51 205699.02),(52 201803.78),(53 196727.9),(54 194506.27),(55 195003.47),(56 195158.19),(57 195730.23),(58 195488.47),(59 195314.63),(60 194898.9),(61 194857.7),(62 196940.92),(63 198649.56),(64 196734.63),(65 194242.56),(66 193888.61),(67 194914.9),(68 197936.22),(69 202455.1),(70 203965.3),(71 201976.92),(72 199120.05),(73 198381.67),(74 199556.88),(75 202084.73),(76 206266.98),(77 210338.95),(78 213395.77),(79 214905.44),
(1 27877.016),(2 74163.02),(3 111078.23),(4 134864.1),(5 141407.47),(6 142172.44),(7 144425.77),(8 150343.81),(9 160057.66),(10 171523.84),(11 179385.4),(12 185361.78),(13 190548.4),(14 193320.13),(15 196574.5),(16 199310.4),(17 201050.23),(18 204085.17),(19 205780.44),(20 206396.55),(21 207936.6),(22 210726.2),(23 215633.06),(24 220101.16),(25 220846.6),(26 216357.88),(27 208179),(28 202166.55),(29 201493.27),(30 204295.9),(31 207424.67),(32 207272.66),(33 204495.3),(34 201303),(35 198356.66),(36 198255.44),(37 199748.02),(38 201549.84),(39 202971.9),(40 203087.61),(41 201516.89),(42 198345.7),(43 196065.72),(44 196179.95),(45 197940.06),(46 200003.5),(47 199078.95),(48 198132.88),(49 197445.45),(50 196763.52),(51 196856),(52 197710.28),(53 198700.55),(54 199909.56),(55 201776.83),(56 205669.78),(57 209639.94),(58 211995.22),(59 214816.23),(60 214625.67),(61 214629.28),(62 214035.98),(63 214194.05),(64 213323.56),(65 212339.02),(66 211147.88),(67 209438.88),(68 209130.27),(69 210108.39),(70 210903.38),(71 210921.83),(72 210546.56),(73 210474.17),(74 211602.5),(75 210642),(76 207711.44),(77 204951.78),(78 206495.39),(79 209797.61),
(1 27672.28),(2 73552.125),(3 108242.79),(4 127409.93),(5 132456.44),(6 134355.72),(7 136469.64),(8 140759.1),(9 147831.5),(10 157898.19),(11 166414.47),(12 171520.4),(13 173900.02),(14 175310.2),(15 177482.69),(16 181076.44),(17 184029.28),(18 185960.97),(19 188209.7),(20 191272.83),(21 193269.69),(22 194896.02),(23 197784.3),(24 201157.98),(25 204221.86),(26 203826.19),(27 201525.89),(28 198655.16),(29 197251.17),(30 197971.88),(31 200846.77),(32 201208.9),(33 199891.38),(34 197981.98),(35 197543.22),(36 197240.53),(37 198172.25),(38 200075.88),(39 200778.83),(40 199984.95),(41 198216.34),(42 195641.14),(43 192106.8),(44 188394.48),(45 185831.53),(46 185808.11),(47 186503.52),(48 185775.03),(49 186260.83),(50 188182.92),(51 187308.6),(52 187459.17),(53 188521.39),(54 188626.6),(55 191699.28),(56 195243.86),(57 197936.84),(58 198903.7),(59 197891.98),(60 196433.7),(61 194650.92),(62 193060.05),(63 194494.25),(64 197648.13),(65 199223.92),(66 199277.81),(67 199467.4),(68 198069.14),(69 196934.83),(70 194899.75),(71 194824.28),(72 197544.77),(73 199323.05),(74 200644.34),(75 199716.02),(76 197526.23),(77 197878.5),(78 199328.38),(79 198582.69),
(1 25421.396),(2 66660.38),(3 96268.32),(4 115154.93),(5 121616.445),(6 126343.88),(7 132286.98),(8 136809.31),(9 141510.72),(10 145496.44),(11 149934.77),(12 156186.98),(13 162390.17),(14 164735.64),(15 167735.48),(16 171273.2),(17 175604),(18 181333.86),(19 187613.7),(20 191468.81),(21 192702.88),(22 193144.1),(23 193655.98),(24 193085.28),(25 191498.67),(26 191165.58),(27 191747.31),(28 191913.92),(29 191068.58),(30 190255.56),(31 190764.98),(32 190570.08),(33 189049.9),(34 187913.23),(35 186286.66),(36 185017.8),(37 184346.61),(38 183614.84),(39 183279.4),(40 181969.69),(41 180608.52),(42 178670.64),(43 176274.16),(44 176960.38),(45 179787.33),(46 181748.95),(47 182381.58),(48 183564.73),(49 182912.98),(50 181367.75),(51 181311.69),(52 180795.88),(53 179441.47),(54 178557.5),(55 179037.34),(56 180923.7),(57 183012.89),(58 185391.84),(59 186580.31),(60 187355.33),(61 186885.02),(62 189194.02),(63 191209.16),(64 191535.11),(65 190604.17),(66 188329.25),(67 186703.45),(68 187745.58),(69 189475.55),(70 191826.53),(71 194321.11),(72 197305.23),(73 199685.63),(74 200142.75),(75 198993.13),(76 198974.47),(77 200344.6),(78 200036.44),(79 196551.2),
(1 24288.914),(2 62215.05),(3 88933.2),(4 105200.9),(5 112427.09),(6 118354.9),(7 123624.79),(8 126777.99),(9 129609.24),(10 132128.28),(11 136980.47),(12 143890.69),(13 148619.95),(14 150537.98),(15 152900.02),(16 156628.81),(17 160476.48),(18 163467.16),(19 167218.33),(20 170812.63),(21 172234.66),(22 173850.78),(23 173041.25),(24 171075.53),(25 168544.06),(26 168359.13),(27 170955.14),(28 172126.45),(29 171185.28),(30 170501.63),(31 170243.4),(32 172195.02),(33 175224.45),(34 176011.89),(35 175915.14),(36 176124.78),(37 176832.55),(38 177838.6),(39 178210.45),(40 176751.88),(41 175782.86),(42 174216.52),(43 173353.22),(44 175504.53),(45 178001.8),(46 180053.67),(47 179868.84),(48 179631.89),(49 179868.86),(50 179470.84),(51 180204.66),(52 181049.53),(53 181775.11),(54 181880.61),(55 181053.88),(56 180124.02),(57 180815.53),(58 182908.61),(59 183368.48),(60 181607.45),(61 181027.13),(62 181722.2),(63 183334.58),(64 184686.08),(65 184807.69),(66 184043.78),(67 182327.58),(68 183986.55),(69 183551.06),(70 183634.53),(71 182949.39),(72 182817.94),(73 183025.94),(74 182995.05),(75 181787.78),(76 182664.61),(77 184012.89),(78 184594.13),(79 184974.4),
(1 23778.121),(2 61532.035),(3 89103.71),(4 105826.95),(5 113187.664),(6 119465.72),(7 125375.07),(8 131782.58),(9 136484.22),(10 139301.1),(11 142346.53),(12 145488.61),(13 149075.84),(14 153718.75),(15 159228.14),(16 163232.02),(17 166811.19),(18 170738.98),(19 175038.33),(20 178060.69),(21 178171.5),(22 178631.56),(23 179429.16),(24 176857.05),(25 173984.77),(26 174480.84),(27 175881.9),(28 177403.31),(29 177734.14),(30 176074.1),(31 174487.17),(32 173336.7),(33 174163.11),(34 175717.13),(35 176610.95),(36 176528.13),(37 175606.98),(38 174383.67),(39 173134.95),(40 172046.39),(41 170593.39),(42 168950.67),(43 169419.22),(44 171499.56),(45 171732),(46 171906.3),(47 171958),(48 172515.44),(49 172553.38),(50 173937.8),(51 173578.1),(52 172257.72),(53 173291.33),(54 175507.17),(55 177120.56),(56 176988.56),(57 177019.16),(58 176773.22),(59 178560.9),(60 181504.97),(61 185759.95),(62 188468.06),(63 189914.56),(64 190365.38),(65 188354.08),(66 185830.36),(67 186535.36),(68 189269.86),(69 191102.14),(70 194986.83),(71 197534.5),(72 195643.67),(73 192658.73),(74 191294.61),(75 191616.13),(76 193366.63),(77 198029.31),(78 201595.56),(79 202172.36),
(1 22760.287),(2 58423.754),(3 83581.62),(4 99075.29),(5 105890.79),(6 111220.695),(7 118393.64),(8 125936.98),(9 131411.36),(10 134221.23),(11 136304.13),(12 137247.16),(13 139129.58),(14 143240.72),(15 149178.22),(16 154874.45),(17 159594.84),(18 163711.78),(19 167990.5),(20 169270.73),(21 166819.66),(22 166465.13),(23 168131.34),(24 170112.61),(25 170848.23),(26 171311.64),(27 170463.8),(28 169635.48),(29 169057.64),(30 168849.61),(31 168010.66),(32 168057.88),(33 168625.33),(34 169115.05),(35 169839.34),(36 169458.77),(37 169003.34),(38 168747.34),(39 168593.06),(40 168269.06),(41 169770.14),(42 170654.02),(43 171809.58),(44 172046.45),(45 171725.31),(46 171349.03),(47 170002.6),(48 171368.36),(49 172481.45),(50 171597.36),(51 170219.25),(52 170916.17),(53 172609.75),(54 173398.2),(55 173030.61),(56 172120.17),(57 171718.81),(58 172710.75),(59 175433.06),(60 178454.45),(61 180170.05),(62 180260.1),(63 179331.42),(64 176931.06),(65 176709.06),(66 178071.61),(67 180203.72),(68 182325.86),(69 181854.81),(70 181055.77),(71 179534.98),(72 179049.33),(73 179226.16),(74 179987.77),(75 180278.45),(76 179901.31),(77 182355.9),(78 184652.42),(79 185098.45),
(1 22088.771),(2 56121.32),(3 79579.555),(4 94814.555),(5 102812.65),(6 109578.82),(7 116454.67),(8 122793.766),(9 128099.086),(10 132330.6),(11 135108.05),(12 136946.22),(13 137451.67),(14 138994.02),(15 142458.11),(16 146164.4),(17 149424.97),(18 151886.1),(19 154587.92),(20 156097.7),(21 155536.52),(22 155890.72),(23 156200.5),(24 156288.7),(25 159311.53),(26 160277.67),(27 157740.31),(28 155085.44),(29 155057.52),(30 156088.48),(31 157480.77),(32 158039.73),(33 156739.7),(34 156511.38),(35 158010.16),(36 158400.67),(37 158058.78),(38 157959.22),(39 157953.23),(40 157331.56),(41 158781),(42 158873.16),(43 157130.42),(44 155856.42),(45 155614.14),(46 155955.89),(47 155554.47),(48 158030.42),(49 159789.16),(50 159920.84),(51 161579.22),(52 165899.36),(53 170896.61),(54 174852.2),(55 177829.66),(56 178885.88),(57 179258.75),(58 180256.42),(59 179389.52),(60 179647.9),(61 180679.7),(62 182278.88),(63 181116.88),(64 179293.97),(65 177827.17),(66 176073.8),(67 174660.1),(68 175106.44),(69 177142.22),(70 177968.39),(71 178445.56),(72 178983.33),(73 178719.08),(74 176383.42),(75 173901.03),(76 172741.34),(77 171424.11),(78 171284.78),(79 170429.38),
(1 20756.635),(2 52518.09),(3 74258.36),(4 88486.11),(5 95167.63),(6 100710.09),(7 105234.44),(8 108623.84),(9 110668.41),(10 112064.03),(11 114003.984),(12 115786.984),(13 117278.56),(14 120761.64),(15 125839.76),(16 129687.31),(17 132234.47),(18 135385.34),(19 138546.86),(20 140288.33),(21 141699.77),(22 143432.72),(23 144663.86),(24 144897.81),(25 145645.72),(26 147009.88),(27 147314.88),(28 148680.67),(29 150416.23),(30 152881.48),(31 155309.05),(32 156651.1),(33 156253.05),(34 156184.44),(35 158063.97),(36 160136.48),(37 162069.92),(38 162496.22),(39 161782.31),(40 160618.13),(41 160452.03),(42 159587.61),(43 158921.89),(44 156228.11),(45 153025.9),(46 151131.16),(47 153198.6),(48 154491.48),(49 155258.98),(50 155816.1),(51 156643.34),(52 158076.6),(53 158461.92),(54 156908.48),(55 156379.67),(56 157885.05),(57 161018.97),(58 163101.5),(59 163439.48),(60 163885.72),(61 165483.7),(62 166039.66),(63 165444.36),(64 164893.22),(65 165976.23),(66 167167.69),(67 168882.31),(68 169770.42),(69 169753.33),(70 169608.11),(71 168898.7),(72 168017.72),(73 167051.05),(74 165358.56),(75 163971.33),(76 164076.97),(77 161450.39),(78 159964.75),(79 159733.6),
(1 20787.723),(2 51901.188),(3 74058.875),(4 87692.17),(5 94139.37),(6 100235.6),(7 106733.62),(8 112183.37),(9 117191.49),(10 122661.29),(11 126840.89),(12 128492.195),(13 130083.26),(14 133879.23),(15 139423.55),(16 143625.56),(17 145935.2),(18 147910.92),(19 147690.02),(20 146094.31),(21 145767.9),(22 147190.52),(23 149376.7),(24 149322.13),(25 148321.75),(26 149654.9),(27 150161.2),(28 148762.38),(29 147518.66),(30 148415.31),(31 151581.92),(32 152117.77),(33 151665.1),(34 152798.69),(35 155527.64),(36 157926.83),(37 159046.5),(38 158424.72),(39 157130.17),(40 156438.33),(41 155131.77),(42 154175.8),(43 152519.23),(44 151627.36),(45 151879.8),(46 154014.78),(47 155834.69),(48 157206.13),(49 155857.47),(50 154534.72),(51 155115.58),(52 153092.25),(53 151519.88),(54 151005.38),(55 150878.22),(56 151921.69),(57 154242.94),(58 156286.94),(59 157903),(60 158934.05),(61 159537.48),(62 159386.05),(63 158603.64),(64 158343.69),(65 158330.25),(66 158705.28),(67 158744.77),(68 159788.8),(69 160925.1),(70 162056.06),(71 162442.25),(72 161253.9),(73 161047.83),(74 162094.13),(75 162742.02),(76 162762.1),(77 164261),(78 163641.36),(79 162178.9),
(1 20174.867),(2 51293.297),(3 72957.77),(4 86262.016),(5 93487.38),(6 98884.734),(7 103457.06),(8 108374.375),(9 114125.04),(10 117644.49),(11 119437.7),(12 119175.79),(13 123085.09),(14 129362.37),(15 134466.94),(16 138111.39),(17 140878.52),(18 142738.63),(19 142260.78),(20 141571.16),(21 141925.27),(22 141745.67),(23 139659.75),(24 138806.84),(25 139222.17),(26 140547.22),(27 141831.88),(28 142678.98),(29 142904.75),(30 143236.89),(31 144029.84),(32 143214.45),(33 143045.02),(34 142690.55),(35 143053.23),(36 145209.33),(37 147057.33),(38 147525.78),(39 147175.61),(40 144910.77),(41 143132.03),(42 143574.25),(43 144136.67),(44 143615.77),(45 143159.92),(46 143397.78),(47 144365.13),(48 144112.97),(49 143930.02),(50 144236.56),(51 143200.86),(52 141423.48),(53 140947.17),(54 142847.56),(55 145641.4),(56 148876.23),(57 151745.94),(58 153517.78),(59 153984.33),(60 153761.77),(61 153068.78),(62 152908.9),(63 153921.5),(64 154943.47),(65 155904.3),(66 156175.17),(67 157566.33),(68 159644.3),(69 160117.16),(70 159862.39),(71 159046.7),(72 158042.64),(73 156737.33),(74 156178.22),(75 154885.55),(76 153621.7),(77 149982.27),(78 149065.66),(79 148612.9),
(1 20351.352),(2 50409.344),(3 71846.336),(4 85531.34),(5 92420.414),(6 96929.2),(7 100848.73),(8 104998.13),(9 108266.97),(10 110390.05),(11 113670.24),(12 117185.734),(13 122951.6),(14 127106.26),(15 130106.51),(16 131526.14),(17 131468.63),(18 132236.19),(19 132757.63),(20 134137.48),(21 135696.17),(22 136640.47),(23 135723.45),(24 135837.13),(25 136941.4),(26 137443.39),(27 137442),(28 137668.53),(29 137949.75),(30 140065.89),(31 142076.53),(32 141033.13),(33 141679.44),(34 141276.69),(35 141717.81),(36 142661.16),(37 143553.61),(38 144752.67),(39 144005.94),(40 142943.84),(41 143884.08),(42 146733.8),(43 148389.34),(44 146145.95),(45 143695.11),(46 142875.1),(47 142145.89),(48 142143.13),(49 142363.52),(50 143973.66),(51 144548.64),(52 143613.47),(53 141826.22),(54 141679.94),(55 144710.98),(56 147969.27),(57 150147.28),(58 151369.23),(59 150656.05),(60 149398.7),(61 149283.69),(62 150963.02),(63 152049.47),(64 151739.94),(65 151429.73),(66 151177.66),(67 150979.13),(68 150765.23),(69 149835.97),(70 151083.75),(71 152455.1),(72 152190.03),(73 152751.69),(74 154910.58),(75 155607.98),(76 154418.39),(77 152217.53),(78 150528.55),(79 149530.94),
(1 19854.117),(2 49717.445),(3 70194.06),(4 83808.68),(5 92010.71),(6 97963.875),(7 101433.72),(8 105285.78),(9 108789.234),(10 111653.95),(11 115348.016),(12 118700.01),(13 124452.37),(14 130720.32),(15 136753.64),(16 140649.17),(17 141080.69),(18 139849.45),(19 139798.4),(20 141309.81),(21 141892.69),(22 140912.77),(23 139027.67),(24 138851.2),(25 142169.33),(26 143485.6),(27 142256.84),(28 142638.27),(29 143661.73),(30 143271.75),(31 141462.52),(32 138327.5),(33 137011.13),(34 138058),(35 139457.5),(36 140189.88),(37 140294.28),(38 139482.58),(39 138810.25),(40 138151.48),(41 139957.9),(42 141596.44),(43 140841.64),(44 138670.16),(45 137486.8),(46 138678.06),(47 140001.56),(48 142150.89),(49 144308.47),(50 144414.44),(51 142400.38),(52 140304.73),(53 139437.03),(54 139901.05),(55 140073.13),(56 141792.53),(57 144435.03),(58 145209.3),(59 145179.28),(60 144297.03),(61 143922.61),(62 144698.5),(63 145471.8),(64 144039.69),(65 143614.06),(66 144782.42),(67 144658.53),(68 142595.56),(69 142245.4),(70 141546.81),(71 141685.84),(72 141648.5),(73 141906.08),(74 141756.38),(75 140783.84),(76 138980.44),(77 138760.66),(78 139145.17),(79 139609.81),
