1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 577.16925),(2 730.4998),(3 798.65295),(4 857.3446),(5 882.7048),(6 909.0495),(7 950.3483),(8 973.42126),(9 986.96796),(10 1032.9265),(11 1066.9017),(12 1087.617),(13 1136.9528),(14 1146.6394),(15 1173.9746),(16 1201.6493),(17 1201.8048),(18 1206.6621),(19 1244.154),(20 1236.5768),(21 1232.5773),(22 1248.9071),(23 1243.6044),(24 1240.6073),(25 1269.232),(26 1239.0087),(27 1234.6707),(28 1240.4225),(29 1196.1891),(30 1177.0588),(31 1169.2623),(32 1130.5774),(33 1109.1134),(34 1109.0862),(35 1084.7102),(36 1081.2726),(37 1094.1222),(38 1094.4218),(39 1120.6329),(40 1160.1914),(41 1172.0889),(42 1196.9451),(43 1242.1461),(44 1248.5953),(45 1265.5533),(46 1304.2224),(47 1270.3784),(48 1286.6515),(49 1275.388),(50 1266.5702),(51 1284.5099),(52 1264.8081),(53 1260.047),(54 1274.9608),(55 1253.3755),(56 1246.2721),(57 1255.3724),(58 1232.0918),(59 1214.9187),(60 1220.8549),(61 1201.2972),(62 1181.0472),(63 1219.5048),(64 1204.8838),(65 1198.6453),(66 1238.1709),(67 1241.9213),(68 1256.8832),(69 1293.1406),(70 1291.5823),(71 1300.054),(72 1290.1517),(73 1279.1493),(74 1275.974),(75 1295.6669),(76 1277.255),(77 1272.928),(78 1280.4375),(79 1271.5631),
(1 600.909),(2 757.80975),(3 827.47327),(4 898.8715),(5 912.35645),(6 934.57153),(7 962.0527),(8 974.8865),(9 994.5021),(10 1051.6604),(11 1082.9471),(12 1123.4061),(13 1178.2278),(14 1210.8098),(15 1243.8739),(16 1263.7925),(17 1255.5553),(18 1267.2325),(19 1291.8064),(20 1285.6721),(21 1281.0503),(22 1296.4866),(23 1285.8126),(24 1279.9164),(25 1289.0566),(26 1252.7004),(27 1250.7391),(28 1262.6559),(29 1225.0424),(30 1204.9203),(31 1203.8716),(32 1163.5952),(33 1140.3683),(34 1130.2397),(35 1108.5729),(36 1105.4208),(37 1123.0782),(38 1122.1901),(39 1148.3486),(40 1185.081),(41 1199.6345),(42 1226.4855),(43 1269.6158),(44 1267.8293),(45 1284.5876),(46 1312.4421),(47 1278.8413),(48 1295.9564),(49 1282.8854),(50 1270.6881),(51 1292.8607),(52 1282.4147),(53 1280.4622),(54 1284.8397),(55 1270.0488),(56 1263.2134),(57 1268.5243),(58 1239.8812),(59 1205.4363),(60 1201.1012),(61 1185.0822),(62 1173.5184),(63 1198.1642),(64 1190.0017),(65 1202.6279),(66 1237.2035),(67 1230.3129),(68 1254.1692),(69 1274.931),(70 1269.4164),(71 1282.5585),(72 1288.99),(73 1291.0671),(74 1293.8988),(75 1325.8754),(76 1300.0544),(77 1304.3835),(78 1303.1646),(79 1284.3789),
(1 581.58154),(2 737.0559),(3 790.9336),(4 836.3479),(5 859.2092),(6 891.1162),(7 931.92645),(8 936.3392),(9 975.73376),(10 1023.0884),(11 1049.08),(12 1084.8397),(13 1134.5665),(14 1158.2098),(15 1181.56),(16 1198.9387),(17 1184.5359),(18 1196.7905),(19 1228.5397),(20 1216.1244),(21 1211.4556),(22 1231.45),(23 1209.2448),(24 1199.9191),(25 1231.9427),(26 1188.2264),(27 1176.7322),(28 1181.1123),(29 1135.1504),(30 1125.9768),(31 1132.8102),(32 1097.043),(33 1079.4441),(34 1074.087),(35 1050.0208),(36 1047.5923),(37 1072.9232),(38 1057.9003),(39 1074.4393),(40 1106.1726),(41 1123.6451),(42 1144.4291),(43 1175.4507),(44 1178.6316),(45 1197.6819),(46 1237.3315),(47 1209.316),(48 1224.8903),(49 1198.375),(50 1195.6699),(51 1229.4014),(52 1218.1713),(53 1211.5981),(54 1236.4901),(55 1213.1091),(56 1210.0459),(57 1201.3477),(58 1176.2698),(59 1161.653),(60 1167.7821),(61 1143.3909),(62 1133.3062),(63 1153.4657),(64 1155.2882),(65 1149.0795),(66 1182.6134),(67 1168.7952),(68 1199.4032),(69 1228.217),(70 1214.7776),(71 1215.3793),(72 1224.3044),(73 1204.7526),(74 1199.8623),(75 1217.7816),(76 1202.0015),(77 1194.3503),(78 1187.5216),(79 1182.5693),
(1 577.52893),(2 724.68665),(3 777.0546),(4 830.17224),(5 854.0703),(6 869.10626),(7 908.9689),(8 924.68),(9 951.2963),(10 1006.90826),(11 1032.5438),(12 1061.17),(13 1112.5454),(14 1131.3035),(15 1144.2902),(16 1180.5898),(17 1183.3271),(18 1208.1553),(19 1244.5862),(20 1219.6187),(21 1205.1163),(22 1216.7828),(23 1213.209),(24 1202.2151),(25 1226.5184),(26 1189.9932),(27 1185.4703),(28 1187.6455),(29 1150.3252),(30 1129.7871),(31 1121.2949),(32 1081.2643),(33 1072.5217),(34 1071.6469),(35 1051.2427),(36 1054.2076),(37 1068.7996),(38 1047.4604),(39 1072.955),(40 1119.203),(41 1124.96),(42 1145.8088),(43 1170.186),(44 1178.2506),(45 1185.7744),(46 1232.4218),(47 1194.1643),(48 1209.0836),(49 1207.1687),(50 1205.1025),(51 1212.0498),(52 1206.1179),(53 1194.3201),(54 1213.263),(55 1192.5254),(56 1187.7034),(57 1184.3276),(58 1163.0555),(59 1159.5096),(60 1155.5287),(61 1131.633),(62 1116.3254),(63 1144.1533),(64 1136.45),(65 1147.9658),(66 1173.015),(67 1180.7827),(68 1210.0422),(69 1242.3727),(70 1238.687),(71 1258.8794),(72 1273.4098),(73 1255.7805),(74 1251.5752),(75 1262.1554),(76 1238.3308),(77 1229.8523),(78 1226.2278),(79 1213.5603),
(1 581.32587),(2 729.76154),(3 790.18646),(4 844.7846),(5 866.0484),(6 871.81616),(7 904.7288),(8 925.0311),(9 937.33167),(10 983.56006),(11 1005.68054),(12 1038.9144),(13 1097.3555),(14 1113.5493),(15 1126.0167),(16 1169.5763),(17 1160.0876),(18 1181.5344),(19 1210.2982),(20 1190.9652),(21 1203.2179),(22 1205.3092),(23 1193.7533),(24 1186.4023),(25 1185.9177),(26 1153.6736),(27 1151.0286),(28 1141.4713),(29 1105.1226),(30 1076.4852),(31 1069.5306),(32 1043.3749),(33 1036.6134),(34 1029.0731),(35 1016.3402),(36 1012.52924),(37 1038.1473),(38 1036.6954),(39 1065.4313),(40 1102.5859),(41 1115.1885),(42 1137.1831),(43 1171),(44 1172.6067),(45 1179.3771),(46 1207.5355),(47 1184.991),(48 1207.4692),(49 1201.6182),(50 1207.2488),(51 1234.4783),(52 1220.2316),(53 1219.0653),(54 1219.4137),(55 1193.6238),(56 1188.1213),(57 1189.492),(58 1167.8281),(59 1156.2097),(60 1159.667),(61 1127.9272),(62 1101.7322),(63 1130.4403),(64 1122.2437),(65 1130.3956),(66 1168.1334),(67 1159.5305),(68 1183.4398),(69 1232.8109),(70 1238.0271),(71 1238.3425),(72 1257.5988),(73 1242.2551),(74 1241.1785),(75 1254.7882),(76 1233.759),(77 1240.9004),(78 1244.9995),(79 1218.094),
(1 570.2014),(2 728.44464),(3 782.94916),(4 833.66425),(5 850.7466),(6 866.77277),(7 909.81995),(8 929.9951),(9 946.9119),(10 991.8769),(11 997.9599),(12 1027.587),(13 1066.9767),(14 1081.2974),(15 1098.6936),(16 1146.9984),(17 1136.779),(18 1143.3184),(19 1172.4081),(20 1160.5948),(21 1168.7539),(22 1182.1581),(23 1169.4252),(24 1164.5964),(25 1165.8536),(26 1131.525),(27 1129.3544),(28 1128.848),(29 1091.683),(30 1068.5033),(31 1078.4567),(32 1050.1514),(33 1034.2339),(34 1030.8827),(35 1015.34155),(36 1015.95435),(37 1043.5404),(38 1039.6709),(39 1064.5634),(40 1105.964),(41 1108.0145),(42 1142.0105),(43 1182.6333),(44 1179.1726),(45 1190.9928),(46 1224.6915),(47 1189.2562),(48 1203.2982),(49 1195.3239),(50 1195.89),(51 1225.6117),(52 1210.0149),(53 1194.1487),(54 1197.2708),(55 1173.9226),(56 1156.3643),(57 1163.4565),(58 1134.9669),(59 1119.2882),(60 1119.0074),(61 1110.8312),(62 1094.1993),(63 1116.9993),(64 1121.411),(65 1119.1093),(66 1148.8779),(67 1151.6805),(68 1173.4725),(69 1225.8469),(70 1219.1255),(71 1216.5616),(72 1239.7064),(73 1216.2219),(74 1212.9204),(75 1230.2367),(76 1207.1782),(77 1214.5092),(78 1228.1827),(79 1200.1675),
(1 567.4789),(2 720.92957),(3 773.03357),(4 834.9562),(5 860.4438),(6 887.1511),(7 937.0975),(8 963.26086),(9 965.2946),(10 1016.4088),(11 1021.5778),(12 1061.1813),(13 1104.3654),(14 1122.1808),(15 1145.1493),(16 1175.417),(17 1175.4392),(18 1190.4202),(19 1224.5182),(20 1220.4683),(21 1219.5314),(22 1224.9512),(23 1194.1858),(24 1185.8868),(25 1197.2992),(26 1166.3304),(27 1159.1216),(28 1162.2369),(29 1119.678),(30 1107.3318),(31 1106.451),(32 1070.4467),(33 1050.1901),(34 1053.0193),(35 1031.4083),(36 1027.7472),(37 1039.2354),(38 1040.6172),(39 1070.3868),(40 1111.7198),(41 1113.992),(42 1148.2601),(43 1185.6246),(44 1177.625),(45 1195.5739),(46 1247.7322),(47 1204.0116),(48 1221.0576),(49 1210.2682),(50 1209.1307),(51 1210.6746),(52 1190.8442),(53 1177.151),(54 1190.3219),(55 1168.7307),(56 1151.6925),(57 1155.5394),(58 1131.9391),(59 1117.314),(60 1117.7589),(61 1109.3712),(62 1101.6635),(63 1114.2708),(64 1107.7106),(65 1108.8905),(66 1152.526),(67 1147.2164),(68 1172.5751),(69 1209.3838),(70 1205.6758),(71 1206.274),(72 1224.0168),(73 1199.9818),(74 1195.8507),(75 1220.4694),(76 1200.4554),(77 1216.1074),(78 1219.0967),(79 1194.647),
(1 551.3642),(2 702.75433),(3 747.10144),(4 804.6464),(5 826.84235),(6 847.57916),(7 896.7649),(8 924.4892),(9 939.006),(10 987.4308),(11 987.7989),(12 1010.4213),(13 1054.8391),(14 1073.11),(15 1096.6907),(16 1134.3218),(17 1126.8516),(18 1139.3756),(19 1168.8582),(20 1155.1998),(21 1169.7827),(22 1178.0754),(23 1152.5339),(24 1151.9867),(25 1146.4034),(26 1118.8025),(27 1117.1688),(28 1116.6527),(29 1080.1489),(30 1067.6985),(31 1067.9174),(32 1028.9102),(33 1010.62085),(34 1016.2153),(35 1001.6641),(36 1002.60516),(37 1025.4619),(38 1011.3195),(39 1023.722),(40 1044.0371),(41 1049.4781),(42 1083.437),(43 1114.0066),(44 1098.8517),(45 1113.5044),(46 1158.6041),(47 1143.1527),(48 1153.4084),(49 1142.5646),(50 1143.4368),(51 1166.0415),(52 1151.2224),(53 1143.8458),(54 1154.883),(55 1129.9293),(56 1091.296),(57 1100.3121),(58 1094.9633),(59 1081.8102),(60 1092.519),(61 1068.9656),(62 1055.3076),(63 1079.1185),(64 1070.7979),(65 1077.7078),(66 1093.3254),(67 1100.8042),(68 1115.1943),(69 1158.1433),(70 1150.9519),(71 1135.8593),(72 1135.7427),(73 1124.6272),(74 1124.0027),(75 1153.3964),(76 1137.9132),(77 1139.6569),(78 1150.5553),(79 1141.9789),
(1 552.0903),(2 696.4455),(3 746.0841),(4 795.6087),(5 828.25555),(6 846.5461),(7 887.8824),(8 897.60596),(9 911.57794),(10 967.79126),(11 980.38226),(12 1014.526),(13 1068.6735),(14 1079.1589),(15 1117.0901),(16 1144.066),(17 1143.0911),(18 1157.3784),(19 1180.706),(20 1156.9958),(21 1152.4536),(22 1159.9617),(23 1140.9772),(24 1132.6278),(25 1139.2578),(26 1119.6604),(27 1116.9209),(28 1112.1567),(29 1081.704),(30 1067.1661),(31 1063.0363),(32 1028.4058),(33 1008.2075),(34 1014.2305),(35 989.5136),(36 986.60645),(37 1013.03894),(38 1015.2351),(39 1036.137),(40 1061.413),(41 1056.642),(42 1081.5894),(43 1109.0978),(44 1101.4633),(45 1126.8743),(46 1146.4912),(47 1128.0112),(48 1133.3676),(49 1129.4135),(50 1116.2751),(51 1140.8618),(52 1135.2672),(53 1133.8215),(54 1142.5154),(55 1128.4363),(56 1100.5005),(57 1113.6215),(58 1099.7307),(59 1097.5829),(60 1106.5186),(61 1079.2566),(62 1066.6849),(63 1096.2858),(64 1085.8457),(65 1084.9696),(66 1117.1161),(67 1121.1506),(68 1152.3438),(69 1186.7238),(70 1186.6942),(71 1169.5233),(72 1169.7345),(73 1167.1046),(74 1160.025),(75 1178.1127),(76 1159.6305),(77 1157.1797),(78 1167.8636),(79 1153.022),
(1 546.26575),(2 684.6769),(3 747.4291),(4 797.66205),(5 820.90717),(6 842.0465),(7 878.7624),(8 892.92834),(9 898.17957),(10 953.88104),(11 967.55945),(12 1004.40717),(13 1027.4236),(14 1046.2794),(15 1072.149),(16 1106.2754),(17 1103.5175),(18 1113.8606),(19 1148.6284),(20 1137.4384),(21 1137.3866),(22 1146.2635),(23 1130.7029),(24 1121.872),(25 1132.1222),(26 1103.7278),(27 1092.6969),(28 1104.5509),(29 1057.082),(30 1042.9781),(31 1041.1693),(32 1008.476),(33 995.6804),(34 996.9256),(35 965.1008),(36 969.2229),(37 989.7633),(38 988.46936),(39 1007.29626),(40 1027.3292),(41 1042.9851),(42 1052.8995),(43 1084.8826),(44 1079.295),(45 1105.477),(46 1141.8688),(47 1120.5599),(48 1132.1718),(49 1119.9791),(50 1116.5798),(51 1133.6493),(52 1131.4348),(53 1125.5599),(54 1146.415),(55 1130.0562),(56 1122.1041),(57 1124.9685),(58 1109.455),(59 1101.0319),(60 1105.7214),(61 1082.1676),(62 1068.2258),(63 1093.3202),(64 1090.0316),(65 1105.6956),(66 1133.8689),(67 1123.6718),(68 1133.6399),(69 1171.4774),(70 1160.2891),(71 1158.5709),(72 1164.6185),(73 1155.7092),(74 1154.3016),(75 1167.441),(76 1136.2517),(77 1134.2413),(78 1150.7231),(79 1130.0239),
(1 550.3272),(2 695.9448),(3 746.7686),(4 805.9838),(5 827.4922),(6 852.63965),(7 879.5158),(8 894.98804),(9 908.44116),(10 961.6109),(11 989.52075),(12 1012.7885),(13 1051.051),(14 1065.2745),(15 1091.8295),(16 1129.488),(17 1119.9973),(18 1122.7395),(19 1144.9415),(20 1149.0458),(21 1143.7587),(22 1146.3905),(23 1127.6381),(24 1115.8424),(25 1126.9955),(26 1099.5996),(27 1099.7794),(28 1105.952),(29 1058.1796),(30 1040.0881),(31 1031.0881),(32 999.10474),(33 984.2855),(34 987.27094),(35 962.7836),(36 963.7728),(37 985.2025),(38 987.6203),(39 1007.98944),(40 1033.6713),(41 1035.3618),(42 1057.7139),(43 1087.5275),(44 1086.9872),(45 1114.0847),(46 1140.404),(47 1117.7192),(48 1138.769),(49 1130.2671),(50 1130.5765),(51 1151.1025),(52 1133.975),(53 1138.1558),(54 1148.7268),(55 1132.259),(56 1115.3666),(57 1112.898),(58 1083.8596),(59 1069.8628),(60 1073.9303),(61 1051.2222),(62 1034.278),(63 1054.0745),(64 1052.845),(65 1071.1376),(66 1085.6102),(67 1084.8392),(68 1106.932),(69 1147.964),(70 1133.3511),(71 1144.0472),(72 1149.0997),(73 1139.0349),(74 1134.4309),(75 1155.0007),(76 1139.2667),(77 1140.6616),(78 1153.841),(79 1138.3948),
(1 551.33203),(2 706.202),(3 747.1616),(4 788.44836),(5 811.5806),(6 832.1181),(7 860.8128),(8 877.2129),(9 872.0919),(10 929.92615),(11 952.0135),(12 964.9414),(13 1006.9543),(14 1033.0405),(15 1042.3799),(16 1076.3025),(17 1065.7368),(18 1086.1217),(19 1101.5543),(20 1094.0151),(21 1092.8931),(22 1095.0676),(23 1067.4464),(24 1070.0973),(25 1086.4661),(26 1064.623),(27 1067.6185),(28 1072.2673),(29 1036.1122),(30 1024.608),(31 1017.08496),(32 975.3431),(33 962.14276),(34 969.5098),(35 949.1862),(36 946.3197),(37 964.102),(38 969.34656),(39 987.43335),(40 1015.7349),(41 1007.5751),(42 1020.9216),(43 1061.1567),(44 1063.6323),(45 1079.9675),(46 1110.5962),(47 1082.4664),(48 1096.8691),(49 1095.3391),(50 1099.9087),(51 1118.9451),(52 1094.2852),(53 1101.2402),(54 1111.688),(55 1096.0378),(56 1087.3191),(57 1094.2816),(58 1071.8044),(59 1052.753),(60 1057.1842),(61 1030.5231),(62 1025.0122),(63 1039.1965),(64 1030.7429),(65 1019.99133),(66 1039.1738),(67 1047.6602),(68 1065.3436),(69 1113.3192),(70 1105.2723),(71 1100.3789),(72 1111.9608),(73 1098.6998),(74 1099.1619),(75 1106.7357),(76 1096.231),(77 1099.0421),(78 1115.453),(79 1104.2775),
(1 546.0652),(2 694.27203),(3 740.36255),(4 769.0995),(5 791.17664),(6 798.6336),(7 836.05005),(8 850.1348),(9 856.63416),(10 901.9626),(11 915.6011),(12 935.96356),(13 980.7827),(14 997.9099),(15 1020.28644),(16 1060.8787),(17 1053.2002),(18 1075.8392),(19 1093.4067),(20 1074.9381),(21 1077.1515),(22 1083.1091),(23 1060.6093),(24 1064.2399),(25 1073.4948),(26 1047.9556),(27 1042.6686),(28 1043.0641),(29 1010.2026),(30 1008.7724),(31 994.21045),(32 959.20435),(33 949.3836),(34 958.0253),(35 940.56116),(36 934.77765),(37 944.91895),(38 945.24115),(39 972.6975),(40 1001.9818),(41 1001.82965),(42 1024.1078),(43 1070.3403),(44 1064.0765),(45 1071.9664),(46 1106.4224),(47 1097.7179),(48 1104.8743),(49 1100.8188),(50 1096.9207),(51 1116.1853),(52 1102.9586),(53 1099.0575),(54 1112.8154),(55 1089.2274),(56 1071.0381),(57 1071.1616),(58 1045.7772),(59 1034.7036),(60 1055.2142),(61 1040.6783),(62 1025.4534),(63 1048.8685),(64 1041.1779),(65 1047.657),(66 1067.9117),(67 1073.3625),(68 1089.6663),(69 1127.9877),(70 1131.6569),(71 1125.2292),(72 1142.9716),(73 1131.0594),(74 1133.333),(75 1150.1199),(76 1147.2385),(77 1155.1433),(78 1163.8126),(79 1146.9722),
(1 540.84357),(2 692.4412),(3 738.89923),(4 775.8658),(5 783.7377),(6 796.7831),(7 822.43384),(8 828.23566),(9 844.6945),(10 882.75616),(11 898.9127),(12 921.45276),(13 967.3409),(14 970.81085),(15 998.0437),(16 1042.0248),(17 1032.1189),(18 1060.905),(19 1081.0084),(20 1064.8341),(21 1066.0293),(22 1074.6827),(23 1051.8616),(24 1047.6909),(25 1062.5284),(26 1045.9902),(27 1044.6776),(28 1042.2198),(29 1007.40656),(30 1004.7458),(31 995.95166),(32 946.94507),(33 936.7985),(34 934.2486),(35 917.9777),(36 920.00916),(37 929.1634),(38 922.18396),(39 938.5946),(40 973.87823),(41 986.72095),(42 1015.5179),(43 1053.2327),(44 1047.1654),(45 1066.3933),(46 1103.2657),(47 1088.094),(48 1109.65),(49 1105.058),(50 1097.0723),(51 1109.9958),(52 1091.5201),(53 1093.331),(54 1117.0494),(55 1090.9276),(56 1071.8378),(57 1071.0975),(58 1052.9143),(59 1039.2692),(60 1037.4691),(61 1023.6349),(62 1016.67804),(63 1026.469),(64 1022.0464),(65 1040.673),(66 1064.4432),(67 1062.1002),(68 1083.8484),(69 1109.1497),(70 1108.2406),(71 1113.711),(72 1122.2401),(73 1096.9404),(74 1093.6904),(75 1106.234),(76 1093.8911),(77 1107.051),(78 1124.4803),(79 1099.4822),
(1 537.922),(2 686.80634),(3 731.9688),(4 771.9481),(5 784.0599),(6 807.39594),(7 836.80505),(8 841.3648),(9 861.8639),(10 896.5724),(11 924.3809),(12 954.02277),(13 1016.3188),(14 1013.5072),(15 1040.6049),(16 1073.8173),(17 1074.2025),(18 1095.7222),(19 1106.4602),(20 1089.7511),(21 1092.5775),(22 1098.5574),(23 1083.6287),(24 1080.8053),(25 1084.728),(26 1063.8617),(27 1053.4727),(28 1050.4636),(29 1025.2383),(30 1026.8796),(31 1032.957),(32 989.11945),(33 976.4274),(34 979.5),(35 956.2342),(36 962.2557),(37 978.84503),(38 965.14343),(39 973.6279),(40 1004.9873),(41 1014.75165),(42 1039.074),(43 1081.1123),(44 1079.5797),(45 1092.6057),(46 1120.5892),(47 1107.7108),(48 1099.0306),(49 1105.2483),(50 1092.4951),(51 1113.5962),(52 1102.1289),(53 1101.9207),(54 1119.1974),(55 1097.6233),(56 1077.2183),(57 1087.5521),(58 1068.9386),(59 1058.5834),(60 1054.4874),(61 1036.268),(62 1017.60645),(63 1032.5433),(64 1030.0624),(65 1037.1912),(66 1049.9568),(67 1052.7292),(68 1070.5894),(69 1107.4238),(70 1105.2767),(71 1111.8936),(72 1116.3396),(73 1101.8466),(74 1102.1688),(75 1117.5005),(76 1110.9958),(77 1117.5773),(78 1121.3729),(79 1089.5543),
(1 522.1986),(2 660.06555),(3 714.2474),(4 751.5015),(5 773.9935),(6 786.5635),(7 830.2588),(8 843.60205),(9 854.93176),(10 893.86383),(11 909.1937),(12 926.7595),(13 972.9661),(14 987.43823),(15 1010.8894),(16 1035.7386),(17 1026.56),(18 1049.5612),(19 1059.7233),(20 1046.4991),(21 1053.6549),(22 1061.5139),(23 1031.765),(24 1031.484),(25 1033.6569),(26 1008.59143),(27 1013.5287),(28 1013.62085),(29 987.0183),(30 978.5309),(31 975.336),(32 941.3343),(33 924.4449),(34 936.9914),(35 916.0908),(36 924.69574),(37 952.2055),(38 941.5846),(39 954.0227),(40 984.63745),(41 984.4557),(42 1004.10034),(43 1041.0831),(44 1044.5847),(45 1055.3842),(46 1090.4286),(47 1079.3599),(48 1090.4053),(49 1089.0848),(50 1081.8755),(51 1101.8661),(52 1082.0433),(53 1075.7166),(54 1085.2407),(55 1055.2667),(56 1048.2938),(57 1055.7842),(58 1039.4166),(59 1019.46155),(60 1023.0603),(61 1003.5878),(62 996.01416),(63 1020.68024),(64 1014.623),(65 1017.89124),(66 1036.1155),(67 1040.3767),(68 1056.3951),(69 1088.3763),(70 1081.9291),(71 1087.1492),(72 1099.161),(73 1089.2335),(74 1100.4347),(75 1108.6395),(76 1091.4701),(77 1100.1268),(78 1099.6144),(79 1088.4025),
(1 522.33954),(2 650.09125),(3 715.4714),(4 761.18756),(5 778.8886),(6 792.0146),(7 837.0208),(8 854.15717),(9 866.11383),(10 894.54205),(11 916.9373),(12 941.47437),(13 1001.75885),(14 1008.16174),(15 1029.6356),(16 1053.7988),(17 1050.0352),(18 1060.4788),(19 1083.3888),(20 1077.0593),(21 1078.3777),(22 1081.2539),(23 1058.1198),(24 1052.3783),(25 1050.8545),(26 1021.012),(27 1019.83514),(28 1020.09424),(29 989.1074),(30 977.69977),(31 975.2197),(32 934.9559),(33 914.0406),(34 919.7303),(35 894.46216),(36 891.62976),(37 911.8122),(38 913.1402),(39 929.94183),(40 968.35455),(41 963.50507),(42 986.8798),(43 1020.32697),(44 1020.4285),(45 1043.188),(46 1078.3171),(47 1061.1693),(48 1077.3401),(49 1074.6959),(50 1071.3966),(51 1089.8888),(52 1066.416),(53 1053.0115),(54 1070.0953),(55 1049.3538),(56 1048.0452),(57 1052.7843),(58 1034.576),(59 1010.35834),(60 1016.001),(61 998.65594),(62 999.0437),(63 1010.7384),(64 1004.38904),(65 1003.5794),(66 1018.6005),(67 1017.2482),(68 1036.594),(69 1068.3435),(70 1060.6873),(71 1058.5431),(72 1071.2804),(73 1054.1356),(74 1056.3333),(75 1055.7308),(76 1051.9304),(77 1062.2368),(78 1059.1594),(79 1046.4152),
