1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 201.804),(2 244.53958),(3 261.52316),(4 280.21866),(5 287.96216),(6 297.43903),(7 299.97635),(8 307.53784),(9 310.46454),(10 311.62787),(11 315.56995),(12 317.7363),(13 321.398),(14 319.9428),(15 322.24783),(16 322.34387),(17 319.03113),(18 317.0842),(19 314.0683),(20 315.55948),(21 315.73102),(22 313.98215),(23 315.1783),(24 312.61713),(25 314.90222),(26 315.08823),(27 314.37823),(28 317.18057),(29 317.00504),(30 317.64377),(31 318.06952),(32 315.73935),(33 318.41708),(34 316.57733),(35 319.19504),(36 318.5701),(37 317.55862),(38 317.8942),(39 322.25348),(40 319.12064),(41 318.6445),(42 327.47052),(43 322.5009),(44 326.23297),(45 326.3886),(46 327.1355),(47 330.29623),(48 330.53302),(49 335.49567),(50 335.14545),(51 330.84735),(52 334.60205),(53 330.7858),(54 331.40652),(55 328.8492),(56 328.22943),(57 333.08713),(58 330.32217),(59 326.93857),(60 324.15707),(61 324.66916),(62 324.2587),(63 318.5334),(64 321.73953),(65 319.53796),(66 320.95862),(67 317.62823),(68 318.00833),(69 315.77393),(70 315.82953),(71 318.48923),(72 321.8497),(73 319.59088),(74 317.91162),(75 321.74362),(76 319.62595),(77 325.34753),(78 322.46994),(79 325.3515),
(1 196.73611),(2 237.00072),(3 253.4592),(4 265.3492),(5 270.6184),(6 276.5198),(7 279.0895),(8 286.91412),(9 290.48993),(10 291.50693),(11 296.38287),(12 294.10455),(13 294.5849),(14 296.6033),(15 298.38586),(16 300.69302),(17 300.43173),(18 303.7517),(19 302.66528),(20 305.09146),(21 301.44135),(22 307.8781),(23 306.82373),(24 306.54996),(25 304.75232),(26 303.6472),(27 301.51617),(28 305.13617),(29 306.47055),(30 304.58087),(31 307.212),(32 306.84686),(33 304.81973),(34 310.3322),(35 308.46567),(36 307.8582),(37 305.6205),(38 305.93143),(39 306.22037),(40 310.6372),(41 304.87946),(42 307.88092),(43 304.83847),(44 309.71603),(45 308.71136),(46 313.47348),(47 315.59003),(48 316.60294),(49 318.95108),(50 319.4244),(51 318.2616),(52 315.63498),(53 311.40442),(54 312.6201),(55 313.783),(56 314.66623),(57 311.52594),(58 313.74747),(59 314.0116),(60 312.4794),(61 314.77954),(62 310.88306),(63 312.70572),(64 311.9871),(65 310.07462),(66 308.57565),(67 307.11078),(68 312.3915),(69 306.72745),(70 306.7453),(71 310.69492),(72 312.78406),(73 314.11288),(74 312.6769),(75 311.70856),(76 312.9324),(77 315.4697),(78 319.56653),(79 319.08295),
(1 199.99661),(2 238.75867),(3 256.369),(4 263.09747),(5 272.6072),(6 279.40082),(7 284.83093),(8 289.31915),(9 297.4),(10 296.23608),(11 300.4862),(12 302.4332),(13 300.27847),(14 297.25092),(15 294.5669),(16 296.8169),(17 299.0923),(18 294.50342),(19 300.12225),(20 299.5313),(21 299.21542),(22 302.8974),(23 302.8433),(24 303.4917),(25 306.00293),(26 304.61664),(27 304.7196),(28 304.65085),(29 305.88913),(30 308.34247),(31 307.15543),(32 305.87427),(33 304.1855),(34 308.09503),(35 307.74246),(36 304.2542),(37 308.54526),(38 310.13605),(39 311.83008),(40 313.7158),(41 310.36673),(42 315.22568),(43 316.45898),(44 312.90674),(45 306.9814),(46 313.2439),(47 312.36575),(48 313.63245),(49 313.744),(50 313.8683),(51 313.9366),(52 309.59314),(53 310.2977),(54 310.2215),(55 315.69226),(56 318.3885),(57 313.8066),(58 314.83334),(59 316.9165),(60 314.30212),(61 315.39755),(62 316.3762),(63 314.82034),(64 311.93362),(65 311.85898),(66 308.03674),(67 311.7888),(68 311.55862),(69 310.5182),(70 310.1013),(71 308.507),(72 309.96323),(73 308.4379),(74 305.94626),(75 309.65695),(76 311.97366),(77 311.18256),(78 310.5931),(79 316.49142),
(1 193.11615),(2 231.67763),(3 251.15025),(4 262.10788),(5 268.15442),(6 274.4649),(7 277.36493),(8 281.12332),(9 285.96936),(10 286.20328),(11 286.1756),(12 287.5735),(13 289.8277),(14 288.6899),(15 291.73755),(16 292.80124),(17 293.31876),(18 290.74307),(19 295.9279),(20 295.28506),(21 293.9459),(22 292.59036),(23 286.84906),(24 288.17627),(25 287.37018),(26 290.6149),(27 290.78165),(28 293.4823),(29 291.7405),(30 294.95068),(31 293.80432),(32 295.27026),(33 292.19608),(34 292.98447),(35 294.13425),(36 294.93506),(37 295.79013),(38 295.76172),(39 299.83377),(40 300.4051),(41 296.21472),(42 297.54977),(43 297.2583),(44 295.25223),(45 297.11218),(46 301.92932),(47 304.90485),(48 305.4044),(49 303.72717),(50 304.72208),(51 304.31018),(52 306.22525),(53 307.28366),(54 307.45923),(55 307.04346),(56 303.67242),(57 302.5279),(58 306.79507),(59 305.02313),(60 305.66464),(61 308.18155),(62 307.46982),(63 308.03674),(64 306.7918),(65 305.8801),(66 304.62842),(67 301.99683),(68 300.75598),(69 301.2434),(70 300.10104),(71 300.6353),(72 304.43643),(73 303.96915),(74 301.10873),(75 305.58325),(76 302.93073),(77 302.95447),(78 307.298),(79 302.18668),
(1 189.53186),(2 226.09215),(3 242.23453),(4 253.3378),(5 253.98024),(6 260.8865),(7 262.47446),(8 270.29413),(9 272.4916),(10 273.9378),(11 279.5915),(12 281.12366),(13 281.89618),(14 286.0697),(15 287.93118),(16 285.63815),(17 283.7545),(18 285.6867),(19 285.98743),(20 287.85138),(21 286.995),(22 289.52094),(23 288.52847),(24 288.86792),(25 286.6411),(26 287.44577),(27 289.60205),(28 290.86496),(29 290.2123),(30 292.9611),(31 292.17657),(32 290.70126),(33 291.61765),(34 288.5754),(35 288.39023),(36 290.91388),(37 291.7856),(38 292.1497),(39 289.65073),(40 292.08902),(41 289.55725),(42 297.5731),(43 292.29388),(44 291.34808),(45 294.98672),(46 299.34232),(47 302.7534),(48 303.84906),(49 304.54727),(50 302.54123),(51 304.61972),(52 302.77576),(53 306.51196),(54 304.86768),(55 304.73154),(56 302.60263),(57 303.49072),(58 304.68323),(59 301.73737),(60 299.47183),(61 301.5707),(62 301.37048),(63 299.4102),(64 294.00055),(65 294.4497),(66 297.69843),(67 294.36713),(68 293.34796),(69 295.79114),(70 296.52405),(71 296.2535),(72 298.84784),(73 297.0778),(74 292.21594),(75 295.71988),(76 298.4597),(77 296.66852),(78 297.91708),(79 297.8604),
(1 188.25743),(2 224.95085),(3 241.74997),(4 247.70952),(5 251.4066),(6 261.70657),(7 266.41138),(8 270.11023),(9 270.1274),(10 270.6414),(11 274.1356),(12 279.85028),(13 280.4171),(14 279.9655),(15 286.1125),(16 288.29242),(17 289.15927),(18 291.66046),(19 289.70676),(20 292.62225),(21 292.49442),(22 293.32736),(23 293.27628),(24 292.01602),(25 294.4103),(26 294.36218),(27 296.0276),(28 295.7763),(29 293.08575),(30 298.0808),(31 297.36517),(32 297.62662),(33 294.4483),(34 295.38596),(35 292.279),(36 292.72034),(37 288.19144),(38 290.28317),(39 290.83752),(40 290.25882),(41 288.34564),(42 292.6539),(43 289.7987),(44 291.33786),(45 286.4491),(46 286.29904),(47 288.78735),(48 288.60736),(49 290.7674),(50 289.2032),(51 292.1239),(52 293.5319),(53 293.30817),(54 293.29572),(55 294.6438),(56 293.96194),(57 292.6505),(58 291.08398),(59 293.3688),(60 290.09528),(61 290.24677),(62 291.85687),(63 291.13425),(64 288.52792),(65 289.35956),(66 291.06693),(67 288.04474),(68 286.2864),(69 292.35),(70 292.16385),(71 288.45538),(72 291.3803),(73 290.43466),(74 293.34784),(75 296.4101),(76 291.74063),(77 294.37268),(78 293.3877),(79 295.70663),
(1 186.91975),(2 218.08055),(3 234.55229),(4 240.59702),(5 247.7414),(6 250.40585),(7 255.20688),(8 258.89114),(9 264.52008),(10 266.4996),(11 271.5947),(12 274.11725),(13 274.5008),(14 270.12177),(15 271.1253),(16 274.64542),(17 278.09915),(18 278.33713),(19 277.25024),(20 275.15143),(21 274.97296),(22 278.56018),(23 277.8354),(24 276.90973),(25 279.33096),(26 279.94125),(27 282.3011),(28 281.64108),(29 285.30423),(30 281.12195),(31 282.53296),(32 285.81552),(33 284.78632),(34 285.18298),(35 282.69797),(36 281.62888),(37 282.69812),(38 284.94406),(39 283.4982),(40 283.48972),(41 284.24463),(42 286.56805),(43 286.56033),(44 289.2201),(45 286.55432),(46 284.60925),(47 287.98083),(48 287.40933),(49 291.58688),(50 291.8399),(51 289.04355),(52 288.91235),(53 288.361),(54 291.40125),(55 287.82642),(56 289.97607),(57 290.5893),(58 290.41364),(59 290.85806),(60 283.83868),(61 284.76154),(62 284.34406),(63 285.97528),(64 286.7985),(65 284.12448),(66 285.89688),(67 282.7299),(68 279.8785),(69 281.42496),(70 283.0637),(71 280.23898),(72 282.13913),(73 277.9125),(74 279.04163),(75 283.1082),(76 283.83206),(77 282.338),(78 283.72873),(79 282.4113),
(1 183.33675),(2 220.04861),(3 235.83797),(4 242.56798),(5 245.4958),(6 253.17111),(7 258.98825),(8 264.46732),(9 269.23105),(10 268.41324),(11 267.6253),(12 272.6269),(13 271.56168),(14 275.48163),(15 276.24078),(16 279.25244),(17 278.36713),(18 281.46017),(19 280.10342),(20 285.07828),(21 281.74344),(22 280.72833),(23 280.8604),(24 276.04752),(25 277.7892),(26 276.72324),(27 278.38226),(28 275.50977),(29 280.20673),(30 278.38998),(31 279.98285),(32 280.84586),(33 281.1396),(34 281.86734),(35 279.2277),(36 273.9666),(37 272.40073),(38 275.4248),(39 274.4529),(40 273.79865),(41 274.60526),(42 273.97455),(43 272.16464),(44 276.14676),(45 276.87558),(46 279.9747),(47 277.28015),(48 278.7883),(49 281.50745),(50 280.8544),(51 282.9366),(52 280.72598),(53 282.03827),(54 284.85654),(55 281.26886),(56 282.6129),(57 284.97968),(58 290.68204),(59 289.31186),(60 288.5563),(61 286.309),(62 286.458),(63 286.88974),(64 285.9973),(65 284.60162),(66 284.4188),(67 283.889),(68 283.35666),(69 282.46313),(70 282.99023),(71 288.79736),(72 290.3508),(73 290.93414),(74 290.92206),(75 294.0022),(76 295.09915),(77 299.0904),(78 299.43408),(79 298.80795),
(1 177.45538),(2 212.13004),(3 226.33087),(4 234.40271),(5 242.18419),(6 244.2708),(7 250.74016),(8 253.38788),(9 258.427),(10 258.243),(11 258.9912),(12 261.8725),(13 265.60037),(14 263.86356),(15 263.79626),(16 269.87915),(17 268.43655),(18 272.44415),(19 272.25726),(20 271.8805),(21 269.83438),(22 268.30136),(23 268.61673),(24 266.47327),(25 270.23642),(26 264.32132),(27 269.47168),(28 267.85632),(29 265.6278),(30 266.65683),(31 268.20306),(32 270.52524),(33 269.22696),(34 266.88934),(35 268.00888),(36 265.606),(37 268.46805),(38 266.5318),(39 268.42804),(40 273.19614),(41 272.60275),(42 273.15796),(43 268.6651),(44 272.3926),(45 270.75104),(46 271.73557),(47 271.43195),(48 271.25336),(49 277.26367),(50 280.07727),(51 285.43536),(52 278.9326),(53 282.3725),(54 283.8172),(55 281.64474),(56 280.3279),(57 279.63785),(58 282.4526),(59 281.64908),(60 281.82272),(61 281.11646),(62 280.072),(63 284.91962),(64 283.56192),(65 281.86618),(66 283.57327),(67 280.92017),(68 282.43948),(69 282.70026),(70 280.9023),(71 280.4877),(72 281.6376),(73 278.42923),(74 279.06952),(75 279.8122),(76 282.32117),(77 279.92743),(78 278.98212),(79 279.8402),
(1 178.51627),(2 211.78943),(3 227.2298),(4 234.52335),(5 241.96939),(6 248.01463),(7 248.94379),(8 252.78548),(9 259.61008),(10 259.62634),(11 260.3419),(12 263.05725),(13 259.83624),(14 261.22897),(15 262.61435),(16 265.52078),(17 266.362),(18 265.23755),(19 264.03708),(20 267.07343),(21 266.26935),(22 266.16687),(23 264.9495),(24 264.36566),(25 264.91446),(26 264.21002),(27 263.67337),(28 265.3869),(29 267.99844),(30 268.003),(31 269.08148),(32 269.84155),(33 272.82486),(34 269.6489),(35 268.82794),(36 267.34625),(37 267.46545),(38 269.50427),(39 269.91708),(40 271.04816),(41 269.25848),(42 268.3115),(43 270.14835),(44 269.87222),(45 269.517),(46 272.40796),(47 271.75555),(48 269.31247),(49 273.62704),(50 271.55527),(51 273.01144),(52 271.3081),(53 270.42163),(54 269.87396),(55 271.58624),(56 273.01895),(57 268.3028),(58 271.06058),(59 273.16483),(60 272.72745),(61 271.97333),(62 271.91733),(63 274.02985),(64 271.8919),(65 272.1628),(66 274.29837),(67 271.17804),(68 272.59326),(69 273.04697),(70 270.65012),(71 268.377),(72 270.4069),(73 271.93765),(74 274.22372),(75 275.54956),(76 278.38376),(77 281.07376),(78 280.2493),(79 280.63397),
(1 175.74805),(2 206.24957),(3 223.8325),(4 234.60616),(5 241.11038),(6 240.67194),(7 249.34343),(8 252.2705),(9 258.2317),(10 257.0799),(11 257.00623),(12 260.0302),(13 263.12427),(14 262.122),(15 265.19757),(16 264.03424),(17 267.91214),(18 270.94684),(19 269.92804),(20 271.6984),(21 269.75357),(22 271.0956),(23 271.8641),(24 269.91653),(25 266.95306),(26 263.2521),(27 268.051),(28 267.34805),(29 267.6282),(30 263.863),(31 264.73874),(32 267.4469),(33 266.66165),(34 265.327),(35 264.32065),(36 263.31146),(37 263.5258),(38 263.92398),(39 263.35162),(40 263.79065),(41 261.82596),(42 262.2532),(43 260.59027),(44 260.63303),(45 260.54086),(46 258.96515),(47 257.2754),(48 261.62112),(49 265.07672),(50 263.99246),(51 265.07898),(52 261.31836),(53 258.43936),(54 263.3894),(55 263.19696),(56 262.99023),(57 263.79358),(58 264.8504),(59 265.97568),(60 265.45822),(61 265.62872),(62 265.85406),(63 265.50815),(64 267.6285),(65 267.1382),(66 270.46964),(67 267.36093),(68 271.49643),(69 272.4267),(70 274.0259),(71 273.1881),(72 269.2037),(73 267.114),(74 268.06952),(75 276.60434),(76 273.5156),(77 276.97498),(78 277.33173),(79 276.93903),
(1 176.46858),(2 203.98361),(3 222.33397),(4 231.4052),(5 235.75525),(6 239.47246),(7 241.31511),(8 244.75288),(9 246.76718),(10 249.1879),(11 249.50835),(12 250.91385),(13 251.57997),(14 254.07115),(15 255.69444),(16 260.30054),(17 257.11533),(18 260.28583),(19 260.3015),(20 258.86197),(21 259.57776),(22 260.7255),(23 259.5346),(24 260.42184),(25 262.6521),(26 260.49948),(27 264.74545),(28 264.06622),(29 262.7652),(30 263.04013),(31 261.61487),(32 263.82715),(33 265.3769),(34 264.67422),(35 263.9948),(36 263.51636),(37 262.2388),(38 262.65497),(39 260.59573),(40 260.3878),(41 262.62036),(42 261.53442),(43 257.70108),(44 260.4853),(45 264.2049),(46 265.68127),(47 261.63858),(48 262.92676),(49 264.15628),(50 262.75177),(51 265.92624),(52 265.39536),(53 267.0653),(54 269.04303),(55 268.0248),(56 271.45746),(57 272.58496),(58 270.47348),(59 272.78198),(60 272.05853),(61 272.63135),(62 272.51495),(63 270.89612),(64 267.77127),(65 270.39487),(66 269.41174),(67 266.65753),(68 269.7192),(69 270.68637),(70 271.70972),(71 273.87402),(72 269.15598),(73 269.86404),(74 271.21844),(75 270.40738),(76 265.10965),(77 268.29053),(78 264.2524),(79 264.6492),
(1 171.37804),(2 200.09229),(3 214.7879),(4 221.32396),(5 228.63007),(6 234.14365),(7 235.4874),(8 243.18274),(9 249.47847),(10 249.44556),(11 250.00816),(12 251.68857),(13 253.18091),(14 253.5662),(15 251.35141),(16 255.88062),(17 254.63004),(18 254.53336),(19 252.8477),(20 254.73273),(21 253.50557),(22 252.71413),(23 251.04678),(24 249.91939),(25 253.095),(26 251.99818),(27 250.97484),(28 253.62079),(29 254.02963),(30 255.8849),(31 256.27155),(32 255.01552),(33 254.61877),(34 255.30992),(35 256.0383),(36 255.29956),(37 257.54306),(38 257.88376),(39 254.31087),(40 255.37021),(41 252.10681),(42 253.6679),(43 255.19193),(44 255.97635),(45 258.20663),(46 257.14688),(47 256.9987),(48 257.63132),(49 258.44656),(50 258.00198),(51 258.1009),(52 257.6626),(53 259.0346),(54 260.7325),(55 262.11063),(56 260.82523),(57 259.51526),(58 258.40698),(59 253.98679),(60 256.49695),(61 261.59457),(62 261.47614),(63 260.4141),(64 259.0471),(65 259.48514),(66 256.10397),(67 255.05249),(68 256.67117),(69 259.52628),(70 260.01727),(71 256.85104),(72 259.81152),(73 257.47678),(74 260.34247),(75 262.19418),(76 261.79556),(77 268.8356),(78 264.92575),(79 267.87485),
(1 164.9124),(2 192.71176),(3 205.14105),(4 215.57684),(5 222.51947),(6 228.95944),(7 230.95042),(8 235.37576),(9 237.57256),(10 235.5074),(11 236.64189),(12 242.31726),(13 242.6649),(14 244.6741),(15 244.51271),(16 245.52136),(17 245.11449),(18 245.24419),(19 243.70189),(20 246.07384),(21 246.65001),(22 243.57266),(23 242.15126),(24 244.08977),(25 245.15382),(26 245.57774),(27 246.5312),(28 245.96703),(29 248.29803),(30 251.37193),(31 252.27203),(32 253.16472),(33 252.22717),(34 254.32538),(35 251.51367),(36 249.05313),(37 249.20538),(38 248.54836),(39 248.87683),(40 247.95467),(41 247.03757),(42 247.86545),(43 243.75252),(44 243.52502),(45 247.65509),(46 248.71935),(47 247.71887),(48 250.91483),(49 248.9825),(50 251.11508),(51 250.73813),(52 253.45674),(53 252.64116),(54 254.92487),(55 256.6805),(56 260.19913),(57 255.76503),(58 254.07722),(59 255.3819),(60 255.05759),(61 255.10318),(62 254.23071),(63 252.6253),(64 254.63812),(65 253.75131),(66 254.41444),(67 250.76765),(68 252.09644),(69 248.77536),(70 249.34612),(71 250.04231),(72 251.35559),(73 250.46173),(74 251.70752),(75 249.45776),(76 249.78163),(77 253.16708),(78 251.41545),(79 248.79599),
(1 163.81241),(2 190.64014),(3 203.95291),(4 212.93863),(5 214.66847),(6 220.81294),(7 222.30626),(8 228.29063),(9 232.47272),(10 235.33932),(11 239.6483),(12 238.3358),(13 239.0395),(14 241.80511),(15 244.26015),(16 247.11568),(17 249.33694),(18 247.49652),(19 248.8498),(20 248.35568),(21 245.65573),(22 246.59715),(23 247.33694),(24 248.5144),(25 247.48164),(26 244.2402),(27 248.44333),(28 249.76816),(29 254.6766),(30 252.86041),(31 252.16364),(32 253.49036),(33 252.08861),(34 251.96095),(35 252.37527),(36 249.62257),(37 250.29254),(38 250.1237),(39 249.83894),(40 251.05217),(41 250.40526),(42 251.82724),(43 250.46988),(44 250.39104),(45 252.85379),(46 252.85027),(47 252.82924),(48 252.13554),(49 253.07375),(50 253.40094),(51 255.55652),(52 254.39973),(53 253.05168),(54 252.81725),(55 254.35399),(56 257.8959),(57 256.6635),(58 258.29666),(59 256.56693),(60 256.0288),(61 258.48373),(62 259.3347),(63 257.37915),(64 256.55624),(65 258.5741),(66 255.59813),(67 253.15988),(68 254.2085),(69 253.97102),(70 253.54219),(71 255.63141),(72 254.05055),(73 255.15144),(74 252.82),(75 256.14743),(76 256.0429),(77 255.3481),(78 256.0149),(79 257.06555),
(1 160.008),(2 188.88678),(3 199.63997),(4 204.21402),(5 210.20517),(6 215.16188),(7 220.6116),(8 223.51198),(9 222.60812),(10 221.58417),(11 224.66414),(12 229.26828),(13 232.56592),(14 235.94798),(15 238.16154),(16 238.32848),(17 238.23517),(18 240.21207),(19 237.9595),(20 238.54553),(21 234.55469),(22 235.95158),(23 233.10707),(24 238.4339),(25 237.54799),(26 237.38219),(27 240.77992),(28 238.1712),(29 239.21939),(30 236.71973),(31 236.21979),(32 239.49811),(33 236.9576),(34 234.34702),(35 236.58623),(36 235.34676),(37 237.82965),(38 238.39862),(39 237.94612),(40 236.64227),(41 235.25793),(42 237.44012),(43 238.1662),(44 235.81535),(45 239.07544),(46 241.14955),(47 241.3752),(48 238.54378),(49 242.42062),(50 243.07465),(51 244.04648),(52 242.60236),(53 240.51657),(54 243.05457),(55 241.74277),(56 245.81415),(57 244.73378),(58 247.71304),(59 243.07288),(60 242.82475),(61 245.35323),(62 244.14952),(63 246.97661),(64 244.79338),(65 246.92134),(66 247.0069),(67 245.5043),(68 246.90907),(69 246.88217),(70 248.94275),(71 248.7465),(72 249.30081),(73 248.20947),(74 247.93071),(75 247.61708),(76 247.50726),(77 243.5493),(78 246.83405),(79 243.41893),
(1 159.55579),(2 186.128),(3 198.95679),(4 206.80923),(5 209.82921),(6 215.5957),(7 217.86911),(8 222.43129),(9 225.93942),(10 226.26132),(11 228.525),(12 231.37392),(13 231.98265),(14 231.83725),(15 236.11153),(16 238.54472),(17 239.75504),(18 239.16727),(19 237.9522),(20 237.38588),(21 235.58495),(22 235.62291),(23 232.215),(24 236.10995),(25 232.39014),(26 232.86958),(27 234.61563),(28 234.7318),(29 237.93222),(30 235.64674),(31 233.79172),(32 237.3034),(33 235.71176),(34 233.3172),(35 237.63896),(36 238.31715),(37 239.03767),(38 241.91692),(39 241.45915),(40 240.78186),(41 239.33179),(42 242.46886),(43 241.30894),(44 241.7637),(45 242.69215),(46 241.08379),(47 241.29253),(48 243.72151),(49 243.97525),(50 244.36305),(51 246.65724),(52 242.87401),(53 242.1343),(54 242.17776),(55 243.07462),(56 242.64247),(57 242.88121),(58 245.75812),(59 244.80197),(60 243.01863),(61 241.87492),(62 241.8571),(63 241.30083),(64 241.6484),(65 242.47096),(66 240.70056),(67 243.26181),(68 243.17235),(69 241.98074),(70 242.01234),(71 241.20526),(72 239.21683),(73 241.33717),(74 240.30882),(75 244.26335),(76 243.90067),(77 242.6133),(78 244.21889),(79 245.59277),
(1 156.3179),(2 181.05342),(3 193.66025),(4 200.16362),(5 205.18034),(6 210.91118),(7 212.49084),(8 216.76813),(9 217.83429),(10 221.41652),(11 224.2612),(12 224.65813),(13 227.40121),(14 228.94614),(15 231.8825),(16 235.95934),(17 235.49472),(18 232.96397),(19 233.9647),(20 232.52434),(21 231.27644),(22 230.31796),(23 231.88843),(24 231.08443),(25 230.72473),(26 233.2603),(27 233.19371),(28 231.76044),(29 233.86089),(30 235.29651),(31 231.66557),(32 232.38365),(33 232.18445),(34 234.00012),(35 232.48166),(36 235.0628),(37 234.25879),(38 232.9103),(39 233.58615),(40 230.31334),(41 237.68022),(42 233.87889),(43 235.72449),(44 233.1838),(45 234.99948),(46 237.43608),(47 236.97795),(48 235.09496),(49 234.51186),(50 235.47931),(51 234.54604),(52 236.14995),(53 237.02141),(54 236.72905),(55 237.68002),(56 239.8191),(57 237.18814),(58 237.4834),(59 240.83351),(60 237.9413),(61 236.94983),(62 238.4868),(63 236.0396),(64 235.8911),(65 237.7992),(66 237.02374),(67 237.33655),(68 234.98892),(69 234.9848),(70 234.8932),(71 239.27582),(72 240.22568),(73 241.66226),(74 238.29082),(75 239.665),(76 239.56682),(77 241.6253),(78 244.70053),(79 239.19882),
(1 152.34143),(2 179.00595),(3 189.22446),(4 197.6324),(5 200.34448),(6 205.01056),(7 208.82285),(8 209.28598),(9 210.92882),(10 213.62405),(11 216.78587),(12 218.55345),(13 220.19464),(14 224.88547),(15 222.86621),(16 223.82167),(17 221.08435),(18 223.89883),(19 222.69865),(20 226.57265),(21 222.64877),(22 222.60541),(23 220.30717),(24 221.83937),(25 222.38998),(26 223.70221),(27 226.88634),(28 226.45837),(29 227.25078),(30 227.56357),(31 226.25879),(32 224.31326),(33 225.97838),(34 225.86789),(35 221.26625),(36 224.62242),(37 226.58176),(38 228.73029),(39 229.0046),(40 228.90677),(41 229.62276),(42 229.50272),(43 229.07024),(44 230.59221),(45 231.1174),(46 230.05508),(47 232.4695),(48 230.7624),(49 231.79065),(50 230.47871),(51 232.0267),(52 232.0949),(53 232.27643),(54 232.46367),(55 227.78287),(56 232.00983),(57 231.23744),(58 230.6427),(59 229.33847),(60 229.09773),(61 228.47052),(62 232.68088),(63 230.22705),(64 231.91634),(65 230.52048),(66 229.49669),(67 229.28421),(68 229.73854),(69 228.02054),(70 230.47856),(71 231.14842),(72 232.4821),(73 229.20584),(74 230.69019),(75 231.58737),(76 230.8069),(77 229.57687),(78 231.24872),(79 231.90286),
