1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 800.24805),(2 1179.5776),(3 1472.4366),(4 1632.39),(5 1841.4207),(6 1988.0588),(7 2083.4272),(8 2273.109),(9 2388.4233),(10 2489.1724),(11 2554.1738),(12 2639.1238),(13 2737.1948),(14 2757.461),(15 2799.4727),(16 2841.1653),(17 2861.289),(18 2875.0415),(19 2907.6682),(20 2942.135),(21 2951.3877),(22 2977.094),(23 3013.5808),(24 3002.441),(25 3019.6382),(26 3034.6182),(27 3076.3213),(28 3100.3918),(29 3122.0928),(30 3144.186),(31 3168.4478),(32 3196.0698),(33 3178.5798),(34 3189.5938),(35 3203.2114),(36 3222.3323),(37 3225.0505),(38 3296.2334),(39 3318.468),(40 3309.3403),(41 3307.6653),(42 3307.4905),(43 3327.2393),(44 3316.2275),(45 3348.9084),(46 3376.7966),(47 3402.028),(48 3387.353),(49 3365.028),(50 3365.332),(51 3366.599),(52 3369.8047),(53 3417.01),(54 3415.1836),(55 3423.1318),(56 3431.9417),(57 3453.5278),(58 3493.91),(59 3503.5527),(60 3479.013),(61 3507.1792),(62 3508.9854),(63 3515.801),(64 3537.48),(65 3546.759),(66 3544.069),(67 3562.8127),(68 3623.688),(69 3642.825),(70 3663.7021),(71 3728.7725),(72 3755.1077),(73 3769.523),(74 3792.6257),(75 3814.263),(76 3850.9202),(77 3880.6118),(78 3907.4275),(79 3938.3936),
(1 805.9097),(2 1167.6907),(3 1450.8228),(4 1594.719),(5 1816.6993),(6 1946.1272),(7 2032.3608),(8 2213.7485),(9 2332.1907),(10 2422.4465),(11 2506.742),(12 2591.5483),(13 2682.8696),(14 2682.1501),(15 2724.2754),(16 2766.3347),(17 2796.471),(18 2834.3572),(19 2873.3342),(20 2916.8213),(21 2929.9102),(22 2978.1826),(23 3042.8064),(24 3041.5293),(25 3066.5786),(26 3074.722),(27 3085.7402),(28 3119.1492),(29 3123.1782),(30 3130.7239),(31 3124.478),(32 3156.7668),(33 3128.4958),(34 3149.7283),(35 3171.79),(36 3195.5823),(37 3189.0117),(38 3268.9526),(39 3310.9326),(40 3317.508),(41 3314.4028),(42 3332.0498),(43 3356.097),(44 3328.4595),(45 3335.4731),(46 3355.0022),(47 3371.7231),(48 3380.5024),(49 3350.1123),(50 3340.0388),(51 3363.2595),(52 3371.236),(53 3410.828),(54 3399.9692),(55 3431.8127),(56 3433.0857),(57 3442.421),(58 3450.8372),(59 3452.2021),(60 3457.3618),(61 3479.257),(62 3484.6414),(63 3484.7148),(64 3498.8489),(65 3506.527),(66 3494.7778),(67 3484.5032),(68 3526.4128),(69 3537.6653),(70 3571.4294),(71 3612.667),(72 3633.759),(73 3656.5415),(74 3676.5222),(75 3723.4177),(76 3752.1135),(77 3759.8298),(78 3795.84),(79 3833.9612),
(1 780.1035),(2 1147.7015),(3 1429.0791),(4 1593.6698),(5 1784.3093),(6 1892.7334),(7 1980.2137),(8 2175.2197),(9 2280.0474),(10 2396.8682),(11 2455.0408),(12 2518.7798),(13 2592.9473),(14 2632.0325),(15 2661.3804),(16 2689.9055),(17 2715.1792),(18 2750.3523),(19 2799.6228),(20 2854.8916),(21 2874.9336),(22 2909.224),(23 2980.6423),(24 2988.09),(25 3023.0981),(26 3027.9912),(27 3043.4778),(28 3074.3894),(29 3096.37),(30 3108.5093),(31 3102.8955),(32 3126.9932),(33 3132.3765),(34 3154.9417),(35 3155.486),(36 3194.0754),(37 3166.749),(38 3193.668),(39 3208.2117),(40 3182.577),(41 3164.4695),(42 3171.7869),(43 3181.7883),(44 3169.474),(45 3189.234),(46 3218.3208),(47 3215.4758),(48 3210.2173),(49 3186.2014),(50 3195.0662),(51 3192.5234),(52 3206.1638),(53 3244.0889),(54 3262.902),(55 3283.4436),(56 3291.451),(57 3306.5867),(58 3305.4873),(59 3305.7075),(60 3286.1084),(61 3290.5076),(62 3317.4995),(63 3317.9795),(64 3328.3264),(65 3311.3628),(66 3298.9075),(67 3309.6765),(68 3342.924),(69 3358.5593),(70 3391.9548),(71 3439.3923),(72 3463.7795),(73 3493.4963),(74 3514.487),(75 3553.9019),(76 3585.2615),(77 3599.6157),(78 3604.7585),(79 3644.152),
(1 769.86237),(2 1136.452),(3 1414.7133),(4 1560.1097),(5 1753.097),(6 1891.9833),(7 1976.9442),(8 2136.002),(9 2249.9956),(10 2335.3496),(11 2419.6228),(12 2507.7407),(13 2576.218),(14 2606.604),(15 2647.8),(16 2693.431),(17 2718.4463),(18 2746.3923),(19 2792.8047),(20 2837.9624),(21 2837.7878),(22 2899.4473),(23 2983.7148),(24 2991.4238),(25 3015.846),(26 3014.2454),(27 3047.9548),(28 3063.1958),(29 3064.2415),(30 3058.824),(31 3047.556),(32 3078.944),(33 3058.2224),(34 3081.4504),(35 3095.9583),(36 3126.0762),(37 3120.1384),(38 3189.1436),(39 3223.8123),(40 3200.0237),(41 3201.7668),(42 3218.045),(43 3226.1096),(44 3209.407),(45 3234.332),(46 3256.1145),(47 3269.9236),(48 3264.4575),(49 3249.8618),(50 3258.6614),(51 3277.1997),(52 3303.9158),(53 3330.3184),(54 3340.1165),(55 3362.0645),(56 3369.2234),(57 3405.064),(58 3400.7498),(59 3401.6973),(60 3388.9255),(61 3411.822),(62 3411.9053),(63 3409.1814),(64 3428.4915),(65 3431.9104),(66 3423.5164),(67 3427.3047),(68 3467.2307),(69 3499.3538),(70 3538.0762),(71 3582.6365),(72 3603.2822),(73 3637.2246),(74 3661.4902),(75 3701.3906),(76 3743.1953),(77 3764.5442),(78 3763.924),(79 3805.3904),
(1 754.69635),(2 1113.2566),(3 1397.9008),(4 1550.6405),(5 1733.5479),(6 1845.7058),(7 1940.7485),(8 2098.692),(9 2214.3342),(10 2279.4219),(11 2332.6863),(12 2416.606),(13 2491.8274),(14 2491.7073),(15 2530.6357),(16 2579.4978),(17 2603.7048),(18 2634.4883),(19 2667.9617),(20 2690.6367),(21 2684.0222),(22 2739.4753),(23 2789.2495),(24 2764.9326),(25 2795.5344),(26 2810.1804),(27 2859.1304),(28 2873.7893),(29 2900.9075),(30 2905.2659),(31 2913.6873),(32 2935.2444),(33 2938.4424),(34 2961.9558),(35 2963.552),(36 3003.6338),(37 2994.4878),(38 3047.224),(39 3064.5437),(40 3037.509),(41 3022.5054),(42 3047.2043),(43 3049.4976),(44 3029.7468),(45 3050.5479),(46 3073.2966),(47 3089.7844),(48 3089.7495),(49 3083.8176),(50 3103.572),(51 3127.0232),(52 3132.8625),(53 3166.2915),(54 3174.889),(55 3184.7375),(56 3183.8545),(57 3222.7134),(58 3245.9487),(59 3263.9814),(60 3228.5894),(61 3254.2058),(62 3246.4668),(63 3247.4612),(64 3280.247),(65 3314.465),(66 3323.8186),(67 3367.8928),(68 3434.7432),(69 3494.3074),(70 3551.7566),(71 3570.2615),(72 3598.391),(73 3636.9304),(74 3663.9717),(75 3708.6863),(76 3736.4136),(77 3783.02),(78 3808.0796),(79 3848.2263),
(1 755.05524),(2 1103.082),(3 1378.2258),(4 1530.7682),(5 1713.648),(6 1850.2274),(7 1930.8792),(8 2081.0056),(9 2186.4907),(10 2265.3582),(11 2311.8105),(12 2395.7378),(13 2476.5254),(14 2509.43),(15 2570.2893),(16 2621.6794),(17 2612.7341),(18 2660.403),(19 2701.2922),(20 2735.1816),(21 2744.5435),(22 2809.5886),(23 2866.804),(24 2860.699),(25 2899.3977),(26 2907.305),(27 2919.724),(28 2935.7732),(29 2958.5193),(30 2992.5264),(31 3002.4104),(32 3049.326),(33 3036.0674),(34 3060.8643),(35 3067.428),(36 3072.595),(37 3052.7373),(38 3112.4736),(39 3118.4136),(40 3083.443),(41 3060.0283),(42 3076.549),(43 3066.8416),(44 3055.9053),(45 3079.4905),(46 3100.0618),(47 3124.5144),(48 3109.9521),(49 3110.1143),(50 3126.8687),(51 3141.4646),(52 3148.2673),(53 3202.4805),(54 3202.9),(55 3244.8738),(56 3235.8184),(57 3260.509),(58 3295.628),(59 3291.0408),(60 3254.782),(61 3256.5632),(62 3242.1204),(63 3225.4402),(64 3224.597),(65 3240.7441),(66 3251.116),(67 3243.0288),(68 3287.378),(69 3304.8816),(70 3343.5632),(71 3370.0347),(72 3399.6965),(73 3453.1248),(74 3486.717),(75 3516.2856),(76 3544.7632),(77 3570.0396),(78 3602.9092),(79 3632.4663),
(1 761.8967),(2 1110.7852),(3 1377.1158),(4 1530.5812),(5 1725.6763),(6 1857.3878),(7 1947.8707),(8 2106.364),(9 2197.2373),(10 2275.7402),(11 2327.934),(12 2396.2588),(13 2477.6926),(14 2491.4248),(15 2527.6743),(16 2555.0793),(17 2579.0347),(18 2614.8923),(19 2654.4167),(20 2692.2432),(21 2710.1294),(22 2755.8357),(23 2792.2705),(24 2775.0767),(25 2776.8267),(26 2795.1995),(27 2824.4497),(28 2810.441),(29 2834.7131),(30 2844.3962),(31 2857.0327),(32 2874.607),(33 2880.94),(34 2889.6458),(35 2918.7676),(36 2952.7913),(37 2966.063),(38 3009.0903),(39 3036.6501),(40 3022.9546),(41 3019.3936),(42 3042.0776),(43 3067.445),(44 3056.5933),(45 3073.3196),(46 3098.2974),(47 3101.03),(48 3091.378),(49 3072.888),(50 3072.7136),(51 3075.4924),(52 3090.594),(53 3130.1008),(54 3103.84),(55 3105.403),(56 3132.8774),(57 3156.8003),(58 3210.1865),(59 3215.3008),(60 3193.1455),(61 3213.018),(62 3236.1235),(63 3245.2805),(64 3252.6575),(65 3281.0017),(66 3301.9092),(67 3308.3235),(68 3335.0486),(69 3352.3235),(70 3377.4685),(71 3413.7104),(72 3440.681),(73 3486.9336),(74 3517.7495),(75 3543.9727),(76 3582.2817),(77 3616.2458),(78 3636.995),(79 3662.6733),
(1 748.0818),(2 1094.2358),(3 1359.4176),(4 1505.0583),(5 1698.2518),(6 1816.6409),(7 1893.808),(8 2032.5033),(9 2130.6636),(10 2201.2832),(11 2254.5417),(12 2333.8928),(13 2395.9392),(14 2408.4949),(15 2447.4128),(16 2485.5718),(17 2503.3672),(18 2513.7988),(19 2563.8372),(20 2588.5803),(21 2604.1624),(22 2673.8757),(23 2728.5396),(24 2724.8394),(25 2743.363),(26 2763.034),(27 2792.9524),(28 2786.3416),(29 2777.2476),(30 2782.5586),(31 2777.09),(32 2820.3079),(33 2800.6355),(34 2824.572),(35 2847.9604),(36 2873.5803),(37 2873.26),(38 2934.761),(39 2966.9224),(40 2949.884),(41 2966.775),(42 2979.46),(43 2998.4214),(44 2977.9905),(45 3005.4063),(46 3038.8882),(47 3054.8193),(48 3034.8655),(49 3004.5588),(50 3005.708),(51 3011.8435),(52 3010.0574),(53 3041.5942),(54 3046.5413),(55 3046.8616),(56 3049.3738),(57 3063.4304),(58 3094.892),(59 3089.514),(60 3065.2922),(61 3088.4897),(62 3095.1575),(63 3111.8716),(64 3128.016),(65 3145.0637),(66 3161.3389),(67 3165.3804),(68 3191.253),(69 3215.4512),(70 3233.508),(71 3287.7163),(72 3326.1648),(73 3360.3674),(74 3381.4155),(75 3428.1409),(76 3452.3052),(77 3488.6523),(78 3517.2751),(79 3533.0085),
(1 732.76373),(2 1073.5807),(3 1330.726),(4 1477.7338),(5 1671.013),(6 1802.2151),(7 1886.5784),(8 2026.3569),(9 2123.7935),(10 2179.6438),(11 2230.5989),(12 2279.1807),(13 2342.1274),(14 2348.2039),(15 2387.4175),(16 2421.0835),(17 2414.64),(18 2445.4949),(19 2470.4727),(20 2509.9463),(21 2512.8376),(22 2575.7622),(23 2663.4075),(24 2669.9226),(25 2713.7532),(26 2732.8088),(27 2753.3909),(28 2762.2786),(29 2759.0862),(30 2773.8472),(31 2784.5283),(32 2816.7363),(33 2812.0835),(34 2825.8416),(35 2846.455),(36 2879.0205),(37 2878.7893),(38 2940.8704),(39 2983.3228),(40 2982.5405),(41 2987.9602),(42 3000.0461),(43 3017.1968),(44 3017.563),(45 3032.3274),(46 3047.1458),(47 3059.08),(48 3031.616),(49 3001.7168),(50 3002.8833),(51 3030.3274),(52 3032.9924),(53 3070.427),(54 3079.0957),(55 3074.5576),(56 3064.6816),(57 3070.7336),(58 3108.0356),(59 3098.4128),(60 3055.7651),(61 3079.8157),(62 3082.5894),(63 3110.3132),(64 3130.726),(65 3135.2168),(66 3143.163),(67 3155.1611),(68 3190.6304),(69 3232.5085),(70 3263.5955),(71 3309.1772),(72 3365.095),(73 3400.6965),(74 3417.0054),(75 3443.3784),(76 3475.5315),(77 3492.9604),(78 3515.8809),(79 3537.3572),
(1 722.80396),(2 1052.4253),(3 1301.5662),(4 1455.833),(5 1647.3995),(6 1743.3258),(7 1830.1833),(8 1991.6),(9 2082.9934),(10 2152.142),(11 2212.723),(12 2291.1167),(13 2347.763),(14 2345.7053),(15 2357.1182),(16 2377.3975),(17 2384.4106),(18 2413.371),(19 2454.0244),(20 2485.3),(21 2517.9697),(22 2563.9783),(23 2638.0833),(24 2653.1958),(25 2679.257),(26 2672.899),(27 2687.771),(28 2688.2097),(29 2700.0376),(30 2721.9275),(31 2711.3633),(32 2741.062),(33 2750.0505),(34 2768.5251),(35 2781.5867),(36 2817.7673),(37 2816.497),(38 2856.9282),(39 2884.4202),(40 2881.6584),(41 2892.277),(42 2911.1016),(43 2926.387),(44 2912.4543),(45 2927.192),(46 2954.6538),(47 2974.1616),(48 2975.764),(49 2965.8232),(50 2965.6992),(51 2985.8826),(52 3000.159),(53 3010.7754),(54 3002.5803),(55 2994.3909),(56 2990.3396),(57 2982.3232),(58 3014.8933),(59 2997.4912),(60 2980.547),(61 2986.4048),(62 2983.5261),(63 3000.733),(64 2994.828),(65 3004.163),(66 3021.5088),(67 3043.873),(68 3085.372),(69 3103.2642),(70 3138.2288),(71 3170.8945),(72 3216.055),(73 3248.3015),(74 3266.0564),(75 3304.8535),(76 3359.763),(77 3397.1772),(78 3439.4438),(79 3467.2163),
(1 717.82574),(2 1024.4159),(3 1259.0541),(4 1377.6023),(5 1553.2458),(6 1655.6483),(7 1739.776),(8 1886.1768),(9 1988.6862),(10 2032.4619),(11 2083.3987),(12 2158.687),(13 2207.7341),(14 2217.867),(15 2256.865),(16 2283.0847),(17 2309.6624),(18 2326.9421),(19 2365.1372),(20 2394.0818),(21 2402.369),(22 2461.3176),(23 2515.8652),(24 2528.4543),(25 2535.9275),(26 2563.9348),(27 2599.545),(28 2600.128),(29 2606.3296),(30 2611.1472),(31 2608.0986),(32 2636.7092),(33 2646.1045),(34 2676.3218),(35 2685.5352),(36 2718.263),(37 2699.6577),(38 2768.862),(39 2777.187),(40 2758.145),(41 2770.3496),(42 2770.1494),(43 2788.8386),(44 2757.716),(45 2763.7256),(46 2783.9524),(47 2785.4478),(48 2771.7175),(49 2755.3691),(50 2747.2307),(51 2772.155),(52 2784.5027),(53 2799.4114),(54 2798.5505),(55 2792.8943),(56 2779.4683),(57 2781.338),(58 2805.682),(59 2785.9524),(60 2787.2004),(61 2797.0605),(62 2800.7605),(63 2827.7925),(64 2835.698),(65 2836.3198),(66 2855.7766),(67 2867.3557),(68 2915.0044),(69 2927.2964),(70 2958.8127),(71 2996.962),(72 3022.6387),(73 3042.6257),(74 3060.0544),(75 3091.1602),(76 3119.8533),(77 3157.8914),(78 3185.609),(79 3203.5002),
(1 709.78296),(2 1029.6565),(3 1266.6157),(4 1384.8292),(5 1564.6614),(6 1672.3949),(7 1757.3634),(8 1897.7701),(9 1997.6902),(10 2048.037),(11 2097.17),(12 2176.8354),(13 2225.5964),(14 2261.4006),(15 2280.5789),(16 2309.5647),(17 2321.6843),(18 2364.2598),(19 2402.216),(20 2431.071),(21 2466.2585),(22 2531.9653),(23 2573.0144),(24 2556.976),(25 2578.647),(26 2594.6392),(27 2625.933),(28 2630.211),(29 2646.2942),(30 2657.1477),(31 2669.2983),(32 2710.6528),(33 2699.8757),(34 2720.4167),(35 2745.5745),(36 2756.4),(37 2754.5178),(38 2834.8145),(39 2847.3274),(40 2857.7239),(41 2874.8396),(42 2878.4504),(43 2902.339),(44 2919.1514),(45 2949.9702),(46 2992.8435),(47 2998.931),(48 2993.8333),(49 2979.8164),(50 2989.7986),(51 3019.1377),(52 3021.1414),(53 3025.9785),(54 3009.5315),(55 3003.0642),(56 2996.0635),(57 2999.3975),(58 3015.9233),(59 3012.7695),(60 2988.9097),(61 3000.9192),(62 3023.791),(63 3052.4377),(64 3074.5964),(65 3069.9775),(66 3082.894),(67 3079.284),(68 3132.6685),(69 3150.2124),(70 3177.771),(71 3213.808),(72 3240.8403),(73 3266.1619),(74 3290.3108),(75 3318.921),(76 3341.188),(77 3364.865),(78 3382.4902),(79 3422.8152),
(1 696.63763),(2 1014.4715),(3 1254.0544),(4 1379.6764),(5 1544.3798),(6 1666.8567),(7 1751.4512),(8 1892.2667),(9 1985.8972),(10 2049.0647),(11 2082.0444),(12 2148.404),(13 2191.4424),(14 2212.6736),(15 2243.5244),(16 2275.5747),(17 2312.2292),(18 2326.352),(19 2369.7578),(20 2406.7927),(21 2412.8267),(22 2447.3174),(23 2505.4092),(24 2492.7268),(25 2524.7134),(26 2533.4536),(27 2562.0872),(28 2591.501),(29 2598.4285),(30 2613.127),(31 2625.8567),(32 2653.9395),(33 2654.6257),(34 2651.8318),(35 2673.5474),(36 2707.9497),(37 2705.6606),(38 2785.2537),(39 2835.7976),(40 2861.521),(41 2857.5522),(42 2894.898),(43 2920.0393),(44 2907.7302),(45 2925.3225),(46 2966.635),(47 2999.751),(48 2983.4783),(49 2979.3247),(50 2996.5593),(51 2985.4783),(52 2999.1946),(53 3037.1035),(54 3031.5261),(55 3029.6523),(56 3020.1865),(57 3005.0674),(58 3012.731),(59 2992.9937),(60 2966.0469),(61 2959.9133),(62 2952.3423),(63 2973.6147),(64 2978.4565),(65 2966.8176),(66 2964.6873),(67 2969.0107),(68 3016.1824),(69 3037.4788),(70 3074.8665),(71 3107.124),(72 3134.3196),(73 3146.3704),(74 3172.0354),(75 3199.3167),(76 3213.9333),(77 3242.3413),(78 3268.9944),(79 3290.7585),
(1 696.1639),(2 994.5573),(3 1238.8677),(4 1357.4623),(5 1531.6554),(6 1630.3912),(7 1692.4829),(8 1840.4296),(9 1931.7008),(10 1987.3643),(11 2041.5901),(12 2121.4597),(13 2190.368),(14 2194.7957),(15 2202.3887),(16 2246.2383),(17 2258.0823),(18 2263.5784),(19 2298.8665),(20 2328.1265),(21 2330.8943),(22 2374.1414),(23 2443.137),(24 2458.0793),(25 2487.9038),(26 2510.2004),(27 2527.312),(28 2537.7517),(29 2553.7024),(30 2561.3286),(31 2579.9465),(32 2627.9102),(33 2621.02),(34 2623.3367),(35 2640.8364),(36 2674.1956),(37 2661.954),(38 2699.3875),(39 2735.826),(40 2735.9841),(41 2747.2961),(42 2763.5374),(43 2767.3792),(44 2771.0295),(45 2784.0586),(46 2800.7878),(47 2800.2761),(48 2778.4482),(49 2762.8264),(50 2763.4182),(51 2782.285),(52 2785.2083),(53 2828.6665),(54 2830.2798),(55 2837.0212),(56 2851.9624),(57 2854.9263),(58 2878.7288),(59 2875.4275),(60 2857.7874),(61 2859.7097),(62 2854.138),(63 2851.658),(64 2848.3093),(65 2843.7495),(66 2836.1555),(67 2855.4907),(68 2881.0273),(69 2891.146),(70 2927.007),(71 2967.4956),(72 2994.6597),(73 3035.8506),(74 3058.5847),(75 3101.1223),(76 3132.0781),(77 3175.806),(78 3197.9653),(79 3218.494),
(1 694.67365),(2 997.55707),(3 1246.7257),(4 1376.1299),(5 1542.1404),(6 1648.3275),(7 1720.4067),(8 1872.8066),(9 1965.7405),(10 2033.8193),(11 2103.0342),(12 2188.0242),(13 2249.8645),(14 2270.044),(15 2318.4207),(16 2358.4402),(17 2388.5952),(18 2408.2659),(19 2444.5857),(20 2461.7478),(21 2473.937),(22 2500.4497),(23 2567.9456),(24 2565.681),(25 2577.9844),(26 2584.0867),(27 2595.7686),(28 2614.038),(29 2610.5447),(30 2612.3965),(31 2624.808),(32 2666.362),(33 2632.6948),(34 2640.1858),(35 2648.1433),(36 2661.9685),(37 2633.5037),(38 2675.388),(39 2685.4277),(40 2666.8186),(41 2670.875),(42 2687.1052),(43 2674.64),(44 2645.898),(45 2656.2231),(46 2679.908),(47 2696.3916),(48 2689.8237),(49 2678.6152),(50 2687.28),(51 2709.5476),(52 2691.595),(53 2721.8066),(54 2739.9263),(55 2753.7185),(56 2756.9204),(57 2782.0598),(58 2793.1953),(59 2787.581),(60 2769.033),(61 2796.9968),(62 2813.3296),(63 2854.347),(64 2868.0684),(65 2903.472),(66 2921.1711),(67 2951.2908),(68 3001.6108),(69 3047.3835),(70 3103.562),(71 3140.2021),(72 3174.2317),(73 3223.1328),(74 3249.5662),(75 3280.717),(76 3307.9373),(77 3346.3855),(78 3377.9094),(79 3389.8699),
(1 683.2742),(2 989.7834),(3 1218.638),(4 1346.788),(5 1512.3143),(6 1610.4618),(7 1681.766),(8 1806.6725),(9 1894.5922),(10 1936.2701),(11 1987.9586),(12 2047.6978),(13 2111.0313),(14 2124.2617),(15 2172.1272),(16 2201.5208),(17 2223.0513),(18 2240.8645),(19 2272.0603),(20 2302.7568),(21 2310.8818),(22 2373.445),(23 2423.1733),(24 2430.784),(25 2456.609),(26 2472.022),(27 2491.6057),(28 2521.2363),(29 2536.3716),(30 2535.2754),(31 2556.716),(32 2596.8403),(33 2566.9802),(34 2559.1726),(35 2578.6687),(36 2602.3772),(37 2592.107),(38 2626.641),(39 2634.8228),(40 2625.6611),(41 2622.8325),(42 2629.4893),(43 2633.1125),(44 2613.0378),(45 2621.4702),(46 2629.0693),(47 2618.152),(48 2603.3965),(49 2590.822),(50 2595.4365),(51 2628.962),(52 2614.5913),(53 2644.6096),(54 2641.7593),(55 2641.907),(56 2649.5947),(57 2666.2146),(58 2682.1794),(59 2685.508),(60 2687.559),(61 2700.922),(62 2711.1533),(63 2726.2842),(64 2740.2058),(65 2763.741),(66 2778.8865),(67 2782.9316),(68 2833.841),(69 2878.531),(70 2936.0308),(71 2998.927),(72 3036.7559),(73 3078.3547),(74 3101.9424),(75 3129.5237),(76 3163.1821),(77 3194.1726),(78 3218.7107),(79 3251.634),
(1 676.0975),(2 974.1876),(3 1202.185),(4 1326.4188),(5 1486.5948),(6 1591.6088),(7 1670.9465),(8 1778.9163),(9 1874.4131),(10 1924.7949),(11 1982.8357),(12 2057.295),(13 2133.084),(14 2148.1382),(15 2182.475),(16 2217.2183),(17 2227.3965),(18 2265.7888),(19 2300.1946),(20 2322.3723),(21 2333.6245),(22 2348.6995),(23 2396.8276),(24 2388.125),(25 2401.1536),(26 2412.3572),(27 2427.6624),(28 2449.1628),(29 2480.4492),(30 2477.0513),(31 2479.345),(32 2487.6333),(33 2483.9211),(34 2470.8406),(35 2464.3887),(36 2481.2744),(37 2486.4656),(38 2525.5972),(39 2531.524),(40 2534.1992),(41 2522.4805),(42 2545.0535),(43 2566.449),(44 2553.3765),(45 2563.6177),(46 2578.1638),(47 2606.0745),(48 2588.9807),(49 2581.8074),(50 2591.8862),(51 2621.2603),(52 2617.292),(53 2639.4324),(54 2633.171),(55 2631.311),(56 2618.9385),(57 2621.257),(58 2635.0767),(59 2646.453),(60 2633.3433),(61 2645.7295),(62 2658.3838),(63 2682.5828),(64 2714.7476),(65 2724.8513),(66 2758.4111),(67 2768.863),(68 2802.711),(69 2828.346),(70 2862.88),(71 2888.4824),(72 2916.0293),(73 2929.6572),(74 2942.2354),(75 2976.661),(76 2990.7778),(77 2996.7578),(78 3029.8726),(79 3060.2527),
