1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 39028.914),(2 121003.16),(3 264738.9),(4 429604),(5 633931),(6 899382.25),(7 1218565.1),(8 1611940.6),(9 2096732),(10 2628411.5),(11 3186801),(12 3759258.8),(13 4352810),(14 4968274.5),(15 5589322.5),(16 6207584),(17 6834548),(18 7426617.5),(19 7997282.5),(20 8568913),(21 9117367),(22 9631307),(23 10119024),(24 10565209),(25 10956207),(26 11352017),(27 11670745),(28 11980909),(29 12174731),(30 12297479),(31 12302971),(32 12268823),(33 12200071),(34 12157467),(35 12135315),(36 12129564),(37 12117491),(38 12142437),(39 12160731),(40 12227164),(41 12280072),(42 12326877),(43 12345460),(44 12373677),(45 12400301),(46 12444644),(47 12471995),(48 12534391),(49 12553680),(50 12583201),(51 12647609),(52 12757144),(53 12930311),(54 13156163),(55 13454365),(56 13808725),(57 14214939),(58 14748193),(59 15400345),(60 16128669),(61 16914876),(62 17702256),(63 18486058),(64 19225558),(65 19960460),(66 20677176),(67 21404722),(68 22169174),(69 22966150),(70 23764566),(71 24564446),(72 25397594),(73 26122384),(74 26914184),(75 27642770),(76 28302688),(77 28941936),(78 29498832),(79 29867024),
(1 3960.3704),(2 7966.4404),(3 9839.782),(4 10786.095),(5 11377.994),(6 11795.282),(7 12023.326),(8 12082.188),(9 12209.939),(10 12637.906),(11 12944.997),(12 12512.396),(13 12235.286),(14 12211.536),(15 12008.26),(16 11716.081),(17 11689.376),(18 11770.185),(19 11901.392),(20 11899.112),(21 11894.955),(22 12097.394),(23 12378.135),(24 12499.778),(25 12429.157),(26 12472.809),(27 12527.295),(28 12642.642),(29 12603.331),(30 12357.427),(31 12235.538),(32 12339.068),(33 12393.034),(34 12918.983),(35 13250.891),(36 13536.163),(37 13835.295),(38 13703.244),(39 13609.921),(40 13673.313),(41 13757.677),(42 14010.269),(43 14248.705),(44 14193.146),(45 14078.326),(46 14209.141),(47 14289.331),(48 14175.211),(49 14213.916),(50 14212.871),(51 14044.148),(52 14032.264),(53 14364.264),(54 14390.544),(55 14283.478),(56 14517.059),(57 14530.086),(58 14461.296),(59 14312.407),(60 13915.062),(61 13737.086),(62 13604.693),(63 13759.32),(64 13640.542),(65 13614.591),(66 13513.872),(67 13267.846),(68 13217.222),(69 13210.1),(70 13339.243),(71 13632.124),(72 13755.362),(73 13636.773),(74 13297.836),(75 13172.163),(76 13070.169),(77 12955.064),(78 13109.843),(79 13128.436),
(1 3963.345),(2 8160.558),(3 10076.844),(4 11007.49),(5 11504.003),(6 11815.887),(7 12000.412),(8 12060.035),(9 12114.688),(10 12610.818),(11 12960.751),(12 12603.879),(13 12152.58),(14 11926.121),(15 11656),(16 11361.1455),(17 11345.137),(18 11340.055),(19 11410.368),(20 11589.167),(21 11801.317),(22 11841.055),(23 12077.92),(24 12130.556),(25 12043.722),(26 12165.47),(27 12301.409),(28 12238.049),(29 12047.371),(30 11864.123),(31 11548.72),(32 11805.73),(33 12098.234),(34 12324.162),(35 12485.261),(36 12724.493),(37 12855.064),(38 12822.577),(39 12790.049),(40 13074.088),(41 13174.725),(42 13270.225),(43 13320.575),(44 13178.117),(45 12959.483),(46 12894.851),(47 13041.001),(48 13127.441),(49 13245.028),(50 13213.8955),(51 13263.25),(52 13344.107),(53 13437.815),(54 13336.587),(55 13283.683),(56 13551.606),(57 13808.968),(58 13606.454),(59 13495.179),(60 13362.003),(61 13337.003),(62 13262.928),(63 13316.433),(64 13273.391),(65 13246.29),(66 13108.507),(67 12844.795),(68 12734.026),(69 12635.2),(70 12809.03),(71 13245.739),(72 13716.364),(73 13653.594),(74 13145.763),(75 12907.83),(76 12839.36),(77 12823.441),(78 12895.494),(79 12943.334),
(1 3871.6807),(2 7874.4624),(3 9640.5625),(4 10334.74),(5 10799.75),(6 11175.507),(7 11342.171),(8 11401.979),(9 11343.156),(10 11540.521),(11 11763.577),(12 11612.096),(13 11464.389),(14 11148.474),(15 10723.191),(16 10529.585),(17 10693.568),(18 10781.102),(19 10962.643),(20 11160.27),(21 11260.825),(22 11288.653),(23 11369.13),(24 11435.988),(25 11495.512),(26 11604.97),(27 11725.305),(28 11489.132),(29 11307.542),(30 11181.105),(31 11028.309),(32 11301.493),(33 11703.377),(34 12146.623),(35 12107.795),(36 12085.619),(37 12133.91),(38 12050.567),(39 12206.545),(40 12396.313),(41 12299.179),(42 12271.607),(43 12209.098),(44 12111.958),(45 11973.885),(46 11914.556),(47 12087.841),(48 12291.53),(49 12347.995),(50 12147.512),(51 12328.779),(52 12361.525),(53 12479.648),(54 12622.102),(55 12616.032),(56 12768.202),(57 12832.22),(58 12728.249),(59 12680.302),(60 12657.995),(61 12614.452),(62 12475.108),(63 12383.437),(64 12023.195),(65 11829.628),(66 11756.784),(67 11756.434),(68 11706.735),(69 11766.548),(70 11878.881),(71 12226.413),(72 12438.717),(73 12446.418),(74 12138.089),(75 11972.582),(76 11912.18),(77 11907.325),(78 11941.341),(79 12011.985),
(1 3786.4932),(2 7557.4673),(3 9196.945),(4 9731.001),(5 10062.047),(6 10320.727),(7 10448.354),(8 10534.658),(9 10581.78),(10 10829.113),(11 11043.7705),(12 10992.537),(13 11042.638),(14 10979.552),(15 10802.585),(16 10576.606),(17 10714.597),(18 10753.833),(19 10843.681),(20 10910.217),(21 10985.771),(22 11029.078),(23 11070.715),(24 11065.311),(25 11077.521),(26 11319.603),(27 11300.753),(28 10975.074),(29 10797.747),(30 10725.294),(31 10773.557),(32 10951.967),(33 11288.646),(34 11702.942),(35 11779.467),(36 11826.333),(37 11951.585),(38 11953.767),(39 12029.541),(40 11941.544),(41 11762),(42 11678.835),(43 11670.243),(44 11800.412),(45 11744.124),(46 11766.757),(47 11804.065),(48 11837.698),(49 11735.727),(50 11678.038),(51 11857.528),(52 11926.099),(53 12140.797),(54 12386.448),(55 12329.088),(56 12287.109),(57 12267.473),(58 12121.706),(59 11977.547),(60 11856.605),(61 11986.126),(62 11985.664),(63 11894.826),(64 11703.024),(65 11643.205),(66 11622.802),(67 11705.079),(68 11772.737),(69 11701.694),(70 11697.526),(71 11924.788),(72 11947.938),(73 11952.381),(74 11776.615),(75 11690.405),(76 11929.874),(77 12093.294),(78 12047.445),(79 11859.284),
(1 3671.8184),(2 7209.438),(3 8736.342),(4 9376.121),(5 9762.537),(6 9881.223),(7 10002.826),(8 10092.862),(9 10251.047),(10 10671.674),(11 10819.849),(12 10704.237),(13 10735.169),(14 10770.147),(15 10803.112),(16 10547.603),(17 10782.316),(18 10801.367),(19 10756.619),(20 10616.114),(21 10674.426),(22 10746.209),(23 10817.125),(24 10831.376),(25 10692.286),(26 10635.276),(27 10476.508),(28 10327.599),(29 10459.834),(30 10647.835),(31 10727.066),(32 10760.263),(33 10800.404),(34 10955.414),(35 11214.037),(36 11306.732),(37 11226.278),(38 11244.29),(39 11167.785),(40 11163.374),(41 11136.36),(42 11159.851),(43 11300.946),(44 11470.46),(45 11438.271),(46 11314.239),(47 11163.562),(48 11203.997),(49 11160.643),(50 11115.594),(51 11286.846),(52 11554.669),(53 11657.412),(54 11793.705),(55 11895.98),(56 11894.992),(57 11786.309),(58 11583.662),(59 11406.365),(60 11327.643),(61 11355.454),(62 11321.58),(63 11187.312),(64 11084.675),(65 11136.698),(66 11190.695),(67 11282.011),(68 11289.936),(69 11046.989),(70 11015.956),(71 11057.941),(72 11044.087),(73 11005.782),(74 11005.349),(75 11127.756),(76 11234.669),(77 11222.07),(78 11172.136),(79 11075.038),
(1 3647.4302),(2 7149.8955),(3 8693.625),(4 9408.008),(5 9747.339),(6 9972.524),(7 10283.65),(8 10539.388),(9 10888.55),(10 11251.139),(11 11522.933),(12 11614.598),(13 11688.701),(14 11535.892),(15 11451.319),(16 11218.128),(17 11400.645),(18 11380.223),(19 11432.64),(20 11283.502),(21 11171.744),(22 11144.325),(23 11223.883),(24 11292.1045),(25 11184.872),(26 10945.668),(27 10691.248),(28 10653.297),(29 10814.677),(30 10984.376),(31 10857.32),(32 10863.56),(33 10797.186),(34 10954.581),(35 11189.638),(36 11415.552),(37 11261.742),(38 11213.663),(39 11104.055),(40 11089.031),(41 11117.955),(42 11244.012),(43 11417.593),(44 11577.937),(45 11590.545),(46 11491.564),(47 11227.27),(48 11094.216),(49 10973.637),(50 11089.066),(51 11332.577),(52 11549.839),(53 11659.619),(54 11750.979),(55 11860.524),(56 11722.976),(57 11454.873),(58 11335.83),(59 11352.235),(60 11448.078),(61 11458.392),(62 11441.968),(63 11284.099),(64 11217.866),(65 11255.411),(66 11285.1),(67 11264.42),(68 11115.519),(69 11127.626),(70 11214.95),(71 11498.157),(72 11383.792),(73 11182.477),(74 11160.986),(75 11165.779),(76 11302.119),(77 11341.092),(78 11323.801),(79 11235.428),
(1 3528.3354),(2 6827.9077),(3 8313.928),(4 9035.304),(5 9500.1045),(6 9840.334),(7 10191.929),(8 10524.549),(9 10794.155),(10 11187.114),(11 11458.691),(12 11460.7295),(13 11548.636),(14 11476.4),(15 11415.227),(16 11119.808),(17 11219.737),(18 11370.927),(19 11474.151),(20 11337.217),(21 11184.466),(22 11108.331),(23 11181.928),(24 11209.908),(25 10971.626),(26 10763.72),(27 10606.749),(28 10499.389),(29 10455.693),(30 10472.872),(31 10395.563),(32 10499.441),(33 10514.863),(34 10645.099),(35 10771.715),(36 10855.112),(37 10876.505),(38 10963.459),(39 11095.512),(40 11055.565),(41 11051.95),(42 11131.003),(43 11249.324),(44 11401.773),(45 11400.411),(46 11222.942),(47 10911.224),(48 10755.517),(49 10662.693),(50 10843.216),(51 11039.32),(52 11001.9),(53 10920.076),(54 11132.983),(55 11161.572),(56 11086.73),(57 10925.107),(58 10973.414),(59 10916.274),(60 10897.426),(61 11026.196),(62 10986.212),(63 10837.814),(64 10786.688),(65 10720.5205),(66 10719.059),(67 10812.114),(68 10750.361),(69 10796.173),(70 10959.858),(71 10974.244),(72 10773.703),(73 10732.035),(74 10687.897),(75 10405.608),(76 10470.834),(77 10595.362),(78 10677.012),(79 10930.856),
(1 3360.2947),(2 6535.193),(3 8011.0796),(4 8642.631),(5 9153.87),(6 9511.339),(7 9933.7295),(8 10246.86),(9 10498.139),(10 10776.82),(11 11073.292),(12 11127.272),(13 11340.207),(14 11246.988),(15 11005.836),(16 10731.57),(17 10780.121),(18 10956.464),(19 11043.599),(20 11061.339),(21 11012.07),(22 10875.104),(23 10815.751),(24 10917.426),(25 10651.337),(26 10337.124),(27 10466.247),(28 10594.565),(29 10631.817),(30 10603.361),(31 10504.094),(32 10440.739),(33 10502.818),(34 10670.046),(35 10731.477),(36 10814.895),(37 11034.453),(38 11177.469),(39 11132.362),(40 10999.602),(41 11052.591),(42 11196.719),(43 11288.797),(44 11515.382),(45 11448.747),(46 11267.716),(47 10976.333),(48 10823.429),(49 10766.851),(50 10868.424),(51 10956.532),(52 10922.081),(53 10879.073),(54 10891.04),(55 10998.88),(56 11071.323),(57 10981.806),(58 10960.122),(59 10802.786),(60 10787.136),(61 10833.785),(62 10711.392),(63 10454.073),(64 10388.548),(65 10526.741),(66 10511.002),(67 10585.239),(68 10610.936),(69 10602.046),(70 10586.993),(71 10513.296),(72 10329.2295),(73 10376.755),(74 10410.206),(75 10284.9375),(76 10233.388),(77 10327.991),(78 10463.122),(79 10419.853),
(1 3226.0725),(2 6247.816),(3 7686.233),(4 8389.832),(5 8828.701),(6 9243.357),(7 9624.747),(8 10013.652),(9 10210.717),(10 10565.827),(11 10809.818),(12 10834.491),(13 11013.691),(14 10897.681),(15 10616.511),(16 10290.493),(17 10408.152),(18 10534.761),(19 10532.341),(20 10497.851),(21 10389.825),(22 10225.546),(23 10108.464),(24 10141.896),(25 10068.634),(26 9996.65),(27 10198.117),(28 10286.503),(29 10222.161),(30 10201.119),(31 10016.73),(32 9970.939),(33 10097.271),(34 10314.139),(35 10518.307),(36 10659.673),(37 10862.798),(38 11043.991),(39 11058.103),(40 11034.077),(41 11017.18),(42 11031.62),(43 11032.95),(44 11087.844),(45 10901.61),(46 10742.027),(47 10460.255),(48 10282.362),(49 10316.873),(50 10309.157),(51 10330.315),(52 10297.553),(53 10328.81),(54 10517.549),(55 10767.811),(56 10860.795),(57 10673.379),(58 10626.507),(59 10564.018),(60 10591.458),(61 10504.586),(62 10416.288),(63 10266.156),(64 10192.357),(65 10371.127),(66 10440.96),(67 10511.548),(68 10584.206),(69 10509.409),(70 10388.866),(71 10451.341),(72 10365.421),(73 10335.075),(74 10293.577),(75 10190.229),(76 10226.678),(77 10211.224),(78 10285.074),(79 10222.13),
(1 3254.8142),(2 6321.806),(3 7722.8623),(4 8314.466),(5 8777.5205),(6 9179.816),(7 9572.282),(8 9916.336),(9 10198.472),(10 10591.838),(11 10823.634),(12 10794.426),(13 10857.985),(14 10743.663),(15 10484.429),(16 10180.01),(17 10165.486),(18 10252.9795),(19 10269.026),(20 10159.914),(21 9976.707),(22 9832.977),(23 9866.971),(24 9913.879),(25 9923.311),(26 9963.919),(27 9993.192),(28 9988.406),(29 9923.223),(30 10001.394),(31 9808.03),(32 9742.099),(33 9831.338),(34 10089.369),(35 10378.141),(36 10539.156),(37 10679.496),(38 10943.556),(39 11121.475),(40 11178.684),(41 11111.613),(42 11008.002),(43 10950.964),(44 10854.949),(45 10749.1875),(46 10652.534),(47 10433.307),(48 10283.097),(49 10221.84),(50 10091.929),(51 10026.783),(52 10159.605),(53 10380.704),(54 10591.022),(55 10754.358),(56 10852.634),(57 10847.475),(58 10931.939),(59 10997.32),(60 10976.38),(61 10889.133),(62 10822.816),(63 10707.066),(64 10575.094),(65 10531.363),(66 10520.717),(67 10546.898),(68 10741.306),(69 10680.962),(70 10674.461),(71 10605.258),(72 10436.126),(73 10365.568),(74 10221.264),(75 10132.63),(76 10117.622),(77 10179.601),(78 10273.097),(79 10245.035),
(1 3357.95),(2 6462.464),(3 7723.1514),(4 8234.974),(5 8887.259),(6 9481.565),(7 9760.435),(8 10073.219),(9 10327.678),(10 10721.328),(11 10827.99),(12 10660.694),(13 10551.533),(14 10413.18),(15 10239.714),(16 9825.453),(17 9673.773),(18 9716.819),(19 9836.916),(20 9754.906),(21 9745.59),(22 9827.921),(23 9923.634),(24 9948.876),(25 9913.639),(26 9963.091),(27 9864.856),(28 9764.94),(29 9661),(30 9720.595),(31 9486.604),(32 9500.6),(33 9597.505),(34 9872.487),(35 10045.436),(36 10151.354),(37 10368.879),(38 10748.079),(39 11055.534),(40 11204.655),(41 11165.832),(42 10954.986),(43 10715.51),(44 10496.339),(45 10448.711),(46 10342.956),(47 10145.108),(48 10029.744),(49 9845.882),(50 9747.919),(51 9832.599),(52 9953.947),(53 10087.879),(54 10249.874),(55 10342.046),(56 10613.395),(57 10780.245),(58 10927.451),(59 10910.758),(60 10876.112),(61 10801.534),(62 10725.828),(63 10579.104),(64 10447.832),(65 10321.745),(66 10289.36),(67 10369.975),(68 10500.332),(69 10660.713),(70 10779.817),(71 10689.163),(72 10423.82),(73 10328.859),(74 10275.878),(75 10109.985),(76 9996.687),(77 9971.826),(78 9948.73),(79 9917.275),
(1 3126.3203),(2 6020.038),(3 7198.3164),(4 7813.6445),(5 8348.792),(6 8900.718),(7 9177.631),(8 9364.445),(9 9645.695),(10 9918.279),(11 9992.58),(12 9850.922),(13 9689.52),(14 9518.754),(15 9355.564),(16 9057.688),(17 9008.495),(18 9197.8125),(19 9273.203),(20 9104.856),(21 9215.211),(22 9400.108),(23 9443.5),(24 9409.029),(25 9229.999),(26 9183.236),(27 9074.224),(28 8955.917),(29 8984.305),(30 8931.675),(31 8731.327),(32 8707.996),(33 8865.927),(34 9213.068),(35 9284.831),(36 9239.936),(37 9355.639),(38 9656.351),(39 9907.651),(40 9955.524),(41 10050.484),(42 9964.713),(43 9697.781),(44 9595.259),(45 9590.404),(46 9668.169),(47 9585.78),(48 9524.172),(49 9441.039),(50 9376.893),(51 9627.83),(52 9739.037),(53 9821.095),(54 9939.355),(55 10125.521),(56 10331.991),(57 10476.986),(58 10525.995),(59 10542.493),(60 10438.305),(61 10405.175),(62 10388.599),(63 10318.143),(64 10209.404),(65 9985.042),(66 9842.837),(67 9839.919),(68 9842.848),(69 10018.814),(70 10210.473),(71 10182.974),(72 9949.898),(73 9882.617),(74 9862.428),(75 9677.989),(76 9540.461),(77 9332.855),(78 9079.706),(79 9002.906),
(1 2988.6445),(2 5741.7153),(3 7035.293),(4 7564.771),(5 8060.2085),(6 8543.278),(7 8893.964),(8 8988.615),(9 9074.761),(10 9379.468),(11 9444.905),(12 9113.436),(13 8988.501),(14 8846.436),(15 8666.309),(16 8536.565),(17 8618.553),(18 8795.334),(19 8821.149),(20 8808.344),(21 8931.29),(22 9059.764),(23 9144.243),(24 9078.537),(25 8901.389),(26 8907.842),(27 8828.143),(28 8629.114),(29 8601.979),(30 8524.493),(31 8416.2),(32 8390.489),(33 8619.606),(34 8960.3),(35 8979.695),(36 8939.128),(37 8884.85),(38 9186.57),(39 9432.085),(40 9423.464),(41 9586.206),(42 9699.665),(43 9587.052),(44 9410.327),(45 9415.856),(46 9444.0625),(47 9317.644),(48 9320.784),(49 9358.893),(50 9356.711),(51 9469.795),(52 9459.419),(53 9512.668),(54 9548.898),(55 9685.229),(56 9815.61),(57 10043.999),(58 10064.001),(59 10078.779),(60 10000.713),(61 9931.004),(62 9976.921),(63 9994.91),(64 9900.176),(65 9745.042),(66 9627.06),(67 9691.57),(68 9767.637),(69 9884.187),(70 9982.207),(71 9845.07),(72 9688.451),(73 9717.993),(74 9870.305),(75 9802.304),(76 9585.956),(77 9249.747),(78 8975.381),(79 8928.304),
(1 2783.4644),(2 5364.7305),(3 6578.621),(4 6998.1353),(5 7340.925),(6 7667.1724),(7 8058.261),(8 8178.8984),(9 8190.7144),(10 8328.141),(11 8339.169),(12 8242.993),(13 8274.701),(14 8212.058),(15 8094.602),(16 8129.451),(17 8188.3696),(18 8280.061),(19 8345.099),(20 8386.701),(21 8414.89),(22 8500.946),(23 8565.289),(24 8515.664),(25 8408.556),(26 8366.133),(27 8213.877),(28 8018.896),(29 8015.4214),(30 7879.802),(31 7809.99),(32 7895.5024),(33 8139.3545),(34 8322.5),(35 8306.565),(36 8317.051),(37 8386.97),(38 8607.537),(39 8688.685),(40 8697.64),(41 8890.1),(42 9121.168),(43 9084.717),(44 8886.462),(45 8753.683),(46 8805.873),(47 8835.373),(48 9023.201),(49 9116.969),(50 9142.048),(51 9199.928),(52 9151.049),(53 9035.406),(54 8926.612),(55 8979.872),(56 9084.247),(57 9322.218),(58 9484.893),(59 9486.047),(60 9435.654),(61 9438.7705),(62 9516.424),(63 9522.538),(64 9394.764),(65 9348.348),(66 9274.091),(67 9350.353),(68 9320.879),(69 9362.048),(70 9326.434),(71 9232.275),(72 9067.112),(73 9062.997),(74 9119.827),(75 9006.985),(76 8849.34),(77 8642.115),(78 8519.218),(79 8588.049),
(1 2684.754),(2 5175.779),(3 6355.625),(4 6787.4937),(5 7244.666),(6 7497.072),(7 7669.3823),(8 7726.5435),(9 7764.4277),(10 7780.169),(11 7803.1104),(12 7851.0713),(13 8018.3926),(14 8075.18),(15 7995.049),(16 7959.1274),(17 8015.8896),(18 8139.724),(19 8246.571),(20 8274.102),(21 8346.351),(22 8451.8955),(23 8530.882),(24 8469.001),(25 8275.125),(26 8221.461),(27 8104.0356),(28 7945.9604),(29 7823.8906),(30 7663.9414),(31 7656.925),(32 7768.0625),(33 7934.089),(34 8098.4907),(35 8130.358),(36 8171.151),(37 8346.448),(38 8572.879),(39 8556.555),(40 8469.367),(41 8586.6),(42 8903.416),(43 8850.999),(44 8802.204),(45 8838.475),(46 8944.271),(47 8850.5625),(48 8855.438),(49 8832.172),(50 8833.113),(51 8900.451),(52 8853.427),(53 8776.289),(54 8669.935),(55 8671.211),(56 8800.393),(57 8991.8545),(58 9139.102),(59 9146.65),(60 9162.564),(61 9250.819),(62 9405.503),(63 9258.755),(64 9145.811),(65 9143.925),(66 9108.045),(67 9139.253),(68 9089.414),(69 9101.064),(70 8988.275),(71 8935.508),(72 8921.107),(73 8952.083),(74 8817.106),(75 8604.913),(76 8604.309),(77 8454.692),(78 8246.393),(79 8274.63),
(1 2624.8367),(2 5050.2744),(3 6166.808),(4 6592.317),(5 7087.972),(6 7252.5757),(7 7311.394),(8 7330.2183),(9 7370.593),(10 7353.6807),(11 7359.0654),(12 7463.4307),(13 7665.216),(14 7858.346),(15 7743.2803),(16 7554.438),(17 7613.6646),(18 7780.0493),(19 7795.715),(20 7766.9575),(21 7981.4634),(22 8186.4673),(23 8237.379),(24 8219.093),(25 7972.8354),(26 7825.263),(27 7845.9097),(28 7846.927),(29 7748.955),(30 7586.056),(31 7500.8916),(32 7542.11),(33 7710.4683),(34 7900.7295),(35 7837.036),(36 7883.132),(37 8034.054),(38 8239.4375),(39 8248.377),(40 8189.998),(41 8325.875),(42 8462.918),(43 8478.626),(44 8437.617),(45 8533.246),(46 8727.798),(47 8696.26),(48 8551.043),(49 8489.767),(50 8468.592),(51 8584.327),(52 8462.467),(53 8352.4375),(54 8246.952),(55 8301.927),(56 8343.976),(57 8452.152),(58 8493.285),(59 8444.687),(60 8441.405),(61 8450.339),(62 8450.559),(63 8299.965),(64 8190.206),(65 8204.523),(66 8397.451),(67 8529.165),(68 8580.991),(69 8623.755),(70 8474.823),(71 8272.942),(72 8175.106),(73 8184.0776),(74 8157.845),(75 8086.845),(76 7997.0317),(77 7810.589),(78 7820.78),(79 7898.7476),
(1 2625.3),(2 4964.4106),(3 5913.3154),(4 6378.6045),(5 6833.8726),(6 6930.561),(7 6996.0425),(8 7057.8794),(9 7121.243),(10 7192.7075),(11 7238.977),(12 7234.506),(13 7315.633),(14 7400.01),(15 7302.9443),(16 7209.8594),(17 7289.115),(18 7442.7134),(19 7550.513),(20 7584.6343),(21 7820.818),(22 7881.8296),(23 7944.651),(24 7846.8013),(25 7619.1777),(26 7459.885),(27 7446.7905),(28 7461.049),(29 7490.9727),(30 7436.503),(31 7305.813),(32 7223.4736),(33 7260.4688),(34 7413.7583),(35 7463.964),(36 7547.832),(37 7674.086),(38 7812.3335),(39 7840.632),(40 7941.432),(41 8131.4316),(42 8295.869),(43 8269.403),(44 8179.4395),(45 8220.56),(46 8361.412),(47 8389.336),(48 8225.319),(49 8202.45),(50 8226.244),(51 8234.951),(52 8197.866),(53 8136.939),(54 7903.7046),(55 7865.692),(56 7869.563),(57 7981.487),(58 8072.9814),(59 8145.5654),(60 8336.9375),(61 8208.238),(62 8040.9365),(63 7916.2993),(64 7929.1846),(65 8020.955),(66 8207.21),(67 8380.274),(68 8410.609),(69 8360.827),(70 8274.173),(71 8097.336),(72 7979.123),(73 7916.094),(74 7794.9136),(75 7837.0483),(76 7786.151),(77 7702.8784),(78 7643.4263),(79 7604.3887),
