1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 8150.3345),(2 26081.658),(3 48167.3),(4 70894.32),(5 97098.74),(6 123076.48),(7 152711.42),(8 180981.83),(9 207221.95),(10 234538.08),(11 264059.1),(12 291148.72),(13 316109.9),(14 336479),(15 351829.72),(16 358072.16),(17 371577.78),(18 384104.1),(19 396385.63),(20 407968.4),(21 422710.6),(22 425888),(23 430836.88),(24 438322.5),(25 455534.66),(26 472596.16),(27 497225.66),(28 528125.2),(29 551406.56),(30 582129.25),(31 622211.06),(32 658582.7),(33 703993.8),(34 748555.5),(35 787612),(36 821587),(37 855289.75),(38 881985.8),(39 908072.5),(40 929112),(41 957136.2),(42 981030.5),(43 1013217.5),(44 1045034),(45 1073651.6),(46 1083606.9),(47 1097885.4),(48 1123292.1),(49 1169012),(50 1206857.1),(51 1248967.5),(52 1286209.9),(53 1318794.3),(54 1343185),(55 1355871.1),(56 1368030.5),(57 1394074.4),(58 1413635),(59 1444428.6),(60 1474259.1),(61 1506712),(62 1544503.4),(63 1588445.5),(64 1632645.9),(65 1665291.6),(66 1693974.4),(67 1727642.6),(68 1771923.6),(69 1829420),(70 1894869.4),(71 1960565.6),(72 2018342),(73 2073043.4),(74 2126478.3),(75 2184872.3),(76 2240398.5),(77 2307077),(78 2369026),(79 2432530.3),
(1 1959.4104),(2 4526.738),(3 6824.4824),(4 8562.041),(5 9865.151),(6 11175.341),(7 12285.33),(8 13323.666),(9 14230.314),(10 15212.218),(11 16132.469),(12 17659.564),(13 19019.063),(14 20227.74),(15 21370.766),(16 22512.186),(17 23421.969),(18 24293.227),(19 25432.67),(20 26424.717),(21 27497.328),(22 28109.154),(23 28891.955),(24 29557.121),(25 30054.646),(26 30783.434),(27 30923.947),(28 31195.86),(29 31081.102),(30 31071.133),(31 31398.71),(32 31582.506),(33 31557.531),(34 31781.283),(35 32059.58),(36 32402.996),(37 32774.703),(38 33106.023),(39 33642.785),(40 33711.227),(41 33913.414),(42 34179.03),(43 34449.984),(44 34704.87),(45 34995.53),(46 35644.26),(47 36223.695),(48 36609.04),(49 37302.434),(50 37775.36),(51 38375.227),(52 38834.145),(53 39048.11),(54 39543.258),(55 39814.664),(56 40361.266),(57 40483.227),(58 40378.656),(59 40462.9),(60 40329.457),(61 40382.33),(62 40069.99),(63 39745.52),(64 39650.043),(65 39566.28),(66 39830.242),(67 40050.824),(68 40062.92),(69 40184.19),(70 40284.848),(71 40351.53),(72 40727.78),(73 40946.008),(74 41241.402),(75 41623.695),(76 42113.156),(77 42120.977),(78 42077.473),(79 41888.33),
(1 1872.9023),(2 4374.0645),(3 6688.937),(4 8660.958),(5 10204.041),(6 11664.024),(7 12895.218),(8 13766.089),(9 14515.395),(10 15481.526),(11 16261.182),(12 17636.398),(13 19011.244),(14 20169.81),(15 21100.646),(16 22043.598),(17 22856.086),(18 23677.523),(19 24634.691),(20 25527.283),(21 26406.703),(22 26834.523),(23 27459.715),(24 28015.924),(25 28491.854),(26 29025.611),(27 29278.13),(28 29303.127),(29 29257.56),(30 29296.299),(31 29758.44),(32 30144.957),(33 30393.332),(34 30802.684),(35 31315.67),(36 31788.316),(37 32273.646),(38 32868.414),(39 33574.16),(40 33929.5),(41 34339.246),(42 34670.375),(43 35176.215),(44 35705.69),(45 36250.79),(46 36874.695),(47 37574.023),(48 38103.742),(49 38896.69),(50 39574.46),(51 39956.37),(52 40158.777),(53 40034.223),(54 40181.82),(55 40382.938),(56 40669.62),(57 40656.69),(58 40233.23),(59 40057.82),(60 39514.836),(61 39015.023),(62 38564.992),(63 38213.684),(64 38166.297),(65 38194.348),(66 38481.375),(67 38760.26),(68 38977.934),(69 39095.082),(70 38916.06),(71 38746.273),(72 38735.523),(73 38773.863),(74 39155.66),(75 39184.97),(76 39160.465),(77 39229.75),(78 39226.496),(79 39315.316),
(1 1877.3987),(2 4307.011),(3 6452.947),(4 8144.672),(5 9532.644),(6 10818.617),(7 12016.037),(8 12965.006),(9 13916.042),(10 14760.037),(11 15653.074),(12 17167.887),(13 18286.832),(14 19648.451),(15 20802.771),(16 21789.883),(17 22774.71),(18 23645.502),(19 24969.79),(20 26121.326),(21 27231.148),(22 27744.887),(23 28344.904),(24 29016.785),(25 29618.857),(26 30114.574),(27 30275.047),(28 30321.148),(29 30344.082),(30 30361.229),(31 30877.768),(32 31317.877),(33 31795.367),(34 32442.982),(35 32862.82),(36 33108.57),(37 33551.195),(38 33980.875),(39 34580.773),(40 35034.46),(41 35351.945),(42 35440.617),(43 35718.426),(44 36109.586),(45 36535.14),(46 36923.883),(47 37486.434),(48 37873.473),(49 38315.832),(50 38810.902),(51 39212.04),(52 39516.887),(53 39220.69),(54 38994.758),(55 38781.11),(56 38841.73),(57 38631.39),(58 38201.668),(59 38051.926),(60 37523.168),(61 37082.7),(62 36580.266),(63 35965.42),(64 35784.914),(65 35605.2),(66 35573.496),(67 35540.242),(68 35589.03),(69 35670.785),(70 35511.65),(71 35451.836),(72 35487.875),(73 35616.734),(74 35871.28),(75 35867.77),(76 36027.434),(77 36332.637),(78 36559.09),(79 36488.676),
(1 1909.5702),(2 4292.7783),(3 6381.4434),(4 8281.453),(5 9631.047),(6 10986.684),(7 12133.116),(8 13084.078),(9 13961.786),(10 14820.812),(11 15779.717),(12 17496.059),(13 18820.758),(14 20255.701),(15 21642.123),(16 22900.785),(17 24027.463),(18 24651.078),(19 25508.797),(20 26341.627),(21 27323.398),(22 27695.943),(23 28399.732),(24 29136.07),(25 29927.87),(26 30702.393),(27 31203.309),(28 31721.32),(29 32254.203),(30 32507.676),(31 33228.406),(32 33592.348),(33 33806.082),(34 34257.87),(35 34535.832),(36 34621.918),(37 34709.89),(38 34834.72),(39 35037.996),(40 35061.74),(41 35138.254),(42 35095.902),(43 35164.637),(44 35463.78),(45 35767.254),(46 35865.254),(47 35960.164),(48 36086.043),(49 36114.246),(50 36244.5),(51 36299.36),(52 36388.742),(53 36274.6),(54 36247.16),(55 36007.465),(56 36006.086),(57 35727.496),(58 35326.133),(59 34992.484),(60 34594.004),(61 34384.78),(62 34102.92),(63 33894.71),(64 33723.94),(65 33413.71),(66 33312.76),(67 33688.406),(68 34003.453),(69 34179.76),(70 34360.35),(71 34374.016),(72 34772.875),(73 35244.543),(74 35645.12),(75 35925.617),(76 36072.117),(77 36143.59),(78 36264.473),(79 36095.24),
(1 1824.165),(2 4279.9346),(3 6533.2764),(4 8415.391),(5 9686.426),(6 10799.083),(7 11810.254),(8 12755.216),(9 13537.203),(10 14163.862),(11 14810.471),(12 16002.263),(13 17150.006),(14 18468.682),(15 19446.156),(16 20248.54),(17 20717.877),(18 21197.832),(19 21932.596),(20 22842.295),(21 24041.26),(22 24501.053),(23 24844.135),(24 25260.357),(25 25797.24),(26 26432.701),(27 26916.502),(28 27187.719),(29 27451.672),(30 27911.236),(31 28691.148),(32 29127.654),(33 29338.686),(34 30011.395),(35 30555.455),(36 31096.164),(37 31618.713),(38 32014.646),(39 32450.846),(40 32851.39),(41 33329.336),(42 33630.863),(43 34071.695),(44 34503.215),(45 35016.98),(46 35510.07),(47 35948.914),(48 36252.434),(49 36663.316),(50 37018.88),(51 37191.426),(52 37350.83),(53 37221.85),(54 37182.934),(55 37145.76),(56 37176.99),(57 37036.355),(58 36600.547),(59 36271.574),(60 35740.51),(61 35362.066),(62 34928.016),(63 34540.156),(64 34134.85),(65 34021.066),(66 33934.832),(67 33979.77),(68 34014.465),(69 33907.973),(70 33696.766),(71 33585.96),(72 33570.863),(73 33713.145),(74 34054.13),(75 34478.03),(76 34824.645),(77 34853.96),(78 34794.313),(79 34838.215),
(1 1888.475),(2 4314.227),(3 6454.7524),(4 8320.354),(5 9618.122),(6 10842.778),(7 11947.765),(8 13006.657),(9 13868.286),(10 14926.911),(11 15965.421),(12 17307.51),(13 18497.654),(14 20121.729),(15 21250.633),(16 22146.107),(17 22907.734),(18 23609.365),(19 24724.664),(20 25649.37),(21 26842.527),(22 27608.057),(23 28400),(24 28989.389),(25 29375.74),(26 30022.486),(27 30375.576),(28 30647.549),(29 30824.139),(30 31162.83),(31 31809.164),(32 32205.137),(33 32406.967),(34 32833.46),(35 33314.24),(36 33790.75),(37 34283.65),(38 34680.457),(39 35298.12),(40 35372.996),(41 35383.902),(42 35368.508),(43 35731.484),(44 35942.74),(45 36097.586),(46 36274.523),(47 36450.383),(48 36734.992),(49 37082.703),(50 37435.152),(51 37827.37),(52 38070.58),(53 38017.8),(54 38222.74),(55 38488.39),(56 38642.758),(57 38737.855),(58 38557.414),(59 38632.508),(60 38260.867),(61 37836.797),(62 37490.117),(63 37166.813),(64 36976.94),(65 36619.555),(66 36433.58),(67 36491.34),(68 36704.695),(69 36756.344),(70 36737.67),(71 36982.734),(72 37096.35),(73 37378.246),(74 37724.785),(75 38041.43),(76 38409.96),(77 38560.875),(78 38676.133),(79 38648.88),
(1 1839.6266),(2 4234.419),(3 6396.3286),(4 8112.8),(5 9394.468),(6 10526.494),(7 11595.797),(8 12750.42),(9 13647.301),(10 14695.735),(11 15668.151),(12 17169.959),(13 18323.904),(14 19597.79),(15 20693.154),(16 21595.979),(17 22377.797),(18 23008.041),(19 23992.322),(20 24684.328),(21 25556.336),(22 26192.666),(23 26888.078),(24 27435.484),(25 27646.576),(26 27795.275),(27 27818.9),(28 27779.08),(29 27888.537),(30 28297.158),(31 28864.041),(32 29084.13),(33 29469.207),(34 29918.027),(35 30104.166),(36 30389.07),(37 30867.764),(38 31328.787),(39 31973.254),(40 32368.926),(41 32573.477),(42 32458.83),(43 32790.06),(44 33004.48),(45 33288.39),(46 33686.18),(47 33941.438),(48 34288.934),(49 34862.906),(50 35400.797),(51 35875.277),(52 36171.695),(53 36061.063),(54 36211.73),(55 36439.098),(56 36864.586),(57 37164.105),(58 37015.97),(59 37097.438),(60 36637.957),(61 36162.96),(62 35633.94),(63 35243.13),(64 35064.598),(65 34719.47),(66 34558.098),(67 34711.313),(68 34784.184),(69 34797.297),(70 34668.242),(71 34636.57),(72 34506.99),(73 34488.05),(74 34734.96),(75 34931.707),(76 35135.26),(77 35236.004),(78 35375.69),(79 35283.67),
(1 1814.5919),(2 4248.051),(3 6525.6826),(4 8393.415),(5 9716.953),(6 11201.191),(7 12567.861),(8 13870.594),(9 14899.227),(10 15832.615),(11 16647.613),(12 17993.496),(13 19113.156),(14 20474.453),(15 21294.9),(16 22141.379),(17 23074.047),(18 24012.117),(19 25273.467),(20 26246.746),(21 27137.824),(22 27828.563),(23 28447.879),(24 28867.361),(25 29111.342),(26 29570.453),(27 29999.42),(28 30308.605),(29 30453.621),(30 30668.201),(31 31169.752),(32 31395.734),(33 31616.836),(34 32118.996),(35 32346.283),(36 32561.73),(37 32949.99),(38 33253.92),(39 33654.324),(40 33776.375),(41 33889.727),(42 33773.684),(43 33866.004),(44 34063.35),(45 34173.42),(46 34461.7),(47 34711.242),(48 34993.34),(49 35396.89),(50 35934.895),(51 36179.176),(52 36288.645),(53 36121.316),(54 36155.285),(55 36238.023),(56 36238.67),(57 36192.957),(58 35952.004),(59 36035.97),(60 35729.31),(61 35382.59),(62 34991.047),(63 34638.477),(64 34554.215),(65 34240.62),(66 34013.27),(67 33890.777),(68 33633.035),(69 33673.996),(70 33485.758),(71 33283.715),(72 33222.68),(73 33032.133),(74 33110.32),(75 33316.6),(76 33346.086),(77 33476.684),(78 33584.527),(79 33756.945),
(1 1845.9865),(2 4230.7046),(3 6446.7803),(4 8232.773),(5 9491.399),(6 10925.867),(7 12365.166),(8 13547.03),(9 14547.151),(10 15275.42),(11 16103.071),(12 17428.746),(13 18788.936),(14 20007.742),(15 20872.871),(16 21668.9),(17 22563.217),(18 23128.633),(19 24036.188),(20 24736.6),(21 25205.994),(22 25692.719),(23 26247.242),(24 26973.188),(25 27421.912),(26 27748.434),(27 27967.344),(28 28193.844),(29 28375.416),(30 28515.758),(31 29081.203),(32 29495.031),(33 29665.701),(34 30106.66),(35 30484.695),(36 30875.152),(37 31252.502),(38 31392.746),(39 31827.32),(40 32105.498),(41 32445.56),(42 32533.377),(43 32787.625),(44 33131.15),(45 33389.836),(46 33779.465),(47 34038.26),(48 34008.13),(49 34454.063),(50 34951.477),(51 35201.39),(52 35469.184),(53 35357.445),(54 35549.973),(55 35636.883),(56 35663.16),(57 35298.88),(58 34631.656),(59 34241.55),(60 33869.305),(61 33579.438),(62 33405.563),(63 33150.918),(64 32963.125),(65 32692.025),(66 32457.203),(67 32453.621),(68 32654.113),(69 32869.395),(70 32867.57),(71 32788.113),(72 32683.025),(73 32569.62),(74 32749.615),(75 33125.69),(76 33313.75),(77 33483.58),(78 33554.41),(79 33830.188),
(1 1784.9866),(2 4121.716),(3 6321.6436),(4 8082.106),(5 9272.623),(6 10305.058),(7 11347.963),(8 12249.167),(9 12966.268),(10 13559.412),(11 14089.121),(12 15138.547),(13 16195.353),(14 17087.37),(15 17775.81),(16 18563.328),(17 19110.62),(18 19534.156),(19 20334.586),(20 21069.412),(21 21567.273),(22 21934.914),(23 22357.242),(24 22980.225),(25 23501.457),(26 23588.313),(27 23693.72),(28 23918.545),(29 24114.223),(30 24322.537),(31 24815.564),(32 25262.203),(33 25478.857),(34 25803.479),(35 26024.55),(36 26428.16),(37 26744.816),(38 26902.371),(39 27169.188),(40 27254.895),(41 27516.313),(42 27640.887),(43 27938.213),(44 28317.715),(45 28556.44),(46 28810.521),(47 29175.215),(48 29448.752),(49 29763.617),(50 30256.121),(51 30479.61),(52 30841.846),(53 31081.936),(54 31447.518),(55 31770.1),(56 32002.799),(57 32062.895),(58 31747.182),(59 31514.008),(60 31271.627),(61 31134.803),(62 30930.008),(63 30949.074),(64 30829.135),(65 30738.379),(66 30991.385),(67 31210.104),(68 31398.797),(69 31800.1),(70 32025.592),(71 31817.684),(72 31862.793),(73 32088.79),(74 32201.705),(75 32152.275),(76 31938.092),(77 31814.287),(78 31594.846),(79 31711.166),
(1 1798.6743),(2 4100.7114),(3 6118.1987),(4 7654.6226),(5 8645.255),(6 9610.79),(7 10622.971),(8 11540.713),(9 12222.282),(10 12829.361),(11 13478.321),(12 14469.57),(13 15463.766),(14 16480.932),(15 17290.438),(16 17868.314),(17 18397.092),(18 19070.814),(19 19916.328),(20 20701.525),(21 21353.393),(22 21757.502),(23 22455.682),(24 23053.467),(25 23335.361),(26 23429.512),(27 23485.617),(28 23697.719),(29 24102.29),(30 24247.613),(31 24502.135),(32 24661.543),(33 24811.191),(34 25164.852),(35 25468.584),(36 25905.336),(37 26316.79),(38 26616.697),(39 26731.188),(40 26799.953),(41 26879.629),(42 27033.846),(43 27371.21),(44 27647.1),(45 28061.424),(46 28403.084),(47 28729.389),(48 29185.75),(49 29471.527),(50 29718.441),(51 30099.072),(52 30415.457),(53 30621.777),(54 30917.137),(55 31224.22),(56 31700.584),(57 31651.809),(58 31381.742),(59 31237.955),(60 31111.424),(61 31041.904),(62 30915.877),(63 30864.137),(64 30810.13),(65 30726.14),(66 30819.803),(67 30790.63),(68 30683.092),(69 30764.496),(70 30821.723),(71 30786.584),(72 30855.262),(73 31094.063),(74 31393.7),(75 31490.81),(76 31365.73),(77 31187.496),(78 31061.363),(79 31023.191),
(1 1739.0283),(2 3963.6294),(3 5944.131),(4 7457.4937),(5 8473.143),(6 9453.954),(7 10366.749),(8 11208.536),(9 11813.179),(10 12346.855),(11 12818.563),(12 13742.702),(13 14497.894),(14 15189.178),(15 15920.232),(16 16688.209),(17 17517.52),(18 18204.193),(19 19061.408),(20 19856.074),(21 20632.365),(22 21050.195),(23 21549.56),(24 22006.484),(25 22215.268),(26 22503.191),(27 22785.715),(28 23083.135),(29 23203.148),(30 23298.225),(31 23580.23),(32 23706.344),(33 23817.314),(34 24224.443),(35 24549.764),(36 24914.041),(37 25105.918),(38 25311.988),(39 25619.838),(40 25693.955),(41 25761.447),(42 25804.047),(43 25981.752),(44 26225.764),(45 26609.967),(46 27050.707),(47 27454.498),(48 27826.027),(49 28010.963),(50 28345.352),(51 28718.857),(52 28998.193),(53 29204.045),(54 29444.365),(55 29728.336),(56 29947.484),(57 29846.393),(58 29591.477),(59 29356.082),(60 29050.746),(61 28956.209),(62 28711.725),(63 28438.824),(64 28385.363),(65 28322.469),(66 28392.174),(67 28585.336),(68 28698.682),(69 28823.14),(70 28791.854),(71 28910.078),(72 28992.885),(73 28962.457),(74 29028.791),(75 29039.709),(76 28979.385),(77 28904.473),(78 28981.973),(79 29178.877),
(1 1757.387),(2 3944.9563),(3 5892.1284),(4 7412.8013),(5 8545.948),(6 9671.373),(7 10588.905),(8 11428.136),(9 12126.621),(10 12792.619),(11 13468.144),(12 14576.679),(13 15563.984),(14 16530.662),(15 17396.51),(16 18321.15),(17 19241.785),(18 19804.107),(19 20690.104),(20 21382.852),(21 22052.148),(22 22630.63),(23 23332.668),(24 23907.81),(25 24327.758),(26 24744.54),(27 25051.383),(28 25165.791),(29 25389.014),(30 25431.236),(31 25710.766),(32 25805.447),(33 25913.428),(34 26201.277),(35 26343.807),(36 26505.736),(37 26551.8),(38 26453.334),(39 26740.205),(40 26730.568),(41 26872.994),(42 26909.355),(43 27036.383),(44 27062.91),(45 27103.36),(46 27228.213),(47 27472.236),(48 27662.934),(49 27904.293),(50 28054.947),(51 28326.139),(52 28872.375),(53 29110.773),(54 29482.492),(55 29664.541),(56 29786.63),(57 29778.545),(58 29513.182),(59 29223.434),(60 29093.217),(61 29059.32),(62 29042.572),(63 29021.203),(64 29150.918),(65 29175.846),(66 29444.93),(67 29874.148),(68 30199.361),(69 30331.361),(70 30515.4),(71 30749.572),(72 31104.572),(73 31277.344),(74 31410.428),(75 31443.932),(76 31344.262),(77 31543.863),(78 31707.234),(79 31892.357),
(1 1730.882),(2 3934.3804),(3 5995.9517),(4 7749.929),(5 9028.109),(6 10197.953),(7 11179.119),(8 12039.591),(9 12649.114),(10 13249.847),(11 14095.823),(12 15354.482),(13 16169.377),(14 17141.863),(15 18025.188),(16 18596.367),(17 19300.932),(18 19994.436),(19 21075.693),(20 21933.137),(21 22652.178),(22 23057.137),(23 23566.102),(24 23977.828),(25 24144.559),(26 24453.55),(27 24724.842),(28 25094.596),(29 25409.217),(30 25395.658),(31 25630.867),(32 25746.242),(33 25922.373),(34 26311.295),(35 26567.037),(36 26710.8),(37 26802.287),(38 26979.854),(39 27089.2),(40 27079.287),(41 26986.064),(42 26717.555),(43 26618.457),(44 26479.621),(45 26351.46),(46 26393.422),(47 26339.691),(48 26477.172),(49 26661.912),(50 26706.34),(51 26744.49),(52 26825.55),(53 26841.338),(54 26957.58),(55 26966.549),(56 27044.51),(57 26912.322),(58 26746.234),(59 26691.254),(60 26306.99),(61 26071.781),(62 25833.941),(63 25830.824),(64 25890.59),(65 25707.387),(66 25634.389),(67 25829.744),(68 26207.867),(69 26471.732),(70 26570.582),(71 26801.793),(72 27104.54),(73 27249.854),(74 27596.553),(75 27683.793),(76 27680.215),(77 27766.678),(78 27838.48),(79 27773.387),
(1 1728.7778),(2 3817.9648),(3 5718.9033),(4 7367.216),(5 8537.8545),(6 9657.807),(7 10755.231),(8 11633.294),(9 12247.177),(10 12842.689),(11 13580.283),(12 14823.26),(13 15886.645),(14 17020.807),(15 17869.902),(16 18585.6),(17 19374.547),(18 19922.082),(19 20916.25),(20 21508.89),(21 22187.258),(22 22649.06),(23 23355.484),(24 23913.133),(25 24092.918),(26 24448.05),(27 24713.816),(28 25105.516),(29 25361.611),(30 25367.605),(31 25717.03),(32 25904.943),(33 26010.057),(34 26309.94),(35 26361.193),(36 26402.857),(37 26285.52),(38 26101.305),(39 25976.355),(40 25840.723),(41 25789.145),(42 25736.621),(43 25779.523),(44 25869.178),(45 26053.334),(46 26361.318),(47 26515.844),(48 26852.738),(49 26952.414),(50 27175.09),(51 27420.111),(52 27606.766),(53 27735.807),(54 27751.563),(55 27912.266),(56 27972.78),(57 27975.182),(58 27768.695),(59 27643.504),(60 27351.568),(61 27172.475),(62 27021.076),(63 27118.826),(64 27282.389),(65 27404.645),(66 27475.74),(67 27704.82),(68 27794.64),(69 27933.129),(70 28163.535),(71 28342.914),(72 28540.348),(73 28608.605),(74 28680.66),(75 28756.31),(76 28764.223),(77 28826.766),(78 28894.416),(79 29014.78),
(1 1708.1649),(2 3810.6511),(3 5615.233),(4 7065.883),(5 8050.6387),(6 9107.051),(7 10246.219),(8 11142.28),(9 11682.094),(10 12390.543),(11 13290.177),(12 14595.907),(13 15758.8125),(14 17052.227),(15 17949.467),(16 18498.943),(17 19022.348),(18 19449.832),(19 20356.39),(20 20980.14),(21 21696.584),(22 22212.746),(23 22875.805),(24 23225.63),(25 23363.057),(26 23562.766),(27 23719.387),(28 23962.607),(29 24081.43),(30 24188.611),(31 24452.12),(32 24455.793),(33 24531.28),(34 24824.742),(35 24981.863),(36 25125.305),(37 25213.578),(38 25403.814),(39 25422.238),(40 25425.97),(41 25448.32),(42 25505.178),(43 25583.87),(44 25585.213),(45 25663.506),(46 25803.104),(47 25957.088),(48 26067.709),(49 26372.76),(50 26586.555),(51 26699.863),(52 26874.992),(53 26816.533),(54 26844.393),(55 26834.697),(56 26689.484),(57 26586.107),(58 26126.271),(59 25863.605),(60 25522.629),(61 25202.924),(62 24899.773),(63 24673.506),(64 24578.926),(65 24272.56),(66 24225.979),(67 24316.785),(68 24234.688),(69 24193.781),(70 24154.592),(71 24182.693),(72 24102.1),(73 24185.703),(74 24469.182),(75 24727.531),(76 25015.639),(77 25374.309),(78 25507.744),(79 25779.363),
(1 1673.5305),(2 3737.7756),(3 5560.273),(4 7088.105),(5 8191.5503),(6 9239.401),(7 10180.707),(8 10987.037),(9 11731.614),(10 12568.218),(11 13649.985),(12 15049.164),(13 16358.836),(14 17508.871),(15 18282.146),(16 18931.914),(17 19600.81),(18 20355.744),(19 21439.93),(20 22103.39),(21 22997.115),(22 23516.225),(23 24261.752),(24 24757.973),(25 24815.17),(26 25085.818),(27 25390.113),(28 25745.566),(29 25956.76),(30 26173.822),(31 26705.984),(32 26927.918),(33 27069.896),(34 27480.697),(35 27736.34),(36 27786.322),(37 27890.809),(38 27944.725),(39 27815.094),(40 27683.81),(41 27525.885),(42 27350.99),(43 27384.168),(44 27324.406),(45 27260.713),(46 27309.117),(47 27285.195),(48 27242.836),(49 27223.64),(50 27337.826),(51 27423.854),(52 27653.234),(53 27503.61),(54 27546.74),(55 27549.502),(56 27488.396),(57 27463.361),(58 27146.549),(59 27033.51),(60 26764.424),(61 26512.27),(62 26179.537),(63 26015.16),(64 25981.047),(65 25952.354),(66 25793.16),(67 25782.975),(68 25790.752),(69 25921.225),(70 25926.807),(71 25955.004),(72 26106.857),(73 26149.281),(74 26339.498),(75 26356.045),(76 26432.803),(77 26563.855),(78 26706.387),(79 26918.96),
