1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 2186.0303),(2 2953.665),(3 3569.5469),(4 4097.2095),(5 4733.1807),(6 5189.7017),(7 5719.012),(8 6267.901),(9 6692.2324),(10 7069.5493),(11 7445.077),(12 7709.231),(13 7958.07),(14 8143.7207),(15 8364.899),(16 8509.059),(17 8625.474),(18 8743.363),(19 8774.286),(20 8712.559),(21 8755.823),(22 8703.539),(23 8647.898),(24 8811.092),(25 8784.538),(26 8781.965),(27 8814.991),(28 8785.288),(29 8839.669),(30 8841.225),(31 8955.936),(32 9017.913),(33 9088.346),(34 9159.122),(35 9287.877),(36 9445.115),(37 9488.513),(38 9574.911),(39 9617.444),(40 9617.872),(41 9670.839),(42 9703.854),(43 9818.953),(44 9918.569),(45 9976.74),(46 10042.623),(47 10061.31),(48 10098.068),(49 10053.277),(50 10010.787),(51 10044.818),(52 9952.096),(53 10008.2295),(54 9996.719),(55 9883.543),(56 9887.719),(57 9748.26),(58 9659.724),(59 9549.219),(60 9439.728),(61 9390.339),(62 9222.862),(63 9121.084),(64 8978.415),(65 8906.428),(66 8915.024),(67 8852.177),(68 8737.197),(69 8718.174),(70 8654.396),(71 8653.198),(72 8674.77),(73 8755.303),(74 8769.741),(75 8813.686),(76 8779.705),(77 8781.893),(78 8844.689),(79 8849.463),
(1 2194.6655),(2 2969.5972),(3 3593.26),(4 4162.755),(5 4896.5986),(6 5326.6606),(7 5808.882),(8 6355.8486),(9 6751.2026),(10 7157.673),(11 7602.2964),(12 7851.0728),(13 8072.265),(14 8293.161),(15 8503.633),(16 8696.59),(17 8851.223),(18 8985.834),(19 8928.54),(20 8896.345),(21 8919.143),(22 8894.272),(23 8784.189),(24 8920.735),(25 8840.901),(26 8849.346),(27 8914.651),(28 8919.349),(29 8918.105),(30 8962.38),(31 9092.171),(32 9200.473),(33 9283.469),(34 9323.22),(35 9473.866),(36 9580.132),(37 9752.271),(38 9782.16),(39 9860.362),(40 9826.3955),(41 9876.4795),(42 9924.89),(43 10039.284),(44 10107.632),(45 10195.178),(46 10286.53),(47 10295.505),(48 10334.827),(49 10292.737),(50 10350.342),(51 10318),(52 10123.216),(53 10139.068),(54 9982.942),(55 9903.199),(56 9911.249),(57 9880.962),(58 9702.574),(59 9545.742),(60 9280.073),(61 9188.176),(62 9040.761),(63 9103.431),(64 8890.202),(65 8769.507),(66 8689.414),(67 8573.9795),(68 8544.953),(69 8424.757),(70 8368.851),(71 8327.7295),(72 8400.558),(73 8400.207),(74 8439.452),(75 8523.413),(76 8545.069),(77 8541.114),(78 8584.37),(79 8614.564),
(1 2160.427),(2 2818.3704),(3 3472.4944),(4 3929.8108),(5 4555.8613),(6 5003.28),(7 5464.375),(8 5974.619),(9 6447.6304),(10 6790.1216),(11 7153.966),(12 7435.505),(13 7578.5103),(14 7719.7866),(15 7952.888),(16 8097.338),(17 8215.087),(18 8250.477),(19 8279.853),(20 8180.5894),(21 8161.913),(22 8085.5503),(23 8024.615),(24 8144.6743),(25 8107.813),(26 8093.235),(27 8129.0703),(28 8126.397),(29 8105.4385),(30 8242.655),(31 8246.357),(32 8323.932),(33 8425.764),(34 8545.412),(35 8714.075),(36 8825.546),(37 8892.892),(38 8941.283),(39 9026.688),(40 8998.718),(41 9065.415),(42 9158.984),(43 9257.601),(44 9300.993),(45 9324.893),(46 9387.708),(47 9397.271),(48 9435.797),(49 9444.086),(50 9459.453),(51 9432.079),(52 9309.993),(53 9341.861),(54 9370.875),(55 9278.275),(56 9378.331),(57 9329.982),(58 9176.384),(59 9099.502),(60 8989.852),(61 8859.011),(62 8780.881),(63 8811.744),(64 8722.121),(65 8657.442),(66 8637.243),(67 8547.293),(68 8536.922),(69 8508.302),(70 8547.289),(71 8539.06),(72 8631.783),(73 8673.336),(74 8631.687),(75 8750.053),(76 8756.794),(77 8720.126),(78 8721.462),(79 8784.311),
(1 2095.8975),(2 2782.9106),(3 3336.2253),(4 3847.8933),(5 4426.907),(6 4827.526),(7 5355.5625),(8 5792.634),(9 6177.6865),(10 6581.4565),(11 6938.723),(12 7210.276),(13 7395.958),(14 7574.7573),(15 7761.5425),(16 7869.8345),(17 8059.0674),(18 8172.357),(19 8238.005),(20 8193.899),(21 8212.793),(22 8168.342),(23 8223.268),(24 8332.985),(25 8283.931),(26 8230.489),(27 8402.009),(28 8405.755),(29 8455.975),(30 8503.903),(31 8571.622),(32 8685.586),(33 8679.765),(34 8800.413),(35 8943.536),(36 9015.369),(37 9097.809),(38 9064.669),(39 9078.265),(40 9095.631),(41 9036.431),(42 9104.135),(43 9156.941),(44 9200.571),(45 9267.215),(46 9309.082),(47 9326.788),(48 9328.006),(49 9233.773),(50 9252.39),(51 9201.799),(52 9201.464),(53 9235.653),(54 9139.793),(55 9071.451),(56 9009.281),(57 8945.153),(58 8866.595),(59 8709.122),(60 8675.593),(61 8572.989),(62 8430.872),(63 8357.219),(64 8290.233),(65 8222.065),(66 8153.4746),(67 8088.672),(68 8044.5073),(69 8053.958),(70 8047.329),(71 8155.774),(72 8154.018),(73 8217.955),(74 8197.005),(75 8275.776),(76 8195.271),(77 8278.849),(78 8274.268),(79 8289.0625),
(1 2189.1067),(2 2814.4685),(3 3434.6174),(4 3917.5483),(5 4545.1274),(6 4962.8115),(7 5444.6636),(8 5885.881),(9 6282.243),(10 6693.7954),(11 7048.277),(12 7216.805),(13 7396.5176),(14 7558.445),(15 7703.8276),(16 7812.6826),(17 7969.0938),(18 8072.8926),(19 8109.695),(20 8113.043),(21 8144.3213),(22 8134.778),(23 8087.887),(24 8169.19),(25 8177.7026),(26 8208.878),(27 8297.424),(28 8297.316),(29 8297.066),(30 8382.816),(31 8490.022),(32 8518.203),(33 8596.364),(34 8754.598),(35 8868.171),(36 8930.967),(37 9051.626),(38 9091.883),(39 9055.316),(40 9168.987),(41 9156.776),(42 9164.628),(43 9231.789),(44 9278.796),(45 9307.484),(46 9301.778),(47 9373.477),(48 9360.971),(49 9338.707),(50 9360.582),(51 9294.965),(52 9252.347),(53 9264.837),(54 9147.366),(55 9126.19),(56 9119.086),(57 9120.565),(58 9079.77),(59 8932.166),(60 8909.782),(61 8789.151),(62 8673.179),(63 8557.977),(64 8455.788),(65 8465.397),(66 8377.921),(67 8370.398),(68 8411.032),(69 8453.02),(70 8450.996),(71 8485.776),(72 8411.62),(73 8405.495),(74 8364.105),(75 8421.478),(76 8377.606),(77 8371.284),(78 8371.553),(79 8353.212),
(1 2042.6761),(2 2688.7832),(3 3326.7246),(4 3848.9573),(5 4372.566),(6 4828.2856),(7 5302.3657),(8 5776.0874),(9 6193.0977),(10 6609.287),(11 7003.316),(12 7225.5195),(13 7473.0044),(14 7664.769),(15 7807.5317),(16 7938.0176),(17 8041.8345),(18 8172.843),(19 8233.735),(20 8159.3936),(21 8109.7456),(22 8026.459),(23 7985.55),(24 8014.261),(25 8021.1147),(26 8076.238),(27 8135.139),(28 8125.426),(29 8180.533),(30 8242.424),(31 8339.426),(32 8355.701),(33 8398.536),(34 8567.368),(35 8633.123),(36 8729.048),(37 8766.772),(38 8846.735),(39 8979.65),(40 9032.357),(41 9039.222),(42 9099.278),(43 9227.776),(44 9408.292),(45 9450.631),(46 9417.633),(47 9468.108),(48 9442.222),(49 9430.069),(50 9465.371),(51 9401.229),(52 9391.065),(53 9321.512),(54 9232.355),(55 9206.881),(56 9188.722),(57 9092.292),(58 9059.714),(59 8944.162),(60 8852.496),(61 8781.618),(62 8719.658),(63 8665.682),(64 8561.575),(65 8523.137),(66 8490.208),(67 8413.943),(68 8498.281),(69 8459.613),(70 8496.406),(71 8438.253),(72 8372.349),(73 8409.255),(74 8424.162),(75 8416.714),(76 8435.706),(77 8397.692),(78 8353.475),(79 8305.395),
(1 2043.6934),(2 2672.7817),(3 3351.8242),(4 3839.9275),(5 4418.306),(6 4894.04),(7 5348.995),(8 5813.4766),(9 6241.9067),(10 6597.2144),(11 6955.605),(12 7167.7114),(13 7363.1753),(14 7467.3257),(15 7603.6665),(16 7746.0073),(17 7857.664),(18 7864.555),(19 7847.7144),(20 7820.9536),(21 7850.7617),(22 7839.62),(23 7810.4346),(24 7910.778),(25 7937.327),(26 7974.574),(27 8160.36),(28 8041.7104),(29 8173.032),(30 8246.749),(31 8269.218),(32 8295.775),(33 8364.839),(34 8494.32),(35 8579.502),(36 8699.3545),(37 8759.806),(38 8778.57),(39 8886.4795),(40 8913.794),(41 8858.062),(42 8953.744),(43 9002.026),(44 9159.404),(45 9179.608),(46 9202.015),(47 9190.921),(48 9196.251),(49 9156.782),(50 9174.37),(51 9132.706),(52 9149.774),(53 9096.2),(54 9071.214),(55 9036.649),(56 9089.383),(57 9061.472),(58 9010.638),(59 8939.112),(60 8763.662),(61 8764.556),(62 8677.83),(63 8652.339),(64 8584.412),(65 8523.753),(66 8383.152),(67 8306.28),(68 8285.365),(69 8266.74),(70 8289.797),(71 8280.026),(72 8259.823),(73 8271.599),(74 8342.187),(75 8359.46),(76 8402.077),(77 8422.442),(78 8391.044),(79 8438.034),
(1 1962.5642),(2 2624.145),(3 3198.6672),(4 3773.717),(5 4307.3325),(6 4704.9375),(7 5170.5703),(8 5597.381),(9 6005.8237),(10 6424.6216),(11 6768.085),(12 6958.59),(13 7141.3877),(14 7285.253),(15 7364.9287),(16 7438.43),(17 7539.6685),(18 7590.201),(19 7656.775),(20 7622.6206),(21 7642.1104),(22 7542.8125),(23 7522.4346),(24 7605.6504),(25 7609.3867),(26 7648.6343),(27 7786.1353),(28 7744.9253),(29 7927.612),(30 7978.671),(31 8048.7637),(32 8144.9688),(33 8134.465),(34 8342.838),(35 8444.632),(36 8598.418),(37 8645.255),(38 8720.991),(39 8784.348),(40 8900.039),(41 8891.803),(42 8917.412),(43 8930.303),(44 9005.155),(45 9039.54),(46 9108.245),(47 9097.456),(48 9049.509),(49 9113.371),(50 9108.216),(51 9125.466),(52 8990.167),(53 8933.26),(54 8904.141),(55 8870.884),(56 8892.458),(57 8865.686),(58 8718.651),(59 8633.667),(60 8530.568),(61 8512.025),(62 8462.02),(63 8376.146),(64 8369.366),(65 8279.109),(66 8251.969),(67 8182.7817),(68 8188.929),(69 8156.614),(70 8213.557),(71 8222.073),(72 8190.4946),(73 8211.95),(74 8271.604),(75 8343.043),(76 8274.467),(77 8239.629),(78 8250.765),(79 8233.246),
(1 1973.1187),(2 2590.0396),(3 3174.475),(4 3665.843),(5 4188.0015),(6 4609.0415),(7 5031.4653),(8 5484.4907),(9 5807.3613),(10 6127.6016),(11 6454.6934),(12 6643.4497),(13 6784.5317),(14 6901.7485),(15 7036.7725),(16 7159.256),(17 7279.624),(18 7332.885),(19 7394.353),(20 7407.4385),(21 7378.3643),(22 7324.4863),(23 7256.2764),(24 7351.4985),(25 7307.946),(26 7331.2974),(27 7446.3086),(28 7422.144),(29 7485.8296),(30 7563.0195),(31 7586.394),(32 7664.945),(33 7714.1455),(34 7867.8066),(35 7960.5093),(36 8090.374),(37 8167.5166),(38 8198.76),(39 8274.502),(40 8282.476),(41 8337.683),(42 8431.448),(43 8518.597),(44 8631.478),(45 8676.524),(46 8760.214),(47 8768.102),(48 8746.878),(49 8762.564),(50 8730.426),(51 8729.428),(52 8653.37),(53 8595.532),(54 8577.732),(55 8519.435),(56 8496.61),(57 8427.786),(58 8387.593),(59 8301.594),(60 8223.192),(61 8203.36),(62 8105.514),(63 8041.146),(64 7966.411),(65 7952.6816),(66 7952.053),(67 7894.058),(68 7917.217),(69 7902.154),(70 7900.107),(71 7948.586),(72 7904.5874),(73 7956.961),(74 8054.6523),(75 8086.3433),(76 8063.321),(77 8055.305),(78 8027.868),(79 8085.646),
(1 1899.5427),(2 2541.1936),(3 3031.8108),(4 3523.4507),(5 4026.0847),(6 4409.723),(7 4843.89),(8 5280.063),(9 5669.3594),(10 6002.9805),(11 6320.607),(12 6440.4316),(13 6560.0615),(14 6704.2583),(15 6827.0747),(16 6956.8213),(17 6997.8374),(18 7135.829),(19 7167.869),(20 7182.5127),(21 7184.045),(22 7178.105),(23 7117.671),(24 7194.5425),(25 7195.1978),(26 7315.5884),(27 7395.507),(28 7422.0747),(29 7516.5386),(30 7643.898),(31 7742.5137),(32 7839.46),(33 7952.8003),(34 8095.847),(35 8236.128),(36 8350.546),(37 8433.998),(38 8495.274),(39 8550.95),(40 8582.78),(41 8657.942),(42 8756.666),(43 8773.454),(44 8860.272),(45 8930.444),(46 8939.451),(47 8950.9795),(48 8947.573),(49 8900.239),(50 8889.731),(51 8868.1045),(52 8787.359),(53 8822.385),(54 8877.187),(55 8806.036),(56 8786.1455),(57 8790.352),(58 8667.483),(59 8596.943),(60 8461.028),(61 8370.391),(62 8258.689),(63 8174.194),(64 8057.5747),(65 7981.7695),(66 7892.8555),(67 7838.456),(68 7803.602),(69 7767.7456),(70 7736.836),(71 7701.821),(72 7623.318),(73 7711.5747),(74 7651.601),(75 7695.6753),(76 7634.068),(77 7637.4087),(78 7671.342),(79 7730.7993),
(1 1922.358),(2 2513.662),(3 3120.521),(4 3569.1516),(5 4077.3525),(6 4480.422),(7 4929.383),(8 5306.077),(9 5696.0527),(10 6027.7954),(11 6308.8657),(12 6451.494),(13 6546.766),(14 6671.247),(15 6797.403),(16 6872.22),(17 6975.985),(18 6985.003),(19 7059.8467),(20 7063.982),(21 7138.4854),(22 7084.829),(23 7095.2407),(24 7201.5283),(25 7286.112),(26 7350.152),(27 7480.19),(28 7541.708),(29 7612.182),(30 7730.183),(31 7835.295),(32 7889.6123),(33 8037.5835),(34 8201.006),(35 8420.862),(36 8575.955),(37 8626.627),(38 8712.348),(39 8811.502),(40 8853.902),(41 8911.129),(42 8977.084),(43 9074.597),(44 9112.971),(45 9157.319),(46 9151.583),(47 9168.663),(48 9255.289),(49 9265.154),(50 9260.364),(51 9258.853),(52 9171.039),(53 9103.471),(54 9026.791),(55 9028.538),(56 8991.546),(57 9005.943),(58 8869.32),(59 8744.751),(60 8705.742),(61 8614.462),(62 8514.725),(63 8440.259),(64 8327.273),(65 8302.32),(66 8167.6157),(67 8073.2676),(68 8075.844),(69 8031.179),(70 8049.4043),(71 8004.8247),(72 8002.806),(73 8052.2236),(74 8046.9946),(75 8020.975),(76 8014.7363),(77 7972.2817),(78 7972.187),(79 7960.0303),
(1 1902.004),(2 2471.4622),(3 3030.7188),(4 3461.6118),(5 3958.9172),(6 4378.3726),(7 4770.4736),(8 5145.3726),(9 5463.468),(10 5822.649),(11 6087.6133),(12 6163.9116),(13 6292.8726),(14 6382.131),(15 6547.324),(16 6663.8296),(17 6732.7603),(18 6759.8667),(19 6792.276),(20 6868.9976),(21 6873.1973),(22 6885.1787),(23 6870.686),(24 7006.756),(25 7024.9116),(26 7106.7803),(27 7137.2476),(28 7213.144),(29 7280.16),(30 7344.5796),(31 7486.8506),(32 7484.0913),(33 7648.4014),(34 7788.7124),(35 8021.093),(36 8145.753),(37 8219.668),(38 8260.024),(39 8345.566),(40 8363.109),(41 8500.43),(42 8575.013),(43 8683.488),(44 8718.064),(45 8803.434),(46 8884.523),(47 8888.505),(48 8892.25),(49 8868.739),(50 8905.392),(51 8899.156),(52 8817.331),(53 8842.634),(54 8799.22),(55 8791.127),(56 8762.927),(57 8707.594),(58 8566.912),(59 8449.033),(60 8367.411),(61 8244.142),(62 8121.5366),(63 8036.855),(64 7956.767),(65 7906.6704),(66 7826.9067),(67 7748.685),(68 7747.465),(69 7704.366),(70 7696.044),(71 7658.7134),(72 7667.489),(73 7730.1973),(74 7698.58),(75 7743.8267),(76 7649.0513),(77 7649.876),(78 7607.594),(79 7608.5586),
(1 1916.8408),(2 2415.7664),(3 2951.4504),(4 3425.841),(5 3892.8794),(6 4303.4614),(7 4682.2334),(8 5093.868),(9 5386.5063),(10 5678.917),(11 5993.878),(12 6157.588),(13 6327.2627),(14 6413.2397),(15 6564.7627),(16 6678.785),(17 6785.77),(18 6849.6924),(19 6854.162),(20 6878.1357),(21 6854.8047),(22 6840.7207),(23 6802.915),(24 6847.8584),(25 6838.2036),(26 6969.876),(27 7025.5576),(28 7111.435),(29 7212.2144),(30 7326.5957),(31 7416.287),(32 7510.3853),(33 7709.575),(34 7810.059),(35 7967.0015),(36 8135.5044),(37 8191.3022),(38 8288.146),(39 8345.804),(40 8409.9),(41 8566.579),(42 8633.425),(43 8771.515),(44 8891.018),(45 8937.646),(46 8968.261),(47 8952.379),(48 8974.053),(49 8975.684),(50 9016.653),(51 9034.355),(52 8978.393),(53 8930.057),(54 8866.088),(55 8852.516),(56 8839.198),(57 8758.144),(58 8697.813),(59 8533.682),(60 8412.665),(61 8345.329),(62 8265.034),(63 8142.5566),(64 8046.592),(65 7987.0977),(66 7868.9814),(67 7806.2583),(68 7825.0947),(69 7839.2603),(70 7873.4897),(71 7880.5137),(72 7932.3),(73 7908.3105),(74 7827.9517),(75 7777.839),(76 7767.432),(77 7756.7554),(78 7752.736),(79 7737.17),
(1 1883.2448),(2 2410.0862),(3 2957.656),(4 3378.2388),(5 3849.017),(6 4276.6504),(7 4549.882),(8 4955.5747),(9 5251.7056),(10 5562.0024),(11 5754.726),(12 5928.527),(13 6082.3843),(14 6228.317),(15 6380.4185),(16 6468.0054),(17 6614.721),(18 6683.8296),(19 6755.721),(20 6791.623),(21 6842.3154),(22 6826.7847),(23 6783.8745),(24 6933.8003),(25 6989.4297),(26 7058.8755),(27 7115.8003),(28 7194.4287),(29 7279.337),(30 7355.1514),(31 7452.8647),(32 7607.177),(33 7792.8384),(34 7922.1685),(35 8123.942),(36 8248.862),(37 8294.85),(38 8360.168),(39 8405.335),(40 8488.248),(41 8583.486),(42 8645.146),(43 8706.019),(44 8836.695),(45 8813.277),(46 8840.167),(47 8840.069),(48 8839.57),(49 8796.013),(50 8819.335),(51 8809.73),(52 8695.577),(53 8674.891),(54 8632.474),(55 8599.417),(56 8581.288),(57 8510.401),(58 8392.657),(59 8290.982),(60 8218.023),(61 8117.1245),(62 8001.233),(63 7899.4814),(64 7853.5415),(65 7766.066),(66 7671.1587),(67 7577.9785),(68 7599.9067),(69 7598.836),(70 7605.1074),(71 7588.3525),(72 7608.7773),(73 7581.8784),(74 7544.2524),(75 7563.9883),(76 7543.4097),(77 7537.3286),(78 7530.7754),(79 7546.8833),
(1 1821.574),(2 2350.4993),(3 2885.9707),(4 3302.1272),(5 3760.3467),(6 4175.2407),(7 4515.1016),(8 4893.639),(9 5242.1875),(10 5568.327),(11 5793.8813),(12 5932.562),(13 6067.0313),(14 6176.8755),(15 6334.6357),(16 6450.5015),(17 6572.6836),(18 6651.82),(19 6718.838),(20 6686.981),(21 6683.377),(22 6703.4136),(23 6663.5317),(24 6837.8813),(25 6880.75),(26 6993.4663),(27 7037.376),(28 7189.254),(29 7306.3584),(30 7438.2314),(31 7420.195),(32 7551.744),(33 7739.2935),(34 7922.192),(35 8059.253),(36 8197.392),(37 8276.264),(38 8412.163),(39 8473.339),(40 8566.634),(41 8672.954),(42 8689.127),(43 8838.042),(44 8939.893),(45 8976.696),(46 9014.783),(47 9042.736),(48 9086.954),(49 9035.011),(50 9081.136),(51 9047.54),(52 9014.9375),(53 8997.68),(54 8963.284),(55 8886.7),(56 8912.824),(57 8845.3125),(58 8686.699),(59 8631.814),(60 8526.829),(61 8414.774),(62 8262.82),(63 8173.493),(64 8112.9253),(65 8012.9844),(66 7914.1274),(67 7843.107),(68 7800.303),(69 7806.406),(70 7810.471),(71 7824.1533),(72 7768.903),(73 7776.2656),(74 7726.094),(75 7820.43),(76 7847.2373),(77 7885.37),(78 7845.1963),(79 7896.5693),
(1 1772.3829),(2 2321.6396),(3 2825.8953),(4 3229.5903),(5 3662.7402),(6 3973.5908),(7 4337.1836),(8 4674.4185),(9 4958.8276),(10 5326.6953),(11 5497.8193),(12 5649.8506),(13 5806.842),(14 5917.541),(15 6039.575),(16 6149.0815),(17 6284.8164),(18 6403.31),(19 6497.5933),(20 6547.4956),(21 6580.5664),(22 6527.482),(23 6515.8643),(24 6655.9316),(25 6750.3447),(26 6826.5776),(27 6900.768),(28 7042.4365),(29 7243.7847),(30 7385.8374),(31 7454.369),(32 7587.2764),(33 7761.7983),(34 7937.0015),(35 8121.172),(36 8264.201),(37 8313.594),(38 8404.919),(39 8465.468),(40 8554.971),(41 8630.404),(42 8674.521),(43 8690.841),(44 8852.192),(45 8855.624),(46 8924.252),(47 8940.455),(48 8983.183),(49 8989.425),(50 8989.279),(51 8934.944),(52 8813.701),(53 8783.984),(54 8706.221),(55 8643.159),(56 8578.058),(57 8485.93),(58 8360.928),(59 8284.923),(60 8157.5254),(61 8031.853),(62 7951.0166),(63 7875.8115),(64 7754.9087),(65 7679.7764),(66 7638.573),(67 7576.6016),(68 7539.226),(69 7513.115),(70 7473.393),(71 7413.177),(72 7403.6357),(73 7374.158),(74 7381.9404),(75 7429.948),(76 7484.4185),(77 7471.1025),(78 7440.262),(79 7449.032),
(1 1776.1567),(2 2285.5625),(3 2824.6494),(4 3276.8567),(5 3739.6548),(6 4043.1418),(7 4421.318),(8 4786.5576),(9 5110.015),(10 5447.5313),(11 5661.696),(12 5780.771),(13 5941.7783),(14 6043.8457),(15 6224.1924),(16 6360.877),(17 6498.961),(18 6601.9272),(19 6670.9287),(20 6747.843),(21 6737.097),(22 6689.9517),(23 6651.0137),(24 6786.923),(25 6838.853),(26 6894.7656),(27 6952.7505),(28 7053.6313),(29 7196.15),(30 7341.608),(31 7400.6245),(32 7489.948),(33 7643.659),(34 7831.326),(35 7971.111),(36 8105.902),(37 8158.023),(38 8194.559),(39 8285.556),(40 8389.687),(41 8491.831),(42 8554.483),(43 8600.961),(44 8743.652),(45 8773.295),(46 8781.859),(47 8775.675),(48 8771.524),(49 8771.1045),(50 8716.864),(51 8643.485),(52 8562.238),(53 8530.781),(54 8519.645),(55 8484.21),(56 8471.513),(57 8420.075),(58 8333.031),(59 8242.443),(60 8146.7275),(61 8072.321),(62 7966.861),(63 7917.987),(64 7805.0513),(65 7771.5483),(66 7689.7207),(67 7603.55),(68 7572.414),(69 7529.865),(70 7532.2876),(71 7494.0786),(72 7534.121),(73 7504.824),(74 7525.594),(75 7567.306),(76 7508.8564),(77 7562.4727),(78 7559.035),(79 7568.2026),
(1 1732.8992),(2 2249.0059),(3 2768.9275),(4 3208.0786),(5 3730.9097),(6 4079.7407),(7 4425.7383),(8 4798.8633),(9 5110.163),(10 5486.6465),(11 5670.1787),(12 5858.8354),(13 5980.2515),(14 6146.232),(15 6245.601),(16 6314.391),(17 6424.515),(18 6426.0093),(19 6524.909),(20 6537.3345),(21 6577.895),(22 6531.0293),(23 6519.745),(24 6658.9526),(25 6756.696),(26 6787.1484),(27 6910.642),(28 7011.468),(29 7134.3027),(30 7193.3057),(31 7217.1377),(32 7413.582),(33 7470.6045),(34 7706.9272),(35 7865.147),(36 7948.2896),(37 8019.5474),(38 8113.644),(39 8247.662),(40 8299.24),(41 8388.1045),(42 8416.476),(43 8505.533),(44 8627.132),(45 8680.54),(46 8674.337),(47 8771.233),(48 8754.451),(49 8734.788),(50 8663.522),(51 8675.821),(52 8598.523),(53 8569.265),(54 8551.38),(55 8456.326),(56 8442.644),(57 8348.048),(58 8264.855),(59 8128.7617),(60 8033.3906),(61 7913.3027),(62 7829.549),(63 7798.624),(64 7699.886),(65 7618.941),(66 7615.3228),(67 7614.686),(68 7577.7783),(69 7526.209),(70 7590.9253),(71 7527.644),(72 7559.52),(73 7534.8965),(74 7531.715),(75 7598.933),(76 7585.498),(77 7605.1177),(78 7664.097),(79 7686.3833),
