1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 2111.6208),(2 3526.7852),(3 4507.9897),(4 5276.7856),(5 5939.546),(6 6482.324),(7 6882.111),(8 7193.505),(9 7491.184),(10 7689.07),(11 7807.3486),(12 7936.49),(13 8078.543),(14 8138.1797),(15 8197.428),(16 8191.0894),(17 8134.288),(18 8153.0435),(19 8148.824),(20 8089.381),(21 8027.416),(22 8016.6333),(23 7994.1255),(24 8026.9014),(25 8086.838),(26 8013.9775),(27 8044.747),(28 8131.4736),(29 8084.792),(30 8061.0713),(31 8099.2935),(32 8103.82),(33 7998.203),(34 7901.2593),(35 7786.525),(36 7745.8125),(37 7739.1943),(38 7770.406),(39 7816.0273),(40 7813.585),(41 7855.048),(42 7923.6963),(43 8071.764),(44 8011.8555),(45 8046.8003),(46 8121.692),(47 8161.8066),(48 8240.467),(49 8184.96),(50 8260.934),(51 8364.877),(52 8411.216),(53 8450.949),(54 8375.746),(55 8349.606),(56 8318.614),(57 8259.544),(58 8159.548),(59 7985.93),(60 7856.872),(61 7730.252),(62 7592.4194),(63 7488.408),(64 7362.07),(65 7418.77),(66 7519.462),(67 7595.7886),(68 7661.5977),(69 7764.2876),(70 7823.5063),(71 7839.5864),(72 7844.424),(73 7895.1064),(74 7917.7295),(75 7961.64),(76 7914.6123),(77 7920.606),(78 7931.478),(79 7925.6333),
(1 2101.279),(2 3470.9648),(3 4462.8247),(4 5181.9424),(5 5761.9663),(6 6260.403),(7 6659.8647),(8 7004.2505),(9 7267.362),(10 7454.716),(11 7608.428),(12 7746.8467),(13 7860.2),(14 7884.895),(15 7983.4497),(16 8039.4014),(17 8077.396),(18 8113.137),(19 8065.823),(20 7992.052),(21 8043.2026),(22 7976.8916),(23 7900.433),(24 7921.0654),(25 7931.9653),(26 7791.6245),(27 7804.303),(28 7835.448),(29 7776.9834),(30 7756.355),(31 7729.296),(32 7717.2354),(33 7645.9746),(34 7528.8203),(35 7453.0547),(36 7416.7495),(37 7393.3066),(38 7373.1807),(39 7429.436),(40 7435.0654),(41 7444.6807),(42 7513.982),(43 7658.0264),(44 7614.4736),(45 7668.008),(46 7708.588),(47 7780.47),(48 7840.8687),(49 7890.892),(50 7980.732),(51 8026.4766),(52 8069.0063),(53 8092.3193),(54 8114.2305),(55 8118.052),(56 8049.3984),(57 7997.463),(58 8007.088),(59 7867.065),(60 7791.5566),(61 7705.66),(62 7651.3623),(63 7592.0933),(64 7491.694),(65 7498.4546),(66 7508.1772),(67 7507.789),(68 7574.375),(69 7630.315),(70 7611.903),(71 7618.8965),(72 7652.242),(73 7787.3965),(74 7763.47),(75 7738.285),(76 7678.2324),(77 7677.5083),(78 7688.8174),(79 7670.694),
(1 2097.2493),(2 3440.0347),(3 4438.922),(4 5200.898),(5 5861.98),(6 6462.2285),(7 6950.1377),(8 7298.8716),(9 7578.146),(10 7759.31),(11 7859.815),(12 7937.022),(13 8062.3193),(14 8066.559),(15 8124.2173),(16 8148.2217),(17 8194.606),(18 8292.363),(19 8272.429),(20 8154.1045),(21 8134.0244),(22 8137.994),(23 8093.851),(24 8133.277),(25 8121.2783),(26 8064.5117),(27 8093.92),(28 8129.4624),(29 8061.1997),(30 7968.4063),(31 7895.865),(32 7835.017),(33 7679.329),(34 7603.006),(35 7509.4863),(36 7424.973),(37 7403.883),(38 7334.523),(39 7384.869),(40 7397.399),(41 7463.7563),(42 7502.051),(43 7680.8965),(44 7691.4453),(45 7731.077),(46 7768.8384),(47 7802.7676),(48 7881.9873),(49 7938.8057),(50 8014.377),(51 8104.1533),(52 8131.369),(53 8203.602),(54 8159.5913),(55 8090.2017),(56 7962.662),(57 7856.2207),(58 7847.1123),(59 7761.6587),(60 7684.9497),(61 7622.6455),(62 7569.0225),(63 7574.435),(64 7537.825),(65 7512.894),(66 7563.8623),(67 7577.475),(68 7591.5195),(69 7687.9336),(70 7649.208),(71 7649.427),(72 7610.7144),(73 7642.5156),(74 7565.786),(75 7554.7036),(76 7528.9365),(77 7612.14),(78 7683.7236),(79 7765.068),
(1 2030.5579),(2 3320.0366),(3 4258.5947),(4 4932.5815),(5 5518.9067),(6 6033.175),(7 6419.1914),(8 6686.3857),(9 6961.49),(10 7112.488),(11 7249.7466),(12 7355.2896),(13 7475.0786),(14 7517.588),(15 7548.222),(16 7567.561),(17 7598.416),(18 7664.17),(19 7652.361),(20 7583.3916),(21 7540.42),(22 7487.0454),(23 7436.194),(24 7457.5425),(25 7447.702),(26 7396.538),(27 7475.609),(28 7465.0054),(29 7372.096),(30 7337.1875),(31 7283.2573),(32 7209.864),(33 7210.1694),(34 7102.0303),(35 7006.2314),(36 6991.8223),(37 7009.9697),(38 7086.8735),(39 7161.3076),(40 7209.494),(41 7269.6646),(42 7333.958),(43 7436.296),(44 7381.6006),(45 7455.071),(46 7503.558),(47 7558.5513),(48 7614.6567),(49 7684.463),(50 7709.365),(51 7736.8086),(52 7758.77),(53 7821.2725),(54 7755.692),(55 7754.9663),(56 7738.6514),(57 7699.016),(58 7680.0347),(59 7520.777),(60 7333.9424),(61 7242.6924),(62 7231.144),(63 7207.1714),(64 7084.889),(65 7076.3184),(66 7140.803),(67 7172.596),(68 7180.2476),(69 7150.236),(70 7158.608),(71 7152.9517),(72 7181.2153),(73 7299.5815),(74 7312.4653),(75 7299.752),(76 7294.1494),(77 7320.7734),(78 7402.701),(79 7433.334),
(1 1963.5869),(2 3257.175),(3 4193.9663),(4 4827.79),(5 5358.142),(6 5838.3555),(7 6198.8545),(8 6445.631),(9 6711.3145),(10 6836.2007),(11 6967.966),(12 7031.366),(13 7205.978),(14 7226.657),(15 7347.727),(16 7322.2285),(17 7350.7983),(18 7437.283),(19 7457.1675),(20 7449.3564),(21 7426.7354),(22 7395.0776),(23 7308.576),(24 7277.448),(25 7247.6143),(26 7248.3438),(27 7281.5015),(28 7279.7363),(29 7210.5493),(30 7197.1396),(31 7152.967),(32 7089.6553),(33 7052.747),(34 6975.8687),(35 6901.1567),(36 6821.5615),(37 6829.4927),(38 6819.5005),(39 6879.2075),(40 6827.7686),(41 6896.1206),(42 6943.6475),(43 7063.7676),(44 7021.21),(45 7077.869),(46 7070.3135),(47 7094.8813),(48 7130.0864),(49 7145.2144),(50 7150.988),(51 7198.1426),(52 7275.1143),(53 7274.8047),(54 7303.564),(55 7304.023),(56 7294.054),(57 7249.6753),(58 7299.979),(59 7228.517),(60 7187.9253),(61 7110.436),(62 7078.061),(63 7077.4683),(64 7079.217),(65 7111.088),(66 7103.3022),(67 7176.2886),(68 7171.345),(69 7152.024),(70 7092.258),(71 7095.4688),(72 7039.305),(73 7051.964),(74 7018.405),(75 7001.7744),(76 6989.472),(77 6966.349),(78 6998.733),(79 6980.033),
(1 1998.3108),(2 3300.2515),(3 4223.809),(4 4859.324),(5 5360.1187),(6 5781.148),(7 6120.3154),(8 6379.9243),(9 6624.6304),(10 6752.5483),(11 6849.6143),(12 6950.6733),(13 7165.2227),(14 7208.782),(15 7273.9277),(16 7241.9067),(17 7281.6016),(18 7345.232),(19 7320.8247),(20 7252.422),(21 7160.057),(22 7154.807),(23 7097.463),(24 7135.4937),(25 7131.721),(26 7148.29),(27 7169.5225),(28 7203.552),(29 7109.1553),(30 6960.158),(31 6925.904),(32 6917.3296),(33 6799.1455),(34 6740.2065),(35 6648.8164),(36 6625.4634),(37 6668.073),(38 6740.111),(39 6817.4585),(40 6834.638),(41 6854.76),(42 6906.7266),(43 7020.485),(44 6957.1157),(45 6971.259),(46 6961.873),(47 6973.3735),(48 6962.5894),(49 6964.461),(50 6996.9595),(51 7057.823),(52 7142.568),(53 7196.027),(54 7212.2773),(55 7216.907),(56 7228.1343),(57 7165.863),(58 7178.0254),(59 7088.097),(60 7012.0977),(61 6938.509),(62 6886.6655),(63 6890.88),(64 6861.147),(65 6861.585),(66 6884.9644),(67 6901.0757),(68 6916.5415),(69 6961.605),(70 6912.6113),(71 6923.0234),(72 6905.9272),(73 7030.0747),(74 7075.132),(75 7084.956),(76 7037.545),(77 6982.2954),(78 6981.8506),(79 7030.6416),
(1 1956.3124),(2 3215.8992),(3 4118.6875),(4 4768.455),(5 5310.4087),(6 5789.279),(7 6130.228),(8 6401.8345),(9 6604.5244),(10 6696.8457),(11 6790.617),(12 6878.4565),(13 7030.544),(14 7029.5977),(15 7075.4272),(16 7101.677),(17 7149.376),(18 7166.449),(19 7224.733),(20 7214.7627),(21 7176.7764),(22 7243.6455),(23 7147.044),(24 7200.7285),(25 7151.358),(26 7109.228),(27 7112.9043),(28 7183.7983),(29 7089.627),(30 7015.3037),(31 7019.715),(32 7016.369),(33 6958.4907),(34 6869.679),(35 6792.7793),(36 6760.3735),(37 6785.328),(38 6804.6606),(39 6893.911),(40 6961.241),(41 7009.9897),(42 7047.8477),(43 7144.622),(44 7161.1997),(45 7134.111),(46 7155.568),(47 7196.932),(48 7212.357),(49 7216.3037),(50 7277.4453),(51 7336.705),(52 7411.548),(53 7402.929),(54 7432.997),(55 7462.002),(56 7432.9517),(57 7364.893),(58 7353.102),(59 7238.5527),(60 7132.955),(61 7031.4233),(62 6874.806),(63 6824.744),(64 6812.498),(65 6817.2017),(66 6814.2944),(67 6810.7695),(68 6833.877),(69 6863.9175),(70 6891.4688),(71 6882.5947),(72 6869.5693),(73 7018.1484),(74 7070.548),(75 7121.6577),(76 7121.5747),(77 7177.079),(78 7184.1357),(79 7210.332),
(1 1935.3851),(2 3132.8435),(3 4015.0845),(4 4659.6772),(5 5174.5254),(6 5612.073),(7 5974.816),(8 6264.205),(9 6525.321),(10 6651.651),(11 6741.9346),(12 6774.053),(13 6870.355),(14 6862.9155),(15 6888.2627),(16 6918.078),(17 6992.3667),(18 7003.065),(19 6982.1055),(20 6953.7344),(21 6918.3203),(22 6959.4785),(23 6892.1997),(24 6944.8677),(25 6964.976),(26 6932.4175),(27 6918.0313),(28 7043.165),(29 7006.402),(30 6967.257),(31 6895.666),(32 6844.8633),(33 6802.445),(34 6708.4053),(35 6653.4663),(36 6580.8193),(37 6567.721),(38 6579.9814),(39 6625.8467),(40 6578.0947),(41 6614.5967),(42 6620.96),(43 6768.626),(44 6841.206),(45 6869.0425),(46 6864.75),(47 6815.1914),(48 6814.3247),(49 6833.016),(50 6877.5615),(51 6924.163),(52 6891.6743),(53 6915.6123),(54 6835.403),(55 6808.1104),(56 6760.4),(57 6731.0347),(58 6681.2554),(59 6632.536),(60 6574.785),(61 6526.6484),(62 6427.661),(63 6379.535),(64 6329.122),(65 6312.1816),(66 6327.905),(67 6388.6494),(68 6382.1577),(69 6485.6836),(70 6497.4893),(71 6605.269),(72 6625.7026),(73 6712.514),(74 6760.977),(75 6831.085),(76 6830.6504),(77 6923.38),(78 6971.3604),(79 6997.41),
(1 1876.1233),(2 3007.846),(3 3821.3164),(4 4419.066),(5 4873.6826),(6 5293.8823),(7 5659.54),(8 5984.82),(9 6251.296),(10 6388.0835),(11 6465.377),(12 6524.137),(13 6606.29),(14 6571.801),(15 6577.15),(16 6523.983),(17 6539.9004),(18 6627.022),(19 6641.669),(20 6619.064),(21 6618.046),(22 6605.3057),(23 6593.633),(24 6611.2627),(25 6582.529),(26 6535.948),(27 6548.886),(28 6584.49),(29 6530.906),(30 6467.615),(31 6501.184),(32 6494.12),(33 6469.485),(34 6411.457),(35 6343.8516),(36 6306.413),(37 6313.982),(38 6320.2134),(39 6390.172),(40 6429.63),(41 6498.801),(42 6554.255),(43 6750.6704),(44 6789.989),(45 6825.58),(46 6866.434),(47 6866.932),(48 6881.6514),(49 6874.078),(50 6835.171),(51 6901.1733),(52 6910.4053),(53 6917.625),(54 6836.464),(55 6809.974),(56 6763.896),(57 6699.2295),(58 6648.2646),(59 6551.164),(60 6509.312),(61 6424.37),(62 6335.6523),(63 6337.784),(64 6250.357),(65 6239.1675),(66 6169.2305),(67 6199.7344),(68 6244.927),(69 6320.568),(70 6357.6016),(71 6444.0596),(72 6445.1714),(73 6552.763),(74 6610.4697),(75 6656.9844),(76 6658.794),(77 6721.6777),(78 6767.4976),(79 6808.464),
(1 1823.4329),(2 2919.467),(3 3691.5588),(4 4263.194),(5 4719.187),(6 5136.4805),(7 5468.305),(8 5740.3),(9 5966.814),(10 6051.157),(11 6143.3813),(12 6167.06),(13 6265.4707),(14 6339.954),(15 6372.5977),(16 6394.7676),(17 6402.4346),(18 6457.041),(19 6525.6265),(20 6500.282),(21 6475.242),(22 6468.7744),(23 6426.902),(24 6463.229),(25 6439.6636),(26 6418.1006),(27 6424.927),(28 6417.451),(29 6356.9883),(30 6294.1216),(31 6249.7583),(32 6251.136),(33 6241.986),(34 6165.9966),(35 6084.7534),(36 6086.17),(37 6086.3457),(38 6100.202),(39 6193.943),(40 6219.3267),(41 6228.3306),(42 6254.437),(43 6389.4946),(44 6409.842),(45 6495.4243),(46 6494.0815),(47 6525.243),(48 6534.2734),(49 6505.3364),(50 6535.388),(51 6586.1255),(52 6574.4614),(53 6571.994),(54 6562.93),(55 6553.373),(56 6519.472),(57 6405.271),(58 6401.207),(59 6358.71),(60 6342.7256),(61 6278.104),(62 6186.0327),(63 6188.3076),(64 6146.771),(65 6144.189),(66 6137.372),(67 6106.5576),(68 6105.977),(69 6184.849),(70 6200.2217),(71 6242.0728),(72 6255.127),(73 6354.242),(74 6364.3306),(75 6378.712),(76 6352.9214),(77 6418.2603),(78 6428.2827),(79 6470.6514),
(1 1791.4858),(2 2869.4463),(3 3635.342),(4 4168.223),(5 4573.42),(6 4962.343),(7 5275.441),(8 5551.0566),(9 5756.977),(10 5869.282),(11 5964.8267),(12 6019.22),(13 6165.864),(14 6191.1406),(15 6231.8433),(16 6249.8223),(17 6268.3745),(18 6353.592),(19 6392.2236),(20 6409.8003),(21 6350.68),(22 6328.066),(23 6269.5923),(24 6252.599),(25 6279.5034),(26 6224.059),(27 6263.2754),(28 6284.1606),(29 6235.235),(30 6199.0195),(31 6203.9453),(32 6165.4673),(33 6157.56),(34 6098.874),(35 5998.8423),(36 6033.065),(37 5948.6084),(38 5978.298),(39 6052.512),(40 6053.646),(41 6043.3438),(42 6077.8984),(43 6235.7095),(44 6271.1636),(45 6360.1934),(46 6355.2407),(47 6337.228),(48 6334.3125),(49 6307.101),(50 6288.2095),(51 6315.8027),(52 6314.508),(53 6356.191),(54 6313.611),(55 6387.152),(56 6377.587),(57 6284.5645),(58 6401.2505),(59 6386.493),(60 6290.5396),(61 6210.429),(62 6195.463),(63 6169.703),(64 6074.2876),(65 6043.164),(66 6059.415),(67 6098.8945),(68 6091.3687),(69 6165.186),(70 6203.0693),(71 6192.416),(72 6248.9478),(73 6393.065),(74 6373.81),(75 6419.249),(76 6431.6963),(77 6470.5796),(78 6504.798),(79 6539.2334),
(1 1794.823),(2 2887.2178),(3 3673.9072),(4 4233.546),(5 4674.0815),(6 5073.905),(7 5383.344),(8 5618.14),(9 5811.6284),(10 5928.072),(11 6037.354),(12 6068.6934),(13 6148.3057),(14 6202.1626),(15 6273.73),(16 6299.466),(17 6317.688),(18 6432.9756),(19 6488.098),(20 6463.844),(21 6427.9746),(22 6408.7744),(23 6330.6543),(24 6338.763),(25 6364.2676),(26 6340.986),(27 6381.625),(28 6403.6055),(29 6361.8296),(30 6329.2524),(31 6323.0967),(32 6268.961),(33 6253.2197),(34 6171.878),(35 6101.394),(36 6019.1973),(37 5960.36),(38 5940.769),(39 6008.6924),(40 6005.946),(41 5994.963),(42 6060.1006),(43 6247.88),(44 6284.954),(45 6371.117),(46 6456.5254),(47 6509.622),(48 6564.4624),(49 6537.5977),(50 6541.9033),(51 6533.497),(52 6608.2793),(53 6681.1333),(54 6663.018),(55 6690.243),(56 6644.152),(57 6628.3647),(58 6681.8906),(59 6593.4233),(60 6512.455),(61 6437.7407),(62 6399.935),(63 6384.3423),(64 6256.953),(65 6211.1333),(66 6223.535),(67 6233.1074),(68 6210.728),(69 6272.3745),(70 6261.4097),(71 6316.823),(72 6283.688),(73 6356.765),(74 6324.4106),(75 6370.3506),(76 6362.2393),(77 6384.9873),(78 6418.361),(79 6392.328),
(1 1726.551),(2 2785.0125),(3 3585.7126),(4 4139.1445),(5 4589.9653),(6 4963.4644),(7 5226.559),(8 5438.91),(9 5689.0303),(10 5788.495),(11 5907.8164),(12 5933.0254),(13 6068.2754),(14 6134.943),(15 6288.8325),(16 6300.3257),(17 6340.553),(18 6372.583),(19 6437.2715),(20 6426.127),(21 6353.4946),(22 6264.511),(23 6150.806),(24 6156.752),(25 6166.5127),(26 6122.273),(27 6202.8833),(28 6255.033),(29 6260.4272),(30 6227.4517),(31 6226.605),(32 6235.6206),(33 6187.353),(34 6066.7793),(35 5999.5093),(36 5950.807),(37 5876.538),(38 5843.4863),(39 5850.729),(40 5897.7183),(41 5902.2266),(42 5860.8237),(43 5907.243),(44 5945.5273),(45 5965.4536),(46 5973.432),(47 6021.822),(48 6084.4873),(49 6129.77),(50 6144.4336),(51 6207.9644),(52 6270.7524),(53 6350.9556),(54 6333.959),(55 6437.35),(56 6415.6367),(57 6369.103),(58 6392.374),(59 6344.9424),(60 6318.6157),(61 6273.801),(62 6218.0957),(63 6115.1113),(64 6062.6606),(65 6058.1416),(66 6073.9453),(67 6088.2754),(68 6112.0522),(69 6176.266),(70 6172.1836),(71 6231.086),(72 6247.471),(73 6334.3086),(74 6342.3765),(75 6336.627),(76 6329.8247),(77 6366.051),(78 6383.9707),(79 6439.3267),
(1 1785.6365),(2 2841.3164),(3 3596.3174),(4 4132.025),(5 4575.5903),(6 4950.6025),(7 5242.6523),(8 5526.947),(9 5812.607),(10 5984.7295),(11 6124.474),(12 6182.395),(13 6329.2524),(14 6381.4146),(15 6416.9043),(16 6418.708),(17 6459.768),(18 6414.6514),(19 6423.744),(20 6394.8247),(21 6340.426),(22 6317.5864),(23 6248.521),(24 6238.8228),(25 6244.519),(26 6205.2427),(27 6231.58),(28 6241.2764),(29 6159.485),(30 6128.8306),(31 6086.025),(32 6021.626),(33 5980.304),(34 5877.188),(35 5850.446),(36 5832.2075),(37 5792.3564),(38 5783.9175),(39 5879.904),(40 5879.502),(41 5893.1646),(42 5981.1416),(43 6129.2813),(44 6154.285),(45 6184.87),(46 6249.414),(47 6253.9326),(48 6326.968),(49 6314.681),(50 6308.5024),(51 6349.3574),(52 6423.3594),(53 6492.133),(54 6496.292),(55 6546.8813),(56 6541.2925),(57 6511.167),(58 6500.5547),(59 6441.6563),(60 6318.7256),(61 6264.5513),(62 6177.772),(63 6139.5293),(64 6046.7285),(65 6059.431),(66 6031.542),(67 6022.224),(68 6051.228),(69 6079.972),(70 6095.2344),(71 6092.8784),(72 6121.839),(73 6249.717),(74 6317.5527),(75 6299.665),(76 6294.573),(77 6276.592),(78 6323.6665),(79 6357.899),
(1 1735.6696),(2 2791.3223),(3 3535.8726),(4 4049.4224),(5 4525.6816),(6 4908.5737),(7 5261.49),(8 5506.274),(9 5715.092),(10 5768.4946),(11 5861.7056),(12 5888.453),(13 5981.759),(14 6043.118),(15 6087.5327),(16 6106.3555),(17 6116.933),(18 6179.247),(19 6198.76),(20 6198.482),(21 6219.4136),(22 6274.746),(23 6210.1914),(24 6171.3335),(25 6189.137),(26 6102.961),(27 6077.5283),(28 6082.324),(29 5977.9185),(30 5919.7847),(31 5866.0327),(32 5805.3506),(33 5785.856),(34 5686.526),(35 5653.993),(36 5663.3354),(37 5629.9473),(38 5661.68),(39 5760.612),(40 5795.32),(41 5800.5923),(42 5831.33),(43 5940.1177),(44 5923.51),(45 5961.2563),(46 5964.809),(47 6010.22),(48 6027.6167),(49 6003.585),(50 5944.0166),(51 5996.7646),(52 6048.88),(53 6111.507),(54 6131.15),(55 6145.6333),(56 6191.573),(57 6163.4854),(58 6220.755),(59 6196.4087),(60 6129.0996),(61 6058.0166),(62 6004.499),(63 6003.618),(64 5927.8354),(65 5900.592),(66 5840.819),(67 5887.5522),(68 5927.771),(69 5963.6353),(70 6012.9443),(71 6050.681),(72 6069.3154),(73 6174.871),(74 6214.541),(75 6224.718),(76 6207.226),(77 6236.4497),(78 6299.4434),(79 6297.4375),
(1 1696.2177),(2 2700.1472),(3 3414.687),(4 3917.276),(5 4377.4644),(6 4767.9683),(7 5080.8125),(8 5286.2437),(9 5457.5566),(10 5553.781),(11 5601.3965),(12 5653),(13 5755.035),(14 5788.9326),(15 5833.4707),(16 5821.7427),(17 5894.5386),(18 5946.4155),(19 5872.2544),(20 5798.785),(21 5759.472),(22 5783.511),(23 5785.893),(24 5816.2446),(25 5849.056),(26 5833.293),(27 5853.281),(28 5903.664),(29 5854.7466),(30 5899.607),(31 5889.403),(32 5835.953),(33 5797.0005),(34 5701.3867),(35 5662.181),(36 5605.297),(37 5579.926),(38 5572.734),(39 5617.3535),(40 5636.783),(41 5654.442),(42 5726.9507),(43 5886.279),(44 5909.8784),(45 5991.1777),(46 5991.267),(47 6002.556),(48 6050.562),(49 6044.407),(50 6083.933),(51 6120.938),(52 6168.643),(53 6179.0034),(54 6150.7056),(55 6170.0596),(56 6099.1606),(57 6059.885),(58 6049.342),(59 5932.0654),(60 5831.282),(61 5753.133),(62 5730.0103),(63 5724.763),(64 5675.1655),(65 5666.946),(66 5678.4775),(67 5713.4673),(68 5713.798),(69 5756.3984),(70 5801.1255),(71 5863.3345),(72 5863.5894),(73 5999.91),(74 6024.511),(75 6094.3896),(76 6101.615),(77 6152.796),(78 6142.3),(79 6193.858),
(1 1656.2206),(2 2632.7107),(3 3330.2312),(4 3836.735),(5 4212.9453),(6 4573.809),(7 4808.277),(8 4967.8833),(9 5137.9995),(10 5245.205),(11 5326.2188),(12 5371.0903),(13 5512.0073),(14 5502.7007),(15 5589.002),(16 5621.0273),(17 5667.906),(18 5691.5654),(19 5689.021),(20 5687.1826),(21 5688.162),(22 5652.8086),(23 5679.485),(24 5656.306),(25 5674.5293),(26 5631.4966),(27 5666.279),(28 5678.121),(29 5648.2397),(30 5669.584),(31 5618.544),(32 5613.97),(33 5553.485),(34 5500.285),(35 5493.808),(36 5430.057),(37 5394.544),(38 5391.0005),(39 5474.702),(40 5522.298),(41 5584.408),(42 5696.9414),(43 5839.257),(44 5853.9814),(45 5904.1597),(46 5967.94),(47 6036.2056),(48 6062.405),(49 6050.3467),(50 6056),(51 6128.5586),(52 6172.891),(53 6148.532),(54 6135.826),(55 6119.5693),(56 6121.3477),(57 6067.5386),(58 6069.1084),(59 6007.476),(60 5957.8867),(61 5921.7607),(62 5844.842),(63 5771.9663),(64 5692.446),(65 5702.772),(66 5682.5044),(67 5637.912),(68 5655.513),(69 5698.506),(70 5701.4297),(71 5749.5107),(72 5713.7554),(73 5797.918),(74 5817.3203),(75 5888.9326),(76 5923.4917),(77 5961.75),(78 6010.2324),(79 6009.0757),
