1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 64424.566),(2 46810.25),(3 150444.25),(4 163641.19),(5 301239.63),(6 348006.53),(7 513321.03),(8 578696.7),(9 762184.5),(10 847126.25),(11 1056926.6),(12 1178836.6),(13 1438631.5),(14 1589946.4),(15 1862846.1),(16 2013388.4),(17 2280527.3),(18 2444845),(19 2750047.8),(20 2940785.3),(21 3264361.8),(22 3481278),(23 3822666.8),(24 4021017.3),(25 4384136),(26 4621415.5),(27 4983195),(28 5205844),(29 5575669.5),(30 5795688),(31 6158955.5),(32 6347427.5),(33 6643653.5),(34 6778850.5),(35 7052444.5),(36 7252553.5),(37 7627543.5),(38 7878418.5),(39 8296701.5),(40 8540268),(41 8916999),(42 9133723),(43 9493053),(44 9683373),(45 10016775),(46 10176464),(47 10428219),(48 10529736),(49 10771721),(50 10872699),(51 11092064),(52 11198136),(53 11462117),(54 11585027),(55 11808359),(56 11860773),(57 12021409),(58 11980557),(59 12043187),(60 11917364),(61 11902819),(62 11747356),(63 11775093),(64 11715701),(65 11769499),(66 11648780),(67 11707067),(68 11644600),(69 11718811),(70 11651695),(71 11699303),(72 11590477),(73 11619227),(74 11427821),(75 11368841),(76 11125243),(77 11078917),(78 10913943),(79 10934342),
(1 8140.7515),(2 15427.388),(3 20978.555),(4 24121.781),(5 31112.838),(6 32793.184),(7 35580.438),(8 36872.313),(9 40517.17),(10 40374.637),(11 42798.098),(12 42890.246),(13 44827.668),(14 44107.266),(15 46066.56),(16 45486.61),(17 46800.777),(18 45871.832),(19 47263.96),(20 46064.973),(21 47795.645),(22 47181.824),(23 49333.355),(24 47855.438),(25 49445.336),(26 47934.383),(27 48740.84),(28 47449.79),(29 48957.273),(30 48653.875),(31 50368.95),(32 48811.164),(33 49754.797),(34 48320.46),(35 50154.695),(36 49310.06),(37 51709.49),(38 51284.055),(39 52985.355),(40 52259.473),(41 54653.43),(42 54363.742),(43 56562.848),(44 56124.117),(45 57859.457),(46 56609.875),(47 58380.098),(48 58294.09),(49 60569.066),(50 60370.676),(51 62838.496),(52 61827.707),(53 63785.84),(54 62504.824),(55 64411.434),(56 63655.645),(57 64963.434),(58 63746.85),(59 65692.35),(60 64579.74),(61 66065.25),(62 64862.047),(63 66821.67),(64 66407.12),(65 68280.88),(66 67246.75),(67 68683.91),(68 68373.016),(69 70131.32),(70 69300.055),(71 70837.03),(72 70048.7),(73 71746.805),(74 70904.586),(75 73267.27),(76 73588.43),(77 76796.484),(78 77528.44),(79 80286.02),
(1 7718.6577),(2 14516.123),(3 20470.17),(4 23748.846),(5 30335.002),(6 31999.13),(7 35476.426),(8 36576.707),(9 40579.035),(10 40245.773),(11 42777.367),(12 42251.734),(13 44165.83),(14 43663.906),(15 46347.223),(16 46271.723),(17 48454.496),(18 47659.93),(19 49202.574),(20 47619.902),(21 49025.848),(22 48239.22),(23 50057.46),(24 48692.52),(25 50258.746),(26 48576.676),(27 50139.54),(28 48645.863),(29 49906.52),(30 48785.902),(31 50244.082),(32 48287.51),(33 49563.203),(34 48495.77),(35 49875.863),(36 48802.69),(37 50750.08),(38 49436.98),(39 51018.617),(40 49460.61),(41 51332.164),(42 50404.51),(43 52621.934),(44 52223.1),(45 54953.027),(46 53749.203),(47 56175.652),(48 55647.42),(49 58155.902),(50 57334.324),(51 59091.96),(52 57818),(53 59817.207),(54 59127.445),(55 61293.17),(56 60309.875),(57 61890.074),(58 60984.867),(59 62720.742),(60 61687.45),(61 63372.004),(62 62264.188),(63 64326.88),(64 63576.336),(65 65502.117),(66 64446.887),(67 66046.45),(68 64646.26),(69 66106.84),(70 64887.758),(71 66203.44),(72 64516.574),(73 66170.33),(74 64814.758),(75 67117.61),(76 66830.51),(77 70357.39),(78 70066.14),(79 72432.61),
(1 7818.0806),(2 14742.124),(3 20144.709),(4 23575.38),(5 30511.262),(6 31816.174),(7 34924.586),(8 35894.438),(9 39689.574),(10 40043.977),(11 42456.73),(12 41669.2),(13 44023.3),(14 43501.875),(15 45587.223),(16 45649.082),(17 47930.332),(18 46563.89),(19 47912.19),(20 46588.633),(21 48117.957),(22 46757.957),(23 48032.508),(24 47487.24),(25 49198.566),(26 47218.86),(27 48400.023),(28 47513.313),(29 49116.715),(30 48410.598),(31 50362.504),(32 49054.01),(33 50509.86),(34 49551.473),(35 51246.37),(36 50153.74),(37 52160.184),(38 51131.945),(39 53152.2),(40 52555.38),(41 55013.074),(42 54039.023),(43 55687.887),(44 54252.56),(45 55733.125),(46 54074.207),(47 55867.293),(48 54866.652),(49 56796.89),(50 55567.953),(51 57056.047),(52 55601.9),(53 56932.41),(54 56038.51),(55 57599.95),(56 56163.65),(57 57895.16),(58 57607.066),(59 59188.918),(60 57928.61),(61 59576.19),(62 58482.363),(63 60411.918),(64 60065.023),(65 62575.984),(66 61598.27),(67 62852.44),(68 61894.816),(69 64335.4),(70 63193.55),(71 65300.39),(72 64897.223),(73 66752.22),(74 65574.305),(75 67620.836),(76 67833.23),(77 71290.59),(78 71622.336),(79 74063.73),
(1 7576.6187),(2 13907.2705),(3 18878.762),(4 21971.438),(5 27997.316),(6 28752.637),(7 31477.012),(8 33002.28),(9 36843),(10 36856.004),(11 39519.105),(12 39396.926),(13 41241.215),(14 40886.438),(15 43386.64),(16 43275.633),(17 45124.707),(18 44058.59),(19 45235.203),(20 43434.727),(21 44863.527),(22 43606.316),(23 44912.215),(24 43988.594),(25 45756.36),(26 44528.473),(27 46131.906),(28 45253.83),(29 47452.66),(30 47068.89),(31 48662.92),(32 47039.78),(33 49206.707),(34 48208.832),(35 49591.21),(36 48682.37),(37 50383.05),(38 49190.816),(39 51206.88),(40 50656.113),(41 52701.656),(42 51868.973),(43 53458.605),(44 52347.184),(45 53982.355),(46 53485.402),(47 55037.38),(48 53751.332),(49 55752.85),(50 55222.676),(51 56227.023),(52 54945.426),(53 57109.906),(54 56720.89),(55 58066.047),(56 56748.316),(57 58148.758),(58 57217.133),(59 59256.418),(60 58499.895),(61 59903.91),(62 58847.934),(63 60139.766),(64 58359.188),(65 59922.63),(66 58621.11),(67 59510.766),(68 58028.914),(69 59221.59),(70 58324.41),(71 60765.53),(72 60052.234),(73 62098.867),(74 61010.684),(75 62628.63),(76 62470.875),(77 66035.414),(78 66156.94),(79 69037.41),
(1 7414.5806),(2 13368.864),(3 18530.797),(4 21800.404),(5 27554.316),(6 28187.045),(7 31624.51),(8 33207.035),(9 36826.48),(10 37287.406),(11 39886.188),(12 38926.582),(13 40755.09),(14 40624.81),(15 43161.152),(16 42185.324),(17 43669.008),(18 42861.055),(19 44065.137),(20 42397.55),(21 44259.727),(22 43476.46),(23 45751.76),(24 45165.047),(25 46834.914),(26 45645.65),(27 47539.03),(28 46708.418),(29 48241.418),(30 46591.816),(31 47972.75),(32 46490.87),(33 48236.766),(34 47112.184),(35 48908.113),(36 47863.152),(37 49406.32),(38 48870.316),(39 51082.02),(40 50222.96),(41 52160.273),(42 51689.81),(43 53255.207),(44 50904.473),(45 51480.313),(46 50718.656),(47 52088.563),(48 50768.918),(49 52626.234),(50 51484.81),(51 52980.883),(52 52652.07),(53 54459.75),(54 53247.855),(55 54751.77),(56 53907.656),(57 55340.574),(58 54574.66),(59 56268.207),(60 55624.08),(61 57662.23),(62 56969.28),(63 58595.61),(64 57451.58),(65 59501.965),(66 58223.863),(67 59751.48),(68 58330.582),(69 59254.266),(70 58615.05),(71 61217.715),(72 60440.266),(73 62170.23),(74 61506.516),(75 63478.49),(76 63195.336),(77 65922.78),(78 65153.28),(79 67208.88),
(1 7365.7866),(2 13337.093),(3 18329.955),(4 21362.363),(5 26742.727),(6 26899.18),(7 29836.896),(8 31017.512),(9 34111.38),(10 33634.734),(11 36063.574),(12 35656.242),(13 37833.793),(14 37439.35),(15 39864.78),(16 39201.137),(17 41280.832),(18 40369.035),(19 42218.027),(20 41056.11),(21 43114.02),(22 42281.543),(23 44208.813),(24 43358.2),(25 44686.05),(26 43902.484),(27 46238.676),(28 45448.484),(29 47493.25),(30 46602.207),(31 47682.105),(32 46188.617),(33 47821.902),(34 46754.28),(35 48058.15),(36 47100.99),(37 48841.223),(38 48092.28),(39 49776.875),(40 48903.617),(41 50310.273),(42 48985.938),(43 50255.28),(44 48671.746),(45 49646.96),(46 48643.313),(47 50970.26),(48 49776.37),(49 51497.973),(50 50494.316),(51 52652.62),(52 52197.305),(53 54594.688),(54 53716.742),(55 55331.793),(56 54401.76),(57 56041.047),(58 54342.207),(59 55982.2),(60 54980.395),(61 56761.543),(62 55598.605),(63 56953.59),(64 55113.027),(65 56635.797),(66 55708.3),(67 57245.652),(68 55811.355),(69 57481.887),(70 56285.76),(71 58367.844),(72 57498.773),(73 59720.723),(74 59602.355),(75 63136.684),(76 63718.555),(77 66406.79),(78 65919.04),(79 68932.95),
(1 7288.7505),(2 13316.603),(3 18029.475),(4 20889.219),(5 26077.041),(6 26316.732),(7 29751.879),(8 31400.91),(9 34678.926),(10 34553.902),(11 37223.156),(12 36623.844),(13 38725.313),(14 39007.64),(15 41135.82),(16 40452.14),(17 42863.695),(18 42067.813),(19 43143.313),(20 41886.97),(21 43178.82),(22 42215.29),(23 43372.945),(24 42292.23),(25 43818.703),(26 43088.984),(27 44565.016),(28 43799.984),(29 45843.824),(30 44741.586),(31 45520.96),(32 44128.895),(33 45448.12),(34 44391.01),(35 45655.254),(36 44825.117),(37 46268.605),(38 45559.766),(39 47435.414),(40 46797.18),(41 48535.4),(42 47459.44),(43 48418.23),(44 47134.18),(45 48302.457),(46 46316.37),(47 47434.34),(48 47143.48),(49 48593.777),(50 47310.24),(51 49234.414),(52 48994.88),(53 51034.605),(54 50570.973),(55 52074.25),(56 51233.81),(57 53047.96),(58 52040.023),(59 53129.46),(60 52121.69),(61 54545.395),(62 54245.77),(63 55679.45),(64 54199.39),(65 55754.105),(66 55007.316),(67 56199.324),(68 55180.332),(69 56072.04),(70 54964.785),(71 57332.742),(72 57302.09),(73 59644.336),(74 59583.887),(75 62322.066),(76 62643.18),(77 65423.156),(78 65245.613),(79 67968.484),
(1 7417.401),(2 13279.512),(3 18273.432),(4 21307.627),(5 26356.148),(6 26409.31),(7 30021.563),(8 31376.436),(9 34575.652),(10 34572.773),(11 37272.69),(12 36844.19),(13 39065.332),(14 38712.05),(15 40433.598),(16 39126.965),(17 40651.055),(18 39398.383),(19 40818.92),(20 39784.92),(21 41506.97),(22 40977.867),(23 43194.11),(24 42228.066),(25 43594.863),(26 43108.977),(27 45393.625),(28 44950.773),(29 46971.62),(30 45834.17),(31 47014.805),(32 45395.78),(33 46613.44),(34 45307.137),(35 46709.656),(36 45438.79),(37 47075.86),(38 45994.11),(39 48223.73),(40 47358.156),(41 48722.36),(42 46778.813),(43 47292.125),(44 45299.42),(45 46543.66),(46 45234.074),(47 46386.957),(48 45304.977),(49 46851.367),(50 45983.64),(51 47932.23),(52 47259.68),(53 49022.41),(54 48773.383),(55 51018.03),(56 49885.51),(57 51824.652),(58 51072.137),(59 53376.2),(60 52516.836),(61 54511.652),(62 53753.086),(63 55627.645),(64 54497.13),(65 56018.3),(66 55067.523),(67 56972.86),(68 56683.016),(69 58740.715),(70 57983.734),(71 60163.5),(72 59566.652),(73 61207.5),(74 61189.887),(75 63789.17),(76 64034.617),(77 66251.45),(78 66244.78),(79 68446.54),
(1 6987.221),(2 12704.58),(3 17441.615),(4 20698.24),(5 25523.143),(6 26061.623),(7 29441.16),(8 30471.46),(9 32832.523),(10 32886.973),(11 35470.65),(12 34976.164),(13 36709.29),(14 36451.426),(15 38074.168),(16 36758.684),(17 38260.727),(18 37001.31),(19 37826.91),(20 36968.816),(21 38086.93),(22 37014.914),(23 38716.082),(24 37805.97),(25 39808.945),(26 39324.945),(27 40932.523),(28 40697.316),(29 42200.19),(30 40892.375),(31 42267.125),(32 40808.91),(33 41757.39),(34 40946.805),(35 41998.598),(36 40888.23),(37 42367.695),(38 41531.816),(39 43175.43),(40 42384.45),(41 43274.06),(42 41674.8),(43 42364.35),(44 41516.31),(45 42800.48),(46 41245.965),(47 42161.516),(48 41214.04),(49 42483.023),(50 41685.934),(51 43239.055),(52 42518.77),(53 44841.52),(54 44452.945),(55 46081.86),(56 44975.883),(57 46339.99),(58 45440.785),(59 47272.523),(60 46931.15),(61 48676.68),(62 47941.336),(63 49303.656),(64 48431.484),(65 49853.074),(66 48743.047),(67 50257.41),(68 50317.496),(69 51830.734),(70 51578.527),(71 53577.85),(72 53188.69),(73 55507.625),(74 55536.617),(75 57221.96),(76 57142.62),(77 60460.883),(78 61044.09),(79 63626.363),
(1 7005.0513),(2 12516.076),(3 17146.98),(4 20063.938),(5 24760.055),(6 25053.76),(7 28198.377),(8 29011.791),(9 31524.11),(10 31415.96),(11 33654.176),(12 33061.754),(13 34956.52),(14 34873.707),(15 36761.49),(16 35986.65),(17 37596.402),(18 36290.5),(19 37211.16),(20 35968.945),(21 37060.25),(22 36294.06),(23 37884.586),(24 36912.305),(25 38878.625),(26 38336.855),(27 39665.18),(28 38915.875),(29 40486.89),(30 39448.203),(31 40277.156),(32 38946.5),(33 40191.61),(34 39069.586),(35 40233.656),(36 39528.18),(37 40869.227),(38 39529.945),(39 40655.016),(40 40053.434),(41 41669.348),(42 40351.805),(43 41030.688),(44 39715.67),(45 40822.773),(46 39601.914),(47 40909.246),(48 40030.117),(49 41394.84),(50 40024.82),(51 41347.8),(52 40835.863),(53 42331.754),(54 41209.07),(55 42727.438),(56 41799.55),(57 43017.95),(58 41882.227),(59 43772.637),(60 43442.742),(61 44888.7),(62 43678.48),(63 45578.574),(64 44978.254),(65 46578.1),(66 45766.72),(67 46995.406),(68 46308.348),(69 48163.906),(70 47757.055),(71 50147.56),(72 50875.637),(73 53367.793),(74 52996.82),(75 55793.23),(76 56557.79),(77 59588.855),(78 59735.91),(79 61724.457),
(1 6930.0244),(2 12213.472),(3 16784.533),(4 19793.313),(5 24353.639),(6 24944.145),(7 28274.697),(8 29288.178),(9 32011.889),(10 31932.082),(11 33896.523),(12 33320.223),(13 35242.004),(14 35014.703),(15 36666.87),(16 36329.336),(17 38709.895),(18 37583.516),(19 38994.707),(20 37856.563),(21 39265.027),(22 38191.094),(23 39315.383),(24 38146.008),(25 39870.3),(26 39290.383),(27 41078.098),(28 40352.26),(29 41856.035),(30 40625.656),(31 41599.664),(32 40433.473),(33 41548.08),(34 40502.773),(35 41623.45),(36 41095.316),(37 42923.984),(38 42119.273),(39 43913.848),(40 42995.61),(41 43685.203),(42 41803.875),(43 42797.37),(44 41353.457),(45 42529.625),(46 41668.65),(47 43215.254),(48 42366.324),(49 44267.56),(50 43872.03),(51 45454.37),(52 44591.69),(53 46281.965),(54 45463.656),(55 46712.945),(56 45196.66),(57 46640.05),(58 45758.633),(59 47388.203),(60 46969.547),(61 48685.992),(62 47778.453),(63 49684.676),(64 48986.836),(65 50635.625),(66 49768.297),(67 51118.754),(68 50477.297),(69 52390.445),(70 52149.37),(71 54293.082),(72 54039.02),(73 55839.426),(74 55195.438),(75 57002.613),(76 56625.47),(77 58941.516),(78 58437.49),(79 60604.332),
(1 6798.3174),(2 11916.75),(3 16060.169),(4 18997.42),(5 23754.232),(6 24449.994),(7 28418.71),(8 29893.074),(9 32605.488),(10 32154.014),(11 34215.25),(12 33786.05),(13 35651.984),(14 35219.305),(15 36946.14),(16 36122.79),(17 37756.234),(18 36331.066),(19 37267.645),(20 35897.297),(21 37095.758),(22 36251.773),(23 37700.367),(24 36698.77),(25 38584.887),(26 37443.98),(27 38951.45),(28 37394.496),(29 38399.996),(30 37179.547),(31 38721.56),(32 37771.094),(33 39360.063),(34 38115.477),(35 39347.504),(36 38046.613),(37 39673.438),(38 39268.715),(39 41454.887),(40 40627.3),(41 41966.93),(42 40448.95),(43 41887.52),(44 41145.926),(45 43181.805),(46 42410.75),(47 44765.727),(48 44573.84),(49 47232.836),(50 46581.113),(51 48496.633),(52 47565),(53 48971.71),(54 48036.113),(55 49384.113),(56 47641.406),(57 49141.23),(58 48279.598),(59 49674.703),(60 48183),(61 49897.26),(62 49170.156),(63 50791.41),(64 49502.387),(65 50881.64),(66 48683.22),(67 49729.77),(68 48385.156),(69 49318.805),(70 47944.45),(71 50266.504),(72 49866.07),(73 51881.12),(74 51679.645),(75 53999.355),(76 53862.047),(77 55520.207),(78 55481.02),(79 57680.31),
(1 6858.2134),(2 11844.697),(3 16508.213),(4 19531.555),(5 23863.041),(6 24007.291),(7 27741.646),(8 28396.525),(9 30662.459),(10 30447.68),(11 32538.758),(12 31459.607),(13 33335.6),(14 32970.152),(15 34962.227),(16 33940.586),(17 35874.293),(18 34298.656),(19 35345.113),(20 33902.297),(21 34895.26),(22 33779.598),(23 35390.563),(24 34853.203),(25 37039.227),(26 36567.676),(27 38304.86),(28 37253.195),(29 38842.246),(30 38068.17),(31 39714.426),(32 38908.863),(33 40550.605),(34 39200.414),(35 40652.67),(36 39076.13),(37 40491.613),(38 39623.75),(39 41492.113),(40 40607.45),(41 42030.12),(42 40549.805),(43 42092.605),(44 40855.72),(45 42231.973),(46 40963.89),(47 42226.65),(48 41711.61),(49 43900.066),(50 43466.207),(51 45283.754),(52 44466.12),(53 45937.867),(54 44383.86),(55 45739.105),(56 44743.063),(57 46464.76),(58 45810.023),(59 47752.094),(60 46476.5),(61 48084.754),(62 47262.715),(63 49118.22),(64 48397.23),(65 50503.895),(66 49441.95),(67 50734.566),(68 50075.895),(69 51334.906),(70 50660.01),(71 53181.844),(72 52529.414),(73 54459.82),(74 53991.5),(75 56283.273),(76 56349.367),(77 59343.87),(78 59283.04),(79 61396.27),
(1 6592.761),(2 11350.131),(3 15857.83),(4 18765.12),(5 22810.182),(6 23089.385),(7 26170.383),(8 26785.256),(9 29262.975),(10 29090.725),(11 30487.574),(12 29544.941),(13 31377.723),(14 30846.422),(15 32283.607),(16 31763.686),(17 33301.594),(18 31911.305),(19 33650.484),(20 32733.408),(21 34225.938),(22 33507.184),(23 34995.98),(24 34407.17),(25 36157.223),(26 35523.29),(27 37089.004),(28 36119.855),(29 37191.51),(30 35682.44),(31 37226.47),(32 36760.33),(33 38298.023),(34 37490.31),(35 38766.918),(36 37518.383),(37 38905.67),(38 38161.906),(39 39657.875),(40 38783.785),(41 39948.973),(42 38033.367),(43 38920.73),(44 37775.246),(45 39036.465),(46 38061.285),(47 39632.29),(48 38927.367),(49 40816.004),(50 40012),(51 41253.57),(52 40711.83),(53 42387.723),(54 41102.586),(55 42866.773),(56 41994.52),(57 44012.79),(58 43705.82),(59 45853.63),(60 44899.625),(61 46398.305),(62 45276.55),(63 47218.855),(64 47069.875),(65 49366.574),(66 48830.613),(67 50027.65),(68 48975.43),(69 50880.695),(70 50509.434),(71 52676.12),(72 51963.023),(73 53387.723),(74 52966.934),(75 55789.47),(76 56086.01),(77 58755.523),(78 58759.406),(79 61113.4),
(1 6362.798),(2 10744.512),(3 15113.189),(4 17317.484),(5 21125.494),(6 21497.756),(7 24635.137),(8 25025.447),(9 27673.5),(10 27474.057),(11 29286.625),(12 28346.637),(13 30120.752),(14 29649.957),(15 31359.213),(16 30461.049),(17 31937.4),(18 31091.336),(19 32574.299),(20 31791.213),(21 33539.902),(22 32611.574),(23 34041.22),(24 33383.332),(25 34979.617),(26 34203.156),(27 35963.77),(28 34455.06),(29 35629.227),(30 34331.223),(31 35975.414),(32 34976.027),(33 36756.426),(34 35554.176),(35 36788.004),(36 36341.49),(37 38259.594),(38 37668.363),(39 39833.207),(40 38716.66),(41 39824.402),(42 38560.22),(43 40054.844),(44 39064.69),(45 40644.86),(46 39287.086),(47 40786.137),(48 39974.902),(49 41947.754),(50 41071.65),(51 42965.605),(52 42087.668),(53 43303.906),(54 42120.184),(55 43723.574),(56 42963.953),(57 45177.71),(58 44523.46),(59 46574.375),(60 45592.875),(61 47113.4),(62 46334.67),(63 48720.83),(64 48158.652),(65 50310.59),(66 49436.535),(67 50981.758),(68 50324.715),(69 52181.02),(70 51251.438),(71 53832.758),(72 53558.027),(73 55709.12),(74 54898.22),(75 57506.79),(76 57602.27),(77 60303.523),(78 60249.85),(79 62978.043),
(1 6382.786),(2 10581.372),(3 14725.583),(4 17147.21),(5 20734.334),(6 20647.768),(7 23697.453),(8 24203.729),(9 26564.078),(10 26363.135),(11 28288.014),(12 27648.91),(13 29351.934),(14 29472.742),(15 31483.572),(16 31195.824),(17 32605.49),(18 31683.342),(19 33365.72),(20 32291.432),(21 33621.31),(22 32518.365),(23 33816.816),(24 32991.438),(25 34448.7),(26 33647.28),(27 35154.89),(28 34010.797),(29 35147.426),(30 33820.145),(31 35012.477),(32 34087.348),(33 35126.74),(34 34106.617),(35 34990.867),(36 34183.33),(37 35543.8),(38 34574.457),(39 36217.38),(40 35344.29),(41 36207.73),(42 35117.1),(43 36695.23),(44 35769.9),(45 36859.79),(46 35520.07),(47 36917.563),(48 36097.2),(49 37797.19),(50 37224.375),(51 39310.324),(52 38418.01),(53 39645.984),(54 38486.23),(55 40121.582),(56 39593.055),(57 41306.773),(58 40553.83),(59 42463.07),(60 41957.42),(61 43241.145),(62 42299.582),(63 44159.805),(64 43117.484),(65 44694.78),(66 43675.17),(67 44826.543),(68 44252.855),(69 46034.305),(70 45410.83),(71 47971.4),(72 48280.484),(73 50263.605),(74 49931.355),(75 52074.043),(76 51321.11),(77 53059.953),(78 53012.035),(79 55537.918),
(1 6279.3022),(2 10285.734),(3 14788.788),(4 17206.885),(5 20629.814),(6 20618.303),(7 23475.459),(8 23616.063),(9 26142.87),(10 26045.555),(11 27755.535),(12 26962.59),(13 28305.668),(14 27846.715),(15 29320.24),(16 28541.113),(17 30044.604),(18 29262.404),(19 30873.578),(20 30177.35),(21 31736.064),(22 30710.482),(23 32219.3),(24 31433.84),(25 32957.96),(26 32235.723),(27 33524.64),(28 32271.521),(29 33324.727),(30 32069.37),(31 33330.027),(32 32162.354),(33 33155.273),(34 32014.664),(35 32958.438),(36 32124.031),(37 33323.117),(38 32289.932),(39 34223.484),(40 33326.98),(41 34951.637),(42 34210.44),(43 35895.813),(44 35242.965),(45 36561.543),(46 35432.72),(47 36716.203),(48 35658.535),(49 37039.89),(50 36594.434),(51 38572.246),(52 37713.723),(53 39096.766),(54 37895.53),(55 39456.48),(56 38574.207),(57 40241.11),(58 39532.69),(59 41345.957),(60 40210.305),(61 41971.49),(62 41102.816),(63 43034.973),(64 42553.332),(65 44374.2),(66 43176.207),(67 44554.707),(68 43676.637),(69 45289.395),(70 45109.27),(71 47676.52),(72 46877.152),(73 48680.11),(74 48211.5),(75 50262.207),(76 49706.45),(77 51966.55),(78 51336.234),(79 53095.11),
