1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 4227),(2 12260.28),(3 22544.678),(4 35212.76),(5 52423.49),(6 73015.62),(7 96162.445),(8 115786.48),(9 140758.25),(10 162555.42),(11 186896.75),(12 208331.75),(13 230735.7),(14 256192.5),(15 283088.9),(16 308637),(17 336819.66),(18 364290.84),(19 393047.13),(20 416576.6),(21 438883.9),(22 464702.1),(23 491865.16),(24 521970.6),(25 551530.06),(26 579979.44),(27 603645.94),(28 618900.44),(29 636839.1),(30 650770.5),(31 665647.56),(32 686438.3),(33 710347.3),(34 735359.5),(35 753415.2),(36 763393.8),(37 773232.3),(38 778389.7),(39 788112.06),(40 788213.7),(41 791347),(42 790494.25),(43 788872),(44 780994.8),(45 767211.7),(46 759508.5),(47 750006),(48 739001.75),(49 738852.5),(50 735924.3),(51 733935),(52 735684.94),(53 735159.44),(54 729921.94),(55 724827.25),(56 717128.5),(57 713014.7),(58 707834.06),(59 711618.25),(60 708650),(61 706656.75),(62 702633.2),(63 702901.44),(64 701704.06),(65 701690.8),(66 702661.3),(67 697774.3),(68 689194.7),(69 683645.3),(70 665535.56),(71 641528.56),(72 620796.7),(73 599134.8),(74 578475.3),(75 557942.4),(76 537731.3),(77 522725.34),(78 507633),(79 497592.6),
(1 2424.6873),(2 6087.2813),(3 9869.976),(4 12762.396),(5 14955.808),(6 16500.5),(7 17754.621),(8 18926.146),(9 20008.363),(10 21114.41),(11 22201.307),(12 23280.803),(13 24443.322),(14 25352.494),(15 26244.832),(16 27104.916),(17 27882.54),(18 28655.86),(19 29465.246),(20 30266.81),(21 31092.375),(22 31867.785),(23 32480.822),(24 32817.48),(25 33227.832),(26 33827.15),(27 34411.72),(28 35179.67),(29 35667.5),(30 36248.203),(31 36667.195),(32 37054.887),(33 37376.574),(34 37591.13),(35 37693.258),(36 37972.35),(37 38232.582),(38 38718.105),(39 39262.402),(40 39567.535),(41 39893.883),(42 40436.12),(43 40741.43),(44 40834.24),(45 40967.645),(46 41249.586),(47 41544.195),(48 42092.844),(49 42660.95),(50 43259.75),(51 43666.91),(52 44076.91),(53 44452.15),(54 44857.29),(55 45172.586),(56 45455.68),(57 45580.395),(58 45525.35),(59 45679.508),(60 45840.758),(61 46015.89),(62 46269.633),(63 46267.426),(64 46161.836),(65 46181.49),(66 46290.03),(67 46281.14),(68 46440.434),(69 46436.426),(70 46542.813),(71 46563.94),(72 46576.074),(73 46784.813),(74 46906.266),(75 46847.664),(76 46879.043),(77 47017.004),(78 47073.246),(79 47333.645),
(1 2434.0334),(2 6069.8696),(3 9737.569),(4 12606.438),(5 14806.728),(6 16588.748),(7 17860.26),(8 19005.14),(9 20137.654),(10 21294.43),(11 22435.447),(12 23561.943),(13 25024.266),(14 26170.982),(15 27314.422),(16 28259.318),(17 28920.914),(18 29597.178),(19 30365.414),(20 31329.658),(21 32464.734),(22 33571.56),(23 34399.05),(24 35126.88),(25 35850.723),(26 36642.355),(27 37316.73),(28 37982.004),(29 38601.574),(30 39209.113),(31 39710.586),(32 40195.832),(33 40511.87),(34 40694.707),(35 40856.813),(36 41044.582),(37 41013.57),(38 41163.94),(39 41716.324),(40 42313.22),(41 42829.004),(42 43225.164),(43 43555.55),(44 43863.2),(45 44072.402),(46 44335.563),(47 44497.3),(48 44895.69),(49 45434.28),(50 45693.28),(51 45859.355),(52 45983.027),(53 46079.934),(54 46375.19),(55 46486.684),(56 46414.684),(57 46319.844),(58 46314.785),(59 46315.766),(60 46373.438),(61 46428.625),(62 46553.81),(63 46770.953),(64 46870.418),(65 46784.31),(66 46530.723),(67 46427.67),(68 46442.035),(69 46655.652),(70 46662.063),(71 46624.03),(72 46612.113),(73 46576.7),(74 46419.61),(75 46340.24),(76 46430.81),(77 46698.848),(78 46955.035),(79 47393.348),
(1 2373.683),(2 5841.353),(3 9489.063),(4 12205.537),(5 14290.09),(6 16022.691),(7 17254.236),(8 18556.027),(9 19748.771),(10 21119.879),(11 22547.473),(12 23957.709),(13 25420.238),(14 26616.805),(15 27847.559),(16 28961.262),(17 29630.61),(18 30283.127),(19 30594.145),(20 31164.662),(21 31837.633),(22 32522.887),(23 33132.676),(24 33746.063),(25 34401.13),(26 35053.668),(27 35549.91),(28 35814.523),(29 36128.133),(30 36300.66),(31 36456.703),(32 36606.9),(33 36670.71),(34 36633.566),(35 36811.074),(36 36865.816),(37 36962.707),(38 37117.6),(39 37309.184),(40 37595.74),(41 37714.652),(42 37948.637),(43 38222.535),(44 38442.1),(45 38522.49),(46 38683.164),(47 38760.34),(48 38982.535),(49 39467.76),(50 39814.535),(51 40094.957),(52 40427.945),(53 40770.734),(54 41192.973),(55 41578.2),(56 41724.344),(57 42104.637),(58 42379.508),(59 42737.992),(60 43064.84),(61 43389.586),(62 43665.46),(63 43901.727),(64 44111.297),(65 44124.94),(66 44137.43),(67 44230.555),(68 44530.48),(69 45022.9),(70 45333.92),(71 45675.01),(72 45927.34),(73 46288.348),(74 46382.715),(75 46530.984),(76 46624.926),(77 46801.234),(78 47096.883),(79 47216.594),
(1 2347.8645),(2 5822.23),(3 9365.592),(4 11989.128),(5 14060.231),(6 15626.198),(7 16860.264),(8 18010.398),(9 19271.748),(10 20571.645),(11 21973.22),(12 23227.846),(13 24966.723),(14 26298.803),(15 27485.889),(16 28734.89),(17 29579.549),(18 30185.766),(19 30956.71),(20 31898.959),(21 32683.842),(22 33299.863),(23 33748.7),(24 34215.547),(25 34862.36),(26 35542.832),(27 36110.746),(28 36724.86),(29 37277.3),(30 37613.793),(31 37882.742),(32 38238.184),(33 38759.97),(34 39199.406),(35 39548.902),(36 39647.133),(37 39768.918),(38 39858.953),(39 40274.813),(40 40702.2),(41 41135.074),(42 41372.34),(43 41862.41),(44 42156.207),(45 42258.96),(46 42284.188),(47 42336.16),(48 42660.367),(49 43093.992),(50 43359.46),(51 43568.668),(52 43953.273),(53 44370.004),(54 44755.62),(55 45074.727),(56 45193.9),(57 45510.367),(58 45708.246),(59 45987.508),(60 46214.88),(61 46587.367),(62 47018.656),(63 47184.85),(64 47292.85),(65 47196.23),(66 47112.316),(67 47406.793),(68 47876.695),(69 48275.555),(70 48634.555),(71 48769.51),(72 48957.434),(73 49240.188),(74 49447.91),(75 49788.16),(76 50068.797),(77 50263.45),(78 50591.203),(79 50832.266),
(1 2339.3298),(2 5869.6216),(3 9455.473),(4 12132.509),(5 14180.341),(6 15805.382),(7 17066.836),(8 18146.535),(9 19266.885),(10 20490.037),(11 21702.52),(12 22809.758),(13 24281.514),(14 25471.803),(15 26710.686),(16 27927.86),(17 28707.184),(18 29294.547),(19 29993.309),(20 30941.242),(21 31782.967),(22 32604.51),(23 33254.613),(24 33836.176),(25 34546.125),(26 35195.92),(27 35846.28),(28 36369.61),(29 36922.977),(30 37318.063),(31 37760.227),(32 38389.457),(33 39073.063),(34 39454.434),(35 40063.457),(36 40508.395),(37 40735.555),(38 40842.805),(39 40923.96),(40 40818.207),(41 40868.31),(42 40767.387),(43 40833.87),(44 40879.047),(45 40803.434),(46 40816.47),(47 40868.94),(48 41143.363),(49 41409.24),(50 41601.82),(51 41919.55),(52 42189.797),(53 42496.23),(54 42913.016),(55 43173.855),(56 43311.74),(57 43243.945),(58 43341.965),(59 43525.67),(60 43787.195),(61 44117.313),(62 44509.953),(63 44649.58),(64 44602.117),(65 44441.402),(66 44267.04),(67 44236.35),(68 44222.01),(69 44346.57),(70 44471.21),(71 44604.76),(72 44841.04),(73 45266.95),(74 45389.42),(75 45716.98),(76 45981.004),(77 46312.13),(78 46421.953),(79 46544.668),
(1 2257.1243),(2 5517.3545),(3 8881.814),(4 11329.036),(5 13319.899),(6 14923.297),(7 16264.363),(8 17371.936),(9 18564.322),(10 19717.727),(11 20722.867),(12 21646.164),(13 23142.14),(14 24225.438),(15 25404.354),(16 26639.97),(17 27468.918),(18 28281.309),(19 29302.078),(20 30237.918),(21 31170.885),(22 31887.137),(23 32439.95),(24 32954.76),(25 33633.293),(26 34212.246),(27 34760.37),(28 35342.535),(29 35822.43),(30 36092.91),(31 36551.598),(32 37154.582),(33 37805.78),(34 38282.727),(35 38847.63),(36 39164.543),(37 39351.094),(38 39427.926),(39 39578.625),(40 39715.42),(41 40059.87),(42 40359.86),(43 40586.91),(44 40709.914),(45 40925.2),(46 41191.613),(47 41519.246),(48 41860.832),(49 42179.67),(50 42395.26),(51 42733.496),(52 43053.88),(53 43483.223),(54 43866.016),(55 44278.61),(56 44598.176),(57 44911.184),(58 45217.98),(59 45560.633),(60 45866.176),(61 46261.938),(62 46638.305),(63 46747.406),(64 46686.82),(65 46712.242),(66 46641.47),(67 46591.688),(68 46534.098),(69 46438.06),(70 46433.594),(71 46408.37),(72 46402.086),(73 46217.496),(74 46085.37),(75 46071.324),(76 46012.727),(77 46089.77),(78 46114.496),(79 46102.79),
(1 2300.8188),(2 5658.721),(3 8958.353),(4 11455.889),(5 13305.755),(6 14759.975),(7 15943.034),(8 17010.365),(9 18157.125),(10 19233.396),(11 20307.686),(12 21518.064),(13 22896.346),(14 23865.035),(15 24896.246),(16 25817.55),(17 26622.322),(18 27363.428),(19 28315.445),(20 29316.027),(21 29970.805),(22 30608.738),(23 31227.64),(24 31818.18),(25 32439.621),(26 33118.113),(27 33905.047),(28 34547.22),(29 34911.93),(30 35345.863),(31 35647.668),(32 36004.566),(33 36547.188),(34 37012.945),(35 37511.332),(36 37819.07),(37 37860.37),(38 37587.555),(39 37664.043),(40 37683.957),(41 37634.332),(42 37893.27),(43 38194.31),(44 38308.496),(45 38398.957),(46 38687.906),(47 39047.01),(48 39525.723),(49 39938.336),(50 40290.64),(51 40564.895),(52 40768.496),(53 41294.246),(54 41784.844),(55 42208.402),(56 42457.332),(57 42587.316),(58 42702.71),(59 42856.707),(60 43172.48),(61 43378.26),(62 43631.754),(63 43713.85),(64 43679.887),(65 43560.535),(66 43404.316),(67 43350.82),(68 43323.297),(69 43315.75),(70 43274.87),(71 43240.81),(72 42966.805),(73 42806.766),(74 42677.074),(75 42529.188),(76 42342.22),(77 42388.754),(78 42306.07),(79 42233.297),
(1 2245.9846),(2 5489.287),(3 8709.893),(4 11081.168),(5 12909.193),(6 14272.973),(7 15453.878),(8 16483.62),(9 17468.998),(10 18322.03),(11 19186.834),(12 20102.377),(13 21167.318),(14 21997.719),(15 22919.332),(16 23729.8),(17 24366.273),(18 24934.842),(19 25624.02),(20 26445.846),(21 26976.375),(22 27510.121),(23 28074.082),(24 28612.465),(25 29293.893),(26 29865.139),(27 30415.395),(28 31059.855),(29 31554.71),(30 32120.453),(31 32828.88),(32 33742.918),(33 34484.758),(34 35135.418),(35 35615.043),(36 35878.914),(37 35982.43),(38 36017.348),(39 36165.336),(40 36339.08),(41 36469.664),(42 36837.38),(43 37077.03),(44 37211.22),(45 37486.215),(46 37869.543),(47 38060.746),(48 38401.19),(49 38732.08),(50 38893.043),(51 39124.395),(52 39298.098),(53 39587.76),(54 39930.21),(55 40085.934),(56 40075.37),(57 40040.383),(58 39954.332),(59 40070.504),(60 40231.79),(61 40486.168),(62 40576.69),(63 40613.582),(64 40478.797),(65 40251.176),(66 39896.723),(67 39758.695),(68 39815.4),(69 40016.95),(70 40046.715),(71 39812.64),(72 39647.863),(73 39974.453),(74 40280.773),(75 40557.3),(76 40725.24),(77 41018.09),(78 41311.086),(79 41600.598),
(1 2309.0889),(2 5625.531),(3 9029.268),(4 11513.432),(5 13480.928),(6 14879.513),(7 15962.526),(8 17050.744),(9 18064.332),(10 19037.059),(11 20041.02),(12 21039.81),(13 22189.975),(14 23056.873),(15 23986.719),(16 24797.646),(17 25605.037),(18 26368.203),(19 27089.836),(20 27828.854),(21 28412.658),(22 29219.62),(23 29831.69),(24 30447.729),(25 31026.945),(26 31540.947),(27 32175.69),(28 33015.79),(29 33796.777),(30 34140.21),(31 34552.48),(32 35168.02),(33 35899.816),(34 36271.285),(35 36446.08),(36 36312.348),(37 36210.375),(38 36129.11),(39 36061.063),(40 36046.76),(41 36049.887),(42 36128.93),(43 36168.883),(44 36114.62),(45 36250.836),(46 36330.734),(47 36407.387),(48 36607.758),(49 36855.617),(50 37123.06),(51 37478.145),(52 37773.82),(53 38143.49),(54 38474.58),(55 38697.875),(56 38637.8),(57 38610.523),(58 38841.992),(59 39233.207),(60 39729.49),(61 40076.13),(62 40447.21),(63 40661.633),(64 40686.168),(65 40975.56),(66 41200.49),(67 41419.965),(68 41580.45),(69 41701.125),(70 41810.258),(71 41930),(72 41915.17),(73 42080.04),(74 42307.207),(75 42616.02),(76 43054.773),(77 43483.48),(78 43969.254),(79 44162.426),
(1 2273.275),(2 5577.7173),(3 8973.023),(4 11433.348),(5 13280.349),(6 14606.104),(7 15658.754),(8 16659.125),(9 17636.89),(10 18583.713),(11 19671.635),(12 20794.832),(13 22213.547),(14 23148.213),(15 24054.592),(16 24986.635),(17 25942.863),(18 26889.824),(19 27730.44),(20 28598.31),(21 29385.424),(22 30128.04),(23 30795.898),(24 31388.998),(25 31845.512),(26 32304.428),(27 32856.125),(28 33455.355),(29 33990.543),(30 34351.76),(31 34641.027),(32 35061.184),(33 35508.082),(34 35802.66),(35 36061.87),(36 36190.742),(37 36165.133),(38 36003.74),(39 35766.203),(40 35592.066),(41 35631.984),(42 35631.9),(43 35623.55),(44 35457.996),(45 35388.39),(46 35271.227),(47 35361.492),(48 35613.76),(49 35817.09),(50 36129.492),(51 36464.996),(52 36687.965),(53 36862.098),(54 36860.96),(55 36749.8),(56 36572.145),(57 36456.49),(58 36401.62),(59 36548.55),(60 36718.996),(61 37021.93),(62 37460.047),(63 37607.438),(64 37647.23),(65 37859.84),(66 38084.152),(67 38420.01),(68 38856.02),(69 39111.81),(70 39434.19),(71 39765.92),(72 39991.223),(73 40337.973),(74 40423.902),(75 40545.977),(76 40676.355),(77 40980.27),(78 41299.84),(79 41675.273),
(1 2257.6985),(2 5530.785),(3 8765.908),(4 11234.884),(5 13196.233),(6 14687.327),(7 15919.822),(8 17123.232),(9 18293.758),(10 19380.54),(11 20589.11),(12 21815.674),(13 23011.54),(14 23879.174),(15 24644.04),(16 25266.672),(17 25999.85),(18 26906.629),(19 27595.541),(20 28324.064),(21 28950.545),(22 29677.656),(23 30366.643),(24 30940.01),(25 31294.947),(26 31722.871),(27 31934.355),(28 32376.357),(29 32722.102),(30 32921.367),(31 33107.81),(32 33478.43),(33 33900.934),(34 34270.477),(35 34555.242),(36 34786.13),(37 34762.438),(38 34494.08),(39 34237.64),(40 34197.473),(41 34337.26),(42 34571.188),(43 34707.8),(44 34941.8),(45 34936.76),(46 34942.84),(47 35027.324),(48 35185.156),(49 35539.76),(50 35819.12),(51 36126.727),(52 36361.883),(53 36787.742),(54 37173.836),(55 37452.938),(56 37575.555),(57 37663.797),(58 37951.223),(59 38221.984),(60 38540.727),(61 38740.832),(62 39046.344),(63 39336.32),(64 39538.945),(65 39641.09),(66 39721.96),(67 40032.016),(68 40460.984),(69 40851.027),(70 41195.15),(71 41618.18),(72 41984),(73 42317.043),(74 42435.285),(75 42399.66),(76 42504.492),(77 42906.797),(78 43340.473),(79 43534.164),
(1 2207.5073),(2 5340.6455),(3 8414.632),(4 10735.21),(5 12657.459),(6 14136.066),(7 15372.517),(8 16592.707),(9 17766.283),(10 18892.412),(11 19903.236),(12 20740.709),(13 21777.852),(14 22567.738),(15 23423.258),(16 23998.781),(17 24486.082),(18 25035.693),(19 25582.83),(20 26238.396),(21 26855.973),(22 27395.568),(23 28116.527),(24 28772.193),(25 29370.518),(26 29927.957),(27 30308.453),(28 30764.617),(29 31186.04),(30 31564.611),(31 31981.682),(32 32481.582),(33 33002.184),(34 33304.746),(35 33650.145),(36 33974.22),(37 34219.93),(38 34504.594),(39 34931.195),(40 35369.492),(41 35752.86),(42 36041.082),(43 36393.47),(44 36602.586),(45 36781.883),(46 36937.977),(47 37198.54),(48 37451.566),(49 37676.414),(50 37803.145),(51 37984.258),(52 38179.055),(53 38582.445),(54 39124.914),(55 39433.574),(56 39367.434),(57 39309.813),(58 39067.535),(59 39158.027),(60 39231.055),(61 39383.703),(62 39540.266),(63 39526.816),(64 39510.6),(65 39495.22),(66 39618.67),(67 39873.676),(68 40176.348),(69 40481.96),(70 40787.473),(71 41128.098),(72 41354.863),(73 41522.652),(74 41725.48),(75 41685.906),(76 41976.434),(77 42380.336),(78 42819.406),(79 43022.8),
(1 2199.507),(2 5348.486),(3 8428.648),(4 10603.282),(5 12211.168),(6 13522.489),(7 14498.966),(8 15389.199),(9 16235.411),(10 17249.402),(11 18383.154),(12 19435.156),(13 20559.658),(14 21491.725),(15 22410.525),(16 23110.129),(17 23632.393),(18 24316.455),(19 25008.021),(20 25664.389),(21 26161.963),(22 26611.525),(23 27117.896),(24 27583.424),(25 28058.748),(26 28603.143),(27 28992.943),(28 29566.322),(29 29995.637),(30 30196.318),(31 30382.041),(32 30712.33),(33 31118.193),(34 31316.219),(35 31607.287),(36 31879.414),(37 32058.867),(38 32177.555),(39 32566.336),(40 32954.027),(41 33370.8),(42 33778.766),(43 33994.305),(44 34091.6),(45 34283.27),(46 34453.063),(47 34712.48),(48 35041.766),(49 35316.344),(50 35417.938),(51 35527.934),(52 35838.92),(53 36282.848),(54 36675.71),(55 37085.086),(56 37276.094),(57 37375.22),(58 37344.2),(59 37521.95),(60 37735.406),(61 38062.293),(62 38436.16),(63 38585.316),(64 38695.293),(65 38674.316),(66 38638.664),(67 38770.895),(68 39053.03),(69 39240.746),(70 39436.094),(71 39653.918),(72 39801.95),(73 40001.27),(74 40208.242),(75 40312.223),(76 40620.273),(77 40842.56),(78 41055.047),(79 41159.406),
(1 2185.9048),(2 5208.53),(3 8179.2856),(4 10233.763),(5 11855.058),(6 13225.843),(7 14357.373),(8 15395.047),(9 16455.834),(10 17539.268),(11 18580.895),(12 19646.275),(13 20876.79),(14 21933.885),(15 23051.16),(16 23913.451),(17 24629.34),(18 25485.795),(19 26340.652),(20 27032.016),(21 27398.314),(22 27674.293),(23 28085.094),(24 28436.568),(25 28658.719),(26 28946.979),(27 29163.643),(28 29496.87),(29 29840.586),(30 30040.941),(31 30163.35),(32 30163.875),(33 30219.05),(34 30218.441),(35 30463.748),(36 30710.7),(37 30805.188),(38 30902.104),(39 31061.926),(40 31239.768),(41 31429.162),(42 31622.484),(43 31750.943),(44 31771.943),(45 31945.078),(46 32110.275),(47 32394.67),(48 32820.96),(49 33107.406),(50 33325.52),(51 33558.26),(52 33995.242),(53 34636.844),(54 35361.03),(55 35971.74),(56 36492.23),(57 36970.598),(58 37396.137),(59 37889.227),(60 38538.113),(61 39160.402),(62 39698.63),(63 40149.63),(64 40485.6),(65 40665.477),(66 40850.918),(67 41037.094),(68 41356.723),(69 41450.996),(70 41571.89),(71 41772.984),(72 41761.24),(73 41998.207),(74 42219.414),(75 42342.434),(76 42556.25),(77 42510.395),(78 42454.25),(79 42245.793),
(1 2162.3992),(2 5215.387),(3 8153.528),(4 10257.901),(5 11938.712),(6 13371.122),(7 14562.864),(8 15672.058),(9 16614.055),(10 17548.658),(11 18413.213),(12 19250.229),(13 20462.846),(14 21474.63),(15 22490.229),(16 23493.734),(17 24271.656),(18 25043.402),(19 25751.193),(20 26342.064),(21 26906.664),(22 27387.848),(23 28179.193),(24 28942.777),(25 29663.613),(26 30150.719),(27 30490.244),(28 30853.209),(29 31165.852),(30 31419.35),(31 31844.94),(32 32064.68),(33 32210.502),(34 32118.145),(35 32137.895),(36 32353.502),(37 32462.42),(38 32688.088),(39 32873.31),(40 33177.395),(41 33513.813),(42 33737.234),(43 33899.465),(44 33970.23),(45 34020.156),(46 34103.188),(47 34324.543),(48 34862.125),(49 35240.9),(50 35593.883),(51 35663.965),(52 35788.344),(53 36112.85),(54 36408.21),(55 36615.93),(56 36836.58),(57 36951.227),(58 37218.297),(59 37636.52),(60 38052.047),(61 38468.81),(62 38795.277),(63 38873.12),(64 38833.223),(65 38627.33),(66 38543.03),(67 38463.984),(68 38520.613),(69 38468.34),(70 38488.184),(71 38603.67),(72 38560.715),(73 38373.223),(74 38187.344),(75 37986.16),(76 37985.855),(77 38094.36),(78 38246.13),(79 38264.164),
(1 2135.3982),(2 5203.217),(3 8050.4204),(4 10098.415),(5 11719.05),(6 12970.678),(7 14049.215),(8 15027.528),(9 16007.894),(10 16915.977),(11 17978.74),(12 19137.035),(13 20476.9),(14 21452.293),(15 22383.496),(16 23227.646),(17 23788.057),(18 24412.316),(19 25059.477),(20 25624.41),(21 26116.646),(22 26682.557),(23 27267.9),(24 27764.883),(25 28209.486),(26 28514.963),(27 28938.012),(28 29354.9),(29 29470.662),(30 29482.678),(31 29767.658),(32 30079.377),(33 30290.93),(34 30339.82),(35 30412.225),(36 30614.74),(37 30907.44),(38 30962.61),(39 31096.148),(40 31378.105),(41 31635.002),(42 32020.773),(43 32271.617),(44 32592.016),(45 32847.46),(46 33050.344),(47 33190.926),(48 33435.348),(49 33755.527),(50 33874.387),(51 33964.074),(52 34065.63),(53 34269.027),(54 34405.62),(55 34593.313),(56 34727.68),(57 34678.027),(58 34733.645),(59 35068.008),(60 35368.965),(61 35704.98),(62 36003.074),(63 36258.13),(64 36274.9),(65 36187.13),(66 36250.184),(67 36325.848),(68 36545.633),(69 36698.105),(70 36905.457),(71 37092.95),(72 37328.504),(73 37455.156),(74 37548.73),(75 37541.336),(76 37669.637),(77 37849.508),(78 38026.03),(79 38189.758),
(1 2112.658),(2 5139.7813),(3 8034.037),(4 10161.68),(5 11679.501),(6 12896.984),(7 13931.015),(8 14837.269),(9 15740.451),(10 16652.717),(11 17446.68),(12 18427.875),(13 19655.865),(14 20586.355),(15 21517.154),(16 22206.328),(17 22767.309),(18 23237.248),(19 23786.428),(20 24357.14),(21 24747.982),(22 25135.188),(23 25526.88),(24 25921.793),(25 26241.191),(26 26521.025),(27 26734.705),(28 26900.832),(29 26895.574),(30 26948.623),(31 27128.434),(32 27571.438),(33 27776.28),(34 27808.162),(35 27810.32),(36 27909.121),(37 27915.758),(38 27818.535),(39 28128.074),(40 28469.094),(41 28807.654),(42 29053.031),(43 29394.547),(44 29627.13),(45 29829.37),(46 30064.7),(47 30333.938),(48 30574.123),(49 31117.537),(50 31336.709),(51 31696.36),(52 31946.434),(53 32125.414),(54 32433.525),(55 32765.877),(56 33042.098),(57 33302.34),(58 33408.496),(59 33641.98),(60 33918.695),(61 34136.984),(62 34295.78),(63 34292.95),(64 34176.367),(65 34050.676),(66 33805.293),(67 33694.504),(68 33698.098),(69 33711.977),(70 33864.61),(71 34086.125),(72 34257.28),(73 34266.508),(74 34445.1),(75 34511.41),(76 34589.656),(77 34710.11),(78 34680.133),(79 34622.17),
