1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 78658.38),(2 285020.9),(3 578715.3),(4 930178),(5 1327069.4),(6 1733126.5),(7 2060157.6),(8 2335638.8),(9 2573455),(10 2690926.3),(11 2748424.3),(12 2751258.8),(13 2704342.3),(14 2626930.3),(15 2507774.3),(16 2390063.3),(17 2276850.8),(18 2192793.8),(19 2176364.3),(20 2241930.3),(21 2349741.8),(22 2512221.8),(23 2745081.3),(24 2982881.3),(25 3268496.8),(26 3575878),(27 3889716.8),(28 4182198),(29 4463160.5),(30 4738186.5),(31 5030920.5),(32 5359808),(33 5662698.5),(34 5943841.5),(35 6224478),(36 6496398.5),(37 6766868),(38 7007868),(39 7183348),(40 7335493.5),(41 7430408),(42 7462432.5),(43 7429371.5),(44 7460625.5),(45 7510826),(46 7567946),(47 7624510.5),(48 7627677.5),(49 7628163.5),(50 7603732),(51 7570298),(52 7499102.5),(53 7396762),(54 7244163.5),(55 7115297.5),(56 7013275.5),(57 6915303.5),(58 6860298.5),(59 6839676),(60 6908132),(61 6996766.5),(62 7227148.5),(63 7542209.5),(64 7995263.5),(65 8581874),(66 9395207),(67 10370343),(68 11455435),(69 12474003),(70 13659936),(71 14893312),(72 16088115),(73 17311530),(74 18677266),(75 20041932),(76 21390876),(77 22853040),(78 24280586),(79 25724768),
(1 45331.902),(2 115064.33),(3 186952.94),(4 238277.06),(5 266957.9),(6 274362.13),(7 267950.28),(8 256066.17),(9 237322.33),(10 229914.72),(11 228618.53),(12 231542.19),(13 241670.11),(14 248042.73),(15 255372.5),(16 254715.39),(17 254858.88),(18 253764.94),(19 254192.72),(20 253127.22),(21 253117.38),(22 256324.77),(23 261240.64),(24 270310.13),(25 274094.53),(26 269764.7),(27 262762.8),(28 255800.2),(29 255559.36),(30 256113.38),(31 256960.13),(32 265049.13),(33 271914.2),(34 277767.72),(35 281270.28),(36 281254.78),(37 279852.78),(38 277246.7),(39 277126.56),(40 283030.56),(41 287212.8),(42 288749.78),(43 288955.47),(44 287934.5),(45 287793.38),(46 284137.3),(47 284728.47),(48 283871.25),(49 286951.9),(50 288180.7),(51 290057.5),(52 294969.53),(53 297599.7),(54 297053.53),(55 296445.1),(56 299638.66),(57 305849.53),(58 309793.47),(59 310137.84),(60 303891.34),(61 296366.16),(62 290746.88),(63 286978.13),(64 289264.2),(65 292129.25),(66 301217.44),(67 310754.25),(68 317998.6),(69 328033.25),(70 330341.53),(71 332366.5),(72 330369.1),(73 333283.6),(74 336605.7),(75 342986.75),(76 349268.22),(77 349853.44),(78 354855.72),(79 348522.47),
(1 45222.81),(2 113489.21),(3 183697.03),(4 229071.88),(5 256572.88),(6 269843.25),(7 263759.38),(8 249564.64),(9 229535.13),(10 221846.42),(11 218499.92),(12 215010.22),(13 217228.38),(14 216748.42),(15 222075.06),(16 226010.3),(17 233643.88),(18 238642.77),(19 239222.42),(20 238294.45),(21 234050.28),(22 234022.97),(23 235113.06),(24 241915.72),(25 246694.3),(26 251054.84),(27 250752.16),(28 250985.58),(29 248764.6),(30 246913.98),(31 242014.83),(32 245874.88),(33 250353.75),(34 251685.61),(35 251878.3),(36 253627.1),(37 259310.22),(38 267724.5),(39 273110.25),(40 274149.72),(41 275124.4),(42 273107.06),(43 269261.72),(44 267820.34),(45 268704.56),(46 271546.03),(47 275504.34),(48 274849.8),(49 275252.63),(50 275882.78),(51 277146.72),(52 275425.94),(53 276516.6),(54 280008.97),(55 283852.78),(56 287907.28),(57 289109.25),(58 289359.38),(59 287410.97),(60 279885.3),(61 272875.44),(62 267087.7),(63 264267.22),(64 269441.1),(65 272098.25),(66 276858.63),(67 286935.06),(68 292840.84),(69 296324.56),(70 294348.5),(71 296398.72),(72 296835.13),(73 300154.78),(74 306547.38),(75 312393.9),(76 312812.5),(77 307535.53),(78 304501.66),(79 300617.88),
(1 42781.08),(2 105037.375),(3 163235.23),(4 200352.39),(5 220474.25),(6 227011.1),(7 223523.81),(8 214928.33),(9 208539.48),(10 210283.52),(11 213077.64),(12 212798.42),(13 213343.69),(14 208265.36),(15 208348.64),(16 206225.17),(17 209067.25),(18 209379.83),(19 211333.55),(20 217498.1),(21 221862.72),(22 225579.7),(23 225817.6),(24 229089.25),(25 230837.52),(26 230524.88),(27 232434.64),(28 236156.6),(29 236182.9),(30 233059.94),(31 226509.33),(32 224636.98),(33 226840.84),(34 230557.6),(35 234465.7),(36 236569.66),(37 239112.17),(38 240837.77),(39 242069.98),(40 245005.14),(41 246915.19),(42 246111.13),(43 243744.14),(44 242040.94),(45 241531.23),(46 243120),(47 249858.56),(48 254830.2),(49 256668.78),(50 261347.06),(51 262469.84),(52 259711.27),(53 257853.03),(54 261027.83),(55 267414.5),(56 275058.1),(57 282803),(58 284381.06),(59 279044.8),(60 267387.66),(61 256650.5),(62 251507.19),(63 254097.23),(64 265407.97),(65 269928.25),(66 275407.2),(67 280245.56),(68 276359.8),(69 271602.06),(70 268167.5),(71 270219.2),(72 270603.84),(73 270724.5),(74 272664),(75 278275.9),(76 284098.9),(77 286306.47),(78 289153.88),(79 284764.78),
(1 41983.703),(2 102522.664),(3 158828.75),(4 196524.05),(5 215994.11),(6 218462.06),(7 211842.53),(8 204132.53),(9 197386.86),(10 194353),(11 190652.52),(12 186759.44),(13 187482.84),(14 189197.02),(15 193633.83),(16 194604.39),(17 196664.03),(18 198841.45),(19 200730.84),(20 203096.11),(21 201056.3),(22 203017.83),(23 201367.6),(24 204403.9),(25 204367.47),(26 207852.19),(27 212080.69),(28 211905.89),(29 206960.77),(30 199930.4),(31 200697.89),(32 203821.94),(33 213265.89),(34 219514.7),(35 222881.75),(36 221359.63),(37 219282.05),(38 217267.3),(39 216814.95),(40 221232.69),(41 224294.84),(42 225416.8),(43 225889.69),(44 225142.42),(45 225632.53),(46 225901.89),(47 226350.9),(48 225807.1),(49 226504.45),(50 231007.83),(51 233647.4),(52 230936.7),(53 225144.48),(54 222881.42),(55 224008.42),(56 229791.66),(57 236637.44),(58 238725.11),(59 238351.16),(60 233039.4),(61 230258.77),(62 231827.47),(63 237176.34),(64 243907.28),(65 249913.19),(66 251578.05),(67 250440.28),(68 246585.97),(69 247909.69),(70 249761.89),(71 253427.2),(72 253058.52),(73 256502.34),(74 260103.48),(75 262180.34),(76 265333.6),(77 263141.88),(78 265828.2),(79 264296.28),
(1 38845.383),(2 92830.15),(3 140752.89),(4 170797.08),(5 186723.92),(6 196427.14),(7 190096.95),(8 181499.44),(9 172950.06),(10 170929.55),(11 168037.45),(12 167705.14),(13 173085.42),(14 175430.2),(15 180229.16),(16 182233.7),(17 184743.98),(18 186926.86),(19 186430.27),(20 186239.2),(21 185954.89),(22 188454.8),(23 187833.27),(24 192031.17),(25 193374.13),(26 199299.88),(27 202593.22),(28 204705.64),(29 208114.92),(30 211110.5),(31 210940.64),(32 210107.61),(33 207510.52),(34 201710.98),(35 199508.86),(36 199207.97),(37 199003.22),(38 198073.02),(39 200611.22),(40 204353.48),(41 204862.52),(42 204849.33),(43 203085.11),(44 203299.14),(45 205010.58),(46 210205.61),(47 219212.06),(48 220943.13),(49 220782.58),(50 223964.52),(51 231061.72),(52 235540.95),(53 233506.5),(54 229303.94),(55 227051.25),(56 225889.61),(57 228150.47),(58 231747.89),(59 235506.48),(60 237380.13),(61 242698.56),(62 245607.4),(63 243716.77),(64 245757.34),(65 252743.66),(66 259142.19),(67 262315.9),(68 260617.44),(69 261875.14),(70 263054.06),(71 267666.63),(72 264274.78),(73 265451.13),(74 268531),(75 273662.53),(76 278625.5),(77 275735.84),(78 275864.53),(79 269955.25),
(1 39107.242),(2 95370.445),(3 145217.44),(4 175287.05),(5 190203.31),(6 196639.56),(7 187590.39),(8 180541.45),(9 173563.86),(10 170514.4),(11 170461.3),(12 173397.28),(13 182810.95),(14 185132.13),(15 187179.97),(16 183238.92),(17 182877.34),(18 182435.6),(19 185598.83),(20 190630.36),(21 195815.19),(22 200573.05),(23 201399.61),(24 201222.27),(25 195755.19),(26 192051.97),(27 189947.64),(28 192249.66),(29 198147.73),(30 203819.97),(31 207089.52),(32 208441.88),(33 205462.34),(34 199266),(35 195122.94),(36 194346.9),(37 198225.45),(38 204568.77),(39 204516.25),(40 206706.19),(41 204542.89),(42 203770.66),(43 205334.44),(44 209927.5),(45 215568.64),(46 222518.97),(47 228596.42),(48 227927.25),(49 226457.56),(50 225765.69),(51 225074.77),(52 227136.11),(53 227137.39),(54 226133.56),(55 227788.78),(56 230104.03),(57 231928.45),(58 231489.73),(59 232219.78),(60 237353.77),(61 243859.2),(62 249571.03),(63 249933.73),(64 251410.23),(65 247616.11),(66 242112.31),(67 233977.7),(68 231146.7),(69 235172.44),(70 236974.36),(71 244999.31),(72 243487.08),(73 249870.55),(74 253899.44),(75 255400.83),(76 255485.28),(77 249930),(78 250965.6),(79 250340.72),
(1 38024.77),(2 90428.56),(3 134164.48),(4 158636.89),(5 171087.38),(6 173315.27),(7 170083.73),(8 170577.03),(9 168907.9),(10 169723.64),(11 166542.97),(12 166535.48),(13 169086.52),(14 169292.48),(15 169851.03),(16 167419.4),(17 172128.92),(18 177171.3),(19 177596.58),(20 179615.6),(21 183155.88),(22 188901.86),(23 190178.33),(24 191573.48),(25 188847.38),(26 186353.86),(27 186365.98),(28 188686.22),(29 190750.28),(30 191918.94),(31 190262.67),(32 191532.11),(33 192033.98),(34 192541.48),(35 194680.38),(36 195953.64),(37 197495.39),(38 194469.73),(39 190051.44),(40 191058.03),(41 193910.47),(42 198695.38),(43 200693.31),(44 202133.63),(45 204749.98),(46 203559.81),(47 204381.38),(48 208188.27),(49 206672.48),(50 207276.22),(51 208940.78),(52 212002.56),(53 213371.42),(54 215764.78),(55 220297.53),(56 223364.78),(57 222557.6),(58 221464.81),(59 225641.14),(60 233259.63),(61 239693.03),(62 243124.89),(63 240384.08),(64 240506.81),(65 237556.02),(66 235838.27),(67 237902.38),(68 238900.06),(69 240073.58),(70 237468.97),(71 239869.33),(72 239555.97),(73 241072.31),(74 237255.63),(75 233666.7),(76 233474.86),(77 234065.73),(78 237738.22),(79 238578.48),
(1 35378.24),(2 85305.22),(3 127394.664),(4 150434.7),(5 159608.75),(6 161560.16),(7 157871.75),(8 161240.88),(9 162199.08),(10 164242.77),(11 162432.11),(12 157604.44),(13 155398.38),(14 152224.36),(15 153385.6),(16 152216.02),(17 155011.61),(18 157866.38),(19 160712.06),(20 162802.88),(21 164488.05),(22 165183.06),(23 164051.78),(24 165398.52),(25 165842.75),(26 167819.33),(27 171516.33),(28 172967.39),(29 174704.69),(30 177883.89),(31 181814.38),(32 182314.88),(33 182491.06),(34 181694.42),(35 180957.45),(36 181429.16),(37 181780.67),(38 183135.58),(39 184135.53),(40 188019.69),(41 188639.45),(42 191282.27),(43 191500.66),(44 191473.2),(45 189522.48),(46 188595.08),(47 193473.34),(48 199430.5),(49 202391.03),(50 206238.84),(51 209851.02),(52 211750.84),(53 207093.03),(54 203574.64),(55 202971.44),(56 202993.45),(57 203521.92),(58 203508.08),(59 205600.28),(60 210033.61),(61 216435.92),(62 219150.97),(63 220179.23),(64 222704.69),(65 217861.95),(66 215028.1),(67 216411.52),(68 212560.02),(69 212260.56),(70 209841.31),(71 214847.16),(72 218029.45),(73 223381.14),(74 225635.66),(75 230244.44),(76 233271.69),(77 234722.84),(78 238270.16),(79 234765.72),
(1 37416.13),(2 90040.125),(3 136287.58),(4 165124.34),(5 174773.4),(6 177367.1),(7 170311.55),(8 167024.3),(9 164721.42),(10 164071.34),(11 160610.42),(12 158011.28),(13 156610.63),(14 154072.03),(15 154931.81),(16 152938.28),(17 154875.16),(18 159954.86),(19 165627.2),(20 166250.1),(21 165912.5),(22 162600),(23 158707.7),(24 159865.13),(25 161550.13),(26 163285.69),(27 164131.33),(28 165477.55),(29 168916.55),(30 171221.45),(31 173684),(32 175803.86),(33 176398.06),(34 176486.31),(35 175729.19),(36 178312.05),(37 181390.77),(38 181676.39),(39 179431.53),(40 179123.19),(41 177689.61),(42 179455.92),(43 181227.5),(44 183906.08),(45 184295.8),(46 184235.5),(47 185392.31),(48 183628.89),(49 183540.44),(50 187966.8),(51 192215.72),(52 194282.02),(53 190347.36),(54 186607.94),(55 186055.11),(56 188627.1),(57 194176.1),(58 197210.4),(59 199509.28),(60 201669.55),(61 202018.6),(62 202789.86),(63 203929.88),(64 206788.67),(65 206330.73),(66 204988.27),(67 204495.1),(68 204972.72),(69 208918.86),(70 205225.5),(71 209654.13),(72 210786.63),(73 217369.19),(74 220585.13),(75 220131.33),(76 216128.45),(77 214434.1),(78 219074.39),(79 221253.02),
(1 38062.777),(2 92059.57),(3 141461.81),(4 170980.89),(5 180774.83),(6 177226.19),(7 164459.75),(8 159991.66),(9 157460.38),(10 158088.05),(11 156641.3),(12 153806.83),(13 153387.8),(14 151928.58),(15 157654.31),(16 162152.36),(17 168060.58),(18 171477.47),(19 170567.08),(20 166374.53),(21 163331.16),(22 161353.52),(23 162866.64),(24 168280.75),(25 168142.22),(26 168205.55),(27 168635.08),(28 172382.84),(29 176493.39),(30 176475.03),(31 171996.84),(32 169481.38),(33 170334.75),(34 171832.63),(35 176089.72),(36 179800.34),(37 185393.17),(38 188851.63),(39 191977.55),(40 190771.48),(41 185672.83),(42 183095.3),(43 184666.17),(44 188600.86),(45 188036.36),(46 187540.45),(47 192552),(48 194419.53),(49 197552.27),(50 199219.64),(51 199368.92),(52 198879.53),(53 194907.73),(54 193993.39),(55 196849.66),(56 201475.64),(57 203391.84),(58 205484.67),(59 208955.11),(60 209429.9),(61 208480.03),(62 213072.83),(63 219039.7),(64 223510.69),(65 222469.33),(66 221064.63),(67 220641.61),(68 220810.92),(69 225501.64),(70 226573.98),(71 232664.92),(72 233678.47),(73 234911.27),(74 232629.64),(75 230833.14),(76 228434.69),(77 224263.77),(78 226194.84),(79 225755.81),
(1 37114.574),(2 87968.78),(3 135965.23),(4 164397.36),(5 175438.92),(6 176425.75),(7 167308.44),(8 163230.67),(9 157257.45),(10 154662.45),(11 152166.28),(12 148712.17),(13 149914.36),(14 152378.14),(15 159189.28),(16 162581.6),(17 164831.6),(18 164814.9),(19 164497.02),(20 165769.81),(21 163807.89),(22 161321.86),(23 157058.69),(24 158054.33),(25 156560),(26 161373.97),(27 170006.36),(28 179770.08),(29 183274.05),(30 180347.25),(31 172570.3),(32 165069.7),(33 162556.23),(34 162392.89),(35 166301.47),(36 171087.6),(37 175791.2),(38 178920.11),(39 182635.83),(40 185187.34),(41 183518.66),(42 185851.8),(43 186030.11),(44 183889.77),(45 178827.9),(46 174773.2),(47 179183.69),(48 183172.03),(49 189950.5),(50 192999.86),(51 192814.02),(52 189833.61),(53 188557.69),(54 193033.1),(55 197305.52),(56 198153.47),(57 199575.97),(58 201131.34),(59 204142.8),(60 202112.6),(61 201947.53),(62 209533.39),(63 215796.42),(64 221390.22),(65 220089),(66 218728.9),(67 216816.64),(68 213218.25),(69 216231.86),(70 218331.64),(71 225059.77),(72 223392.94),(73 221078.6),(74 217323.3),(75 213949.2),(76 211870.64),(77 215103.81),(78 219090.58),(79 219055.27),
(1 36278.74),(2 84560.99),(3 128696.266),(4 153084.95),(5 158059.38),(6 154103.06),(7 145556.75),(8 146297.14),(9 146532.23),(10 147250.28),(11 145649.06),(12 141671.17),(13 141861.38),(14 143483.64),(15 150158.3),(16 152710.45),(17 153996.23),(18 153877.08),(19 153952.1),(20 152420.1),(21 150460.6),(22 151957.14),(23 151010.66),(24 153472.02),(25 155571.84),(26 156641.03),(27 161352.2),(28 167665.88),(29 169981.39),(30 166000.39),(31 159280.66),(32 152258.36),(33 152857.33),(34 157208.13),(35 163736.67),(36 168584.66),(37 169672.06),(38 168731.53),(39 169158.4),(40 170293.8),(41 169989.2),(42 172266.22),(43 170649.98),(44 166708.34),(45 163071.14),(46 160167.23),(47 162978.13),(48 167739.38),(49 171932),(50 173745.13),(51 172575.31),(52 174975.2),(53 177772.77),(54 182380.13),(55 183508.9),(56 183437.66),(57 188077.19),(58 195280.95),(59 197389.13),(60 194506.52),(61 194516.92),(62 195921.63),(63 197058.55),(64 201947.4),(65 207043.45),(66 210470.84),(67 209256),(68 206909.31),(69 208535.27),(70 207606.86),(71 215976.13),(72 217400.1),(73 218360.84),(74 213830.78),(75 207107.05),(76 206686.39),(77 211285.23),(78 212633.73),(79 206498.5),
(1 35252.9),(2 80515.69),(3 119278.695),(4 140410.77),(5 146762.92),(6 144294.9),(7 137008.7),(8 137147.13),(9 137622.47),(10 138976.28),(11 136451.03),(12 134025.48),(13 134206.52),(14 135753.95),(15 140712.6),(16 143283.42),(17 145464.75),(18 145014.39),(19 142630.27),(20 140287.36),(21 138350.95),(22 142899.95),(23 146038.98),(24 150587.69),(25 147298.1),(26 144025.25),(27 144349.48),(28 147912.13),(29 150260.56),(30 151823.05),(31 152203.31),(32 151103.53),(33 151109.61),(34 153426.08),(35 155407.88),(36 154519.67),(37 153679.4),(38 153629.78),(39 157889.66),(40 163844.44),(41 164954.77),(42 167979.39),(43 166886.77),(44 160882.63),(45 158475.22),(46 160475.19),(47 163896.19),(48 167641.36),(49 171265.45),(50 176941.13),(51 182192.16),(52 183998.23),(53 181318.42),(54 176003.25),(55 170556.92),(56 170256.19),(57 173415.25),(58 176341.7),(59 179926.67),(60 182564.44),(61 186489.1),(62 186588.78),(63 186071.6),(64 186653.55),(65 189183.22),(66 189254.83),(67 190596.95),(68 190876.52),(69 194079.25),(70 195052.56),(71 199179.45),(72 198720.28),(73 198527.6),(74 196580.53),(75 194795.19),(76 195210.02),(77 194700.97),(78 197277.48),(79 196928.77),
(1 37283.465),(2 84459.51),(3 127304.8),(4 147909.23),(5 151802.86),(6 146872.95),(7 137562.45),(8 136875.31),(9 135510.16),(10 141617.4),(11 143080.77),(12 141050.97),(13 140200.53),(14 139454.55),(15 140818.06),(16 137467.89),(17 139650.08),(18 144347.9),(19 146160.72),(20 146917.72),(21 149364.3),(22 150305.05),(23 145340.83),(24 145796.92),(25 149317.94),(26 155941.84),(27 161993.56),(28 163878.98),(29 159370.36),(30 155632.36),(31 150541.7),(32 149576.34),(33 153663.17),(34 158575.9),(35 161404.97),(36 159995.36),(37 161471.77),(38 163284.47),(39 167913.58),(40 175570.77),(41 177770.6),(42 178333.2),(43 173943.4),(44 168923.97),(45 167689.72),(46 168739.67),(47 172396.64),(48 171030.95),(49 172570.23),(50 178216.56),(51 184015.97),(52 187198.53),(53 186853.73),(54 185534.17),(55 186006.7),(56 183272.86),(57 179621.83),(58 178514.61),(59 180046.56),(60 184105.86),(61 189108.06),(62 195582.23),(63 198084.94),(64 200069.5),(65 198601.2),(66 199271.4),(67 202459.66),(68 207161.06),(69 215794.83),(70 222998.72),(71 226848.33),(72 222684.28),(73 220989.77),(74 217341.56),(75 214102.33),(76 213206.69),(77 214146.64),(78 218671.19),(79 220371.64),
(1 35610.598),(2 83136.54),(3 124287.89),(4 146199.14),(5 149121.7),(6 146472.42),(7 139264),(8 139465.23),(9 138673.86),(10 138124.6),(11 137011.77),(12 135914.17),(13 137773.55),(14 136930.19),(15 137665.08),(16 136044.5),(17 136364.11),(18 138043.95),(19 139667.94),(20 139606.7),(21 139055.53),(22 140735.11),(23 139742.23),(24 141700.86),(25 145666.3),(26 152990.42),(27 156486.73),(28 155787.03),(29 153973.39),(30 151089.36),(31 148758.75),(32 149507.94),(33 152369.8),(34 157565.73),(35 162105.02),(36 163057.7),(37 163384.63),(38 165968.44),(39 172159.11),(40 176970.61),(41 178705.45),(42 178229.06),(43 172253.45),(44 165117.44),(45 162354.73),(46 167577.22),(47 174746.48),(48 178718.3),(49 182942.39),(50 186470.83),(51 190551.66),(52 191814.02),(53 189742.88),(54 189067.34),(55 192031.47),(56 191036.56),(57 183658.08),(58 176149.5),(59 174489.83),(60 178091.31),(61 184211.69),(62 190411.94),(63 194162.6),(64 196200.72),(65 193178.8),(66 191574.94),(67 192376.5),(68 197247.02),(69 205697.16),(70 206884.88),(71 210411.38),(72 205973.81),(73 204325.36),(74 203241.08),(75 205555.23),(76 207846.42),(77 207646.1),(78 207693.11),(79 205561.02),
(1 34279.805),(2 80046.45),(3 119124.01),(4 142309.6),(5 149356.42),(6 147866.78),(7 141760.1),(8 140085.06),(9 135213.05),(10 133133.89),(11 132184.86),(12 132673),(13 136794.33),(14 137871.3),(15 137353.17),(16 134597),(17 136567.53),(18 140576.8),(19 141673.34),(20 140516.66),(21 141863.1),(22 141079.89),(23 139685.92),(24 141321),(25 142196.02),(26 144175.48),(27 144271.8),(28 140079),(29 137021.52),(30 135888.86),(31 136999.42),(32 140924.8),(33 147153.7),(34 155533.77),(35 160516.67),(36 160547.67),(37 161090.16),(38 161968.67),(39 162448.38),(40 164451.28),(41 165880.58),(42 167352.19),(43 165205.34),(44 160952.3),(45 158177.56),(46 161388.89),(47 167581.89),(48 173068.48),(49 176678.34),(50 181446.05),(51 185460.58),(52 186323.27),(53 186812.7),(54 185912.48),(55 183585.7),(56 178517.56),(57 173905.86),(58 171052.69),(59 172565.16),(60 176943),(61 183468.64),(62 190927.69),(63 192117.52),(64 192971.1),(65 188429.52),(66 183454.58),(67 182130.88),(68 184877.25),(69 192709.58),(70 196032.73),(71 202223.56),(72 200019.34),(73 197411.02),(74 192334.2),(75 190390.69),(76 191411.55),(77 188052.23),(78 189895.47),(79 188679.53),
(1 33563.3),(2 77424.62),(3 114372.63),(4 135150.3),(5 138777.23),(6 133543.73),(7 126655.83),(8 127006.445),(9 125855.7),(10 128824.43),(11 131583.69),(12 134846.3),(13 138442.83),(14 138444.33),(15 139259.95),(16 134874.52),(17 134006.25),(18 137103.78),(19 138746.34),(20 140226.4),(21 140209.1),(22 139653.03),(23 139804.17),(24 141777.64),(25 141518),(26 144089.92),(27 142710.19),(28 138797.06),(29 136155.66),(30 136002.42),(31 137902.52),(32 142622.36),(33 146073.52),(34 147965.78),(35 150610.75),(36 152587.06),(37 154518.45),(38 154917.27),(39 152887.39),(40 151862.66),(41 152227.31),(42 153088.89),(43 152891.33),(44 151812.1),(45 153646.22),(46 157306),(47 158327.78),(48 158586.16),(49 160372.44),(50 164958.45),(51 166094.3),(52 165371.39),(53 163518.6),(54 165330.83),(55 166702.28),(56 167241.61),(57 167194.47),(58 170143.55),(59 170095.88),(60 170249),(61 171719),(62 170416.97),(63 167681.22),(64 168021.36),(65 171067.8),(66 174151.66),(67 174792.31),(68 177984.25),(69 186617.95),(70 189534.44),(71 194194.17),(72 193128.55),(73 193388.94),(74 190177.13),(75 188130.89),(76 182123.42),(77 175124.8),(78 175974.25),(79 176735.5),
(1 31465.125),(2 69931.71),(3 101795.58),(4 116093.82),(5 120617.805),(6 119674.33),(7 113112.7),(8 111739.99),(9 108446.766),(10 109134.984),(11 111120.57),(12 111660.59),(13 115901.09),(14 116597.85),(15 119132.086),(16 117703.555),(17 119132.22),(18 120180.81),(19 120756.05),(20 121450.49),(21 120743.54),(22 121492.48),(23 120473.555),(24 124712.22),(25 124956.74),(26 125285.04),(27 124514.33),(28 123684.17),(29 121454.34),(30 120559.375),(31 121101.41),(32 122729.8),(33 126229.02),(34 128981.7),(35 131698.3),(36 133394.73),(37 136394.72),(38 137431.9),(39 138225.92),(40 139783.17),(41 139071.86),(42 137368.52),(43 136717),(44 137315),(45 137764.08),(46 141858.53),(47 146338),(48 148962.44),(49 149806.72),(50 152495.38),(51 151930.03),(52 150501.73),(53 150077.89),(54 149900.2),(55 149613.88),(56 149338.48),(57 150774.86),(58 154000.94),(59 155213.22),(60 156444.23),(61 157550.47),(62 156717.55),(63 155815.06),(64 157896.3),(65 159584.67),(66 159498.33),(67 161761.47),(68 167159.89),(69 173697.81),(70 174341.5),(71 175191.5),(72 169486.42),(73 167969.86),(74 169221.75),(75 172378.8),(76 173932.47),(77 169356.36),(78 168007.86),(79 165830.7),
