1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 99.0744),(2 128.7105),(3 140.51692),(4 148.45943),(5 154.28961),(6 161.66414),(7 165.74821),(8 170.25943),(9 174.537),(10 176.64136),(11 179.36156),(12 176.03969),(13 179.03151),(14 179.5172),(15 181.65967),(16 178.55986),(17 177.90474),(18 176.40128),(19 175.42853),(20 176.81284),(21 178.70871),(22 179.5564),(23 183.41498),(24 182.6023),(25 182.64474),(26 184.01318),(27 185.12656),(28 187.09439),(29 187.39154),(30 186.01952),(31 189.91818),(32 189.0473),(33 190.33638),(34 193.28194),(35 187.79239),(36 187.39978),(37 188.4569),(38 190.61862),(39 188.3708),(40 193.06404),(41 191.3946),(42 190.579),(43 193.8496),(44 195.29022),(45 193.63066),(46 194.96686),(47 195.20255),(48 197.68669),(49 196.41162),(50 201.9545),(51 202.8532),(52 205.18987),(53 205.59813),(54 206.64323),(55 206.88274),(56 206.53375),(57 206.11363),(58 207.13132),(59 208.77832),(60 209.64195),(61 213.48312),(62 217.68793),(63 218.15315),(64 219.9904),(65 222.19987),(66 221.02888),(67 227.30368),(68 226.45413),(69 230.60129),(70 231.06477),(71 231.43646),(72 231.71817),(73 234.28297),(74 232.91533),(75 233.61668),(76 235.5672),(77 235.83629),(78 236.48012),(79 237.36852),
(1 99.229774),(2 128.77464),(3 140.95691),(4 149.67413),(5 153.96327),(6 157.49382),(7 162.13931),(8 165.94885),(9 170.82722),(10 171.57066),(11 176.8421),(12 174.41394),(13 176.33727),(14 176.18768),(15 179.40085),(16 178.48209),(17 179.48141),(18 179.10301),(19 176.98384),(20 180.97333),(21 182.35445),(22 181.63966),(23 184.81808),(24 184.46085),(25 184.25116),(26 184.22295),(27 185.13954),(28 185.32565),(29 187.11372),(30 186.80988),(31 187.38922),(32 185.10956),(33 184.97696),(34 187.76903),(35 184.39188),(36 185.7038),(37 185.50317),(38 188.10944),(39 185.90665),(40 186.5258),(41 184.48058),(42 185.37775),(43 186.97717),(44 189.31087),(45 186.73451),(46 189.20547),(47 187.33607),(48 189.47253),(49 188.99438),(50 193.61652),(51 194.49373),(52 198.79022),(53 196.12964),(54 198.44972),(55 199.05986),(56 200.23335),(57 201.51529),(58 204.62459),(59 205.27626),(60 206.33588),(61 212.09322),(62 212.31874),(63 210.71631),(64 211.42511),(65 214.47087),(66 215.5316),(67 225.26584),(68 225.72862),(69 227.54793),(70 229.84822),(71 231.73218),(72 229.79597),(73 233.05478),(74 230.4686),(75 231.77449),(76 233.49245),(77 234.33157),(78 233.34767),(79 233.57162),
(1 96.505554),(2 121.76313),(3 133.64061),(4 141.2485),(5 144.26408),(6 149.52298),(7 153.06409),(8 155.5851),(9 159.61284),(10 159.57675),(11 160.58353),(12 160.02306),(13 163.54335),(14 166.64977),(15 169.5814),(16 168.43304),(17 169.47334),(18 166.47401),(19 167.2978),(20 169.07875),(21 171.92474),(22 169.96748),(23 173.56206),(24 172.229),(25 174.22441),(26 173.51897),(27 176.01962),(28 175.92577),(29 176.76926),(30 177.96844),(31 178.47008),(32 179.21342),(33 180.07564),(34 183.48305),(35 183.56693),(36 185.0332),(37 183.4151),(38 184.79776),(39 183.15347),(40 182.63313),(41 182.25127),(42 185.46648),(43 184.32375),(44 185.06038),(45 183.81816),(46 186.53275),(47 186.01141),(48 188.17911),(49 188.54474),(50 190.43529),(51 189.41689),(52 192.90356),(53 190.95996),(54 195.40895),(55 195.51814),(56 196.37384),(57 198.13152),(58 198.9464),(59 198.88042),(60 200.66794),(61 204.61006),(62 206.70172),(63 207.21642),(64 207.1584),(65 209.629),(66 211.39308),(67 215.38377),(68 215.36612),(69 218.19711),(70 219.52411),(71 218.28793),(72 218.1386),(73 221.84183),(74 219.89937),(75 219.93018),(76 217.67444),(77 220.60266),(78 220.63654),(79 221.05986),
(1 94.02643),(2 120.75197),(3 129.54378),(4 136.3137),(5 139.5661),(6 144.74437),(7 147.92809),(8 151.79681),(9 155.00041),(10 158.30446),(11 158.27919),(12 156.16658),(13 162.40776),(14 165.26038),(15 167.23668),(16 165.76964),(17 167.86597),(18 166.57281),(19 166.91898),(20 169.35446),(21 168.64964),(22 170.5715),(23 172.9747),(24 172.00217),(25 174.07922),(26 175.57236),(27 176.83772),(28 178.68492),(29 177.91573),(30 180.47467),(31 181.66365),(32 181.84009),(33 183.45471),(34 185.45839),(35 184.31665),(36 186.125),(37 184.42331),(38 188.85269),(39 186.68976),(40 185.46837),(41 184.01631),(42 184.73206),(43 186.05165),(44 185.98402),(45 181.14041),(46 182.82733),(47 184.3429),(48 185.38762),(49 185.51097),(50 187.55884),(51 188.551),(52 189.71802),(53 191.26985),(54 196.16678),(55 196.34647),(56 200.04503),(57 201.83937),(58 202.65384),(59 202.08992),(60 204.37039),(61 205.6591),(62 207.9824),(63 208.17679),(64 208.34369),(65 210.59804),(66 212.01778),(67 215.9561),(68 217.91878),(69 221.86613),(70 226.93199),(71 229.3027),(72 228.14299),(73 230.9395),(74 229.42244),(75 227.28603),(76 224.35898),(77 225.50748),(78 225.14984),(79 224.91493),
(1 92.21663),(2 116.92068),(3 128.25584),(4 135.76216),(5 140.374),(6 144.76715),(7 149.04636),(8 150.495),(9 152.90494),(10 155.36829),(11 154.8473),(12 153.77629),(13 158.45831),(14 159.81534),(15 162.83086),(16 161.96906),(17 164.03462),(18 163.13922),(19 164.25322),(20 164.0377),(21 165.49347),(22 167.48518),(23 169.128),(24 168.91216),(25 170.17233),(26 170.85735),(27 174.28088),(28 174.76784),(29 173.90128),(30 172.90694),(31 175.64273),(32 176.58081),(33 176.02475),(34 177.84341),(35 176.79199),(36 177.44266),(37 175.451),(38 181.23001),(39 179.6253),(40 178.04109),(41 178.56038),(42 179.41762),(43 181.12112),(44 180.68724),(45 179.24013),(46 180.04253),(47 181.1628),(48 183.10075),(49 180.90814),(50 186.16885),(51 185.10588),(52 188.57204),(53 187.5911),(54 191.93878),(55 192.15765),(56 194.2404),(57 195.25365),(58 198.9441),(59 199.87718),(60 200.56337),(61 203.4219),(62 203.25601),(63 203.68958),(64 204.75621),(65 205.34863),(66 206.47525),(67 207.65648),(68 212.29669),(69 214.95859),(70 219.99187),(71 219.85156),(72 220.29773),(73 220.83531),(74 218.60667),(75 218.7952),(76 214.38567),(77 216.16469),(78 215.47389),(79 216.25269),
(1 89.45333),(2 116.062836),(3 126.261765),(4 132.06032),(5 136.83194),(6 140.59924),(7 145.18938),(8 147.01762),(9 150.566),(10 151.3739),(11 153.2931),(12 151.22643),(13 154.92482),(14 156.61176),(15 157.84624),(16 158.95981),(17 160.10658),(18 160.25056),(19 162.60999),(20 162.36494),(21 163.2265),(22 163.3796),(23 164.6787),(24 162.92326),(25 163.48885),(26 165.5221),(27 163.91615),(28 165.69774),(29 166.7849),(30 165.88004),(31 166.56778),(32 167.39223),(33 166.92892),(34 168.90695),(35 168.93915),(36 167.4912),(37 168.583),(38 169.38475),(39 168.60358),(40 170.16937),(41 170.42126),(42 170.03262),(43 169.86479),(44 169.86185),(45 169.75679),(46 169.5676),(47 171.63275),(48 174.04633),(49 172.56769),(50 176.44029),(51 176.19344),(52 179.49208),(53 179.96373),(54 186.29518),(55 184.96027),(56 186.65556),(57 188.09137),(58 191.08742),(59 193.46191),(60 191.92706),(61 196.75249),(62 197.23781),(63 201.51433),(64 205.21681),(65 207.28311),(66 208.17528),(67 209.77983),(68 214.09497),(69 218.41878),(70 219.29268),(71 222.97308),(72 223.81992),(73 222.28583),(74 222.89053),(75 219.18965),(76 217.74835),(77 219.71628),(78 215.76712),(79 216.57892),
(1 88.69862),(2 113.54704),(3 124.406006),(4 132.30562),(5 135.66753),(6 140.31311),(7 143.48343),(8 146.80827),(9 149.43243),(10 152.30208),(11 155.63837),(12 154.6638),(13 156.1522),(14 156.65817),(15 157.64279),(16 158.2034),(17 160.66595),(18 159.38054),(19 160.52287),(20 161.55328),(21 162.59163),(22 161.5696),(23 164.07455),(24 163.23929),(25 164.39334),(26 168.94565),(27 165.78189),(28 166.20328),(29 165.1861),(30 165.2043),(31 166.48909),(32 168.42752),(33 169.38539),(34 171.77173),(35 171.98166),(36 170.69337),(37 171.26651),(38 172.58958),(39 170.03249),(40 169.78656),(41 171.45053),(42 170.07443),(43 170.5457),(44 171.80547),(45 174.0419),(46 173.43175),(47 175.01248),(48 176.65607),(49 175.03368),(50 176.17317),(51 179.92853),(52 181.47665),(53 182.18323),(54 186.72778),(55 188.73412),(56 189.25922),(57 192.74866),(58 195.23859),(59 195.56717),(60 195.76266),(61 197.6067),(62 201.28276),(63 203.95921),(64 204.23444),(65 207.2469),(66 206.95549),(67 209.54167),(68 211.25415),(69 217.24272),(70 215.98679),(71 218.61217),(72 221.25702),(73 221.58052),(74 221.57578),(75 220.1825),(76 219.68384),(77 219.33632),(78 216.54541),(79 218.96423),
(1 88.06567),(2 112.213104),(3 121.78631),(4 129.70973),(5 134.80098),(6 138.91667),(7 141.83145),(8 143.78123),(9 148.30788),(10 148.86438),(11 150.01515),(12 148.05215),(13 150.75146),(14 153.47557),(15 153.90604),(16 154.99773),(17 157.2389),(18 154.87715),(19 156.34567),(20 158.26851),(21 157.67448),(22 158.411),(23 161.12674),(24 160.55556),(25 161.60521),(26 164.98082),(27 163.41245),(28 163.32323),(29 162.83838),(30 164.88885),(31 165.11415),(32 166.39618),(33 169.6449),(34 170.43695),(35 169.63716),(36 169.20885),(37 169.81264),(38 171.45209),(39 169.70016),(40 170.35127),(41 169.50992),(42 167.57649),(43 168.59663),(44 170.40619),(45 170.84222),(46 171.03755),(47 172.05298),(48 172.63678),(49 172.90306),(50 174.37813),(51 175.82033),(52 176.91107),(53 179.08325),(54 181.09166),(55 181.90689),(56 183.01855),(57 184.5204),(58 186.27078),(59 188.75298),(60 189.58183),(61 192.43192),(62 194.80391),(63 194.91835),(64 194.9821),(65 199.31895),(66 198.22168),(67 202.50368),(68 202.44768),(69 206.15771),(70 206.05798),(71 208.54695),(72 211.55327),(73 211.23912),(74 210.56276),(75 210.90977),(76 210.30806),(77 210.66702),(78 212.1144),(79 212.12292),
(1 87.04939),(2 110.00996),(3 118.65912),(4 124.038124),(5 128.93811),(6 134.3739),(7 138.80595),(8 140.16508),(9 143.25702),(10 143.47552),(11 144.31091),(12 144.09218),(13 146.66492),(14 147.27286),(15 148.0211),(16 146.98183),(17 148.39682),(18 149.12325),(19 150.21805),(20 151.66606),(21 150.3013),(22 150.50179),(23 151.87059),(24 154.00977),(25 154.48885),(26 156.1935),(27 156.12398),(28 156.26878),(29 156.0978),(30 158.62898),(31 161.25479),(32 157.76569),(33 160.132),(34 162.7394),(35 164.06276),(36 163.27307),(37 161.63518),(38 163.27211),(39 160.37839),(40 161.20366),(41 161.39348),(42 162.0846),(43 162.85997),(44 165.11165),(45 164.71388),(46 164.57889),(47 165.19641),(48 164.39307),(49 165.98633),(50 168.58163),(51 170.98256),(52 174.03328),(53 175.47034),(54 177.42831),(55 177.50829),(56 178.46811),(57 180.11609),(58 178.8408),(59 182.10593),(60 182.5534),(61 184.89064),(62 185.86981),(63 189.87872),(64 193.6964),(65 196.22487),(66 198.9188),(67 203.33879),(68 204.80824),(69 207.9152),(70 210.16978),(71 211.87914),(72 212.64145),(73 211.40346),(74 210.42691),(75 211.64072),(76 211.66248),(77 212.06358),(78 213.13423),(79 213.80429),
(1 84.76434),(2 107.894516),(3 118.458374),(4 124.39634),(5 128.63089),(6 132.83633),(7 135.78302),(8 136.93794),(9 139.59459),(10 140.92674),(11 142.10876),(12 142.93762),(13 144.94844),(14 147.04854),(15 148.28876),(16 147.48988),(17 148.05687),(18 147.85968),(19 149.62604),(20 149.85994),(21 150.61662),(22 151.36841),(23 151.09445),(24 149.74638),(25 150.4436),(26 151.56212),(27 150.67514),(28 151.28229),(29 154.3451),(30 153.37447),(31 158.13554),(32 155.28822),(33 155.87152),(34 157.86127),(35 159.69838),(36 158.80049),(37 157.69644),(38 160.83109),(39 160.50575),(40 160.27943),(41 159.81197),(42 159.30672),(43 160.8283),(44 163.51872),(45 160.9362),(46 162.88866),(47 161.91113),(48 161.18443),(49 161.05634),(50 163.82408),(51 167.23581),(52 169.26796),(53 168.47731),(54 171.47388),(55 171.99097),(56 172.05148),(57 173.11198),(58 173.34883),(59 174.02455),(60 175.11757),(61 176.11821),(62 178.96812),(63 184.08162),(64 184.2292),(65 187.82466),(66 189.26042),(67 195.3469),(68 195.14714),(69 197.68623),(70 199.86),(71 202.85011),(72 202.64182),(73 200.80493),(74 202.52373),(75 201.6364),(76 204.20076),(77 204.72365),(78 206.23486),(79 207.61693),
(1 83.46129),(2 105.98436),(3 115.51976),(4 121.18403),(5 123.99687),(6 130.92113),(7 130.90631),(8 132.33879),(9 137.30232),(10 138.95969),(11 139.77443),(12 141.57137),(13 142.665),(14 144.76079),(15 144.47366),(16 143.54192),(17 143.91698),(18 144.7625),(19 146.1322),(20 144.88852),(21 148.01555),(22 148.02223),(23 149.77843),(24 149.1981),(25 150.34055),(26 151.9123),(27 150.97272),(28 151.41692),(29 153.4456),(30 151.85359),(31 154.03896),(32 154.06088),(33 154.06802),(34 156.39597),(35 155.92308),(36 157.91608),(37 155.47018),(38 159.35983),(39 157.54907),(40 157.96965),(41 157.73126),(42 157.247),(43 157.16202),(44 159.91086),(45 157.87544),(46 160.15376),(47 157.22862),(48 156.92622),(49 157.43547),(50 158.81207),(51 161.67203),(52 166.07727),(53 167.12125),(54 171.17934),(55 171.07962),(56 171.55766),(57 172.7523),(58 172.62987),(59 176.20573),(60 175.80255),(61 177.615),(62 179.17441),(63 182.96074),(64 183.65804),(65 185.58339),(66 188.0372),(67 190.65804),(68 191.20868),(69 193.90959),(70 196.16284),(71 196.14163),(72 196.12798),(73 195.2753),(74 195.35994),(75 195.72452),(76 196.71088),(77 196.68068),(78 197.7477),(79 200.46454),
(1 83.3279),(2 106.99602),(3 116.477104),(4 120.83757),(5 124.98853),(6 129.13753),(7 129.91069),(8 132.11267),(9 136.42596),(10 138.18427),(11 137.3781),(12 138.17474),(13 141.46611),(14 141.03694),(15 142.3499),(16 141.52402),(17 143.00821),(18 143.67906),(19 145.16397),(20 145.5483),(21 148.52107),(22 147.306),(23 147.04558),(24 147.05292),(25 149.62474),(26 150.43857),(27 151.26663),(28 150.94252),(29 153.85623),(30 152.40457),(31 154.45352),(32 153.4282),(33 154.3245),(34 155.99385),(35 156.55597),(36 157.77264),(37 155.00322),(38 158.67587),(39 158.90857),(40 158.59637),(41 159.61249),(42 159.36746),(43 158.74098),(44 159.53625),(45 159.85738),(46 160.95085),(47 161.12141),(48 159.5356),(49 160.29439),(50 162.8361),(51 161.98973),(52 165.02754),(53 167.26659),(54 170.06117),(55 171.15393),(56 171.97955),(57 171.641),(58 172.44221),(59 176.2937),(60 175.92194),(61 176.35567),(62 179.1985),(63 182.19455),(64 183.52618),(65 186.24928),(66 187.72769),(67 189.6746),(68 191.24016),(69 195.18752),(70 197.19318),(71 198.57053),(72 200.07495),(73 198.68439),(74 198.562),(75 200.17587),(76 197.57355),(77 195.80615),(78 196.86543),(79 198.5205),
(1 81.948814),(2 105.46081),(3 114.060905),(4 120.48873),(5 124.795845),(6 130.16153),(7 130.13417),(8 131.66327),(9 135.2401),(10 138.91843),(11 141.0998),(12 141.8048),(13 142.73056),(14 143.12946),(15 141.3791),(16 142.71361),(17 142.6666),(18 142.70113),(19 144.58418),(20 144.86504),(21 145.48639),(22 145.60675),(23 145.80649),(24 144.57317),(25 146.35612),(26 148.64513),(27 148.08981),(28 149.2084),(29 149.8127),(30 148.77922),(31 152.93086),(32 149.47728),(33 151.01457),(34 152.5424),(35 154.27008),(36 153.89662),(37 152.06242),(38 154.42644),(39 155.80438),(40 156.18663),(41 153.02458),(42 156.24066),(43 155.8451),(44 156.46516),(45 154.17725),(46 155.8403),(47 156.00299),(48 155.92787),(49 154.8881),(50 159.73344),(51 158.83745),(52 162.7389),(53 163.37892),(54 166.24608),(55 168.97348),(56 168.6474),(57 170.97557),(58 173.01064),(59 174.37105),(60 172.3374),(61 173.72069),(62 176.49292),(63 175.92526),(64 180.25099),(65 181.48352),(66 183.19164),(67 183.84773),(68 184.36478),(69 189.48604),(70 191.08331),(71 192.69458),(72 194.61586),(73 194.13733),(74 192.21193),(75 193.49052),(76 191.86617),(77 192.22035),(78 192.60588),(79 196.50006),
(1 80.02995),(2 104.21126),(3 113.29601),(4 119.66923),(5 121.89776),(6 125.80112),(7 129.05489),(8 131.61484),(9 135.6185),(10 137.22208),(11 140.26744),(12 139.62619),(13 142.03423),(14 142.41185),(15 141.63289),(16 142.3843),(17 140.90038),(18 141.5001),(19 144.46643),(20 145.47662),(21 146.52324),(22 145.41127),(23 146.9637),(24 144.29552),(25 147.3302),(26 148.16533),(27 148.98492),(28 150.73973),(29 150.35431),(30 148.59244),(31 151.44785),(32 150.88318),(33 150.26543),(34 152.88391),(35 151.03723),(36 152.05672),(37 150.63533),(38 151.22568),(39 152.1913),(40 153.26389),(41 153.64285),(42 156.42213),(43 156.66335),(44 155.34575),(45 153.75618),(46 156.00113),(47 156.12688),(48 155.91666),(49 154.52356),(50 157.3583),(51 156.49326),(52 162.87915),(53 163.83487),(54 165.87518),(55 167.08357),(56 166.66331),(57 168.73657),(58 168.97647),(59 172.31982),(60 170.17293),(61 174.43439),(62 174.92404),(63 176.97925),(64 178.78632),(65 183.39),(66 184.13374),(67 184.11122),(68 185.29211),(69 189.46057),(70 191.625),(71 191.8576),(72 191.52145),(73 192.49016),(74 190.66223),(75 193.11913),(76 190.4325),(77 192.91534),(78 193.84369),(79 195.05312),
(1 79.21927),(2 100.472694),(3 108.6786),(4 115.47029),(5 118.162186),(6 122.78124),(7 125.72087),(8 127.994286),(9 130.98637),(10 132.22865),(11 133.66602),(12 134.21863),(13 137.17305),(14 137.29123),(15 135.77954),(16 134.50908),(17 135.08232),(18 134.81567),(19 137.64375),(20 139.03368),(21 139.91515),(22 140.15509),(23 140.54343),(24 138.86748),(25 142.19124),(26 141.98724),(27 141.18079),(28 143.9302),(29 145.83136),(30 144.63918),(31 146.02953),(32 145.78479),(33 145.08891),(34 148.07594),(35 146.24055),(36 145.46072),(37 144.42786),(38 144.97922),(39 144.89174),(40 145.22054),(41 142.92181),(42 146.42715),(43 146.06007),(44 147.42867),(45 146.21443),(46 147.42018),(47 146.34843),(48 146.65019),(49 145.16057),(50 150.05988),(51 145.9229),(52 151.57776),(53 153.52411),(54 157.93492),(55 157.39886),(56 157.83151),(57 159.61694),(58 161.013),(59 163.60593),(60 161.8982),(61 162.99251),(62 167.49538),(63 170.711),(64 172.51424),(65 177.72551),(66 179.31384),(67 181.13509),(68 181.02203),(69 186.03989),(70 186.23058),(71 188.49333),(72 189.7822),(73 189.36076),(74 188.5746),(75 189.08481),(76 188.20737),(77 188.91792),(78 188.81577),(79 191.39017),
(1 80.448524),(2 100.12104),(3 108.864044),(4 113.96838),(5 117.04074),(6 119.632965),(7 124.09059),(8 124.70365),(9 127.782776),(10 128.56071),(11 131.78458),(12 129.75407),(13 133.71446),(14 136.25093),(15 134.64384),(16 133.58917),(17 135.97412),(18 134.46207),(19 135.53996),(20 137.13663),(21 136.07486),(22 136.65527),(23 137.707),(24 137.77132),(25 139.09564),(26 139.67886),(27 138.8001),(28 138.88484),(29 141.25476),(30 141.46138),(31 141.95358),(32 142.28888),(33 143.22086),(34 144.74738),(35 143.89236),(36 142.10509),(37 140.68347),(38 144.57115),(39 142.62169),(40 142.30217),(41 142.6923),(42 143.84302),(43 143.36493),(44 144.94727),(45 145.07462),(46 146.83444),(47 144.29915),(48 145.36118),(49 145.13066),(50 149.09488),(51 147.47841),(52 151.3685),(53 151.68842),(54 156.89716),(55 158.32938),(56 160.3827),(57 163.12381),(58 163.74608),(59 166.51854),(60 165.12909),(61 168.33308),(62 170.04393),(63 171.41437),(64 172.08116),(65 175.4127),(66 176.89873),(67 178.83281),(68 179.2171),(69 181.92032),(70 183.56395),(71 183.3737),(72 184.63768),(73 184.9116),(74 185.15091),(75 184.24515),(76 184.89975),(77 185.43332),(78 187.02371),(79 189.30424),
(1 78.19402),(2 98.33689),(3 106.975174),(4 112.84322),(5 116.37236),(6 117.89296),(7 122.608765),(8 123.95204),(9 127.20573),(10 128.84048),(11 131.36859),(12 129.86882),(13 133.53656),(14 135.84633),(15 135.64912),(16 134.1348),(17 135.36232),(18 133.02077),(19 134.7504),(20 136.51775),(21 134.05011),(22 135.16759),(23 136.14589),(24 134.5549),(25 136.57504),(26 135.97183),(27 137.03609),(28 138.4327),(29 139.28687),(30 140.98465),(31 140.30663),(32 140.14854),(33 140.00879),(34 140.91818),(35 139.43994),(36 139.09966),(37 138.19199),(38 142.25328),(39 140.74963),(40 139.59158),(41 140.71075),(42 139.90414),(43 141.28548),(44 144.01039),(45 142.89835),(46 145.68686),(47 143.81506),(48 145.12868),(49 144.5291),(50 147.64868),(51 146.15132),(52 148.90253),(53 150.96635),(54 155.30896),(55 154.97311),(56 157.80124),(57 160.7069),(58 163.07701),(59 162.51103),(60 162.62122),(61 163.8669),(62 165.53409),(63 167.76971),(64 169.35736),(65 169.9862),(66 172.61191),(67 174.62675),(68 175.41733),(69 177.41277),(70 180.67899),(71 179.61241),(72 179.81422),(73 179.80872),(74 179.43993),(75 177.62663),(76 178.04616),(77 176.95546),(78 180.23302),(79 180.23042),
(1 77.9008),(2 97.7458),(3 104.38016),(4 111.65743),(5 114.39576),(6 117.1983),(7 121.27137),(8 122.23609),(9 124.46546),(10 126.96458),(11 130.3135),(12 129.69075),(13 131.50569),(14 133.25385),(15 133.64824),(16 133.10019),(17 132.86987),(18 132.37532),(19 134.80518),(20 134.42772),(21 133.90712),(22 134.44241),(23 137.80582),(24 135.44267),(25 138.32726),(26 136.75464),(27 138.12233),(28 138.51073),(29 140.18489),(30 140.95605),(31 142.13847),(32 140.61067),(33 140.92244),(34 140.38672),(35 140.40425),(36 141.31888),(37 140.68814),(38 142.54445),(39 142.30862),(40 142.295),(41 142.56517),(42 143.666),(43 143.62811),(44 144.67442),(45 145.5722),(46 146.33002),(47 146.06035),(48 146.31042),(49 145.98616),(50 148.31589),(51 148.13504),(52 151.04097),(53 151.86607),(54 156.05704),(55 155.12111),(56 154.43924),(57 156.00089),(58 157.14845),(59 157.49168),(60 159.04031),(61 161.47525),(62 163.34892),(63 164.19652),(64 165.57133),(65 166.97293),(66 169.18015),(67 171.77151),(68 172.16519),(69 174.33336),(70 176.47256),(71 176.85524),(72 178.82578),(73 176.85832),(74 177.97388),(75 177.11583),(76 177.04784),(77 177.23888),(78 177.99258),(79 178.71672),
(1 75.81047),(2 96.90477),(3 102.31561),(4 108.51338),(5 111.9044),(6 115.54859),(7 118.61498),(8 120.35078),(9 122.714165),(10 125.05139),(11 126.3335),(12 126.805016),(13 128.83022),(14 130.04794),(15 129.09924),(16 129.22157),(17 131.62079),(18 130.45525),(19 132.70845),(20 131.28777),(21 131.34691),(22 130.67055),(23 133.08257),(24 131.91643),(25 134.9144),(26 136.6411),(27 136.13457),(28 137.63232),(29 138.61964),(30 139.37831),(31 139.3387),(32 138.24777),(33 138.03069),(34 138.31088),(35 138.19588),(36 137.90993),(37 139.21318),(38 139.07686),(39 138.82414),(40 139.69965),(41 138.71533),(42 140.16235),(43 139.81697),(44 141.21097),(45 143.13597),(46 143.65176),(47 141.65901),(48 143.38092),(49 143.10425),(50 145.74115),(51 145.43568),(52 148.10477),(53 148.28801),(54 151.73466),(55 149.82211),(56 149.61484),(57 151.003),(58 152.62189),(59 154.42848),(60 154.36575),(61 157.23767),(62 158.33942),(63 160.59053),(64 161.74559),(65 164.23459),(66 165.79437),(67 168.92807),(68 169.83864),(69 171.49054),(70 174.40631),(71 175.1149),(72 177.117),(73 177.53482),(74 178.19617),(75 177.03073),(76 176.92032),(77 178.08273),(78 179.43842),(79 180.58925),
