1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 676.8172),(2 1121.2817),(3 1509.4253),(4 1814.004),(5 2072.9763),(6 2305.2466),(7 2524.9043),(8 2852.349),(9 3024.9622),(10 3191.121),(11 3368.854),(12 3510.4048),(13 3666.5613),(14 3752.7478),(15 3884.099),(16 3949.0337),(17 4006.4004),(18 4072.0452),(19 4097.078),(20 4138.223),(21 4160.3086),(22 4197.9604),(23 4233.587),(24 4244.585),(25 4246.9063),(26 4299.83),(27 4332.3535),(28 4357.5337),(29 4396.6885),(30 4419.774),(31 4460.3994),(32 4498.351),(33 4556.387),(34 4591.1704),(35 4624.022),(36 4649.5728),(37 4673.928),(38 4693.23),(39 4740.5303),(40 4767.2593),(41 4772.8403),(42 4811.9487),(43 4845.1265),(44 4863.5415),(45 4900.023),(46 4939.991),(47 4960.262),(48 4959.265),(49 4972.107),(50 4970.4673),(51 5006.2715),(52 5019.5645),(53 5029.058),(54 5030.6123),(55 5025.7847),(56 5016.6733),(57 5042.25),(58 5043.1094),(59 5062.4883),(60 5082.2896),(61 5120.807),(62 5146.009),(63 5165.309),(64 5142.4136),(65 5154.8433),(66 5176.1045),(67 5201.3613),(68 5188.1504),(69 5180.2188),(70 5180.5645),(71 5194.246),(72 5194.258),(73 5193.4478),(74 5195.5835),(75 5238.7134),(76 5258.7144),(77 5258.607),(78 5284.004),(79 5294.1357),
(1 660.9189),(2 1101.7861),(3 1466.1237),(4 1764.0343),(5 2028.2678),(6 2245.9014),(7 2443.7744),(8 2759.8877),(9 2913.417),(10 3073.5708),(11 3245.6824),(12 3392.4768),(13 3521.4414),(14 3618.602),(15 3743.386),(16 3840.3308),(17 3911.4556),(18 3963.121),(19 4000.448),(20 4038.3496),(21 4067.321),(22 4120.658),(23 4178.0815),(24 4210.0947),(25 4258.5493),(26 4324.974),(27 4383.41),(28 4405.3936),(29 4443.0493),(30 4496.9805),(31 4544.8345),(32 4577.186),(33 4604.512),(34 4628.152),(35 4655.3965),(36 4672.877),(37 4699.256),(38 4731.0776),(39 4742.1963),(40 4758.206),(41 4765.932),(42 4799.207),(43 4828.0605),(44 4842.624),(45 4852.142),(46 4851.595),(47 4847.984),(48 4865.217),(49 4856.211),(50 4849.714),(51 4852.8887),(52 4842.0933),(53 4845.8735),(54 4853.1597),(55 4869.078),(56 4860.543),(57 4873.9897),(58 4879.954),(59 4888.0313),(60 4899.3364),(61 4897.428),(62 4929.653),(63 4975.1553),(64 4993.5933),(65 5030.432),(66 5052.5117),(67 5085.3647),(68 5093.535),(69 5097.1396),(70 5129.2603),(71 5145.782),(72 5173.692),(73 5201.603),(74 5223.516),(75 5235.7656),(76 5245.7407),(77 5250.786),(78 5260.5835),(79 5245.555),
(1 680.6916),(2 1126.3433),(3 1510.4514),(4 1807.3015),(5 2071.597),(6 2285.1184),(7 2499.2134),(8 2788.4468),(9 2941.2927),(10 3110.7246),(11 3284.6338),(12 3412.447),(13 3543.0188),(14 3645.783),(15 3782.7844),(16 3853.8123),(17 3928.8794),(18 3978.7231),(19 4019.7322),(20 4061.6091),(21 4102.766),(22 4154.1787),(23 4215.7295),(24 4261.4097),(25 4296.014),(26 4300.9214),(27 4333.6006),(28 4360.845),(29 4385.874),(30 4444.0522),(31 4476.546),(32 4513.3335),(33 4567.8247),(34 4591.436),(35 4612.3237),(36 4624.986),(37 4662.712),(38 4673.722),(39 4725.505),(40 4740.0117),(41 4765.1064),(42 4790.214),(43 4810.993),(44 4834.44),(45 4826.578),(46 4832.8594),(47 4845.275),(48 4866.995),(49 4907.6304),(50 4915.8774),(51 4913.8345),(52 4929.081),(53 4953.091),(54 4975.7256),(55 4968.482),(56 4992.223),(57 5011.5586),(58 5048.659),(59 5072.816),(60 5065.4014),(61 5089.1533),(62 5075.637),(63 5088.699),(64 5106.44),(65 5129.409),(66 5141.789),(67 5155.56),(68 5163.155),(69 5175.405),(70 5168.4453),(71 5171.926),(72 5189.358),(73 5208.0254),(74 5250.287),(75 5289.3896),(76 5295.2065),(77 5315.96),(78 5317.3853),(79 5312.6567),
(1 673.35046),(2 1127.024),(3 1515.5635),(4 1807.4701),(5 2065.2854),(6 2283.1973),(7 2469.0327),(8 2790.8777),(9 2944.1748),(10 3121.5442),(11 3290.2632),(12 3429.2417),(13 3563.9216),(14 3662.0688),(15 3769.7778),(16 3841.0925),(17 3921.8086),(18 3976.4414),(19 4018.951),(20 4073.4907),(21 4110.394),(22 4160.3193),(23 4204.966),(24 4248.9683),(25 4295.586),(26 4341.4688),(27 4398.1606),(28 4424.256),(29 4458.6343),(30 4500.6255),(31 4541.2104),(32 4585.656),(33 4654.889),(34 4680.168),(35 4689.528),(36 4708.82),(37 4744.9136),(38 4761.1196),(39 4806.934),(40 4804.6763),(41 4808.62),(42 4807.9126),(43 4827.4688),(44 4837.4805),(45 4845.4688),(46 4856.346),(47 4872.377),(48 4868.8096),(49 4862.6875),(50 4875.707),(51 4875.934),(52 4896.727),(53 4887.3096),(54 4876.57),(55 4862.5054),(56 4842.177),(57 4851.5347),(58 4865.68),(59 4865.5693),(60 4858.9434),(61 4836.2275),(62 4824.317),(63 4813.687),(64 4790.4077),(65 4807.202),(66 4810.761),(67 4831.4155),(68 4812.43),(69 4816.8726),(70 4808.245),(71 4805.104),(72 4813.205),(73 4800.8735),(74 4822.387),(75 4867.742),(76 4891.93),(77 4904.4453),(78 4907.245),(79 4934.454),
(1 663.67535),(2 1115.3853),(3 1495.0754),(4 1799.8282),(5 2065.8318),(6 2288.5437),(7 2477.862),(8 2771.8752),(9 2917.8083),(10 3064.6077),(11 3222.898),(12 3339.5696),(13 3478.0432),(14 3577.15),(15 3679.2866),(16 3749.2),(17 3824.9038),(18 3882.7004),(19 3922.6614),(20 3969.8413),(21 4009.051),(22 4076.366),(23 4124.195),(24 4148.6367),(25 4217.1333),(26 4278.7456),(27 4324.8174),(28 4356.814),(29 4406.1304),(30 4467.936),(31 4491.7017),(32 4530.202),(33 4556.504),(34 4576.596),(35 4602.3457),(36 4611.1567),(37 4619.7695),(38 4617.1074),(39 4644.812),(40 4636.6245),(41 4629.673),(42 4638.091),(43 4642.961),(44 4666.5796),(45 4690.0454),(46 4727.8193),(47 4744.54),(48 4739.54),(49 4753.174),(50 4741.1665),(51 4728.626),(52 4741.497),(53 4739.4453),(54 4737.159),(55 4747.9097),(56 4749.2124),(57 4761.2515),(58 4779.259),(59 4798.2637),(60 4813.914),(61 4824.418),(62 4853.16),(63 4864.602),(64 4862.6147),(65 4877.5396),(66 4876.779),(67 4874.4795),(68 4831.1846),(69 4810.7876),(70 4802.35),(71 4817.5703),(72 4820.084),(73 4843.808),(74 4861.5723),(75 4892.7646),(76 4906.5874),(77 4914.9834),(78 4941.0625),(79 4936.695),
(1 673.2784),(2 1106.1808),(3 1468.7867),(4 1746.303),(5 1995.8381),(6 2205.4644),(7 2391.5852),(8 2692.312),(9 2859.085),(10 3021.777),(11 3182.368),(12 3308.039),(13 3455.5645),(14 3554.0835),(15 3683.47),(16 3761.7322),(17 3854.1704),(18 3918.7273),(19 3986.1416),(20 4035.0542),(21 4093.4998),(22 4152.965),(23 4177.134),(24 4218.5645),(25 4235.3765),(26 4245.497),(27 4285.4727),(28 4294.484),(29 4315.1196),(30 4353.571),(31 4365.4478),(32 4374.211),(33 4396.6465),(34 4401.831),(35 4417.736),(36 4422.7144),(37 4441.716),(38 4446.2188),(39 4490.8584),(40 4496.784),(41 4492.277),(42 4501.677),(43 4503.296),(44 4518.9814),(45 4520.784),(46 4529.19),(47 4546.2896),(48 4547.336),(49 4585.909),(50 4602.928),(51 4602.1885),(52 4620.669),(53 4644.768),(54 4672.1533),(55 4682.71),(56 4701.9653),(57 4695.429),(58 4715.1904),(59 4736.555),(60 4723.219),(61 4723.874),(62 4723.1196),(63 4761.3423),(64 4755.5454),(65 4782.6646),(66 4823.8745),(67 4853.7427),(68 4868.8115),(69 4871.7617),(70 4887.582),(71 4901.041),(72 4920.417),(73 4949),(74 4942.725),(75 4933.3696),(76 4949.807),(77 4960.8354),(78 4975.654),(79 4969.7085),
(1 664.3888),(2 1091.615),(3 1469.1036),(4 1763.8202),(5 2032.5546),(6 2249.9822),(7 2447.0881),(8 2753.66),(9 2932.3193),(10 3101.8967),(11 3283.068),(12 3410.386),(13 3552.098),(14 3651.542),(15 3773.15),(16 3831.7969),(17 3910.6563),(18 3950.761),(19 3978.3884),(20 4018.41),(21 4069.4663),(22 4121.178),(23 4167.743),(24 4212.122),(25 4241.936),(26 4257.9814),(27 4312.9414),(28 4344.3193),(29 4370.868),(30 4395.6943),(31 4419.901),(32 4429.4453),(33 4454.3057),(34 4463.209),(35 4445.0913),(36 4449.644),(37 4451.359),(38 4457.5903),(39 4474.282),(40 4479.524),(41 4494.786),(42 4530.4043),(43 4566.0083),(44 4600.589),(45 4623.4536),(46 4642.841),(47 4673.2),(48 4710.16),(49 4748.7793),(50 4759.4697),(51 4785.0034),(52 4795.3276),(53 4815.902),(54 4837.9795),(55 4864.524),(56 4888.8037),(57 4895.2295),(58 4911.55),(59 4929.293),(60 4932.434),(61 4950.708),(62 4961.6113),(63 4973.9917),(64 4938.1523),(65 4941.8916),(66 4927.474),(67 4921.225),(68 4905.9224),(69 4906.4307),(70 4899.765),(71 4889.9287),(72 4881.549),(73 4888.836),(74 4907.37),(75 4928.9775),(76 4962.322),(77 4967.8057),(78 4972.048),(79 4979.2207),
(1 651.0041),(2 1069.7551),(3 1450.62),(4 1729.1144),(5 1988.6174),(6 2195.819),(7 2379.6082),(8 2697.973),(9 2885.2559),(10 3064.1353),(11 3207.2961),(12 3315.7698),(13 3414.223),(14 3496.2192),(15 3599.0823),(16 3664.314),(17 3731.2864),(18 3767.2874),(19 3835.4373),(20 3884.1328),(21 3926.5076),(22 3987.432),(23 4000.8892),(24 4004.6282),(25 4023.375),(26 4044.223),(27 4080.4397),(28 4112.731),(29 4134.6553),(30 4166.774),(31 4194.392),(32 4221.746),(33 4248.1426),(34 4276.7544),(35 4285.5615),(36 4316.4165),(37 4323.705),(38 4366.783),(39 4407.4585),(40 4423.9443),(41 4424.032),(42 4458.1563),(43 4492.0903),(44 4528.251),(45 4537.3657),(46 4566.9126),(47 4575.1514),(48 4605.788),(49 4621.5713),(50 4629.6665),(51 4651.338),(52 4668.8516),(53 4685.0537),(54 4692.0176),(55 4718.991),(56 4753.0903),(57 4758.7554),(58 4750.904),(59 4738.274),(60 4728.845),(61 4732.4673),(62 4732.902),(63 4740.0625),(64 4746.756),(65 4746.284),(66 4741.811),(67 4742.5366),(68 4737.7813),(69 4735.834),(70 4732.085),(71 4710.883),(72 4722.056),(73 4728.0776),(74 4747.2085),(75 4772.1626),(76 4795.4604),(77 4812.3525),(78 4803.25),(79 4816.512),
(1 644.59186),(2 1063.8751),(3 1428.0259),(4 1709.4148),(5 1955.5842),(6 2165.885),(7 2360.581),(8 2642.9429),(9 2795.2349),(10 2940.7158),(11 3088.589),(12 3200.5278),(13 3285.9976),(14 3350.6946),(15 3435.5117),(16 3469.6653),(17 3527.3687),(18 3596.2551),(19 3638.922),(20 3678.915),(21 3721.1868),(22 3760.394),(23 3839.6108),(24 3853.3208),(25 3896.9805),(26 3920.712),(27 3985.177),(28 4019.9233),(29 4031.3596),(30 4054.6392),(31 4085.0522),(32 4114.3813),(33 4146.5024),(34 4184.598),(35 4209.222),(36 4218.663),(37 4226.4087),(38 4231.161),(39 4270.416),(40 4295.7344),(41 4303.416),(42 4308.009),(43 4317.3794),(44 4325.5977),(45 4339.4106),(46 4356.0044),(47 4378.892),(48 4385.7876),(49 4401.4834),(50 4410.6504),(51 4433.6753),(52 4424.3296),(53 4458.794),(54 4478.268),(55 4491.7705),(56 4492.357),(57 4480.2437),(58 4506.351),(59 4501.716),(60 4502.3086),(61 4531.9014),(62 4562.4194),(63 4579.173),(64 4606.882),(65 4633.916),(66 4663.4),(67 4672.5493),(68 4680.6606),(69 4646.862),(70 4636.8984),(71 4638.164),(72 4635.7617),(73 4649.784),(74 4667.805),(75 4696.1445),(76 4687.8965),(77 4681.8984),(78 4684.4644),(79 4677.2524),
(1 639.6164),(2 1055.6365),(3 1423.6095),(4 1700.0359),(5 1950.8376),(6 2153.2046),(7 2329.4863),(8 2614.0642),(9 2772.337),(10 2905.5674),(11 3035.5852),(12 3149.7026),(13 3257.7878),(14 3325.1353),(15 3430.551),(16 3480.84),(17 3527.9082),(18 3583.0117),(19 3620.9905),(20 3657.2854),(21 3697.1443),(22 3713.8162),(23 3752.9385),(24 3776.6106),(25 3813.8555),(26 3843.8167),(27 3912.799),(28 3951.448),(29 3961.66),(30 3976.5627),(31 4004.4878),(32 4019.5508),(33 4049.5122),(34 4067.4775),(35 4102.6636),(36 4117.757),(37 4141.02),(38 4163.6616),(39 4207.8027),(40 4221.679),(41 4250.099),(42 4274.9756),(43 4329.273),(44 4347.228),(45 4374.7393),(46 4385.0547),(47 4408.1855),(48 4417.618),(49 4454.965),(50 4476.118),(51 4519.9414),(52 4524.474),(53 4500.014),(54 4510.4316),(55 4510.734),(56 4507.217),(57 4495.3325),(58 4487.8623),(59 4486.0073),(60 4496.5884),(61 4514.385),(62 4519.2993),(63 4546.102),(64 4546.706),(65 4550.311),(66 4561.705),(67 4562.956),(68 4579.769),(69 4588.469),(70 4586.464),(71 4582.0728),(72 4605.7324),(73 4614.0527),(74 4631.284),(75 4669.3813),(76 4672.4966),(77 4672.549),(78 4688.3745),(79 4716.1143),
(1 643.4914),(2 1046.9353),(3 1402.82),(4 1677.109),(5 1921.1393),(6 2132.6436),(7 2327.897),(8 2590.59),(9 2758.262),(10 2910.0366),(11 3056.5063),(12 3165.0264),(13 3271.0671),(14 3343.5923),(15 3444.6228),(16 3496.0354),(17 3540.1245),(18 3591.3684),(19 3632.968),(20 3673.733),(21 3717.386),(22 3757.3486),(23 3804.842),(24 3838.0261),(25 3845.525),(26 3851.361),(27 3900.6155),(28 3925.169),(29 3939.1587),(30 3975.4604),(31 4013.8203),(32 4028.3594),(33 4058.3337),(34 4109.6953),(35 4132.4844),(36 4148.88),(37 4188.8857),(38 4203.1294),(39 4234.3296),(40 4255.855),(41 4289.3574),(42 4315.6787),(43 4360.394),(44 4373.601),(45 4388.146),(46 4389.173),(47 4393.167),(48 4387.218),(49 4411.3325),(50 4407.482),(51 4424.9043),(52 4413.0303),(53 4422.836),(54 4437.879),(55 4443.6323),(56 4454.927),(57 4474.0674),(58 4461.429),(59 4477.128),(60 4486.642),(61 4519.3877),(62 4522.2124),(63 4536.9106),(64 4539.8345),(65 4532.5625),(66 4522.1123),(67 4524.8853),(68 4523.9976),(69 4541.702),(70 4545.4863),(71 4531.8423),(72 4531.097),(73 4537.6714),(74 4540.5967),(75 4555.0674),(76 4574.372),(77 4547.2505),(78 4574.753),(79 4605.1484),
(1 640.0339),(2 1039.3367),(3 1371.7424),(4 1631.7233),(5 1859.0219),(6 2054.7666),(7 2245.873),(8 2531.5547),(9 2714.2383),(10 2861.6106),(11 3011.1174),(12 3132.8062),(13 3241.6133),(14 3316.0786),(15 3411.3894),(16 3452.1685),(17 3497.5276),(18 3522.1765),(19 3560.2495),(20 3604.2356),(21 3640.7773),(22 3664.7314),(23 3695.0361),(24 3713.613),(25 3723.3804),(26 3746.3528),(27 3789.5627),(28 3789.966),(29 3829.6274),(30 3858.6267),(31 3889.226),(32 3925.4343),(33 3975.37),(34 3999.0095),(35 4031.2612),(36 4049.5728),(37 4088.4136),(38 4090.6355),(39 4123.4478),(40 4137.856),(41 4146.131),(42 4162.0576),(43 4178.6074),(44 4179.1943),(45 4188.6055),(46 4210.551),(47 4211.6973),(48 4231.455),(49 4245.0366),(50 4229.5283),(51 4232.858),(52 4249.393),(53 4247.505),(54 4261.949),(55 4276.3423),(56 4297.7188),(57 4314.543),(58 4301.068),(59 4335.234),(60 4332.0723),(61 4361.8184),(62 4366.3364),(63 4371.4453),(64 4370.6284),(65 4383.229),(66 4391.478),(67 4387.8525),(68 4386.648),(69 4387.4185),(70 4392.8667),(71 4416.669),(72 4407.51),(73 4435.576),(74 4444.625),(75 4461.27),(76 4464.317),(77 4460.939),(78 4500.29),(79 4512.809),
(1 630.77325),(2 1038.7443),(3 1375.2261),(4 1628.2784),(5 1835.4327),(6 2020.3665),(7 2195.2598),(8 2469.9404),(9 2638.6003),(10 2777.821),(11 2913.202),(12 3050.5881),(13 3156.9626),(14 3221.2422),(15 3307.4595),(16 3341.2996),(17 3394.621),(18 3424.4343),(19 3453.7954),(20 3482.0164),(21 3517.5398),(22 3552.9922),(23 3590.055),(24 3626.2559),(25 3650.381),(26 3670.633),(27 3721.1191),(28 3735.7102),(29 3782.0618),(30 3807.1143),(31 3843.9502),(32 3882.5618),(33 3903.0269),(34 3923.338),(35 3944.2144),(36 3978.3264),(37 4014.1182),(38 4043.9412),(39 4080.869),(40 4095.0876),(41 4108.1816),(42 4126.1597),(43 4129.249),(44 4146.773),(45 4150.344),(46 4162.6567),(47 4187.37),(48 4195.487),(49 4216.3594),(50 4236.3853),(51 4257.7705),(52 4273.084),(53 4250.9766),(54 4251.843),(55 4262.176),(56 4286.11),(57 4284.247),(58 4295.442),(59 4307.51),(60 4297.166),(61 4311.203),(62 4311.1387),(63 4319.78),(64 4328.773),(65 4341.394),(66 4342.845),(67 4347.344),(68 4323.3022),(69 4309.7603),(70 4297.2075),(71 4288.392),(72 4272.7056),(73 4274.3726),(74 4271.9937),(75 4286.766),(76 4280.702),(77 4297.689),(78 4318.0337),(79 4329.607),
(1 625.975),(2 1029.5022),(3 1374.5151),(4 1611.5798),(5 1829.8556),(6 2021.5891),(7 2190.1968),(8 2439.2756),(9 2588.7146),(10 2740.5735),(11 2889.2417),(12 3032.9788),(13 3144.0188),(14 3216.7402),(15 3298.3706),(16 3364.5264),(17 3416.8064),(18 3443.581),(19 3482.0547),(20 3512.0022),(21 3537.9092),(22 3587.3772),(23 3630.2324),(24 3683.522),(25 3694.8542),(26 3718.3455),(27 3750.4712),(28 3771.004),(29 3800.8523),(30 3828.397),(31 3861.2295),(32 3899.9163),(33 3914.2737),(34 3943.1707),(35 3962.7085),(36 3972.075),(37 3995.9753),(38 4026.8767),(39 4076.2354),(40 4072.555),(41 4101.342),(42 4105.027),(43 4117.3105),(44 4147.8086),(45 4166.2207),(46 4178.064),(47 4188.976),(48 4207.688),(49 4234.5557),(50 4259.8823),(51 4275.9473),(52 4269.4385),(53 4239.394),(54 4220.8984),(55 4225.353),(56 4207.354),(57 4215.077),(58 4204.788),(59 4228.5776),(60 4227.8384),(61 4244.3877),(62 4245.5796),(63 4255.4966),(64 4281.0283),(65 4295.482),(66 4298.369),(67 4314.105),(68 4297.631),(69 4314.599),(70 4323.319),(71 4325.588),(72 4332.328),(73 4342.1206),(74 4363.3335),(75 4382.3716),(76 4393.5176),(77 4397.348),(78 4407.1304),(79 4420.2075),
(1 623.48987),(2 1012.7591),(3 1341.3015),(4 1590.3954),(5 1808.8491),(6 1999.1385),(7 2164.9595),(8 2450.1711),(9 2596.6064),(10 2745.2842),(11 2899.445),(12 3032.5085),(13 3157.9868),(14 3241.0771),(15 3318.6963),(16 3360.4646),(17 3426.185),(18 3474.317),(19 3493.2368),(20 3506.9631),(21 3505.0354),(22 3521.3657),(23 3541.428),(24 3552.3335),(25 3560.235),(26 3577.9734),(27 3619.4678),(28 3616.1428),(29 3628.8052),(30 3657.0078),(31 3704.2676),(32 3746.1602),(33 3769.0745),(34 3805.7307),(35 3848.9744),(36 3866.3057),(37 3909.1375),(38 3901.939),(39 3927.3367),(40 3924.666),(41 3944.1704),(42 3962.1162),(43 3997.9456),(44 4010.2861),(45 4010.5803),(46 4046.917),(47 4060.9346),(48 4064.8374),(49 4078.372),(50 4106.043),(51 4110.38),(52 4120.73),(53 4107.4375),(54 4119.1094),(55 4118.0615),(56 4124.6084),(57 4148.412),(58 4143.4937),(59 4153.8296),(60 4138.7046),(61 4137.342),(62 4132.1255),(63 4151.23),(64 4154.1763),(65 4161.7783),(66 4163.2803),(67 4172.102),(68 4176.263),(69 4186.4487),(70 4192.427),(71 4190.2334),(72 4183.764),(73 4196.7793),(74 4186.1953),(75 4217.2954),(76 4213.701),(77 4226.3447),(78 4242.638),(79 4271.449),
(1 601.76056),(2 979.611),(3 1299.112),(4 1552.7115),(5 1758.4264),(6 1951.9385),(7 2120.8855),(8 2368.9258),(9 2529.141),(10 2665.6323),(11 2814.535),(12 2936.9666),(13 3049.9285),(14 3121.552),(15 3198.7866),(16 3250.9158),(17 3303.818),(18 3346.508),(19 3375.5679),(20 3404.311),(21 3442.7703),(22 3488.2173),(23 3522.1538),(24 3534.6877),(25 3560.7598),(26 3579.492),(27 3616.644),(28 3632.4893),(29 3649.7236),(30 3689.7866),(31 3713.556),(32 3741.0776),(33 3758.0564),(34 3778.326),(35 3790.513),(36 3819.7148),(37 3831.0938),(38 3826.3823),(39 3857.0142),(40 3869.722),(41 3877.3286),(42 3902.963),(43 3913.9404),(44 3907.3657),(45 3897.6128),(46 3908.4194),(47 3930.3867),(48 3942.1196),(49 3968.587),(50 3991.0022),(51 4022.0408),(52 4034.414),(53 4065.3179),(54 4085.808),(55 4091.2837),(56 4108.8467),(57 4116.584),(58 4101.345),(59 4105.9434),(60 4106.3833),(61 4106.38),(62 4097.7197),(63 4112.487),(64 4122.422),(65 4135.9424),(66 4154.497),(67 4164.462),(68 4162.5376),(69 4166.7603),(70 4182.045),(71 4186.4844),(72 4179.0166),(73 4198.389),(74 4218.778),(75 4229.644),(76 4224.8447),(77 4223.486),(78 4230.8354),(79 4242.4146),
(1 619.20447),(2 1001.6338),(3 1327.1567),(4 1567.9237),(5 1771.4536),(6 1958.9287),(7 2130.8623),(8 2381.445),(9 2545.9),(10 2690.293),(11 2841.7559),(12 2955.3418),(13 3074.0618),(14 3160.5571),(15 3230.3574),(16 3259.7278),(17 3311.5466),(18 3352.9424),(19 3391.662),(20 3427.7244),(21 3457.9614),(22 3495.4456),(23 3554.8855),(24 3589.6929),(25 3625.6687),(26 3659.1902),(27 3728.0874),(28 3755.7231),(29 3816.696),(30 3859.4402),(31 3901.2297),(32 3926.1433),(33 3927.117),(34 3933.0095),(35 3944.3828),(36 3961.4521),(37 3967.3218),(38 3976.5474),(39 3997.9148),(40 3994.2217),(41 4000.9883),(42 4017.4148),(43 4023.0325),(44 4018.4722),(45 4019.5774),(46 4032.4983),(47 4027.7407),(48 4032.7732),(49 4052.1907),(50 4060.3828),(51 4069.4282),(52 4087.9404),(53 4125.8105),(54 4140.892),(55 4173.804),(56 4176.495),(57 4166.826),(58 4177.989),(59 4174.408),(60 4185.7725),(61 4193.8403),(62 4182.9844),(63 4198.6616),(64 4198.0835),(65 4217.0576),(66 4235.2354),(67 4264.4175),(68 4231.643),(69 4236.285),(70 4223.7686),(71 4195.041),(72 4176.418),(73 4171.9375),(74 4179.284),(75 4203.2344),(76 4192.424),(77 4176.4644),(78 4181.6226),(79 4202.843),
