1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 40541.43),(2 79028.305),(3 111974.875),(4 207073.06),(5 303026.72),(6 383225.34),(7 516357.97),(8 637230.44),(9 728945.06),(10 863103.25),(11 1021493.3),(12 1130422.9),(13 1337951.6),(14 1490542),(15 1609596.6),(16 1800601.4),(17 1942035.6),(18 2064115.6),(19 2227088.5),(20 2378130.3),(21 2490587),(22 2657334.3),(23 2799652.3),(24 2924288.3),(25 3085227),(26 3223052),(27 3317001.8),(28 3479988.8),(29 3597579),(30 3687877.3),(31 3836632),(32 3963947.3),(33 4072899),(34 4225387.5),(35 4351567.5),(36 4462377.5),(37 4592670.5),(38 4714066.5),(39 4832484.5),(40 4987519.5),(41 5108956),(42 5235688.5),(43 5391206.5),(44 5522242),(45 5621238.5),(46 5775862),(47 5908230.5),(48 6028531.5),(49 6184022),(50 6332709.5),(51 6480959.5),(52 6643012),(53 6805119.5),(54 6941062.5),(55 7099935.5),(56 7255968.5),(57 7368388),(58 7531541.5),(59 7667622.5),(60 7764635.5),(61 7885604.5),(62 8021798),(63 8131711.5),(64 8281392),(65 8429558),(66 8543589),(67 8666395),(68 8821697),(69 8899348),(70 9026153),(71 9149045),(72 9242626),(73 9367316),(74 9472272),(75 9556659),(76 9678510),(77 9770683),(78 9822895),(79 9909703),
(1 5082.6265),(2 14029.902),(3 22114.547),(4 27344.533),(5 30129.422),(6 31098.732),(7 31274.86),(8 31669.969),(9 32313.697),(10 33112.543),(11 33851.094),(12 34442.14),(13 35118.996),(14 35907.16),(15 36764.676),(16 37250.72),(17 37330.543),(18 37377.25),(19 37860.14),(20 38615.5),(21 39251.23),(22 39685.098),(23 39902.69),(24 39797.63),(25 39962.785),(26 40077.332),(27 39978.316),(28 39817.777),(29 39991.813),(30 40437.84),(31 41084.46),(32 41536.965),(33 41769.34),(34 41829.598),(35 41556.23),(36 41785.348),(37 42171.406),(38 42216.785),(39 42195.277),(40 41818.68),(41 41421.492),(42 41105.215),(43 40689.984),(44 40290.684),(45 40065.758),(46 40154.02),(47 40551.926),(48 41207.676),(49 41874.723),(50 42207.504),(51 42293.855),(52 42211.28),(53 42206.36),(54 42367.98),(55 42608.766),(56 42884.473),(57 43014.31),(58 43119.043),(59 43137.26),(60 43005.563),(61 42502.836),(62 41927.7),(63 41755.266),(64 41666.816),(65 41757.125),(66 41872.547),(67 41943.52),(68 41596.336),(69 40826.77),(70 40417.797),(71 40325.94),(72 40349.668),(73 40600.605),(74 40739.137),(75 40829.527),(76 40903.832),(77 41175.582),(78 41629.74),(79 41897.58),
(1 4894.516),(2 13286.116),(3 20912.002),(4 26024.09),(5 28666.38),(6 29762.775),(7 30103.73),(8 30756.814),(9 31584.314),(10 32300.932),(11 32779.746),(12 33514.22),(13 34402.58),(14 34936.285),(15 35416.816),(16 35774.715),(17 36220.94),(18 36642.668),(19 37165.387),(20 37923.527),(21 38889.727),(22 39705.953),(23 40098.19),(24 40220.766),(25 40139.47),(26 40144.684),(27 40199.83),(28 39945.4),(29 39880.22),(30 39925.668),(31 40099.555),(32 40384.06),(33 40495.91),(34 40475.5),(35 40322.883),(36 40582.973),(37 40745.117),(38 40745.06),(39 40653.805),(40 40374.426),(41 40754.316),(42 41376.027),(43 41678.566),(44 41932.76),(45 41854.645),(46 41971.414),(47 42043.57),(48 42209.008),(49 42244.395),(50 42031.137),(51 42148.61),(52 42465.945),(53 42665.848),(54 42938.676),(55 42805.906),(56 42759.223),(57 42708.07),(58 42697.848),(59 42607.027),(60 42516.816),(61 42607.12),(62 42467.16),(63 42168.016),(64 41778.99),(65 41362.75),(66 40841.914),(67 40425.613),(68 39799.184),(69 39472.887),(70 39506.684),(71 39728.363),(72 40017.184),(73 39949.25),(74 39697.535),(75 39163.07),(76 38899.855),(77 38975.094),(78 39407.414),(79 40039.945),
(1 4724.7695),(2 12719.876),(3 19714.805),(4 24069.313),(5 26801.348),(6 28504.76),(7 29730.979),(8 30606.203),(9 31346.363),(10 31865.572),(11 32504.4),(12 33028.24),(13 33709.113),(14 34010.83),(15 34628.223),(16 35461.97),(17 36342.996),(18 37301.31),(19 38050.395),(20 38610.723),(21 39026.52),(22 39610.715),(23 39968.605),(24 40358.813),(25 40583.832),(26 40281.813),(27 39858.465),(28 39472.855),(29 39483.176),(30 39784.027),(31 40109.203),(32 40518.438),(33 41161.56),(34 41630.895),(35 41930.453),(36 42159.64),(37 42548.79),(38 42879.387),(39 43237.57),(40 43204.918),(41 43196.91),(42 43034.297),(43 42776.387),(44 42601.582),(45 42655.04),(46 42624),(47 42626.477),(48 42774.145),(49 42728.707),(50 42602.582),(51 42586.766),(52 42437.48),(53 42309.664),(54 41793.16),(55 41461.234),(56 41106.684),(57 40700.73),(58 40326.965),(59 40373.58),(60 40424.273),(61 40458.88),(62 40553.46),(63 40772.063),(64 41013.324),(65 41178.105),(66 41098.91),(67 40909.715),(68 40597.445),(69 40314.1),(70 40338.625),(71 40326.33),(72 40058.555),(73 39721.164),(74 39666.99),(75 40145.402),(76 40577.445),(77 41055.83),(78 41230.52),(79 41332.04),
(1 4571.6),(2 12253.745),(3 18996.94),(4 23495.531),(5 26441.701),(6 28292.59),(7 29608.533),(8 30710.031),(9 31467.766),(10 31923.898),(11 31931.38),(12 31903.38),(13 32153.139),(14 32441.947),(15 33526.086),(16 34264.02),(17 34822.504),(18 35333.996),(19 36057.816),(20 36739.98),(21 37302.375),(22 37890.223),(23 38222.438),(24 38355.145),(25 38481.14),(26 38491.805),(27 38483.758),(28 38682.855),(29 38858.156),(30 38992.863),(31 38961.62),(32 39273.223),(33 39852.156),(34 40232.484),(35 40684.48),(36 40969.133),(37 41108.25),(38 41431.316),(39 41777.906),(40 42071.96),(41 42156.414),(42 42045.53),(43 41573.984),(44 41359.094),(45 41122.92),(46 40914.082),(47 40940.367),(48 41110.92),(49 40874.695),(50 40989.805),(51 41285.586),(52 41445.207),(53 41392.574),(54 41072.863),(55 40839.047),(56 40705.598),(57 40900.082),(58 41067.54),(59 41087.605),(60 40934.195),(61 40917.86),(62 40841.746),(63 40775.504),(64 40671.29),(65 40279.785),(66 39955.59),(67 39953.105),(68 39968.605),(69 39945.43),(70 40130.71),(71 40046.285),(72 40181.28),(73 40113.586),(74 40199.67),(75 40367.69),(76 40437.51),(77 40540.566),(78 40564.605),(79 40532.652),
(1 4531.283),(2 12227.307),(3 18934.018),(4 23242.83),(5 25600.559),(6 26734.162),(7 27712.588),(8 28635.379),(9 29474.21),(10 29870),(11 30060.545),(12 30330.316),(13 30828.068),(14 31125.568),(15 31580.537),(16 32052.602),(17 32681.672),(18 33570.484),(19 34652.15),(20 35551.65),(21 36161.39),(22 36610.918),(23 36768.414),(24 36616.727),(25 36398.188),(26 36293.21),(27 36287.75),(28 36433.813),(29 37055.3),(30 37718.832),(31 37946.043),(32 37646.695),(33 37053.926),(34 36568.61),(35 36253.688),(36 36447.438),(37 36870.227),(38 37302.566),(39 37868.08),(40 38407.773),(41 38481.15),(42 38125.727),(43 37562.31),(44 37377.6),(45 37678.21),(46 37989.85),(47 38113.668),(48 38052.633),(49 37701.008),(50 37438.9),(51 37406),(52 37420.266),(53 37711.313),(54 37934.977),(55 37788.85),(56 37562.742),(57 37236.363),(58 37184.832),(59 37179.895),(60 37120.105),(61 36983.992),(62 37032.207),(63 37311.973),(64 37817.063),(65 37897.36),(66 37576.855),(67 37261.906),(68 37158.348),(69 37437.145),(70 37730.902),(71 37833.668),(72 38203.883),(73 38365.57),(74 38263.543),(75 38203.656),(76 38135.188),(77 38321.824),(78 38561.24),(79 38742.36),
(1 4552.2065),(2 12094.143),(3 18653.488),(4 22834.95),(5 25354.549),(6 26870.057),(7 28085.041),(8 29273.834),(9 30000.383),(10 30356.395),(11 30597.047),(12 31150.918),(13 31910.68),(14 32647.363),(15 33435.473),(16 34108.387),(17 34811.89),(18 35449.457),(19 35914.004),(20 36251.027),(21 36541.195),(22 36861.902),(23 37258.742),(24 37663.383),(25 38144.563),(26 38192.824),(27 38357.082),(28 38429.316),(29 38729.29),(30 39063.875),(31 39627.996),(32 40113.07),(33 40359.316),(34 40117.277),(35 39760.965),(36 39587.023),(37 39395.855),(38 39315.105),(39 39393.258),(40 39474.77),(41 39308.383),(42 38863.504),(43 38483.883),(44 38041.75),(45 37560.645),(46 37494.137),(47 37512.465),(48 37368.52),(49 37391.473),(50 37687.563),(51 38099.453),(52 38358.94),(53 38508.07),(54 38443.473),(55 38312.36),(56 37958.938),(57 37522.49),(58 36955.215),(59 36716.863),(60 36384.887),(61 36257.24),(62 36263.625),(63 36448.992),(64 36605.58),(65 36465.055),(66 36358.273),(67 36544.87),(68 36767.56),(69 37099.69),(70 37263.22),(71 37012.36),(72 36956.055),(73 36939.24),(74 37069.12),(75 37196.035),(76 37321.258),(77 37582.527),(78 37645.367),(79 37754.01),
(1 4468.507),(2 11706.435),(3 17710.014),(4 21585.281),(5 24014.84),(6 25769.719),(7 27139.154),(8 28305.275),(9 29044.564),(10 29333.88),(11 29636.652),(12 29965.275),(13 30178.49),(14 30778.604),(15 31765.799),(16 32620.879),(17 33126.277),(18 33513.42),(19 33802.227),(20 34146.695),(21 34773.49),(22 35081.56),(23 35479.773),(24 35712.586),(25 35799.1),(26 35614.625),(27 35374.11),(28 35094.6),(29 35083.87),(30 35187.88),(31 35326.45),(32 35430.938),(33 35375.47),(34 35222.453),(35 35074.844),(36 34956.4),(37 34824.95),(38 34629.625),(39 34586.582),(40 34550.484),(41 34188.44),(42 33692.098),(43 33374.17),(44 33319.6),(45 33392.63),(46 33284.28),(47 33272.08),(48 33276.117),(49 33192.516),(50 32973.67),(51 32827.4),(52 32790.906),(53 32909.625),(54 33144.86),(55 33385.664),(56 33584.27),(57 33490.258),(58 33258.1),(59 33039.016),(60 32910.875),(61 32842.703),(62 32691.463),(63 32717.822),(64 32858.29),(65 33088.473),(66 33118.414),(67 33078.285),(68 33001.965),(69 33063.383),(70 33378.16),(71 33856.598),(72 34326.203),(73 34821.85),(74 35111.168),(75 35490.07),(76 35520.582),(77 35357.074),(78 35057.1),(79 34969.402),
(1 4558.519),(2 12163.612),(3 18644.809),(4 22819.826),(5 25156.19),(6 26252.268),(7 26765.021),(8 27061.81),(9 27185.313),(10 27308.771),(11 27798.357),(12 28552.168),(13 29613.877),(14 30480.8),(15 31053.043),(16 31602.053),(17 32208.498),(18 32621.457),(19 32743.434),(20 32899.605),(21 33164.01),(22 33586.758),(23 34155.266),(24 34322.133),(25 34278.246),(26 34394.707),(27 34420.88),(28 34388.695),(29 34460.51),(30 34675.39),(31 34622.754),(32 34689.81),(33 34556.28),(34 34327.24),(35 34270.07),(36 34133.31),(37 33717.754),(38 33284.98),(39 33192.184),(40 33539.688),(41 33626.633),(42 33716.68),(43 33375.766),(44 33153.05),(45 32829.06),(46 32459.127),(47 32113.6),(48 31995.994),(49 32079.773),(50 32227.508),(51 32339.605),(52 32618.469),(53 32918.035),(54 33270.016),(55 33532.223),(56 33577.367),(57 33381.81),(58 33268.715),(59 33323.207),(60 33364.574),(61 33182.016),(62 33245.625),(63 33557.418),(64 33812.35),(65 34113.836),(66 34289.563),(67 34227.707),(68 33838.234),(69 33617.53),(70 33827.605),(71 34104.65),(72 34386.383),(73 34753.914),(74 35255.82),(75 35698.496),(76 36190.93),(77 36594.195),(78 36856.785),(79 36964.86),
(1 4332.7373),(2 11405.629),(3 17368.627),(4 21096.674),(5 23197.363),(6 24375.004),(7 25346.303),(8 26123.688),(9 26638.97),(10 27133.6),(11 27794.01),(12 28468.354),(13 29303.97),(14 30281.951),(15 31390.42),(16 32138.824),(17 32395.947),(18 32537.441),(19 32458.639),(20 32588.443),(21 32887),(22 33664.395),(23 34282.926),(24 34709.348),(25 34880.69),(26 34806.01),(27 35018.543),(28 35205.633),(29 35412.074),(30 35499.117),(31 35338.68),(32 35122.883),(33 35025.523),(34 35378.203),(35 36059.74),(36 36323.22),(37 36089.938),(38 35906.426),(39 35557.832),(40 35304.867),(41 35067.418),(42 34882.203),(43 34487.906),(44 34095.926),(45 33780.547),(46 33695.04),(47 33596.4),(48 33712.055),(49 33793.523),(50 33993.2),(51 34533.367),(52 35154.973),(53 35513.547),(54 35878.957),(55 36126.4),(56 36108.875),(57 35841.984),(58 35587.332),(59 35635.242),(60 35896.25),(61 36409.313),(62 36980.113),(63 37272.645),(64 37132.184),(65 36988.684),(66 36895.086),(67 36606.906),(68 36329.047),(69 36040.793),(70 36071.527),(71 36397.027),(72 36740.863),(73 36765.918),(74 36485.504),(75 36285.043),(76 36312.36),(77 36383.27),(78 36638.34),(79 37039.273),
(1 4369.987),(2 11466.0625),(3 17147.855),(4 20420.44),(5 22326.936),(6 23360.17),(7 24477.096),(8 25537.182),(9 26350.955),(10 26880.572),(11 27169.734),(12 27578.756),(13 28182.508),(14 28716.326),(15 29554.95),(16 30075.121),(17 30547.72),(18 31126.754),(19 31592.115),(20 31831.135),(21 31877.564),(22 32048.232),(23 32317.193),(24 32481.82),(25 32587.486),(26 32480.738),(27 32730.217),(28 32935.9),(29 33276.76),(30 33421.023),(31 33362.008),(32 33406.473),(33 33452.156),(34 33660.11),(35 33836.6),(36 33917.258),(37 33767.57),(38 33555.203),(39 33449.742),(40 33351.746),(41 33373.695),(42 33529.543),(43 33719.008),(44 34058.89),(45 34427.227),(46 34466.33),(47 34158.63),(48 33877.7),(49 33670.21),(50 33512.043),(51 33461.59),(52 33549.53),(53 33845.23),(54 34185.426),(55 34326.46),(56 34259.773),(57 33906.79),(58 33673.043),(59 33729.27),(60 33961.914),(61 34350.33),(62 34507.09),(63 34431.25),(64 34160.453),(65 33694.207),(66 33044.26),(67 32460.432),(68 32430.889),(69 32631.48),(70 33113.54),(71 33520.91),(72 33826.23),(73 33877.64),(74 34034.945),(75 34070.426),(76 33831.23),(77 33546.258),(78 33375.53),(79 33386.64),
(1 4320.4385),(2 11229.274),(3 16734.102),(4 19917.824),(5 21339.326),(6 22310.91),(7 23197.197),(8 24042.666),(9 24852.117),(10 25647.598),(11 26308.588),(12 26870.617),(13 27427.002),(14 27884.568),(15 28290.049),(16 28587.277),(17 28917.559),(18 29393.967),(19 29824.107),(20 30107.537),(21 30284.049),(22 30432.563),(23 30701.44),(24 31083.402),(25 31457.64),(26 31667.998),(27 32041.143),(28 32246.379),(29 32335.826),(30 32598.54),(31 32885.227),(32 32978.582),(33 32888.58),(34 32760.043),(35 32731.47),(36 32593.992),(37 32526.89),(38 32411.523),(39 32453.008),(40 32658.898),(41 32951.5),(42 33341.535),(43 33342.348),(44 33390.57),(45 33414.07),(46 33575.402),(47 33593.3),(48 33697.813),(49 33896.086),(50 34061.918),(51 34075.78),(52 34077.133),(53 34208.395),(54 34503.348),(55 34830.992),(56 34883.047),(57 34684.664),(58 34520.62),(59 34500.977),(60 34382.438),(61 34388.855),(62 34197.816),(63 33889.457),(64 33637.156),(65 33148.887),(66 33128.363),(67 33200.25),(68 33102.484),(69 33020.223),(70 33164.492),(71 33295.414),(72 33274.348),(73 33315.86),(74 33567.06),(75 34055.766),(76 34162.715),(77 33954.457),(78 33579.535),(79 33294.703),
(1 4158.594),(2 10787.231),(3 16220.801),(4 19515.303),(5 21340.602),(6 22431.191),(7 23440.451),(8 24503.424),(9 25599.307),(10 26005.137),(11 26096.564),(12 26185.64),(13 26606.424),(14 27231.68),(15 27922.521),(16 28494.393),(17 28721.348),(18 28870.459),(19 29139.926),(20 29253.252),(21 29608.732),(22 29990.959),(23 30517.164),(24 31219.6),(25 31868.957),(26 32262.697),(27 32641.49),(28 32591.924),(29 32561.479),(30 32192.59),(31 31889.18),(32 31773.514),(33 31853.592),(34 31862.244),(35 32074.135),(36 32002.357),(37 31620.164),(38 31324.215),(39 31312.375),(40 31513.887),(41 31975.143),(42 32204.725),(43 32323.477),(44 32361.727),(45 32264.955),(46 32084.834),(47 31940.521),(48 31858.736),(49 32034.852),(50 32067.412),(51 32147.547),(52 32257.29),(53 32245.088),(54 32381.176),(55 32652.635),(56 32816.758),(57 32888.28),(58 33098.45),(59 33108.08),(60 33040.836),(61 33153.113),(62 32937.6),(63 32845.098),(64 32693.023),(65 32720.582),(66 33113.563),(67 33284.44),(68 33358.574),(69 33400.523),(70 33370.86),(71 33094.46),(72 32823.81),(73 32487.107),(74 32513.016),(75 32443.459),(76 32257.654),(77 32239.232),(78 32539.309),(79 32834.043),
(1 4246.7656),(2 10957.213),(3 16370.431),(4 19588.746),(5 21283.906),(6 22291.988),(7 23016.328),(8 23793.365),(9 24448.104),(10 24792.537),(11 25187.441),(12 25535.207),(13 26015.916),(14 26520.395),(15 27267.904),(16 27798.367),(17 28274.195),(18 28582.64),(19 28809.8),(20 28947.525),(21 28811.31),(22 29097.037),(23 29566.791),(24 29926.285),(25 30006.875),(26 29953.162),(27 29892.922),(28 29604.654),(29 29691.322),(30 29891.48),(31 30290.13),(32 30961.813),(33 31802.188),(34 32203.938),(35 32209.242),(36 31649.516),(37 31064.86),(38 30836.916),(39 30882.664),(40 31022.568),(41 31139.096),(42 31287.186),(43 31202.846),(44 31257.154),(45 31253.566),(46 31127.78),(47 30947.813),(48 30779.672),(49 30912.338),(50 31107.285),(51 31305.098),(52 31274.348),(53 31037.36),(54 30873.385),(55 30581.113),(56 30304.469),(57 30156.076),(58 30168.225),(59 30184.32),(60 30140.377),(61 30083.719),(62 29900.557),(63 29911.908),(64 29812.592),(65 29517.191),(66 29348.861),(67 29367.402),(68 29113.793),(69 29250.998),(70 29482.057),(71 29329.566),(72 29173.422),(73 29175.332),(74 29264.754),(75 29236.248),(76 29091.97),(77 29049.818),(78 29169.781),(79 29685.64),
(1 4293.1304),(2 11118.69),(3 16643.45),(4 20004.748),(5 21842.64),(6 22883.799),(7 23526.877),(8 24300.164),(9 25116.664),(10 25770.072),(11 26094.996),(12 26305.227),(13 26607.168),(14 27049.809),(15 27500.783),(16 27653.715),(17 27769.338),(18 27846.395),(19 27972.182),(20 27887.14),(21 27811.498),(22 28119.723),(23 28690.895),(24 28985.094),(25 28958.768),(26 28873.889),(27 28800.906),(28 28700.867),(29 28533.133),(30 28549.105),(31 28801.924),(32 29049.53),(33 29376.988),(34 29619.205),(35 29740.063),(36 29568.004),(37 29532.26),(38 29648.527),(39 29923.092),(40 29850.156),(41 29638.813),(42 29637.082),(43 29689.053),(44 29658.396),(45 29621.512),(46 29800.17),(47 29845.396),(48 29925.957),(49 30138.516),(50 30213.816),(51 30134.23),(52 30118.617),(53 30437.01),(54 30775.498),(55 30969.043),(56 30830.164),(57 30574.742),(58 30378.766),(59 30297.283),(60 30112.652),(61 29834.752),(62 29454.162),(63 29192.207),(64 29258.72),(65 29524.414),(66 29853.47),(67 30121.291),(68 30253.754),(69 30315.195),(70 30374.629),(71 30496.598),(72 30709.113),(73 30862.44),(74 30896.658),(75 30641.732),(76 30134.395),(77 29863.889),(78 29834.01),(79 30090.645),
(1 4090.5522),(2 10566.637),(3 15850.882),(4 19016.89),(5 20652),(6 21551.922),(7 22449.967),(8 23274.58),(9 23967.402),(10 24419.64),(11 24769.623),(12 25218.85),(13 25955.56),(14 26941.484),(15 27533.291),(16 27825.104),(17 27748.477),(18 27562.51),(19 27549.922),(20 27623.656),(21 27675.604),(22 27798.906),(23 28015.855),(24 28250.932),(25 28300.033),(26 28320.557),(27 28520.648),(28 28357.416),(29 28363.92),(30 28668.684),(31 29133.168),(32 29663.139),(33 30188.955),(34 30332.283),(35 30286.277),(36 30012.89),(37 29795.453),(38 29616.75),(39 29505.078),(40 29362.555),(41 29291.543),(42 29427.023),(43 29667.373),(44 29934.527),(45 30097.43),(46 30092.902),(47 29987.604),(48 29981.86),(49 29991.963),(50 30050.957),(51 30131.1),(52 30354.615),(53 30648.254),(54 30836.504),(55 30809.967),(56 30558.271),(57 30243.035),(58 29877.793),(59 29707.082),(60 29705.215),(61 30023.59),(62 30277.717),(63 30483.203),(64 30484.951),(65 30448.19),(66 30422.156),(67 30503.889),(68 30590.588),(69 30553.955),(70 30501.898),(71 30406.965),(72 30501.496),(73 30514.682),(74 30548.35),(75 30446.197),(76 30357.383),(77 30589.803),(78 30716.408),(79 30941.283),
(1 4067.6677),(2 10390.016),(3 15478.121),(4 18657.379),(5 20439.45),(6 21427.283),(7 22189.404),(8 22949.328),(9 23598.355),(10 23953.484),(11 24228.494),(12 24405.998),(13 24940.38),(14 25813.861),(15 26236.05),(16 26326.836),(17 26255.266),(18 26322.076),(19 26383.088),(20 26607.336),(21 27018.398),(22 27429.516),(23 27884.541),(24 28218.762),(25 28207.809),(26 28145.893),(27 28626.549),(28 28718.121),(29 28822.443),(30 28971.188),(31 29247.635),(32 29483.855),(33 29789.314),(34 29964.424),(35 30055.049),(36 29967.152),(37 29954.783),(38 30070.602),(39 30126.422),(40 30093.498),(41 30133.158),(42 29965.748),(43 29554.734),(44 29272.738),(45 29163.232),(46 29386.809),(47 29855.902),(48 30154.063),(49 30340.78),(50 30481.955),(51 30430.969),(52 30496.738),(53 30523.928),(54 30408.793),(55 30293.143),(56 30109.611),(57 29762.809),(58 29373.594),(59 29287.625),(60 29252.768),(61 29287.635),(62 29321.596),(63 29607.994),(64 29888.613),(65 30151.434),(66 30447.852),(67 30886.02),(68 31079.791),(69 30897.889),(70 30773.346),(71 30639.398),(72 30497.068),(73 30336.654),(74 30234.402),(75 30295.65),(76 30353.139),(77 30628.248),(78 30944.104),(79 31208.654),
(1 4087.1838),(2 10500.215),(3 15504.865),(4 18492.928),(5 20021.904),(6 21006.748),(7 21756.1),(8 22533.334),(9 22970.035),(10 23191.973),(11 23459.582),(12 23835.47),(13 24340.879),(14 25094.83),(15 25735.51),(16 26034.35),(17 25959.596),(18 25872.945),(19 26045.762),(20 26253.922),(21 26570.844),(22 26974.328),(23 27430.625),(24 27788.055),(25 27855.646),(26 27922.588),(27 28150.895),(28 28141.623),(29 28166.186),(30 28340.486),(31 28587.309),(32 29033.08),(33 29425.256),(34 29558.758),(35 29339.318),(36 29027.898),(37 29110.979),(38 29336.377),(39 29538.268),(40 29560.9),(41 29578.316),(42 29615.775),(43 29650.713),(44 29649.52),(45 29541.996),(46 29336.576),(47 28962.078),(48 28658.824),(49 28444.555),(50 28553.365),(51 28742.049),(52 28998.96),(53 29093.193),(54 29063.344),(55 28938.654),(56 28940.854),(57 28940.865),(58 28878.813),(59 28685.064),(60 28296.252),(61 27830.775),(62 27523.893),(63 27541.55),(64 27750.854),(65 28081.883),(66 28535.445),(67 28951.545),(68 29230.555),(69 29349.08),(70 29465.979),(71 29326.727),(72 29005.969),(73 28586.16),(74 28308.59),(75 28255.652),(76 28282.7),(77 28453.035),(78 28444.055),(79 28432.945),
