1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,500.5,501.5,502.5,503.5,504.5,505.5,506.5,507.5,508.5,509.5,510.5,511.5,
(1 39447.43),(2 105397.56),(3 195027.98),(4 296357),(5 409845.75),(6 544052.7),(7 684020.75),(8 817289.06),(9 961276.3),(10 1104140.1),(11 1273359.9),(12 1456361.6),(13 1645030.9),(14 1833745.6),(15 2045869),(16 2269828),(17 2519705.3),(18 2789414.3),(19 3062060),(20 3360485.3),(21 3685303.3),(22 4025717.3),(23 4352850),(24 4672932),(25 4975610.5),(26 5259234.5),(27 5563500),(28 5888172),(29 6204847.5),(30 6541850.5),(31 6896476.5),(32 7254784),(33 7619928),(34 7992576),(35 8364044),(36 8744067),(37 9154041),(38 9552364),(39 9944011),(40 10333216),(41 10738570),(42 11159012),(43 11558708),(44 11960333),(45 12368085),(46 12774952),(47 13183304),(48 13625671),(49 14061325),(50 14500119),(51 14952117),(52 15417867),(53 15869987),(54 16343584),(55 16834070),(56 17327708),(57 17823832),(58 18286768),(59 18768168),(60 19204410),(61 19613232),(62 20010296),(63 20404886),(64 20794904),(65 21197910),(66 21582346),(67 21969712),(68 22362782),(69 22759686),(70 23162392),(71 23555056),(72 23960370),(73 24351210),(74 24736576),(75 25111830),(76 25469562),(77 25813496),(78 26130054),(79 26436614),
(1 1191.3772),(2 1509.8672),(3 1571.8563),(4 1687.4841),(5 1812.6436),(6 1935.8599),(7 2023.1154),(8 2141.1365),(9 2255.3772),(10 2338.461),(11 2406.2505),(12 2484.7766),(13 2554.6833),(14 2629.0627),(15 2672.143),(16 2726.9578),(17 2749.946),(18 2789.1682),(19 2827.7698),(20 2853.2163),(21 2874.5396),(22 2904.0476),(23 2910.129),(24 2913.2188),(25 2902.657),(26 2917.5977),(27 2908.6064),(28 2911.8096),(29 2915.388),(30 2905.6213),(31 2919.2854),(32 2915.5886),(33 2912.9985),(34 2909.884),(35 2912.4797),(36 2895.647),(37 2903.5413),(38 2903.5173),(39 2896.7517),(40 2893.0706),(41 2899.4226),(42 2883.6855),(43 2872.328),(44 2866.8936),(45 2878.8518),(46 2863.9185),(47 2860.513),(48 2851.2192),(49 2866.2239),(50 2851.838),(51 2861.8018),(52 2855.1458),(53 2863.7327),(54 2863.4329),(55 2861.3547),(56 2875.246),(57 2884.114),(58 2889.555),(59 2898.334),(60 2901.0464),(61 2899.9353),(62 2894.6482),(63 2902.8364),(64 2913.4688),(65 2924.32),(66 2923.116),(67 2934.072),(68 2923.3357),(69 2936.845),(70 2943.2898),(71 2943.295),(72 2944.7847),(73 2949.2825),(74 2946.3503),(75 2955.3088),(76 2945.0647),(77 2957.7961),(78 2964.5632),(79 2966.9473),
(1 1168.4343),(2 1484.3035),(3 1539.6283),(4 1649.7428),(5 1776.4067),(6 1891.194),(7 1989.4663),(8 2105.3474),(9 2201.0083),(10 2286.233),(11 2367.3728),(12 2443.1328),(13 2508.0159),(14 2572.273),(15 2620.6292),(16 2669.1587),(17 2686.1045),(18 2726.9907),(19 2756.17),(20 2769.5906),(21 2792.715),(22 2809.7422),(23 2810.1204),(24 2827.4912),(25 2828.5754),(26 2830.485),(27 2817.007),(28 2835.108),(29 2837.6587),(30 2824.7405),(31 2844.2593),(32 2852.3254),(33 2855.4263),(34 2841.2202),(35 2847.8428),(36 2834.0552),(37 2839.7908),(38 2846.6343),(39 2840.6494),(40 2847.327),(41 2849.9583),(42 2828.705),(43 2832.3271),(44 2835.0684),(45 2837.1792),(46 2820.1975),(47 2817.7861),(48 2812.9048),(49 2823.443),(50 2817.8564),(51 2825.0823),(52 2814.0437),(53 2826.8098),(54 2824.5667),(55 2828.182),(56 2840.426),(57 2842.3733),(58 2840.6094),(59 2846.8508),(60 2850.9573),(61 2845.5027),(62 2854.6633),(63 2853.7598),(64 2863.7559),(65 2880.2031),(66 2872.176),(67 2871.0322),(68 2878.0823),(69 2894.8672),(70 2875.3271),(71 2898.9524),(72 2899.4578),(73 2915.5835),(74 2918.7546),(75 2926.18),(76 2916.3105),(77 2936.218),(78 2928.7803),(79 2921.1743),
(1 1140.2169),(2 1452.246),(3 1507.6901),(4 1609.278),(5 1732.5062),(6 1852.7354),(7 1949.6201),(8 2060.0967),(9 2155.9023),(10 2232.0193),(11 2312.2092),(12 2394.6658),(13 2457.838),(14 2516.5054),(15 2552.8347),(16 2604.0605),(17 2617.032),(18 2654.876),(19 2677.9224),(20 2687.7234),(21 2706.1328),(22 2719.183),(23 2732.4722),(24 2744.9343),(25 2749.968),(26 2747.5193),(27 2741.6455),(28 2758.972),(29 2771.0222),(30 2769.6514),(31 2773.558),(32 2775.8318),(33 2783.4377),(34 2777.7527),(35 2794.514),(36 2777.6042),(37 2780.7983),(38 2784.4033),(39 2783.9233),(40 2769.6294),(41 2781.393),(42 2769.7734),(43 2772.3054),(44 2772.8557),(45 2783.49),(46 2769.3933),(47 2764.1973),(48 2759.4946),(49 2766.9087),(50 2763.2073),(51 2769.5837),(52 2763.5818),(53 2779.883),(54 2779.176),(55 2779.5115),(56 2776.846),(57 2772.2144),(58 2760.7588),(59 2775.615),(60 2771.2458),(61 2780.658),(62 2785.3362),(63 2799.3567),(64 2806.701),(65 2821.2483),(66 2813.4824),(67 2816.4265),(68 2824.5356),(69 2846.0544),(70 2832.493),(71 2843.088),(72 2849.222),(73 2854.6135),(74 2853.8435),(75 2855.0444),(76 2859.7593),(77 2866.3245),(78 2873.3403),(79 2876.1616),
(1 1104.9155),(2 1408.7537),(3 1469.9406),(4 1577.1532),(5 1719.5687),(6 1831.804),(7 1930.725),(8 2046.91),(9 2145.1855),(10 2222.9),(11 2285.8262),(12 2358.5862),(13 2422.1433),(14 2481.3438),(15 2514.1948),(16 2564.836),(17 2588.795),(18 2616.5117),(19 2644.0623),(20 2663.7239),(21 2681.3264),(22 2692.458),(23 2709.6133),(24 2717.147),(25 2712.7554),(26 2717.1604),(27 2716.4817),(28 2706.3188),(29 2712.4822),(30 2713.1575),(31 2708.6406),(32 2710.9116),(33 2714.3994),(34 2710.9722),(35 2728.712),(36 2716.7822),(37 2712.631),(38 2715.4294),(39 2713.8474),(40 2709.2825),(41 2711.2192),(42 2707.1624),(43 2698.1301),(44 2685.1997),(45 2696.0706),(46 2675.199),(47 2675.5186),(48 2673.8691),(49 2673.9106),(50 2663.5044),(51 2671.2734),(52 2666.7285),(53 2675.9998),(54 2668.5576),(55 2677.9578),(56 2680.6118),(57 2685.923),(58 2695.523),(59 2707.1248),(60 2698.6433),(61 2702.6128),(62 2708.86),(63 2729.9834),(64 2733.2205),(65 2739.8706),(66 2733.065),(67 2740.627),(68 2757.2556),(69 2770.632),(70 2748.64),(71 2755.7964),(72 2759.194),(73 2763.8794),(74 2767.7068),(75 2766.5396),(76 2764.8025),(77 2765.8242),(78 2771.6953),(79 2779.6218),
(1 1086.8522),(2 1382.0565),(3 1457.0566),(4 1563.55),(5 1672.8237),(6 1793.0421),(7 1895.9204),(8 1994.7753),(9 2082.1443),(10 2170.5947),(11 2216.142),(12 2285.5645),(13 2352.0488),(14 2406.087),(15 2437.8838),(16 2488.558),(17 2506.004),(18 2522.5684),(19 2554.661),(20 2571.7827),(21 2579.2412),(22 2597.303),(23 2618.0503),(24 2621.1958),(25 2609.7095),(26 2622.5088),(27 2621.5325),(28 2624.5076),(29 2618.4128),(30 2631.6296),(31 2611.723),(32 2624.4053),(33 2638.4004),(34 2639.2625),(35 2641.882),(36 2642.6406),(37 2634.107),(38 2637.5637),(39 2644.5505),(40 2640.3835),(41 2639.1912),(42 2634.8977),(43 2625.9092),(44 2625.585),(45 2614.9377),(46 2614.8965),(47 2597.9622),(48 2602.9824),(49 2601.3225),(50 2598.7937),(51 2596.6504),(52 2592.3345),(53 2595.1726),(54 2594.798),(55 2598.3672),(56 2603.9639),(57 2603.8867),(58 2609.4644),(59 2628.0654),(60 2629.2366),(61 2627.6663),(62 2630.8035),(63 2639.3794),(64 2644.0256),(65 2652.9534),(66 2644.2954),(67 2655.3625),(68 2657.434),(69 2666.864),(70 2669.671),(71 2671.6396),(72 2658.1328),(73 2665.6577),(74 2672.164),(75 2671.9453),(76 2661.0417),(77 2666.2864),(78 2664.487),(79 2670.4346),
(1 1057.0314),(2 1349.8359),(3 1414.4591),(4 1523.4211),(5 1630.6737),(6 1742.9678),(7 1850.6218),(8 1940.9486),(9 2029.1669),(10 2120.8071),(11 2178.8582),(12 2252.0388),(13 2313.4788),(14 2357.5195),(15 2392.441),(16 2442.4312),(17 2461.758),(18 2487.7727),(19 2513.5273),(20 2532.0703),(21 2552.9792),(22 2565.545),(23 2575.8145),(24 2575.1091),(25 2583.1597),(26 2586.3987),(27 2581.3762),(28 2591.9128),(29 2589.4954),(30 2598.825),(31 2593.5623),(32 2606.1028),(33 2613.2847),(34 2618.8372),(35 2607.084),(36 2615.807),(37 2609.8591),(38 2610.4946),(39 2621.7336),(40 2614.382),(41 2606.52),(42 2603.6633),(43 2598.12),(44 2599.987),(45 2589.9775),(46 2587.2275),(47 2581.8447),(48 2581.691),(49 2585.448),(50 2587.8345),(51 2586.8943),(52 2578.334),(53 2577.2146),(54 2580.3691),(55 2580.52),(56 2583.5945),(57 2589.5952),(58 2590.5183),(59 2600.1597),(60 2601.0308),(61 2598.6685),(62 2592.4924),(63 2599.1816),(64 2612.19),(65 2615.5054),(66 2607.0847),(67 2617.3154),(68 2622.364),(69 2631.7307),(70 2620.5232),(71 2631.9836),(72 2620.2805),(73 2611.9092),(74 2628.5564),(75 2651.3105),(76 2639.7068),(77 2648.2773),(78 2652.7625),(79 2658.8606),
(1 1041.1564),(2 1335.4988),(3 1403.805),(4 1511.6206),(5 1623.2089),(6 1728.4692),(7 1820.7822),(8 1917.6981),(9 2006.2394),(10 2092.7969),(11 2141.0408),(12 2220.473),(13 2282.5461),(14 2338.5522),(15 2375.1277),(16 2414.3997),(17 2434.9282),(18 2450.3406),(19 2472.8076),(20 2493.6191),(21 2509.626),(22 2524.2043),(23 2534.236),(24 2536.4758),(25 2527.9841),(26 2539.0671),(27 2536.7869),(28 2547.9326),(29 2550.6301),(30 2562.2546),(31 2541.0784),(32 2558.637),(33 2563.531),(34 2569.245),(35 2572.0042),(36 2563.5713),(37 2564.6492),(38 2573.835),(39 2580.3171),(40 2583.3406),(41 2570.456),(42 2573.3083),(43 2568.9094),(44 2577.633),(45 2582.0718),(46 2572.4714),(47 2568.407),(48 2572.2349),(49 2581.1765),(50 2575.6086),(51 2578.479),(52 2568.3062),(53 2577.1335),(54 2581.887),(55 2592.967),(56 2594.2896),(57 2597.7683),(58 2605.4695),(59 2617.4666),(60 2618.2527),(61 2613.7556),(62 2609.2998),(63 2604.4546),(64 2615.8916),(65 2607.5273),(66 2611.248),(67 2614.6199),(68 2611.2239),(69 2619.0964),(70 2612.0242),(71 2619.557),(72 2620.8992),(73 2619.2224),(74 2623.675),(75 2634.4995),(76 2614.1191),(77 2624.8062),(78 2633.117),(79 2632.0215),
(1 1034.9391),(2 1326.32),(3 1385.6208),(4 1480.861),(5 1603.0021),(6 1697.7255),(7 1788.3181),(8 1887.0287),(9 1961.2227),(10 2040.0256),(11 2108.9153),(12 2187.2903),(13 2247.4448),(14 2294.938),(15 2333.057),(16 2371.1614),(17 2389.4133),(18 2408.4282),(19 2432.142),(20 2444.089),(21 2452.7441),(22 2480.6892),(23 2497.9902),(24 2492.696),(25 2499.0374),(26 2506.1614),(27 2509.2634),(28 2528.8718),(29 2538.8506),(30 2535.86),(31 2532.046),(32 2550.7292),(33 2541.5627),(34 2553.7253),(35 2553.9192),(36 2549.5273),(37 2553.7957),(38 2557.9238),(39 2551.7148),(40 2550.7092),(41 2549.641),(42 2541.0461),(43 2529.2532),(44 2539.8584),(45 2544.6233),(46 2530.3186),(47 2528.4768),(48 2521.5715),(49 2529.8132),(50 2540.3665),(51 2528.5024),(52 2526.8848),(53 2530.9436),(54 2537.6775),(55 2529.1624),(56 2530.5527),(57 2545.7954),(58 2544),(59 2542.8147),(60 2536.2048),(61 2545.171),(62 2539.594),(63 2533.0984),(64 2534.408),(65 2525.2776),(66 2524.435),(67 2543.9063),(68 2535.6926),(69 2537.5266),(70 2542.1165),(71 2544.2969),(72 2540.8936),(73 2555.4937),(74 2557.541),(75 2560.3103),(76 2559.43),(77 2570.1663),(78 2576.7195),(79 2577.8723),
(1 1008.4145),(2 1299.7732),(3 1370.7512),(4 1464.2291),(5 1574.8789),(6 1668.604),(7 1763.955),(8 1872.5907),(9 1952.7723),(10 2021.4175),(11 2089.9622),(12 2162.2983),(13 2225.5989),(14 2281.4224),(15 2315.5369),(16 2360.4534),(17 2385.0188),(18 2412.2378),(19 2449.0085),(20 2456.5002),(21 2459.897),(22 2483.092),(23 2497.9111),(24 2498.0767),(25 2496.1401),(26 2516.3027),(27 2526.558),(28 2539.829),(29 2557.913),(30 2560.645),(31 2560.5525),(32 2574.8809),(33 2562.373),(34 2566.5737),(35 2578.3167),(36 2568.8787),(37 2566.596),(38 2569.5476),(39 2572.3438),(40 2561.022),(41 2560.39),(42 2551.4275),(43 2542.179),(44 2542.1013),(45 2534.8296),(46 2522.5193),(47 2514.5193),(48 2510.8591),(49 2510.6396),(50 2507.3447),(51 2502.2483),(52 2495.6575),(53 2498.264),(54 2501.9783),(55 2503.6304),(56 2496.5833),(57 2499.5168),(58 2490.4915),(59 2497.0393),(60 2488.8281),(61 2495.9507),(62 2484.3853),(63 2481.4941),(64 2482.7197),(65 2489.511),(66 2483.772),(67 2487.932),(68 2485.6194),(69 2495.3547),(70 2485.5796),(71 2488.3062),(72 2482.444),(73 2488.9324),(74 2499.6528),(75 2495.609),(76 2495.845),(77 2502.7048),(78 2505.0876),(79 2504.1746),
(1 1012.3452),(2 1303.3442),(3 1373.1316),(4 1464.9246),(5 1561.094),(6 1668.5337),(7 1766.5355),(8 1871.7441),(9 1953.42),(10 2037.3807),(11 2094.5022),(12 2158.3538),(13 2220.6763),(14 2286.4744),(15 2317.326),(16 2351.781),(17 2375.717),(18 2396.8652),(19 2423.3184),(20 2423.2263),(21 2433.958),(22 2453.5847),(23 2467.4697),(24 2463.2559),(25 2472.03),(26 2479.7095),(27 2477.7056),(28 2487.325),(29 2487.952),(30 2490.9023),(31 2488.0334),(32 2506.3958),(33 2494.851),(34 2500.2454),(35 2506.406),(36 2497.4941),(37 2502.0205),(38 2508.76),(39 2506.3264),(40 2513.1929),(41 2505.9978),(42 2500.2004),(43 2504.7788),(44 2507.514),(45 2494.697),(46 2482.1929),(47 2490.0078),(48 2496.9072),(49 2492.2742),(50 2492.202),(51 2478.6023),(52 2481.58),(53 2494.4116),(54 2491.8816),(55 2507.9846),(56 2494.851),(57 2495.7598),(58 2501.8413),(59 2508.586),(60 2506.7175),(61 2506.9822),(62 2500.5684),(63 2504.3772),(64 2505.078),(65 2507.7217),(66 2501.2783),(67 2510.1733),(68 2507.3154),(69 2510.7314),(70 2502.7336),(71 2505.8801),(72 2499.2036),(73 2503.6343),(74 2515.6877),(75 2517.4973),(76 2502.8955),(77 2509.4998),(78 2525.282),(79 2531.724),
(1 997.73883),(2 1285.982),(3 1354.0363),(4 1442.311),(5 1535.929),(6 1644.6133),(7 1736.6484),(8 1826.7717),(9 1912.294),(10 1993.4595),(11 2033.9972),(12 2094.1096),(13 2152.9573),(14 2209.0657),(15 2237.138),(16 2277.967),(17 2285.357),(18 2309.166),(19 2335.9897),(20 2351.3557),(21 2356.0496),(22 2376.3223),(23 2384.1638),(24 2386.2153),(25 2381.699),(26 2386.6433),(27 2387.2446),(28 2395.656),(29 2393.5874),(30 2405.1426),(31 2408.1038),(32 2427.9663),(33 2437.793),(34 2443.6904),(35 2449.1528),(36 2443.1409),(37 2440.8872),(38 2452.3599),(39 2461.6704),(40 2466.8572),(41 2457.3542),(42 2455.9714),(43 2455.2366),(44 2458.1956),(45 2449.8044),(46 2431.2322),(47 2433.657),(48 2436.4663),(49 2438.065),(50 2425.087),(51 2428.0684),(52 2424.9573),(53 2415.2454),(54 2423.8872),(55 2439.281),(56 2427.6157),(57 2427.7075),(58 2422.6477),(59 2429.984),(60 2429.9578),(61 2421.9126),(62 2423.5947),(63 2424.9917),(64 2424.1108),(65 2423.1567),(66 2420.165),(67 2428.303),(68 2435.548),(69 2440.2466),(70 2432.1074),(71 2429.204),(72 2424.421),(73 2430.642),(74 2444.5),(75 2444.9048),(76 2436.8806),(77 2445.8394),(78 2454.9834),(79 2462.308),
(1 980.0037),(2 1260.6366),(3 1320.1965),(4 1405.1954),(5 1497.0254),(6 1597.2382),(7 1682.281),(8 1763.1217),(9 1845.5728),(10 1908.1864),(11 1968.2201),(12 2016.8562),(13 2062.0442),(14 2095.1555),(15 2114.3628),(16 2171.248),(17 2180.4119),(18 2202.489),(19 2228.6348),(20 2243.2717),(21 2243.4026),(22 2261.5178),(23 2268.537),(24 2268.5212),(25 2281.2166),(26 2291.3474),(27 2294.945),(28 2303.8662),(29 2297.234),(30 2308.1172),(31 2307.6675),(32 2325.2122),(33 2325.2517),(34 2326.1619),(35 2338.3787),(36 2333.794),(37 2325.5657),(38 2343.674),(39 2354.3274),(40 2357.2969),(41 2345.5525),(42 2348.0508),(43 2352.0676),(44 2354.5068),(45 2360.541),(46 2335.791),(47 2334.3772),(48 2344.2834),(49 2341.211),(50 2335.598),(51 2350.672),(52 2350.8098),(53 2347.5344),(54 2347.8618),(55 2346.688),(56 2352.9526),(57 2366.2175),(58 2366.1526),(59 2376.022),(60 2371.4844),(61 2371.3508),(62 2369.896),(63 2385.8462),(64 2388.4856),(65 2387.4604),(66 2378.821),(67 2386.409),(68 2385.8184),(69 2390.8794),(70 2382.8425),(71 2390.4282),(72 2384.1455),(73 2401.7927),(74 2404.6528),(75 2389.8262),(76 2390.2788),(77 2397.9346),(78 2414.2407),(79 2414.0444),
(1 953.27136),(2 1226.7972),(3 1292.16),(4 1380.7905),(5 1474.8396),(6 1570.7498),(7 1653.2231),(8 1728.5182),(9 1804.0383),(10 1870.2499),(11 1930.4816),(12 1983.4396),(13 2030.8623),(14 2067.5256),(15 2097.4338),(16 2141.8987),(17 2148.9055),(18 2182.364),(19 2203.6504),(20 2222.1704),(21 2219.605),(22 2244.8044),(23 2262.313),(24 2260.5977),(25 2264.0767),(26 2276.3958),(27 2284.5393),(28 2289.998),(29 2283.9114),(30 2297.8489),(31 2301.5537),(32 2306.243),(33 2304.657),(34 2305.307),(35 2298.9172),(36 2303.5168),(37 2292.982),(38 2308.747),(39 2313.68),(40 2321.0466),(41 2303.1724),(42 2305.787),(43 2305.8445),(44 2314.1526),(45 2317.5525),(46 2297.8687),(47 2297.9788),(48 2300.8772),(49 2305.9392),(50 2310.8242),(51 2313.5493),(52 2305.254),(53 2309.4578),(54 2310.7476),(55 2299.7048),(56 2301.9187),(57 2308.3652),(58 2310.775),(59 2320.238),(60 2306.2244),(61 2307.5457),(62 2303.464),(63 2319.5107),(64 2321.6333),(65 2320.9333),(66 2317.9902),(67 2328.0027),(68 2325.8208),(69 2334.7295),(70 2333.0542),(71 2336.2793),(72 2334.9512),(73 2349.381),(74 2352.9934),(75 2342.51),(76 2360.8418),(77 2366.1677),(78 2372.7314),(79 2373.282),
(1 938.25366),(2 1208.1846),(3 1271.5785),(4 1348.24),(5 1441.9515),(6 1548.7792),(7 1630.8402),(8 1710.2115),(9 1781.7998),(10 1851.5399),(11 1910.6935),(12 1958.227),(13 2009.3301),(14 2037.488),(15 2064.7483),(16 2095.2268),(17 2101.3562),(18 2127.5154),(19 2139.8733),(20 2160.6592),(21 2165.517),(22 2187.287),(23 2193.3325),(24 2193.9697),(25 2204.1394),(26 2224.1064),(27 2229.044),(28 2238.4084),(29 2250.064),(30 2267.155),(31 2279.8967),(32 2283.3804),(33 2293.8047),(34 2307.516),(35 2301.3647),(36 2289.4045),(37 2290.0667),(38 2300.9294),(39 2301.6548),(40 2309.1248),(41 2303.6104),(42 2297.9207),(43 2296.7844),(44 2294.4507),(45 2293.4846),(46 2276.2588),(47 2276.371),(48 2285.154),(49 2291.8657),(50 2293.0244),(51 2293.2659),(52 2293.8276),(53 2307.8774),(54 2326.95),(55 2311.061),(56 2313.053),(57 2312.1978),(58 2308.683),(59 2316.91),(60 2318.1218),(61 2322.6445),(62 2314.6467),(63 2312.4277),(64 2324.5493),(65 2321.4888),(66 2313.7249),(67 2323.1536),(68 2330.9846),(69 2326.8752),(70 2314.072),(71 2321.2751),(72 2319.2),(73 2333.6504),(74 2339.1992),(75 2341.082),(76 2339.6953),(77 2344.6575),(78 2353.0303),(79 2350.408),
(1 927.60925),(2 1208.1761),(3 1285.5015),(4 1371.3452),(5 1470.2526),(6 1572.1782),(7 1653.0634),(8 1738.8636),(9 1813.0972),(10 1887.5349),(11 1943.4512),(12 1996.8267),(13 2051.9934),(14 2094.106),(15 2132.413),(16 2171.4038),(17 2193.0317),(18 2217.171),(19 2240.9302),(20 2250.748),(21 2267.4028),(22 2292.7422),(23 2301.8552),(24 2303.7188),(25 2301.294),(26 2324.5706),(27 2325.501),(28 2335.3848),(29 2352.929),(30 2364.994),(31 2370.739),(32 2380.1611),(33 2395.4963),(34 2403.3167),(35 2390.4253),(36 2386.5347),(37 2386.7092),(38 2391.297),(39 2388.0198),(40 2394.8865),(41 2391.6672),(42 2393.8481),(43 2398.6804),(44 2389.6123),(45 2382.406),(46 2365.6577),(47 2370.1528),(48 2385.2297),(49 2388.0908),(50 2381.3757),(51 2379.8787),(52 2373.6917),(53 2375.9033),(54 2381.9663),(55 2377.4119),(56 2375.527),(57 2377.6018),(58 2374.8044),(59 2378.36),(60 2378.0422),(61 2382.6497),(62 2368.5686),(63 2362.0886),(64 2374.727),(65 2376.6802),(66 2375.2998),(67 2383.8796),(68 2389.2954),(69 2388.2615),(70 2380.8787),(71 2390.8818),(72 2385.109),(73 2396.4192),(74 2393.7495),(75 2401.7905),(76 2395.4636),(77 2398.2913),(78 2421.9788),(79 2430.5261),
(1 901.2688),(2 1177.0468),(3 1255.9607),(4 1334.8282),(5 1421.821),(6 1522.2489),(7 1600.0973),(8 1679.8397),(9 1753.9745),(10 1825.8735),(11 1887.6779),(12 1948.0962),(13 1990.3314),(14 2037.1658),(15 2075.062),(16 2114.269),(17 2139.0745),(18 2171.9568),(19 2191.0981),(20 2212.6943),(21 2221.3816),(22 2242.9966),(23 2257.8333),(24 2273.744),(25 2271.6462),(26 2284.98),(27 2284.234),(28 2292.5073),(29 2304.2588),(30 2325.2393),(31 2329.2964),(32 2340.038),(33 2347.1863),(34 2355.657),(35 2352.6445),(36 2344.5715),(37 2348.1133),(38 2353.2131),(39 2355.0173),(40 2355.6995),(41 2362.4734),(42 2363.0024),(43 2360.1343),(44 2349.7449),(45 2346.9043),(46 2329.2021),(47 2330.6187),(48 2336.0337),(49 2338.191),(50 2328.5115),(51 2326.4426),(52 2327.5789),(53 2331.3425),(54 2335.1057),(55 2332.5256),(56 2325.0908),(57 2322.7632),(58 2328.4795),(59 2333.3923),(60 2324.3352),(61 2325.038),(62 2316.1758),(63 2317.1636),(64 2336.3784),(65 2334.9148),(66 2337.0637),(67 2341.2927),(68 2334.9429),(69 2337.8567),(70 2339.5825),(71 2337.1592),(72 2333.3635),(73 2337.5652),(74 2342.7095),(75 2357.6453),(76 2345.5378),(77 2347.1008),(78 2356.1555),(79 2358.7146),
