1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 22732.195),(2 77716.25),(3 161451.86),(4 261784.45),(5 377971.25),(6 505151.25),(7 638650.3),(8 771722.5),(9 898837.8),(10 1017130.75),(11 1132494),(12 1237916.6),(13 1327418.3),(14 1402245.4),(15 1470737),(16 1527632.4),(17 1580057.1),(18 1623911.4),(19 1657310.4),(20 1679995),(21 1685205.6),(22 1693379.4),(23 1692245.4),(24 1779157.4),(25 1801146.6),(26 1837006),(27 1869885.5),(28 1921883.9),(29 1977131.1),(30 2038096.4),(31 2103885.8),(32 2173724.8),(33 2270837.3),(34 2372845.8),(35 2480043.3),(36 2601121),(37 2711469.3),(38 2808407.3),(39 2902980),(40 2978972.8),(41 3040405.8),(42 3082146.3),(43 3116532.8),(44 3145549.3),(45 3168168.8),(46 3206345.3),(47 3250840),(48 3323264),(49 3384485.8),(50 3439536.8),(51 3492372),(52 3541862),(53 3601382.8),(54 3655917.3),(55 3710077.3),(56 3757666.8),(57 3814907),(58 3910616),(59 4027348.3),(60 4169032.3),(61 4364263.5),(62 4589035.5),(63 4854816.5),(64 5123846.5),(65 5452094.5),(66 5786292),(67 6176465.5),(68 6568593.5),(69 6974886),(70 7424432),(71 7868133.5),(72 8307932.5),(73 8765775),(74 9228697),(75 9689961),(76 10159001),(77 10627777),(78 11179511),(79 11677085),
(1 2425.778),(2 4241.8315),(3 4896.1685),(4 5338.565),(5 5784.4385),(6 6110.6475),(7 6315.014),(8 6535.2754),(9 6766.8975),(10 6919.5376),(11 7086.81),(12 7236.2065),(13 7316.3496),(14 7503.1),(15 7717.6733),(16 7737.994),(17 7797.1235),(18 7923.085),(19 7950.447),(20 7915.963),(21 7877.131),(22 7827.9497),(23 7954.9385),(24 7888.792),(25 8006.532),(26 8011.467),(27 8082.558),(28 8121.185),(29 8141.924),(30 7963.25),(31 7945.2393),(32 7921.607),(33 7817.1846),(34 7692.253),(35 7550.2246),(36 7498.9097),(37 7379.7573),(38 7303.429),(39 7306.7817),(40 7151.8164),(41 7151.3735),(42 7147.015),(43 7102.11),(44 7122.4766),(45 7003.042),(46 6970.286),(47 6947.6587),(48 6911.625),(49 6837.9155),(50 6936.392),(51 7061.072),(52 7257.243),(53 7276.7607),(54 7342.564),(55 7380.121),(56 7444.195),(57 7594.435),(58 7545.493),(59 7570.9165),(60 7629.6626),(61 7642.951),(62 7628.8003),(63 7653.5137),(64 7633.7085),(65 7593.1904),(66 7570.714),(67 7501.7515),(68 7414.961),(69 7439.5137),(70 7506.4043),(71 7561.146),(72 7574.1865),(73 7566.3164),(74 7571.9277),(75 7599.4385),(76 7551.7983),(77 7503.725),(78 7691.3877),(79 7560.729),
(1 2393.387),(2 4263.1265),(3 4900.738),(4 5226.318),(5 5705.9287),(6 6060.086),(7 6257.4307),(8 6482.7773),(9 6703.3413),(10 6833.4136),(11 7066.579),(12 7227.859),(13 7243.656),(14 7344.956),(15 7435.8276),(16 7527.8125),(17 7519.9746),(18 7612.7227),(19 7601.256),(20 7599.5938),(21 7518.983),(22 7562.1475),(23 7685.1904),(24 7759.0815),(25 7823.4287),(26 7742.483),(27 7787.5625),(28 7815.268),(29 7870.782),(30 7886.709),(31 7835.6484),(32 7734.595),(33 7646.197),(34 7602.364),(35 7437.843),(36 7395.2397),(37 7329.294),(38 7241.3936),(39 7231.527),(40 7132.5034),(41 7104.373),(42 6975.0635),(43 6865.674),(44 6861.4165),(45 6762.9634),(46 6777.026),(47 6778.8105),(48 6711.1025),(49 6611.636),(50 6646.717),(51 6712.3467),(52 6733.6763),(53 6841.0723),(54 6918.55),(55 6913.748),(56 6961.0757),(57 7050.954),(58 6999.2534),(59 7065.2104),(60 7089.4155),(61 7111.591),(62 7135.258),(63 7211.5117),(64 7256.168),(65 7301.5967),(66 7320.1313),(67 7278.84),(68 7167.487),(69 7129.415),(70 7191.9756),(71 7190.5557),(72 7114.2803),(73 7092.471),(74 7012.4604),(75 7138.1953),(76 7254.9526),(77 7288.5884),(78 7352.0156),(79 7216.5444),
(1 2331.9668),(2 4074.706),(3 4693.62),(4 5086.694),(5 5558.998),(6 5874.9775),(7 6114.7407),(8 6371.83),(9 6522.777),(10 6649.4116),(11 6945.8975),(12 7221.0605),(13 7264.1655),(14 7314.9907),(15 7471.379),(16 7471.1587),(17 7431.535),(18 7490.454),(19 7499.777),(20 7415.6626),(21 7379.7617),(22 7359.112),(23 7516.2837),(24 7593.1772),(25 7618.2275),(26 7533.244),(27 7616.3726),(28 7635.2026),(29 7688.8467),(30 7713.347),(31 7568.82),(32 7387.3125),(33 7449.85),(34 7456.0244),(35 7354.9927),(36 7303.417),(37 7383.3965),(38 7293.1987),(39 7193.5015),(40 7164.8716),(41 7234.9653),(42 7159.762),(43 7096.252),(44 7067.267),(45 6987.4126),(46 6981.5894),(47 6911.1577),(48 6814.4756),(49 6844.4087),(50 6886.0405),(51 6923.9746),(52 7021.789),(53 7181.3286),(54 7240.4272),(55 7294.506),(56 7341.4004),(57 7344.742),(58 7309.6226),(59 7398.077),(60 7349.2925),(61 7259.2275),(62 7223.3906),(63 7312.8086),(64 7384.5215),(65 7373.2163),(66 7329.951),(67 7302.145),(68 7181.114),(69 7101.969),(70 7170.9526),(71 7187.8003),(72 7093.0576),(73 7001.1255),(74 6941.6123),(75 7042.465),(76 7133.2637),(77 7157.432),(78 7198.2695),(79 7184.1025),
(1 2327.3513),(2 4006.3362),(3 4667.087),(4 5060.8887),(5 5564.396),(6 5892.406),(7 6103.4453),(8 6337.604),(9 6572.21),(10 6709.634),(11 6910.359),(12 7220.922),(13 7323.0176),(14 7415.4766),(15 7577.8916),(16 7604.1255),(17 7501.613),(18 7531.2075),(19 7579.893),(20 7439.6084),(21 7305.2104),(22 7371.7695),(23 7542.218),(24 7494.0835),(25 7547.1865),(26 7507.37),(27 7577.6357),(28 7668.0864),(29 7788.9497),(30 7897.973),(31 7787.492),(32 7653.06),(33 7592.6177),(34 7481.78),(35 7314.813),(36 7267.143),(37 7198.066),(38 7082.9473),(39 6949.476),(40 6939.049),(41 6931.8813),(42 6826.2837),(43 6732.247),(44 6745.522),(45 6823.1245),(46 6773.752),(47 6664.213),(48 6580.367),(49 6588.291),(50 6770.9116),(51 6840.367),(52 6868.544),(53 6936.534),(54 6981.188),(55 7054.8887),(56 7093.1357),(57 7013.821),(58 7098.5),(59 7237.6514),(60 7307.9233),(61 7344.2646),(62 7353.122),(63 7324.856),(64 7286.329),(65 7291.79),(66 7246.5195),(67 7268.8193),(68 7175.784),(69 7159.832),(70 7219.0864),(71 7173.0615),(72 6991.663),(73 6966.7295),(74 6951.0513),(75 7041.247),(76 7045.828),(77 7003.778),(78 7080.325),(79 7085.5176),
(1 2263.673),(2 3936.9277),(3 4591.818),(4 5038.4),(5 5593.2197),(6 5984.1475),(7 6191.475),(8 6418.483),(9 6596.4277),(10 6739.5986),(11 6847.704),(12 7057.4355),(13 7123.6177),(14 7208.8354),(15 7321.9155),(16 7286.7974),(17 7360.729),(18 7459.879),(19 7542.3726),(20 7453.2163),(21 7421.856),(22 7452.035),(23 7598.9873),(24 7604.0396),(25 7684.057),(26 7598.655),(27 7630.3604),(28 7726.842),(29 7846.554),(30 7912.346),(31 7892.187),(32 7779.3325),(33 7650.416),(34 7551.5693),(35 7397.719),(36 7272.238),(37 7250.073),(38 7217.615),(39 7166.9443),(40 7098.4404),(41 7041.2593),(42 6939.954),(43 6780.6055),(44 6686.4053),(45 6753.6426),(46 6798.4297),(47 6710.316),(48 6670.6533),(49 6711.8623),(50 6824.351),(51 6836.469),(52 6921.9873),(53 7001.2456),(54 7154.2285),(55 7206.6),(56 7150.232),(57 7227.744),(58 7303.293),(59 7321.8677),(60 7362.92),(61 7389.894),(62 7454.6123),(63 7492.4756),(64 7398.6),(65 7350.8223),(66 7350.5),(67 7324.5356),(68 7247.0503),(69 7194.359),(70 7228.3633),(71 7186.821),(72 7038.989),(73 7067.965),(74 6916.21),(75 7026.6978),(76 6988.1934),(77 6897.62),(78 6858.162),(79 6899.4834),
(1 2240.1936),(2 3916.7166),(3 4656.916),(4 5032.7036),(5 5571.0703),(6 5923.933),(7 6140.51),(8 6319.6006),(9 6427.732),(10 6569.3086),(11 6772.4487),(12 6934.955),(13 6897.594),(14 7038.4937),(15 7164.6772),(16 7117.1274),(17 7195.8857),(18 7339.51),(19 7384.3086),(20 7373.771),(21 7336.086),(22 7388.9063),(23 7492.6113),(24 7444.581),(25 7542.0225),(26 7544.2354),(27 7587.382),(28 7533.253),(29 7571.688),(30 7645.0283),(31 7542.242),(32 7467.782),(33 7459.6465),(34 7425.9204),(35 7278.5493),(36 7238.8438),(37 7228.781),(38 7180.551),(39 7191.613),(40 7142.0977),(41 7087.4326),(42 6922.196),(43 6766.2676),(44 6670.4614),(45 6732.1895),(46 6699.74),(47 6648.4565),(48 6610.4995),(49 6654.686),(50 6719.094),(51 6780.671),(52 6808.8354),(53 6919.689),(54 6996.204),(55 6973.3945),(56 6988.881),(57 7044.599),(58 7057.1523),(59 7148.2705),(60 7183.3604),(61 7234.51),(62 7262.928),(63 7303.3267),(64 7243.193),(65 7213.062),(66 7253.8804),(67 7283.7393),(68 7188.363),(69 7120.261),(70 7064.811),(71 7042.734),(72 6967.018),(73 7085.5747),(74 7078.557),(75 7081.237),(76 7048.2915),(77 7012.6543),(78 7045.2593),(79 6943.2275),
(1 2202.5696),(2 3881.849),(3 4547.648),(4 4924.889),(5 5432.2974),(6 5821.3003),(7 6061.238),(8 6261.365),(9 6334.2793),(10 6445.753),(11 6759.0474),(12 6959.35),(13 6953.272),(14 7048.68),(15 7124.494),(16 7095.9253),(17 7107.853),(18 7172.8765),(19 7231.6577),(20 7140.939),(21 7094.831),(22 7116.886),(23 7178.703),(24 7135.9746),(25 7259.802),(26 7246.2075),(27 7321.446),(28 7350.0737),(29 7405.8457),(30 7425.183),(31 7340.0654),(32 7195.6895),(33 7156.189),(34 7115.611),(35 7002.5654),(36 6850.395),(37 6906.992),(38 6884.8877),(39 6820.256),(40 6758.6455),(41 6715.2583),(42 6615.895),(43 6508.5137),(44 6572.8823),(45 6569.0845),(46 6473.9473),(47 6424.0786),(48 6422.7734),(49 6303.628),(50 6391.223),(51 6524.02),(52 6504.8784),(53 6564.308),(54 6596.5264),(55 6635.8833),(56 6716.0396),(57 6761.8076),(58 6717.4766),(59 6780.822),(60 6894.916),(61 6977.198),(62 7035.1035),(63 7056.0283),(64 7010.064),(65 6986.0737),(66 7027.5313),(67 7093.984),(68 7075.081),(69 7036.7324),(70 7013.031),(71 6980.8594),(72 6886.242),(73 6879.847),(74 6868.61),(75 6924.547),(76 6956.5986),(77 6958.7925),(78 7046.9937),(79 7031.025),
(1 2170.8389),(2 3753.174),(3 4362.6675),(4 4684.414),(5 5135.1465),(6 5467.5654),(7 5676.3296),(8 5863.243),(9 5988.505),(10 6109.4565),(11 6333.3145),(12 6486.618),(13 6561.5376),(14 6752.579),(15 6830.71),(16 6767.7407),(17 6689.6714),(18 6735.273),(19 6856.4946),(20 6870.5967),(21 6891.7744),(22 6918.8325),(23 6980.731),(24 6982.4795),(25 7123.7964),(26 7099.5806),(27 7062.337),(28 7072.266),(29 7183.4326),(30 7223.145),(31 7102.1113),(32 6972.09),(33 6943.224),(34 6821.5786),(35 6745.9453),(36 6591.1597),(37 6523.8223),(38 6513.6787),(39 6500.123),(40 6476.358),(41 6500.384),(42 6480.195),(43 6366.8984),(44 6422.692),(45 6408.6226),(46 6299.4907),(47 6279.0195),(48 6205.3774),(49 6089.566),(50 6092.3115),(51 6118.1807),(52 6144.2236),(53 6155.5166),(54 6173.59),(55 6196.1675),(56 6236.694),(57 6256.4673),(58 6225.111),(59 6283.1206),(60 6316.8804),(61 6363.8467),(62 6444.4414),(63 6559.0327),(64 6614.887),(65 6613.997),(66 6549.1626),(67 6539.6675),(68 6519.535),(69 6581.243),(70 6565.797),(71 6521.9063),(72 6502.855),(73 6501.589),(74 6515.4487),(75 6676.2456),(76 6628.8706),(77 6661.805),(78 6828.0996),(79 6860.1245),
(1 2158.5852),(2 3761.5261),(3 4319.7017),(4 4633.7715),(5 5097.6025),(6 5410.142),(7 5669.079),(8 5857.6494),(9 5933.7695),(10 6102.6846),(11 6328.3433),(12 6496.7407),(13 6561.12),(14 6671.572),(15 6731.139),(16 6687.2085),(17 6680.946),(18 6812.244),(19 6819.9233),(20 6868.2847),(21 6975.9),(22 6999.939),(23 7075.5957),(24 7101.7295),(25 7149.5063),(26 7140.6016),(27 7224.671),(28 7229.4146),(29 7167.7495),(30 7114.9775),(31 7069.0044),(32 6963.7393),(33 6917.8013),(34 6850.4746),(35 6737.4507),(36 6610.659),(37 6495.829),(38 6505.7983),(39 6561.7407),(40 6598.1763),(41 6577.687),(42 6617.9624),(43 6541.814),(44 6528.873),(45 6449.009),(46 6356.189),(47 6365.903),(48 6289.365),(49 6165.4146),(50 6223.397),(51 6276.5654),(52 6296.907),(53 6362.5454),(54 6383.429),(55 6428.918),(56 6447.523),(57 6507.976),(58 6515.41),(59 6580.136),(60 6651.7173),(61 6624.064),(62 6629.361),(63 6698.8037),(64 6686.2275),(65 6637.929),(66 6640.765),(67 6595.3623),(68 6613.515),(69 6673.6226),(70 6718.8936),(71 6646.4854),(72 6623.106),(73 6590.3574),(74 6535.843),(75 6515.4),(76 6514.6885),(77 6541.3115),(78 6702.6187),(79 6644.3687),
(1 2092.8057),(2 3661.865),(3 4257.9233),(4 4494.343),(5 4886.9976),(6 5197.1895),(7 5434.7827),(8 5578.51),(9 5561.834),(10 5767.439),(11 6023.865),(12 6113.136),(13 6206.752),(14 6402.7505),(15 6440.5522),(16 6434.438),(17 6489.727),(18 6592.6475),(19 6525.9697),(20 6532.385),(21 6588.376),(22 6595.599),(23 6646.4395),(24 6727.177),(25 6809.688),(26 6739.062),(27 6830.218),(28 6817.285),(29 6835.794),(30 6777.42),(31 6717.783),(32 6696.968),(33 6681.6357),(34 6551.1396),(35 6520.0303),(36 6339.619),(37 6189.9575),(38 6187.4478),(39 6181.7036),(40 6156.609),(41 6078.376),(42 6052.3887),(43 5929.134),(44 5955.6226),(45 5951.8003),(46 5947.738),(47 6010.1025),(48 5987.2354),(49 5910.823),(50 6005.92),(51 6086.9014),(52 6129.6313),(53 6150.365),(54 6198.8594),(55 6227.3486),(56 6185.4663),(57 6194.978),(58 6233.708),(59 6250.128),(60 6296.9175),(61 6308.6104),(62 6346.982),(63 6319.0903),(64 6343.3887),(65 6317.847),(66 6298.6445),(67 6256.485),(68 6293.8965),(69 6308.677),(70 6309.4375),(71 6333.574),(72 6301.971),(73 6298.009),(74 6240.091),(75 6253.8203),(76 6222.305),(77 6254.812),(78 6457.533),(79 6453.699),
(1 2117.6135),(2 3648.3147),(3 4193.524),(4 4489.8613),(5 4913.6797),(6 5226.107),(7 5453.449),(8 5630.334),(9 5742.5015),(10 5982.9595),(11 6265.3267),(12 6374.3047),(13 6485.1577),(14 6609.4067),(15 6636.3936),(16 6658.4985),(17 6745.929),(18 6700.8184),(19 6632.277),(20 6679.434),(21 6709.0356),(22 6725.902),(23 6763.216),(24 6768.144),(25 6860.1904),(26 6771.448),(27 6780.4424),(28 6661.3687),(29 6692.733),(30 6673.545),(31 6647.8423),(32 6634.967),(33 6633.889),(34 6535.392),(35 6407.8843),(36 6292.8467),(37 6223.75),(38 6209.508),(39 6240.8657),(40 6176.0044),(41 6115.6675),(42 6067.5405),(43 5952.9805),(44 5980.128),(45 5939.9673),(46 5947.3115),(47 5964.8237),(48 5960.0864),(49 5996),(50 6047.0254),(51 6071.297),(52 6102.2236),(53 6102.12),(54 6127.0894),(55 6232.527),(56 6224.86),(57 6238.313),(58 6244.76),(59 6307.689),(60 6419.946),(61 6534.4844),(62 6563.773),(63 6619),(64 6633.1753),(65 6604.9526),(66 6542.6206),(67 6459.791),(68 6492.2075),(69 6479.9575),(70 6494.608),(71 6377.964),(72 6290.93),(73 6327.4004),(74 6305.5776),(75 6350.58),(76 6336.109),(77 6340.5874),(78 6413.8027),(79 6454.8823),
(1 2077.4658),(2 3511.2534),(3 4134.9004),(4 4481.31),(5 4876.5093),(6 5262.07),(7 5454.415),(8 5686.7876),(9 5803.3403),(10 6049.4487),(11 6364.4424),(12 6493.1353),(13 6535.505),(14 6591.4595),(15 6650.8003),(16 6732.389),(17 6776.0225),(18 6719.835),(19 6614.9224),(20 6610.505),(21 6613.6343),(22 6590.532),(23 6649.04),(24 6612.951),(25 6691.797),(26 6720.9004),(27 6761.0093),(28 6662.311),(29 6696.606),(30 6696.671),(31 6699.419),(32 6671.502),(33 6650.8286),(34 6652.2197),(35 6541.75),(36 6428.21),(37 6371.6875),(38 6375.799),(39 6338.871),(40 6227.16),(41 6200.298),(42 6179.659),(43 6083.336),(44 6078.285),(45 6089.1826),(46 6065.3066),(47 6020.5938),(48 6127.6787),(49 6121.1484),(50 6134.0664),(51 6201.9224),(52 6266.7954),(53 6275.969),(54 6227.1245),(55 6264.1675),(56 6334.489),(57 6311.0127),(58 6375.818),(59 6487.7505),(60 6587.553),(61 6644.8535),(62 6647.852),(63 6755.68),(64 6809.5107),(65 6794.2017),(66 6702.842),(67 6693.648),(68 6650.5303),(69 6656.878),(70 6653.563),(71 6537.216),(72 6541.6875),(73 6537.913),(74 6548.866),(75 6639.942),(76 6602.497),(77 6529.1367),(78 6553.3774),(79 6552.3633),
(1 2045.2499),(2 3435.516),(3 4000.3262),(4 4331.839),(5 4685.535),(6 5018.2354),(7 5234.984),(8 5416.734),(9 5597.5024),(10 5832.845),(11 5951.6846),(12 6072.1978),(13 6174.377),(14 6225.354),(15 6291.7456),(16 6383.8247),(17 6394.5396),(18 6441.6343),(19 6327.989),(20 6303.7964),(21 6292.069),(22 6286.382),(23 6348.122),(24 6307.733),(25 6381.238),(26 6359.126),(27 6393.9414),(28 6358.3364),(29 6401.9106),(30 6383.406),(31 6431.548),(32 6343.9653),(33 6310.5146),(34 6329.349),(35 6237.3403),(36 6118.1353),(37 6132.051),(38 6146.732),(39 6216.459),(40 6151.3047),(41 6098.32),(42 6128.2744),(43 6063.5923),(44 6064.7163),(45 6079.119),(46 6062.0845),(47 6052.517),(48 6136.9565),(49 6153.366),(50 6229.299),(51 6327.683),(52 6316.9893),(53 6404.091),(54 6508.0464),(55 6521.093),(56 6561.51),(57 6616.669),(58 6621.7847),(59 6687.196),(60 6656.7627),(61 6716.1733),(62 6751.6816),(63 6887.0303),(64 6835.419),(65 6748.912),(66 6643.6987),(67 6556.68),(68 6514.1396),(69 6528.3823),(70 6455.791),(71 6383.132),(72 6351.372),(73 6412.7627),(74 6369.6406),(75 6477.1274),(76 6462.756),(77 6433.8184),(78 6461.9995),(79 6332.059),
(1 2043.0024),(2 3400.223),(3 3924.127),(4 4217.739),(5 4565.0107),(6 4832.33),(7 5005.515),(8 5120.9595),(9 5204.493),(10 5395.6685),(11 5514.25),(12 5561.574),(13 5612.935),(14 5729.1445),(15 5801.452),(16 5921.111),(17 6006.481),(18 6083.788),(19 6117.5654),(20 6161.8916),(21 6199.6045),(22 6226.8525),(23 6354.5664),(24 6363.9585),(25 6396.0786),(26 6458.9775),(27 6536.896),(28 6462.615),(29 6464.3916),(30 6539.7837),(31 6540.1177),(32 6487.927),(33 6473.089),(34 6459.854),(35 6393.354),(36 6313.2),(37 6231.289),(38 6221.51),(39 6277.173),(40 6232.0576),(41 6231.0444),(42 6153.248),(43 6099.08),(44 6054.0757),(45 6014.5913),(46 5994.24),(47 5932.3223),(48 6035.0356),(49 6036.3584),(50 6053.802),(51 6111.971),(52 6063.57),(53 6124.805),(54 6245.8),(55 6247.075),(56 6303.471),(57 6434.7993),(58 6453.6006),(59 6614.858),(60 6659.991),(61 6671.4155),(62 6676.0063),(63 6765.2773),(64 6709.4556),(65 6666.341),(66 6589.175),(67 6478.3936),(68 6501.346),(69 6505.0903),(70 6426.5874),(71 6470.2607),(72 6425.7617),(73 6400.0825),(74 6427.3),(75 6442.6235),(76 6452.1494),(77 6453.5806),(78 6460.0703),(79 6486.8027),
(1 1995.4841),(2 3317.111),(3 3830.2349),(4 4169.1606),(5 4542.291),(6 4825.2646),(7 5012.505),(8 5181.853),(9 5212.362),(10 5389.42),(11 5559.3115),(12 5692.0464),(13 5784.4395),(14 5904.12),(15 5917.161),(16 5933.853),(17 6021.239),(18 6104.3755),(19 6113.854),(20 6099.0205),(21 6098.9907),(22 6139.42),(23 6358.072),(24 6359.4946),(25 6350.117),(26 6390.5664),(27 6516.366),(28 6518.4595),(29 6434.4087),(30 6439.705),(31 6422.063),(32 6328.3223),(33 6175.5396),(34 6068.224),(35 6023.4087),(36 5952.835),(37 5912.4297),(38 5885.7334),(39 5907.0537),(40 5886.6836),(41 5833.8247),(42 5802.6333),(43 5805.4414),(44 5809.009),(45 5845.289),(46 5806.771),(47 5726.581),(48 5815.041),(49 5837.295),(50 5910.666),(51 5965.3457),(52 5970.764),(53 5980.4004),(54 6054.4595),(55 6147.583),(56 6243.921),(57 6293.39),(58 6279.4614),(59 6399.171),(60 6460.173),(61 6453.793),(62 6493.2515),(63 6527.2373),(64 6444.755),(65 6361.1333),(66 6275.272),(67 6325.78),(68 6352.7114),(69 6321.274),(70 6278.3887),(71 6321.8984),(72 6285.805),(73 6302.119),(74 6290.0986),(75 6279.776),(76 6321.0254),(77 6255.3105),(78 6373.951),(79 6380.2534),
(1 1988.4662),(2 3345.9146),(3 3881.058),(4 4118.244),(5 4439.259),(6 4775.5454),(7 5014.4087),(8 5211.9155),(9 5252.4604),(10 5396.8203),(11 5629.577),(12 5760.5415),(13 5852.0703),(14 5897.619),(15 5910.252),(16 5952.0474),(17 6003.9204),(18 6051.359),(19 5993.879),(20 6026.953),(21 6019.8467),(22 5967.871),(23 6071.798),(24 6080.665),(25 6063.6035),(26 6087.888),(27 6205.7876),(28 6275.4453),(29 6320.287),(30 6364.2744),(31 6371.6045),(32 6315.5903),(33 6271.448),(34 6199.294),(35 6091.957),(36 5984.3706),(37 6014.1255),(38 5973.8486),(39 5969.314),(40 5917.293),(41 5807.7114),(42 5749.695),(43 5683.1123),(44 5704.901),(45 5751.2285),(46 5737.714),(47 5710.658),(48 5756.005),(49 5815.5645),(50 5913.3257),(51 5967.5176),(52 5944.0337),(53 6008.8047),(54 6005.1836),(55 6033.1196),(56 6079.4053),(57 6131.4253),(58 6103.419),(59 6162.4863),(60 6203.547),(61 6215.9644),(62 6181.4395),(63 6263.9004),(64 6222.8027),(65 6148.6646),(66 6153.7363),(67 6169.7964),(68 6238.406),(69 6234.658),(70 6219.69),(71 6328.1533),(72 6317.888),(73 6370.216),(74 6331.724),(75 6298.1753),(76 6204.9004),(77 6133.02),(78 6215.775),(79 6159.472),
