1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 17777.746),(2 65172.887),(3 156444.27),(4 250574.73),(5 365971.66),(6 494635.16),(7 632853.2),(8 767770.8),(9 906630),(10 1051357.9),(11 1212944.9),(12 1392290),(13 1581249),(14 1783327.6),(15 2032161),(16 2288988),(17 2552150),(18 2832455.8),(19 3113388.3),(20 3390142.3),(21 3673467.3),(22 3944286.8),(23 4188707.3),(24 4379432.5),(25 4555904.5),(26 4717496),(27 4860409.5),(28 4983938.5),(29 5105263.5),(30 5216675),(31 5338038),(32 5442129),(33 5536128.5),(34 5630395.5),(35 5713527.5),(36 5771824),(37 5839012.5),(38 5890850),(39 5950945.5),(40 5913624.5),(41 5955773.5),(42 5989312),(43 6028272.5),(44 6075521.5),(45 6124822),(46 6216861.5),(47 6322951.5),(48 6477480),(49 6664270),(50 6877284.5),(51 7132738.5),(52 7400144.5),(53 7664466.5),(54 7940561.5),(55 8224642.5),(56 8493825),(57 8768044),(58 9056029),(59 9363040),(60 9676081),(61 10039449),(62 10401833),(63 10789905),(64 11149349),(65 11503747),(66 11789333),(67 12039871),(68 12275301),(69 12511596),(70 12723216),(71 12944621),(72 13138381),(73 13323107),(74 13497193),(75 13671227),(76 13834220),(77 13966127),(78 14114213),(79 14199899),
(1 21648.313),(2 63348.38),(3 101259.875),(4 131744.42),(5 149130.45),(6 160370.56),(7 179990),(8 195382.16),(9 199669.75),(10 203672.23),(11 207909.7),(12 215899.33),(13 230154.25),(14 240658.97),(15 243118.44),(16 248217.17),(17 254808.8),(18 261243.66),(19 269912.47),(20 273457.47),(21 272951.53),(22 280301.44),(23 289322.47),(24 294187.56),(25 297902.22),(26 296977),(27 292500.06),(28 290436.3),(29 288458.7),(30 285370.8),(31 286342.9),(32 292234.75),(33 297900.75),(34 301302.03),(35 296636.75),(36 286105.25),(37 279446.5),(38 278001.38),(39 276004.4),(40 274503.56),(41 271660.03),(42 269178.53),(43 270975.2),(44 271094.44),(45 265372.3),(46 261196.3),(47 261232.25),(48 262882.4),(49 267202.5),(50 270427),(51 269522.53),(52 269822.13),(53 276178.34),(54 280597.34),(55 279215.88),(56 276131.88),(57 270537.97),(58 266804.6),(59 267966.63),(60 271906.44),(61 276797.2),(62 280476),(63 282908.9),(64 284629.03),(65 284591.4),(66 283189.38),(67 285058.3),(68 286066.94),(69 285226.3),(70 286898.66),(71 290628.97),(72 291934.56),(73 294926.66),(74 300438.5),(75 303409.78),(76 306252.47),(77 308884.63),(78 305919.97),(79 304671.63),
(1 20792.184),(2 60528.125),(3 96616),(4 124776.914),(5 139700.19),(6 150331.19),(7 167685.67),(8 181309.94),(9 189569.47),(10 200614.67),(11 209884.44),(12 217309.6),(13 225706.05),(14 229372.47),(15 232021.64),(16 239297.47),(17 246255.36),(18 252532.8),(19 256251.66),(20 255217.33),(21 257770.92),(22 264858.75),(23 268545.4),(24 272134.44),(25 275583.28),(26 274729.25),(27 276321.78),(28 280033.22),(29 281844.38),(30 284392.94),(31 285218.78),(32 284038.6),(33 283290.6),(34 284168.72),(35 283237.22),(36 282725.22),(37 283757.38),(38 281021.47),(39 274050.78),(40 266781.2),(41 259415.56),(42 254633.94),(43 249814.56),(44 244083.56),(45 240397.2),(46 240571.13),(47 240193.38),(48 240647.7),(49 247498.23),(50 252134.58),(51 255291.3),(52 257500.67),(53 257088.27),(54 256206.5),(55 257241.48),(56 259041.42),(57 258405.94),(58 261725.22),(59 264353.75),(60 269810.25),(61 275850.38),(62 274742.94),(63 278318.9),(64 287946.66),(65 294121),(66 298935.94),(67 304610.94),(68 307125.8),(69 307428.3),(70 311201.9),(71 317321.78),(72 323590.2),(73 330161.97),(74 339232.53),(75 343360.66),(76 344438.78),(77 346500.72),(78 345964.53),(79 345066.94),
(1 21642.473),(2 63967.164),(3 102738.95),(4 132895.6),(5 150706.77),(6 161614.78),(7 176056.3),(8 186757.83),(9 193605.2),(10 202099.33),(11 208352.7),(12 216921.1),(13 225329.55),(14 225994.95),(15 224282.78),(16 228866.9),(17 236044.11),(18 242023.48),(19 243127.95),(20 239989.33),(21 242780.34),(22 251817.38),(23 255149.45),(24 254779.3),(25 254878.27),(26 255857.34),(27 262934.25),(28 270708.97),(29 274654.03),(30 279493.6),(31 283537.75),(32 287797.4),(33 294629.1),(34 294587.72),(35 287692.8),(36 283266.75),(37 279273.97),(38 272763.8),(39 267653.13),(40 257343.95),(41 244840.66),(42 240813.73),(43 240406.83),(44 240112.34),(45 240820.27),(46 239671.34),(47 241450.11),(48 248017.27),(49 256032.02),(50 260926.45),(51 266176.97),(52 270177.47),(53 272840.06),(54 274483.88),(55 273113.25),(56 270777.72),(57 268726.75),(58 270276.13),(59 273685.1),(60 275225.4),(61 273806.75),(62 271111.06),(63 270544),(64 274286.4),(65 285397.88),(66 291019.4),(67 290881),(68 291405.28),(69 294194.75),(70 298206.2),(71 304531.6),(72 311335.34),(73 314957.78),(74 321527.34),(75 327496.2),(76 328037.75),(77 329167.94),(78 327386.2),(79 327800.78),
(1 21227.34),(2 62639.79),(3 99634.01),(4 128243.34),(5 145319.83),(6 157264.14),(7 170162.95),(8 177744.4),(9 186977.31),(10 200963.45),(11 207839.86),(12 212672.95),(13 217935.95),(14 220344.6),(15 226332.36),(16 233030.63),(17 235645.72),(18 235898.73),(19 232915.92),(20 232121.05),(21 239059.17),(22 246486.9),(23 250031.95),(24 250469.39),(25 247256.86),(26 247110.9),(27 253481.7),(28 258838.8),(29 261604.73),(30 265432.63),(31 270445.97),(32 274123.7),(33 275443.4),(34 274110.44),(35 273731.13),(36 274620.22),(37 270321.44),(38 265489.44),(39 262048.77),(40 256144),(41 251243.03),(42 246528.11),(43 241188.05),(44 238645.75),(45 236885.22),(46 234484.47),(47 235141.75),(48 240040.48),(49 246122.02),(50 247750.72),(51 248118.83),(52 247240.4),(53 248191.53),(54 247272.61),(55 243657.64),(56 240731.05),(57 238246.61),(58 239467.92),(59 243068.77),(60 244063.38),(61 239789.63),(62 235750.5),(63 236118.48),(64 237144.97),(65 240738.69),(66 249132.69),(67 257236.53),(68 260549.63),(69 262205.56),(70 263056.75),(71 262945.13),(72 268447.06),(73 274408.03),(74 277077.72),(75 280559.28),(76 280958.06),(77 282363.72),(78 283211.47),(79 283840.88),
(1 20820.01),(2 60351.72),(3 95247.7),(4 120417.195),(5 134263.02),(6 146533.36),(7 159368.72),(8 166042),(9 173107.75),(10 183007.61),(11 193433.03),(12 202291.98),(13 204821.98),(14 204047.23),(15 205598.17),(16 208400.61),(17 214572.77),(18 220506.69),(19 220512.13),(20 223881.47),(21 233065.03),(22 240758.05),(23 245713.16),(24 246196.47),(25 245890.81),(26 250294.14),(27 256093.78),(28 259669.53),(29 262294.5),(30 265294.06),(31 268195.88),(32 269688),(33 265627.1),(34 258725.88),(35 254096.72),(36 251699.11),(37 252645.4),(38 252295.39),(39 248811.13),(40 245534.31),(41 242478.73),(42 238794),(43 236111.5),(44 234987.84),(45 231702.95),(46 226745.94),(47 224232.72),(48 226343.7),(49 230035.39),(50 228562.5),(51 224913.03),(52 222212.16),(53 223514.17),(54 227106.61),(55 230223.4),(56 230807.61),(57 229878.17),(58 231565.03),(59 235043.64),(60 239111.45),(61 240159.17),(62 244340.53),(63 253355.36),(64 259455.27),(65 262099.61),(66 260795.66),(67 261400.28),(68 264543.53),(69 266286.38),(70 265735.63),(71 267151.25),(72 273015.5),(73 278217),(74 277948.44),(75 274726.63),(76 267351.28),(77 264666.63),(78 269517),(79 272494.44),
(1 20216.604),(2 58603.24),(3 92403.16),(4 115289.41),(5 127183.51),(6 138990.6),(7 152605.7),(8 162507.36),(9 172232.14),(10 181078.69),(11 187786.86),(12 194659.72),(13 197328.42),(14 197853.6),(15 202396.88),(16 208690.55),(17 215072.94),(18 218463.98),(19 219292.55),(20 224653.47),(21 233662.66),(22 243343.88),(23 250154.28),(24 249232.73),(25 246127.45),(26 249899.95),(27 255993.39),(28 262415.16),(29 268357.3),(30 270772.66),(31 273070.75),(32 270379.1),(33 261718.05),(34 256264.02),(35 253200.53),(36 248406.86),(37 241344),(38 233728.75),(39 231759.6),(40 232587.42),(41 227653.92),(42 222989.94),(43 221553.63),(44 222291.95),(45 224189.81),(46 225190.13),(47 225228.66),(48 225703.4),(49 226065.28),(50 224290.73),(51 223245.06),(52 222391.69),(53 220663.22),(54 219113.69),(55 215305.14),(56 211825.52),(57 214161.8),(58 220559.66),(59 224643.88),(60 226528.31),(61 227747.94),(62 228961.02),(63 231302.08),(64 238044.61),(65 242518.08),(66 243145.53),(67 245959.08),(68 247117.86),(69 247210.14),(70 252290.31),(71 257365.6),(72 260413.08),(73 261072.8),(74 258176.63),(75 254502.42),(76 253182.33),(77 252149.53),(78 253649.73),(79 255848.67),
(1 20329.012),(2 56701.207),(3 87702.91),(4 110399.49),(5 122187.516),(6 133457.16),(7 144612.81),(8 151416.27),(9 161194.55),(10 169989.38),(11 177944.4),(12 186737.53),(13 188417.98),(14 188300.53),(15 192665.81),(16 197865.73),(17 205627.81),(18 209878.92),(19 210399.72),(20 216341.5),(21 223438.78),(22 229275.31),(23 235011.75),(24 232841.78),(25 230301.67),(26 233240.25),(27 237944.1),(28 243318.88),(29 245866.67),(30 242398.1),(31 241369.52),(32 239863.03),(33 236073.11),(34 233290.95),(35 226643.78),(36 219884.08),(37 213559.6),(38 206619.25),(39 204439.72),(40 203026.5),(41 202273.1),(42 204459.64),(43 205145.98),(44 202687.98),(45 201069.73),(46 203751.67),(47 209934.33),(48 215787.08),(49 217546.56),(50 216479.7),(51 216320.08),(52 215336.7),(53 214494.06),(54 212371.31),(55 208336.08),(56 207773.84),(57 207612.28),(58 208769.38),(59 208851.11),(60 209538.9),(61 210028.61),(62 212352.5),(63 216170.27),(64 217769.94),(65 216441.45),(66 214461.3),(67 216364.05),(68 217837.39),(69 219837.1),(70 225550.75),(71 228396.5),(72 231520.78),(73 231097.98),(74 227558),(75 223627.19),(76 223581.13),(77 225922.95),(78 227670.83),(79 227290.33),
(1 20313.016),(2 58215.668),(3 89872.97),(4 111762.82),(5 123075.33),(6 133933.69),(7 146622.75),(8 153889.7),(9 159300.28),(10 162829.34),(11 165507.98),(12 170535.53),(13 173911.03),(14 177418.6),(15 181684.05),(16 185539.27),(17 188512.53),(18 188314.02),(19 190721.33),(20 198429.64),(21 205383.28),(22 210004.17),(23 210194.61),(24 210932.39),(25 215935.28),(26 219336.55),(27 219652.67),(28 222432.89),(29 225319.17),(30 226995.95),(31 227452.55),(32 223499.28),(33 220854.94),(34 218605.03),(35 214272.67),(36 211304.94),(37 207657.75),(38 206427.42),(39 207574.81),(40 205734.17),(41 201704.6),(42 197841.75),(43 194755.36),(44 195442.34),(45 198101.94),(46 202976.52),(47 206328.13),(48 207345.19),(49 209259.27),(50 209775.78),(51 211351.55),(52 210513.64),(53 207699.1),(54 205970.58),(55 207145.34),(56 210400.83),(57 215263.34),(58 218009.02),(59 216735.95),(60 214864.9),(61 215299.2),(62 214441.2),(63 214312.17),(64 213153.16),(65 213593.94),(66 216881.27),(67 220649.28),(68 229073.98),(69 238288.13),(70 243590.14),(71 246375.4),(72 244995.45),(73 244248.23),(74 243886.52),(75 241107.23),(76 239567.33),(77 240052.13),(78 242354.28),(79 245133.06),
(1 18809.008),(2 53808.824),(3 83091.55),(4 102630.5),(5 112460.26),(6 121576.96),(7 131590.02),(8 139637.83),(9 148215.2),(10 155499.4),(11 161584.53),(12 167030.25),(13 172178.78),(14 175090.19),(15 178263.94),(16 184622.25),(17 190508.52),(18 192834.61),(19 196746.33),(20 200943.03),(21 203537.02),(22 207386.55),(23 210844.19),(24 212843.48),(25 213905.64),(26 216419.27),(27 219180.89),(28 219837.66),(29 220423.81),(30 220693.73),(31 218919.19),(32 216795.81),(33 213804.44),(34 208721.73),(35 204757.22),(36 201328.47),(37 200512.08),(38 203881.56),(39 202298.72),(40 195733.72),(41 190025.47),(42 188075.78),(43 187444.13),(44 186485.73),(45 188136.58),(46 192379.06),(47 197087.89),(48 200003.9),(49 200422.33),(50 200590.8),(51 202842.48),(52 206307.94),(53 209387.64),(54 207048.16),(55 204928.84),(56 203831.33),(57 203017.64),(58 205028.22),(59 206049.28),(60 206868.27),(61 208095.16),(62 212553.34),(63 213808.9),(64 211019.22),(65 210253.63),(66 213293.16),(67 218440.97),(68 223120.27),(69 226483.44),(70 229892.89),(71 233694.44),(72 237316.83),(73 238168.17),(74 237420.47),(75 235995.47),(76 235915.06),(77 236193.27),(78 235075.97),(79 236181.13),
(1 18835.727),(2 53910.426),(3 84844.57),(4 106235.91),(5 118003.63),(6 127616.62),(7 137152.45),(8 144739.34),(9 152942.23),(10 159681.44),(11 164193.36),(12 166401.14),(13 169060.55),(14 174868.72),(15 180861.45),(16 185392.86),(17 185608),(18 185916.3),(19 188236.95),(20 188466.77),(21 186418.42),(22 184551.38),(23 185125.16),(24 189565.86),(25 192344.67),(26 194176.98),(27 197193.61),(28 200374.39),(29 204674.03),(30 204636.34),(31 201167.3),(32 200245.58),(33 201437.22),(34 202068.86),(35 198351.3),(36 193353.67),(37 193348.02),(38 196544.48),(39 196362.44),(40 190433.55),(41 183260.2),(42 180483.02),(43 180830.48),(44 182620.64),(45 184672.06),(46 185573.78),(47 184853.03),(48 184187.86),(49 185915.47),(50 190012.33),(51 194484.92),(52 196171.36),(53 195688.61),(54 194324.39),(55 197185.33),(56 201116.28),(57 202001.34),(58 204157.38),(59 203343.72),(60 202171.02),(61 202019.38),(62 202009.92),(63 204440.63),(64 203520.4),(65 203378.98),(66 204081.06),(67 207068.14),(68 211656.67),(69 214399.75),(70 215542.42),(71 216598.78),(72 217974.02),(73 215508.56),(74 213867.86),(75 215699.61),(76 219640.25),(77 224060.19),(78 225682.33),(79 227417.9),
(1 19219.014),(2 53870.016),(3 85791.9),(4 108368.125),(5 118836.695),(6 127922.41),(7 137388.9),(8 147519.08),(9 158151.8),(10 163847.06),(11 168170.45),(12 171279.47),(13 173606.61),(14 177841.23),(15 180741.7),(16 184618.14),(17 186605.47),(18 189353.06),(19 194113.19),(20 195245.98),(21 194718.61),(22 192906.02),(23 193197.84),(24 198989.1),(25 205520.2),(26 212263.11),(27 217020.94),(28 217668.28),(29 216734.38),(30 211999.84),(31 207866.52),(32 208568.34),(33 208900.3),(34 208268.05),(35 202995.5),(36 196038.14),(37 193091.23),(38 192563.86),(39 192481.02),(40 190509.34),(41 189171.23),(42 189719.45),(43 185666.1),(44 182416.67),(45 181700),(46 182122.98),(47 182083.33),(48 181934.44),(49 181695.27),(50 183116.77),(51 186427.61),(52 190875.8),(53 191886.94),(54 189221.11),(55 189709.95),(56 191350.89),(57 193335.7),(58 192245.5),(59 191183.66),(60 192787.17),(61 191207.25),(62 190695.53),(63 191527.28),(64 193979.9),(65 197953.13),(66 199747.03),(67 200418.25),(68 203373.25),(69 205638.61),(70 209927.56),(71 213373.88),(72 212990.77),(73 210299.36),(74 210418.38),(75 212716),(76 214926.5),(77 219328.8),(78 221155.42),(79 219255.05),
(1 18094.537),(2 50209.457),(3 77869.12),(4 95834.07),(5 103738.79),(6 111442.64),(7 117911.984),(8 125846.48),(9 135729.8),(10 143350.45),(11 148171.13),(12 150185.23),(13 152977.4),(14 156804.42),(15 160578.94),(16 165080.5),(17 170344.67),(18 175277.14),(19 178484.6),(20 179985.3),(21 180639.38),(22 179450.9),(23 180331.5),(24 184792.66),(25 189651.52),(26 192002.1),(27 192168.36),(28 194201.61),(29 196650.06),(30 196176.97),(31 196722.25),(32 198179.55),(33 198220.34),(34 194693.34),(35 188252.52),(36 183838.02),(37 181488.53),(38 179911.5),(39 178740.84),(40 174538.45),(41 172051.8),(42 173832.98),(43 175961.7),(44 178440.94),(45 178444.6),(46 178298.63),(47 180392.77),(48 181888.72),(49 179661.23),(50 175259.28),(51 175415.13),(52 179026.17),(53 182945.9),(54 184674.6),(55 186480.25),(56 185943.06),(57 184578.45),(58 182430.06),(59 181563.34),(60 182473.67),(61 186666.06),(62 189282.56),(63 188733.19),(64 187299.67),(65 190473.66),(66 192521.23),(67 193284.19),(68 193912.34),(69 195053.52),(70 200625.28),(71 203171.94),(72 203311.48),(73 205350.36),(74 206906.92),(75 211809.5),(76 216773.55),(77 218196.95),(78 217340.78),(79 215027.23),
(1 17960.234),(2 48404.13),(3 75445.42),(4 94723.3),(5 102472.48),(6 108884.76),(7 115322.14),(8 124395.195),(9 134497.23),(10 140765.23),(11 145509.77),(12 148658.38),(13 152280.4),(14 157086.83),(15 160902.52),(16 163833.7),(17 166698.31),(18 171432.81),(19 175651.44),(20 180893.89),(21 183888.72),(22 183592.72),(23 186331.89),(24 192149.44),(25 197806.11),(26 201201.52),(27 203397.19),(28 204819.75),(29 202549.9),(30 198365.6),(31 196635.75),(32 196097.7),(33 194711.16),(34 191985.81),(35 188403.9),(36 185926.17),(37 182445.69),(38 179088.19),(39 178500.14),(40 179643.33),(41 181282.11),(42 180349.84),(43 181026.47),(44 182164.56),(45 182441.89),(46 182984.7),(47 186489.69),(48 186839.72),(49 184318.9),(50 181276.6),(51 179492.77),(52 178004.8),(53 177023.42),(54 177942.83),(55 180469.73),(56 183226.81),(57 180247.86),(58 178004.31),(59 173704.61),(60 172910.63),(61 174857.61),(62 176556.4),(63 181215.97),(64 181740.95),(65 183708.38),(66 184760.7),(67 187576.97),(68 190815.8),(69 192787.11),(70 195308.67),(71 197828.47),(72 199110.48),(73 202185.73),(74 202849.02),(75 204282.4),(76 205302.31),(77 205576.23),(78 207271.75),(79 205782.69),
(1 18556.602),(2 50184.688),(3 76131.12),(4 93700.97),(5 100778.766),(6 107235.586),(7 113757.57),(8 122547.46),(9 131909.66),(10 136946),(11 140121.94),(12 139732.13),(13 139648.48),(14 141953.66),(15 146795.8),(16 152762.7),(17 155150.19),(18 157474.78),(19 161102),(20 166669.22),(21 171511.6),(22 174823.53),(23 180766.55),(24 185085.17),(25 188571.83),(26 191131.94),(27 191294.97),(28 191098.92),(29 189063.17),(30 187139.31),(31 183426.5),(32 178857.52),(33 175375.92),(34 172330.58),(35 171819.39),(36 171240.64),(37 167118.73),(38 163849.39),(39 163474.48),(40 164642.03),(41 166040.83),(42 167753.23),(43 169338.61),(44 169940.08),(45 167983.33),(46 167303.83),(47 169361.83),(48 170266.11),(49 168719.3),(50 167482.77),(51 167437.88),(52 166371.66),(53 164044.56),(54 162897.34),(55 164063.72),(56 166250.97),(57 167331.55),(58 168830.4),(59 168893.56),(60 171621.48),(61 172121.92),(62 173558.8),(63 175696),(64 177067.16),(65 181496.11),(66 184611.23),(67 186917.48),(68 188858.1),(69 193599.98),(70 197303.78),(71 198493.31),(72 200542.3),(73 205383.78),(74 211393.2),(75 214853.9),(76 215424.28),(77 215343.5),(78 214953.02),(79 215188.6),
(1 18536.543),(2 50716.656),(3 77255.086),(4 92770.336),(5 99777.86),(6 108019.36),(7 115682.76),(8 122785.414),(9 128466.74),(10 132432.25),(11 136844.5),(12 140093.72),(13 143458.48),(14 146211.38),(15 149033.45),(16 152092.23),(17 156168.89),(18 159897.2),(19 162677.28),(20 164565.83),(21 164367.89),(22 166274.3),(23 171694.4),(24 179408.83),(25 183959.66),(26 184190.23),(27 183116.14),(28 179995.58),(29 178050.9),(30 178172.92),(31 177640.42),(32 174296.95),(33 167746.44),(34 164758.66),(35 165967.89),(36 167902.53),(37 170104.1),(38 168632.05),(39 166902.63),(40 165778.67),(41 165722.34),(42 167279.77),(43 165987.45),(44 163062.22),(45 159431.66),(46 159497.72),(47 161384.88),(48 161115.05),(49 159942.1),(50 159820.95),(51 163037.47),(52 166528.05),(53 168298.31),(54 167736.67),(55 169689.58),(56 171879.13),(57 172441.72),(58 172459.44),(59 174120.94),(60 178277.73),(61 182617.56),(62 183231.64),(63 186527.03),(64 190652.72),(65 191076.75),(66 195008.28),(67 199271.05),(68 203507.25),(69 205871.48),(70 206647.19),(71 209323.58),(72 212649.03),(73 215044.38),(74 218680.25),(75 221705.73),(76 225200.92),(77 226163.89),(78 225168.89),(79 223359.33),
(1 18457.021),(2 49373.715),(3 75377.41),(4 89534.07),(5 94566.36),(6 100512.44),(7 107534.22),(8 115638.07),(9 121309.43),(10 126745.88),(11 130867.54),(12 134407.14),(13 138597.36),(14 142248.73),(15 147773.9),(16 152753.03),(17 156283.94),(18 157399.52),(19 160330.7),(20 164913.42),(21 168818.89),(22 173803),(23 176502.11),(24 178272.56),(25 179951.53),(26 180802.11),(27 180925.97),(28 180569.58),(29 181341.3),(30 181664.27),(31 179737.38),(32 177752.67),(33 174613.31),(34 174118.33),(35 175357.28),(36 175392.7),(37 174218.56),(38 172624.22),(39 173327.78),(40 172125.94),(41 169343.48),(42 167670.48),(43 166032.47),(44 166198.83),(45 164586.39),(46 161161.97),(47 160209.22),(48 159995.67),(49 160301.14),(50 158906.48),(51 159672.2),(52 161556.19),(53 164446.13),(54 165539.31),(55 164290.19),(56 165185.42),(57 163200.27),(58 163338.1),(59 161096.27),(60 163407.06),(61 168150.81),(62 169168.81),(63 171366.56),(64 172445.81),(65 175199.27),(66 177077.81),(67 181140.53),(68 186362.7),(69 187706.27),(70 187807.67),(71 189496.39),(72 192294.08),(73 196215.44),(74 197881.7),(75 200052.86),(76 200444.48),(77 201789.22),(78 201538.22),(79 204049.58),
(1 18494.627),(2 48679.082),(3 73651.39),(4 86935.82),(5 92922.734),(6 101030.164),(7 108464.4),(8 116511.4),(9 121085.56),(10 126444.42),(11 130871.87),(12 133988.7),(13 137591.75),(14 141096.81),(15 147782.75),(16 154543.3),(17 159524.52),(18 162274.03),(19 166942.11),(20 171382.47),(21 175050.86),(22 180336.94),(23 182247.05),(24 183724.45),(25 185357.84),(26 186843.14),(27 187499.86),(28 186420.84),(29 187382.38),(30 187101.22),(31 185772.42),(32 181431.97),(33 178395.34),(34 178320.89),(35 177314.97),(36 176273.42),(37 173131.77),(38 169883.05),(39 169026.86),(40 167206.53),(41 166965.44),(42 166417.81),(43 163388.16),(44 162031.7),(45 159972.36),(46 161102.67),(47 163950.53),(48 166897.84),(49 166453.06),(50 164659.52),(51 166922.98),(52 171040.83),(53 172304.16),(54 173996.38),(55 176618.88),(56 176693.45),(57 175923.86),(58 174382.78),(59 175306.66),(60 174407.89),(61 175276.11),(62 178208.3),(63 181492.48),(64 183900.86),(65 182826.11),(66 184334.3),(67 186780.11),(68 191228.89),(69 193658.77),(70 194137.22),(71 193881.03),(72 194320.88),(73 196314.42),(74 198789.72),(75 196935.83),(76 196265.5),(77 196878.94),(78 197964.48),(79 199413.6),
(1 19172.617),(2 50376.668),(3 76412.75),(4 90633.31),(5 94794.45),(6 103096.2),(7 111726.32),(8 120679.85),(9 126191.76),(10 129552.01),(11 132851.23),(12 134763.36),(13 137601.98),(14 140553.28),(15 145536.28),(16 150766.58),(17 154496.1),(18 155872.39),(19 158777.48),(20 163472.13),(21 167928.16),(22 171612.45),(23 174634.39),(24 177300.36),(25 178356.17),(26 178570.27),(27 176691.02),(28 173945.34),(29 172984.66),(30 171141.3),(31 167913.13),(32 163947.6),(33 163031.55),(34 164704.34),(35 165127.34),(36 163305.31),(37 163415.86),(38 163028.77),(39 162638.83),(40 161469.14),(41 161684.25),(42 163346.58),(43 162483.8),(44 159480.47),(45 156098.52),(46 156107.95),(47 156898.72),(48 157831.45),(49 158193.98),(50 157549.16),(51 157905.81),(52 158825.27),(53 158285.84),(54 160758.13),(55 162670.75),(56 162437.06),(57 158793.14),(58 157212.9),(59 159238.9),(60 161596.64),(61 163623.63),(62 165631.08),(63 166511.64),(64 167648.17),(65 167816.1),(66 168523.42),(67 172369.23),(68 174732.64),(69 175279.4),(70 177246.19),(71 182778.89),(72 187503.47),(73 187429.64),(74 185721.3),(75 184402.86),(76 187185.05),(77 190429.6),(78 193204.22),(79 196227.53),
