1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 250.99463),(2 340.6826),(3 393.63934),(4 419.72986),(5 442.56796),(6 452.07095),(7 463.41943),(8 473.47028),(9 478.10138),(10 479.91824),(11 482.34598),(12 485.92206),(13 489.542),(14 496.40814),(15 497.57114),(16 502.19836),(17 502.20642),(18 508.11063),(19 510.05075),(20 512.3508),(21 513.3066),(22 512.0145),(23 511.32767),(24 510.32193),(25 512.0575),(26 510.27155),(27 509.02054),(28 511.2207),(29 513.5007),(30 513.1728),(31 512.43695),(32 512.16156),(33 511.6087),(34 508.86383),(35 509.89136),(36 512.0946),(37 511.52213),(38 508.4357),(39 504.42154),(40 511.02676),(41 509.0706),(42 512.0368),(43 504.6298),(44 508.37888),(45 505.68433),(46 501.87073),(47 507.30374),(48 514.80865),(49 518.5878),(50 524.42883),(51 528.3191),(52 530.9073),(53 528.8519),(54 530.8758),(55 531.59216),(56 536.1396),(57 544.5597),(58 547.36865),(59 546.556),(60 548.8372),(61 542.47516),(62 545.752),(63 552.192),(64 557.34235),(65 556.07495),(66 560.53955),(67 560.7793),(68 559.3582),(69 558.1711),(70 559.5752),(71 559.0113),(72 568.28455),(73 567.09705),(74 567.30774),(75 568.0103),(76 572.164),(77 580.58923),(78 581.73865),(79 582.60864),
(1 246.92773),(2 337.35306),(3 387.03976),(4 410.66028),(5 428.42435),(6 443.4827),(7 448.46765),(8 453.4614),(9 457.54044),(10 457.87982),(11 469.39996),(12 477.02567),(13 481.8563),(14 487.08463),(15 483.56683),(16 487.91196),(17 493.03204),(18 502.01923),(19 504.9254),(20 504.20236),(21 506.5206),(22 510.99606),(23 511.2766),(24 511.52832),(25 505.73227),(26 508.60083),(27 504.2791),(28 505.69327),(29 503.4615),(30 499.32733),(31 497.17972),(32 498.11993),(33 506.11438),(34 503.33707),(35 497.74582),(36 496.8287),(37 498.66397),(38 496.86432),(39 499.49442),(40 494.4769),(41 494.59726),(42 496.1875),(43 506.0803),(44 503.35837),(45 500.18286),(46 502.307),(47 508.20706),(48 517.7311),(49 516.2384),(50 514.8886),(51 521.1357),(52 518.0613),(53 522.5571),(54 527.03284),(55 530.3207),(56 533.72174),(57 536.43475),(58 539.1466),(59 539.95197),(60 544.09216),(61 539.31757),(62 534.43866),(63 536.10046),(64 538.7017),(65 541.4891),(66 545.7403),(67 545.124),(68 546.4801),(69 546.9783),(70 550.9272),(71 553.0812),(72 555.0969),(73 558.3886),(74 562.2738),(75 559.8767),(76 555.5393),(77 560.3749),(78 569.9044),(79 579.3976),
(1 240.64413),(2 325.21423),(3 378.49493),(4 399.468),(5 417.5243),(6 426.93066),(7 433.38037),(8 437.88773),(9 437.71454),(10 445.18057),(11 449.89917),(12 456.4067),(13 463.2091),(14 467.26563),(15 469.74902),(16 470.8443),(17 471.51123),(18 482.29593),(19 486.70938),(20 486.8227),(21 488.50592),(22 487.89874),(23 491.78732),(24 491.37253),(25 492.32306),(26 490.6177),(27 492.2814),(28 488.4075),(29 489.7815),(30 485.2196),(31 483.2305),(32 484.79697),(33 490.56287),(34 485.63882),(35 486.45462),(36 486.64978),(37 485.08926),(38 479.14713),(39 481.77036),(40 481.5205),(41 483.6738),(42 489.39847),(43 488.78842),(44 487.22046),(45 486.21027),(46 483.0907),(47 485.57672),(48 494.0503),(49 493.5418),(50 497.79437),(51 493.60052),(52 499.99698),(53 500.866),(54 499.4731),(55 499.89886),(56 507.29782),(57 510.2988),(58 512.1685),(59 510.5545),(60 512.7685),(61 510.4809),(62 509.25568),(63 511.44083),(64 506.8853),(65 506.04346),(66 506.02658),(67 505.70996),(68 505.56064),(69 508.88278),(70 515.31134),(71 517.9604),(72 521.81177),(73 523.3649),(74 530.2616),(75 524.7382),(76 532.48566),(77 526.7518),(78 532.09924),(79 541.92444),
(1 241.73592),(2 323.379),(3 374.2885),(4 391.59326),(5 409.10754),(6 419.26352),(7 426.0336),(8 430.53494),(9 432.30392),(10 436.9207),(11 437.67776),(12 443.93805),(13 447.28378),(14 451.8957),(15 457.55295),(16 456.69305),(17 457.62012),(18 463.53778),(19 468.13004),(20 469.24454),(21 471.65054),(22 468.9511),(23 466.06467),(24 465.9993),(25 469.14716),(26 469.9626),(27 471.91452),(28 473.9667),(29 474.27707),(30 469.2329),(31 472.40814),(32 476.94),(33 475.69803),(34 474.55676),(35 470.7876),(36 468.36533),(37 470.4361),(38 473.22556),(39 473.05103),(40 469.41318),(41 467.13696),(42 474.33194),(43 475.00897),(44 477.06705),(45 476.89774),(46 476.5616),(47 477.00116),(48 486.28464),(49 489.96252),(50 490.29312),(51 490.65182),(52 494.04407),(53 494.24512),(54 494.41214),(55 496.1816),(56 500.21848),(57 498.8946),(58 496.88528),(59 501.8403),(60 501.34836),(61 502.18344),(62 502.64963),(63 504.6081),(64 507.6215),(65 502.32645),(66 506.16132),(67 503.4423),(68 502.38586),(69 502.3686),(70 499.50775),(71 507.536),(72 511.38962),(73 520.2332),(74 522.3639),(75 517.1756),(76 516.4077),(77 519.5288),(78 524.37665),(79 524.60925),
(1 232.2143),(2 310.632),(3 357.47208),(4 378.35806),(5 395.03888),(6 411.4818),(7 419.09286),(8 423.8151),(9 429.75),(10 426.9194),(11 429.15933),(12 432.30215),(13 437.00674),(14 440.9911),(15 439.98438),(16 446.77805),(17 447.5955),(18 450.7657),(19 458.52307),(20 456.4533),(21 464.55737),(22 461.6155),(23 460.32208),(24 465.1),(25 460.61914),(26 457.6086),(27 456.06686),(28 456.91077),(29 458.76837),(30 451.17734),(31 449.78696),(32 449.27026),(33 446.64777),(34 445.78284),(35 443.05566),(36 438.41794),(37 443.91144),(38 442.79425),(39 438.7904),(40 439.75888),(41 435.7344),(42 434.74658),(43 439.75888),(44 442.91565),(45 442.20093),(46 443.93246),(47 448.78302),(48 454.02982),(49 458.7543),(50 459.76273),(51 461.713),(52 464.20593),(53 469.8812),(54 470.3733),(55 473.84604),(56 480.5879),(57 483.83914),(58 484.943),(59 485.9972),(60 482.2691),(61 485.00336),(62 488.70142),(63 488.22122),(64 485.90323),(65 488.60333),(66 490.76938),(67 491.91318),(68 492.41544),(69 489.93146),(70 491.8764),(71 495.81317),(72 504.57687),(73 506.6997),(74 508.26135),(75 506.67642),(76 512.6744),(77 513.99536),(78 519.69965),(79 520.004),
(1 226.87064),(2 298.04987),(3 343.86975),(4 359.11337),(5 376.15897),(6 391.68906),(7 399.88782),(8 404.07007),(9 414.46857),(10 416.30875),(11 417.33862),(12 424.08652),(13 427.13263),(14 430.9095),(15 436.51447),(16 438.1664),(17 440.61514),(18 451.5151),(19 452.20813),(20 450.21774),(21 451.22076),(22 451.45868),(23 454.01154),(24 459.59872),(25 456.35522),(26 456.4229),(27 443.27066),(28 442.93652),(29 448.2242),(30 447.22314),(31 449.8842),(32 449.89972),(33 450.68652),(34 448.912),(35 451.63696),(36 446.4395),(37 444.6471),(38 445.3486),(39 444.91278),(40 448.7995),(41 443.2981),(42 443.24127),(43 444.86194),(44 446.72638),(45 443.26373),(46 445.4244),(47 444.4776),(48 448.58237),(49 451.61148),(50 453.4688),(51 458.5977),(52 458.27444),(53 459.60284),(54 458.00153),(55 460.71988),(56 463.29718),(57 468.9503),(58 466.81754),(59 464.98727),(60 463.0667),(61 470.2426),(62 475.4078),(63 473.60876),(64 477.27283),(65 475.47742),(66 476.37997),(67 472.33716),(68 476.1936),(69 475.13504),(70 477.97617),(71 475.02942),(72 479.74292),(73 480.343),(74 487.69705),(75 486.11023),(76 487.05807),(77 487.35684),(78 493.2719),(79 493.7831),
(1 222.61661),(2 293.9145),(3 340.783),(4 366.02145),(5 384.95535),(6 397.39136),(7 403.06116),(8 408.49594),(9 416.589),(10 423.17883),(11 423.44278),(12 426.98685),(13 428.69684),(14 434.0944),(15 442.13358),(16 445.74432),(17 448.28094),(18 446.75836),(19 443.995),(20 444.87985),(21 447.36896),(22 446.97635),(23 445.29846),(24 445.15164),(25 453.30975),(26 451.1854),(27 443.842),(28 443.82413),(29 443.10876),(30 445.5475),(31 444.48993),(32 445.50928),(33 446.1096),(34 449.023),(35 446.6014),(36 445.58182),(37 443.41205),(38 441.71448),(39 440.80362),(40 441.57474),(41 438.14316),(42 434.91153),(43 437.43246),(44 437.37936),(45 434.8261),(46 434.4235),(47 431.6503),(48 441.45386),(49 446.56528),(50 449.1014),(51 455.98462),(52 456.58325),(53 456.73624),(54 453.88168),(55 457.0326),(56 458.55038),(57 462.8504),(58 463.80914),(59 465.22238),(60 464.45996),(61 466.56094),(62 471.0862),(63 466.06577),(64 468.7203),(65 466.68436),(66 467.44604),(67 460.36047),(68 458.3194),(69 462.71002),(70 463.8734),(71 463.15112),(72 461.50818),(73 459.33),(74 460.7209),(75 463.24176),(76 463.37045),(77 463.252),(78 467.10495),(79 469.45557),
(1 217.87239),(2 286.9178),(3 327.49036),(4 347.66095),(5 361.64902),(6 369.2547),(7 377.88867),(8 386.4833),(9 389.39203),(10 395.2368),(11 396.72974),(12 402.85886),(13 404.3938),(14 409.75198),(15 411.93063),(16 415.61313),(17 419.8085),(18 420.89163),(19 426.39877),(20 431.50897),(21 432.14325),(22 432.22205),(23 431.09436),(24 429.32938),(25 430.60477),(26 433.80072),(27 431.72034),(28 429.1145),(29 430.9788),(30 436.09958),(31 435.81598),(32 431.1105),(33 429.44608),(34 426.47815),(35 425.69022),(36 422.66394),(37 423.20084),(38 422.7349),(39 417.32217),(40 415.0546),(41 413.84344),(42 413.70996),(43 417.57397),(44 418.90625),(45 414.7213),(46 417.87827),(47 421.16068),(48 426.64883),(49 423.81415),(50 425.78964),(51 428.37088),(52 434.29312),(53 435.66833),(54 437.4051),(55 439.3361),(56 443.38245),(57 445.12262),(58 443.8906),(59 441.30392),(60 443.81247),(61 447.81058),(62 452.08862),(63 447.08475),(64 445.49155),(65 444.4298),(66 444.37067),(67 442.34985),(68 438.16232),(69 438.60635),(70 440.275),(71 442.76447),(72 447.03912),(73 447.03094),(74 445.21716),(75 443.26324),(76 445.86908),(77 446.78653),(78 452.01086),(79 456.42224),
(1 214.72694),(2 282.95364),(3 321.82578),(4 341.90112),(5 356.3502),(6 367.8408),(7 372.56082),(8 385.85004),(9 390.97037),(10 393.02448),(11 395.27948),(12 401.56702),(13 405.41782),(14 408.70065),(15 409.03732),(16 407.3366),(17 412.58514),(18 414.6595),(19 419.6233),(20 419.95914),(21 416.2778),(22 416.4077),(23 416.10974),(24 413.30682),(25 417.642),(26 417.0289),(27 417.8005),(28 415.8873),(29 417.45764),(30 418.434),(31 415.37488),(32 418.7106),(33 415.66925),(34 416.9586),(35 411.76593),(36 412.5879),(37 414.86255),(38 413.9981),(39 412.36316),(40 406.5812),(41 407.30908),(42 406.29593),(43 407.31113),(44 407.83856),(45 407.33344),(46 405.42914),(47 411.54813),(48 413.63956),(49 412.71527),(50 415.35678),(51 411.81958),(52 416.76642),(53 420.7418),(54 429.27103),(55 425.94427),(56 429.78973),(57 425.74768),(58 428.12488),(59 428.9994),(60 429.73407),(61 428.99295),(62 431.89804),(63 431.78604),(64 430.7617),(65 428.0325),(66 424.30173),(67 427.29156),(68 426.30847),(69 428.27106),(70 429.31772),(71 428.14066),(72 431.41672),(73 435.38245),(74 436.4022),(75 436.79593),(76 435.18784),(77 436.26532),(78 449.6089),(79 449.6589),
(1 209.09091),(2 273.66928),(3 314.5015),(4 333.41122),(5 351.04727),(6 362.36356),(7 364.82285),(8 373.18307),(9 374.9869),(10 377.87488),(11 381.50067),(12 383.77084),(13 384.67648),(14 389.61038),(15 389.32776),(16 395.36978),(17 397.2471),(18 406.31543),(19 405.2243),(20 406.52505),(21 403.50772),(22 402.7051),(23 402.63678),(24 400.20313),(25 399.3662),(26 398.2938),(27 399.44482),(28 402.40253),(29 405.2062),(30 404.37112),(31 403.22714),(32 403.658),(33 402.25983),(34 399.31177),(35 396.69083),(36 395.23737),(37 397.75806),(38 397.17798),(39 399.81705),(40 395.3257),(41 394.00546),(42 394.0947),(43 396.89383),(44 400.46735),(45 401.10165),(46 402.36365),(47 405.26456),(48 403.28024),(49 406.55215),(50 410.8331),(51 410.12454),(52 409.00964),(53 408.43045),(54 412.3379),(55 414.6119),(56 416.8778),(57 419.77994),(58 416.7324),(59 415.09674),(60 417.51984),(61 418.6759),(62 421.15903),(63 420.99597),(64 421.77487),(65 421.42953),(66 418.41937),(67 422.41745),(68 425.61768),(69 426.24887),(70 428.1779),(71 428.6253),(72 433.85593),(73 436.5316),(74 442.70395),(75 435.75186),(76 435.58252),(77 438.8377),(78 442.26248),(79 443.5091),
(1 202.58258),(2 263.50348),(3 303.83228),(4 319.62436),(5 333.7753),(6 348.6191),(7 352.91693),(8 364.38864),(9 367.77658),(10 366.70523),(11 368.88623),(12 370.9858),(13 377.9554),(14 376.63354),(15 380.30673),(16 382.7842),(17 380.9117),(18 388.72305),(19 390.52582),(20 388.36548),(21 392.73257),(22 394.33688),(23 398.08313),(24 395.34613),(25 391.01514),(26 393.68463),(27 389.20282),(28 389.86066),(29 387.59103),(30 389.25388),(31 387.24774),(32 384.7197),(33 391.17523),(34 387.98645),(35 386.7598),(36 388.3211),(37 388.175),(38 390.43417),(39 388.8035),(40 385.915),(41 386.24817),(42 385.36478),(43 386.69058),(44 388.21625),(45 390.377),(46 388.40063),(47 389.61633),(48 387.34198),(49 390.9715),(50 394.49136),(51 394.86057),(52 398.57834),(53 397.90717),(54 399.93015),(55 405.5502),(56 405.7498),(57 404.7083),(58 404.5283),(59 403.1789),(60 405.7087),(61 408.47232),(62 412.2034),(63 408.8502),(64 411.55667),(65 410.39075),(66 410.42178),(67 411.41718),(68 414.8433),(69 414.61575),(70 417.38208),(71 417.9495),(72 422.85364),(73 427.6648),(74 429.80856),(75 425.01337),(76 425.11533),(77 431.54782),(78 436.07184),(79 438.6518),
(1 198.037),(2 259.01736),(3 297.75092),(4 319.5824),(5 333.24597),(6 341.78748),(7 349.35602),(8 355.8322),(9 359.76654),(10 362.4511),(11 365.27637),(12 371.74722),(13 372.63928),(14 377.02734),(15 376.1598),(16 379.39456),(17 384.09082),(18 385.43262),(19 391.9419),(20 395.86572),(21 392.27374),(22 391.96063),(23 400.98895),(24 396.0367),(25 393.50314),(26 392.8099),(27 395.22748),(28 398.58633),(29 394.98407),(30 394.56882),(31 395.46558),(32 395.596),(33 396.72662),(34 394.4007),(35 389.44406),(36 388.48837),(37 385.33896),(38 384.75134),(39 384.8634),(40 382.89587),(41 381.8747),(42 385.98135),(43 384.8017),(44 388.6018),(45 392.69104),(46 394.08362),(47 392.2266),(48 396.47946),(49 401.12857),(50 399.05774),(51 399.22583),(52 397.4136),(53 400.31345),(54 397.84775),(55 397.44608),(56 397.54572),(57 397.18225),(58 396.58536),(59 397.73193),(60 404.94077),(61 410.5815),(62 414.5937),(63 401.84503),(64 401.24246),(65 398.30972),(66 398.7996),(67 400.8073),(68 403.70996),(69 401.35822),(70 401.88596),(71 399.20535),(72 404.77045),(73 408.63727),(74 406.7332),(75 410.2673),(76 416.57385),(77 421.01886),(78 422.6809),(79 427.6646),
(1 195.29309),(2 250.12444),(3 281.3127),(4 304.6031),(5 318.836),(6 323.7686),(7 329.53635),(8 335.33612),(9 338.22348),(10 341.11255),(11 340.37885),(12 344.54266),(13 348.23166),(14 354.9142),(15 353.92624),(16 361.23907),(17 362.0944),(18 367.19003),(19 372.4861),(20 371.76376),(21 372.26086),(22 371.9164),(23 374.82278),(24 370.65182),(25 368.73364),(26 368.96603),(27 364.7046),(28 368.12112),(29 365.87897),(30 365.67883),(31 364.54037),(32 362.2672),(33 363.33603),(34 363.48843),(35 360.88986),(36 359.59625),(37 360.96802),(38 358.5572),(39 355.9519),(40 352.64304),(41 353.16287),(42 356.5584),(43 358.87787),(44 363.35077),(45 363.95987),(46 364.50342),(47 364.46295),(48 369.93735),(49 368.27933),(50 370.02667),(51 372.39072),(52 374.4639),(53 379.81445),(54 380.17322),(55 378.77548),(56 378.5549),(57 380.20132),(58 382.6464),(59 384.10687),(60 387.08508),(61 389.14426),(62 389.54184),(63 383.49472),(64 381.52747),(65 382.62173),(66 380.5464),(67 383.0813),(68 380.64966),(69 380.75446),(70 388.54422),(71 388.12698),(72 389.6419),(73 396.23587),(74 396.10028),(75 393.70544),(76 391.36407),(77 396.83188),(78 402.04904),(79 402.05576),
(1 196.66281),(2 251.03578),(3 284.76572),(4 309.24313),(5 319.99292),(6 326.8458),(7 334.61243),(8 337.4301),(9 341.9846),(10 344.8209),(11 345.91904),(12 350.71326),(13 355.4144),(14 358.30493),(15 363.32983),(16 368.59497),(17 366.09485),(18 374.434),(19 379.09467),(20 379.18893),(21 379.34116),(22 379.83667),(23 381.0028),(24 383.26782),(25 383.2601),(26 385.36487),(27 381.5667),(28 381.74536),(29 383.69543),(30 380.36725),(31 374.91562),(32 375.42703),(33 372.1937),(34 369.33566),(35 366.47784),(36 365.88516),(37 366.36536),(38 368.08072),(39 368.26016),(40 365.84174),(41 365.28238),(42 364.16956),(43 367.8218),(44 369.1797),(45 374.88583),(46 374.83316),(47 370.50635),(48 374.0237),(49 378.94128),(50 375.95822),(51 375.04483),(52 377.8775),(53 373.24457),(54 369.16412),(55 373.7732),(56 376.72864),(57 383.04794),(58 387.28812),(59 386.23288),(60 386.13364),(61 380.16687),(62 381.32657),(63 379.6261),(64 383.2274),(65 387.13483),(66 389.65204),(67 386.5117),(68 382.62103),(69 381.63458),(70 385.50012),(71 386.11987),(72 387.2433),(73 390.34918),(74 391.53375),(75 390.71307),(76 394.07343),(77 399.71964),(78 398.01813),(79 398.79614),
(1 190.52211),(2 246.53146),(3 279.5998),(4 300.7147),(5 309.95193),(6 318.402),(7 324.20914),(8 332.52463),(9 335.95966),(10 337.76663),(11 337.4555),(12 339.59927),(13 339.2177),(14 342.41644),(15 344.75952),(16 352.61926),(17 351.92734),(18 357.08865),(19 360.20605),(20 362.77133),(21 363.53754),(22 367.44482),(23 368.22885),(24 369.20004),(25 369.54028),(26 365.27267),(27 360.7154),(28 359.81482),(29 359.29037),(30 360.71365),(31 357.31448),(32 358.0009),(33 360.66684),(34 361.19592),(35 362.41754),(36 359.76953),(37 360.21933),(38 362.69733),(39 358.69052),(40 354.67963),(41 356.08722),(42 359.74722),(43 362.75537),(44 364.2579),(45 362.23074),(46 363.3377),(47 358.97546),(48 361.73016),(49 364.8327),(50 364.74823),(51 359.88367),(52 362.92316),(53 362.61966),(54 361.42572),(55 361.59314),(56 366.26782),(57 367.74982),(58 369.59772),(59 371.6118),(60 371.5014),(61 373.16367),(62 372.5697),(63 369.50757),(64 371.22662),(65 371.2757),(66 373.48907),(67 368.86932),(68 364.97513),(69 366.87036),(70 365.17496),(71 370.6219),(72 371.863),(73 377.0593),(74 374.53937),(75 372.92792),(76 375.92966),(77 377.09644),(78 386.7926),(79 389.5039),
(1 187.39397),(2 240.20456),(3 273.03473),(4 290.1643),(5 303.18692),(6 312.10086),(7 314.93875),(8 323.35223),(9 325.80133),(10 329.88403),(11 328.70557),(12 330.83823),(13 335.46173),(14 339.5146),(15 341.86404),(16 346.0564),(17 346.92102),(18 352.36157),(19 352.55167),(20 352.5787),(21 354.5959),(22 353.05032),(23 349.66537),(24 353.06674),(25 354.87238),(26 356.20798),(27 350.48557),(28 349.3509),(29 349.99695),(30 352.2415),(31 352.60852),(32 354.19073),(33 352.61115),(34 350.65747),(35 345.87827),(36 347.18253),(37 342.47223),(38 340.50735),(39 345.02423),(40 343.52264),(41 346.35306),(42 344.94565),(43 347.91196),(44 348.71835),(45 348.95444),(46 351.90952),(47 350.5554),(48 352.72763),(49 357.08588),(50 358.7134),(51 358.11832),(52 359.51007),(53 363.0734),(54 363.37747),(55 362.76477),(56 362.89227),(57 366.662),(58 369.74225),(59 371.2321),(60 374.26883),(61 375.90295),(62 374.42346),(63 371.9584),(64 371.74765),(65 373.3375),(66 372.53772),(67 368.12195),(68 368.21967),(69 369.4406),(70 372.47552),(71 374.0327),(72 373.27924),(73 376.73843),(74 376.79333),(75 375.76764),(76 375.7568),(77 382.5667),(78 385.82108),(79 386.00406),
(1 183.24846),(2 236.89693),(3 267.62503),(4 288.56177),(5 299.1512),(6 308.82776),(7 311.368),(8 316.28445),(9 318.4047),(10 318.9491),(11 319.0276),(12 319.16217),(13 324.51083),(14 326.3814),(15 328.0074),(16 331.1483),(17 331.01938),(18 337.28433),(19 340.99725),(20 339.7589),(21 344.40842),(22 343.1496),(23 345.14407),(24 345.30704),(25 345.28558),(26 343.26166),(27 341.2305),(28 338.0179),(29 340.94763),(30 339.70236),(31 334.1743),(32 335.2752),(33 337.0158),(34 337.3469),(35 335.6806),(36 332.4296),(37 330.16376),(38 330.86243),(39 330.20563),(40 330.50787),(41 329.467),(42 329.85306),(43 332.3482),(44 332.52408),(45 331.38345),(46 332.34567),(47 331.693),(48 336.39337),(49 340.1436),(50 344.12155),(51 341.45004),(52 343.30225),(53 341.65292),(54 341.65634),(55 344.3019),(56 347.71103),(57 345.02954),(58 348.18076),(59 350.25574),(60 353.06033),(61 350.9579),(62 350.93652),(63 354.24783),(64 355.28995),(65 354.53287),(66 353.0506),(67 352.171),(68 352.10986),(69 353.5202),(70 358.1654),(71 357.63403),(72 363.7812),(73 365.1331),(74 368.88535),(75 366.54224),(76 365.3425),(77 366.60648),(78 373.84586),(79 368.84216),
(1 178.68668),(2 230.09369),(3 263.16492),(4 282.43652),(5 295.46732),(6 304.47513),(7 311.37997),(8 312.96497),(9 315.70728),(10 316.42),(11 319.63925),(12 319.62332),(13 322.71494),(14 325.07645),(15 324.49185),(16 326.9575),(17 331.4616),(18 336.20108),(19 338.97003),(20 338.70874),(21 339.34747),(22 339.6936),(23 338.96234),(24 339.07516),(25 337.60898),(26 336.90808),(27 336.74756),(28 336.3544),(29 339.3404),(30 337.7901),(31 337.9092),(32 333.61478),(33 334.62497),(34 334.27835),(35 330.5091),(36 328.52383),(37 330.90512),(38 331.25488),(39 331.48758),(40 331.58362),(41 332.5666),(42 333.22052),(43 332.25104),(44 332.72647),(45 332.3224),(46 332.38885),(47 332.2395),(48 338.21924),(49 338.48758),(50 343.74997),(51 341.82043),(52 340.07288),(53 339.27866),(54 339.04733),(55 344.98505),(56 346.4083),(57 344.4976),(58 347.95206),(59 350.37027),(60 351.4),(61 351.99258),(62 349.8173),(63 348.38025),(64 348.26874),(65 349.16202),(66 343.71283),(67 343.5832),(68 344.7367),(69 345.26123),(70 347.0671),(71 346.36993),(72 345.41522),(73 351.44946),(74 356.2184),(75 352.0214),(76 353.51553),(77 357.9557),(78 360.32178),(79 362.23294),
(1 176.83238),(2 225.3528),(3 259.25497),(4 275.60043),(5 290.10144),(6 297.76862),(7 303.32208),(8 310.61087),(9 310.63046),(10 311.4126),(11 315.21362),(12 312.1131),(13 318.6075),(14 320.37167),(15 320.83334),(16 329.7582),(17 333.29953),(18 337.7848),(19 337.93344),(20 334.79626),(21 334.60397),(22 336.18362),(23 334.63916),(24 337.5052),(25 336.73206),(26 338.79156),(27 332.9832),(28 335.81744),(29 338.0583),(30 336.25134),(31 335.203),(32 332.3027),(33 330.67468),(34 329.74777),(35 330.27036),(36 326.30264),(37 325.3235),(38 325.02362),(39 322.33542),(40 321.87344),(41 325.1436),(42 327.2095),(43 329.66827),(44 328.79544),(45 329.7884),(46 330.8095),(47 333.28003),(48 334.18384),(49 336.45096),(50 338.31522),(51 337.04944),(52 341.4901),(53 340.5245),(54 344.47076),(55 346.223),(56 343.14914),(57 342.34778),(58 345.59625),(59 346.4403),(60 350.28757),(61 351.95554),(62 348.02908),(63 345.66913),(64 347.8898),(65 342.46964),(66 337.77594),(67 339.64133),(68 341.48355),(69 342.2711),(70 344.92163),(71 344.55383),(72 346.65598),(73 348.6437),(74 353.94696),(75 353.62955),(76 354.51077),(77 359.0222),(78 362.21835),(79 364.37067),
