1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 212615.14),(2 748252.2),(3 1552310.6),(4 2437051),(5 3344057.3),(6 4146414.3),(7 4940762.5),(8 5580758.5),(9 6251413.5),(10 6775489.5),(11 7246557.5),(12 7723456),(13 8324632.5),(14 8966747),(15 9602905),(16 10170461),(17 10556879),(18 10805729),(19 11055275),(20 11385256),(21 11723907),(22 12106679),(23 12457184),(24 12989957),(25 13576839),(26 14188988),(27 14749048),(28 15100805),(29 15595912),(30 16380831),(31 17494706),(32 18346970),(33 19740570),(34 21153006),(35 22566662),(36 24002374),(37 25746674),(38 28019766),(39 30830678),(40 33959880),(41 36916612),(42 39618124),(43 41926748),(44 43889228),(45 45810708),(46 47406476),(47 49342036),(48 51013696),(49 52447760),(50 53531020),(51 54190108),(52 54987812),(53 56120524),(54 57405310),(55 58197324),(56 59009090),(57 59384240),(58 59412770),(59 59453508),(60 59497396),(61 58933056),(62 57805536),(63 56203970),(64 54512816),(65 52734564),(66 50717572),(67 48662964),(68 46535436),(69 44522130),(70 42432988),(71 40717252),(72 39550060),(73 38657396),(74 37722372),(75 36556092),(76 35315760),(77 34065260),(78 33085734),(79 32383482),
(1 190322.88),(2 361589.34),(3 449717.8),(4 490909.1),(5 504091.53),(6 524363.7),(7 540381.2),(8 536612.7),(9 527439.44),(10 518025.03),(11 514635.47),(12 514321.75),(13 521418.25),(14 529674.3),(15 547105.94),(16 565433.7),(17 584143),(18 581742.44),(19 565001.3),(20 549156.9),(21 549823.06),(22 558889.9),(23 562534),(24 566206),(25 563795.06),(26 568640.56),(27 585331.7),(28 594752.4),(29 587987.75),(30 573579.75),(31 545135.75),(32 523825.84),(33 526345.75),(34 529146.6),(35 533835.7),(36 536953.1),(37 560105.8),(38 566683.4),(39 544909.56),(40 529285.25),(41 534539.25),(42 523941.8),(43 522831.66),(44 543742),(45 547172.8),(46 552506.9),(47 560746.3),(48 561508.44),(49 549410.44),(50 552495.9),(51 563456.1),(52 583470.75),(53 598847.44),(54 599614.7),(55 577340.75),(56 573421.5),(57 567343.56),(58 564926.75),(59 567051.6),(60 576514.1),(61 596738.7),(62 601714.44),(63 609527.6),(64 609368.56),(65 605007.4),(66 583441.25),(67 582207.6),(68 577361.8),(69 582435.6),(70 592957.1),(71 595106.9),(72 587571.94),(73 590772.94),(74 593244.06),(75 600910.6),(76 608729.7),(77 606883.56),(78 595237.9),(79 587178),
(1 197387.23),(2 376375.66),(3 442627.25),(4 463097.34),(5 477837.44),(6 495303.38),(7 505067.16),(8 494133.66),(9 501906.47),(10 499804.6),(11 501499.78),(12 500665.38),(13 500642.4),(14 500986.25),(15 516620.6),(16 524062.94),(17 543135.25),(18 543219.44),(19 543318.94),(20 551126.56),(21 553320.56),(22 566057.75),(23 563761.7),(24 565357.4),(25 565734.9),(26 563745.6),(27 564113.6),(28 558968.9),(29 541872.94),(30 531311.8),(31 534791.7),(32 522531.2),(33 517499.53),(34 528591.3),(35 545864.56),(36 543303.4),(37 531414.8),(38 523676.9),(39 539328.2),(40 547641.7),(41 537662.75),(42 522533.97),(43 510072.38),(44 532428.2),(45 550183.7),(46 560555.7),(47 567108.4),(48 583735.8),(49 579358.7),(50 572726.3),(51 572218.25),(52 565305.94),(53 558226.06),(54 539517.1),(55 525700.75),(56 530032.56),(57 539943.44),(58 539925),(59 540521.56),(60 536161.75),(61 551882),(62 553964.9),(63 558100.25),(64 565403.44),(65 574689.8),(66 585864.1),(67 580104.94),(68 573868.75),(69 580196.9),(70 585919.1),(71 587218.25),(72 572406.75),(73 570595.06),(74 569385),(75 572982.3),(76 571750.5),(77 572535.44),(78 566989.75),(79 563820.25),
(1 177739.67),(2 341865.47),(3 407745.72),(4 427725.8),(5 439671.1),(6 457960.1),(7 460986.9),(8 450392.38),(9 468610.7),(10 478022.06),(11 481066.7),(12 474985.84),(13 477507.9),(14 462897.2),(15 457434.16),(16 457856.5),(17 471634.38),(18 482455.72),(19 480177.1),(20 471746.97),(21 476551.7),(22 493387.4),(23 489347.9),(24 484472.9),(25 500017.78),(26 507749.03),(27 507344.22),(28 505305.5),(29 514734.66),(30 526121.6),(31 524133.47),(32 517793.63),(33 500956.75),(34 496733.56),(35 515264.7),(36 531027.1),(37 520494.06),(38 502069.13),(39 494510),(40 499290.3),(41 494518.6),(42 501434.75),(43 498156.1),(44 497866.16),(45 496876.3),(46 511394.06),(47 509655.25),(48 504439.5),(49 506098),(50 510590.06),(51 515229.1),(52 504189.94),(53 486635.72),(54 489927.9),(55 501824.1),(56 510086.75),(57 507304.38),(58 503285.3),(59 507616.97),(60 507272.3),(61 514030.75),(62 522695.13),(63 538219.44),(64 536651.06),(65 542406),(66 535211),(67 526497.4),(68 525496.5),(69 515889.34),(70 530305.4),(71 537608.1),(72 531859.8),(73 528948.25),(74 518668.28),(75 514539.13),(76 504389.03),(77 499969.03),(78 512124.1),(79 510898.28),
(1 171009.94),(2 328936.28),(3 401807.22),(4 439584.47),(5 451950.38),(6 454806.94),(7 443827.1),(8 429402.7),(9 444025.56),(10 449169.16),(11 454501.78),(12 457799.94),(13 461680.97),(14 459089.3),(15 447308.66),(16 444779.66),(17 458630.2),(18 461210.03),(19 447823.6),(20 450702.63),(21 461965.38),(22 466548.72),(23 465733.38),(24 455381.56),(25 459584.06),(26 460730.28),(27 463862.28),(28 467181.28),(29 482144.34),(30 481037.4),(31 479798.03),(32 472259.8),(33 464028.25),(34 456531.84),(35 456923.03),(36 471433.66),(37 476819.6),(38 474401),(39 459927.7),(40 442754.44),(41 423466.47),(42 419496.72),(43 424372.88),(44 445349.4),(45 446742.38),(46 435503.25),(47 423308.63),(48 434041),(49 447047.44),(50 461867.7),(51 479734.72),(52 474391.84),(53 474165.16),(54 478326.53),(55 473774.2),(56 481443.9),(57 490379.2),(58 490342.34),(59 493647.1),(60 481455.75),(61 479689.72),(62 496514.13),(63 508391.66),(64 504652.6),(65 493677),(66 487946.53),(67 498231.84),(68 503075.75),(69 505564),(70 506543.6),(71 513737.56),(72 507134.88),(73 493277.56),(74 482683.13),(75 481381.53),(76 482489.88),(77 488374.44),(78 493175.13),(79 503133.88),
(1 157182.03),(2 294104.66),(3 348760.4),(4 369589.22),(5 387797.03),(6 405370.38),(7 413251.8),(8 408211.72),(9 414869.7),(10 409062.63),(11 399343.47),(12 400428.22),(13 409848.78),(14 411283.9),(15 415914.28),(16 407139.25),(17 400420.06),(18 404278.3),(19 413707),(20 410500.5),(21 403009.63),(22 401709.56),(23 404187.94),(24 402361.03),(25 408266.03),(26 425482.88),(27 432448.6),(28 428636.53),(29 424643.9),(30 437137.6),(31 438889.28),(32 434353.1),(33 434456.28),(34 433551.94),(35 426251.13),(36 413376.28),(37 411663.97),(38 412394.75),(39 420630.22),(40 417563),(41 396250.56),(42 390469.88),(43 394441.6),(44 405605.13),(45 409181.72),(46 414123.13),(47 419702.38),(48 412747.94),(49 414750.38),(50 432726.53),(51 440845.47),(52 440783.47),(53 442381.94),(54 451231.06),(55 447730.3),(56 443290.56),(57 441497.88),(58 435865.38),(59 431351.3),(60 424395.3),(61 419912.25),(62 406553.13),(63 405630.13),(64 407370.6),(65 405832.25),(66 416008.53),(67 427856.94),(68 429579.5),(69 434887.6),(70 434628.78),(71 434384.94),(72 428600.53),(73 420617.6),(74 423659.5),(75 429131.47),(76 420160),(77 409578.8),(78 407957.6),(79 420008),
(1 148544.08),(2 273902.8),(3 317944.75),(4 332356.9),(5 349744.84),(6 367913.47),(7 368021.34),(8 366878.75),(9 374785.7),(10 388013.44),(11 399338.16),(12 402161),(13 405480.97),(14 398947),(15 400840.47),(16 397121.56),(17 398618.47),(18 398618.4),(19 388487),(20 389063.9),(21 388067.97),(22 394955.13),(23 399843.9),(24 399945.2),(25 404678.72),(26 410244.3),(27 417605.56),(28 411653.84),(29 414812.2),(30 426723.13),(31 435268.38),(32 432278.63),(33 421012.97),(34 402597.75),(35 395594.53),(36 399435.9),(37 401756.5),(38 397051.78),(39 393151.5),(40 401826.56),(41 406721.78),(42 394761.25),(43 391529.56),(44 406081.84),(45 409154.8),(46 409337.16),(47 412512.7),(48 399847.9),(49 397889.44),(50 410812.6),(51 414708.78),(52 415433.53),(53 416643.44),(54 440839.88),(55 437087.6),(56 430650.06),(57 421443.63),(58 406698.72),(59 404755.34),(60 412201.53),(61 419172.22),(62 418468.88),(63 424082.56),(64 424150.84),(65 417785.7),(66 405281.53),(67 410617.75),(68 418410.84),(69 419523.8),(70 419107.6),(71 420325.44),(72 412534.06),(73 407674.4),(74 413193),(75 409809.84),(76 391292.03),(77 388201.66),(78 392600.3),(79 387343.2),
(1 148799.63),(2 258354.1),(3 301264.53),(4 324087.75),(5 334435.88),(6 339406.25),(7 334758.75),(8 342903.1),(9 362642.75),(10 368898.13),(11 374202.97),(12 377840.75),(13 372568.06),(14 369323.44),(15 366915.06),(16 360099.6),(17 358629.8),(18 357068.1),(19 364807.94),(20 361857.53),(21 359396.16),(22 361411.06),(23 359280.4),(24 360882.6),(25 374245.2),(26 389845.7),(27 388581.2),(28 381793.8),(29 382851.38),(30 381876.16),(31 384414),(32 389036.16),(33 396199.72),(34 389887.06),(35 377861.78),(36 374485.22),(37 365098.06),(38 359035.63),(39 366216.38),(40 375459.44),(41 375031.16),(42 363422.56),(43 353234.9),(44 361516.16),(45 367471.22),(46 365738.28),(47 364441.2),(48 371834.78),(49 374327.44),(50 376204.2),(51 372308.47),(52 374736.1),(53 372736.16),(54 386999.34),(55 393859.44),(56 398700.7),(57 400266.16),(58 397317.16),(59 386597.25),(60 389534.06),(61 394881.34),(62 400362.1),(63 408471.28),(64 407661.34),(65 403438.72),(66 409405.1),(67 411968.34),(68 402088.25),(69 394563.75),(70 387377.66),(71 381609.25),(72 382663.94),(73 397879.53),(74 410332.16),(75 405811.06),(76 388550.56),(77 385478.47),(78 393561.56),(79 383638.2),
(1 154231.83),(2 272284.16),(3 311712.53),(4 330556.9),(5 331484),(6 337392.66),(7 333351.72),(8 339976.47),(9 350832.6),(10 357972.44),(11 352977.13),(12 359794.75),(13 360577.8),(14 345395.13),(15 341342.56),(16 351076.2),(17 356949.13),(18 363426),(19 373298.78),(20 375881.47),(21 383812.63),(22 383666.13),(23 381318.44),(24 385171.7),(25 368069.72),(26 363952.75),(27 367220.7),(28 365196.44),(29 369898.2),(30 367067.63),(31 366947.78),(32 368241.28),(33 374764.22),(34 368147.75),(35 368807.16),(36 377206.38),(37 373715.88),(38 366857.8),(39 370551.6),(40 370454.88),(41 365166.88),(42 359657.5),(43 363128.2),(44 366343),(45 358840.72),(46 354583.8),(47 355862.2),(48 371739.63),(49 383344.6),(50 375642.06),(51 363445.78),(52 370886.66),(53 369223.2),(54 373750.75),(55 372356.75),(56 364846.88),(57 371215.3),(58 379344.1),(59 380038.03),(60 382332.94),(61 380332.88),(62 376128.22),(63 371225.47),(64 365342.5),(65 362442.25),(66 370704.53),(67 372292.16),(68 379138.03),(69 384252.38),(70 372905),(71 361311.6),(72 359193.94),(73 361699.06),(74 358130.2),(75 352901.63),(76 348917.72),(77 346747.16),(78 346010.13),(79 346132.28),
(1 147671.61),(2 260982.34),(3 297206.47),(4 316855.78),(5 319633.28),(6 325682.22),(7 311927),(8 320549.16),(9 343046.56),(10 340436.28),(11 325670.84),(12 330477.88),(13 341417.88),(14 332500.9),(15 325074.6),(16 334241.25),(17 343582.66),(18 357502.22),(19 359890.13),(20 369271.1),(21 376481.94),(22 368909.63),(23 367667.25),(24 371061.2),(25 359788.38),(26 353963.47),(27 344633.97),(28 345264.6),(29 351200.44),(30 351018.94),(31 345275.7),(32 344774.56),(33 342635.03),(34 344270.63),(35 348749.03),(36 347028.63),(37 343794),(38 347953.88),(39 347620.2),(40 346894.75),(41 336244.88),(42 325456.38),(43 327145.78),(44 336737.34),(45 333528.2),(46 327157.7),(47 327219.34),(48 334682.13),(49 334660.5),(50 334695.6),(51 332746.22),(52 333916.4),(53 339052.1),(54 342708.3),(55 338980.25),(56 343188.4),(57 338800.13),(58 326936.22),(59 325814.9),(60 334685.94),(61 340631.53),(62 342534.56),(63 341462.84),(64 345715.2),(65 340835.53),(66 342145.2),(67 356159.34),(68 364280.1),(69 363154.28),(70 362580.9),(71 362983.56),(72 354714.22),(73 349839.3),(74 345309.03),(75 348468),(76 349110.5),(77 347469.7),(78 349522.6),(79 348612.28),
(1 128353.89),(2 222074.33),(3 263762.8),(4 284833.75),(5 291185.44),(6 303073.63),(7 304812.06),(8 300772.66),(9 305759.94),(10 307059.44),(11 305135.56),(12 294863.03),(13 300212.38),(14 307879.75),(15 306390.66),(16 306199.2),(17 305232.44),(18 313928.66),(19 323008.56),(20 322160.16),(21 321007.84),(22 322545.16),(23 327641.06),(24 331221.44),(25 325560.28),(26 320201.34),(27 310164.2),(28 306289.53),(29 306569.47),(30 304333.25),(31 313560.88),(32 321719.25),(33 314918.25),(34 309260.75),(35 307301.72),(36 315674.06),(37 313633.84),(38 318019.63),(39 317773.53),(40 317425.1),(41 310731.28),(42 307810.1),(43 312138.7),(44 314757.2),(45 320947.06),(46 320142.06),(47 319361.25),(48 325881.56),(49 330797.75),(50 324987),(51 325115.94),(52 324423.94),(53 327623.88),(54 322743.63),(55 316724.44),(56 313417.53),(57 312652.1),(58 317392.25),(59 320438.75),(60 325732.75),(61 321831.13),(62 313988.88),(63 321413.75),(64 324629.63),(65 324517.75),(66 315346.9),(67 329445.44),(68 336985.1),(69 334111.78),(70 331652.44),(71 331876.84),(72 340336.53),(73 346103.34),(74 327061.53),(75 323553.3),(76 325582.38),(77 324891.97),(78 319468.8),(79 316465.28),
(1 118937.37),(2 205991.27),(3 239492.48),(4 257641.1),(5 269133.6),(6 276297.97),(7 279884.44),(8 278968.88),(9 275036.75),(10 277460.38),(11 283594.8),(12 280979.66),(13 290324.53),(14 300083),(15 300404.28),(16 298908.56),(17 292369.97),(18 297811.53),(19 302974.1),(20 305413.56),(21 294423.9),(22 291982.66),(23 305678.13),(24 306970.63),(25 306386.28),(26 306022.22),(27 291828.22),(28 291037.6),(29 286736.75),(30 293391.3),(31 305111),(32 312171.1),(33 312667),(34 303115.6),(35 294776.75),(36 298762),(37 309898.28),(38 308416.22),(39 301256.78),(40 301853.84),(41 305060.1),(42 314103.38),(43 313937.7),(44 308250.3),(45 300300.8),(46 300408),(47 301021.3),(48 301476.63),(49 308716.22),(50 316939.38),(51 316805.66),(52 307475.44),(53 301704.3),(54 300982.1),(55 301776.1),(56 308955.03),(57 316297.6),(58 311388.97),(59 311386.47),(60 308958.53),(61 308919.22),(62 313729.72),(63 314535.72),(64 313197.3),(65 313019.72),(66 307481.75),(67 304885.1),(68 305757.3),(69 305588.5),(70 306669.66),(71 304782.06),(72 308832.4),(73 313509.3),(74 309098.06),(75 312601.53),(76 314037.1),(77 304442.1),(78 297107.6),(79 298150.75),
(1 126701.266),(2 215676.63),(3 245933.67),(4 257433.13),(5 265852.38),(6 273337.44),(7 274158.72),(8 285461.03),(9 290913.97),(10 284241.97),(11 277766.63),(12 280949.16),(13 289304.34),(14 285716.3),(15 288674.8),(16 290991.63),(17 285821.88),(18 284295.6),(19 294319.34),(20 295931.88),(21 288222.44),(22 287463.53),(23 294385.47),(24 293692.13),(25 292371.1),(26 295390.44),(27 291917.47),(28 289435.03),(29 286186.56),(30 284714.84),(31 281554.9),(32 280766.2),(33 283483.7),(34 289768.47),(35 291744.66),(36 289696.66),(37 294304.56),(38 304734.16),(39 300702.34),(40 291888.06),(41 294664.1),(42 290787.6),(43 283313.72),(44 285051.78),(45 293807),(46 292728.22),(47 292147.53),(48 301445.3),(49 300493.66),(50 298208.28),(51 294685.75),(52 288929.9),(53 285420.9),(54 292990.66),(55 291976.38),(56 291506.56),(57 290947.63),(58 297532.34),(59 311048.22),(60 310686.97),(61 304671.44),(62 307809.34),(63 305989.1),(64 299880.16),(65 295509.03),(66 291996.66),(67 300639.63),(68 300710.44),(69 294808.06),(70 296066.88),(71 304696.72),(72 305393.5),(73 300854.8),(74 297814.1),(75 295256.28),(76 297297.25),(77 290744.5),(78 290932.56),(79 302450.03),
(1 113594.51),(2 195910.81),(3 225393.95),(4 238926.61),(5 252302.8),(6 252617.03),(7 249862.58),(8 253377.42),(9 261072.95),(10 263270.78),(11 262428.9),(12 260825.98),(13 260723.98),(14 266940.6),(15 276886.6),(16 274105.9),(17 273287.28),(18 272183.13),(19 271253.63),(20 274074.78),(21 274094.44),(22 267285.16),(23 264513),(24 263676.84),(25 267423.28),(26 262448),(27 259973.81),(28 260387.61),(29 262585.13),(30 259712.47),(31 258039.5),(32 256616.64),(33 259469.48),(34 261931.7),(35 259302.11),(36 263223.84),(37 274834.3),(38 279371.97),(39 284401.66),(40 283879.28),(41 281365.9),(42 278411.84),(43 271515.16),(44 270491.06),(45 276279.56),(46 284495.03),(47 283056.5),(48 286202.75),(49 288793.78),(50 282763.97),(51 282578.34),(52 281051.16),(53 279311.25),(54 284758.38),(55 282434.63),(56 281603.34),(57 285968.94),(58 288451.47),(59 289387.5),(60 290540.66),(61 282998.56),(62 289296.72),(63 291592.1),(64 287271.63),(65 281233.56),(66 286682.97),(67 288480.25),(68 289773.5),(69 287118.72),(70 282884.2),(71 286435.22),(72 294188.5),(73 286262.7),(74 282997.8),(75 288509.8),(76 288046.94),(77 288376.72),(78 285104.25),(79 280401.47),
(1 108024.13),(2 184748.02),(3 214737.84),(4 230758.34),(5 242100.34),(6 247871.83),(7 241610.17),(8 246229.23),(9 244273.6),(10 244395.33),(11 245652.02),(12 246908.88),(13 254429.72),(14 257207.66),(15 257243.4),(16 249184),(17 251952.05),(18 253425.1),(19 250751.56),(20 247843.95),(21 244052.34),(22 236799.06),(23 240661.88),(24 238942.34),(25 243333.78),(26 244742.48),(27 246452.8),(28 250304.89),(29 256673.13),(30 253040.44),(31 247053.52),(32 248362.78),(33 249941.48),(34 254223.95),(35 255267.1),(36 255292.1),(37 250677.13),(38 256070.02),(39 267413.5),(40 267139.22),(41 261570.52),(42 255303.13),(43 257955.06),(44 256488.39),(45 261136.77),(46 265894.2),(47 261729.17),(48 259487.67),(49 259708.3),(50 261756.77),(51 265550.2),(52 274505.22),(53 270316.4),(54 264077.8),(55 267657.56),(56 270556.1),(57 267436.78),(58 266615.88),(59 268506.56),(60 263800.78),(61 257993.95),(62 262510.75),(63 263260.84),(64 263404.8),(65 266541.03),(66 263401.6),(67 260011.39),(68 261238.05),(69 263680.84),(70 265173.03),(71 266274.72),(72 265845.1),(73 263481.13),(74 257763.83),(75 256226),(76 257856.55),(77 257556.11),(78 254885.23),(79 247279.05),
(1 115261.69),(2 180437.5),(3 202048.63),(4 210318.83),(5 218938.86),(6 226866.9),(7 232090.73),(8 243960.83),(9 234562.72),(10 237697.72),(11 245011.03),(12 246979.75),(13 252032.92),(14 248282.66),(15 243426.63),(16 235748.17),(17 244181.17),(18 241806.25),(19 246570.97),(20 245822.9),(21 240924.02),(22 241406.8),(23 246649.66),(24 244476.98),(25 241808.56),(26 244056.72),(27 239774.67),(28 244624.72),(29 245469.56),(30 246307.39),(31 244208.6),(32 251132.73),(33 257532.6),(34 253801.27),(35 250617.28),(36 251802.9),(37 251070.77),(38 247493.75),(39 246625.7),(40 253188.23),(41 256754.48),(42 257064.34),(43 252886.53),(44 248447.5),(45 245350.47),(46 247977.81),(47 255533.22),(48 258724.98),(49 255700.23),(50 254635.64),(51 255666.69),(52 255370.34),(53 256414.48),(54 263464.44),(55 265678.03),(56 264364.66),(57 256612.61),(58 256815.58),(59 258629.83),(60 258672.8),(61 259364.5),(62 259366.34),(63 254252.36),(64 254044.84),(65 249742.02),(66 240878.92),(67 237741.95),(68 243961.02),(69 253393.47),(70 254296),(71 258578.84),(72 260130.25),(73 247394.31),(74 239394.63),(75 240530.69),(76 245677.27),(77 246763.33),(78 239434.02),(79 242319.69),
(1 107005.44),(2 167836.47),(3 193216.31),(4 203382.5),(5 222259.34),(6 229903.02),(7 229875.77),(8 233002.06),(9 230408.69),(10 223065.88),(11 223951.69),(12 231831.27),(13 240340.84),(14 243180.1),(15 238335.1),(16 232607.13),(17 231384.2),(18 232660.34),(19 224569.53),(20 222003.05),(21 223392.53),(22 220830.38),(23 220176.84),(24 224054.36),(25 232174.83),(26 226954.55),(27 217362.83),(28 223044.22),(29 224448.94),(30 221885.94),(31 223122.84),(32 230771.95),(33 229869.06),(34 222161.23),(35 222882.8),(36 226722.77),(37 225553.5),(38 222687.33),(39 222438.2),(40 230375.5),(41 232377.45),(42 232749.47),(43 231315.8),(44 232078.2),(45 234023.4),(46 238305.53),(47 238751.39),(48 240142.39),(49 234611.83),(50 237936.69),(51 242662.97),(52 243857.8),(53 245054.66),(54 245639.33),(55 242658.83),(56 238997.42),(57 235795.88),(58 232430.81),(59 234035.16),(60 235628.34),(61 236660.13),(62 242298.97),(63 245952.45),(64 248119.95),(65 238600.06),(66 237447.8),(67 233578.47),(68 244586.53),(69 250260.89),(70 240319.05),(71 241016.36),(72 243555.61),(73 238537.61),(74 233582.88),(75 231830.94),(76 235783.94),(77 241608.36),(78 237319.66),(79 235495.16),
(1 111989.836),(2 177116.61),(3 200052.02),(4 208770.61),(5 224850.28),(6 231325.19),(7 232539.92),(8 231757.92),(9 231026.14),(10 233383.88),(11 237357.05),(12 241184.78),(13 237717.84),(14 240606.42),(15 240901.22),(16 232722.31),(17 226437.8),(18 217220.4),(19 212641.81),(20 216700.73),(21 218632.52),(22 224413.84),(23 228995.16),(24 227964.73),(25 226179.27),(26 230837.4),(27 230092.34),(28 235165.42),(29 237163.58),(30 229902.08),(31 227001),(32 234330.78),(33 234803.75),(34 231799.86),(35 227591.94),(36 223493.73),(37 223766.72),(38 227546.84),(39 235385.67),(40 238964.86),(41 237565.95),(42 240117.67),(43 237371.02),(44 237331.25),(45 239228.98),(46 236242.86),(47 231821.27),(48 231131.33),(49 232365.84),(50 229817.86),(51 232006.72),(52 238179.75),(53 233921.31),(54 235088.39),(55 231830.52),(56 236778.22),(57 240909.84),(58 240251.38),(59 243691.4),(60 238895.75),(61 236798.66),(62 235623.72),(63 238496.63),(64 238853.38),(65 234478.63),(66 236768.08),(67 240648.33),(68 240724.27),(69 238322.38),(70 234585.27),(71 236715.92),(72 241699.27),(73 238122.08),(74 233926.33),(75 234019.08),(76 236424.53),(77 239356.66),(78 240003.08),(79 240581.02),
(1 104494.24),(2 167434.9),(3 191956.95),(4 204599.25),(5 208722.83),(6 203186.5),(7 206409.02),(8 201407.94),(9 202419.23),(10 208871.19),(11 212584.77),(12 216581.3),(13 221794.05),(14 224073.25),(15 218257.44),(16 209123.3),(17 207764.34),(18 208559.86),(19 209037.19),(20 211946.05),(21 210865.5),(22 213272.33),(23 221376.13),(24 223746.88),(25 216354.67),(26 213362.19),(27 213782.2),(28 216265.98),(29 219813.75),(30 211989.58),(31 205067.39),(32 209690.98),(33 210034.28),(34 214892.34),(35 213458.05),(36 208326.77),(37 216880.5),(38 219311.11),(39 218033.3),(40 217761.78),(41 213496.27),(42 210452.92),(43 211563.66),(44 214851.11),(45 216009.05),(46 211554.81),(47 208141.52),(48 212926.3),(49 214332.61),(50 207242.81),(51 211849.17),(52 216873.64),(53 213878.22),(54 219995.72),(55 217160.4),(56 217614.73),(57 222385.1),(58 223768.36),(59 226492.89),(60 223340.08),(61 220578.3),(62 220750.3),(63 221460.69),(64 220354.42),(65 222651.81),(66 230420.02),(67 232345.5),(68 228642.9),(69 225125.95),(70 225603.05),(71 225575.19),(72 226803.3),(73 231466.02),(74 224967.88),(75 225706.63),(76 226827.98),(77 229153.86),(78 226803.53),(79 222257.36),
